id,zh,en
"602","2013奥斯卡：史上最刻薄颁奖典礼","Oscars 2013: the meanest show ever "
"603","松林（英文试读）","Pines"
"604","近视究竟与什么有关？",""
"605","“荒岛”精神之旅","A Voyage of Spiritual Drifting"
"606","“微博”书评报告：微博的力量有多大？  2013“阅读季”特献",""
"607","数据挖掘","Data Mining"
"608","狗的冒险书（试读）","The Dangerous Book For Dogs"
"609","下辈子做猫吧（试读）","The Devious Book For Cats"
"610","焦虑 现代人的蓝色秘密  2013“阅读季”特献",""
"611","单身（试读）","A Single Man"
"612","社交网站引发的“羡慕嫉妒恨”","Is Facebook envy making you miserable "
"613","假装的艺术（试读）","The Art of Faking It"
"614","玻璃村庄（试读）","The Glass Village"
"615","华北雾霾或将伴随光化学烟雾",""
"616","漫话三种着装风格流行的背后",""
"617","浪游之歌（试读）","Wanderlust"
"618","百鬼夜行：阴（试读）",""
"619","2013年两会代表精彩语录双语集锦","2013 NPC and CPPCC：Sound Bites"
"620","寻找另一半的科学方法  2013“阅读季”特献",""
"621","中国民间读书报刊一览  2013“阅读季”特献",""
"622","漫谈三个影视作品中的女性形象",""
"623","人物档案：歇洛克 福尔摩斯  2013“阅读季”特献","Character Document: Sherlock Holmes"
"624","罗杰疑案（试读）","The Murder of Roger Ackroyd"
"625","寓所谜案（试读）","The Murder at the Vicarage"
"626","斯泰尔斯庄园奇案（试读）","The Mysterious Affair at Styles"
"627","为了13亿人的中国梦：记中国国家主席、中央军委主席习近平","Xi Jinping: Pursuing dream for 1.3 billion Chinese"
"628","思考，快与慢（试读）","Thinking\, Fast and Slow"
"629","习惯的力量（试读）","The Power of Habit"
"630","白化士兵","The Adventure of the Blanched Soldier"
"631","萨塞克斯吸血鬼","The Adventure of the Sussex Vampire"
"632","空屋子","The Adventure of the Empty House"
"633","第二块血迹","The Adventure of the Second Stain"
"634","四签名","The Sign of Four"
"635","恐怖谷","The Valley of Fear"
"636","巴斯克维尔的猎犬","The Hound of Baskervilles"
"637","驼背男子","The Crooked Man"
"638","最后一案","The Final Problem"
"639","红发俱乐部","The Red-Headed League"
"640","铜色山毛榉","The Adventure of the Copper Beeches"
"641","绿宝石王冠","The Adventure of the Beryl Coronet"
"642","红圈会","The Adventure of the Red Circle"
"643","布鲁斯-帕廷顿图纸","The Adventure of the Bruce-Partington Plans"
"644","福尔摩斯谢幕演出","His Last Bow"
"645","垃圾食品的科学:垃圾食品为什么让人欲罢不能？",""
"646","雷神桥谜案","The Problem of Thor Bridge"
"647","波希米亚丑闻","A Scandal in Bohemia"
"648","白额闪电","Silver Blaze"
"649","暗红习作","A Study in Scarlet"
"650","剪影美利坚：美国高中生独有的校园情结",""
"651","数字时代至死三部曲：读《娱乐至死》、《网络至死》、《网民的狂欢》  2013“阅读季”特献",""
"652","时间回旋（试读）","Spin"
"654","阅读邻居：北上广书评媒体一览",""
"655","提姆 哈福德: 试验，排除错误和万能神力","Tim Harford: Trial\, error and the God complex"
"656","詹姆斯 卡梅隆：《阿凡达》之前的好奇小男孩","James Cameron: Before Avatar… A Curious Boy"
"657","大脑暗能量  2013“阅读季”特献",""
"658","伦敦塔集雨人（试读）","The Tower\, The Zoo\, and The Tortoise"
"659","有7000多种语言，就有7000多个“平行世界”",""
"660","佛教常识答问（试读）","Essentials of Buddhism: Questions and Answers"
"661","他人的心事：读《我的父亲罗孚》、《北京十年》  2013“阅读季”特献",""
"662","江村经济（试读）",""
"663","当一种语言消亡的时候  2013“阅读季”特献","When a Language Dies"
"664","守门员面对罚点球时的焦虑（试读）","Die Angst des Tormanns beim Elfmeter"
"665","哈佛幸福课（试读）",""
"666","中国文明的开始（试读）","The Beginnings of Chinese Civilization"
"667","中国经济改革发展之路（试读）","Economic Reform and Development  the Chinese Way"
"668","世界城市之最：最脏、最帅、最贵、最宜居城市出炉","World Top Cities:Dirtiest\,Most Handsome\,Expensive and Livable"
"669","这个世界会好吗（试读）","Has Man a Future "
"670","论面相与健康  2013“阅读季”特献","Physiognomy and Health"
"671","走近华裔体育明星：篮球黑马林书豪、花滑传奇关颖珊",""
"672","城市形象：媒体在城市设计和发展中的地位","Imaging the City: The Place of Media in City Design and Development"
"673","定价策略","Pricing"
"674","毒品、政治和文化","Drugs\, Politics\,and Culture"
"675","他说他的 她说她的：两性语言研究    2013“阅读季”特献",""
"676","故乡书情：和故乡有关的30本书  2013“阅读季”特献",""
"677","中国士绅（试读）","China's Gentry"
"678","从生命里过滤语言：读《斯坦纳回忆录：审视后的生命》 2013“阅读季”特献",""
"679","清醒思考的艺术（试读）",""
"680","世界评价撒切尔夫人","World's Comments of Margaret Thatcher"
"681","斯皮尔伯格传（试读）","Steven Spielberg A Biography"
"682","黑蜥蜴（试读）",""
"683","你能用太阳能做什么？",""
"684","揭穿大众心理学骗局  2013“阅读季”特献",""
"685","四种爱（试读）","The Four Loves"
"686","人类的行为真的可以预测吗：读《爆发》、《大数据》  2013“阅读季”特献",""
"687","剪影美利坚：美国高中生独有的社交生活",""
"688","存在主义简论","Existentialism: A Very Short Introduction"
"689","《圣经》纵览","The Bible: A Very Short Introduction"
"690","八大重量级“书痴”的阅读书单  2013“阅读季”特献",""
"691","霍金：我的简史","Hawking: My Brief History"
"692","12件事颠覆未来  2013“阅读季”特献",""
"693","食品的营养与安全误区",""
"694","异域美食之旅：美国三大传统美食与历史渊源",""
"695","揭秘“维基解密”创始人：朱利安 阿桑奇  2013“阅读季”特献",""
"696","你可以幸福（试读）",""
"697","第三大道这间酒馆（试读）",""
"698","书店巡礼：世界各国书店风景一览  2013“阅读季”特献",""
"699","四种爱","The Four Loves"
"700","潜意识：控制你行为的秘密（试读）",""
"701","书店巡礼：特色书店的前世与今生 2013“阅读季”特献",""
