"第一章 只有手段，没有目的","CHAPTER I    All Means and No End"
"在这个突兀的问题（只有一个答案的问题）面前，他生活的主要缺陷暴露无遗。","And in that single abrupt question (to which there is only one answer) he lays bare the central flaw of his existence."
"这位旁观者很可能是他的妻子，而平凡人说话的语气好像在暗示，对于自己的生活并非一连串妙趣横生的娱乐这一事实，妻子也要无端地负说不清、道不明的责任。他无法和妻子保持一致。除此以外，如果平凡人真的爱妻子，就会时不时地伤害她一下，故意对她不公平，以从中得到某种奇怪的满足感，而他绝不会这么伤害或者不公平地对待一位普通朋友。（这就是爱与喜欢之间的奇妙差别之一！）她吓了一跳，心里很是惊骇，这是意料之中的。他自己也暗中惊骇，因为坦白了一个会带来不便的事实；盎格鲁—撒克逊人也这样惧怕带来不便的事实，所以喜欢直接无视它们。假装事情不是现实那样，在盎格鲁—撒克逊人看来就代表有意志力与健康的人格；而承认事实则会被认为是懦弱或愤世嫉俗。平凡人可不敢愤世嫉俗，所以他会觉得自己是个懦夫，这件事当然让他很生气。","The onlooker will probably be his wife, and the tone employed will probably imply that she is somehow mysteriously to blame for the fact that his earthly days are not one unbroken series of joyous diversions. He has no pose to keep up with his wife. And, moreover, if he really loves her he will find a certain curious satisfaction in hurting her now and then, in being willfully unjust to her, as he would never hurt or be unjust to a mere friend. (Herein is one of the mysterious differences between love and affection!) She is alarmed and secretly aghast, as well she may be. He also is secretly aghast. For he has confessed afact which is an inconvenient fact; and Anglo-Saxons have such a horror of inconvenient facts that they prefer to ignore them even to themselves. To pretend that things are not what they are is regarded by Anglo-Saxons as a proof of strength of mind and wholesomeness of disposition; while to admit that things are indeed what they are is deemed to be either weakness or cynicism. The plain man is incapable of being a cynic; he feels, therefore, that he has been guilty of weakness, and this, of course, makes him very cross."
"“不能做点儿什么吗？”妻子说，她的意思是：“就不能想办法让你的重担减轻些吗？”","“Can’t something be done?” says his wife, meaning, “Can’t something be done to ameliorate your hard lot?”"
"（被误导的人儿！你用错词了。不管用什么措辞都是错的。她应该爱抚他，因为爱抚不需要回答。）","(Misguided creature! It was the wrong phrase to use. And any phrase would have been the wrong phrase. She ought to have caressed him, for to a caress there is no answer.)"
"“你很清楚一点儿办法都没有！”他对妻子厉喝道，就像猛虎扑向小鹿一般。同时挑衅地望着她，像是在说：“我能无视工作吗？我能逃避责任吗？如果我逃避了，你怎么办？孩子们怎么办？要怎么面对晚年、疾病和死亡？账单、花销、税金，还有你的新帽子呢？我要为不测风云、为今后而工作。我算比较成功的；要说清楚的是，成功就意味着我要牺牲当下的快乐。你们这些人倒是可以快乐，但我——”然后他就像一位受到冒犯的烈士一样，讽刺地大声宣布：“能做的都做了！”","“You know perfectly well that nothing can be done!” he snaps her up, like a tiger snapping at the fawn. And his eyes, challenging hers, seem to say: “Can I neglect my business? Can I shirk my responsibilities? Where would you be if I shirked them? Where would the children be? What about old age, sickness, death, quarter-day1, rates, taxes, and your new hat? I have to provide for the rainy day and for the future. I am succeeding, moderately; but let there be no mistake—success means that I must sacrifice present pleasure. Pleasure is all very well for you others, but I—” And then he will finish aloud, with the air of an offended and sarcastic martyr: “Something be done, indeed!”"
"她叹口气。家里这一幕算是结束了。","She sighs. The domestic scene is over."
"现在平凡人已经确信无路可退，我们可以这样认定。但显然觉得无路可退会让他的自尊心得到满足。如果不这么想，就意味着他要承认自己还有没做到的地方，没安排好自己的生活，甚至是对职业规划有了巨大的错误估计。他承认自己很不满意。为了尊严和名声，确定这种不满意是不可避免的才对自己有好处，这件事要怪就怪整个世道的布置不周，而怪不到他个人的规划上。平凡人要扮演的是一名勇敢、坚强而又有耐心的受害者，受制于所谓的自然规律，这个规律规定，为了未来必须牺牲现在，他在这个角色中找到了一种独特的乐趣,而这种乐趣中又充满了痛苦。“痛苦”这词用在这里一点都不错。","Now, he may be honestly convinced that nothing can be done. Let us grant as much. But obviously it suits his pride to assume that nothing can be done. To admit the contrary would be to admit that he was leaving something undone, that he had organized his existence clumsily, even that he had made a fundamental miscalculation in the arrangement of his career. He has confessed to grave dissatisfaction. It behoves him, for the sake of his own dignity and reputation, to be quite sure that the grave dissatisfaction is unavoidable, inevitable, and that the blame for it rests with the scheme of the universe, and not with his particular private scheme. His role is that of the brave, strong, patient victim of an alleged natural law, by reason of which the present must ever be sacrificed to the future, and he discovers a peculiar miserable delight in the role. “Miserable” is the right adjective."
"二","2.0"
"然而作为一位明智的平凡人，他无论如何都不会同意有什么人为的问题是不能借助聪明才智解决的，不管这问题有多么严重和无望——只要这是他人的问题！他解决朋友的问题非常在行，在行得可怕。而且朋友们都意识到了这一点，都来向他征求意见。如果一位朋友过来咨询他：","Nevertheless, in his quality of a wise plain man, he would never agree that any problem of human conduct, however hard and apparently hopeless, could not be solved by dint of sagacity and ingenuity—provided it was the problem of another person! He is quite fearfully good at solving the problems of his friends. Indeed, his friends, recognizing this, constantly go to him for advice. If a friend consulted him and said:"
"“看，我现在赖以维生和养家的这项工作要耗去我三年的全部精力，但我的脑子得不到片刻的歇息。也许能有点儿空闲时间，但脑子歇不下来，要空闲干嘛呢？至于乐趣，我直接忘了就行了。生活会变成长久的挣扎。而且最后的报偿也很不确定，也许会非常不错，但话说回来，也可能什么都没有。”","“Look here, I’m engaged in an enterprise which will absorb all my energies for three years. It will enable me in the meantime to live and to keep my family, but I shall have scarcely a moment’s freedom of mind. I may have a little leisure, but of what use is leisure without freedom of mind? As for pleasure, I shall simply forget what it is. My life will be one long struggle. The ultimate profit is extremely uncertain. It may be fairly good; on the other hand, it may be nothing at all.”"
"直言不讳的平凡人会自信地打断他说：","The plain man, being also blunt, would assuredly interrupt:"
"“亲爱的朋友，你真傻！”然而这个事例本质上和明智的平凡人的事例一样。主要的区别就是明智的平凡人把自己困了三十年，而不是三年，而且还不一定能得到回报！他不属于那种对事业很有热情的极少数人，他仅仅是个普通的平凡人，每天都在做着与天性格格不入的事情，每天都扼杀一部分天性，就是因为心里觉得以后会有报偿。换句话说，他在为生活做准备，好让将来某一天自己能够真正地生活。他还没有做好现在和将来的折衷，那句抱怨“我的生活有什么乐趣？”，证明了他正为了将来而完全牺牲现在。而将来是多么不可捉摸啊！将来就像地平线，一直不停后退。如果在平凡人三十岁的时候，有人预言他到了四十五岁时，会有琴瑟和谐的妻子和孩子，收入还会不断增长，但离幸福还是一样的遥远，他会对这个预言一笑置之。","“My dear fellow, what a fool you’ve been!” Yet this case is in essence the case of the wise plain man. The chief difference between the two cases is that the wise plain man has enslaved himself for about thirty years instead of three, with naught but a sheer gambling chance of final reward! Not being one of the rare individuals with whom business is a passion, but just an average plain man, he is labouring daily against the grain, stultifying daily one part of his nature, on the supposition that later he will be recompensed. In other words, he is preparing to live, so that at a distant date he may be in a condition to live. He has not effected a compromise between the present and the future. His own complaint—“What pleasure do I get out of life?”—proves that he is completely sacrificing the present to the future. And how elusive is the future! Like the horizon, it always recedes. If, when he was thirty, someone had foretold that at forty-five, with a sympathetic wife and family and an increasing income, he would be as far off happiness as ever, he would have smiled at the prophecy."
"这位来询问意见的朋友有点不满平凡人的直率，也许会反驳：","The consulting friend, somewhat nettled by the plain man’s bluntness, might retort:"
"“就算我是个傻瓜吧，但这不是关键。关键是我现在已经开始做这个工作了，已经无路可退。没什么办法了。”","“I may or may not have been a fool. That’s not the point. The point is that I am definitely in the enterprise, and can’t get out of it. And there’s nothing to be done.”"
"这时平凡人会用热情、鼓励又理智的语调回答：","Whereupon the plain man, in an encouraging, enheartening, reasonable tone, would respond:"
"“别这么说，伙计。当然，开始就开始了吧，不过你要告诉我所有的细节，我们来好好考虑考虑这事儿。告诉你，所有看起来很糟的事情实际上都没那么糟。”","“Don’t say that, my dear chap. Of course, if you’re in it, you’re in it. But give me all the details. Let’s examine the thing. And allow me to tell you that no case that looks bad is as bad as it looks.”"
"在处理自己的事情时，平凡人也该用这种态度与情绪。他应该用对朋友的这种理智语气同自己交谈，用这种令人感动的语气，对自己说：“我来好好考虑考虑这事儿。”","It is precisely in this spirit that the plain man should approach his own case. He should say to himself in that reasonable tone which he employs to his friend, and which is so impressive: “Let me examine the thing.”"
"如果平凡人现在正在读这本书，并且正在不情愿地将自己对号入座，那么他会生气地抗议说：","And now the plain man who is reading this and unwillingly fitting the cap will irately protest:"
"“你以为我没有好好考虑过自己的事情吗？你以为我自己不明白吗？我完全明白。我要是不明白还有谁能明白？我告诉您，我完全明白它的一切。”","“Do you suppose I haven’t examined my own case? Do you suppose I don’t understand it? I understand it thoroughly. Who should understand it if I don’t? I beg to inform you that I know absolutely all about it.”"
"不过更有可能的是，平凡人没有好好考虑过自己的事儿。他很可能只是夜里躺在床上，一边觉得自己极其不幸，一边为自己的坚韧感到自豪；这个过程可不能算作考虑，顶多算是自我放任。至于完全了解这一点，他可能都没注意到自己正在慢慢养成自我怜悯和以坚韧为傲的习惯，而且这已经成为他唯一的乐趣——这是个病态的习惯，也是种病态的乐趣！他完全没有意识到自己变得越来越易怒，别人都在他背后议论；也没觉得自己的有害情绪影响了家庭的气氛。","Still the strong probability is that he has not examined it. The strong probability is that he has just lain awake of a night and felt extremely sorry for himself, and at the same time rather proud of his fortitude. Which process does not amount to an examination; it amounts merely to an indulgence. As for knowing absolutely all about it, he has not even noticed that the habit of feeling sorry for himself and proud of his fortitude is slowly growing on him, and tending to become his sole form of joy—a morbid habit and a sickly joy! He is sublimely unaware of that increasing irritability which others discuss behind his back. He has no suspicion that he is balefully affecting the general atmosphere of his home."
"最重要的是平凡人不知道自己正在失去快乐的能力。的确，如果有人提醒说他正在经历这样的变化，平凡人会感到恼怒和沮丧。他会大叫：“你没搞错吧！只要我有机会，一定能像任何人一样让自己开心！”然而有那么多平凡和（所谓的）成功人士吃惊地发现，当雄心得到满足，每天不必劳作而只是寻求快乐时，快乐的滋味却不知不觉溜走了——这足够证明他们既没有考虑也不懂得自己的问题！在讨论极其重要的个人问题时，没有人比明智的平凡人更加坦诚了，所有的朋友都来征求他睿智的意见。","Above all, he does not know that he is losing the capacity for pleasure. Indeed, if it were suggested that such a change was going on in him he would be vexed and distressed. He would cry out: “Don’t you make any mistake! I could amuse myself as well as any man, if only I got the chance!” And yet, how many tens of thousands of plain and (as it is called) successful men have been staggered to discover, when ambition was achieved and the daily yoke thrown off and the direct search for immediate happiness commenced, that the relish for pleasure had faded unnoticed away—proof enough that they had neither examined nor understood themselves! There is no more ingenuous soul, in affairs of supreme personal importance than your wise plain man, whom all his friends consult for his sagacity."
"请注意，我无意指责平凡人精神上的完全盲目，就像我无意仅仅因为平凡人走入一个房间时看不出别人怎样看待他，而指责他肉体上的完全盲目一样。因为没有人能够全面审视自己，也无法全面审视自己的事务；那些吹嘘自己能做到这一点的人再聪明也无异于傻子；这种人根本没有真正有用的智慧。但我要指责我的平凡人因为骄傲和懒惰而故意闭上眼睛。我要说，如果他不再于半夜自我怜悯和自我欣赏，而是开始用理智、努力且诚实的态度来审视自己的问题，不是在黑夜里这么做，而是在清醒的白天，他会对自己的事情了解得多得多。我还要说，这些自我审视如果做得得当，他也许就会少对妻子横加指责。","Mind, I am not hereby accusing the plain man of total spiritual blindness—any more than I would accuse him of total physical blindness because he cannot see how he looks to others when he walks into a room. For nobody can see all round himself, nor know absolutely all about his own case; and he who boasts that he can is no better than a fool, despite his wisdom; he is not even at the beginning of any really useful wisdom. But I do accuse my plain man of deliberately shutting his eyes, from pride and from sloth. I do say that he might know a great deal more about his case than he actually does know, if only he would cease from pitying and praising himself in the middle of the night, and tackle the business of self-examination in a rational, vigorous, and honest fashion—not in the dark, but in the sane sunlight. And I do further say that a self-examination thus properly conducted might have results which would stultify those outrageous remarks of his to his wife."
"三","3.0"
"很少有人——事实上几乎没有人——能意识到一句古语的珍贵价值：“认识你自己。”这话看起来陈腐又平常；好似很容易做到。这难道不是人人都会的吗？坐在椅子上陷入某种情绪不就行了吗？但实际上这种知识和中文一样难学。很确定地说，千分之九百九十九的人在六十岁之前连皮毛都没有了解到。我们大多数人到死时也几乎完全没有这种知识。也没人能说掌握了它所有令人兴奋的分支。为什么，你可以随便选一名朋友——就选最聪明的吧——然后立即告诉他他性格和行动中非常明显的特征。作为对你的回报，他会愤怒又认真地否认。你注意到了，他所有的朋友也注意到了，但他自己没有注意到。不但没注意到，他甚至确信这只是你不怀好意的揣测。比如说，去找一名以幽默感差而著称的朋友，温和地告诉他：“你缺乏幽默感，我的朋友，”看看他怎么对待这个信息。自我认识的稀缺性就是能到这种程度。","Few people—in fact, very few people indeed—ever realize the priceless value of the ancient counsel: “Know thyself.” It seems so trite, so ordinary. It seems so easy to acquire, this knowledge. Does not everyone possess it? Can it not be got by simply sitting down in a chair and yielding to a mood? And yet this knowledge is just about as difficult to acquire as a knowledge of Chinese. Certainly nine hundred and ninety-nine people out of a thousand reach the age of sixty before getting the rudiments of it. The majority of us die in almost complete ignorance of it. And none may be said to master it in all its exciting branches. Why, you can choose any of your friends—the wisest of them—and instantly tell him something glaringly obvious about his own character and actions—and be rewarded for your trouble by an indignantly sincere denial! You had noticed it; all his friends had noticed it. But he had not noticed it. Far from having noticed it, he is convinced that it exists only in your malicious imagination. For example, go to a friend whose sense of humour is notoriously imperfect, and say gently to him: “Your sense of humour is imperfect, my friend,” and see how he will receive the information! So much for the rarity of self-knowledge."
"自我认识很难，因为它需要思想上的诚实，它要求一个人不能忽视事实、不能逃避现实、不能害怕环视周遭时可能看到的事情。自我认识很稀缺，因为它需要一个人能一直分辨出自己想要成为的人和实际的自己之间的区别，因为它需要公正的超然和一种优雅的、不怕羞耻的品质——这种不怕羞耻的品质让人能对自己坦白，并从坦白中得到合理的乐趣。因为自我认识太难以得到，作为补偿，对自我认识的追求碰巧是最让人着迷的追求之一，那些做得认真的人深有体会。它的好处无穷无尽，还会持续增多。令人不快的是，盎格鲁—撒克逊这个种族的脾性和它很不相容，拉丁人更喜欢它一些。要感受它的魅力，可以听一位很有教养的法国人为了亲密友人而对自己进行的分析。不过，盎格鲁—撒克逊人试试看也会有好处。","Self-knowledge is difficult because it demands intellectual honesty. It demands that one shall not blink the facts, that one shall not hide one’s head in the sand, and that one shall not be afraid of anything that one may happen to see in looking round. It is rare because it demands that one shall always be able to distinguish between the man one thinks one ought to be and the man one actually is. And it is rare because it demands impartial detachment and a certain quality of fine shamelessness—the shamelessness which confesses openly to oneself and finds a legitimate pleasure in confessing. By way of compensation for its difficulty, the pursuit of self-knowledge happens to be one of the most entrancing of all pursuits, as those who have seriously practiced it are well aware. Its interest is inexhaustible and grows steadily. Unhappily, the Anglo-Saxon racial temperament is inimical to it. The Latins like it better. To feel its charm one should listen to a highly-cultivated Frenchman analysing himself for the benefit of an intimate companion. Still, even Anglo-Saxons may try it with advantage."
"自我认识中的一个分支并不是特别难，它是解决平凡人眼下问题所特别需要的，它不涉及对罪孽、即便是对重大错误的认识。只需要简单地知道自己对什么感兴趣，觉得什么是无聊的。","The branch of self-knowledge which is particularly required for the solution of the immediate case of the plain man now under consideration is not a very hard one. It does not involve the recognition of crimes or even of grave faults. It is simply the knowledge of what interests him and what bores him."
"让平凡人坦诚地进入第一个环节吧：做他自己，并不要为此羞愧。让他一直记得，对别人喜欢的东西不感兴趣或喜欢别人不感兴趣的东西都不是罪孽。让他私下里问问自己会使他自由地发挥自己的天性，因为正是对天性本能的逐渐压抑才让他变得像现在这样萎靡。一开始他会用疲惫的声音咕哝说想不出有什么感兴趣的东西，然后让他挖掘自己深埋的天性，趁他还没有变成禁锢于恒定轨道的牺牲品前，回忆起过去灿烂的梦想。每个人都有或曾经有一个秘密的愿望，一个隐藏的愿望。让他找到自己现在或曾经的愿望——园艺、哲学、阅读、旅行、台球、养宠物、训练动物、打猎、游艇，收集图画、邮票、签名照、鼻烟壶或战利品，天文、放风筝、室内装修、外语、纸牌、游泳、写日记、舞台、政治、木工、骑马或开车、音乐、熬夜、早起、种树、砍树、城镇规划、业余军人、静力学、昆虫学、植物学、演讲、逗孩子、迷恋雪茄、爱妻、静谧的居家之夜、魔术、细菌学、测心术、机械学、地质学、绘图、打铃、神秘学、自己的灵魂、甚至高尔夫……","Let him enter upon the first section of it with candour. Let him be himself. And let him be himself without shame. Let him ever remember that it is not a sin to be bored by what interests others, or to be interested in what bores others. Let him in this private inquiry give his natural instincts free play, for it is precisely the gradual suppression of his natural instincts which has brought him to his present pass. At first he will probably murmur in a fatigued voice that he cannot think of anything at all that interests him. Then let him dig down among his buried instincts. Let him recall his bright past of dreams, before he had become a victim imprisoned in the eternal groove. Everybody has, or has had, a secret desire, a hidden leaning. Let him discover what his is, or was—gardening, philosophy, reading, travel, billiards, raising animals, training animals, killing animals, yachting, collecting pictures or postage-stamps or autographs or snuff-boxes or scalps, astronomy, kite-f lying, house-furnishing, foreign languages, cards, swimming, diary-keeping, the stage, politics, carpentry, riding or driving, music, staying up late, getting up early, tree-planting, tree-felling, town-planning, amateur soldiering, statics, entomology, botany, elocution, children-fancying, cigar-fancying, wife-fancying, placid domestic evenings, conjuring, bacteriology, thought-reading, mechanics, geology, sketching, bell-ringing, theosophy, his own soul, even golf…"
"在他秘密兴趣可能所在或曾经所在的一千万个方向中，我列出了一些。也许我没有正确列出他的兴趣，但他能找到，或许不用花什么力气就能找到好几个正确的方向。","I mention a few of the ten million directions in which his secret desire may point or have pointed. I have probably not mentioned the right direction. But he can find it. He can perhaps find several right directions without too much trouble."
"现在他说：","And now he says:"
"“我想你是让我开始从事其中的一项？”","“I suppose you mean me to take up one of these things?”"
"我的确这样想——这是基于看到他将如此清晰的一项职责忽视至今。如果他能早点着手，并且坚持下去，就不会陷入今天这种屈辱的境地，悲哀地宣称生活没有乐趣。","I do, seeing that he has hitherto neglected so clear a duty. If he had attended to it earlier, and with perseverance he would not be in the humiliating situation of exclaiming bitterly that he has no pleasure in life.  "
"“可是，”他坚持说到，“你明明知道我没有时间啊！”","“But,” he resists, “you know perfectly well that I have no time!” "
"我则只好这样回答他：","To which I am obliged to make reply:"
"“亲爱的先生，现在不是在跟你老婆谈话，好好地跟我说实话吧！”","“My dear sir, it is not your wife you are talking to. Kindly be honest with me.”"
"我承认平凡人的工作很耗费精力，要求又高。为了充分论证，我承认他不能马上毫无后顾之忧地缩减工作时间。即使这样，在他每星期醒着的一百一十个小时里，工作占用的时间至多也不会超过七十小时。余下的时间，要么在做无聊却必要的事情，要么在做不但无聊而且毫无必要的事情（因为他自己宣称没从生活中得到乐趣）——访友、举办餐会、打牌、读报纸、度过静谧的居家之夜、夜晚外出、去酒吧、无所事事地坐着、打扮自己、度周末、看戏、去古典音乐会、读文学作品、坐火车去郊外玩、熬夜、赶时髦、甚至打高尔夫。不管他消磨闲暇时光的方式是什么，这种方式都不对，只因为他觉得无聊。而且消磨闲暇本身就是个错误，闲暇和工作一样，也需要计划，而且需要规划成几大部分。","I admit that his business is very exhausting and exigent. For the sake of argument I will grant that he cannot safely give it an instant’s less time than he is now giving it. But even so his business does not absorb at the outside more than seventy hours of the hundred and ten hours during which he is wide awake each week. The rest of the time he spends either in performing necessary acts in a tedious way or in performing acts which are not only tedious to him, but utterly unnecessary (for his own hypothesis is that he gets no pleasure out of life)—visiting, dinner-giving, cards, newspaper-reading, placid domestic evenings, evenings out, bar-lounging, sitting aimlessly around, dandifying himself, weekending, theatres, classical concerts, literature, suburban train travelling, staying up late, being in the swim, even golf. In whatever manner he is whittling away his leisure, it is the wrong manner, for the sole reason that it bores him. Moreover, all whittling of leisure is a mistake. Leisure, like work, should be organized, and it should be organized in large pieces."
"正确的方法显然就是用可能有趣的活动来替换明显无聊的活动，并且这种变化要用脑子思考，用工作的精神执行。第一要务就是意识到必须丢弃一些东西。","The proper course clearly is to substitute acts which promise to be interesting for acts which have proved themselves to produce nothing but tedium, and to carry out the change with brains, in a business spirit. And the first essential is to recognize that something has definitely to go by the board."
"平凡人抗议说：","He protests:"
"“但我做的事都是平常的事——每个人都做的事！做完就该睡觉了。”","“But I do only the usual things—what everybody else does! And then it’s time to go to bed.”"
"但这里谈的是他的状况，不是每个人的状况。为什么仅仅为了和大家保持一致就要屈服于无休止的沉闷？","The case, however, is his case, not everybody else’s case. Why should he submit to everlasting boredom for the mere sake of acting like everybody else?"
"他继续坚持：","He continues in the same strain:"
"“但你在要求我改变整个生活——我都这么大年纪了！”","“But you are asking me to change my whole life—at my age!”"
"根本不是这样！我只是在建议他该开始真正的生活了。","Nothing of the sort! I am only suggesting that he should begin to live. And then finally he cries:"
"最后他终于叫道：“这太极端了。我没有这个勇气！”","“It’s too drastic. I haven’t the pluck!”"
"现在我们触到了关键问题。","Now we are coming to the real point."
"四","4.0"
"在平凡人的意志这个系统中，除了一个方向，其余全都堵塞住了，原因就是过于专业化导致的长时间忽略。他需要理清他的头脑，并且也可以理清——头脑能够自我理清——只要定期强迫它休息。可实际情况是它从未真正从工作中解脱出来休个假。我并不是说平凡人每时每刻都在考虑工作的事儿，而是说他一直都想着要考虑工作，工作总是萦绕在他脑中，即使是以潜伏的状态。一有机会，如果脑子没有想事儿，它就会暴躁地蹦出来寻求注意。这个人的脑子就像是一名不幸的家仆，尽管不是一直在工作，却从不歇班，日夜都不能从那该死的召唤电铃的威胁中解脱，而且这脑子还和家仆一样沉闷。平凡人的工作随时都可以按响召唤电铃，在他喝汤的时候，在他于暖暖的夏夜和妻子单独坐在一起的时候，特别是在他天亮前醒来自我怜悯和自我赞美的时候。","The machinery of his volition, in all directions save one, has been clogged, through persistent neglect, due to over-specialization. His mind needs to be cleared, and it can be cleared—it will clear itself—if regular periods of repose are enforced upon it. As things are, it practically never gets a holiday from business. I do not mean that the plain man is always thinking about his business; but I mean that he is always liable to think about his business, that his business is always present in his mind, even if dormant there, and that at every opportunity, if the mind happens to be inactive, it sits up querulously and insists on attention. The man’s mind is indeed rather like an unfortunate domestic servant who, though not always at work, is never off duty, never night or day free from the menace of a damnable electric bell; and it is as stale as that servant. His business is capable of ringing the bell when the man is eating his soup, when he is sitting alone with his wife on a warm summer evening, and especially when he wakes just before dawn to pity and praise himself."
"但他为这种情况辩护说：","But he defends the position:"
"“我的工作需要考虑很多——要一直保持警觉。”","“My business demands much reflection—constant watchfulness.”"
"首先，如果一项事业需要同一个人日夜保持警觉，那就是组织得太差，应该重新规划。这和大自然的常识是相悖的。其次，平凡人的辩护很虚假。他屈服于这无止境的劳心不是因为觉得理所应当，而仅仅是因为忍不住。有多次，特别是在天亮前，他希望不用这样徒劳地魂不守舍，好再次进入梦乡——可是不能如愿！有多少次，在欢乐的聚会中，他私下里不觉得百无聊赖，因为脑子里那个霸道的念想像是一只发条老鼠一样转个不停，没有任何实际用途也不能让他真正融入周围欢乐的环境中去！","Well, in the first place, an enterprise which demands watchfulness day and night from the same individual is badly organized, and should be reorganized. It runs contrary to the common sense of Nature. And, in the second place, his defence is insincere. He does not submit to the eternal preoccupation because he thinks he ought, but simply because he cannot help it. How often, especially just before the dawn, has he not longed to be delivered from the perfectly futile preoccupation, so that he might go to sleep again—and failed to get free! How often, in the midst of some jolly gathering, has he not felt secretly desolate because the one tyrannic topic would run round and round in his mind, just like a clockwork mouse, accomplishing no useful end, and making impossible any genuine participation in the gaiety that environs him!"
"这种病态的劳心不是平凡人工作成功的必要条件，反而对其很有害。如果能够每天至少连续十三个小时根本不去想工作，那平凡人考虑起工作来会更有实效、更有力量，也更有创造力。","Instead of being necessary to the success of his business, this morbid preoccupation is positively detrimental to his business. He would think much more usefully, more powerfully, more creatively, about his business if during at least thirteen consecutive hours each day he never thought of it at all."
"关于这个问题还有另一点。平凡人可以想象一下，那些与他相亲相爱的家人，他理论上为之工作的那些人，如果一直觉得他只是从工作的余晖中模模糊糊看见他们，会有何感受！唉，情况会更糟！即使当和妻子坐在一起时，两人也是在隔着铁窗交谈，旁边站着的看守听着每一个字。想想这会让她感到多么夸张啊！如果他想的是另一个女人而不是工作，她也许还能更夸张，最起码会感到震惊。如果他每天下午能够把工作关在门外，不仅对自己和工作有好处，妻子也会露出充满智慧的温暖笑容。和大多数女人一样，他妻子对于生活本质的把握比对所依靠的男人的把握更加坚定。她从心里知道（他只是脑子里知道）工作、政治这类东西对于真正的生活来说都是第二位的，只是生存的初步基础。在平凡人赞美她时，她会红着脸暗自高兴，丈夫终于开始懂得最有价值的东西了！","And there is still a further point in this connection. Let him imagine how delightful it must be for the people in the home which he has made, the loving people whom he loves and to whom in theory he is devoting his career, to feel continually that he only sees them obscurely through the haze emanating from his business! Why—worse!—even when he is sitting with his wife, he and she might as well be communicating with each other across a grille against which a turnkey is standing and listening to every word said! Let him imagine how flattering for her! She might be more flattered, at any rate more thrilled, if she knew that instead of thinking about his business he was thinking about another woman. Could he shut the front door every afternoon on his business, the effect would not only be beneficial upon it and upon him, but his wife would smile the warm smile of wisdom justified. Like most women, she has a firmer grasp of the essence of life than the man upon whom she is dependent. She knows with her heart (what he only knows with his brain) that business, politics, and all that sort of thing are secondary to real existence, the mere preliminaries of it. She would rejoice, in the blush of the compliment he was paying her, that he had at last begun to comprehend the ultimate values!"
"据我所知，还没有哪种专利设备可以控制头脑，让人从平凡人的困扰中解脱出来。但要达到这个目的，可以用一种平凡无奇的方法循序渐进。如果有这种困扰的人每次发现自己工作之外的时间还在想着工作，就刻意去想其他事，或者什么都不想，他大概早晚（可能两周左右），就能摆脱这习惯，或者至少占个上风。这种治疗需要恒心，但并不特别需要付出无法完成的努力，只是需要对小事的那份坚持。","So far as I am aware, there is no patent device for suddenly gaining that control of the mind which will enable one to free it from an obsession such as the obsession of the plain man. The desirable end can, however, be achieved by slow degrees, and by an obvious method which contains naught of the miraculous. If the victim of the obsession will deliberately try to think of something else, or to think of nothing at all—every time he catches himself in the act of thinking about his business out of hours, he certainly will, sooner or later—probably in about a fortnight—cure the obsession, or at least get the upper hand of it. The treatment demands perseverance, but it emphatically does not demand an impossibly powerful effort. It is an affair of trifling pertinacious touches."
"这个方法在白天比较容易执行，在公司里能让人分心的事情很多，但在夜里独自一人时就不那么容易了。在没什么活力又容易自我膨胀的夜间时段，与某种习惯做斗争并取得胜利非常不易。但白天持续获得的小小成功会逐渐间接地影响夜晚。简单却坚决的建议也能有很大功效。似乎很少有人知道，尽管这是个事实，下决心最有效的时刻是入睡之前那段昏沉平静的时间。人体的整个机能在那时都处于被动的状态，比起一天二十四小时中的其他时间，更容易让意志的烙印留下永恒的痕迹。如果一个人有规律地在那个时刻清晰又坚定地对自己说：“我不会在家里还想着工作，我不会在家里还想着工作，我不会在家里还想着工作，”效果会让他大吃一惊。顺便说一下，这个效果是通过潜意识达到的，我们对它不可观察的工作方式只能猜测。","It is a treatment easier to practise during daylight, in company, when distractions are plentiful, than in the solitude of the night. Triumphantly to battle with an obsession at night, when the vitality is low and the egoism intensified, is extremely difficult. But the small persistent successes of the day will gradually have their indirect influence on the night. A great deal can also be done by simple resolute suggestion. Few persons seem to know—what is, nevertheless, a fact—that the most effective moment for making resolves is in the comatose calm which precedes going to sleep. The entire organism is then in a passive state, and more permanently receptive of the imprint of volition than at any other period of the twenty-four hours. If regularly at that moment the man says clearly and imperiously to himself, “I will not allow my business to preoccupy me at home; I will not allow my business to preoccupy me at home; I will not allow my business to preoccupy me at home,” he will be astonished at the results; which results, by the way, are reached by subconscious and therefore unperceived channels whose workings we can only guess at."
"当这个习惯被打败、被消灭时，平凡人发现他不仅仅多了开始生活中新兴趣的必要勇气和主动性，天性也会主动要求开始这新兴趣，因为天性已得到解放。","And when the obsession is beaten, destroyed, he will find himself not merely fortified with the necessary pluck and initiative for importing anew interest into his existence. His instincts of their own accord will be asking for that interest, for they will have been set free."
"五","5.0"
