"雷神桥谜案[^1]","The Problem of Thor Bridge"
"“兴许是吧，可您必须承认，福尔摩斯先生，如果有人直截了当地问起自己跟某个女人的关系，大多数男人都会有点儿躲躲闪闪，如果他确实对这个女人动了真情的话。要我说，大多数男人的心灵深处都有一小块只属于自己的私人领地，不欢迎别人跑来窥探。您倒好，突然之间就闯了进来。话又说回来，您这么做只是为了救她，所以也情有可原。好吧，围栏已经撤除，私人领地已经开放，您想看哪儿就看哪儿吧。您想知道什么呢？”","“That may be so, but you will admit, Mr. Holmes, that most men would shy off a bit when they are asked point-blank what their relations with a woman may be—if there is really some serious feeling in the case. I guess most men have a little private reserve of their own in some corner of their souls where they don’t welcome intruders. And you burst suddenly into it. But the object excuses you, since it was to try and save her. Well, the stakes are down and the reserve open, and you can explore where you will. What is it you want?”"
"“真相。”","“The truth.”"
"金矿大王沉默了片刻，似乎是正在整理自己的思绪。这时候，他那张沟壑纵横的严峻面孔已经变得更加悲哀、更加阴沉。","The Gold King paused for a moment as one who marshals his thoughts. His grim, deep-lined face had become even sadder and more grave."
"“真相几句话就可以说完，福尔摩斯先生。”他终于开了口。“有些事情不好讲，讲起来也让人痛苦，所以我只会讲到必要的程度，不会再往深里讲。在巴西淘金的时候，我认识了我的妻子。她闺名玛丽亚·平托，是马瑙斯一位政府官员的女儿，长得非常漂亮。那时我很年轻，脑子里充满了激情，不过，即便到了现在，拿一种更加冷静、更加挑剔的眼光回头去看，我仍然觉得当时的她是一个少有的美人。除此之外，吸引我的还有她那种深沉饱满的性情，她敢爱敢恨，全心全意，热情奔放，行事冲动，跟我在美国见到的那些女人大不相同。长话短说吧，我爱上了她，后来又娶了她。等到当初的浪漫激情——那样的激情持续了好些年——消退之后，我才认识到我俩之间没有共同点，一丁点儿都没有。这么着，我对她的爱由浓转淡。如果她的爱也淡了的话，事情倒还好办，可您肯定知道，女人就是这么奇妙！不管我怎么做，她始终不肯疏远我。即便我对她冷酷无情，按有些人的说法还达到了惨无人道的地步，那也只是因为我知道，如果能扑灭她的爱，或者是让她由爱转恨，我们两个都会好过一些。可是，什么事情也不能改变她的心意。身处英格兰的山林之中，她对我的爱依然跟二十年前在亚马逊河岸的时候一模一样。随便我怎么做，她始终对我死心塌地。","“I can give it to you in a very few words, Mr. Holmes,” said he at last. “There are some things that are painful as well as difficult to say, so I won’t go deeper than is needful. I met my wife when I was gold-hunting in Brazil. Maria Pinto was the daughter of a government official at Manaos, and she was very beautiful. I was young and ardent in those days, but even now, as I look back with colder blood and a more critical eye, I can see that she was rare and wonderful in her beauty. It was a deep rich nature, too, passionate, whole-hearted, tropical, ill-balanced, very different from the American women whom I had known. Well, to make a long story short, I loved her and I married her. It was only when the romance had passed—and it lingered for years—that I realized that we had nothing—absolutely nothing—in common. My love faded. If hers had faded also it might have been easier. But you know the wonderful way of women! Do what I might, nothing could turn her from me. If I have been harsh to her, even brutal as some have said, it has been because I knew that if I could kill her love, or if it turned to hate, it would be easier for both of us. But nothing changed her. She adored me in those English woods as she had adored me twenty years ago on the banks of the Amazon. Do what I might, she was as devoted as ever."
"“然后呢，格蕾丝·邓巴小姐来了。她来应征我们登的启事，然后就成了我们那两个孩子的家庭教师。报纸上有她的相片，您兴许已经看见了。所有的人都承认，她也是一个非常漂亮的女人。好啦，我并不打算装出一副比别人高尚的样子。我这就跟您坦白，天天跟这样的一个女人待在同一个屋檐下，我不可能不对她产生强烈的感情。这有什么不对吗，福尔摩斯先生？”","“Then came Miss Grace Dunbar. She answered our advertisement and became governess to our two children. Perhaps you have seen her portrait in the papers. The whole world has proclaimed that she also is a very beautiful woman. Now, I make no pretence to be more moral than my neighbours, and I will admit to you that I could not live under the same roof with such a woman and in daily contact with her without feeling a passionate regard for her. Do you blame me, Mr. Holmes?”"
"“我倒不觉得您这种感情有什么不对，可您要是把它表白出来的话，那可就不应该了，因为这位年青的女士在一定程度上是托庇于您的。”","“I do not blame you for feeling it. I should blame you if you expressed it, since this young lady was in a sense under your protection.”"
"“呃，兴许是吧。”富豪应了一句，只不过，福尔摩斯的谴责还是让愤怒的光芒再一次从他眼里一闪而过。“我没打算往自个儿脸上贴金。要我说，我一辈子都是个想要什么就伸手去拿的人，而我最想要的就是这个女人的爱，还有她这个人。我照直跟她说了。”","“Well, maybe so,” said the millionaire, though for a moment the reproof had brought the old angry gleam into his eyes. “I’m not pretending to be any better than I am. I guess all my life I’ve been a man that reached out his hand for what he wanted, and I never wanted anything more than the love and possession of that woman. I told her so.”"
"“哦，您说了啊，真的吗？”","“Oh, you did, did you?”"
"真生起气来的时候，福尔摩斯的样子是非常可怕的。","Holmes could look very formidable when he was moved."
"“我跟她说，能娶她的话我一定会娶，只可惜我办不到。我还告诉她，钱不是问题，只要能让她过得舒心惬意，我不会吝惜任何东西。”","“I said to her that if I could marry her I would, but that it was out of my power. I said that money was no object and that all I could do to make her happy and comfortable would be done.”"
"“不用说，您真是慷慨极啦。”福尔摩斯冷笑一声。","“Very generous, I am sure,” said Holmes with a sneer."
"“听着，福尔摩斯先生，我找您是为了澄清事实，并不是为了跟您探讨道德问题。我不需要您对我指手划脚。”","“See here, Mr. Holmes. I came to you on a question of evidence, not on a question of morals. I’m not asking for your criticism.”"
"“完全是看在这位年青女士的分上，我才会碰您这件案子。”福尔摩斯厉声说道。“按我看，她身上的所有罪名都坏不过您自承不讳的那条罪名，因为您竟然打算毁掉一个托庇于您的无助姑娘。你们这样的富人真应该受到一点儿教训，好让你们知道，并不是整个世界都会接受你们的贿赂，对你们的罪恶不闻不问。”","“It is only for the young lady’s sake that I touch your case at all,” said Holmes sternly. “I don’t know that anything she is accused of is really worse than what you have yourself admitted, that you have tried to ruin a defenceless girl who was under your roof. Some of you rich men have to be taught that all the world cannot be bribed into condoning your offences.”"
"出乎我意料的是，金矿大王竟然老老实实地收下了这通训斥。","To my surprise the Gold King took the reproof with equanimity."
"“到这会儿，我自个儿也是这么想的。谢天谢地，我的计划没有收到我预期的效果。她根本不听我说的那些话，还打算立刻离开我的宅子。”","“That’s how I feel myself about it now. I thank God that my plans did not work out as I intended. She would have none of it, and she wanted to leave the house instantly.”"
"“她为什么没有离开呢？”","“Why did she not?”"
"“呃，这首先是因为她得养活她的亲人，她不能随随便便地自断生计，让她的亲人陷入困境。等我发誓保证——我确实发了誓——再也不骚扰她之后，她也就接受了我的挽留。不过，这当中还有另外的原因。她心里明白，她对我的影响力超过了世上的任何一种力量，所以就想利用这种影响力来做点好事。”","“Well, in the first place, others were dependent upon her, and it was no light matter for her to let them all down by sacrificing her living. When I had sworn—as I did—that she should never be molested again, she consented to remain. But there was another reason. She knew the influence she had over me, and that it was stronger than any other influence in the world. She wanted to use it for good.”"
"“怎么做呢？”","“How?”"
"“这个嘛，她对我的生意略有所知。我的生意做得很大，福尔摩斯先生，大得超出了普通人的想象。我掌握着兴造与摧毁的力量，不过我通常都是摧毁。毁在我手里的不光是单个的人，还有一个又一个的群体、一个又一个的城市，甚至是一个又一个的国家。生意是一种冷血的游戏，弱者只能承受失败的结局。我全力以赴地玩着这种游戏，自己从来不叫痛，也从来不管别人叫不叫痛。不过，她的看法跟我不一样，我也觉得她的看法不无道理。她心口如一地认为，一个人的多余财富绝不能建筑在千万人生活无着的基础之上。她的看法就是这样，按我的感觉，她能够看到某种比财富更加持久的东西。她发现我肯听她的话，所以相信自己可以通过影响我的行动来造福世人。这么着，她留了下来，然后就出了这件事情。”","“Well, she knew something of my affairs. They are large, Mr. Holmes—large beyond the belief of an ordinary man. I can make or break—and it is usually break. It wasn’t individuals only. It was communities, cities, even nations. Business is a hard game, and the weak go to the wall. I played the game for all it was worth. I never squealed myself, and I never cared if the other fellow squealed. But she saw it different. I guess she was right. She believed and said that a fortune for one man that was more than he needed should not be built on ten thousand ruined men who were left without the means of life. That was how she saw it, and I guess she could see past the dollars to something that was more lasting. She found that I listened to what she said, and she believed she was serving the world by influencing my actions. So she stayed—and then this came along.”"
"“您自个儿有没有什么头绪呢？”","“Can you throw any light upon that?”"
"金矿大王没有立刻回答，而是用双手捂住脑袋，沉思了一两分钟。","The Gold King paused for a minute or more, his head sunk in his hands, lost in deep thought."
"“局面确实对她非常不利，这一点我绝不否认。再者说，女人的心思深藏不露，往往会做出让男人没法预料的事情。刚刚出事的时候，我惊得慌了神，以至于愿意相信她确实是受了什么匪夷所思的蛊惑，做出了这种完全违背本性的事情。后来呢，我想到了这么一种解释，不管它讲不讲得通，我还是说给您听一听。我妻子非常妒忌她，这是件毫无疑问的事情。对精神关系的妒忌也可以非常疯狂，不逊于对身体关系的妒忌。虽说我妻子没有理由产生后一种妒忌——照我看，她自己也明白这一点——可她确实知道，这个英国姑娘可以在很大程度上影响我的想法和行动，而她自己从来不曾拥有这样的力量。尽管这是一种好的影响，事情也没有任何改观。仇恨把她逼到了疯狂的边缘，她的血液里又始终流淌着亚马逊河的刚烈性情。当时的情形兴许是这样的，她想要谋杀邓巴小姐，要不就是拿枪威胁邓巴小姐离开我们家。然后呢，她们两个扭打起来，枪走了火，中枪的正好是拿着枪的那一个。”","“It’s very black against her. I can’t deny that. And women lead an inward life and may do things beyond the judgment of a man. At first I was so rattled and taken aback that I was ready to think she had been led away in some extraordinary fashion that was clean against her usual nature. One explanation came into my head. I give it to you, Mr. Holmes, for what it is worth. There is no doubt that my wife was bitterly jealous. There is a soul-jealousy that can be as frantic as any body-jealousy, and though my wife had no cause—and I think she understood this—for the latter, she was aware that this English girl exerted an influence upon my mind and my acts that she herself never had. It was an influence for good, but that did not mend the matter. She was crazy with hatred, and the heat of the Amazon was always in her blood. She might have planned to murder Miss Dunbar—or we will say to threaten her with a gun and so frighten her into leaving us. Then there might have been a scuffle and the gun gone off and shot the woman who held it.”"
"“这种可能性我已经想到了。”福尔摩斯说道。“说实在的，这是唯一的一种可以替代蓄意谋杀的明显解释。”","“That possibility had already occurred to me,” said Holmes. “Indeed, it is the only obvious alternative to deliberate murder.”"
"“可是，邓巴小姐彻底否认这种解释。”","“But she utterly denies it.”"
"“这个嘛，她的否认并不能成为定论，对吧？可想而知，一个女人陷入了如此可怕的处境，完全可能惊慌失措地拿着枪跑回家里，甚至还可能把枪扔进自己的衣橱，压根儿没有意识到自己在干什么。等到事情败露的时候，她也完全可能来个一概不认，用谎言来给自己开脱，因为其他的说辞都帮不上忙。您能拿什么来推翻这样的假设呢？”","“Well, that is not final—is it? One can understand that a woman placed in so awful a position might hurry home still in her bewilderment holding the revolver. She might even throw it down among her clothes, hardly knowing what she was doing, and when it was found she might try to lie her way out by a total denial, since all explanation was impossible. What is against such a supposition?”"
"“邓巴小姐的人品。”","“Miss Dunbar herself.”"
"“是吗，也许吧。”","“Well, perhaps.”"
"福尔摩斯看了看表。“我敢肯定，我们今天上午就可以拿到必要的许可[^12]，然后就可以坐晚班火车去温切斯特。见到这位年青女士之后，我多半可以更好地替您出力，不过我不能保证，我的结论一定会符合您的心意。”","Holmes looked at his watch. “I have no doubt we can get the necessary permits this morning and reach Winchester by the evening train. When I have seen this young lady it is very possible that I may be of more use to you in the matter, though I cannot promise that my conclusions will necessarily be such as you desire.”"
"官方的手续出现了一些延误，结果呢，当天我们并没有直接赶往温切斯特，而是先去了一趟雷神府邸，也就是尼尔·吉布森先生在汉普郡置下的那片产业。吉布森先生没有亲自作陪，只是把考文垂警长的地址给了我们。考文垂警长来自当地的警局，是这件案子的第一个经手人。他身材瘦高、面无血色，老是摆着一副神神秘秘的架势，让人觉得他知道或者猜到的事情还有很多很多，只是不敢说出来而已。他还有一种怪癖，那就是突然把嗓门儿压到耳语那么低，似乎是有了什么天大的发现，说出来的却往往只是一些再平常不过的事情。另一方面，我们很快就发现，他外在的举止虽然怪异，骨子里却是个正派诚实的伙计，态度也比较谦逊，能够坦然承认自己束手无策，需要别人的帮助。","There was some delay in the official pass, and instead of reaching Winchester that day we went down to Thor Place, the Hampshire estate of Mr. Neil Gibson. He did not accompany us himself, but we had the address of Sergeant Coventry, of the local police, who had first examined into the affair. He was a tall, thin, cadaverous man, with a secretive and mysterious manner which conveyed the idea that he knew or suspected a very great deal more than he dared say. He had a trick, too, of suddenly sinking his voice to a whisper as if he had come upon something of vital importance, though the information was usually commonplace enough. Behind these tricks of manner he soon showed himself to be a decent, honest fellow who was not too proud to admit that he was out of his depth and would welcome any help."
"“不管怎么样，福尔摩斯先生，您来了总比苏格兰场来人要好，”他如是说道。“苏格兰场来了人的话，本地的警察就只有背黑锅的份儿，什么功劳也别想分到。您不一样，我听说您办事是非常公道的。”","“Anyhow, I’d rather have you than Scotland Yard, Mr. Holmes,” said he. “If the Yard gets called into a case, then the local loses all credit for success and may be blamed for failure. Now, you play straight, so I’ve heard.”"
"“我压根儿就不需要在这件案子当中露脸。”福尔摩斯说道，我们这位愁眉苦脸的新相识立刻露出了宽慰的表情。“如果我破了案，你们也不需要提我的名字。”","“I need not appear in the matter at all,” said Holmes to the evident relief of our melancholy acquaintance. “If I can clear it up I don’t ask to have my name mentioned.”"
"“呃，说实在的，您的肚量可真大。我还知道，您的朋友华生医生也是个可靠的人。好了，福尔摩斯先生，既然咱们要去那边，我倒有个问题想请教您。除了您以外，我跟谁也不会提这个问题。”说到这里，他环顾四周，一副不敢开口的模样。“按您看，这件事情会不会是尼尔·吉布森先生本人干的呢？”","“Well, it’s very handsome of you, I am sure. And your friend, Dr. Watson, can be trusted, I know. Now, Mr. Holmes, as we walk down to the place there is one question I should like to ask you. I’d breathe it to no soul but you.” He looked round as through he hardly dare utter the words. “Don’t you think there might be a case against Mr. Neil Gibson himself?”"
"“我也在想这个问题。”","“I have been considering that.”"
"“您还没见过邓巴小姐呢，她从哪方面来说都是个非常不错的女人。吉布森先生很可能会嫌他妻子挡了路。再说了，那些美国人可比咱们这边的人喜欢动枪。那把枪就是他的，您知道吧。”","“You’ve not seen Miss Dunbar. She is a wonderful fine woman in every way. He may well have wished his wife out of the road. And these Americans are readier with pistols than our folk are. It was his pistol, you know.”"
"“这一点得到确认了吗？”","“Was that clearly made out?”"
"“是的，先生。他有一对那样的手枪，那是其中的一把。”","“Yes, sir. It was one of a pair that he had.”"
"“一对当中的一把？另一把在哪儿呢？”","“One of a pair? Where is the other?”"
"“呃，这位先生有一大堆这样那样的火器。我们一直都没给那把枪配上对——不过，盒子确实是装两把枪的盒子。”","“Well, the gentleman has a lot of firearms of one sort and another. We never quite matched that particular pistol—but the box was made for two.”"
"“既然它本来就是一对当中的一把，你们肯定能给它配上对啊。”","“If it was one of a pair you should surely be able to match it.”"
"“这个嘛，我们把所有的枪都摆在了那座宅子里，您想看就可以去看。”","“Well, we have them all laid out at the house if you would care to look them over.”"
"“以后再看吧。要我说，咱们还是一起去惨案现场看看好了。”","“Later, perhaps. I think we will walk down together and have a look at the scene of the tragedy.”"
"前面这段对话发生在当地警局那间小小的前屋里，所谓的当地警局则不过是考文垂警长那座简陋的农舍而已。接下来，我们踏入了一片风声瑟瑟的荒野，凋零的蕨类植物把荒野染成了黄金和青铜的颜色。步行大概半英里之后，我们走进了雷神府邸的庭园侧门，然后就沿着一条小径穿过雉鸡猎场，进入一片空地，在那里看到了占地宽广的雷神大宅。砖木结构的宅子矗立在小山顶上，一半是都铎式，一半是乔治王时代的风格。我们的旁边是一个长长的苇塘，中央的水面最为狭窄，上面架着一座石桥，庭园里主要的马车道就从桥上经过，石桥两侧的水面倒是比较宽阔，形成了两个小小的湖泊。走到桥头的时候，我们的警长向导停了下来，指了指地面。","This conversation had taken place in the little front room of Sergeant Coventry’s humble cottage which served as the local police-station. A walk of half a mile or so across a wind-swept heath, all gold and bronze with the fading ferns, brought us to a side-gate opening into the grounds of the Thor Place estate. A path led us through the pheasant preserves, and then from a clearing we saw the widespread, half-timbered house, half Tudor and half Georgian, upon the crest of the hill. Beside us there was a long, reedy pool, constricted in the centre where the main carriage drive passed over a stone bridge, but swelling into small lakes on either side. Our guide paused at the mouth of this bridge, and he pointed to the ground."
"“吉布森太太的尸体就是在这里发现的，这块石头是我做的记号。”","“That was where Mrs. Gibson’s body lay. I marked it by that stone.”"
"“据我所知，您赶到的时候，尸体还没有挪动过吧？”","“I understand that you were there before it was moved?”"
"“是的，他们马上就通知了我。”","“Yes, they sent for me at once.”"
"“谁通知您的呢？”","“Who did?”"
"“就是吉布森先生本人。刚刚听说出了事，他就带着几个人从宅子里冲了下来，并且严令他们保护现场，等警察来了再说。”","“Mr. Gibson himself. The moment the alarm was given and he had rushed down with others from the house, he insisted that nothing should be moved until the police should arrive.”"
"“这倒是明智之举。我从报上看到了，子弹是从很近的距离射出来的。” ","“That was sensible. I gathered from the newspaper report that the shot was fired from close quarters.”"
"“是的，先生，非常近。” ","“Yes, sir, very close.”"
"“子弹是打在右边的太阳穴附近吗？”","“Near the right temple?”"
"“太阳穴后面一点点，先生。” ","“Just Behind it, sir.”"
"“尸体是什么样的姿势呢？”","“How did the body lie?”"
"“仰面朝天，先生。现场没有打斗的迹象。什么痕迹都没有，也没有武器。邓巴小姐写的那张条子是在太太身上发现的，太太把条子攥在了左手的手心。” ","“On the back, sir. No trace of a struggle. No marks. No weapon. The short note from Miss Dunbar was clutched in her left hand.”"
"“攥在手心，是这样吗？”","“Clutched, you say?”"
"“是的，先生，我们好不容易才掰开了她的手指。”","“Yes, sir, we could hardly open the fingers.”"
"“这一点非常重要，它排除了有人在太太死后塞条子栽赃的可能性。我的天！按我的记忆，那张条子非常简短，是这么写的：‘我九点钟到雷神桥。——格 ·邓巴’对吗？”","“That is of great importance. It excludes the idea that anyone could have placed the note there after death in order to furnish a false clue. Dear me! The note, as I remember, was quite short: I will be at Thor Bridge at nine o’clock. – G. Dunbar. Was that not so?”"
"“对，先生。”","“Yes, sir.”"
"“邓巴小姐承认条子是她写的吗？”","“Did Miss Dunbar admit writing it?”"
"“承认，先生。”","“Yes, sir.”"
"“她怎么解释这件事情呢？”","“What was her explanation?”"
"“她的辩词要留到巡回法庭上去说，眼下她什么也不肯讲。”","“Her defence was reserved for the Assizes. She would say nothing.”"
"“这件案子还真是挺有趣的。条子的事情完全是不明不白，不是吗？” ","“The problem is certainly a very interesting one. The point of the letter is very obscure, is it not?”"
"“呃，先生，”警长说道，“请允许我斗胆说一句，这好像是整件案子当中唯一的一个明明白白的地方啊。”","“Well, sir,” said the guide, “it seemed, if I may be so bold as to say so, the only really clear point in the whole case.”"
"福尔摩斯摇了摇头。","Holmes shook his head."
"“假设条子是真的，条子的内容也是真的，太太收到条子的时间肯定得比出事的时间早那么一两个小时。既然如此，出事之后，条子为什么还在她的左手里面呢？她为什么要这么小心翼翼地攥着它呢？条子里并没有写什么见面时还得拿着参考的内容啊。您不觉得这件事情很奇怪吗？”","“Granting that the letter is genuine and was really written, it was certainly received some time before—say one hour or two. Why, then, was this lady still clasping it in her left hand? Why should she carry it so carefully? She did not need to refer to it in the interview. Does it not seem remarkable?”"
"“呃，先生，听您这么一说，还真是有点儿奇怪。”","“Well, sir, as you put it, perhaps it does.”"
"“我觉得我应该安安静静地坐几分钟，好好地想想这个问题。”他在石砌的栏杆扶手上坐了下来，敏锐的灰色眼睛飞快地四下扫视。突然之间，他一跃而起，跑到对面的栏杆跟前，飞快地掏出兜里的放大镜，研究起石头来。","“I think I should like to sit quietly for a few minutes and think it out.” He seated himself upon the stone ledge of the bridge, and I could see his quick gray eyes darting their questioning glances in every direction. Suddenly he sprang up again and ran across to the opposite parapet, whipped his lens from his pocket, and began to examine the stonework."
"“奇怪。”他说道。","“This is curious,” said he."
"“是啊，先生，我们也看见了扶手上面的这块凿痕。依我看，这肯定是哪个过路人干的。”","“Yes, sir, we saw the chip on the ledge. I expect it’s been done by some passerby.”"
"石砌的扶手是灰色的，眼前的这个位置却有一块白色的痕迹，只有一枚六便士硬币[^13]那么大。仔细看就可以发现，这是一次猛烈撞击留下的痕迹。","The stonework was gray, but at this one point it showed white for a space not larger than a sixpence. When examined closely one could see that the surface was chipped as by a sharp blow."
"“这可真需要一点儿蛮力才办得到呢。”福尔摩斯若有所思地说道。他抡起手杖敲了几下扶手，扶手完好无损。“没错，之前的那次撞击非常猛烈。还有啊，撞击的位置也很古怪，撞击不是来自上方，而是从下面来的，这不，痕迹是在扶手的下缘。”","“It took some violence to do that,” said Holmes thoughtfully. With his cane he struck the ledge several times without leaving a mark. “Yes, it was a hard knock. In a curious place, too. It was not from above but from below, for you see that it is on the *lower*edge of the parapet.”"
"“可是，这地方离尸体少说也有十五英尺啊。”","“But it is at least fifteen feet from the body.”"
"“没错，这地方跟尸体之间的距离就是十五英尺。这块痕迹兴许跟这件案子没什么关系，但却还是值得咱们留意一下。要我说，这儿已经没什么可看的啦。您刚才说现场没有脚印，对吗？”","“Yes, it is fifteen feet from the body. It may have nothing to do with the matter, but it is a point worth noting. I do not think that we have anything more to learn here. There were no footsteps, you say?”"
"“案发当时的地面硬得跟铁板一样，先生，什么痕迹都没有。”","“The ground was iron hard, sir. There were no traces at all.”"
"“那咱们就走吧。我们准备到上面的宅子里去看看您说的那些武器，接着就去温切斯特，因为我还是想先见见邓巴小姐，之后再作打算。”","“Then we can go. We will go up to the house first and look over these weapons of which you speak. Then we shall get on to Winchester, for I should desire to see Miss Dunbar before we go farther.”"
"尼尔·吉布森先生还没有从城里回来，可我们倒是在宅子里见到了上午的那位访客，也就是神经兮兮的贝茨先生。他幸灾乐祸地领着我们参观了一大堆令人胆寒的火器，这些火器各式各样，有大有小，全都是他的东家在惊险跌宕的一生中积攒起来的东西。","Mr. Neil Gibson had not returned from town, but we saw in the house the neurotic Mr. Bates who had called upon us in the morning. He showed us with a sinister relish the formidable array of firearms of various shapes and sizes which his employer had accumulated in the course of an adventurous life."
"“吉布森先生树敌很多，可您要是对他和他的手段有所了解，也就不会觉得奇怪啦。”他说道。“就算是睡觉的时候，他也会在床边的抽屉里摆上一把上了膛的左轮手枪。他这个人非常凶暴，先生，有些时候，我们大家都会被他弄得提心吊胆。我敢肯定，刚刚过世的那位可怜女士经常都被他吓得够呛。”","“Mr. Gibson has his enemies, as anyone would expect who knew him and his methods,” said he. “He sleeps with a loaded revolver in the drawer beside his bed. He is a man of violence, sir, and there are times when all of us are afraid of him. I am sure that the poor lady who has passed was often terrified.”"
"“您亲眼见过他对她动手吗？”","“Did you ever witness physical violence towards her?”"
"“没有，这我倒没见过。可我听到过一些几乎跟动手一样伤人的话，那些话带着一种冰冷刺骨的轻蔑，当着仆人的面他也说。”","“No, I cannot say that. But I have heard words which were nearly as bad—words of cold, cutting contempt, even before the servants.”"
"“在私生活方面，这位富翁好像不怎么高明啊。”去车站的路上，福尔摩斯如是说道。“好了，华生，咱们已经掌握了不少情况，有一些还是新发现的情况，即便如此，我还是拿不出什么结论。显而易见，贝茨先生对他的东家深恶痛绝，可他还是告诉我，警报传来的时候，东家确确实实是在图书室里。当天的晚餐是八点半结束的，之前也一切正常。警报传来的时间虽然是在深夜，惨案发生的时间却肯定是跟条子上写的那个时间相去不远。吉布森先生是下午五点从城里回来的，没有任何迹象表明他后来又出过门。反过来，从我了解到的情况来看，邓巴小姐已经承认自己约了吉布森太太在桥上见面。其他的事情她一概不说，因为她的律师建议她把辩词保留到巡回法庭开庭的时候。咱们有几个至关紧要的问题，需要这位年青女士帮着解答，见到她之前，我心里是踏实不了的。必须承认的是，要不是因为一件事情的话，我自个儿也会觉得，局面对她非常不利。”","“Our millionaire does not seem to shine in private life,” remarked Holmes as we made our way to the station. “Well, Watson, we have come on a good many facts, some of them new ones, and yet I seem some way from my conclusion. In spite of the evident dislike which Mr. Bates has to his employer, I gather from him that when the alarm came he was undoubtedly in his library. Dinner was over at 8:30 and all was normal up to then. It is true that the alarm was somewhat late in the evening, but the tragedy certainly occurred about the hour named in the note. There is no evidence at all that Mr. Gibson had been out of doors since his return from town at five o’clock. On the other hand, Miss Dunbar, as I understand it, admits that she had made an appointment to meet Mrs. Gibson at the bridge. Beyond this she would say nothing, as her lawyer, had advised her to reserve her defence. We have several very vital questions to ask that young lady, and my mind will not be easy until we have seen her. I must confess that the case would seem to me to be very black against her if it were not for one thing.”"
"“哪件事情，福尔摩斯？”","“And what is that, Holmes?”"
"“在她衣橱里找到手枪的事情。”","“The finding of the pistol in her wardrobe.”"
"“天哪，福尔摩斯！”我大叫一声，“要我看，这件事情是最最确凿的一条罪证啊。”","“Dear me, Holmes!” I cried, “that seemed to me to be the most damning incident of all.”"
"“不是这样的，华生。刚开始有点儿粗略想法的时候，我已经觉得这件事情非常古怪，眼下我对案情有了更多的了解，这件事情就成了我可以仰仗的唯一一座靠山。咱们必须替所有的事情找出逻辑，一旦有什么地方不合逻辑，咱们就得当心其中有诈。”","“Not so, Watson. It had struck me even at my first perfunctory reading as very strange, and now that I am in closer touch with the case it is my only firm ground for hope. We must look for consistency. Where there is a want of it we must suspect deception.”"
"“我没听明白你的意思。”","“I hardly follow you.”"
"“行啦，华生，咱们不妨暂时把你想象成一个女人。你打算通过一种预先安排的残忍方法来除掉一个情敌。你订好了计划，写好了条子，情敌如约赶来，你掏出武器实施了罪行，整个过程驾轻就熟，算无遗策。可是，完成了如此巧妙的一桩罪行之后，你竟然不把武器扔进近在咫尺的苇塘，永远地隐藏罪证，非得小心翼翼地把武器带回家，再把它放进自个儿的衣橱，明知道那是警方搜查的第一个目标，你说说，你会用这样的方式来败坏自己在犯罪行当里的名声吗？华生啊，真正了解你的人都不会管你叫做谋略大师，即便如此，我还是觉得你干不出这么拙劣的事情。”","“Well now, Watson, suppose for a moment that we visualize you in the character of a woman who, in a cold, premeditated fashion, is about to get rid of a rival. You have planned it. A note has been written. The victim has come. You have your weapon. The crime is done. It has been workmanlike and complete. Do you tell me that after carrying out so crafty a crime you would now ruin your reputation as a criminal by forgetting to fling your weapon into those adjacent reed-beds which would forever cover it, but you must needs carry it carefully home and put it in your own wardrobe, the very first place that would be searched? Your best friends would hardly call you a schemer, Watson, and yet I could not picture you doing anything so crude as that.”"
"“可是，情急之下——”","“In the excitement of the moment—”"
"“不，不会的，华生，我绝不相信世上会有这样的事情。出自冷静预谋的罪行必然伴有出自冷静预谋的灭迹方法。所以我才抱有一线希望，希望眼前的事情仅仅是一种严重的错觉。”","“No, no, Watson, I will not admit that it is possible. Where a crime is coolly premeditated, then the means of covering it are coolly premeditated also. I hope, therefore, that we are in the presence of a serious misconception.”"
"“可是，需要澄清的疑点还很多啊。”","“But there is so much to explain.”"
"“这个嘛，咱们这就可以展开澄清疑点的工作。只需要换一换视角，你就会发现，特别不利的那些证据恰恰是提示真相的线索。例子之一就是那把左轮手枪。邓巴小姐说她完全不知道手枪的事情，咱们的新假设又表明她说的是实话，这样一来，那把枪就必然是别人放在她衣橱里的。谁放的呢？自然是某个想要嫁祸于她的人。如此说来，嫁祸的人不就是真正的凶手吗？你瞧，咱们马上就看到了一条极有价值的调查线索。”","“Well, we shall set about explaining it. When once your point of view is changed, the very thing which was so damning becomes a clue to the truth. For example, there is this revolver. Miss Dunbar disclaims all knowledge of it. On our new theory she is speaking truth when she says so. Therefore, it was placed in her wardrobe. Who placed it there? Someone who wished to incriminate her. Was not that person the actual criminal? You see how we come at once upon a most fruitful line of inquiry.”"
