"最后一案","The Final Problem"
"第二天早上，我不折不扣地执行了福尔摩斯的指示。我叫人雇来一辆马车，雇车的时候也采取了相应的预防措施，杜绝了别人预先布下圈套的可能。吃过早饭之后，我立刻坐车赶到劳瑟拱廊，跟着就以最快的速度冲到了拱廊的另一头。一辆四轮马车已经等在那里，车夫块头很大，身上裹着黑色的斗篷。我刚刚踏进马车，车夫就扬鞭打马，马车立刻辚辚驶向维多利亚车站。我下车之后，他立刻掉转车头绝尘而去，连看都没有看我一眼。","In the morning I obeyed Holmes’s injunctions to the letter. A hansom was procured with such precautions as would prevent its being one which was placed ready for us, and I drove immediately after breakfast to the Lowther Arcade, through which I hurried at the top of my speed. A brougham was waiting with a very massive driver wrapped in a dark cloak, who, the instant that I had stepped in, whipped up the horse and rattled off to Victoria Station. On my alighting there he turned the carriage, and dashed away again without so much as a look in my direction."
"到这会儿为止，一切都进行得十分顺利。我的行李已经上了车，找福尔摩斯所说的那节车厢也没费什么力气。整列火车上只有那节车厢标着“已有预订”，找起来当然更加容易。让我担心的事情只有一件，那就是车站的时钟显示火车七分钟之后就要出发，福尔摩斯却始终没有露面。我在成群结队的旅客和送行亲友当中搜寻着我朋友的矫健身影，但却没有任何发现。这之后，我花了几分钟的时间来帮助一位年迈的意大利神父，因为他的英语非常蹩脚，怎么也没法让搬运工明白，应该把他的行李托运到巴黎。接下来，我又在周围找了一圈，然后就回到了车上。没想到，那个搬运工竟然擅作主张，把那位衰朽的意大利朋友变成了我的旅伴，也不管车票对不对得上。我想跟他解释他上错了车厢，可惜的是怎么也说不清楚，因为我的意大利语比他的英语还要蹩脚。于是我只好无可奈何地耸耸肩膀，继续焦灼不安地往窗子外面张望，寻觅着我朋友的身影。我心里渐渐涌起了一股冰凉的恐惧，因为我暗自揣测，今天他没有来，会不会是昨天夜里出了什么事情。眼看着车门已经悉数关闭，耳边也传来了汽笛的声音，就在这时——","So far all had gone admirably. My luggage was waiting for me, and I had no difficulty in finding the carriage which Holmes had indicated, the less so as it was the only one in the train which was marked “Engaged.” My only source of anxiety now was the non-appearance of Holmes. The station clock marked only seven minutes from the time when we were due to start. In vain I searched among the groups of travellers and leave-takers for the lithe figure of my friend. There was no sign of him. I spent a few minutes in assisting a venerable Italian priest, who was endeavouring to make a porter understand, in his broken English, that his luggage was to be booked through to Paris. Then, having taken another look round, I returned to my carriage, where I found that the porter, in spite of the ticket, had given me my decrepit Italian friend as a travelling companion. It was useless for me to explain to him that his presence was an intrusion, for my Italian was even more limited than his English, so I shrugged my shoulders resignedly, and continued to look out anxiously for my friend. A chill of fear had come over me, as I thought that his absence might mean that some blow had fallen during the night. Already the doors had all been shut and the whistle blown, when——"
"“亲爱的华生，”一个声音说道，“你的架子可真不小，连道声早安都不乐意。 ”","“My dear Watson,” said a voice, “you have not even condescended to say good-morning.”"
"我大吃一惊，不由自主地转过头去，刚好跟那位年迈的神父四目相对。刹那之间，他脸上的皱纹纷纷消失，鼻子高高耸起，下唇不再突出，嘴里不再念念有词，暗淡的眼睛重放光华，佝偻的身子也挺了起来。紧接着，他整个儿的身形再一次塌了下去，福尔摩斯再一次从我眼前消失，来得快去得也快。","I turned in uncontrollable astonishment. The aged ecclesiastic had turned his face towards me. For an instant the wrinkles were smoothed away, the nose drew away from the chin, the lower lip ceased to protrude and the mouth to mumble, the dull eyes regained their fire, the drooping figure expanded. The next the whole frame collapsed again, and Holmes had gone as quickly as he had come."
"“天哪！”我忍不住叫了起来，“你可真把我给吓坏了！”","“Good heavens!” I cried, “how you startled me!”"
"“眼下依然不能有丝毫大意，”他悄声说道。“我完全有理由相信，他们跟咱们如影随形。哈，那就是莫里亚蒂本人。”","“Every precaution is still necessary,” he whispered. “I have reason to think that they are hot upon our trail. Ah, there is Moriarty himself.”"
"福尔摩斯说话的时候，火车已经动了起来。我回头瞥了一眼，看见一个高个子男人正在发疯似的挤过人群，一只手还在不停挥舞，似乎是想让火车停下来。不过，他已经来迟一步，因为火车飞快地提高了速度，转眼就把车站远远地甩在了后面。","The train had already begun to move as Holmes spoke. Glancing back, I saw a tall man pushing his way furiously through the crowd, and waving his hand as if he desired to have the train stopped. It was too late, however, for we were rapidly gathering momentum, and an instant later had shot clear of the station."
"“看见了吧，咱们千小心万小心，这次还是走得非常侥幸，”福尔摩斯笑着说道。这之后，他站了起来，脱下身上的黑袍黑帽，把这套神父行头装进了一个手提包。","“With all our precautions, you see that we have cut it rather fine,” said Holmes, laughing. He rose, and throwing off the black cassock and hat which had formed his disguise, he packed them away in a hand-bag."
"“今天的晨报你看了吗，华生？” ","“Have you seen the morning paper, Watson?”"
"“没有。”","“No.”"
"“这么说，贝克街的新闻你也没看见喽？”","“You haven’t seen about Baker Street, then?”"
"“贝克街？”","“Baker Street?”"
"“昨天夜里，他们点着了咱们的房子，还好是损失不大。”","“They set fire to our rooms last night. No great harm was done.”"
"“天哪，福尔摩斯，这可真叫人忍无可忍！”","“Good heavens, Holmes, this is intolerable!”"
"“那个拿大头棒的家伙被捕之后，他们一定是彻底失去了我的踪迹。要不然，他们就不会以为我回家去了。不过，他们显然没忘了派人盯你的梢，就是因为盯上了你，莫里亚蒂才追到了维多利亚车站。来车站的时候，你没出什么岔子吧？”","“They must have lost my track completely after their bludgeonman was arrested. Otherwise they could not have imagined that I had returned to my rooms. They have evidently taken the precaution of watching you, however, and that is what has brought Moriarty to Victoria. You could not have made any slip in coming?”"
"“我完全是按你说的做的。”","“I did exactly what you advised.”"
"“你赶上那辆四轮马车了吗？”","“Did you find your brougham?”"
"“是的，当时它就在那里等着。”","“Yes, it was waiting.”"
"“车夫是谁，你认出来了吗？” ","“Did you recognize your coachman?”"
"“没有。”","“No.”"
"“是我哥哥迈克罗夫特。这样的事情可不能托付给雇来的人，有了他，事情就方便多了。不过，咱们必须好好地盘算盘算，接下来该怎么应付莫里亚蒂。”","“It was my brother Mycroft. It is an advantage to get about in such a case without taking a mercenary into your confidence. But we must plan what we are to do about Moriarty now.”"
"“咱们坐的是趟快车，接下来又有联程的轮渡[^6]，依我看，咱们应该可以把他远远地甩在身后吧。 ”","“As this is an express, and as the boat runs in connection with it, I should think we have shaken him off very effectively.”"
"“亲爱的华生，之前我说过，这个人的智力水平多半是跟我本人不相上下，现在看来，你显然是没有认识到这句话的含义。换成是我来追踪的话，你总不至于认为，这么点儿微不足道的问题就能把我给难住吧。既然如此，你把他看得这么无能，道理又在哪里呢？”","“My dear Watson, you evidently did not realize my meaning when I said that this man may be taken as being quite on the same intellectual plane as myself. You do not imagine that if I were the pursuer I should allow myself to be baffled by so slight an obstacle. Why, then, should you think so meanly of him?”"
"“他会怎么做呢？”","“What will he do?”"
"“做我会做的事情。 ”","“What I should do.”"
"“那么，你会怎么做呢？”","“What would you do, then?”"
"“安排一趟专列。 ”","“Engage a special.”"
"“那也会比咱们晚。 ”","“But it must be late.”"
"“绝对不会。这趟车会在坎特伯雷[^7]停一阵，一般来说，轮渡至少也得等一刻钟。他会在渡口追上咱们的。”","“By no means. This train stops at Canterbury; and there is always at least a quarter of an hour’s delay at the boat. He will catch us there.”"
"“听你说这些，人家还以为咱俩是逃犯呢。咱们不妨通知警方，等他一到就逮捕他。”","“One would think that we were the criminals. Let us have him arrested on his arrival.”"
"“那样的话，整整三个月的辛劳就会付之流水。大鱼固然可以捉到，小鱼却会飞快地钻出网子。等到周一的话，咱们就可以一网打尽。不行，现在可不能逮捕他。”","“It would be to ruin the work of three months. We should get the big fish, but the smaller would dart right and left out of the net. On Monday we should have them all. No, an arrest is inadmissible.”"
"“那么，怎么办才好呢？”","“What then?”"
"“咱们应该在坎特伯雷下车。 ”","“We shall get out at Canterbury.”"
"“然后呢？”","“And then?”"
"“呃，然后咱们就从陆路前往纽黑文，再从纽黑文去迪耶普[^8]。扑空之后，莫里亚蒂又会做我会做的事情，那就是前往巴黎，找出咱们的行李所在的货栈，在货栈那里等上两天。与此同时，咱们不妨买上两个毡包，支持一下沿途各国的制造业[^9]，然后优哉游哉地前往卢森堡，再从巴塞尔进入瑞士。”","“Well, then we must make a cross-country journey to Newhaven, and so over to Dieppe. Moriarty will again do what I should do. He will get on to Paris, mark down our luggage, and wait for two days at the depot. In the meantime we shall treat ourselves to a couple of carpet-bags, encourage the manufactures of the countries through which we travel, and make our way at our leisure into Switzerland, via Luxembourg and Basle.”"
"作为一名经验丰富的旅行者，我并不觉得失去行李是一件十分不便的事情，不过我必须承认，被迫在这么个劣迹昭彰的家伙面前躲躲藏藏，我心里确实有点儿窝火。然而，显而易见，福尔摩斯比我更清楚眼下的形势[^10]。计议已定，我俩就在坎特伯雷下了车，结果却发现，还得等上一个小时才有去纽黑文的火车。","At Canterbury, therefore, we alighted, only to find that we should have to wait an hour before we could get a train to Newhaven."
"目送着载有我全部行装的行李车厢飞速远去，我不由得满心懊恼，就在这时，福尔摩斯拽了拽我的衣袖，指了指远方的铁道。","I was still looking rather ruefully after the rapidly disappearing luggage-van which contained my wardrobe, when Holmes pulled my sleeve and pointed up the line."
"“你瞧，他已经来了，”他说道。","“Already, you see,” said he."
"远远的地方，肯特郡的丛林之中升起了一缕轻烟。片刻之后，一部机车拖着一节车厢出现在了附近那段没有遮掩的弯道上，向着车站飞快地冲了过来。我俩刚刚藏到一堆行李后面，那列火车就一声长鸣，轰隆隆地驶过站台，热烘烘的空气扑到了我俩的脸上。","Far away, from among the Kentish woods there rose a thin spray of smoke. A minute later a carriage and engine could be seen flying along the open curve which leads to the station. We had hardly time to take our place behind a pile of luggage when it passed with a rattle and a roar, beating a blast of hot air into our faces."
"“他走啦，”我俩看着那列火车摇摇晃晃地驶过一个个道岔，福尔摩斯说道。“你瞧，咱们这位朋友的智力也是有极限的。要是他能够把我的演绎结果演绎出来、并且据此采取行动的话，那可就真是高明到家了。”","“There he goes,” said Holmes, as we watched the carriage swing and rock over the points. “There are limits, you see, to our friend’s intelligence. It would have been a *coup-de-maître* had he deduced what I would deduce and acted accordingly.”"
"“要是追上了咱们的话，他会怎么做呢？”","“And what would he have done had he overtaken us?”"
"“毫无疑问，他会向我发起致命一击。不过，谁死谁活还是未知之数。眼下的问题是，咱们是在这儿吃顿为时过早的午饭呢，还是冒一冒饥饿至死的风险，到了纽黑文再找饭馆。”","“There cannot be the least doubt that he would have made a murderous attack upon me. It is, however, a game at which two may play. The question now is whether we should take a premature lunch here, or run our chance of starving before we reach the buffet at Newhaven.”"
"我俩连夜赶到布鲁塞尔，在那里待了两天，第三天就到了斯特拉斯堡[^11]。周一早晨，福尔摩斯给伦敦警方发了封电报，当晚我俩回到酒店的时候，伦敦警方的回复已经到了。福尔摩斯一把扯开电报，跟着就痛骂一声，把电报扔进了壁炉。","We made our way to Brussels that night and spent two days there, moving on upon the third day as far as Strasbourg. On the Monday morning Holmes had telegraphed to the London police, and in the evening we found a reply waiting for us at our hotel. Holmes tore it open, and then with a bitter curse hurled it into the grate."
"“我早该想到会是这样！”他气冲冲地说道。“他跑掉了！”","“I might have known it!” he groaned. “He has escaped!”"
"“莫里亚蒂吗？”","“Moriarty?”"
"“他们把整个匪帮一网打尽，单单漏掉了他。他从他们手底下溜掉了。唉，既然我离开了英国，他当然是没有对手啦。可是，当时我真的以为，我交给他们的是一盘稳赢不输的棋。依我看，华生，你最好还是回英国去吧。”","“They have secured the whole gang with the exception of him. He has given them the slip. Of course, when I had left the country there was no one to cope with him. But I did think that I had put the game in their hands. I think that you had better return to England, Watson.”"
"“为什么？”","“Why?”"
"“因为我已经变成了一个危险的旅伴。这家伙的行当已经完了，再回伦敦也不会有任何出路。如果我没有看走眼的话，他一定会抛开一切，不遗余力地找我报仇。之前那次短暂的会晤当中，他就是这么跟我说的，依我看，他可绝不是说说而已。听我的，你一定得回你的诊所去。”","“Because you will find me a dangerous companion now. This man’s occupation is gone. He is lost if he returns to London. If I read his character right he will devote his whole energies to revenging himself upon me. He said as much in our short interview, and I fancy that he meant it. I should certainly recommend you to return to your practice.”"
"我可是一个沙场老将，又是他的老朋友，自然不会接受这样的提议。为了这个问题，我俩坐在斯特拉斯堡的餐厅里争论了半个小时。不过，当晚我俩还是继续赶路，并且平安地抵达了日内瓦。","It was hardly an appeal to be successful with one who was an old campaigner as well as an old friend. We sat in the Strasbourg *salle-à-manger* arguing the question for half an hour, but the same night we had resumed our journey and were well on our way to Geneva."
"我俩在罗讷河河谷四处漫游，度过了十分惬意的一周，之后就从洛伊克转入岔路，翻越依然覆盖着厚厚积雪的杰米隘口，取道因特拉肯进入迈林根[^12]。一路之上风光旖旎，山下是青葱秀美的春色，山上是纯白无瑕的冬景。不过，一望而知，福尔摩斯一刻也不曾忘却笼罩在他身上的那片阴影。不管是在风俗淳厚的阿尔卑斯山村，还是在荒僻无人的山间隘口，我都可以看到他四处扫视的迅疾眼神，看到他仔细打量从我们身边经过的每一张面孔，由此知道他确信无疑，不管我俩走到哪里，都不能逃脱那种如影随形的危险。","For a charming week we wandered up the valley of the Rhone, and then, branching off at Leuk, we made our way over the Gemmi Pass, still deep in snow, and so, by way of Interlaken, to Meiringen. It was a lovely trip, the dainty green of the spring below, the virgin white of the winter above; but it was clear to me that never for one instant did Holmes forget the shadow which lay across him. In the homely Alpine villages or in the lonely mountain passes, I could still tell by his quick glancing eyes and his sharp scrutiny of every face that passed us, that he was well convinced that, walk where we would, we could not walk ourselves clear of the danger which was dogging our footsteps."
"记得有一次，我俩刚刚翻过杰米隘口，正走在景色凄迷的道本湖边，一块巨大的岩石突然从右边的山梁上掉了下来，轰隆隆地翻滚了一路，咚的一声砸进了我俩身后的湖水。福尔摩斯立刻冲上山梁，站到高耸的峰顶，伸长了脖子四下张望。带路的向导一再向他保证，在这个地方，春天里掉石头实属等闲之事，可他始终不肯相信。他没有出言反驳，只是冲我笑了笑，用他的神态告诉我，这不过是他意料之中的事情。","Once, I remember, as we passed over the Gemmi, and walked along the border of the melancholy Daubensee, a large rock which had been dislodged from the ridge upon our right clattered down and roared into the lake behind us. In an instant Holmes had raced up on to the ridge, and, standing upon a lofty pinnacle, craned his neck in every direction. It was in vain that our guide assured him that a fall of stones was a common chance in the springtime at that spot. He said nothing, but he smiled at me with the air of a man who sees the fulfillment of that which he had expected."
"他虽然万分警惕，但却从来不曾垂头丧气。恰恰相反，在我的记忆之中，他还从来不曾有过如此意气昂扬的时刻。一次又一次，他不厌其烦地提醒我这样一个事实，一旦断定莫里亚蒂教授已经无法危害社会，他就可以高高兴兴地结束自己的侦探生涯。","And yet for all his watchfulness he was never depressed. On the contrary, I can never recollect having seen him in such exuberant spirits. Again and again he recurred to the fact that if he could be assured that society was freed from Professor Moriarty he would cheerfully bring his own career to a conclusion."
"“依我看，华生，我完全可以不揣冒昧地说一句，我的人生并非一无是处，”他如是说道。“即便我的人生篇章在今夜戛然而止，回首前尘，我依然可以问心无愧。因为我的存在，伦敦的空气多少清新了一些。我经手过上千件案子，扪心自问，我从来不曾将我的本领用到有违道义的方向。最近这段时间，我渐渐对大自然提出的种种问题产生了探究的兴趣，与之相较，我们这个矫揉造作的社会所引发的种种问题不免有点儿浅薄无稽。华生，一旦我擒获或者铲除这个危害与本领都堪称全欧之最的罪犯，由此登上我职业生涯的巅峰，你的回忆录就可以画上句号了。”","“I think that I may go so far as to say, Watson, that I have not lived wholly in vain,” he remarked. “If my record were closed to-night I could still survey it with equanimity. The air of London is the sweeter for my presence. In over a thousand cases I am not aware that I have ever used my powers upon the wrong side. Of late I have been tempted to look into the problems furnished by nature rather than those more superficial ones for which our artificial state of society is responsible. Your memoirs will draw to an end, Watson, upon the day that I crown my career by the capture or extinction of the most dangerous and capable criminal in Europe.”"
"我要讲的故事已经接近终篇，我会简明扼要地把它讲完，同时也会力求准确无误。这个话题我并不愿意多谈，与此同时，我已经意识到，我有责任还原事情的真相，不能遗漏任何细节。","I shall be brief, and yet exact, in the little which remains for me to tell. It is not a subject on which I would willingly dwell, and yet I am conscious that a duty devolves upon me to omit no detail."
"我俩是五月三号抵达迈林根的。到了那个小村之后，我俩住进了“英吉利旅馆”。旅馆的东家名为老彼得·斯泰勒，脑子非常好使，曾在伦敦的格罗夫纳酒店当过三年侍应，说得一口流利的英语。按照他推荐的路线，我俩在四日下午出门游玩，打算翻过几座小山，到罗森洛伊村去过夜。除此之外，他郑而重之地叮嘱我俩，绝不能错过半山的莱辛巴赫瀑布，无论如何也要绕点儿路去欣赏一下。","It was on the third of May that we reached the little village of Meiringen, where we put up at the Englischer Hof, then kept by Peter Steiler the elder. Our landlord was an intelligent man and spoke excellent English, having served for three years as waiter at the Grosvenor Hotel in London. At his advice, on the afternoon of the fourth we set off together, with the intention of crossing the hills and spending the night at the hamlet of Rosenlaui. We had strict injunctions, however, on no account to pass the falls of Reichenbach, which are about halfway up the hills, without making a small detour to see them."
"千真万确，那是个惊心动魄的地方。挟着消融的积雪，水势大盛的滚滚激流猛然跌进可怕的深渊，水雾层层上涌，宛如失火房屋的浓烟。河水跌落的终点本来就是一道巨大的裂缝，周围那些漆黑发亮的岩石更把它箍成了一个白沫翻腾、深不可测的洞穴，满溢的水流从犬牙交错的洞口射向上空。又宽又长的碧色水流无休无止地轰然坠落，摇曳的水汽则形成了一道厚重的帘幕，无休无止地嘶嘶上涌，混乱与喧嚣持续不断，令人头晕目眩。我俩站在崖边，凝望瀑水坠入远远的下方、在黑色的岩石上溅起亮闪闪的水花，倾听瀑水那宛如怒吼的轰鸣，挟着深渊之中的水雾腾腾升起。","It is, indeed, a fearful place. The torrent, swollen by the melting snow, plunges into a tremendous abyss, from which the spray rolls up like the smoke from a burning house. The shaft into which the river hurls itself is an immense chasm, lined by glistening coal-black rock, and narrowing into a creaming, boiling pit of incalculable depth, which brims over and shoots the stream onward over its jagged lip. The long sweep of green water roaring forever down, and the thick flickering curtain of spray hissing forever upward, turn a man giddy with their constant whirl and clamour. We stood near the edge peering down at the gleam of the breaking water far below us against the black rocks, and listening to the half-human shout which came booming up with the spray out of the abyss."
"观瀑的小径凿在瀑布崖壁的半高处，为的是让游人看到瀑布的全貌，小径的尽头则是一道断崖，游人只能原路折返。我俩刚刚转过身来，准备往回走，却见一名瑞士青年沿着小径跑了过来，手里还拿着一封信。信上有我俩刚刚离开的那家旅馆的标记，是旅馆的东家写给我的。信上说，我俩刚走没几分钟，旅馆里就来了一位英国女士。该女士患有肺结核，已经到了晚期，之前是在达沃斯普拉茨过冬，眼下则准备去卢塞恩访友[^13]，不料却突然咯血，据估计是只剩下几个小时的生命。即便如此，如果能得到一名英国医生的照料，对她来说也是极大的安慰。既有此等情形，请问我是否愿意返回旅馆，如此等等。好心的斯泰勒还在附言里恳切表示，该女士断然拒绝瑞士医生的诊治，因此他自感责任重大，如果我遵嘱返回，他本人也将感激不尽。","The path has been cut halfway round the fall to afford a complete view, but it ends abruptly, and the traveller has to return as he came. We had turned to do so, when we saw a Swiss lad come running along it with a letter in his hand. It bore the mark of the hotel which we had just left and was addressed to me by the landlord. It appeared that within a very few minutes of our leaving, an English lady had arrived who was in the last stage of consumption. She had wintered at Davos Platz and was journeying now to join her friends at Lucerne, when a sudden hemorrhage had overtaken her. It was thought that she could hardly live a few hours, but it would be a great consolation to her to see an English doctor, and, if I would only return, etc. The good Steiler assured me in a postscript that he would himself look upon my compliance as a very great favour, since the lady absolutely refused to see a Swiss physician, and he could not but feel that he was incurring a great responsibility."
"面对这样的要求，我自然不能置之不理。一位女性同胞即将客死异乡，拒绝她的请求实在是件无法想象的事情。可是，要让我撇下福尔摩斯，我终归觉得顾虑重重。不过，我们最终还是商量出了一个办法，那就是我暂时返回迈林根，那名年青的瑞士信差则留在这里，充当他的向导和旅伴。我朋友说，他打算在瀑布旁边稍事停留，然后就慢慢地翻山前往罗森洛伊。傍晚时分，我可以到那里去跟他会合。转身离去的时候，我看见福尔摩斯背靠一块岩石，双臂抱在胸前，正在凝神俯瞰飞泻的瀑水。谁曾想天意茫茫，这一眼，便是我今生最后一次看到他的身影。","The appeal was one which could not be ignored. It was impossible to refuse the request of a fellow-countrywoman dying in a strange land. Yet I had my scruples about leaving Holmes. It was finally agreed, however, that he should retain the young Swiss messenger with him as guide and companion while I returned to Meiringen. My friend would stay some little time at the fall, he said, and would then walk slowly over the hill to Rosenlaui, where I was to rejoin him in the evening. As I turned away I saw Holmes, with his back against a rock and his arms folded, gazing down at the rush of the waters. It was the last that I was ever destined to see of him in this world."
"快到山脚的时候，我回头望了一眼。瀑布已经不在视线范围之内，能看见的只是山腰那条通往瀑布的蜿蜒小径。我记得，当时我看到了一个男人，正在小径上急速前行。","When I was near the bottom of the descent I looked back. It was impossible, from that position, to see the fall, but I could see the curving path which winds over the shoulder of the hills and leads to it. Along this a man was, I remember, walking very rapidly."
"青葱山崖映衬之下，那人的黑色身影显得格外清晰。我注意到了他，也注意到了他健步如飞的匆匆行色，可我很快就把这件事情置之脑后，因为我要务在身，自己也是脚下生风。","I could see his black figure clearly outlined against the green behind him. I noted him, and the energy with which he walked, but he passed from my mind again as I hurried on upon my errand."
"大概用了一个钟头多一点点的时间，我赶回了迈林根。老斯泰勒站在旅馆的门廊里。","It may have been a little over an hour before I reached Meiringen. Old Steiler was standing at the porch of his hotel."
"“呃，”我一边急步上前，一边说道，“要我说，她的病情没有恶化吧？”","“Well,” said I, as I came hurrying up, “I trust that she is no worse?”"
"诧异的表情掠过了他的脸庞，随着他眉毛一挑，我的心猛然一坠，仿佛是灌满了铅。","A look of surprise passed over his face, and at the first quiver of his eyebrows my heart turned to lead in my breast."
"“这封信不是你写的吗？”我把兜里的信掏了出来。“旅馆里没有患病的英国女士吗？”","“You did not write this?” I said, pulling the letter from my pocket. “There is no sick Englishwoman in the hotel?”"
"“当然没有！”他叫道。“怪了，信上的确有旅馆的标记哩！啊，这一定是那位高个子的英国先生写的，你们走了之后他才来的。他说——”","“Certainly not!” he cried. “But it has the hotel mark upon it! Ha, it must have been written by that tall Englishman who came in after you had gone. He said——”"
"恐惧的感觉传遍了我的全身，不等他接着解释，我已经顺着村里的街道跑了出去，跑向我片刻之前刚刚离开的那条山径。下来的时候我用了一个钟头，此时我使尽了浑身力气，但却还是用了两个钟头才赶回莱辛巴赫瀑布跟前。福尔摩斯的登山杖依然斜倚在岩石上，跟我离开的时候一样。可是，手杖的主人已经不见踪影，不管我怎么呼唤，回应我的都只有我自己的声音，在四围的峭壁之间反复盘旋。","But I waited for none of the landlord’s explanation. In a tingle of fear I was already running down the village street, and making for the path which I had so lately descended. It had taken me an hour to come down. For all my efforts two more had passed before I found myself at the fall of Reichenbach once more. There was Holmes’s Alpine-stock still leaning against the rock by which I had left him. But there was no sign of him, and it was in vain that I shouted. My only answer was my own voice reverberating in a rolling echo from the cliffs around me."
"看到他的登山杖，我不由得满心寒意、天旋地转。这么说，他并没有去罗森洛伊。他的敌人追上他的时候，他仍然在这条三英尺宽的小径上，一边是高不可攀的绝壁，一边是深不可测的悬崖。那个瑞士青年也不见了，由此看来，他多半是得了莫里亚蒂的好处，所以才抽身离去，任由这两个宿敌去拼个你死我活。那么，接下来又发生了什么事情呢？谁能告诉我们，接下来发生了什么事情呢？","It was the sight of that Alpine-stock which turned me cold and sick. He had not gone to Rosenlaui, then. He had remained on that three-foot path, with sheer wall on one side and sheer drop on the other, until his enemy had overtaken him. The young Swiss had gone too. He had probably been in the pay of Moriarty and had left the two men together. And then what had happened? Who was to tell us what had happened then?"
"可怕的局面让我头晕目眩，于是我在原地站了一两分钟，竭力平复自己的情绪。接下来，我开始回想福尔摩斯的种种方法，试着用它们来解读眼前的悲剧。老天啊，眼前的悲剧实在是太过一目了然，哪里还需要什么解读。之前我和他商量的时候，我俩并不是站在小径的尽头，他的登山杖可以说明我俩当时的位置。水雾无休无止，小径上那些黑黢黢的土壤始终处于潮湿松软的状态，如果从小径上走过，即便是鸟儿也会留下爪子的印迹。此时此刻，小径的外侧有两行清晰的足迹，两行都是有去无回。离小径尽头只有几码的地方，土壤已经被践踏成一片泥泞，断崖边缘的树莓和蕨类也是狼藉凌乱，纷纷倒伏在泥泞之中。我趴到地面，尽力透过笼罩四周的升腾水雾窥视下方的情形。可是，天色已经比我离开的时候昏暗了一些，眼下我只能看见湿漉漉的黝黑崖壁，看见崖壁上东一处西一处的反光，看见水流在远远的深坑底部溅起白亮亮的水花。我大声呼叫，传回耳边的却只有那种宛如怒吼的瀑水轰鸣，跟先前一模一样。","I stood for a minute or two to collect myself, for I was dazed with the horror of the thing. Then I began to think of Holmes’s own methods and to try to practise them in reading this tragedy. It was, alas, only too easy to do. During our conversation we had not gone to the end of the path, and the Alpine-stock marked the place where we had stood. The blackish soil is kept forever soft by the incessant drift of spray, and a bird would leave its tread upon it. Two lines of footmarks were clearly marked along the farther end of the path, both leading away from me. There were none returning. A few yards from the end the soil was all ploughed up into a patch of mud, and the brambles and ferns which fringed the chasm were torn and bedraggled. I lay upon my face and peered over with the spray spouting up all around me. It had darkened since I left, and now I could only see here and there the glistening of moisture upon the black walls, and far away down at the end of the shaft the gleam of the broken water. I shouted; but only that same half-human cry of the fall was borne back to my ears."
"不过，上苍怜悯，我终归还是找到了我的朋友兼战友留给我的临别赠言。前面我已经说过，他的登山杖仍然斜倚在一块伸入小径的突出岩石上。这时候我看见，一件明晃晃的东西在岩石的顶上闪了一闪。抬手去拿的时候，我发现闪光来自一个银质的烟盒，正是他平常随身携带的物品。我拿起烟盒，压在烟盒下面的那个纸折的小方块应手而落、翩然坠地。展开之后，方块变成了他从笔记本上撕下来的三页纸，纸上是一封写给我的信。这封信与他素日的信件毫无二致，措辞依然精准无误，笔迹依然刚劲清晰，宛如出自他的书房。","But it was destined that I should, after all, have a last word of greeting from my friend and comrade. I have said that his Alpine-stock had been left leaning against a rock which jutted on to the path. From the top of this boulder the gleam of something bright caught my eye, and raising my hand I found that it came from the silver cigarette-case which he used to carry. As I took it up a small square of paper upon which it had lain fluttered down on to the ground. Unfolding it, I found that it consisted of three pages torn from his notebook and addressed to me. It was characteristic of the man that the direction was as precise, and the writing as firm and clear, as though it had been written in his study."
"> 亲爱的华生：","> My dear Watson [it said]:"
