"第一章 王子和贫儿的诞生","Chapter I  The Birth of the Prince and the Pauper"
"很快，汤姆到了宫殿里一间宏伟的屋子里，听到身后门关上的声音。身边站的是随他来的那些人。他面前不远处斜躺着一个很大很胖的人，脸庞宽阔柔软，表情严肃。他大大的头上头发灰白，他那像相框一样绕在脸颊周围的络腮胡子也是灰白的。他衣着华贵，但是很旧，有些地方稍有磨损。他那一条肿起的腿用绷带包扎着，下面垫了个枕头。此刻一片沉寂，所有人的脑袋都不见了，全都恭敬地低垂着，除了这个人的。这个表情严肃的病人正是令人敬畏的亨利八世。他开口说话时，脸色和缓了下来。他说道：","Presently Tom found himself in a noble apartment of the palace and heard the door close behind him.Around him stood those who had come with him.Before him, at a little distance, reclined a very large and very fat man, with a wide, pulpy face, and a stern expression.His large head was very grey; and his whiskers, which he wore only around his face, like a frame, were grey also.His clothing was of rich stuff, but old, and slightly frayed in places.One of his swollen legs had a pillow under it, and was wrapped in bandages.There was silence now; and there was no head there but was bent in reverence, except this man’s.This stern-countenanced invalid was the dread Henry VIII.He said—and his face grew gentle as he began to speak—"
"“现在怎么样，我的爱德华殿下，我的王子？你是不是存心开个令人伤心的玩笑来哄我——你仁慈的父王，这个爱你并对你好的人呢？”","“How now, my lord Edward, my prince?Hast been minded to cozen me, the good King thy father, who loveth thee, and kindly useth thee, with a sorry jest?”"
"开头讲的时候，可怜的汤姆还在听着，虽然头昏目眩，他还是尽力听着。但是当他听到“我——你仁慈的父王”几个字时，他的脸一下子变得煞白，立刻双膝跪下，好像挨了一枪似的。他举起双手，大声喊道：","Poor Tom was listening, as well as his dazed faculties would let him, to the beginning of this speech; but when the words ‘me, the good King’ fell upon his ear, his face blanched, and he dropped as instantly upon his knees as if a shot had brought him there.Lifting up his hands, he exclaimed—"
"“您是国王？那我真的完蛋了！”","“Thou the King?Then am I undone indeed!”"
"国王听了这话，似乎大吃了一惊。他的眼睛漫无目的地扫了扫众人的脸，然后茫然地落在了面前这个男孩子身上。他用非常失望的语气说道：","This speech seemed to stun the King.His eyes wandered from face to face aimlessly, then rested, bewildered, upon the boy before him.Then he said in a tone of deep disappointment—"
"“呜呼，我原相信传言与事实不符，但恐怕不是这样了。”他深深叹了口气，用温柔的语气说：“到父王这里来，孩子，你生病了。”","“Alack, I had believed the rumour disproportioned to the truth; but I fear me ’tis not so.”He breathed a heavy sigh, and said in a gentle voice, “Come to thy father, child: thou art not well.”"
"汤姆被扶了起来，走近英国国王陛下。他很谦卑，还发着抖。国王两手托住那惊恐的脸，认真地、慈爱地凝视了一会儿，好像在寻找一丝令人欣喜的恢复神志的迹象，然后他把汤姆那满头卷发的脑袋贴在胸口上，轻柔地拍了拍。过了会儿，他说：","Tom was assisted to his feet, and approached the Majesty of England, humble and trembling.The King took the frightened face between his hands, and gazed earnestly and lovingly into it awhile, as if seeking some grateful sign of returning reason there, then pressed the curly head against his breast, and patted it tenderly.Presently he said—"
"“你不认得你父王了吗，孩子？不要让我这个老人伤心，说你认得我。你确实认得我，是不是？”","“Dost not know thy father, child?Break not mine old heart; say thou know’st me.Thou DOST know me, dost thou not?”"
"“是，您是我令人敬畏的国王陛下，深得上帝保佑！”","“Yea: thou art my dread lord the King, whom God preserve!”"
"“对，对——很好——放松，不要这样直打哆嗦。这里没人会伤害你，这里所有人都只会爱你。你现在好多了，你的噩梦过去了——是不是这样？你不会再叫错自己了吧，他们说刚才你就错了？”","“True, true—that is well—be comforted, tremble not so; there is none here would hurt thee; there is none here but loves thee.Thou art better now; thy ill dream passeth—is’t not so?Thou wilt not miscall thyself again, as they say thou didst a little while agone?”"
"“我求仁慈的陛下您相信我，我说的都是实话，最令人敬畏的陛下，因为我是您最卑微的臣民，生来是个贫儿，我来到这儿是因为一件非常偶然的意外，虽然这不是我的错。我现在死还太年轻了，而您只要一句话就能救了我。啊，救救我，陛下！”","“I pray thee of thy grace believe me, I did but speak the truth, most dread lord; for I am the meanest among thy subjects, being a pauper born, and ’tis by a sore mischance and accident I am here, albeit I was therein nothing blameful.I am but young to die, and thou canst save me with one little word.Oh speak it, sir!”"
"“死？别说这个，亲爱的王子——安心，安心，你那烦燥不安的心灵——你不会死的！”","“Die?Talk not so, sweet prince—peace, peace, to thy troubled heart—thou shalt not die!”"
"汤姆扑通跪在地上，高兴地哭喊道：","Tom dropped upon his knees with a glad cry—"
"“上帝会报答您的仁慈的，哦，我的国王，上帝会保您长寿，并赐福于您的领土的！”然后，他跳起来，转身面对两位侍臣，神情愉悦地大声说：“你们听见了！我不会死的，国王说过了！”没有人动，都只是严肃而恭敬地鞠着躬，却没一个人说话。他犹豫了一下，有点困惑，然后怯怯地转向国王，说：“我现在可以走了吗？”","“God requite thy mercy, O my King, and save thee long to bless thy land!”Then springing up, he turned a joyful face toward the two lords in waiting, and exclaimed, “Thou heard’st it!I am not to die: the King hath said it!”There was no movement, save that all bowed with grave respect; but no one spoke.He hesitated, a little confused, then turned timidly toward the King, saying, “I may go now?”"
"“走？当然可以，如果你想走。不过为什么不再呆一会儿？你要去哪儿？”","“Go?Surely, if thou desirest.But why not tarry yet a little?Whither would’st go?”"
"汤姆垂下眼睛，谦卑地回答道：","Tom dropped his eyes, and answered humbly—"
"“我可能误解了，不过我确实以为我自由了，以为可以再回到我的狗窝。我在那里出生、成长，饱尝悲苦，不过，那里也有我的母亲和姐姐们，那里才是我的家。而这些华贵光彩的东西，是我不能习惯的——啊，陛下，请您放我走吧！”","“Peradventure I mistook; but I did think me free, and so was I moved to seek again the kennel where I was born and bred to misery, yet which harboureth my mother and my sisters, and so is home to me; whereas these pomps and splendours whereunto I am not used—oh, please you, sir, to let me go!”"
"国王沉默着思索了片刻，他的神情无法掩饰地越来越悲痛和不安。过了会儿，他用带着某种希望的声音说道：","The King was silent and thoughtful a while, and his face betrayed a growing distress and uneasiness.Presently he said, with something of hope in his voice—"
"“没准他只是这方面失去了神志，在其他事情上心智尚存。上帝保佑是这样吧！我们来试试。”","“Perchance he is but mad upon this one strain, and hath his wits unmarred as toucheth other matter.God send it may be so!We will make trial.”"
"然后他用拉丁文问了汤姆一个问题，汤姆也用拉丁文勉勉强强地回答了。大臣们和医生们也都表示满意。国王说道：","Then he asked Tom a question in Latin, and Tom answered him lamely in the same tongue.The lords and doctors manifested their gratification also.The King said—"
"“这与他所受的教育和能力并不符合，但这说明他的脑袋只是生病了，并未受到致命的打击。你说呢，先生？”","“’Twas not according to his schooling and ability, but showeth that his mind is but diseased, not stricken fatally.How say you, sir?”"
"被问的那个医生深深地鞠了一躬，回答道：","The physician addressed bowed low, and replied—"
"“我与您的看法一样，陛下，您推断得对。”","“It jumpeth with my own conviction, sire that thou hast divined aright.”"
"国王听了这句鼓励后，看起来很高兴，因为那是如此优秀的御医说的。他心情舒畅，继续说道：","The King looked pleased with this encouragement, coming as it did from so excellent authority, and continued with good heart—"
"“现在你们都听着，我们还要进一步试他。”","“Now mark ye all: we will try him further.”"
"他用法文问了汤姆一个问题。汤姆站着沉默了片刻，落在他身上的那么多双眼睛让他很是尴尬。他羞怯地说：","He put a question to Tom in French.Tom stood silent a moment, embarrassed by having so many eyes centred upon him, then said diffidently—"
"“我不懂这种语言，回禀陛下。”","“I have no knowledge of this tongue, so please your majesty.”"
"国王向后一倒，靠在了椅子上。侍者快步过去扶他，而他把他们撇到一边，说道：","The King fell back upon his couch.The attendants flew to his assistance; but he put them aside, and said—"
"“不要管我——只是一点儿眩晕，没什么。扶我起来！好了，可以了。到这边来，孩子。好了，把你可怜的、忧虑的脑袋靠在你父王的心口上，安安心心的。你很快就会好的，这只不过是暂时的幻觉。不要害怕，你很快就会好的。”然后他转向众随从。他温和的态度变了，眼睛里闪现了威严的光芒。他说道：","“Trouble me not—it is nothing but a scurvy faintness.Raise me!There, ’tis sufficient.Come hither, child; there, rest thy poor troubled head upon thy father’s heart, and be at peace.Thou’lt soon be well: ’tis but a passing fantasy.Fear thou not; thou’lt soon be well.”Then he turned toward the company: his gentle manner changed, and baleful lightnings began to play from his eyes.He said—"
"“你们都听着！我的儿子疯了，但这不是永久的。功课太多害他成了这个样子，还有限制也太多了些。别让他读书了，别让老师们教导他了！你们负责这件事情。让他运动，保持心情愉快，用有益健康的办法使他过得开心，好让他恢复健康。”他又坐高了些，活力十足地继续说道：“他疯了，但他是我儿子，是英国王位的继承人。而且，无论疯还是正常，他都要继位！你们再听着，传令下去，不管谁泄露他的疯病，都是扰乱国家的和平与秩序，要处以绞刑！……给我拿杯水——我渴了，悲伤耗尽了我的气力……好了，拿走水杯……扶我一下。好了，这样可以了。疯了，他疯了？即便他疯一千倍，他仍然是威尔士王子，国王我确信。明天就用应有的古老仪式举行正式册立他为王子的典礼。马上准备吧，我的赫特福德伯爵。”","“List ye all!This my son is mad; but it is not permanent.Over-study hath done this, and somewhat too much of confinement.Away with his books and teachers!See ye to it.Pleasure him with sports; beguile him in wholesome ways, so that his health comes again.”He raised himself higher still, and went on with energy, “He is mad; but he is my son, and England’s heir; and, mad or sane, still shall he reign!And hear ye further, and proclaim it: whoso speaketh of this his distemper worketh against the peace and order of these realms, and shall to the gallows!...Give me to drink—I burn: this sorrow sappeth my strength....There, take away the cup....Support me.There, that is well.Mad, is he?Were he a thousand times mad, yet is he Prince of Wales and I the King will confirm it.This very morrow shall he be installed in his princely dignity in due and ancient form.Take instant order for it, my lord Hertford.”"
"一个贵族跪在王座旁，说道：","One of the nobles knelt at the royal couch, and said—"
"“国王陛下知道，英国掌管世代典礼的大司仪正被关押在伦敦塔里。这是不合适的，被关押的人——”","“The King’s majesty knoweth that the Hereditary Great Marshal of England lieth attainted in the Tower.It were not meet that one attainted—”"
"“住嘴！别拿那个可恶的人的名字玷污了我的耳朵。这个人要永远活着吗？让我无法按着自己的意愿行事？难道王子的册立典礼要推迟，就因为全国真的找不到一个没有背叛污点的典礼大臣来当司仪？不可能，万能的上帝！传令给国会，明天太阳升起之前就判诺福克死刑，否则，他们就要为此付出惨重的代价！”","“Peace!Insult not mine ears with his hated name.Is this man to live for ever?Am I to be baulked of my will?Is the prince to tarry uninstalled, because, forsooth, the realm lacketh an Earl Marshal free of treasonable taint to invest him with his honours?No, by the splendour of God!Warn my Parliament to bring me Norfolk’s doom before the sun rise again, else shall they answer for it grievously!”"
"赫特福德伯爵说道：","Lord Hertford said—"
"“国王的意愿就是法律。”于是，他起身回到了原来的位置。","“The King’s will is law;” and, rising, returned to his former place."
"老国王脸上的怒气渐渐消散，他说道：","Gradually the wrath faded out of the old King’s face, and he said—"
"“吻我，我的王子。好了……你害怕什么呀？我不是你慈爱的父王吗？”","“Kiss me, my prince.There... what fearest thou?Am I not thy loving father?”"
"“您对我很好，但这不值得。啊，万能的、仁慈的陛下，我真的知道。可是——可是——想到他要被处死，我就觉得悲伤，而且——”","“Thou art good to me that am unworthy, O mighty and gracious lord: that in truth I know.But—but—it grieveth me to think of him that is to die, and—”"
"“啊，这像你，这像你！我就知道，虽然你的头脑受了伤，你的心还是一样，因为你一直都有一副慈悲心肠。但是这个公爵阻挡了你接受你的荣誉，我会另找个人代替他，不要玷污册立的重任。安心吧，我的王子，别为这个事情让你可怜的脑袋烦恼了。”","“Ah, ’tis like thee, ’tis like thee!I know thy heart is still the same, even though thy mind hath suffered hurt, for thou wert ever of a gentle spirit.But this duke standeth between thee and thine honours: I will have another in his stead that shall bring no taint to his great office.Comfort thee, my prince: trouble not thy poor head with this matter.”"
"“可那不就是因为我，他才会更快地被处死了吗，我的陛下？只是因为我，他少活了多长时间啊？”","“But is it not I that speed him hence, my liege?How long might he not live, but for me?”"
"“不要想他了，我的王子，他不值得。再吻我一回，就去玩乐吧，因为我的病使我难受。我累了，我要歇息了。跟你的舅舅赫特福德和你的侍从们去吧，等我的身体缓过来了再来。”","“Take no thought of him, my prince: he is not worthy.Kiss me once again, and go to thy trifles and amusements; for my malady distresseth me.I am aweary, and would rest.Go with thine uncle Hertford and thy people, and come again when my body is refreshed.”"
"汤姆被带走了。他心情沉重，因为这最后一句话对他所抱的现在就被放走的希望来说是致命的打击。他又听到了嗡嗡的低低的惊呼声：“王子，王子来了！”","Tom, heavy-hearted, was conducted from the presence, for this last sentence was a death-blow to the hope he had cherished that now he would be set free.Once more he heard the buzz of low voices exclaiming, “The prince, the prince comes!”"
"他走过一列列闪闪发光的鞠着躬的大臣时，心情越来越沉重，因为他明白，他现在真的成了囚徒，也许要永远关在这个黄金铸造的囚笼里，做个孤独、没有朋友的王子，除非慈悲为怀的上帝可怜他，将他放走。","His spirits sank lower and lower as he moved between the glittering files of bowing courtiers; for he recognised that he was indeed a captive now, and might remain for ever shut up in this gilded cage, a forlorn and friendless prince, except God in his mercy take pity on him and set him free."
"而且，不管他走到哪儿，他好像都能看到诺福克大伯爵的断头和忘不掉的脸悬浮在空中，他那双眼睛责备地盯着汤姆。","And, turn where he would, he seemed to see floating in the air the severed head and the remembered face of the great Duke of Norfolk, the eyes fixed on him reproachfully."
"他以前做的梦都是非常愉快的，可现实却这么可怕！","His old dreams had been so pleasant; but this reality was so dreary!"
"第六章 汤姆接受指导","Chapter VI  Tom Receives Instructions"
"汤姆被引至一处宏伟套房的主房，被服侍着坐下。他很不情愿地坐了，因为周围站的是些年纪大的人和地位很高的人。他请求他们也坐下，但是他们只是鞠躬示谢或者低声道谢，却仍旧站着。他本来要坚持劝他们坐下，但是他的“舅舅”赫特福德伯爵在他耳边低声说：","Tom was conducted to the principal apartment of a noble suite, and made to sit down—a thing which he was loth to do, since there were elderly men and men of high degree about him.He begged them to be seated also, but they only bowed their thanks or murmured them, and remained standing.He would have insisted, but his ‘uncle’ the Earl of Hertford whispered in his ear—"
"“请不要劝了，我的殿下，他们在您面前坐下是不合适的。”有人通告说大臣圣约翰勋爵来了。他向汤姆敬礼，然后说道：","“Prithee, insist not, my lord; it is not meet that they sit in thy presence.”The Lord St. John was announced, and after making obeisance to Tom, he said—"
"“我奉了国王之命，有机密之事禀告殿下。除赫特福德伯爵可留下来，请高贵的殿下命随您来的所有人退下吧？”","“I come upon the King’s errand, concerning a matter which requireth privacy.Will it please your royal highness to dismiss all that attend you here, save my lord the Earl of Hertford?”"
"赫特福德发现汤姆不知道该怎么做，就在耳边悄悄告诉他摆手示意他们退下，还告诉他，除非觉得有必要，他不用说什么话。等侍从退下之后，圣约翰勋爵说：","Observing that Tom did not seem to know how to proceed, Hertford whispered him to make a sign with his hand, and not trouble himself to speak unless he chose.When the waiting gentlemen had retired, Lord St. John said—"
"“陛下的旨意，是考虑到国家正当的和重大的利益，王子殿下需尽其所能掩饰病情，直到病情消失，恢复到以前的样子。也就是说，他应不再跟任何人否认自己是真正的王子，伟大的英国的继承人；他要保持王子的尊贵，要接受正确而古老的传统所规定的礼仪和仪式，不能有语言和行为上的反抗；他不得再讲卑微的身世和生活，那是他的疾病引起的幻觉所导致的不益健康的想象；他要努力再记起那些他过去熟悉的面孔——而且即使他错了，也要保持平静，不要表现出惊讶的表情或其他行为，让人知道他忘了；在国事场合，如果有什么事情让他迷惑，他不知道应该做什么或说什么时，他不要对好奇的眼睛感到不安，只需按照赫特福德伯爵或是鄙人的建议去做。鄙人奉国王的旨意来侍候您，随叫随到，直到国王收回旨意。国王陛下这么说的，他问候尊贵的殿下，并祈求仁慈的上帝让您快快康复，现在以及永远都庇护您。”","“His majesty commandeth, that for due and weighty reasons of state, the prince’s grace shall hide his infirmity in all ways that be within his power, till it be passed and he be as he was before.To wit, that he shall deny to none that he is the true prince, and heir to England’s greatness; that he shall uphold his princely dignity, and shall receive, without word or sign of protest, that reverence and observance which unto it do appertain of right and ancient usage;that he shall cease to speak to any of that lowly birth and life his malady hath conjured out of the unwholesome imaginings of o’er-wrought fancy; that he shall strive with diligence to bring unto his memory again those faces which he was wont to know—and where he faileth he shall hold his peace, neither betraying by semblance of surprise or other sign that he hath forgot;that upon occasions of state, whensoever any matter shall perplex him as to the thing he should do or the utterance he should make, he shall show nought of unrest to the curious that look on, but take advice in that matter of the Lord Hertford, or my humble self, which are commanded of the King to be upon this service and close at call, till this commandment be dissolved.Thus saith the King’s majesty, who sendeth greeting to your royal highness, and prayeth that God will of His mercy quickly heal you and have you now and ever in His holy keeping.”"
"圣约翰勋爵敬了礼，站到一旁。汤姆只好温顺地回答道：","The Lord St. John made reverence and stood aside.Tom replied resignedly—"
"“国王已经下旨了。有什么不合意的，谁也不能以巧妙的托辞违抗国王的命令，或者随意更改。遵从国王的旨意。”","“The King hath said it.None may palter with the King’s command, or fit it to his ease, where it doth chafe, with deft evasions.The King shall be obeyed.”"
"赫特福德伯爵说道：","Lord Hertford said—"
"“说到国王陛下关于读书和此类严肃事务方面的命令，悠闲地做些轻快的娱乐活动也许能让殿下欢喜，以免您宴会上精神疲倦，因此而使健康受到损害。”","“Touching the King’s majesty’s ordainment concerning books and such like serious matters, it may peradventure please your highness to ease your time with lightsome entertainment, lest you go wearied to the banquet and suffer harm thereby.”"
"汤姆流露出惊疑的表情。当他看到圣约翰勋爵眼含悲伤地看着他时，他脸红了。他说道：","Tom’s face showed inquiring surprise; and a blush followed when he saw Lord St. John’s eyes bent sorrowfully upon him.His lordship said—"
"“您的记忆还有障碍，您刚刚表现出了惊讶——但是您不要为此不安，因为不会总这样，等病情好转就不会了。赫特福德伯爵提到了国王陛下允诺的城市宴会将在大概两个月之后举行，殿下应该参加。您现在想起来了吗？”","“Thy memory still wrongeth thee, and thou hast shown surprise—but suffer it not to trouble thee, for ’tis a matter that will not bide, but depart with thy mending malady.My Lord of Hertford speaketh of the city’s banquet which the King’s majesty did promise, some two months flown, your highness should attend.Thou recallest it now?”"
"“我很伤心地承认，我确实忘记了。”汤姆犹豫地说，脸又红了。","“It grieves me to confess it had indeed escaped me,” said Tom, in a hesitating voice; and blushed again."
"此时，有人通报伊丽莎白公主和简·格雷郡主来了。两位伯爵意味深长地交换了眼神，然后赫特福德快速走向门口。两位年轻的姑娘走过他身旁时，他低声地说：","At this moment the Lady Elizabeth and the Lady Jane Grey were announced.The two lords exchanged significant glances, and Hertford stepped quickly toward the door.As the young girls passed him, he said in a low voice—"
"“小姐们，请你们假装看不出他有什么不对劲的，他丧失记忆时，也别表现出惊讶——如果看到这疾病是如何渗透到每件小事时，你们会伤心的。”","“I pray ye, ladies, seem not to observe his humours, nor show surprise when his memory doth lapse—it will grieve you to note how it doth stick at every trifle.”"
"同时，圣约翰勋爵在对汤姆耳语：","Meantime Lord St. John was saying in Tom’s ear—"
"“殿下，请您将陛下的心意常记于心。记住您能记住的，假装记住您忘了的。不要让她们看出您与往常有很大变化，因为您知道您以前的玩伴心里对您是多么温柔，这该令她们多么伤心啊。殿下，您愿意我留下吗？——还有您的舅舅？”","“Please you, sir, keep diligently in mind his majesty’s desire.Remember all thou canst—seem to remember all else.Let them not perceive that thou art much changed from thy wont, for thou knowest how tenderly thy old play-fellows bear thee in their hearts and how ’twould grieve them.Art willing, sir, that I remain?—and thine uncle?”"
"汤姆打了手势，还低语一句，表示同意，因为他已经在学习。在他淳朴的心里，他立志自己要按照国王的旨意，尽力表现得最好。","Tom signified assent with a gesture and a murmured word, for he was already learning, and in his simple heart was resolved to acquit himself as best he might, according to the King’s command."
"尽管小心谨慎，但这几个年轻人的谈话仍时不时变得有些尴尬。说实话，汤姆不止一次地差点失控，几乎要供认他配不上这个伟大的角色，但伊丽莎白公主的机敏救了他，或者机警的大人们有意无意地插句话，也产生了同样令人高兴的效果。一回，简小郡主问了汤姆个问题，使他焦虑不安。","In spite of every precaution, the conversation among the young people became a little embarrassing at times.More than once, in truth, Tom was near to breaking down and confessing himself unequal to his tremendous part; but the tact of the Princess Elizabeth saved him, or a word from one or the other of the vigilant lords, thrown in apparently by chance, had the same happy effect.Once the little Lady Jane turned to Tom and dismayed him with this question,—"
"“您今天向王后请安了吗，殿下？”","“Hast paid thy duty to the Queen’s majesty to-day, my lord?”"
"汤姆犹豫了，脸色忧伤，危急之中正欲结巴地说些什么，圣约翰伯爵此时接了话。作为朝臣会常常遇到微妙的难题，要能够随时回答，于是他从容不迫地替王子回答道：","Tom hesitated, looked distressed, and was about to stammer out something at hazard, when Lord St. John took the word and answered for him with the easy grace of a courtier accustomed to encounter delicate difficulties and to be ready for them—"
"“他去过了，郡主。看到殿下的状况，她大大地鼓励他。不是这样吗，殿下？”","“He hath indeed, madam, and she did greatly hearten him, as touching his majesty’s condition; is it not so, your highness?”"
"汤姆喃喃地说了句什么表示同意，却觉着自己踏入了危险的境地。大概过了一会儿，有人提到目前汤姆不再学习，对此小郡主大声说道：","Tom mumbled something that stood for assent, but felt that he was getting upon dangerous ground.Somewhat later it was mentioned that Tom was to study no more at present, whereupon her little ladyship exclaimed—"
"“太可惜了，太可惜了！您原来一直很勇敢地向前冲。但是，耐心等待吧，很快就好了。您很快就能够荣幸地像您父王一样有学识，学会和他一样多的语言，我善良的王子。”","“’Tis a pity, ’tis a pity!Thou wert proceeding bravely.But bide thy time in patience: it will not be for long.Thou’lt yet be graced with learning like thy father, and make thy tongue master of as many languages as his, good my prince.”"
"“我父亲！”汤姆一时失去警觉，叫喊道，“我相信他连自己的语言都说不好，只有住在猪窝里的那些下等人能明白他的意思。至于说什么学识——”","“My father!” cried Tom, off his guard for the moment.“I trow he cannot speak his own so that any but the swine that kennel in the styes may tell his meaning; and as for learning of any sort soever—”"
"他抬头一看，遇上了圣约翰勋爵严肃的警告的眼神。","He looked up and encountered a solemn warning in my Lord St. John’s eyes."
"他停住，红了脸，然后悲伤地低声说：“啊，又是我的病害的，我的思想迷了路。我不是有意冒犯国王陛下的。”","He stopped, blushed, and then continued low and sadly: “Ah, my malady persecuteth me again, and my mind wandereth.I meant the King’s grace no irreverence.”"
"“我们知道，殿下，”伊丽莎白公主说道，一面很恭敬却也很亲切地将她“弟弟”的手放在自己手掌中间，“别这样烦自己。这不是您的错，不过是您的病的原因。”","“We know it, sir,” said the Princess Elizabeth, taking her ‘brother’s’ hand between her two palms, respectfully but caressingly; “trouble not thyself as to that.The fault is none of thine, but thy distemper’s.”"
"“您是个温柔的安慰者，亲爱的公主，”汤姆感激地说，“我大着胆子说，是我的心让我感谢您的。”","“Thou’rt a gentle comforter, sweet lady,” said Tom, gratefully, “and my heart moveth me to thank thee for’t, an’ I may be so bold.”"
"还有一回，冒失的简小郡主用个简单的希腊词语向汤姆开火。伊丽莎白公主非常敏锐地从那个靶子的沉默和茫然中看出这一枪过了火，所以她平静地用希腊语替汤姆回了一弹，然后马上转移了话题。","Once the giddy little Lady Jane fired a simple Greek phrase at Tom.The Princess Elizabeth’s quick eye saw by the serene blankness of the target’s front that the shaft was overshot; so she tranquilly delivered a return volley of sounding Greek on Tom’s behalf, and then straightway changed the talk to other matters."
"大体上，时间愉快又同样顺利地过去了。障碍和隔阂越来越少，而汤姆看到所有人都亲切而努力帮助他，不在意他的错误，也变得越来越泰然自若。当获知这两位小姐会陪他参加晚上市长的宴会，他如释重负，满心欢喜，因为他觉得，现在要面对那么多的陌生人，他身边不能没有朋友。可是，如果是在一小时前，想到她们要陪他一块儿去，对他来说真是一件不堪忍受的恐怖事件啊。","Time wore on pleasantly, and likewise smoothly, on the whole.Snags and sandbars grew less and less frequent, and Tom grew more and more at his ease, seeing that all were so lovingly bent upon helping him and overlooking his mistakes.When it came out that the little ladies were to accompany him to the Lord Mayor’s banquet in the evening, his heart gave a bound of relief and delight, for he felt that he should not be friendless, now, among that multitude of strangers; whereas, an hour earlier, the idea of their going with him would have been an insupportable terror to him."
"在这次会见中，汤姆的守护天使——那两位大臣并没有其他人那么愉快。他们更觉得自己像是在驾驶一艘大船穿过危险的海峡。他们一直保持着警惕，也明白自己的职责不可儿戏。因此，当公主们的拜访终于临近尾声，又有人通报说吉尔福德·达德利勋爵来见时，他们不仅觉得这次谈话耗尽了他们的精力，而且感觉自己状态不佳，无力再把船驶回来，把这危险的航行重新来过。因此他们很恭敬地建议汤姆推托，汤姆也很高兴地这么做了。但当简郡主听到这位出色的小伙子推掉会见时，脸上闪现了一丝失望。","Tom’s guardian angels, the two lords, had had less comfort in the interview than the other parties to it.They felt much as if they were piloting a great ship through a dangerous channel; they were on the alert constantly, and found their office no child’s play.Wherefore, at last, when the ladies’ visit was drawing to a close and the Lord Guilford Dudley was announced, they not only felt that their charge had been sufficiently taxed for the present, but also that they themselves were not in the best condition to take their ship back and make their anxious voyage all over again.So they respectfully advised Tom to excuse himself, which he was very glad to do, although a slight shade of disappointment might have been observed upon my Lady Jane’s face when she heard the splendid stripling denied admittance."
"此刻出现了一阵沉默，似乎是在等待着什么，而汤姆不明白这是什么意思。赫特福德伯爵给他示意，他看了一眼，但是仍然没明白什么意思。素有准备的伊丽莎白像往常一样从容地救了他。她行了礼，然后说道：","There was a pause now, a sort of waiting silence which Tom could not understand.He glanced at Lord Hertford, who gave him a sign—but he failed to understand that also.The ready Elizabeth came to the rescue with her usual easy grace.She made reverence and said—"
"“我们可以离开我的弟弟王子殿下了吗？”","“Have we leave of the prince’s grace my brother to go?”"
"汤姆说：","Tom said—"
"“其实，公主们需要我做什么，只要问一声就行。我还希望能在我的权利之内为她们做些别的什么，而不只是让她们陪着我，让我轻松愉悦呢。你们好好休息，上帝与你们同在！”他暗自一笑，想着：“在我读的书里，我只住在王子们中，看来这不是没有用的，我学会了些说话的小窍门，像他们一样精致而优雅地讲话。”","“Indeed your ladyships can have whatsoever of me they will, for the asking; yet would I rather give them any other thing that in my poor power lieth, than leave to take the light and blessing of their presence hence.Give ye good den, and God be with ye!”Then he smiled inwardly at the thought, “’Tis not for nought I have dwelt but among princes in my reading, and taught my tongue some slight trick of their broidered and gracious speech withal!”"
"出色的公主们走后，汤姆疲倦地转向他的看护人，说道：","When the illustrious maidens were gone, Tom turned wearily to his keepers and said—"
"“可否请伯爵允许我找个安静处休息？”","“May it please your lordships to grant me leave to go into some corner and rest me?”"
"赫特福德伯爵说道：","Lord Hertford said—"
"“回禀殿下，殿下您吩咐，我们就遵从。您确实需要休息了，因为您过会儿要到城里去。”他按下铃召来一个仆人，命他去把威廉·赫伯特爵士叫过来。这位绅士径直过来了，把汤姆引到一间内室。汤姆一进去就要拿杯水喝，但一个穿着丝绸和天鹅绒衣服的仆人抓住了杯子，单腿跪下，用一个黄金托盘托住杯子递给他。","“So please your highness, it is for you to command, it is for us to obey.That thou should’st rest is indeed a needful thing, since thou must journey to the city presently.”He touched a bell, and a page appeared, who was ordered to desire the presence of Sir William Herbert.This gentleman came straightway, and conducted Tom to an inner apartment.Tom’s first movement there was to reach for a cup of water; but a silk-and-velvet servitor seized it, dropped upon one knee, and offered it to him on a golden salver."
"接着，这位疲倦的囚徒坐下来，正要脱掉自己的短筒靴，眼睛怯怯地示意他们退下。但这时，另一个穿丝绸和天鹅绒衣服的讨厌鬼跪下来，帮他脱掉了。他又两三次试图自己来，但每次都很快被阻止了。他最终放弃了，顺从地叹了口气，喃喃自语道：“该死，他们也不让我喘口气，真奇怪！”他穿了拖鞋，裹上一件华丽的睡袍，终于躺下休息了。但是他睡不着，因为他脑袋里的思绪纷繁复杂，而且屋里满是人。他不能让前面那些人退下，所以他们留下来了；他不知道怎么让后面的人退下，所以他们也留下来了。他为此感到非常失望，而他们也是。","Next the tired captive sat down and was going to take off his buskins, timidly asking leave with his eye, but another silk-and-velvet discomforter went down upon his knees and took the office from him.He made two or three further efforts to help himself, but being promptly forestalled each time, he finally gave up, with a sigh of resignation and a murmured “Beshrew me, but I marvel they do not require to breathe for me also!”Slippered, and wrapped in a sumptuous robe, he laid himself down at last to rest, but not to sleep, for his head was too full of thoughts and the room too full of people.He could not dismiss the former, so they stayed; he did not know enough to dismiss the latter, so they stayed also, to his vast regret—and theirs."
