"第一章 波尼族印第安人的狩猎场","CHAPTER I. THE PAWNEE HUNTING-GROUNDS."
"那些蜂巢坍塌时不在家的蜜蜂们，现在接二连三地满载着远方的货物回来了，而它们的慌张和迷惑是难以描述的。起初，它们在空中盘旋，愕然地发现这棵倒下的树原本昂着头的地方已经空空如也了。最终，他们似乎是理解了灾难的降临，于是一群群地降落在附近一棵树的干树枝上，好像是在从那里打量这一卧倒的遗址，并嗡嗡地对自己王国的沦陷进行忧伤的悼念。此刻，这倒成了“忧郁的雅克”前来说教的场景。","It is difficult to describe the bewilderment and confusion of the bees of the bankrupt hive who had been absent at the time of the catastrophe, and who arrived from time to time, with full cargoes from abroad.At first they wheeled about in the air, in the place where the fallen tree had once reared its head, astonished at finding it all a vacuum.At length, as if comprehending their disaster, they settled down in clusters on a dry branch of a neighboring tree, whence they seemed to contemplate the prostrate ruin, and to buzz forth doleful lamentations over the downfall of their republic.It was a scene on which the “melancholy Jacques” might have moralized by the hour."
"现在，我们离开了那个地方，树干里还残留着大量的蜂蜜。“它会被害兽收拾干净的。”一个巡逻骑兵说。我问：“什么害兽？”“哦，熊啊，臭鼬啊，浣熊啊，还有负鼠。熊是世界上最会找蜂蜜树的害兽。它们会一起连续几天啃树干，直到啃出一个足够伸进爪子的洞，然后把蜂蜜、蜜蜂，以及所有的一切全部弄出来。”","We now abandoned the place, leaving much honey in the hollow of the tree.“It will all be cleared off by varmint,” said one of the rangers.“What vermin?” asked I.“Oh, bears, and skunks, and racoons, and ’possums.The bears is the knowingest varmint for finding out a bee-tree in the world.They’ll gnaw for days together at the trunk till they make a bole big enough to get in their paws, and then they’ll haul out honey, bees and all.”"
"第十章 营地里的娱乐","CHAPTER X. AMUSEMENTS IN THE CAMP."
"——商议——猎人们的食物与盛宴——夜景——营地上的乐曲——爱好音乐的猫头鹰的命运","—CONSULTATIONS.—HUNTERS’ FARE AND FEASTING.—EVENING SCENES.—CAMP MELODY.—THE FATE OF AN AMATEUR OWL."
"等回到营地，我们发现那里是一片欢乐的景象。有些巡逻骑兵在打靶射击，其余的则在跳跃、摔跤、玩各式各样的游戏。他们大多数是第一次出来远征的年轻人，拥有健康的体魄、充沛的精力和意料之中的活泼。并且，除了野外的丛林生活、壮丽无垠的旷野、数不清的猎物和满载而归的探险，我想不出更能使年轻人热血沸腾的了。我们往往把年轻人送到国外，让他们在欧洲过一种奢华而娇气的生活。这让我想到，一次大草原之旅将更有可能培养人刚毅、朴实和独立的品质，尤其能使他们和我们的政治制度保持一致。","On returning to the camp, we found it a scene of the greatest hilarity.Some of the rangers were shooting at a mark, others were leaping, wrestling, and playing at prison bars.They were mostly young men, on their first expedition, in high health and vigor, and buoyant with anticipations; and I can conceive nothing more likely to set the youthful blood into a flow, than a wild wood life of the kind, and the range of a magnificent wilderness, abounding with game, and fruitful of adventure.We send our youth abroad to grow luxurious and effeminate in Europe; it appears to me, that a previous tour on the prairies would be more likely to produce that manliness, simplicity, and self-dependence, most in unison with our political institutions."
"当年轻人沉浸于这些喧闹的游戏中时，一组由队长、医生、其他德高望重的智者及营地的首领组成的小组，正围着一张边境地图或坐或躺在草地上，商讨着我们的位置及接下来的行程。","While the young men were engaged in these boisterous amusements, a graver set, composed of the Captain, the Doctor, and other sages and leaders of the camp, were seated or stretched out on the grass, round a frontier map, holding a consultation about our position, and the course we were to pursue."
"我们的计划是从雷德福克河汇入阿肯色河处穿过阿肯色河，然后继续向西，直到穿过一处叫“十字木林”的开阔疏林带——它几乎是一直从北面的阿肯色河延伸到南面的雷德河——之后，我们将向南前往雷德河。","Our plan was to cross the Arkansas just above where the Red Fork falls into it, then to keep westerly, until we should pass through a grand belt of open forest, called the Cross Timber, which ranges nearly north and south from the Arkansas to Red River; after which, we were to keep a southerly course toward the latter river."
"我们那经验丰富的奥塞奇猎手，混血儿贝蒂，也被邀请过去参加讨论。“你曾经在这个地方狩过猎吗？”队长问。“是的。”他简洁地回答说。","Our half-breed, Beatte, being an experienced Osage hunter, was called into the consultation.“Have you ever hunted in this direction?” said the Captain.“Yes,” was the laconic reply."
"“那也许，你能够告诉我们雷德福克河在哪个方位？”","“Perhaps, then, you can tell us in which direction lies the Red Fork?”"
"“如果你们沿着大草原的边缘行走，将会到达一座光秃秃的、有一大堆石头的小山。”","“If you keep along yonder, by the edge of the prairie, you will come to a bald hill, with a pile of stones upon it.”"
"“我打猎的时候注意到过那座山。”队长说道。","“I have noticed that hill as I was hunting,” said the Captain."
"“对啊！那些石头是奥塞奇人堆到那儿用来作路标的：从那儿你们就有可能看到雷德福克河了。”","“Well! those stones were set up by the Osages as a landmark: from that spot you may have a sight of the Red Fork.”"
"“那样的话，”队长叫道，“我们明天就能到达雷德福克河，然后穿过它前面的阿肯色河，进入波尼族人的领地，接下来两天之内我们就可以去砸碎野牛的骨头了！”","“In that case,” cried the Captain, “we shall reach the Red Fork to-morrow; then cross the Arkansas above it, into the Pawnee country, and then in two days we shall crack buffalo bones!”"
"一想到马上就要到达波尼族人充满危险的猎场，以及即将出现的野牛的行踪，他们的眼睛里就都闪烁出了兴奋的光芒。我们进一步的谈话被营地不远处一声刺耳的来复枪响给打断了。","The idea of arriving at the adventurous hunting grounds of the Pawnees, and of coming upon the traces of the buffaloes, made every eye sparkle with animation.Our further conversation was interrupted by the sharp report of a rifle at no great distance from the camp."
"“那是老瑞安的来复枪，”队长呼喊道，“我敢担保，一只雄鹿倒下了。”他说得不错，因为没过多久，那个老手就出现了。他叫了一个年轻点儿的巡逻骑兵和他一起回去帮忙抬回猎物。","“That’s old Ryan’s rifle,” exclaimed the Captain; “there’s a buck down, I’ll warrant!”Nor was he mistaken; for, before long, the veteran made his appearance, calling upon one of the younger rangers to return with him, and aid in bringing home the carcass."
"事实上，周围到处都是猎物，所以营地的食物多得吃不完，而且附近至少已经砍倒二十棵蜂蜜树了，所以每个人都陶醉于这奢侈的生活之中。由于猎人式的挥霍浪费，酒宴持续不断地举行着，几乎没有人为明天储备给养。烹饪是以猎人们的方式进行的：将肉穿在尖锐的、笔直地插进土里的山茱萸枝上，使它们能连在一起在火前烤。这样烤肉，肉汁会全部保存在肉里。用这种方式烤出来的肉，即使是尝遍山珍海味的美食家也会垂涎三尺。至于做面包的诸多好方法也无法细说了。不过就是将面粉和水混在一起的面团剁碎了在猪油里炸，也有些人采取了一种更野蛮的方式：把面团绕在棍子的一头，然后在火上烤。我发现，在大草原上用这两种方式做出来的面包都非常美味。一个人只有吃过了猎人们的食物之后，才知道什么是人间真正的美味。","The surrounding country, in fact, abounded with game, so that the camp was overstocked with provisions, and, as no less than twenty bee-trees had been cut down in the vicinity, every one revelled in luxury.With the wasteful prodigality of hunters, there was a continual feasting, and scarce any one put by provision for the morrow.The cooking was conducted in hunter’s style: the meat was stuck upon tapering spits of dogwood, which were thrust perpendicularly into the ground, so as to sustain the joint before the fire, where it was roasted or broiled with all its juices retained in it in a manner that would have tickled the palate of the most experienced gourmand.As much could not be said in favor of the bread.It was little more than a paste made of flour and water, and fried like fritters, in lard; though some adopted a ruder style, twisting it round the ends of sticks, and thus roasting it before the fire.In either way, I have found it extremely palatable on the prairies.No one knows the true relish of food until he has a hunter’s appetite."
"太阳下山前，我们被小托尼什请去参加一个奢华的宴会。毛毯已经围着篝火铺好了，我们在上面坐了下来。我们面前的地上摆着从印第安村庄买来的用枫树根做成的大盘，或者说是大碗，里面装了整整一大锅的东西，有切碎的野火鸡肉、一片片的熏肉及一块块的面团。它旁边还放着另一个相似的碗一样的器皿，里面有很多油炸馅饼。我们聊了一阵火鸡肉之后，小托尼什拿过来两个木制的烤肉叉插在我们面前的地上，上面是在火前烤好的肥美的雄鹿肋排肉，空气里弥漫着令人喜悦的肉香。由于没有盘子，我们不得不像猎人那样，用猎刀把肉成条或成片地切下来，然后蘸上盐和胡椒粉来吃。为了公正地评价托尼什的厨艺和大草原上美味调料，我想说的是，我从没有吃过这么鲜美的鹿肉。我们就着这些食物喝的饮料是在野营用的水壶里煮的咖啡。我们在咖啡里面加了红糖，装在锡杯里喝。只要食物供给充分，只要面粉、咖啡和糖还可以维持供应，这就是我们整个探险过程中典型的宴会。","Before sunset, we were summoned by little Tonish to a sumptuous repast.Blankets had been spread on the ground near to the fire, upon which we took our seats.A large dish, or bowl, made from the root of a maple tree, and which we had purchased at the Indian village, was placed on the ground before us, and into it were emptied the contents of one of the camp kettles, consisting of a wild turkey hashed, together with slices of bacon and lumps of dough.Beside it was placed another bowl of similar ware, containing an ample supply of fritters.After we had discussed the hash, two wooden spits, on which the ribs of a fat buck were broiling before the fire, were removed and planted in the ground before us, with a triumphant air, by little Tonish.Having no dishes, we had to proceed in hunter’s style, cutting off strips and slices with our hunting-knives, and dipping them in salt and pepper.To do justice to Tonish’s cookery, however, and to the keen sauce of the prairies, never have I tasted venison so delicious.With all this, our beverage was coffee, boiled in a camp kettle, sweetened with brown sugar, and drunk out of tin cups: and such was the style of our banqueting throughout this expedition, whenever provisions were plenty, and as long as flour and coffee and sugar held out."
"天色渐渐暗了下来，哨兵们走向营地周围的哨岗。在这个充满印第安人的地方，这种防范是必不可少的。此刻，营地呈现出一幅美丽如画的景象。树林间点点篝火闪耀着，周围围着一群群的巡逻骑兵，有的在地上坐着或躺着，有的或站在闪着红光的火焰边上，或站在火光照不到的阴影里。不少火堆旁充满了欢笑，其间夹杂着响亮的下流笑话和粗俗的呼喊声。显而易见的是，这支部队的成员都是新手，未经训练，他们是从边境上粗野的年轻人中招募来的。他们应征入伍，有的是为了来这里冒冒险，有的是为了了解一下这片土地。他们中许多人都是自己长官的邻居，也已经习惯了把军官当成和自己地位相等的密友和伙伴。他们都不知道军队的纪律和礼貌，也没有人打算为继续自己的军队生涯而去培养这一职业所必需的严谨素质。","As the twilight thickened into night, the sentinels were marched forth to their stations around the camp; an indispensable precaution in a country infested by Indians.The encampment now presented a picturesque appearance.Camp fires were blazing and smouldering here and there among the trees, with groups of rangers round them; some seated or lying on the ground, others standing in the ruddy glare of the flames, or in shadowy relief.At some of the fires there was much boisterous mirth, where peals of laughter were mingled with loud ribald jokes and uncouth exclamations; for the troop was evidently a raw, undisciplined band, levied among the wild youngsters of the frontier, who had enlisted, some for the sake of roving adventure, and some for the purpose of getting a knowledge of the country.Many of them were the neighbors of their officers, and accustomed to regard them with the familiarity of equals and companions.None of them had any idea of the restraint and decorum of a camp, or ambition to acquire a name for exactness in a profession in which they had no intention of continuing."
"一些篝火旁的人们正处在一片喧腾嬉戏之中时，另一堆篝火旁突然发出一阵带着鼻音的哼唱。在那里，唱诗班的“歌手们”一起哼出了一首悲怆至极的圣歌曲调。这是由一个中尉领头哼唱的。他高高瘦瘦的，听说是来自边境的一个村庄，原是一个校长兼音乐教师，偶尔也做做卫理公会派的牧师。这庄严而悲凉的圣歌飘荡在夜空之中，我不禁想起了对国民誓约派成员营地里相似圣歌的描述。实际上，我们这支由形态各异、穿着粗俗的各色人等拼凑起来的部队所唱的，并没有使人感到是对这圣歌的侮辱。","While this boisterous merriment prevailed at some of the fires, there suddenly rose a strain of nasal melody from another, at which a choir of “vocalists” were uniting their voices in a most lugubrious psalm tune.This was led by one of the lieutenants; a tall, spare man, who we were informed had officiated as schoolmaster, singing-master, and occasionally as Methodist preacher, in one of the villages of the frontier.The chant rose solemnly and sadly in the night air, and reminded me of the description of similar canticles in the camps of the Covenanters; and, indeed, the strange medley of figures and faces and uncouth garbs, congregated together in our troop, would not have disgraced the banners of Praise-God Barebones."
"在唱这首带着鼻音的赞美诗的间隙，一只爱好音乐的猫头鹰开始了它那沉闷的叫声，好像是要比赛似的。马上整个营地都在呼喊：“查理的猫头鹰！查理的猫头鹰！”","In one of the intervals of this nasal psalmody, an amateur owl, as if in competition, began his dreary hooting.Immediately there was a cry throughout the camp of “Charley’s owl! Charley’s owl!"""
"这只“无名鸟”似乎每晚都来拜访过营地，并曾经被一个名叫查理的缺根筋的哨兵打了一枪，所以，虽然他辩解说他知道用猫头鹰可以做出不同寻常的好汤来，但只要他值班，就会让人们想起开枪事件。","It seems this “obscure bird” had visited the camp every night, and had been fired at by one of the sentinels, a half-witted lad, named Charley; who, on being called up for firing when on duty, excused himself by saying, that he understood owls made uncommonly good soup."
"其中一个年轻的巡逻骑兵模仿起这种智慧之鸟的叫声。这只鸟径直地盘旋着进入了我们的视线，然后落在了光秃秃的树枝上，映现在火堆的光辉之中。这可不是它的性格啊。年轻的伯爵马上抓起他的猎枪，瞄准之后给了它致命的一枪。转瞬间，那只可怜的预示着凶兆的鸟儿就在地上不断地挣扎了。这时，查理被叫过来做他要喝的猫头鹰汤，但是他拒绝了，理由是这不是他亲手打下来的。","One of the young rangers mimicked the cry of this bird of wisdom, who, with a simplicity little consonant with his character, came hovering within sight, and alighted on the naked branch of a tree, lit up by the blaze of our fire.The young Count immediately seized his fowling-piece, took fatal aim, and in a twinkling the poor bird of ill omen came fluttering to the ground.Charley was now called upon to make and eat his dish of owl-soup, but declined, as he had not shot the bird."
"夜间，我去队长的篝火处拜访了一下。那里烧着一些足够用来烤一整头野牛的巨大树干。在这里有许多一流的猎手和营地的首领。他们有的坐着，有的站着，还有的躺在火堆前的兽皮或毯子上，正讲述着边境上关于狩猎和印第安战争的古老故事。","In the course of the evening, I paid a visit to the Captain’s fire.It was composed of huge trunks of trees, and of sufficient magnitude to roast a buffalo whole.Here were a number of the prime hunters and leaders of the camp, some sitting, some standing, and others lying on skins or blankets before the fire, telling old frontier stories about hunting and Indian warfare."
"夜色更深了，我们注意到，在西边树林的上方，一片火光把天空映成了红色。","As the night advanced, we perceived above the trees to the west, a ruddy glow flushing up the sky."
"“那一定是奥塞奇猎手点燃了大草原。”队长说道。","“That must be a prairie set on fire by the Osage hunters,” said the Captain."
"“那是在雷德福克河边上，”贝蒂看着天空说，“那看起来也就只有三英里远，不过也有可能是二十英里。”","“It is at the Red Fork,” said Beatte, regarding the sky.“It seems but three miles distant, yet it perhaps is twenty.”"
"大约是在八点半之后，一片美丽的白光渐渐从东方涌现，那是月亮升起的征兆。从队长的住处离开后，我准备去休息。我已经决定不再受帐篷的庇护了，从今以后，我要像巡逻骑兵们那样露宿。一张铺在树下的熊皮是我的床，一副马褡裢就是我的枕头。把自己裹在毯子里之后，我舒服地躺在这种猎人的沙发上，很快便进入了香甜的梦乡，直到破晓的军号声响起时，我才醒来。","About half past eight o’clock, a beautiful pale light gradually sprang up in the east, a precursor of the rising moon.Drawing off from the Captain’s lodge, I now prepared for the night’s repose.I had determined to abandon the shelter of the tent, and henceforth to bivouac like the rangers.A bearskin spread at the foot of a tree was my bed, with a pair of saddle-bags for a pillow.Wrapping myself in blankets, I stretched myself on this hunter’s couch, and soon fell into a sound and sweet sleep, from which I did not awake until the bugle sounded at daybreak."
"第十一章 拆帐篷","CHAPTER XI. BREAKING UP OF THE ENCAMPMENT."
"——美丽如画的旅行——猎物——营地景色——一个年轻猎手的胜利——老猎手的失败——对一只臭鼬的残害","—PICTURESQUE MARCH.—GAME.—CAMP SCENES.—TRIUMPH OF A YOUNG HUNTER.—ILL SUCCESS OF OLD HUNTERS.—FOUL MURDER OF A POLECAT."
"40830.0——作为信号的号角声响起，哨兵和巡逻兵们从营地周围的岗位上撤了回来解散了。巡逻骑兵们纷纷从睡梦中醒来，很快，营地便呈现出一派忙碌的景象。有的在砍柴生火准备早饭，有的收拾起挡风遮雨的毛毯为出发作准备，还有的飞快地穿过灌木去寻找马，并把它们牵回或赶回营地。在这段忙乱的时间里，树林里高喊声、欢笑声交织成一片。当所有人吃完早饭，打包好行李和野营装备，并放在驮马背上之后，号角声响起，告诉大家备鞍上马出发。八点钟的时候，整支队伍排成一长溜出发了，吆喝声不绝于耳，其中还夹杂着对磨磨蹭蹭的驮马的咒骂声。不一会儿，这个这几天来被不常见的纷乱和喧闹所充斥的森林，又恢复了原始的孤寂。","OCTOBER 14TH.—At the signal note of the bugle, the sentinels and patrols marched in from their stations around the camp and were dismissed.The rangers were roused from their night’s repose, and soon a bustling scene took place.While some cut wood, made fires, and prepared the morning’s meal, others struck their foul-weather shelters of blankets, and made every preparation for departure; while others dashed about, through brush and brake, catching the horses and leading or driving them into camp.During all this bustle the forest rang with whoops, and shouts, and peals of laughter; when all had breakfasted, packed up their effects and camp equipage, and loaded the pack-horses, the bugle sounded to saddle and mount.By eight o’clock the whole troop set off in a long straggling line, with whoop and halloo, intermingled with many an oath at the loitering pack-horses, and in a little while the forest, which for several days had been the scene of such unwonted bustle and uproar, relapsed into its primeval solitude and silence."
"这是一个阳光明媚的早上，纯净透明的空气使人心情愉悦。我们继续沿着与阿肯色河平行的路线前进，途经了一片富饶而又景色各异的土地。有时我们不得不穿越覆盖着茂密植物的冲击河谷，那里的参天大树上，缠结的葡萄藤像绳索一样从树枝上悬垂下来；有时我们沿着水流缓慢的小溪前进，那涓涓细流连接着一些像镜子般镶嵌在静谧树林深处的清澈水塘，水里倒映着片片秋叶和湛蓝的天空。有时我们要爬上连绵起伏、乱石林立的小山，在视野开阔山顶上，极目远眺，一边是远方点缀着大小树林的大草原，另一边是阿肯色河之外灰蒙蒙的连绵山峦。","It was a bright sunny morning, with a pure transparent atmosphere that seemed to bathe the very heart with gladness.Our march continued parallel to the Arkansas, through a rich and varied country; sometimes we had to break our way through alluvial bottoms matted with redundant vegetation, where the gigantic trees were entangled with grape-vines, hanging like cordage from their branches; sometimes we coasted along sluggish brooks, whose feebly trickling current just served to link together a succession of glassy pools, imbedded like mirrors in the quiet bosom of the forest, reflecting its autumnal foliage, and patches of the clear blue sky.Sometimes we scrambled up broken and rocky hills, from the summits of which we had wide views stretching on one side over distant prairies diversified by groves and forests, and on the other ranging along a line of blue and shadowy hills beyond the waters of the Arkansas."
"我们队伍的整体形象与乡间的景色融为一体，长达半英里的队伍蜿蜒在灌木丛林中，行走于山间隘路上，人们穿着各式粗陋的衣服，肩上扛着长来复枪，骑着颜色各异的马匹。驮马也时不时地从队伍中间溜出去，去吃路边的野草，然后托尼什和他的混血儿同伴把它们打回来，并用混杂的咒骂声连珠炮般地驱赶着。时不时地从队伍前端传来的号角声，在林地中回响，在幽谷中回荡，召唤着落伍者并表明前进的方向。整个场景使我想起了对西印度洋海盗穿越南美荒原，袭击西班牙殖民地的描述。","The appearance of our troop was suited to the country; stretching along in a line of upward of half a mile in length, winding among brakes and bushes, and up and down in the defiles of the hills, the men in every kind of uncouth garb, with long rifles on their shoulders, and mounted on horses of every color.The pack-horses, too, would incessantly wander from the line of march, to crop the surrounding herbage, and were banged and beaten back by Tonish and his half-breed compeers, with volleys of mongrel oaths.Every now and then the notes of the bugle, from the head of the column, would echo through the woodlands and along the hollow glens, summoning up stragglers, and announcing the line of march.The whole scene reminded me of the description given of bands of buccaneers penetrating the wilds of South America, on their plundering expeditions against the Spanish settlements."
"有一段时间，我们行走在一个肥沃的河谷，或者说是一片由灌木林围绕的草地，那里高高的野草被前一个晚上在此栖息的野鹿压出了无数的“鹿床”。一些橡树上也留下了想要摘橡树果的熊所攀爬过的痕迹，树皮上熊爪的印记清晰可辨。","At one time we passed through a luxuriant bottom or meadow bordered by thickets, where the tall grass was pressed down into numerous “deer beds,” where those animals had couched the preceding night.Some oak trees also bore signs of having been clambered by bears, in quest of acorns, the marks of their claws being visible in the bark."
"在这片被包围的草地上开辟道路时，我们看到几只鹿在极度惊慌中蹦蹦跳跳地逃开，直到跑开一段距离之后，它们才停下来，带着这一动物惯有的好奇表情回头观望打破它们孤寂世界的陌生入侵者。四处马上响起了尖锐的枪声，那是队伍中年轻的猎手们打的，但是他们太心急了，没有瞄准，于是野鹿们毫发无伤地窜进了树林深处。","As we opened a glade of this sheltered meadow we beheld several deer bounding away in wild affright, until, having gained some distance, they would stop and gaze back, with the curiosity common to this animal, at the strange intruders into their solitudes.There was immediately a sharp report of rifles in every direction, from the young huntsmen of the troop, but they were too eager to aim surely, and the deer, unharmed, bounded away into the depths of the forest."
"行军途中，我们来到了阿肯色河，但却发现我们仍然位于雷德福克河的下方。由于河拐了一个大弯，所以我们再度离开河岸，继续穿越树林。直到将近八点时，我们才在一处紧挨着一条溪流、由一丛丛高大橡树遮蔽着的美丽盆地上驻扎下来。","In the course of our march we struck the Arkansas, but found ourselves still below the Red Fork, and, as the river made deep bends, we again left its banks and continued through the woods until nearly eight o’clock, when we encamped in a beautiful basin bordered by a fine stream, and shaded by clumps of lofty oaks."
"我们将马匹们捆住，具体地说，将它们的前腿用绳索或皮带捆住，以限制它们的行动，防止它们从营地走失。然后我们把它们放开，让它们吃草去了。一些巡逻队员和第一流的猎手，向不同的方向进发，去寻找猎物。整个营地里没有了早上的那种高喊声和欢笑声，大家要么忙着生火准备做晚饭，要么在草地上休息。不久，枪声从不同的方向传来。一会儿工夫之后，一个猎手骑着马进入了营地，马背上驮着一只硕大的雄鹿的尸体。又过了一小会儿，几个年轻的猎手徒步走了回来，其中一个肩上扛着一只母鹿的尸体。虽然他和他的同伴因为刚刚开始打猎，所以一起前去，因而受到了其余同伴的嘲笑，但很显然他为自己的猎物感到骄傲，也许这是他第一次打到猎物呢！","The horses were now hobbled, that is to say, their fore legs were fettered with cords or leathern straps, so as to impede their movements, and prevent their wandering from the camp.They were then turned loose to graze.A number of rangers, prime hunters, started off in different directions in search of game.There was no whooping nor laughing about the camp as in the morning; all were either busy about the fires preparing the evening’s repast, or reposing upon the grass.Shots were soon heard in various directions.After a time a huntsman rode into the camp with the carcass of a fine buck hanging across his horse.Shortly afterward came in a couple of stripling hunters on foot, one of whom bore on his shoulders the body of a doe.He was evidently proud of his spoil, being probably one of his first achievements, though he and his companion were much bantered by their comrades, as young beginners who hunted in partnership."
"夜幕刚刚降临，营地的一头就响起了一阵高喊声。马上，一帮年轻的巡逻骑兵游走在各个火堆之间，肩上扛着他们一个凯旋的同伴。他生平第一次打死了一头麋鹿，这也是我们这次远足以来第一次打到这种猎物。当晚，这个名叫米莱伦的年轻猎手成了营地的英雄。此外，他还是“晚宴之父”，因为每个火堆上都在烤他的麋鹿。","Just as the night set in, there was a great shouting at one end of the camp, and immediately afterward a body of young rangers came parading round the various fires, bearing one of their comrades in triumph on their shoulders.He had shot an elk for the first time in his life, and it was the first animal of the kind that had been killed on this expedition.The young huntsman, whose name was M’Lellan, was the hero of the camp for the night, and was the “father of the feast” into the bargain; for portions of his elk were seen roasting at every fire."
"其余的猎手们则空手而归。队长发现了肯定是几天前刚刚经过这里的野牛的踪迹。他还循着一头熊的踪迹追了一段距离，直到最终脚印消失为止。他也在阿肯色河的岸边发现了一只麋鹿，它走到了河口沙洲上。可他还没来得及偷偷拔枪射击，它便退回到树林中去了。","The other hunters returned without success.The Captain had observed the tracks of a buffalo, which must have passed within a few days, and had tracked a bear for some distance until the foot-prints had disappeared.He had seen an elk, too, on the banks of the Arkansas, which walked out on a sand-bar of the river, but before he could steal round through the bushes to get a shot, it had re-entered the woods."
"我们自己的猎手贝蒂一言不发、闷闷不乐地回来了，他也一无所获。由于他没有给我们带回任何东西，所以我们只好分享属于队长的那份鹿肉了。很显然，贝蒂觉得很丢人，因为他看不起那些巡逻骑兵，认为他们是乳臭未干、毫无经验的山林人；另一方面，他们也看不起他，认为他来自于一个邪恶的种族，还总管他叫“印第安人”。","Our own hunter, Beatte, returned silent and sulky, from an unsuccessful hunt.As yet he had brought us in nothing, and we had depended for our supplies of venison upon the Captain’s mess.Beatte was evidently mortified, for he looked down with contempt upon the rangers, as raw and inexperienced woodsmen, but little skilled in hunting; they, on the other hand, regarded Beatte with no very complacent eye, as one of an evil breed, and always spoke of him as “the Indian.”"
"我们的小个子法国人托尼什还是喜欢用他那混杂的方言，喋喋不休地自吹自擂，满嘴胡言乱语。队伍里那些爱说笑的人总是拿他寻开心，他们肆无忌惮地奚落和嘲笑他；可是这个小无赖完全被虚荣心和自负所蒙蔽，所以他对所有的讽刺挖苦都不以为意。然而，我必须承认，我们的随从总是在那些边陲强盗们当中出洋相，这使我感到很丢人。甚至连我们的装备也不受欢迎，我听到我们用来打小猎物的双筒枪遭到了很多的讥笑。他们轻蔑地称我们是手持“猎枪”的西部小家伙。松鸡、鹑鸡之类的小东西，甚至是火鸡，他们都瞧不上眼，他们认为步枪是唯一值得猎手装备的武器。","Our little Frenchman, Tonish, also, by his incessant boasting, and chattering, and gasconading, in his balderdashed dialect, had drawn upon himself the ridicule of many of the wags of the troop, who amused themselves at his expense in a kind of raillery by no means remarkable for its delicacy; but the little varlet was so completely fortified by vanity and self-conceit, that he was invulnerable to every joke.I must confess, however, that I felt a little mortified at the sorry figure our retainers were making among these moss-troopers of the frontier.Even our very equipments came in for a share of unpopularity, and I heard many sneers at the double-barrelled guns with which we were provided against smaller game; the lads of the West holding “shot-guns,” as they call them, in great contempt, thinking grouse, partridges, and even wild turkeys as beneath their serious attention, and the rifle the only firearm worthy of a hunter."
"第二天早上破晓之前，我便被一只狼的悲号给惊醒了。它被鹿肉的香味所吸引，偷偷地徘徊在营地的边缘。黎明第一抹光亮刚刚降临，一个远处小屋里的年轻人便醒了过来。他模仿起一只公鸡啼叫，音色清朗明亮、抑扬顿挫，堪与最老练的公鸡相媲美。马上，另一个屋子传来回应，好像是来自于一只相匹敌的雄鸡。叫声在所有的屋子间回荡，随后又响起了母鸡的咯咯声，鸭子的呷呷声，火鸡的嘎嘎声，以及猪的咕噜声——我们恍如置身于一个农家庭院，所有家禽的叫声在我们周围响成一片。","I was awakened before daybreak the next morning, by the mournful howling of a wolf, who was skulking about the purlieus of the camp, attracted by the scent of venison.Scarcely had the first gray streak of dawn appeared, when a youngster at one of the distant lodges, shaking off his sleep, crowed in imitation of a cock, with a loud clear note and prolonged cadence, that would have done credit to the most veteran chanticleer.He was immediately answered from another quarter, as if from a rival rooster.The chant was echoed from lodge to lodge, and followed by the cackling of hens, quacking of ducks, gabbling of turkeys, and grunting of swine, until we seemed to have been transported into the midst of a farmyard, with all its inmates in full concert around us."
"这天早上骑了一小段距离之后，我们来到了一条古老的印第安小径。沿着它我们一路爬上了一座山丘的顶端。那里视野非常开阔，眼前是一望无际的乡村景象：有岩石嶙峋的山脊和高低起伏的丘陵，还有小树林和各种矮树丛点缀其间。朝西面远眺，我们欣喜地发现雷德福克河一路奔腾涌入阿肯色河，而我们正处在两河交汇处的上方。我们费力地下着山，并艰难前行，之后穿过了阿肯色河旁边林木茂盛的冲积河谷。这里，树上都缠绕着葡萄藤，像绳索似的，从这个树干缠到那个树干，从这个树枝绕到那个树枝；这里还有低矮浓密的灌木丛和荆棘，以及大量适于采集的啤酒花草——这一切使我们的马举步维艰。","After riding a short distance this morning, we came upon a well-worn Indian track, and following it, scrambled to the summit of a hill, whence we had a wide prospect over a country diversified by rocky ridges and waving lines of upland, and enriched by groves and clumps of trees of varied tuft and foliage.At a distance to the west, to our great satisfaction, we beheld the Red Fork rolling its ruddy current to the Arkansas, and found that we were above the point of junction We now descended and pushed forward, with much difficulty, through the rich alluvial bottom that borders the Arkansas.Here the trees were interwoven with grape-vines, forming a kind of cordage, from trunk to trunk and limb to limb; there was a thick undergrowth, also, of bush and bramble, and such an abundance of hops, fit for gathering, that it was difficult for our horses to force their way through."
