"第一章 木屋","Chapter I The Chalet"
"“老伴，别说两个年轻人，是三个！”小个子拉图奈尔看看四周，大声说道，“哥本海姆不在这儿，所以我可以说出来。”","“Don’t say two young men, wife; say three!” cried little Latournelle, looking round him.“Gobenheim is not here, so I can speak out.”"
"莫黛斯特抬起了头，其他人也都跟她一样，抬起头来看着公证人。","Modeste raised her head, and everybody, imitating Modeste, raised theirs and looked at the notary."
"“是的，第三个对小姐钟情的人——还是个了不起的情人——也来毛遂自荐了。”","“Yes, a third lover—and he is something like a lover—offers himself as a candidate.”"
"“啊！”中校惊呼道。","“Bah!” exclaimed the colonel."
"“我说的不是别人，”拉图奈尔自豪地说，“正是埃鲁维尔公爵先生，他也是圣瑟韦侯爵、尼沃隆公爵、巴约伯爵、埃西尼子爵，法国马厩大总管和贵族议员，马刺教派和金羊毛教派的骑士，西班牙大公，诺曼底前任省长之子。他在维尔坎家小住的时候，看到过莫黛斯特小姐。他的公证人昨天从巴约来告诉我说，他当时就为莫黛斯特不够富有、达不到他的要求而感到遗憾，因为他父亲回到法国时，手中只剩下了埃鲁维尔庄园，这里面还有他姐姐的一份。这位年轻的公爵现年三十三岁。我实在是受人之托向你们讲出这些的，伯爵先生。”公证人毕恭毕敬地转向中校，补充道。","“I speak of no less a person,” said Latournelle, pompously, “than Monsieur le Duc d’Herouville, Marquis de Saint-Sever, Duc de Nivron, Comte de Bayeux, Vicomte d’Essigny, grand equerry and peer of France, knight of the Spur and the Golden Fleece, grandee of Spain, and son of the last governor of Normandy.He saw Mademoiselle Modeste at the time when he was staying with the Vilquins, and he regretted then—as his notary, who came from Bayeux yesterday, tells me—that she was not rich enough for him; for his father recovered nothing but the estate of Herouville on his return to France, and that is saddled with a sister.The young duke is thirty-three years old.I am definitively charged to lay these proposals before you, Monsieur le comte,” added the notary, turning respectfully to the colonel."
"“你可以问问莫黛斯特，愿不愿意往她的笼子里再加一只鸟，”伯爵回答道，“就我而言，我倒情愿这位马厩大总管阁下来关注一下她。”","“Ask Modeste if she wants another bird in her cage,” replied the count; “as far as I am concerned, I am willing that my lord the grand equerry shall pay her attention.”"
"尽管夏尔·米尼翁小心翼翼地避免见外人，而且总呆在木屋，出门时也总是跟莫黛斯特一起，但哥本海姆还是将迪迈发财的事传了出去，因为迪迈在辞掉出纳员职务时跟他说：“我要做中校的管家，而且我所有的财产，除了我夫人所需要的那部分，都将给我们的小莫黛斯特的子女。”于是，勒阿弗尔的每个人都提出了公证人对自己提的那个问题：“如果迪迈那份收益是六十万法郎，他还要做米尼翁先生的管家，那么米尼翁先生一定有一笔巨大的财产。他驾着自己装满了靛蓝染料的船在马赛靠岸，而且交易所的人说，不算船的价值，光是那些货物的价值都比他对外宣称的总家产要多。”","Notwithstanding the care with which Charles Mignon avoided seeing people, and though he stayed in the Chalet and never went out without Modeste, Gobenheim had reported Dumay’s wealth; for Dumay had said to him when giving up his position as cashier: “I am to be bailiff for my colonel, and all my fortune, except what my wife needs, is to go to the children of our little Modeste.”Every one in Havre had therefore propounded the same question that the notary had already put to himself: “If Dumay’s share in the profits is six hundred thousand francs, and he is going to be Monsieur Mignon’s bailiff, then Monsieur Mignon must certainly have a colossal fortune.He arrived at Marseilles on a ship of his own, loaded with indigo; and they say at the Bourse that the cargo, not counting the ship, is worth more than he gives out as his whole fortune.”"
"中校不想辞退他带回来的那些仆人，他们都是他在旅途中精心挑选出来的。因此，他在安古维尔山坡为他们租了一套房子，安置他的贴身男仆、厨师和马夫，他们都是黑人，其中三个是黑白混血的，个个都值得信赖。马夫接到吩咐，去为小姐和他的主人物色骑用马匹，并为中校和中尉回勒阿弗尔时坐的轻便马车物色驾车马匹。那驾马车是从巴黎买的，是最新款式，漆着拉巴斯蒂家徽，上面还有伯爵宝冠。这些东西，对一个四年来见惯了印度群岛以及广州的英国商人那种极尽奢华的生活的人来说，是微不足道的，但对于勒阿弗尔的商人以及安古维尔和格拉维尔的居民，却是诸多评论的主题。还不到五天，传闻就像是一串点了火的火药，从诺曼底的这一头传到了另一头。","The colonel was unwilling to dismiss the servants he had brought back with him, whom he had chosen with care during his travels; and he therefore hired a house for them in the lower part of Ingouville, where he installed his valet, cook, and coachman, all Negroes, and three mulattos on whose fidelity he could rely.The coachman was told to search for saddle-horses for Mademoiselle and for his master, and for carriage-horses for the caleche in which the colonel and the lieutenant had returned to Havre.That carriage, bought in Paris, was of the latest fashion, and bore the arms of La Bastie, surmounted by a count’s coronet.These things, insignificant in the eyes of a man who for four years had been accustomed to the unbridled luxury of the Indies and of the English merchants at Canton, were the subject of much comment among the business men of Havre and the inhabitants of Ingouville and Graville.Before five days had elapsed the rumor of them ran from one end of Normandy to the other like a train of gunpowder touched by fire."
"“米尼翁先生从中国赚了几百万回来了，”一个鲁昂人说道，“而且好像他在海上就成了伯爵。”","“Monsieur Mignon has come back from China with millions,” some one said in Rouen; “and it seems he was made a count in mid-ocean.”"
"“可大革命之前他就是拉巴斯蒂伯爵啊。”另一个人回应道。","“But he was the Comte de La Bastie before the Revolution,” answered another."
"“所以他们称他为自由党人，因为他二十五年来都直呼自己夏尔·米尼翁！我们会得到什么啊？”第三个人说道。","“So they call him a liberal just because he was plain Charles Mignon for twenty-five years!What are we coming to?” said a third."
"因此，尽管莫黛斯特的父母和朋友都保持沉默，她还是被认为是诺曼底最富有的女嗣，所有的眼睛又开始看到她的价值了。埃鲁维尔公爵的姑姑和姐姐在巴约的贵族沙龙上肯定地说，夏尔·米尼翁先生有权继承源自米尼翁红衣主教的伯爵头衔和家徽。家徽上的红衣主教帽子和流苏就是为了纪念这位主教而加上去的。他们在维尔坎家小住的时候，见过德拉巴斯蒂小姐，现在，他们倒关心起这个家道中落的家族的家长来了。","Modeste was considered, therefore, notwithstanding the silence of her parents and friends, as the richest heiress in Normandy, and all eyes began once more to see her merits.The aunt and sister of the Duc d’Herouville confirmed in the aristocratic salons of Bayeux Monsieur Charles Mignon’s right to the title and arms of count, derived from Cardinal Mignon, for whom the Cardinal’s hat and tassels were added as a crest.They had seen Mademoiselle de La Bastie when they were staying at the Vilquins, and their solicitude for the impoverished head of their house now became active."
"“如果德拉巴斯蒂小姐真的既漂亮又富有，”这位年轻公爵的姑姑说，“那她就是全省男子的最佳选择。她至少是位贵族。”","“If Mademoiselle de La Bastie is really as rich as she is beautiful,” said the aunt of the young duke, “she is the best match in the province.She at least is noble.”"
"这最后一句话是针对维尔坎家族说的，因为埃鲁维尔公爵曾经住在这个中产阶级家庭里，却没和他家的女儿谈成婚事，真是奇耻大辱。","The last words were aimed at the Vilquins, with whom they had not been able to come to terms, after incurring the humiliation of staying in that bourgeois household."
"在介绍我们故事中的一个新角色之前，讲讲这些琐事是有必要的，当然，这有悖亚里士多德和贺拉斯文学准则。但是，考虑到这个姗姗来迟的人物身材极为矮小，他的肖像和传记也不会太长。这位马厩大总管在这里所占的篇幅，不会比他在历史上所占的长。埃鲁维尔公爵先生，是前任诺曼底省长流亡国外期间的老来子，一七九九年生于维也纳。公爵的父亲是位老元帅，一八一四年同国王一起回国，一八一九年去世，死前没能给他儿子完婚。他只给儿子留下了埃鲁维尔大城堡、猎园、一些附属建筑，以及一座好不容易才赎回的田庄，所有这些地产的年租金收入约一万五千法郎。路易十八授予这位儿子马厩大总管之职，到了查理十世时期，他又享受到给法国破落贵族的一万二千法郎日常津贴。但对于这样一个家族来说，这两万七千法郎的年收入加上马厩大总管的薪俸，又算什么呢？当然，在巴黎，这位年轻的公爵用的是国王的马车，而且在卢浮宫圣托马斯街的王室马厩附近有一座公馆，他的薪俸可供他在巴黎城内过冬之用，而那两万七千法郎则是夏天在诺曼底的费用。这位贵族人物至今还是单身，这不能怪他自己，而要怪他那位不精通拉封丹寓言故事的姑姑。德埃鲁维尔小姐极度的矫揉造作完全是为了追赶当今的时代精神，因为再显赫的家族如果没有钱来支撑，也很难赢得法国高等贵族的女嗣的芳心。而那些高等贵族自己也窘迫不已，因为根据新法律中平均分配财产的规定，他们的儿子也得由他们供养。要让年轻的埃鲁维尔公爵娶到老婆，就必须要讨好那些大银行家家族，但这位傲慢自大的德埃鲁维尔家小姐说话尖酸刻薄，把这些人都给得罪了。王政复辟的头几年里，从一八一七年到一八二五年，德埃鲁维尔小姐虽然在寻求百万人家，却也拒绝了许多人家。其中就有银行家蒙日诺的女儿，后来，德方丹先生很满意地娶了她。","Such were the little events which, contrary to the rules of Aristotle and of Horace, precede the introduction of another person into our story; but the portrait and the biography of this personage, this late arrival, shall not be long, taking into consideration his own diminutiveness.The grand equerry shall not take more space here than he will take in history.Monsieur le Duc d’Herouville, offspring of the matrimonial autumn of the last governor of Normandy, was born during the emigration in 1799, at Vienna.The old marechal, father of the present duke, returned with the king in 1814, and died in 1819, before he was able to marry his son.He could only leave him the vast chateau of Herouville, the park, a few dependencies, and a farm which he had bought back with some difficulty; all of which returned a rental of about fifteen thousand francs a year.Louis XVIII. gave the post of grand equerry to the son, who, under Charles X., received the usual pension of twelve thousand francs which was granted to the pauper peers of France.But what were these twenty-seven thousand francs a year and the salary of grand equerry to such a family?In Paris, of course, the young duke used the king’s coaches, and had a mansion provided for him in the rue Saint-Thomas-du-Louvre, near the royal stables; his salary paid for his winters in the city, and his twenty-seven thousand francs for the summers in Normandy.If this noble personage was still a bachelor he was less to blame than his aunt, who was not versed in La Fontaine’s fables.Mademoiselle d’Herouville made enormous pretensions wholly out of keeping with the spirit of the times; for great names, without the money to keep them up, can seldom win rich heiresses among the higher French nobility, who are themselves embarrassed to provide for their sons under the new law of the equal division of property.To marry the young Duc d’Herouville, it was necessary to conciliate the great banking-houses; but the haughty pride of the daughter of the house alienated these people by cutting speeches.During the first years of the Restoration, from 1817 to 1825, Mademoiselle d’Herouville, though in quest of millions, refused, among others, the daughter of Mongenod the banker, with whom Monsieur de Fontaine afterwards contented himself."
"最后，完全由于她自己的过失，错过了许多替她侄子完婚的好机会。可她还在考虑纽沁根家族的财产是不是来路不正，她要不要成全德纽沁根夫人想让自己女儿成为公爵夫人的野心。国王急于让德埃鲁维尔家族恢复昔日的光彩，差一点儿就成全了这门亲事，而当事情搞砸后，他公开批评了德埃鲁维尔小姐的愚蠢做法。就这样，这位姑姑将她的侄子置于了可笑的境地中，而这位侄子自己也确实挺荒谬。当伟大事物消逝时，它们会留下碎片，拉伯雷称之为“掉下来的渣渣”。而这个世纪的法国贵族给我们留下了太多这样的碎片。无论是牧师还是贵族，在这段悠长的风俗史中都没有什么好抱怨的。那些伟大而辉煌的社会必需品已经被很好地呈现出来了，但如果我们不公正地在这里描述一下贵族们如今的没落，尽管我们已经在其他地方这样做过了——如莫尔索伯爵的形象（见《幽谷百合》）、“朗热女公爵”，还有极具贵族气质的德埃斯巴侯爵——那我们当然应该宣布放弃历史学家这一高尚头衔。那么，那个孕育了英雄和勇士的、光荣的埃鲁维尔家族，给国家输送了著名的元帅，给教会输送了几个红衣主教，给瓦罗亚王朝输送了许多伟大领袖，给路易十四输送了好多骑士，最后会没落成到只剩一个孱弱的、比比查还矮小的男嗣呢？在巴黎的不止一个沙龙里，当我们听到法兰西最伟大家族的名字被通报，却看到进来的是一个瘦弱干瘪、身材矮小、几乎只剩最后一口气的年轻人，或一个未老先衰的人，或一个很难从他身上看到昔日荣光的稀奇古怪的人，我们都会问自己这样的问题。路易十五王朝的荒淫无度，那个宿命而自我的时代的纵酒狂欢，造就了软弱无能的一代。在他们身上，高贵的品质都已消失，只剩下那套举止——表面形式，那也是我们的贵族保留下来的唯一遗产。蓬巴杜夫人统治期间留下的后遗症，多多少少也能解释路易十六及其王朝的覆灭。","At last, having lost several good opportunities to establish her nephew, entirely through her own fault, she was just considering whether the property of the Nucingens was not too basely acquired, or whether she should lend herself to the ambition of Madame de Nucingen, who wished to make her daughter a duchess.The king, anxious to restore the d’Herouvilles to their former splendor, had almost brought about this marriage, and when it failed he openly accused Mademoiselle d’Herouville of folly.In this way the aunt made the nephew ridiculous, and the nephew, in his own way, was not less absurd.When great things disappear they leave crumbs, “frusteaux,” Rabelais would say, behind them; and the French nobility of this century has left us too many such fragments.Neither the clergy nor the nobility have anything to complain of in this long history of manners and customs.Those great and magnificent social necessities have been well represented; but we ought surely to renounce the noble title of historian if we are not impartial, if we do not here depict the present degeneracy of the race of nobles, although we have already done so elsewhere,—in the character of the Comte de Mortsauf (in “The Lily of the Valley”), in the “Duchesse de Langeais,” and the very nobleness of the nobility in the “Marquis d’Espard.”How then could it be that the race of heroes and valiant men belonging to the proud house of Herouville, who gave the famous marshal to the nation, cardinals to the church, great leaders to the Valois, knights to Louis XIV., was reduced to a little fragile being smaller than Butscha?That is a question which we ask ourselves in more than one salon in Paris when we hear the greatest names of France announced, and see the entrance of a thin, pinched, undersized young man, scarcely possessing the breath of life, or a premature old one, or some whimsical creature in whom an observer can with great difficulty trace the signs of a past grandeur.The dissipations of the reign of Louis XV., the orgies of that fatal and egotistic period, have produced an effete generation, in which manners alone survive the nobler vanished qualities,—forms, which are the sole heritage our nobles have preserved.The abandonment in which Louis XVI. was allowed to perish may thus be explained, with some slight reservations, as a wretched result of the reign of Madame de Pompadour."
"这位马厩大总管是个不错的年轻人，蓝眼睛，面色苍白，倒也不是没有一些高贵的思想，但他那纤瘦矮小的身材，加上他姑姑带他到维尔坎家还有其他地方去求婚的愚蠢之举，使他极度缺乏自信。由于一个畸形之人的所作所为，埃鲁维尔家族已经受到过绝嗣的威胁了（见“哲理研究”部分《被诅咒的孩子》）。那位大元帅——家族中对被路易十三封为公爵的成员的专门称呼——八十岁的时候才结婚。这位年轻的公爵喜欢女人，但把她们放到了太高的位置上，过于尊重她们。事实上，他崇拜她们，而只有跟他不尊重的人在一起，他才感觉自在。这种性格导致他过着一种双重生活。他在圣日耳曼近郊的沙龙里——你也可以说是女人们的会客室里——对那些女人顶礼膜拜，但又到水性杨花的女人那里寻求补偿。这些习惯，加上他弱小的身材，一副苦脸，还有心醉神迷地向上翻的蓝眼睛，更增加了他身上已有的可笑之处——上帝赋予他这些可笑之处，真是不公平，因为他充满才智、心思细腻，但他的才智从来不发光，只有在他感觉自在的时候才会表现出来。据说，女演员范妮·博普雷是他花了大钱结交的最亲密的朋友，她称他为“一瓶瓶塞塞得太紧、会弄坏你所有开瓶器的好酒。”这位马厩大总管对美丽的摩弗里纽斯公爵夫人就只有爱慕的份儿了。她说过一句让大总管彻底崩溃的话，不幸的是，这句话还像所有这类精辟的恶毒话一样，被人们口口相传。","The grand equerry, a fair young man with blue eyes and a pallid face, was not without a certain dignity of thought; but his thin, undersized figure, and the follies of his aunt who had taken him to the Vilquins and elsewhere to pay his court, rendered him extremely diffident.The house of Herouville had already been threatened with extinction by the deed of a deformed being (see the “Enfant Maudit” in “Philosophical Studies”).The grand marshal, that being the family term for the member who was made duke by Louis XIII., married at the age of eighty.The young duke admired women, but he placed them too high and respected them too much; in fact, he adored them, and was only at his ease with those whom he could not respect.This characteristic caused him to lead a double life.He found compensation with women of easy virtue for the worship to which he surrendered himself in the salons, or, if you like, the boudoirs, of the faubourg Saint-Germain.Such habits and his puny figure, his suffering face with its blue eyes turning upward in ecstasy, increased the ridicule already bestowed upon him,—very unjustly bestowed, as it happened, for he was full of wit and delicacy; but his wit, which never sparkled, only showed itself when he felt at ease.Fanny Beaupre, an actress who was supposed to be his nearest friend (at a price), called him “a sound wine so carefully corked that you break all your corkscrews.”The beautiful Duchesse de Maufrigneuse, whom the grand equerry could only worship, annihilated him with a speech which, unfortunately, was repeated from mouth to mouth, like all such pretty and malicious sayings."
"“对我来说，”她说，“他总像是一件做工精良的珠宝饰物，我们展示它，却从来不佩戴，只是把它存放在棉花团里。”","“He always seems to me,” she said, “like one of those jewels of fine workmanship which we exhibit but never wear, and keep in cotton-wool.”"
"有关他的一切，甚至是他那有些荒谬、与本人形成鲜明对比的马厩大总管头衔，都让和蔼可亲的国王查理十世乐得发笑——尽管埃鲁维尔公爵已证明了他能胜任自己的工作——做一位优秀的驯马师。人就像书，通常是太晚才被理解和赏识。公爵去维尔坎家进行那次无果的拜访期间，莫黛斯特见过他。她看着他来到又离开，脑海中闪过许多诸如此类的印象。但以她目前的处境来看，她清楚地知道埃鲁维尔公爵的追求将使她免受任何一个卡那利的摆布。","Everything about him, even to his absurdly contrasting title of grand equerry, amused the good-natured king, Charles X., and made him laugh,—although the Duc d’Herouville justified his appointment in the matter of being a fine horseman.Men are like books, often understood and appreciated too late.Modeste had seen the duke during his fruitless visit to the Vilquins, and many of these reflections passed through her mind as she watched him come and go.But under the circumstances in which she now found herself, she saw plainly that the courtship of the Duc d’Herouville would save her from being at the mercy of either Canalis."
"“我找不到任何理由，”她跟拉图奈尔说，“为什么埃鲁维尔公爵不能被接纳。虽然我们家境贫寒，”她淘气地看着父亲，继续说道，“但我已经是女继承人了。难道你们没有注意到哥本海姆的眼神吗？他的眼神在一个星期里已经有了很大的变化。他不能通过来这儿玩牌来表达对我魅力的无言爱慕了，正对此失望不已呢。”","“I see no reason,” she said to Latournelle, “why the Duc d’Herouville should not be received.I have passed, in spite of our indigence,” she continued, with a mischievous look at her father, “to the condition of heiress.Haven’t you observed Gobenheim’s glances?They have quite changed their character within a week.He is in despair at not being able to make his games of whist count for mute adoration of my charms.”"
"“嘘，我的宝贝！”拉图奈尔夫人大声说，“他来了。”","“Hush, my darling!” cried Madame Latournelle, “here he comes.”"
"“老阿尔图正伤心绝望呢。”哥本海姆一进门就对米尼翁先生说道。","“Old Althor is in despair,” said Gobenheim to Monsieur Mignon as he entered."
"“为什么？”伯爵问道。","“Why?” asked the count."
"“维尔坎就要破产了，而交易所认为你有几百万的身家。他儿子真是不幸哪！”","“Vilquin is going to fail; and the Bourse thinks you are worth several millions.What ill-luck for his son!”"
"“没有人知道我在印度负了多少债，”夏尔·米尼翁冷冷地说道，“而我也不打算向公众透露我的私人事务。迪迈，”他对他的朋友轻声说道，“如果维尔坎手头拮据，我们就能按他原来给出的价钱买回别墅了。”","“No one knows,” said Charles Mignon, coldly, “what my liabilities in India are; and I do not intend to take the public into my confidence as to my private affairs.Dumay,” he whispered to his friend, “if Vilquin is embarrassed we could get back the villa by paying him what he gave for it.”"
"这就是机缘安排下事态的大致状况。此刻，卡那利和拉布里埃由一名信使打前锋，于星期天早晨到了阿莫里夫人的公馆。据说埃鲁维尔公爵、他的姐姐，还有他的姑姑下个星期二也要以身体欠佳为由过来，住进在格拉维尔租的一幢房子。交易所里爱开玩笑的人看到求婚者云集而来，说多亏了米尼翁小姐，安古维尔的房租要涨了。“再这样继续下去，她要在这儿开一家旅客招待所了。”苦于不能成为公爵夫人的维尔坎二小姐说道。","Such was the general state of things, due chiefly to accident, when on Sunday morning Canalis and La Briere arrived, with a courier in advance, at the villa of Madame Amaury.It was known that the Duc d’Herouville, his sister, and his aunt were coming the following Tuesday to occupy, also under pretext of ill-health, a hired house at Graville.This assemblage of suitors made the wits of the Bourse remark that, thanks to Mademoiselle Mignon, rents would rise at Ingouville.“If this goes on, she will have a hospital here,” said the younger Mademoiselle Vilquin, vexed at not becoming a duchess."
"《女继承人》这出永不休止的喜剧即将在木屋上演，而以莫黛斯特此刻的心境来看，这出剧也可以被称为《一位少女的远大计划》，因为自从她的幻想破灭后，她就下定决心，不向任何一个品格不能完全让她满意的男人伸出她的手。","The everlasting comedy of “The Heiress,” about to be played at the Chalet, might very well be called, in view of Modeste’s frame of mind, “The Designs of a Young Girl”; for since the overthrow of her illusions she had fully made up her mind to give her hand to no man whose qualifications did not fully satisfy her."
"这两位仍是挚友的情敌，准备在他们到达的第二天晚上首次拜访木屋。他们花了星期天一整天和星期一的部分时间拆行李、布置阿莫里夫人的公馆，以便在那里呆上一个月。诗人总在算计。他的到来会在勒阿弗尔造成一定的轰动，当然也会影响到米尼翁家，他希望最大限度地利用这一点。因此，他假装自己需要休息，没有出门。拉布里埃两次散步经过木屋，但总是带着一种绝望的心情，因为他害怕让莫黛斯特不高兴，而且未来对他而言似乎是阴云密布。两位朋友星期一下楼用餐时，都已为这次重要的拜访穿戴完毕。拉布里埃的穿着跟他为那个美好的星期天精心挑选的衣服一样。但他此刻却觉得自己像某个星球的卫星，任凭当前状况下的不确定因素摆布。另一方面，卡那利精心打理了他的黑色外套和勋章，复习了会客室中所有体现高雅风度的小细节。他与德肖利厄公爵夫人以及圣日耳曼近郊上流社会的密切关系，使得这些优雅的小细节臻于完美。他潜心研究花花公子所讲究的细枝末节，而可怜的拉布里埃则打算以一个无望之人不修边幅的形象出现。热尔曼在伺候两位进餐时，看到这鲜明的对比，忍不住暗自发笑。然而，上完第二道菜，这位贴身男仆颇具外交官风范地——也就是颇为不安地走了进来。","The two rivals, still intimate friends, intended to pay their first visit at the Chalet on the evening of the day succeeding their arrival.They had spent Sunday and part of Monday in unpacking and arranging Madame Amaury’s house for a month’s stay.The poet, always calculating effects, wished to make the most of the probable excitement which his arrival would cause in Havre, and which would of course echo up to the Mignons.Therefore, in his role of a man needing rest, he did not leave the house.La Briere went twice to walk past the Chalet, though always with a sense of despair, for he feared to displease Modeste, and the future seemed to him dark with clouds.The two friends came down to dinner on Monday dressed for the momentous visit.La Briere wore the same clothes he had so carefully selected for the famous Sunday; but he now felt like the satellite of planet, and resigned himself to the uncertainties of his situation.Canalis, on the other hand, had carefully attended to his black coat, his orders, and all those little drawing-room elegancies, which his intimacy with the Duchesse de Chaulieu and the fashionable world of the faubourg had brought to perfection.He had gone into the minutiae of dandyism, while poor La Briere was about to present himself with the negligence of a man without hope.Germain, as he waited at dinner could not help smiling to himself at the contrast.After the second course, however, the valet came in with a diplomatic, that is to say, uneasy air."
"“男爵先生知不知道，”他低声对卡那利说道，“马厩大总管先生要到格拉维尔来，也是为了医治让德拉布里埃先生和男爵先生来到海边的那一种病？”","“Does Monsieur le baron know,” he said to Canalis in a low voice, “that Monsieur the grand equerry is coming to Graville to get cured of the same illness which has brought Monsieur de La Briere and Monsieur le baron to the sea-shore?”"
"“什么？那个小个子埃鲁维尔公爵？”","“What, the little Duc d’Herouville?”"
"“是的，先生。”","“Yes, monsieur.”"
"“他是为德拉巴斯蒂小姐而来吗？”拉布里埃涨红了脸问道。","“Is he coming for Mademoiselle de La Bastie?” asked La Briere, coloring."
"“看来是这样的，先生。”","“So it appears, monsieur.”"
"“我们被骗了！”卡那利看着拉布里埃，大叫道。","“We are cheated!” cried Canalis looking at La Briere."
"“啊！”埃内斯特迅速反驳道，“这是你从离开巴黎到现在第一次说‘我们’，之前你一路上都是说‘我’的。”","“Ah!” retorted Ernest quickly, “that is the first time you have said, ‘we’ since we left Paris: it has been ‘I’ all along.”"
"“你真了解我。”卡那利突然放声大笑，“但我们斗不过公爵的宝冠，斗不过公爵的头衔，也斗不过国务院根据我的呈文刚刚批给埃鲁维尔家族的空地。”","“You understood me,” cried Canalis, with a burst of laughter.“But we are not in a position to struggle against a ducal coronet, nor the duke’s title, nor against the waste lands which the Council of State have just granted, on my report, to the house of Herouville.”"
"“这位大人，”拉布里埃以一种讽刺而又严肃的口吻说道，“可以把他的姐姐许配给你当作补偿嘛。”","“His grace,” said La Briere, with a spice of malice that was nevertheless serious, “will furnish you with compensation in the person of his sister.”"
"这时候，仆人通报说德拉巴斯蒂伯爵来了，两位年轻人立刻站了起来，拉布里埃赶快上前去为卡那利引见。","At this instant, the Comte de La Bastie was announced; the two young men rose at once, and La Briere hastened forward to present Canalis."
"“在巴黎您去看过我，我这是回访，”伯爵对这位年轻的律师说，“而且我知道，我来这里还能问候我们当代的一位伟大诗人，真是令我加倍高兴。”","“I wished to return the visit that you paid me in Paris,” said the count to the young lawyer, “and I knew that by coming here I should have the double pleasure of greeting one of our great living poets.”"
"“伟大！——先生，”诗人笑着回答，“在一个以拿破仑的统治为序幕的世纪里，没有谁能称得上伟大。我们是想成为伟大诗人的一群人，另外，二流才子如今也模仿天才，已经不可能将这二者区分开来了。”","“Great!—Monsieur,” replied the poet, smiling, “no one can be great in a century prefaced by the reign of a Napoleon.We are a tribe of would-be great poets; besides, second-rate talent imitates genius nowadays, and renders real distinction impossible.”"
"“这就是您从政的原因吗？”伯爵问道。","“Is that the reason why you have thrown yourself into politics?” asked the count."
"“那个领域也一样，”诗人说，“当今也没什么政治家了，只有一些多多少少处理政务的人。您看，先生，宪章把赋税变得比徽章还重要，这样的宪章衍生出的政体之下，除了您到中国去寻找的东西——财富，没有什么是绝对实在的。”","“It is the same thing in that sphere,” said the poet; “there are no statesmen in these days, only men who handle events more or less.Look at it, monsieur; under the system of government that we derive from the Charter, which makes a tax-list of more importance than a coat-of-arms, there is absolutely nothing solid except that which you went to seek in China,—wealth.”"
"卡那利自我感觉良好，也对他给未来岳父大人留下的印象感到满意，便转向热尔曼。","Satisfied with himself and with the impression he was making on the prospective father-inlaw, Canalis turned to Germain."
"“在客厅里上咖啡。”一面说着，一面请德拉巴斯蒂先生离开餐厅。","“Serve the coffee in the salon,” he said, inviting Monsieur de La Bastie to leave the dining-room."
"“感谢您大驾光临，伯爵先生，”拉布里埃说，“我正为怎样把我的朋友带到您家里见您而为难呢，您正好给我解了围。您心地善良，而且机智敏捷。”","“I thank you for this visit, monsieur le comte,” said La Briere; “it saves me from the embarrassment of presenting my friend to you in your own house.You have a heart, and you have also a quick mind.”"
"“呵！这只是普罗旺斯人的小聪明罢了。”夏尔·米尼翁说。","“Bah! the ready wit of Provence, that is all,” said Charles Mignon."
"“啊，您是普罗旺斯人？”卡那利大叫道。","“Ah, do you come from Provence?” cried Canalis."
"“请您一定原谅我的朋友，”拉布里埃说，“他还没像我这样研究过拉巴斯蒂家族的历史。”","“You must pardon my friend,” said La Briere; “he has not studied, as I have, the history of La Bastie.”"
"听到“朋友”这个词，卡那利向埃内斯特投去了探询的目光。","At the word friend Canalis threw a searching glance at Ernest."
"“如果您的健康状况允许的话，”伯爵对诗人说道，“我想请您今晚光临寒舍，这将是值得铭记的一天，正如古老的作家所说：‘albo notanda lapillo’。虽然在我们那小房子里接待一位如此大名鼎鼎的人物有点不合适，但您的光临将会让我的女儿兴高采烈。她非常热爱您的诗歌，甚至还给它们谱了曲。”","“If your health will allow,” said the count to the poet, “I shall hope to receive you this evening under my roof; it will be a day to mark, as the old writer said ‘albo notanda lapillo.’Though we cannot duly receive so great a fame in our little house, yet your visit will gratify my daughter, whose admiration for your poems has even led her to set them to music.”"
"“您家中有比名誉更好的东西，”卡那利说，“如果埃内斯特说的是实话，那您就是金屋藏娇了。”","“You have something better than fame in your house,” said Canalis; “you have beauty, if I am to believe Ernest.”"
"“是的，一位好女儿，但您会觉得她十分土气的。”夏尔·米尼翁说。","“Yes, a good daughter; but you will find her rather countrified,” said Charles Mignon."
"“这位乡下姑娘，连埃鲁维尔公爵都紧追不舍呢。”卡那利冷冰冰地说。","“A country girl sought by the Duc d’Herouville,” remarked Canalis, dryly."
