"迟来的旅客","The Belated Travellers"
"小姐所听到的这些只言片语，预示着什么危险。难道和自己有关么？如果是，女仆在为她求情，这迫在眉睫的危险究竟是什么呢？ 她屡次要敲开父亲的门，告诉他她所听见的话，但是她想也许是自己听错了，也许是没有听清楚，也许他们指的是另外一个人。总之，还不能得出确切的结论。正犹豫不决时，小姐听见有人轻轻敲她住的这间阴暗卧室的护墙板，敲击声来自房间某处稍远的地方，她被吓了一跳。她举灯一看，看见那儿有一扇小门，以前并没有发现。门是在里面上闩的。她走到门边问是谁，应声的是女仆。小姐开了门，女仆站在门外，脸色苍白，焦虑不安。她轻手轻脚地进来，手指放在嘴唇上示意要小心保密。","There was something in this fragment of conversation that was calculated to alarm.Did it relate to herself?—and if so, what was this impending danger from which it was entreated that she might be spared? She was several times on the point of tapping at her father’s door, to tell him what she had heard; but she might have been mistaken; she might have heard indistinctly; the conversation might have alluded to some one else; at any rate it was too indefinite to lead to any conclusion.While in this state of irresolution, she was startled by a low knocking against the wainscot in a remote part of her gloomy chamber.On holding up the light, she beheld a small door there, which she had not before remarked.It was bolted on the inside.She advanced, and demanded who knocked, and was answered in the voice of the female domestic.On opening the door, the woman stood before it pale and agitated.She entered softly, laying her finger on her lips in sign of caution and secrecy."
"“快逃！”她说，“立刻离开这里，否则你就要丧命了！”小姐被这个警告吓得瑟瑟发抖，想让女仆说清楚事情的原委。“我没有时间了，”女仆回答说，“我不敢说——如果我再多呆一会儿，我也完了。快逃吧，否则你就没命了。”“丢下我父亲？”“他在哪？”“在隔壁房间。”“那么快去叫他，别耽误时间。”","“Fly!” said she: “leave this house instantly, or you are lost!”—The young lady, trembling with alarm, demanded an explanation.—“I have no time,” replied the woman, “I dare not—I shall be missed if I linger here—but fly instantly, or you are lost.”—“And leave my father?”—“Where is he?”—“In the adjoining chamber.”—“Call him, then, but lose no time.”"
"小姐去敲父亲的房门。他还没有睡下。她急忙走到房里，把自己听到的危险警告告诉他。伯爵随后来到她的房间，卡斯珀也跟了过来。在他的盘问下，女仆立刻局促不安地交代了实情。旅店就要被强盗包围了。午夜过后，强盗会被引来，那时王爵夫人的随从和其他旅客都睡熟了，便形同瓮中捉鳖。","The young lady knocked at her father’s door.He was not yet retired to bed.She hurried into his room and told him of the fearful warning she had received.The Count returned with her into her chamber, followed by Caspar.His questions soon drew the truth out of the embarrassed answers of the woman.The inn was beset by robbers.They were to be introduced after midnight, when the attendants of the Princess and the rest of the travellers were sleeping, and would be an easy prey."
"“但是我们可以堵住旅店的大门，我们可以自卫反击。”伯爵说。“没用的！旅店里的人和强盗是一伙的。”“那么我们怎么逃脱呢？我们不能备好马车然后逃走吗？”“圣弗兰西斯！备车干什么？告诉强盗他们的计谋被识破了吗？这会让强盗们不顾一切立刻冲进来的。他们知道旅店里有贵重的财物，是不会轻易放过的。”“我们还有什么别的办法逃走？”“旅店后面有一匹马，”女仆说，“刚才有人骑着这匹马到远处去拉拢那里的一批强盗，回来后把马留下了。”“一匹马！我们有三个人！”伯爵说。“还有西班牙王爵夫人！”女儿着急地喊道，“怎样救她脱险呢？”","“But we can barricade the inn, we can defend ourselves,” said the Count.—“What! when the people of the inn were in league with the banditti?”—“How then are we to escape? Can we not order out the carriage and depart?”—“San Francesco! for what? To give the alarm that the plot is discovered? That would make the robbers desperate, and bring them on you at once.They have had notice of the rich booty in the inn, and will not easily let it escape them.”—“But how else are we to get off?”—“There is a horse behind the inn,” said the woman, “from which the man has just dismounted who has been to summon the aid of a part of the band who were at a distance.”—“One horse! and there are three of us!” said the Count.—“And the Spanish Princess!” cried the daughter anxiously.“How can she be extricated from the danger?”"
"“魔鬼！她与我有什么相干？”女仆突然怒道，“我是来救你的，你却要害我，我们全都要完蛋！听！”她接着说道，“他们在叫我——我会被发现的——最后一句话。这个门连着的楼梯直达院子。院子后面有一个棚，棚下的门可以一直通到外面的田野。那里有一匹马，你们骑上它，会看到一座山，绕着山的影子走，要小心安静。穿过一条小溪，就是大路了，那里有三个白十字架钉在树上，然后你们就快马加鞭跑到村子里。但是记住，我的性命在你们手里，对你们所看到的、听到的和旅店里将要发生的都要要守口如瓶。”","“Diavolo! what is she to me?” said the woman in sudden passion.“It is @you@ I come to save, and you will betray me, and we shall all be lost! Hark!” continued she, “I am called—I shall be discovered—one word more.This door leads by a staircase to the court-yard.Under the shed, in the rear of the yard, is a small door leading out to the fields.You will find a horse there; mount it: make a circuit under the shadow of a ridge of rocks that you will see; proceed cautiously and quietly until you cross a brook, and find yourself on the road just where there are three white crosses nailed against a tree; then put your horse to his speed, and make the best of your way to the village—but recollect, my life is in your hands—say nothing of what you have heard or seen, whatever may happen at this inn.”"
"女仆匆匆走了。伯爵父女和老兵卡斯珀三人短暂而激烈的商量了一会。看起来，年轻的小姐由于担心王爵夫人而完全不顾自己的安危。“一声不响地自己逃走，留下她被人杀害！”一想到这里她就浑身发抖。侠胆豪情的伯爵也反对这么做。他不能丢下这些手无寸铁的旅客一走了之，让他们蒙在鼓里，不知大难临头。","The woman hurried away.A short and agitated consultation took place between the Count, his daughter, and the veteran Caspar.The young lady seemed to have lost all apprehension for herself in her solicitude for the safety of the Princess.“To fly in selfish silence, and leave her to be massacred!” A shuddering seized her at the very thought.The gallantry of the Count, too, revolted at the idea.He could not consent to turn his back upon a party of helpless travellers, and leave them in ignorance of the danger which hung over them."
"“但是小姐怎么办？”卡斯珀说，“如果警告大家，旅店里会一片混乱。万一打起来，小姐会有多么危险呀！”这些话激起了伯爵的爱女之情，他望着他那可爱而无助的孩子，想到她可能会落入强盗之手就害怕得浑身发抖。","“But what is to become of the young lady,” said Caspar, “if the alarm is given, and the inn thrown in a tumult? What may happen to her in a chance medley affray?” Here the feelings of the father were roused: he looked upon his lovely, helpless child, and trembled at the chance of her falling into the hands of ruffians."
"然而，女儿却没有考虑到自身的安危。“伯爵夫人！伯爵夫人！只要让伯爵夫人知道她有危险就好。”她愿意与伯爵夫人共患难。","The daughter, however, thought nothing of herself.“The Princess! the Princess!—only let the Princess know her danger.” She was willing to share it with her."
"后来，卡斯珀以一个老仆人的耿耿忠心从中调节。一刻也不能再耽搁了，最重要的是让小姐脱离危险。“你骑马，”卡斯珀对伯爵说，“带着小姐一起逃走！你逃到村里，叫醒村民来救我们。我留在这里警告王爵夫人和她的随从。我是一个老兵，我想我们能坚守到你给我们派救兵来。”","At length Caspar interfered, with the zeal of a faithful old servant.No time was to be lost—the first thing was to get the young lady out of danger.“Mount the horse,” said he to the Count, “take her behind you, and fly! Make for the village, rouse the inhabitants, and send assistance.Leave me here to give the alarm to the Princess and her people.I am an old soldier, and I think we shall be able to stand siege until you send us aid.”"
"女儿还要坚持和王爵夫人呆在一起。“为什么？”老兵卡斯珀直率地说，“你手无寸铁，只会碍手碍脚，我们反而要照顾你。”","The daughter would again have insisted on staying with the Princess.“For what?” said old Caspar bluntly.“You could do no good—you would be in the way—we should have to take care of you instead of ourselves.”"
"对这些反问的话，小姐一言不发。伯爵抓起枪，用胳膊夹住女儿就往楼梯走。小姐停下又走回来，紧张颤抖地说：“有个年轻骑士跟王爵夫人在一起——就是她的侄儿——也许他可以——”","There was no answering these objections: the Count seized his pistols, and taking his daughter under his arm, moved towards the staircase.The young lady paused, stepped back, and said, faltering with agitation—“There is a young cavalier with the Princess—her nephew—perhaps he may—”"
"“小姐，我明白，”老卡斯珀回答，意味深长地点点头，“只要我做得到，我绝不会让他损伤一根汗毛。”","“I understand you, mademoiselle,” replied old Caspar, with a significant nod; “not a hair of his head shall suffer harm if I can help it!”"
"小姐的脸从未这样红过，她没想到这个直率的老仆对她了解如此之深。","The young lady blushed deeper than ever; she had not anticipated being so thoroughly understood by the blunt old servant."
"“这不是我的意思。”她迟疑地说。她还想再说些什么，或者解释一下，但是时间宝贵，父亲也在催促她快走。","“That is not what I mean,” said she, hesitating.She would have added something, or made some explanation, but the moments were precious, and her father hurried her away."
"他们穿过院子走到那个小小的后门，那里果然有一匹马，栓在墙上的一个环上。伯爵上了马，小姐坐在后面，按着女仆指出的方向，尽可能悄悄地前行。小姐无数次地充满焦虑和恐惧回望那些昏暗的房子：积满灰尘的窗子里微弱的灯光一个接一个地熄灭了，说明店里的旅客渐渐入睡了。她焦虑地颤抖着，唯恐旅客们被危险惊醒时，救兵还到不了。","They found their way through the court-yard to the small postern gate, where the horse stood fastened to a ring in the wall.The Count mounted, took his daughter behind him, and they proceeded as quietly as possible in the direction which the woman had pointed out.Many a fearful and an anxious look did the daughter cast back upon the gloomy pile of building: the lights which had feebly twinkled through the dusty casements were one by one disappearing, a sign that the house was gradually sinking to repose; and she trembled with impatience, lest succour should not arrive until that repose had been fatally interrupted."
"他们静悄悄地沿着山岭的边缘前进，岩石垂下长长的影子，保护了他们的安全。他们穿过小溪，走到钉着三个白十字架的树旁，说明这里曾发生过谋杀案。刚刚到达这个不祥的地方，他们便看到阴暗处有几个人从山岭上一条崎岖的隘路走下来。","They passed silently and safely along the skirte of the rocks, protected from observation by their overhanging shadows.They crossed the brook, and reached the place where three white crosses nailed against a tree, told of some murder that had been committed there.Just as they had reached this illomened spot they beheld several men in the gloom, coming down a craggy defile among the rocks."
"“来的是什么人？”一个声音喊道。伯爵策马前进，但是其中一人跳过来抓住了马缰。马儿受了惊，突然后退，暴跳起来。若不是紧紧地抱住父亲，小姐就被甩下来了。伯爵身子前倾，对准强盗的头放了一枪。强盗倒地死了。马儿向前奔去。两三枚子弹从逃命的父女身边呼啸而过，吓得他们更加拼命奔跑。最后，他们平安到达村庄。","“Who goes there?” exclaimed a voice.The Count put spurs to his horse, but one of the men sprang forward and seized the bridle.The horse became restive, started back, and reared, and had not the young lady clung to her father, she would have been thrown off.The Count leaned forward, put a pistol to the very head of the ruffian, and fired.The latter fell dead.The horse sprang forward.Two or three shots were fired which whistled by the fugitives, but only served to augment their speed.They reached the village in safety."
"很快，整个村子的人都被唤醒了，但是村民畏惧强盗，都不敢和他们正面交锋。听说，有一伙亡命的强盗出没于这个山隘已经很久了。人们早就怀疑那家旅店是一个可怕的地方，毫无戒心的旅客落入陷阱，无声无息地被谋杀。邋遢的女店主所戴的贵重首饰也非常惹人生疑。这样的事情已发生过几次了。一些小的旅队在那条路上神秘地失踪了。起初，人们猜测是强盗为了索要赎金，绑架了他们，但后来都音讯全无。当伯爵竭力鼓动村民去营救处境危险的王爵夫人和她的随从时，村民们却七嘴八舌地对伯爵讲着这些传言。小姐也在一旁给父亲帮忙，凭借美貌，留着眼泪苦苦地劝说村民。每拖延一分钟，她的焦虑就增加一分，直至极度痛苦。幸运的是，村里驻扎了一队警察。一些年轻的村民也自愿加入。于是，一支小小的军队就出发了。伯爵把女儿安置在安全的地方。由于担心老兵卡斯珀，他飞速地赶往危险的旅店。年轻的小姐等待时的焦躁和不安，简直难以言说。","The whole place was soon aroused, but such was the awe in which the banditti were held, that the inhabitants shrunk at the idea of encountering them.A desperate band had for some time infested that pass through the mountains, and the inn had long been suspected of being one of those horrible places where the unsuspicious wayfarer is entrapped and silently disposed of.The rich ornaments worn by the slattern hostess of the inn had excited heavy suspicions.Several instances had occurred of small parties of travellers disappearing mysteriously on that road, who it was supposed, at first, had been carried off by the robbers for the sake of ransom, but who had never been heard of more.Such were the tales buzzed in the ears of the Count by the villagers as he endeavoured to rouse them to the rescue of the Princess and her train from their perilous situation.The daughter seconded the exertions of her father with all the eloquence of prayers, and tears, and beauty.Every moment that elapsed increased her anxiety, until it became agonizing.Fortunately, there was a body of gensdarmes resting at the village.A number of the young villagers volunteered to accompany them, and the little army was put in motion.The Count having deposited his daughter in a place of safety, was too much of the old soldier not to hasten to the scene of danger.It would be difficult to paint the anxious agitation of the young lady while awaiting the result."
"救兵及时到达了旅店。强盗们发现计谋被识破，旅客们也在准备反击，强盗们就公开地展开了猛烈的进攻。王爵夫人的随从们在一间套房里筑好防御，从门口、窗户抵御强盗。卡斯珀展现了一个老兵的将才，伯爵夫人的侄子也显出了一个年轻军人的勇猛。然而，他们的弹药即将耗尽，很难再坚持下去。就在此时，警察的步枪声，给他们传来了援军已到的喜讯。","The party arrived at the inn just in time.The robbers, finding their plans discovered, and the travellers prepared for their reception, had become open and furious in their attack.The Princess’s party had barricaded themselves in one suite of apartments and repulsed the robbers from the doors and windows.Caspar had shown the generalship of a veteran, and the nephew of the Princess the dashing valour of a young soldier.Their ammunition, however, was nearly exhausted, and they would have found it difficult to hold out much longer, when a discharge from the musketry of the gensdarmes gave them the joyful tidings of succour."
"随后，一场激烈的战斗开始了。旅店里的强盗现在反而被旅客围攻，竭力突围。而他们的同伙，在附近山岩和树丛的掩护下，拼命想解救他们。","A fierce fight ensued, for part of the robbers were surprised in the inn, and had to stand siege in their turn, while their comrades made desperate attempts to relieve them, from under coyer of the neighbouring rocks and thickets."
"关于这场战斗，我听说过各种说法，因此我不能假装知情，说出当时详细的情况。但可以断定的是强盗被打败了，几个被杀，几个被俘。这些俘虏与旅店里的人一道，有的被处以死刑，有的被罚做苦工。","I cannot pretend to give a minute account of the fight, as I have heard it related in a variety of ways.Suffice it to say, the robbers were defeated; several of them killed, and several taken prisoners; which last, together with the people of the inn, were either executed or sent to the galleys."
"事情发生后不久，我在一次旅行中听说了这些。我还曾路过那个旅店。那时它已被夷为平地，只剩下一间偏房，里面驻守着一队警察。他们把窗框上，墙上和门板上的子弹孔指给我看。附近的树枝上还挂着许多干枯的四肢，在空气中已经发黑了。据说是那些被杀的强盗和被处死的犯人的肢体。整个地方一派阴沉、荒凉、凄惨的景象。“王爵夫人的随从有被打死的吗？”英国人问。“据我所知，有两三个。”“我相信不是她的侄子！”美丽的威尼斯女人说。“哦，不是他。他急忙跟着伯爵给小姐带去胜利的消息，以消除她的焦虑。年轻的姑娘凭着强烈的感情，经受住了一次又一次的惊吓。看到王爵夫人的侄子陪着父亲安全归来，她喜极而泣，昏了过去。幸而她很快就醒过来了，而且，不久她就嫁给了那个年轻的骑士。一行人陪同着王爵夫人到洛雷托朝圣去了。她奉献的礼品也许仍可以在圣卡萨的宝库中找到。”","I picked up these particulars in the course of a journey which I made some time after the event had taken place.I passed by the very inn.It was then dismantled, excepting one wing, in which a body of gensdarmes was stationed.They pointed out to me the shot holes in the window-frames, the walls, and the panels of the doors.There were a number of withered limbs dangling from the branches of a neighbouring tree, and blackening in the air, which I was told were the limbs of the robbers who had been slain, and the culprits who had been executed.The whole place had a dismal, wild, forlorn look.—“Were any of the Princess’s party killed?” inquired the Englishman.—“As far as I can recollect, there were two or three.”—“Not the nephew, I trust?” said the fair Venetian.—“Oh no: he hastened with the Count to relieve the anxiety of the daughter by the assurances of victory.The young lady had been sustained throughout the intervals of suspense by the very intensity of her feelings.The moment she saw her father returning in safety, accompanied by the nephew of the Princess, she uttered a cry of rapture and fainted.Happily, however, she soon recovered, and what is more, was married shortly after to the young cavalier, and the whole party accompanied the old Princess in her pilgrimage to Loretto, where her votive offerings may still be seen in the treasury of the Santa Casa.”"
"听这样曲折迂回的会话仿佛穿越故事迷宫一样，让人觉得乏味无趣。直到新来的两个旅客把它打断——霍布斯和多布斯，一个是布商，一个是水果商。他们随着护送队刚刚从希腊和巴勒斯坦匆忙旅行回来。他俩满肚子都是关于市政官波普金斯的故事。使他们惊讶的是，强盗们居然敢抢劫商品交易所的重要人物，他不仅是色罗格莫顿街上知名的干货商，还是一个地方行政官员。","It would be tedious to follow the devious course of the conversation as it wound through a maze of stories of the kind, until it was taken up by two other travellers who had come under convoy of the Procaccio: Mr. Hobbs and Mr. Dobbs; a linendraper and a greengrocer, just returning from a hasty tour in Greece and the Holy Land.They were full of the story of Alderman Popkins.They were astonished that the robbers should dare to molest a man of his importance on Change, he being an eminent drysalter of Throgmorton Street, and a magistrate to boot."
"事实上，波普金斯一家的故事是千真万确的。不容有任何一丝怀疑，许多在场的人都可以出来作证。这些证词有些是矛盾的，有些是一致的，但是大家都会热心地提出来，并一起讨论。这样，英国人才收集到了下面这些材料。","In fact, the story of the Popkins family was but too true.It was attested by too many present to be for a moment doubted; and from the contradictory and concordant testimony of half a score, all eager to relate it, and all talking at the same time, the Englishman was enabled to gather the following particulars."
