"第一章","Chapter 1"
"她用手杖头抵着自己的胸口，站在那里，盯着桌上的东西。她穿着的那件曾经雪白的礼服，现在已经泛黄、皱缩了，曾经雪白的桌布也都泛黄、皱缩了。周围所有的一切，只要一碰，立即就会碎掉。","She held the head of her stick against her heart as she stood looking at the table; she in her once white dress, all yellow and withered; the once white cloth all yellow and withered; everything around, in a state to crumble under a touch."
"“当我死去的时候，”她露出恐怖的神情说，“当他们把穿着新娘礼服的我放在桌上时——一切都会这样办，一切都会是对他最后的诅咒——最好就在今天！”","“When the ruin is complete,” said she, with a ghastly look, “and when they lay me dead, in my bride’s dress on the bride’s table—which shall be done, and which will be the finished curse upon him—so much the better if it is done on this day!”"
"她站在那里，盯着桌子，就好像站在那里，盯着自己的尸体躺在那里一样。我保持沉默。埃斯特拉回来了，她也保持沉默。我觉得，我们就那样站了好长一段时间。房间里空气污浊不堪，远处的角落里沉淀着浓重的黑暗。我甚至觉得，埃斯特拉和我似乎也开始腐烂了。","She stood looking at the table as if she stood looking at her own figure lying there.I remained quiet.Estella returned, and she too remained quiet.It seemed to me that we continued thus for a long time.In the heavy air of the room, and the heavy darkness that brooded in its remoter corners, I even had an alarming fancy that Estella and I might presently begin to decay."
"最后，郝维仙小姐一下子从这种烦扰的状态恢复了过来，而不是慢慢得到解脱。她说：“让我看看你们两个打牌，为什么你们还不开始呢？”于是，我们回到她的房间，像上次那样坐了下来；像上次一样，我把牌都输光了；像上次一样，郝维仙小姐一直看着我们，设法引起我对埃斯特拉美貌的注意，她把珠宝挂在埃斯特拉的胸前和头发上，让我更加关注埃斯特拉。","At length, not coming out of her distraught state by degrees, but in an instant, Miss Havisham said, “Let me see you two play cards; why have you not begun?”With that, we returned to her room, and sat down as before; I was beggared, as before; and again, as before, Miss Havisham watched us all the time, directed my attention to Estella’s beauty, and made me notice it the more by trying her jewels on Estella’s breast and hair."
"至于埃斯特拉，她也像上次一样对我，但这次她不愿意降低身份跟我说话。我们玩了六局后，我被告知下一次来的时间，然后像上一次一样，像狗一样被带到院子喂食。我又被留在那里随心所欲地游荡。","Estella, for her part, likewise treated me as before; except that she did not condescend to speak.When we had played some halfdozen games, a day was appointed for my return, and I was taken down into the yard to be fed in the former dog-like manner.There, too, I was again left to wander about as I liked."
"上次我曾爬上一面院墙窥探，墙上有一扇门，我并没有太在意那门是开着还是关着的。那时我并没有看到什么门，但这次我看到了一个。门开着，我知道埃斯特拉把客人送走了——因为，她回来时，手里拿着钥匙——我溜进花园，四处晃荡。园子里很荒凉，有一些破旧的香瓜棚架子和黄瓜棚架子，也是极其衰败。几根自然生长出来的藤蔓爬在旧帽子和旧靴子上，不时会有干枯的枝干把一只扁锅当成栖身之地。","It is not much to the purpose whether a gate in that garden wall which I had scrambled up to peep over on the last occasion was, on that last occasion, open or shut.Enough that I saw no gate then, and that I saw one now.As it stood open, and as I knew that Estella had let the visitors out—for, she had returned with the keys in her hand—I strolled into the garden and strolled all over it.It was quite a wilderness, and there were old melon-frames and cucumber-frames in it, which seemed in their decline to have produced a spontaneous growth of weak attempts at pieces of old hats and boots, with now and then a weedy offshoot into the likeness of a battered saucepan."
"逛完花园后，我还看到了一间温室花房，里面什么也没有，只有一棵倒下的葡萄藤和几个瓶子。之后我便发现自己来到了一个阴暗的角落里，也就是刚才我从窗户里向外看时看到的阴暗的角落。我一时间坚定地认为这个花房是空的。我从另外一个窗户望进去时，我吃惊地发现，自己正和一个脸色苍白、眼睑发红、发色偏淡的年轻绅士对视着。","When I had exhausted the garden, and a greenhouse with nothing in it but a fallen-down grape-vine and some bottles, I found myself in the dismal corner upon which I had looked out of the window.Never questioning for a moment that the house was now empty, I looked in at another window, and found myself, to my great surprise, exchanging a broad stare with a pale young gentleman with red eyelids and light hair."
"这位脸色苍白的年轻绅士很快就消失了，一转眼就站在了我旁边。刚才我盯着他看时，他正在看书。现在我看到他满手都是墨迹。","This pale young gentleman quickly disappeared, and re-appeared beside me.He had been at his books when I had found myself staring at him, and I now saw that he was inky."
"“你好啊！”他说，“小家伙！”","“Halloa!” said he, “young fellow!”"
"“你好啊”是一个普通的称呼，据我平时的观察，最好还是依样回答，于是我说：“你好啊！”出于礼貌，我没有说“小家伙”。","Halloa being a general observation which I had usually observed to be best answered by itself, I said, “Halloa!” politely omitting young fellow."
"“谁让你进来的？”他问。","“Who let you in?” said he."
"“埃斯特拉小姐。”","“Miss Estella.”"
"“谁让你四处游荡的？”","“Who gave you leave to prowl about?”"
"“埃斯特拉小姐。”","“Miss Estella.”"
"“来，我们打一架。”这位苍白的年轻绅士说。","“Come and fight,” said the pale young gentleman."
"除了跟他走，我还能怎么办呢？从那以后，我就经常问我自己这个问题：但是，我还能怎么办呢？他的态度很坚决，我吃了一惊。他在前面领路，我在后面跟着，好像自己被施了什么魔法一样。","What could I do but follow him?I have often asked myself the question since: but, what else could I do?His manner was so final and I was so astonished, that I followed where he led, as if I had been under a spell."
"“停一下。”他说，还没走出多少步，他就在旁边转起圈来，“我也应该给你一个打架的理由。这就是！”他立即拍了拍手，表现出很愤怒的样子，优雅地做了个后脚踢，上前拉住我的头发，又拍了拍手，低着头，朝我的胃部冲了过来。","“Stop a minute, though,” he said, wheeling round before we had gone many paces.“I ought to give you a reason for fighting, too.There it is!”In a most irritating manner he instantly slapped his hands against one another, daintily flung one of his legs up behind him, pulled my hair, slapped his hands again, dipped his head, and butted it into my stomach."
"他这种公牛式的行为终于激怒了我，不仅因为这无疑是一种没有礼貌的行为，而且，我刚吃过面包和肉，被他一撞，很不舒服。于是，我打了他一下，正要再打一下时，他说：“哎呀！你敢打我？”然后，他开始前后摇晃起来，我的见识有限，从没见过这类的打架方式。","The bull-like proceeding last mentioned, besides that it was unquestionably to be regarded in the light of a liberty, was particularly disagreeable just after bread and meat.I therefore hit out at him and was going to hit out again, when he said, “Aha!Would you?” and began dancing backwards and forwards in a manner quite unparalleled within my limited experience."
"“打架有打架的规则！”他说道。","“Laws of the game!” said he. "
"讲到这里，他放下左腿，抬起右腿。“规则不能变！”这时，他又放下右腿，抬起左腿。“到场地上来，做些准备活动！”然后，他前后跳来跳去，做着各种奇怪的动作，而我则无助地看着他。","Here, he skipped from his left leg on to his right.“Regular rules!”Here, he skipped from his right leg on to his left.“Come to the ground, and go through the preliminaries!”Here, he dodged backwards and forwards, and did all sorts of things while I looked helplessly at him."
"看到他如此灵活，我暗暗地惧他几分。但是我相信，从道义上和体力上看，我的胃完全可以不被他那一头浅发撞凹下去，我也有权利这么认为，因为他满头的浅发干扰了我的注意力。因此，我一声不吭地跟着他，来到了花园里一个废弃的角落。这里位于两面墙的连接处，一些垃圾把它与外界隔离开来。他问我是否满意这个场地，我回答“是的”。然后他请求离开一会儿，很快就回来了，带着一瓶水和一块泡在醋里的海绵。“我们两个人都可以用。”他说着把东西放在墙边。然后，他开始脱衣服，不仅脱了夹克和外套，连里面的衬衫都脱了。他看起来轻松快乐、有条不紊，却暗藏着杀机。","I was secretly afraid of him when I saw him so dexterous; but, I felt morally and physically convinced that his light head of hair could have had no business in the pit of my stomach, and that I had a right to consider it irrelevant when so obtruded on my attention.Therefore, I followed him without a word, to a retired nook of the garden, formed by the junction of two walls and screened by some rubbish.On his asking me if I was satisfied with the ground, and on my replying Yes, he begged my leave to absent himself for a moment, and quickly returned with a bottle of water and a sponge dipped in vinegar.“Available for both,” he said, placing these against the wall.And then fell to pulling off, not only his jacket and waistcoat, but his shirt too, in a manner at once light-hearted, businesslike, and bloodthirsty."
"尽管他看起来不是很健康——他脸上有青春痘，嘴上还有火疮——但这些可怕的准备活动把我吓呆了。我推测他大概和我年纪相仿，但是比我高多了，而且他有办法让自己旋转起来的时候令人目不暇接。其他方面，他是一位年轻绅士，穿着一套灰色套装（还没有脱衣服打架之前），胳膊肘、膝盖、手腕和脚后跟比他身体的其他部位都要发达。","Although he did not look very healthy—having pimples on his face, and a breaking out at his mouth—these dreadful preparations quite appalled me.I judged him to be about my own age, but he was much taller, and he had a way of spinning himself about that was full of appearance.For the rest, he was a young gentleman in a grey suit (when not denuded for battle), with his elbows, knees, wrists, and heels, considerably in advance of the rest of him as to development."
"我看到他对我展开攻势，每一招都近乎完美。他的眼睛仔细端详我的身体，似乎在精心挑选骨头，我顿时跌入低谷。我的人生中从来没有这样惊讶过，只有这一次：当我打出第一拳时，他立即摔倒在地上，四脚朝天，仰视着我，鼻子流了血，脸急速缩小。","My heart failed me when I saw him squaring at me with every demonstration of mechanical nicety, and eyeing my anatomy as if he were minutely choosing his bone.I never have been so surprised in my life, as I was when I let out the first blow, and saw him lying on his back, looking up at me with a bloody nose and his face exceedingly fore-shortened."
"但他一下子又站了起来，非常熟练地用海绵擦完血后，又开始发起了进攻。这是我人生中遇到的第二大惊奇：他再次仰面躺在地上，用带着黑圆圈的眼睛直直地盯着我。","But, he was on his feet directly, and after sponging himself with a great show of dexterity began squaring again.The second greatest surprise I have ever had in my life was seeing him on his back again, looking up at me out of a black eye."
"他的精神让我很佩服。他似乎没有什么力气，他从来没有用力地打中我一次，而且他经常被打倒。但是，他很快又会站起来，用海绵擦血或喝口瓶子里的水，对依照规则给自己补充体力很是满意，然后又摆起架势朝我打来，让我觉得，最终他肯定会打败我的。他被打得伤痕累累，我很抱歉，因为我打他越多，我就打得越重。可是他一次又一次地站起来，直到最后，他重重地摔倒在地，头撞在了墙上。在我们的战斗中，即使遇到了这种危急情况，他还是站了起来，晕眩地转了几圈，摸不清我在哪里。但最后他终于跪倒在地，一边拿起海绵擦拭，一边喘着气说：“你赢了。”","His spirit inspired me with great respect.He seemed to have no strength, and he never once hit me hard, and he was always knocked down; but, he would be up again in a moment, sponging himself or drinking out of the water-bottle, with the greatest satisfaction in seconding himself according to form, and then came at me with an air and a show that made me believe he really was going to do for me at last.He got heavily bruised, for I am sorry to record that the more I hit him, the harder I hit him; but, he came up again and again and again, until at last he got a bad fall with the back of his head against the wall.Even after that crisis in our affairs, he got up and turned round and round confusedly a few times, not knowing where I was; but finally went on his knees to his sponge and threw it up: at the same time panting out, “That means you have won.”"
"他看起来勇敢又天真，尽管并不是我挑起的这场战斗，但我对自己的胜利毫无满足之感，反而心情很沮丧。实际上，我的心情沮丧到希望我在穿衣服的时候，把自己当成一种年幼的野狼，或着其他野兽。无论如何，我穿好了衣服，不时地擦拭脸上的血渍，说：“我能帮上什么忙吗？”他说：“不用了，谢谢。”我说：“再见。”然后，他说：“再见。”","He seemed so brave and innocent, that although I had not proposed the contest I felt but a gloomy satisfaction in my victory.Indeed, I go so far as to hope that I regarded myself while dressing, as a species of savage young wolf, or other wild beast.However, I got dressed, darkly wiping my sanguinary face at intervals, and I said, “Can I help you?” and he said “No thankee,” and I said “Good afternoon,” and he said “Same to you.”"
"当我走进院子里，我看到埃斯特拉拿着钥匙在等着。可是，她既没有问我去哪里了，也没有问我为什么让她等。她的脸上闪过一丝亮光，似乎发生了什么让她很高兴的事。她没有径直朝门走去，而是走回小道，叫我过去。","When I got into the court-yard, I found Estella waiting with the keys.But, she neither asked me where I had been, nor why I had kept her waiting; and there was a bright flush upon her face, as though something had happened to delight her.Instead of going straight to the gate, too, she stepped back into the passage, and beckoned me."
"“到这里来！如果你愿意的话，可以吻我一下。”","“Come here!You may kiss me, if you like.”"
"她转过脸时，我吻了一下她的脸颊。我想，只要能吻一下她的脸颊，我可以赴汤蹈火，在所不辞。但是，现在我却觉得，这个吻就像是给粗鄙的普通男孩的一个小钱，一文不值。","I kissed her cheek as she turned it to me.I think I would have gone through a great deal to kiss her cheek.But, I felt that the kiss was given to the coarse common boy as a piece of money might have been, and that it was worth nothing."
"这一天，我遇到了来祝贺生日的客人，和埃斯特拉打了牌，和年轻绅士打了架，在那里呆了很长时间。因此，当我快到家时，沼泽边延伸出的沙滩上矗立着的那座灯塔已经在黑暗的夜空中发光了，而乔打铁溅出的火星，也在路上形成了一道火花。","What with the birthday visitors, and what with the cards, and what with the fight, my stay had lasted so long, that when I neared home the light on the spit of sand off the point on the marshes was gleaming against a black night-sky, and Joe’s furnace was flinging a path of fire across the road."
"第十二章","Chapter 12"
"和那位脸色苍白的年轻绅士打架的事情一直让我心神不宁。我越是想到这次打架，回忆起那位脸色苍白的年轻绅士被屡次摔得四脚朝天、鼻青脸肿的样子，我就越是感到自己似乎会受到某种惩罚。我能感到，那位脸色苍白的年轻绅士的血洒在了我头上，而法律会惩罚我的。我不知道自己具体犯了什么罪，但是我很清楚地知道，乡下孩子不能在外面晃荡，不能蹂躏贵族的宅邸，不能冒犯好学的英国少年，否则，他面临的就是严厉的惩罚。一连几天，我都呆在家里。有事出门时，我都要从厨房的门向外仔细探查一番，心里非常害怕，担心一出门就会被郡监狱的官差抓去。那位脸色苍白的年轻绅士的鼻血染红了我的裤子。我在深夜里费劲把这个罪证洗掉了。那位脸色苍白的年轻绅士用牙齿咬破了我的手指，我绞尽脑汁，想出了一千种解释。这样，万一我被抓到了法官面前，我就能巧言诡辩，把这件该死的事掩饰过去。","My mind grew very uneasy on the subject of the pale young gentleman.The more I thought of the fight, and recalled the pale young gentleman on his back in various stages of puffy and incrimsoned countenance, the more certain it appeared that something would be done to me.I felt that the pale young gentleman’s blood was on my head, and that the Law would avenge it.Without having any definite idea of the penalties I had incurred, it was clear to me that village boys could not go stalking about the country, ravaging the houses of gentlefolks and pitching into the studious youth of England, without laying themselves open to severe punishment.For some days, I even kept close at home, and looked out at the kitchen door with the greatest caution and trepidation before going on an errand, lest the officers of the County Jail should pounce upon me.The pale young gentleman’s nose had stained my trousers, and I tried to wash out that evidence of my guilt in the dead of night.I had cut my knuckles against the pale young gentleman’s teeth, and I twisted my imagination into a thousand tangles, as I devised incredible ways of accounting for that damnatory circumstance when I should be haled before the Judges."
"在我又回到暴力施行现场的那一天，我的恐惧达到了最高点。伦敦特派的法院人员会不会埋伏在门后面呢？郝维仙小姐会不会因为我在她家打人，就要亲手报复呢？她会+B18不会穿着寿衣突然站起来，抽出手枪打死我呢？她会不会雇一帮孩子——一群杀人恶魔——躲在酿酒作坊里，突然跳出来，把我打死呢？我相信那位脸色苍白的年轻绅士是高尚的，他不会叫人报复的。但是我总是担心他那些不明事理+B21的亲戚，看到他的脸伤得那么重，他们会觉得家庭的声誉受损，肯定会非常气愤。","When the day came round for my return to the scene of the deed of violence, my terrors reached their height.Whether myrmidons of Justice, specially sent down from London, would be lying in ambush behind the gate?Whether Miss Havisham, preferring to take personal vengeance for an outrage done to her house, might rise in those grave-clothes of hers, draw a pistol, and shoot me dead?Whether suborned boys—a numerous band of mercenaries—might be engaged to fall upon me in the brewery, and cuff me until I was no more?It was high testimony to my confidence in the spirit of the pale young gentleman, that I never imagined him accessory to these retaliations; they always came into my mind as the acts of injudicious relatives of his, goaded on by the state of his visage and an indignant sympathy with the family features."
"然而，我必须到郝维仙小姐家里去，而我也真的去了。瞧！上次的打架并没有引起什么骚动。没有人提到那件事。我找遍整座宅邸，也没有找到那位脸色苍白的年轻绅士。我发现那扇门还开着，就走进去探查。我甚至还从这座独立的花房的窗户向里望去，却只看到里面的百叶窗都关着，死气沉沉的。只有上次我们打架的那个地方还有一些痕迹，证明真的有那么一位年轻的绅士。他在那里留下了一些血迹，我从花园里挖了一些泥土，铺在上面，以防被别人发现。","However, go to Miss Havisham’s I must, and go I did.And behold!Nothing came of the late struggle.It was not alluded to in any way, and no pale young gentleman was to be discovered on the premises.I found the same gate open, and I explored the garden, and even looked in at the windows of the detached house; but, my view was suddenly stopped by the closed shutters within, and all was lifeless.Only in the corner where the combat had taken place, could I detect any evidence of the young gentleman’s existence.There were traces of his gore in that spot, and I covered them with garden-mould from the eye of man."
"在郝维仙小姐的屋子和那间放着长桌子的屋子之间，我看到一个宽敞的平台，上面有一张庭院椅——椅子下面有轮子，可以从后面往前推，很轻便。上次我来时，这椅子就放在那里。那天我在进行日常工作的时候进过那个房间。所谓日常工作就是当郝维仙小姐感到疲惫，不想用手扶着我的肩膀走路的时候，就会坐到那个庭院椅上，让我推着她在自己房间里绕圈，然后穿过平台，又在另一个屋子里绕圈。我们绕了一圈又一圈，有时候一次就要绕上三个小时。渐渐地，我也数不清绕了多少圈。因为从那天起，我就要每隔一天去给她推一次椅子，时间是在中午。现在数数，我至少干了八或十个月。","On the broad landing between Miss Havisham’s own room and that other room in which the long table was laid out, I saw a garden-chair—a light chair on wheels, that you pushed from behind.It had been placed there since my last visit, and I entered, that same day, on a regular occupation of pushing Miss Havisham in this chair (when she was tired of walking with her hand upon my shoulder) round her own room, and across the landing, and round the other room.Over and over and over again, we would make these journeys, and sometimes they would last as long as three hours at a stretch.I insensibly fall into a general mention of these journeys as numerous, because it was at once settled that I should return every alternate day at noon for these purposes, and because I am now going to sum up a period of at least eight or ten months."
"随着我们开始越来越习惯彼此，郝维仙小姐和我交谈得也就更多了。她会问我学到了什么，将来要做什么，以及诸如此类的问题。我告诉她，我相信自己会成为乔的学徒，而且我什么也不懂，可什么都想知道，我希望她能给我提供一些帮助，达成我的愿望。但她没有，她看起来反而更希望我无知。她既没有给过我钱——除了每天那顿饭之外，也没有给过我任何东西——更没有保证说，要为我提供的服务支付报酬。","As we began to be more used to one another, Miss Havisham talked more to me, and asked me such questions as what had I learnt and what was I going to be?I told her I was going to be apprenticed to Joe, I believed; and I enlarged upon my knowing nothing and wanting to know everything, in the hope that she might offer some help towards that desirable end.But, she did not; on the contrary, she seemed to prefer my being ignorant.Neither did she ever give me any money—or anything but my daily dinner—nor ever stipulate that I should be paid for my services."
"埃斯特拉总是在周围，总是带着我进进出出，却再也没有叫我吻她了。有时，她会冷冷地宽容我；有时，她会降低身份迁就我；有时，她表现得和我很亲近；有时，她会愤怒地跟我说，她恨我。郝维仙小姐常常轻声问我，或者趁只有我们两个人的时候说：“她是不是越长越漂亮了呢，皮普？”要是我回答“是的”（因为她真的越长越漂亮了），郝维仙小姐会很高兴。还有，我们打牌时，郝维仙小姐会打量埃斯特拉，贪婪地品味着她所有的情绪变化。有时，埃斯特拉情绪复杂、反复无常，我不知道该说什么或做什么，郝维仙小姐就会非常高兴地把她抱进怀里，在她耳边喃喃低语，听起来好像是在说：“让他们心碎，我的骄傲和希望，让他们心碎，别可怜他们！”","Estella was always about, and always let me in and out, but never told me I might kiss her again.Sometimes, she would coldly tolerate me; sometimes, she would condescend to me; sometimes, she would be quite familiar with me; sometimes, she would tell me energetically that she hated me.Miss Havisham would often ask me in a whisper, or when we were alone, “Does she grow prettier and prettier, Pip?”And when I said yes (for indeed she did), would seem to enjoy it greedily.Also, when we played at cards Miss Havisham would look on, with a miserly relish of Estella’s moods, whatever they were.And sometimes, when her moods were so many and so contradictory of one another that I was puzzled what to say or do, Miss Havisham would embrace her with lavish fondness, murmuring something in her ear that sounded like “Break their hearts my pride and hope, break their hearts and have no mercy!”"
"乔在铁匠铺里的时候，喜欢断断续续地反复哼唱一首歌，歌名叫作《老克莱门之歌》。用这种方式来表达对守护圣徒的尊重，是不够庄重的。但是，我相信，这首歌确切地表现了老克莱门和铁匠们的关系。这首歌模仿铁匠打铁的方法，充满感情地唱出了老克莱门那受人尊敬的名字。例如：“孩子们一起来打铁啊，老克莱门！打一下啊，敲一声，老克莱门！使劲敲啊，使劲敲啊，老克莱门！用力拉风箱啊，老克莱门！旺旺地把火烧啊，老克莱门！风箱的声音吼啊，火苗窜得高啊，老克莱门！”有一天，我刚开始用椅子推郝维仙小姐的时候，她突然不耐烦地挥动着手指说道：“行了，行了，行了！唱首歌吧！”我很惊讶，但还是一边推着她，一边低声地哼唱起小曲来。她被我的小曲吸引住了，也跟着我轻轻地哼唱起来，就好像在梦中哼唱一样。从此以后，一边在屋子里绕圈，一边哼歌成了我们的习惯。埃斯特拉也经常加入我们的行列。我们把声音压得很低，所以即便是三个人的时候，我们在这座阴暗的老房子里发出的声音也比微风更轻、更低。","There was a song Joe used to hum fragments of at the forge, of which the burden was Old Clem.This was not a very ceremonious way of rendering homage to a patron saint; but, I believe Old Clem stood in that relation towards smiths.It was a song that imitated the measure of beating upon iron, and was a mere lyrical excuse for the introduction of Old Clem’s respected name.Thus, you were to hammer boys round—Old Clem!With a thump and a sound—Old Clem!Beat it out, beat it out—Old Clem!With a clink for the stout—Old Clem!Blow the fire, blow the fire—Old Clem!Roaring dryer, soaring higher—Old Clem!One day soon after the appearance of the chair, Miss Havisham suddenly saying to me, with the impatient movement of her fingers, “There, there, there!Sing!”I was surprised into crooning this ditty as I pushed her over the floor.It happened so to catch her fancy, that she took it up in a low brooding voice as if she were singing in her sleep.After that, it became customary with us to have it as we moved about, and Estella would often join in; though the whole strain was so subdued, even when there were three of us, that it made less noise in the grim old house than the lightest breath of wind."
"在这样的环境中，我将成为一个什么样的人呢？我的性格怎能不受她们的影响呢？当我从那些阴暗、昏黄的房间里走出来，进入到大自然的光芒之中的时候，我怎能不晕眩、迷茫呢？","What could I become with these surroundings?How could my character fail to be influenced by them?Is it to be wondered at if my thoughts were dazed, as my eyes were, when I came out into the natural light from the misty yellow rooms?"
"如果当初我没有违背事实来编造出离谱的谎言的话，我或许会告诉乔有关那个脸色苍白的年轻绅士的事。可是如果现在说了，我觉得乔肯定会以为，这位脸色苍白的年轻绅士不过是黑色天鹅绒马车里的一个乘客而已。因此，我什么都没有对他说。况且，刚开始我就很害怕谈起郝维仙小姐和埃斯特拉，而随着时间的流逝，我的这种害怕越来越强烈。除了比迪之外，我谁也不能完全相信，所以我把所有的事情都告诉了可怜的比迪。当时我并不知道，为什么我能够很自然地相信比迪，为什么比迪对我的每一件事都很关心。但我想，我现在明白了。","Perhaps, I might have told Joe about the pale young gentleman, if I had not previously been betrayed into those enormous inventions to which I had confessed.Under the circumstances, I felt that Joe could hardly fail to discern in the pale young gentleman, an appropriate passenger to be put into the black velvet coach; therefore, I said nothing of him.Besides: that shrinking from having Miss Havisham and Estella discussed, which had come upon me in the beginning, grew much more potent as time went on.I reposed complete confidence in no one but Biddy; but, I told poor Biddy everything.Why it came natural to me to do so, and why Biddy had a deep concern in everything I told her, I did not know then, though I think I know now."
"此时，家中的厨房里正在召开家庭会议。我非常恼火，几乎到达了无法控制的地步。晚上，彭波契克那个坏蛋常来跟我姐姐讨论我的前途。我真的确信（至今想起来，仍然不会后悔），如果我的手有足够的力气，我一定会把他轻便马车上的轮辖拔出来。那个令人讨厌的人迟钝而又固执，他讨论我前途的时候，总是要我在他跟前，似乎要在我身上做实验一样。我原本是安静地坐在角落里，他把我从椅子上拽起来（通常用手拽衣领），放在炉火前，仿佛要把我烤熟，然后开始说：“瞧，夫人，就是这个孩子。这就是你一手带大的孩子。抬起头来，孩子，你可一辈子都要感激把你养大的人啊。那么，夫人，来谈谈这个孩子吧！”然后，他会弄乱我的头发——我在前面已经说过了，从我记事起他就会这样，而我认为谁也没有权利弄乱我的头发——接着，他还会扯着我的袖子，把我拉到他面前，让我出洋相，显得很愚钝，就像他自己那样。","Meanwhile, councils went on in the kitchen at home, fraught with almost insupportable aggravation to my exasperated spirit.That ass, Pumblechook, used often to come over of a night for the purpose of discussing my prospects with my sister; and I really do believe (to this hour with less penitence than I ought to feel), that if these hands could have taken a linchpin out of his chaise-cart, they would have done it.The miserable man was a man of that confined stolidity of mind, that he could not discuss my prospects without having me before him—as it were, to operate upon—and he would drag me up from my stool (usually by the collar) where I was quiet in a corner, and, putting me before the fire as if I were going to be cooked, would begin by saying, “Now, Mum, here is this boy!Here is this boy which you brought up by hand.Hold up your head, boy, and be for ever grateful unto them which so did do.Now, Mum, with respections to this boy!”And then he would rumple my hair the wrong way—which from my earliest remembrance, as already hinted, I have in my soul denied the right of any fellow-creature to do—and would hold me before him by the sleeve: a spectacle of imbecility only to be equaled by himself."
"然后，他和我姐姐就会一唱一和，谈论和郝维仙小姐有关的事，以及郝维仙小姐应该为我做什么、想什么。一听到这里，我就非常痛苦，想流出痛恨的眼泪，想冲到彭波契克跟前，把他全身上下狠狠地揍一顿。在这些对话当中，我姐姐和我说话的样子就像每提起我一次就要拔我一颗牙齿一样。而彭波契克则自封为我的恩惠者，洋洋得意地坐在那里，不屑地监督着我的举动，仿佛是我好运的缔造者。他觉得为我做了那么多的事，自己却什么好处都没有得到，这不公平。","Then, he and my sister would pair off in such nonsensical speculations about Miss Havisham, and about what she would do with me and for me, that I used to want—quite painfully—to burst into spiteful tears, fly at Pumblechook, and pummel him all over.In these dialogues, my sister spoke to me as if she were morally wrenching one of my teeth out at every reference; while Pumblechook himself, self-constituted my patron, would sit supervising me with a depreciatory eye, like the architect of my fortunes who thought himself engaged on a very unremunerative job."
"乔从来不参与他们的讨论。不过，他们倒是常常和他谈，因为乔太太已经察觉到，乔不赞成我离开铁匠铺。我现在长大了，已经可以给乔做学徒了。当乔把火钳放在膝盖上坐着，若有所思地拨弄着火炉下层的煤灰时，我姐姐便会把这种无辜的行为直接当作是反抗的表现，扑向他，从他手里夺下火钳，使劲地摇晃他的身体，然后把火钳扔掉。每回谈起这类问题，都会落个不愉快的下场。一时没有新的话题了，我姐姐便会停住，打个哈欠，然后突然不经意地看到我似的，朝我扑过来：“够了！没你的事了！你去睡觉吧。你这一晚上可真让人心烦的了！”这就好像是我请求他们来烦扰我的生活似的。","In these discussions, Joe bore no part.But he was often talked at, while they were in progress, by reason of Mrs. Joe’s perceiving that he was not favorable to my being taken from the forge.I was fully old enough now, to be apprenticed to Joe; and when Joe sat with the poker on his knees thoughtfully raking out the ashes between the lower bars, my sister would so distinctly construe that innocent action into opposition on his part, that she would dive at him, take the poker out of his hands, shake him, and put it away.There was a most irritating end to every one of these debates.All in a moment, with nothing to lead up to it, my sister would stop herself in a yawn, and catching sight of me as it were incidentally, would swoop upon me with, “Come! there’s enough of you!You get along to bed; you’ve given trouble enough for one night, I hope!”As if I had besought them as a favor to bother my life out."
"我们就这样过了很长一段时间，而且看起来，我们还得接着这样过很长一段时间。有一天，郝维仙小姐正用手扶着我的肩膀走路时，她停了下来，不太愉快地跟我说：“你长高了，皮普！”","We went on in this way for a long time, and it seemed likely that we should continue to go on in this way for a long time, when, one day, Miss Havisham stopped short as she and I were walking, she leaning on my shoulder; and said with some displeasure:“You are growing tall, Pip!”"
"我满脸深思地看了她一眼，认为用这种方式来传递信息是最好的方法，让她明白这是自然的规律，我无法操纵。","I thought it best to hint, through the medium of a meditative look, that this might be occasioned by circumstances over which I had no control."
"当时，她并没有多说什么。但过了一会儿，她又停了下来打量着我，再过一会儿又看着我，愁容满面，心情抑郁。下次我去服侍她时，跟平常一样做完运动后，我扶着她来到化妆台前，她不耐烦地晃了晃手指，说：“再告诉我一次，你那个铁匠叫什么名字？”","She said no more at the time; but, she presently stopped and looked at me again; and presently again; and after that, looked frowning and moody.On the next day of my attendance when our usual exercise was over, and I had landed her at her dressing table, she stayed me with a movement of her impatient fingers:“Tell me the name again of that blacksmith of yours.”"
"“乔·格雷戈里，夫人。”","“Joe Gargery, ma’am.”"
"“你就是要给这个师父当学徒吗？”","“Meaning the master you were to be apprenticed to?”"
"“是的，郝维仙小姐。”","“Yes, Miss Havisham.”"
"“你最好立刻就去当学徒。你觉得，格雷戈里会带着你们的师徒契约跟你一起到这里来吗？”","“You had better be apprenticed at once.Would Gargery come here with you, and bring your indentures, do you think?”"
"我表示，要是他受到邀请的话，他肯定会觉得非常荣幸的。","I signified that I had no doubt he would take it as an honor to be asked."
"“那就让他来吧”","“Then let him come.”"
"“什么时候来呢，郝维仙小姐？”","“At any particular time, Miss Havisham?”"
"“行啦，行啦！我对时间一无所知。让他尽快和你一道来吧。”","“There, there!I know nothing about times.Let him come soon, and come along with you.”"
