"第一章 矛盾的信件","CHAPTER I CONTRADICTORY LETTERS"
"“的确，哈里，”詹姆斯·斯塔尔说道，“你准能从你朋友杰克的邀请中得益的。”","“Indeed, Harry,” said James Starr, “you must profit by your friend Jack’s invitation.”"
"“好吧，我接受邀请，杰克。”哈里说道，“一星期后我们在欧文见。”","“Well, I accept it, Jack,” said Harry.“In a week we will meet at Irvine.”"
"“一星期后见，就这么定了。”瑞安回答道，“再见，哈里！向您致敬，斯塔尔先生。我很高兴能再次见到您！我会将见到您的消息告诉我所有的朋友。没人忘记您，先生。”","“In a week, that’s settled,” returned Ryan.“Good-by, Harry!Your servant, Mr. Starr.I am very glad to have seen you again!I can give news of you to all my friends.No one has forgotten you, sir.”"
"“我也没有忘了任何人。”斯塔尔说道。","“And I have forgotten no one,” said Starr."
"“非常感谢，先生。”杰克回道。","“Thanks for all, sir,” replied Jack."
"“再见，杰克。”哈里握着他的手说道。杰克·瑞安唱着歌离开了，很快便消失在矿井高处，那儿被他的灯光映照得模糊昏暗。","“Good-by, Jack,” said Harry, shaking his hand.And Jack Ryan, singing as he went, soon disappeared in the heights of the shaft, dimly lighted by his lamp."
"一刻钟之后，詹姆斯·斯塔尔和哈里爬下最后一架梯子，站在了矿井的最底层。","A quarter of an hour afterwards James Starr and Harry descended the last ladder, and set foot on the lowest floor of the pit."
"许多空旷的水平巷道从亚罗井井底向四周延伸。它们穿过片岩和砂岩的岩壁，其中一些靠劈得参差不齐的梁木支撑着，另一些则沿着厚厚的木制防护层排列着。四周都有护堤填补那些被挖空的矿脉。如今支撑地面的柱子是用邻近采石场的石头人工打造而成的；换言之，从前靠煤层自身依托的第三层和第四层这两层土地如今却由这些柱子支撑着。如今，水平巷道里一片黑暗，从前这里要么是被矿工的灯所照亮，要么是被电灯所照亮；电灯当时已被引进到煤矿里使用了。","From the bottom of the Yarrow shaft radiated numerous empty galleries.They ran through the wall of schist and sandstone, some shored up with great, roughly-hewn beams, others lined with a thick casing of wood.In every direction embankments supplied the place of the excavated veins.Artificial pillars were made of stone from neighboring quarries, and now they supported the ground, that is to say, the double layer of tertiary and quaternary soil, which formerly rested on the seam itself.Darkness now filled the galleries, formerly lighted either by the miner’s lamp or by the electric light, the use of which had been introduced in the mines."
"“您不需要休息一下吗，斯塔尔先生？”年轻人问道。","“Will you not rest a while, Mr. Starr?” asked the young man."
"“不用，我的孩子，”工程师回答道，“我急着去你父亲的村舍。”","“No, my lad,” replied the engineer, “for I am anxious to be at your father’s cottage.”"
"“那您跟着我，斯塔尔先生。我会为您带路，但我相信您完全能在这黑暗的迷宫中找到您的路。”","“Follow me then, Mr. Starr.I will guide you, and yet I daresay you could find your way perfectly well through this dark labyrinth.”"
"“是的，的确！老煤矿的整个平面图仍然在我脑子里。”","“Yes, indeed!I have the whole plan of the old pit still in my head.”"
"哈里走在工程师前面带路，他将手中的灯举得高高的，以便更好地照亮路途。他们沿着一个高高的水平巷道行走，那里就像是一个大教堂的中殿。他们的脚还是踢到了曾用来支撑铁轨的枕木。","Harry, followed by the engineer, and holding his lamp high the better to light their way, walked along a high gallery, like the nave of a cathedral.Their feet still struck against the wooden sleepers which used to support the rails."
"他们还没走到五十步，一块大石头就落在了詹姆斯·斯塔尔的脚下。“当心，斯塔尔先生！”哈里一边叫，一边抓住工程师的胳膊。","They had not gone more than fifty paces, when a huge stone fell at the feet of James Starr.“Take care, Mr. Starr!” cried Harry, seizing the engineer by the arm."
"“一块石头，哈里！哈！这些旧的拱形结构也不再那么牢固了，当然，而且——”","“A stone, Harry! Ah! these old vaultings are no longer quite secure, of course, and—” "
"“斯塔尔先生，”哈里·福特说道，“依我看，这石头好像是被扔过来的，是被人用手扔过来的！”","“Mr. Starr,” said Harry Ford, “it seems to me that stone was thrown, thrown as by the hand of man!”"
"“扔过来的！”詹姆斯·斯塔尔叫道，“你是什么意思，孩子？”","“Thrown!” exclaimed Jamed Starr.“What do you mean, lad?”"
"“没事，没事，斯塔尔先生，”哈里支支吾吾地答道，他焦虑的目光正试图穿透这片黑暗。“我们继续走吧。请抓着我的胳膊，先生，不用担心会走错路。”","“Nothing, nothing, Mr. Starr,” replied Harry evasively, his anxious gaze endeavoring to pierce the darkness.“Let us go on.Take my arm, sir, and don't be afraid of making a false step.”"
"“我来了，哈里。”他们一起前行，与此同时，哈里一边观察着四周，一边把灯光照向水平巷道的每一个角落。","“Here I am, Harry.”And they both advanced, whilst Harry looked on every side, throwing the light of his lamp into all the corners of the gallery."
"“我们马上就能到那儿了吗？”工程师问道。 ","“Shall we soon be there?” asked the engineer."
"“最多十分钟。”","“In ten minutes at most.”"
"“很好。”","“Good.”"
"“但是，”哈里咕哝道，“这件事非常奇怪。这样的事是第一次发生在我身上。那块石头在我们正要经过时就落下来了。”","“But,” muttered Harry, “that was a most singular thing.It is the first time such an accident has happened to me.That stone falling just at the moment we were passing.”"
"“哈里，那纯粹是个巧合。”","“Harry, it was a mere chance.”"
"“巧合，”年轻人摇着头回答道。“是啊，巧合。”他停下来留心听着。","“Chance,” replied the young man, shaking his head.“Yes, chance.”He stopped and listened."
"“怎么了，哈里？”工程师问道。","“What is the matter, Harry?” asked the engineer."
"“我想我听到有人跟在我们后面。”年轻的矿工一面回答，一面更专注地听着。随后他补充道，“不是，我准是听错了。请再靠我的胳膊近些，斯塔尔先生。就拿我当一根拐杖使。”","“I thought I heard someone walking behind us,” replied the young miner, listening more attentively.Then he added, “No, I must have been mistaken.Lean harder on my arm, Mr. Starr.Use me like a staff.”"
"“一根很结实的拐杖，哈里，”詹姆斯·斯塔尔回答道，“我再也想不出比你更棒的好小伙了。”","“A good solid staff, Harry,” answered James Starr.“I could not wish for a better than a fine fellow like you.”"
"他们继续沿着黑暗的中殿静静地前行。哈里显然有心事，常常回头，试图去弄明白远处的某个声响，或是远处的一缕微光。","They continued in silence along the dark nave.Harry was evidently preoccupied, and frequently turned, trying to catch, either some distant noise, or remote glimmer of light."
"但他的身前身后全是寂静和黑暗。","But behind and before, all was silence and darkness."
"第四章 福特一家","CHAPTER IV THE FORD FAMILY"
"十分钟后，詹姆斯·斯塔尔和哈里从主水平巷道中出来了。现在他们正站在一块空地中——如果我们可以用这个词来指代一个巨大而黑暗的洞穴的话。然而，这个地方并非完全没有日光。几缕光线通过一个废井的井口散射进来。多查特矿井正是通过这个管道来通风的。暖空气由于密度较低而被吸入亚罗井。因此，空气和光线多多少少地渗入到这片空地上来。","Ten minutes afterwards, James Starr and Harry issued from the principal gallery.They were now standing in a glade, if we may use this word to designate a vast and dark excavation.The place, however, was not entirely deprived of daylight.A few rays straggled in through the opening of a deserted shaft.It was by means of this pipe that ventilation was established in the Dochart pit.Owing to its lesser density, the warm air was drawn towards the Yarrow shaft.Both air and light, therefore, penetrated in some measure into the glade."
"在这儿，西蒙·福特和他的家人已经住了十年。这处地下住所是从片岩堆中挖出来的；那儿从前放置着功率强大的引擎，多查特矿井机械牵引的工作便由它们来完成。","Here Simon Ford had lived with his family ten years, in a subterranean dwelling, hollowed out in the schistous mass, where formerly stood the powerful engines which worked the mechanical traction of the Dochart pit."
"老工头就住在这样一个被他称之为“他的村舍”的居所里。福特一生辛勤工作，积攒了一些财富，他本可以生活在阳光下、林木间，或是这个王国里任由他选择的任何城镇上，但是他和他的妻儿宁可留在煤矿里；他们在那儿生活得很幸福，有着共同的观念、想法和兴趣。　的确，他们非常喜爱他们这个埋在苏格兰地下1500英尺处的村舍。在众多好处中，其中一项就是无需担忧收税员或收租员会来打扰这儿的居民。","Such was the habitation, “his cottage,” as he called it, in which resided the old overman.As he had some means saved during a long life of toil, Ford could have afforded to live in the light of day, among trees, or in any town of the kingdom he chose, but he and his wife and son preferred remaining in the mine, where they were happy together, having the same opinions, ideas, and tastes.Yes, they were quite fond of their cottage, buried fifteen hundred feet below Scottish soil.Among other advantages, there was no fear that tax gatherers, or rent collectors would ever come to trouble its inhabitants."
"多查特矿井的前任工头西蒙·福特这时已六十五岁了，身板还很硬朗。他高大、健壮、身材匀称，本该被认为是当地最出众的男人之一。这个地方为高地兵团输送了许多好小伙。","At this period, Simon Ford, the former overman of the Dochart pit, bore the weight of sixty-five years well.Tall, robust, well-built, he would have been regarded as one of the most conspicuous men in the district which supplies so many fine fellows to the Highland regiments."
"西蒙·福特出生于一个老矿工家庭，他的祖先曾在苏格兰第一批被开采的石炭纪煤层工作。不用讨论希腊人和罗马人是否使用煤，中国人是否在基督纪元前已开始开采煤矿，法语中的“煤”（houille）一词是否真的得名于十二世纪比利时的蹄铁匠Houillos，我们可以断言的是，大不列颠的煤床是首次被人类有规律地进行开采的。早在十一世纪，征服者威廉就在他的战友中分配了纽卡斯尔煤床的产品。十三世纪末，亨利三世授予了“煤海”的开采许可证。最后，该世纪结束之时，又有人提到了苏格兰和威尔士的煤床。","Simon Ford was descended from an old mining family, and his ancestors had worked the very first carboniferous seams opened in Scotland.Without discussing whether or not the Greeks and Romans made use of coal, whether the Chinese worked coal mines before the Christian era, whether the French word for coal (houille) is really derived from the farrier Houillos, who lived in Belgium in the twelfth century, we may affirm that the beds in Great Britain were the first ever regularly worked.So early as the eleventh century, William the Conqueror divided the produce of the Newcastle bed among his companions-in-arms.At the end of the thirteenth century, a license for the mining of “sea coal” was granted by Henry III.Lastly, towards the end of the same century, mention is made of the Scotch and Welsh beds."
"大约在这个时期，西蒙·福特的祖先进入到古苏格兰的地下深处，此后祖祖辈辈一直生活在那儿。他们只是普通的矿工。他们像服刑犯一样劳动，挖掘出珍贵的燃料。人们甚至认为，煤矿工人就像那个时期的制盐工一样，实际上就是奴隶。","It was about this time that Simon Ford’s ancestors penetrated into the bowels of Caledonian earth, and lived there ever after, from father to son.They were but plain miners.They labored like convicts at the work of extracting the precious combustible.It is even believed that the coal miners, like the salt-makers of that period, were actual slaves."
"无论怎样，西蒙·福特都为自己属于这个古老的苏格兰矿工家庭而感到骄傲。他在这里努力地工作，就在这同一个地方，他的祖先们也曾挥动着镐、铁撬以及鹤嘴锄。他在三十岁时当上了多查特矿井的工头，那是阿伯福伊尔煤矿里最重要的矿井。他全身心地投入到他的职业中去。在漫长的年月里，他积极地履行他的职责。他仅有的悲痛便是意识到煤床变得贫瘠、目睹着煤层枯竭的时刻渐渐临近。","However that might have been, Simon Ford was proud of belonging to this ancient family of Scotch miners.He had worked diligently in the same place where his ancestors had wielded the pick, the crowbar, and the mattock.At thirty he was overman of the Dochart pit, the most important in the Aberfoyle colliery.He was devoted to his trade.During long years he zealously performed his duty.His only grief had been to perceive the bed becoming impoverished, and to see the hour approaching when the seam would be exhausted."
"随后，他在阿伯福伊尔那些在地下彼此相连的矿井中竭力搜寻新矿脉。在工程的最后时期，他曾很幸运地发现过几处新矿脉。矿工的直觉给予了他极大的帮助，因此工程师詹姆斯·斯塔尔非常赏识他。可以这么说，他在煤矿深处探寻煤层，就像深水探视仪在地球深处探测泉水那样。他是个极为优秀的矿工，他的全部生活都与其在矿里的生活密不可分。他从出生起就生活在那儿，如今虽然工程已结束了，他仍愿意生活在那儿。他的儿子哈里为地下生活的给养四处奔波；至于他自己，在那十年间，他上地面的次数不超过十次。","It was then he devoted himself to the search for new veins in all the Aberfoyle pits, which communicated underground one with another.He had had the good luck to discover several during the last period of the working.His miner’s instinct assisted him marvelously, and the engineer, James Starr, appreciated him highly.It might be said that he divined the course of seams in the depths of the coal mine as a hydroscope reveals springs in the bowels of the earth.He was par excellence the type of a miner whose whole existence is indissolubly connected with that of his mine.He had lived there from his birth, and now that the works were abandoned he wished to live there still.His son Harry foraged for the subterranean housekeeping; as for himself, during those ten years he had not been ten times above ground."
"“上那儿去！有什么好处？”他会这样说，并拒绝离开他的黑色领地。这个地方非常有利于健康，因为这里温度变化不大；老工头既不必忍受夏日的炎热，也无需忍受冬日的寒冷。他的家人身体很健康，他还能有什么要求呢？","“Go up there!What is the good?” he would say, and refused to leave his black domain.The place was remarkably healthy, subject to an equable temperature; the old overman endured neither the heat of summer nor the cold of winter.His family enjoyed good health; what more could he desire?"
"但他内心里感到沮丧。他想念从前的活力、活动，以及矿井运作良好时的矿下生活。然而，一个坚定的念头支撑着他。“不会的，不会的！煤矿是不会枯竭的！”他反复说道。","But at heart he felt depressed.He missed the former animation, movement, and life in the well-worked pit.He was, however, supported by one fixed idea.“No, no! the mine is not exhausted!” he repeated."
"如果有人敢在西蒙·福特面前对老阿伯福伊尔终有一天会复苏这点表达出任何质疑，那无疑会深深地冒犯他。他从未放弃发现某个新煤床的希望，这新煤床将使煤矿恢复昔日的辉煌。是的，如果有必要的话，他愿意重新拿起矿工的镐，用他那依然结实的胳膊使劲敲击岩石。他穿过黑暗的水平巷道，有时独自一人，有时和他的儿子一起，检查矿井，搜寻煤的踪迹，结果却是每天满身疲惫地回到村舍，但他并不绝望。","And that man would have given serious offense who could have ventured to express before Simon Ford any doubt that old Aberfoyle would one day revive!He had never given up the hope of discovering some new bed which would restore the mine to its past splendor.Yes, he would willingly, had it been necessary, have resumed the miner’s pick, and with his still stout arms vigorously attacked the rock.He went through the dark galleries, sometimes alone, sometimes with his son, examining, searching for signs of coal, only to return each day, wearied, but not in despair, to the cottage."
"马奇是西蒙的忠诚伴侣，用苏格兰话来说，是个“好妻子”；她高大、强壮且长相标致。马奇和她丈夫一样，不愿意离开多查特矿井。她和西蒙有着同样的希望和惋惜。她鼓励着他，督促着他，她说的话总是能够振奋老工头的心灵。“阿伯福伊尔只是在沉睡。”她会说，“关于这件事，你是对的，西蒙。这仅仅是休息，而不是死亡！”","Madge, Simon’s faithful companion, his “gude-wife”, to use the Scotch term, was a tall, strong, comely woman.Madge had no wish to leave the Dochart pit any more than had her husband.She shared all his hopes and regrets.She encouraged him, She urged him on, and talked to him in a way which cheered the heart of the old overman.“Aberfoyle is only asleep,” she would say.“You are right about that, Simon.This is but a rest, it is not death!”"
"马奇以及其他人非常满意这种与外界毫无联系的生活，这个小家庭在他们黑暗的村舍里享受着幸福，而她是这幸福的核心。他们急切地盼望着工程师的到来。西蒙·福特站在家门前，当哈里的灯告知他前任管理者的到来时，他便立即出迎。","Madge, as well as the others, was perfectly satisfied to live independent of the outer world, and was the center of the happiness enjoyed by the little family in their dark cottage.The engineer was eagerly expected.Simon Ford was standing at his door, and as soon as Harry’s lamp announced the arrival of his former viewer he advanced to meet him."
"“欢迎您，斯塔尔先生！”他大声说道，声音回荡在片岩洞顶下，“欢迎来到老工头的村舍！尽管我们家被埋在地下1500英尺处，但它仍是那样热情好客。”","“Welcome, Mr. Starr!” he exclaimed, his voice echoing under the roof of schist.“Welcome to the old overman’s cottage!Though it is buried fifteen hundred feet under the earth, our house is not the less hospitable.”"
"“您好吗，善良的西蒙？”詹姆斯·斯塔尔握住主人伸出的手问道。","“And how are you, good Simon?” asked James Starr, grasping the hand which his host held out to him."
"“非常好，斯塔尔先生。我在这儿避开了那些恶劣的天气，怎么可能不好呢？您家夏天去纽黑文或波托贝洛的女士们，若是在阿伯福伊尔煤矿里待上几个月会更好！在这儿，与在旧首府潮湿的大街上不一样，她们不会患上重感冒的。","“Very well, Mr. Starr.How could I be otherwise here, sheltered from the inclemencies of the weather?Your ladies who go to Newhaven or Portobello in the summer time would do much better to pass a few months in the coal mine of Aberfoyle!They would run no risk here of catching a heavy cold, as they do in the damp streets of the old capital.”"
"“我是不会反对您的，西蒙。”詹姆斯·斯塔尔回答道，很高兴发现老工头仍旧和从前一样，“其实，我在想，为什么我不把在坎农格特的家换成您家旁边的一个村舍呢？”","“I’m not the man to contradict you, Simon,” answered James Starr, glad to find the old man just as he used to be.“Indeed, I wonder why I do not change my home in the Canongate for a cottage near you.”"
"“为什么不呢，斯塔尔先生？我知道，在您昔日的那群矿工中，有一个人真心地希望您和他之间只有一墙之隔。”","“And why not, Mr. Starr?I know one of your old miners who would be truly pleased to have only a partition wall between you and him.”"
"“马奇好吗？”工程师问道。","“And how is Madge?” asked the engineer."
"“女主人的身体比我还硬朗，如果可能的话。”福特回答道，“她会很高兴您出现在她的餐桌旁。我想，她会超水平地发挥来招待您。”","“The goodwife is in better health than I am, if that’s possible,” replied Ford, “and it will be a pleasure to her to see you at her table.I think she will surpass herself to do you honor.”"
"“咱们等着瞧吧，西蒙，咱们等着瞧吧！”工程师说道；对他而言，在长途跋涉后，有人告诉他会有一顿丰盛的早餐是不会令他无动于衷的。","“We shall see that, Simon, we shall see that!” said the engineer, to whom the announcement of a good breakfast could not be indifferent, after his long walk."
"“您饿了吗，斯塔尔先生？”","“Are you hungry, Mr. Starr?”"
"“饥肠辘辘。我这一路赶过来，早已胃口大开了。我是冒着恶劣的天气来的。”","“Ravenously hungry.My journey has given me an appetite.I came through horrible weather.”"
"“啊，那上面正下着雨。”西蒙·福特回应道。","“Ah, it is raining up there.” responded Simon Ford."
"“是啊，西蒙，福斯河的水和海水一样汹涌。”“噢，斯塔尔先生，这儿就从不下雨。但我不必向您描述所有的好处，您和我一样清楚。现在我们是在村舍里。这是最重要的事情，我再次欢迎您，先生。”","“Yes, Simon, and the waters of the Forth are as rough as the sea.”“Well, Mr. Starr, here it never rains.But I needn't describe to you all the advantages, which you know as well as myself.Here we are at the cottage.That is the chief thing, and I again say you are welcome, sir.”"
"西蒙·福特把他们的客人领进了住所，哈里跟在福特身后。詹姆斯·斯塔尔发现自己身处一个用许多灯照明的大房间里，其中一盏灯吊在顶上的彩色横梁上。","Simon Ford, followed by Harry, ushered their guest into the dwelling.James Starr found himself in a large room lighted by numerous lamps, one hanging from the colored beams of the roof."
"“汤好了，老婆，”福特说道，“不该让斯塔尔先生等久了。他饿得就像个矿工，他会看到我们的孩子让我们在村舍里什么都不缺！对了，哈里，”老工头转向他的儿子补充道，“杰克·瑞安来找过你。”","“The soup is ready, wife,” said Ford, “and it mustn’t be kept waiting any more than Mr. Starr.He is as hungry as a miner, and he shall see that our boy doesn't let us want for anything in the cottage!By-the-bye, Harry,” added the old overman, turning to his son, “Jack Ryan came here to see you.”"
"“我知道，父亲。我们在亚罗井碰见了他。”","“I know, father.We met him in the Yarrow shaft.”"
"“他是个真诚而快乐的小伙子，”福特说道，“但他似乎在地上过得很开心。他血管里流淌的不是真正的矿工血液。请坐，斯塔尔先生，请多吃一点，因为我们可能很晚才吃晚餐。”","“He’s an honest and a merry fellow,” said Ford, “but he seems to be quite happy above ground.He hasn’t the true miner’s blood in his veins.Sit down, Mr. Starr, and have a good dinner, for we may not sup till late.”"
"就在工程师和他的主人们就坐时:","As the engineer and his hosts were taking their places:"
"“等等，西蒙，”詹姆斯·斯塔尔说道，“您希望我吃饭时有个好胃口吗？”“这将是我们极大的荣幸,斯塔尔先生。”福特回答道。","“One moment, Simon,” said James Starr.“Do you want me to eat with a good appetite?”“It will be doing us all possible honor, Mr. Starr.” answered Ford."
"“好吧,为了吃得痛快,我应该一点儿也不焦虑才行。现在，我有两个问题要问您。”","“Well, in order to eat heartily, I must not be at all anxious.Now I have two questions to put to you.”"
"“请问，先生。”","“Go on, sir.”"
"“您在信里告诉我会有一则有趣的信息。”","“Your letter told me of a communication which was to be of an interesting nature.”"
"“的确很有趣。”","“It is very interesting indeed.”"
"“对您而言？”","“To you?”"
"“对您和我而言，斯塔尔先生。但是，我想等到饭后再告诉您，并且只能是在现场告诉您。不然的话您是不会相信我的。”","“To you and to me, Mr. Starr.But I do not want to tell it you until after dinner, and on the very spot itself.Without that you would not believe me.”"
"“西蒙，”工程师继续说道，“请直视我的脸。一则有趣的信息？是的。好的！我不多问了。”他补充道，好像他己从老工头的眼中读出了答案。","“Simon,” resumed the engineer, “look me straight in the face.An interesting communication?Yes.Good!I will not ask more.” he added, as if he had read the reply in the old overman’s eyes."
"“第二个问题呢？”后者问道。","“And the second question?” asked the latter."
"“西蒙，您知道可能是谁给我写的这封信吗？”工程师问道，递给他那封匿名信。","“Do you know, Simon, who the person is who can have written this?” answered the engineer, handing him the anonymous letter."
"福特接过信，专注地读着。随后，他把信递给他的儿子，“你认识这字迹吗？”他问道。","Ford took the letter and read it attentively.Then giving it to his son, “Do you know the writing?” he asked."
"“不认识，父亲。”哈里回答道。","“No, father.” replied Harry."
"“这封信盖了阿伯福伊尔的邮戳吗？”西蒙·福特询问道。","“And had this letter the Aberfoyle postmark?” inquired Simon Ford."
"“是的，和您的信一样。”詹姆斯·斯塔尔回答道。","“Yes, like yours,” replied James Starr."
"“你怎么看这事，哈里？”他父亲问道，额头蒙上了一层阴影。","“What do you think of that, Harry?” said his father, his brow darkening."
"“我认为，父亲，”哈里回答道，“有人有意阻扰斯塔尔先生到您邀请他来的地方。”","“I think, father,” returned Harry, “that someone has had some interest in trying to prevent Mr. Starr from coming to the place where you invited him.”"
"“但会是谁呢？”老矿工叫道，“谁能如此确切地猜到我的秘密呢？”西蒙陷入了沉思，他的妻子将他从沈思中唤醒。","“But who,” exclaimed the old miner, “who could have possibly guessed enough of my secret?”And Simon fell into a reverie, from which he was aroused by his wife."
"“我们开始吧，斯塔尔先生，”她说道，“汤快凉了。现在就不要再想那封信了。”","“Let us begin, Mr. Starr,” she said.“The soup is already getting cold.Don’t think any more of that letter just now.”"
"在老妇人的邀请下，大伙各自入座了，詹姆斯·斯塔尔坐在马奇对面——为了表示他的敬意——父子俩相对而坐。这是一顿丰盛的苏格兰饭菜。首先，他们喝了一道“大杂烩”汤，上好的汤中漂着肉。照老西蒙的说法，他的妻子做大杂烩的手艺无人可比。“韭菜鸡”也是如此，用韭菜炖鸡，堪称一绝。整顿饭配着由爱丁堡最好的啤酒厂酿造的上好麦芽酒下肚。","On the old woman’s invitation, each drew in his chair, James Starr opposite to Madge—to do him honor—the father and son opposite to each other.It was a good Scotch dinner.First they ate “hotchpotch,” soup with the meat swimming in capital broth.As old Simon said, his wife knew no rival in the art of preparing hotchpotch.It was the same with the “cockyleeky,” a cock stewed with leeks, which merited high praise.The whole was washed down with excellent ale, obtained from the best brewery in Edinburgh."
"但主菜是“羊肉杂碎布丁”，一种该民族用肉和大麦做成的布丁。这道菜非同凡响，它启发诗人彭斯吟出了他最优美的颂诗，它和世界上所有美好的事情有着相同的命运——它像梦一样的就下肚了。","But the principal dish consisted of a “haggis,” the national pudding, made of meat and barley meal.This remarkable dish, which inspired the poet Burns with one of his best odes, shared the fate of all the good things in this world—it passed away like a dream."
"马奇得到了客人诚挚的赞美。这顿饭最后上的是奶酪和燕麦饼，还配上了几小杯“爱尔兰芫荽香甜酒”，这是一种上好的威士忌，已有二十五年的历史——恰好是哈里的年纪。这顿饭足足吃了一个小时。詹姆斯·斯塔尔和西蒙·福特吃了很多，也说了很多，他们主要谈了他们在老阿伯福伊尔的昔日生活。","Madge received the sincere compliments of her guest.The dinner ended with cheese and oatcake, accompanied by a few small glasses of “usquebaugh,” capital whisky, five and twenty years old—just Harry’s age.The repast lasted a good hour.James Starr and Simon Ford had not only eaten much, but talked much too, chiefly of their past life in the old Aberfoyle mine."
"哈里显得相当沉默。他两次离开了餐桌，甚至离开了屋子。自石头事件以来，他明显感到不安，想要检查村舍的周围情况。那封匿名信并没有让他消除疑虑。","Harry had been rather silent.Twice he had left the table, and even the house.He evidently felt uneasy since the incident of the stone, and wished to examine the environs of the cottage.The anonymous letter had not contributed to reassure him."
"在他离席期间，工程师对福特和他的妻子说道，“你们有个好孩子啊，我的朋友。”","Whilst he was absent, the engineer observed to Ford and his wife, “That’s a fine lad you have there, my friends.”"
"“是啊，斯塔尔先生，他是一个善良贴心的儿子。”老工头由衷地回答道。","“Yes, Mr. Starr, he is a good and affectionate son,” replied the old overman earnestly."
"“和你们一起住在村舍里，他幸福吗？”","“Is he happy with you in the cottage?”"
"“他不会想要离开我们的。”","“He would not wish to leave us.”"
"“难道你们没想过在哪天为他找个妻子吗？”","“Don’t you think of finding him a wife, some day?”"
"“为哈里找个妻子，”福特惊叹道，“那会是谁？一个从地上来的姑娘，她会喜欢玩乐和跳舞，她会更喜欢她的家族，而不是我们的煤矿！哈里不会那么做的！”","“A wife for Harry,” exclaimed Ford,“And who would it be?A girl from up yonder, who would love merry-makings and dancing, who would prefer her clan to our mine!Harry wouldn’t do it!”"
"“西蒙，”马奇说道，“你不能阻止哈里娶妻。”","“Simon,” said Madge, “you would not forbid that Harry should take a wife.”"
"“我不会阻止任何事情，”老矿工回答道，“但这事并不着急。谁知道呢，但我们会为他找一个——”","“I would forbid nothing,” returned the old miner, “but there’s no hurry about that.Who knows but we may find one for him—” "
"此时，哈里又进屋来了，西蒙·福特也不出声了。","Harry re-entered at that moment, and Simon Ford was silent."
"当马奇在餐桌旁起身时，所有人也随她起身，在村舍的门口坐下来。“好了，西蒙，”工程师说道，“我准备好听您说了。”","When Madge rose from the table, all followed her example, and seated themselves at the door of the cottage.“Well, Simon,” said the engineer, “I am ready to hear you.”"
"“斯塔尔先生，”福特说道，“我不需要您听我说，只要您跟我来。您休整好了吗？”","“Mr. Starr,” responded Ford, “I do not need your ears, but your legs.Are you quite rested?”"
"“休整好了，也恢复好了，西蒙。我准备好了同你一起去，去你想去的那个地方。”","“Quite rested and quite refreshed, Simon.I am ready to go with you wherever you like.”"
"“哈里，”西蒙·福特转向他的儿子说道，“点上我们的安全灯。”","“Harry,” said Simon Ford, turning to his son, “light our safety lamps.”"
"“您打算带上安全灯？”詹姆斯·斯塔尔诧异地叫道。他清楚，在一个煤被完全挖空的矿井里是无需担心甲烷爆炸的。","“Are you going to take safety lamps?” exclaimed James Starr, in amazement, knowing that there was no fear of explosions of fire-damp in a pit quite empty of coal."
"“不错，斯塔尔先生，慎重起见。”","“Yes, Mr. Starr, it will be prudent.”"
"“我善良的西蒙，接下来，难道您会建议我穿上一套矿工制服吗？”","“My good Simon, won't you propose next to put me in a miner’s dress?”"
"“还不是时候，先生，还不是时候！”老工头回答道，他深陷的双眼闪烁着怪异的目光。","“Not just yet, sir, not just yet!” returned the old overman, his deep-set eyes gleaming strangely."
"哈里很快回来了，手里拎着三盏安全灯。他把其中一盏灯递给了工程师，又将另一盏递给了他父亲，将剩下的那一盏灯挂在他的左手上，而他的右手握着一根长棍当武器。","Harry soon reappeared, carrying three safety lamps.He handed one of these to the engineer, the other to his father, and kept the third hanging from his left hand, whilst his right was armed with a long stick."
"“出发！”西蒙·福特说道，拿起一把倚在村舍墙上的结实的镐。","“Forward!” said Simon Ford, taking up a strong pick, which was leaning against the wall of the cottage."
"“出发！”工程师附和道，“再见，马奇。”","“Forward!” echoed the engineer.“Good-by, Madge.”"
"“祝你成功！”善良的妇女回答道。","“GOD speed you!” responded the good woman."
"“准备一顿丰盛的晚餐，老婆，听到了吗？”福特叫道，“我们回来时该饿了，要尽情地吃一顿！”","“A good supper, wife, do you hear?” exclaimed Ford.“We shall be hungry when we come back, and will do it justice!”"
"第五章 某些奇怪的现象","CHAPTER V SOME STRANGE PHENOMENA"
"在苏格兰高地和低地，流传着许多迷信的说法。当然，矿工们必然会把传说和寓言中的事件加到这类神话剧中。如果说这些地区住满了想象中的生灵，无论是善良的还是邪恶的，那就更有理由说明在黑暗煤矿的最深处必定有幽灵出没。是谁在风雨交加的夜晚晃动着煤层？是谁将矿工们带到尚未开采的矿脉小道上的？是谁点燃甲烷，并指挥了那些可怕的爆炸？除了煤矿里的某个幽灵外，还会是谁呢？这个观点至少在迷信的苏格兰人中间普遍流传着。","Many superstitious beliefs exist both in the Highlands and Lowlands of Scotland.Of course the mining population must furnish its contingent of legends and fables to this mythological repertory.If the fields are peopled with imaginary beings, either good or bad, with much more reason must the dark mines be haunted to their lowest depths.Who shakes the seam during tempestuous nights?Who puts the miners on the track of an as yet unworked vein?Who lights the fire-damp, and presides over the terrible explosions?Who but some spirit of the mine?This, at least, was the opinion commonly spread among the superstitious Scotch."
