"狮子、熊和狐狸","The Lion, the Bear, and the Fox "
"一条猎狗惊动了山坡上的一只野兔，并追赶了她一段距离。猎狗一会儿用牙齿咬兔子，好像要置她于死地；一会儿又奉承讨好兔子，好像在和一条狗嬉戏玩耍。野兔对猎狗说：“我希望你能对我真诚一些，现出你的真实面目吧。如果你是朋友，为什么咬我这么狠？如果你是敌人，为什么又来奉承讨好我？”","A hound having started a Hare on the hillside pursued her for some distance, at one time biting her with his teeth as if he would take her life, and at another fawning upon her, as if in play with another dog.The Hare said to him, “I wish you would act sincerely by me, and show yourself in your true colors.If you are a friend, why do you bite me so hard?If an enemy, why do you fawn on me?”"
"当你不知道该信任还是怀疑他人时，就不能把他当作朋友。","No one can be a friend if you know not whether to trust or distrust him."
"公牛和小牛","The Bull and the Calf "
"一头公牛正竭尽全力挤过一条通往自己牛栏的狭窄通道。一头小牛走过来，表示愿意走在前面给公牛带路，这条路是公牛能够通过的。“不用麻烦你了，”公牛说，“早在你出生之前，我就知道那条路了。”","A Bull was striving with all his might to squeeze himself through a narrow passage which led to his stall.A young Calf came up, and offered to go before and show him the way by which he could manage to pass.“Save yourself the trouble,” said the Bull; “I knew that way long before you were born.”"
"牡鹿、狼和羊","The Stag, the Wolf, and the Sheep "
"一只牡鹿让一只羊借给他一定量的小麦，并让狼当他的担保人。羊担心其中有诈，为了拒绝牡鹿的要求就自我辩解道：“狼习惯于想猎取什么就夺取什么，然后就跑掉；而你也跑得那么神速，很快就能超过我。如果还小麦的时间到了，我怎么才能找到你们呢？”","A Stag asked a Sheep to lend him a measure of wheat, and said that the Wolf would be his surety.The Sheep, fearing some fraud was intended, excused herself, saying, “The Wolf is accustomed to seize what he wants and to run off; and you, too, can quickly outstrip me in your rapid flight.How then shall I be able to find you, when the day of payment comes?”"
"两黑不等于一白。","Two blacks do not make one white."
"孔雀和仙鹤","The Peacock and the Crane "
"一只孔雀正在开屏，绚丽多彩。一只仙鹤从旁边经过，孔雀便嘲笑仙鹤苍白的羽毛，挖苦道：“我穿着金色、紫色和彩虹般五彩缤纷的长袍，像国王一样华丽尊贵，而你的翅膀却没有一点色彩。”“确实是这样，”鹤回答说，“但是我能在高空翱翔，能对着星星引吭高歌，而你却只能像只公鸡一样，与地面粪堆上的鸟群为伍。”","A Peacock spreading its gorgeous tail mocked a Crane that passed by, ridiculing the ashen hue of its plumage and saying, “I am robed, like a king, in gold and purple and all the colors of the rainbow; while you have not a bit of color on your wings.”“True,” replied the Crane; “but I soar to the heights of heaven and lift up my voice to the stars, while you walk below, like a cock, among the birds of the dunghill.”"
"仅凭漂亮的羽毛并不能成为高贵的鸟。","Fine feathers don’t make fine birds."
"狐狸和刺猬","The Fox and the Hedgehog "
"一只狐狸正要游过一条急流，却被水流冲到了一个很深的峡谷里。他被碰得全身淤青，病怏怏地躺在那里，很长时间都不能动弹。一群饥饿的吸血蝇停落在了他的身上。这时，一只刺猬路过，看到狐狸很痛苦，就问狐狸要不要赶走正在折磨他的吸血蝇。“千万不要，”狐狸回答说，“请不要打扰他们。”“怎么了？”刺猬说，“难道你不想摆脱他们吗？”“不，”狐狸回答说，“因为你看到的这些吸血蝇已经吸饱了，他们现在几乎没在叮我了。如果你帮我赶走这些已经吸饱了的吸血蝇，其他更饿的就会过来代替他们，接着吸光我所有剩下的血。”","A Fox swimming across a rapid river was carried by the force of the current into a very deep ravine, where he lay for a long time very much bruised, sick, and unable to move.A swarm of hungry blood-sucking flies settled upon him.A Hedgehog, passing by, saw his anguish and inquired if he should drive away the flies that were tormenting him.“By no means,” replied the Fox; “pray do not molest them.”“How is this?” said the Hedgehog; “do you not want to be rid of them?’ “No,” returned the Fox, “for these flies which you see are full of blood, and sting me but little, and if you rid me of these which are already satiated, others more hungry will come in their place, and will drink up all the blood I have left.”"
"鹰、猫和野母猪","The Eagle, the Cat, and the Wild Sow "
"一只鹰在一棵高大的橡树顶部筑了一个巢；一只猫发现树干中部有个现成的洞穴，就搬了进去；一头野母猪和她的幼崽则躲在大树根部的一个洞里。狡猾的猫决定破坏这个偶然形成的聚居群。为了实施她的计谋，她爬到鹰巢里，说：“灾难就要降临到你和我的身上了，真是不幸。你看那只野母猪每天都在掘土，她是要连根推倒橡树啊。这样，树一倒下，她就可以抓住我们的家人给她的幼崽当食物了。”猫把鹰吓得惊慌失措后，又爬到母猪的洞穴里说：“你的孩子们很危险呀。因为只要你带着你的孩子们出去觅食，那只鹰就会准备冲下来叼走你的其中一只小猪。”猫让母猪也深感恐慌之后离开了，还装模作样地躲进了树洞里。到了晚上，她就蹑手蹑脚地去给自己和她的小猫觅食，而白天就假装很害怕的样子，整天都小心提防着。此时，鹰对母猪满怀恐惧，静静地立在树枝上；而母猪也惧怕鹰，不敢从洞穴中出来。就这样，鹰和母猪以及她们的孩子都被饿死了，从而为猫和她的孩子们提供了充足的食物。","An Eagle made her nest at the top of a lofty oak; a Cat, having found a convenient hole, moved into the middle of the trunk; and a Wild Sow, with her young, took shelter in a hollow at its foot.The Cat cunningly resolved to destroy this chance-made colony.To carry out her design, she climbed to the nest of the Eagle, and said, “Destruction is preparing for you, and for me too, unfortunately.The Wild Sow, whom you see daily digging up the earth, wishes to uproot the oak, so she may on its fall seize our families as food for her young.”Having thus frightened the Eagle out of her senses, she crept down to the cave of the Sow, and said, “Your children are in great danger; for as soon as you go out with your litter to find food, the Eagle is prepared to pounce upon one of your little pigs.”Having instilled these fears into the Sow, she went and pretended to hide herself in the hollow of the tree.When night came she went forth with silent foot and obtained food for herself and her kittens, but feigning to be afraid, she kept a lookout all through the day. Meanwhile, the Eagle, full of fear of the Sow, sat still on the branches, and the Sow, terrified by the Eagle, did not dare to go out from her cave.And thus they both, along with their families, perished from hunger, and afforded ample provision for the Cat and her kittens."
"小偷和旅店老板","The Thief and the Innkeeper "
"一个小偷在一家旅店租了一间房。他在那里住了一段时间，希望能够偷些东西，好让他付清账单。可等了几天，他仍一无所获。这时，他看见旅店老板穿了一件漂亮的新外套坐在他的门前。于是，小偷坐到老板旁边，和他闲聊起来。谈话变得索然无味时，小偷打了一个大大的哈欠，同时发出了狼一般的嚎叫声。旅店老板问：“你怎么叫得这么吓人呢？”“我会告诉你的，”小偷说，“但是请你先抓住我的衣服，要不然我会把衣服撕得粉碎。先生，我不知道从什么时候开始养成了这样打哈欠的习惯，也不知道嚎叫发作是对我所犯罪行的惩罚，还是有其他什么原因。我只知道，等我第三次打哈欠的时候，我竟然会变成一匹狼，去攻击人类。”说着他就开始打第二个哈欠，又发出了狼一般的嚎叫声，跟第一次一样。旅店老板听完小偷的故事，信以为真，便大惊失色，起身打算逃跑。小偷抓住他的外套，恳求他留下来，说道：“请等等，先生，请抓住我的衣服，否则等我变成狼时，我会一气之下把它们撕得粉碎。”与此同时，他打了第三个哈欠，发出了恐怖的嚎叫声。旅店老板吓坏了，唯恐自己受到攻击，便把自己的新外套留在小偷手里，飞快地跑进旅店躲避去了。小偷带着这件外套溜掉了，再也没有回过旅店。","A Thief hired a room in a tavern and stayed a while in the hope of stealing something which should enable him to pay his reckoning.When he had waited some days in vain, he saw the Innkeeper dressed in a new and handsome coat and sitting before his door.The Thief sat down beside him and talked with him.As the conversation began to flag, the Thief yawned terribly and at the same time howled like a wolf.The Innkeeper said, “Why do you howl so fearfully?’ “I will tell you,” said the Thief, “but first let me ask you to hold my clothes, or I shall tear them to pieces.I know not, sir, when I got this habit of yawning, nor whether these attacks of howling were inflicted on me as a judgment for my crimes, or for any other cause; but this I do know, that when I yawn for the third time, I actually turn into a wolf and attack men.”With this speech he commenced a second fit of yawning and again howled like a wolf, as he had at first.The Innkeeper, hearing his tale and believing what he said, became greatly alarmed and, rising from his seat, attempted to run away. The Thief laid hold of his coat and entreated him to stop, saying, “Pray wait, sir, and hold my clothes, or I shall tear them to pieces in my fury, when I turn into a wolf.”At the same moment he yawned the third time and set up a terrible howl.The Innkeeper, frightened lest he should be attacked, left his new coat in the Thief’s hand and ran as fast as he could into the inn for safety.The Thief made off with the coat and did not return again to the inn."
"并非每个故事都是可信的。","Every tale is not to be believed."
"骡子","The Mule "
"一头骡子因没有多少活干，谷物又特别多，感觉很是快活，便放肆地四处飞奔。他自言自语道：“我的父亲一定是一匹很勇猛的赛马，而我肯定继承了他的速度和勇气。”第二天，他被赶着走了一段很长的路，疲惫不堪。他闷闷不乐地大声说道：“我一定是弄错了，可能我的父亲终究只是一头驴吧。”","A Mule, frolicsome from lack of work and from too much corn, galloped about in a very extravagant manner, and said to himself: “My father surely was a high-mettled racer, and I am his own child in speed and spirit.”On the next day, being driven a long journey, and feeling very wearied, he exclaimed in a disconsolate tone: “I must have made a mistake; my father, after all, could have been only an ass.”"
"公鹿和藤蔓","The Hart and the Vine "
"一只公鹿被穷追不舍，便藏到一条藤蔓的大叶子下面。匆忙中，猎人们越过了公鹿的藏身之处。公鹿以为所有的危险都已过去，便开始慢慢啃噬藤蔓。其中一个猎人听到叶子沙沙作响，便回头看，发现了这只公鹿。于是他拉开弓，一箭射中了它。 公鹿临死时叹息道：“我活该如此，我不该伤害救了我的藤蔓啊。”","A Hart hard pressed in the chase, hid himself beneath the large leaves of a Vine.The huntsmen, in their haste, overshot the place of his concealment.Supposing all danger to have passed, the Hart began to nibble the tendrils of the Vine.One of the huntsmen, attracted by the rustling of the leaves, looked back, and seeing the Hart, shot an arrow from his bow and struck it.The Hart, at the point of death, groaned: “I am rightly served, for I should not have maltreated the Vine that saved me.”"
"蛇和鹰","The Serpent and the Eagle "
"一条蛇和一只鹰正在进行一场殊死搏斗。蛇占了上风，马上就要把鹰勒死了。一个农夫看到这一情景，便跑过去，解开了盘绕着的蛇，让鹰飞走了。由于猎物跑掉了，蛇很愤怒，便把自己的毒液投到了农夫的角杯里。农夫对危险一无所知。他正要喝酒时，那只鹰用翅膀拍打农夫的手，用爪子抓起角杯，把它带到了高空中。","A Serpent and an Eagle were struggling with each other in deadly conflict.The Serpent had the advantage, and was about to strangle the bird.A countryman saw them, and running up, loosed the coil of the Serpent and let the Eagle go free.The Serpent, irritated at the escape of his prey, injected his poison into the drinking horn of the countryman.The rustic, ignorant of his danger, was about to drink, when the Eagle struck his hand with his wing, and, seizing the drinking horn in his talons, carried it aloft."
"乌鸦和水罐","The Crow and the Pitcher "
"一只快要渴死的乌鸦看到一个水罐，希望能够找到水喝，就高兴地飞了过去。等他飞过去，却不幸地发现里面的水太浅了，他是不可能够到的。乌鸦尝试用各种他能想到的办法好喝到水，但所有的努力都是白费。最后，他将能搬动的石子都堆积到一起，然后用嘴把石头一块块地叼进水罐中，直到水升到他能够喝到为止。就这样，乌鸦终于得救了。","A Crow perishing with thirst saw a pitcher, and hoping to find water, flew to it with delight.When he reached it, he discovered to his grief that it contained so little water that he could not possibly get at it.He tried everything he could think of to reach the water, but all his efforts were in vain.At last he collected as many stones as he could carry and dropped them one by one with his beak into the pitcher, until he brought the water within his reach and thus saved his life."
"需要是发明之母。","Necessity is the mother of invention."
"两只青蛙","The Two Frogs "
"两只青蛙毗邻而居。一只住在深水塘里，远离公众视线；另一只则住在浅水沟里，一条乡间小路穿行其间。住在深水塘里的青蛙劝他的朋友换个住处，并请求他来跟自己一起住。说这样他可以远离危险、更加安全，食物也更为充足。住在浅水沟里的那只青蛙拒绝了，因为他觉得离开自己已经住惯了的地方实在太难了。几天后，一辆大马车经过水沟，把他碾死在了车轮之下。","Two Frogs were neighbors.One inhabited a deep pond, far removed from public view; the other lived in a gully containing little water, and traversed by a country road.The Frog that lived in the pond warned his friend to change his residence and entreated him to come and live with him, saying that he would enjoy greater safety from danger and more abundant food.The other refused, saying that he felt it so very hard to leave a place to which he had become accustomed.A few days afterwards a heavy wagon passed through the gully and crushed him to death under its wheels."
"固执的人将为自己的固执付出代价。","A willful man will have his way to his own hurt."
"狼和狐狸","The Wolf and the Fox"
"从前，狼群中诞生了一匹身形高大、体格强壮的狼。他的力量、体格、速度都超过了他的同类，因此其他狼一致决定叫他“狮子”。这匹狼对自己超大号的身形比例缺乏认识，以为其他狼是很认真地给他取了这个称号。于是，他离开自己的种群，只和狮子们来往。一只狡猾的老狐狸见此，说道：“但愿我永远也不要像你那样骄傲、自大得可笑。虽然你在狼群中有狮子一般的身形，但在狮群中，你无疑还是一匹狼啊。”","One time a very large and strong Wolf was born among the wolves, who exceeded all his fellow-wolves in strength, size, and swiftness, so that they unanimously decided to call him “Lion.”The Wolf, with a lack of sense proportioned to his enormous size, thought that they gave him this name in earnest, and, leaving his own race, consorted exclusively with the lions.An old sly Fox, seeing this, said, “May I never make myself so ridiculous as you do in your pride and self-conceit; for even though you have the size of a lion among wolves, in a herd of lions you are definitely a wolf.”"
