"福尔摩斯谢幕演出","His Last Bow"
"“他们怎么能查到斯坦纳呢？”他喃喃自语。“这可是迄今为止最大的打击了。”","“How could they have got on to Steiner?” he muttered. “That’s the worst blow yet.”"
"“咳，差一点儿还有更大的呢，按我看，他们就快查到我头上了。 ”","“Well, you nearly had a worse one, for i believe they are not far off me.”"
"“不会吧！”","“You don’t mean that!”"
"“不会才怪。我在弗拉顿[^17]那边的房东太太受到了警察的盘问，听说这件事情之后，我就知道自个儿的动作得快点儿啦。可是，先生，我倒想问一问，警察是怎么知道这些事情的呢？从我开始帮你做事的时候算起，到斯坦纳失手为止，你已经折了五个人，而我也知道，我要不赶紧跑的话，第六个会是谁。这事情你打算怎么解释呢，看着你的人这么纷纷倒下，你不觉得丢脸吗？”","“Sure thing. My landlady down Fratton way had some inquiries, and when I heard of it I guessed it was time for me to hustle. But what I want to know, mister, is how the coppers know these things? Steiner is the fifth man you’ve lost since i signed on with you, and i know the name of the sixth if i don’t get a move on. How do you explain it, and ain’t you ashamed to see your men go down like this?”"
"冯·博克的脸涨得通红。","Von Bork flushed crimson."
"“你哪来的胆子，怎么敢说这种话！”","“How dare you speak in such a way!”"
"“我要是没有胆子，也就不会帮你做事啦。不过，我这就跟你实打实地讲讲心里话吧。我听人家说，一旦一名情报员完成了自己的任务，你们那些德国政客是不怕过河拆桥的。”","“If I didn’t dare things, mister, i wouldn’t be in your service. But I’ll tell you straight what is in my mind. I’ve heard that with you German politicians when an agent has done his work you are not sorry to see him put away.”"
"冯·博克跳了起来。","Von Bork sprang to his feet."
"“你居然敢说我出卖自己的情报员！”","“Do you dare to suggest that i have given away my own agents!”"
"“我倒不是这个意思，先生，不过呢，某个地方肯定有一只囮子，或者是一个骗局，具体是什么地方，得靠你自己去查清楚。不管怎么样，我是不想再玩儿命啦。我打算去那个巴掌大的荷兰[^17]，越快越好。”","“I don’t stand for that, mister, but there’s a stool pigeon or a cross somewhere, and it’s up to you to find out where it is. Anyhow I am taking no more chances. it’s me for little Holland, and the sooner the better.”"
"冯·博克压住了自己的怒火。","Von Bork had mastered his anger."
"“咱们做了这么久的盟友，怎么也不能在这个胜利的时刻伤和气，”他说道，“你干得非常漂亮，冒的风险也不少，这些我是不会忘记的。你当然可以去荷兰，还可以从鹿特丹坐船去纽约。一周之后，其他的航线就都不安全了。把那个本子给我，我好把它跟其他东西一起打包。”","“We have been allies too long to quarrel now at the very hour of victory,” he said. “You’ve done splendid work and taken risks, and I can’t forget it. By all means go to Holland, and you can get a boat from Rotterdam to new York. no other line will be safe a week from now. I’ll take that book and pack it with the rest.”"
"美国人把纸包拿在手里，并没有交出去的意思。","The American held the small parcel in his hand, but made no motion to give it up."
"“银子呢？”他问道。","“What about the dough?” he asked."
"“什么？”","“The what?”"
"“我说的就是油水，就是赏金，就是那五百镑。临到最后关头，那个炮手的态度下流得要命，我额外加了一百块才把他摆平，不然的话，你跟我都得玩儿完。他跟我说什么‘给多少也不成！’而且是来真的，不过，加了一百块之后，事情还是成了。这东西前前后后花了我两百镑，所以呢，我那份儿不到手的话，我是不会把它交出去的。”","“The boodle. The reward. The £500. The gunner turned damned nasty at the last, and i had to square him with an extra hundred dollars or it would have been nitsky for you and me. ‘nothin’ doin’!’ says he, and he meant it, too, but the last hundred did it. it’s cost me two hundred pound from first to last, so it isn’t likely i’d give it up without gettin’ my wad.”"
"冯·博克不无苦涩地笑了笑。“看样子，你对我的信用评价不高啊，”他说道，“非得见到我的钱才肯给本子。”","Von Bork smiled with some bitterness. “You don’t seem to have a very high opinion of my honour,” said he, “you want the money before you give up the book.”"
"“咳，先生，生意就是生意嘛。”","“Well, mister, it is a business proposition.”"
"“好吧，就按你说的办。”他坐到桌边，写好一张支票，把支票从支票簿上扯了下来，但却没有交给美国人。“说来说去，阿尔塔芒先生，咱们用的既然是生意上的规矩，”他说道，“你信任我几分，我也只能信任你几分。听明白了吗？”他补了一句，回头看着美国人。“支票就摆在桌子上。你把钱拿走之前，我要求验一验你的包裹。”","“All right. Have your way.” He sat down at the table and scribbled a check, which he tore from the book, but he refrained from handing it to his companion. “After all, since we are to be on such terms, Mr. Altamont,” said he, “i don’t see why i should trust you any more than you trust me. Do you understand?” he added, looking back over his shoulder at the American. “There’s the check upon the table. i claim the right to examine that parcel before you pick the money up.”"
"美国人二话不说，直接把纸包递了过去。冯·博克解开一圈儿绳子，又拆掉两层包装纸，跟着就看到一本蓝色的小册子，一下子目瞪口呆地愣在了那里。小册子的封皮上印着一行金字：养蜂实用手册。谍报大师直勾勾地盯着这个离题万里的书名，愣神也不过是一瞬间的事情。下一个瞬间，一只铁钳似的手已经抓住了他的后颈，一块浸过氯仿的海绵也已经捂住了他扭曲变形的脸。","The American passed it over without a word. Von Bork undid a winding of string and two wrappers of paper. Then he sat gazing for a moment in silent amazement at a small blue book which lay before him. Across the cover was printed in golden letters *Practical Handbook of Bee Culture*. only for one instant did the master spy glare at this strangely irrelevant inscription. The next he was gripped at the back of his neck by a grasp of iron, and a chloroformed sponge was held in front of his writhing face."
"“再来一杯，华生！”歇洛克·福尔摩斯先生一边说[^19]，一边把那瓶帝国托考依葡萄酒[^20]伸了过去。","“Another glass, Watson!” said Mr. Sherlock Holmes as he extended the bottle of imperial Tokay."
"车里那个身形壮硕的司机已经坐在了桌子旁边，这会儿便迫不及待地递上了自己的杯子。","The thickset chauffeur, who had seated himself by the table, pushed forward his glass with some eagerness."
"“好酒啊，福尔摩斯。”","“it is a good wine, Holmes.”"
"“还不是一般的好酒哩，华生。躺在沙发上的这位朋友信誓旦旦地告诉我，这瓶酒来自弗朗茨·约瑟夫的美泉宫酒窖[^21]。麻烦你把窗子打开，挥发的氯仿可增加不了美酒的风味。 ”","“A remarkable wine, Watson. our friend upon the sofa has assured me that it is from Franz Josef ’s special cellar at the Schoenbrunn Palace. Might i trouble you to open the window, for chloroform vapour does not help the palate.”"
"福尔摩斯站在柜门半开的保险柜跟前，把柜子里的卷宗一个一个地往外拿，先是飞快地检查一遍，再把它们整整齐齐地码进冯·博克的那个皮箱。德国人躺在沙发上，鼾声如雷，一根皮带缚住了他的双臂，另一根缚住了他的双腿。","The safe was ajar, and Holmes standing in front of it was removing dossier after dossier, swiftly examining each, and then packing it neatly in Von Bork’s valise. The German lay upon the sofa sleeping stertorously with a strap round his upper arms and another round his legs."
"“咱们不用着急，华生。没人会来打搅咱们。你摁一下唤人铃，好吗？这屋里没有别人，只有老玛莎，她的表现棒极啦。刚刚接到这项任务，我就把她安插到了这里。噢，玛莎，告诉你一个好消息，一切都很顺利。”","“We need not hurry ourselves, Watson. We are safe from interruption. Would you mind touching the bell? There is no one in the house except old Martha, who has played her part to admiration. i got her the situation here when first i took the matter up. Ah, Martha, you will be glad to hear that all is well.”"
"喜气洋洋的老夫人已经出现在了门口，这会儿便微笑着冲福尔摩斯先生深施一礼，跟着又不无忧虑地瞥了一眼沙发上的人。","The pleasant old lady had appeared in the doorway. She curtseyed with a smile to Mr. Holmes, but glanced with some apprehension at the figure upon the sofa."
"“没事的，玛莎。他一点儿事儿也没有。”","“It is all right, Martha. He has not been hurt at all.”"
"“那就好，福尔摩斯先生。按他自个儿的标准看，他也算是个好东家。昨天他还打算让我跟他妻子一起去德国哩，可是，那样就跟您的计划对不上了，对吧，先生？”","“I’m glad of that, Mr. Holmes. According to his lights he has been a kind master. He wanted me to go with his wife to Germany yesterday, but that would hardly have suited your plans, would it, sir?”"
"“确实对不上，玛莎。你不在这儿，我怎么能放心呢。今天晚上，我们等了好一会儿才等到你的信号。”","“No, indeed, Martha. So long as you were here i was easy in my mind. We waited some time for your signal to-night.”"
"“因为那个秘书在这儿，先生。”","“It was the secretary, sir.”"
"“我知道，路上我们碰见了他的车。”","“I know. His car passed ours.”"
"“我还以为他打算赖着不走呢，而且我知道，他要是在这儿的话，也跟您的计划对不上。”","“I thought he would never go. i knew that it would not suit your plans, sir, to find him here.”"
"“确实对不上。还好，只等了半个钟头，我们就看到你的灯灭了，由此知道障碍已经扫清。你明天再向我汇报吧，玛莎，到伦敦的克拉里奇酒店[^22]去找我。 ”","“No, indeed. Well, it only meant that we waited half an hour or so until I saw your lamp go out and knew that the coast was clear. You can report to me to-morrow in london, Martha, at Claridge’s Hotel.”"
"“好的，先生。”","“Very good, sir.”"
"“你已经收拾好了吧。”","“I suppose you have everything ready to leave.”"
"“是的，先生。今天他发了七封信，我照常把收信人的地址记了下来。”","“Yes, sir. He posted seven letters to-day. i have the addresses as usual.”"
"“好极了，玛莎，明天我再看吧。晚安。这些文件，”老夫人离开之后，他接着说道，“都没有什么特别大的价值，原因嘛，可想而知，他早就已经把文件里的情报交给了德国政府。这些都是情报的原件，往国外送是不安全的。”","“Very good, Martha. i will look into them to-morrow. Good-night. These papers,” he continued as the old lady vanished, “are not of very great importance, for, of course, the information which they represent has been sent off long ago to the German government. These are the originals which could not safely be got out of the country.”"
"“照你这么说，这些文件都只是废纸而已。”","“Then they are of no use.”"
"“我倒不会说得这么绝对，华生。它们至少可以告诉咱们，哪些事情他们知道，哪些又不知道。告诉你吧，很多文件都是我给他的，不用我说，你也知道它们完全靠不住。要是能看到一艘德国巡洋舰按照我提供的雷区海图驶入索伦特海峡[^23]，一定会让我的暮年增辉添彩。还有你，华生”——他停下手头的工作，抓住了老友的双肩——“我还没在灯光之下好好地瞧瞧你呢。这些年你过得怎么样啊？看样子，你还是当初那个轻松快活的小伙计嘛。”","“I should not go so far as to say that, Watson. They will at least show our people what is known and what is not. i may say that a good many of these papers have come through me, and i need not add are thoroughly untrustworthy. it would brighten my declining years to see a German cruiser navigating the Solent according to the mine-field plans which I have furnished. But you, Watson”—he stopped his work and took his old friend by the shoulders—“I’ve hardly seen you in the light yet. How have the years used you? You look the same blithe boy as ever.”"
"“我觉得自己年轻了二十岁，福尔摩斯。你发电报让我开车到哈里奇去找你，我这辈子还很少像收到电报的时候那么高兴。说说你吧，福尔摩斯，你的样子也没怎么变，除了那一撮难看的山羊胡子之外。”","“I feel twenty years younger, Holmes. i have seldom felt so happy as when I got your wire asking me to meet you at Harwich with the car. But you, Holmes- you have changed very little- save for that horrible goatee.”"
"“为了自己的祖国，这样的牺牲在所难免，华生，”福尔摩斯一边说，一边捋了捋自己的小山羊胡子。“等到明天，山羊胡子就只是一种不愉快的回忆啦。只需要理个发，再做一点儿皮面工夫，明天我肯定会焕然一新地出现在克拉里奇酒店，恢复我在这个美国花样——对不起，华生，我的英语辞源似乎已经遭受了永久性的污染——这个美国角色找上门来之前的模样。”","“These are the sacrifices one makes for one’s country, Watson,” said Holmes, pulling at his little tuft. “To-morrow it will be but a dreadful memory. With my hair cut and a few other superficial changes I shall no doubt reappear at Claridge’s to-morrow as i was before this American stunt—i beg your pardon, Watson, my well of English seems to be permanently defiled—before this American job came my way.”"
"“可你已经退休了啊，福尔摩斯。我们都听说你躲进了南部丘陵[^24]的一个小农庄，过起了与蜜蜂和书籍为伴的隐士生活。”","“But you have retired, Holmes. We heard of you as living the life of a hermit among your bees and your books in a small farm upon the South Downs.”"
"“一点儿不错，华生。这就是我悠闲岁月的硕果、我近些年里的力作！”他拿起桌上的那本小册子，念出了完整的书名：养蜂实用手册——兼论隔离蜂王的技巧。“书是我独力完成的。我拿出当初观察伦敦犯罪阶层的劲头，细细地观察那些辛勤劳作的小小族群，度过了一个个忙忙碌碌的白天、一个个苦思冥想的夜晚。瞧瞧吧，这就是我日夜辛劳换来的果实。”","“Exactly, Watson. Here is the fruit of my leisured ease, the *magnum opus* of my latter years!” He picked up the volume from the table and read out the whole title, *Practical Handbook of Bee Culture, with Some Observations upon the Segregation of the Queen*. “Alone i did it. Behold the fruit of pensive nights and laborious days when i watched the little working gangs as once i watched the criminal world of london.”"
"“可你怎么会重操旧业呢？”","“But how did you get to work again?”"
"“这个嘛，我自个儿也经常觉得奇怪哩。单是外交大臣的话，我还可以敷衍过去，可是，首相大人竟然也屈尊踏进了我的陋室——！是这样，华生，沙发上的这位先生是个独一无二的人物，好得让我国人民有点儿受不了。我们的事情出了不少岔子，谁也找不到出岔子的原因。政府盯上了一些间谍，甚至还抓了几个，种种迹象却表明，那些人的背后有一个强有力的隐秘主脑。政府无论如何也得把那个主脑挖出来，于是就强烈敦促我展开调查。调查工作花了我整整两年的时间，华生，过程倒也不能说是平淡乏味。我首先去了芝加哥，又在布法罗混进了爱尔兰人的一个秘密帮会，还给斯基伯林[^25]的警方添了很大的麻烦，这才让冯·博克手下的一名情报员觉得我是个合适的人选、把我推荐给了冯·博克。听了这些，你想必已经明白，这件事情确实是非常复杂。打那以后，冯·博克对我信任有加，令我倍感荣幸，可这并不能阻止他的大多数计划出现不易觉察的问题、不能阻止他那五个最能干的情报员锒铛入狱。我密切地观察着他们的长势，华生，成熟一个我就摘一个。呃，先生，你没事吧！”","“Ah, i have often marvelled at it myself. The Foreign Minister alone I could have withstood, but when the Premier also deigned to visit my humble roof——! The fact is, Watson, that this gentleman upon the sofa was a bit too good for our people. He was in a class by himself. Things were going wrong, and no one could understand why they were going wrong. Agents were suspected or even caught, but there was evidence of some strong and secret central force. it was absolutely necessary to expose it. Strong pressure was brought upon me to look into the matter. It has cost me two years, Watson, but they have not been devoid of excitement. When I say that i started my pilgrimage at Chicago, graduated in an irish secret society at Buffalo, gave serious trouble to the constabulary at Skibbareen, and so eventually caught the eye of a subordinate agent of Von Bork, who recommended me as a likely man, you will realise that the matter was complex. Since then i have been honoured by his confidence, which has not prevented most of his plans going subtly wrong and five of his best agents being in prison. I watched them, Watson, and I picked them as they ripened. Well, sir, I hope that you are none the worse!”"
"最后一句话是冲冯·博克说的，后者又是抽凉气又是眨眼睛地折腾了好一阵，之后就静静地躺在那里倾听福尔摩斯的长篇大论，眼下则突然发作，嘴里迸出一连串恶狠狠的德语谩骂，一张脸也气得变了形。福尔摩斯继续飞快地检查文件，任由他的俘虏在旁边咒骂不停。","The last remark was addressed to Von Bork himself, who after much gasping and blinking had lain quietly  listening to Holmes’s statement. He broke out now into a furious stream of German invective, his face convulsed with passion. Holmes continued his swift investigation of documents while his prisoner cursed and swore."
"“德语虽然没什么音乐性，但却是表达能力最强的一种语言，”冯·博克精疲力竭地住嘴之后，福尔摩斯如是品评。“嘿！嘿！”他补了一句，死死地盯着一张摹印图纸的边角看了一阵，然后才把图纸放进盒子。“这张图纸应该可以把另一只鸟儿送进笼子。虽然我早就盯上了这个主计官，可我真没想到，他竟然下流到这种程度。冯·博克先生，你可真是作恶多端。”","“Though unmusical, German is the most expressive of all languages,” he observed when Von Bork had stopped from pure exhaustion. “Hullo! Hullo!” he added as he looked hard at the corner of a tracing before putting it in the box. “This should put another bird in the cage. i had no idea that the paymaster was such a rascal, though i have long had an eye upon him. Mister Von Bork, you have a great deal to answer for.”"
"俘虏已经挣扎着从沙发上支起了身子，这会儿正直勾勾地盯着福尔摩斯，用的是一种混合着惊愕与仇恨的古怪眼神。","The prisoner had raised himself with some difficulty upon the sofa and was staring with a strange mixture of amazement and hatred at his captor."
"“我会从你身上找回来的，阿尔塔芒，”他一字一顿地说道，“哪怕得花一辈子的时间，我也要从你身上找回来！”","“I shall get level with you, Altamont,” he said, speaking with slow deliberation. “if it takes me all my life i shall get level with you!”"
"“老掉牙的情歌又来了，”福尔摩斯说道，“过去的日子里，我早就听腻了啊。这是不幸去世的莫里亚蒂教授最钟爱的小曲儿，塞巴斯蒂安·莫兰上校也喜欢哼哼两句[^26]，然而，时至今日，我不还是好端端地在南部丘陵养蜜蜂嘛。”","“The old sweet song,” said Holmes. “How often have i heard it in days gone by. it was a favourite ditty of the late lamented Professor Moriarty. Colonel Sebastian Moran has also been known to warble it. And yet i live and keep bees upon the South Downs.”"
"“不得好死，你这个双料叛徒！”德国人嚷道，使劲儿想挣开身上的绑缚，眼睛里燃着杀气腾腾的怒火。","“Curse you, you double traitor!” cried the German, straining against his bonds and glaring murder from his furious eyes."
"“不，不对，我没有你说的那么坏，”福尔摩斯笑着说道，“听了我刚才的话，你肯定已经明白，芝加哥的阿尔塔芒先生实际上是个子虚乌有的人物。我用过他一段时间，眼下他已经消失啦。”","“No, no, it is not so bad as that,” said Holmes, smiling. “As my speech surely shows you, Mr. Altamont of Chicago had no existence in fact. I used him and he is gone.”"
"“那你到底是谁？”","“Then who are you?”"
"“说真的，我是谁都无所谓，不过，冯·博克先生，既然你好像对这个问题有点儿兴趣，那我不妨告诉你，这并不是我第一次跟你们家的人打交道。我在德国经办过不少业务，你多半听说过我的名字。”","“It is really immaterial who i am, but since the matter seems to interest you, Mr. Von Bork, i may say that this is not my first acquaintance with the members of your family. I have done a good deal of business in Germany in the past and my name is probably familiar to you.”"
"“我倒是很想听一听，”普鲁士人恶狠狠地说道。","“I would wish to know it,” said the Prussian grimly."
"“是我让艾琳 ·阿德勒不再纠缠前波希米亚国王[^27]，那时你表兄海因里希正在担任帝国公使，也是我，让你母亲的兄长格拉芬斯坦伯爵逃脱了无政府主义分子克洛普曼的谋杀阴谋，还是我——”","“It was i who brought about the separation between irene Adler and the late King of Bohemia when your cousin Heinrich was the imperial Envoy. it was i also who saved from murder, by the nihilist Klopman, Count Von und Zu Grafenstein, who was your mother’s elder brother. It was I—”"
"冯·博克惊得坐了起来。","Von Bork sat up in amazement."
"“那你只可能是那个人，”他嚷了一声。","“There is only one man,” he cried."
"“没错，”福尔摩斯说道。","“Exactly,” said Holmes."
"冯·博克哀叹一声，倒回了沙发上。“可我的大多数情报都是从你那里来的，”他叫了起来，“那些东西能有什么价值呢？我的工作又算什么呢？我可算是彻底完蛋了！”","Von Bork groaned and sank back on the sofa. “And most of that information came through you,” he cried. “What is it worth? What have I done? it is my ruin forever!”"
"“那些东西确实有点儿靠不住，”福尔摩斯说道，“不核对一下是不行的，可你们已经没有核对的时间啦。你们的海军司令将会发现，跟他的预计相比，我们的新式火炮大了不少，巡洋舰的速度兴许也快了那么一点点。”","“It is certainly a little untrustworthy,” said Holmes. “it will require some checking and you have little time to check it. Your admiral may find the new guns rather larger than he expects, and the cruisers perhaps a trifle faster.”"
"冯·博克绝望地扼住了自己的咽喉。","Von Bork clutched at his own throat in despair."
"“毫无疑问，你们会在适当的时候发现，还有很多细节也不符合事实。不过，冯·博克先生，你拥有一个绝大多数德国人都没有的长处，那就是公平竞技的精神。你让那么多的人上了当，到最后，你自个儿也上了别人的当，认识到这一点，你想必不会对我怀恨在心。说到底，你为你的国家尽了力，我也为我的国家尽了力，这样的事情不是再正常不过了吗？还有啊，”他伸手拍了拍这个颓唐败将的肩膀，好声好气地补了一句，“这样总比栽在某个下作对头的手里要强吧。文件已经收拾好了，华生。麻烦你帮我把俘虏抬出去，咱们这就可以往伦敦进发了。”","“There are a good many other points of detail which will, no doubt, come to light in good time. But you have one quality which is very rare in a German, Mr. Von Bork: you are a sportsman and you will bear me no ill-will when you realise that you, who have outwitted so many other people, have at last been outwitted yourself. After all, you have done your best for your country, and i have done my best for mine, and what could be more natural? Besides,” he added, not unkindly, as he laid his hand upon the shoulder of the prostrate man, “it is better than to fall before some more ignoble foe. These papers are now ready, Watson. If you will help me with our prisoner, I think that we may get started for London at once.”"
"要把冯·博克抬出去可不是那么容易，因为他身强力壮，眼下又被逼到了绝境。到最后，两个朋友一人抓住他一只胳膊，推着他顺着那条花园小径往外走，速度缓慢之极。短短几个钟头之前，他还在同一条小径上豪情万丈地高视阔步、接受那位著名外交家的祝贺呢。经过一场短暂的最后格斗之后，两个朋友把手脚依然绑着皮带的冯·博克放在了那辆小型轿车的空座上，又把他那个宝贝箱子塞在了他的身旁。","It was no easy task to move Von Bork, for he was a strong and a desperate man. Finally, holding either arm, the too friends walked him very slowly down the garden walk which he had trod with such proud confidence when he received the congratulations of the famous diplomatist only a few hours before. After a short, final struggle he was hoisted, still bound hand and foot, into the spare seat of the little car. His precious valise was wedged in beside him."
"“依我看，按眼下的条件来说，这样已经是最舒服的啦，”安排停当之后，福尔摩斯说道，“我要是点支雪茄送到你嘴里的话，你不会觉得我太放肆吧？”","“I trust that you are as comfortable as circumstances permit,” said Holmes when the final arrangements were made. “Should i be guilty of a liberty if i lit a cigar and placed it between your lips?”"
"不过，什么样的照顾也安抚不了那个怒不可遏的德国人。","But all amenities were wasted upon the angry German."
"“我觉得你应该知道，歇洛克·福尔摩斯先生，”他说道，“如果你们的政府支持你这么干的话，那就是一种战争行为。”","“I suppose you realise, Mr. Sherlock Holmes,” said he, “that if your government bears you out in this treatment it becomes an act of war.”"
"“你们政府的态度，还有你干的这些事情，又该怎么解释呢？”福尔摩斯说道，敲了敲那个箱子。","“What about your government and all this treatment?” said Holmes, tapping the valise."
"“你只能代表你自己，没有权力逮捕我，整件事情绝对是法理难容、令人发指。”","“You are a private individual. You have no warrant for my arrest. The whole proceeding is absolutely illegal and outrageous.”"
"“绝对是这样。”","“Absolutely,” said Holmes."
"“绑架德国公民。”","“Kidnapping a German subject.”"
"“并且盗窃他的私人文件。”","“And stealing his private papers.”"
"“嗬，你倒也明白你们干了些什么事情，你，还有你这个同伙。从村子里经过的时候，我要是高声呼救的话——”","“Well, you realise your position, you and your accomplice here. If I were to shout for help as we pass through the village—”"
"“亲爱的先生，你要是做出这等蠢事的话，多半就会给我国那些名字缺乏变化的乡村旅馆增添一个新的选择，让它们可以挂出一块招牌，‘吊着的普鲁士人’。英格兰人虽然很有耐性，眼下却有点儿着急上火，所以呢，你最好不要把他们逼得太狠。不行的，冯·博克先生，你还是放明白点儿，老老实实地跟我们去苏格兰场吧。到了那里之后，你可以跟你的朋友冯·赫林男爵联系，看看你是否依然可以得到他为你保留的那个使馆随员席位。至于你，华生，我听说你打算重操军医旧业，跟我们并肩战斗，这样看来，你去伦敦也是顺路。跟我一起在露台上待会儿吧，说不定，咱们再也没机会平平静静地交谈啦。”","“My dear sir, if you did anything so foolish you would probably enlarge the too limited titles of our village inns by giving us ‘The Dangling Prussian’ as a signpost. The Englishman is a patient creature, but at present his temper is a little inflamed, and it would be as well not to try him too far. no, Mr. Von Bork, you will go with us in a quiet, sensible fashion to Scotland Yard, whence you can send for your friend, Baron Von Herling, and see if even now you may not fill that place which he has reserved for you in the ambassadorial suite. As to you, Watson, you are joining us with your old service, as i understand, so London won’t be out of your way. Stand with me here upon the terrace, for it may be the last quiet talk that we shall ever have.”"
"两个朋友亲密地交谈了几分钟，光景宛如昨日，他们的俘虏则在车里扭来扭去，徒劳地想要挣开身上的绑缚。两个朋友转身走向轿车的时候，福尔摩斯回头指了指洒满月光的海面，若有所思地摇了摇头。","The two friends chatted in intimate converse for a few minutes, recalling once again the days of the past, while their prisoner vainly wriggled to undo the bonds that held him. As they turned to the car Holmes pointed back to the moonlit sea and shook a thoughtful head."
"“要刮东风啦，华生。”","“There’s an east wind coming, Watson.”"
"“我觉得不会，福尔摩斯。天气暖和得很啊。”","“I think not, Holmes. it is very warm.”"
"“华生老兄！这年月什么都在变，唯有你屹立依然。不管你觉得会不会，东风终归要来，而且是英格兰从来不曾见过的暴风。这阵风定然寒冷彻骨，华生，我们当中有许多人都会在风中枯萎凋谢。即便如此，这阵风依然是出自上帝的意愿，风暴平息之后，沐浴在阳光之下的将会是一片更加洁净、更加美好、更加坚实的土地。发动汽车吧，华生，咱们该上路了。我这儿有一张五百镑的支票，最好是早点儿兑现为妙，因为开支票的人多半干得出止付的事情，如果他办得到的话。”","“Good old Watson! You are the one fixed point in a changing age. There’s an east wind coming all the same, such a wind as never blew on England yet. it will be cold and bitter, Watson, and a good many of us may wither before its blast. But it’s God’s own wind none the less, and a cleaner, better, stronger land will lie in the sunshine when the storm has cleared. Start her up, Watson, for it’s time that we were on our way. i have a check for five hundred pounds which should be cashed early, for the drawer is quite capable of stopping it if he can.”"
