"风险家","The Venturers"
"这时，玛丽·马斯登从楼上走了下来，进入了房间。她二十四岁，至于模样由你自己去想象吧。但是我必须说的是：年轻、健康、单纯、勇敢、绿紫色的大眼睛是美丽的象征，而这一切她都完全具备。她带着老朋友的甜蜜和真诚向艾夫斯伸出手来。","And then down the stairs and into the room came Mary Marsden.She was twenty-four, and I leave her to your imagination.But I must say this much—youth and health and simplicity and courage and greenish-violet eyes are beautiful, and she had all these.She gave Ives her hand with the sweet cordiality of an old friendship."
"“每三年左右你才会来一次，”她说，“你难以想象我有多高兴。”","“You can’t think what a pleasure it is,” she said, “to have you drop in once every three years or so.”"
"他们在一起谈了半个小时。我承认我不能够复述他们的谈话。那些话你可以在收费租书的图书馆里看到。谈完后，玛丽说：","For half an hour they talked.I confess that I cannot repeat the conversation.You will find it in books in the circulating library.When that part of it was over, Mary said: "
"“你在国外找到了你想要的东西了吗？”","“And did you find what you wanted while you were abroad?”"
"“我想要的东西？”艾夫斯说。","“What I wanted?” said Ives."
"“是的，你知道你的性格一向怪异。甚至小的时候你不爱玩弹球、棒球或是其他一些有规则的游戏。你喜欢跳进连你自己都不知道是十英寸还是十英尺深的水里。长大以后你还是一样。我们常常在一起谈论你的怪癖。”","“Yes.You know you were always queer.Even as a boy you wouldn’t play marbles or baseball or any game with rules.You wanted to dive in water where you didn’t know whether it was ten inches or ten feet deep.And when you grew up you were just the same.We’ve often talked about your peculiar ways.”"
"“我想我是无可救药了，”艾夫斯说，“我反对命运教条，反对比例的运算守则，反对引力定律，反对征税等诸如此类的事情。生活对我来说就像是连载的小说，只不过每一期都会登出后期的摘要。”","“I suppose I am an incorrigible,” said Ives.“I am opposed to the doctrine of predestination, to the rule of three, gravitation, taxation, and everything of the kind.Life has always seemed to me something like a serial story would be if they printed above each instalment a synopsis of succeeding chapters.”"
"玛丽开心地笑了笑。","Mary laughed merrily."
"“有一次，鲍勃·埃姆斯跟我们讲了一件你做的趣事，”她说，“那时你们俩在南方乘火车，你突然在一个本不打算停留的城镇下车，仅仅是因为司匣员挂出了下一站站名的牌子。”","“Bob Ames told us once,” she said, “of a funny thing you did.It was when you and he were on a train in the South, and you got off at a town where you hadn’t intended to stop just because the brakeman hung up a sign in the end of the car with the name of the next station on it.”"
"“我记起来了，”艾夫斯说，“我总是要逃脱那个‘下一站’。”","“I remember,” said Ives.“That ‘next station’ has been the thing I’ve always tried to get away from.”"
"“我知道，”玛丽说，“你一直很傻。我希望在这三年里你没有碰到你不想找的东西，或者没有在根本不存在的站点下车，也没有遇到你期待发生的事情。”","“I know it,” said Mary.“And you’ve been very foolish.I hope you didn’t find what you wanted not to find, or get off at the station where there wasn’t any, or whatever it was you expected wouldn’t happen to you during the three years you’ve been away.”"
"“在我离开之前我还想要一样东西。”艾夫斯说。","“There was something I wanted before I went away,” said Ives."
"玛丽带着一丝浅浅而甜甜的笑盯着他的眼睛。","Mary looked in his eyes clearly, with a slight, but perfectly sweet smile."
"“那是，”她说，“你想要我。你应当很清楚，你早就可以得到我。”","“There was,” she said.“You wanted me.And you could have had me, as you very well know.”"
"艾夫斯没有回答，只是慢慢地扫视着整个房间。自从他三年前来到这里之后，这里没有任何变化。他清晰地回忆起他当年的想法。整个房间就像不朽的山脉一样亘古不变。除了时间和衰败这两个不可避免的原因造成的变化之外，一切还都是原封不动。银色镶嵌的相簿还放在那个桌角，那些版画依旧挂在墙上，那些椅子在每天早上、中午和晚上只要有人在的时候都会被放到老地方。黄铜的柴架是秩序和稳定的见证。到处都是一百年之前的遗迹，很多年之后都将成为鲜活的纪念物。在那个房子里来来回回的人,无需任何的怀疑和推测。他找到了他曾经留下的东西，并把他发现的东西留了下来。那个蒙着面纱的夫人，也就是机遇女神，永远不会主动叩门。","Without replying, Ives let his gaze wander slowly about the room.There had been no change in it since last he had been in it, three years before.He vividly recalled the thoughts that had been in his mind then.The contents of that room were as fixed, in their way, as the everlasting hills.No change would ever come there except the inevitable ones wrought by time and decay.That silver-mounted album would occupy that corner of that table, those pictures would hang on the walls, those chairs be found in their same places every morn and noon and night while the household hung together.The brass andirons were monuments to order and stability.Here and there were relics of a hundred years ago which were still living mementos and would be for many years to come.One going from and coming back to that house would never need to forecast or doubt.He would find what he left, and leave what he found.The veiled lady, Chance, would never lift her hand to the knocker on the outer door."
"坐在他面前的是这个房子的女主人。她清爽、甜蜜、安定。她一点儿也不会让人觉得惊讶。即使有一天她满头白发、满脸褶皱，和她共度一生的人也不会觉察到她的变化。他们分开三年了，她就像那所房子一样坚贞不渝地等着他。他很确信她曾经在乎过他。正是因为他知道她会如此执著，他才选择了离她而去。这使他的思绪有些凌乱。","And before him sat the lady who belonged in the room.Cool and sweet and unchangeable she was.She offered no surprises.If one should pass his life with her, though she might grow white-haired and wrinkled, he would never perceive the change.Three years he had been away from her, and she was still waiting for him as established and constant as the house itself.He was sure that she had once cared for him.It was the knowledge that she would always do so that had driven him away.Thus his thoughts ran."
"“我快要结婚了。”玛丽说。","“I am going to be married soon,” said Mary."
"星期四下午，福斯特匆忙赶到艾夫斯的饭店。","On the next Thursday afternoon Forster came hurriedly to Ive’s hotel."
"“老兄，”他说，“我不得不把我们的饭局推迟一年左右了；因为我就要出国了。轮船四点钟启航。那一晚愉快的谈话使我下定了决心。我将周游全世界，摆脱你我身上沉重的负担——对于即将要发生的事饱含的恐惧感。我知道我做了一件丧失良心的事；但是我知道这样做对我们都好。我已经写信给了那个和我已经订了婚的女士，并且向她解释了一切——我坦诚地告诉了她我离开的原因——单调的婚姻生活我真的无法接受。你认为我做得对吗？”","“Old man,” said he, “we’ll have to put that dinner off for a year or so; I’m going abroad.The steamer sails at four.That was a great talk we had the other night, and it decided me.I’m going to knock around the world and get rid of that incubus that has been weighing on both you and me—the terrible dread of knowing what’s going to happen.I’ve done one thing that hurts my conscience a little; but I know it’s best for both of us.I’ve written to the lady to whom I was engaged and explained everything—told her plainly why I was leaving—that the monotony of matrimony would never do for me.Don’t you think I was right?”"
"“这个我不好说，”艾夫斯回答，“如果你认为射击大象会给你的生活增添机遇，那就去吧。这些事情应当由我们自己决定。但是，福斯特，我要告诉你，我已经找到办法了。我发现了全世界最冒险的事情——一场永远没有结局的游戏，一个结果可能是九重天亦或是无底深渊的冒险。它会使一个人忐忑不安，直到棺材入土，因为他到死都不知道——甚至死了他也不会知道。这是一次没有船舵和指南针的航海，无论白天还是夜晚，你都必须自己当船长、船员，必须自己放哨，没有任何人会帮你解围。我已经找到值得冒险的事情了。福斯特，别再为离开玛丽·马斯登而烦恼了。我昨天中午就和她结婚了。”","“It is not for me to say,” answered Ives.“Go ahead and shoot elephants if you think it will bring the element of chance into your life.We’ve got to decide these things for ourselves.But I tell you one thing, Forster, I’ve found the way.I’ve found out the biggest hazard in the world—a game of chance that never is concluded, a venture that may end in the highest heaven or the blackest pit.It will keep a man on edge until the clods fall on his coffin, because he will never know—not until his last day, and not then will he know.It is a voyage without a rudder or compass, and you must be captain and crew and keep watch, every day and night, yourself, with no one to relieve you.I have found the Venture.Don’t bother yourself about leaving Mary Marsden, Forster.I married her yesterday at noon.”"
