"意外","The Unexpected"
"“但是你不知道要挖几个。”她绝望地反驳到。她注意到他有点犹豫不决，所以又说了一句：“而且，我跟你去，还能帮上点忙。”","“But you do not know how many,” she objected desperately.She noted his indecision, and added, “Besides, I’ll go with you and help.”"
"汉斯折回桌边，机械地吹灭了蜡烛。接着，他们两人开始查看屋里的情形。哈基和达基两人都死了，死状恐怖，因为开枪的距离太近了。汉斯不愿走近丹宁，伊迪丝不得已，就自己前去查看。","Hans stepped back to the table and mechanically snuffed the candle.Then between them they made the examination.Both Harkey and Dutchy were dead—frightfully dead, because of the close range of the shot-gun.Hans refused to go near Dennin, and Edith was forced to conduct this portion of the investigation by herself."
"“他还没死。”她叫汉斯说。","“He isn’t dead,” she called to Hans."
"汉斯走过来，低头看着这个杀人凶手。","He walked over and looked down at the murderer."
"“你在说什么？”伊迪丝听见丈夫的喉咙里含混地咕哝着什么，就问道。","“What did you say?”Edith demanded, having caught the rumble of inarticulate speech in her husband’s throat."
"“我说，没把他揍死，真是丢人。”这就是回答。","“I said it was a damn shame that he isn’t dead,” came the reply."
"伊迪丝弯下腰去检查丹宁。","Edith was bending over the body."
"“你躲开。”汉斯粗暴地命令道，声音很奇怪。","“Leave him alone,” Hans commanded harshly, in a strange voice."
"她突然警觉起来，看了他一眼。他拾起了丹宁丢下的猎枪，正在装填子弹。","She looked at him in sudden alarm.He had picked up the shot-gun dropped by Dennin and was thrusting in the shells."
"“你要干什么？”她大叫起来，很快直起身来。","“What are you going to do?” she cried, rising swiftly from her bending position."
"汉斯没有回答，伊迪丝只看见猎枪被举上了肩头。她抓住枪口，把枪抬高。","Hans did not answer, but she saw the shot-gun going to his shoulder.She grasped the muzzle with her hand and threw it up."
"“别管我！”他嘶哑地吼道。","“Leave me alone!” he cried hoarsely."
"他试图把枪夺过来，但是她靠得更近了，紧紧地抱住了他。","He tried to jerk the weapon away from her, but she came in closer and clung to him."
"“汉斯！汉斯！醒醒！”她大叫着，“别发疯！”","“Hans!Hans!Wake up!” she cried.“Don’t be crazy!”"
"“他杀了达基和哈基！”她的丈夫答到，“我要杀了他。”","“He killed Dutchy and Harkey!” was her husband’s reply; “and I am going to kill him.”"
"“这样做不对，”她反对说，“还有法律呢。”","“But that is wrong,” she objected.“There is the law.”"
"他冷笑一声，因为他不相信在这种地方法律还能管用；他只是毫无感情地、执拗地重复着：“他杀了达基和哈基。”","He sneered his incredulity of the law’s potency in such a region, but he merely iterated, dispassionately, doggedly, “He killed Dutchy and Harkey.”"
"她跟他争论了很久，其实也只是她在说而已，因为汉斯只是一遍又一遍地重复那句话：“他杀了达基和哈基。”但是她无法摆脱从小受的教训和骨子里生来就有的观念。她有着守法的传统，在她看来，正确的行为就是履行法律的要求。她不知道还有什么其他正义的事业可以追求。汉斯想凭他自己的手实施刑罚，这并不比丹宁的所做所为更光明正大。她觉得，两错相加不为对，只有一种办法惩罚丹宁，那就是通过社会已经安排好的法律的途径。最终，汉斯屈从了她的意见。","Long she argued it with him, but the argument was one-sided, for he contented himself with repeating again and again, “He killed Dutchy and Harkey.”But she could not escape from her childhood training nor from the blood that was in her.The heritage of law was hers, and right conduct, to her, was the fulfilment of the law.She could see no other righteous course to pursue.Hans’s taking the law in his own hands was no more justifiable than Dennin’s deed.Two wrongs did not make a right, she contended, and there was only one way to punish Dennin, and that was the legal way arranged by society.At last Hans gave in to her."
"“好吧，”他说，“照你说的办。说不定明天或者后天，他就会打死你和我。”","“All right,” he said.“Have it your own way.And to-morrow or next day look to see him kill you and me.”"
"她摇摇头，伸出手去，要他交出猎枪。他刚要伸手交枪，又迟疑了一下。","She shook her head and held out her hand for the shot-gun.He started to hand it to her, then hesitated."
"“还是让我打死他吧。”他恳求道。","“Better let me shoot him,” he pleaded."
"她摇摇头，于是，他又准备把猎枪交给她。正在这时，门打开了，一个印第安人没有敲门就闯了进来。一阵猛烈的风雪随着他刮进屋子里。两人转过头去面对着印第安人，而汉斯手里还拿着那杆猎枪。闯进来的人看着这幅场景，一点都不害怕。他扫了一眼，看见屋里有死的，也有伤的。他的脸上没有一丝惊讶的表情，连好奇都没有。哈基就死在他脚边，但他根本就不理会。在他看来，哈基的尸体仿佛不存在似的。","Again she shook her head, and again he started to pass her the gun, when the door opened, and an Indian, without knocking, came in.A blast of wind and flurry of snow came in with him.They turned and faced him, Hans still holding the shot-gun.The intruder took in the scene without a quiver.His eyes embraced the dead and wounded in a sweeping glance.No surprise showed in his face, not even curiosity.Harkey lay at his feet, but he took no notice of him.So far as he was concerned, Harkey’s body did not exist."
"“风好大啊，”印第安人说了一句，算是打招呼，“都好吗？你们都好吗？”","“Much wind,” the Indian remarked by way of salutation.“All well?Very well?”"
"汉斯手里仍然拿着那杆枪，他很肯定地觉得那个印第安人把横七竖八的尸体都算在他的头上。他用恳求的目光看着他的妻子。","Hans, still grasping the gun, felt sure that the Indian attributed to him the mangled corpses.He glanced appealingly at his wife."
"“早啊，尼古克，”她说，她的声音暴露了她说话很吃力，“没、没有很好。有大麻烦。”","“Good morning, Negook,” she said, her voice betraying her effort.“No, not very well.Much trouble.”"
"“再见啦，我走了，我忙着呢。”印第安人说完，不慌不忙，又非常小心地跨过地板上的一滩血迹，打开门，走出去了。","“Good-by, I go now, much hurry”, the Indian said, and without semblance of haste, with great deliberation stepping clear of a red pool on the floor, he opened the door and went out."
"两人面面相觑。","The man and woman looked at each other."
"“他觉得是我们干的，”汉斯喘不上气来了，“他觉得是我干的。”","“He thinks we did it,” Hans gasped, “that I did it.”"
"伊迪丝沉默了一会儿。接着，她用简短、务实的口吻说：","Edith was silent for a space.Then she said, briefly, in a businesslike way:"
"“不用管他怎么想。那是以后的事。现在我们得挖两个坟。在这之前我们得把丹宁捆起来，免得他跑掉。”","“Never mind what he thinks.That will come after.At present we have two graves to dig.But first of all, we’ve got to tie up Dennin so he can’t escape.”"
"汉斯根本不愿意碰丹宁一下，不过伊迪丝一个人还是把丹宁的手脚都绑好了。接着，她和汉斯出门走进雪地里。大地封冻了。锄头凿下去根本就没有反应。他们先弄来些木头，扫开积雪，在冰冻的地面上生起一堆火来。烧了一个小时，才解冻了几英尺深的泥土。他们把解冻的泥挖出来，再在里边生一堆火。照这样的速度，他们一个小时只能掘进两三英寸。","Hans refused to touch Dennin, but Edith lashed him securely, hand and foot.Then she and Hans went out into the snow.The ground was frozen.It was impervious to a blow of the pick.They first gathered wood, then scraped the snow away and on the frozen surface built a fire.When the fire had burned for an hour, several inches of dirt had thawed.This they shovelled out, and then built a fresh fire.Their descent into the earth progressed at the rate of two or three inches an hour."
"这是件艰苦的工作。乱雪纷飞，火根本就烧不旺；风灌进他们的衣服，冻得他们浑身冰凉。他们几乎没有说话。大风不容他们开口讲话。除了猜测丹宁的杀人动机之外，他们总是默默无语，心里压着这场惨剧给他们带来的恐惧。到下午一点的时候，汉斯望着小木屋，说他饿了。","It was hard and bitter work.The flurrying snow did not permit the fire to burn any too well, while the wind cut through their clothes and chilled their bodies.They held but little conversation.The wind interfered with speech.Beyond wondering at what could have been Dennin’s motive, they remained silent, oppressed by the horror of the tragedy.At one o’clock, looking toward the cabin, Hans announced that he was hungry."
"“不行，现在不行，汉斯。”伊迪丝答道。“屋子里那个样子，我不能一个人回去做饭。”","“No, not now, Hans,” Edith answered.“I couldn’t go back alone into that cabin the way it is, and cook a meal.”"
"到了两点，汉斯主动提出要跟她一块儿回去，但她坚持要他干下去，到了四点，两个坟才告完成。坟很浅，不到两英尺深，但也够用了。夜幕降临了。汉斯搬出了雪橇，在暴风雪肆虐的黑夜里，拖着两个死人挪向冰冻的坟墓。这场葬礼简直不像样子。雪橇深陷在积雪之中，拉起来非常困难。夫妇二人从昨天开始就粒米未进，现在饥肠辘辘、筋疲力尽，身体已经十分虚弱。他们已经没有抵御风的力气了，有时候一阵狂风吹来，都能将他们掀翻在地。有几次连雪橇都翻了，他们不得不再将可怕的尸体重新装上雪橇。离坟还有一百英尺的时候，他们得爬上一个陡坡；这次，他们像拉雪橇的狗一样，四肢着地，两手深深插进雪地里。即便如此，他们还是有两次给沉重的雪橇拽了回去，从陡坡上滑下来，死人和活人、绳索和雪橇可怕地纠缠在一起。","At two o’clock Hans volunteered to go with her; but she held him to his work, and four o’clock found the two graves completed.They were shallow, not more than two feet deep, but they would serve the purpose.Night had fallen.Hans got the sled, and the two dead men were dragged through the darkness and storm to their frozen sepulchre.The funeral procession was anything but a pageant.The sled sank deep into the drifted snow and pulled hard.The man and the woman had eaten nothing since the previous day, and were weak from hunger and exhaustion.They had not the strength to resist the wind, and at times its buffets hurled them off their feet.On several occasions the sled was overturned, and they were compelled to reload it with its sombre freight.The last hundred feet to the graves was up a steep slope, and this they took on all fours, like sled-dogs, making legs of their arms and thrusting their hands into the snow.Even so, they were twice dragged backward by the weight of the sled, and slid and fell down the hill, the living and the dead, the haul-ropes and the sled, in ghastly entanglement."
"“明天我再来立上两块牌子，写上他们的名字。”垒好两座坟，汉斯说。","“To-morrow I will put up head-boards with their names,” Hans said, when the graves were filled in."
"伊迪丝抽泣起来。她说不出一句整话来，只是断断续续念了几句，权当做完了葬礼祷告；她的丈夫只好扶着她走回木屋去。","Edith was sobbing.A few broken sentences had been all she was capable of in the way of a funeral service, and now her husband was compelled to half-carry her back to the cabin."
"丹宁醒过来了。他在地板上滚来滚去，徒劳地想挣脱束缚。他用亮晶晶的眼睛看着汉斯和伊迪丝，但没有要说话的意思。汉斯还是不愿碰这个凶手，只是愠怒地看着伊迪丝把他拖过地板，拖进男人们的寝室里。但是，她用尽力气，也无法把他抬到铺上。","Dennin was conscious.He had rolled over and over on the floor in vain efforts to free himself.He watched Hans and Edith with glittering eyes, but made no attempt to speak.Hans still refused to touch the murderer, and sullenly watched Edith drag him across the floor to the men’s bunk-room.But try as she would, she could not lift him from the floor into his bunk."
"“还是让我打死他吧，要不然以后会有更多的麻烦。”汉斯最后一次恳求道。","“Better let me shoot him, and we’ll have no more trouble,” Hans said in final appeal."
"伊迪丝摇了摇头，又弯下腰去搬丹宁。令她感到奇怪的是，丹宁的身体很容易就抬起来了；她知道汉斯心软了，在帮他搬。接下来要清扫厨房。惨剧在地板上留下了无法清除的痕迹，汉斯只好把血迹浸染的表面刨掉，扔进炉子付之一炬。","Edith shook her head and bent again to her task.To her surprise the body rose easily, and she knew Hans had relented and was helping her.Then came the cleansing of the kitchen.But the floor still shrieked the tragedy, until Hans planed the surface of the stained wood away and with the shavings made a fire in the stove."
"日子一天天过去了。黑暗和沉寂占据了大部分的时间，只有暴风雪和冰冷的海浪打在岸上的轰隆声送来一些声响。汉斯对伊迪丝唯命是从。他那些惊人的进取精神已经完全消失了。她要用自己的办法处理丹宁，所以汉斯就把这件事完全交给她去办了。","The days came and went.There was much of darkness and silence, broken only by the storms and the thunder on the beach of the freezing surf.Hans was obedient to Edith’s slightest order.All his splendid initiative had vanished.She had elected to deal with Dennin in her way, and so he left the whole matter in her hands."
"这个凶手始终是个威胁。不论何时，他都有机会从束缚中挣脱出来，所以夫妇两人只好日夜监视着他。两人中总有一个人时刻坐在丹宁旁边，拿着那杆装好子弹的猎枪。最初，伊迪丝试着八小时换一班，但是持续的压力太大，后来，她和汉斯就每四个小时轮流休息。他们总得睡会儿，而监视又是整日整夜的，所以他们醒着的时候都是在戒备着丹宁。他们几乎都没有时间做饭和砍柴了。","The murderer was a constant menace.At all times there was the chance that he might free himself from his bonds, and they were compelled to guard him day and night.The man or the woman sat always beside him, holding the loaded shot-gun.At first, Edith tried eight-hour watches, but the continuous strain was too great, and afterwards she and Hans relieved each other every four hours.As they had to sleep, and as the watches extended through the night, their whole waking time was expended in guarding Dennin.They had barely time left over for the preparation of meals and the getting of firewood."
"自从尼古克不合时宜地来了一趟之后，印第安人都躲着这间屋子走了。伊迪丝派汉斯去印第安人的木屋走了一趟，请他们拿一只独木舟把丹宁沿着海岸送到最近的白人定居点或贸易站去，但是汉斯无功而返。伊迪丝只好亲自出马，跟尼古克交涉。他是小村的头领，非常清楚自己的责任，几句话就阐明了他的观点。","Since Negook’s inopportune visit, the Indians had avoided the cabin.Edith sent Hans to their cabins to get them to take Dennin down the coast in a canoe to the nearest white settlement or trading post, but the errand was fruitless.Then Edith went herself and interviewed Negook.He was head man of the little village, keenly aware of his responsibility, and he elucidated his policy thoroughly in few words."
"“这是白人的麻烦，”他说，“不是印第安人的麻烦。要是我的人帮了你，这就变成印第安人的麻烦了。当白人的麻烦和印第安人的麻烦搅在一起，就会变成一个说不清的、没完没了的大麻烦。惹麻烦没好处。我的人没有做错事。他们为什么要帮你，惹上麻烦呢？”","“It is white man’s trouble”, he said, “not Siwash trouble.My people help you, then will it be Siwash trouble too.When white man’s trouble and Siwash trouble come together and make a trouble, it is a great trouble, beyond understanding and without end.Trouble no good.My people do no wrong.What for they help you and have trouble?”"
"因此，伊迪丝·纳尔逊只好回到那间恐怖的屋子，接着做无休无止的四小时轮一班的监视。有时在她值班的时候，她坐在囚徒旁边，腿上搁着装好子弹的猎枪，眼睛就不自觉地合上，打起盹来。这时她总是突然惊醒，一手抓起枪，马上盯着丹宁。这是明显的紧张过度，对她的影响当然好不了。她很害怕那个男人，即使是在她很清醒的时候，只要他在被子里动一动，她也不由自主地浑身一惊，赶紧去抓猎枪。","So Edith Nelson went back to the terrible cabin with its endless alternating four-hour watches.Sometimes, when it was her turn and she sat by the prisoner, the loaded shot-gun in her lap, her eyes would close and she would doze.Always she aroused with a start, snatching up the gun and swiftly looking at him.These were distinct nervous shocks, and their effect was not good on her.Such was her fear of the man, that even though she were wide awake, if he moved under the bedclothes she could not repress the start and the quick reach for the gun."
"这样下去迟早要精神崩溃，她自己也知道这一点。起初是眼珠子跳得厉害，逼得她只好闭上眼睛，以求缓解。不久以后，神经开始抽搐，控制不住，眼皮深受其扰。令她精神紧张的，还有她忘不了那场惨剧。那天早上，这场意外在木屋里发生的情形，都还历历在目。每天喂那个囚徒吃东西的时候，她都得强迫自己咬紧牙关，给自己加劲，也给自己打气。","She was preparing herself for a nervous break-down, and she knew it.First came a fluttering of the eyeballs, so that she was compelled to close her eyes for relief.A little later the eyelids were afflicted by a nervous twitching that she could not control.To add to the strain, she could not forget the tragedy.She remained as close to the horror as on the first morning when the unexpected stalked into the cabin and took possession.In her daily ministrations upon the prisoner she was forced to grit her teeth and steel herself, body and spirit."
"汉斯受到的影响就有所不同。他始终摆脱不了一个念头：打死丹宁是他的应尽的责任。每当他去为这个捆住的人照顾饮食，或者在他旁边戒备的时候，伊迪丝都提心吊胆，害怕汉斯给这幢房子的命案记录再多加上一条。他总是恶狠狠地咒骂丹宁，对他也很粗暴。为了掩盖他的杀心，汉斯有时候还会对妻子说：“慢慢地你就会想让我杀他了，不过那时候我就不杀了。对他动手我觉得恶心。”不止一次，在她不值班的时候，她悄悄摸进屋子，总是发现两个男人像野兽一样恶狠狠地盯着对方，汉斯满脸杀气，而丹宁则像一只被逼到角落里的老鼠一样，一脸凶野的表情。“汉斯！”这时候她就大喊起来，“快醒醒！”汉斯就镇静下来，有些吃惊，有些羞愧，但是并不显得后悔。","Hans was affected differently.He became obsessed by the idea that it was his duty to kill Dennin; and whenever he waited upon the bound man or watched by him, Edith was troubled by the fear that Hans would add another red entry to the cabin’s record.Always he cursed Dennin savagely and handled him roughly.Hans tried to conceal his homicidal mania, and he would say to his wife: “By and by you will want me to kill him, and then I will not kill him.It would make me sick.”But more than once, stealing into the room, when it was her watch off, she would catch the two men glaring ferociously at each other, wild animals the pair of them, in Hans’s face the lust to kill, in Dennin’s the fierceness and savagery of the cornered rat.“Hans!” she would cry, “wake up!” and he would come to a recollection of himself, startled and shamefaced and unrepentant."
"因此，那场意外发生之后，汉斯也成了伊迪丝·纳尔逊要解决的一个问题。起初这只是用怎样的正确方式处理丹宁的问题；她认为的正确方式，是将他囚禁起来，直到将他交给正规的法庭受审。现在汉斯也成了问题，她觉得她还得恢复他的神智，拯救他才行。不久，她还发现自己的体力和忍耐也成了问题。如此重压之下，她就要垮了。她的左臂会不由自主地抖动和抽搐。她用勺子吃东西，食物会洒出来，痛苦的左臂也不听使唤了。她认为这是一种叫“舞蹈病”的运动障碍，还担心病情会越来越严重。她要真垮了，会怎样呢？一想到将来这所房子可能只剩下丹宁和汉斯，她的恐惧就又增加了一层。","So Hans became another factor in the problem the unexpected had given Edith Nelson to solve.At first it had been merely a question of right conduct in dealing with Dennin, and right conduct, as she conceived it, lay in keeping him a prisoner until he could be turned over for trial before a proper tribunal.But now entered Hans, and she saw that his sanity and his salvation were involved.Nor was she long in discovering that her own strength and endurance had become part of the problem.She was breaking down under the strain.Her left arm had developed involuntary jerkings and twitchings.She spilled her food from her spoon, and could place no reliance in her afflicted arm.She judged it to be a form of St. Vitus’s dance, and she feared the extent to which its ravages might go.What if she broke down?And the vision she had of the possible future, when the cabin might contain only Dennin and Hans, was an added horror."
"三天之后，丹宁开口说话了。他的头一个问题是：“你们打算把我怎么办？”他每天都会问这个问题，问好几次。伊迪丝总是回答说，一定会依法惩处他。反过来，她也每天都问他：“你为什么要这么做？”他从来没有回答这个问题。而且，他一听到这个问题就暴跳如雷，想要挣脱身上的粗皮腰带，还威胁说，等他挣脱了他一定会好好收拾这夫妇两人，那是迟早的事情。这个时候，她就会扣紧枪上的两个扳机，万一他真的挣脱了，就用铅弹打死他；而她自己由于紧张和受惊，浑身发抖，心悸而且头晕。","After the third day, Dennin had begun to talk.His first question had been, “What are you going to do with me?”And this question he repeated daily and many times a day.And always Edith replied that he would assuredly be dealt with according to law.In turn, she put a daily question to him,—“Why did you do it?”To this he never replied.Also, he received the question with out-bursts of anger, raging and straining at the rawhide that bound him and threatening her with what he would do when he got loose, which he said he was sure to do sooner or later.At such times she cocked both triggers of the gun, prepared to meet him with leaden death if he should burst loose, herself trembling and palpitating and dizzy from the tension and shock."
"时间一久，丹宁变得老实了。看起来，他好像厌倦了这种躺着不动的姿势。他开始恳求她放了他。他漫天起誓。他说他不会伤害他们。他说他会自己沿着海岸南下，去法官那里自首。他说他愿意把他的那份金子都送给他们。他会一直走进荒野深处，从此不再踏足文明世界。只要她放开他，他甚至愿意自行了断。通常情况下，他这样哀求着，最后都不由自主地说起胡话了，她觉得这个人就快要说得痉挛了；而她总是摇摇头，拒绝放开他，尽管他如此疯狂地哀求。","But in time Dennin grew more tractable.It seemed to her that he was growing weary of his unchanging recumbent position.He began to beg and plead to be released.He made wild promises.He would do them no harm.He would himself go down the coast and give himself up to the officers of the law.He would give them his share of the gold.He would go away into the heart of the wilderness, and never again appear in civilization.He would take his own life if she would only free him.His pleadings usually culminated in involuntary raving, until it seemed to her that he was passing into a fit; but always she shook her head and denied him the freedom for which he worked himself into a passion."
"又过了几个星期，丹宁变得愈加温顺了。他的精神则是越来越明显地萎靡了。“我累了，太累了。”他喃喃地说，像个淘气孩子一样把头在枕头上翻来滚去。过了一段时间，他又会情绪激动地请求处死他，他求伊迪丝杀了他，求汉斯结束他的痛苦，这样他至少可以安安稳稳地长眠。","But the weeks went by, and he continued to grow more tractable.And through it all the weariness was asserting itself more and more.“I am so tired, so tired,” he would murmur, rolling his head back and forth on the pillow like a peevish child.At a little later period he began to make impassioned pleas for death, to beg her to kill him, to beg Hans to put him our of his misery so that he might at least rest comfortably."
"情况迅速变得令人无法忍受。伊迪丝的神经越来越紧张，她知道自己随时可能崩溃。她甚至都不能安心休息，因为她总是害怕在她睡觉的时候，汉斯狂性大发，把丹宁打死。虽然已经进入一月，前来做贸易的纵帆船也还要等几个月才有可能驶入海湾。他们原本没有料到会在木屋里过冬的，食物也要告罄了，而汉斯也不能出去打猎，补充一下给养。为了看守这个囚徒，他们简直给束缚在这座房子上了。","The situation was fast becoming impossible.Edith’s nervousness was increasing, and she knew her break-down might come any time.She could not even get her proper rest, for she was haunted by the fear that Hans would yield to his mania and kill Dennin while she slept.Though January had already come, months would have to elapse before any trading schooner was even likely to put into the bay.Also, they had not expected to winter in the cabin, and the food was running low; nor could Hans add to the supply by hunting.They were chained to the cabin by the necessity of guarding their prisoner."
"总得想个办法才是，伊迪丝明白这一点。她强迫自己回头重新梳理这个问题。她无法摆脱民族的传统，守法的精神与生俱来，也源于她受过的教育。她知道，无论做什么，都必须依照法律。每当猎枪搁在她的膝头，不安分的凶手躺在她身边，暴风雪在屋外怒吼，而她还在长时间地看守的时候，她就原创性地研究一些社会学的问题，自制出一套法律的演化论。她觉得，法律不过是一群人的判断和意志。这群人的人数多寡，无关紧要。她推断道，有很小的人群，比如说瑞士，也有很大的人群，比如说美国。照此推断，这个人群小到什么程度都没有关系。有的国家或许只有一万人，他们集体的判断和意志也成了那个国家的法律。那么，一千人为什么就不能组成一个可以形成法律的人群呢？她这样问自己。如果一千人可以，那么一百人为什么就不行呢？五十个人怎么就不行呢？五个人怎么就不行呢？两个人——怎么就不行呢？","Something must be done, and she knew it.She forced herself to go back into a reconsideration of the problem.She could not shake off the legacy of her race, the law that was of her blood and that had been trained into her.She knew that whatever she did she must do according to the law, and in the long hours of watching, the shot-gun on her knees, the murderer restless beside her and the storms thundering without, she made original sociological researches and worked out for herself the evolution of the law.It came to her that the law was nothing more than the judgment and the will of any group of people.It mattered not how large was the group of people.There were little groups, she reasoned, like Switzerland, and there were big groups like the United States.Also, she reasoned, it did not matter how small was the group of people.There might be only ten thousand people in a country, yet their collective judgment and will would be the law of that country.Why, then, could not one thousand people constitute such a group? she asked herself.And if one thousand, why not one hundred?Why not fifty?Why not five?Why not—two?"
"她被自己的结论吓了一跳，接着就跟汉斯说了一下。起初，汉斯听不明白，后来，他明白过来，又举了一个很有说服力的例子。他谈到了淘金者会议。开会的时候，当地的淘金者就聚到一起，制定法律，执行法律。他说，开会的可能总共也不过十到十五人，但是，多数人的意志就是这十到十五人的法律，谁要违反都会受到惩罚。","She was frightened at her own conclusion, and she talked it over with Hans.At first he could not comprehend, and then, when he did, he added convincing evidence.He spoke of miners’ meetings, where all the men of a locality came together and made the law and executed the law.There might be only ten or fifteen men altogether, he said, but the will of the majority became the law for the whole ten or fifteen, and whoever violated that will was punished."
"伊迪丝心里终于亮堂了。丹宁必须被绞死。汉斯也同意。在他们这三个人的人群里，夫妇俩占了大多数。丹宁应该被绞死，这就是集体的意志。在意志的执行上，伊迪丝很认真，执意遵照习惯的形式。但是，这个人群太小了，她和汉斯不得不同时担任证人、陪审团、法官——以及最后的行刑人。她郑重其事地指控迈克尔·丹宁谋杀了哈基和达基，而囚徒就躺在铺上，听取了证词，先是汉斯的，接着是伊迪丝的。他既不认罪，也不申明自己无罪，当伊迪丝问他要说什么为自己辩护的时候，他也保持沉默。她和汉斯，不用离开席位，就宣布陪审团裁定犯人有罪。接着，她充当法官，进行宣判。她的声音颤抖着，眼皮乱跳，左臂抽搐，但她终究读完了判决结果。","Edith saw her way clear at last.Dennin must hang.Hans agreed with her.Between them they constituted the majority of this particular group.It was the group-will that Dennin should be hanged.In the execution of this will Edith strove earnestly to observe the customary forms, but the group was so small that Hans and she had to serve as witnesses, as jury, and as judges—also as executioners.She formally charged Michael Dennin with the murder of Dutchy and Harkey, and the prisoner lay in his bunk and listened to the testimony, first of Hans, and then of Edith.He refused to plead guilty or not guilty, and remained silent when she asked him if he had anything to say in his own defence.She and Hans, without leaving their seats, brought in the jury’s verdict of guilty.Then, as judge, she imposed the sentence.Her voice shook, her eyelids twitched, her left arm jerked, but she carried it out."
"“迈克尔·丹宁，三天之内，你将被处以绞刑，剥夺生命。”","“Michael Dennin, in three days’ time you are to be hanged by the neck until you are dead.”"
"这就是判决结果。这个人不自觉地舒了一口气，然后大喇喇地笑起来，说：“那么，这张该死的床再也不会弄疼我的背了，真是欣慰啊。”","Such was the sentence.The man breathed an unconscious sigh of relief, then laughed defiantly, and said, “Thin I’m thinkin’ the damn bunk won’t be achin’ me back anny more, an’ that’s a consolation.”"
"宣判之后，一种轻松的感觉似乎传遍了所有人，在丹宁身上表现得尤为明显。他身上那种阴郁和抗拒完全消失了，他跟两个看管他的人亲切地聊天，甚至不时蹦出以前那样颇有才气的俏皮话。伊迪丝给他读《圣经》，他也感到很满意。她读的是《新约》部分，读到浪荡子和十字架上的贼的时候，丹宁听得尤为认真。","With the passing of the sentence a feeling of relief seemed to communicate itself to all of them.Especially was it noticeable in Dennin.All sullenness and defiance disappeared, and he talked sociably with his captors, and even with flashes of his old-time wit.Also, he found great satisfaction in Edith’s reading to him from the Bible.She read from the New Testament, and he took keen interest in the prodigal son and the thief on the cross."
"确定执行绞刑的前一天，伊迪丝又问了那个老问题：“你为什么要那么做？”丹宁回答说：“很简单。我当时只是想……”","On the day preceding that set for the execution, when Edith asked her usual question, “Why did you do it?”Dennin answered, “’Tis very simple.I was thinkin’—”"
"但她马上要他停住，让他等一等，然后奔到汉斯的床边。这正是他轮休的时候，他从梦中被吵醒，揉着眼睛，抱怨了几句。","But she hushed him abruptly, asked him to wait, and hurried to Hans’s bedside.It was his watch off, and he came out of his sleep, rubbing his eyes and grumbling."
"“快去，”她吩咐到，“把尼古克找来，另外再找一个印第安人。迈克尔要招供了。一定要把他们带来。拿上枪，要是不得已，就用枪指着他们，让他们过来。”","“Go,” she told him, “and bring up Negook and one other Indian.Michael’s going to confess.Make them come.Take the rifle along and bring them up at the point of it if you have to.”"
"半个小时过后，尼古克和他的叔叔哈迪克万就被领进了这间死亡之所。他们本不情愿来，汉斯拿着枪把他们押了过来。","Half an hour later Negook and his uncle, Hadikwan, were ushered into the death chamber.They came unwillingly, Hans with his rifle herding them along."
"“尼古克，”她说，“这不会给你和你的人带来麻烦。你要做的只是坐在这儿，听一听，了解一下情况。”","“Negook,” Edith said, “there is to be no trouble for you and your people.Only is it for you to sit and do nothing but listen and understand.”"
"就这样，迈克尔·丹宁在被判处死刑之后，终于公开招认了他的罪行。他一边说，伊迪丝一边记，两个印第安人在一旁听着；为了防止两个见证人逃走，汉斯就守在门边。","Thus did Michael Dennin, under sentence of death, make public confession of his crime.As he talked, Edith wrote his story down, while the Indians listened, and Hans guarded the door for fear the witnesses might bolt."
"丹宁说，他有十五年没有回老家了，他一直想带着一大笔钱回去，让他的老母亲可以舒舒服服地安享余生。","He had not been home to the old country for fifteen years, Dennin explained, and it had always been his intention to return with plenty of money and make his old mother comfortable for the rest of her days."
"“一千六百块能干啥呢？”他问道，“我想要的是所有的金子，那八千块的金子。这样我就可以风风光光地回去了。我跟自己讲，我可以杀了你们，跑到斯卡圭去报告说你们是让印第安人杀死的，然后一溜烟跑回爱尔兰——还有比这更容易的吗？我就开始动手杀你们，但是，就像哈基喜欢说的那样，我弄了太大的一块东西，我自己都无法吞下去。这就是我的供诉。我干了恶事，现在，如果上帝愿意接受，我也愿意向上帝赎罪。”","“An’ how was I to be doin’ it on sixteen hundred?” he demanded.“What I was after wantin’ was all the goold, the whole eight thousan’.Thin I cud go back in style.What ud be aisier, thinks I to myself, than to kill all iv yez, report it at Skaguay for an Indian-killin’, an’ thin pull out for Ireland?An’ so I started in to kill all iv yez, but, as Harkey was fond of sayin’, I cut out too large a chunk an’ fell down on the swallowin’ iv it.An’ that’s me confession.I did me duty to the devil, an’ now, God willin’, I’ll do me duty to God.”"
"“尼古克和哈迪克万，你们都听到了这个白人男子所说的话，”伊迪丝向两个印第安人说，“他的话都记在这张纸上了，现在轮到你们来画个押，就在这张纸上。这样，要是以后有白人来到这儿，他们就能知道你们做了旁听的证人。”","“Negook and Hadikwan, you have heard the white man’s words,” Edith said to the Indians.“His words are here on this paper, and it is for you to make a sign, thus, on the paper, so that white men to come after will know that you have heard.”"
"两个印第安人在他们的名字后面划了两个十字，然后他们收到两张传票，请他们次日带着部落里所有的人再来做一次见证，接着就获准离开了。","The two Siwashes put crosses opposite their signatures, received a summons to appear on the morrow with all their tribe for a further witnessing of things, and were allowed to go."
