"眼镜","The Spectacles"
"“哈！哈！哈！——好啊，辛普森，你真是才思敏捷、善于发现——我是说这些比喻真新颖。”","“Ha! ha! ha!—why, Simpson, you have an astonishing tact at making discoveries—original ones, I mean.”"
"说到这里，我们就分道扬镳了，有一个朋友开始哼唱一支欢快的轻音乐剧，我只听到了这几句：","And here we separated, while one of the trio began humming a gay vaudeville, of which I caught only the lines—"
"尼农，尼农，尼农倒在地上——","Ninon, Ninon, Ninon a bas—"
"尼农·德兰克劳斯倒在地上！","A bas Ninon De L’Enclos!"
"这一幕上演时，还是有一件事大大安慰了我，尽管它又激起了原先吞噬我的激情。拉朗德夫人的马车匆匆经过我们时，我注意到她认出了我。不仅如此，她还赐予了我所能想见的最纯洁的微笑，明确地表达了对我的认可。","During this little scene, however, one thing had served greatly to console me, although it fed the passion by which I was consumed.As the carriage of Madame Lalande rolled by our group, I had observed that she recognized me; and more than this, she had blessed me, by the most seraphic of all imaginable smiles, with no equivocal mark of the recognition."
"至于引见这件事，在塔尔博特从山村回来之前我不得不放弃了所有的希望。同时，我坚持不懈地频繁光顾那些著名的公共娱乐场所。最终在我第一次见到她的那个剧院里，我又极为荣幸地遇到了她，并再次四目相对。但这已经是两个星期后的事情了。在此期间，我每天都去塔尔博特的寓所问他回来没有，他的男仆的回答永远是“还没回来呢”，这话气得我浑身抽搐。","As for an introduction, I was obliged to abandon all hope of it until such time as Talbot should think proper to return from the country.In the meantime I perseveringly frequented every reputable place of public amusement; and, at length, at the theatre, where I first saw her, I had the supreme bliss of meeting her, and of exchanging glances with her once again.This did not occur, however, until the lapse of a fortnight.Every day, in the interim, I had inquired for Talbot at his hotel, and every day had been thrown into a spasm of wrath by the everlasting “Not come home yet” of his footman."
"到了我刚刚提到的那个晚上，我都快要疯掉了。别人告诉我，拉朗德夫人是巴黎人——最近才从巴黎过来，她会不会突然回去呢？——在塔尔博特回来之前就回去——这样我岂不是要永远失去她了吗？我无法承受这种可怕的想法。因为这关系到我未来的幸福，我做了一个很男人的决定，并决心付诸行动。总之，演出结束之后，我跟踪她到了她的住所，并记下了地址。第二天早上我向她寄去了一封热情洋溢、内容详尽的书信，在信中吐露了我全部的心声。","Upon the evening in question, therefore, I was in a condition little short of madness.Madame Lalande, I had been told, was a Parisian—had lately arrived from Paris—might she not suddenly return?—return before Talbot came back—and might she not be thus lost to me forever?The thought was too terrible to bear.Since my future happiness was at issue, I resolved to act with a manly decision.In a word, upon the breaking up of the play, I traced the lady to her residence, noted the address, and the next morning sent her a full and elaborate letter, in which I poured out my whole heart."
"我大胆地、无所顾忌地倾诉着——总之，我在倾诉时充满了激情。我毫无保留——甚至包括我的缺点。我委婉地提到了我们第一次见面的浪漫情景——甚至提到了我们之间的眉目传情。我甚至还说，我确信她也爱我，同时我对她怀有深深的爱慕之情，这两点算是对我不可原谅的行为的辩解。另外，我提到自己的担忧，怕还没来得及被正式引见给她，她就离开了这座城市。最后，我坦白了我的生活状况——我的富有——并说我愿意全身心地为她付出，并以此结束了这封我所写过的最饱含深情的长信。","I spoke boldly, freely—in a word, I spoke with passion.I concealed nothing—nothing even of my weakness.I alluded to the romantic circumstances of our first meeting—even to the glances which had passed between us.I went so far as to say that I felt assured of her love; while I offered this assurance, and my own intensity of devotion, as two excuses for my otherwise unpardonable conduct.As a third, I spoke of my fear that she might quit the city before I could have the opportunity of a formal introduction.I concluded the most wildly enthusiastic epistle ever penned, with a frank declaration of my worldly circumstances—of my affluence—and with an offer of my heart and of my hand."
"我痛苦地、充满期待地等待着回信。似乎是过了一个世纪之后我才收到回信。","In an agony of expectation I awaited the reply.After what seemed the lapse of a century it came."
"是的，信真的来了。这一切看上去很浪漫，我真的收到了一封来自拉朗德夫人的信——这位漂亮的、富有的、偶像般的拉朗德夫人。她的眼睛——她那流光溢彩的眼睛，并没有掩盖她那颗高贵的心。她确实像一个真正的法国女人，办事理性又率直——天性慷慨而冲动——鄙视世俗的传统礼数。她没有嘲笑我的求爱。她没有以沉默自我保护。她没有原封不动地退回我的信。她甚至给我寄了一封用她纤巧的手指写的信。信是这样写的：","Yes, actually came.Romantic as all this may appear, I really received a letter from Madame Lalande—the beautiful, the wealthy, the idolized Madame Lalande.Her eyes—her magnificent eyes, had not belied her noble heart.Like a true Frenchwoman as she was she had obeyed the frank dictates of her reason—the generous impulses of her nature—despising the conventional pruderies of the world.She had not scorned my proposals.She had not sheltered herself in silence.She had not returned my letter unopened.She had even sent me, in reply, one penned by her own exquisite fingers.It ran thus:"
"“辛普森先生，请原谅我不能用贵国优美的语言写这封信。我最近才来到这里，还没有机会——把它学好。","“Monsieur Simpson vill pardonne me for not compose de butefulle tong of his contree so vell as might.It is only de late dat I am arrive, and not yet ave do opportunite for to—l’etudier."
"“请原谅我以这种方式，我想说的是，唉！——辛普森先生已经猜出了全部实情。我还需要再说什么吗？唉！我是不是已经说得太多了？","“Vid dis apologie for the maniere, I vill now say dat, helas!—Monsieur Simpson ave guess but de too true.Need I say de more?Helas! am I not ready speak de too moshe?"
"“欧仁妮·拉朗德”","“EUGENIE LALAND.”"
"我把这封充满高贵精神的短笺亲吻了上百万次，毫无疑问，由于它，我又做了许多现在已经记不得的疯狂举动。塔尔博特还是没有回来。天啊！他难道丝毫没有想到由于自己的离开，他的朋友承受着多大的痛苦吗？难道他就不能出于同情立刻回来以减轻我的痛苦吗？然而，他还是没有回来。我写信给他。他回复了。他由于紧急事务耽误了，但很快就会回来。他请我耐心些——稳定一下情绪——读一些安慰性的书——不要喝比白葡萄酒更烈的酒——用哲学来安慰自己。这个傻瓜！如果他不能亲自回来，只要他稍微动动头脑，也应该附上一封引见信给我呀！我又给他写了封信，请他立刻给我寄来一封引见信。我的信被那个男仆退了回来，背面用铅笔写着下列文字。这个无赖已经到乡村去找他的主人了。","This noble-spirited note I kissed a million times, and committed, no doubt, on its account, a thousand other extravagances that have now escaped my memory.Still Talbot would not return.Alas! could he have formed even the vaguest idea of the suffering his absence had occasioned his friend, would not his sympathizing nature have flown immediately to my relief?Still, however, he came not.I wrote.He replied.He was detained by urgent business—but would shortly return.He begged me not to be impatient—to moderate my transports—to read soothing books—to drink nothing stronger than Hock—and to bring the consolations of philosophy to my aid.The fool! if he could not come himself, why, in the name of every thing rational, could he not have enclosed me a letter of presentation?I wrote him again, entreating him to forward one forthwith.My letter was returned by that footman, with the following endorsement in pencil.The scoundrel had joined his master in the country:"
"“昨天不知为什么他离开了S——没说去哪里——也没说什么时候回来——因为我认识您的笔迹，知道您一般都很着急，我想最好还是回复您一下。","“Left S—yesterday, for parts unknown—did not say where—or when be back—so thought best to return letter, knowing your handwriting, and as how you is always, more or less, in a hurry."
"您真诚的，","Yours sincerely,"
"斯塔布斯”","STUBBS”"
"看完这封信，毫无疑问我会诅咒主仆二人都下地狱——但是愤怒没什么用，抱怨也根本无济于事。","After this, it is needless to say, that I devoted to the infernal deities both master and valet,—but there was little use in anger, and no consolation at all in complaint."
"但是我还有最后一招，尽管鲁莽却又合乎情理。到目前为止，它都很管用，现在我决定让它继续发挥作用，以达到我的目的。另外，在我们互通信件之后，我能做出的那种不拘礼节而又不越界限的举动还会被拉朗德夫人认为是失礼吗？自从信件往来之后，我便一直习惯于观察她的住宅，因此发现她爱在黄昏时分在她窗口俯瞰的那个公共广场散步，仅由一个穿制服的黑奴陪伴着。在这片繁茂、阴翳的小树林里，在仲夏夜那朦胧的阴影里，我看准时机，上前和她搭讪。","But I had yet a resource left, in my constitutional audacity.Hitherto it had served me well, and I now resolved to make it avail me to the end.Besides, after the correspondence which had passed between us, what act of mere informality could I commit, within bounds, that ought to be regarded as indecorous by Madame Lalande?Since the affair of the letter, I had been in the habit of watching her house, and thus discovered that, about twilight, it was her custom to promenade, attended only by a negro in livery, in a public square overlooked by her windows.Here, amid the luxuriant and shadowing groves, in the gray gloom of a sweet midsummer evening, I observed my opportunity and accosted her."
"我想最好要骗过那个随从的仆人，于是我装出一副老熟人那自信十足的样子。她不愧是个真正的巴黎人，立刻心领神会，伸出了那双纤纤玉手来欢迎我。仆人立刻退到了后面，现在我们的内心激情澎湃，长时间地、毫无保留地谈论着我们之间的爱情。","The better to deceive the servant in attendance, I did this with the assured air of an old and familiar acquaintance.With a presence of mind truly Parisian, she took the cue at once, and, to greet me, held out the most bewitchingly little of hands.The valet at once fell into the rear, and now, with hearts full to overflowing, we discoursed long and unreservedly of our love."
"由于拉朗德夫人的英语说得甚至还没有写得好，所以我们的谈话必须要用法语。在这最适合表达激情的甜美语言中，我任由自己生来冲动的激情自由驰骋，并且以自己能言善辩的口才请求她立刻嫁给我。","As Madame Lalande spoke English even less fluently than she wrote it, our conversation was necessarily in French.In this sweet tongue, so adapted to passion, I gave loose to the impetuous enthusiasm of my nature, and, with all the eloquence I could command, besought her to consent to an immediate marriage."
"对于我的急不可耐，她微微一笑。她力劝我要言行得体——这种老套的话就像一只怪物，剥夺了许多人的幸福，让他们最终错失了获得幸福的良机。她注意到我很鲁莽，让我的所有朋友都知道我想要认识她——却未能如愿以偿——所以根本不可能隐瞒这一次我们初次相识的约会。然后，她又脸红了，转而说这次约会实在太仓促了。立刻结婚是不妥当的——不合礼节的——也有点荒唐。她说这话时带着一种天真的迷人神情，她言之有理的话让我有点痛苦，让我以为言之有理，却又让我心花怒放。她甚至笑着责怪我的鲁莽——我的冲动。她请我不要忘记我其实还不知道她是谁——她有什么打算、她的亲戚关系、她的社会地位。她叹了口气，请求我重新考虑考虑我的求婚，并把我的这种爱称为痴迷——一种心血来潮——一时的想入非非——与其说是发自内心，不如说是出于幻想的一种毫无根据、毫不牢靠的产物。她说这些话的时候，迷人的暮色中的阴影正渐渐暗淡，把我们环抱在中间——然后，她用天仙般的玉手指轻轻推了一下，只一刹那就推翻了她先前在我心中编织的信念。","At this impatience she smiled.She urged the old story of decorum—that bug-bear which deters so many from bliss until the opportunity for bliss has forever gone by.I had most imprudently made it known among my friends, she observed, that I desired her acquaintance—thus that I did not possess it—thus, again, there was no possibility of concealing the date of our first knowledge of each other.And then she adverted, with a blush, to the extreme recency of this date.To wed immediately would be improper—would be indecorous—would be outre.All this she said with a charming air of naivete which enraptured while it grieved and convinced me.She went even so far as to accuse me, laughingly, of rashness—of imprudence.She bade me remember that I really even know not who she was—what were her prospects, her connections, her standing in society.She begged me, but with a sigh, to reconsider my proposal, and termed my love an infatuation—a will o’ the wisp—a fancy or fantasy of the moment—a baseless and unstable creation rather of the imagination than of the heart.These things she uttered as the shadows of the sweet twilight gathered darkly and more darkly around us—and then, with a gentle pressure of her fairy-like hand, overthrew, in a single sweet instant, all the argumentative fabric she had reared."
"我极力为自己辩解——像一个真正的恋人会做的那样。我说了很久，坚持不懈地表达了我的爱，我的激情——她那超凡脱俗的美，和我自己充满激情的爱慕。总之，以我的雄辩口才，我详细讲述了爱情之路上的艰险——真爱之路从来都是不平坦的——因此可以推断，过长的恋爱过程显然充满了危险。","I replied as best I could—as only a true lover can.I spoke at length, and perseveringly of my devotion, of my passion—of her exceeding beauty, and of my own enthusiastic admiration.In conclusion, I dwelt, with a convincing energy, upon the perils that encompass the course of love—that course of true love that never did run smooth—and thus deduced the manifest danger of rendering that course unnecessarily long."
"后来的话似乎终于动摇了她坚定的心。她温和了下来，但是她说还有一个障碍，她确信我对这点没有认真地考虑过。这是一个敏感的话题——对一个女士来说尤其如此。她明白要谈论这个话题就必须牺牲自己的感受。但是，为了我，一切牺牲都是应该的。她委婉地提到了年龄的问题。我意识到了吗——我充分意识到了我们之间的年龄差距了吗？世人都认为丈夫的年龄比妻子大——甚至大上十五或二十岁——都是可以接受的，甚至是合适的，但是她过去一直认为妻子的年龄绝不应该超过丈夫的年龄。天啊！这种不自然的差距总是会带来不幸的生活。","This latter argument seemed finally to soften the rigor of her determination.She relented; but there was yet an obstacle, she said, which she felt assured I had not properly considered.This was a delicate point—for a woman to urge, especially so; in mentioning it, she saw that she must make a sacrifice of her feelings; still, for me, every sacrifice should be made.She alluded to the topic of age.Was I aware—was I fully aware of the discrepancy between us?That the age of the husband, should surpass by a few years—even by fifteen or twenty—the age of the wife, was regarded by the world as admissible, and, indeed, as even proper, but she had always entertained the belief that the years of the wife should never exceed in number those of the husband.A discrepancy of this unnatural kind gave rise, too frequently, alas! to a life of unhappiness. "
"现在她知道我的年龄不超过二十二岁，而我，也许恰恰相反，并不知道我的欧仁妮的年龄远远超过了二十二岁。","Now she was aware that my own age did not exceed two and twenty; and I, on the contrary, perhaps, was not aware that the years of my Eugenie extended very considerably beyond that sum."
"所有这些都透露着一种灵魂的高尚——一种坦率的高贵——这使我高兴——令我心醉神迷——并永远地锁住了我。我几乎无法控制满心的狂喜。","About all this there was a nobility of soul—a dignity of candor—which delighted—which enchanted me—which eternally riveted my chains.I could scarcely restrain the excessive transport which possessed me."
"“我最可爱的欧仁妮，”我大声说道，“你在说些什么呢？在某种程度上，你是比我大。但那又怎么样？世间的风俗有如此多循规蹈矩的荒唐事。对那些像我们一样彼此深爱的人来说，一年和一个小时又有什么差别呢？的确，你可以说我是二十二岁。事实上，很快你就可以说我二十三岁了。那么你自己，我最亲爱的欧仁妮，最多不超过——不超过——不超过——超过——过——过——”","“My sweetest Eugenie,” I cried, “what is all this about which you are discoursing?Your years surpass in some measure my own.But what then?The customs of the world are so many conventional follies.To those who love as ourselves, in what respect differs a year from an hour?I am twenty-two, you say, granted: indeed, you may as well call me, at once, twenty-three.Now you yourself, my dearest Eugenie, can have numbered no more than—can have numbered no more than—no more than—than—than—than—”"
"这里我停顿了一会儿，期望拉朗德夫人会打断我，告诉我她的真实年龄。但是法国女人很少会那么直接了当，而且在回答一个令人尴尬的问题时，她们常常会自己用一些实际行动来作为答复。就目前的情况来说，欧仁妮刚才似乎在她的怀里寻找什么东西。最后，一个袖珍画像掉在了草地上，我立刻捡起来奉还给她。","Here I paused for an instant, in the expectation that Madame Lalande would interrupt me by supplying her true age.But a Frenchwoman is seldom direct, and has always, by way of answering to an embarrassing query, some little practical reply of her own.In the present instance, Eugenie, who for a few moments past had seemed to be searching for something in her bosom, at length let fall upon the grass a miniature, which I immediately picked up and presented to her."
"“收藏着吧！”她带着令人着迷的微笑说道，“为了我——为了被它过度美化的人——收藏着吧。另外，在这小东西的背面你也许会发现你似乎正想知道的信息。当然，现在天色很晚了——你可以早上有时间的时候再仔细看。同时，你今晚要护送我回家。我的朋友们正打算举办一场小小的音乐晚会。我可以向你承诺，到时候会有优美动听的歌曲。我们法国人不像你们美国人那样小心谨慎，我会把你以一个老朋友的身份偷偷带进去，这毫无困难。”","“Keep it!” she said, with one of her most ravishing smiles.“Keep it for my sake—for the sake of her whom it too flatteringly represents.Besides, upon the back of the trinket you may discover, perhaps, the very information you seem to desire.It is now, to be sure, growing rather dark—but you can examine it at your leisure in the morning.In the meantime, you shall be my escort home tonight.My friends are about holding a little musical levee.I can promise you, too, some good singing.We French are not nearly so punctilious as you Americans, and I shall have no difficulty in smuggling you in, in the character of an old acquaintance.”"
"说着，她挽上了我的胳膊，然后我送她到了家。庄园非常漂亮，而且我相信庄园的装饰也很有品位。不过我却没什么资格去评判装饰的好坏，因为我们到达的时候天色已晚。在夏天的热浪中，美国较好的庄园很少在一天里最舒适的时间里灯火通明，很少展现出真实面目。在我到达后的一个小时，主客厅里只亮起了一盏带灯罩的太阳灯，因此我可以看到这间寓所布置得品位不凡，甚至可以称得上是富丽堂皇。但是整个晚上，套房里的其他两个房间却一直笼罩在宜人的阴影中，而人们主要聚集在那里。这是一种精心的设计，使得宴会至少有了光亮和朦胧两种选择，那些来自大洋彼岸的朋友们只会立刻采纳它。","With this, she took my arm, and I attended her home.The mansion was quite a fine one, and, I believe, furnished in good taste.Of this latter point, however, I am scarcely qualified to judge; for it was just dark as we arrived; and in American mansions of the better sort lights seldom, during the heat of summer, make their appearance at this, the most pleasant period of the day.In about an hour after my arrival, to be sure, a single shaded solar lamp was lit in the principal drawing-room; and this apartment, I could thus see, was arranged with unusual good taste and even splendor; but two other rooms of the suite, and in which the company chiefly assembled, remained, during the whole evening, in a very agreeable shadow.This is a well-conceived custom, giving the party at least a choice of light or shade, and one which our friends over the water could not do better than immediately adopt."
"因此，毫无疑问，这个夜晚是我一生中度过的最美好的夜晚。拉朗德夫人没有高估她朋友的音乐才能，我从来没有在维也纳以外的私人圈子里听到过比这更加美妙的音乐。乐器表演者很多，而且个个才华横溢。歌手们主要是女士，每个人演唱得都不是一般的好。最后，传来一声断然的“拉朗德夫人”，她立刻从我身边的躺椅上站了起来，不带任何做作和犹豫，在一两个绅士和一起看歌剧的那位女性朋友的陪同下，到了主客厅的钢琴前。我本打算陪她过去，但又想到我被带进来时的情况，觉得最好还是默默地坐在这里。　　　　因此，我只能享受听的乐趣，却被剥夺了看她唱歌的乐趣。","The evening thus spent was unquestionably the most delicious of my life.Madame Lalande had not overrated the musical abilities of her friends; and the singing I here heard I had never heard excelled in any private circle out of Vienna.The instrumental performers were many and of superior talents.The vocalists were chiefly ladies, and no individual sang less than well.At length, upon a peremptory call for “Madame Lalande,” she arose at once, without affectation or demur, from the chaise longue upon which she had sat by my side, and, accompanied by one or two gentlemen and her female friend of the opera, repaired to the piano in the main drawing-room.I would have escorted her myself, but felt that, under the circumstances of my introduction to the house, I had better remain unobserved where I was.I was thus deprived of the pleasure of seeing, although not of hearing, her sing."
"她的演唱如电流般震惊了人们，但对我来说影响更甚。我不知道该怎样才能充分描述这种感觉。毫无疑问，这种感觉一部分是因为我对她满怀着爱；但主要是因为我深信歌唱者有着极为细腻的感情。她的表演极富激情、气度非凡、咏叹不已。她的表演已经达到了艺术的巅峰。她对《奥赛罗》中浪漫诗句的演绎——演唱《卡普莱特》里“我的墓碑上”这句时的声音——都一直在我的脑海里回荡。她的低音绝对是个奇迹。她的嗓音可以跨越三个八度音阶，从女低音D调到女高音D调，虽然有力地充满了整个圣卡洛斯剧院，却极其精确地唱出了每一个难唱的音符——唱出了所有抑扬顿挫的音阶、韵律和装饰音。在《梦游女》的最后部分，她唱出了下面几句，产生了一种非凡的效果：","The impression she produced upon the company seemed electrical but the effect upon myself was something even more.I know not how adequately to describe it.It arose in part, no doubt, from the sentiment of love with which I was imbued; but chiefly from my conviction of the extreme sensibility of the singer.It is beyond the reach of art to endow either air or recitative with more impassioned expression than was hers.Her utterance of the romance in Otello—the tone with which she gave the words “Sul mio sasso,” in the Capuletti—is ringing in my memory yet.Her lower tones were absolutely miraculous.Her voice embraced three complete octaves, extending from the contralto D to the D upper soprano, and, though sufficiently powerful to have filled the San Carlos, executed, with the minutest precision, every difficulty of vocal composition—ascending and descending scales, cadences, or fiorituri.In the final of the Somnambula, she brought about a most remarkable effect at the words:"
"啊！寻常人怎能揣测","Ah! non guinge uman pensiero"
"我心中充满的喜悦。","Al contento ond ’io son piena."
"这里她模仿了玛丽布兰（注：19世纪西班牙女音乐家），修改了贝利尼（注：19世纪意大利作曲家）的原曲，以便能使她的嗓音降低到次中音G调，然后突然急转，到达超出高音谱的G调，直接跨越了两个八度音阶。","Here, in imitation of Malibran, she modified the original phrase of Bellini, so as to let her voice descend to the tenor G, when, by a rapid transition, she struck the G above the treble stave, springing over an interval of two octaves."
"她的歌声简直就是奇迹。唱完后，她从钢琴边站了起来，回到我身边坐下。我满含热情地向她表达了歌声带给我的愉悦。我没有谈到我的惊讶，尽管我着实非常吃惊，因为我们平时谈话时她的声音有些柔弱，或者可以说是颤颤巍巍的，一点都不坚定，我原以为她唱歌时不会表现出那么非凡的才能。","Upon rising from the piano after these miracles of vocal execution, she resumed her seat by my side; when I expressed to her, in terms of the deepest enthusiasm, my delight at her performance.Of my surprise I said nothing, and yet was I most unfeignedly surprised; for a certain feebleness, or rather a certain tremulous indecision of voice in ordinary conversation, had prepared me to anticipate that, in singing, she would not acquit herself with any remarkable ability."
"我们坦诚地、毫无保留地连续谈了很长时间。她让我讲起了我早期生活的一些片段，并且全神贯注地听着我讲的每一个字。因为她那充满信赖的爱，我毫无隐瞒，觉得有权利告诉她一切。被她在敏感的年龄问题上的坦诚所鼓舞，我非常坦白，不仅详细讲述了我的一些小缺点，还和盘托出了我道德上，乃至身体上的一些缺陷。揭露这些需要很大的勇气，但这更是爱的表现。我提到了上大学时我的鲁莽——我的奢侈——我的玩世不恭——我的债务——我和一些女士的调情史。我甚至还提到了我曾经因为轻微的肺结核性咳嗽而烦恼——提到了慢性风湿病——提到了遗传的痛风。最后还提到了很讨厌、很不便的近视，我至今还在小心地掩盖这个缺点。","Our conversation was now long, earnest, uninterrupted, and totally unreserved.She made me relate many of the earlier passages of my life, and listened with breathless attention to every word of the narrative.I concealed nothing—felt that I had a right to conceal nothing—from her confiding affection.Encouraged by her candor upon the delicate point of her age, I entered, with perfect frankness, not only into a detail of my many minor vices, but made full confession of those moral and even of those physical infirmities, the disclosure of which, in demanding so much higher a degree of courage, is so much surer an evidence of love.I touched upon my college indiscretions—upon my extravagances—upon my carousals—upon my debts—upon my flirtations.I even went so far as to speak of a slightly hectic cough with which, at one time, I had been troubled—of a chronic rheumatism—of a twinge of hereditary gout—and, in conclusion, of the disagreeable and inconvenient, but hitherto carefully concealed, weakness of my eyes."
"“关于后面一点，”拉朗德夫人笑着说，“你坦白这些确实非常不明智，因为如果你不说，我敢讲没有人会揭发你有这种弱点。“顺便说一下，”她继续说道，“你还记不记得——”说到这里，我仿佛透过房间里微弱的灯光看到了一道清晰的绯红涌上她的脸颊。“我亲爱的朋友，你还记得现在挂在我脖子上的这一小只视力辅助器吗？”","“Upon this latter point,” said Madame Lalande, laughingly, “you have been surely injudicious in coming to confession; for, without the confession, I take it for granted that no one would have accused you of the crime.By the by,” she continued, “have you any recollection—” and here I fancied that a blush, even through the gloom of the apartment, became distinctly visible upon her cheek—“have you any recollection, mon cher ami of this little ocular assistant, which now depends from my neck?”"
"她一边说话一边在手指间捏弄着那副有两个相同镜片的眼镜。这副眼镜在歌剧院里曾让我感到非常困惑。","As she spoke she twirled in her fingers the identical double eye-glass which had so overwhelmed me with confusion at the opera."
"“当然记得——哎呀！我记得可清楚了。”我大声说道，同时热情地握住了那只将眼镜递给我看的纤纤玉手。","“Full well—alas! do I remember it,” I exclaimed, pressing passionately the delicate hand which offered the glasses for my inspection."
"它们形成了一个复杂而精美的玩具，带着华丽的镂刻和装饰，上面的宝石闪闪发光。即使在微弱的灯光下，我也禁不住感叹它价值不菲。","They formed a complex and magnificent toy, richly chased and filigreed, and gleaming with jewels, which, even in the deficient light, I could not help perceiving were of high value."
"“好吧！我的朋友，”她继续说道，举止高雅得令我吃惊，“好吧！我的朋友，你曾真诚地要我同意你的请求，还很高兴地将我的认可看作是无价之宝。","“Eh bien! mon ami” she resumed with a certain empressment of manner that rather surprised me—“Eh bien! mon ami, you have earnestly besought of me a favor which you have been pleased to denominate priceless."
"你请求我明天和你结婚。我应该答应你的请求吗——而为了满足我内心的请求，我能多说一句——我有权向你要求一点非常非常小的恩惠作为回报吗？”","You have demanded of me my hand upon the morrow.Should I yield to your entreaties—and, I may add, to the pleadings of my own bosom—would I not be entitled to demand of you a very—a very little boon in return?”"
"“说出来吧！”我用力地大声说道，几乎吸引了周围所有人的目光。因为他们在场，我控制着自己，没有冲动地扑倒在她的石榴裙下。","“Name it!” I exclaimed with an energy that had nearly drawn upon us the observation of the company, and restrained by their presence alone from throwing myself impetuously at her feet."
"“说出来吧，亲爱的，我的欧仁妮，我亲爱的！——说出来吧！——但是，天呀！你还没说出来，我就已经答应了。”","“Name it, my beloved, my Eugenie, my own!—name it!—but, alas! it is already yielded ere named.”"
"“那么，我的朋友，为了你爱的欧仁妮，”她说，“你要战胜，你最后坦诚的缺点——这一缺点更多是道德上的，而不是身体上的——我向你保证，它与你的高贵的真实本质毫不相符——与你坦率的日常性格极不协调——而且，如果放任它进一步发展，你早晚都会陷入某种非常讨厌的困境中。为了我，你要克服这种做作。正如你所说的，它会使你有意无意地拒绝承认自己近视的缺点。你拒绝采用通常的弥补手段。这说明你根本不承认这个缺点。我希望你戴眼镜，你会理解我的——啊，嘘！——为了我，你已经同意戴了。你要接受我手里的小玩具，虽然作为视力的辅助工具而言，它的作用是令人钦佩的，但确实不像钻石那样有巨大的价值。你可以看出，只要稍微调整一下，这样——或者这样——你就可以把它当眼镜戴在眼睛上，或者作为单片眼镜佩戴在马夹口袋里。不过按照习惯，你要用前一种方式佩戴它。为了我，你已经答应要戴了。”","“You shall conquer, then, mon ami,” said she, “for the sake of the Eugenie whom you love, this little weakness which you have at last confessed—this weakness more moral than physical—and which, let me assure you, is so unbecoming the nobility of your real nature—so inconsistent with the candor of your usual character—and which, if permitted further control, will assuredly involve you, sooner or later, in some very disagreeable scrape.You shall conquer, for my sake, this affectation which leads you, as you yourself acknowledge, to the tacit or implied denial of your infirmity of vision.For, this infirmity you virtually deny, in refusing to employ the customary means for its relief.You will understand me to say, then, that I wish you to wear spectacles;—ah, hush!—you have already consented to wear them, for my sake.You shall accept the little toy which I now hold in my hand, and which, though admirable as an aid to vision, is really of no very immense value as a gem.You perceive that, by a trifling modification thus—or thus—it can be adapted to the eyes in the form of spectacles, or worn in the waistcoat pocket as an eye-glass.It is in the former mode, however, and habitually, that you have already consented to wear it for my sake.”"
"这个请求——我是否该承认？——这令我非常困惑。但是它附带的条件使我不可能有半点犹豫。","This request—must I confess it?—confused me in no little degree.But the condition with which it was coupled rendered hesitation, of course, a matter altogether out of the question."
"“好的！”我鼓起了当时所能鼓起的一切激情，大声说道，“好的——我欣然同意。为了你，我愿牺牲一切。今晚我就戴上这只亲爱的眼镜，先作为单片眼镜，戴在我的心口。但在黎明时分请允许我很高兴地称你为妻子，那时我将把它戴在我的——戴在我的鼻子上——从此以后一直戴着它，就像你所希望的那样，虽然不那么浪漫，不那么时尚，却很实用。”","“It is done!” I cried, with all the enthusiasm that I could muster at the moment. “It is done—it is most cheerfully agreed.I sacrifice every feeling for your sake.To-night I wear this dear eye-glass, as an eye-glass, and upon my heart; but with the earliest dawn of that morning which gives me the pleasure of calling you wife, I will place it upon my—upon my nose,—and there wear it ever afterward, in the less romantic, and less fashionable, but certainly in the more serviceable, form which you desire.”"
"现在我们的谈话转向了明天日程的具体安排。我从未婚妻那里了解到，塔尔博特刚刚回到镇上。我要立刻见到他，向他要辆马车。晚会不到两点是不可能结束的，那时马车就会停在门口，因为人群离开时会很混乱，拉朗德夫人可以很轻松地在无人知晓的情况下离开。然后我们会去拜访正在等待的牧师。先在那里结婚，留下塔尔博特，前往东方做短暂的旅行，把花花世界留在家里，任人们评论事情的好坏。","Our conversation now turned upon the details of our arrangements for the morrow.Talbot, I learned from my betrothed, had just arrived in town.I was to see him at once, and procure a carriage.The soiree would scarcely break up before two; and by this hour the vehicle was to be at the door, when, in the confusion occasioned by the departure of the company, Madame L. could easily enter it unobserved.We were then to call at the house of a clergyman who would be in waiting; there be married, drop Talbot, and proceed on a short tour to the East, leaving the fashionable world at home to make whatever comments upon the matter it thought best."
