"北方的奥德赛","An Odyssey of the North"
"那么，阿克赛尔·冈德森的老婆就是这样一个人，她的名声和她丈夫一起，传遍了整个北方。吃饭时，马尔穆特·基德仗着自己是他们的老朋友，逗弄她，普林斯也丢掉了初次见面的羞怯，跟着一起起哄。尽管敌强我弱，但她仍然能坚守阵地，而她的丈夫，笨嘴拙舌，只能笑着给她鼓掌助威。他为有这样一位妻子感到骄傲；他的每一个表情，每一个动作，都表明了她在他生命中占有非常重要的位置。那个用海獭皮换狗的人一声不吭地吃着饭，在这热闹的交战中他已经被遗忘了；其他人还没吃完，他就离开了桌子，到外面和狗呆在一起了。不过，他刚离开，他的同伴们也很快戴上手套，穿好皮大衣，跟着他出去了。","This, then, was the wife of Axel Gunderson, a woman whose name and fame had traveled with her husband’s, hand in hand, through all the Northland.At table, Malemute Kid baited her with the assurance of an old friend, and Prince shook off the shyness of first acquaintance and joined in.But she held her own in the unequal contest, while her husband, slower in wit, ventured naught but applause.And he was very proud of her; his every look and action revealed the magnitude of the place she occupied in his life.He of the Otter Skins ate in silence, forgotten in the merry battle; and long ere the others were done he pushed back from the table and went out among the dogs.Yet all too soon his fellow travelers drew on their mittens and parkas, and followed him."
"很多天没下雪，雪橇顺着被冻得很结实的育空路一路滑去，就像在光滑的冰面上一样，一点儿都不费力。尤利西斯驾着第一架雪橇，普林斯和阿克赛尔·冈德森的老婆驾着第二架；马尔穆特·基德和那位黄头发的巨人驾着第三架。","There had been no snow for many days, and the sleds slipped along the hard-packed Yukon trail as easily as if it had been glare ice.Ulysses led the first sled; with the second came Prince and Axel Gunderson’s wife; while Malemute Kid and the yellow-haired giant brought up the third."
"“这只是一种‘预感’，基德，”他说，“但是我觉得这事有谱。他从来没去过那里，不过他讲得有板有眼，并且给我看了一张地图，我几年前在库特纳一带就听人说过这张地图。我本打算请你一起去；但是他这个人很古怪，他直截了当地说，要是有别人加入，他就放弃。不过，等我回来以后，我会第一个告诉你，我会把附近的矿给你，再把建造城市的地基分给你一半。","“It ’s only a ‘hunch,’ Kid,” he said; “but I think it ’s straight.He’s never been there, but he tells a good story, and shows a map I heard of when I was in the Kootenay country years ago.I’d like to have you go along; but he ’s a strange one, and swore point-blank to throw it up if any one was brought in.But when I come back you ’ll get first tip, and I’ll stake you next to me, and give you a half share in the town site besides."
"“不！不！”他大叫，因为对方想打断他的话。“这事我做主，在事情没办完之前，需要有个人商议一下。要是这事牢靠的话，那就是第二个克里普尔克甲克了，老兄，你听见了吗？第二个克里普尔克甲克！那可是石英金矿，你要知道，可不是砂矿；要是我们干对了路子，我们就能把整个矿都搞到手——那就是成百上千万了。我过去听说过这个地方，你肯定也听说过。我们要建造一座城镇——雇几千名工人——开一条水路——汽船航道——大笔的运输生意——开向上游的浅水轮船——可能，再勘测一条铁路——几家锯木厂——电厂——还有自己的银行——商业公司——大财团——哎呀！我回来之前，你千万别跟被人讲！”","“No! no!” he cried, as the other strove to interrupt.“I’m running this, and before I’m done it’ll need two heads.If it’s all right, why it’ll be a second Cripple Creek, man; do you hear?—a second Cripple Creek!It’s quartz, you know, not placer; and if we work it right we’ll corral the whole thing,—millions upon millions.I’ve heard of the place before, and so have you.We’ll build a town—thousands of workmen—good waterways—steamship lines—big carrying trade—light-draught steamers for head-reaches—survey a railroad, perhaps—sawmills—electric-light plant—do our own banking—commercial company—syndicate—Say! just you hold your hush till I get back!”"
"在这条路经过斯图尔特河口处，雪橇停住了。一片连绵不断的冰海，远远地向没有人知道的东部延伸。他们把绑在雪橇上的雪地鞋解了下来。阿克赛尔·冈德森同他们握了握手，就走到最前面，他那双巨大的像蹼一样的雪地鞋，在柔软的雪里，足足陷下半码深，把雪压得实实的，这样狗就不会陷进雪里了。他的老婆在最后一架雪橇后面跟着，她很熟练地踩着那双笨拙的雪地鞋，看得出来她在这方面是经过长期训练的。愉快的道别声打破了静寂；狗狂吠着；而那个用海獭皮换狗的人正在拿鞭子教训一只不听话的狗。","The sleds came to a halt where the trail crossed the mouth of Stuart River.An unbroken sea of frost, its wide expanse stretched away into the unknown east.The snowshoes were withdrawn from the lashings of the sleds.Axel Gunderson shook hands and stepped to the fore, his great webbed shoes sinking a fair half yard into the feathery surface and packing the snow so the dogs should not wallow.His wife fell in behind the last sled, betraying long practice in the art of handling the awkward footgear.The stillness was broken with cheery farewells; the dogs whined; and He of the Otter Skins talked with his whip to a recalcitrant wheeler."
"一个小时以后，这一队雪橇仿佛一支黑色铅笔一样，在这张白色的大纸上画了一条长长的直线。","An hour later, the train had taken on the likeness of a black pencil crawling in a long, straight line across a mighty sheet of foolscap."
"过了几周，一天晚上，马尔穆特·基德和普林斯发现了一页从旧杂志上撕下来的纸，正在钻研上面的棋谱。基德刚从他的博南扎矿山上回来，想先歇息一下，然后会花很长一段时间去捕驼鹿。普林斯差不多整个冬天都是在河道上和雪路上度过的，他也想在这木屋里舒舒服服呆上一个星期。","One night, many weeks later, Malemute Kid and Prince fell to solving chess problems from the torn page of an ancient magazine.The Kid had just returned from his Bonanza properties, and was resting up preparatory to a long moose hunt.Prince too had been on creek and trail nearly all winter, and had grown hungry for a blissful week of cabin life."
"“让黑骑士跳上去，将军。不行，不管用。你看，下面这一步……”","“Interpose the black knight, and force the king.No, that won’t do.See, the next move”—"
"“怎么让卒子进两格呢？应该用它来换子，要是吃了主教……”","“Why advance the pawn two squares?Bound to take it in transit, and with the bishop out of the way”—"
"“等等！那就有漏洞了，而且……”","“But hold on!That leaves a hole, and”—"
"“不可能，肯定没事。走过去！你看着吧，这样肯定行。”","“No; it ’s protected.Go ahead!You’ll see it works.”"
"这局棋很有意思。有人叩了两次门，马尔穆特·基德才说了声“请进”。门被推开了。一个家伙踉踉跄跄地走进来。普林斯抬头一看，不禁跳了起来。他眼里的恐惧使得马尔穆特·基德赶紧转身；他也给吓坏了，虽然他以前见过很多危险的事。那个家伙莽莽撞撞地朝着他们踉跄着走过去。普林斯缓缓往后退，直到够到了那个挂着他的史密斯·威森刀具的钉子。","It was very interesting.Somebody knocked at the door a second time before Malemute Kid said, “Come in.”The door swung open.Something staggered in.Prince caught one square look, and sprang to his feet.The horror in his eyes caused Malemute Kid to whirl about; and he too was startled, though he had seen bad things before.The thing tottered blindly toward them.Prince edged away till he reached the nail from which hung his Smith & Wesson."
"“天哪！这是个什么东西？”他小声问马尔穆特·基德。","“My God! What is it?” he whispered to Malemute Kid."
"“不知道。他像是冻坏了，还没吃过东西。”基德一边回答，一边溜向相反的方向。“小心！没准是个疯子。”他关上门返回来的时候提醒道。","“Don’t know.Looks like a case of freezing and no grub,” replied the Kid, sliding away in the opposite direction.“Watch out!It may be mad,” he warned, coming back from closing the door."
"那个家伙走到了桌子旁边。油灯的亮光照着它的眼睛。它很快活，发出吓人的咯咯声，表示它很高兴。然后，他——原来是个人——突然往后一偏，扎紧了皮裤，唱起了水手的起锚号子，就像水手们在波涛轰鸣中转动绞盘时唱的歌：","The thing advanced to the table.The bright flame of the slush-lamp caught its eye.It was amused, and gave voice to eldritch cackles which betokened mirth.Then, suddenly, he—for it was a man—swayed back, with a hitch to his skin trousers, and began to sing a chanty, such as men lift when they swing around the capstan circle and the sea snorts in their ears:"
"拉呀！好小子！使劲拉！想知道谁是船长？拉呀！好小子！使劲拉！乔纳森·琼斯来自南卡罗来纳州，拉呀！好小子……","Pull! My bully boys!Pull!D’yeh want—to know de captain ru-uns her?Pull! My bully boys!Pull!Jon-a-than Jones ob South Caho-li-in-a,Pull! My bully”—"
"他突然停住了，像狼一样叫了一声，同时踉跄着往搁肉的架子走过去，他们还没来得及拦住他，他的牙已经咬住了一块生腌肉。他和马尔穆特·基德的争夺很凶猛；但是他那股疯劲来去匆匆，他虚弱地把夺来的肉交了出去。他们将他抬到一张凳子上，他把半个身子都伏在桌子上。一小杯威士忌让他有了精神，马尔穆特·基德把一罐子糖搁在他面前，他已经能拿着勺子舀糖了。等他的食欲满足了一些，普林斯一边颤抖着，一边递给他一杯淡牛肉汤。","He broke off abruptly, tottered with a wolfish snarl to the meat-shelf, and before they could intercept was tearing with his teeth at a chunk of raw bacon.The struggle was fierce between him and Malemute Kid; but his mad strength left him as suddenly as it had come, and he weakly surrendered the spoil.Between them they got him upon a stool, where he sprawled with half his body across the table.A small dose of whiskey strengthened him, so that he could dip a spoon into the sugar caddy which Malemute Kid placed before him.After his appetite had been somewhat cloyed, Prince, shuddering as he did so, passed him a mug of weak beef tea."
"那个家伙眼睛里发出一种阴郁的、疯狂的光，每吃一口，这种光就随着一闪一灭。他面部的皮肤已经不多了。所以，这张深陷的、消瘦的面孔几乎没有一点儿像人脸的地方了。接连不断的严寒冻坏了他的脸，上一次冻出来的伤疤还没痊愈，新的伤疤又叠在了上面。表皮又干又硬，呈黑紫色，还有好几道深深的锯齿一样的裂纹，里面的红肉都露了出来。他的皮衣肮脏破烂，一面的毛已经被烧焦了，有的地方甚至完全烧没了，他的那一侧身子睡觉的时候肯定曾经紧挨着火。","The creature’s eyes were alight with a sombre frenzy, which blazed and waned with every mouthful.There was very little skin to the face.The face, for that matter, sunken and emaciated, bore very little likeness to human countenance.Frost after frost had bitten deeply, each depositing its stratum of scab upon the half-healed scar that went before.This dry, hard surface was of a bloody-black color, serrated by grievous cracks wherein the raw red flesh peeped forth.His skin garments were dirty and in tatters, and the fur of one side was singed and burned away, showing where he had lain upon his fire."
"马尔穆特·基德指着他那件被太阳晒黑了的皮衣上割成一道一道的地方——残忍的、饥饿的记号。","Malemute Kid pointed to where the sun-tanned hide had been cut away, strip by strip,—the grim signature of famine."
"“你——是——谁？”基德问，他说得很慢，发音清晰。","“Who—are—you?” slowly and distinctly enunciated the Kid."
"那人没留意他的话。","The man paid no heed."
"“你从什么地方来的？”","“Where do you come from?”"
"“美国船顺流而来。”他用颤抖的嗓音唱了一句，当作是回答。","“Yan-kee ship come down de ri-ib-er,” was the quavering response."
"“毫无疑问，这个乞丐肯定是沿着河走来的。”基德边说边摇晃着他，试图让他说得更清楚点儿。","“Don’t doubt the beggar came down the river,” the Kid said, shaking him in an endeavor to start a more lucid flow of talk."
"但是基德一碰到他，他就尖声大叫起来，一只手捂住腰，很明显是由疼痛所致。他缓缓站起来，半靠着桌子。","But the man shrieked at the contact, clapping a hand to his side in evident pain.He rose slowly to his feet, half leaning on the table."
"“她嘲笑我——就这样——眼里含着恨；她——不——愿——来。”","“She laughed at me—so—with the hate in her eye; and she—would—not—come.”"
"他的声音减弱，身子向后倒去。此时，马尔穆特·基德紧握住他的手腕，喊道：“谁？谁不愿来？”","His voice died away, and he was sinking back when Malemute Kid gripped him by the wrist, and shouted, “Who?Who would not come?”"
"“她，昂加。她嘲笑我，打我，就这样。然后——”","“She, Unga.She laughed, and struck at me, so, and so.And then”—"
"“嗯？”","“Yes?”"
"“然后——”","“And then”—"
"“然后怎么了？”","“And then what?”"
"“然后他一动不动地躺在雪里，躺了很长时间。他——还在——雪里。”","“And then he lay very still, in the snow, a long time.He is—still in—the—snow.”"
"两个人互相看着对方，不知道怎么办。","The two men looked at each other helplessly."
"“谁在雪里？”","“Who is in the snow?”"
"“她，昂加。她眼里含着恨盯着我，然后——”","“She, Unga.She looked at me with the hate in her eye, and then”—"
"“嗯，嗯。”","“Yes, yes.”"
"“然后她拿起刀，就这样，一刀，两刀——她很虚弱。我走得很慢。那个地方有许多金子，非常多的金子。”","“And then she took the knife, so; and once, twice—she was weak.I traveled very slow.And there is much gold in that place, very much gold.”"
"“昂加在什么地方？”从马尔穆特·基德能够听懂的话里推断，她可能就在离他们一英里的地方，就快死了。他拼命摇晃着那个人，一遍又一遍地问：“昂加在什么地方？谁是昂加？”","“Where is Unga?”For all Malemute Kid knew, she might be dying a mile away.He shook the man savagely, repeating again and again, “Where is Unga?Who is Unga?”"
"“她——在——雪——里。”","“She—is—in—the—snow.”"
"“接着说！”基德使劲按住他的手腕。","“Go on!”The Kid was pressing his wrist cruelly."
"“所以——我——本来——想——呆在——雪里——但是——我——得——还——一笔债。它——很——重——我——得——还——一笔——债——得——还——一笔——债——我——得——”他时断时续，单个字单个字的话停下了，他的手在口袋里摸索着，掏出了一个鹿皮口袋。“得——还——一笔——债——五——磅——金子——贷——款——马——尔——穆——特——基德——我——”他的脑袋无力地撞到了桌子上；马尔穆特·基德再也不能把他扶起来了。","“So—I—would—be—in—the snow—but—I—had—debt—to—pay.It—was—heavy—I—had—a—debt—to—pay—a—debt—to—pay—I—had”—The faltering monosyllables ceased, as he fumbled in his pouch and drew forth a buckskin sack.“A—debt—to—pay—five—pounds—of—gold—grub—stake—Mal—e—mute—Kid—I”—The exhausted head dropped upon the table; nor could Malemute Kid rouse it again."
"“是尤利西斯。”他平静地说道，同时把那袋子金子扔到桌子上。“看来阿克赛尔·冈德森跟那个女人都完了。来吧，咱们把他架到床上，给他盖上毯子。他是个印第安人；他肯定会摆脱危险的，没准还会给我们讲个故事呢。”","“It’s Ulysses,” he said quietly, tossing the bag of dust on the table.“Guess it’s all day with Axel Gunderson and the woman.Come on, let ’s get him between the blankets.He’s Indian; he’ll pull through, and tell a tale besides.”"
"他们把他身上的衣服割下来的时候，只见他右边的胸口处有两处没有长好的刀疤，伤口已经变硬了。","As they cut his garments from him, near his right breast could be seen two unhealed, hard-lipped knife thrusts."
"“我想讲讲我亲身经历过的事情；你们应该会懂的。我想从头讲起，讲讲我自己跟那个女人，之后，还要讲讲那个男人。”","“I will talk of the things which were, in my own way; but you will understand.I will begin at the beginning, and tell of myself and the woman, and, after that, of the man.”"
"这个用海獭皮换狗的人往火炉边靠了靠，他就像是一个丢了火种的人，担心普罗米修斯的礼物不知道什么时候就消失了。马尔穆特·基德拨亮了油灯，把它换了个位置，好让它能照着讲故事的人的脸。普林斯把身子从床那边移过来，也加入了他们。","He of the Otter Skins drew over to the stove as do men who have been deprived of fire and are afraid the Promethean gift may vanish at any moment.Malemute Kid pricked up the slush-lamp, and placed it so its light might fall upon the face of the narrator.Prince slid his body over the edge of the bunk and joined them."
"“我叫纳斯，我是一个酋长，也是酋长的儿子，在日落之后、日出之前的黑暗的大海上，我生在父亲的皮船上。整个晚上，男人们不停地划桨，女人们把扑到我们船上的海浪泼出去，我们和暴风雨搏斗着。带着盐味的海水在我母亲胸前冻住了，海浪退下去的时候，她的呼吸也随之停止了。但是我——我在暴风雨中提高了嗓门，总算保住了这条命。","“I am Naass, a chief, and the son of a chief, born between a sunset and a rising, on the dark seas, in my father’s oomiak.All of a night the men toiled at the paddles, and the women cast out the waves which threw in upon us, and we fought with the storm.The salt spray froze upon my mother’s breast till her breath passed with the passing of the tide.But I,—I raised my voice with the wind and the storm, and lived."
"“我们居住在阿卡屯——”","“We dwelt in Akatan”—"
"“什么地方？”马尔穆特·基德问。","“Where?” asked Malemute Kid."
"“阿卡屯，在阿留申群岛；阿卡屯，比奇格尼克岛、卡尔达拉克岛和乌尼马克岛都远。就像我说的，我们居住在阿卡屯，在大海中间，在世界的尽头。我们在咸海里捕鱼、捉海豹和海獭；我们的房子是紧挨在一起的，位于树林边缘和黄色沙滩中间的岩石带上，我们的皮船就停在那片沙滩上。我们的人很少，我们的世界也不大。东边有一些陌生的地方——都是和阿卡屯一样的岛屿；所以我们就认为整个世界都是岛，也并不在意。“我和我族里的人不一样。沙滩上有一些弯曲的船骨和几块被海浪打弯的船板，我族里从来没有人造过这样的船；我记得在那三面环海的岛的边缘，有一棵笔直整齐又高大的松树，也是以前岛上没有的。听说过去有两个男人去了那个地方，他们到处转悠，在那里呆了好多天，从日出望到日落。这两个人乘着船从海外来，而他们的船已经成了碎片，散落在沙滩上。他们的皮肤跟你们的一样白，身体虚弱得就像海豹已经逃掉，猎户两手空空回到家时饿肚子的小孩子似的。这些事情我都是从那些上了年纪的人那里听到的，他们又是听自己的祖辈们说的。这两个外来的白人刚开始不喜欢我们的生活习惯，但是吃了鱼和油以后，他们变得壮实而且凶猛。他们还自己建了房子，娶了我们最棒的女人，最后还生了孩子。就这样，我父亲的父亲的父亲就出生了。","“Akatan, which is in the Aleutians; Akatan, beyond Chignik, beyond Kardalak, beyond Unimak.As I say, we dwelt in Akatan, which lies in the midst of the sea on the edge of the world.We farmed the salt seas for the fish, the seal, and the otter; and our homes shouldered about one another on the rocky strip between the rim of the forest and the yellow beach where our kayaks lay.We were not many, and the world was very small.There were strange lands to the east,—islands like Akatan; so we thought all the world was islands, and did not mind.“I was different from my people.In the sands of the beach were the crooked timbers and wave-warped planks of a boat such as my people never built; and I remember on the point of the island which overlooked the ocean three ways there stood a pine tree which never grew there, smooth and straight and tall.It is said the two men came to that spot, turn about, through many days, and watched with the passing of the light.These two men came from out of the sea in the boat which lay in pieces on the beach.And they were white like you, and weak as the little children when the seal have gone away and the hunters come home empty.I know of these things from the old men and the old women, who got them from their fathers and mothers before them.These strange white men did not take kindly to our ways at first, but they grew strong, what of the fish and the oil, and fierce.And they built them each his own house, and took the pick of our women, and in time children came.Thus he was born who was to become the father of my father’s father."
"“我刚讲过，我和我族里的人不一样，因为我体内流着那个从海外来的壮实的白人的血液。听说，在这两个白人到来之前，我们原本有另外一套规矩；但是这两个人不但凶猛，还爱吵架，他们总是和我们族里的人打架，直到最后，没有人敢跟他们打了。最后，他们自立为酋长，打破了我们以前的规矩，另立了新的规矩，规定男人是他父亲的儿子，而不和我们过去一样，男人是母亲的儿子。他们还规定，第一个生下来的儿子有权利继承他父亲所有的东西，而他的兄弟姐妹就得自谋出路。他们还给我们立了别的规矩。他们教我们用新的方法捕鱼捉熊，我们树林里的熊可多了；他们还教我们多储存东西，以免遇到饥荒。这些都是好事。","“As I said, I was different from my people, for I carried the strong, strange blood of this white man who came out of the sea.It is said we had other laws in the days before these men; but they were fierce and quarrelsome, and fought with our men till there were no more left who dared to fight.Then they made themselves chiefs, and took away our old laws and gave us new ones, insomuch that the man was the son of his father, and not his mother, as our way had been.They also ruled that the son, firstborn, should have all things which were his father’s before him, and that the brothers and sisters should shift for themselves.And they gave us other laws.They showed us new ways in the catching of fish and the killing of bear which were thick in the woods; and they taught us to lay by bigger stores for the time of famine.And these things were good."
"“但是他们当了酋长以后，再没有人敢惹他们了，这两个外来的白人开始互相残杀。其中一个，也就是我继承了他血统的那个人，那时就把刺海豹的鱼叉扎进另外一个人身上有一胳膊深。这样，他们的孩子就不断地斗下去，接着是他们的孩子的孩子；他们非常恨对方，经常互相伤害，甚至到了我这一辈还是这样，以至于每家只有一个人能延续香火。我们家里，只剩下我自己；那一家只剩下一个女儿，叫昂加，和她母亲一起生活。一天夜里，他的父亲和我的父亲出海捕鱼就没有回来；后来，大潮把他们冲上岸，两个人仍然紧紧地扭打在一起。","“But when they had become chiefs, and there were no more men to face their anger, they fought, these strange white men, each with the other.And the one whose blood I carry drove his seal spear the length of an arm through the other’s body.Their children took up the fight, and their children’s children; and there was great hatred between them, and black doings, even to my time, so that in each family but one lived to pass down the blood of them that went before.Of my blood I was alone; of the other man’s there was but a girl, Unga, who lived with her mother.Her father and my father did not come back from the fishing one night; but afterward they washed up to the beach on the big tides, and they held very close to each other."
"“人们都惊讶于我们两家的仇恨，岁数大的人都一边摇头一边说，等她有了孩子，我也有了孩子，这个仗还要打下去。我小的时候他们就这么跟我讲，直到后来我也信了，把昂加看做是仇人，认为以后她的孩子一定会跟我的孩子打仗。我每天都在想这些事，等到我长大了，我就问他们为什么一定要到这种地步。他们答道：‘我们不知道，只知道你们的父辈就是这么做的。’我很纳闷，死了的人打的仗竟然非得让后来的人接着打下去，而且我确实不知道有什么道理可言。但是大家都说必须得这样，而我当时还不过是个小伙子。","“The people wondered, because of the hatred between the houses, and the old men shook their heads and said the fight would go on when children were born to her and children to me.They told me this as a boy, till I came to believe, and to look upon Unga as a foe, who was to be the mother of children which were to fight with mine.I thought of these things day by day, and when I grew to a stripling I came to ask why this should be so.And they answered, ‘We do not know, but that in such way your fathers did.’ And I marveled that those which were to come should fight the battles of those that were gone, and in it I could see no right.But the people said it must be, and I was only a stripling."
"“他们还说，我必须抓紧，这样我的孩子就会比她的孩子先成熟，先壮实起来。这很简单，我是酋长，因为我祖先的功绩和他们立下的规矩，以及我自己的财产，大家都很尊重我。什么样的姑娘都愿意嫁给我，但是我一个也看不上。那些年纪大的人和那些姑娘的母亲都催我要抓紧，因为那个时候很多猎手正向昂加的母亲开出大宗的聘礼；要是她的孩子比我的孩子壮实得早的话，我的孩子肯定会没命的。","“And they said I must hurry, that my blood might be the older and grow strong before hers.This was easy, for I was head man, and the people looked up to me because of the deeds and the laws of my fathers, and the wealth which was mine.Any maiden would come to me, but I found none to my liking.And the old men and the mothers of maidens told me to hurry, for even then were the hunters bidding high to the mother of Unga; and should her children grow strong before mine, mine would surely die."
"“我还是没有选中一位称心的姑娘，直到有一天傍晚我捕鱼回来。太阳正要落山，低沉的日光照射着我的眼睛，风很顺，几只皮船乘着白色的海浪疾驰过来。突然昂加的皮船从我旁边驶过，她看了我一眼，她乌黑的头发飘舞着，像黑夜的云彩，脸颊被浪花打得湿漉漉的。我刚讲过，太阳光照着我的眼睛，我还是个小伙子；但是不知怎么回事，我恍然大悟，这就是所谓的情投意合。等她划船前进的时候，刚划了两下，又回过头来看我——只有昂加这样的女人才会这样看人——我知道这还是那样的表示。我们超过那些慢吞吞的大皮船，把它们远远落在后面的时候，大家都替我们叫好。但是她快速地划着桨，我的心像一张满帆，不过我没赶上她。风力变强了，海上是雪白的浪，船像海豹一样迎风飞驰，我们朝着海面上那缕金色的阳光呼啸而去。”","“Nor did I find a maiden till one night coming back from the fishing.The sunlight was lying, so, low and full in the eyes, the wind free, and the kayaks racing with the white seas.Of a sudden the kayak of Unga came driving past me, and she looked upon me, so, with her black hair flying like a cloud of night and the spray wet on her cheek.As say, the sunlight was full in the eyes, and I was a stripling; but somehow it was all clear, and I knew it to be the call of kind to kind.As she whipped ahead she looked back within the space of two strokes,—looked as only the woman Unga could look,—and again I knew it as the call of kind.The people shouted as we ripped past the lazy oomiaks and left them far behind.But she was quick at the paddle, and my heart was like the belly of a sail, and I did not gain.The wind freshened, the sea whitened, and, leaping like the seals on the windward breech, we roared down the golden pathway of the sun.”"
"纳斯弯着身子，已有一半身体离开了凳子，他摆出一副划桨的姿势，就像又在比赛一样。在炉子对面的某个地方，他似乎看到了那只上下颠簸的橡皮船和昂加飞扬的头发。他的耳朵似乎听见了风声，鼻孔里似乎也充满了海水的咸味。","Naass was crouched half out of his stool, in the attitude of one driving a paddle, as he ran the race anew.Somewhere across the stove he beheld the tossing kayak and the flying hair of Unga.The voice of the wind was in his ears, and its salt beat fresh upon his nostrils."
"“但是她上岸了，跑到沙滩上，笑着跑回她母亲的房子。那一晚，我有了一个极好的想法——一个无愧是阿卡屯全体人民领袖的想法。于是，当月亮升起的时候，我就来到她母亲的房子前边，看了看雅希—奴希堆在她门前的那些东西——这是雅希—奴希的聘礼，他是一个身体强壮的猎手，想当昂加孩子的父亲。其他几个年轻人也曾把东西堆在那里，后来又拿走了；而且每个年轻人堆放的东西都比前边的小伙子堆放得多一些。","“But she made the shore, and ran up the sand, laughing, to the house of her mother.And a great thought came to me that night,—a thought worthy of him that was chief over all the people of Akatan.So, when the moon was up, I went down to the house of her mother, and looked upon the goods of Yash-Noosh, which were piled by the door,—the goods of Yash-Noosh, a strong hunter who had it in mind to be the father of the children of Unga.Other young men had piled their goods there, and taken them away again; and each young man had made a pile greater than the one before."
"“我对着月亮和星星笑了起来，回到自己的房子里，那里储存着我的财产。我搬了好几趟，直到我的东西比雅希—奴希的那堆高出一只手为止。那里有晒干的鱼和烟熏的鱼；有海豹皮四十张，毛皮二十张，每张皮都扎着口，肚子里是满满的鱼油；还有熊皮十张，那是春天熊出现时我在树林子里打回来的。那里还有珠子、毛毯和鲜红色的布，这些都是我和东边的人换来的，而他们又是和住在更东边的人换来的。我看着雅希—奴希的那一堆东西笑了；因为我是阿卡屯的酋长，我的财产比那些小伙子的都多，我的祖先们曾立下功绩，还立了很多规矩，使得他们的名字流芳百世。","“And I laughed to the moon and the stars, and went to my own house where my wealth was stored.And many trips I made, till my pile was greater by the fingers of one hand than the pile of Yash-Noosh.There were fish, dried in the sun and smoked; and forty hides of the hair seal, and half as many of the fur, and each hide was tied at the mouth and big-bellied with oil; and ten skins of bear which I killed in the woods when they came out in the spring.And there were beads and blankets and scarlet cloths, such as I got in trade from the people who lived to the east, and who got them in trade from the people who lived still beyond in the east.And I looked upon the pile of Yash-Noosh and laughed; for I was head man in Akatan, and my wealth was greater than the wealth of all my young men, and my fathers had done deeds, and given laws, and put their names for all time in the mouths of the people."
"“所以天刚亮，我就到沙滩上去，用余光看着昂加母亲的房子。我的聘礼还原封不动地堆在那里。女人们都在笑，还偷偷地议论着。我很纳闷，因为从没有一个人出过这么多聘礼；那天晚上，我又多放了一些东西，还在旁边放了一只从没出过海的、硝得很好的皮舟。但是到白天的时候它还是堆在那里，成了所有人的笑柄。昂加的母亲太狡猾了，我很生气，我不能在我族人的面前受这样的羞辱。所以，当天晚上我又放了很多东西，让它成了大大的一堆，另外，我还把我的大皮船也拖到了岸上，这只船可抵得上二十只皮舟。于是，清晨的时候，那堆东西都不见了。","“So, when the morning came, I went down to the beach, casting out of the corner of my eye at the house of the mother of Unga.My offer yet stood untouched.And the women smiled, and said sly things one to the other.I wondered, for never had such a price been offered; and that night I added more to the pile, and put beside it a kayak of well-tanned skins which never yet had swam in the sea.But in the day it was yet there, open to the laughter of all men.The mother of Unga was crafty, and I grew angry at the shame in which I stood before my people.So that night I added till it became a great pile, and I hauled up my oomiak, which was of the value of twenty kayaks.And in the morning there was no pile."
"“然后我就开始准备婚礼，连住在东边的人都来了，因为宴会上的食物很丰盛，还有送给客人的礼物。昂加比我年纪大，大四个太阳，这是我们计算年龄的方式。我只是个小伙子；不过我是酋长，还是酋长的儿子，因此也没什么问题。","“Then made I preparation for the wedding, and the people that lived even to the east came for the food of the feast and the potlach token.Unga was older than I by the age of four suns in the way we reckoned the years.I was only a stripling; but then I was a chief, and the son of a chief, and it did not matter."
"“但是有一艘船从海平面上露出帆来，在风的推动下，船越来越近了。船的排水口处正淌出清清的水，船上的人正在急急忙忙地拼命抽动水泵。一个身材魁梧的人站在船头，一边瞧着水的深浅，一边下命令，他声如洪钟。他淡蓝色的眼睛像深水一样，他的头发像海狮的鬃毛。而且，他的头发是黄颜色的，就像南方人收割的稻草，又像是水手编织的马尼拉麻绳。","“But a ship shoved her sails above the floor of the ocean, and grew larger with the breath of the wind.From her scuppers she ran clear water, and the men were in haste and worked hard at the pumps.On the bow stood a mighty man, watching the depth of the water and giving commands with a voice of thunder.His eyes were of the pale blue of the deep waters, and his head was maned like that of a sea lion.And his hair was yellow, like the straw of a southern harvest or the manila rope-yarns which sailormen plait."
"“前些年，我们也见过很多从远方来的大船，但是这艘船是第一个在阿卡屯靠岸的。宴会停止了，女人和孩子们都跑回家里，而我们这些男人都拉好了弓，手持长矛，等着那伙人过来。但是，船头靠上岸以后，那些陌生人根本没注意到我们，他们在忙活自己的事情。潮退了以后，他们就把这艘双桅帆船翻过来，开始修补船底的那个大窟窿。就这样，女人们都又悄悄回来了，宴会继续。","“Of late years we had seen ships from afar, but this was the first to come to the beach of Akatan.The feast was broken, and the women and children fled to the houses, while we men strung our bows and waited with spears in hand.But when the ship’s forefoot smelt the beach the strange men took no notice of us, being busy with their own work.With the falling of the tide they careened the schooner and patched a great hole in her bottom.So the women crept back, and the feast went on."
