"神灵微笑时","When God Laughs"
"“但即使这样，在我现在这种智力状态下，我还是错了。他们并不是神。他们是男人和女人——充满着欲望、会叹气、会激动的软黏土，他们有神没有的奇怪的弱点。","“Yet even in this, my latest wisdom, I was wrong.They were not gods.They were man and woman—soft clay that sighed and thrilled shot through with desire, thumbed with strange weaknesses which the gods have not.”"
"卡奎奈兹停了下来，开始卷另一支烟，还放声大笑，笑声很刺耳。他笑得一点也不好看，更像是魔鬼的嘲笑，笑声越来越大，盖住了暴风雨的怒吼，因而外面的嘈杂声变得含糊不清。","Carquinez broke from his narrative to roll another cigarette and to laugh harshly.It was not a pretty laugh; it was like the mockery of a devil, and it rose over and rode the roar of the storm that came muffled to our ears from the crashing outside world."
"“我是只青蛙，”他抱歉地说。“他们怎么能理解呢？”“他们是艺术家，不是生物学家。”他们知道工作室里的黏土，但他们却不知道自己是什么样的黏土造的。可是我要说——他们玩得太过了。以前从没有过这样的游戏，我怀疑以后也不会有这样的游戏。","“I am a frog,” he said apologetically.“How were they to understand?They were artists, not biologists.They knew the clay of the studio, but they did not know the clay of which they themselves were made.But this I will say—they played high.Never was there such a game before, and I doubt me if there will ever be such a game again."
"“从没有恋人像他们这样忘形。他们没用亲吻杀死爱。他们用克制刺激着爱。因为克制，他们让爱充满欲望。那个以火为翼的弹琴人用自己温暖的翅膀给他们扇风，直到他们神魂颠倒。这是爱的谵妄，周驰月遁，他们的爱丝毫没有消减，反而越来越浓厚。","“Never was lovers’ ecstasy like theirs.They had not killed Love with kisses.They had quickened him with denial.And by denial they drove him on till he was all aburst with desire.And the flame-winged luteplayer fanned them with his warm wings till they were all but swooning.It was the very delirium of Love, and it continued undiminished and increasing through the weeks and months."
"“他们渴望着、向往着，经受着爱所有痴情的苦闷和甜蜜的痛苦，他们的渴望是如此的强烈，简直是前无古人，后无来者。","“They longed and yearned, with all the fond pangs and sweet delicious agonies, with an intensity never felt by lovers before nor since."
"“一天，昏睡的神明终于不再打瞌睡了。他们醒来看着这对嘲弄他们的男女。一天早晨，这对夫妻相互对视，明白有些东西已经不复存在。就是那个挥着火焰翅膀的人。夜里他从修道院的木板上悄悄地飞走了。","“And then one day the drowsy gods ceased nodding.They aroused and looked at the man and woman who had made a mock of them.And the man and woman looked into each other’s eyes one morning and knew that something was gone.It was the flame-winged one.He had fled, silently, in the night, from their anchorites’ board."
"“他们彼此对视，知道对方并不在乎。欲望已死。你明白么？欲望已死。而他们从未吻过对方。一次都没有。爱已成往事。他们的内心不会再渴望、再燃烧。对他们来说一切都结束了——再也没有战栗和颤抖，再也没有美妙的苦痛，再也没有悸动和心动，再也没有叹息和歌声。欲望熄灭了。夜里，爱孤单地躺在一张冰冷的床上，死去了；他们并没有亲眼看到爱离去。他们从彼此的眼神中第一次明白了这个事实。","“They looked into each other’s eyes and knew that they did not care.Desire was dead.Do you understand?Desire was dead.And they had never kissed.Not once had they kissed.Love was gone.They would never yearn and burn again.For them there was nothing left—no more tremblings and flutterings and delicious anguishes, no more throbbing and pulsing, and sighing and song.Desire was dead.It had died in the night, on a couch cold and unattended; nor had they witnessed its passing.They learned it for the first time in each other’s eyes."
"“神可能不很友善，但却还算仁慈。他们旋转着小象牙球，收走了桌上的赌注。最后，只有这对男女互相盯着对方冰冷的眼眸。然后他死了。这就是神的慈悲。那周还没结束，马文·菲斯克就去世了——你还记得那个意外吧。过了很久，在她那段时间记的日记里，我看到她引用米切尔·肯纳利的话：——","“The gods may not be kind, but they are often merciful.They had twirled the little ivory ball and swept the stakes from the table.All that remained was the man and woman gazing into each other’s cold eyes.And then he died.That was the mercy.Within the week Marvin Fiske was dead—you remember the accident.And in her diary, written at this time, I long afterward read Mitchell Kennerly’s:—"
"‘能亲吻的每一刻，我们的双唇都贴在一起’","‘There was not a single hour we might have kissed and did not kiss.’"
"“哦，真是讽刺！”我大叫。","“Oh, the irony of it!” I cried out."
"卡奎奈兹穿着天鹅绒大衣，在火光的映衬下简直就是魔鬼，他用他黑色的眼珠直勾勾地盯着我。","And Carquinez, in the firelight a veritable Mephistopheles in velvet jacket, fixed me with his black eyes."
"“你说，他们赢了？世人的判断！我告诉过你，而且我知道。他们的胜利和你在这丘陵里的胜利别无二致。","“And they won, you said?The world’s judgment!I have told you, and I know.They won as you are winning, here in your hills.”"
"“但是你，”我生气地质问他，“你纵情享乐，沉溺于声色犬马之中——你以为自己赢了么？”","“But you,” I demanded hotly; “you with your orgies of sound and sense, with your mad cities and madder frolics—bethink you that you win?”"
"他缓缓地摇了摇头。“因为你和你清醒的乡野生活输了，所以我也没有理由赢。我们从来不会赢。有时候我们认为我们赢了。这是众神开的小玩笑。”","He shook his head slowly.“Because you, with your sober bucolic regime, lose, is no reason that I should win.We never win.Sometimes we think we win.That is a little pleasantry of the gods.”"
