"英格兰，我的英格兰","England, My England"
"她想要什么——她究竟想要什么？她母亲曾带着明显讥讽的口吻对她说：“唉，亲爱的，如果你命中注定要面对的人像百合花那样既不劳作、也不纺线，那也不过是万千命运中的一种，或许还不是最不好受的那种呢。为什么你要见怪呢，我的孩子？”","What did she want—what did she want?Her mother once said to her, with that characteristic touch of irony: ‘Well, dear, if it is your fate to consider the lilies, that toil not, neither do they spin, that is one destiny among many others, and perhaps not so unpleasant as most.Why do you take it amiss, my child?’"
"母亲的心思比孩子们更细致入微，所以孩子们很少知道该怎么回答她。于是威妮弗雷德只是更困惑了。问题和百合花无关。至少，就算问题和百合花有关的话，那她的孩子们才是那小小的花朵。他们至少在长起来。耶稣不是说“你想野地里的百合花，怎 么长起来”吗？还好，她的孩子们正在长起来。而孩子父亲身为那朵高大、帅气的花，已经完全盛开了，所以她不想把生命花来照顾处在花样年华的他上。","The mother was subtler than her children, they very rarely knew how to answer her.So Winifred was only more confused.It was not a question of lilies.At least, if it were a question of lilies, then her children were the little blossoms.They at least grew.Doesn’t Jesus say: ‘Consider the lilies how they grow.’Good then, she had her growing babies.But as for that other tall, handsome flower of a father of theirs, he was full grown already, so she did not want to spend her life considering him in the flower of his days."
"不，这不是因为他不挣钱。这不是因为他无所事事。他并不是无所事事。他总是在做事，总是在克罗坎不停地干活，干零碎活。但是，噢，天啊，零碎活——花园小径——绚烂的花朵——待修的椅子，待修的旧椅子！","No, it was not that he didn’t earn money.It was not that he was idle.He was not idle.He was always doing something, always working away, down at Crockham, doing little jobs.But, oh dear, the little jobs—the garden paths—the gorgeous flowers—the chairs to mend, old chairs to mend!"
"他就是这样的毫无主张。只要他干点像样的事情，哪怕是失败了，扔了他们的钱也行！哪怕他和什么事情抗争过那么一下子。不但如此，哪怕他是一个坏人、一个浪子，她也会比现在更自在。那样，她至少能有点东西可以抗拒下。浪子还有立场呢，真的。他会说：“不，我不会通过这种追求增长和相互抱团的行当来帮助和支持社会。我会尽我所能，一点点地掀翻社会这辆苹果车。”或者他会说：“不，我不会操心别人的事。就算我有贪欲，那也是我自己的。相比别人的美德，我更喜欢自己的贪欲。”所以，一个浪子、一个流氓，也有某种立场。他会直面反对和最后的苛责：至少在故事书中是这样。","It was that he stood for nothing.If he had done something unsuccessfully, and lost what money they had!If he had but striven with something.Nay, even if he had been wicked, a waster, she would have been more free.She would have had something to resist, at least.A waster stands for something, really.He says: ‘No, I will not aid and abet society in this business of increase and hanging together, I will upset the apple-cart as much as I can, in my small way.’Or else he says: ‘No, I will not bother about others.If I have lusts, they are my own, and I prefer them to other people’s virtues.’So, a waster, a scamp, takes a sort of stand.He exposes himself to opposition and final castigation: at any rate in story-books."
"但埃格伯特！你能对埃格伯特那样的男人怎样？他没有恶习。他真的很善良，而且很慷慨。他也不虚弱。如果他虚弱的话，威妮弗雷德也许会对他好点。但是他甚至连那种慰藉也没有给她。他不虚弱，也不想要她的安慰或者善意。不用，谢谢。他性情有些急躁，而且比她还倔强，这很罕见。他知道这一点，她也知道。所以她只是更加为难，更加生气了，真是个可怜的人。他比她更高等、更优雅，至于身体，不言而喻，也比她更强壮。他玩弄着他的花园、古老的民歌和莫里斯舞，只管玩弄，而让她用自己的心去支撑起未来的栋梁。","But Egbert!What are you to do with a man like Egbert?He had no vices.He was really kind, nay generous.And he was not weak.If he had been weak Winifred could have been kind to him.But he did not even give her that consolation.He was not weak, and he did not want her consolation or her kindness.No, thank you.He was of a fine passionate temper, and of a rarer steel than she.He knew it, and she knew it.Hence she was only the more baffled and maddened, poor thing.He, the higher, the finer, in his way the stronger, played with his garden, and his old folk-songs and Morris-dances, just played, and let her support the pillars of the future on her own heart."
"他开始变得苦闷，一种邪恶的表情开始浮现在他脸上。他没有向她屈服；他不会那样做。在他那修长、苗条、白皙的身体里，住着七个魔鬼。他很健康，过着自制的生活。是的，他甚至主动要把自己鲜活的生命力锁在体内，现在她无法从他身上拿走它了。或者说，现在她只能偶尔拿走它。因为有时她不得不让步。她如此爱他，如此渴望得到他。他对她来说是如此精致。他是个优雅的生物，比她自己更优雅。是的，她呻吟着不得不屈服于自己对他无法熄灭的欲望。然后他又来到她身上——啊，好可怕，啊，好美妙。有时她会想：他俩怎么可能从席卷两人的极度激情中活下来。这对她来说就像真正的闪电，一道又一道，穿透她身体的每根神经，直至熄灭。","And he began to get bitter, and a wicked look began to come on his face.He did not give in to her; not he.There were seven devils inside his long, slim, white body.He was healthy, full of restrained life.Yes, even he himself had to lock up his own vivid life inside himself, now she would not take it from him.Or rather, now that she only took it occasionally.For she had to yield at times.She loved him so, she desired him so, he was so exquisite to her, the fine creature that he was, finer than herself.Yes, with a groan she had to give in to her own unquenched passion for him.And he came to her then—ah, terrible, ah, wonderful, sometimes she wondered how either of them could live after the terror of the passion that swept between them.It was to her as if pure lightning, flash after flash, went through every fibre of her, till extinction came."
"但是，这就是人生，这就是命运。这就好比云的命运，开始时只是一些蒸汽在缓缓聚集，缓缓地聚集，渐渐充满天空、遮蔽整个太阳。","But it is the fate of human beings to live on.And it is the fate of clouds that seem nothing but bits of vapour slowly to pile up, to pile up and fill the heavens and blacken the sun entirely."
"就是这样的。爱回来了，激情的闪电在他们之间猛烈地划过。于是出现了片刻的蓝天和灿烂。接着，仿佛是不可避免地，不可避免地，云又开始缓缓地从地平线上升起，缓缓地，缓缓地在天空聚拢，不时投下一片冰冷、可恶的阴影：缓缓地，缓缓地聚集，充满了整个苍穹。","So it was.The love came back, the lightning of passion flashed tremendously between them.And there was blue sky and gorgeousness for a little while.And then, as inevitably, as inevitably, slowly the clouds began to edge up again above the horizon, slowly, slowly to lurk about the heavens, throwing an occasional cold and hateful shadow: slowly, slowly to congregate, to fill the empyrean space."
"随着时间一年年过去，闪电点亮天空的次数越来越少，天空中的蓝色也越来越少见。渐渐地灰色的盖子罩住了他们，好像以后会永远如此。","And as the years passed, the lightning cleared the sky more and more rarely, less and less the blue showed.Gradually the grey lid sank down upon them, as if it would be permanent."
"那么，为什么埃格伯特不做点什么呢？为什么他不去掌控生活呢？为什么他不像威妮弗雷德的父亲那样，成为社会的栋梁，哪怕是一根纤细、精致的立柱呢？为什么他不去做点工作呢？为什么他不选择哪怕一个方向呢？","Why didn’t Egbert do something, then?Why didn’t he come to grips with life?Why wasn’t he like Winifred’s father, a pillar of society, even if a slender, exquisite column?Why didn’t he go into harness of some sort?Why didn’t he take some direction?"
"唉，你可以把一头驴带到水边，但是你无法强迫它喝水。世界就是那水，而埃格伯特就是那头驴。他一点都不喝。他做不到：他就是做不到。既然生活窘迫没有迫使他为养家糊口而工作，他当然也不会为了工作而工作。你不能让耧斗菜在一月份花枝招展，也不能让布谷鸟在圣诞节的英格兰放声高歌。为什么？那不是他的季节。他不想那样做。而且，他不可能想那样做。","Well, you can bring an ass to the water, but you cannot make him drink.The world was the water and Egbert was the ass.And he wasn’t having any.He couldn’t: he just couldn’t.Since necessity did not force him to work for his bread and butter, he would not work for work’s sake.You can’t make the columbine flowers nod in January, nor make the cuckoo sing in England at Christmas.Why?It isn’t his season.He doesn’t want to.Nay, he can’t want to."
"埃格伯特的情况就是那样。他无法把自己与世俗事务联系起来，因为他连基本的欲望也没有。不但如此，在他心底有一个更为强烈的欲望：超然物外。超然物外。不伤害任何人。只是超然物外。这不是他的季节。","And there it was with Egbert.He couldn’t link up with the world’s work, because the basic desire was absent from him.Nay, at the bottom of him he had an even stronger desire: to hold aloof.To hold aloof.To do nobody any damage.But to hold aloof.It was not his season."
"也许他本来就不应该结婚生子的。但是你无法阻止水的流动。","Perhaps he should not have married and had children.But you can’t stop the waters flowing."
"对威妮弗雷德来说，也是如此。她生来就受不了这种超然。她的家族谱系是一株茁壮的植物，它必须得随风摇曳，必须得信念坚定。她的生活必须朝一个方向走，或朝另一个方向走。在她自己家里，她完全不了解自己在埃格伯特身上发现的懦怯，她对此无法理解，这使她非常沮丧。面对这种可怕的懦怯，她该做什么，她该做什么？","Which held true for Winifred, too.She was not made to endure aloof.Her family tree was a robust vegetation that had to be stirring and believing.In one direction or another her life had to go.In her own home she had known nothing of this diffidence which she found in Egbert, and which she could not understand, and which threw her into such dismay.What was she to do, what was she to do, in face of this terrible diffidence?"
"在她自己家里，一切都不一样。她父亲或许也有过他自己的担忧，但是他把它们都留在心里。大概他并不太相信我们的这个世界，这个我们费尽心机打造，最终却发现我们自己因心机费尽而死的社会。但是戈弗雷•马歇尔性情坚韧而强硬，也不乏有益的、狡黠的品质。对他来说，这是个如何努力奋斗的问题，其他都留给上天定夺。即使他没有看到什么可以感到荣耀的幻象，他还是真的相信上天。他的信仰方式很盲目，从不怀疑。他的信仰就像一种永远不会灭绝的树流出的树汁那样粗野。他的信仰就是这么的盲目而粗野，和树汁一样盲目而粗野，却有助于人的成长和信仰的维持。也许他有些不择手段，但是同样，一棵正在努力向上生长的树也是不择手段的，它要在长满其他树的密林里挤出一条生路。","It was all so different in her own home.Her father may have had his own misgivings, but he kept them to himself.Perhaps he had no very profound belief in this world of ours, this society which we have elaborated with so much effort, only to find ourselves elaborated to death at last.But Godfrey Marshall was of tough, rough fibre, not without a vein of healthy cunning through it all.It was for him a question of winning through, and leaving the rest to heaven.Without having many illusions to grace him, he still did believe in heaven.In a dark and unquestioning way, he had a sort of faith: an acrid faith like the sap of some not-to-be-exterminated tree.Just a blind acrid faith as sap is blind and acrid, and yet pushes on in growth and in faith.Perhaps he was unscrupulous, but only as a striving tree is unscrupulous, pushing its single way in a jungle of others."
"最后，就是这种粗野的、树汁一样的信仰在推动人类不断前进。人类在亲手为自己建立的社会制度的庇护下，会一代又一代地生活下去，就像在一个用墙围住的花园里那样，即使人类突然灭绝，梨树和葡萄丛仍会一季接一季继续结果。但是一点一点地，墙内的果树会逐渐拖垮支撑它们的墙。一点一点地，每种制度都会崩溃，除非活着的人不停地将它重建或修复。","In the end, it is only this robust, sap-like faith which keeps man going.He may live on for many generations inside the shelter of the social establishment which he has erected for himself, as pear-trees and currant bushes would go on bearing fruit for many seasons, inside a walled garden, even if the race of man were suddenly exterminated.But bit by bit the wall-fruit-trees would gradually pull down the very walls that sustained them.Bit by bit every establishment collapses, unless it is renewed or restored by living hands, all the while."
"埃格伯特根本无法让他自己去做这种重建或修复的事情。他没有意识到这一事实：但是不管怎么说，意识到也不会有多大帮助。他就是不能。他继承了他古老、优雅的血统中的禁欲和享乐的品性。然而，他的岳父尽管比埃格伯特傻多了，却认识到：既然我们来到世上，我们就要活下去。所以他投身到他那一小部分社会工作中去，为他的家庭尽最大的努力，其余的就看上天的最高意志了。某种强健的血液使他能够一直走下去。但是有时，连他身上都会突然迸发出一种对世界和世上万物的怨恨。然而——他自己想要成功，这让他坚持了下去。他拒绝问自己成功意味着什么。它意味着汉普郡的房产，他的孩子们什么都不缺，以及他自己在这个世界上的某种重要性：够了！——够了！够了！","Egbert could not bring himself to any more of this restoring or renewing business.He was not aware of the fact: but awareness doesn’t help much, anyhow.He just couldn’t.He had the stoic and epicurean quality of his old, fine breeding.His father-in-law, however, though he was not one bit more of a fool than Egbert, realized that since we are here we may as well live.And so he applied himself to his own tiny section of the social work, and to doing the best for his family, and to leaving the rest to the ultimate will of heaven.A certain robustness of blood made him able to go on.But sometimes even from him spurted a sudden gall of bitterness against the world and its make-up.And yet—he had his own will-to-succeed, and this carried him through.He refused to ask himself what the success would amount to.It amounted to the estate down in Hampshire, and his children lacking for nothing, and himself of some importance in the world: and @basta!—Basta! Basta!@"
"尽管如此，我们不要把他想象成一个平常的奋斗者。他不是。他跟埃格伯特一样知道梦碎意味着什么。也许在他灵魂里，他有着同样的对成功的评价。但是他有某种粗野的勇气，和某种权力欲望。在他自己的小圈子里，他会动用权力——他盲目的自我所拥有的唯一的力量。尽管他总是溺爱他的孩子们，他仍是传统的英格兰父亲。他很明智，没有制定规矩，没有把权力抽象化。但是他很荣幸地彻底支配了孩子的灵魂，维持了传统父权的威望，这非常不可思议。这把象征父亲神权的旧火炬仍在燃烧，在他内心熊熊燃烧。","Nevertheless do not let us imagine that he was a common pusher.He was not.He knew as well as Egbert what disillusion meant.Perhaps in his soul he had the same estimation of success.But he had a certain acrid courage, and a certain will-to-power.In his own small circle he would emanate power, the single power of his own blind self.With all his spoiling of his children, he was still the father of the old English type.He was too wise to make laws and to domineer in the abstract.But he had kept, and all honour to him, a certain primitive dominion over the souls of his children, the old, almost magic prestige of paternity.There it was, still burning in him, the old smoky torch or paternal godhead."
"他的孩子在这把火炬的圣光照耀下成长起来。最后，他给了女儿们所有的自由。但是他从来没真正让她们走出过他的势力范围。而她们，大胆地走进了我们这个没有父亲的世界，在强烈的白光下，学会了用世界的眼光来看问题。她们学会了批评父亲，甚至把世俗的白光当做真理，并由此出发，把父亲看成下等人。但这也只能在大脑中想想。一旦她们忘了她们那批评的把戏，就会再次被他的权威惯有的红光所笼罩。他的光辉是无法遮蔽的。","And in the sacred glare of this torch his children had been brought up.He had given the girls every liberty, at last.But he had never really let them go beyond his power.And they, venturing out into the hard white light of our fatherless world, learned to see with the eyes of the world.They learned to criticize their father, even, from some effulgence of worldly white light, to see him as inferior.But this was all very well in the head.The moment they forgot their tricks of criticism, the old red glow of his authority came over them again.He was not to be quenched."
"让那些精神分析学家去谈什么恋父情结吧。它不过是一个杜撰的词。这个男人让父权的红色火焰从过去一直燃烧到今天。这种父权甚至可以让他像亚伯拉罕一样将孩子用来祭祀上帝。这种父权决定了孩子们的生死：一种巨大的自然力量。无论孩子们愿意与否，戈弗雷·马歇尔都将守护他们，一直到他的女儿们能够置身于其他巨大的权威之下，直到他的儿子们长大成人，自身也成了同样的权力中心，并延续起同样的男性奥秘。","Let the psycho-analyst talk about father complex.It is just a word invented.Here was a man who had kept alive the old red flame of fatherhood, fatherhood that had even the right to sacrifice the child to God, like Isaac.Fatherhood that had life-and-death authority over the children: a great natural power.And till his children could be brought under some other great authority as girls; or could arrive at manhood and become themselves centres of the same power, continuing the same male mystery as men; until such time, willy-nilly, Godfrey Marshall would keep his children."
"曾经有一阵子，他好像会失去威妮弗雷德。威妮弗雷德崇拜她的丈夫，把他尊为奇妙的事物。大概她期待着能在他身上发现另一个巨大的权威，比她父亲的更大、更好的男性权威。由于体验过男性权威的光芒，她不会很轻易地就转到女性独立的冰冷白光中去。她会渴求，终生渴求真正男性力量的温暖和庇护。","It had seemed as if he might lose Winifred.Winifred had adored her husband, and looked up to him as to something wonderful.Perhaps she had expected in him another great authority, a male authority greater, finer than her father’s.For having once known the glow of male power, she would not easily turn to the cold white light of feminine independence.She would hunger, hunger all her life for the warmth and shelter of true male strength."
"她自然会渴求，因为埃格伯特的力量体现在对权力的放弃上。他自己就是对权力活生生的否定。甚至是对责任的否定。因为对权力的否定最终意味着对责任的否定。随着这些事情的发展，他会把自己禁锢起来。他甚至会试着把他的影响力限制在他自己身上。只要可能，他就试图不去承担对孩子应尽的责任，以避免影响他们。《圣经》上不是说“小孩子要牵引它们”吗？那么，他的小孩子也要牵引自己的命运。他会试着不给小孩的成长方式带来任何的影响。他会避免影响它。自由！","And hunger she might, for Egbert’s power lay in the abnegation of power.He was himself the living negative of power.Even of responsibility.For the negation of power at last means the negation of responsibility.As far as these things went, he would confine himself to himself.He would try to confine his own influence even to himself.He would try, as far as possible, to abstain from influencing his children by assuming any responsibility for them.‘A little child shall lead them—’ His child should lead, then.He would try not to make it go in any direction whatever.He would abstain from influencing it.Liberty!—"
"可怜的威妮弗雷德在这种自由中就像一条离开了水的鱼，渴望着能更紧密地包纳她的元素。直到她孩子的到来。然后她知道她必须为它负责，她必须对它有权威。","Poor Winifred was like a fish out of water in this liberty, gasping for the denser element which should contain her.Till her child came.And then she knew that she must be responsible for it, that she must have authority over it."
"但是埃格伯特不声不响，悄然地从这里插了进来。他不声不响，悄然却致命地弱化了她对她孩子们的权威。","But here Egbert silently and negatively stepped in.Silently, negatively, but fatally he neutralized her authority over her children."
"第三个小女孩出生了。在这之后，威妮弗雷德不想再要小孩了。她的灵魂正在变成荒野。","There was a third little girl born.And after this Winifred wanted no more children.Her soul was turning to salt."
"所以她看管孩子们，她们是她的责任。她们花的钱来自她的父亲。她会为她们尽最大努力，掌控着她们的生死。但是不！埃格伯特不会承担责任。他甚至不会给钱。但是他不会让她任意行事。他不允许她有隐秘、沉默、易怒的权威。这是他们之间的斗争，自由与传统家族权威之间的斗争。当然，他赢了。小女孩们爱他，崇敬她。“爸爸！爸爸！”她们可以跟他一起，做她们喜欢的事。她们的母亲则会管束她们。她本来可以激情满满地管束她们，带着痴迷，带着父母权威的古老而隐秘的魔力，那种时隐时现而不容置疑的权威，毕竟，那也是神授的权威：如果我们相信神授权威的话。作为天主教徒，马歇尔一家是相信的。","So she had charge of the children, they were her responsibility.The money for them had come from her father.She would do her very best for them, and have command over their life and death.But no!Egbert would not take the responsibility.He would not even provide the money.But he would not let her have her way.Her dark, silent, passionate authority he would not allow.It was a battle between them, the battle between liberty and the old blood-power.And of course he won.The little girls loved him and adored him.‘Daddy!Daddy!’They could do as they liked with him.Their mother would have ruled them.She would have ruled them passionately, with indulgence, with the old dark magic of parental authority, something looming and unquestioned and, after all, divine: if we believe in divine authority.The Marshalls did, being Catholic."
"而埃格伯特，把她的古老而隐秘的天主教家族权威变成了一种独裁。他不会把她的孩子们留给她。他把她们从她那里偷走，却不承担对她们的责任。在情感和精神上，他把她们从她那里偷走，只让她控制她们的行为。对于一位母亲来说，这是一件费力却不讨好的事。她的孩子们崇敬他，一直崇敬他，却很少知道她们正在为自己准备着空虚的苦痛，那种当她们也长大成人，有了像埃格伯特那样可爱却无用的丈夫时的苦痛。","And Egbert, he turned her old dark, Catholic blood-authority into a sort of tyranny.He would not leave her her children.He stole them from her, and yet without assuming responsibility for them.He stole them from her, in emotion and spirit, and left her only to command their behaviour.A thankless lot for a mother.And her children adored him, adored him, little knowing the empty bitterness they were preparing for themselves when they too grew up to have husbands: husbands such as Egbert, adorable and null."
"乔伊斯这个年龄最大的孩子，仍是他的最爱。她现在六岁了，是个一刻也不安宁的小家伙。巴巴拉最小的孩子现在两岁，还在蹒跚学步。她们大部分时间都在克罗坎度过，因为他想呆在那儿。就连威妮弗雷德也着实喜欢那个地方。但现在，由于她处于沮丧而盲目的状态，那地方对她的孩子们而言充满了威胁。蝰蛇、有毒的浆果、小溪、沼泽、也许不怎么干净的水——一样接一样。在母亲和保姆眼里，她们必须像游击战中的炮火那样不停地发号施令。而这三个不安生的金发小女孩却不服管束，会欢快地到处跑。支持孩子们与母亲和保姆对着干的是这位父亲。事实的确如此。","Joyce, the eldest, was still his favourite.She was now a quicksilver little thing of six years old.Barbara, the youngest, was a toddler of two years.They spent most of their time down at Crockham, because he wanted to be there.And even Winifred loved the place really.But now, in her frustrated and blinded state, it was full of menace for her children.The adders, the poison-berries, the brook, the marsh, the water that might not be pure—one thing and another.From mother and nurse it was a guerilla gunfire of commands, and blithe, quicksilver disobedience from the three blonde, never-still little girls.Behind the girls was the father, against mother and nurse.And so it was."
"“如果你不快点过来，保姆，我就跑出去，到有蛇的地方去。”","‘If you don’t come quick, nurse, I shall run out there to where there are snakes.’"
"“乔伊斯，你必须耐心等等。我正在给安纳贝尔换衣服。”","‘Joyce, you must be patient.I’m just changing Annabel.’"
"你看吧。情况就是那样：总是那样。他正在小溪那边的公地上干活，也听见了。然而他继续干活，跟以往一样。","There you are.There it was: always the same.Working away on the common across the brook he heard it.And he worked on, just the same."
"忽然，他听到一声尖叫。他扔掉铲子，朝桥上跑去，看上去就像一头受惊的鹿。啊，威妮弗雷德在那里——乔伊斯弄伤了自己。他来到花园。","Suddenly he heard a shriek, and he flung the spade from him and started for the bridge, looking up like a startled deer.Ah, there was Winifred—Joyce had hurt herself.He went on up the garden."
"“怎么回事？”","‘What is it?’"
"孩子还在哭喊——现在喊的是——“爸爸！爸爸！噢——噢，爸爸！”母亲不停地说着：","The child was still screaming—now it was—‘Daddy!Daddy!Oh—oh, Daddy!’And the mother was saying:"
"“别害怕，宝贝。让妈妈看看。”","‘Don’t be frightened, darling.Let mother look.’"
"但孩子只是哭喊：","But the child only cried:"
"“噢，爸爸，爸爸，爸爸！”","‘Oh, Daddy, Daddy, Daddy!’"
"看到血从自己的膝盖上冒出来的情景，她吓坏了。威妮弗雷德弯下腰，把这六岁大的孩子放在膝上，仔细检查她的膝盖。埃格伯特也弯下腰。","She was terrified by the sight of the blood running from her own knee.Winifred crouched down, with her child of six in her lap, to examine the knee.Egbert bent over also."
"“别喊了，乔伊斯。”他焦躁地说，“她怎么把自己弄伤的？”","‘Don’t make such a noise, Joyce,’ he said irritably.‘How did she do it?’"
"“你除草后把镰刀什么的到处乱扔，她踩到上面，被绊倒了。”威妮弗雷德说着，一边盯着他弯腰凑过来的脸，眼神中带着严厉的责备。","‘She fell on that sickle thing which you left lying about after cutting the grass,’ said Winifred, looking into his face with bitter accusation as he bent near."
"他取出手帕，把它系在孩子的膝盖上。然后，他双手抱起这个还在抽泣的孩子，走进屋子，来到楼上她的床铺。在他怀里，她变得安静了。而他的内心正受着痛苦和内疚的煎熬。他把镰刀丢在草地边，让他如此深爱的大女儿因此受了伤。但是接着一想，这是一个意外——这是一个意外。他为何要感到内疚呢？很可能什么事都没有，过两三天就会好转。为什么要如此在意，为什么要担心呢？他把这事搁到了一边。","He had taken his handkerchief and tied it round the knee.Then he lifted the still sobbing child in his arms, and carried her into the house and upstairs to her bed.In his arms she became quiet.But his heart was burning with pain and with guilt.He had left the sickle there lying on the edge of the grass, and so his first-born child whom he loved so dearly had come to hurt.But then it was an accident—it was an accident.Why should he feel guilty?It would probably be nothing, better in two or three days.Why take it to heart, why worry?He put it aside."
"孩子穿着她的小夏装，躺在床上。经过这场惊吓，她现在脸色苍白。保姆抱着最小的孩子来了：小安纳贝尔站在那儿，抓着裙子。威妮弗雷德显得极其严肃，跟木头似的，正在俯身看女儿的膝盖。她从膝盖上取下了他那块浸染着鲜血的手帕。埃格伯特也俯身向前，脸上比心里显得更加镇定。威妮弗雷德显得一脸的严肃，他也不得不收敛些。孩子呻吟着，呜咽着。","The child lay on the bed in her little summer frock, her face very white now after the shock, Nurse had come carrying the youngest child: and little Annabel stood holding her skirt.Winifred, terribly serious and wooden-seeming, was bending over the knee, from which she had taken his blood-soaked handkerchief.Egbert bent forward, too, keeping more sangfroid in his face than in his heart.Winifred went all of a lump of seriousness, so he had to keep some reserve.The child moaned and whimpered."
"膝盖仍在大量出血——那是一个很深的伤口，正好在关节处。","The knee was still bleeding profusely—it was a deep cut right in the joint."
"“你最好去找个医生，埃格伯特。”威妮弗雷德心痛地说。","‘You’d better go for the doctor, Egbert,’ said Winifred bitterly."
"“噢，不！噢，不！”乔伊斯惊慌地哭喊着。","‘Oh, no!Oh, no!’ cried Joyce in a panic."
"“乔伊斯，我亲爱的，别哭！”威妮弗雷德说着，突然把小女孩搂到胸前，带着一种怪异的悲痛，宛若“痛苦之母”。连孩子都被吓得不敢出声了。埃格伯特看着妻子把孩子搂在胸前那悲哀的样子，转身走开了。只有安纳贝尔突然间大叫起来：“乔伊斯，乔伊斯，别让你的腿流血了！”","‘Joyce, my darling, don’t cry!’ said Winifred, suddenly catching the little girl to her breast in a strange tragic anguish, the @Mater Dolorata@.Even the child was frightened into silence.Egbert looked at the tragic figure of his wife with the child at her breast, and turned away.Only Annabel started suddenly to cry: ‘Joycey, Joycey, don’t have your leg bleeding!’"
"埃格伯特骑了四英里路，去村里找医生。他禁不住觉得威妮弗雷德有点小题大做了。膝盖本身肯定没怎么伤着！肯定没有。这只是一个皮外伤而已。","Egbert rode four miles to the village for the doctor.He could not help feeling that Winifred was laying it on rather.Surely the knee itself wasn’t hurt!Surely not.It was only a surface cut."
"医生出门了。埃格伯特留了口信，又急速地骑车往家里赶。他的心在遭受着焦虑的煎熬。他扔下自行车，汗流浃背地来到屋子里，看起来似乎矮了一截，像一个犯了错的人。威妮弗雷德在楼上，坐在乔伊斯旁边。乔伊斯在床上，看起来脸色苍白，像个地位尊贵的人，正在吃一些木薯布丁。孩子那苍白、小巧、受惊的脸庞让埃格伯特痛彻心扉。","The doctor was out.Egbert left the message and came cycling swiftly home, his heart pinched with anxiety.He dropped sweating off his bicycle and went into the house, looking rather small, like a man who is at fault.Winifred was upstairs sitting by Joyce, who was looking pale and important in bed, and was eating some tapioca pudding.The pale, small, scared face of his child went to Egbert’s heart."
"“温医生不在家。他两点半左右会来这里。”埃格伯特说。","‘Doctor Wing was out.He’ll be here about half past two,’ said Egbert."
"“我不要他来。”乔伊斯啜泣着。","‘I don’t want him to come,’ whimpered Joyce."
"“乔伊斯，亲爱的，你得耐心点、安静点。”威妮弗雷德说，“他不会伤害你的。相反，他会告诉我们怎么做才能让你的膝盖好得更快些。那就是他为什么必须来的原因。”","‘Joyce, dear, you must be patient and quiet,’ said Winifred.‘He won’t hurt you.But he will tell us what to do to make your knee better quickly.That is why he must come.’"
"威妮弗雷德总是仔细地给她的小女孩们解释，而那总是会让她们暂时找不到说话的机会。","Winifred always explained carefully to her little girls: and it always took the words off their lips for the moment."
"“还在流血吗？”埃格伯特说。","‘Does it bleed yet?’ said Egbert."
"威妮弗雷德小心地把被子掀开。","Winifred moved the bedclothes carefully aside."
"“我想没有了。”她说。","‘I think not,’ she said."
"埃格伯特也俯身去看。","Egbert stooped also to look."
"“是的，没有了。”她说。然后他站直身体，面部表情放松了下来。他转向孩子。","‘No, it doesn’t,’ she said.Then he stood up with a relieved look on his face.He turned to the child."
"“吃你的布丁吧，乔伊斯。”他说，“不会有什么事。你只需要安安静静地呆几天。”","‘Eat your pudding, Joyce,’ he said.‘It won’t be anything.You’ve only got to keep still for a few days.’"
"“你还没吃饭，是吧，爸爸？”","‘You haven’t had your dinner, have you, Daddy?’"
"“还没呢。”","‘Not yet.’"
"“保姆会给你准备好。”威妮弗雷德说。","‘Nurse will give it to you,’ said Winifred."
"“你会没事的，乔伊斯。”他说，对孩子微笑着，把她金色的头发从额上拨开。她也乖巧地对着他的脸微笑。","‘You’ll be all right, Joyce,’ he said, smiling to the child and pushing the blonde hair off her brow.She smiled back winsomely into his face."
"他走下楼，一个人吃着饭。保姆在一边侍候着他。","He went downstairs and ate his meal alone.Nurse served him."
"她喜欢侍候他。所有女人都喜欢他，喜欢为他做事。医生来了——一个肥胖的乡村医生，快乐且友善。","She liked waiting on him.All women liked him and liked to do things for him.The doctor came—a fat country practitioner, pleasant and kind."
"“怎么了，小姑娘，跌倒了，是吗？为你这么一位聪明的小女士做事真是快乐！什么！割伤了膝盖！啧—啧—啧！你可有点不够聪明了，那现在呢？没关系，没关系，很快会好的。我们来看一看伤口。不会伤着你。绝对一点都不会。保姆，拿只碗盛点温水来。很快就又好了，很快就好了。”","‘What, little girl, been tumbling down, have you?There’s a thing to be doing, for a smart little lady like you!What!And cutting your knee!Tut-tut-tut!That wasn’t clever of you, now was it?Never mind, never mind, soon be better.Let us look at it.Won’t hurt you.Not the least in life.Bring a bowl with a little warm water, nurse.Soon have it all right again, soon have it all right.’"
"乔伊斯朝他笑着，苍白的笑容里带着一丝优越感。她还不太习惯别人以这种方式跟她说话。","Joyce smiled at him with a pale smile of faint superiority.This was not the way in which she was used to being talked to."
"医生弯下腰，仔细查看孩子那瘦小、受伤的膝盖。埃格伯特俯身在他上面。","He bent down, carefully looking at the little, thin, wounded knee of the child.Egbert bent over him."
"“噢，天哪，噢，天哪！有点深的小伤口。讨厌的小伤口。讨厌的小伤口。不过，没关系。没关系，小女士。我们很快会让它好起来。很快就让它好起来，小女士。你叫什么名字？”","‘Oh, dear, oh, dear!Quite a deep little cut.Nasty little cut.Nasty little cut.But, never mind.Never mind, little lady.We’ll soon have it better.Soon have it better, little lady.What’s your name?’"
