"幸福","Bliss"
"她只是弄不明白——不可思议的是——她怎么会猜中富尔顿小姐的心绪，且猜得又快又准。她一刻也未怀疑过自己的判断，可是她根据什么来判断的呢？什么根据都没有。","What she simply couldn’t make out—what was miraculous—was how she should have guessed Miss Fulton’s mood so exactly and so instantly.For she never doubted for a moment that she was right, and yet what had she to go on?Less than nothing."
"“我想这种情况在女人之间确实极少极少发生。男人之间从来就没有出现过。”伯莎想,“不过我去客厅煮咖啡时，也许她会‘示意’的。”","“I believe this does happen very, very rarely between women.Never between men,” thought Bertha. “But while I am making the coffee in the drawing-room perhaps she will ‘give a sign. ’”"
"她不知道她那样做是何用意，也想象不出之后会发生什么事。","What she meant by that she did not know, and what would happen after that she could not imagine."
"她这样想着，同时发觉自己又说又笑的。她不得不继续说话，不然她总想笑。","While she thought like this she saw herself talking and laughing.She had to talk because of her desire to laugh."
"“我得笑，要不就得死。”","“I must laugh or die.”"
"当她注意到“厚脸皮”的一个可笑的习惯性小动作，老是把什么东西塞到紧身上衣的下面——仿佛她也在那儿秘密贮藏了些果仁似的——伯莎只得用指甲戳自己的手——这样才不至于笑得太厉害。","But when she noticed Face’s funny little habit of tucking something down the front of her bodice—as if she kept a tiny, secret hoard of nuts there, too—Bertha had to dig her nails into her hands—so as not to laugh too much."
"宴会终于散了。伯莎说：“来看看我那新咖啡机吧。”","It was over at last.And: “Come and see my new coffee machine,” said Bertha."
"“我们每两周才更换一次新咖啡机。”哈里说。这次“厚脸皮”挽起她的胳膊；富尔顿小姐低头跟随着。","“We only have a new coffee machine once a fortnight,” said Harry.Face took her arm this time; Miss Fulton bent her head and followed after."
"客厅里的炉火已经熄灭了，仅剩一点儿红色的余烬若隐若现。“小凤凰巢，”“厚脸皮”说。","The fire had died down in the drawing-room to a red, flickering “nest of baby phoenixes,” said Face."
"“等会儿再开灯。这样多美呀。”接着，她又蹲在炉火旁边了。她总是觉得冷……“她没穿那件短小的红色法兰绒上衣，当然冷了。”伯莎想。　","“Don’t turn up the light for a moment. It is so lovely.”And down she crouched by the fire again.She was always cold... “without her little red flannel jacket, of course,” thought Bertha."
"就在这时，富尔顿小姐“示意”了。","At that moment Miss Fulton “gave the sign.”"
"“你们有个花园吗？”说话者的嗓音冷冰冰、懒洋洋的。","“Have you a garden?” said the cool, sleepy voice."
"她的口吻如此高雅，伯莎也就只有遵从的份了。她穿过房间，打开窗帘，敞开那些长窗。","This was so exquisite on her part that all Bertha could do was to obey.She crossed the room, pulled the curtains apart, and opened those long windows."
"“在那儿！”她低语道。","“There!” she breathed."
"两个女人肩并肩地站着观看那株颀长的缀满繁花的树。尽管那棵树看起来静止未动，可她们看着看着，那棵树就成了蜡烛的火焰，在明澈的空中颤动着，伸展着，尖头往上蹿，越长越高——几乎触到那银白的圆月的边缘了。","And the two women stood side by side looking at the slender, flowering tree.Although it was so still it seemed, like the flame of a candle, to stretch up, to point, to quiver in the bright air, to grow taller and taller as they gazed—almost to touch the rim of the round, silver moon."
"她们在那儿站了多长时间？她们是被那神秘的光环吸住了吗？她们心心相印，如同来自另一个世界的人，想知道她们会在这个世界做什么？所有充满幸福的珍宝都在她们的心中燃烧着，像银白的花朵一般从她们的发丝和双手滑落。","How long did they stand there?Both, as it were, caught in that circle of unearthly light, understanding each other perfectly, creatures of another world, and wondering what they were to do in this one with all this blissful treasure that burned in their bosoms and dropped, in silver flowers, from their hair and hands?"
"是永远——还是片刻？富尔顿小姐在低语：“是的，就是这样。”还是伯莎梦见的这一切？","For ever—for a moment?And did Miss Fulton murmur: “Yes. Just that.” Or did Bertha dream it?"
"这时灯突然间亮了，“厚脸皮”在冲咖啡，哈里说：“亲爱的奈特太太，别问我有关孩子的情况。我从不看她。在她有爱人之前，我根本不会对她有兴趣的。”“鬼脸”摘下单片眼镜，让眼睛从镜片下面的“暖房”里出来片刻，然后又把镜片按上去。埃迪·沃伦在喝咖啡，他一脸痛苦地放下杯子，仿佛喝醉了，还看到了一只蜘蛛。","Then the light was snapped on and Face made the coffee and Harry said: “My dear Mrs. Knight, don’t ask me about my baby.I never see her.I shan’t feel the slightest interest in her until she has a lover,” and Mug took his eye out of the conservatory for a moment and then put it under glass again and Eddie Warren drank his coffee and set down the cup with a face of anguish as though he had drunk and seen the spider."
"“我想做的就是要让年轻人表现表现。我相信伦敦还有大量的没有写出来的一流剧本。我想对他们说的是：‘戏院就在这儿。开始干吧。’”","“What I want to do is to give the young men a show.I believe London is simply teeming with first-chop, unwritten plays.What I want to say to ’em is: ‘Here’s the theatre. Fire ahead.’”"
"“你知道，亲爱的，我要为雅各布·内森家装修一个房间。噢，我特别想搞一个煎鱼的图案设计，把椅背做成煎锅的形状，在窗帘上绣满漂亮的炸土豆片。”","“You know, my dear, I am going to decorate a room for the Jacob Nathans.Oh, I am so tempted to do a fried fish scheme, with the backs of the chairs shaped like frying-pans and lovely chip potatoes embroidered all over the curtains.”"
"“我们年轻作家的问题是他们还太浪漫。想要出海难免会晕船，需要找个痰盂呕吐。哎，为什么他们就没有勇气做个痰盂呢？”","“The trouble with our young writing men is that they are still too romantic.You can’t put out to sea without being seasick and wanting a basin.Well, why won’t they have the courage of those basins?”"
"“有一首可怕的诗，写一个女孩在小树林里被一个没鼻子的乞丐强奸……”","“A dreadful poem about a girl who was violated by a beggar without a nose in a little wood....”"
"富尔顿小姐坐在那个最低最深的椅子上，哈里给每个人递烟。","Miss Fulton sank into the lowest, deepest chair and Harry handed round the cigarettes."
"他晃动着银烟盒站在她面前，粗鲁地说：“抽埃及烟？土耳其烟？还是弗吉尼亚烟？全混在一起了。”伯莎从他那样子意识到他不是厌烦富尔顿小姐，而且非常厌恶她。富尔顿小姐说：“不用，谢谢，我不吸烟。”伯莎从富尔顿小姐回答的语气判断出，她也感觉到了这一点，且颇感不快。","From the way he stood in front of her shaking the silver box and saying abruptly: “Egyptian? Turkish? Virginian?  They’re all mixed up,” Bertha realised that she not only bored him; he really disliked her.And she decided from the way Miss Fulton said: “No, thank you, I won’t smoke,” that she felt it, too, and was hurt."
"“唉。哈里，别讨厌她。你这样对她是不公平的。她是个很好很好的人。况且，对我来说那么重要的人，你怎么会对她感觉那么不同呢？今晚上床睡觉时我会设法告诉你之前发生的事情，我和她有着怎样的共鸣。”","“Oh, Harry, don’t dislike her.You are quite wrong about her.She’s wonderful, wonderful.And, besides, how can you feel so differently about someone who means so much to me.I shall try to tell you when we are in bed tonight what has been happening.What she and I have shared.”"
"伯莎想着这些，脑子里突然冒出一个奇怪且有些骇人的念头。这个没有理智的念头微笑着对她耳语：“这些人很快就走了。房间里会变得静悄悄的——静悄悄的。灯都熄了。只剩下你和他一起在这黑暗的房间里——温暖的床上……”","At those last words something strange and almost terrifying darted into Bertha’s mind.And this something blind and smiling whispered to her: “Soon these people will go.The house will be quiet—quiet.The lights will be out.And you and he will be alone together in the dark room—the warm bed....”"
"她突然从椅子上站起来，奔向那架钢琴。","She jumped up from her chair and ran over to the piano."
"“没人弹琴，太可惜了！”她大声说，“没人弹琴，太可惜了。”","“What a pity someone does not play!” she cried.“What a pity somebody does not play.”"
"伯莎·扬平生第一次想要自己的丈夫。噢，她爱他——她一直都爱他，当然是以其他各种方式，而不是现在这种方式。当然她也同样理解，他与她不同。他们时常谈到这一点。起初她发现自己那么冷淡还特别担心，但是过了一段时间后这事似乎也没什么大不了的了。他们彼此之间非常坦白——是一对好伴侣。这是新式夫妻最好的一点。","For the first time in her life Bertha Young desired her husband.Oh, she’d loved him—she’d been in love with him, of course, in every other way, but just not in that way.And equally, of course, she’d understood that he was different.They’d discussed it so often.It had worried her dreadfully at first to find that she was so cold, but after a time it had not seemed to matter.They were so frank with each other—such good pals.That was the best of being modern."
"但是现在——太强烈了！太强烈了！这个词使她那欲火燃烧的身体痛苦不安！这都是那种幸福感所导致的吗？但是这时，就在这时——诺曼·奈特太太说：“亲爱的，你知道我们的尴尬。我们受时间和火车的约束，得回去了。我们住在汉普斯特德。今晚过得很愉快。”","But now—ardently!ardently!The word ached in her ardent body!Was this what that feeling of bliss had been leading up to?But then, then—“My dear,” said Mrs. Norman Knight, “you know our shame.We are the victims of time and train.We live in Hampstead.It’s been so nice.”"
"“我送你们到门厅。”伯莎说。“我真喜欢和你们在一起。可你们不能错过最后一班火车。真糟糕，是吧？”","“I’ll come with you into the hall,” said Bertha.“I loved having you.But you must not miss the last train.That’s so awful, isn’t it?”"
"“奈特，走之前再喝杯威士忌吧？”哈里喊道。","“Have a whisky, Knight, before you go?” called Harry."
"“不了，谢谢，老弟。”","“No, thanks, old chap.”"
"伯莎听了用力握了握他的手。","Bertha squeezed his hand for that as she shook it."
"“晚安，再见吧。”她站在最高的那级台阶上喊着，感觉自己在和他们永别似的。","“Good night, good-bye,” she cried from the top step, feeling that this self of hers was taking leave of them for ever."
"当她回到客厅时，其他人也准备离开了。","When she got back into the drawing-room the others were on the move."
"“……那么你顺路搭一段我叫的出租车好了。”","“... Then you can come part of the way in my taxi.”"
"“刚才遭遇了那么可怕的经历，现在我真要感激你，我不用受独自乘车的罪了。”","“I shall be so thankful not to have to face another drive alone after my dreadful experience.”"
"“你可以在这条街尽头的出租车停车处叫到出租车。走不了几步就到。”","“You can get a taxi at the rank just at the end of the street.You won’t have to walk more than a few yards.”"
"“那太便捷了。我去穿上外套。”","“That’s a comfort. I’ll go and put on my coat.”"
"富尔顿小姐向门厅走去，伯莎正在后面跟着，这时哈里几乎是从旁边挤过来。","Miss Fulton moved towards the hall and Bertha was following when Harry almost pushed past."
"“让我帮你穿。”","“Let me help you.”"
"伯莎知道他对自己的粗蛮感到懊悔——就由他去了。他在某些方面就像个孩子——那么冲动——那么——天真。","Bertha knew that he was repenting his rudeness—she let him go.What a boy he was in some ways—so impulsive—so—simple."
"火炉旁只剩下她和埃迪了。","And Eddie and she were left by the fire."
"“我不知道你是否看过比尔克斯的新诗《客宴》。”埃迪轻轻地说。“写得特别棒。在最近出版的诗集里发表的。你有这本诗集吗？我很想给你看看。开头是这样一行极美的诗句：‘为何总得喝番茄汤？’”","“I wonder if you have seen Bilks’ new poem called Table d’Hote,” said Eddie softly.“It’s so wonderful.In the last Anthology.Have you got a copy?I’d so like to show it to you.It begins with an incredibly beautiful line: ‘Why Must it Always be Tomato Soup?’”"
"“我有的。”伯莎说。她悄无声息地走到客厅门口对面的桌子前，埃迪也悄无声息地跟随她走过来。她挑出那本小书交给他；他们没出一点声响。","“Yes,” said Bertha.And she moved noiselessly to a table opposite the drawing-room door and Eddie glided noiselessly after her.She picked up the little book and gave it to him; they had not made a sound."
"在他翻阅那本书的时候，她扭头向门厅望去。她瞧见……哈里抱着富尔顿小姐的外套，富尔顿小姐背对着他，垂着头。他抛开那件外套，把手放在她的肩膀上，突然用力把她扳过来对着他。他嘴上说：“我太喜欢你了。”富尔顿小姐把她那月光般的手指贴在哈里的面颊上，睡眼朦胧地微笑着。哈里鼻孔微颤，他咧着嘴，笑起来很难看，然后又低声说：“明天。”富尔顿小姐动了动眼皮示意道：“好的。”","While he looked it up she turned her head towards the hall.And she saw... Harry with Miss Fulton’s coat in his arms and Miss Fulton with her back turned to him and her head bent.He tossed the coat away, put his hands on her shoulders and turned her violently to him.His lips said: “I adore you,” and Miss Fulton laid her moonbeam fingers on his cheeks and smiled her sleepy smile.Harry’s nostrils quivered; his lips curled back in a hideous grin while he whispered: “Tomorrow,” and with her eyelids Miss Fulton said: “Yes.”"
"“在这儿呢。”埃迪说。“‘为何总得喝番茄汤？’难道你不觉得这句诗深刻准确吗？番茄汤简直变成永远不变的了。”","“Here it is,” said Eddie.“‘Why Must it Always be Tomato Soup?’It’s so deeply true, don’t you feel?Tomato soup is so dreadfully eternal.”"
"“要是你乐意的话，”哈里高声说道，话音从门厅里传过来，“我可以给你打电话，把出租车叫到门口来。”","“If you prefer,” said Harry’s voice, very loud, from the hall, “I can phone you a cab to come to the door.”"
"“噢，不，不必了。”富尔顿小姐说着向伯莎走来，伸出细长的手指来和伯莎握手。","“Oh, no. It’s not necessary,” said Miss Fulton, and she came up to Bertha and gave her the slender fingers to hold."
"“再会啦。非常感谢。”","“Good-bye. Thank you so much.”"
"“再会。”伯莎说。","“Good-bye,” said Bertha."
"富尔顿小姐多握了一会儿她的手。","Miss Fulton held her hand a moment longer."
"“你那株梨树可真美！”她喁喁细语。","“Your lovely pear tree!” she murmured."
"然后她走了，埃迪跟着她，就像那只黑猫跟随着那只灰猫。","And then she was gone, with Eddie following, like the black cat following the grey cat."
"“我要关门啦。”哈里说着，显得分外冷静镇定。","“I’ll shut up shop,” said Harry, extravagantly cool and collected."
"“你那株漂亮的梨树——梨树——梨树！”","“Your lovely pear tree—pear tree—pear tree!”"
"伯莎径直跑到长窗前面。","Bertha simply ran over to the long windows."
"“噢，现在会有什么事发生呢？”她叫道。","“Oh, what is going to happen now?” she cried."
"但是那株梨树依然那么美丽，花开满树，静立如初。","But the pear tree was as lovely as ever and as full of flower and as still."
