"千块皮","Allerleirauh"
"白雪公主","Little Snow-White"
"很久以前，正值隆冬季节，雪花像羽毛般从空中飘落。有个王后正坐在黑檀木窗前缝衣裳。她正缝补着衣服，一面抬头看看窗外的雪花，手指便被针扎破了。三滴鲜血落到了雪地上。鲜血在白雪上显得分外娇美。于是，王后就在心里想着：“如果我有个孩子皮肤白皙似雪，脸色红润如血，头发能像窗框上的木头那样乌黑，该多好。”","Once upon a time in the middle of winter, when the flakes of snow were falling like feathers from the sky, a queen sat at a window sewing, and the frame of the window was made of black ebony.And whilst she was sewing and looking out of the window at the snow, she pricked her finger with the needle, and three drops of blood fell upon the snow.And the red looked pretty upon the white snow, and she thought to herself, “Would that I had a child as white as snow, as red as blood, and as black as the wood of the window-frame.”"
"不久之后，她有了一个女儿，她的皮肤白皙如雪，脸色红润如血，头发如黑檀木般乌黑。因此被称作“小白雪公主”。生下女儿后，王后就离开了人世。","Soon after that she had a little daughter, who was as white as snow, and as red as blood, and her hair was as black as ebony; and she was therefore called Little Snow-white.And when the child was born, the Queen died."
"一年以后，国王又娶了一个新的王后。她非常漂亮，但自负高傲，她无法忍受有其他人比她更漂亮。她有一面魔镜，当她站在镜子面前，看着镜中的自己时，便说道：","After a year had passed the King took to himself another wife.She was a beautiful woman, but proud and haughty, and she could not bear that anyone else should surpass her in beauty.She had a wonderful looking-glass, and when she stood in front of it and looked at herself in it, and said-"
"“墙上的魔镜，魔镜，谁是这个世界上最漂亮的女人？”","“Looking-glass, Looking-glass, on the wall, Who in this land is the fairest of all?”"
"魔镜总会回答：","the looking-glass answered-"
"“您，噢，王后，是世界上最漂亮的女人！”","“Thou, O Queen, art the fairest of all!”"
"于是王后心满意足，因为她知道，魔镜从不撒谎。","Then she was satisfied, for she knew that the looking-glass spoke the truth."
"但是，随着白雪公主一天天地长大，她变得越来越美。当白雪公主七岁时，她已经美若天仙，比王后更漂亮了。有一天，王后再次问魔镜：","But Snow-white was growing up, and grew more and more beautiful; and when she was seven years old she was as beautiful as the day, and more beautiful than the Queen herself.And once when the Queen asked her looking-glass -"
"“墙上的魔镜，魔镜，告诉我，谁是这个世界上最漂亮的女人？”","“Looking-glass, Looking-glass, on the wall, Who in this land is the fairest of all?”"
"魔镜回答：","it answered-"
"“王后，您的美貌超过这里的所有人。但是，我认为，更美丽的还是白雪公主。”","“Thou art fairer than all who are here, Lady Queen.”But more beautiful still is Snow-white, as I ween.”"
"王后听罢，大为吃惊。嫉妒之情溢于言表。从那时起，王后一见到白雪公主便怒火中烧，她太嫉恨这个女孩了。","Then the Queen was shocked, and turned yellow and green with envy.From that hour, whenever she looked at Snow-white, her heart heaved in her breast, she hated the girl so much."
"随着嫉妒和骄傲在她心中如杂草般蔓延开来，她几乎终日不得安宁。她叫来了一个猎人，说：“把那个孩子带进森林里，我再也不想看见她。把她杀掉，把她的心带回来作为证明。”这个猎人遵守了王后的指令，将白雪公主带走。但是，正当他拔出刀子，准备刺向白雪公主纯洁的心脏时，白雪公主开始哭泣，说道：“您就饶了我的命吧，亲爱的猎人！我会跑进荒野的森林，永远不会回家。”","And envy and pride grew higher and higher in her heart like a weed, so that she had no peace day or night.She called a huntsman, and said, “Take the child away into the forest; I will no longer have her in my sight.Kill her, and bring me back her heart as a token.”The huntsman obeyed, and took her away; but when he had drawn his knife, and was about to pierce Snow-white’s innocent heart, she began to weep, and said, “Ah dear huntsman, leave me my life!I will run away into the wild forest, and never come home again.”"
"由于白雪公主实在是太美了，猎人对她产生了同情，说道：“可怜的孩子，那你就快跑吧。”猎人心中暗暗寻思：“反正林里的猛兽也迟早会吃掉你。”同时，不需要杀她，仿佛使他心头的一块大石滚落下来，如释重负。这时，正好有一只野猪跑过，他刺死了它，切下它的心脏，带到王后面前作为那个孩子已经死去的证据。大厨必须将这颗心脏用盐腌上，然后邪恶的王后将其吃掉，她还以为自己吃掉了白雪公主的心脏呢。","And as she was so beautiful the huntsman had pity on her and said, “Run away, then, you poor child.”“The wild beasts will soon have devoured you,” thought he, and yet it seemed as if a stone had been rolled from his heart since it was no longer needful for him to kill her.And as a young boar just then came running by he stabbed it, and cut out its heart and took it to the Queen as proof that the child was dead.The cook had to salt this, and the wicked Queen ate it, and thought she had eaten the heart of Snow-white."
"而现在，苦命的白雪公主只能孤身一人待在偌大的森林里了。她心里惊恐万分，看遍了每一棵树上的每一片叶子，茫然不知所措。随后，她开始奔跑，跑过了锋利的石子，穿过了荆棘，野兽从她的身边跑过，但并没有伤害她。","But now the poor child was all alone in the great forest, and so terrified that she looked at every leaf of every tree, and did not know what to do.Then she began to run, and ran over sharp stones and through thorns, and the wild beasts ran past her, but did her no harm."
"只要腿脚还跑得动，她便一直跑下去，直到夜幕降临，她看到了一间小农舍，便进去歇歇脚。农舍中的所有东西都小巧玲珑，却整洁干净得无以言表。农舍中有一张铺着白桌布的台子，七只小碟子，每只碟子上都有一支小汤匙。另外，还有七副小刀叉，和七只小酒杯。紧靠着墙壁，七张小床一字排开，每张小床都有雪白的床单盖着。","She ran as long as her feet would go until it was almost evening; then she saw a little cottage and went into it to rest herself.Everything in the cottage was small, but neater and cleaner than can be told.There was a table on which was a white cover, and seven little plates, and on each plate a little spoon; moreover, there were seven little knives and forks, and seven little mugs.Against the wall stood seven little beds side by side, and covered with snow-white counterpanes."
"白雪公主实在太饿太渴了，她从每只小碟子里吃了一些蔬菜和面包，又从每只杯子里喝了一点酒，因为她不想吃完一套餐具中的食物和酒。吃完以后，白雪公主感到精疲力尽，便躺在一张小床上，可是没有一张床适合她，不是这张床太长，就是那张床太短。最后，她发现第七张床正合适，于是躺在了这张床上，做完祷告，就睡去了。","Little Snow-white was so hungry and thirsty that she ate some vegetables and bread from each plate and drank a drop of wine out of each mug, for she did not wish to take all from one only.Then, as she was so tired, she laid herself down on one of the little beds, but none of them suited her; one was too long, another too short, but at last she found that the seventh one was right, and so she remained in it, said a prayer and went to sleep."
"当天色已经相当黑的时候，农舍的主人们回来了。他们是七个在大山里挖掘采矿的小矮人。他们点起了七根蜡烛，现在农舍里亮了起来，他们发现房间有人来过，因为所有物品的摆放位置和他们离开前不同了。","When it was quite dark the owners of the cottage came back; they were seven dwarfs who dug and delved in the mountains for ore.They lit their seven candles, and as it was now light within the cottage they saw that someone had been there, for everything was not in the same order in which they had left it."
"第一个小矮人问道：“谁坐过了我的椅子？”","The first said, “Who has been sitting on my chair?”"
"第二个小矮人问道：“谁吃了我盘里的食物？”","The second, “Who has been eating off my plate?”"
"第三个小矮人问道：“谁吃了我的一点面包？”","The third, “Who has been taking some of my bread?”"
"第四个小矮人问道：“谁吃了我的蔬菜？”","The fourth, “Who has been eating my vegetables?”"
"第五个小矮人问道：“谁用过我的叉子？”","The fifth, “Who has been using my fork?”"
"第六个小矮人问道：“谁用我的刀子切东西了？”","The sixth, “Who has been cutting with my knife?”"
"第七个小矮人问道：“谁从我的杯子里喝过酒？”","The seventh, “Who has been drinking out of my mug?”"
"第一个小矮人往四周看了看，然后发现自己的床上有一块凹陷下去，便说道：“谁在我的床上躺过？”其他的小矮人们都围拢了上来，每个人都喊道：“我的床也有人躺过了。”然而，当第七个小矮人看到自己的床时，他看到了躺在床上、已经进入梦乡的白雪公主。于是，他便招呼其他的小矮人过来，他们惊讶地叫出声来，把七支小蜡烛聚拢在一起，并让光亮照在白雪公主身上。“哦，我的天呐！哦，我的老天！”他们喊道，“这个孩子多可爱啊！”他们非常高兴，因为他们没有把白雪公主吵醒，于是让她继续在床上睡下去。这第七个小矮人和他的伙伴们睡在一起，一个小时换一张床，就这样，一个晚上过去了。","Then the first looked round and saw that there was a little hole on his bed, and he said, “Who has been getting into my bed?”The others came up and each called out, “Somebody has been lying in my bed too.”But the seventh when he looked at his bed saw little Snow-white, who was lying asleep therein.And he called the others, who came running up, and they cried out with astonishment, and brought their seven little candles and let the light fall on little Snow-white.“Oh, heavens!oh, heavens!” cried they, “what a lovely child!” and they were so glad that they did not wake her up, but let her sleep on in the bed.And the seventh dwarf slept with his companions, one hour with each, and so got through the night."
"第二天早上，当白雪公主醒来，发现七个小矮人时，她十分害怕。但是这七个小矮人对她非常友好，问她叫什么名字。“我的名字叫白雪公主。”她回答。小矮人们说：“你是怎么来到我们房子的呢？”于是，白雪公主便向他们诉说了自己的经历，她告诉他们自己的继母是如何想派人杀了她，猎人是如何放了她的，她如何在林里跑了一整天，最后找到他们房子的经过。小矮人们说道：“如果你能照看我们的房子、烧饭、铺床、洗衣服、缝缝补补，并且把房子打扫得干净整洁，你就可以与我们同住，你就什么都不缺了。”“好的，我会全心全意的。”白雪公主说道。于是，她便住了下来，和小矮人们一起生活。白雪公主为小矮人把农舍收拾整齐。小矮人们每天早晨外出，到山里去寻找铜和金，晚上回到家时，白雪公主必须做好他们的晚餐。由于白雪公主白天都独自一人在家，所以小矮人们便好心地警告她说：“小心你的继母，不久她便会知道你在这里。一定不要让任何人进来。”","When it was morning little Snow-white awoke, and was frightened when she saw the seven dwarfs.But they were friendly and asked her what her name was.“My name is Snow-white,” she answered.“How have you come to our house?” said the dwarfs.Then she told them that her step-mother had wished to have her killed, but that the huntsman had spared her life, and that she had run for the whole day, until at last she had found their dwelling.The dwarfs said, “If you will take care of our house, cook, make the beds, wash, sew, and knit, and if you will keep everything neat and clean, you can stay with us and you shall want for nothing.”“Yes,” said Snow-white, “with all my heart,” and she stayed with them.She kept the house in order for them; in the mornings they went to the mountains and looked for copper and gold, in the evenings they came back, and then their supper had to be ready.The girl was alone the whole day, so the good dwarfs warned her and said, “Beware of your step-mother, she will soon know that you are here; be sure to let no one come in.”"
"然而，那个王后相信自己已经吞下了白雪公主的心脏，想当然地认为自己又成为了世界上最美丽的女人。于是她来到魔镜前，说道：","But the Queen, believing that she had eaten Snow-white’s heart, could not but think that she was again the first and most beautiful of all; and she went to her looking-glass and said,"
"“墙上的魔镜，魔镜，谁是这个世界上最漂亮的女人？” 镜子回答道：","“Looking-glass, Looking-glass, on the wall, Who in this land is the fairest of all?” and the glass answered,"
"“噢，女王，依我所见，您是世界上最美丽的女人。可是，白雪公主还好好地活着，住在群山之后七个小矮人的房子里。","“Oh, Queen, thou art fairest of all I see, But over the hills, where the seven dwarfs dwell, Snow-white is still alive and well,"
"她的美丽无人能比。”","And none is so fair as she.”"
"听罢，王后非常震惊，因为她知道魔镜从不说谎。于是她知道那个猎人已经背叛了她，而小白雪公主依然活着。","Then she was astounded, for she knew that the looking-glass never spoke falsely, and she knew that the huntsman had betrayed her, and that little Snow-white was still alive."
"于是她再三寻思该如何除掉白雪公主。因为只要自己不是世界上最美丽的女人，她就会嫉妒得不得安宁。她终于想到该做什么了。她化了装，假扮成一个卖东西的老妪，没有人能认得出她。她乔装成这副模样翻越了七座大山，来到了七个小矮人的家门前。她敲了敲门，喊道：“卖好货了，很便宜，很便宜。”小白雪公主向窗外看去，喊道：“早上好，我善良的女士，你卖什么呢？”王后回答道：“都是好东西、漂亮的东西；各种颜色的丝巾。”说话间，她便拿出一条颜色鲜亮的丝巾。白雪公主寻思：“或许我可以让这个可敬的老婆婆进来。”于是，她便拉开了门闩，并且买下了这条漂亮的丝巾。老妪又说道：“孩子，瞧你吓成什么样了。来，我马上帮你系上丝巾。”白雪公主没有起任何疑心，只是站在这个老妪面前，让她帮自己系上了丝巾。但是老妪系得太快、太紧，于是白雪公主没有了呼吸，倒在地上，好像死去了一样。王后喃喃自语道：“现在，我是世界上最漂亮的女人了。”然后便逃跑了。","And so she thought and thought again how she might kill her, for so long as she was not the fairest in the whole land, envy let her have no rest.And when she had at last thought of something to do, she painted her face, and dressed herself like an old pedler-woman, and no one could have known her.In this disguise she went over the seven mountains to the seven dwarfs, and knocked at the door and cried, “Pretty things to sell, very cheap, very cheap.”Little Snow-white looked out of the window and called out, “Good-day my good woman, what have you to sell?”“Good things, pretty things,” she answered; “stay-laces of all colours,” and she pulled out one which was woven of bright-coloured silk.“I may let the worthy old woman in,” thought Snow-white, and she unbolted the door and bought the pretty laces.“Child,” said the old woman, “what a fright you look; come, I will lace you properly for once.”Snow-white had no suspicion, but stood before her, and let herself be laced with the new laces.But the old woman laced so quickly and so tightly that Snow-white lost her breath and fell down as if dead.“Now I am the most beautiful,” said the Queen to herself, and ran away."
"没过多久，就到了晚上，七个小矮人回到家，然而当看到他们亲爱的小白雪公主躺在地上，一动不动，看上去就像死了一样时，感到极为震惊。他们把她扶了起来，发现是因为丝巾系得太紧了，于是他们便剪断了丝巾。这才使白雪公主喘过气来，慢慢地恢复清醒了。当小矮人们听说发生的事情后，说道：“这个卖东西的老妪不是别人，正是那个邪恶的王后。你要当心，我们不在家时不要让任何人进来。”","Not long afterwards, in the evening, the seven dwarfs came home, but how shocked they were when they saw their dear little Snow-white lying on the ground, and that she neither stirred nor moved, and seemed to be dead.They lifted her up, and, as they saw that she was laced too tightly, they cut the laces; then she began to breathe a little, and after a while came to life again.When the dwarfs heard what had happened they said, “The old pedler-woman was no one else than the wicked Queen; take care and let no one come in when we are not with you.”"
"但是，当这个邪恶的女人回到家，来到魔镜前，问道：","But the wicked woman when she had reached home went in front of the glass and asked,"
"“墙上的魔镜，魔镜，谁是这个世界上最漂亮的女人？”","“Looking-glass, Looking-glass, on the wall, Who in this land is the fairest of all?”"
"而魔镜也一如既往地回答道：","and it answered as before-"
"“噢，女王，依我看来，您是世界上最美丽的女人。可是，白雪公主还好好地活着，住在群山之后七个小矮人的房子里。","“Oh, Queen, thou art fairest of all I see, But over the hills, where the seven dwarfs dwell, Snow-white is still alive and well,"
"她的美丽无人能比。”","And none is so fair as she.”"
"王后听完这番话，出于恐惧，浑身的血液都涌向了心头，因为她清楚地看到小白雪公主依然活着。她说道：“现在，我要想办法把你彻底除掉。”通过自己掌握的巫术，她做了一把有毒的梳子。随后，她把自己乔装打扮成另一个老妪的模样。就这样，她翻越七座大山，来到了七个小矮人的住所，敲敲门，喊道：“卖好货，便宜卖了，便宜卖了！”小白雪公主向外望去，说道：“走开，我不能让任何人进来。”“我认为你可以先看看再说。”老妪说，取出那把有毒的梳子，高高地举着。白雪公主特别喜欢这把梳子，于是就又上当受骗了，她打开了门。买卖成交后，老妪说道：“我来帮你好好地梳一下头发吧。”可怜的小白雪公主没有任何疑心，让老妪如其所愿地为她梳头发。但是，梳子刚碰到她的头发，毒性便发作了，于是白雪公主昏倒在地。邪恶的女人说道：“你真是个美人胚子，这一回你该没命了吧。”说罢，便离开了。","When she heard that, all her blood rushed to her heart with fear, for she saw plainly that little Snow-white was again alive.“But now,” she said, “I will think of something that shall put an end to you,” and by the help of witchcraft, which she understood, she made a poisonous comb.Then she disguised herself and took the shape of another old woman.So she went over the seven mountains to the seven dwarfs, knocked at the door, and cried, “Good things to sell, cheap, cheap!”Little Snow-white looked out and said, “Go away; I cannot let any one come in.”“I suppose you can look,” said the old woman, and pulled the poisonous comb out and held it up.It pleased the girl so well that she let herself be beguiled, and opened the door.When they had made a bargain the old woman said, “Now I will comb you properly for once.”Poor little Snow-white had no suspicion, and let the old woman do as she pleased, but hardly had she put the comb in her hair than the poison in it took effect, and the girl fell down senseless.“You paragon of beauty,” said the wicked woman, “you are done for now,” and she went away."
"幸运的是，天很快就黑了，七个小矮人也回到了家。当他们看到白雪公主躺在地上，就像死了一样，立刻怀疑是她的继母干的，他们看了看，便找到了那把有毒的梳子。他们刚取下梳子，白雪公主便醒了过来。并且告诉他们发生了什么。于是七个小矮人便又告诉她不要放松警惕，不要为任何人开门。","But fortunately it was almost evening, when the seven dwarfs came home.When they saw Snow-white lying as if dead upon the ground they at once suspected the step-mother, and they looked and found the poisoned comb.Scarcely had they taken it out when Snow-white came to herself, and told them what had happened.Then they warned her once more to be upon her guard and to open the door to no one."
"回到宫里，王后又来到了魔镜前，问道：","The Queen, at home, went in front of the glass and said-"
"“墙上的魔镜，魔镜，谁是这个世界上最漂亮的女人？”","“Looking-glass, Looking-glass, on the wall, Who in this land is the fairest of all?”"
"而魔镜像以前一样回答道：","then it answered as before-"
"“噢，女王，依我所见，您是世界上最美丽的女人。可是，白雪公主还好好地活着，住在群山之后七个小矮人的房子里。","“Oh, Queen, thou art fairest of all I see, But over the hills, where the seven dwarfs dwell, Snow-white is still alive and well,"
"她的美丽无人能比。”","And none is so fair as she.”"
"听完魔镜说完这句话，她浑身颤抖起来，气急败坏，又怒又惊。她喊道：“就算搭上我的性命，也要除掉白雪公主！”","When she heard the glass speak thus she trembled and shook with rage.“Snow-white shall die,” she cried, “even if it costs me my life!”"
"她随即走进了一间非常隐秘、无人知晓的房间，从未有人来过，在那儿，她做了一个带有剧毒的苹果。在外表看来，这个苹果非常漂亮，白里透红，引得每个看到它的人都想尝一口。但是，任何人只要吃上一小口，就必死无疑。","Thereupon she went into a quite secret, lonely room, where no one ever came, and there she made a very poisonous apple.Outside it looked pretty, white with a red cheek, so that everyone who saw it longed for it; but whoever ate a piece of it must surely die."
"苹果准备好了之后，她化了装，假扮成一名村妇，翻越七座高山，来到了七个小矮人的住所。她敲了敲门。白雪公主从窗口里探出头来，并且说道：“我不能让任何人进来，七个小矮人不让我开门。”妇人说道：“对我来说都一样，我的苹果很快就能卖完。来，这个我就送给你吧。”","When the apple was ready she painted her face, and dressed herself up as a country-woman, and so she went over the seven mountains to the seven dwarfs.She knocked at the door.Snow-white put her head out of the window and said, “I cannot let any one in; the seven dwarfs have forbidden me.”“It is all the same to me,” answered the woman, “I shall soon get rid of my apples.There, I will give you one.”"
"白雪公主回答道：“不，我不敢拿别人的任何东西。”“你是怕这个苹果有毒吗？”老妇人问道，“看，我把苹果切成两半，你吃红的那半，我吃白的那半。”王后十分狡猾地把苹果做成只有红色的那一半有毒。白雪公主想要这个漂亮的苹果，当她看到这个女人吃了一些之后，便再不拒绝，伸出手去，拿来了那半个有毒的苹果。但是，她刚咬了一小口，便倒在地上死去了。于是王后面相狰狞地看着白雪公主，放声大笑，说道：“倒真是个皮肤像雪一样白皙、脸如血色般红润、头发和黑檀木一样乌黑的美人！小矮人们再也不能叫醒你了。”","“No,” said Snow-white, “I dare not take anything.”“Are you afraid of poison?” said the old woman; “look, I will cut the apple in two pieces; you eat the red cheek, and I will eat the white.”The apple was so cunningly made that only the red cheek was poisoned.Snow-white longed for the fine apple, and when she saw that the woman ate part of it she could resist no longer, and stretched out her hand and took the poisonous half.But hardly had she a bit of it in her mouth than she fell down dead.Then the Queen looked at her with a dreadful look, and laughed aloud and said, “White as snow, red as blood, black as ebony-wood!this time the dwarfs cannot wake you up again.”"
"回到宫里，她便问魔镜：","And when she asked of the Looking-glass at home-"
"“墙上的魔镜，魔镜，谁是这个世界上最漂亮的女人？”","“Looking-glass, Looking-glass, on the wall, Who in this land is the fairest of all?”"
"终于，魔镜回答道：","it answered at last-"
"“噢，王后，您是这片土地上最美的女人。”","“Oh, Queen, in this land thou art fairest of all.”"
"于是，她那颗嫉妒的心终于彻底平息下来。","Then her envious heart had rest, so far as an envious heart can have rest."
"晚上，当小矮人们回到家时，发现白雪公主躺在地上，没有了呼吸，已经死去了。他们把白雪公主抬起来，仔细寻找看能不能找到有毒的东西。他们解开她的丝巾，为她梳了头发，还用水和酒为她擦洗。但这一切都无济于事。可怜的孩子已经死了，再也不能复活了。他们把她放在棺材里，七个人围坐在旁边，痛哭流涕，整整哭了三天三夜。","The dwarfs, when they came home in the evening, found Snow-white lying upon the ground; she breathed no longer and was dead.They lifted her up, looked to see whether they could find anything poisonous, unlaced her, combed her hair, washed her with water and wine, but it was all of no use; the poor child was dead, and remained dead.They laid her upon a bier, and all seven of them sat round it and wept for her, and wept three days long."
"然后，他们打算埋葬白雪公主，可是，白雪公主看起来仿佛还活着，她的脸颊依然红润美丽。他们说道：“我们不能把她埋在黑暗的地下。”于是他们让人打造了一副透明的水晶棺材，这样他们可以从各个角度看到她。他们将白雪公主放了进去，在棺材上用金字写上她的名字，还写明这是一位国王的女儿。他们将棺材抬到了高山上，并且始终留一个人照看着她的灵柩。鸟儿也来哭祭白雪公主，首先来的是一只猫头鹰，然后是一只乌鸦，最后是一只鸽子。","Then they were going to bury her, but she still looked as if she were living, and still had her pretty red cheeks.They said, “We could not bury her in the dark ground,” and they had a transparent coffin of glass made, so that she could be seen from all sides, and they laid her in it, and wrote her name upon it in golden letters, and that she was a king’s daughter.Then they put the coffin out upon the mountain, and one of them always stayed by it and watched it.And birds came too, and wept for Snow-white; first an owl, then a raven, and last a dove."
"现在，白雪公主在棺材里躺了很长很长一段时间，她的容貌没有改变，看起来好像是睡着了一样，因为她的皮肤还是像雪一样白皙，脸色还是像血色一般红润，头发还是像黑檀木一样乌黑。","And now Snow-white lay a long, long time in the coffin, and she did not change, but looked as if she were asleep; for she was as white as snow, as red as blood, and her hair was as black as ebony."
"然而，有一天，一个王子来到了森林里，在小矮人的家里住了一夜。他看到了高山上的棺材，见到了躺在里面美若天仙的白雪公主，也看到了上面的金字。然后，他对小矮人说道：“你们把这副棺材给我，作为回报，你们想要什么我都可以给你们。”但是七个小矮人回答道：“就算你把世界上所有的黄金给我们，我们都不会和它分离。”于是王子说道：“那你们把它作为礼物送给我吧。看不到白雪公主，我就活不下去了。我会尊重她、珍惜她，将她当成我最亲爱的人。”小矮人们听了王子这番话，不禁可怜起他来，于是便将棺材送给了他。","It happened, however, that a king’s son came into the forest, and went to the dwarfs’ house to spend the night.He saw the coffin on the mountain, and the beautiful Snow-white within it, and read what was written upon it in golden letters.Then he said to the dwarfs, “Let me have the coffin, I will give you whatever you want for it.”But the dwarfs answered, “We will not part with it for all the gold in the world.”Then he said, “Let me have it as a gift, for I cannot live without seeing Snow-white.I will honour and prize her as my dearest possession.”As he spoke in this way the good dwarfs took pity upon him, and gave him the coffin."
"于是，王子让仆人们将棺材抬在肩膀上带走了。在途中，他们被一棵树桩绊了一下，棺材猛然一晃，于是，白雪公主吞下的那口毒苹果竟然从她的喉咙里呛了出来。不久，白雪公主便睁开眼睛，掀开了棺材盖子，坐了起来。她又活过来了。“哦，老天，我在哪里啊？”她喊道。王子大为高兴，说道：“你现在和我在一起。”随即告诉她发生了什么，并且说道：“在这世上，我最爱的就是你，嫁给我吧，让我带你回我父王的宫殿，你将会成为我的妻子。”","And now the King’s son had it carried away by his servants on their shoulders.And it happened that they stumbled over a tree-stump, and with the shock the poisonous piece of apple which Snow-white had bitten off came out of her throat.And before long she opened her eyes, lifted up the lid of the coffin, sat up, and was once more alive.“Oh, heavens, where am I?” she cried.The King’s son, full of joy, said, “You are with me,” and told her what had happened, and said, “I love you more than everything in the world; come with me to my father’s palace, you shall be my wife.”"
"白雪公主欣然应允，和王子一起走了，两人举办了盛大辉煌的婚礼。白雪公主那邪恶的继母也受邀前去参加婚礼。她穿上一套漂亮的衣服，来到镜子前，说道：","And Snow-white was willing, and went with him, and their wedding was held with great show and splendour.But Snow-white’s wicked step-mother was also bidden to the feast.When she had arrayed herself in beautiful clothes she went before the Looking-glass, and said-"
"“墙上的魔镜，魔镜，谁是这个世界上最漂亮的女人？”","“Looking-glass, Looking-glass, on the wall, Who in this land is the fairest of all?”"
"魔镜回答道：","the glass answered-"
"“噢，王后，您是这个国家最美丽的女人。但是，我认为那位年轻的王后更美丽。”","“Oh, Queen, of all here the fairest art thou, But the young Queen is fairer by far as I trow.”"
"听完，这个邪恶的女人开始口吐诅咒，她非常沮丧，沮丧到了极点，手足无措。起初，她打算根本就不去参加婚礼，却又不得安宁，一定要去看看这位年轻的王后。她刚进入王宫，便认出了白雪公主，她僵在那里，又气愤、又害怕，一时动弹不得。这时，一双铁便鞋已经被放在了火上，仆人用铁钳将它夹到她面前。她被迫穿上灼热的铁鞋跳舞，直到她倒在地上死去。","Then the wicked woman uttered a curse, and was so wretched, so utterly wretched, that she knew not what to do.At first she would not go to the wedding at all, but she had no peace, and must go to see the young Queen.And when she went in she knew Snow-white; and she stood still with rage and fear, and could not stir.But iron slippers had already been put upon the fire, and they were brought in with tongs, and set before her.Then she was forced to put on the red-hot shoes, and dance until she dropped down dead."
"玛琳姑娘","Maid Maleen"
