"To Please His Wife","博妻欢心"
"‘Nobody,’ he said good-humouredly, ‘ever did Emily a better turn than you did, Joanna, when you warned her off me and put an end to that little simpering nonsense between us, so as to leave it in her power to say “Aye” to Lester when he came along.’","“没有人像你那样，”他好脾气地说道，“给埃米莉帮过那么大的忙，乔安娜，你劝诫她，让她离开我，结束了我们俩之间傻傻的小暧昧，这样莱斯特出现时，她才能答应他。”"
"This almost maddened her.","这话差点儿激怒了乔安娜。"
"‘Don’t speak of bygones!’ she implored, in stern sadness.","“别再提以前的事了！”她严厉而悲伤地恳求他，"
"‘But think, for the boys’ and my sake, if not for your own, what are we to do to get richer?’","“即使不为了你自己，也为了孩子们，还有我，想一想我们怎样才能赚到钱？”"
"‘Well,’ he said, becoming serious, ‘to tell the truth, I have always felt myself unfit for this business, though I’ve never liked to say so.","“好吧，”他语气也严肃起来，说道，“老实说，我一直觉得自己不适合做生意，尽管我总是不愿意承认。"
"I seem to want more room for sprawling; a more open space to strike out in than here among friends and neighbours.","我感觉自己需要更多的空间来施展身手，需要一个更开阔的地方大展拳脚，而不是在这里被朋友邻居包围。"
"I could get rich as well as any man, if I tried my own way.’","我可以像任何男人一样赚到钱，只要我按照自己的方式去做。”"
"‘I wish you would!","“我希望你能！"
"What is your way?’","你要怎么做？”"
"‘To go to sea again.’","“继续出海。”"
"She had been the very one to keep him at home, hating the semi-widowed existence of sailors’ wives.","而那个把他留在家里的人正是她，因为她讨厌水手妻子那种守活寡的生活。"
"But her ambition checked her instincts now, and she said: ‘Do you think success really lies that way?’","但是现在，她的野心抑制住了本能。她说：“你真的觉得那样能成功吗？”"
"‘I am sure it lies in no other.’","“我相信除此之外，别无他法。”"
"‘Do you want to go, Shadrach?’","“你想去吗，谢德拉克？”"
"‘Not for the pleasure of it, I can tell ’ee.","“老实说，我并不是因为好玩才要去的。"
"There’s no such pleasure at sea, Joanna, as I can find in my back parlour here.","乔安娜，出海一点儿都不好玩，远远不及我在家里的后客厅这么好玩。"
"To speak honest, I have no love for the brine.","说实话，我完全不喜欢大海。"
"I never had much.","从来都不怎么爱。"
"But if it comes to a question of a fortune for you and the lads, it is another thing.","可如果是为了给你和儿子们赚钱，那就是另外一回事了。"
"That’s the only way to it for one born and bred a seafarer as I.’","对我这样生来就当水手的人来说，出海是赚钱的唯一途径。”"
"‘Would it take long to earn?’","“赚钱会需要很长时间吗？”"
"‘Well, that depends; perhaps not.’","“嗯，说不准。或许不用。”"
"The next morning Shadrach pulled from a chest of drawers the nautical jacket he had worn during the first months of his return, brushed out the moths, donned it, and walked down to the quay.","第二天早上，谢德拉克从五斗橱里取出一件水手穿的夹克，他刚回来的头几个月里，一直穿着这件衣服。他清理了衣服上的蛾子，穿上衣服，然后去了码头。"
"The port still did a fair business in the Newfoundland trade, though not so much as formerly.","港口依然有人去纽芬兰做生意，不过规模已不如从前。"
"It was not long after this that he invested all he possessed in purchasing a part-ownership in a brig, of which he was appointed captain.","此后不久，谢德拉克倾其所有，与人合买了一艘双桅横帆船，他被指定为船长。"
"A few months were passed in coast-trading, during which interval Shadrach wore off the land-rust that had accumulated upon him in his grocery phase; and in the spring the brig sailed for Newfoundland.","随后数月里，谢德拉克一边进行海岸贸易，一边趁间歇温习他在开杂货店期间丢掉的航海技术。春季，他驾驶着那艘横帆船，向纽芬兰出发了。"
"Joanna lived on at home with her sons, who were now growing up into strong lads, and occupying themselves in various ways about the harbour and quay.","乔安娜和儿子们留在家里。两个儿子现在都长成了壮实的小伙子，忙活着海港和码头的各种事情。"
"‘Never mind, let them work a little,’ their fond mother said to herself.","“不要紧，让他们先干点儿活吧，”他们慈爱的母亲自言自语道，"
"‘Our necessities compel it now, but when Shadrach comes home they will be only seventeen and eighteen, and they shall be removed from the port, and their education thoroughly taken in hand by a tutor; and with the money they’ll have they will perhaps be as near to gentlemen as Emmy Lester’s precious two, with their algebra and their Latin!’","“我们现在为生计所迫，不过等谢德拉克回家后，他们也才十七八岁。到时他们就离开港口，会有家庭教师全面负责他们的学习。只要有钱，他们就可以学习代数和拉丁语，或许还会和埃米·莱斯特的两个宝贝儿子一样，像绅士一样！”"
"The date for Shadrach’s return drew near and arrived, and he did not appear.","谢德拉克回来的日期越来越近，终于到了，他却没有出现。"
"Joanna was assured that there was no cause for anxiety, sailing-ships being so uncertain in their coming; which assurance proved to be well grounded, for late one wet evening, about a month after the calculated time, the ship was announced as at hand, and presently the slip-slop step of Shadrach as the sailor sounded in the passage, and he entered.","乔安娜觉得无须担心，因为帆船的归期总是难以确定。她是对的，因为据预计回来的时间过了大约一个月后，在一个潮湿的深夜，帆船据说马上要靠岸了。很快，走廊上响起水手谢德拉克啪嗒啪嗒的脚步声，他进了门。"
"The boys had gone out and had missed him, and Joanna was sitting alone.","孩子们出去了，所以没有见到他，乔安娜一个人独自坐着。"
"As soon as the first emotion of reunion between the couple had passed, Jolliffe explained the delay as owing to a small speculative contract, which had produced good results.","夫妻俩团圆的激动刚过，乔利夫就解释了推迟回家的原因。原来是因为一小桩投机买卖，不过却带来了一些甜头。"
"‘I was determined not to disappoint ’ee,’ he said; ‘and I think you’ll own that I haven’t!’","“我决心不让你失望，”他说，“我想你会承认，我确实没有！”"
"With this he pulled out an enormous canvas bag, full and rotund as the money-bag of the giant whom Jack slew, untied it, and shook the contents out into her lap as she sat in her low chair by the fire.","他一边说着，一边抽出一只硕大的帆布包，鼓鼓的，仿佛杰克杀死的那个巨人的钱袋子。谢德拉克解开袋子，将里面的东西倒在乔安娜膝上，那时她正坐在炉火边的矮椅子上。"
"A mass of sovereigns and guineas (there were guineas on the earth in those days) fell into her lap with a sudden thud, weighing down her gown to the floor.","随着哗啦一声巨响，一大堆金镑和几尼（那时候几尼还在流通）落到乔安娜的膝头，把她的裙子压得都垂到了地上。"
"‘There!’ said Shadrach complacently.","“瞧！”谢德拉克得意地说，"
"‘I told ’ee, dear, I’d do it; and have I done it or no?’","“我说过，老婆，我会成功的。我是不是成功了？”"
"Somehow her face, after the first excitement of possession, did not retain its glory.","不知怎的，乔安娜的脸上闪过一阵发财的喜悦后，很快就失去了光彩。"
"‘It is a lot of gold, indeed,’ she said.","“确实是好多金币，”她说，"
"‘And—is this all?’","“不过，就这些了吗？”"
"‘All?","“就这些？"
"Why, dear Joanna, do you know you can count to three hundred in that heap?","嘿，亲爱的乔安娜，你知道那堆金币足足有300个吗？"
"It is a fortune!’","那可不是小数目！”"
"‘Yes—yes.","“唔——是的。"
"A fortune—judged by sea; but judged by land—’","就海上来说，不是小数目。不过在陆地上……”"
"However, she banished considerations of the money for the nonce.","不过，她暂时打消了对钱的念想。"
"Soon the boys came in, and next Sunday Shadrach returned thanks to God—this time by the more ordinary channel of the italics in the General Thanksgiving.","很快，孩子们就进来了，之后的周日到来时，谢德拉克去向上帝谢恩。这一次用了更平常的方式，诵读总感恩祷文中的斜体字部分。"
"But a few days after, when the question of investing the money arose, he remarked that she did not seem so satisfied as he had hoped.","不过，几天后，当夫妻俩谈到如何投资那笔钱的问题时，他说乔安娜似乎不像他期望的那么满意。"
"‘Well you see, Shadrach,’ she answered, ‘we count by hundreds; they count by thousands’ (nodding towards the other side of the Street).","“你看，谢德拉克，”她回答说，“我们拥有几百金币，他们却有数千金币”（她冲着街道对面扭扭头），"
"‘They have set up a carriage and pair since you left.’","“你走后，他们家添置了一辆双驾马车。”"
"‘O, have they?’","“哦，有这回事？”"
"‘My dear Shadrach, you don’t know how the world moves.","“亲爱的谢德拉克，你根本不知道如今的世道。"
"However, we’ll do the best we can with it.","不过，我们也会尽力而为。"
"But they are rich, and we are poor still!’","可他们富得流油，而我们还是一贫如洗！”"
"The greater part of a year was desultorily spent.","大半年时间在不经意间就过去了。"
"She moved sadly about the house and shop, and the boys were still occupying themselves in and around the harbour.","乔安娜在家里和店里难过地转来转去。孩子们依然在海港做着各种工作。"
"‘Joanna,’ he said, one day, ‘I see by your movements that it is not enough.’","“乔安娜，”有一天谢德拉克说道，“你的一举一动告诉我，那些钱还不够。”"
"‘It is not enough,’ said she.","“是不够，”她说，"
"‘My boys will have to live by steering the ships that the Lesters own; and I was once above her!’","“我儿子要靠给莱斯特家开船谋生，而我曾经过着比她优越的生活！”"
"Jolliffe was not an argumentative man, and he only murmured that he thought he would make another voyage.","乔利夫不善争论，他只是低声说，他想再出一次海。"
"He meditated for several days, and coming home from the quay one afternoon said suddenly:","谢德拉克思索了好几天，一天下午，他从码头回来，突然说："
"‘I could do it for ’ee, dear, in one more trip, for certain, if—if—’","“亲爱的，我再为你出一次海，就肯定能干成，只要——只要——”"
"‘Do what, Shadrach?’","“干成什么，谢德拉克？”"
"‘Enable ’ee to count by thousands instead of hundreds.’","“让你数到几千个金币，而不是几百个。”"
"‘If what?’","“只要怎样？”"
"‘If I might take the boys.’","“只要我能带上孩子们。”"
"She turned pale.","乔安娜的脸色变得煞白。"
"‘Don’t say that, Shadrach,’ she answered hastily.","“别说了，谢德拉克。”她慌忙回答道。"
"‘Why?’","“怎么了？”"
"‘I don’t like to hear it!","“我不想听！"
"There’s danger at sea.","出海太危险了。"
"I want them to be something genteel, and no danger to them.","我希望他们成为绅士，不想他们有危险。"
"I couldn’t let them risk their lives at sea.","我不能让他们冒着生命危险出海。"
"O, I couldn’t ever, ever!’","唉，我怎么能呢，怎么能呢！”"
"‘Very well, dear, it shan’t be done.’","“那好，亲爱的，不带他们就是了。”"
"Next day, after a silence, she asked a question:","次日，乔安娜沉默了一阵，终于问道："
"‘If they were to go with you it would make a great deal of difference, I suppose, to the profit?’","“我想，如果孩子们跟你一起去，赚到的钱会大不一样，是吗？”"
"‘’Twould treble what I should get from the venture single-handed.","“那会是我一个人去所赚钱的三倍。"
"Under my eye they would be as good as two more of myself.’","有我照看，他们会像我自己一样毫发无损的。”"
"Later on she said: ‘Tell me more about this.’","过了一阵，她又说：“再给我说说出海的事吧。”"
"‘Well, the boys are almost as clever as master-mariners in handling a craft, upon my life!","“唔，我敢担保，孩子们几乎和熟练的水手一样善于驾驶船！"
"There isn’t a more cranky place in the Northern Seas than about the sandbanks of this harbour, and they’ve practised here from their infancy.","北海那边没有比咱们这个海港的沙洲更蜿蜒曲折的地方了，而孩子们从小就在这里练手。"
"And they are so steady.","而且他们很沉稳。"
"I couldn’t get their steadiness and their trustworthiness in half a dozen men twice their age.’","比他们年长一倍的人里，半打人中也挑不出一个像他们这样沉稳可靠的。”"
"‘And is it very dangerous at sea; now, too, there are rumours of war?’ she asked uneasily.","“出海不是很危险吗？再说，不是还有传言说要打仗了？”她不安地问道。"
"‘O, well, there be risks.","“唔，这个嘛，会有风险的。"
"Still...’","不过……”"
"The idea grew and magnified, and the mother’s heart was crushed and stifled by it.","这个不断膨胀的想法充斥了乔安娜的心，压得她喘不过气。"
"Emmy was growing too patronizing; it could not be borne.","埃米莉越来越显得高人一等，实在让人无法忍受。"
"Shadrach’s wife could not help nagging him about their comparative poverty.","谢德拉克的妻子总是不停地向他抱怨自家比埃米莉家穷。"
"The young men, amiable as their father, when spoken to on the subject of a voyage of enterprise, were quite willing to embark; and though they, like their father, had no great love for the sea, they became quite enthusiastic when the proposal was detailed.","年轻的孩子们像他们父亲一样随和。当父母跟他们提起出海做生意的事时，他们非常乐意参与，尽管他们也和父亲一样，并不是很热爱航海，但随着这个计划的细节确定下来，他们的兴致也高了很多。"
"Everything now hung upon their mother’s assent.","现在，一切都等乔安娜点头了。"
"She withheld it long, but at last gave the word: the young men might accompany their father.","她克制了很久，最后还是开口了：孩子们可以陪着他们父亲一起去。"
"Shadrach was unusually cheerful about it: Heaven had preserved him hitherto, and he had uttered his thanks.","谢德拉克对此显得格外开心，迄今为止，上帝一直在保佑他，他也表达了对上帝的感恩。"
"God would not forsake those who were faithful to him.","上帝不会遗弃那些忠于他的子民的。"
"All that the Jolliffes possessed in the world was put into the enterprise.","乔利夫变卖了所有家产，都投进了这次生意。"
"The grocery stock was pared down to the least that possibly could afford a bare sustenance to Joanna during the absence, which was to last through the usual ‘New-f’nland spell.’","杂货店的存货尽量削减，只留下出海期间够乔安娜维持基本生计的部分。而出海通常持续整整一个“纽芬兰季”。"
"How she would endure the weary time she hardly knew, for the boys had been with her formerly; but she nerved herself for the trial.","乔安娜不知道要怎样消磨漫漫长日。之前还有孩子们陪着她，不过她还是鼓起勇气，准备接受考验。"
"The ship was laden with boots and shoes, ready-made clothing, fishing-tackle, butter, cheese, cordage, sailcloth, and many other commodities; and was to bring back oil, furs, skins, fish, cranberries, and what else came to hand.","船上装满靴子、鞋子、成衣、捕鱼用具、黄油、奶酪、绳索、帆布以及其他各种货物；回来时，船上会载着石油、毛皮、兽皮、鱼、蔓越橘，以及其他任何能弄到手的东西。"
"But much trading to other ports was to be undertaken between the voyages out and homeward, and thereby much money made.","出海和回来的路上，他们还要在其他港口进行许多交易，因此会赚到大钱。"

"Chapter III","第三章"
"The brig sailed on a Monday morning in spring; but Joanna did not witness its departure.","春季的一个星期一早上，横帆船起航了，不过乔安娜没有去送行。"
"She could not bear the sight that she had been the means of bringing about.","她不忍面对自己一手促成的分离场景。"
"Knowing this, her husband told her overnight that they were to sail some time before noon next day hence when, awakening at five the next morning, she heard them bustling about downstairs, she did not hasten to descend, but lay trying to nerve herself for the parting, imagining they would leave about nine, as her husband had done on his previous voyage.","谢德拉克知道这些，因此离开的前一夜告诉她，他们大约在第二天中午之前出发。因此，第二天早上5点钟乔安娜醒来时，她听到他们在楼下来回忙碌，却没有急着下楼，而是躺着，试图鼓起勇气面对离别，她想着他们大约会在9点钟离开，就像她丈夫上一次出海时那样。"
"When she did descend she beheld words chalked upon the sloping face of the bureau; but no husband or sons.","后来，她终于下了楼，看到写字台的斜面上有粉笔写的字，可她丈夫和儿子们都不在了。"
"In the hastily-scrawled lines Shadrach said they had gone off thus not to pain her by a leave-taking; and the sons had chalked under his words: ‘Good-bye, mother!’","谢德拉克匆匆地写了几句，说他们为了不让她因为告别难过，已经出发了，孩子们在谢德拉克的字下面写着：“再见，妈妈！”"
"She rushed to the quay, and looked down the harbour towards the blue rim of the sea, but she could only see the masts and bulging sails of the Joanna; no human figures.","乔安娜匆匆赶到码头，站在港口俯视着蔚蓝的海面，可是除了“乔安娜号”的桅杆和鼓起的船帆，她什么也看不到，一个人影也没有。"
"‘’Tis I have sent them!’ she said wildly, and burst into tears.","“我就这样送走他们了！”她发狂般地说着，眼泪哗哗地流了出来。"
"In the house the chalked ‘Good-bye’ nearly broke her heart.","房间里用粉笔写的“再见”几乎让她的心都碎了。"
"But when she had re-entered the front room, and looked across at Emily’s, a gleam of triumph lit her thin face at her anticipated release from the thraldom of subservience.","可是再次进入前屋后，她看着对面埃米莉家，想到要从低人一等的境况中解脱出来了，瘦削的脸庞上也流露出了一丝胜利的表情。"
"To do Emily Lester justice, her assumption of superiority was mainly a figment of Joanna’s brain.","为了对埃米莉·莱斯特公平起见，我们必须指出，乔安娜认为埃米莉高高在上的想法，基本上都是她自己的臆想。"
"That the circumstances of the merchant’s wife were more luxurious than Joanna’s, the former could not conceal; though whenever the two met, which was not very often now, Emily endeavoured to subdue the difference by every means in her power.","埃米莉身为商人的妻子，生活条件比乔安娜优越，这是她无法隐藏的事实。然而，二人无论什么时候碰面（事实上现在她们也不常碰面了），埃米莉都尽力缩小两人之间的差距。"
"The first summer lapsed away; and Joanna meagrely maintained herself by the shop, which now consisted of little more than a window and a counter.","第一个夏季无声无息地过去了，乔安娜靠着杂货店勉强维持生计，店里现在除了窗户和柜台外，几乎没有其他东西了。"
"Emily was, in truth, her only large customer; and Mrs. Lester’s kindly readiness to buy anything and everything without questioning the quality had a sting of bitterness in it, for it was the uncritical attitude of a patron, and almost of a donor.","事实上，埃米莉是她唯一的大主顾。莱斯特太太不问质量，欣然购买任何东西，这种善意本身却带着一种令人心酸的刺痛，因为这种毫不挑剔的态度显示出她是个恩主，甚至可以说是个施舍者。"
"The long dreary winter moved on; the face of the bureau had been turned to the wall to protect the chalked words of farewell, for Joanna could never bring herself to rub them out; and she often glanced at them with wet eyes.","漫长而凄凉的冬季姗姗来临，写字台的正面现在朝着墙，以保护粉笔写的告别语，因为乔安娜怎么也不忍心把那些字擦掉。她常常看着那些字，眼里便蓄满了泪水。"
"Emily’s handsome boys came home for the Christmas holidays; the University was talked of for them; and still Joanna subsisted as it were with held breath, like a person submerged.","埃米莉家一表人才的男孩子们回来过圣诞节了，他们常常聊起上大学的事，而乔安娜依然小心翼翼地生活着，连呼吸都谨慎得仿佛一个溺水的人。"
"Only one summer more, and the ‘spell’ would end.","再过一个夏天，“纽芬兰季”就要结束了。"
"Towards the close of the time Emily called on her quondam friend.","归期快到时，埃米莉去拜访了她旧时的朋友。"
"She had heard that Joanna began to feel anxious; she had received no letter from husband or sons for some months.","埃米莉听说乔安娜开始感到焦虑了，她有几个月都没有收到丈夫和儿子们的信了。"
"Emily’s silks rustled arrogantly when, in response to Joanna’s almost dumb invitation, she squeezed through the opening of the counter and into the parlour behind the shop.","埃米莉一边回应乔安娜几近麻木的邀请，一边挤过柜台的开口，进入商店后面的客厅。她的丝绸衣服沙沙响着，显得颇为傲慢。"
"‘You are all success, and I am all the other way!’ said Joanna.","“你什么都顺顺当当，而我却什么都不如意！”乔安娜说。"
"‘But why do you think so?’ said Emily.","“你怎么会这样想呢？”埃米莉说，"
"‘They are to bring back a fortune, I hear.’","“我听说他们会赚大钱回来的。”"
"‘Ah! will they come?","“呵，他们会回来吗？"
"The doubt is more than a woman can bear.","这种担惊受怕可不是一个女人能承受的。"
"All three in one ship—think of that!","三个人在一条船上——想想吧！"
"And I have not heard of them for months!’","更别提我好几个月没有收到他们的消息了！”"
"‘But the time is not up.","“可是还不到他们回来的时间。"
"You should not meet misfortune half-way.’","你不会中途遭到厄运的。”"
"‘Nothing will repay me for the grief of their absence!’","“如果他们回不来了，那什么也不能弥补我的难过！”"
"‘Then why did you let them go?","“那你为什么还放他们去呢？"
"You were doing fairly well.’","你们家日子本来也不错。”"
"‘I made them go!’ she said, turning vehemently upon Emily.","“是我让他们去的！”她说着，猛地向埃米莉发作了，"
"‘And I’ll tell you why!","“让我告诉你为什么！"
"I could not bear that we should be only muddling on, and you so rich and thriving!","我受不了我们只是勉强度日，而你们家却过得红红火火！"
"Now I have told you, and you may hate me if you will!’","我现在都告诉你了，你想讨厌我，随你便吧！”"
"‘I shall never hate you, Joanna.’","“我永远都不会讨厌你的，乔安娜。”"
"And she proved the truth of her words afterwards.","埃米莉后来证明了自己的话。"
"The end of autumn came, and the brig should have been in port; but nothing like the Joanna appeared in the channel between the sands.","秋季过去，帆船应该回港口了，可是沙洲间的水道里却看不到“乔安娜号”的影子。"
"It was now really time to be uneasy.","现在，乔安娜真的坐立不安了。"
"Joanna Jolliffe sat by the fire, and every gust of wind caused her a cold thrill.","她坐在炉火边，每一阵寒风吹过，都会打个寒战。"
"She had always feared and detested the sea; to her it was a treacherous, restless, slimy creature, glorying in the griefs of women.","乔安娜素来畏惧大海，厌恶大海，她觉得大海是个凶险、虚伪而永不满足的怪物，以给女人带来悲伤为荣。"
"‘Still,’ she said, ‘they must come!’","“不过，”她说，“他们肯定会回来！”"
"She recalled to her mind that Shadrach had said before starting that if they returned safe and sound, with success crowning their enterprise, he would go as he had gone after his shipwreck, and kneel with his sons in the church, and offer sincere thanks for their deliverance.","她记得谢德拉克出发前说过，如果他们平安归来，并且是满载而归，他要像那次船只失事后那样去教堂，和孩子们跪在那里，为得救而虔诚地感谢上帝。"
"She went to church regularly morning and afternoon, and sat in the most forward pew, nearest the chancel-step.","乔安娜每天上下午都按时去教堂，她总是坐在第一排靠背长凳上，那里离高坛的台阶最近。"
"Her eyes were mostly fixed on that step, where Shadrach had knelt in the bloom of his young manhood: she knew to an inch the spot which his knees had pressed twenty winters before; his outline as he had knelt, his hat on the step beside him.","她总是盯着那级台阶，那是当年风华正茂的谢德拉克跪过的台阶，乔安娜非常清楚地记得20年前谢德拉克双膝跪下的地方，记得他跪着时的轮廓，他的帽子就放在身旁的台阶上。"
"God was good.","上帝是仁慈的。"
"Surely her husband must kneel there again: a son on each side as he had said; George just here, Jim just there.","她丈夫肯定还会再次跪在那里，像他说过的那样，两个儿子跪在他身边，一边是乔治，另一边是吉姆。"
"By long watching the spot as she worshipped it became as if she saw the three returned ones there kneeling; the two slim outlines of her boys, the more bulky form between them; their hands clasped, their heads shaped against the eastern wall.","乔安娜做礼拜时长时间盯着那级台阶，她仿佛看到父子三人已经回来，正跪在那里：两个修长的身躯是她的儿子，还有中间那更为粗壮的身影，三人的手紧紧握着，头部的轮廓映在东边的墙上。"
"The fancy grew almost to an hallucination: she could never turn her worn eyes to the step without seeing them there.","这个想法简直成了幻觉，她疲倦的眼神一落到那级台阶，就总会看到父子三人跪在那里。"
"Nevertheless they did not come.","然而，他们并没有回来。"
"Heaven was merciful, but it was not yet pleased to relieve her soul.","上天是仁慈的，可它却不愿让乔安娜的灵魂得到解脱。"
"This was her purgation for the sin of making them the slaves of her ambition.","她把父子三人变成她自己野心的奴隶，这是她应得的报应。"
"But it became more than purgation soon, and her mood approached despair.","可这很快就不只是报应了，乔安娜的情绪接近崩溃了。"
"Months had passed since the brig had been due, but it had not returned.","帆船的归期过了好几个月，船却依然没有回来。"
"Joanna was always hearing or seeing evidences of their arrival.","乔安娜总觉得自己听到或者看到了什么，证明他们回来了。"
"When on the hill behind the port, whence a view of the open Channel could be obtained, she felt sure that a little speck on the horizon, breaking the eternally level waste of waters southward, was the truck of the Joana’s mainmast.","有时她在港口后面的小山上，从那里看着开阔的海峡，她确信地平线上有个小点打破了永远平静的南流之水，她觉得那是“乔安娜号”主桅的桅杆帽。"
"Or when indoors, a shout or excitement of any kind at the corner of the Town Cellar, where the High Street joined the Quay, caused her to spring to her feet and cry: ‘’Tis they!’","有时候她在家，只要听到主街与码头相接之处的镇酒窖拐角传来大叫声或者喧闹声，就会匆匆站起，高喊道：“是他们！”"
"But it was not.","然而却不是。"
"The visionary forms knelt every Sunday afternoon on the chancel-step, but not the real.","每周日下午，她都幻想着他们跪在高坛的台阶上，事实上他们却是无迹可寻。"
"Her shop had, as it were, eaten itself hollow.","她的杂货店可以说是已经坐吃山空了。"
"In the apathy which had resulted from her loneliness and grief she had ceased to take in the smallest supplies, and thus had sent away her last customer.","由于寂寞与悲伤，她对开店已经漠不关心，一点儿货也不再进，于是最后一个客人也不来了。"
"In this strait Emily Lester tried by every means in her power to aid the afflicted woman; but she met with constant repulses.","在这种情况下，埃米莉·莱斯特竭尽全力接济这个孤苦的女人，可每次都被断然拒绝。"
"‘I don’t like you!","“我讨厌你！"
"I can’t bear to see you!’","我不能忍受看到你！”"
"Joanna would whisper hoarsely when Emily came to her and made advances.","埃米莉来看望乔安娜的时候，乔安娜总是这么嘶哑着嗓子，低声朝她怒吼。"
"‘But I want to help and soothe you, Joanna,’ Emily would say.","“可我想帮助你，安慰你，乔安娜。”埃米莉总是这样回答。"
"‘You are a lady, with a rich husband and fine sons!","“你是个阔太太，你丈夫有钱，你儿子有出息！"
"What can you want with a bereaved crone like me!’","你想从我这个失去亲人的老女人这里得到什么！”"
"‘Joanna, I want this: I want you to come and live in my house, and not stay alone in this dismal place any longer.’","“乔安娜，我想这样：我想让你住到我家去，不要再一个人住在这个凄凉的地方了。”"
"‘And suppose they come and don’t find me at home?","“万一他们回来了找不到我怎么办？"
"You wish to separate me and mine!","你想把我和我的家人分开！"
"No, I’ll stay here.","不，我要留在这里。"
"I don’t like you, and I can’t thank you, whatever kindness you do me!’","我讨厌你，不管你怎么帮我，我都不会感谢你的！”"
"However, as time went on Joanna could not afford to pay the rent of the shop and house without an income.","然而，随着时间的流逝，乔安娜因为没有收入，付不起商店和房子的租金了。"
"She was assured that all hope of the return of Shadrach and his sons was vain, and she reluctantly consented to accept the asylum of the Lesters’ house.","她已经认命了，知道谢德拉克和孩子们回来的希望很渺茫，最终不情愿地接受帮助，同意住到莱斯特家去。"
"Here she was allotted a room of her own on the second floor, and went and came as she chose, without contact with the family.","她在三楼得到一间属于她自己的房间，来去自如，也不和莱斯特家的人来往。"
"Her hair greyed and whitened, deep lines channeled her forehead, and her form grew gaunt and stooping.","她的头发渐渐变成花白，最终全白了，额头上皱纹横生，身体也变得骨瘦如柴，驼背得厉害。"
"But she still expected the lost ones, and when she met Emily on the staircase she would say morosely: ‘I know why you’ve got me here!","可她依然期盼着父子三人回来，有时在楼梯上遇到埃米莉，她就会愠怒地说：“我知道你为什么让我住在这儿！"
"They’ll come, and be disappointed at not finding me at home, and perhaps go away again; and then you’ll be revenged for my taking Shadrach away from ’ee!’","他们回到家里找不到我，会很失望，或许会再次离开，那样你就报了我把谢德拉克从你手中抢走的仇了！”"
"Emily Lester bore these reproaches from the grief-stricken soul.","埃米莉·莱斯特总是默默承受着这个悲痛欲绝的人发出的指责。"
"She was sure—all the people of Havenpool were sure—that Shadrach and his sons could not return.","她确信——实际上黑文普尔镇的所有人都确信——谢德拉克和他的儿子们不可能回来了。"
"For years the vessel had been given up as lost.","好几年过去了，人们已经对那艘失踪的船不抱希望了。"
"Nevertheless, when awakened at night by any noise, Joanna would rise from bed and glance at the shop opposite by the light from the flickering lamp, to make sure it was not they.","然而，每当夜里被一丁点儿响动吵醒，乔安娜总会从床上跳起来，借着忽明忽暗的灯光看一眼对面的杂货店，以确定是不是那父子三人。"
"It was a damp and dark December night, six years after the departure of the brig Joanna.","那是一个12月的夜里，潮湿漆黑，距“乔安娜号”帆船出海已经有六年了。"
"The wind was from the sea, and brought up a fishy mist which mopped the face like moist flannel.","风从海上吹来，带来一阵薄雾，散发着鱼腥味，拂到脸上就像湿润的法兰绒。"
"Joanna had prayed her usual prayer for the absent ones with more fervour and confidence than she had felt for months, and had fallen asleep about eleven.","乔安娜像往常一样为久别未归的三人做了祈祷，不过这次带着数月来都没有过的虔诚和信心，11点左右，她就睡着了。"
"It must have been between one and two when she suddenly started up.","不到2点钟的时候，乔安娜突然惊醒了。"
"She had certainly heard steps in the street, and the voices of Shadrach and her sons calling at the door of the grocery shop.","她确信自己听到了街上的脚步声，还有谢德拉克和孩子们在杂货店门口叫门的声音。"
"She sprang out of bed, and, hardly knowing what clothing she dragged on herself; hastened down Emily’s large and carpeted staircase, put the candle on the hall-table, unfastened the bolts and chain, and stepped into the street.","她从床上一跃而起，来不及披好衣服，就匆匆下了埃米莉家宽敞的、铺着地毯的楼梯。她把蜡烛放在大厅的桌子上，打开门闩和门链，走到街上。"
"The mist, blowing up the street from the Quay, hindered her seeing the shop, although it was so near; but she had crossed to it in a moment.","从码头方向蔓延而来的薄雾笼罩在街道上，虽然杂货店近在眼前，乔安娜却看不清楚。不过她很快就穿过街道，向杂货店走过去。"
"How was it?","怎么样呢？"
"Nobody stood there.","空无一人。"
"The wretched woman walked wildly up and down with her bare feet—there was not a soul.","这个可怜的女人光着脚，发疯般地走来走去，却一个人影也没有。"
"She returned and knocked with all her might at the door which had once been her own—they might have been admitted for the night, unwilling to disturb her till the morning.","她回到曾经属于她的杂货店门口，用尽力气敲着门——或许他们不愿意夜里打扰她，获准在店里过夜，要到第二天早上才告诉她。"
"It was not till several minutes had elapsed that the young man who now kept the shop looked out of an upper window, and saw the skeleton of something human standing below half-dressed.","不一会儿，如今拥有杂货店的年轻人从楼上的窗户里探出头来。他看到一个衣衫不整的瘦削人影站在下面。"
"‘Has anybody come?’ asked the form.","“有人来吗？”那身影问道。"
"‘O, Mrs. Jolliffe, I didn’t know it was you,’ said the young man kindly, for he was aware how her baseless expectations moved her.","“哦，乔利夫太太，我不知道是你，”年轻人和蔼地说道，因为他知道乔安娜是被虚幻的期待驱使着，"
"‘No; nobody has come.’","“没有，没有人来。”"
"June 1891.","1891年6月"

