"Indian Summer of A Forsyte","老福赛特的印第安之夏  "
"His heart swelled, and he went out, stilling the sound of his patent-leather boots.","他的心充实起来，走出房间时，轻手轻脚地不让自己的漆皮靴发出声响。"
"In the corridor an eccentric notion attacked him: To think that children should come to that which Irene had told him she was helping!","在走廊里，一个古怪的念头浮现在他的脑海中：要是孩子们沦落得和艾琳正在帮助的那些人一样，可怎么办！。"
"Women who were all, once, little things like this one sleeping there!","她们也曾经都是小女孩，像正在熟睡的霍利一样的小女孩！"
"‘I must give her a cheque!’ he mused; ‘Can’t bear to think of them!’","“我必须给她张支票！”他想着，“一想到那些人就难受！”"
"They had never borne reflecting on, those poor outcasts; wounding too deeply the core of true refinement hidden under layers of conformity to the sense of property—wounding too grievously the deepest thing in him—a love of beauty which could give him, even now, a flutter of the heart, thinking of his evening in the society of a pretty woman.","他从来不敢去想这些可怜的流浪者；因为这刺伤了他层层财产意识下埋藏的一种高尚情感；伤害了他内心深处对美的向往。即使现在，一想到今晚有一位漂亮女士相伴就心神荡漾的时刻，他依然感到了这种伤害。"
"And he went downstairs, through the swinging doors, to the back regions.","他走下楼，穿过弹簧门，走到后面。"
"There, in the wine-cellar, was a hock worth at least two pounds a bottle, a Steinberg Cabinet, better than any Johannisberg that ever went down throat; a wine of perfect bouquet, sweet as a nectarine—nectar indeed!","在酒窖里，他收藏了一种霍克酒，一瓶至少两英镑，属于施泰因贝格秘制酒，口感比任何约翰尼斯堡葡萄酒都好；气味醇香，味道如蜜桃般甘甜——简直就是花蜜！"
"He got a bottle out, handling it like a baby, and holding it level to the light, to look.","老乔利恩取了一瓶出来，好像对待婴儿一般捧在手里，横过来举到灯光下查看。"
"Enshrined in its coat of dust, that mellow coloured, slender-necked bottle gave him deep pleasure.","色调深沉的细颈瓶包裹在一层神秘的灰尘中，圣物一般，给老乔利恩带来了深深的愉悦。"
"Three years to settle down again since the move from Town—ought to be in prime condition!","从城中搬到这里已经三年了——应当到了最好喝的时候！"
"Thirty-five years ago he had bought it—thank God he had kept his palate, and earned the right to drink it.","三十五年前他买了这些酒——谢天谢地，他现在还能品酒，还有啜饮的资格。"
"She would appreciate this; not a spice of acidity in a dozen.","她会喜欢的；十瓶里也尝不出一丁点儿酸味。"
"He wiped the bottle, drew the cork with his own hands, put his nose down, inhaled its perfume, and went back to the music room.","他擦了擦酒瓶，自己动手拔出软木塞，鼻子凑过去闻了闻酒香，回到琴房。"
"Irene was standing by the piano; she had taken off her hat and a lace scarf she had been wearing, so that her gold-coloured hair was visible, and the pallor of her neck.","艾琳正站在钢琴边；她脱下了帽子和一直围着的蕾丝围巾，露出了金色发和苍白的脖颈。"
"In her grey frock she made a pretty picture for old Jolyon, against the rosewood of the piano.","身穿灰色长裙的艾琳，配上紫檀木制的钢琴，在老乔利恩眼中是一幅绝美的图画。"
"He gave her his arm, and solemnly they went.","他让她挽起自己的胳膊，两人庄重地走向餐室。"
"The room, which had been designed to enable twenty-four people to dine in comfort, held now but a little round table.","这间餐室原来的设计足以供二十四人舒适地就餐，现在却只放了一张小圆桌。"
"In his present solitude the big dining-table oppressed old Jolyon; he had caused it to be removed till his son came back.","目前独居的状态，让老乔利恩不大习惯一张大餐桌；他于是让人把它搬走，等儿子回来后再做打算。"
"Here in the company of two really good copies of Raphael Madonnas he was wont to dine alone.","他之前常常一个人就餐；只有两幅堪称精品的拉斐尔圣母像与他相伴。 "
"It was the only disconsolate hour of his day, this summer weather.","在这初夏时节，这会儿是他一天中唯一难熬的时刻。"
"He had never been a large eater, like that great chap Swithin, or Sylvanus Heythorp, or Anthony Thornworthy, those cronies of past times; and to dine alone, overlooked by the Madonnas, was to him but a sorrowful occupation, which he got through quickly, that he might come to the more spiritual enjoyment of his coffee and cigar.","他一向吃得很少，不像大家伙斯威辛，或者西尔韦纳斯·黑多普，还有安东尼·多恩华绥，他的旧友们；在圣母玛利亚的注视中独自进餐，对他来说实在难受，于是他总是草草解决，然后泡杯咖啡，点根雪茄，享受它们带来的精神愉悦。"
"But this evening was a different matter!","但今晚不一样！"
"His eyes twinkled at her across the little table and he spoke of Italy and Switzerland, telling her stories of his travels there, and other experiences which he could no longer recount to his son and grand-daughter because they knew them.","他望着小桌对面的艾琳，讲起自己在意大利和瑞士的旅行见闻，眼睛闪着亮光；他还讲了些不能再和儿子和孙女讲起的经历，因为他们都已经听过了。"
"This fresh audience was precious to him; he had never become one of those old men who ramble round and round the fields of reminiscence.","这个新听众对他来说很难得；他从来不像有的老人一样，只沉浸在回忆里。"
"Himself quickly fatigued by the insensitive, he instinctively avoided fatiguing others, and his natural flirtatiousness towards beauty guarded him specially in his relations with a woman.","他自己就很厌倦那些迟钝的人，所以会本能地避免令人生厌；天生对美色的敏感使他在与女性交往中格外注意这一点。"
"He would have liked to draw her out, but though she murmured and smiled and seemed to be enjoying what he told her, he remained conscious of that mysterious remoteness which constituted half her fascination.","他本想引她畅所欲言，但她只是低语了几句，笑了笑，仿佛听他谈话就很开心，可他仍旧能感觉到她那种神秘的疏离感，她之所以迷人，这恐怕占了一半的原因。"
"He could not bear women who threw their shoulders and eyes at you, and chattered away; or hard-mouthed women who laid down the law and knew more than you did.","他受不了女人秋波频传，喋喋不休，也受不了女人牙尖嘴利，自以为是，比你懂得还多。"
"There was only one quality in a woman that appealed to him—charm; and the quieter it was, the more he liked it.","女人身上只有一种特质能够吸引他——妩媚；而且越是不动声色的妩媚，他越是喜欢。"
"And this one had charm, shadowy as afternoon sunlight on those Italian hills and valleys he had loved.","而眼前这位就很妩媚，梦幻得像他钟情的意大利丘陵和山谷上的午后阳光。"
"The feeling, too, that she was, as it were, apart, cloistered, made her seem nearer to himself, a strangely desirable companion.","她身上淡淡的、不食人间烟火的气息，倒似乎使她与自己更加亲近，这正是他想要的伴侣。"
"When a man is very old and quite out of the running, he loves to feel secure from the rivalries of youth, for he would still be first in the heart of beauty.","一个男人年事已高、凡事没有胜算时，就不愿再与年轻人一争高下，因为只有这样，他才能在美人的心里仍然占据首要位置。"
"And he drank his hock, and watched her lips, and felt nearly young.","他品着酒，凝视着她的嘴唇，感觉自己都年轻了。"
"But the dog Balthasar lay watching her lips too, and despising in his heart the interruptions of their talk, and the tilting of those greenish glasses full of a golden fluid which was distasteful to him.","小狗巴尔萨泽也趴在那里看她的嘴唇，两人谈话中断时，它就会觉得很讨厌；它还讨厌他们举起绿色玻璃杯，里面盛满了它觉得难喝的黄水。"
"The light was just failing when they went back into the music-room.","他们回到音乐室时，天色刚刚开始暗下来。"
"And, cigar in mouth, old Jolyon said:","老乔利恩咬着只雪茄，说道："
"“Play me some Chopin.”","“弹支肖邦吧。”"
"By the cigars they smoke, and the composers they love, ye shall know the texture of men’s souls.","从男人抽的雪茄和喜欢的作曲家，你能够看到他们灵魂的本质。"
"Old Jolyon could not bear a strong cigar or Wagner’s music.","老乔利恩抽不惯烈性雪茄，也听不惯瓦格纳的音乐。"
"He loved Beethoven and Mozart, Handel and Gluck, and Schumann, and, for some occult reason, the operas of Meyerbeer; but of late years he had been seduced by Chopin, just as in painting he had succumbed to Botticelli.","他喜欢贝多芬和莫扎特、汉德尔和格鲁克以及舒曼，不知道为什么，他还喜欢梅耶贝尔的歌剧；但到了晚年，他开始痴迷于肖邦，正如他曾经被波提切利的油画所折服一样。"
"In yielding to these tastes he had been conscious of divergence from the standard of the Golden Age.","他意识到，沦于如此品位的自己已经偏离了黄金时代的格调。"
"Their poetry was not that of Milton and Byron and Tennyson; of Raphael and Titian; Mozart and Beethoven.","他们的意蕴不像弥尔顿、拜伦和丁尼生，不像拉斐尔和提香，也不像莫扎特和贝多芬。"
"It was, as it were, behind a veil; their poetry hit no one in the face, but slipped its fingers under the ribs and turned and twisted, and melted up the heart.","这些意蕴似乎隔着一层纱；它们从不直扑面门，而是悄然将手指伸到你的肋骨下面，来回翻腾，让心跌宕起伏。"
"And, never certain that this was healthy, he did not care a rap so long as he could see the pictures of the one or hear the music of the other.","他不能确定这些东西是否有益，但是只要能欣赏波提切利的油画，聆听肖邦的音乐，他就毫不在意了。"
"Irene sat down at the piano under the electric lamp festooned with pearl-grey, and old Jolyon, in an armchair, whence he could see her, crossed his legs and drew slowly at his cigar.","艾琳已经在钢琴前坐好，头顶是盏带有珠灰色花饰的灯；老乔利恩坐在扶手椅上——这里可以看见她——翘着腿，缓缓地抽着雪茄。"
"She sat a few moments with her hands on the keys, evidently searching her mind for what to give him.","艾琳把双手放在琴键上，坐了一会儿，显然是在思索该给他弹哪首曲子。"
"Then she began and within old Jolyon there arose a sorrowful pleasure, not quite like anything else in the world.","然后她开始弹琴；老乔利恩心里涌起一阵悲伤的快乐，这种情绪与世间别种都截然不同。"
"He fell slowly into a trance, interrupted only by the movements of taking the cigar out of his mouth at long intervals, and replacing it.","他渐渐陷入一阵恍惚，隔好大一会儿，才把雪茄从嘴里拿出，再放回去，每每此时，他才暂时回过神来。"
"She was there, and the hock within him, and the scent of tobacco; but there, too, was a world of sunshine lingering into moonlight, and pools with storks upon them, and bluish trees above, glowing with blurs of wine-red roses, and fields of lavender where milk-white cows were grazing, and a woman all shadowy, with dark eyes and a white neck, smiled, holding out her arms; and through air which was like music a star dropped and was caught on a cow’s horn.","这里有她、腹内的霍克酒，还有烟草的味道。可这里似乎还有另外一番景象：日光渐黯，月亮升起，水塘中静立着许多鹳鸟，淡蓝色的树下，摇曳着酒红色玫瑰的朦胧花影；熏衣草的田野里，乳白色的牛正在吃草，还有一位身影朦胧女士，她眼睛乌黑，脖颈雪白，微笑着，伸出双手。一颗星星坠落下来，透过音乐般美妙的空气，落在了牛角上。"
"He opened his eyes.","他睁开双眼。"
"Beautiful piece; she played well—the touch of an angel!","优美的乐曲；演奏得也精彩——简直如天使弹奏一般！"
"And he closed them again.","他又闭上了眼。"
"He felt miraculously sad and happy, as one does, standing under a lime-tree in full honey flower.","哀愁与欢愉在他心里神奇地融合在一起，如同一个人站在椴树下，闻到满树的花香。"
"Not live one’s own life again, but just stand there and bask in the smile of a woman’s eyes, and enjoy the bouquet!","不再重复以往的生活，而是站在那里，沐浴在一个女人含笑的目光中，享受着鲜花的香味！"
"And he jerked his hand; the dog Balthasar had reached up and licked it.","他不禁抬起手；巴尔萨泽凑过来舔了几下。"
"“Beautiful!” He said: “Go on—more Chopin!”","“太美了！”他说：“接着弹——多弹些肖邦！”"
"She began to play again.","她又继续弹了下去。"
"This time the resemblance between her and ‘Chopin’ struck him.","这一次，他惊讶地发现她和肖邦曲如此契合。"
"The swaying he had noticed in her walk was in her playing too, and the Nocturne she had chosen and the soft darkness of her eyes, the light on her hair, as of moonlight from a golden moon.","他曾留意过她走路时身姿摇曳，此刻的演奏中也有这样的摇曳；她选择的夜曲、她眼里的温柔暗影、她秀发上跃动的华彩，就如同金色月亮洒下的月光。"
"Seductive, yes; but nothing of Delilah in her or in that music.","的确，很诱人；但是她和她所弹奏的曲子却不带丝毫情色的诱惑。"
"A long blue spiral from his cigar ascended and dispersed.","一缕青色的烟从他的雪茄上盘旋上升，又消散开来。"
"‘So we go out!’ he thought.","“我们就这样消失了！”他想，"
"‘No more beauty!","“再也看不到美人！"
"Nothing?’","什么都没了？”"
"Again Irene stopped.","艾琳又停下来。"
"“Would you like some Gluck?","“您想听听格鲁克吗？"
"He used to write his music in a sunlit garden, with a bottle of Rhine wine beside him.”","他过去常在阳光下的花园里谱曲，边上少不了一瓶莱茵白葡萄酒。”"
"“Ah! yes.","“啊！对。"
"Let’s have ‘Orfeo.’”","弹首《奥菲欧》吧。”"
"Round about him now were fields of gold and silver flowers, white forms swaying in the sunlight, bright birds flying to and fro.","此刻，他如同置身于金银色的花朵竞相开放的田野之中，白色的轮廓在阳光下摇曳，色彩明艳的鸟儿在空中飞翔。"
"All was summer.","一切都是夏天的景象。"
"Lingering waves of sweetness and regret flooded his soul.","甜蜜和悲叹如潮水般徘徊不去，淹没了他的灵魂。"
"Some cigar ash dropped, and taking out a silk handkerchief to brush it off, he inhaled a mingled scent as of snuff and eau de Cologne.","一些烟灰落了下来，老乔利恩拿出丝帕把它擦干净时，闻到了一股像是鼻烟和古龙水混合起来的香味。"
"‘Ah!’ he thought, ‘Indian summer—that’s all!’ and he said: “You haven’t played me ‘Che faro.’”","“哦！”他想，“印第安之夏——这就是了！”他说：“你还没给我弹《我可怎么办》呢。”"
"She did not answer; did not move.","她没有回应，也没有动。"
"He was conscious of something—some strange upset.","老乔利恩察觉到了什么——一丝奇怪的难过。"
"Suddenly he saw her rise and turn away, and a pang of remorse shot through him.","突然，他看见她站起来，转过身去，一阵懊悔顿时涌上心头。"
"What a clumsy chap!","你这个蠢老头啊！"
"Like Orpheus, she of course—she too was looking for her lost one in the hall of memory!","和俄耳甫斯一样，她当然也正在这记忆的厅堂里苦苦寻觅失去的情人啊！"
"And disturbed to the heart, he got up from his chair.","他从椅子上站起来，心里还在为刚才的失言而懊恼。"
"She had gone to the great window at the far end.","她已经走到房间尽头的大窗户前。"
"Gingerly he followed.","他小心翼翼地跟了上去。"
"Her hands were folded over her breast; he could just see her cheek, very white.","她双手交叠在胸前；他只能看见她的脸颊，非常苍白。"
"And, quite emotionalized, he said:","他动情地说："
"“There, there, my love!”","“好了，好了，乖乖。”"
"The words had escaped him mechanically, for they were those he used to Holly when she had a pain, but their effect was instantaneously distressing.","这话是不假思索地说出的，因为霍利弄疼了的时候，他常常这样安慰她，可是这些话用在此时却是适得其反。"
"She raised her arms, covered her face with them, and wept.","艾琳抬起手臂，遮住脸，眼泪掉了下来。"
"Old Jolyon stood gazing at her with eyes very deep from age.","老乔利恩站在她面前，用一双凹陷的老眼凝视着她。"
"The passionate shame she seemed feeling at her abandonment, so unlike the control and quietude of her whole presence was as if she had never before broken down in the presence of another being.","她的情绪失控与她一贯沉静矜持的仪态极为不符，她似乎为此感到非常羞愧，好像之前还从未在人前这样无法自持过。"
"“There, there—there, there!” he murmured, and putting his hand out reverently, touched her.","“好了，好了——好了，好了！”他喃喃地说着，小心翼翼地伸出手，碰了碰她。"
"She turned, and leaned the arms which covered her face against him.","她转过身，把两只遮着脸的胳膊靠在他身上。"
"Old Jolyon stood very still, keeping one thin hand on her shoulder.","老乔利恩静静地站着，一只很瘦的手一直放在她肩膀上。"
"Let her cry her heart out—it would do her good.","让她尽情地哭出来吧——这样她会好受些。"
"And the dog Balthasar, puzzled, sat down on his stern to examine them.","小狗巴尔萨泽一脸茫然，坐起来注视着他们。"
"The window was still open, the curtains had not been drawn, the last of daylight from without mingled with faint intrusion from the lamp within; there was a scent of new-mown grass.","窗户依然开着，窗帘还没有拉上，窗外最后的暮光照进来，和房间里幽暗的灯光融合在一起；青草新割过的气息飘了过来。"
"With the wisdom of a long life old Jolyon did not speak.","深谙世事的老乔利恩此刻一言不发。"
"Even grief sobbed itself out in time; only Time was good for sorrow—Time who saw the passing of each mood, each emotion in turn; Time the layer-to-rest.","即便痛苦也有完结的时候，时间是治愈痛苦的唯一良药——时间见证了每段心境与每份情怀的一一流逝；时间是一切的安葬者。"
"There came into his mind the words: ‘As panteth the hart after cooling streams’—but they were of no use to him.","他脑海里忽然浮现出：“如鹿切慕溪水”那句诗——可惜这句对他没用。"
"Then, conscious of a scent of violets, he knew she was drying her eyes.","接着，他嗅到一丝紫罗兰的香气，知道她在擦眼泪。"
"He put his chin forward, pressed his moustache against her forehead, and felt her shake with a quivering of her whole body, as of a tree which shakes itself free of raindrops.","他扬起下巴，用胡子抵住她的额头，只觉她浑身都战栗了一下，就像一棵树在抖掉身上的雨滴。"
"She put his hand to her lips, as if saying: “All over now!","她捧起他的手吻了一下，好像在说：“没事了！"
"Forgive me!”","对不起！”"
"The kiss filled him with a strange comfort; he led her back to where she had been so upset.","这一吻给了他莫名的安慰；他带她回到之前她感到不悦的座位上。"
"And the dog Balthasar, following, laid the bone of one of the cutlets they had eaten at their feet.","小狗巴尔萨泽也跟着，把他们刚才吃剩的一块肉骨头叼到他们脚下。"
"Anxious to obliterate the memory of that emotion, he could think of nothing better than china; and moving with her slowly from cabinet to cabinet, he kept taking up bits of Dresden and Lowestoft and Chelsea, turning them round and round with his thin, veined hands, whose skin, faintly freckled, had such an aged look.","他急切地想让她忘掉刚才那场不快——似乎没有什么比鉴赏瓷器更好的了；他们一个橱柜接一个慢慢看过来，他一会儿拿起这件德累斯顿，一会儿拿那件洛斯托夫特，又拿起一件切尔西，一双瘦削而青筋暴露的手把瓷器颠来倒去，隐隐看得见皮肤上的雀斑——老态尽显。"
"“I bought this at Jobson’s,” he would say; “cost me thirty pounds.","“这件是我在乔布森家买的，”他说，“花了我三十镑。"
"It’s very old.","很古老。"
"That dog leaves his bones all over the place.","狗把骨头丢得哪儿都是。"
"This old ‘ship-bowl’ I picked up at the sale when that precious rip, the Marquis, came to grief.","这件旧‘船形碗’是我在那个侯爵——活宝似的人物——出了事之后，从拍卖会上弄来的。"
"But you don’t remember.","可你不记得了。"
"Here’s a nice piece of Chelsea.","这件切尔西是好东西。"
"Now, what would you say this was?”","你看，这是一件什么瓷器？”"
"And he was comforted, feeling that, with her taste, she was taking a real interest in these things; for, after all, nothing better composes the nerves than a doubtful piece of china.","他觉得宽慰了些，认为她这样品位不俗的人，定是真心对这些东西感兴趣；毕竟，没有什么比一件诱人猜度的瓷器更能让人安定心神了。"
"When the crunch of the carriage wheels was heard at last, he said:","终于听到马车轮子隆隆的声音了，他说："
"“You must come again; you must come to lunch, then I can show you these by daylight, and my little sweet—she’s a dear little thing.","“你一定要再来；一定要来吃午饭，到时候我就能在白天拿这些东西给你看了，你还能见见我的小甜心——她是个惹人爱的小家伙。"
"This dog seems to have taken a fancy to you.”","这狗好像很喜欢你。”"
"For Balthasar, feeling that she was about to leave, was rubbing his side against her leg.","巴尔萨泽觉得她要走了，正拿身子蹭她的腿。"
"Going out under the porch with her, he said:","他陪她一同走到门廊，说道："
"“He’ll get you up in an hour and a quarter.","“车夫一小时零一刻钟就能送你到家。"
"Take this for your protegees,” and he slipped a cheque for fifty pounds into her hand.","替那些你救助的人收下吧。”他说着将一张五十镑的支票塞到她手里。"
"He saw her brightened eyes, and heard her murmur: “Oh! Uncle Jolyon!” and a real throb of pleasure went through him.","他看见她眼睛一亮，嘴里喃喃道：“哎呀！乔利恩伯伯！”他顿时感到一股喜悦涌遍全身。"
"That meant one or two poor creatures helped a little, and it meant that she would come again.","那意味着一两个可怜人会得到扶助，也意味着她会再来。"
"He put his hand in at the window and grasped hers once more.","他把手伸进车窗，又握了一下她的手。"
"The carriage rolled away.","马车开走了。"
"He stood looking at the moon and the shadows of the trees, and thought: ‘A sweet night! She...!’","他站在那儿望着月亮和树影，心想：“多么美好的夜晚！她……！”"

"II","2.0"
"Two days of rain, and summer set in bland and sunny.","下了两天雨后，夏天变得温和明媚了。"
"Old Jolyon walked and talked with Holly.","老乔利恩常常和霍利散步，聊天。"
"At first he felt taller and full of a new vigour; then he felt restless.","起初，他觉得自己高了些，而且充满了新的活力；之后他又感到焦躁不安。"
"Almost every afternoon they would enter the coppice, and walk as far as the log.","几乎每个下午，他们都要去小灌木林，一直走到原木那里。"
"‘Well, she’s not there!’ he would think, ‘of course not!’","“唉，她不在！”他想着，“她怎么会在呢！”"
"And he would feel a little shorter, and drag his feet walking up the hill home, with his hand clapped to his left side.","这时他会觉得自己变矮了点儿，一边用手拍着左肋，一边拖着脚步上山回家。"
"Now and then the thought would move in him: ‘Did she come—or did I dream it?’ and he would stare at space, while the dog Balthasar stared at him.","他时不时会有这样的念头：“她真的来过吗——还是我做了场梦呢？”然后就会呆呆地望着空中，而小狗巴尔萨泽同样呆呆地望着他。"
"Of course she would not come again!","她当然不会再来了！"
"He opened the letters from Spain with less excitement.","他拆开从西班牙来的信时也不那么激动了。"
"They were not returning till July; he felt, oddly, that he could bear it.","他们要到七月才回来；奇怪的是，他觉得自己能忍受得住。"
"Every day at dinner he screwed up his eyes and looked at where she had sat.","每天晚餐时，他的眼睛会一直地盯着她坐过的地方。"
"She was not there, so he unscrewed his eyes again.","她并不在那里，他只好把视线移开。"
"On the seventh afternoon he thought: ‘I must go up and get some boots.’","到了第七天下午，他想：“我得进城买双靴子。”"
"He ordered Beacon, and set out.","他吩咐好比肯，就动身了。"
"Passing from Putney towards Hyde Park he reflected: ‘I might as well go to Chelsea and see her.’","经过帕特尼，往海德公园走的时候，他寻思着：“我去切尔西看看她也未尝不可。”"
"And he called out: “Just drive me to where you took that lady the other night.”","他喊道：“把我送到那天晚上你送那位女士去的地方。”"
"The coachman turned his broad red face, and his juicy lips answered: “The lady in grey, sir?”","车夫转过他的大红脸，用濡湿的嘴唇问道：“是那位穿灰色衣服的女士吗，老爷？”"
"“Yes, the lady in grey.” What other ladies were there!","“对，穿灰色衣服的女士。”还能有哪个！"
"Stodgy chap!","笨家伙！"
"The carriage stopped before a small three-storied block of flats, standing a little back from the river.","马车在一幢三层小公寓前停下，公寓离河边不远。"
"With a practised eye old Jolyon saw that they were cheap.","以老乔利恩那老道的眼光来看，这房子档次不高。"
"‘I should think about sixty pound a year,’ he mused; and entering, he looked at the name-board.","“我猜也就六十镑一年吧。”他暗想；进门时，他朝住户的名牌看了看。"
"The name ‘Forsyte’ was not on it, but against ‘First Floor, Flat C’ were the words: ‘Mrs. Irene Heron.’","上面没有“福赛特”的字样，可在“二楼C室”后面写着“艾琳·希伦太太”。"
"Ah! She had taken her maiden name again!","啊！她又用回了娘家姓！"
"And somehow this pleased him.","不知何故，这却让他高兴起来。"
"He went upstairs slowly, feeling his side a little.","他慢慢走上楼，感觉左肋有点儿疼。"
"He stood a moment, before ringing, to lose the feeling of drag and fluttering there.","按门铃之前，他先站了一会儿，舒缓下劳累和心跳。"
"She would not be in!","她不会在家！"
"And then—Boots!","那接下来就——买靴子！"
"The thought was black.","想到这里真泄气。"
"What did he want with boots at his age?","他这样的年纪，还买靴子做什么？"
"He could not wear out all those he had.","现有的都穿不完。"
"“Your mistress at home?”","“你家太太在家吗？”"
"“Yes, sir.”","“在的，先生。”"
"“Say Mr. Jolyon Forsyte.”","“就说乔利恩·福赛特来见她。”"
"“Yes, sir, will you come this way?”","“好的，先生，请这边来。”"
"Old Jolyon followed a very little maid—not more than sixteen one would say—into a very small drawing-room where the sun-blinds were drawn.","老乔利恩跟着小女仆——可能还不到十六岁——走进一间非常小的客厅，客厅里的百叶帘全拉了下来。"
"It held a cottage piano and little else save a vague fragrance and good taste.","客厅里摆放着一架竖式小钢琴，还有点儿淡淡的香味和雅致，除此，再没有什么了。"
"He stood in the middle, with his top hat in his hand, and thought: ‘I expect she’s very badly off!’","他站在屋子中间，手里拿着大礼帽，心想：“看来她过得很不好！”"
"There was a mirror above the fireplace, and he saw himself reflected.","壁炉上面挂了一面镜子，他从镜子里看见自己。"
"An old-looking chap!","一个老态龙钟的家伙！"
"He heard a rustle, and turned round.","他听见一阵沙沙声，就转过身来。"
"She was so close that his moustache almost brushed her forehead, just under her hair.","她站得离他很近，他的胡子几乎扫到了她头发下面的额头。"
"“I was driving up,” he said.","“我坐马车到城里来。”他说，"
"“Thought I’d look in on you, and ask you how you got up the other night.”","“想过来看看你；问问你那天晚上回来怎么样。”"
"And, seeing her smile, he felt suddenly relieved.","看到她的微笑，他顿时轻松了许多。"
"She was really glad to see him, perhaps.","也许她真的愿意见他。"
"“Would you like to put on your hat and come for a drive in the Park?”","“要不你戴上帽子，我们去公园里逛逛？”"
"But while she was gone to put her hat on, he frowned.","但她回去戴帽子时，他却皱起了眉头。"
"The Park!","公园！"
"James and Emily!","詹姆斯和埃米莉！"
"Mrs. Nicholas, or some other member of his precious family would be there very likely, prancing up and down.","尼古拉斯夫人，或者那个宝贝家族里其他任何人，都有可能在那里，大摇大摆地走来走去。"
"And they would go and wag their tongues about having seen him with her, afterwards.","之后，他们逢人就会嚼舌根，说亲眼见到他俩在一起。"
"Better not!","最好别去！"
"He did not wish to revive the echoes of the past on Forsyte ’Change.","他不想让福赛特交易所过去的流言死灰复燃。"
"He removed a white hair from the lapel of his closely-buttoned-up frock coat, and passed his hand over his cheeks, moustache, and square chin.","他从紧扣的长礼服翻领上捏下一根白头发，用手摸着自己的脸颊、胡须和方下巴。"
"It felt very hollow there under the cheekbones.","他的颧骨下面是深陷的脸颊。"
"He had not been eating much lately—he had better get that little whippersnapper who attended Holly to give him a tonic.","最近他不太想吃东西——最好让那个给霍利看病的傲慢家伙给他带点儿补药来。"
"But she had come back and when they were in the carriage, he said:","但是，她回来了。上了马车后，他说："
"“Suppose we go and sit in Kensington Gardens instead?” and added with a twinkle: “No prancing up and down there,” as if she had been in the secret of his thoughts.","“要不我们改去肯辛顿公园坐坐吧？” 他眼睛眨了一下，接着说，“那儿可没有人大摇大摆地走来走去。”就好像她已经知道他心底的秘密似的。"
"Leaving the carriage, they entered those select precincts, and strolled towards the water.","从马车上下来，他们穿过富人区，慢慢地往水边走去。"
"“You’ve gone back to your maiden name, I see,” he said: “I’m not sorry.”","“你用回了你的娘家姓，我看见了，”他说，“我能理解。”"
"She slipped her hand under his arm: “Has June forgiven me, Uncle Jolyon?”","她轻轻地把手放到他手臂下：“琼原谅我了吗，乔利恩伯伯？”"
"He answered gently: “Yes—yes; of course, why not?”","他温柔地答道：“原谅了——原谅了，当然啦，怎么会不原谅呢！”"
"“And have you?”","“那你呢？”"
"“I? I forgave you as soon as I saw how the land really lay.”","“我？我一知道事情的来龙去脉就原谅你了。”"
"And perhaps he had; his instinct had always been to forgive the beautiful.","也许真是这样；他的天性使他总能原谅美丽的女人。"
"She drew a deep breath.","她深吸了一口气。"
"“I never regretted—I couldn’t.","“我从不后悔——我无法后悔。"
"Did you ever love very deeply, Uncle Jolyon?”","乔利恩伯伯，您曾深爱过么？”"
"At that strange question old Jolyon stared before him.","听到这个奇怪的问题，老乔利恩愣住了。"
"Had he?","有过吗？"
"He did not seem to remember that he ever had.","他似乎记不得自己深爱过哪个人。"
"But he did not like to say this to the young woman whose hand was touching his arm, whose life was suspended, as it were, by memory of a tragic love.","但是，他不愿意把这些告诉面前这个年轻的女人——她的手正挽着他的手臂，而她的生命，好像因为难以释怀的爱情悲剧而停滞不前。"
"And he thought: ‘If I had met you when I was young I—I might have made a fool of myself, perhaps.’","他想：“如果我年轻的时候就遇见你，我——我可能会作一个冲动的傻瓜。”"
"And a longing to escape in generalities beset him.","他又不得不从臆想中逃开，转为泛泛地谈论爱情；这让他内心痛苦。"
"“Love’s a queer thing,” he said, “fatal thing often.","“爱情是个奇怪的东西，”他说，“常常是致命的。"
"It was the Greeks—wasn’t it?—made love into a goddess; they were right, I dare say, but then they lived in the Golden Age.”","希腊人——好像是吧——他们有个爱情女神。我想，他们是对的。要知道，他们那时候还是黄金时代啊。”"
"“Phil adored them.”","“菲尔喜欢他们。”"
"Phil! The word jarred him, for suddenly—with his power to see all round a thing, he perceived why she was putting up with him like this.","菲尔！这两个字让他觉得很刺耳，突然间——洞察世事的能力，让他明白了为什么她能这样忍受他这个老头子。"
"She wanted to talk about her lover!","她想要谈她的情人！"
"Well! If it was any pleasure to her!","好吧！如果这样可以使她高兴的话！"
"And he said: “Ah! There was a bit of the sculptor in him, I fancy.”","他说：“啊，我看，他是有点儿雕塑家的气质。”"
"“Yes. He loved balance and symmetry; he loved the whole-hearted way the Greeks gave themselves to art.”","“是啊，他爱平衡和对称；他还爱希腊人对艺术全身心忘我的投入。”"
"Balance! The chap had no balance at all, if he remembered; as for symmetry—clean-built enough he was, no doubt; but those queer eyes of his, and high cheek-bones—Symmetry?","平衡！记忆中，这家伙毫无平衡可言；至于对称嘛——毫无疑问，他面容清秀，但是那双奇怪的眼睛还有那高高突起的颧骨——算得上对称吗？ "
"“You’re of the Golden Age, too, Uncle Jolyon.”","“您也属于黄金时代，乔利恩伯伯。”"
