"Lizzie Leigh","莉齐·利"
"His home was exquisitely clean and neat, even in outside appearance; threshold, window, and windowsill were outward signs of some spirit of purity within.","即便从外表来看，他的家也是十分干净整洁，门槛、窗户和窗台这些外在的标志表示住在里面的人有着纯洁的思想。"
"Will was rewarded for his attention by a bright glance of thanks, succeeded by a blush of shame, from a young woman of twenty or thereabouts.","威尔的关注得到了奖赏，先是一瞥表示感谢的明亮目光，紧接着是一抹羞愧的脸红，来自一个二十岁左右的年轻女子。"
"She did not speak or second her father’s hospitable invitations to him to be seated.","她没有说话，也没有附和父亲的好客邀请他进来坐下。"
"She seemed unwilling that a stranger should witness her father’s attempts at stately sobriety, and Will could not bear to stay and see her distress.","她似乎不愿意让一个陌生人目睹父亲努力醒酒的样子，威尔也不忍心留在这里看着她苦恼。"
"But when the old man, with many a flabby shake of the hand, kept asking him to come again some other evening, and see them, Will sought her downcast eyes, and, though he could not read their veiled meaning, he answered, timidly, “If it’s agreeable to everybody, I’ll come, and thank ye.”","但是当老人多次孱弱地挥动着手臂，不停地邀请他择日再来拜访的时候，威尔瞄到了她低垂的目光，他无法读懂那背后隐藏的含义，但他还是怯生生地答道：“如果大家都高兴的话，我会来的，谢谢你。”"
"But there was no answer from the girl, to whom this speech was in reality addressed; and Will left the house, liking her all the better for never speaking.","威尔这番话实际上是冲着女孩讲的，但却没有收到任何答复；于是威尔离开了，并且因为她的沉默而对她更加青睐。"
"He thought about her a great deal for the next day or two; he scolded himself for being so foolish as to think of her, and then fell to with fresh vigour, and thought of her more than ever.","接下来的一两天，他满脑子想的都是她，他甚至为此而责骂自己是多么愚蠢，然后抖擞一下精神，却发现更加想念她了。"
"He tried to depreciate her: he told himself she was not pretty, and then made indignant answer that he liked her looks much better than any beauty of them all.","他试着贬低她：告诉自己她不算漂亮，然后得出的令人愤怒的答案是在她所有的美丽中，他最喜欢的就是她的容貌。"
"He wished he was not so country-looking, so red-faced, so broad-shouldered; while she was like a lady, with her smooth, colourless complexion, her bright dark hair, and her spotless dress.","他希望自己看起来不是那么土气，面色那么酡红，肩膀那么宽阔，而她则是一个淑女，有着光滑、洁白的皮肤，黝黑闪亮的秀发，身上的裙子也一尘不染。"
"Pretty or not pretty she drew his footsteps towards her; he could not resist the impulse that made him wish to see her once more, and find out some fault which should unloose his heart from her unconscious keeping.","不论漂亮与否，她都吸引着她，他无法抵御想再一次见到她的冲动，甚至找不到任何错误来摆脱内心对她的牵绊。"
"But there she was, pure and maidenly as before.","但她还是那个样子，像之前一样纯洁无瑕，静如处子。"
"He sat and looked, answering her father at cross-purposes, while she drew more and more into the shadow of the chimney-corner out of sight.","他坐在那里，望着她，前言不搭后语地回答着她父亲的问题，而她则逐渐退却到了烟囱角落的阴影里，他再也看不到她。"
"Then the spirit that possessed him (it was not he himself, sure, that did so impudent a thing!) made him get up and carry the candle to a different place, under the pretence of giving her more light at her sewing, but in reality to be able to see her better.","突然他仿佛被幽灵附体了一般（可以肯定，他本人是绝不会做出如此鲁莽的事情的）站起来，把蜡烛挪了一个地方，假装是让她在更好的光线下做针线活，实则是为了能更好地看着她。"
"She could not stand this much longer, but jumped up and said she must put her little niece to bed; and surely there never was, before or since, so troublesome a child of two years old, for though Will stayed an hour and a half longer, she never came down again.","她再也无法忍受这些行为，站起来说必须要去哄她的小外甥女入睡；当然，威尔从未，以后也不会，见到如此麻烦的两岁的孩子，因为接下来威尔又多呆了一个半小时，但她再也没有下楼来。"
"He won the father’s heart, though, by his capacity as a listener; for some people are not at all particular, and, so that they themselves may talk on undisturbed, are not so unreasonable as to expect attention to what they say.","尽管如此，他还是作为一个好听众赢得了她父亲的心，因为有些人对听众并不是很挑剔，只要他们能自顾自地不受干扰地讲话，他们才不管你有没有听呢。"
"Will did gather this much, however, from the old man’s talk.","但是，威尔还是多少从老人的话中了解到了一些东西。"
"He had once been quite in a genteel line of business, but had failed for more money than any greengrocer he had heard of; at least, any who did not mix up fish and game with green-grocery proper.","他曾经有过非常体面的职业，但是干得一塌糊涂，甚至还没有菜贩子挣得多，至少没有那些懂得把鱼和野味与绿色产品分开来卖的小贩挣得多。"
"This grand failure seemed to have been the event of his life, and one on which he dwelt with a strange kind of pride.","这个不小的失败似乎成了他人生中的壮举，他也因此产生了一种奇怪的自豪感。"
"It appeared as if at present he rested from his past exertions (in the bankrupt line), and depended on his daughter, who kept a small school for very young children.","现在的他似乎还驻留在过去的挣扎中（破产的经历），全靠女儿开的一所为孩子开放的学校来维持生计。"
"But all these particulars Will only remembered and understood when he had left the house; at the time he heard them, he was thinking of Susan.","威尔离开时只记得这些情况了，他在听到这些话的时候，满脑子想的都是苏珊。"
"After he had made good his footing at Mr. Palmer’s, he was not long, you may be sure, without finding some reason for returning again and again.","你可能已经猜到了，在与帕尔默先生处好关系后，他总是隔不多久就会找一些借口来频繁造访。"
"He listened to her father, he talked to the little niece, but he looked at Susan, both while he listened and while he talked.","他会听她父亲高谈阔论，也会和她的小侄女说话，但不管是在听或者讲的时候，他总是盯着苏珊。"
"Her father kept on insisting upon his former gentility, the details of which would have appeared very questionable to Will’s mind, if the sweet, delicate, modest Susan had not thrown an inexplicable air of refinement over all she came near.","她的父亲不停地强调他以前的高贵风光，若不是被温柔、娇弱、端庄的苏珊所带来的那种难以名状的高贵气质所影响，威尔会发现她父亲话语的细节中有很多可疑之处。"
"She never spoke much; she was generally diligently at work; but when she moved it was so noiselessly, and when she did speak, it was in so low and soft a voice, that silence, speech, motion, and stillness alike seemed to remove her high above Will’s reach into some saintly and inaccessible air of glory—high above his reach, even as she knew him!","她从来不多说话，总是在勤快地干活，走起来也悄无声息，但是当她开口说话时，她的声音是如此低沉和温柔，以至于她无论是沉默还是讲话，无论是行走还是静止，都带着一股圣洁的难以企及的荣耀气息，远远超出了他的触及范围，即便是她认识他！"
"And, if she were made acquainted with the dark secret behind of his sister’s shame, which was kept ever present to his mind by his mother’s nightly search among the outcast and forsaken, would not Susan shrink away from him with loathing, as if he were tainted by the involuntary relationship?","母亲晚上在那些被驱除和抛弃人群中的搜寻让他心里一直犯嘀咕，如果苏珊知道了背后他妹妹的耻辱秘密，她会不会从他身边嫌恶地逃开，仿佛他也被这段非自愿的关系所污染了？"
"This was his dread; and thereupon followed a resolution that he would withdraw from her sweet company before it was too late.","这让他感到害怕，因此他决定在一切都不算太晚之前，从她那温柔的身边逃离。"
"So he resisted internal temptation, and stayed at home, and suffered and sighed.","于是他抵御着内心的诱惑，呆在了家中，备受煎熬，叹声连连。"
"He became angry with his mother for her untiring patience in seeking for one who he could not help hoping was dead rather than alive.","他迁怒于他的母亲，愤恨她那不知疲倦的耐心去寻找一个他禁不住希望已经死掉了的人。"
"He spoke sharply to her, and received only such sad deprecatory answers as made him reproach himself, and still more lose sight of peace of mind.","他对母亲的话语开始尖锐，母亲伤心歉意的回答只会让他责备自己，内心更加不平静。"
"This struggle could not last long without affecting his health; and Tom, his sole companion through the long evenings, noticed his increasing languor, his restless irritability, with perplexed anxiety, and at last resolved to call his mother’s attention to his brother’s haggard, careworn looks.","这种煎熬不久就影响到了他的健康；而汤姆，他在漫长夜晚里唯一的同伴，也注意到了他与日俱增的倦怠与烦躁不安，焦急而不知所措的汤姆最终提醒母亲，使她注意到了哥哥憔悴、疲倦的容貌。"
"She listened with a startled recollection of Will’s claims upon her love.","她在聆听的时候突然想起了威尔针对她走失的爱女的一些断言。"
"She noticed his decreasing appetite and half-checked sighs.","她注意到他日渐消退的食欲以及断断续续的叹气声。"
"“Will, lad! what’s come o’er thee?” said she to him, as he sat listlessly gazing into the fire.","“威尔，我的孩子！你怎么了？”她问道，他坐在那里无精打采的，眼睛凝视着火炉。"
"“There’s nought the matter with me,” said he, as if annoyed at her remark.","“我一点儿事都没有。”他答道，似乎对她的询问感到愠怒。"
"“Nay, lad, but there is.”","“不，孩子，你肯定有事。”"
"He did not speak again to contradict her; indeed, she did not know if he had heard her, so unmoved did he look.","他没有再说话来反驳她，事实上，她不知道他是否听到了她的话，他是那么无动于衷。"
"“Wouldst like to go to Upclose Farm?” asked she, sorrowfully.","“你是不是想回阿普克洛斯农场了？”她伤心地问道。"
"“It’s just blackberrying time,” said Tom.","“现在是黑莓采摘的季节。”汤姆说道。"
"Will shook his head.","威尔摇了摇头。"
"She looked at him awhile, as if trying to read that expression of despondency, and trace it back to its source.","她盯着他看了一会儿，仿佛在努力地去读懂那种失望的表情，找到它的源头所在。"
"“Will and Tom could go,” said she; “I must stay here till I’ve found her, thou knowest,” continued she, dropping her voice.","“你和汤姆可以回去，”她说道，“我得留下直到找到她，你们知道的。”她继续道，声音低了下来。"
"He turned quickly round, and with the authority he at all times exercised over Tom, bade him begone to bed.","威尔快速地转过身来，以他一直以来在汤姆面前的威信，命令他去上床睡觉。"
"When Tom had left the room, he prepared to speak.","汤姆离开房间后，他才准备开口。"

"CHAPTER II.","第二章"
"“Mother,” then said Will, “why will you keep on thinking she’s alive?","“妈妈，”威尔说道，“你为什么坚持认为她还活着？"
"If she were but dead, we need never name her name again.","如果她已经死了，我们就没有必要再提起她的名字了。"
"We’ve never heard nought on her since father wrote her that letter; we never knew whether she got it or not.","自从父亲写给她那封信后，我们就再也没有她的音讯；我们甚至永远都不知道她是否收到了信。"
"She’d left her place before then.","她在那之前就已经离开了。"
"Many a one dies in—”","多半也已经死——”"
"“Oh, my lad! dunnot speak so to me, or my heart will break outright,” said his mother, with a sort of cry.","“哦，我的孩子！别这样对我说，我的心会彻底破碎的。”他母亲带着哭声说道。"
"Then she calmed herself, for she yearned to persuade him to her own belief.","然后她平静了下来，因为她希望能劝说他相信她的信念。"
"“Thou never asked, and thou’rt too like thy father for me to tell without asking—but it were all to be near Lizzie’s old place that I settled down on this side o’ Manchester; and the very day at after we came, I went to her old missus, and asked to speak a word wi’ her.","“你从来都不过问，这点跟你的父亲太相似，每次都是我告诉你们而不是你们来问——我之所以在曼彻斯特这边住下来就是为了能靠近莉齐曾经呆过的地方；我们搬过来后仅仅第二天，我就去找过她的房东老嬷嬷，想问她一些事情。"
"I had a strong mind to cast it up to her, that she should ha’ sent my poor lass away, without telling on it to us first; but she were in black, and looked so sad I could na’ find in my heart to threep it up.","我有一种强烈的感觉，就是她，在没有告知我们的情况下，便把我那可怜的女儿打发走了；只是她一身黑衣，看上去那么伤心，我不忍心再让她遭罪。"
"But I did ask her a bit about our Lizzie.","但我还是向她询问了一些关于我们的莉齐的事情。"
"The master would have turned her away at a day’s warning (he’s gone to t’other place; I hope he’ll meet wi’ more mercy there than he showed our Lizzie—I do), and when the missus asked her should she write to us, she says Lizzie shook her head; and when she speered at her again, the poor lass went down on her knees, and begged her not, for she said it would break my heart (as it has done, Will—God knows it has),” said the poor mother, choking with her struggle to keep down her hard overmastering grief, “and her father would curse her—Oh, God, teach me to be patient.”","院长本来打算在一天的惩戒后就把她打发走的（他已经不在这儿了；我希望他能遇到更多的宽容，而不像他对我们的莉齐那样——我是真心的），当老嬷嬷问她是否应该给我们写封信时，莉齐摇了摇头；而当她再次询问时，我可怜的孩子跪下来请求她不要这样，说那样会让我心碎的（我的心已经碎了，威尔——上帝知道的），”这可怜的母亲哽咽着，努力控制住她内心强烈的悲痛，“而她的父亲会咒骂她——哦，上帝，教我学会忍耐吧。”"
"She could not speak for a few minutes—“and the lass threatened, and said she’d go drown herself in the canal, if the missus wrote home—and so—","几分钟后，她才得以继续说道：“这可怜的女孩被吓坏了，说如果嬷嬷写信告知她家人的话，她就去跳河淹死算了——于是就——”"
"“Well!","“还好！"
"I’d got a trace of my child—the missus thought she’d gone to th’ workhouse to be nursed; and there I went—and there, sure enough, she had been—and they’d turned her out as she were strong, and told her she were young enough to work—but whatten kind o’ work would be open to her, lad, and her baby to keep?”","我找到了我孩子的一些踪迹——嬷嬷认为她可能去了感化院寻求庇护；于是我就去了——我确信她曾经去过那儿——他们把她赶走了，因为她很强壮，并且说她还年轻，可以找份活干——可是她能找到什么样的活，我的孩子，来养活她自己和她的孩子？”"
"Will listened to his mother’s tale with deep sympathy, not unmixed with the old bitter shame.","威尔聆听着母亲的诉说，不禁感同身受，深表同情，再混杂着之前那种苦涩的耻辱感，心中更是别有一番滋味。"
"But the opening of her heart had unlocked his, and after awhile he spoke—","母亲的敞开心扉也让他打开了自己的心房，过了一会儿，他说道："
"“Mother!","“妈妈！"
"I think I’d e’en better go home.","我想我最好还是回家吧。"
"Tom can stay wi’ thee.","汤姆可以在这儿陪着你。"
"I know I should stay too, but I cannot stay in peace so near—her—without craving to see her—Susan Palmer, I mean.”","我知道我也应该留下来，可是呆在这儿，距离——她——如此之近，却又不能渴望见到她——苏珊·帕尔默，我无法平静下来。”"
"“Has the old Mr. Palmer thou telled me on a daughter?” asked Mrs. Leigh.","“你跟我提过的那位帕尔默老先生有个女儿？”利太太问道。"
"“Ay, he has.","“是，他有个女儿。"
"And I love her above a bit.","我很爱她。"
"And it’s because I love her I want to leave Manchester.","正因为爱她，我才想离开曼彻斯特。"
"That’s all.”","就这样。”"
"Mrs. Leigh tried to understand this speech for some time, but found it difficult of interpretation.","利太太花了一段时间努力想搞懂他的意思，发现很难理解。"
"“Why shouldst thou not tell her thou lov’st her?","“你为什么不告诉她你爱她呢？"
"Thou’rt a likely lad, and sure o’ work.","你是一个有前途的青年，你的工作也是。"
"Thou’lt have Upclose at my death; and as for that, I could let thee have it now, and keep mysel’ by doing a bit of charring.","你会在我死后继承阿普克洛斯农场；关于这一点，我现在就可以把它给你，我留下来做些杂活就行了。"
"It seems to me a very backwards sort o’ way of winning her to think of leaving Manchester.”","在我看来，要赢取她的芳心，离开曼彻斯特是一个南辕北辙的做法。”"
"“Oh, mother, she’s so gentle and so good—she’s downright holy.","“哦，妈妈，她是那么温柔，那么善良——她简直就是圣洁的化身。"
"She’s never known a touch of sin; and can I ask her to marry me, knowing what we do about Lizzie, and fearing worse?","她对罪恶一无所知；而我又怎能在知道我们为莉齐所做的事情，并且担心会有更糟糕的结果出现的情况下恳求她嫁给我？"
"I doubt if one like her could ever care for me; but if she knew about my sister, it would put a gulf between us, and she’d shudder up at the thought of crossing it.","我怀疑她那样优秀的人是否会在意我；但是如果她知道了我妹妹的事情，那将在我们之间横亘一条海峡，仅仅是横渡海峡的这个想法就会使她不寒而栗。"
"You don’t know how good she is, mother!”","你不知道她有多好，妈妈！”"
"“Will, Will! if she’s so good as thou say’st, she’ll have pity on such as my Lizzie.","“威尔，威尔！如果她果真如你说的那般好，她会同情和莉齐一样遭遇的人们的。"
"If she has no pity for such, she’s a cruel Pharisee, and thou’rt best without her.”","如果她没有这样的同情心，那她就是一个冷酷的伪善者，你也最好离她远远的。”"
"But he only shook his head, and sighed; and for the time the conversation dropped.","但他只是摇摇头，叹了口气；他们之间的谈话也到此为止。"
"But a new idea sprang up in Mrs. Leigh’s head.","不过利太太脑中又生出来一个新主意。"
"She thought that she would go and see Susan Palmer, and speak up for Will, and tell her the truth about Lizzie; and according to her pity for the poor sinner, would she be worthy or unworthy of him.","她想要亲自去看看苏珊·帕尔默，帮威尔说几句话，并且告诉她关于莉齐的真实情况；然后根据她对那个可怜的罪人的同情心，看看她值不值得威尔去追求。"
"She resolved to go the very next afternoon, but without telling any one of her plan.","她决定第二天下午就过去，但没有把她的计划告诉任何人。"
"Accordingly she looked out the Sunday clothes she had never before had the heart to unpack since she came to Manchester, but which she now desired to appear in, in order to do credit to Will.","因此她找出了她最好的衣服，自从来到曼彻斯特之后，她一直都没有心情来打开它们，但是现在为了能给威尔脸上增光，她愿意穿上这些衣服。"
"She put on her old-fashioned black mode bonnet, trimmed with real lace; her scarlet cloth cloak, which she had had ever since she was married; and, always spotlessly clean, she set forth on her unauthorised embassy.","她戴上了那顶旧式的蕾丝饰边的黑色女帽；披上了那件她只在结婚时穿过的鲜红色斗篷；一如既往地收拾得一尘不染，然后启程奔赴她那未被授权的使命。"
"She knew the Palmers lived in Crown Street, though where she had heard it she could not tell; and modestly asking her way, she arrived in the street about a quarter to four o’clock.","她知道帕尔默一家住在克朗街上，她听说过这个地方，但却不知道在哪里；于是便谦逊地向人们问路，在大约四点一刻的时候她来到了这条街道上。"
"She stopped to enquire the exact number, and the woman whom she addressed told her that Susan Palmer’s school would not be loosed till four, and asked her to step in and wait until then at her house.","她停下来打听具体的门牌号，她问话的那个女人告诉她，苏珊·帕尔默的学校到四点才会下课，并且请她进来等着她回家。"
"“For,” said she, smiling, “them that wants Susan Palmer wants a kind friend of ours; so we, in a manner, call cousins.","“因为，”她微笑着说，“苏珊的朋友就是我们的好朋友；因为，在某种程度上，我们以表姐妹相称。"
"Sit down, missus, sit down.","请坐，太太，请坐。"
"I’ll wipe the chair, so that it shanna dirty your cloak.","我来擦椅子，这样就不会弄脏你的斗篷。"
"My mother used to wear them bright cloaks, and they’re right gradely things again a green field.”","我母亲过去喜欢穿鲜亮的斗篷，它们在绿色田野的衬映下非常漂亮。”"
"“Han ye known Susan Palmer long?” asked Mrs. Leigh, pleased with the admiration of her cloak.","“你认识苏珊·帕尔默很久了吗？”利太太问道，对她的斗篷的赞赏，让她感到很高兴。"
"“Ever since they comed to live in our street.","“从他们搬来住到我们街上就认识了。"
"Our Sally goes to her school.”","我们的萨莉在她的学校上学。”"
"“Whatten sort of a lass is she, for I ha’ never seen her?”","“我从来没有见过她，她是个怎样的女孩子？”"
"“Well, as for looks, I cannot say.","“嗯，关于长相嘛，我说不准。"
"It’s so long since I first knowed her, that I’ve clean forgotten what I thought of her then.","第一次认识她到现在已经很久了，我完全忘记当时是怎么看待她的了。"
"My master says he never saw such a smile for gladdening the heart.","我的主人说他从未见过那样能让人满心喜悦的笑容。"
"But maybe it’s not looks you’re asking about.","但也许你想知道的并不是她的容貌。"
"The best thing I can say of her looks is, that she’s just one a stranger would stop in the street to ask help from if he needed it.","关于她的容貌，我能说的最好的事情是，她就是那种连陌生人在需要帮助时都会在大街上停下来向她求助的人。"
"All the little childer creeps as close as they can to her; she’ll have as many as three or four hanging to her apron all at once.”","所有的小孩子都会尽可能地爬着靠近她；有时一下子会有多达三四个孩子扑到她的围裙上。”"
"“Is she cocket at all?”","“她粗俗吗？”"
"“Cocket, bless you! you never saw a creature less set up in all your life.","“粗俗，托上帝的福！你一生中都不会再遇到比她还得体的人了。"
"Her father’s cocket enough.","她父亲倒是十足的粗俗。"
"No! she’s not cocket any way.","但她不是！她一点儿也不粗俗。"
"You’ve not heard much of Susan Palmer, I reckon, if you think she’s cocket.","如果你认为她粗俗的话，我想，那是你对她的了解不够多。"
"She’s just one to come quietly in, and do the very thing most wanted; little things, maybe, that any one could do, but that few would think on, for another.","她会安静地走进来，把最需要做的事情完成；可能是一些任何人都能做的琐碎事情，但是很少有人会在做的时候替别人着想。"
"She’ll bring her thimble wi’ her, and mend up after the childer o’ nights; and she writes all Betty Harker’s letters to her grandchild out at service; and she’s in nobody’s way, and that’s a great matter, I take it.","她会随身带着顶针，在晚上孩子们睡着后替他们缝补衣服；所有贝蒂·哈克写给孙子的信都是她代劳的；她从来不妨碍别人做事，这点我认为很伟大。"
"Here’s the childer running past!","孩子们跑过来了！"
"School is loosed.","放学了。"
"You’ll find her now, missus, ready to hear and to help.","太太，你现在可以去找她了，她会很乐意听您说话和帮您的。"
"But we none on us frab her by going near her in school-time.”","但是我们都不敢在上课的时候靠近打扰她。”"
"Poor Mrs. Leigh’s heart began to beat, and she could almost have turned round and gone home again.","可怜的利太太，她的心脏开始狂跳，差点儿就要转身回家了。"
"Her country breeding had made her shy of strangers, and this Susan Palmer appeared to her like a real born lady by all accounts.","在乡下长大使她在陌生人面前很害羞，而这位苏珊·帕尔默对她而言恰恰就是一位众所周知的天生淑女。"
"So she knocked with a timid feeling at the indicated door, and when it was opened, dropped a simple curtsey without speaking.","因此，她怀着忐忑不安的心情她叩响了那家指定的房门，当房门打开时，她没有说话，只是行了个简单的屈膝礼。"
"Susan had her little niece in her arms, curled up with fond endearment against her breast, but she put her gently down to the ground, and instantly placed a chair in the best corner of the room for Mrs. Leigh, when she told her who she was.","苏珊怀抱着她的小外甥女，孩子满怀爱意地蜷伏在她的胸前，当利太太说明身份时，她轻轻地把孩子放到地上，很快在房间最好的角落为利太太摆上一张椅子。"
"“It’s not Will as has asked me to come,” said the mother, apologetically; “I’d a wish just to speak to you myself!”","“不是威尔让我来的，”这位母亲带着歉意说道，“我希望能和你亲自聊一聊！”"
"Susan coloured up to her temples, and stooped to pick up the little toddling girl.","苏珊的脸一下子红到了双鬓，她弯腰抱起了蹒跚学步的小女孩。"
"In a minute or two Mrs. Leigh began again.","大约过了一两分钟，利太太再次开口了。"
"“Will thinks you would na respect us if you knew all; but I think you could na help feeling for us in the sorrow God has put upon us; so I just put on my bonnet, and came off unknownst to the lads.","“威尔认为如果你知道了全部事情，你就不会再尊重我们；但是我认为你会跟上帝一样忍不住同情我们的悲伤的；于是我就戴上了我的帽子，在孩子们不知情的情况下来了。"
"Every one says you’re very good, and that the Lord has keeped you from falling from His ways; but maybe you’ve never yet been tried and tempted as some is.","每个人都对你交口称赞，说上帝会保佑你不会偏离他的指引；但是可能你从未像有些人那样遭受过磨难和诱惑。"
"I’m perhaps speaking too plain, but my heart’s welly broken, and I can’t be choice in my words as them who are happy can.","我可能说得过于直白了，但是我的心已经碎了，我不能像那些快乐的人一样挑选我的用词。"
"Well now!","好啦！"
"I’ll tell you the truth.","我还是跟你说实话吧。"
"Will dreads you to hear it, but I’ll just tell it you.","威尔害怕你听到实话，但是我会告诉你的。"
"You mun know—” but here the poor woman’s words failed her, and she could do nothing but sit rocking herself backwards and forwards, with sad eyes, straight-gazing into Susan’s face, as if they tried to tell the tale of agony which the quivering lips refused to utter.","你必须要知道——”话到这里，这个可怜的女人再也说不下去了，她唯一能做的就是坐在那里前后摇摆，哀伤的双眼直直凝视着苏珊的脸庞，似乎它们在试图倾诉她那颤抖的双唇拒绝表达的痛苦往事。"
"Those wretched, stony eyes forced the tears down Susan’s cheeks, and, as if this sympathy gave the mother strength, she went on in a low voice—“I had a daughter once, my heart’s darling.","那可怜、无神的双眼迫使泪水沿着苏珊的脸颊滚落，仿佛这种同情给了这位母亲力量，她低声继续说道：“我曾经有一个女儿，是我的小心肝。"
"Her father thought I made too much on her, and that she’d grow marred staying at home; so he said she mun go among strangers and learn to rough it.","她的父亲认为我太宠爱她了，呆在家中会被毁掉的；于是他说她必须到陌生人当中学会磨炼自己。"
"She were young, and liked the thought of seeing a bit of the world; and her father heard on a place in Manchester.","她那时还小，对去外面世界看看的想法也很热衷，她的父亲听说曼彻斯特有这么一个地方。"
"Well!","好吧！"
"I’ll not weary you.","我不会使你厌倦的。"
"That poor girl were led astray; and first thing we heard on it, was when a letter of her father’s was sent back by her missus, saying she’d left her place, or, to speak right, the master had turned her into the street soon as he had heard of her condition—and she not seventeen!”","那可怜的女孩被引入歧途了；我们所听到第一件事情，是他父亲写的一封信被她的嬷嬷退了回来，说她已经离开了，或者准确地说，是院长在听说了她的事情后把她赶到了大街上——她还不到十七岁！”"
"She now cried aloud; and Susan wept too.","她大声哭了起来，苏珊也禁不住潸然泪下。"
"The little child looked up into their faces, and, catching their sorrow, began to whimper and wail.","小女孩抬头望着她们的面容，捕捉到了她们表情里的悲伤，也开始哭哭啼啼。"
"Susan took it softly up, and hiding her face in its little neck, tried to restrain her tears, and think of comfort for the mother.","苏珊轻轻地把她抱了起来，把脸埋在孩子瘦小的脖子里，努力控制住泪水，开始想办法安慰这位伤心的母亲。"
"At last she said—","最后她说道："
"“Where is she now?”","“她现在在哪儿呢？”"
"“Lass!","“姑娘！"
"I dunnot know,” said Mrs. Leigh, checking her sobs to communicate this addition to her distress.","我不知道，”利太太说，努力不让啜泣声再增加她的悲伤，"
"“Mrs. Lomax telled me she went—”","“洛马克斯太太告诉我她去了——”"
"“Mrs. Lomax—what Mrs. Lomax?”","“洛马克斯太太——哪个洛马克思太太？”"
"“Her as lives in Brabazon Street.","“她住在布拉巴宗街。"
"She telled me my poor wench went to the workhouse fra there.","她告诉我我那可怜的乡下姑娘去了感化院。"
"I’ll not speak again the dead; but if her father would but ha’ letten me—but he were one who had no notion—no, I’ll not say that; best say nought.","我不能亵渎逝者，但如果她的父亲当初肯让我——可是他当时没有一丁点儿这样的意图——不，我不说了，最好什么也不说了。"
"He forgave her on his death-bed.","他临终时原谅了她。"
"I daresay I did na go th’ right way to work.”","我敢说是我没有用对方法。”"
"“Will you hold the child for me one instant?” said Susan.","“你能帮我抱一下孩子吗？”苏珊说道。"
"“Ay, if it will come to me.","“好的，如果她肯让我抱的话。"
"Childer used to be fond on me till I got the sad look on my face that scares them, I think.”","孩子们过去很喜欢我的，直到我脸上有了这副悲伤的表情，我想孩子们被这表情吓坏了。”"
"But the little girl clung to Susan; so she carried it upstairs with her.","可是小女孩紧紧抱住苏珊不放，于是她抱着她上楼去了。"
"Mrs. Leigh sat by herself—how long she did not know.","利太太一个人坐着——坐了多久她也不知道。"
"Susan came down with a bundle of far-worn baby-clothes.","苏珊下来时拿着一包非常破旧的婴儿衣服。"
"“You must listen to me a bit, and not think too much about what I’m going to tell you.","“你一定要听我说，但是对我接下来要说的话别想太多。"
"Nanny is not my niece, nor any kin to me, that I know of.","南妮不是我的外甥女，也不是任何我所认识的亲戚。"
"I used to go out working by the day.","我过去一直在白天出去工作。"
"One night, as I came home, I thought some woman was following me; I turned to look.","一天夜晚，当我回家时，我感到有个女人在跟踪我，于是回头看去。"
"The woman, before I could see her face (for she turned it to one side), offered me something.","我还没来得及看清她的脸（因为她把脸转向了一边），这个女人塞给了我一样东西。"
"I held out my arms by instinct; she dropped a bundle into them, with a bursting sob that went straight to my heart.","我本能地伸开双臂，她丢下了一个包裹，伴随着一声撕心裂肺的啜泣震撼着我的内心。"
"It was a baby.","是一个婴儿。"
"I looked round again; but the woman was gone.","我再次环顾四周，已经不见了那个女人。"
"She had run away as quick as lightning.","她逃走的速度如闪电一般。"
"There was a little packet of clothes—very few—and as if they were made out of its mother’s gowns, for they were large patterns to buy for a baby.","有一小包衣服——没几件——看上去好像是从孩子母亲的长袍改造过来的，因为上面图案的格局对于婴儿来说过大了。"
"I was always fond of babies; and I had not my wits about me, father says; for it was very cold, and when I’d seen as well as I could (for it was past ten) that there was no one in the street, I brought it in and warmed it.","我一直都很喜欢婴儿；父亲说我没什么警惕性；当时天很冷，所以当我确信大街上看不到一个人影时（当时已经过了十点），我把婴儿抱回了家并且给她取暖。"
"Father was very angry when he came, and said he’d take it to the workhouse the next morning, and flyted me sadly about it.","父亲回来后非常愤怒，声称第二天早上他会把孩子送到感化院去，吵得我也对这个孩子感到很伤心。"
"But when morning came I could not bear to part with it; it had slept in my arms all night; and I’ve heard what workhouse bringing-up is.","但是到了早上的时候，我不忍心与她分离；她在我的臂弯里睡了整整一夜；并且我听说过感化院的养育方式是什么样的。"
"So I told father I’d give up going out working and stay at home and keep school, if I might only keep the baby; and, after a while, he said if I earned enough for him to have his comforts, he’d let me; but he’s never taken to her.","因此我告诉父亲只要我能留下这个婴儿，我将不再出去工作，而是呆在家中办好学校；过了一会儿，他说如果我挣足够的钱供他消遣，他会同意的；但是他从未对她有过好感。"
"Now, don’t tremble so—I’ve but a little more to tell—and maybe I’m wrong in telling it; but I used to work next door to Mrs. Lomax’s, in Brabazon Street, and the servants were all thick together; and I heard about Bessy (they called her) being sent away.","唉，别颤抖得这么——我还有一些话要说——可能我不该说出来；我过去曾经在布拉巴宗街上洛马克思太太的隔壁工作，所有的仆人们都处得很好；我听说贝西（他们这么叫她）被赶走了。"
"I don’t know that ever I saw her; but the time would be about fitting to this child’s age, and I’ve sometimes fancied it was hers.","我不知道我是否见过她，但是那个时间和这个孩子的年龄是大致相符的，有时候我会猜想这是她的孩子。"
