"en","zh"
"M. de Champignelles hurried off at once to Courcelles, with that eagerness to serve a pretty woman which belongs to his time of life.","德尚皮涅勒先生立刻匆匆奔向库尔塞勒，满怀热情地向他那个时代的美人儿热心效劳。"
"In the Vicomtesse de Beauseant’s position, such a message was likely to arouse keen curiosity; so, although her memory supplied no reason at all that could bring M. de Nueil to her house, she saw no objection to his visit—after some prudent inquiries as to his family and condition.","从子爵夫人德鲍赛昂夫人目前的处境来看，这样的消息很可能会引起她强烈的好奇心；因此，尽管她实在想不出什么理由将德纽埃尔先生请到家里来，可是在谨慎地询问过他的家庭和境况之后,她也没有什么理由拒绝他的来访。"
"At the same time, she began by a refusal.","不过开始她还是拒绝了。"
"Then she discussed the propriety of the matter with M. de Champignelles, directing her questions so as to discover, if possible, whether he knew the motives for the visit, and finally revoked her negative answer.","然后她和德尚皮涅勒先生讨论了此事的适宜性，她一直询问并试图想知道，如果可能的话，他是否知道这次来访的动机，于是最后才作出撤销拒绝来访的决定。"
"The discussion and the discretion shown perforce by the Marquis had piqued her curiosity.","与侯爵的讨论和侯爵流露出的谨慎态度更激起了她的好奇。"
"M. de Champignelles had no mind to cut a ridiculous figure.","德尚皮涅勒先生不想显得荒谬可笑。"
"He said, with the air of a man who can keep another’s counsel, that the Vicomtesse must know the purpose of this visit perfectly well; while the Vicomtesse, in all sincerity, had no notion what it could be.","他装出为别人保守秘密的样子，告诉子爵夫人一定要清楚地知道此次来访的目的；而子爵夫人，经过一切诚意的探索，仍然不知所以。"
"Mme. de Beauseant, in perplexity, connected Gaston with people whom he had never met, went astray after various wild conjectures, and asked herself if she had seen this M. de Nueil before.","彷徨困惑中的德鲍赛昂夫人将加斯东和她从未见过的人们联系起来，她在各种胡乱的猜想中迷失了自我，甚至问自己是否以前曾经见过德纽埃尔先生。"
"In truth, no love-letter, however sincere or skilfully indited, could have produced so much effect as this riddle.","实践证明，情书表达得不管多么真挚，写得如何技术高超，都无法产生与这个哑谜相同的效果。"
"Again and again Mme. de Beauseant puzzled over it.","德鲍赛昂夫人一遍一遍地苦苦思忖着。"
"When Gaston heard that he might call upon the Vicomtesse, his rapture at so soon obtaining the ardently longed-for good fortune was mingled with singular embarrassment.","当加斯东听说他可以拜访子爵夫人的消息时，他欣喜若狂获得如此热烈渴盼的好运，同时也有一丝怪怪的尴尬。"
"How was he to contrive a suitable sequel to this stratagem?","他该如何为自己计划的这个图谋画上完满的句号呢？"
"“Bah!","“呸！"
"I shall see @her@,” he said over and over again to himself as he dressed.","我要去见她，”他一边穿衣服，一边不停地对自己说着,"
"“See her, and that is everything!”","“见她，这就是一切！”"
"He fell to hoping that once across the threshold of Courcelles he should find an expedient for unfastening this Gordian knot of his own tying.","在踏进库尔塞勒大门时，他就开始想，他应该为他自己出的这个难题找个权宜之计。"
"There are believers in the omnipotence of necessity who never turn back; the close presence of danger is an inspiration that calls out all their powers for victory.","有人相信，人若身处困境便能急中生智，决不退缩；危险来临，他们都能急中生智，竭尽全力以求胜利。"
"Gaston de Nueil was one of these.","加斯东就是这样一种人。"
"He took particular pains with his dress, imagining, as youth is apt to imagine, that success or failure hangs on the position of a curl, and ignorant of the fact that anything is charming in youth.","他绞尽脑汁留意自己的装扮，想象着，因为年轻人喜欢遐想，一绺卷发的位置都会关乎事件的成败，而他们却忽视了一个事实，那就是在年轻时代的一切都具有迷人的魅力。"
"And, in any case, such women as Mme. de Beauseant are only attracted by the charms of wit or character of an unusual order.","而且，不管怎样，像鲍赛昂夫人这样的女人，能够使吸引她们注意的只能是与众不同的才智和品格。"
"Greatness of character flatters their vanity, promises a great passion, seems to imply a comprehension of the requirements of their hearts.","高尚的品格能够满足她们的虚荣心，能够使她们指望伟大的爱情，而且似乎也暗含着能够满足她们心灵的要求。"
"Wit amuses them, responds to the subtlety of their natures, and they think that they are understood.","智慧聪明能够取悦她们，能适应她们微妙的天性，让她们感觉得到了理解。"
"And what do all women wish but to be amused, understood, or adored?","世间的女人除了要求被取悦，被理解，被爱慕之外，还指望什么呢？"
"It is only after much reflection on the things of life that we understand the consummate coquetry of neglect of dress and reserve at a first interview; and by the time we have gained sufficient astuteness for successful strategy, we are too old to profit by our experience.","只有对世事经过了无数次的反省之后，才能懂得在第一次会面时，不注重衣着打扮和不动声色原来是真正的卖弄风骚；等我们已经变得足够机敏，拥有了成功的谋略，却往往年事已高，于事无补了。"
"While Gaston’s lack of confidence in his mental equipment drove him to borrow charms from his clothes, Madame de Beauseant herself was instinctively giving more attention to her toilette.","加斯东先生对自己的聪明才智缺乏自信，才借助服饰来提升自己的魅力，德鲍赛昂夫人自己也本能地装扮起来。"
"“I would rather not frighten people, at all events,” she said to herself as she arranged her hair.","“我无论如何，可不想吓着别人。”她一边自言自语，一边整理着自己的头发。"
"In M. de Nueil’s character, person, and manner there was that touch of unconscious originality which gives a kind of flavor to things that any one might say or do, and absolves everything that they may choose to do or say.","德纽埃尔先生在性格、容貌和举止方面都透着一股天然纯朴的特点，使他平时的想法和做法都饶有趣味，无论他说些什么，做些什么，都能得到谅解。"
"He was highly cultivated, he had a keen brain, and a face, mobile as his own nature, which won the goodwill of others.","他有教养，思想敏锐，外表出众，如同他的天性般活泼机灵，总是能赢得别人的好感。"
"The promise of passion and tenderness in the bright eyes was fulfilled by an essentially kindly heart.","他明亮的眼睛里隐含着激情和温存，心中充满着本质的善良。"
"The resolution which he made as he entered the house at Courcelles was in keeping with his frank nature and ardent imagination.","他下定走进库尔塞勒楼房的决心，是和他坦率的性格和激情的想象相一致的。"
"But, bold has he was with love, his heart beat violently when he had crossed the great court, laid out like an English garden, and the man-servant, who had taken his name to the Vicomtesse, returned to say that she would receive him.","可是，尽管爱情使他胆大，当他穿过一处英国花园式的庭院时心跳得非常剧烈，一位男仆去向子爵夫人报告了他的名字，回来说她愿意接见他。"
"“M. le Baron de Nueil.”","“德纽埃尔男爵先生。”"
"Gaston came in slowly, but with sufficient ease of manner; and it is a more difficult thing, be it said, to enter a room where there is but one woman, than a room that holds a score.","加斯东缓缓地走了进来，却依然保持着举止的淡定自若；不消说，走进只有一个女人的房间比走进有二十位女人的房间要更难。"
"A great fire was burning on the hearth in spite of the mild weather, and by the soft light of the candles in the sconces he saw a young woman sitting on a high-backed bergere in the angle by the hearth.","尽管天气并不冷，壁炉里的火苗依然烧得很旺。透过烛台上淡淡的烛光，他看到壁炉的角落里，一位年轻的女人正坐在一把高背安乐椅上。"
"The seat was so low that she could move her head freely; every turn of it was full of grace and delicate charm, whether she bent, leaning forward, or raised and held it erect, slowly and languidly, as though it were a heavy burden, so low that she could cross her feet and let them appear, or draw them back under the folds of a long black dress.","座位很低，她能够灵活移动头部；她每次甩动头都尽显优雅和妩媚，不管弯腰、俯身，还是抬起头或者直起身，都缓慢而无力，宛如挑起一副重担。座位很低，她可以两脚交叉，伸出双脚，或者缩进去藏在那长长的黑裙褶裥里。"
"The Vicomtesse made as if she would lay the book that she was reading on a small, round stand; but as she did so, she turned towards M. de Nueil, and the volume, insecurely laid upon the edge, fell to the ground between the stand and the sofa.","子爵夫人想把她正在读的书放在一张小圆桌上；可是，正当她那样做时，她转过头来看德纽埃尔先生，把那本书不小心放到了靠边的位置，书落下来掉在了桌子和沙发之间。"
"This did not seem to disconcert her.","她对此事似乎并不感到慌张。"
"She looked up, bowing almost imperceptibly in response to his greeting, without rising from the depths of the low chair in which she lay.","她抬起头来，用几乎无法察觉的微微点头来向他致敬，不过并未从她坐着的低椅中站起身来。"
"Bending forwards, she stirred the fire briskly, and stooped to pick up a fallen glove, drawing it mechanically over her left hand, while her eyes wandered in search of its fellow.","她向前屈下身子，迅速地拨弄了一下炉火，然后俯身去捡起一只掉落的手套，把它机械地放在左手上，而眼神则在寻找着另一只手套的下落。"
"The glance was instantly checked, however, for she stretched out a thin, white, all-but-transparent right hand, with flawless ovals of rose-colored nail at the tips of the slender, ringless fingers, and pointed to a chair as if to bid Gaston be seated.","很快她便收起目光，伸出她那又细又白、晶莹剔透的右手，纤细的指间上玫瑰色的指甲呈现出完美的椭圆形，手上并没有戴戒指。她朝一把椅子指了指，示意加斯东请坐。"
"He sat down, and she turned her face questioningly towards him.","他坐了下来，她便转过头来面带疑惑地朝向他。"
"Words cannot describe the subtlety of the winning charm and inquiry in that gesture; deliberate in its kindliness, gracious yet accurate in expression, it was the outcome of early education and of a constant use and wont of the graciousness of life.","话语都无法形容那姿态展示的魅力与问询的微妙之处；这虽完全出于善意，也极尽优雅，不过却表达到位，这正是由于早期教育和长期习惯于高雅的生活所致。"
"These movements of hers, so swift, so deft, succeeded each other by the blending of a pretty woman’s fastidious carelessness with the high-bred manner of a great lady.","她的这些动作，如此迅速，如此轻巧，成功地将一位美貌少妇的挑剔难悦和她上流社会的贵族风度完美地结合起来。"
"Mme. de Beauseant stood out in such strong contrast against the automatons among whom he had spent two months of exile in that out-of-the-world district of Normandy, that he could not but find in her the realization of his romantic dreams; and, on the other hand, he could not compare her perfections with those of other women whom he had formerly admired.","同他这两个月来被流放到偏远的诺曼底地区所接触的机器人们相比，德·鲍赛昂与她们形成了鲜明的对比，他不得不认为只有在自己浪漫的梦境中才能找到她这样的人；而且，他也无法拿他以前所赞美过的任何女人和她相提并论。"
"Here in her presence, in a drawing-room like some salon in the Faubourg Saint-Germain, full of costly trifles lying about upon the tables, and flowers and books, he felt as if he were back in Paris.","就在她这里，这间客厅里如同圣日耳曼郊区的客厅一样，桌子上满是些昂贵的小玩意儿，还有很多鲜花和书籍，他感到自己好像回到了巴黎。"
"It was a real Parisian carpet beneath his feet, he saw once more the high-bred type of Parisienne, the fragile outlines of her form, her exquisite charm, her disdain of the studied effects which did so much to spoil provincial women.","在他脚下的是一块真正的巴黎地毯，他又重见了巴黎女郎的典范，她体态纤弱，姿态优雅，她对刻意打扮不屑一顾，外省的妇女因此可吃了不少苦。"
"Mme. de Beauseant had fair hair and dark eyes, and the pale complexion that belongs to fair hair.","德鲍赛昂夫人金发黑眼，皮肤和所有的金发女郎一样白皙。"
"She held up her brow nobly like some fallen angel, grown proud through the fall, disdainful of pardon.","她高贵地抬起额头，如同被贬的天使，以自己的过失为荣，不愿寻求宽恕。"
"Her way of gathering her thick hair into a crown of plaits above the broad, curving lines of the bandeaux upon her forehead, added to the queenliness of her face.","她将浓密的头发结成辨髻，盘在额前又宽又弯的发环上面，更增加了她如女皇般的威严。"
"Imagination could discover the ducal coronet of Burgundy in the spiral threads of her golden hair; all the courage of her house seemed to gleam from the great lady’s brilliant eyes, such courage as women use to repel audacity or scorn, for they were full of tenderness for gentleness.","想象丰富的人可以把她如螺旋丝般缠绕的金发想象成是勃艮第家族的公爵宝冠；家族的所有勇气似乎闪烁在这位伟大女性的明眸里，而这种女人身上的勇气只是用来抵御胆大妄为和轻蔑之徒，对于亲切温和之人，这些却是充满温情的。"
"The outline of that little head, so admirably poised above the long, white throat, the delicate, fine features, the subtle curves of the lips, the mobile face itself, wore an expression of delicate discretion, a faint semblance of irony suggestive of craft and insolence.","小小的头颅与白皙细长的脖颈完美地协调，这精致俊俏的容貌，细润微启的双唇，灵动的面部表情，都保持着一种微妙的审慎表情，一种好似狡猾或者傲慢的讽刺味道。"
"Yet it would have been difficult to refuse forgiveness to those two feminine failings in her; for the lines that came out in her forehead whenever her face was not in repose, like her upward glances (that pathetic trick of manner), told unmistakably of unhappiness, of a passion that had all but cost her her life.","她有两处女性的缺点，只消稍一动弹，额头上就会布满皱纹，就像她高抬的目光（这饱含悲痛的表情），只要想起她那不幸的遭遇，想起那几乎夺去她生命的爱情，就很难不再原谅这些缺点了。"
"A woman, sitting in the great, silent salon, a woman cut off from the rest of the world in this remote little valley, alone, with the memories of her brilliant, happy, and impassioned youth, of continual gaiety and homage paid on all sides, now replaced by the horrors of the void—was there not something in the sight to strike awe that deepened with reflection?","一位女人，坐在宽大、安静的沙发上，远离尘世，独自居住在这偏远的小山谷，只能回忆那曾经光明、幸福和充满激情的年轻时代，那时朝夕欢娱，处处受人恭维。而如今却落得个空虚惆怅——看到此情此景，难道不会令你感到肃然的敬畏吗？稍加思考，这种景象就会更加令人敬畏。"
"Consciousness of her own value lurked in her smile.","她的微笑表明她对自身价值的充分自信。"
"She was neither wife nor mother, she was an outlaw; she had lost the one heart that could set her pulses beating without shame; she had nothing from without to support her reeling soul; she must even look for strength from within, live her own life, cherish no hope save that of forsaken love, which looks forward to Death’s coming, and hastens his lagging footsteps.","她既不是妻子也不是母亲，她被社会所遗弃；她已失去那个令她心动而又不为此感到羞耻的男人；她无法为自己无力的灵魂找到任何慰藉；她只能从自己体内寻求力量，靠自己过活，除了被遗弃的爱之外，别无任何希望，也就是等待着死亡的到来，加速死亡的脚步。"
"And this while life was in its prime.","即便此时生命正值美好。"
"Oh! to feel destined for happiness and to die—never having given nor received it!","哦！觉得自己生来会享福，然后再死去——却从未享过福，也从未给别人以幸福！"
"A woman too!","一个女人啊！"
"What pain was this!","这是怎样的痛苦啊！"
"These thoughts flashing across M. de Nueil’s mind like lightning, left him very humble in the presence of the greatest charm with which woman can be invested.","这些想法如闪电般从德纽埃尔先生的心头划过，在这位被给予最伟大魅力的女人面前，他感到无地自容。"
"The triple aureole of beauty, nobleness, and misfortune dazzled him; he stood in dreamy, almost open-mouthed admiration of the Vicomtesse.","美丽、高贵和不幸这三重光环使他意乱神迷；他不知所措，几乎目瞪口呆地站在那儿，景仰着这位子爵夫人。"
"But he found nothing to say to her.","可是他自己却说不出话来。"
"Mme. de Beauseant, by no means displeased, no doubt, by his surprise, held out her hand with a kindly but imperious gesture; then, summoning a smile to her pale lips, as if obeying, even yet, the woman’s impulse to be gracious:","德鲍赛昂夫人无疑并未因他的惊讶而感到任何不悦，向他和善而又庄严地伸出手来；接着，她苍白的嘴唇上挂起一丝微笑，似乎不忘表现出女性的优雅："
"“I have heard from M. de Champignelles of a message which you have kindly undertaken to deliver, monsieur,” she said.","“我从德尚皮涅勒先生那里听说你出于好意给我带来了一个消息，先生，”她说道,"
"“Can it be from—”","“这消息是来自——”"
"With that terrible phrase Gaston understood, even more clearly than before, his own ridiculous position, the bad taste and bad faith of his behavior towards a woman so noble and so unfortunate.","听到这可怕的话语，加斯东比任何时候都清楚地明白他自己荒谬可笑的处境，他用低级趣味而又奸诈的手段来对待一位如此高贵而又不幸的女人。"
"He reddened.","他脸红了。"
"The thoughts that crowded in upon him could be read in his troubled eyes; but suddenly, with the courage which youth draws from a sense of its own wrongdoing, he gained confidence, and very humbly interrupted Mme. de Beauseant.","从他慌乱的眼神中可以看到这些思想交集在他的心中；可是，突然转念一想，年轻人从犯错误的感觉中汲取了自信的力量，他饱含谦卑地打断了德鲍赛昂夫人。"
"“Madame,” he faltered out, “I do not deserve the happiness of seeing you.","他支支吾吾地说：“夫人，我不配来看你。"
"I have deceived you basely.","我卑鄙地欺骗了你。"
"However strong the motive may have been, it can never excuse the pitiful subterfuge which I used to gain my end.","不论我的动机是多么强烈，也绝不可原谅我为了到您身边所找的任何托词和接口。"
"But, madame, if your goodness will permit me to tell you—”","可是，夫人，如果您大发慈悲允许我告诉你——”"
"The Vicomtesse glanced at M. de Nueil, haughty disdain in her whole manner.","子爵夫人扫了德纽埃尔先生一眼，眼光中充满着傲慢和蔑视。"
"She stretched her hand to the bell and rang it.","她伸过手去，拉响了铃。"
"“Jacques,” she said, “light this gentleman to the door,” and she looked with dignity at the visitor.","她说：“雅克，提灯送客。”她用威严的眼神看着这位来访者。"
"She rose proudly, bowed to Gaston, and then stooped for the fallen volume.","她高傲地站起身，向加斯东鞠了一躬，然后俯身去拾那本掉落的书。"
"If all her movements on his entrance had been caressingly dainty and gracious, her every gesture now was no less severely frigid.","如果说他进门时她的动作都亲切温雅的话，那么现在她的一举一动都充满着冷酷和无情。"
"M. de Nueil rose to his feet, but he stood waiting.","德纽埃尔站起身，可是还站在那里等着。"
"Mme. de Beauseant flung another glance at him.","德鲍赛昂夫人又扫了他一眼。"
"“Well, why do you not go?” she seemed to say.","她似乎在说：“嗯，怎么还不走？”"
"There was such cutting irony in that glance that Gaston grew white as if he were about to faint.","这眼光中满含尖锐的讽刺，让加斯东面色苍白，好像要晕厥一样。"
"Tears came into his eyes, but he would not let them fall, and scorching shame and despair dried them.","泪水涌上眼眶，不过他强忍着，羞耻和绝望将泪水烘干了。"
"He looked back at Madame de Beauseant, and a certain pride and consciousness of his own worth was mingled with his humility; the Vicomtesse had a right to punish him, but ought she to use her right?","他向后瞧了德鲍赛昂夫人一眼，眼神中带些高傲，也有对自己价值的一些肯定，同时也含些谦卑的意味；子爵夫人有权处置他，可是她有必要这样做吗？"
"Then he went out.","然后，他就出去了。"
"As he crossed the ante-chamber, a clear head, and wits sharpened by passion, were not slow to grasp the danger of his situation.","当他越过前厅时，他敏锐的心志以及那由爱情所引发的智慧，都迅速地使他意识到自己处境的危险。"
"“If I leave this house, I can never come back to it again,” he said to himself.","“要是我离开了这间屋子，我就不可能再回来了，”他自言自语道，"
"“The Vicomtesse will always think of me as a fool.","“子爵夫人会一直认为我是个傻瓜。"
"It is impossible that a woman, and such a woman, should not guess the love that she has called forth.","一个女人，像这样一个女人，不可能猜不出她所激起的爱情。"
"Perhaps she feels a little, vague, involuntary regret for dismissing me so abruptly.","也许她感到一点儿轻微的不自觉的遗憾，就把我就这样粗暴地给撵走了。"
"—But she could not do otherwise, and she cannot recall her sentence.","——可是她也不可能，她也不可能收回成命。"
"It rests with me to understand her.”","只有让我去揣摩她的心思。”"
"At that thought Gaston stopped short on the flight of steps with an exclamation; he turned sharply, saying, “I have forgotten something,” and went back to the salon.","想到这里，加斯东突然在石阶上停了下来，大叫一声道：“我忘了件东西。”然后他回到屋里。"
"The lackey, all respect for a baron and the rights of property, was completely deceived by the natural utterance, and followed him.","这位男仆跟在他后面，仆人对于男爵的头衔和地产的神圣权利一向是充满尊敬的，听到加斯东这自然说出的话，便完全上了他的当。"
"Gaston returned quietly and unannounced.","加斯东静静地走了回去，并未通报。"
"The Vicomtesse, thinking that the intruder was the servant, looked up and beheld M. de Nueil.","子爵夫人以为进来的是个仆人，抬起头却看到了德纽埃尔先生。"
"“Jacques lighted me to the door,” he said, with a half-sad smile which dispelled any suspicion of jest in those words, while the tone in which they were spoken went to the heart.","“雅克已经提灯送过我了。”他半带忧郁地微笑着说。这句话完全失去了任何玩笑的意味，而他说这句话的语调已完全打动了对方的心。"
"Mme. de Beauseant was disarmed.","德鲍赛昂夫人心气平和了下来。"
"“Very well, take a seat,” she said.","“很好，请坐吧。”她说道。"
"Gaston eagerly took possession of a chair.","加斯东急忙拉过一把椅子。"
"His eyes were shining with happiness; the Vicomtesse, unable to endure the brilliant light in them, looked down at the book.","他的眼神中泛出幸福的闪耀；子爵夫人，经受不住这熠熠的目光，低下头看着书。"
"She was enjoying a delicious, ever new sensation; the sense of a man’s delight in her presence is an unfailing feminine instinct.","她正享受着这美妙而又永远新鲜的快乐；看到自己的存在是一个男人的幸福，这对女性来说是一种永不磨灭的情感。"
"And then, besides, he had divined her, and a woman is so grateful to the man who has mastered the apparently capricious, yet logical, reasoning of her heart; who can track her thought through the seemingly contradictory workings of her mind, and read the sensations, shy or bold, written in fleeting red, a bewildering maze of coquetry and self-revelation.","而且，他已经猜透了她的心思，女人总是感激一位男子能够理解她内心这种合乎逻辑却又明显反常的怪念头；她总是感激他能够懂得她表面上似乎完全矛盾的思想行为，懂得她羞赧或者大胆时所产生的一闪而逝的情感，这是一种妩媚而又纯真的混合情感。"
"“Madame,” Gaston exclaimed in a low voice, “my blunder you know, but you do not know how much I am to blame.","“夫人，”加斯东低声喊道，“你知道我犯了错，你却不知道我犯了多大的罪过。"
"If you only knew what joy it was to—”","只要你知道我是多么幸福地去——”"
"“Ah! take care,” she said, holding up one finger with an air of mystery, as she put out her hand towards the bell.","“哦，当心啊。”她举起一只手指装出神秘的样子道，然后将手伸向叫仆人的拉铃。"
"The charming gesture, the gracious threat, no doubt called up some sad thought, some memory of the old happy time when she could be wholly charming and gentle without an afterthought; when the gladness of her heart justified every caprice, and put charm into every least movement.","这迷人的姿态、妩媚的威胁，无疑唤起了一些哀思，使她想起了一些往日幸福的回忆，那时候她那么妩媚动人、温文尔雅，却又毫不做作；她内心的幸福使各种反复无常的想法变得正当，使她最微小的动作都显现出魅力。"
"The lines in her forehead gathered between her brows, and the expression of her face grew dark in the soft candle-light.","她眉头紧皱，脸庞在柔和烛光的映照下黯然失色。"
"Then looking across at M. de Nueil gravely but not unkindly, she spoke like a woman who deeply feels the meaning of every word.","她用严肃而不失亲切的眼神看着德纽埃尔先生，她以深知自己话语含义的态度对他说："
"“This is all very ridiculous!","“这一切都可笑之极！"
"Once upon a time, monsieur, when thoughtless high spirits were my privilege, I should have laughed fearlessly over your visit with you.","先生，以前我有权过得轻率痴狂，我能够和你一同毫无畏惧地嘲笑你这样的来访。"
"But now my life is very much changed.","但是如今我的生活已完全改变了。"
"I cannot do as I like, I am obliged to think.","我已经不能再想怎样就怎样了，我必须考虑清楚。"
"What brings you here?","你为什么要来这儿？"
"Is it curiosity?","是出于好奇吗？"
"In that case I am paying dearly for a little fleeting pleasure.","要是那样的话，我只是感觉到一丝稍纵即逝的喜悦。"
"Have you fallen passionately in love already with a woman whom you have never seen, a woman with whose name slander has, of course, been busy?","你是否已经热烈地爱上了一位你从未谋面、受尽诽谤的女人呢？"
"If so, your motive in making this visit is based on disrespect, on an error which accident brought into notoriety.”","如果是这样的话，你这次到访的动机就是基于对我的不尊重，是建立在会使人声名狼藉的错误之上。”"
"She flung her book down scornfully upon the table, then, with a terrible look at Gaston, she went on: “Because I once was weak, must it be supposed that I am always weak?","她恼恨地把书扔到桌子上，带着可怕的眼神看着加斯东，她继续说道：“因为我曾经软弱过，就认为我会永远软弱吗？"
"This is horrible, degrading.","这真可怕，真可耻。"
"Or have you come here to pity me?","要么你就是来这儿可怜我？"
"You are very young to offer sympathy with heart troubles.","你太年轻，无法同情心灵的苦痛。"
"Understand this clearly, sir, that I would rather have scorn than pity.","先生，要清楚地知道这一点，我宁可受嘲讽也不要别人的怜悯。"
"I will not endure compassion from any one.”","我不会容忍任何人的同情。”"
"There was a brief pause.","沉默了片刻。"
"“Well, sir,” she continued (and the face that she turned to him was gentle and sad), “whatever motive induced this rash intrusion upon my solitude, it is very painful to me, you see.","“好吧，先生，”她继续说（她朝他转过脸去，面色温柔而凄切），“无论是什么动机引导你轻率地侵扰了我孤独的寓所，你都深深地伤害了我，你知道的。"
"You are too young to be totally without good feeling, so surely you will feel that this behavior of yours is improper.","你太年轻，也不会完全没有善心，你当然会感觉到你这种行为是不恰当的。"
"I forgive you for it, and, as you see, I am speaking of it to you without bitterness.","我宽恕你，正如你所见，我已经不再严厉地给你说起这事了。"
"You will not come here again, will you?","你不会再来这儿了，是吗？"
"I am entreating when I might command.","我虽然可以命令你，可是我还是向你提出恳求。"
"If you come to see me again, neither you nor I can prevent the whole place from believing that you are my lover, and you would cause me great additional annoyance.","如果你再来找我的话，那么你我都无法让全城的人相信你不是我的情人，你会让我愁上加愁的。"
"You do not mean to do that, I think.”","你不会有意这样做的，我认为。”"
"She said no more, but looked at him with a great dignity which abashed him.","她不再说话了，只是用极其威严的神情看着他，使他感到局促不安。"
"“I have done wrong, madame,” he said, with deep feeling in his voice, “but it was through enthusiasm and thoughtlessness and eager desire of happiness, the qualities and defects of my age.","“我错了，夫人，”他用深情的语气说道，“可是，狂热、鲁莽和对幸福的强烈渴望，在像我这样的年龄，既算是优点，也算是缺点。"
"Now, I understand that I ought not to have tried to see you,” he added; “but, at the same time, the desire was a very natural one”—and, making an appeal to feeling rather than to the intellect, he described the weariness of his enforced exile.","现在，我懂得了我不应该想方设法来看你，”他补充道：“不过，与此同时，我的欲望也是非常自然的”——他设法多用情感少用理智来描述自己不得不想方设法来到这里的苦痛。"
"He drew a portrait of a young man in whom the fires of life were burning themselves out, conveying the impression that here was a heart worthy of tender love, a heart which, notwithstanding, had never known the joys of love for a young and beautiful woman of refinement and taste.","他将自己描述成一位感情炽热的年轻人，教人想到他是个值得被人温柔爱恋的人，可他的却从未体会过对一位举止文雅、品味精细的漂亮女人的爱。"
"He explained, without attempting to justify, his unusual conduct.","他解释了自己反常的举动，却并不想为之辩护。"
"He flattered Mme. de Beauseant by showing that she had realized for him the ideal lady of a young man’s dream, the ideal sought by so many, and so often sought in vain.","他恭维德鲍赛昂夫人，告诉她，她是年轻人梦寐以求的完美女人，是被大多数年轻人所不断追求却又追求不到的理想女郎。"
"Then he touched upon his morning prowlings under the walls of Courcelles, and his wild thoughts at the first sight of the house, till he excited that vague feeling of indulgence which a woman can find in her heart for the follies committed for her sake.","然后他叙述了自己一大清早就在库尔塞勒墙边散步的经历，还谈到了他第一眼看到这所房子时产生的遐想，直到他煽起了女人心中的那种难以言表的宽容情感，而这种情感是女人发觉自己能够激发别人的狂热爱情时总会产生的。"
"An impassioned voice was speaking in the chill solitude; the speaker brought with him a warm breath of youth and the charms of a carefully cultivated mind.","他使她在冷漠的孤寂中听到了热情洋溢的声音；说话者将一位年轻人青春的温暖气息和良好素养所展示出的无比魅力带到了这里。"
"It was so long since Mme. de Beauseant had felt stirred by real feeling delicately expressed, that it affected her very strongly now.","鲍赛昂夫人很久没有遇见如此真实的情感流露，而此刻这种感情却在深深地感动着她。"
"In spite of herself, she watched M. de Nueil’s expressive face, and admired the noble countenance of a soul, unbroken as yet by the cruel discipline of the life of the world, unfretted by continual scheming to gratify personal ambition and vanity.","她不由自主地注视着纽埃尔先生那富有表情的脸，赞赏他灵魂里崇高的面容，这份信心还未曾受到现实世界中残酷教训的破坏，还未被为实现个人的野心和虚荣心而进行的不间断的算计所毁灭。"
"Gaston was in the flower of his youth, he impressed her as a man with something in him, unaware as yet of the great career that lay before him.","加斯东是正值全盛时期的年轻人，他让她感觉到，他还是一个并不知道自己有着远大前途的个性男子。"
"So both these two made reflections most dangerous for their peace of mind, and both strove to conceal their thoughts.","因此，双方的心中都产生了对他们的思想安宁最为危险的想法，而且两者都努力去隐藏这些想法。"
"M. de Nueil saw in the Vicomtesse a rare type of woman, always the victim of her perfections and tenderness; her graceful beauty is the least of her charms for those who are privileged to know the infinite of feeling and thought and goodness in the soul within; a woman whose instinctive feeling for beauty runs through all the most varied expressions of love, purifying its transports, turning them to something almost holy; wonderful secret of womanhood, the exquisite gift that Nature so seldom bestows.","德纽埃尔先生认为子爵夫人是一位罕见的女性，她们总是会成为自身完美和柔情的牺牲品；对于那些认为灵魂深处存在着无穷的感觉、思想和仁爱的人们而言，她们的优美姿态是最次要的魅力；她们对美的本能感觉贯穿于各种千变万化的爱情之中，净化了肉体，并使它们变成几乎神圣的东西；这就是女性所具有的奇特秘密，是大自然很少赐予的珍品。"
"And the Vicomtesse, on her side, listening to the ring of sincerity in Gaston’s voice, while he told of his youthful troubles, began to understand all that grown children of five-and-twenty suffer from diffidence, when hard work has kept them alike from corrupting influences and intercourse with men and women of the world whose sophistical reasoning and experience destroys the fair qualities of youth.","子爵夫人在一边聆听着加斯东真诚的回话，当他告知他年轻时的苦痛时，她便懂得二十五岁的大孩子们所经受的胆怯，寒窗苦读使这些孩子们远离腐朽，没有机会同社会上的人们接触，而这些人总会用强词夺理的论证和经验来破坏年轻人的良好品德。"
