"zh","en"
"她从没意识到那股环绕着她、也环绕着弗吉尼娅的催眠性魔力，这种魔力使男人根本无法接近这两个女人，母女二人都是如此。","She never realized the hypnotic spell, which of course encompassed her as well as Virginia, and made men just an impossibility to both women, mother and daughter alike."
"这一次，博多恩太太藏起了自己的幽默。","At this time, Mrs Bodoin hid her humour."
"她确实拥有不可思议的幽默模仿才能。","She had a really marvellous faculty of humorous imitation."
"她能模仿从她老家来的爱尔兰仆人，或拜访她的美国妇人们，或那些摩登娘娘腔的年轻男人，她称这些年轻男人为“日光兰”：“你肯定知道日光兰是一种洋葱！","She could imitate the Irish servants from her old home, or the American women who called on her, or the modern lady-like young men, the asphodels, as she called them: “Of course you know the asphodel is a kind of onion!"
"噢，是的，只不过是一种养尊处优的洋葱。”他们小声嘀咕着，挤眉弄眼地窥视着，想让她感到自己极其渺小和庸俗。","Oh yes, just an over-bred onion”: who wanted, with their murmuring voices and peeping under their brows, to make her feel very small and very bourgeois."
"她能够幽默地模仿他们所有人，那份幽默还果真带着些许天赋。","She could imitate them all with a humour that was really touched with genius."
"可这是毁灭性的。","But it was devastating."
"它完全摧毁了她幽默的对象，用无情的锤子把他们砸成碎片，又可怕地把他们打得粉碎，这使人惊恐，特别是男人。","It demolished the objects of her humour so absolutely, smashed them to bits with a ruthless hammer, pounded them to nothing so terribly, that it frightened people, particularly men."
"它把男人们吓跑了。","It frightened men off."
"所以她把它隐藏起来了。","So she hid it."
"她把它掩盖住了。","She hid it."
"不过她那冷酷无情、如同重锤似的幽默就躲在暗处，刚刚已经狠狠地击打了它嘲讽对象的脑瓜，致使他头破血流。","But there it was, up her sleeve, her merciless, hammer-like humour, which just smashed its object on the head and left him brained."
"她试图否认拥有这种幽默。","She tried to disown it."
"她甚至在弗吉尼娅面前也试图装作她不再拥有这种天分了。","She tried to pretend, even to Virginia, that she had the gift no more."
"可这是白费力气，她藏起来的重锤悬在每一位宾客的头上，让每位来宾都感觉到头皮发麻，当又一个蠢男人被神秘地迎头一击时，弗吉尼娅的心里便浮现出一丝略带恶作剧的傻笑。","But in vain; the hammer hidden up her sleeve hovered over the head of every guest, and every guest felt his scalp creep, and Virginia felt her inside creep with a little, mischievous, slightly idiotic grin, as still another fool male was mystically knocked on the head."
"这是一种怪异离奇的游戏。","It was a sort of uncanny sport."
"的确，这个计划——让弗吉尼娅恋爱结婚的计划——是不会实现的。","No, the plan was not going to work: the plan of having Virginia fall in love and marry."
"当然，这些男人是如此愚蠢，如此窝囊。","Of course the men were such lumps, such oeufs farcies."
"至少，还有一个是博多恩太太真正寄予希望的。","There was one, at least, that Mrs Bodoin had real hopes of."
"他是一个健康、正常、英俊、家庭出身不错的小伙子，虽然没有钱，可在上议院当文书，很有前途，虽不很精明，但完全爱上了弗吉尼娅的聪颖。","He was a healthy and normal and very good-looking boy of good family, with no money, alas, but clerking to the House of Lords and very hopeful, and not very clever, but simply in love with Virginia’s cleverness."
"他也正是博多恩太太自己想嫁的那种男人。","He was just the one Mrs Bodoin would have married for herself."
"的确，他仅有二十六岁，而弗吉尼娅三十一岁了。","True, he was only twenty-six, to Virginia’s thirty-one."
"不过他在牛津八人赛艇队中当过划手，并且喜欢马，一聊起马就充满了敬慕之情，同时也完全被弗吉尼娅的聪颖迷得神魂颠倒。","But he had rowed in the Oxford eight, and adored horses, talked horses adorably, and was simply infatuated by Virginia’s cleverness."
"对他而言，弗吉尼娅拥有世界上最出色的头脑。","To him Virginia had the finest mind on earth."
"她和柏拉图一样了不起，但却更加有魅力，因为她是女人，故此更加引人注目。","She was as wonderful as Plato, but infinitely more attractive, because she was a woman, and winsome with it."
"想象一下，一个迷人的柏拉图，满头凌乱的鬈发，眯缝着褐色的小眼睛，仅仅暗示出女人对保护者的一种让人爱怜的渴求，由此你就可以猜想阿德里安对弗吉尼娅的感情了。","Imagine a winsome Plato with untidy curls and the tiniest little brown-eyed squint and just a hint of woman’s pathetic need for a protector, and you may imagine Adrian’s feeling for Virginia."
"他对她爱慕不已，完全被她征服。不过他觉得自己可以保护她。","He adored her on his knees, but he felt he could protect her."
"“当然，他实在是个很不错的小伙子！”博多恩太太说，","“Of course he’s just a very nice boy!” said Mrs Bodoin."
"“他是个小伙子，你只能这么说。","“He’s a boy, and that’s all you can say."
"而且他永远都是一个小伙子。","And he always will be a boy."
"不过那才是男人中最好的一类，你能与之生活的唯一的一类：永远的小伙子。","But that’s the very nicest kind of man, the only kind you can live with: the eternal boy."
"弗吉尼娅，难道你没被他迷住吗？”","Virginia, aren’t you attracted to him?”"
"“有的，妈妈！","“Yes, Mother!"
"我认为他就像你说的那样是个非常不错的小伙子。”弗吉尼娅回答说，声音相当舒缓悦耳，又有些顽皮。","I think he’s an awfully nice boy, as you say,” replied Virginia, in her rather slow, musical, whimsical voice."
"可是那声调中小小的嘲弄味意味着阿德里安没戏唱了。","But the mocking little curl in the intonation put the lid on Adrian."
"弗吉尼娅才不打算嫁给一个好小伙呢！","Virginia was not marrying a nice boy!"
"她也可能是故意使坏，跟她母亲的品味对着干。","She could be malicious too, against her mother’s taste."
"于是博多恩太太略微做了个不耐烦的手势让她走开了。","And Mrs Bodoin let escape her a faint gesture of impatience."
"因为她一直在计划着自己的隐退，倘若弗吉尼娅会嫁给阿德里安的话，她打算立马将整个公寓和自己收入的一半都交给弗吉尼娅。","For she had been planning her own retreat, planning to give Virginia the apartment outright, and half of her own income, if she would marry Adrian."
"是的，这位母亲早就已经在算计，一旦弗吉尼娅同那个尽管有点缺少头脑却非常迷人的小伙子幸福地结婚，她怎样能靠一年三百英镑过着最体面的日子。","Yes, the mother was already scheming how best she could live with dignity on three hundred a year, once Virginia was happily married to that most attractive if slightly brainless boy."
"一年以后，此时弗吉尼娅三十二了，阿德里安已娶了一位富有的美国姑娘，同时还被调往驻华盛顿的公使馆工作，他一到伦敦便诚心诚意地来看弗吉尼娅了，忠诚地拜倒在她脚下，忠诚地认为她是最迷人的精神尤物，而且忠诚地认为弗吉尼娅本可以同他一起创造奇迹的，可是这种奇迹已经永远不会实现了，因为他此时已经结婚了。","A year later, when Virginia was thirty-two, Adrian, who had married a wealthy American girl and been transferred to a job in the legation at Washington in the meantime, faithfully came to see Virginia as soon as he was in London, faithfully kneeled at her feet, faithfully thought her the most wonderful spiritual being, and faithfully felt that she, Virginia, could have done wonders with him, which wonders would now never be done, for he had married in the meantime."
"弗吉尼娅看上去面容枯槁、疲惫不堪。","Virginia was looking haggard and worn."
"她与母亲的两人之家的计划没有成功。","The scheme of a ménage à deux with her mother had not succeeded."
"而现在，工作使这个年轻女人疲惫不堪。","And now, work was telling on the younger woman."
"不错，她灵巧敏捷，令人惊叹。","It is true, she was amazingly facile."
"可她不能自始至终都依靠这样的灵巧敏捷。","But facility wouldn’t get her all the way."
"她得去挣自己那份钱，而且挣得很辛苦。","She had to earn her money, and earn it hard."
"她得勤恳工作，而且必须专心致志。","She had to slog, and she had to concentrate."
"当她可以凭借灵敏的直觉而且不用担什么责任地工作时，工作使她感到兴奋。","While she could work by quick intuition and without much responsibility, work thrilled her."
"但一旦她不得不踏踏实实地工作时，就像他们所说的那样，在一个真正要承担责任的岗位上，兢兢业业、勤勤恳恳、全神贯注，工作便弄得她疲惫不堪。","But as soon as she had to get down to it, as they say, grip and slog and concentrate, in a really responsible position, it wore her out terribly."
"她不得不神经高度紧张地工作。","She had to do it all off her nerves."
"她没有男人那样的战斗力。","She hadn’t the same sort of fighting power as a man."
"一个男人可以唤起自己与生俱来的男人本性去拼命干好自己的工作，可一个女人不得不靠勇气，并且只能靠勇气。","Where a man can summon his old Adam in him to fight through his work, a woman has to draw on her nerves, and on her nerves alone."
"因为女人的本性和这种工作毫无关系。","For the old Eve in her will have nothing to do with such work."
"因此，精神上的责任感、心智上的专心致志和精神上的殚精竭虑可怕地折磨着一个女人，特别是当她作为一个部门的头儿，不是为别人工作的时候。","So that mental responsibility, mental concentration, mental slogging wear out a woman terribly, especially if she is head of a department, and not working for somebody."
"就这样，可怜的弗吉尼娅被弄得精疲力竭。","So poor Virginia was worn out."
"她变得骨瘦如柴。","She was thin as a rail."
"她的精神彻底崩溃了。","Her nerves were frayed to bits."
"可是她怎么也放不下那令人厌恶的工作。","And she could never forget her beastly work."
"她常常在晚茶时分回到家里，一言不发，疲惫不堪。","She would come home at teatime speechless and done for."
"一看见她这副样子，她母亲便痛苦不堪，真想说：是不是遇上什么麻烦了，弗吉尼娅？","Her mother, tortured by the sight of her, longed to say: Has anything gone wrong, Virginia?"
"你今天在办公室里遇到了什么特别烦心的事儿吗？——但她学会了保持沉默，一言不语。","Have you had anything particularly trying at the office today?—But she learned to hold her tongue, and say nothing."
"这个问题对弗吉尼娅那可怜而劳累过度的神经会是无法忍受的最后一击，而尽管博多恩太太缄默忍让，也会有一点冒犯这位老妇人，戳到她内心痛处的小插曲。","The question would be the last straw to Virginia’s poor overwrought nerves, and there would be a little scene which, despite Mrs Bodoin’s calm and forbearance, offended the elder woman to the quick."
"之前的痛苦经历使她学会了不去理会这孩子，就像人们不去理会一只易裂的硫酸桶一样。","She had learned, by bitter experience, to leave her child alone, as one would leave a frail tube of vitriol alone."
"但是，当然，她不可能不挂念着弗吉尼娅。","But of course, she could not keep her mind off Virginia."
"不挂念是不可能的。","That was impossible."
"而不幸的弗吉尼娅，在工作压力以及她母亲那种令人生畏的不断关怀之下，处在了心力憔悴的最边缘。","And poor Virginia, under the strain of work and the strain of her mother’s awful ceaseless mind, was at the very end of her strength and resources."
"博多恩太太一直不喜欢弗吉尼娅去工作。","Mrs Bodoin had always disliked the fact of Virginia’s doing a job."
"而现在她则是憎恨这个事实了。","But now she hated it."
"她对整个政府机构怀有强烈而恶毒的憎恨。它不但把弗吉尼娅困在那里，使她失去尊严，而且还把她，博多恩太太的女儿，变成了一个瘦削如柴、唠叨不休、令人生畏的老处女。","She hated the whole government office with violent and virulent hate.Not only was it undignified for Virginia to be tied up there, but it was turning her, Mrs Bodoin’s daughter, into a thin, nagging, fearsome old maid."
"难道还有什么事更能使一个出生名门的爱尔兰女人完全变成一副英国人的德性，使她蒙受更大的耻辱吗？","Could anything be more utterly English and humiliating to a well-born Irishwoman?"
"整整一天，博多恩太太都在收拾这套公寓，熟练地织补其中一把锦缎椅子，擦亮几面威尼斯风格的镜子，一直擦到自己满意为止，挑选鲜花，买东西和料理家务，精心地照料家里的一切，下午精力不竭地接待了一些访客，喝完下午茶后离开会客厅上楼去写了几封信，洗个澡，精心打扮一番——她很乐于装扮自己——然后才像邹菊一样鲜艳亮丽地下来吃饭，不过比那静静的花儿更加精神饱满。","After a long day attending to the apartment, skilfully darning one of the brocade chairs, polishing the Venetian mirrors to her satisfaction, selecting flowers, doing certain shopping and housekeeping, attending perfectly to everything, then receiving callers in the afternoon, with never-ending energy, Mrs Bodoin would go up from the drawing-room after tea and write a few letters, take her bath, dress with great care—she enjoyed attending to her person—and come down to dinner as fresh as a daisy, but far more energetic than that quiet flower."
"她现在准备好要度过一个完美的夜晚。","She was ready now for a full evening."
"她痛苦焦急地感觉到弗吉尼娅就在家里，可是直到晚饭开始的时候才见到自己的女儿。","She was conscious, with gnawing anxiety, of Virginia’s presence in the house, but she did not see her daughter till dinner was announced."
"弗吉尼娅悄然而入，然后直奔她自己的房间躲着不见人，也从不到客厅来用茶点。","Virginia slipped in, and away to her room unseen, never going into the drawing-room to tea."
"如果博多恩太太听到女儿用钥匙开锁的声音，她便会快速地退回到某间屋子，直到弗吉尼娅安全通过。","If Mrs Bodoin heard her daughter’s key in the latch, she quickly retired into one of the rooms till Virginia was safely through."
"对可怜的弗吉尼娅来说，当她从办公室回来时，仅仅是看到家里有人神经就会非常紧张。","It was too much for poor Virginia’s nerves even to catch sight of anybody in the house, when she came in from the office."
"若听到客厅里那些来访者的喃喃细语声便更受不了了。","Bad enough to hear the murmur of visitors’ voices behind the drawing-room door."
"于是博多恩太太便会纳闷：她怎么啦？","And Mrs Bodoin would wonder: How is she?"
"她今天晚上会怎么样？","How is she to-night?"
"我想知道她度过了怎样的一天？——这种挂念会徘徊在房子里，徘徊到弗吉尼娅在自己的房间里仰面躺着的地方。","I wonder what sort of a day she’s had?—And this thought would roam prowling through the house, to where Virginia was lying on her back in her room."
"可是这位母亲不得不消磨着她的焦虑不安，直到晚饭时分。","But the mother would have to consume her anxiety till dinner-time."
"那时弗吉尼娅就会出现，眼圈发黑、瘦骨嶙峋、神色紧张，一个刚下了班的年轻女人，浑身上下透着如此痕迹：衣着不得体，幽默中略带尖酸刻薄，受工作折磨，胃口不佳，对任何事都毫无兴趣。","And then Virginia would appear, with black lines under her eyes, thin, tense, a young woman out of an office, the stigma upon her: badly dressed, a little acid in humour, with an impaired digestion, not interested in anything, blighted by her work."
"博多恩太太一看到她这副模样便觉得丢脸，但她完全能够克制住自己，只是轻描淡写地说几句无关痒痛的话，姿态优美地坐着，守着一桌纯粹为取悦弗吉尼娅而精心烹制的饭菜。","And Mrs Bodoin, humiliated at the very sight of her, would control herself perfectly, say nothing but the mere smooth nothings of casual speech, and sit in perfect form presiding at a carefully-cooked dinner thought out entirely to please Virginia."
"那时，弗吉尼娅根本没在意自己吃了些什么。","Then Virginia hardly noticed what she ate."
"博多恩太太渴望着一个充满活力的夜晚。","Mrs Bodoin was pining for an evening with life in it."
"而弗吉尼娅会躺在长沙发上，然后打开扬声器。","But Virginia would lie on the couch and put on the loudspeaker."
"或者她会在留声机上放一盘幽默唱片，被逗乐了之后，会再听一遍，又被逗乐了之后，再听一遍，一连听上六遍，一连被这样一盘略带幽默的唱片逗乐了六次，而博多恩太太都已经把这盘唱片的内容熟记于心了。","Or she would put a humorous record on the gramophone, and be amused, and hear it again, and be amused, and hear it again, six times, and six times be amused by a mildly funny record that Mrs Bodoin now knew off by heart."
"“哎呀，弗吉尼娅，要是你乐意，我可以给你背诵那盘唱片，你就不必费事地去摇唱机了。”——而弗吉尼娅呢，停顿了一下，好像没有听清母亲说什么，然后回答道：“我确信你能，妈妈。”","“Why, Virginia, I could repeat that record over to you, if you wished it, without your troubling to wind up that gramophone.”—And Virginia, after a pause in which she seemed not to have heard what her mother said, would reply, “I’m sure you could, mother”."
"这简单的一句话表达出对雷切尔·博多恩本人、过去及其能力等所有一切的蔑视，蔑视她的精力、她的活力、她的智力、她的身体甚至是她本身的存在，这不禁令这位老妇人寒心。","And that simple speech would convey such volumes of contempt for all that Rachel Bodoin was or ever could be or ever had been, contempt for her energy, her vitality, her mind, her body, her very existence, that the elder woman would curl."
"这就好似罗伯特·博多恩的灵魂极其恶毒地借女儿之口说话——然后，弗吉尼娅第七次放上了这张唱片。","It seemed as if the ghost of Robert Bodoin spoke out of the mouth of the daughter, in deadly venom.—Then Virginia would put on the record for the seventh time."
"在尴尬难堪的第二年里，博多恩太太意识到这场游戏结束了。","During the second ghastly year, Mrs Bodoin realized that the game was up."
"她成了一个精神垮掉的女人，一个再也没有目标和意义的女人了。","She was a beaten woman, a woman without object or meaning any more."
"她那令人生畏的女性幽默之锤，曾经砸在了许多人的头上，实际上，砸过所有她曾经接触过的人，现在这重锤则向后抡去，砸在了她自己的头上。","The hammer of her awful female humour, which had knocked so many people on the head, all the people, in fact, that she had come into contact with, had at last flown backwards and hit herself on the head."
"因为她女儿是她的另一个自我，她的另一面。","For her daughter was her other self, her alter ego."
"博多恩太太一生的秘密、意义和力量都贮藏在这把铁锤上，这把对一切事物都要当头一击的活生生的幽默之锤。","The secret and the meaning and the power of Mrs Bodoin’s whole life lay in the hammer, that hammer of her living humour which knocked everything on the head."
"幽默地给予每个人、每件事物当头一击一直都是她的欲望，她的激情。","That had been her lust and her passion, knocking everybody and everything humorously on the head."
"她觉得从中受到了启发：这是一项使命。","She had felt inspired in it: it was a sort of mission."
"并且她曾希望将这把锤子传给弗吉尼娅，她那聪颖、虽不可靠但仍旧真实的女儿，弗吉尼娅。","And she had hoped to hand on the hammer to Virginia, her clever, unsolid but still actual daughter, Virginia."
"弗吉尼娅是雷切尔自我的延续。","Virginia was the continuation of Rachel’s own self."
"弗吉尼娅是雷切尔的变体，是她的另外一个自我。","Virginia was Rachel’s alter ego, her other self."
"可是，唉，这只说对了一半。","But, alas, it was a half-truth."
"弗吉尼娅曾经有一个父亲。","Virginia had had a father."
"这个一直被这位母亲完全忽略的事实，通过那锤子怪异的反弹，渐渐地被她所了解。","This fact, which had been utterly ignored by the mother, was gradually brought home to her by the curious recoil of the hammer."
"弗吉尼娅还是她父亲的女儿。","Virginia was her father’s daughter."
"在自然万物的结局当中，还有更不体面、更令人恐惧、更违反常情的事情吗？","Could anything be more unseemly, horrid, more perverse in the natural scheme of things?"
"因为罗伯特·博多恩已经被雷切尔的锤子彻底地、理所当然地当头击中。","For Robert Bodoin had been fully and deservedly knocked on the head by Rachel’s hammer."
"可他竟然在博多恩太太自己的女儿，她的另一个自我，也就是弗吉尼娅的身上复活了，而且开始用一把有点儿恶毒的锤子回击了，那简直就是戴维的卵石与哥利亚的战斧在作战！还有什么比这更令人恶心的吗？","Could anything, then, be more disgusting than that he should resurrect again in the person of Mrs Bodoin’s own daughter, her own alter ego Virginia, and start hitting back with a little spiteful hammer that was David’s pebble against Goliath’s battle-axe!"
"可是那小小的卵石是致命的。","But the little pebble was mortal."
"博多恩太太感觉它陷进了她的额头、她的太阳穴，她完了。","Mrs Bodoin felt it sink into her brow, her temple, and she was finished."
"锤子从她手中无力地掉落下来。","The hammer fell nerveless from her hand."
"现在这两个女人大部分时间里都是独处。","The two women were now mostly alone."
"弗吉尼娅太劳累了，晚上就不想去招待客人了。","Virginia was too tired to have company in the evening."
"因此就与留声机或扬声器为伴，或保持寂静沉默。","So there was the gramophone or loudspeaker, or else silence."
"两个女人开始憎恶起这寓所来了。","Both women had come to loathe the apartment."
"弗吉尼娅认为这是她母亲横行霸道的最后的绝招，她感觉自己被那独断的欧比松地毯，那令人厌恶的威尼斯式镜子，那过于精心摆弄的大束鲜花所欺压。","Virginia felt it was the last grand act of bullying on her mother’s part, she felt bullied by the assertive Aubusson carpet, by the beastly Venetian mirrors, by the big overcultured flowers."
"她甚至觉得受到那精美饭菜的侮辱，于是再次怀念起索霍饭店和旅馆里她那两间简陋破旧的房间。","She even felt bullied by the excellent food, and longed again for a Soho restaurant and her two poky shabby rooms in the hotel."
"她讨厌这个寓所，她憎恶每件事物。","She loathed the apartment: she loathed everything."
"但她没有精力搬家了。","But she had not the energy to move."
"她没精力做任何事情。","She had not the energy to do anything."
"她慢悠悠地去干她的工作，其余时间里她就平躺在那里混时间。","She crawled to her work, and for the rest, she lay flat, gone."
"正是弗吉尼娅精疲力竭的懒散模样真正击垮了博多恩太太。","It was Virginia’s worn-out inertia that really finished Mrs Bodoin."
"那正是击碎她太阳穴骨的卵石。“不得不参加我女儿的葬礼，接受所有她办公室职员的慰问，不，那是最大的屈辱，我必须免遭其伤害。","That was the pebble that broke the bone of her temple: “To have to attend my daughter’s funeral, and accept the sympathy of all her fellow-clerks in her office, no, that is a final humiliation which I must spare myself."
"不！","No!"
"如果弗吉尼娅一定要当个女职员的话，从今以后她必须自己负责任。","If Virginia must be a lady-clerk, she must be it henceforth on her own responsibility."
"我要从她的生活中退出来。”","I will retire from her existence.”"
"博多恩太太曾努力设法说服弗吉尼娅放弃工作来和她一起住。","Mrs Bodoin had tried hard to persuade Virginia to give up her work and come and live with her."
"博多恩太太还曾提出把她收入的一半给弗吉尼娅。","She had offered her half her income."
"都是白费力气。","In vain."
"弗吉尼娅仍坚守在自己的岗位上。","Virginia stuck to her office."
"好吧！","Very well!"
"就那样好了！——这间寓所真是一大败笔，博多恩太太真想，真想再把它撕得粉碎。","So be it!—The apartment was a fiasco, Mrs Bodoin was longing, longing to tear it to pieces again."
"这把锤子最后的、最终的一击！——“弗吉尼娅，难道你不觉得我们最好处理掉这间寓所，像过去那样这里住住那里住住吗？","One last and final blow of the hammer!—“Virginia, don’t you think we’d better get rid of this apartment, and live around as we used to?"
"难道你不认为我们应该那样做吗？”——“但是你投进去的那些钱怎么办？","Don’t you think we’ll do that?”—“But all the money you’ve put into it?"
"而且租期是十年呢！”弗吉尼娅用一种懒洋洋的口吻叫喊道。——“不要紧！","And the lease for ten years!” cried Virginia, in a kind of inertia.—“Never mind!"
"我们愿意花这钱。","We had the pleasure of making it."
"并且我们住在这里已经享受了该享受的乐趣。","And we’ve had as much pleasure out of living in it as we shall ever have."
"现在我们最好处理掉它——尽快——难道你不觉得吗？”","Now we’d better get rid of it—quickly—don’t you think?”"
"此时此刻，博多恩太太猛然伸展双臂把画从墙上扯了下来，卷起了那张欧比松式地毯，把瓷器从镶有象牙的橱柜中抓了出来。","Mrs Bodoin’s arms were twitching to snatch the pictures off the walls, roll up the Aubusson carpet, take the china out of the ivory-inlaid cabinet there and then, at that very moment."
"“我们等到星期天再做决定吧。”弗吉尼娅说道。","“Let us wait till Sunday before we decide,” said Virginia."
"“等到星期天！","“Till Sunday!"
"还有四天！","Four days!"
"要那么久吗？","As long as that?"
"难道我们各自心里还没做出决定吗？”博多恩太太说。","Haven’t we already decided in our own minds?” said Mrs Bodoin."
"“无论如何，我们得等到星期天。”弗吉尼娅说道。","“We’ll wait till Sunday, anyhow,” said Virginia."
"次日晚上，那个亚美尼亚人过来吃晚饭。","The next evening, the Armenian came to dinner."
"弗吉尼娅叫他阿诺德，用法语发音就叫阿尔诺。","Virginia called him Arnold, with the French pronunciation, Arnault."
"博多恩太太简直受不了他，而且怎么也记不住他的名字，那名字似乎相当拗口，她要么叫他亚美尼亚人，要么以蜜饯的名字称他为拉哈特·拉科姆，要么干脆称他叫土耳其软糖。","Mrs Bodoin, who barely tolerated him, and could never get his name, which seemed to have a lot of bouyoums in it, called him either the Armenian, or the Rahat Lakoum, after the name of the sweetmeat, or simply The Turkish Delight."
"“阿尔诺今晚要来吃晚饭，妈妈。”","“Arnault is coming to dinner to-night, Mother.”"
"“真的吗？","“Really!"
"土耳其软糖要来这里吃晚饭？","The Turkish Delight is coming here to dinner?"
"我该准备些特色饭菜吗？”——她的声音听起来好像她要推荐蜗牛冻肉似的。","Shall I provide anything special?”—Her voice sounded as if she would suggest snails in aspic."
"“我认为没必要。”","“I don’t think so.”"
"弗吉尼娅在办公室和这位亚美尼亚人见过很多面，当时她必须代表商务部同他洽谈。","Virginia had seen a good deal of the Armenian at the office, when she had to negotiate with him on behalf of the Board of Trade."
"他是个约六十岁的男人，一个商人，曾是个百万富翁，战争期间破产了，但现在又开始恢复元气了，并当上了保加利亚的贸易代表。","He was a man of about sixty, a merchant, had been a millionaire, was ruined during the war, but was now coming on again, and represented trade in Bulgaria."
"他想跟英国政府进行洽谈，英国政府明智地先通过中间人弗吉尼娅与他进行谈判。","He wanted to negotiate with the British Government, and the British Government sensibly negotiated with him: at first through the medium of Virginia."
"现在，阿尔诺先生——弗吉尼娅如是称呼他——和商务部之间的事务进展得令人满意，因而公务往来之后紧接着便产生了一种友谊。","Now things were going satisfactorily between Monsieur Arnault, as Virginia called him, and the Board of Trade, so that a sort of friendship had followed the official relations."
"土耳其软糖六十了，头发灰白，身体肥胖。","The Turkish Delight was sixty, grey-haired and fat."
"在保加利亚，他有很多正在长大成人的孙辈，但他仍然是个鳏夫。","He had numerous grandchildren growing up in Bulgaria, but he was a widower."
"他的灰白胡子修剪得像把刷子，呆滞无神的褐色眼睛上垂着沉重的眼睑，睫毛是白色的。","He had a grey moustache cut like a brush, and glazed brown eyes over which hung heavy lids with white lashes."
"他举止谦卑，可他的神态中透着一种固执的自负。","His manner was humble, but in his bearing there was a certain dogged conceit."
"人们注意到有时犹太人身上具有这二者的结合。","One notices the combination sometimes in Jews."
"他曾经非常富有，人们都对他卑躬屈膝，他也曾倾家荡产、备受羞辱，而如今他又顽强地东山再起了，有他远在保加利亚的儿子们为他撑腰呢。","He had been very wealthy and kow-towed to, he had been ruined and humiliated, terribly humiliated, and now, doggedly, he was rising up again, his sons backing him, away in Bulgaria."
"人们觉得他并不是孤身一人。","One felt he was not alone."
"在他身后有着远在近东的儿子、家庭和家族。","He had his sons, his family, his tribe behind him, away in the Near East."
"他的英语讲得很糟糕，但带着小舌音的法语却讲得相当流利。","He spoke bad English, but fairly fluent guttural French."
"他的话不多，只管坐着。","He did not speak much, but he sat."
"他坐着，两条大腿又短又肥，仿佛他要永恒地坐在那儿。","He sat, with his short, fat thighs, as if for eternity, there."
"他那静止不动的肥硕身躯里有着一种奇特的力量，仿佛他的臀部连接着地球的正中心。","There was a strange potency in his fat immobile sitting, as if his posterior were connected with the very centre of the earth."
"而他那一门心思只想着做生意的头脑，则相当敏捷。","And his brain, spinning away at the one point in question, business, was very agile."
"他心无旁骛地做生意。","Business absorbed him."
"但并不是用一种紧张，私人的方式做生意。","But not in a nervous, personal way."
"不知怎地，他总是感觉家庭、家族就在他的身后。","Somehow the family, the tribe was always felt behind him."
"这是为家庭和家族而做的生意。","It was business for the family, the tribe."
"同英国人在一起时，他就显得谦卑，因为英国人喜欢这样的外国人表现得卑躬屈膝，并且他还在土耳其人那里接受过长期的教育。","With the English he was humble, for the English like such aliens to be humble, and he had had a long schooling from the Turks."
"并且他永远是一个局外人。","And he was always an outsider."
"在社会上，没有人愿意理会他。","Nobody would ever take any notice of him in society."
"他只不过是个局外人，坐在一旁。","He would just be an outsider, sitting."
"“我希望，弗吉尼娅，当我们招待其他宾客时，你别请那个土耳其地毯绅士来。","“I hope, Virginia, you won’t ask that Turkish-carpet gentleman when we have other people."
"我可以容忍他。”博多恩太太说，","I can bear it,” said Mrs Bodoin."
"“而有些人可能会介意。”","“Some people might mind.”"
"“在你自己的家中却不能选择自己的宾客，这不太无情了吗！”弗吉尼娅讥讽道。","“Isn’t it hard when you can’t choose your own company in your own house!” mocked Virginia."
"“不！","“No!"
"我无所谓。","I don’t care."
"我能够应付一切，而且我相信，卖起土耳其地毯来，你那个熟人会相当擅长。","I can meet anything; and I’m sure, in the way of selling Turkish carpets, your acquaintance is very good."
"但是，我想你不会把他看作私人朋友吧——？”","But I don’t suppose you look on him as a personal friend—?”"
"“我是把他当做私人朋友。","“I do."
"我非常喜欢他。”","I like him quite a lot.”"
"“好吧——！随你便。","“Well—! as you will."
"但替你的其他朋友想想吧。”","But consider your other friends.”"
"这次博多恩太太的自尊心是真的受到了伤害。","Mrs Bodoin was really mortified this time."
"她看待这亚美尼亚人就像人们看待头戴土耳其毡帽在赛德港或在尼斯海岸设法兜售丑陋挂毯的肥胖的黎凡特人一样，他算不上人类，他被看作是昆虫类。","She looked on the Armenian as one looks on the fat Levantine in a fez who tries to sell one hideous tapestries at Port Said, or on the sea-front at Nice, as being outside the class of human beings, and in the class of insects."
"他曾经是个百万富翁，而且可能会重新成为百万富翁的这个事实只是让她厌恶被迫同这样的渣滓交往之外又增添了几分恶意。","That he had been a millionaire, and might be a millionaire again, only added venom to her feeling of disgust at being forced into contact with such scum."
"她甚至无法碾碎他，或者消灭他。","She could not even squash him, or annihilate him."
"在渣滓中，没有什么东西可碾碎的了，因为渣滓已是被碾碎的、令人讨厌的残渣，除此之外什么也不是。","In scum, there is nothing to squash, for scum is only the unpleasant residue of that which was never anything but squashed."
"然而，她并不是非常公平。","However, she was not quite just."
"不错，他是胖，大腿粗短，而且坐着就像癞蛤蟆一样，像一只癞蛤蟆永恒地坐着一样。","True, he was fat, and he sat, with short thighs, like a toad, as if seated for a toad’s eternity."
"他的脸色是一种暗淡的浆糊色，沉沉的眼睑下那双黑眼睛显得呆滞无神。","His colour was of a dirty sort of paste, his black eyes were glazed under heavy lids."
"而且，除非别人跟他说话，否则他绝不开口，在他那癞蛤蟆式的安静中，像个奴隶般地候着。","And he never spoke until spoken to, waiting in his toad’s silence, like a slave."
