"书名白猿（约翰·高尔斯华绥《现代喜剧》三部曲之一）短简介迈克尔和弗勒，一个是贵族子弟，一个是名门望族的大小姐，他们的婚姻表面上令人称羡，实际却是暗潮汹涌。小说中的那幅中国名画《白猿》恰好是外表光鲜、内在腐朽的上层社会的写照——他们目光贪婪、恐惧，不顾一切地想把一切都攥在手中。长简介约翰·高尔斯华绥的长篇小说《白猿》是《现代喜剧》三部曲的第一部。小说通过对比两对身处不同的社会阶层的夫妻，揭示了在特定社会背景下，上流社会的腐朽虚荣和贫民阶级的痛苦和无奈。迈克尔和弗勒，贵族子弟和名门望族的联姻，表面上丰衣足食、令人称羡，实际却是貌合神离、同床异梦；托尼和维多琳一贫如洗、相濡以沫，却只能牺牲自己换取两人安稳度日的梦想，而那梦想也像蓝色蝴蝶，可望而不可即……小说中的那幅画《白猿》恰好是外表光鲜、内在腐朽的上层社会的写照——他们目光贪婪、恐惧，不顾一切地想把一切都攥在手中。关键字白猿；约翰·高尔斯华绥；外研社编译组；长篇；讽刺；小说；资产阶级作者（英）约翰·高尔斯华绥作者简介约翰·高尔斯华绥（1867-1933），英国小说家、剧作家，生于伦敦，曾在牛津大学读法律，后放弃律师工作从事文学创作。1906年出版长篇小说《有产业的人》，获得广泛好评，他也因此而被公认为英国第一流作家。高尔斯华绥最为人称道的是他的三个三部曲：《福尔赛世家》、《现代喜剧》和《尾声》，其中以《福尔赛世家》最为知名，他也凭此于1932年获得诺贝尔文学奖。书评他的作品语言简练、形象生动、讽刺辛辣。    在一个渐渐走向腐朽的社会，人人都贪婪、虚荣，不顾一切地想把一切都攥在手中。"
"The White Monkey","白猿"
"Do help me live it down.","真切恳求你助我渡过难关。"
"“Yours ever,","你永远的，"
"“FLEUR.”","弗勒。”"
"“Michael, your chin is like a bootbrush.”","“迈克尔，你的下巴像一把靴刷子。”"
"“Sorry, old thing; your shoulders shouldn’t be so smooth.","“不好意思，亲爱的，你的肩膀不该这么光滑。"
"Bart gave Wilfrid a tip as we were coming along.”","在我们来时的路上，准爵爷给了威尔弗里德一些提示。”"
"Fleur stopped writing.","弗勒停下笔来。"
"“Oh!”","“哦！”"
"“Reminded him that the state of love was a good stunt for poets.”","“爵爷提示他，对于诗人来说，恋爱可是施展才华的绝好机会。”"
"“A propos of what?”","“都说了些什么呢？”"
"“Wilfrid was complaining that he couldn’t turn it out now.”","“威尔弗里德一直在抱怨现在他创作不出来作品。”"
"“Nonsense!","“胡说！"
"His last things are his best.”","他最新的作品正是他最好的作品。”"
"“Well, that’s what I think.","“嗯，我也有同感。"
"Perhaps he’s forestalled the tip.","也许他早就实践过那个提示了。"
"Has he, d’you know?”","他有没有实践过，你知道吗？”"
"Fleur turned her eyes towards the face behind her shoulder.","弗勒转过头，望着身后的那张脸。"
"No, it had its native look—frank, irresponsible, slightly faun-like, with its pointed ears, quick lips, and nostrils.","还是那张脸——坦率真诚、不负责任，有点儿像尊农牧神像，有着尖尖的耳朵、灵巧的嘴唇和鼻孔。"
"She said slowly:","她缓缓地说："
"“If YOU don’t know, nobody does.”","“如果连你都不知道，那更没有人知道了。”"
"A snuffle interrupted Michael’s answer.","一阵鼻息声打断了迈克尔的回答。"
"Ting-a-ling, long, low, slightly higher at both ends, was standing between them, with black muzzle upturned.","是小叮铃——它身子长、个头矮，头和尾巴稍微高一些——正站在他们两个人中间，黑乎乎的脸朝上仰着。"
"‘My pedigree is long,’ he seemed to say; ‘but my legs are short—what about it?’","它好像在说：“我可是纯种，就是腿短——这又有什么关系呢？”"

"Chapter III","第三章"
"Musical","音乐会"
"According to a great and guiding principle, Fleur and Michael Mont attended the Hugo Solstis concert, not because they anticipated pleasure, but because they knew Hugo.","依照一个伟大的并具有指导性的原则，弗勒和迈克尔·蒙特参加了雨果·苏斯迪斯的音乐会。出席这项活动不是为了娱乐，而是因为他们认识雨果。"
"They felt, besides, that Solstis, an Englishman of Russo-Dutch extraction, was one of those who were restoring English music, giving to it a wide and spacious freedom from melody and rhythm, while investing it with literary and mathematical charms.","而且，他们认为，苏斯迪斯——这个混有俄罗斯与荷兰血统的英国人——是复兴英国音乐的中坚力量之一。他使英国音乐在节奏和旋律上都获得了充分的自由，又赋予了它文学和数学的魅力。"
"And one never could go to a concert given by any of this school without using the word ‘interesting’ as one was coming away.","无论是谁参加这一流派中任何一位音乐家的音乐会，在他离开时，总要发出“有趣”的称赞。"
"To sleep to this restored English music, too, was impossible.","听这种复兴的英国音乐，也不可能打瞌睡。"
"Fleur, a sound sleeper, had never even tried.","虽说弗勒是个嗜睡的人，在这种场合却从未试着瞌睡过。"
"Michael had, and complained afterwards that it had been like a nap in Liege railway station.","迈克尔倒是打过一次瞌睡，事后却抱怨说，这就像在列日火车站打了个盹。"
"On this occasion they occupied those gangway seats in the front row of the dress circle of which Fleur had a sort of natural monopoly.","这次，他们坐在特等包厢前排靠近通道的位子，这个位子似乎就是弗勒的专座。"
"There Hugo and the rest could see her taking her place in the English restoration movement.","坐在那里，雨果和其他人都能看见她参加了这次英国复兴运动。"
"It was easy, too, to escape into the corridor and exchange the word ‘interesting’ with side-whiskered cognoscenti; or, slipping out a cigarette from the little gold case, wedding present of Cousin Imogen Cardigan, get a whiff or two’s repose.","而且，在那里也方便她溜到走廊里，和那些留着络腮胡的鉴赏家们互道一声“有趣”；或拿出表姐伊莫金·卡迪根送的结婚礼物——一个小金盒，抽出一支香烟，吸两口休息休息。"
"To speak quite honestly, Fleur had a natural sense of rhythm which caused her discomfort during those long and ‘interesting’ passages which evidenced, as it were, the composer’s rise and fall from his bed of thorns.","坦率地说，弗勒的节奏感与生俱来，当演奏到那些冗长而“有趣”的乐章时，她仿佛对作曲家所表现的如坐针毡、坐立不安的情形感同身受，这不免让她十分难受。"
"She secretly loved a tune, and the impossibility of ever confessing this without losing hold of Solstis, Baff, Birdigal, MacLewis, Clorane, and other English restoration composers, sometimes taxed to its limit a nature which had its Spartan side.","她默默喜欢一支曲调，为了不失去苏斯迪斯、巴夫、博迪格尔、麦克刘易斯、克罗雷和其他英国复兴派作曲家，她永远不会承认这一点。有时，这使她那具有自虐倾向的性格压抑到了极点。"
"Even to Michael she would not ‘confess’; and it was additionally trying when, with his native disrespect of persons, accentuated by life in the trenches and a publisher’s office, he would mutter: “Gad!Get on with it!” or: “Cripes!Ain’t he took bad!” especially as she knew that Michael was really putting up with it better than herself, having a more literary disposition, and a less dancing itch in his toes.","即使对迈克尔，她也不会承认。迈克尔生来不尊重别人，而战场上的生活和出版家的身份使他的这种态度更加严重，因此，每当他咕噜着：“上帝！快点儿过去吧！”或者“天啊！他这下可弄错了！”时，她就感到格外难受，尤其是她知道迈克尔实际比她更能忍耐，更有文学气质，而对舞蹈则没有她那么入迷。"
"The first movement of the new Solstis composition—‘Phantasmagoria Piemontesque’—to which they had especially come to listen, began with some drawn-out chords.","他们专程来听苏斯迪斯新乐曲的第一乐章——《皮埃蒙特斯克幻想曲》，该乐章以几个悠长的和弦开始。"
"“What oh!” said Michael’s voice in her ear: “Three pieces of furniture moved simultaneously on a parquet floor!”","她耳边传来迈克尔的声音：“哇哦，三件家具同时在一块镶木地板上移动！”"
"In Fleur’s involuntary smile was the whole secret of why her marriage had not been intolerable.","弗勒不禁笑了，她的婚姻并非无法忍受，她的笑容把这个秘密完全暴露了。"
"After all, Michael was a dear!","迈克尔毕竟很可爱！"
"Devotion and mercury—jesting and loyalty—combined, they piqued and touched even a heart given away before it was bestowed on him.","他既专一又活泼，既幽默又忠诚——这一切都触动甚至是感动了她，虽然在嫁给他之前她就心有所属了。"
"‘Touch’ without ‘pique’ would have bored; ‘pique’ without ‘touch’ would have irritated.","没有“触动”的“感动”惹人厌恶，而没有“感动”的“触动”又惹人恼怒。"
"At this moment he was at peculiar advantage!","此刻，他处于极其有利的地位！"
"Holding on to his knees, with his ears standing up, eyes glassy from loyalty to Hugo, and tongue in cheek, he was listening to that opening in a way which evoked Fleur’s admiration.","为了表示对雨果的尊重，他双手抓牢膝盖，双耳竖起，目光呆滞，装模作样地听着序曲。他做出的这副样子引起了弗勒的钦佩。"
"The piece would be ‘interesting’—she fell into the state of outer observation and inner calculation very usual with her nowadays.","这段乐曲会很“有趣”——她陷入了一种状态：外表看上去在观察，而内心却在无限遐想，最近她一直这样。"
"Over there was L.S.D., the greater dramatist; she didn’t know him—yet.","那边坐着L. S. D.，一位更加伟大的剧作家，她还不认识他。"
"He looked rather frightening, his hair stood up so straight.","他看上去相当可怕，头发竖得直直的。"
"And her eye began picturing him on her copper floor against a Chinese picture.","于是，她眼前浮现出一个画面：他正站在她家的红棕色地板上，身后是一幅中国画。"
"And there—yes!","啊，快看那边！"
"Gurdon Minho!","是格登·明霍！"
"Imagine HIS coming to anything so modern!","想不到他竟会到如此时髦的地方来！"
"His profile WAS rather Roman—of the Aurelian period!","他的侧面颇有点儿罗马味道——奥勒利安皇帝时期的味道。"
"Passing on from that antique, with the pleased thought that by this time tomorrow she might have collected it, she quartered the assembly face by face—she did not want to miss any one important.","她把目光从那个古董身上移开，想到明晚这个时候她准会收罗到这件东西了，心里颇为高兴，一一打量了剧场里的每一个人——她可不想遗漏任何一个重要人物。"
"“The furniture” had come to a sudden standstill.","“那件家具”突然停住了。"
"“Interesting!” said a voice over her shoulder.","“有趣！”声音从她背后传来。"
"Aubrey Greene!","是奥布里·格林！"
"Illusive, rather moonlit, with his silky fair hair brushed straight back, and his greenish eyes—his smile always made her feel that he was ‘getting’ at her.","好像幻影一般，颇有点儿月朦胧的感觉。他柔亮的金色头发笔直地向后梳着；他淡绿色的眼眸以及他的微笑，总让她有种被“挑逗”的感觉。"
"But, after all, he was a cartoonist!","不管怎么说，毕竟他也是个漫画家！"
"“Yes, isn’t it?”","“嗯，可不是吗？”"
"He curled away.","他转身走了。"
"He might have stayed a little longer—there wouldn’t be time for any one else before those songs of Birdigal’s!","他本可以多呆一会儿的。因为在博迪格尔的那几首曲子之前，其他人是不会有时间表演的！"
"Here came the singer Charles Powls!","现在歌唱家查尔斯·波尔斯出场了！"
"How stout and efficient he looked, dragging little Birdigal to the piano.","他把个子矮小的博迪格尔拖到钢琴那边，这让他看起来既壮实又能干。"
"Charming accompaniment—rippling, melodious!","迷人的伴奏——轻轻荡漾着，和谐悦耳！"
"The stout, efficient man began to sing.","这位既壮实又能干的人开始唱了。"
"How different from the accompaniment!","怎么与伴奏如此不一样呢！"
"The song hit every note just off the solar plexus.","这首歌的每个音调都没有打动她的交感神经。"
"It mathematically prevented her from feeling pleasure.","精确地讲，没有一个音调让她感到快乐。"
"Birdigal must have written it in horror of some one calling it ‘vocal.’","博迪格尔创作这首歌时，一定害怕有人将之称为“声乐作品”。"
"Vocal!","声乐作品！"
"Fleur knew how catching the word was; it would run like a measle round the ring, and Birdigal would be no more!","弗勒知道这个词极具传染性，它会像麻疹一样迅速传遍全场，这样一来，博迪格尔就完蛋了！"
"Poor Birdigal!","可怜的博迪格尔！"
"But this was ‘interesting.’","但是这一点很“有趣”。"
"Only, as Michael was saying: “O, my Gawd!”","这时，迈克尔也发出感叹：“上帝啊！”"
"Three songs!","三首歌！"
"Powls was wonderful—so loyal!","波尔斯真了不起啊——如此忠诚！"
"Never one note hit so that it rang out like music!","没有一个音符听起来像音乐！"
"Her mind fluttered off to Wilfrid.","她的思绪跑到威尔弗里德那里去了。"
"To him, of all the younger poets, people accorded the right to say something; it gave him such a position—made him seem to come out of life, instead of literature.","在所有的年轻诗人中，人们给了他话语权；这给他奠定了一种地位——似乎他来自于生活而非来自文学。"
"Besides, he had done things in the war, was a son of Lord Mullyon, would get the Mercer Prize probably, for ‘Copper Coin.’","此外，他参加过战争，是马利昂勋爵的儿子，有望凭《铜币》获得默瑟奖。"
"If Wilfrid abandoned her, a star would fall from the firmament above her copper floor.","如果威尔弗里德离她而去的话，那么一颗明星将会从她家的红棕色地板上空落下。"
"He had no right to leave her in the lurch.","他无权让她陷入困境。"
"He must learn not to be violent—not to think physically.","他必须要学会不粗鲁——不随心所欲。"
"No! she couldn’t let Wilfrid slip away; nor could she have any more sob-stuff in her life, searing passions, cul de sacs, aftermaths.","不！她决不能让威尔弗里德溜走，她也不允许自己的生活中再出现任何痛苦的事情、枯萎的感情、走不通的路以及不幸的结果。"
"She had tasted of that; a dulled ache still warned her.","她曾经尝过这种滋味，旧伤疤还在隐隐作痛，时刻提醒着她。"
"Birdigal was bowing, Michael saying: “Come out for a whiff!","博迪格尔鞠躬致谢，迈克尔说道：“出去吸口烟吧！"
"The next thing’s a dud!”","下一个节目没什么可看的！”"
"Oh! ah!","哦！啊！"
"Beethoven.","贝多芬。"
"Poor old Beethoven!","可怜的老贝！"
"So out of date—one did RATHER enjoy him!","早就过时了——人们从前确实很欣赏他！"
"The corridor, and refectory beyond, were swarming with the restoration movement.","走廊和那一边的休息室都挤满了参与复兴运动的人。"
"Young men and women with faces and heads of lively and distorted character, were exchanging the word ‘interesting.’","青年们看起来活泼而又偏执，他们彼此交流，互道“有趣”。"
"Men of more massive type, resembling sedentary matadors, blocked all circulation.","体态魁梧的男子们，像岿然不动的斗牛士，把过道都堵住了。"
"Fleur and Michael passed a little way along, stood against the wall, and lighted cigarettes.","弗勒和迈克尔向前走了几步就靠墙站住了，点燃了香烟。"
"Fleur smoked hers delicately—a very little one in a tiny amber holder.","弗勒的香烟包在琥珀烟嘴里，显得格外小巧玲珑，她优雅地吸着烟。"
"She had the air of admiring blue smoke rather than of making it; there were spheres to consider beyond this sort of crowd—one never knew who might be about!—the sphere, for instance, in which Alison Charwell moved, politico-literary, catholic in taste, but, as Michael always put it, “Convinced, like a sanitary system, that it’s the only sphere in the world; look at the way they all write books of reminiscence about each other!”","与其说她在吸烟，倒不如说她在欣赏吐出的缕缕青烟；除了这些听众外，她还要考虑其他社会领域的人——具体那个领域里会涉及什么样的人物谁也不清楚！比如，艾莉森·查韦尔的活动领域：层次广泛的政治文学。但是，正如迈克尔常说的：“类似于一种卫生制度，相信自己是世界上仅有的社会领域；可以看看他们在回忆录里是怎么写彼此的！”"
"They might, she always felt, disapprove of women smoking in public halls.","她始终感觉他们似乎不赞成妇女在公共场合吸烟。"
"Consorting delicately with iconoclasm, Fleur never forgot that her feet were in two worlds at least.","弗勒巧妙地同反对传统的人交往，从不忘记她至少同时属于两个世界。"
"Standing there, observant of all to left and right, she noted against the wall one whose face was screened by his programme.","站在那里，她观察着周围的一切，突然看到一个人靠墙站着，用节目单挡着脸。"
"‘Wilfrid,’ she thought, ‘and doesn’t mean to see me!’","她心想：“是威尔弗里德，他还故意装作没看见我！”"
"Mortified, as a child from whom a sixpence is filched, she said:","她像一个被偷走了六便士的小孩一样，感觉十分受辱。她说道："
"“There’s Wilfrid!","“那是威尔弗里德！"
"Fetch him, Michael!”","迈克尔，请他过来！”"
"Michael crossed, and touched his best man’s sleeve; Desert’s face emerged, frowning.","迈克尔走过去，碰碰他的男傧相的袖子。德赛特的脸露了出来，愁容满面。"
"She saw him shrug his shoulders, turn and walk into the throng.","她看见他耸耸肩膀，转身走入人群中去了。"
"Michael came back.","迈克尔回来了。"
"“Wilfrid’s got the hump to-night; says he’s not fit for human society—queer old son!”","“威尔弗里德今晚闷闷不乐，说自己不适合人类社会了，真是个古怪的家伙！”"
"How obtuse men were!","男人多迟钝啊！"
"Because Wilfrid was his pal, Michael did not see; and that was lucky!","因为威尔弗里德是迈克尔的朋友，迈克尔就看不出来，这倒也算幸运！"
"So Wilfrid really meant to avoid her!","这样看来，威尔弗里德真的打算避开她了！"
"Well, she would see!","好吧，她倒要瞧瞧！"
"And she said:","于是她说："
"“I’m tired, Michael; let’s go home.”","“迈克尔，我累了，咱们回家吧。”"
"His hand slid round her arm.","他轻轻挽住她的胳膊。"
"“Sorry, old thing; come along!”","“对不起，宝贝，走吧！”"
"They stood a moment in a neglected doorway, watching Woomans, the conductor, launched towards his orchestra.","他们在一个无人注意的门口站了一会儿，望着乐队指挥伍曼士朝他的管弦乐队走去。"
"“Look at him,” said Michael; “guy hung out of an Italian window, legs and arms all stuffed and flying!","“你看他，”迈克尔说，“多像挂在意式小窗上，腿和胳膊把衣服撑得满当当的，还在那儿手舞足蹈着！"
"And look at the Frapka and her piano—that’s a turbulent union!”","再看看这位弗莱帕凯和她弹的钢琴曲——真是一团糟！”"
"There was a strange sound.","突然传来一阵奇怪的声音。"
"“Melody, by George!” said Michael.","“天啊，这旋律真好听！”迈克尔说道。"
"An attendant muttered in their ears: “Now, sir, I’m going to shut the door.”","一位服务生在他们耳边低声说：“先生，我要关门了。”"
"Fleur had a fleeting view of L.S.D. sitting upright as his hair, with closed eyes.","弗勒快速瞥了一眼L. S. D.，他坐得和他头发一样笔直，闭着眼睛。"
"The door was shut—they were outside in the hall.","门关上了，他们站在了外面的大厅里。"
"“Wait here, darling; I’ll nick a rickshaw.”","“亲爱的，在这等会儿，我去叫辆人力车。”"
"Fleur huddled her chin in her fur.","弗勒将下巴缩进毛皮领子里。"
"It was easterly and cold.","天刮着东风，很冷。"
"A voice behind her said:","有个声音在她背后说道："
"“Well, Fleur, am I going East?”","“喂，弗勒，我该去东方吗？”"
"Wilfrid!","威尔弗里德！"
"His collar up to his ears, a cigarette between his lips, hands in pockets, eyes devouring.","他的衣领竖到耳根，嘴里还叼着烟，双手插兜，眼睛直勾勾地盯着她。"
"“You’re very silly, Wilfrid!”","“你真傻，威尔弗里德！”"
"“Anything you like; am I going East?”","“随你怎么想，我该去东方吗?”"
"“No; Sunday morning—eleven o’clock at the Tate.","“别去，星期天上午11点，泰特美术馆见。"
"We’ll talk it out.”","咱俩好好谈谈。”"
"“Convenu!”","“同意！”"
"And he was gone.","说完他就走了。"
"Alone suddenly, like that, Fleur felt the first shock of reality.","突然就这样孤独地一个人呆在那里，弗勒第一次被现实震撼了。"
"Was Wilfrid truly going to be unmanageable?","难道威尔弗里德真的要变得难以掌控了吗？"
"A taxicab ground up; Michael beckoned; Fleur stepped in.","一辆出租车停了下来，迈克尔招呼她，弗勒跨了进去。"
"Passing a passionately lighted oasis of young ladies displaying to the interested Londoner the acme of Parisian undress, she felt Michael incline towards her.","他们经过一片灯红酒绿之地，一群年轻女子正向饶有兴致的伦敦人展示巴黎裸体艺术的最高成就，这时，她感觉迈克尔正朝她凑过来。"
"If she were going to keep Wilfrid, she must be nice to Michael.","如果想留住威尔弗里德，她就必须对迈克尔亲热些。"
"Only:","她只说："
"“You needn’t kiss me in Piccadilly Circus, Michael!”","“迈克尔，你没必要在皮卡迪利广场吻我！”"
"“Sorry, duckie!","“对不起，宝贝！"
"It’s a little previous—I meant to get you opposite the Partheneum.”","我看时间还早，想带你到对面先贤祠去。”"
"Fleur remembered how he had slept on a Spanish sofa for the first fortnight of their honeymoon; how he always insisted that she must not spend anything on him, but must always let him give her what he liked, though she had three thousand a year and he twelve hundred; how jumpy he was when she had a cold—and how he always came home to tea.","弗勒回想起，在他们度蜜月的头两个星期里，他一直睡在西班牙式的沙发上；他一直坚持不让她给他花钱，却总是送她他想送给她的东西，尽管她一年收入3 000镑，而他只有1200镑；在她感冒时，他又是多么担心——而且他总是会回家喝下午茶。"
"Yes, he was a dear!","的确，他真的很可爱！"
"But would she break her heart if he went East or West tomorrow?","但是，如果明天他打算去东方或者西方的话，她也会伤心吗？"
"Snuggled against him, she was surprised at her own cynicism.","她依偎在他怀里，不禁为自己的玩世不恭而惊讶。"
"A telephone message written out, in the hall, ran: “Please tell Mrs. Mont I’ve got Mr. Gurding Minner.","门厅里有一条电话留言，写着：“请转告蒙特太太，我已邀请到格亭·明纳先生。"
"Lady Alisson.”","艾莉森夫人。”"
"It was restful.","这让人感觉踏实了。"
"A real antique!","一件真正的古董！"
"She turned on the lights in her room, and stood for a moment admiring it.","她打开房间里的灯，站了一会儿，欣赏着屋子。"
"Truly pretty!","真美啊！"
"A slight snuffle from the corner—Ting-a-ling, tan on a black cushion, lay like a Chinese lion in miniature; pure, remote, fresh from evening communion with the Square railings.","房间的角落里传来一阵轻微的鼻息声——是小叮铃，在黑色垫子上的棕褐色的小家伙，像只小巧的中国狮子躺在那里一样；它纯净、淡漠，刚和广场围栏夜会了一场。"
"“I see you,” said Fleur.","“我看到你了。”弗勒说。"
"Ting-a-ling did not stir; his round black eyes watched his mistress undress.","小叮铃一动不动，用浑圆的黑眼睛望着女主人脱衣服。"
"When she returned from the bathroom he was curled into a ball.","当她从浴室出来，它已蜷缩成一团。"
"Fleur thought: ‘Queer!","弗勒心想：“奇怪！"
"How does he know Michael won’t be coming?’","它怎么知道迈克尔不会来？”"
"And slipping into her well warmed bed, she too curled herself up and slept.","于是它钻进了弗勒那张舒适而温暖的床里，她也蜷起身子睡了。"
"But in the night, contrary to her custom, she awoke.","但是，到了深夜，她反常地醒了。"
"A cry—long, weird, trailing, from somewhere—the river—the slums at the back—rousing memory—poignant, aching—of her honeymoon—Granada, its roofs below, jet, ivory, gold; the watchman’s cry, the lines in Jon’s letter:","叫喊声——悠长、怪异、拖曳，不知来自何处——可能来自后面河对岸的贫民窟——唤起了她在格拉纳达度蜜月时伤心刺骨的记忆——格拉纳达的屋顶下，泛起黑玉色、象牙白和金黄色；更夫的叫喊声，让她想起了乔恩信中的那些诗句："
"“Voice in the night crying, down in the old sleeping Spanish City darkened under her white stars.","“深夜里回荡着哭泣声，从古老的沉睡的西班牙城市下传来，在她银白色的星空下黯淡。"
"What says the voice—its clear, lingering anguish?","这声音在诉说什么——是它切肤的挥之不去的痛苦吗？"
"Just the watchman, telling his dateless tale of safety?","还是巡夜人报着他那无休止的平安？"
"Just a road-man, flinging to the moon his song?","抑或是筑路人对着明月诉说自己的心声？"
"No!","不！"
"‘Tis one deprived, whose lover’s heart is weeping,","这是一位被剥夺权利的人，他恋人的心正在哭泣。"
"Just his cry: ‘How long?’”","他在叫喊：‘还要多久？’”"
"A cry, or had she dreamed it?","是有人在叫喊，还是她在做梦？"
"Jon, Wilfrid, Michael!","乔恩、威尔弗里德、迈克尔！"
"No use to have a heart!","她的心已疲惫不堪！"

"Chapter IV","第四章"
"Dining","晚宴"
"Lady Alison Charwell, born Heathfield, daughter of the first Earl of Campden, and wife to Lionel Charwell, K.C., Michael’s somewhat young uncle, was a delightful Englishwoman brought up in a set accepted as the soul of society.","艾莉森·查韦尔夫人出嫁前姓希思菲尔德，是第一代坎普登伯爵之女，是迈克尔的小叔叔、王室法律顾问莱昂内尔·查韦尔之妻。她是个讨人喜欢的英国女士，从小接受的是公认的社会主流思想教育。"
"Full of brains, energy, taste, money, and tinctured in its politico-legal ancestry by blue blood, this set was linked to, but apart from ‘Snooks’ and the duller haunts of birth and privilege.","有这样一群人，他们有智慧、有活力、有品位、有财富，出身贵族并且具有政治法律的家世背景，同“轻蔑”俱乐部有联系却又不是其中的成员，也不去特权阶级常去的沉闷场所。"
"It was gay, charming, free-and-easy, and, according to Michael, “Snobbish, old thing, aesthetically and intellectually, but they’ll never see it.","他们快乐、有趣、自由自在，但是据迈克尔所说：“亲爱的，他们在审美和智力上都是自命不凡的，他们自己却永远意识不到。"
"They think they’re the top notch—quick, healthy, up-to-date, well-bred, intelligent; they simply can’t imagine their equals.","他们自以为是上等人——机敏、健康、时尚、有教养、聪明，根本无法想象谁能比得上他们。"
"But you see their imagination is deficient.","可是，他们缺乏想象力。"
"Their really creative energy would go into a pint pot.","他们把真正的创造力用在钻牛角尖上。"
"Look at their books—they’re always ON something—philosophy, spiritualism, poetry, fishing, themselves; why, even their sonnets dry up before they’re twenty-five.","看看他们写的书——他们总在高谈阔论——哲学、唯心论、诗歌、垂钓以及他们自己，这就是为什么他们不到25岁就再也写不出什么了。"
"They know everything—except mankind outside their own set.","他们事事精通，就是不懂自己圈子之外的世界。"
"Oh! they work—they run the show—they have to; there’s no one else with their brains, and energy, and taste.","哦！他们工作——他们筹划演出——他们不得不这样做，因为没人会比他们更有头脑、精力和情趣了。"
"But they run it round and round in their own blooming circle.","于是，他们在自己盛大的圈子里没完没了地办演出。"
"It’s the world to them—and it might be worse.","对他们而言，这就是世界——而且这个世界以后也许会更不遂人意。"
"They’ve patented their own golden age; but it’s a trifle flyblown since the war.”","他们已经给他们专属的黄金时代申请了专利。不过，自从大战以来，这种专利已经名声败坏了。”"
"Alison Charwell—in and of this world, so spryly soulful, debonnaire, free, and cosy—lived within a stone’s throw of Fleur, in a house pleasant, architecturally, as any in London.","艾莉森·查韦尔就是这个圈子的一员，她活泼热情、爽朗大方、平易近人。她和弗勒住得很近，她家的建筑风格十分宜人，可以同伦敦任何住宅相媲美。"
"Forty years old, she had three children and considerable beauty, wearing a little fine from mental and bodily activity.","她今年40岁，生过三个孩子，风韵犹存，自内而外的充沛活力让她显得格外年轻。"
"Something of an enthusiast, she was fond of Michael, in spite of his strange criticisms, so that his matrimonial venture had piqued her from the start.","尽管迈克尔好作奇谈怪论，她却很欣赏和喜欢他，因此，从一开始，她就对他在婚姻上的冒险十分好奇。"
"Fleur was dainty, had quick natural intelligence—this new niece was worth cultivation.","弗勒天生丽质，又生性机敏，所以，她认为这个新侄媳妇值得栽培。"
"But, though adaptable and assimilative, Fleur had remained curiously unassimilated; she continued to whet the curiosity of Lady Alison, accustomed to the close borough of choice spirits, and finding a certain poignancy in contact with the New Age on Fleur’s copper floor.","可是，虽然弗勒是个“可塑之才”，却很奇怪地一直未被同化，这更加激发了艾莉森夫人的好奇心。夫人习惯了上等人的小圈子，在弗勒家的红棕色地板上，和“新时代”接触，她感觉很不舒服。"
"She met with an irreverence there, which, not taken too seriously, flipped her mind.","在那里，她被怠慢了，虽然她不太看重这些，但这却扰乱了她的思绪。"
"On that floor she almost felt a back number.","站在那块地板上，她几乎觉得自己很落伍。"
"It was stimulating.","这一切对她来说是一种刺激。"
"Receiving Fleur’s telephonic enquiry about Gurdon Minho, she had rung up the novelist.","那天，她一接完弗勒打听格登·明霍的电话，便立刻给这位小说家打电话。"
"She knew him, if not well.","她虽然认识他，却不太相熟。"
"Nobody seemed to know him well; amiable, polite, silent, rather dull and austere; but with a disconcerting smile, sometimes ironical, sometimes friendly.","似乎谁和他都不太熟，他和蔼可亲、彬彬有礼，却沉默寡言，颇有些沉闷和严肃；最令人不舒服的是他的笑容，有时讥笑嘲讽，有时却又和善亲切。"
"His books were now caustic, now sentimental.","他的作品时而尖酸刻薄，时而多愁善感。"
"On both counts it was rather the fashion to run him down, though he still seemed to exist.","就这两种风格，当时颇有一种把他批评得一文不值的趋势，然而他仍旧在文坛占有一席之地。"
"She rang him up.","她给他打电话。"
"Would he come to a dinner tomorrow at her young nephew, Michael Mont’s, and meet the younger generation?","她问他明天能否赏光到她年轻的侄子迈克尔·蒙特家吃饭，和年轻人交流一下。"
"His answer came, rather high-pitched:","他说当然可以，嗓门还挺高："
"“Rather!","“当然好啦！"
"Full fig, or dinner jacket?”","穿正式礼服，还是一般晚礼服？”"
"“How awfully nice of you! they’ll be ever so pleased.","“您真是太好了！知道您能出席晚宴，他们一定非常高兴。"
"Full fig, I believe.","我想，穿正式礼服吧。"
"It’s the second anniversary of their wedding.”","这也是他们结婚两周年纪念日。”"
"She hung up the receiver with the thought: ‘He must be writing a book about them!’","她挂上电话时还在想：“他一定会以他们为原型写本书的！”"
"Conscious of responsibility, she arrived early.","出于责任感，她很早就到了。"
"It was a grand night at her husband’s Inn, so that she brought nothing with her but the feeling of adventure, pleasant after a day spent in fluttering over the decision at ‘Snooks’.","今晚，她丈夫的法律协会有场大应酬，因此她只身前来参加弗勒的晚宴，只想着过来凑凑热闹。在为“轻蔑”的决议忙碌了一整天后，她此时感到轻松愉快。"
"She was received only by Ting-a-ling, who had his back to the fire, and took no notice beyond a stare.","只有小叮铃接待了她。它背对着壁炉，只朝她瞪了一眼，就没再理会她。"
