"书名《信使》（巴尔扎克短篇小说）短简介《信使》这篇小小的作品，构思极为简单，但却成功地运用了白描手法，寥寥数笔就勾画出一对不相称的夫妻、一桩不如意的婚姻、一个品貌出众的女人难以明言的内心苦闷，以及她失去感情寄托后深沉的悲哀。长简介法国作家巴尔扎克对现实主义文学最大的贡献在于他对典型人物形象和社会风俗的细致刻画。其文章中对于人物性格在社会环境的描写无一不体现这种变化和发展。其短篇小说《信使》借一位报信人的口吻，讲述了一对伯爵夫妇貌合神离的婚姻悲剧。对于女主人公痛失所爱、之后的孤寂和憔悴的描写体现了作者的洞察力和刻画人物的功力。巴尔扎克作品中对于人物的塑造和描写都对以后的现实主义文学产生了深远的影响。关键字信使；巴尔扎克；外研社编译组；情人；伯爵；女儿；伯爵夫人；信使作者（法）巴尔扎克作者简介巴尔扎克（1799年5月20日—1850年8月18日），法国19世纪著名作家，法国现实主义文学成就最高者之一。他创作的《人间喜剧》共91部小说，写了两千四百多个人物，是人类文学史上罕见的文学丰碑，被称为法国社会的“百科全书”。"
"书评“要是我把扔到我身上的石头全都收集起来，足可建造一座最大的文学家纪念碑。……我获取别人的东西不是偷窃，而是征服，是合并。”——巴尔扎克是不是你还记得我，我的爱人？在我生命枯萎时，你会用眼泪浇灌我们的爱情？你会用憔悴祭奠我的灵魂？你会在心底的那个角落为我唱一首心灵的挽歌？"
"The Message","信使"
"In that look of hers there was the pardonable curiosity of the mistress of the house confronted with a guest dropped down upon her from the skies and innumerable doubts, certainly warranted by the state of my clothes, by my youth and my expression, all singularly at variance; there was all the disdain of the adored mistress, in whose eyes all men save one are as nothing; there were involuntary tremors and alarms; and, above all, the thought that it was tiresome to have an unexpected guest just now, when, no doubt, she had been scheming to enjoy full solitude for her love.","她的目光里含着好奇——一位主妇看到家里从天而降似地来了一个不速之客，当然可以这样好奇地看他；她的眼光里含着疑问——确实，我的穿着打扮、年龄和相貌形成那么奇特的对照，无怪她有疑问！她的目光带着傲慢——被人狂热地爱着的女人往往如此，因为在她们眼里，世上的男人除却一个，其他的都不值一顾；她的目光里还含着不由自主的恐惧、害怕以及厌烦，因为她曾计划着享受与情人单独在一起的幸福，现在却要接待一个不期而至的客人。"
"This mute eloquence I understood in her eyes, and all the pity and compassion in me made answer in a sad smile.","我懂得她目光中无声的语言，于是回报了一个充满怜悯和同情的悲伤的微笑。"
"I thought of her, as I had seen her for one moment, in the pride of her beauty; standing in the sunny afternoon in the narrow alley with the flowers on either hand; and as that fair wonderful picture rose before my eyes, I could not repress a sigh.","这时，我想到，在这晴朗的日子里，她站在两旁开满鲜花的小径中间，那美丽的容貌真是光彩照人。看着眼前这位令人赞叹的如画美人，我禁不住叹了口气。"
"“Alas, madame, I have just made a very arduous journey—, undertaken solely on your account.”","“唉！夫人，我刚刚经历了一次很艰难的旅行，是为——您一个人而来的。”"
"“Sir!”","“先生！”"
"“Oh! it is on behalf of one who calls you Juliette that I am come,” I continued.","“哦！”我接着说，“我是代表一个把您称为朱丽叶的人来的。”"
"Her face grew white.","她的脸变得苍白。"
"“You will not see him to-day.”","“您今天见不到他了。”"
"“Is he ill?” she asked, and her voice sank lower.","“他病了？”她问道，声音立刻低了下去。"
"“Yes.","“是的，"
"But for pity’s sake, control yourself....","“但是，令人遗憾的是，我求您克制住自己的感情…… "
"He intrusted me with secrets that concern you, and you may be sure that never messenger could be more discreet nor more devoted than I.”","他托我交给您一些与您有关的秘密物件。请相信，不会有比我更能守口如瓶、忠人之事的信使了。”"
"“What is the matter with him?”","“他出什么事了？”"
"“How if he loved you no longer?”","“如果他不再爱您了呢？”"
"“Oh! that is impossible!” she cried, and a faint smile, nothing less than frank, broke over her face.","“啊！那是不可能的！”她叫道，同时不由地露出一丝坦率的微笑。"
"Then all at once a kind of shudder ran through her, and she reddened, and she gave me a wild, swift glance as she asked: ","接着，她似乎突然哆嗦了一下，满脸通红，并用惊恐的目光急速看了我一眼，问我："
"“Is he alive?”","“他还活着吗？”"
"Great God!","上帝啊！"
"What a terrible phrase!","多么可怕的字眼！"
"I was too young to bear that tone in her voice; I made no reply, only looked at the unhappy woman in helpless bewilderment.","我年纪太轻，忍受不了那种声调，一时答不上话来，只是呆呆地看着这个无助而不幸的女人。"
"“Monsieur, monsieur, give me an answer!” she cried.","“先生！先生，回答我呀！”她喊道。"
"“Yes, madame.”","“他活着，夫人。”"
"“Is it true?","“这是真的？"
"Oh! tell me the truth; I can hear the truth.","啊！把真实情况告诉我，我能接受现实。"
"Tell me the truth!","告诉我吧！"
"Any pain would be less keen than this suspense.”","无论什么痛苦，也没有不知他是死是活更叫我难受！”"
"I answered by two tears wrung from me by that strange tone of hers.","我的回答就是眼里忍不住滚出两颗泪珠，因为她说这些话时的语调太奇特了。"
"She leaned against a tree with a faint, sharp cry.","她把身体靠到一棵树上，同时发出一声尖利而微弱的叫喊。"
"“Madame, here comes your husband!”","“夫人，您丈夫来了！”"
"“Have I a husband?” and with those words she fled away out of sight.","“我有个丈夫吗？”说着，她飞快地跑开，不见了。"
"“Well,” cried the Count, “dinner is growing cold.","“好了，”伯爵喊道，“晚饭都快凉了。"
"—Come, monsieur.”","——来吧，先生。”"
"Thereupon I followed the master of the house into the dining-room.","我只得跟着主人走去，他把我领到餐厅。"
"Dinner was served with all the luxury which we have learned to expect in Paris.","晚饭已经摆好，那些丰盛精美的菜肴只有在巴黎才能见到。"
"There were five covers laid, three for the Count and Countess and their little daughter; my own, which should have been HIS; and another for the canon of Saint-Denis, who said grace, and then asked: ","桌上摆着五副餐具，有伯爵一家三口的，还有我的——本应该是他的，最后一副是为圣德尼的一位司铎预备的。司铎做过餐前祷告，后问道："
"“Why, where can our dear Countess be?”","“怎么不见伯爵夫人呢？”"
"“Oh! she will be here directly,” said the Count.","“啊！她马上就会来的。”伯爵回答。"
"He had hastily helped us to the soup, and was dispatching an ample plateful with portentous speed.","他殷勤地先给我们舀了汤，然后给自己舀了满满一盆，并且以惊人的速度吃光了。"
"“Oh! nephew,” exclaimed the canon, “if your wife were here, you would behave more rationally.”","“啊！侄儿，”司铎大声说，“要是你夫人在这儿，你就会理智些了。”"
"“Papa will make himself ill!” said the child with a mischievous look.","“爸爸这么个吃法，会生病的！”小女孩带着狡黠的神情说。"
"Just after this extraordinary gastronomical episode, as the Count was eagerly helping himself to a slice of venison, a housemaid came in with, “We cannot find madame anywhere, sir!”","这段有关饮食学的奇怪的小插曲发生后不久，正当伯爵急切地切一块野味肉时，一个女仆跑来禀告：“先生，我们到处都找不到太太！”"
"I sprang up at the words with a dread in my mind, my fears written so plainly in my face, that the old canon came out after me into the garden.","一听此话，我猛然站起身来，心里害怕发生什么不幸的事，我的脸上一定明显地流露了这种担忧，使得老司铎也跟着我往花园里跑去。"
"The Count, for the sake of appearances, came as far as the threshold.","那位丈夫为了面子原因，一直走到餐厅门口。"
"“Don’t go, don’t go!” called he.","“别走，别走！”他对我们喊道，"
"“Don’t trouble yourselves in the least,” but he did not offer to accompany us.","“你们用不着担心。”可是他没有和我们一道去。"
"We three—the canon, the housemaid, and I—hurried through the garden walks and over the bowling-green in the park, shouting, listening for an answer, growing more uneasy every moment.","司铎、女仆和我——我们三个人一起找遍了大花园的小径、草坪，呼唤着，侧耳细听着，越来越担忧焦虑。"
"As we hurried along, I told the story of the fatal accident, and discovered how strongly the maid was attached to her mistress, for she took my secret dread far more seriously than the canon.","我一面跑，一面叙述这件不幸的事故。我发现女仆和她的女主人极其亲近，因为她比司铎更明白我恐惧的个中原因。"
"We went along by the pools of water; all over the park we went; but we neither found the Countess nor any sign that she had passed that way.","我们看了花园中的水池和所有的地方，但到处也找不到伯爵夫人，也没看见她走过留下的任何痕迹。"
"At last we turned back, and under the walls of some outbuildings I heard a smothered, wailing cry, so stifled that it was scarcely audible.","最后，在沿着一堵墙往回走时，我听到了低沉的、被深深捂住的、唯恐叫人听到的痛哭声。"
"The sound seemed to come from a place that might have been a granary.","声音是从一个曾经用作谷仓的地方传出来的。"
"I went in at all risks, and there we found Juliette.","我抱着碰运气的心态走进去，果然在那里发现了朱丽叶。"
"With the instinct of despair, she had buried herself deep in the hay, hiding her face in it to deaden those dreadful cries—pudency even stronger than grief.","她本能地把自己深深地埋在一堆干草中。她把脸藏在草里，不让人听到她凄惨的哭声——比起悲痛，更多的是出于害羞。"
"She was sobbing and crying like a child, but there was a more poignant, more piteous sound in the sobs.","她像孩子一样地抽噎、啜泣，但是更悲哀，更感人肺腑。"
"There was nothing left in the world for her.","对她来说，世界上什么东西都不存在了。"
"The maid pulled the hay from her, her mistress submitting with the supine listlessness of a dying animal.","女仆把她从干草里扶起来。她像个垂死的动物，身子软瘫、任人摆布。"
"The maid could find nothing to say but “There! madame; there, there—” ","女仆不知该说什么，只能说：“好了，太太，好了——”"
"“What is the matter with her?","“她怎么了？"
"What is it, niece?” the old canon kept on exclaiming.","你怎么了，孩子？”老司铎还在不断地问。"
"At last, with the girl’s help, I carried Juliette to her room, gave orders that she was not to be disturbed, and that every one must be told that the Countess was suffering from a sick headache.","最后，女仆帮着我把朱丽叶抬到卧室里，我再三关照她要看好夫人，对别人只说夫人犯了严重的偏头痛。"
"Then we came down to the dining-room, the canon and I.","然后，我和司铎下楼回到餐厅。"
"Some little time had passed since we left the dinner-table; I had scarcely given a thought to the Count since we left him under the peristyle; his indifference had surprised me, but my amazement increased when we came back and found him seated philosophically at table.","我们离开伯爵已有好一会儿了，走到列柱廊下我才又想起他，他的无动于衷委实令我吃惊。等到看见他冷静地坐在那里用餐，我就更惊讶了。"
"He had eaten pretty nearly all the dinner, to the huge delight of his little daughter; the child was smiling at her father’s flagrant infraction of the Countess’ rules.","他差不多把晚餐全都吃光了，这使他女儿快活不已，因为她觉得亲眼看到爸爸违背妈妈的命令是很有趣的事。"
"The man’s odd indifference was explained to me by a mild altercation which at once arose with the canon.","我从司铎和伯爵之间突然发生的一场小小的口角中，才弄明白为什么这位丈夫对刚才周围发生的事那么不关心。"
"The Count was suffering from some serious complaint.","原来，伯爵患有一种相当严重的疾病。"
"I cannot remember now what it was, but his medical advisers had put him on a very severe regimen, and the ferocious hunger familiar to convalescents, sheer animal appetite, had overpowered all human sensibilities.","病的名称我已记不起来。为了治好这种病，医生规定他严格地节制饮食，所以伯爵一直受着这种饮食制度的约束。现在，他正被康复期病人常有的贪食欲支配着，在他身上，动物的贪欲战胜了人类应有的一切感情。"
"In that little space I had seen frank and undisguised human nature under two very different aspects, in such a sort that there was a certain grotesque element in the very midst of a most terrible tragedy.","在这短短的时间里，我看到了人性截然不同的两个方面的赤裸裸的表现，它们给这可怕的痛苦事件涂上了一抹喜剧色彩。"
"The evening that followed was dreary.","整个夜晚是凄凉的。"
"I was tired.","我很疲倦。"
"The canon racked his brains to discover a reason for his niece’s tears.","司铎绞尽脑汁在猜测侄媳哭泣的原因。"
"The lady’s husband silently digested his dinner; content, apparently, with the Countess’ rather vague explanation, sent through the maid, putting forward some feminine ailment as her excuse.","伯爵在静静地消化他的晚餐。刚才他妻子差贴身女仆向他含糊其辞地解释了自己不舒服的原因，我记得好像推说是妇女生理上的不适，伯爵也就没有再问下去。"
"We all went early to bed.","我们大家都早早就寝。"
"As I passed the door of the Countess’ room on the way to my night’s lodging, I asked the servant timidly for news of her.","一名男仆领我去我的住处。从伯爵夫人的房门前经过时，我怯生生地探问她的情况。"
"She heard my voice, and would have me come in, and tried to talk, but in vain—she could not utter a sound.","伯爵夫人听出我的声音，叫我进去，说是想跟我谈谈——可是她一句话也说不出。"
"She bent her head, and I withdrew.","她低下了头，于是我又退出来。"
"In spite of the painful agitation, which I had felt to the full as youth can feel, I fell asleep, tired out with my forced march.","尽管我以年轻人的真诚分担着女主人精神上所受的残酷刺激，但是在强行军似地走了那么多路以后，我疲惫至极，很快就睡着了。"
"It was late in the night when I was awakened by the grating sound of curtain rings drawn sharply over the metal rods.","深夜，有人用力拉开我的帐幔，幔环在金属杆上发出的刺耳声响把我惊醒了。"
"There sat the Countess at the foot of my bed.","我看见伯爵夫人坐在床脚。"
"The light from a lamp set on my table fell full upon her face.","桌上一盏灯射出的光照在她脸上。"
"“Is it really true, monsieur, quite true?” she asked.","“这是千真万确的吗，先生？”她问道，"
"“I do not know how I can live after that awful blow which struck me down a little while since; but just now I feel calm.","“我不知道在受了这样可怕的打击以后，还怎么能活下去。不过，我此刻的心情是平静的。"
"I want to know everything.”","我要知道全部经过。”"
"“What calm!”","“多么平静啊！”"
"I said to myself as I saw the ghastly pallor of her face contrasting with her brown hair, and heard the guttural tones of her voice.","在我看见她那惨白的脸色和她棕色头发的鲜明对比时，在我听着她说话时在喉头滚动的嗓音时，我心中暗自想到。"
"The havoc wrought in her drawn features filled me with dumb amazement.","她面容上呈现出来的心灵的重创让我心中充满了难以言表的惊奇。"
"Those few hours had bleached her; she had lost a woman’s last glow of autumn color.","仅仅这几个小时，她就已经憔悴无比，像一片入冬的树叶，失去了秋天的色彩。"
"Her eyes were red and swollen, nothing of their beauty remained, nothing looked out of them save her bitter and exceeding grief; it was as if a gray cloud covered the place through which the sun had shone.","她的眼睛又红又肿，完全没有了原来的美丽，只反映出她内心深沉的悲怆，仿佛过去阳光熠熠的地方现在笼罩了一片乌云。"
"I gave her the story of the accident in a few words, without laying too much stress on some too harrowing details.","我用寥寥数语把那个事故讲述了一遍，并没有过分赘述那些让她太痛苦的情节。"
"I told her about our first day’s journey, and how it had been filled with recollections of her and of love.","我向她叙述了我们第一天的旅程，那一天充满了对他们俩爱情的回忆。"
"And she listened eagerly, without shedding a tear, leaning her face towards me, as some zealous doctor might lean to watch any change in a patient’s face.","她急切地听着，一滴泪水也没有流，头向前倾，像是一位热心的医生在探寻病症所在。"
"When she seemed to me to have opened her whole heart to pain, to be deliberately plunging herself into misery with the first delirious frenzy of despair, I caught at my opportunity, and told her of the fears that troubled the poor dying man, told her how and why it was that he had given me this fatal message.","有一个时刻，我觉得她已把心扉整个打开，准备承受所有的痛苦，全然投入到悲痛欲绝的状态之中。于是我抓住这个时机，向她讲述了那可怜的人临终的担忧，以及他为什么和怎样派我传送这不幸的消息。"
"Then her tears were dried by the fires that burned in the dark depths within her.","这时，她的泪水被灵魂最深处喷涌出来的火苗烧干了。"
"She grew even paler.","她的脸色变得更加苍白。"
"When I drew the letters from beneath my pillow and held them out to her, she took them mechanically; then, trembling from head to foot, she said in a hollow voice: ","我拿出藏在枕头下面的信交给她，她机械地接了过去。随后，她全身猛地哆嗦一下，用低沉的声音说："
"“And I burned all his letters!—I have nothing of him left!—Nothing! nothing!”","“我把他给我的信都烧了！我没留下他的任何东西！什么也没有！什么也没有！”"
"She struck her hand against her forehead.","她用手敲打着自己的前额。"
"“Madame—” I began.","“夫人——”我说。"
"She glanced at me in the convulsion of grief.","她嘴角抽搐，悲伤地瞥了我一眼。"
"“I cut this from his head, this lock of his hair.”","“我从他头上剪下这个，他的一缕头发。”"
"And I gave her that last imperishable token that had been a very part of him she loved.","于是，我把她心上人最后的、也是永远不会腐烂的一小部分纪念品给了她。"
"Ah! if you had felt, as I felt then, her burning tears falling on your hands, you would know what gratitude is, when it follows so closely upon the benefit.","啊！如果你的双手也能感觉到她那滚烫的眼泪——就像我那时感觉到的一样，你们也会理解什么叫感激，它有时和恩惠是很接近的。"
"Her eyes shone with a feverish glitter, a faint ray of happiness gleamed out of her terrible suffering, as she grasped my hands in hers, and said, in a choking voice:","伯爵夫人握住我的手，眼睛因激动而发亮，透过极度的痛苦，闪着一星微弱的幸福之光。她用压低的声音说："
"“Ah! you love!","“啊！您的爱情！"
"May you be happy always.","祝愿您永远幸福！"
"May you never lose her whom you love.”","祝您永远别失掉您心爱的人！”"
"She broke off, and fled away with her treasure.","她突然住口，拿着她的宝贝飞快地跑了。"
"Next morning, this night-scene among my dreams seemed like a dream; to make sure of the piteous truth, I was obliged to look fruitlessly under my pillow for the packet of letters.","第二天，这夜间的一幕和我的梦境混在一起，给我一种虚幻的感觉。只是当我在枕头下面寻找那叠信却找不到时，我才确信，那是痛苦的现实。"
"There is no need to tell you how the next day went.","没有必要再描述第二天是如何度过的了。"
"I spent several hours of it with the Juliette whom my poor comrade had so praised to me.","我陪着朱丽叶——我的旅伴曾大加赞赏的那个朱丽叶，又度过了几个钟点。"
"In her lightest words, her gestures, in all that she did and said, I saw proofs of the nobleness of soul, the delicacy of feeling which made her what she was, one of those beloved, loving, and self-sacrificing natures so rarely found upon this earth.","的确，她的任何言谈、举止、行为都说明她心地高尚、感情细腻，是世上为数不多的痴情而忠心的女人之一。"
"In the evening the Comte de Montpersan came himself as far as Moulins with me.","到了晚上，蒙佩尔桑伯爵亲自把我送到穆兰。"
"There he spoke with a kind of embarrassment: ","到了那里，他有点儿尴尬地对我说："
"“Monsieur, if it is not abusing your good-nature, and acting very inconsiderately towards a stranger to whom we are already under obligations, would you have the goodness, as you are going to Paris, to remit a sum of money to M. de—(I forget the name), in the Rue du Sentier; I owe him an amount, and he asked me to send it as soon as possible.”","“先生，我们已经欠您的情了。如果您不认为这是滥用您的好意，或是对一个陌生人冒昧行事，那么，请您将这笔钱带到巴黎——反正您要去那儿——交给桑蒂耶路的某先生（我已忘了他的名字），好吗？这笔钱是我欠他的，他让我赶快还他。”"
"“Willingly,” said I.","“当然可以。”我说。"
"And in the innocence of my heart, I took charge of a rouleau of twenty-five louis d’or, which paid the expenses of my journey back to Paris; and only when, on my arrival, I went to the address indicated to repay the amount to M. de Montpersan’s correspondent, did I understand the ingenious delicacy with which Juliette had obliged me.","我坦然无愧地接过二十五路易一卷的金币，这正好给我作了去巴黎的路费。后来，我如数去还给了那位与伯爵有金钱来往的人。到了巴黎，当我把这笔钱送往指定的人家时，我才明白，朱丽叶是多么机灵巧妙地帮助了我。"
"Was not all the genius of a loving woman revealed in such a way of lending, in her reticence with regard to a poverty easily guessed?","她借给我这笔钱所采取的办法，她对我显而易见的贫寒所持的谨慎态度，不正好表现了一个多情女子的全部智慧吗？"
"And what rapture to have this adventure to tell to a woman who clung to you more closely in dread, saying, “Oh, my dear, not you!","我曾有机会把上面的遭遇讲给一个女人听，她害怕得紧紧抱住我，对我说：“啊！亲爱的，不要！"
"You must not die!”","你可不能死！”"

