"书名一只乌龟的故事和一只淘气猴子的故事（安德鲁·朗格经典棕色童话）短简介故事里的乌龟一反人们心中固有的形象，用智慧与勇气一次次冲击着人们的视听，猴子则是一如既往，调皮机警，聪颖活泼，让人爱恨交加。看他们是如何与各种生物周旋，又是如何全身而退，谱写一段又一段的传奇故事。长简介故事中的乌龟与猴子，一个是智慧与谋略的化身，一个集冒险与机智于一身，二者不分伯仲，在森林之中谱写着各自的传奇。在与大象蓝鲸的抗衡之中，乌龟可谓是有勇有谋，将两大生物玩弄于股掌之中；在与牡鹿和狐狸的较量之中，更可见其谋略家的运筹帷幄与足智多谋，将人们心中的固有模型打破重塑，刷新了人们的视听。而猴子则是一如既往的调皮机灵形象，爱冒险，爱生事端，却又总是让别人哑口无言，不知所措，更是让读者爱也不是恨也不是。在与不同森林住户的挑逗之中以及与美洲狮的几番游击战中，猴子的冒险精神可谓是显露无遗，而与美洲狮进行的最后一场生死较量更是将猴子的机警与智慧进行了完美的诠释与展现。关键字一只乌龟的故事和一只淘气猴子的故事；安德鲁·朗格；外研社编译组；大象；鲸鱼；牡鹿； 狐狸；理发师；面包师；小女孩；兔子；美洲狮 作者(英)安德鲁·朗格安德鲁•朗格（1844—1912），英国著名的文学家、历史学家、诗人、民俗学家，以研究神话、民间传说闻名于世，由他编纂并分别以十二种颜色命名的“童话故事集”自1889年问世以来，历久不衰，备受世界各国儿童们的喜爱。书评这个世界有两样东西人们永远不会失去兴趣，一个是宇宙，另一个是森林，二者都充满着神奇与未知。故事将森林与森林里的生物活化在读者眼前，栩栩如生，乍看之下是一个个妙趣横生的故事，实则充满对人生的思索与探讨，堪称“寓教于乐”的典范。 语言没有过多的技巧，通俗易懂，平实却不平淡。故事简单却不肤浅，于笑语之中引发对智慧的赞赏，让思想性更加深入人心。西方一位著名教育家曾这样评价安德鲁·朗编辑的童话：“如果孩子们的世界里没有那神奇美丽的童话，他们的生活将不可想象；如果这座童话乐园里没有安德鲁·朗格所编写的童话，他们的童心就得不到完美的塑造”。"
"Tale of a Tortoise and of a Mischievous Monkey","一只乌龟的故事和一只淘气猴子的故事"
"It shows much more skill to be able to catch a small thing that can hide itself in a moment behind a leaf.","能抓到一个可以瞬间躲在一片叶子背后的小东西，才是本事。"
"I’ll tell you what!","我来告诉你吧！"
"Suppose I hunt butterflies, and you, serpents.’","不如这样，我抓蝴蝶，你来捕蛇。”"
"The rabbit, who was young and without experience, was delighted with this idea, and they both set out on their various ways.","兔子年轻，也没有经验，所以对这个想法感到很高兴。于是双方以各自的方式开始行动了。"
"The monkey quietly climbed up the nearest tree, and ate fruit most of the day, but the rabbit tired himself to death poking his nose into every heap of dried leaves he saw, hoping to find a serpent among them.","猴子悄悄爬到最近的一棵树上，吃了将近一天的水果，而兔子则让自己命悬一线，它用鼻子去戳看到的每一个枯叶堆，希望从里面找出一条蛇来。"
"Luckily for himself the serpents were all away for the afternoon, at a meeting of their own, for there is nothing a serpent likes so well for dinner as a nice plump rabbit.","所幸的是，下午的时候，蛇都出去参加各自的聚会去了。要知道，蛇可是最喜欢用一只美味的胖嘟嘟的兔子做晚餐了。"
"But, as it was, the dried leaves were all empty, and the rabbit at last fell asleep where he was.","可是实际情况是，所有枯草堆都是空的，最后兔子在原来的地方睡着了。"
"Then the monkey, who had been watching him, fell down and pulled his ears, to the rage of the rabbit, who vowed vengeance.","猴子一直观察着兔子，于是跳下来，拉着兔子的耳朵。兔子大怒，发誓要报仇。"
"It was not easy to catch the monkey off his guard, and the rabbit waited long before an opportunity arrived.","要想让猴子疏于防范，然后抓到它，这并不容易，兔子等了很久都没机会。"
"But one day Jack-in-the-Green was sitting on a stone, wondering what he should do next, when the rabbit crept softly behind him, and gave his tail a sharp pull.","但是有一天，绿衣杰克正坐在一块石头上想着接下来该做什么，兔子蹑手蹑脚地来到它身后，使劲地扯了一下它的尾巴。"
"The monkey gave a shriek of pain, and darted up into a tree, but when he saw that it was only the rabbit who had dared to insult him so, he chattered so fast in his anger, and looked so fierce, that the rabbit fled into the nearest hole, and stayed there for several days, trembling with fright.","猴子痛苦地尖叫一声，猛地向上冲进一棵树里，但是当它看到胆敢如此侮辱自己的仅仅是那只兔子的时候，气得大骂一通，看上去十分凶猛。兔子见状，便逃进最近的洞里呆了好几天，吓得直发抖。"
"Soon after this adventure the monkey went away into another part of the country, right on the outskirts of the forest, where there was a beautiful garden full of oranges hanging ripe from the trees.","这次事件过后不久，猴子就离开原来的地方，来到了这个国家的另一部分，就在森林的郊区。那里有一个美丽的花园，里面满是成熟的橘子，一个个挂在树上。"
"This garden was a favourite place for birds of all kinds, each hoping to secure an orange for dinner, and in order to frighten the birds away and keep a little fruit for himself, the master had fastened a waxen figure on one of the boughs.","这个花园是所有小鸟最喜欢的地方，每只鸟都希望弄到一个橘子当作晚餐。为了吓走鸟，给自己留些水果，主人在一根大树枝上固定了一个蜡像。"
"Now the monkey was as fond of oranges as any of the birds, and when he saw a man standing in the tree where the largest and sweetest oranges grew, he spoke to him at once.","猴子也像所有小鸟一样很喜欢吃橘子。它看到一个男人站在树上，而那里的橘子最大最甜，于是立马跟男人说起话来。"
"‘You man,’ he said rudely, ‘throw me down that big orange up there, or I will throw a stone at you.’","“就是你，伙计，”猴子粗鲁地说道，“把上面那个大橘子扔下来给我，不然我就扔一块石头砸你了。”"
"The wax figure took no notice of this request, so the monkey, who was easily made angry, picked up a stone, and flung it with all his force.","蜡像对猴子的要求无动于衷。于是，十分易怒的猴子捡起一块石头，用尽全力砸过去。"
"But instead of falling to the ground again, the stone stuck to the soft wax.","石头没有落回到地面，反而粘在了柔软的蜡像上。"
"At this moment a breeze shook the tree, and the orange on which the monkey had set his heart dropped from the bough.","这时，微风吹过，树摇动起来，猴子心里渴求的那个橘子从大树枝上掉了下来。"
"He picked it up and ate it every bit, including the rind, and it was so good he thought he should like another.","猴子捡起橘子，一点儿一点儿地连皮都吃掉了。橘子实在好吃，猴子认为它应该再要一个。"
"So he called again to the wax figure to throw him an orange, and as the figure did not move, he hurled another stone, which stuck to the wax as the first had done.","于是，猴子又一次叫蜡像扔个橘子给它。蜡像没动，猴子就又砸了一块石头过去，石头像第一次那样粘在了蜡像上。"
"Seeing that the man was quite indifferent to stones, the monkey grew more angry still, and climbing the tree hastily, gave the figure a violent kick.","见男人对石头无甚反应，猴子更生气了，它迅速爬上树，狠狠地踢了蜡像一下。"
"But like the two stones his leg remained stuck to the wax, and he was held fast.","但是就像那两块石头一样，猴子的腿粘在了蜡像上，并且粘得很紧。"
"‘Let me go at once, or I will give you another kick,’ he cried, suiting the action to the word, and this time also his foot remained in the grasp of the man.","“马上放我走，不然我会再踢你一脚。”猴子一边叫着，脚就踢了上去。这一次，它的这只脚也被男人控制住了。"
"Not knowing what he did, the monkey hit out, first with one hand and then with the other, and when he found that he was literally bound hand and foot, he became so mad with anger and terror that in his struggles he fell to the ground, dragging the figure after him.","猴子不知道男人做了什么，一拳挥过去，首先是一只手，接着是另外一只。当发现自己手脚逐一被缚，猴子又气又怕，挣扎中，它拖着蜡像一起掉到地上。"
"This freed his hands and feet, but besides the shock of the fall, they had tumbled into a bed of thorns, and he limped away broken and bruised, and groaning loudly; for when monkeys ARE hurt, they take pains that everybody shall know it.","猴子的手和脚都解脱了，但是摔下来的时候非常惊恐，还和蜡像一起滚进了荆棘丛中。猴子一拐一拐地走开，遍体鳞伤，鼻青脸肿，大声抱怨着。要知道，猴子们一旦受伤，就会费尽苦心弄得人尽皆知。"
"It was a long time before Jack was well enough to go about again; but when he did, he had an encounter with his old enemy the puma.","杰克休养了很长时间，才可以再次到处走动。可是它出去走动的时候，遇上了它的死对头美洲狮。"
"And this was how it came about.","事情是这样的。"
"One day the puma invited his friend the stag to go with him and see a comrade, who was famous for the good milk he got from his cows.","一天，美洲狮邀请朋友牡鹿和它一起去看望一个伙伴。那个伙伴从他的奶牛那里得到了上好的牛奶，并因此出名。"
"The stag loved milk, and gladly accepted the invitation, and when the sun began to get a little low the two started on their walk.","牡鹿喜欢喝牛奶，于是高兴地接受了邀请。刚过晌午，美洲狮和牡鹿就出发了。"
"On the way they arrived on the banks of a river, and as there were no bridges in those days it was necessary to swim across it.","途中，它们来到一条河流边上。那个时候还没有桥，所以它们得游过去。"
"The stag was not fond of swimming, and began to say that he was tired, and thought that after all it was not worth going so far to get milk, and that he would return home.","牡鹿不喜欢游泳，就说自己很累了，想着毕竟跑那么远去喝牛奶不划算，不如回家算了。"
"But the puma easily saw through these excuses, and laughed at him.","但是美洲狮轻易就看穿了这些借口，嘲笑起牡鹿来。"
"‘The river is not deep at all,’ he said; ‘why, you will never be off your feet.","“这条河一点儿也不深，”美洲狮说，“嗨，连你的脚都不会没过。"
"Come, pluck up your courage and follow me.’","来吧，鼓起你的勇气，跟着我。”"
"The stag was afraid of the river; still, he was much more afraid of being laughed at, and he plunged in after the puma; but in an instant the current had swept him away, and if it had not borne him by accident to a shallow place on the opposite side, where he managed to scramble up the bank, he would certainly have been drowned.","牡鹿怕河水，更怕被嘲笑，于是跟着美洲狮跳进河里，可是没过多久就被涌流卷走了。要不是它偶然被卷到对岸的一个浅水处，并得以爬上岸，它肯定已经被淹死了。"
"As it was, he scrambled out, shaking with terror, and found the puma waiting for him.","牡鹿爬上岸，浑身战栗，发现美洲狮正等着它。"
"‘You had a narrow escape that time,’ said the puma.","“你刚才真是死里逃生。”美洲狮说。"
"After resting for a few minutes, to let the stag recover from his fright, they went on their way till they came to a grove of bananas.","休息了几分钟，牡鹿从惊吓中恢复过来了。于是它们继续前进，直到看到满园的香蕉。"
"‘They look very good,’ observed the puma with a longing glance, ‘and I am sure you must be hungry, friend stag?","“它们看上去很好吃，”美洲狮憧憬地说道，“我知道你一定饿了，牡鹿朋友？"
"Suppose you were to climb the tree and get some.","不如你爬上树，摘一些下来。"
"You shall eat the green ones, they are the best and sweetest; and you can throw the yellow ones down to me.","你吃青的，青的是最好的，并且最甜，然后你可以把黄的扔下来给我。"
"I dare say they will do quite well!’","我敢说，这样的分配肯定相当不错！”"
"The stag did as he was bid, though, not being used to climbing, it gave him a deal of trouble and sore knees, and besides, his horns were continually getting entangled in the creepers.","虽然不习惯爬树，牡鹿还是照做了。这给它带来了很多麻烦，除了膝盖磕得作痛，它的鹿角还不断地被匍匐植物缠住。"
"What was worse, when once he had tasted the bananas, he found them not at all to his liking, so he threw them all down, green and yellow alike, and let the puma take his choice.","更糟糕的是，当它吃到香蕉时，发现自己一点儿也不喜欢，于是不管青的黄的全部扔了下去，让美洲狮自己随便挑。"
"And what a dinner he made!","美洲狮吃了一顿多么丰盛的晚餐啊！"
"When he had QUITE done, they set forth once more.","等到美洲狮吃得很饱了，它们又向前走去。"
"The path lay through a field of maize, where several men were working.","小路引向一片玉米地，地里有一些男人正在劳作。"
"As they came up to them, the puma whispered: ‘Go on in front, friend stag, and just say “Bad luck to all workers!”’ The stag obeyed, but the men were hot and tired, and did not think this a good joke.","它们走近男人们的时候，美洲狮低声说道：“牡鹿朋友，你走在前面，然后说：‘祝所有劳动者霉运连连！’”牡鹿照着说了，但是男人们又热又累，觉得这个玩笑一点儿也不好笑。"
"So they set their dogs at him, and he was obliged to run away as fast as he could.","于是他们放狗咬牡鹿，牡鹿不得不拼尽全力拔腿就跑。"
"‘I hope your industry will be rewarded as it deserves,’ said the puma as he passed along; and the men were pleased, and offered him some of their maize to eat.","“希望你们的勤劳能得到应有的回报。”美洲狮经过的时候说道。男人们很高兴，给了它一些玉米吃。"
"By-and-by the puma saw a small snake with a beautiful shining skin, lying coiled up at the foot of a tree.","走着走着，美洲狮看见一条皮肤光亮美丽的小蛇，它正盘旋着躺在一棵树底下。"
"‘What a lovely bracelet that would make for your daughter, friend stag! said he.","“多么漂亮的手镯啊，应该会适合你女儿，牡鹿朋友！”美洲狮说。"
"The stag stooped and picked up the snake, which bit him, and he turned angrily to the puma.","牡鹿停下来，捡起蛇，却被蛇咬了一口。于是，牡鹿生气地转向美洲狮。"
"‘Why did you not tell me it would bite?’ he asked.","“你为什么不告诉我它会咬人？”牡鹿质问道。"
"‘Is it my fault if you are an idiot?’ replied the puma.","“你是个傻子，这难道也是我的错？”美洲狮回答说。"
"At last they reached their journey’s end, but by this time it was late, and the puma’s comrade was ready for bed, so they slung their hammocks in convenient places, and went to sleep.","旅程终于结束了，但是天已经晚了，美洲狮的伙伴也该睡觉了。于是，它们把吊床吊在舒适的地方，就睡了。"
"But in the middle of the night the puma rose softly and stole out of the door to the sheep-fold, where he killed and ate the fattest sheep he could find, and taking a bowl full of its blood, he sprinkled the sleeping stag with it.","但是美洲狮半夜悄悄爬起来，偷偷溜出门，来到羊栏，找了一只最肥的羊杀掉吃了，并且弄了一满碗羊血撒在熟睡的牡鹿身上。"
"This done, he returned to bed.","做完这些，美洲狮就回到床上去了。"
"In the morning the shepherd went as usual to let the sheep out of the fold, and found one of them missing.","早上，牧羊人像往常一样来放羊出栏，发现少了一只。"
"He thought directly of the puma, and ran to accuse him of having eaten the sheep.","他马上想到是美洲狮吃了羊，跑去找美洲狮理论。"
"‘I, my good man?","“我的好伙计，你说是我？"
"What had put it into your head to think of such a thing?","你脑子里都装了些什么，竟然会这么想？"
"Have I got any blood about me?","我身上有血吗？"
"If anyone has eaten a sheep it must be my friend the stag.’","如果说有人吃了羊，那一定是我的朋友牡鹿。”"
" Then the shepherd went to examine the sleeping stag, and of course he saw the blood.","牧羊人于是去检查熟睡着的牡鹿，当然就看到了血。"
"‘Ah!","“啊！"
"I will teach you how to steal!’ cried he, and he hit the stag such a blow on his skull that he died in a moment.","我要教训你这个小偷！”牧羊人叫道，一拳打在牡鹿的头盖骨上，牡鹿一下子就死了。"
"The noise awakened the comrade above, and he came downstairs.","响声弄醒了楼上美洲狮的伙伴，他走下楼来。"
"The puma greeted him with joy, and begged he might have some of the famous milk as soon as possible, for he was very thirsty.","美洲狮高兴地迎接了他，并且恳求他是否可以尽快把那出了名的牛奶给自己喝，因为美洲狮实在太渴了。"
"A large bucket was set before the puma directly.","很快，一只大桶就放在了美洲狮面前。"
"He drank it to the last drop, and then took leave.","美洲狮喝到一滴不剩，然后离开了。"
"On his way home he met the monkey.","回去的路上，美洲狮碰到了猴子。"
"‘Are you fond of milk?’ asked he.","“你喜欢喝牛奶吗？”美洲狮问道，"
"‘I know a place where you get it very nice.","“我知道有个地方可以让你喝到美味的牛奶。"
"I will show you it if you like.’","如果你喜欢的话，我就带你去。”"
"The monkey knew that the puma was not so good-natured for nothing, but he felt quite able to take care of himself, so he said he should have much pleasure in accompanying his friend.","猴子知道美洲狮不会无缘无故这么好心，但又觉得自己有能力照顾好自己，所以说它很乐意陪朋友一起去。"
"They soon reached the same river, and, as before, the puma remarked: ‘Friend monkey, you will find it very shallow; there is no cause for fear.","很快，它们就来到先前的那条河边。美洲狮说：“猴子朋友，河很浅，你不用害怕。"
"Jump in and I will follow.’","跳进去吧，我会跟着你的。”"
"‘Do you think you have the stag to deal with?’ asked the monkey, laughing.","“你觉得你是在和牡鹿打交道吗？”猴子笑着问道，"
"‘I should prefer to follow; if not I shall go no further.","“我更喜欢跟着你，不这样的话我就不走了。”"
"The puma understood that it was useless trying to make the monkey do as he wished, so he chose a shallow place and began to swim across.","美洲狮明白，再怎么试图让猴子按照自己的意愿行事，也是无用的，所以选了一个浅水处开始游过去。"
"The monkey waited till the puma had got to the middle, then he gave a great spring and jumped on his back, knowing quite well that the puma would be afraid to shake him off, lest he should be swept away into deep water.","猴子等美洲狮游到了河中央，一跃而起，跳到美洲狮背上。猴子非常清楚，美洲狮一定怕把它晃下来，以免自己被卷到深水区去。"
"So in this manner they reached the bank.","就这样，它们游到了对岸。"
"The banana grove was not far distant, and here the puma thought he would pay the monkey out for forcing him to carry him over the river.","香蕉园就在不远处。猴子迫使美洲狮驮它过河，美洲狮觉得是时候要让猴子一报还一报了。"
"‘Friend monkey, look what fine bananas,’ cried he.","“猴子朋友，瞧，多好的香蕉啊。”美洲狮大声说，"
"‘You are fond of climbing; suppose you run up and throw me down a few.","“你喜欢爬树，不如你爬上去，然后扔一些给我。"
"You can eat the green ones, which are the nicest, and I will be content with the yellow.’","你可以吃那些青的，那是最好的，而我能吃些黄的就心满意足了。”"
"‘Very well,’ answered the monkey, swinging himself up; but he ate all the yellow ones himself, and only threw down the green ones that were left.","“很好。”猴子说着一跃而起。然而，猴子自己吃了所有的黄香蕉，只把剩下的青香蕉扔了下来。"
"The puma was furious and cried out: ‘I will punch your head for that.’","美洲狮生气地大叫道：“我要为此敲破你的头。”"
" But the monkey only answered: ‘If you are gong to talk such nonsense I won’t walk with you.’","可是猴子仅仅回了一句：“你要再说这些没用的，我就不跟你走了。”"
"And the puma was silent.","于是美洲狮不作声了。"
"In a few minutes more they arrived at the field where the men were reaping the maize, and the puma remarked as he had done before: ‘Friend monkey, if you wish to please these men, just say as you go by: “Bad luck to all workers.”","又过了几分钟，它们来到那片玉米地，男人们正在地里收割玉米。美洲狮像先前那样说道：“猴子朋友，如果你想让这些人高兴，走过去的时候，你就说：‘祝所有劳动者霉运连连。’”"
"‘Very well,’ replied the monkey; but, instead, he nodded and smiled, and said: ‘I hope your industry may be rewarded as it deserves.’","“行。”猴子回答说。但是猴子并没这样做，而是点点头，笑了笑，说道：“希望你们的勤劳能得到应有的回报。”"
"The men thanked him heartily, let him pass on, and the puma followed behind him.","男人们衷心向它表示感谢，让它过去了，而美洲狮就跟在它后面。"
"Further along the path they saw the shining snake lying on the moss.","它们沿着小路又走了一阵子，看到那条光亮美丽的蛇躺在苔藓上。"
"‘What a lovely necklace for your daughter,’ exclaimed the puma.","“多么漂亮的一条项链啊，以后可以送给你女儿。”美洲狮说，"
"‘Pick it up and take it with you.’","“捡起来带在身边吧。”"
"‘You are very kind, but I will leave it for you,’ answered the monkey, and nothing more was said about the snake.","“你心地真好，但是我想把它留给你。”猴子回答道。于是，有关蛇的话题就此告一段落。"
"Not long after this they reached the comrade’s house, and found him just ready to go to bed.","不久，它们来到了美洲狮伙伴的家，却发现他刚准备好睡觉。"
"So, without stopping to talk, the guests slung their hammocks, the monkey taking care to place his so high that no one could get at him.","因此，客人们没有停下来交谈，而是吊起吊床。猴子很小心，把床吊在别人都够不到的地方。"
"Besides, he thought it would be more prudent not to fall asleep, so he only lay still and snored loudly.","此外，猴子觉得应该更谨慎一点儿，不能睡着，所以它只是静静地躺着，大声地打着呼噜。"
"When it was quite dark and no sound was to be heard, the puma crept out to the sheep-fold, killed the sheep, and carried back a bowl full of its blood with which to sprinkle the monkey.","天很黑了，听不到任何声音。美洲狮偷偷溜出去，来到羊栏，杀了羊，然后带回一满碗羊血，打算洒在猴子身上。"
"But the monkey, who had been watching out of the corner of his eye, waited until the puma drew near, and with a violent kick upset the bowl all over the puma himself.","但是猴子一直用眼睛的余光观察着。等到美洲狮靠近的时候，它猛地一踢，把碗打翻在美洲狮身上。"
"When the puma saw what had happened, he turned in a great hurry to leave the house, but before he could do so, he saw the shepherd coming, and hastily lay down again.","美洲狮见状，急忙转身想要离开，但它还没来得及走，就看到牧羊人来了，于是又慌忙躺下来。"
"‘This is the second time I have lost a sheep,’ the man said to the monkey; ‘it will be the worse for the thief when I catch him, I can tell you.’","“我又少了一只羊，这是第二次了。”男人对猴子说道，“我可以告诉你，要是抓到那个贼，他的下场会更惨。”"
"The monkey did not answer, but silently pointed to the puma who was pretending to be asleep.","猴子没有回答，而是默默地指了指正在假装睡觉的美洲狮。"
"The shepherd stooped and saw the blood, and cried out: ‘Ah! so it is you, is it? then take that!’ and with his stick he gave the puma such a blow on the head that he died then and there.","牧羊人弯下腰，看到血，然后大叫道：“啊！所以是你干的，对吗？那就受罚吧！”牧羊人抡起棍子，朝美洲狮头上猛击一下，美洲狮当时就死了。"
"Then the monkey got up and went to the dairy, and drank all the milk he could find.","然后，猴子下了床，到了制酪厂，喝了所有能够找到的牛奶。"
"Afterwards he returned home and married, and that is the last we heard of him.","之后，猴子就回家成亲了，那也是我们最后一次听到有关它的消息。"

