"书名刽子手（巴尔扎克经典作品）短简介反抗失败，他本该被杀，而交易的结果，却需要他手刃亲人。围绕着因反抗失败而带来的惩罚，一位法国统治者与他统治下的西班牙贵族做了这笔交易。被贵族女儿救了的法国军官、在兄弟铡刀下伸出脖颈的西班牙女郎……透过《刽子手》，你会在头脑中追问，谁才是真正的刽子手？    长简介巴尔扎克塑造起一个贵族，一个被赐名El Verdugo（刽子手）作为头衔的贵族以及他那“令人钦佩的罪行”——他本该被杀，却手刃亲人。他是那么无奈地接受这一宿命。他被剥夺了死的权利，代之以刽子手的职责……他受到周围人的爱戴，内心却迫不及待地盼望着有天去与那些和他日夜相伴的阴魂团聚。宣称要做社会历史的“书记”的巴尔扎克，立起了这样一个贵族的形象，却没忘了十九世纪上半叶发生的那许许多多杀戮，就像故事中所讲述的，“每个不幸的村落都被包围了，村民们被大批杀害”；“自首的两百名西班牙人被立即处以枪决”；“五百个法国家庭正陷痛苦折磨”……那样的时代，谁能决定自己不成为刽子手呢？关键字刽子手；巴尔扎克；外研社编译组；短篇；爱情；法国军官；西班牙女郎；贵族作者（法）巴尔扎克作者简介巴尔扎克（1799—1850），法国19世纪伟大的批判现实主义作家、欧洲批判现实主义文学的奠基人和杰出代表、法国现实主义文学成就最高者之一。他创作的《人间喜剧》共91部小说，写了两千四百多个人物，充分展示了19世纪上半叶法国社会生活，是人类文学史上罕见的文学丰碑，被称为法国社会的“百科全书”。"
"书评你用3000字的篇幅去触摸的绝不仅仅是一个故事。"
"El Verdugo","刽子手"
"Mariquita, the second daughter, was on her knees pressing her mother in her feeble arms, and as she wept hot tears her little brother scolded her.","次女马利基塔跪在地上，她无力地将母亲抱在怀里，哭得像个泪人一样，招来小兄弟对她的一阵责备。"
"At this moment the chaplain of the chateau entered the hall; the family instantly surrounded him and led him to Juanito.","正在此时，城堡里的牧师走了进来，全家人立即围住了他，并把他领到胡安尼托面前。"
"Victor, unable to endure the scene any longer, made a sign to Clara, and went away, determined to make one more attempt upon the general.","维克托再也忍受不了这个场景了，他示意了一下克拉拉便匆匆离开，他想再做一次努力，向将军求情。"
"He found him in fine good-humour, in the midst of a banquet, drinking with his officers, who were growing hilarious.","他发现将军正心情大好地在宴会上和他的军官们喝酒，那些军官渐渐热闹起来，兴高采烈地聊着天。"
"An hour later, one hundred of the leading inhabitants of Menda assembled on the terrace, according to the orders of the general, to witness the execution of the Leganes family.","一小时后，芒达城一百名声名显赫的居民聚集到露台上，遵照将军的命令来目睹莱加奈斯一家被满门抄斩。"
"A detachment of soldiers were posted to restrain the Spaniards, stationed beneath the gallows on which the servants had been hanged.","一队士兵被安排来押送这些西班牙人站到绞刑架下，而这些绞架刚刚处决掉了侯爵家的佣人。"
"The heads of the burghers almost touched the feet of these martyrs.","这些显赫市民们的脑袋几乎触及到了那些牺牲品的脚。"
"Thirty feet from this group was a block, and on it glittered a scimitar.","离这群人三十步远的地方有一个断头台，上面有一把闪着寒光的大铡刀。"
"An executioner was present in case Juanito refused his obedience at the last moment.","一个刽子手站在旁边，以防胡安尼托在最后时刻拒绝执行，刽子手便可以亲自动手。"
"Soon the Spaniards heard, in the midst of the deepest silence, the steps of many persons, the measured sound of the march of soldiers, and the slight rattle of their accoutrements.","不一会儿，西班牙人在一片静寂之中听到了很多人的脚步声，那是士兵整齐的步伐声，还有他们的装备碰击而出的轻微响声。"
"These noises mingled with the gay laughter of the officers, as a few nights earlier the dances of a ball had served to mask the preparations for a bloody treachery.","这些嘈杂声与军官们放荡快乐的笑声混成一片，正如不久前这里舞会上的舞蹈掩饰着一场血腥的叛变。"
"All eyes turned to the chateau and saw the noble family advancing with inconceivable composure.","所有的眼睛都转向城堡，这个贵族之家以不可思议的沉着姿态走了过来。"
"Their faces were serene and calm.","他们的神色安详平和。"
"One member alone, pale, undone, leaned upon the priest, who spent his powers of religious consolation upon this man,—the only one who was to live.","唯有一人面色苍白、神情颓丧，牧师扶着他，倾尽他宗教的力量说着安慰他的话——这是那个唯一能活命的人。"
"The executioner knew, as did all present, that Juanito had agreed to accept his place for that one day.","刽子手明白了，大家也都明白了，胡安尼托已经同意在那一天行使刽子手的职务。"
"The old marquis and his wife, Clara, Mariquita, and the two younger brothers walked forward and knelt down a few steps distant from the fatal block.","老侯爵和他的妻子、克拉拉、马利基塔，还有两个年轻的儿子向前走来，跪在离断头台几步远的地方。"
"Juanito was led forward by the priest.","胡安尼托被牧师领上前来。"
"When he reached the place the executioner touched him on the arm and gave him, probably, a few instructions.","当他到达断头台的时候，刽子手抓住他的胳膊，或许是给了他一些教导。"
"The confessor, meantime, turned the victims so that they might not see the fatal blows.","同时忏悔师叫那些受刑者转过身去，这样他们就看不到那些受刑的惨状。"
"But, like true Spaniards, they stood erect without faltering.","但是，他们是真正的西班牙人，他们矗立着，毫无惧色。"
"Clara was the first to come forward.","克拉拉第一个走上前去。"
"“Juanito,” she said, “have pity on my want of courage; begin with me.”","“胡安尼托，”她说道，“你可怜我胆子不大吧，从我开始！”"
"At this instant the hurried steps of a man were heard, and Victor Marchand appeared on the terrace.","正在这时，一阵急促的脚步声传来，维克托出现在刑场上。"
"Clara was already on her knees, her white neck bared for the scimitar.","克拉拉已经双膝跪地，雪白的脖颈等待着那一刀。"
"The officer turned pale, but he ran with all his might.","军官面色苍白，但是他用尽了所有力量跑了过去。"
"“The general grants your life if you will marry me,” he said to her in a low voice.","“将军答应饶你一命，如果你愿意嫁给我。”他低声地对她说道。"
"The Spanish girl cast upon the officer a look of pride and contempt.","这个西班牙女郎傲慢而轻蔑地向军官瞥了一眼。"
"“Go on, Juanito!” she said, in a deep voice, and her head rolled at Victor’s feet.","“胡安尼托，动手吧！”她说道，声音低沉，随即她的头颅滚落到维克托的脚下。"
"The Marquise de Leganes made one convulsive movement as she heard that sound; it was the only sign she gave of sorrow.","听到这声音，莱加奈斯侯爵夫人身子抽搐了一下，这是她所有悲伤的表达。"
"“Am I placed right this way, my good Juanito?” asked the little Manuelo of his brother.","“我的好胡安尼托，我这个姿势对吗？”幼弟曼努埃尔问道。"
"“Ah! you are weeping, Mariquita!” said Juanito to his sister.","“哦，马利基塔，你哭了！”胡安尼托对他妹妹说道。"
"“Yes,” she said, “I think of you, my poor Juanito; how lonely you will be without us.”","“是，”她答道，“可怜的胡安尼托，我们都走了，剩你自己该怎样孤独啊！”"
"Soon the grand figure of the marquis came forward.","接着侯爵伟岸的身躯走上前来。"
"He looked at the blood of his children; he turned to the mute and motionless spectators, and said in a strong voice, stretching his hands toward Juanito,—","他看了看孩子们的鲜血，接着转向沉默无言、呆若木鸡的观众。他向胡安尼托伸出双手，用强有力的声音说道："
"“Spaniards!","“西班牙同胞们！"
"I give my son my fatherly blessing!","我给我的儿子以父亲的祝福！"
"Now, Marquis, strike, without fear—you are without reproach.”","现在，侯爵，动手吧，不要害怕——没有人会指责你。”"
"But when Juanito saw his mother approach him, supported by the priest, he cried out: “She bore me!”","可是当胡安尼托看到母亲由忏悔师扶着走向他的时候，他大喊道：“她生的我呀！”"
"A cry of horror broke from all present.","现场爆发出恐怖的喊叫声。"
"The noise of the feast and the jovial laughter of the officers ceased at that terrible clamor.","这可怕的喧嚣使得宴会的觥筹交错声和欢笑声戛然而止。"
"The marquise comprehended that Juanito’s courage was exhausted, and springing with one bound over the parapet, she was dashed to pieces on the rocks below.","侯爵夫人知道胡安尼托的勇气殆尽，她纵身一跃跳出栏杆，被下面的岩石撞得粉身碎骨。"
"A sound of admiration rose.","全场响起了一阵钦佩之声。"
"Juanito had fallen senseless.","胡安尼托早已昏倒在地。"
"“General,” said an officer, who was half drunk, “Marchand has just told me the particulars of that execution down there.","“将军，”一个半醉的军官说道，“马尔尚刚才跟我说到这次行刑的事情。"
"I will bet you never ordered it.”","我敢打赌，你肯定没有下令这样做。”"
"“Do you forget, messieurs,” cried General G—t—r, “that five hundred French families are plunged in affliction, and that we are now in Spain?","“先生们，你们忘了吗，”G将军喊道，“五百个法国家庭正在经历痛苦折磨，而我们现在身处西班牙？"
"Do you wish to leave our bones in its soil?”","你们希望我们的尸骨埋在这里吗？”"
"After that allocution, no one, not even a sub-lieutenant, had the courage to empty his glass.","一席话之后，再没有人，甚至没有一个少尉敢举杯一饮而尽。"
"In spite of the respect with which he is surrounded, in spite of the title El Verdugo (the executioner) which the King of Spain bestowed as a title of nobility on the Marquis de Leganes, he is a prey to sorrow; he lives in solitude, and is seldom seen.","尽管周围的人爱戴莱加奈斯侯爵，尽管西班牙国王把El Verdugo（刽子手）作为贵族头衔封给他，他还是凄凉悲伤。他茕茕孑立，很少为人所见。"
"Overwhelmed with the burden of his noble crime, he seems to await with impatience the birth of a second son, which will give him the right to rejoin the Shades who ceaselessly accompany him.","他令人钦佩的罪行像重担一样压抑着他，他似乎迫不及待地等待第二个儿子的降生，那样，他就有权去与那些和他日夜相伴的阴魂团聚了。"

