"书名牧羊人之所见：四个月夜的故事（哈代经典短篇小说）短简介圣诞节本是万人欢庆的节日，圣诞夜本是欢乐祥和的夜晚。然而，对年轻的牧羊小孩米尔斯来说并非如此。在圣诞的这一周，在三个月黑风高的夜晚，他见证了公爵、公爵夫人及公爵夫人表弟弗雷德上尉之间的爱恨情仇，并且亲眼目睹了公爵对弗雷德上尉的残酷杀戮。应公爵的要求，米尔斯始终守口如瓶，直到二十二年之后同样一个月黑风高的夜晚，真相才最终揭晓，此时这位昔日的毛头牧羊人已是人到中年。长简介哈代的短篇小说《牧羊人之所见：四个月夜的故事》借主人公之口娓娓道来，讲述了发生在四个月夜的悬疑故事。小说伊始，作者便介绍了第一位主人公：小小牧羊人。这位小小牧羊人，看似微不足道，实则是贯穿文章的主线，因为正是他那双眼眸见证了发生在公爵、公爵夫人、弗雷德上尉之间的故事。小说情节看似随兴所至、未加刻意雕琢，其实经过多处铺垫、烘托，营造了整个文章的悬疑气氛，这种气氛贯穿全文，直到二十二年之后的第四个夜晚，谜底才最后解开。小说语言简洁流畅、耐人品读。关键字牧羊人之所见；托马斯·哈代；外研社编译组；爱恨情仇；圣诞节；杀戮作者（英）托马斯·哈代作者简介托马斯·哈代（1840—1928），英国诗人、小说家。他是横跨两个世纪的作家，早期和中期的创作以小说为主，继承和发扬了维多利亚时代的文学传统；晚年以其出色的诗歌开拓了英国20世纪的文学。书评圣诞节本是万人欢庆的节日，圣诞夜本是欢乐祥和的夜晚。然而，事实并非总是如此，因为圣诞夜也见证了残酷无情的杀戮事件。"
"What the Shepherd Saw: A Tale of Four Moonlight Nights","牧羊人之所见：四个月夜的故事"
"He discerned portion of a shadow in quick muscular movement; then there was the fall of something on the grass; then there was stillness.","他隐约看到了一个人影迅速而有力的动作；然后有什么东西倒在了草地上；之后一切又恢复了寂静。"
"Two or three minutes later the Duke became visible round the corner of the hut, dragging by the collar the now inert body of the second man.","两三分钟后，男孩看到公爵出现在棚子的一角，拽着第二位男子的衣领，那位男子现在已经一动不动了。"
"The Duke dragged him across the open space towards the trilithon.","公爵拖着他穿过空地，朝巨石牌坊走去。"
"Behind this ruin was a hollow, irregular spot, overgrown with furze and stunted thorns, and riddled by the old holes of badgers, its former inhabitants, who had now died out or departed.","巨石牌坊遗迹后面是一块凹凸不平的洼地，长满了荆豆和低矮的荆棘，到处都是獾或之前其他动物的旧洞穴，这些动物现在要么灭绝了，要么离开了这里。"
"The Duke vanished into this depression with his burden, reappearing after the lapse of a few seconds.","公爵拖着那位男子进了洼地，消失不见了。几秒钟后，他又出来了。"
"When he came forth he dragged nothing behind him.","他出来时没拖任何东西。"
"He returned to the side of the hut, cleansed something on the grass, and again put himself on the watch, though not as before, inside the hut, but without, on the shady side.","他回到棚子跟前，清理了草地上的一些东西，然后再一次观察周围。他不再像先前那样仔细观察棚子里面了，而是盯着棚子外面阴影的一面。"
"‘Now for the second!’ he said.","“现在该第二个人了！”他说。"
"It was plain, even to the unsophisticated boy, that he now awaited the other person of the appointment—his wife, the Duchess—for what purpose it was terrible to think.","有一点很明显，就连那个单纯的男孩都看得出来，那就是公爵现在正等待着约会的另一方出现——也就是他的妻子，公爵夫人，他这么做的目的想想都觉得可怕。"
"He seemed to be a man of such determined temper that he would scarcely hesitate in carrying out a course of revenge to the bitter end.","他看起来是一个脾气很倔的人，当要进行报复时会毫不犹豫，不到最后决不罢休。"
"Moreover—though it was what the shepherd did not perceive—this was all the more probable, in that the moody Duke was labouring under the exaggerated impression which the sight of the meeting in dumb show had conveyed.","另外——尽管这一点牧羊人并没察觉——这一点可能性很大，那就是公爵情绪低落，他前一天晚上看到妻子和另一个男子会面，但没听到对话内容，那出哑剧传达给他的印象是被夸大了的，他明显深受受害。"
"The jealous watcher waited long, but he waited in vain.","这位嫉妒的旁观者等了好久，却徒劳无功。"
"From within the hut the boy could hear his occasional exclamations of surprise, as if he were almost disappointed at the failure of his assumption that his guilty Duchess would surely keep the tryst.","男孩在棚子里可以听到公爵不时发出的惊叹声，仿佛为自己预计错误而失望，他之前预计自己那位罪孽的夫人肯定会来赴约的。"
"Sometimes he stepped from the shade of the furze into the moonlight, and held up his watch to learn the time.","有时他走出荆豆丛的阴影，走到月光下，抬起手腕看看时间。"
"About half-past eleven he seemed to give up expecting her.","大概十一点半的时候，他似乎放弃了继续等她的念头。"
"He then went a second time to the hollow behind the trilithon, remaining there nearly a quarter of an hour.","然后，他又去了巨石牌坊后面的洼地，在那里呆了将近一刻钟。"
"From this place he proceeded quickly over a shoulder of the declivity, a little to the left, presently returning on horseback, which proved that his horse had been tethered in some secret place down there.","在那里他朝着微微向左的方向，迅速走下了一个倾斜的山肩，然后上了马背，这也证明他的马就拴在那里某个隐秘的地方。"
"Crossing anew the down between the hut and the trilithon, and scanning the precincts as if finally to assure himself that she had not come, he rode slowly downwards in the direction of Shakeforest Towers.","他骑着马再次穿过棚子和巨石牌坊之间的丘陵地，扫视着周围，仿佛最后确认一遍妻子的确没来，然后慢慢骑马下了丘陵地，朝着谢科福里斯特塔走去。"
"The juvenile shepherd thought of what lay in the hollow yonder; and no fear of the crook-stem of his superior officer was potent enough to detain him longer on that hill alone.","这位年少的牧羊人想到了那边洼地里躺着的东西，即使再怕老牧羊人用手杖柄敲他，他也不敢独自一人再呆在山上了。"
"Any live company, even the most terrible, was better than the company of the dead; so, running with the speed of a hare in the direction pursued by the horseman, he overtook the revengeful Duke at the second descent (where the great western road crossed before you came to the old park entrance on that side—now closed up and the lodge cleared away, though at the time it was wondered why, being considered the most convenient gate of all).","任何有生命的伙伴，即使是最恐怖的，也要好过有一具死尸为伴。想到这，男孩像野兔一样，向公爵和马的方向飞奔而去，跑到第二个斜坡时，他赶上了一心想要报仇的公爵（在来到旧公园那一侧的入口以前，那条宽阔的西部公路从这里穿过；旧公园的那个入口现在关闭了，门房也不在了，尽管当时人们都猜测到底是为什么，因为大家认为那是公园最方便的一个入口）。"
"Once within the sound of the horse’s footsteps, Bill Mills felt comparatively comfortable; for, though in awe of the Duke because of his position, he had no moral repugnance to his companionship on account of the grisly deed he had committed, considering that powerful nobleman to have a right to do what he chose on his own lands.","一听到马蹄声，比尔·米尔斯就感觉好多了；虽然他对公爵感到敬畏，因为他地位高，但是，他并没有因为公爵之前的恐怖行为而厌恶与他为伴，因为他觉得这位有权有势的贵族有权在在自己的领地内干任何事。"
"The Duke rode steadily on beneath his ancestral trees, the hoofs of his horse sending up a smart sound now that he had reached the hard road of the drive, and soon drew near the front door of his house, surmounted by parapets with square-cut battlements that cast a notched shade upon the gravelled terrace.","公爵骑着马在他祖上留下的树下稳步向前，马蹄踩在车道坚硬的路面上，发出悦耳的声音。很快，公爵便到达了自己的官邸前门，官邸前面围着矮墙，墙顶上方方正正的城垛，在砾石铺成的路面上投下了不规则的影子。"
"These outlines were quite familiar to little Bill Mills, though nothing within their boundary had ever been seen by him.","年轻的比尔·米尔斯对这些轮廓都比较熟悉，尽管他从未看到过围墙内的任何东西。"
"When the rider approached the mansion a small turret door was quickly opened and a woman came out.","当骑马人接近房子的时候，小塔楼的一扇门马上就开了，一个女人走了出来。"
"As soon as she saw the horseman’s outlines she ran forward into the moonlight to meet him.","她一看到骑马人的轮廓，就向前跑到月光下来接他。"
"‘Ah dear—and are you come?’ she said.","“啊，亲爱的，你回来了？”她说道，"
"‘I heard Hero’s tread just when you rode over the hill, and I knew it in a moment.","“你们翻过山的时候，我听到了英雄（马的名字）的蹄声，我马上就知道了。"
"I would have come further if I had been aware—’","我会去远点儿的地方迎你的，倘若我知道——”"
"‘Glad to see me, eh?’","“很高兴见到我，是不是？”"
"‘How can you ask that?’","“你怎么这么问呢？”"
"‘Well; it is a lovely night for meetings.’","“嗯，这可是一个美好的晚上，很适合幽会。”"
"‘Yes, it is a lovely night.’","“是的，这是一个美好的晚上。”"
"The Duke dismounted and stood by her side.","公爵下了马，站在她旁边。"
"‘Why should you have been listening at this time of night, and yet not expecting me?’ he asked.","“为什么这么晚了你还在听外面的动静，却没在等我？”他问道。"
"‘Why, indeed!","“哎，的确！"
"There is a strange story attached to that, which I must tell you at once.","的确有一个不寻常的故事，我必须马上告诉你。"
"But why did you come a night sooner than you said you would come?","但是你为什么提前一晚上回来了呢？"
"I am rather sorry—I really am!’ (shaking her head playfully) ‘for as a surprise to you I had ordered a bonfire to be built, which was to be lighted on your arrival to-morrow; and now it is wasted.","我有点儿遗憾——真的很遗憾！”（她顽皮地摇着头）“为了给你一个惊喜，我命人点一堆篝火，但是是等你明晚到了才点的；现在全浪费了。"
"You can see the outline of it just out there.’","你在那里可以看到火堆。”"
"The Duke looked across to a spot of rising glade, and saw the faggots in a heap.","公爵望向林中突起的一块空地，看到了一堆柴。"
"He then bent his eyes with a bland and puzzled air on the ground, ‘What is this strange story you have to tell me that kept you awake?’ he murmured.","然后，他用温和、迷惑的眼神看着地面：“你一直醒着、想要告诉我的不寻常的故事是什么呢？”他低声问道。"
"‘It is this—and it is really rather serious.","“是这样——的确挺严重的。"
"My cousin Fred Ogbourne—Captain Ogbourne as he is now—was in his boyhood a great admirer of mine, as I think I have told you, though I was six years his senior.","我表弟弗雷德·奥格本——他现在是弗雷德·奥格本上尉——从小就是我的爱慕者，尽管我比他年长六岁，我想我应该跟你说过。"
"In strict truth, he was absurdly fond of me.’","说老实话，他当时简直是疯狂地喜欢我。”"
"‘You have never told me of that before.’","“你之前从没跟我说过。”"
"‘Then it was your sister I told—yes, it was.","“那我就是跟你姐姐说过——是的，我跟她说过。"
"Well, you know I have not seen him for many years, and naturally I had quite forgotten his admiration of me in old times.","嗯，你知道我已经好多年没见他了，自然也就忘了他过去曾经仰慕我这回事。"
"But guess my surprise when the day before yesterday, I received a mysterious note bearing no address, and found on opening it that it came from him.","就在前天，我收到了一封神秘的短信，没写寄信人地址，等我打开了才知道是他写给我的，你猜我当时感到多吃惊。"
"The contents frightened me out of my wits.","信的内容把我的魂都吓掉了。"
"He had returned from Canada to his father’s house, and conjured me by all he could think of to meet him at once.","他从加拿大回来了，回到了他父亲家，千方百计求我马上和他见面。"
"But I think I can repeat the exact words, though I will show it to you when we get indoors.","但我觉得我还可以重复他信中的原话，不过待会等我们进屋了，我会把信给你看。"
"“MY DEAR COUSIN HARRIET,” the note said, “After this long absence you will be surprised at my sudden reappearance, and more by what I am going to ask.","‘我亲爱的表姐，哈丽雅特，'信中写到，‘我消失这么久，然后突然出现，你肯定很吃惊吧，我接下来要求肯定会让你更吃惊。"
"But if my life and future are of any concern to you at all, I beg that you will grant my request.","但是，如果你关心我的生活及我的未来的话，那我求你答应我的要求。"
"What I require of you, is, dear Harriet, that you meet me about eleven to-night by the Druid stones on Marlbury Downs, about a mile or more from your house.","我想求你的是，亲爱的哈丽雅特，今晚十一点左右去马尔伯里丘陵地上的德鲁伊教巨石牌坊前见我，那里离你们家大概一英里多。"
"I cannot say more, except to entreat you to come.","我没法再多说了，只求你来见我。"
"I will explain all when you are there.","你去了我会跟你解释一切的。"
"The one thing is, I want to see you.","只有一件事，那就是我想见你。"
"Come alone.","就你一个人来。"
"Believe me, I would not ask this if my happiness did not hang upon it—God knows how entirely!","相信我，倘若这跟我的幸福无关的话，我绝对不会要求你的。天知道这对我的幸福有多重要！"
"I am too agitated to say more—Yours. FRED.”","我太激动了，没法多说了——你最亲爱的弗雷德。’"
"‘That was all of it.","就这些。"
"Now, of course I ought have gone, as it turned out, but that I did not think of then.","嗯，当然我应该去，事实也是如此，但是当时我没想到。"
"I remembered his impetuous temper, and feared that something grievous was impending over his head, while he had not a friend in the world to help him, or any one except myself to whom he would care to make his trouble known.","我记得他做事冲动，我怕他心里有什么不好的念头，因为在这世上他没有一个朋友能帮他，除了我，他也不愿别人知道自己的麻烦事。"
"So I wrapped myself up and went to Marlbury Downs at the time he had named.","所以我穿上暖和的衣服，在他告诉我的时间去了马尔伯里丘陵地。"
"Don’t you think I was courageous?’","难道你不觉得我很勇敢吗？”"
"‘Very.’","“很勇敢。”"
"‘When I got there—but shall we not walk on; it is getting cold?’","“我到那里时——有点儿冷，我们不该往前走吗？”"
"The Duke, however, did not move.","然而，公爵没动一步。"
"‘When I got there he came, of course, as a full grown man and officer, and not as the lad that I had known him.","“我到那里时，他已经来了，当然，他已经完全长大了，成了一位军官，不再是我所熟悉的那个小伙子。"
"When I saw him I was sorry I had come.","等我见到他时，我后悔我去见他了。"
"I can hardly tell you how he behaved.","我都无法向你表述他的举动。"
"What he wanted I don’t know even now; it seemed to be no more than the mere meeting with me.","他想怎么样，我到现在也不知道；他看起来好像只想见我。"
"He held me by the hand and waist—O so tight—and would not let me go till I had promised to meet him again.","他抓着我的手，揽着我的腰——噢，很紧——直到我答应再去见他，他才肯放手。"
"His manner was so strange and passionate that I was afraid of him in such a lonely place, and I promised to come.","他表现得那么奇怪，那么热烈，在那样人迹罕至的地方我都怕他了，所以我答应再去见他。"
"Then I escaped—then I ran home—and that’s all.","然后，我逃脱了——然后我跑回了家——这就是故事的全部。"
"When the time drew on this evening for the appointment—which, of course, I never intended to keep, I felt uneasy, lest when he found I meant to disappoint him he would come on to the house; and that’s why I could not sleep.","今晚，离约会的时间越来越近——当然，我绝对没想去赴这次约会——我就越感到不安，我怕他发现我存心让他失望后，会跑到家里来；这就是我为什么没睡觉的原因。"
"But you are so silent!’","但是你好安静！”"
"‘I have had a long journey.’","“我经历了一个很长的旅途。”"
"‘Then let us get into the house.","“那我们去屋里吧。"
"Why did you come alone and unattended like this?’","为什么没人照料你，你独自一人回来了？”"
"‘It was my humour.’","“我想一个人回来。”"
"After a moment’s silence, during which they moved on, she said, ‘I have thought of something which I hardly like to suggest to you.","接下来一片安静，两人继续往前走，过了一会儿，她又说道，“我想到了一些事，但是我不敢向你提议。"
"He said that if I failed to come to-night he would wait again to-morrow night.","他说如果我今晚没去见他，那他明晚还会等我。"
"Now, shall we to-morrow night go to the hill together—just to see if he is there; and if he is, read him a lesson on his foolishness in nourishing this old passion, and sending for me so oddly, instead of coming to the house?’","那么，明天晚上，我们能不能一起去山上，就看看他是不是在那里；如果他在那里，你就教训他几句，教训他太愚蠢，重提小时候的感情，没来我们家里，而是以那么奇怪的方式约我出去？”"
"‘Why should we see if he’s there?’ said her husband moodily.","“为什么要去看看他在不在那里呢？”公爵情绪不稳地说道。"
"‘Because I think we ought to do something in it.","“因为我觉得我们应该做点儿什么。"
"Poor Fred!","可怜的弗雷德！"
"He would listen to you if you reasoned with him, and set our positions in their true light before him.","如果你跟他讲道理，并且在他面前亮明我们俩的立场，他会听你的话的。"
"It would be no more than Christian kindness to a man who unquestionably is very miserable from some cause or other.","就像基督对一个因为某种原因而处于悲惨状况的人表现出仁慈那样。"
"His head seems quite turned.’","他好像有点儿昏了头。”"
"By this time they had reached the door, rung the bell, and waited.","这时，他们到了门跟前，按了门铃，然后等待着。"
"All the house seemed to be asleep; but soon a man came to them, the horse was taken away, and the Duke and Duchess went in.","整个屋子好像都在沉睡；不过很快就出来了一个男人，牵走了马，公爵和公爵夫人走了进去。"
"THIRD NIGHT","第三夜"
"There was no help for it.","真是毫无办法。"
"Bill Mills was obliged to stay on duty, in the old shepherd’s absence, this evening as before, or give up his post and living.","老牧羊人不在的时候，比尔·米尔斯必须要当班守夜，这天晚上也不例外，除非他放弃自己的岗位和生计。"
"He thought as bravely as he could of what lay behind the Devil’s Door, but with no great success, and was therefore in a measure relieved, even if awe-stricken, when he saw the forms of the Duke and Duchess strolling across the frosted greensward.","他尽量放大胆子，想象“魔鬼门”后面躺着的东西，但是，徒劳无功。因此，当他看到公爵和公爵夫人漫步穿过结了霜的绿草地的时候，即使有一些敬畏，但在一定程度上感到轻松多了。"
"The Duchess was a few yards in front of her husband and tripped on lightly.","公爵夫人在她丈夫前面几码的地方，轻快地向前走着。"
"‘I tell you he has not thought it worth while to come again!’ the Duke insisted, as he stood still, reluctant to walk further.","“我跟你说了，他肯定觉得不值得再来了！”公爵坚持地说，他一动不动地站着，不愿再往前走了。"
"‘He is more likely to come and wait all night; and it would be harsh treatment to let him do it a second time.’","“他很可能会来，而且彻夜等我；让他再这样做一次的话，真是太无情了。”"
"‘He is not here; so turn and come home.’","“他不在这里，我们掉头回家吧。”"
"‘He seems not to be here, certainly; I wonder if anything has happened to him.","“的确，他好像不在这里；我想知道他是不是发生什么事了。"
"If it has, I shall never forgive myself!’","如果的确发生什么事了，那我永远都不会原谅我自己！”"
"The Duke, uneasily, ‘O, no.","公爵不安地说道，“噢，不。"
"He has some other engagement.’","他被其他事耽搁了。”"
"‘That is very unlikely.’","“不太可能。”"
"‘Or perhaps he has found the distance too far.’","“或者他觉得这里太远了。”"
"‘Nor is that probable.’","“那也不可能。”"
"‘Then he may have thought better of it.’","“那么他肯定是想通了，改变主意了。”"
"‘Yes, he may have thought better of it; if, indeed, he is not here all the time—somewhere in the hollow behind the Devil’s Door.","“是的，他可能想通了，改变主意了；的确，如果他一直都不在这里的话，那他可能在“魔鬼门”后面的洼地里。"
"Let us go and see; it will serve him right to surprise him.’","我们去看看吧；那他活该感到吃惊。”"
"‘O, he’s not there.’","“噢，他不在那里。”"
"‘He may be lying very quiet because of you,’ she said archly.","“他或许因为你在而静静地躺着呢，”她调皮地说道。"
"‘O, no—not because of me!’","“噢，不，绝不会因为我！”"
"‘Come, then.","“那么，来吧。"
"I declare, dearest, you lag like an unwilling schoolboy to-night, and there’s no responsiveness in you!","亲爱的，我不得不说，你今晚就像厌学的学生那样，走得很慢，你根本就没什么同情心！"
"You are jealous of that poor lad, and it is quite absurd of you.’","你嫉妒那个可怜的小伙子，你真是太荒唐了。”"
"‘I’ll come!","“我来了！"
"I’ll come!","我来了！"
"Say no more, Harriet!’","别说了，哈丽雅特！”"
" And they crossed over the green.","然后，他们穿过了绿草地。"
"Wondering what they would do, the young shepherd left the hut, and doubled behind the belt of furze, intending to stand near the trilithon unperceived.","男孩想知道他们接下来会做什么，便离开了棚子，躬身藏在荆豆丛后面，想偷偷地站在巨石牌坊跟前。"
"But, in crossing the few yards of open ground he was for a moment exposed to view.","但是，在穿过那几码宽的空地的时候，他有一会儿是暴露在月光下的。"
"‘Ah, I see him at last!’ said the Duchess.","“啊，我终于看见他了！”公爵夫人说道。"
"‘See him!’ said the Duke.","“看见他了！”公爵说。"
"‘Where?’","“在哪？”"
"‘By the Devil’s Door; don’t you notice a figure there?","“在‘魔鬼门’旁边，你没看到那里有个人影吗？"
"Ah, my poor lover-cousin, won’t you catch it now?’","啊，我可怜的表弟，你现在还没看见吗？”"
"And she laughed half-pityingly.","她半同情地笑着。"
"‘But what’s the matter?’ she asked, turning to her husband.","“但是，怎么回事？”她问道，同时转向她丈夫。"
"‘It is not he!’ said the Duke hoarsely.","“那不是他！”公爵声音沙哑地说，"
"‘It can’t be he!’","“不可能是他！”"
"‘No, it is not he.","“不，那不是他。"
"It is too small for him.","他没那么小。"
"It is a boy.’","那是一个男孩。”"
"‘Ah, I thought so!","“啊，我也觉得！"
"Boy, come here.’","孩子，过来。”"
"The youthful shepherd advanced with apprehension.","年轻的牧羊人向他们走去，心中充满了恐惧。"
"‘What are you doing here?’","“你在这里干什么？”"
"‘Keeping sheep, your Grace.’","“看守羊群，公爵夫人阁下。”"
"‘Ah, you know me!","“啊，你认识我！"
"Do you keep sheep here every night?’","你每天晚上都在这里看守羊群吗？”"
"‘Off and on, my Lord Duke.’","“断断续续的，公爵大人。”"
"‘And what have you seen here to-night or last night?’ inquired the Duchess.","“那你今天晚上和昨天晚上在这里看到了什么？”公爵夫人问道。"
"‘Any person waiting or walking about?’","“有没有人在等人或者四处徘徊？”"
"The boy was silent.","男孩沉默了。"
"‘He has seen nothing,’ interrupted her husband, his eyes so forbiddingly fixed on the boy that they seemed to shine like points of fire.","“他什么都没看到，”她的丈夫打断道，冷峻的目光盯着男孩，眼睛好像火球一样闪闪发亮，"
"‘Come, let us go.","“来，我们走吧。"
"The air is too keen to stand in long.’","太冷了，不能长时间站在这里。”"
"When they were gone the boy retreated to the hut and sheep, less fearful now than at first—familiarity with the situation having gradually overpowered his thoughts of the buried man.","他们走了之后，男孩回到了棚子里，接着照看羊群，他没起初那么害怕了——熟悉了情况之后，他不像先前那样一直想着被埋葬了的那个男子了。"
"But he was not to be left alone long.","但是，他不会一个人呆很久的。"
"When an interval had elapsed of about sufficient length for walking to and from Shakeforest Towers, there appeared from that direction the heavy form of the Duke.","过了大概能到谢科福里斯特塔一个来回的时间，那个方向出现了公爵笨重的身影。"
"He now came alone.","这次他是一个人来的。"
"The nobleman, on his part, seemed to have eyes no less sharp than the boy’s, for he instantly recognized the latter among the ewes, and came straight towards him.","就这个贵族而言，他的眼力似乎丝毫不比男孩的差，因为他一眼就在母羊群中看到了男孩，然后径直走向他。"
"‘Are you the shepherd lad I spoke to a short time ago?’","“你是先前跟我们讲话的那个牧羊小孩吗？”"
"‘I be, my Lord Duke.’","“是我，公爵大人。”"
"‘Now listen to me.","“现在听我说。"
"Her Grace asked you what you had seen this last night or two up here, and you made no reply.","公爵夫人问你昨晚或者这两天晚上看到了什么，你没回答。"
"I now ask the same thing, and you need not be afraid to answer.","现在我问你同样的问题，你不用害怕，回答我就好了。"
"Have you seen anything strange these nights you have been watching here?’","你守夜的这几天晚上有看到什么不寻常的事情吗？”"
"‘My Lord Duke, I be a poor heedless boy, and what I see I don’t bear in mind.’","“公爵大人，我是一个可怜的粗心男孩，我看到的事都不记得了。”"
"‘I ask you again,’ said the Duke, coming nearer, ‘have you seen anything strange these nights you have been watching here?’","“我再问你一次，”公爵说，靠近了男孩一些，“你守夜的这几天晚上有没有看到什么不寻常的事情？”"
"‘O, my Lord Duke!","“噢，公爵大人！"
"I be but the under-shepherd boy, and my father he was but your humble Grace’s hedger, and my mother only the cinder-woman in the back-yard!","我只是一个小小的牧羊男孩，我父亲曾经是一个为您种植树篱的下人，我母亲只是一位在后院清理煤渣的人！"
"I fall asleep when left alone, and I see nothing at all!’","我一个人的时候就睡着了，我什么都没看见！”"
"The Duke grasped the boy by the shoulder, and, directly impending over him, stared down into his face, ‘Did you see anything strange done here last night, I say?’","公爵抓住了男孩的肩膀，逼近他，向下盯着他的脸说：“我问你，你昨晚有没有看到什么不寻常的事？”"
"‘O, my Lord Duke, have mercy, and don’t stab me!’ cried the shepherd, falling on his knees.","“噢，公爵大人，饶了我吧，别拿刀捅我！”男孩哭着说道，然后跪了下来，"
"‘I have never seen you walking here, or riding here, or lying-in-wait for a man, or dragging a heavy load!’","“我从来没看到你走着来到这里，或者骑马来到这里，或者躺着等人，或者拖着重物！”"
"‘H’m!’ said his interrogator, grimly, relaxing his hold.","“呵！”问话人冷酷地说，然后放开了男孩，"
"‘It is well to know that you have never seen those things.","“知道你没看到这些事就行了。"
"Now, which would you rather—see me do those things now, or keep a secret all your life?’","那么，你愿意选择哪一个呢——是让我再做一遍我做过的事呢，还是你守口如瓶，永远不说出去呢？”"
"‘Keep a secret, my Lord Duke!’","“守口如瓶，公爵大人！”"
"‘Sure you are able?’","“你能做到吗？”"
"‘O, your Grace, try me!’","“噢，大人，你可以考验我！”"
"‘Very well.","“很好。"
"And now, how do you like sheep-keeping?’","那么，那你喜欢看守羊群吗？”"
"‘Not at all.","“一点儿都不喜欢。"
"’Tis lonely work for them that think of spirits, and I’m badly used.’","这是一份喜欢独处的人的工作，我很不习惯。”"
"‘I believe you.","“我相信你。"
"You are too young for it.","你太小了，不适合这份工作。"
"I must do something to make you more comfortable.","我必须做点儿什么，让你感到舒服一点儿。"
"You shall change this smock-frock for a real cloth jacket, and your thick boots for polished shoes.","你将脱掉这件罩袍，脱掉你的厚靴子，换上真正的夹克衫和闪闪发亮的鞋子。"
"And you shall be taught what you have never yet heard of; and be put to school, and have bats and balls for the holidays, and be made a man of.","将有人教授你从来没听过的东西；你将去上学，放假的时候去打球，成为一个真正的男子汉。"
"But you must never say you have been a shepherd boy, and watched on the hills at night, for shepherd boys are not liked in good company.","但是，你永远都不许提你曾经是牧羊男孩，晚上在山上守过夜，因为别人不喜欢跟牧羊男孩交朋友。"
"‘Trust me, my Lord Duke.’","“请您相信我，公爵大人。”"
"‘The very moment you forget yourself, and speak of your shepherd days—this year, next year, in school, out of school, or riding in your carriage twenty years hence—at that moment my help will be withdrawn, and smash down you come to shepherding forthwith.","“你一旦忘了自己的身份，提起你放羊的日子——不管是今年还是明年，无论是在学校还是不在学校，或者是二十年后坐在你的马车里——那我会立刻收回对你的帮助，毁了你，让你马上去牧羊。"
"You have parents, I think you say?’","我记得你说了你也有父母吧？”"
"‘A widowed mother only, my Lord Duke.’","“只有一个寡母，公爵大人！”"
"‘I’ll provide for her, and make a comfortable woman of her, until you speak of—what?’","“我会为她提供生活所需，让她过上舒适的生活，直到你提起——什么？”"
"‘Of my shepherd days, and what I saw here.’","“提起我牧羊的日子以及我在这里看到的事情。”"
"‘Good.","“很好。"
"If you do speak of it?’","如果你的确提起了呢？”"
"‘Smash down she comes to widowing forthwith!’","“那就让她继续过寡妇的日子。”"
"‘That’s well—very well.","“好，很好。"
"But it’s not enough.","但是这还不够。"
"Come here.’","过来。”"
" He took the boy across to the trilithon, and made him kneel down.","他拉着男孩穿过草地，来到巨石牌坊前，让他跪下来。"
"‘Now, this was once a holy place,’ resumed the Duke.","“嗯，这曾经是一个神圣的地方，”公爵继续说道，"
"‘An altar stood here, erected to a venerable family of gods, who were known and talked of long before the God we know now.","“这里曾经有一个圣坛，是为一个受人尊敬的神的家庭建造的，远在现在我们所知的上帝之前，人们就知道并且在讨论那些神。"
"So that an oath sworn here is doubly an oath.","所以，在这里发的誓就是一个双重誓言。"
"Say this after me: “May all the host above—angels and archangels, and principalities and powers—punish me; may I be tormented wherever I am—in the house or in the garden, in the fields or in the roads, in church or in chapel, at home or abroad, on land or at sea; may I be afflicted in eating and in drinking, in growing up and in growing old, in living and dying, inwardly and outwardly, and for always, if I ever speak of my life as a shepherd boy, or of what I have seen done on this Marlbury Down.","现在跟着我说：‘如果我提起我做牧羊男孩的日子，提起我在马尔伯里丘陵地看到的事情，那么请天上所有的圣灵——天使、大天使、权天使以及力天使——惩罚我；无论我在哪里，在屋里还是在花园，在田野还是在路上，在教堂还是在礼拜堂，在家乡还是在异地，在陆地还是在海洋，我都会受到折磨；我在饮食、成长、变老、生死、内外各个方面，永远都会感到痛苦。"
"So be it, and so let it be.","但愿如此，诚愿如此。"
"Amen and amen.”","阿门，阿门。’"
"Now kiss the stone.’","现在亲吻石头。”"
"The trembling boy repeated the words, and kissed the stone, as desired.","男孩浑身颤抖，他重复了这些语句，然后像公爵要求的那样亲吻了石头。"
"The Duke led him off by the hand.","公爵松开了男孩的手。"
"That night the junior shepherd slept in Shakeforest Towers, and the next day he was sent away for tuition to a remote village.","那天晚上，这位年少的牧羊人在谢科福里斯特塔睡了一觉，第二天便被送到一个遥远的村子去上学了。"
"Thence he went to a preparatory establishment, and in due course to a public school.","从那里，他去了一个预备学校，到时候再去公学。"
"FOURTH NIGHT","第四夜"
"On a winter evening many years subsequent to the above-mentioned occurrences, the ci-devant shepherd sat in a well-furnished office in the north wing of Shakeforest Towers in the guise of an ordinary educated man of business.","在上述这些事件发生很多年后一个冬天的晚上，这位曾经的牧羊人坐在谢科福里斯特塔北翼一个布置很好的办公室里，他现在看起来是一位受过教育的寻常的办事人。"
"He appeared at this time as a person of thirty-eight or forty, though actually he was several years younger.","他好像有三十八或四十岁，但事实上没那么老。"
"A worn and restless glance of the eye now and then, when he lifted his head to search for some letter or paper which had been mislaid, seemed to denote that his was not a mind so thoroughly at ease as his surroundings might have led an observer to expect.","他不时抬起头来寻找那些错放在哪个地方的信件或文件，眼神中透着疲惫和焦虑，好像他的心态并不是完全平和的，他所处的环境可能会给旁观者留下这样的印象。"
