"In the Days of the Comet","彗星来临"
"“But, Nettie!","“可是，妮蒂！"
"I came over to talk to you?”","我来这儿是因为有话想跟你说！”"
"“My dear boy!","“我亲爱的男孩！"
"Tea first, if you please!","不介意的话，请先喝茶！"
"And besides—aren’t we talking?”","另外，我们不是一直在说话吗？”"
"The “dear boy” was a new note, that sounded oddly to me.","“亲爱的男孩”是个新称呼，听起来怪怪的。"
"She quickened her pace a little.","她稍微加快了脚步。"
"“I wanted to explain—” I began.","“我想跟你解释——”我开口说。"
"Whatever I wanted to explain I had no chance to do so.","但不管我想解释什么，都没机会。"
"I said a few discrepant things that she answered rather by her intonation than her words.","我说了不少无关正题的话，与其说她是用话语来回答我，还不如说是在用语调来附和我。"
"When we were well past the shrubbery, she slackened a little in her urgency, and so we came along the slope under the beeches to the garden.","我们要走过灌木丛的时候，她稍微放慢了匆匆的脚步，于是我们就肩并肩地走下了通向花园山毛榉树的斜坡。"
"She kept her bright, straightforward-looking girlish eyes on me as we went; it seemed she did so all the time, but now I know, better than I did then, that every now and then she glanced over me and behind me towards the shrubbery.","我们一边走，她一边用明亮坦然的少女般的目光望着我，似乎她一直都是如此。不过现在我明白了，当时的我并不清楚这一点。她时不时地瞥向我这一边，目光穿过我，落在我身后的灌木丛里。"
"And all the while, behind her quick breathless inconsecutive talk she was thinking.","在她气喘吁吁、上气不接下气的谈话背后，她始终都是在思考着的。"
"Her dress marked the end of her transition.","她的穿着表明了她转型期的结束。"
"Can I recall it?","我还能想起那时她的穿着吗？"
"Not, I am afraid, in the terms a woman would use.","用女人们的话来说，恐怕是想不起来了。"
"But her bright brown hair, which had once flowed down her back in a jolly pig-tail tied with a bit of scarlet ribbon, was now caught up into an intricacy of pretty curves above her little ear and cheek, and the soft long lines of her neck; her white dress had descended to her feet; her slender waist, which had once been a mere geographical expression, an imaginary line like the equator, was now a thing of flexible beauty.","但我记得她亮丽的褐色头发曾垂在背后，用一根深红色的绸带扎成一束活泼的马尾。而现在她却烫了漂亮的大波浪，搭在小巧的耳朵和脸蛋上。还有她的修长的脖颈，长及脚跟的白色长裙，她纤细的腰身过去不过是为了展现身段，就像赤道一样是一条想象中的地理分界线，而现在却变得柔弱灵活，妩媚动人。"
"A year ago she had been a pretty girl’s face sticking out from a little unimportant frock that was carried upon an extremely active and efficient pair of brown-stockinged legs.","一年前，她拥有的还只是一张清纯少女的面庞，穿着普普通通的上衣，腿上套着棕色的长袜，充满朝气。"
"Now there was coming a strange new body that flowed beneath her clothes with a sinuous insistence.","而现在在我面前的是一副完全陌生的、崭新的样子，优雅穿着下面曲线毕露。"
"Every movement, and particularly the novel droop of her hand and arm to the unaccustomed skirts she gathered about her, and a graceful forward inclination that had come to her, called softly to my eyes.","举手投足间，特别是她用双臂拢住新颖别致的裙裾时的样子，是那么的优雅大方，让我目不转睛。"
"A very fine scarf—I suppose you would call it a scarf—of green gossamer, that some new wakened instinct had told her to fling about her shoulders, clung now closely to the young undulations of her body, and now streamed fluttering out for a moment in a breath of wind, and like some shy independent tentacle with a secret to impart, came into momentary contact with my arm.","也许是出于某种刚刚苏醒的本能，她低头看了看自己的双肩，一条精致的绿披肩（我想你应该叫它披肩）紧紧地裹着她线条优美、充满青春的身躯，现正随微风飘动，像是一些羞涩而无束的触须想要透露什么秘密似的，时不时地碰着我的胳膊。"
"She caught it back and reproved it.","她收回披肩，嘴里说了些什么。"
"We went through the green gate in the high garden wall.","我们走过花园高墙的绿色大门。"
"I held it open for her to pass through, for this was one of my restricted stock of stiff politenesses, and then for a second she was near touching me.","我打开门让她先进去，我本来就没多少这种拘谨的礼数，这就是为数不多的一次，有一刻她几乎是擦着我过去的。"
"So we came to the trim array of flower-beds near the head gardener’s cottage and the vistas of “glass” on our left.","我们一起走进园丁领班住所附近的花圃，那花圃收拾得整洁亮丽，从左边看过去，是一长排暖房。"
"We walked between the box edgings and beds of begonias and into the shadow of a yew hedge within twenty yards of that very pond with the gold-fish, at whose brim we had plighted our vows, and so we came to the wistaria-smothered porch.","我们在黄杨木和秋海棠之间走着，走进浆果紫杉树篱的树阴里，这里距我们曾海誓山盟的金鱼池不到二十码。随后，我们便走进了缠满紫藤的门廊。"
"The door was wide open, and she walked in before me.","门是打开着的，她先我一步走了进去。"
"“Guess who has come to see us!”","“猜猜谁来看我们了！”"
"she cried.","她喊着说。"
"Her father answered indistinctly from the parlor, and a chair creaked.","她的父亲的回应声从起居室里隐约传来，而后是椅子吱吱嘎嘎的响声。"
"I judged he was disturbed in his nap.","我想我们吵到他午休了。"
"“Mother!”","“妈妈！”"
"she called in her clear young voice.","她用清亮年轻的声音叫着，"
"“Puss!”","“普斯！”"
"Puss was her sister.","普斯是她的妹妹。"
"She told them in a marveling key that I had walked all the way from Clayton, and they gathered about me and echoed her notes of surprise.","她用惊讶的语气告诉他们，我是从克莱顿一路步行过来的，而后他们都围在我身边，也跟着她发出惊讶的声音。"
"“You’d better sit down, Willie,” said her father; “now you hae got here.","“威利，赶快坐下，”她父亲说，“你都到这里了。"
"How’s your mother?”","你母亲身体怎么样？”"
"He looked at me curiously as he spoke.","他边说边好奇地打量着我。"
"He was dressed in his Sunday clothes, a sort of brownish tweeds, but the waistcoat was unbuttoned for greater comfort in his slumbers.","他穿着礼拜天的服装，那是一套棕色的粗花呢衣服，马甲敞着，这样是为了睡觉更舒适一些。"
"He was a brown-eyed ruddy man, and I still have now in my mind the bright effect of the red-golden hairs that started out from his cheek to flow down into his beard.","他有着一双棕色的眼睛，面色红润，他面颊边上金红色的头发和络腮胡子混在一起。这个形象在我脑中至今都留有鲜明的印象。"
"He was short but strongly built, and his beard and mustache were the biggest things about him.","他个子不高却很结实，最突出的部分则是他满面的胡须。"
"She had taken all the possibility of beauty he possessed, his clear skin, his bright hazel-brown eyes, and wedded them to a certain quickness she got from her mother.","她继承了父亲的所有优点，如白皙的皮肤，淡褐色的明亮眼睛，并且遗传了母亲的动作麻利。"
"Her mother I remember as a sharp-eyed woman of great activity; she seems to me now to have been perpetually bringing in or taking out meals or doing some such service, and to me—for my mother’s sake and my own—she was always welcoming and kind.","在我的印象中，她母亲目光犀利、充满活力。她似乎一直都在不停地进进出出，忙着做饭端饭，或者做一些其他的家务。在我看来，也许是因为我的母亲或是我的缘故，她总是那么热情好客、和蔼可亲。"
"Puss was a youngster of fourteen perhaps, of whom a hard bright stare, and a pale skin like her mother’s, are the chief traces on my memory.","普斯大概十四岁左右，我对她的印象就仅剩下她漠然的目光和像她母亲一样苍白的面色。"
"All these people were very kind to me, and among them there was a common recognition, sometimes very agreeably finding expression, that I was—“clever.”","他们全家人对我都很好，他们有个共识，有时完全溢于言表，那就是他们都觉得我——“聪明”。"
"They all stood about me as if they were a little at a loss.","他们都围着我站着，有点儿不知所措的样子。"
"“Sit down!”","“坐吧！”"
"said her father.","他父亲说，"
"“Give him a chair, Puss.”","“普斯，给他搬把椅子。”"
"We talked a little stiffly—they were evidently surprised by my sudden apparition, dusty, fatigued, and white faced; but Nettie did not remain to keep the conversation going.","我们之间的谈话有点儿不太自然，很明显他们被我的突然造访以及蓬头垢面、疲惫不堪、面色苍白的样子吓到了。但是妮蒂没有留下来继续和我聊天。"
"“There!”","“不好了！”"
"she cried suddenly, as if she were vexed.","她突然烦躁地叫了起来，"
"“I declare!”","“我肯定！”"
"and she darted out of the room.","说着她就冲出了房间。"
"“Lord!","“天呢！"
"what a girl it is!”","这孩子怎么了！”"
"said Mrs. Stuart.","斯图尔特夫人说，"
"“I don’t know what’s come to her.”","“我不知道她怎么了。”"
"It was half an hour before Nettie came back.","妮蒂半小时后才回来。"
"It seemed a long time to me, and yet she had been running, for when she came in again she was out of breath.","这半小时对我来说似乎太漫长了，而她显然一直在跑，因为她回来的时候已经是上气不接下气了。"
"In the meantime, I had thrown out casually that I had given up my place at Rawdon’s.","她进来的时候，我漫不经心地告诉他们我已经跟罗顿辞职了。"
"“I can do better than that,” I said.","“我会干得更好的。”我说。"
"“I left my book in the dell,” she said, panting.","“我把书落在小山谷里了，”她喘着粗气说，"
"“Is tea ready?”","“茶好了没有？”"
"and that was her apology...","这就算是她的道歉了……"
"We didn’t shake down into comfort even with the coming of the tea-things.","即使在喝下午茶的时候，我们也没有感到轻松。"
"Tea at the gardener’s cottage was a serious meal, with a big cake and little cakes, and preserves and fruit, a fine spread upon a table.","园丁住所的下午茶算得上一顿正餐。有一张大饼和一些小蛋糕，桌上精心地摆着果酱和水果。"
"You must imagine me, sullen, awkward, and preoccupied, perplexed by the something that was inexplicably unexpected in Nettie, saying little, and glowering across the cake at her, and all the eloquence I had been concentrating for the previous twenty-four hours, miserably lost somewhere in the back of my mind.","你一定可以想象到，那时的我面色阴郁、表情尴尬、心事重重，被妮蒂莫名其妙的行为弄得不知所措，不知道应该说些什么，只能将目光穿过蛋糕落在她的身上。过去24小时里的能言善辩完全被我抛到脑后了。"
"Nettie’s father tried to set me talking; he had a liking for my gift of ready speech, for his own ideas came with difficulty, and it pleased and astonished him to hear me pouring out my views.","妮蒂的父亲尝试让我能说些什么，他很欣赏我的口才，因为他自己不善言辞，所以听我滔滔不绝地讲述我的观点会使他又惊又喜。"
"Indeed, over there I was, I think, even more talkative than with Parload, though to the world at large I was a shy young lout.","确实，我自己也觉得那时的我甚至要比跟帕罗德一起时还要健谈，尽管对世界上大多数人来说，我不过是个羞涩的傻小子。"
"“You ought to write it out for the newspapers,” he used to say.","“你真应该写出来为报纸撰稿。”他常这么说，"
"“That’s what you ought to do.","“你真应该这么做。"
"I never heard such nonsense.”","我从未听过这样的事情。”"
"Or, “You’ve got the gift of the gab, young man.","或者是，“小伙子，你口才太好了。"
"We ought to ha’ made a lawyer of you.”","我们应该让你去当律师。”"
"But that afternoon, even in his eyes, I didn’t shine.","可是那天下午，就算在他眼里，我都已经黯然失色了。"
"Failing any other stimulus, he reverted to my search for a situation, but even that did not engage me.","他用了很多种方法来激发我都没管用，后来又问我找工作的事情，可那也没能让我提起兴趣。"
"Section 5","第五节"
"For a long time I feared I should have to go back to Clayton without another word to Nettie, she seemed insensible to the need I felt for a talk with her, and I was thinking even of a sudden demand for that before them all.","很长时间以来，我都担心自己恐怕还没跟妮蒂多说一句话就得返回克莱顿，她似乎完全不知道我想跟她谈心的渴望，而我却一直惦念这件事儿，这可不是什么心血来潮。"
"It was a transparent manoeuver of her mother’s who had been watching my face, that sent us out at last together to do something—I forget now what—in one of the greenhouses.","她的母亲一直盯着我看，意图很明显，就是想让我们一起去暖房里干点儿事情——我现在已经忘了当时要做什么了。"
"Whatever that little mission may have been it was the merest, most barefaced excuse, a door to shut, or a window to close, and I don’t think it got done.","而不管那是什么微不足道的事情，是关门还是关窗，都是最为露骨的借口，但我觉得那都起不了什么作用。"
"Nettie hesitated and obeyed.","妮蒂犹豫了一下，还是同意了。"
"She led the way through one of the hot-houses.","她带我穿过一间暖房。"
"It was a low, steamy, brick-floored alley between staging that bore a close crowd of pots and ferns, and behind big branching plants that were spread and nailed overhead so as to make an impervious cover of leaves, and in that close green privacy she stopped and turned on me suddenly like a creature at bay.","那条砖砌的小巷低矮而潮湿，到处都是水汽蒙蒙的。我们从满是大麻叶和蕨类植物的架子中间穿过，架子后面的植物长得郁郁葱葱，四处蔓延，穿越头顶，树叶厚厚地遮了一层，就在这狭窄的绿色隐蔽的地方，她停下了脚步，像无路可走的动物一样突然转身面向我。"
"“Isn’t the maidenhair fern lovely?”","“银杏蕨太可爱了，不是吗？”"
"she said, and looked at me with eyes that said, “NOW.”","她望着我说，眼睛示意着“现在”。"
"“Nettie,” I began, “I was a fool to write to you as I did.”","“妮蒂，”我说，“我太傻了，竟然给你写那样的信。”"
"She startled me by the assent that flashed out upon her face.","她脸上表现出同意的表情，这让我颇为惊讶。"
"But she said nothing, and stood waiting.","而她却什么也没说，只是站在那里等着。"
"“Nettie,” I plunged, “I can’t do without you.","“妮蒂，”我进一步说，“我不能没有你。"
"I—I love you.”","我——我爱你。”"
"“If you loved me,” she said trimly, watching the white fingers she plunged among the green branches of a selaginella, “could you write the things you do to me?”","“如果你曾爱过我，”她打断我，望着自己插在绿色枝叶里白皙的手指说，“你怎么会写那种信给我？”"
"“I don’t mean them,” I said.","“我不是那个意思，”我说，"
"“At least not always.”","“至少不总是那个意思。”"
"I thought really they were very good letters, and that Nettie was stupid to think otherwise, but I was for the moment clearly aware of the impossibility of conveying that to her.","我真的觉得那些信写得太好了，妮蒂那样想实在是太傻了，但我那时清醒地知道，我不能向她那样吐露心声。"
"“You wrote them.”","“可你就是那样写的。”"
"“But then I tramp seventeen miles to say I don’t mean them.”","“但我却走了十七英里来告诉你，我不是那个意思。”"
"“Yes.","“这是不错。"
"But perhaps you do.”","但说不定你就是那个意思。”"
"I think I was at a loss; then I said, not very clearly, “I don’t.”","我觉得我当时完全不知道该怎么做，后来我只能含混地说：“不是。”"
"“You think you—you love me, Willie.","“威利，你以为你——你爱我，"
"But you don’t.”","但你其实并不爱我。”"
"“I do.","“我爱你。"
"Nettie!","妮蒂！"
"You know I do.”","你知道我爱你。”"
"For answer she shook her head.","她摇了摇头，算是对我的回答。"
"I made what I thought was a most heroic plunge.","我做出了当时我自认为最英勇的进攻。"
"“Nettie,” I said, “I’d rather have you than—than my own opinions.”","“妮蒂，”我说，“相比于我的思想，我情愿拥有你。”"
"The selaginella still engaged her.","她的目光依然停留在枝枝叶叶上。"
"“You think so now,” she said.","“你只是现在这么想。”她说。"
"I broke out into protestations.","我开始反驳。"
"“No,” she said shortly.","“不，”她简洁地说，"
"“It’s different now.”","“现在又不一样了。”"
"“But why should two letters make so much difference?”","“但为什么两封信就能造成这么大的区别呢？”"
"I said.","我问。"
"“It isn’t only the letters.","“这不仅是信的问题。"
"But it is different.","但就是不一样了。"
"It’s different for good.”","永远都不一样了。”"
"She halted a little with that sentence, seeking her expression.","说完她顿了一下，似乎在找合适词语来表达。"
"She looked up abruptly into my eyes and moved, indeed slightly, but with the intimation that she thought our talk might end.","她突然抬起头凝望着我的眼睛，有些激动，也有一种暗示，她觉得我们之间的谈话应该结束了。"
"But I did not mean it to end like that.","但我不想就这么结束。"
"“For good?”","“永远？”"
"said I.","我说，"
"“No!..","“不！……"
"Nettie!","妮蒂！"
"Nettie!","妮蒂！"
"You don’t mean that!”","你不是这个意思！”"
"“I do,” she said deliberately, still looking at me, and with all her pose conveying her finality.","“我确实是这个意思。”她依旧望着我，镇定地说，她举手投足间都在告诉我这是她最后的定论。"
"She seemed to brace herself for the outbreak that must follow.","看上去她已经做好了一切准备，随时应对之后将发生的一切。"
"Of course I became wordy.","我当然开始变得唠唠叨叨。"
"But I did not submerge her.","但是我并没有能说服她。"
"She stood entrenched, firing her contradictions like guns into my scattered discursive attack.","她站在那里，对我的零星散乱的进攻一一击破。"
"I remember that our talk took the absurd form of disputing whether I could be in love with her or not.","印象中我们的争论是很可笑的，竟然在我是否爱她这个问题上争论不休。"
"And there was I, present in evidence, in a deepening and widening distress of soul because she could stand there, defensive, brighter and prettier than ever, and in some inexplicable way cut off from me and inaccessible.","现在看来，我当时很明显正越来越深地陷入痛苦中，因为那时的她能以一种自我保护的态度站在那里，比以往任何时候都更加伶牙俐齿、楚楚动人，并可以用难以捉摸的方式拒我以千里之外。"
"You know, we had never been together before without little enterprises of endearment, without a faintly guilty, quite delightful excitement.","你要知道，若是没有表示亲昵的那点儿胆量，没有一丝愧疚感，没有一毫令人兴奋不已的刺激，我们之前是绝不会在一起的。"
"I pleaded, I argued.","我恳求她，并为自己辩解。"
"I tried to show that even my harsh and difficult letters came from my desire to come wholly into contact with her.","我试着向她证明，我写那些苛刻的、让人无法接受的信件，都是因为我想更深入地跟她沟通。"
"I made exaggerated fine statements of the longing I felt for her when I was away, of the shock and misery of finding her estranged and cool.","我夸张地说，我没跟她在一起时，我是多么思念她。看见她跟我疏远、冷淡的态度，我是多么的震惊和痛苦。"
"She looked at me, feeling the emotion of my speech and impervious to its ideas.","她看着我，领会到我话语中强烈的感情，却始终不为之所动。"
"I had no doubt—whatever poverty in my words, coolly written down now—that I was eloquent then.","我毫不怀疑我当时是多么的能言善辩。即使我当时已经理屈词穷，我现在依然能冷静地写下来。"
"I meant most intensely what I said, indeed I was wholly concentrated upon it.","我是认真的，的确不是在开玩笑，我当时精神十分集中。"
"I was set upon conveying to her with absolute sincerity my sense of distance, and the greatness of my desire.","我真心向她吐露心声，告诉她我所感受到的她的疏远和冷淡，以及我是多么希望跟她好好谈谈。"
"I toiled toward her painfully and obstinately through a jungle of words.","我通过语言艰难而顽强地一点点靠近她。"
"Her face changed very slowly—by such imperceptible degrees as when at dawn light comes into a clear sky.","她的脸色慢慢变化着，像是晴空中的阳光一样难以察觉。"
"I could feel that I touched her, that her hardness was in some manner melting, her determination softening toward hesitations.","我能感到我的话触动了她，她冷漠的表情正在一点点缓和，她原本坚定的心开始犹豫。"
"The habit of an old familiarity lurked somewhere within her.","曾经亲昵的习惯在她体内蠢蠢欲动。"
"But she would not let me reach her.","而她依然不允许我靠近她。"
"“No,” she cried abruptly, starting into motion.","“不。”她突然喊了一声，激动起来。"
"She laid a hand on my arm.","她把一只手放在我的胳膊上。"
"A wonderful new friendliness came into her voice.","她的声音中露出一种崭新而奇妙的友谊之情。"
"“It’s impossible, Willie.","“这不可能了，威利。"
"Everything is different now—everything.","现在一切都不一样了——一切。"
"We made a mistake.","我们犯了一个错误。"
"We two young sillies made a mistake and everything is different for ever.","我们两个小傻瓜犯了一个错误，而现在一切都不一样了，永远不一样了。"
"Yes, yes.”","没错，就是这样。”"
"She turned about.","她转过身去。"
"“Nettie!”","“妮蒂！”"
"cried I, and still protesting, pursued her along the narrow alley between the staging toward the hot-house door.","我大声叫着，仍旧反驳着她，一边顺着通向暖房门前架子之间的狭长小径追赶她。"
"I pursued her like an accusation, and she went before me like one who is guilty and ashamed.","她在前面跑，我在后面追，仿佛我就是原告在追羞愧的被告。"
"So I recall it now.","直到现在此情此景仍让我难以忘怀。"
"She would not let me talk to her again.","但她不再给我交谈的机会了。"
"Yet I could see that my talk to her had altogether abolished the clear-cut distance of our meeting in the park.","但我看得出，我的话已经打消了我们在公园里见面时那种明显的冷漠和距离感。"
"Ever and again I found her hazel eyes upon me.","我察觉到她淡褐色的眼睛时不时地望向我这边。"
"They expressed something novel—a surprise, as though she realized an unwonted relationship, and a sympathetic pity.","眼神中她透露出某种新奇的光彩，或者说是一种惊奇的神情，似乎她已经意识到那是一种不同寻常的关系和一种怜悯与同情。"
"And still—something defensive.","不过那仍然带着某种防御性的意味。"
"When we got back to the cottage, I fell talking rather more freely with her father about the nationalization of railways, and my spirits and temper had so far mended at the realization that I could still produce an effect upon Nettie, that I was even playful with Puss.","当我们回去后，我觉得我能相当自由地跟她父亲谈论铁路国有化的事情了。一想到我依然能够对妮蒂产生影响，想到我甚至能跟普斯开玩笑，我的精神和情绪都有了很大的调整。"
"Mrs. Stuart judged from that that things were better with me than they were, and began to beam mightily.","斯图尔特夫人也由此看得出他们跟我的关系已经好转了，脸上露出了笑容。"
"But Nettie remained thoughtful and said very little.","但是妮蒂依然是一副若有所思的样子，很少讲话。"
"She was lost in perplexities I could not fathom, and presently she slipped away from us and went upstairs.","可我不知道她因为什么变得如此茫然，没过多久，她就悄悄上楼了。"
"Section 6","第六节"
"I was, of course, too footsore to walk back to Clayton, but I had a shilling and a penny in my pocket for the train between Checkshill and Two-Mile Stone, and that much of the distance I proposed to do in the train.","我双脚疼痛不已，自然没有办法再走回克莱顿，但我口袋里还有一先令一便士，够我坐切克希利和两里石之间的火车。于是我打算乘火车坐过大半的路程。"
"And when I got ready to go, Nettie amazed me by waking up to the most remarkable solicitude for me.","我正要走时，妮蒂突然对我表露出明显的关心，这让我惊讶不已。"
"I must, she said, go by the road.","她告诉我说，我必须要走公路。"
"It was altogether too dark for the short way to the lodge gates.","因为天已经完全黑了，就连通往大门的那一小段路程都看不清了。"
"I pointed out that it was moonlight.","我跟她说还有月光。"
"“With the comet thrown in,” said old Stuart.","“还有彗星的光芒。”老斯图尔特说。"
"“No,” she insisted, “you MUST go by the road.”","“不，”她坚持说，“你必须走公路。”"
"I still disputed.","我依然坚持。"
"She was standing near me.","她站在我身边。"
"“To please ME,” she urged, in a quick undertone, and with a persuasive look that puzzled me.","“就算为了我。”她小声而快速地说，她劝解的眼神让我不解。"
"Even in the moment I asked myself why should this please her?","即使到现在，我依然还会问自己，走公路怎么会讨好她？"
"I might have agreed had she not followed that up with, “The hollies by the shrubbery are as dark as pitch.","如果她后面不再说什么，也许我就答应了。但她却接着说：“灌木丛旁边的冬青树漆黑一片。"
"And there’s the deer-hounds.”","而且还有猎鹿犬。”"
"“I’m not afraid of the dark,” said I.","“我从不怕黑。”我说，"
"“Nor of the deer-hounds, either.”","“也不怕什么猎鹿犬。”"
"“But those dogs!","“但是那些狗！"
"Supposing one was loose!”","万一有只被放出来了怎么办！”"
"That was a girl’s argument, a girl who still had to understand that fear is an overt argument only for her own sex.","这就是一个女孩子的理由，这个女孩子得知道，胆怯不过是她这个性别才说得出的理由。"
"I thought too of those grisly lank brutes straining at their chains and the chorus they could make of a night when they heard belated footsteps along the edge of the Killing Wood, and the thought banished my wish to please her.","我也想过，这些可怕而精壮的畜生被紧紧拴在铁链上，一到晚上，它们一听见从屠宰林旁传来的匆匆的脚步声就会一起狂吠，这个想法打消了我讨好她的愿望。"
"Like most imaginative natures I was acutely capable of dreads and retreats, and constantly occupied with their suppression and concealment, and to refuse the short cut when it might appear that I did it on account of half a dozen almost certainly chained dogs was impossible.","和想象力丰富的人一样，我胆子特别小，经常退缩，常常忙于压抑并掩盖这些念头，并在可能出现的时候拒绝打断，我不能因为几只几乎可以断定是被紧拴着的狗才这样做。"
"So I set off in spite of her, feeling valiant and glad to be so easily brave, but a little sorry that she should think herself crossed by me.","因此我没有理会她就上路了，我觉得自己相当勇敢，而且喜出望外地发现勇敢是如此简单，但同时也有点儿遗憾，因为她会觉得她被我征服了。"
"A thin cloud veiled the moon, and the way under the beeches was dark and indistinct.","月亮在薄云的笼罩下洒下蒙眬的光，山毛榉下的小路一片漆黑，难以辨认。"
"I was not so preoccupied with my love-affairs as to neglect what I will confess was always my custom at night across that wild and lonely park.","我没有被爱情冲昏头脑，忽略一个该承认的事实，那就是我习惯在晚上穿过了无一人的寂静的公园。"
"I made myself a club by fastening a big flint to one end of my twisted handkerchief and tying the other about my wrist, and with this in my pocket, went on comforted.","我把一大块打火石绑在一张发皱的手帕一端，另一端系在手腕上，当作球棒用，口袋里有了这个，走夜路就放心多了。"
"And it chanced that as I emerged from the hollies by the corner of the shrubbery I was startled to come unexpectedly upon a young man in evening dress smoking a cigar.","碰巧的是我刚从灌木丛角落的冬青丛走出来，就遇见了一个穿着晚礼服、抽着雪茄的年轻人，这不免吓了我一跳。"
"I was walking on turf, so that the sound I made was slight.","那时我正走在草地上，所以脚步很轻。"
"He stood clear in the moonlight, his cigar glowed like a blood-red star, and it did not occur to me at the time that I advanced towards him almost invisibly in an impenetrable shadow.","他站在月色中，清晰可见，雪茄在夜色中闪烁，像一颗血红的星星，当时我并没有预想到我在漆黑中走近他，几乎令人难以发觉。"
"“Hullo,” he cried, with a sort of amiable challenge.","“嘿，”他的口吻里带着一种和气的挑衅，"
"“I’m here first!”","“是我先在这儿的！”"
"I came out into the light.","我走近月色中。"
"“Who cares if you are?”","“那又怎样？”"
"said I.","我说。"
"I had jumped at once to an interpretation of his words.","我立刻反驳了他的话。"
"I knew that there was an intermittent dispute between the House people and the villager public about the use of this track, and it is needless to say where my sympathies fell in that dispute.","我知道，议员贵族和平民百姓在这条小路的使用上陆续发生过争执，我不用多说我在争执中站在哪一边了。"
"“Eh?”","“什么？”"
"he cried in surprise.","他惊叫说。"
"“Thought I would run away, I suppose,” said I, and came close up to him.","“你想我应该会仓皇逃走，是吧。”我边说边向他靠近。"
"All my enormous hatred of his class had flared up at the sight of his costume, at the fancied challenge of his words.","我一看见他这身纨绔子弟的装束和他话语中挑衅的语气，我就抑制不住心中无限的反感。"
"I knew him.","我认识他。"
"He was Edward Verrall, son of the man who owned not only this great estate but more than half of Rawdon’s pot-bank, and who had interests and possessions, collieries and rents, all over the district of the Four Towns.","他名叫爱德华·维罗尔，他父亲不仅拥有这片房产，还有着罗顿瓷器的大半资产，还有整个四镇地区的股权、财产、煤矿和出租的房地产。"
"He was a gallant youngster, people said, and very clever.","人们常说，他是个勇敢的年轻人，而且很聪明。"
"Young as he was there was talk of parliament for him; he had been a great success at the university, and he was being sedulously popularized among us.","尽管他很年轻，但传言说他就要进议会了。他在大学里表现优异，在我们这些人中颇受欢迎。"
"He took with a light confidence, as a matter of course, advantages that I would have faced the rack to get, and I firmly believed myself a better man than he.","他定了定神，而事实上，这倒是有助于我面对极大的痛苦，而且我坚信我自己要比他更优秀。"
"He was, as he stood there, a concentrated figure of all that filled me with bitterness.","他站在那里，简直就像是一个资本家的缩影，让我痛苦。"
"One day he had stopped in a motor outside our house, and I remember the thrill of rage with which I had noted the dutiful admiration in my mother’s eyes as she peered through her blind at him.","我至今还记得有天他把摩托车停在我们家前面，激起了我的怒火。而那时我的母亲眼神中却流露出恭顺和钦佩，如同她应尽的职责一般。她透过百叶窗凝视着他。"
"“That’s young Mr. Verrall,” she said.","“这就是小维罗尔先生，”她说，"
"“They say he’s very clever.”","“大家都夸他很聪明。”"
"“They would,” I answered.","“他们当然会这么说，”我回答说，"
"“Damn them and him!”","“让他们见鬼去吧！”"
"But that is by the way.","但那不过是随便说说而已。"
"He was clearly astonished to find himself face to face with a man.","当他发现他是跟一个男人面对面时，他显然感到很吃惊。"
"His note changed.","他连音调都变了。"
"“Who the devil are YOU?”","“你到底是什么人？”"
"he asked.","他问道。"
"My retort was the cheap expedient of re-echoing, “Who the devil are you?”","我反唇相讥，反问道：“你又到底是什么人？”"
"“WELL,” he said.","“哎哟。”他说。"
"“I’m coming along this path if I like,” I said.","“这路我爱走就走，”我说，"
"“See?","“明白吗？"
"It’s a public path—just as this used to be public land.","这是条公共道路，就像这里曾经是公共用地一样。"
"You’ve stolen the land—you and yours, and now you want to steal the right of way.","你窃取了这块土地——你和你们的同类，现在你还要窃取这条路的使用权。"
"You’ll ask us to get off the face of the earth next.","下一步你就会要我们滚出地球了。"
"I sha’n’t oblige.","我不会任你摆布。"
"See?”","你懂不懂？”"
"I was shorter and I suppose a couple of years younger than he, but I had the improvised club in my pocket gripped ready, and I would have fought with him very cheerfully.","我没有他高，估计要比他小上几岁，但我手里紧紧攥着口袋里临时做成的武器，我非常乐意跟他打一架。"
"But he fell a step backward as I came toward him.","但我一靠近他，他就开始后退。"
"“Socialist, I presume?”","“你是社会主义者，我没猜错吧？”"
"he said, alert and quiet and with the faintest note of badinage.","他带着警惕、从容而略有嘲弄的口吻说。"
"“One of many.”","“其中的一员。”"
"“We’re all socialists nowadays,” he remarked philosophically, “and I haven’t the faintest intention of disputing your right of way.”","“那这么说我们都是社会主义者”，他镇定地说，“我从未想过要剥夺你的道路使用权。”"
"“You’d better not,” I said.","“最好没有。”我说。"
"“No!”","“绝对没有。”"
"“No.”","“没有就好。”"
"He replaced his cigar, and there was a brief pause.","他换了一支雪茄，沉默了片刻"
"“Catching a train?”","“要赶火车吗？”"
"he threw out.","他拾起了话题。"
"It seemed absurd not to answer.","似乎不回应不太礼貌。"
"“Yes,” I said shortly.","“是的。”我简单地答道。"
"He said it was a pleasant evening for a walk.","他说这是个适合散步的晚上。"
"I hovered for a moment and there was my path before me, and he stood aside.","我徘徊了一下，路就在我面前。他往边上站了站。"
"There seemed nothing to do but go on.","看来只有继续赶路了。"
"“Good night,” said he, as that intention took effect.","“晚安。”他说，意图很明显。"
"I growled a surly good-night.","我也大喊了一声晚安。"
