"书名牧场上的博皮普夫人（欧·亨利经典短篇小说）短简介欧·亨利短篇小说《牧场上的博皮普夫人》中的奥克塔维亚，失去了可能获得的遗产，也厌倦了这座让她迷失的都市。她来到她唯一拥有的牧场，重新开始了生活。返回了大自然，她的天性得到了自由和新鲜空气。在这里，她不仅找到了爱情，也得到了人生的幸福。长简介欧·亨利短篇小说《牧场上的博皮普夫人》中的奥克塔维亚，失去了可能获得的遗产，一文不名。她并不是拜金女，也不艳羡浮华的生活。她终于明白自己已经厌倦了这座让她迷失的都市。于是她来到乡下她唯一拥有的牧场，重新开始了生活，还遇到了自小认识，曾擦肩而过的男子。返回了大自然，她的天性得到了自由和新鲜空气。她不仅找回了爱情，也得到了人生的幸福。关键字牧场上的博皮普夫人；欧·亨利；外研社编译组；短篇；牧场；爱情；自由；手套；自然作者（美）欧·亨利作者简介欧·亨利（1862—1910），美国最著名的短篇小说家之一，曾被评论界誉为曼哈顿桂冠散文作家和美国现代短篇小说之父。善于描写美国社会尤其是纽约百姓的生活。他的作品构思新颖，语言诙谐，结局常常出人意料；他又因描写了众多的人物，富于生活情趣，被誉为“美国生活的幽默百科全书”。书评他用这“含泪的微笑”给我们带来生活的启迪。"
"Madame Bo-Peep, of the Ranches ","牧场上的博皮普夫人"
"Do you happen to know of any fashionable caprice among the gilded youth of Manhattan that induces them to abandon polo and club windows to become managers of sheep ranches?”","那你知道又是什么样的时尚想法使得曼哈顿的纨绔子弟放弃了马球和奢靡生活，转作牧羊场的经理吗？”"
"“It’s easily explained in my case,” responded Teddy, promptly.","“我的事情很好解释，”特迪立马回答说，"
"“I had to go to work.","“我必须要工作。"
"I couldn’t have earned my board in New York, so I chummed a while with old Sandford, one of the syndicate that owned the ranch before Colonel Beaupree bought it, and got a place down here.","纽约没有我的一席之地，我跟老桑福德混了一段时间后 ，在这里找到了容身之处。在博普雷上校买下这个牧场之前，桑福德是这个牧场的主人之一。"
"I wasn’t manager at first.","最开始我并不是经理。"
"I jogged around on ponies and studied the business in detail, until I got all the points in my head.","我骑着马到处游走，详细学习这门生意，直到我对这所有的一切都做到心中有数。"
"I saw where it was losing and what the remedies were, and then Sandford put me in charge.","我弄清楚了损失的源头和补救的办法，之后桑福德就让我负责牧场。"
"I get a hundred dollars a month, and I earn it.”","我一个月能拿到一百美元的薪水，这是我应得的。”"
"“Poor Teddy!” said Octavia, with a smile.","“可怜的特迪！”奥克特维亚笑着说。"
"“You needn’t.","“你没必要这样。"
"I like it.","我喜欢这儿。"
"I save half my wages, and I’m as hard as a water plug.","我把一半的工资都存起来，身体跟消防龙头一样结实。"
"It beats polo.”","它比马球强多了。”"
"“Will it furnish bread and tea and jam for another outcast from civilization?”","“这儿还会为另一个被文明抛弃的人提供面包、茶和果酱吗？”"
"“The spring shearing,” said the manager, “just cleaned up a deficit in last year’s business.","“春天剪下的羊毛”经理说，“刚刚将去年生意的亏损补足了。"
"Wastefulness and inattention have been the rule heretofore.","以前浪费和疏忽现象非常普遍。"
"The autumn clip will leave a small profit over all expenses.","而今年秋天剪完羊毛之后的收益，去除所有的开支后，还会有一小部分盈余。"
"Next year there will be jam.”","明年就会有果酱了。”"
"When, about four o’clock in the afternoon, the ponies rounded a gentle, brush-covered hill, and then swooped, like a double cream-coloured cyclone, upon the Rancho de las Sombras, Octavia gave a little cry of delight.","约莫下午四点的时候，马儿走过一座平坦、多灌木的小山，然后像两股奶油色的龙卷风一样飞速奔向树阴牧场，让奥克塔维亚高兴得都叫了起来。"
"A lordly grove of magnificent live-oaks cast an area of grateful, cool shade, whence the ranch had drawn its name, “de las Sombras”—of the shadows.","一片宏伟壮丽的橡树林投下一大片舒适凉爽的树阴，牧场的名字“树阴牧场”就是来于此。"
"The house, of red brick, one story, ran low and long beneath the trees.","红砖单层小平房在树阴下排了长长的一列。"
"Through its middle, dividing its six rooms in half, extended a broad, arched passageway, picturesque with flowering cactus and hanging red earthern jars.","它的中间有一条宽阔的拱形通道，将六间房子一分为二。那些开花的仙人掌和悬挂着的红色陶罐，更是将这里的景色装点得如画般美丽。"
"A “gallery,” low and broad, encircled the building.","一圈低低的宽“长廊”围绕着整个建筑。"
"Vines climbed about it, and the adjacent ground was, for a space, covered with transplanted grass and shrubs.","长廊上爬满了藤蔓，邻近的地上都是为了腾出空间而移植的小草和灌木。"
"A little lake, long and narrow, glimmered in the sun at the rear.","房子后面有一个窄长的小湖，在阳光的照耀下波光粼粼。"
"Further away stood the shacks of the Mexican workers, the corrals, wool sheds and shearing pens.","更远处是墨西哥工人的棚屋、羊栏、剪羊毛棚和剪毛围栏。"
"To the right lay the low hills, splattered with dark patches of chaparral; to the left the unbounded green prairie blending against the blue heavens.","右边则是一些小矮山，上面零零碎碎地长着一些灌木丛；左边是一望无垠的绿色大草原，与蓝色的天空融为一体。"
"“It’s a home, Teddy,” said Octavia, breathlessly; that’s what it is—it’s a home.”","“这就是一个家，特迪，”奥克塔维亚上气不接下气地说道，“这就是——就是一个家。”"
"“Not so bad for a sheep ranch,” admitted Teddy, with excusable pride.","特迪带着些许骄傲，承认说：“对于一个牧羊场来说是不错啦。"
"“I’ve been tinkering on it at odd times.”","不过我时不时地要修修补补。”"
"A Mexican youth sprang from somewhere in the grass, and took charge of the creams.","一个墨西哥青年不知道从草丛中哪个地方冒了出来，牵走了马匹。"
"The mistress and the manager entered the house.","女主人和经理进了屋子里。"
"“Here’s Mrs. MacIntyre,” said Teddy, as a placid, neat, elderly lady came out upon the gallery to meet them.","一个平和、打扮整洁的老太太来到长廊上迎接他们，特迪介绍说：“这是麦金太尔太太。"
"“Mrs. Mac, here’s the boss.","麦克太太，这就是咱老板。"
"Very likely she will be wanting a hunk of ham and a dish of beans after her drive.”","一番舟车劳顿之后，她肯定很想吃一大块火腿配一盘豆子。”"
"Mrs. MacIntyre, the housekeeper, as much a fixture on the place as the lake or the live-oaks, received the imputation of the ranch’s resources of refreshment with mild indignation, and was about to give it utterance when Octavia spoke.","女管家麦金太尔太太就像小湖或者橡树一样，已经成了这里固定的一部分，听到别人对牧场饮食的诋毁，难免有些微愠。奥克塔维亚开口的时候她正准备回嘴。"
"“Oh, Mrs. MacIntyre, don’t apologize for Teddy.","“噢，麦金太尔太太，不要替特迪道歉。"
"Yes, I call him Teddy.","是的，我管他叫特迪。"
"So does every one whom he hasn’t duped into taking him seriously.","每个没有上他的当、不把他当真的人都这么叫他。"
"You see, we used to cut paper dolls and play jackstraws together ages ago.","你明白的，许多年前我们就一起剪纸玩偶，玩挑棒游戏。"
"No one minds what he says.”","没人在意他说什么。”"
"“No,” said Teddy, “no one minds what he says, just so he doesn’t do it again.”","特迪说：“对，就是因为没有人在意他说什么，他才再也不说的。”"
"Octavia cast one of those subtle, sidelong glances toward him from beneath her lowered eyelids—a glance that Teddy used to describe as an upper-cut.","奥克塔维亚耷拉下眼帘，微微斜瞥了他一眼——特迪过去管这样的一瞥叫做“上钩拳”。"
"But there was nothing in his ingenuous, weather-tanned face to warrant a suspicion that he was making an allusion—nothing.","但是看他那张天真无邪、晒得黝黑的脸，你完全没有任何理由去怀疑他在影射些什么——完全没有。"
"Beyond a doubt, thought Octavia, he had forgotten.","奥克塔维亚想，毫无疑问，他早就忘得一干二净了。"
"“Mr. Westlake likes his fun,” said Mrs. Maclntyre, as she conducted Octavia to her rooms.","“韦斯特莱克先生很幽默。”麦金太尔太太边说边带着奥克塔维亚去她的房间。"
"“But,” she added, loyally, “people around here usually pay attention to what he says when he talks in earnest.","“但是，”她忠心地补充道，“当他认真地说些什么的时候，这里的人都会留心的。"
"I don’t know what would have become of this place without him.”","如果没有他，我不知道这个地方会变成什么样子。”"
"Two rooms at the east end of the house had been arranged for the occupancy of the ranch’s mistress.","东头的两间房已经安排好给牧场女主人住了。"
"When she entered them a slight dismay seized her at their bare appearance and the scantiness of their furniture; but she quickly reflected that the climate was a semi-tropical one, and was moved to appreciation of the well-conceived efforts to conform to it.","当她进房看见空荡荡的房间和屈指可数的家具时，有些微微的失望，但是她转念想到这里是亚热带气候，又不禁对他们为了适应气候所作的精心安排感激不已。"
"The sashes had already been removed from the big windows, and white curtains waved in the Gulf breeze that streamed through the wide jalousies.","大大的窗户上早就没有了窗框，海湾的微风透过阔百叶窗吹拂起白色窗帘。"
"The bare floor was amply strewn with cool rugs; the chairs were inviting, deep, dreamy willows; the walls were papered with a light, cheerful olive.","光光的地板用凉席铺满；深深的柳条椅看上去如此舒适诱人；墙上则糊着明快的浅橄榄色墙纸。"
"One whole side of her sitting room was covered with books on smooth, unpainted pine shelves.","她起居室的整个一面墙都是光滑的无涂色松木书架，上面摆满了书。"
"She flew to these at once.","她立马飞快地奔了过去。"
"Before her was a well-selected library.","她面前就是一个经过精心挑选的小藏书库。"
"She caught glimpses of titles of volumes of fiction and travel not yet seasoned from the dampness of the press.","她扫了一眼，发现其中一些小说和游记是刚出的新书。"
"Presently, recollecting that she was now in a wilderness given over to mutton, centipedes and privations, the incongruity of these luxuries struck her, and, with intuitive feminine suspicion, she began turning to the fly-leaves of volume after volume.","现在，当她想到自己正处在一个充满了羊肉、蜈蚣和贫困的荒地，这种与环境不协调的奢侈享受就令她诧异不已。凭着女人直觉性的猜疑，她一本一本地阅读着书的扉页。"
"Upon each one was inscribed in fluent characters the name of Theodore Westlake, Jr.","每一本书上都用流畅的字体写着同一个名字——小西奥多•韦斯特莱克。"
"Octavia, fatigued by her long journey, retired early that night.","奥克塔维亚因为长时间旅途的劳顿，那晚很早就休息了。"
"Lying upon her white, cool bed, she rested deliciously, but sleep coquetted long with her.","她躺在雪白凉爽的床上，感觉甚为惬意，但是却久久不能入睡。"
"She listened to faint noises whose strangeness kept her faculties on the alert—the fractious yelping of the coyotes, the ceaseless, low symphony of the wind, the distant booming of the frogs about the lake, the lamentation of a concertina in the Mexicans’ quarters.","听着那些奇怪而模糊的声音让她所有的感官都处于警惕状态——有土狼烦躁的吠声、绵延不绝婉转低吟的风声、远处湖边的蛙鸣，还有墨西哥人营房里六角风琴的阵阵哀鸣声。"
"There were many conflicting feelings in her heart—thankfulness and rebellion, peace and disquietude, loneliness and a sense of protecting care, happiness and an old, haunting pain.","她内心有很多种矛盾的情感——感恩与叛逆、平和与不安、孤独与受到呵护的安慰，欢愉与常绕心头的旧时的痛苦。"
"She did what any other woman would have done—sought relief in a wholesome tide of unreasonable tears, and her last words, murmured to herself before slumber, capitulating, came softly to woo her, were “He has forgotten.”","她做了其他女人都会做的事——毫无理由地痛哭一场，在泪水中寻求解脱。陷入沉睡前她喃喃自语的最后一句话就是：“他忘了。”她只能无奈地靠这句话来安慰自己了。"
"The manager of the Rancho de las Sombras was no dilettante.","树阴牧场的经理绝不是个外行。"
"He was a “hustler.”","他非常勤劳肯干。"
"He was generally up, mounted, and away of mornings before the rest of the household were awake, making the rounds of the flocks and camps.","在其他人都还在休息的时候，他多半已经起床，骑上马去巡视羊群和营房了。"
"This was the duty of the major-domo, a stately old Mexican with a princely air and manner, but Teddy seemed to have a great deal of confidence in his own eyesight.","这本是那个一派威严的墨西哥老管家的分内之事，但特迪好像对自己亲眼所见的更为放心。"
"Except in the busy seasons, he nearly always returned to the ranch to breakfast at eight o’clock, with Octavia and Mrs. Maclntyre, at the little table set in the central hallway, bringing with him a tonic and breezy cheerfulness full of the health and flavour of the prairies.","除了在忙季的时候，他几乎总是在八点的时候回到牧场，与奥克塔维亚和麦金太尔太太一起坐在走廊中央的那张小桌子旁吃早饭，带来令人心旷神怡的健康活力和草原的芬芳。"
"A few days after Octavia’s arrival he made her get out one of her riding skirts, and curtail it to a shortness demanded by the chaparral brakes.","奥克塔维亚到达几天之后，特迪让她拿出一件骑装裙，按照灌丛的情况改短一些。"
"With some misgivings she donned this and the pair of buckskin leggings he prescribed in addition, and, mounted upon a dancing pony, rode with him to view her possessions.","带着些许疑虑，奥克塔维亚穿上了改制后的裙子，又按照特迪额外的吩咐穿上了鹿皮裹腿，然后就骑上一匹活泼的小马，跟他一起去巡视自己的产业。"
"He showed her everything—the flocks of ewes, muttons and grazing lambs, the dipping vats, the shearing pens, the uncouth merino rams in their little pasture, the water-tanks prepared against the summer drought—giving account of his stewardship with a boyish enthusiasm that never flagged.","他带着她看了所有的一切——有一群群母羊、绵羊、正在吃草的小羔羊、浸洗缸、剪毛栏和牧场上粗野的美利奴羊，还有为了预防夏天干旱准备的水槽——特迪一一汇报着工作，始终充满了从未消逝的孩子般的热情。"
"Where was the old Teddy that she knew so well?","那个她熟知的特迪去哪里了？"
"This side of him was the same, and it was a side that pleased her; but this was all she ever saw of him now.","他的这一面仍旧维持着旧时的模样，也正是她喜欢的那一面。但是她现在看到的这一切就是全部。"
"Where was his sentimentality—those old, varying moods of impetuous love-making, of fanciful, quixotic devotion, of heart-breaking gloom, of alternating, absurd tenderness and haughty dignity?","他的感情用事都去哪里了——那些旧时求爱的鲁莽、幻想般堂吉诃德式的专一、让人心碎的忧伤以及时不时可笑的温柔和傲慢的尊严，这些多变的情绪都去哪里了？"
"His nature had been a sensitive one, his temperament bordering closely on the artistic.","他天性敏感，气质非常具有艺术性。"
"She knew that, besides being a follower of fashion and its fads and sports, he had cultivated tastes of a finer nature.","她知道，除了紧跟时尚潮流，喜欢运动之外，特迪还有着很好的品位。"
"He had written things, he had tampered with colours, he was something of a student in certain branches of art, and once she had been admitted to all his aspirations and thoughts.","他写过文章，摆弄过画，对一些艺术领域颇有见地，她也曾一度了解过他所有的愿望和想法。"
"But now—and she could not avoid the conclusion—Teddy had barricaded against her every side of himself except one—the side that showed the manager of the Rancho de las Sombras and a jolly chum who had forgiven and forgotten.","但是现在——她不得不得出一个结论——特迪不再让她了解他自己人格的各个方面，除了一面——作为树阴牧场的经理、已经宽恕和遗忘的好朋友这一面。"
"Queerly enough the words of Mr. Bannister’s description of her property came into her mind—“all inclosed within a strong barbed-wire fence.”","奇怪的是，这个时候她脑海中浮现出班尼斯特先生用来描述她产业的那句话——“在整个牧场外围还有一圈牢固的带刺铁丝网。”"
"“Teddy’s fenced, too,” said Octavia to herself.","奥克塔维亚自言自语道：“特迪也给自己筑了一道网。”"
"It was not difficult for her to reason out the cause of his fortifications.","要追究特迪为什么对自己如此防备的原因对她来说并不难。"
"It had originated one night at the Hammersmiths’ ball.","一切都始于哈默史密斯家舞会的那一晚。"
"It occurred at a time soon after she had decided to accept Colonel Beaupree and his million, which was no more than her looks and the entrée she held to the inner circles were worth.","事情发生在她决定接受博普雷上校和他百万家产之后不久，但这一切跟她的容貌，以及上层社会的地位相比，或许根本算不了什么。"
"Teddy had proposed with all his impetuosity and fire, and she looked him straight in the eyes, an said, coldly and finally: “Never let me hear any such silly nonsense from you again.”","特迪带着所有的热情、不顾一切地跟她求婚，而她却直直地盯着他的眼睛，冷酷且决绝地说道：“别再让我听到你说这样的蠢话。”"
"“You won’t,” said Teddy, with an expression around his mouth, and—now Teddy was inclosed within a strong barbed-wire fence.","“你不会再听到了。”特迪说，嘴角的表情显得有些奇特。而现在——特迪给自己筑了一道特别坚固的铁丝网。"
"It was on this first ride of inspection that Teddy was seized by the inspiration that suggested the name of Mother Goose’s heroine, and he at once bestowed it upon Octavia.","在首次巡视时，特迪突发灵感，想起了鹅妈妈故事里女主人公的名字，他立即将这个名字“授予”了奥克塔维亚。"
"The idea, supported by both a similarity of names and identity of occupations, seemed to strike him as a peculiarly happy one, and he never tired of using it.","这个想法来源于奥克塔维亚和那个女主人公相似的名字，她们的职业也相同。对于特迪来说，这个名字特别有趣，简直是“屡试不爽”。"
"The Mexicans on the ranch also took up the name, adding another syllable to accommodate their lingual incapacity for the final “p,” gravely referring to her as “La Madama Bo-Peepy.”","墨西哥工人们也用这个外号称呼她。由于发不出最后的“普”这个音，他们就在后面加了个音节，认真地称呼她为“博皮贝夫人”。"
"Eventually it spread, and “Madame Bo-Peep’s ranch” was as often mentioned as the “Rancho de las Sombras.”","后来这个外号竟然流传开来，而“博皮普夫人的牧场”则经常用来代指“树阴牧场”。"
"Came the long, hot season from May to September, when work is scarce on the ranches.","随着五月到九月这一漫长而又炎热的季节的到来，牧场里的活也闲下来了。"
"Octavia passed the days in a kind of lotus-eater’s dream.","奥克塔维亚整天过着浑浑噩噩的日子。"
"Books, hammocks, correspondence with a few intimate friends, a renewed interest in her old water-colour box and easel—these disposed of the sultry hours of daylight.","书、吊床、与闺蜜通信、对水彩盒和画架重新燃起的兴趣——用这些东西可以打发掉白天闷热的时光。"
"The evenings were always sure to bring enjoyment.","晚上总是享受的时光。"
"Best of all were the rapturous horseback rides with Teddy, when the moon gave light over the wind-swept leagues, chaperoned by the wheeling night-hawk and the startled owl.","最开心的就是能够在盘旋的夜莺和受惊的猫头鹰的陪伴下，跟特迪在满是月光、还有微风拂过的草原上开心地骑马。"
"Often the Mexicans would come up from their shacks with their guitars and sing the weirdest of heart-breaking songs.","这时候，墨西哥工人往往也会拿着吉他，走出棚屋，唱起最怪异的伤心情歌。"
"There were long, cosy chats on the breezy gallery, and an interminable warfare of wits between Teddy and Mrs. MacIntyre, whose abundant Scotch shrewdness often more than overmatched the lighter humour in which she was lacking.","阵阵微风袭来的长廊上，经常会有人在那里舒适地聊上半天。特迪和麦金太尔太太也常在那里无休无尽地斗智，而麦金太尔太太满腹的苏格兰式精明弥补了她缺乏的轻幽默，反而吃不了什么亏。"
"And the nights came, one after another, and were filed away by weeks and months—nights soft and languorous and fragrant, that should have driven Strephon to Chloe over wires however barbed, that might have drawn Cupid himself to hunt, lasso in hand, among those amorous pastures—but Teddy kept his fences up.","一个又一个轻柔、令人倦怠而充满芬芳的夜晚到来了，又随着一个星期或者一个月的逝去而消逝了。这样的夜晚本应使得斯特雷方翻过任何铁丝网，去到克洛伊身边，或者使得丘比特自个儿拿起套索，在这个多情的草原上搜寻猎物。但是特迪仍然还筑着那道铁丝网。"
"One July night Madame Bo-Peep and her ranch manager were sitting on the east gallery.","七月的一个晚上，博皮普夫人和他的牧场经理一起坐在长廊的东头。"
"Teddy had been exhausting the science of prognostication as to the probabilities of a price of twenty-four cents for the autumn clip, and had then subsided into an anesthetic cloud of Havana smoke.","特迪用上了所有的理论来推算秋天剪下的羊毛能够获得二十四分盈利的概率，最后再也没话可说，只能静静坐在哈瓦那雪茄令人麻木的烟雾中。"
"Only as incompetent a judge as a woman would have failed to note long ago that at least a third of his salary must have gone up in the fumes of those imported Regalias.","只有女人这样失格的判断者才会在这么久之后都没有发现，他工资中至少有三分之一的钱都随着那些进口雪茄的烟雾消散了。"
"“Teddy,” said Octavia, suddenly, and rather sharply, “what are you working down here on a ranch for?”","“特迪，”奥克塔维亚突然说，显得相当突兀，“你来这个牧场工作到底是为了什么？”"
"“One hundred per,” said Teddy, glibly, “and found.”","特地不假思索地回答道：“一百美元一月的工资和免费膳宿。”"
"“I’ve a good mind to discharge you.”","“我真想解雇你。”"
"“Can’t do it,” said Teddy, with a grin.","“你做不到。”特迪咧嘴笑道。"
"“Why not?” demanded Octavia, with argumentative heat.","“为什么？”奥克塔维亚问道，似乎想要跟他争论一番。"
"“Under contract.","“合同规定。"
"Terms of sale respect all unexpired contracts.","买卖要遵循所有还未到期的合同。"
"Mine runs until 12 P. M., December thirty-first.","我的合同要到十二月三十一日晚上十二点才终止。"
"You might get up at midnight on that date and fire me.","你可以在那天半夜爬起来解雇我。"
"If you try it sooner I’ll be in a position to bring legal proceedings.”","如果你想提前解雇我的话，我可以提起法律诉讼。”"
"Octavia seemed to be considering the prospects of litigation.","奥克塔维亚似乎在考虑采取法律途径的前景。"
"“But,” continued Teddy cheerfully, “I’ve been thinking of resigning anyway.”","“但是，”特迪继续高兴地说道，“不管怎样，我已经在考虑辞职了。”"
"Octavia’s rocking-chair ceased its motion.","奥克塔维亚不再摇动椅子。"
"There were centipedes in this country, she felt sure; and Indians, and vast, lonely, desolate, empty wastes; all within strong barbed-wire fence.","在这个地方，她确信有蜈蚣、印第安人，有浩瀚、孤独、荒凉、空旷的旷野，这所有的一切都围在牢固的铁丝网内。"
"There was a Van Dresser pride, but there was also a Van Dresser heart.","她有范德雷瑟家的骄傲，但也有范德雷瑟家的内心。"
"She must know for certain whether or not he had forgotten.","她必须弄清楚他是否忘记了。"
"“Ah, well, Teddy,” she said, with a fine assumption of polite interest, “it’s lonely down here; you’re longing to get back to the old life—to polo and lobsters and theatres and balls.”","“哦，好吧，特迪，”她说，装作很有礼貌地询问道，“这里确实很孤寂，你想要回到过去的生活吧——想要回去打马球，吃龙虾，看电影，去舞会吧。”"
"“Never cared much for balls,” said Teddy virtuously.","“我对舞会从来没有什么兴趣。”特迪正经地说。"
"“You’re getting old, Teddy.","“你老了，特迪。"
"Your memory is failing.","你都没什么记性了。"
"Nobody ever knew you to miss a dance, unless it occurred on the same night with another one which you attended.","谁都知道你是有舞会必到，除非它跟另一场你参加的舞会冲突了。"
"And you showed such shocking bad taste, too, in dancing too often with the same partner.","你和同一个舞伴跳得太频繁了，这可是种坏品位。"
"Let me see, what was that Forbes girl’s name—the one with wall eyes—Mabel, wasn’t it?”","让我想想，那个福布斯家的女孩叫什么来着——就是白星眼的那个——梅布尔，是吗？”"
"“No; Adéle.","“不，她叫阿黛尔。"
"Mabel was the one with the bony elbows.","梅布尔是胳膊肘没什么肉的那个。"
"That wasn’t wall in Adéle’s eyes.","阿黛尔也不是白星眼。"
"It was soul.","那里有她的灵魂。"
"We used to talk sonnets together, and Verlaine.","我们过去经常在一起聊十四行诗，还有魏尔兰。"
"Just then I was trying to run a pipe from the Pierian spring.”","那个时候，我还试图自己写诗呢。”"
"“You were on the floor with her,” said Octavia, undeflected, “five times at the Hammersmiths’.”","奥克塔维亚并不让他岔开话题，说：“你还跟她一起跳舞，在哈默史密斯家的舞会上就跳了五支。”"
"“Hammersmiths’ what?” questioned Teddy, vacuously.","“哈默史密斯家的什么？”特迪装傻充愣地问道。"
"“Ball—ball,” said Octavia, viciously.","“舞会——舞会！”奥克塔维亚狠狠地回答道，"
"“What were we talking of?”","“我们刚刚一直在谈论什么？”"
"“Eyes, I thought,” said Teddy, after some reflection; “and elbows.”","“我想是眼睛，”特迪想了一下后说道，“还有胳膊肘。”"
"“Those Hammersmiths,” went on Octavia, in her sweetest society prattle, after subduing an intense desire to yank a handful of sunburnt, sandy hair from the head lying back contentedly against the canvas of the steamer chair, “had too much money.","奥克塔维亚特别想猛地从那颗脑袋上扯下一把久经日晒的黄头发，此刻它正舒适地躺在帆布躺椅上。她好不容易才压制下这种强烈的冲动，用最甜美的社交口吻继续说道：“哈默史密斯家的那些人太有钱了。"
"Mines, wasn’t it?","开矿的，不是吗？"
"It was something that paid something to the ton.","那可能赚很多钱啊。"
"You couldn’t get a glass of plain water in their house.","你在他们家甚至都喝不到白水。"
"Everything at that ball was dreadfully overdone.”","那个舞会的所有一切都太夸张了。”"
"“It was,” said Teddy.","“确实是的。”特迪说，"
"“Such a crowd there was!”","“那儿特别挤！”"
"Octavia continued, conscious that she was talking the rapid drivel of a school-girl describing her first dance.","奥克塔维亚意识到自己就像是一个在描述生平第一次舞会的女学生一样,完全是在说傻话。"
"“The balconies were as warm as the rooms.","“阳台上就跟房间里一样温暖。"
"I—lost—something at that ball.”","我——我在那次舞会上丢了——丢了一个东西。”"
"The last sentence was uttered in a tone calculated to remove the barbs from miles of wire.","最后一句话的语气就是专门用来清除特迪那道铁丝网的。"
"“So did I,” confessed Teddy, in a lower voice.","“我也一样。”特迪低声坦白道。"
"“A glove,” said Octavia, falling back as the enemy approached her ditches.","当敌人靠近她的壕沟之时，奥克塔维亚却后退了。她说：“我丢了一只手套。”"
"“Caste,” said Teddy, halting his firing line without loss.","“我丢了社会地位。”特迪毫无损失地停止了攻击。"
"“I hobnobbed, half the evening with one of Hammersmith’s miners, a fellow who kept his hands in his pockets, and talked like an archangel about reduction plants and drifts and levels and sluice-boxes.”","“我跟一个哈默史密斯家的矿工聊了半宿，他总是把手放在口袋里，说起话来就像个天使，老是聊些关于矿石粉碎厂、小平巷、主平巷和洗矿槽的话题。”"
"“A pearl-gray glove, nearly new,” sighed Octavia, mournfully.","奥克塔维亚悲伤地叹息道：“一只珍珠灰的手套，几乎是全新的。”"
"“A bang-up chap, that McArdle,” maintained Teddy approvingly.","特迪赞许地接着说道：“那个麦卡德尔，真是个不错的小伙子。"
"“A man who hated olives and elevators; a man who handled mountains as croquettes, and built tunnels in the air; a man who never uttered a word of silly nonsense in his life.","他讨厌橄榄和电梯，把大山看作肉丸子，还凌空架隧道。他生平没有说过一句蠢话。"
"Did you sign those lease-renewal applications yet, madama?","夫人，你有签那些续约申请吗？"
"They’ve got to be on file in the land office by the thirty-first.”","三十一号之前必须交给国土局存档。”"
"Teddy turned his head lazily.","特迪懒懒地扭过头来。"
"Octavia’s chair was vacant.","奥克塔维亚的椅子上已经空无一人了。"
"A certain centipede, crawling along the lines marked out by fate, expounded the situation.","一条沿着命数的轨迹爬行的蜈蚣很好地理清了这一切。"
"It was early one morning while Octavia and Mrs. Maclntyre were trimming the honeysuckle on the west gallery.","那是一个清晨，奥克塔维亚和麦金太尔太太正在走廊西头修剪忍冬植物。"
"Teddy had risen and departed hastily before daylight in response to word that a flock of ewes had been scattered from their bedding ground during the night by a thunder-storm.","特迪早在天亮前就匆忙起身离开了，据说基地有群母羊被前一晚的那场雷雨吓得走散了。"
"The centipede, driven by destiny, showed himself on the floor of the gallery, and then, the screeches of the two women giving him his cue, he scuttled with all his yellow legs through the open door into the furthermost west room, which was Teddy’s.","受命运驱使的蜈蚣出现在了长廊的地板上。两个女人的尖叫声给了它暗示，它便撒开所有黄腿，没命地从敞开的房门那里溜进了最西头特迪的房间。"
"Arming themselves with domestic utensils selected with regard to their length, Octavia and Mrs. Maclntyre, with much clutching of skirts and skirmishing for the position of rear guard in the attacking force, followed.","奥克塔维亚和麦金太尔太太挑了两件长家具当武器，提起裙摆，就谁当后卫、谁当前锋这一问题争论了一番后，跟了上去。"
"Once outside, the centipede seemed to have disappeared, and his prospective murderers began a thorough but cautious search for their victim.","蜈蚣一进房间仿佛就消失了，而那两个要害它性命的女人则开始了彻底而小心的搜索。"
"Even in the midst of such a dangerous and absorbing adventure Octavia was conscious of an awed curiosity on finding herself in Teddy’s sanctum.","即使是在最危险和最专注的冒险中，奥克塔维亚都还能感到自己身处特迪的房间时那种敬畏的好奇心。"
"In that room he sat alone, silently communing with those secret thoughts that he now shared with no one, dreamed there whatever dreams he now called on no one to interpret.","他独自坐在那个房间，默默地与自己的小秘密谈着心。他现在不再与别人分享这些念头，也希望不再有人知道他现在的想法。"
"It was the room of a Spartan or a soldier.","这就是个斯巴达人或者军人的房间。"
"In one corner stood a wide, canvas-covered cot; in another, a small bookcase; in another, a grim stand of Winchesters and shotguns.","一个角落里摆着一张宽大的帆布床，一个角落里放着一个小书架，而另一个角落里则放着几把可怕的温切斯特枪和猎枪。"
"An immense table, strewn with letters, papers and documents and surmounted by a set of pigeon-holes, occupied one side.","房间里还有一张巨大的桌子，上面摆满了信、纸张和文件以及一个支起的分类箱。"
"The centipede showed genius in concealing himself in such bare quarters.","蜈蚣能在这么空旷的住所找到藏匿之处，确实很有才。"
"Mrs. Maclntyre was poking a broom-handle behind the bookcase.","麦金太尔太太用扫帚柄捅了捅书架的后面。"
"Octavia approached Teddy’s cot.","奥克塔维亚走近特迪的床。"
"The room was just as the manager had left it in his hurry.","房间的样子跟他匆忙离开时一模一样。"
"The Mexican maid had not yet given it her attention.","墨西哥女佣还没有过来收拾。"
"There was his big pillow with the imprint of his head still in the centre.","他的枕头大大的，中央部分仍然留有他睡过的痕迹。"
"She thought the horrid beast might have climbed the cot and hidden itself to bite Teddy.","她想，这个可恶的小畜生可能已经爬上床藏了起来，以伺机咬特迪一口。"
