"书名狐狸与拉普人（安德鲁·朗格经典棕色童话）短简介弱小的狐狸怎能巧妙玩弄一个拉普人？它如何诱骗黑熊去钓鱼？而黑熊又为何要追捕它？可怜的黑熊最后化为一堆骨头，原因何在？狐狸以什么理由骗走了拉普人三只驯鹿，又怎么会弄瞎自己的双眼？最后它又用什么谎言欺骗蛇把眼睛给了自己？本故事讲述了一只狐狸花言巧语欺骗众多受害者，充分体现出狡猾这一经典特征。长简介一只狐狸偷偷上了一个拉普人的车，破坏雪橇偷走了鱼。它骗黑熊到溪边钓鱼，却招来祸端。狐狸逃跑未遂，被熊发现。熊又听信了狐狸的话，恳求它为自己化妆。狐狸让熊听命于自己，最后把熊烧死了。它用熊骨头换了拉普人三只驯鹿。拉普人意识到上当了便去追赶狐狸，岂料屡遭戏弄，只能放弃。狐狸召集众动物帮忙杀鹿，却在大家杀完后大声呼喊吓跑了动物们。它刚要烤肉时，拉普人追来了。狐狸又骗他说是老鼠和白鼬杀死了驯鹿。它自己却趁机逃到了河边。它又号召鱼儿们渡它过河，挑来拣去选中了大马哈鱼。岂料它一上岸就把鱼扔到了锅里煮，可不小心被开水烫瞎了眼睛。它四处求助，最后一条蛇上了它的当，把眼睛借给了它。而狐狸却再也没有回去。关键字狐狸；拉普人；童话；安德鲁·朗格；外研社编译组；雪橇；鱼；黑熊；追捕；鸟儿；化妆；骨头；交换；驯鹿；动物；杀鹿；嫁祸；渡河；开水；眼睛；松鸡；蜜蜂；借眼睛；蛇；逃离作者（英）安德鲁·朗格作者简介安德鲁•朗格(1844—1912)，英国著名的文学家、历史学家、诗人、民俗学家，以研究神话、民间传说闻名于世，由他编纂并分别以十二种颜色命名的“童话故事集”自1889年问世以来，历久不衰，备受世界各国儿童们的喜爱。书评“如果孩子们的世界里没有那神奇美丽的童话，他们的生活将不可想象；如果这座童话乐园里没有安德鲁•朗格所编写的童话，他们的童心就得不到完美的塑造。”语言质朴，通俗易懂，形象鲜明，给人以启迪。"
"The Fox and the Lapp","狐狸和拉普人"
"‘Good gracious! are YOU here?’ exclaimed the fox.","“天啊，乖乖，原来是你啊！”狐狸惊叫，"
"‘But I’m afraid to trust myself to you either.’","“把自己交给你，我还是不放心啊。”"
"At this moment a fine salmon swam slowly up.","这时候，一条漂亮的大马哈鱼慢慢游了过来。"
"‘Ah, yes, you are the person I want,’ said the fox; ‘but come near, so that I may get on your back, without wetting my feet.’","“啊，我等的就是你！”狐狸说，“再靠近一点儿，让我爬到你背上去，免得弄湿我的脚。”"
"So the salmon swam close under the island, and when he was touching it the fox seized him in his claws and drew him out of the water, and put him on a spit, while he kindled a fire to cook him by.","大马哈鱼靠到岸边，狐狸突然伸出爪子，将它提出水面，穿在一根杆子上，并开始烧火煮鱼。"
"When everything was ready, and the water in the pot was getting hot, he popped him in, and waited till he thought the salmon was nearly boiled.","等一切准备就绪，锅里的水也变热了，狐狸迅速地把鱼扔到里面，一直等啊等，直到它觉得鱼快要煮熟了。"
"But as he stooped down the water gave a sudden fizzle, and splashed into the fox’s eyes, blinding him.","就在狐狸弯下身去看的一刹那，水突然发出嘶嘶的响声，四处飞溅，烫瞎了它的眼睛。"
"He started backwards with a cry of pain, and sat still for some minutes, rocking himself to and fro.","狐狸痛苦地嗷嗷大叫，一屁股坐到地上晃来晃去，好几分钟才缓过劲来。"
"When he was a little better he rose and walked down a road till he met a grouse, who stopped and asked what was the matter.","它感觉好一点儿后，便踉跄地站起来，沿着大路走去，中途碰到了一只松鸡。松鸡停下来打听是怎么回事。"
"‘Have you a pair of eyes anywhere about you?’ asked the fox politely.","“你身上有一对多余的眼睛吗？”狐狸殷勤地问。"
"‘No, I am afraid I haven’t,’ answered the grouse, and passed on.","“真抱歉，我没有多余的。”松鸡回答，说着就走开了。"
"A little while after the fox heard the buzzing of an early bee, whom a gleam of sun had tempted out.","过了一会儿，一只早起的蜜蜂迎着太阳飞来，嗡嗡地叫个不停。"
"‘Do you happen to have an extra pair of eyes anywhere?’ asked the fox.","“你身上正巧有一对多余的眼睛吗？”狐狸问。"
"‘I am sorry to say I have only those I am using,’ replied the bee.","“很抱歉我只有一对眼睛，就是我正用着的这对。”蜜蜂回答。"
"And the fox went on till he nearly fell over an asp who was gliding across the road.","狐狸继续往前走，忽然被什么绊了一下，差点儿跌倒。原来是一条角蝰正在大路上滑行。"
"‘I should be SO glad if you would tell me where I could get a pair of eyes,’ said the fox.","“你能告诉我哪里能找到一对眼睛吗？我一辈子都会感激你的，”狐狸说，"
"‘I suppose you don’t happen to have any you could lend me?’","“我猜想你没有什么恰巧可以借给我的吧？”"
"‘Well, if you only want them for a short time, perhaps I could manage,’ answered the asp; ‘but I can’t do without them for long.’","“好吧，如果你只借一会儿，或许还可以，”角蝰回答，“但是没有它们我撑不了多久。”"
"‘Oh, it is only for a very short time that I need them,’ said the fox; ‘I have a pair of my own just behind that hill, and when I find them I will bring yours back to you.","“嗯，我只借用一小会儿，”狐狸说，“我自己有一对眼睛，掉在那座小山后面了。我找到自己的就把你的还给你。"
"Perhaps you will keep these till them.’","你可以先凑合着用用这对。”"
" So he took the eyes out of his own head and popped them into the head of the asp, and put the asp’s eyes in their place.","狐狸就从脑袋上取出自己的瞎眼，很快安到蛇的脑袋上，又把对方的眼睛放进了自己的眼眶。"
"As he was running off he cried over his shoulder: ‘As long as the world lasts the asps’ eyes will go down in the heads of foxes from generation to generation.’","它边跑开边得意地大叫：“只要世界还在，角蝰的眼睛就会在狐狸脑袋上一代一代传下去。”"
"And so it has been; and if you look at the eyes of an asp you will see that they are all burnt; and though thousands and thousands of years have gone by since the fox was going about playing tricks upon everybody he met, the asp still bears the traces of the day when the sly creature cooked the salmon.","事实正是如此。如果你留意观察就会发现，蛇的眼睛仿佛被烫瞎了一样。狡猾的狐狸惹是生非，捉弄自己遇到的每个人，现在几千年过去了，但它煮大马哈鱼的那天遇到的不幸，却被永远转接到了角蝰的身上。"

