书名四份特别的礼物（安德鲁·朗格经典童话故事）短简介一位渴望爱情的平凡女子、一位神秘的老人、四份奇幻的礼物，他们之间有着怎样的联系呢？法国作家梭维斯特的《四份特别的礼物》将一步步揭秘所有疑问，泰法妮是否能够凭借神秘老人赐予的四份礼物守护爱情，抑或适得其反？长简介安德鲁·朗格的短篇小说《四份特别的礼物》简述了在农场工作的泰法妮爱上了养鸟场的穷鬼丹尼斯，却遭到视财如命的姑妈的阻挠。正在泰法妮手足无措之际，一位神秘的老人出现了，先后赋予她铜片、羽毛、项链、药膏四份礼物。这些礼物全部拥有神奇的魔法：铜片让泰法妮随时都可以见到她喜欢的男孩，羽毛赋予了她非凡的智慧，项链使她成为了世上最美的女子，药膏让她获得了无穷的财富。然而，得到礼物的泰法妮并非一帆风顺，追求爱情的途中她屡屡因这些意外的礼物而饱经挫折。直到最后，她领悟到真谛。作者运用生动笔触状写了主人公曲折离奇的经历，于文末将真理娓娓道出，传达了真我的力量，鼓励我们守住自身的美好品质。关键字四份特别的礼物；安德鲁·朗格；外研社编译组；短篇；童话；爱情；礼物；魔法作者（英）安德鲁·朗格作者简介安德鲁·朗格（1844—1912），英国著名文学家、历史学家、诗人、民俗学家。朗格以研究神话、民间传说闻名于世。他认为通过民间传说中的惊异和恐怖的故事可以看到人类过去真实的痕迹。由他编纂并分别以十二种颜色命名的童话集，自问世以来，历久不衰，备受世界各国儿童们的喜爱。书评伟大的儿童经典，都是用爱谱写。童话、寓言、魔幻……展现了人类最丰富的想象力，启发了儿童未来改变世界的创造力。美丽的故事，给孩子们带来温暖，带来阅读的享受。为爱情放弃真我？
The Four Gifts	四份特别的礼物
Are they really pearls?’ he asked, falling on his knees also, and looking up at Tephany he perceived others still more beautiful rolling down the girl’s cheeks.	真的是珍珠吗？”丹尼斯兴奋不已，也跪在了地上，抬起头，发现正从泰法妮脸上滚下来的那些珍珠居然更漂亮。
‘Take care not to let any of the neighbours hear of it, Denis,’ said Barbaik.	“小心不要让邻居们知道，丹尼斯，”巴尔贝说，
‘Of course you shall have your share, but nobody else shall get a single one.	“当然，你可以得到一份，但是其他人想都甭想，一颗都没有。
Cry on, my dear, cry on,’ she continued to Tephany.	继续哭，亲爱的，继续哭呀！”她继续和泰法妮说，
It is for your good as well as ours,’ and she held out her apron to catch them, and Denis his hat.	“这是为你好，也为我们好。”接着，她解开了围裙来盛珍珠，丹尼斯则摘下了帽子。
But Tephany could hardly bear any more.	但泰法妮真的再也受不了了。
She felt half choked at the sight of their greediness, and wanted to rush from the hall, and though Barbaik caught her arm to prevent this, and said all sorts of tender words which she thought would make the girl weep the more, Tephany with a violent effort forced back her tears, and wiped her eyes.	看到他们如此贪婪，她顿时哽咽了。她想跑出去，但是巴尔贝抓着她的胳膊，不让她走，说尽了各种温柔的话。她认为这样可以让泰法妮哭得更厉害。泰法妮擦了擦眼睛，拼命地把眼泪憋回去。
‘Is she finished already?’ cried Barbaik, in a tone of disappointment.	“这就哭完了？”巴尔贝失望地喊着，
‘Oh, try again, my dear.	“亲爱的，再试一下。
Do you think it would do any good to beat her a little?’ she added to Denis, who shook his head.	你觉得打她会有用吗？”她又问丹尼斯，丹尼斯摇了摇头。
‘That is enough for the first time.	“第一次有这么多就够了。
I will go into the town and find out the value of each pearl.’	我会拿到镇里去看看值多少钱。”
‘Then I will go with you,’ said Barbaik, who never trusted anyone and was afraid of being cheated.	“那到时我和你一起去。”巴尔贝这个人从不相信任何人，总担心自己被骗。
So the two went out, leaving Tephany behind them.	两人就这样走了，留下泰法妮一人在屋子里。
She sat quite still on her chair, her hands clasped tightly together, as if she was forcing something back.	她坐在椅子上一动不动，两手紧紧地扣在一起，好像她正在拽什么东西。
At last she raised her eyes, which had been fixed on the ground, and beheld the fairy standing in a dark corner by the hearth, observing her with a mocking look.	当她抬起头，将目光从地板上移开，她看见老妇人正站在壁炉边上的一个黑暗角落里，略带嘲弄地看着自己。
The girl trembled and jumped up, then, taking the feather, the pin, and the box, she held them out to the old woman.	泰法妮颤抖地跳了起来，把羽毛、铜片和盒子全都递给了老妇。
‘Here they are, all of them,’ she cried; ‘they belong to you.	“都在这儿了，全部都在，”她哭泣着，“这些都是你的。
Let me never see them again, but I have learned the lesson that they taught me.	别让我再看到它们。但有一点，这些东西教会了我一个道理：
Others may have riches, beauty and wit, but as for me I desire nothing but to be the poor peasant girl I always was, working hard for those she loves.’	其他人可能拥有财富、美貌和智慧，但是对我来说，我只希望继续做那个贫穷的农家女，为自己所爱的东西而不懈努力。”
‘Yes, you have learned your lesson,’ answered the fairy, ‘and now you shall lead a peaceful life and marry the man you love.	“很好，你已经吸取了教训，”老人回答道，“现在你可以去嫁给你爱的男人，一起过你所向往的平静的生活。
For after all it was not yourself you thought of but him.’	其实，你完全不需要为了别人而改变自己。因为丹尼斯喜欢的不是你的美貌、智慧和财富，他喜欢的只是原来那个单纯善良、勤劳踏实的农家女泰法妮。认认真真地做好你自己，这就足够了。”
Never again did Tephany see the old woman, but she forgave Denis for selling her tears, and in time he grew to be a good husband, who did his own share of work.	泰法妮再也没有见过这个老妇。她原谅了丹尼斯出售她眼泪的行为。后来，丹尼斯成为了一个好丈夫，勤勤恳恳地干着自己的工作。

