书名鲁贝察尔（安德鲁·朗格经典棕色童话）短简介拥有广袤地下王国的地精王偏偏爱上了一位人类公主，纵使他法力无边，他又能否得到公主的芳心，让公主同他一起生活在雄伟的地下宫殿呢。长简介地精王是众地精的统治者，坐拥广阔的地下王国，当他离开地下王国在大地上探险时，对一位公主一见钟情。他自作主张把公主带到自己的地下宫殿，诉说衷肠，渴望得到公主的爱。他法力无边，能满足公主提出的每一个要求，却也无法得到公主的真心。最后，聪颖的公主在她深爱的拉蒂博王子的帮助下逃出地下王国，留下地精王一人暗自神伤，往地下深处飞去。关键字鲁贝察尔；安德鲁·朗格；外研社编译组；地精王；公主；拉蒂博王子；爱情；地下王国作者（英）安德鲁·朗格作者简介安德鲁·朗格（1844—1912），生于苏格兰，兼有诗人、小说家、文学评论家和民俗学家等多重身份，以收集和整理世界各地的民间传说及故事而闻名。由他编纂并分别以十二种颜色命名的《彩色童话集》（又称《朗格童话》）中，汇集了许多著名的童话故事与来自欧洲、亚洲、美洲、非洲各地的民间传说，为孩子们创造了一个色彩瑰丽的童话世界。书评童话虽然篇幅较长，但是情节引人入胜，从地精王初次接触人类，到偶遇公主，再到求爱失败，公主出逃，都是一气呵成，让人欲罢不能。“如果孩子们的世界里没有那神奇美丽的童话，他们的生活将不可想象；如果这座童话乐园里没有安德鲁·朗格所编写的童话，他们的童心就得不到完美的塑造。” 
Rubezahl	鲁贝察尔
By this time spring once more reigned in the valley, and the gnome sent the fires back to their places in the deeps of the earth, for the roots which they had kept warm through all the cruel winter hand now come to their full size.	此时，春天又一次来到山谷，地精王便把炽热的河流送回了大地深处，因为萝卜在它们的温暖下已度过寒冬，现在已经完全成熟了。
Day by day the princess pulled up some of them, and made experiments with them, conjuring up now this longed-for person, and now that, just for the pleasure of seeing them as they appeared; but she really had another purpose in view.	公主每天都会拔一些萝卜来做实验，有时施法把它们变成这个想见的人，有时变成那个想见的人，这仅仅是为了相见时的喜悦之情，但她实际上还另有打算。
One day she changed a tiny turnip into a bee, and sent him off to bring her some news of her lover.	一天，她把一个小萝卜变成了一只蜜蜂，派它去打探情人的消息。
‘Fly, dear little bee, towards the east,’ said she, ‘to my beloved Ratibor, and softly hum into his ear that I love him only, but that I am a captive in the gnome’s palace under the mountains.	“飞吧，亲爱的小蜜蜂，往东边飞，”她说，“飞到我心爱的拉蒂博尔身边，在他耳边轻轻地说我只爱他一个人，但是我现在被囚禁在地精王的地下宫殿里。
Do not forget a single word of my greeting, and bring me back a message from my beloved.’	不要漏了我说的任何一个字，也把我爱人的消息带给我。”
So the bee spread his shining wings and flew away to do as he was bidden; but before he was out of sight a greedy swallow made a snatch at him, and to the great grief of the princess her messenger was eaten up then and there.	于是蜜蜂展开发光的双翅，飞去完成公主的命令，但还没等它飞出公主的视线，一只贪婪的燕子就一把捉住了它。公主的信使被当场吃掉了，她不禁十分痛心。
After that, by the power of the wonderful wand she summoned a cricket, and taught him this greeting:	之后，她又借助魔杖的力量召唤来一只蟋蟀，并教它说：
‘Hop, little cricket, to Ratibor, and chirp in his ear that I love him only, but that I am held captive by the gnome in his palace under the mountains.’	“跳吧，小蟋蟀，跳到拉蒂博尔身边去，在他耳边说我只爱他一人，但是我现在被困在地精王的地下宫殿里。”
So the cricket hopped off gaily, determined to do his best to deliver his message; but, alas! a long-legged stork who was prancing along the same road caught him in her cruel beak, and before he could say a word he had disappeared down her throat.	于是小蟋蟀快乐地蹦走了，决心一定要拼尽全力把信带到。但是，唉！一只长腿鹤正沿着同样的道路趾高气扬地走着，它用尖利的鸟嘴咬住了蟋蟀，蟋蟀还没来得及说一个字就消失在鹤的喉咙里了。
These two unlucky ventures did not prevent the princess from trying once more.	这两次不幸的经历并没有使公主放弃再一次尝试。
This time she changed the turnip into a magpie.	这一次，她把萝卜变成了一只喜鹊。
‘Flutter from tree to tree, chattering bird,’ said she, ‘till you come to Ratibor, my love.	“快拍动翅膀，飞过森林吧，爱说话的小鸟，”她说，“直到你遇见我的爱人拉蒂博尔。
Tell him that I am a captive, and bid him come with horses and men, the third day from this, to the hill that rises from the Thorny Valley.’	告诉他我被囚禁了，让他从今日起的第三天带着人马到荆棘山谷的山丘来。”
The magpie listened, hopped awhile from branch to branch, and then darted away, the princess watching him anxiously as far as she could see.	喜鹊听罢，在树枝上跳了一会儿便飞走了。公主不安地目送它远去，直到看不见为止。
Now Prince Ratibor was still spending his life in wandering about the woods, and not even the beauty of the spring could soothe his grief.	现在，拉蒂博尔王子仍然在树林里闲逛，就连春天的美景也不能缓解他的悲伤。
One day, as he sat in the shade of an oak tree, dreaming of his lost princess, and sometimes crying her name aloud, he seemed to hear another voice reply to his, and, starting up, he gazed around him, but he could see no one, and he had just made up his mind that he must be mistaken, when the same voice called again, and, looking up sharply, he saw a magpie which hopped to and fro among the twigs.	一天，他坐在一棵橡树的树阴下，想着失踪的公主，不时地大声呼喊着她的名字。这时，他似乎听见有声音在回答他，于是他站起身，环视四周，但什么人都没看到。他刚以为是自己搞错了时，同一个声音又叫了起来。他猛地一抬头，看见一只喜鹊在树枝上跳来跳去。
Then Ratibor heard with surprise that the bird was indeed calling him by name.	然后拉蒂博尔惊讶地听到小鸟居然在叫自己的名字。
‘Poor chatterpie,’ said he; ‘who taught you to say that name, which belongs to an unlucky mortal who wishes the earth would open and swallow up him and his memory for ever?’	“你这多嘴的喜鹊真是可怜，”他说，“是谁教你喊我的名字的？我真是不幸，但愿大地能裂开一个口子，把我和我的记忆永远地吞没。”
Thereupon he caught up a great stone, and would have hurled it at the magpie, if it had not at that moment uttered the name of the princess.	然后他拿起一块大石头，刚要向喜鹊砸去，就听见喜鹊说出了公主的名字。
This was so unexpected that the prince’s arm fell helplessly to his side at the sound, and he stood motionless.	这太出人意料了，王子一听就无力地垂下了手臂，一动不动地站在那里。
But the magpie in the tree, who, like all the rest of his family, was not happy unless he could be for ever chattering, began to repeat the message the princess had taught him; and as soon as he understood it, Prince Ratibor’s heart was filled with joy.	和家族里的其他喜鹊一样，树上的这只喜鹊一定要不停地讲话才高兴，于是它开始不停地重复公主教给它的口信。王子听懂了喜鹊的话，心中充满了喜悦。
All his gloom and misery vanished in a moment, and he anxiously questioned the welcome messenger as to the fate of the princess.	他所有的悲伤和痛苦都立刻消失了，他迫不及待地向这个令人愉悦的信使打听公主的下落。
But the magpie knew no more than the lesson he had learnt, so he soon fluttered away; while the prince hurried back to his castle to gather together a troop of horsemen, full of courage for whatever might befall.	但是喜鹊只会说公主教它的话，其他什么都不知道，于是它很快就飞走了，而王子急忙赶回城堡去召集人马，此时的他充满了勇气来面对可能降临的任何困难。
The princess meanwhile was craftily pursuing her plan of escape.	与此同时，公主也在巧妙地实施她的逃跑计划。
She left off treating the gnome with coldness and indifference; indeed, there was a look in her eyes which encouraged him to hope that she might some day return his love, and the idea pleased him mightily.	她不再冷落和疏远地精王了，她眼睛里的神情使地精王相信有一天她会爱上他，地精王为此而满心欢喜。
The next day, as soon as the sun rose, she made her appearance decked as a bride, in the wonderful robes and jewels which the fond gnome had prepared for her.	第二天，太阳一升起来，她就打扮成新娘的样子，穿戴着深情的地精王为她准备的华丽长袍和珠宝。
Her golden hair was braided and crowned with myrtle blossoms, and her flowing veil sparkled with gems.	她把金色的头发编成了辫子，戴上桃金娘花做成的花冠，还有她那因镶有宝石而闪闪发光的飘逸的面纱。
In these magnificent garments she went to meet the gnome upon the great terrace.	她穿着这些美丽的装束，来到走廊去见地精王。
‘Loveliest of maidens,’ he stammered, bowing low before her, ‘let me gaze into your dear eyes, and read in them that you will no longer refuse my love, but will make me the happiest being the sun shines upon.’	“最可爱的姑娘啊，”他深鞠一躬，结结巴巴地说道，“让我看看你美丽的眼睛吧，让我从中知道你不会再拒绝我的爱，而是让我成为太阳底下最快乐的生灵。”
So saying he would have drawn aside her veil; but the princess only held it more closely about her.	说着他便想轻轻地拨开她的面纱，但是公主却把面纱拉得更紧了。
‘Your constancy has overcome me,’ she said; ‘I can no longer oppose your wishes.	“你的执著打动了我，”她说，“我不会再违背你的意愿了。
But believe my words, and suffer this veil still to hide my blushes and tears.’	但请相信我，我仍要带着面纱来遮挡害羞和泪水。”
‘Why tears, beloved one?’ cried the gnome anxiously; ‘every tear of yours falls upon my heart like a drop of molten gold.	“亲爱的，为什么要流泪？”地精王焦急地问道，“你的每一滴眼泪都像是一粒熔融的金子，落在我的心上。
Greatly as I desire your love, I do not ask a sacrifice.’	我虽然十分渴望得到你的爱，但我不愿意你为此而受委屈。”
‘Ah!’ cried the false princess, ‘why do you misunderstand my tears?	“啊！”公主假装哽咽着说，“你为什么要误解我的泪水？
My heart answers to your tenderness, and yet I am fearful.	我的心虽然已被你的温情打动，但我还是害怕。
A wife cannot always charm, and though YOU will never alter, the beauty of mortals is as a flower that fades.	凡人的美貌像花朵一样会凋谢，一个妻子不可能永远都美丽迷人，但是你的容颜却永远不会改变。
How can I be sure that you will always be as loving and charming as you are now?’	我怎么知道你会不会永远都像现在这样含情脉脉、迷人可爱呢？”
‘Ask some proof, sweetheart,’ said he.	“让我来证明吧，亲爱的。”他说，
‘Put my obedience and my patience to some test by which you can judge of my unalterable love.’	“来考验我的忠诚和耐心吧，这样你就能相信我永不改变的爱了。”
‘Be it so,’ answered the crafty maiden.	“那好吧。”机灵的公主回答说，
‘Then give me just one proof of your goodness.	“那么给我一个能证明你真心的证据。
Go! count the turnips in yonder meadow.	去！数数那边的草地上有多少萝卜。
My wedding feast must not lack guests.	我的婚宴上一定不能缺少宾客。
They shall provide me with bride-maidens too.	它们还要充当我的伴娘。
But beware lest you deceive me, and do not miss a single one.	不过你千万不要骗我，一个萝卜都不要漏数。
That shall be the test of your truth towards me.’	这能检验出你对我的真诚。”
Unwilling as the gnome was to lose sight of his beautiful bride for a moment, he obeyed her commands without delay, and hurried off to begin his task.	虽然地精王一刻都不愿离开美丽的公主，但他还是毫不迟延地服从她的命令，急忙开始工作了。
He skipped along among the turnips as nimble as a grasshopper, and had soon counted them all; but, to be quite certain that he had made no mistake, he thought he would just run over them again.	他在萝卜地里跳来跳去的，像蚱蜢一样敏捷，很快就把萝卜都数了个遍。但是，为了确保没有数错，他觉得应该再数一遍。
This time, to his great annoyance, the number was different; so he reckoned them for the third time, but now the number was not the same as either of the previous ones!	令他十分恼火的是，这一次数出来的数和上次的不同。于是他又数了第三遍，但是现在的结果居然和前两次的都不一样！
And this was hardly to be wondered at, as his mind was full of the princess’s pretty looks and words.	但这也不奇怪，因为他现在满脑子都是公主美丽的面容和甜美的话语。
As for the maiden, no sooner was her deluded lover fairly out of sight than she began to prepare for flight.	至于公主，她一把地精王骗走就开始准备逃跑了。
She had a fine fresh turnip hidden close at hand, which she changed into a spirited horse, all saddled and bridled, and, springing upon its back, she galloped away over hill and dale till she reached the Thorny Valley, and flung herself into the arms of her beloved Prince Ratibor.	她拿出藏在身边的一棵新鲜萝卜，把它变成了一匹勇猛的骏马，马鞍和笼头都安好了。公主跃上马背，一路飞奔过山丘山谷，终于来到了荆棘山谷，扑进她深爱的拉蒂博尔王子怀里。
Meanwhile the toiling gnome went through his task over and over again till his back ached and his head swam, and he could no longer put two and two together; but as he felt tolerably certain of the exact number of turnips in the field, big and little together, he hurried back eager to prove to his beloved one what a delightful and submissive husband he would be.	与此同时，辛苦的地精王还在一遍又一遍地检查他的工作。最后，他已经数到后背酸痛、头晕眼花，再也数不下去了。但他勉强数出了田地里有大大小小多少个萝卜，他连忙赶回去，急着向深爱的公主证明他是一个多么温顺并惹人喜欢的丈夫。
He felt very well satisfied with himself as he crossed the mossy lawn to the place where he had left her; but, alas! she was no longer there.	当他穿过生了苔的草地赶去同公主分手的地点时，他对自己满意极了。但是，天啊！她已经不在那里了。
He searched every thicket and path, he looked behind every tree, and gazed into every pond, but without success; then he hastened into the palace and rushed from room to room, peering into every hole and corner and calling her by name; but only echo answered in the marble halls—there was neither voice nor footstep.	他找遍了每一处灌木丛、每一条小径，搜查了每一棵树的后面，检查了每一个池塘，但都没有找到公主。他又急忙赶回宫殿，从一个房间冲到另一个房间，仔细检查了每一个小洞和角落，并呼喊着她的名字，但是传来的只有大理石墙壁的回音——没有任何声响和脚步声。
Then he began to perceive that something was amiss, and, throwing off the mortal form that encumbered him, he flew out of the palace, and soared high into the air, and saw the fugitive princess in the far distance just as the swift horse carried her across the boundary of his dominions.	然后他开始感觉出事了，便抛去了妨碍他的人形，飞出宫殿，升入高空，看到企图逃跑的公主在远处骑着快马逃出了他的领地。
Furiously did the enraged gnome fling two great clouds together, and hurl a thunderbolt after the flying maiden, splintering the rocky barriers which had stood a thousand years.	被激怒的地精王把两块云愤怒地甩在了一起，猛掷了一个雷电在公主身后，把屹立了千年的岩石劈成了碎片。
But his fury was vain, the thunderclouds melted away into a soft mist, and the gnome, after flying about for a while in despair, bewailing to the four winds his unhappy fate, went sorrowfully back to the palace, and stole once more through every room, with many sighs and lamentations.	但是他的怒火都是无用的，雷雨云也消散成了柔和的薄雾。地精王绝望地飞了一会儿，向四处的风哀叹自己的不幸，之后他悲伤地回到了宫中，又一次默默地穿过了每一个房间，不停地唉声叹气。
He passed through the gardens which for him had lost their charm, and the sight of the princess’s footprints on the golden sand of the pathway renewed his grief.	他穿过了花园，那里对他来说已经失去了魅力，而看到公主留在金色沙子路上的脚印则使他更加忧伤。
All was lonely, empty, sorrowful; and the forsaken gnome resolved that he would have no more dealings with such false creatures as he had found men to be.	一切都是那么孤寂、空虚和悲伤。被抛弃的地精王下定决心再也不和人类这个虚情假意的物种打交道了。
Thereupon he stamped three times upon the earth, and the magic palace, with all its treasures, vanished away into the nothingness out of which he had called it; and the gnome fled once more to the depths of his underground kingdom.	随后，他在地上跺了三下，那个神奇的宫殿和里面的珍宝都化为乌有了。地精王再次往地下王国的深处飞去。
While all this was happening, Prince Ratibor was hurrying away with his prize to a place of safety.	与此同时，拉蒂博尔王子正匆匆带着公主往安全的地方奔去。
With great pomp and triumph he restored the lovely princess to her father, and was then and there married to her, and took her back with him to his own castle.	当王子把美丽的公主送回到她父亲身边时，整个景象盛况空前，人人都享受着胜利的喜悦，于是他们当场就举行了婚礼，之后王子便把公主带回了自己的城堡。
But long after she was dead, and her children too, the villagers would tell the tale of her imprisonment underground, as they sat carving wood in the winter nights.	在公主和她的孩子相继离开人世后很久，村民们还会在冬夜坐着雕刻木头时，讲述她被带到地下王国的传奇故事。

