"作品德意志军团里忧郁的轻骑兵（托马斯·哈代经典悲情小说）短简介英俊的德国轻骑兵为何面带忧郁？英国少女菲利斯和德国士兵之间发生了怎样的故事？菲利斯死后埋在了两位德意志军团轻骑兵的墓冢边？她与他们之间的悲情往事也随之尘封在岁月中。长简介《德意志军团里忧郁的轻骑兵》选自哈代短篇小说集《威塞克斯故事集》，作者采用回忆的形式讲述了英国乡村女孩菲利斯和德意志军团里一位轻骑兵之间哀婉动人的爱情故事。菲利斯在自家的花园墙边与德国士兵马托伊斯相识相爱，两人决定一起私奔回马托伊斯的故乡。但在离开的前夕，菲利斯误信了悔婚的未婚夫的话，放弃了先前的计划，而马托伊斯也因逃跑被军队处决。一对有情人因为命运的捉弄而终于生死两隔，这反映了哈代作品中一贯出现的主题——人物和环境的冲突以及命运的偶然性和悲剧性。关键词德意志军团里忧郁的轻骑兵；托马斯·哈代；外研社编译组；短篇；爱情；私奔；悲剧作者（英）托马斯·哈代作者简介托马斯·哈代（1840—1928），英国诗人和小说家，一生共发表了近20部长篇小说，其中最著名的作品有《德伯家的苔丝》、《无名的裘德》、《还乡》和《卡斯特桥市长》，此外还有许多以“威塞克斯故事”为总名的中短篇小说以及长篇史诗剧《列王》。书评这不是悲观主义者的叹息，而是博爱主义者的呐喊和对爱的召唤。他的小说没有那种直射人心的光芒，他的小说中的光芒是向外投射的，照亮的是荒野和树木，而他笔下的人物越远离人群而变得孤苦伶仃时，他们的个性便越鲜明、越突出。——弗吉尼亚·伍尔夫"

"The Melancholy Hussar of the German Legion","德意志军团里忧郁的轻骑兵"
"They met continually now—mostly at dusk—during the brief interval between the going down of the sun and the minute at which the last trumpet-call summoned him to his tent.","他们如今继续见面——大多是在黄昏时分——就在太阳落山和最后一声军号召集他回营之间的短暂时光里。"
"Perhaps her manner had become less restrained latterly; at any rate that of the Hussar was so; he had grown more tender every day, and at parting after these hurried interviews she reached down her hand from the top of the wall that he might press it.","也许她最近的举止不再那么拘谨了，那位轻骑兵也放松了下来。日子一天天过去，他变得越来越温柔，每次匆匆见面后的离别时刻，她在墙头将手伸下来，他会握一下她的手。"
"One evening he held it so long that she exclaimed, ‘The wall is white, and somebody in the field may see your shape against it!’","一天傍晚，他握着她的手久久不愿松开，她开口说道：“这墙是白色的，田野里会有人看见你倚墙而站的身形。”"
"He lingered so long that night that it was with the greatest difficulty that he could run across the intervening stretch of ground and enter the camp in time.","那天晚上，他在这里徘徊了很久，费了很大的气力才穿过田野，及时赶回了营地。"
"On the next occasion of his awaiting her she did not appear in her usual place at the usual hour.","下一次他来这里等她时，她没有准时像往常一样在老地方露面。"
"His disappointment was unspeakably keen; he remained staring blankly at the spot, like a man in a trance.","他的失望之情难以言表地强烈，他茫然若失地望着那里，如同一个被催眠的人。"
"The trumpets and tattoo sounded, and still he did not go.","军中的号角吹响了，而他却依旧不愿离去。"
"She had been delayed purely by an accident.","她纯粹是被一件小事给耽搁了。"
"When she arrived she was anxious because of the lateness of the hour, having heard as well as he the sounds denoting the closing of the camp.","来到相会地点时，她由于迟到而惴惴不安，她和他一样听见了号角声，这预示着营地就要关门了。"
"She implored him to leave immediately.","她恳求他立刻离开。"
"‘No,’ he said gloomily.","“不，”他沮丧地说，"
"‘I shall not go in yet—the moment you come—I have thought of your coming all day.’","“我还不想回去——你刚来——一整天我都在盼着你来。”"
"‘But you may be disgraced at being after time?’","“但是如果你回去晚了，会受到惩罚的吧？”"
"‘I don’t mind that.","“我不在乎这个。"
"I should have disappeared from the world some time ago if it had not been for two persons—my beloved, here, and my mother in Saarbrück.","若不是为了两个人——一个是这里的你，我的爱人，一个是我远在萨尔布吕肯的妈妈，我早就从这个世界上消失了。"
"I hate the army.","我讨厌军队。"
"I care more for a minute of your company than for all the promotion in the world.’","比起世界上所有晋升的机会，我更在乎有你陪伴我的每一分钟。”"
"Thus he stayed and talked to her, and told her interesting details of his native place, and incidents of his childhood, till she was in a simmer of distress at his recklessness in remaining.","于是他留下来和她说话，把自己的家乡趣闻和童年轶事讲给她听，直到她为他鲁莽的逗留而感到心中烦恼不安。"
"It was only because she insisted on bidding him good-night and leaving the wall that he returned to his quarters.","仅仅是因为她坚持和他道晚安，并且决意要离开围墙，他才回到了自己的营地。"
"The next time that she saw him he was without the stripes that had adorned his sleeve.","她再见到他时，他身上没有佩戴那些装饰着袖子的军衔条纹。"
"He had been broken to the level of private for his lateness that night; and as Phyllis considered herself to be the cause of his disgrace her sorrow was great.","他由于那天晚上的迟归被降级为列兵，菲利斯认为是自己导致他受罚，因此心中更加悲伤。"
"But the position was now reversed; it was his turn to cheer her.","不过，现在两人的位置交换了，这下轮到他来安慰她了。"
"‘Don’t grieve, meine Liebliche!’ he said.","“别难过，我亲爱的！”他说道，"
"‘I have got a remedy for whatever comes.","“我有一剂良药，可以治愈一切。"
"First, even supposing I regain my stripes, would your father allow you to marry a non-commissioned officer in the York Hussars?’","首先，就算我拿回了我的军衔，你父亲会同意你嫁给约克轻骑队里一个未受委任的军官吗？”"
"She flushed.","她的脸红了。"
"This practical step had not been in her mind in relation to such an unrealistic person as he was; and a moment’s reflection was enough for it.","在与他这样一个非现实的人物交往中，她还没有动过这么实际的念头呢，而此刻的思考已经足够了。"
"‘My father would not—certainly would not,’ she answered unflinchingly.","“我父亲不会的——肯定不会同意的，”她脱口而出，"
"‘It cannot be thought of!","“这一点想都不能想！"
"My dear friend, please do forget me: I fear I am ruining you and your prospects!’","我亲爱的朋友，请忘记我吧，我害怕我会毁了你，毁了你的前途！”"
"‘Not at all!’ said he.","“一点儿也不会！”他说，"
"‘You are giving this country of yours just sufficient interest to me to make me care to keep alive in it.","“因为有了你，我才有足够的兴趣在这个国家生活下去。"
"If my dear land were here also, and my old parent, with you, I could be happy as I am, and would do my best as a soldier.","如果我亲爱的故土也在这里，我年迈的母亲也在这里，和你在一起，我就会像现在一样快乐，我会尽职尽责地去当兵。"
"But it is not so.","但现实却不是这样。"
"And now listen.","现在请听我说。"
"This is my plan.","这是我的计划。"
"That you go with me to my own country, and be my wife there, and live there with my mother and me.","你和我一起回到我的国家去吧，在那里我会娶你为妻，然后你和我，还有我的母亲一起生活下去。"
"I am not a Hanoverian, as you know, though I entered the army as such; my country is by the Saar, and is at peace with France, and if I were once in it I should be free.’","正如你所知，虽然我加入了皇家军队，我并非汉诺威王室家族的人。我的家乡在萨尔边境，和法国人和平相处，只要我能回到那里，我就自由了。”"
"‘But how get there?’ she asked.","“可是该如何才能抵达那里呢？”她问道。"
"Phyllis had been rather amazed than shocked at his proposition.","对于他的提议，菲利斯感到有点儿惊讶，但并不震惊。"
"Her position in her father’s house was growing irksome and painful in the extreme; his parental affection seemed to be quite dried up.","在父亲的屋檐下，她的存在令他越来越反感，也令他极度痛苦。他对她的父爱几乎已经枯竭。"
"She was not a native of the village, like all the joyous girls around her; and in some way Matthäus Tina had infected her with his own passionate longing for his country, and mother, and home.","她不像她身边那些欢快的农家女孩，是土生土长的村里人，马托伊斯·蒂纳对祖国的热情、对母亲和家乡的眷恋都以某种方式影响了她。"
"‘But how?’ she repeated, finding that he did not answer.","“但是怎样才能去呢？”没有得到他的回答，她又重复问了一句，"
"‘Will you buy your discharge?’","“你能获准离开这里吗？”"
"‘Ah, no,’ he said.","“啊，这办不到，”他说，"
"‘That’s impossible in these times.","“在这种时期是不可能办到的。"
"No; I came here against my will; why should I not escape?","不，我违背自己的意愿来到了这里，我为什么不应该逃走呢？"
"Now is the time, as we shall soon be striking camp, and I might see you no more.","现在正是时候了，因为我们很快就要拔营，我也许再也见不到你了。"
"This is my scheme.","我的计划是这样的。"
"I will ask you to meet me on the highway two miles off; on some calm night next week that may be appointed.","我想请你在两英里远的大路上等我，我们约好在下周一个宁静的夜晚相见。"
"There will be nothing unbecoming in it, or to cause you shame; you will not fly alone with me, for I will bring with me my devoted young friend Christoph, an Alsatian, who has lately joined the regiment, and who has agreed to assist in this enterprise.","这件事不会有不妥当的地方，也不会让你的名誉受损。你不会单独和我私奔，因为我会和我一位年轻而忠诚的朋友一同前来，他叫克里斯托弗，是阿尔萨西人，最近才入伍，他同意在这件事中助我一臂之力。"
"We shall have come from yonder harbour, where we shall have examined the boats, and found one suited to our purpose.","我们将从那边的港口出发，在那里我们会检查一下船只，然后挑一艘合适的船来帮我们到达目的地。"
"Christoph has already a chart of the Channel, and we will then go to the harbour, and at midnight cut the boat from her moorings, and row away round the point out of sight; and by the next morning we are on the coast of France, near Cherbourg.","克里斯托弗已经有一张英吉利海峡的地图了，我们到时前往港口，在午夜时分从泊船处解开一条小船，就可以划出人们的视线之外。第二天早上，我们就能抵达法国瑟堡附近的海岸了。"
"The rest is easy, for I have saved money for the land journey, and can get a change of clothes.","剩下的事情就好办了，因为我为在陆地上的行程积蓄了一笔钱，到时可以换一身行头。"
"I will write to my mother, who will meet us on the way.’","我会写信给我母亲，这样她就能在半路上与我们相会。”"
"He added details in reply to her inquiries, which left no doubt in Phyllis’s mind of the feasibility of the undertaking.","针对她的提问，他又补充了一些细节，这使得菲利斯认为这件事情是万无一失的。"
"But its magnitude almost appalled her; and it is questionable if she would ever have gone further in the wild adventure if, on entering the house that night, her father had not accosted her in the most significant terms.","不过，这件事的重要意义几乎把她吓坏了。倘若当晚一回家，她父亲没有用那么严厉的语气与她说话的话，她是否会继续这场冒险还是值得怀疑的。"
"‘How about the York Hussars?’ he said.","“约克轻骑兵们怎么样了？”他问道。"
"‘They are still at the camp; but they are soon going away, I believe.’","“他们还驻扎在这里呢，但是我想他们很快就要开拔了。”"
"‘It is useless for you to attempt to cloak your actions in that way.","“你这样试图隐瞒自己的行动是没有用的。"
"You have been meeting one of those fellows; you have been seen walking with him—foreign barbarians, not much better than the French themselves!","你一直在与其中的一个小伙子约会，我看见你和他一起散步了——这些野蛮的外国人，比法国人他们自己好不到哪里去！"
"I have made up my mind—don’t speak a word till I have done, please!—I have made up my mind that you shall stay here no longer while they are on the spot.","我已经决定了——千万不要在我说完之前插嘴——我已经打定主意了，他们还驻扎在这里的时候，你就不能再留在这里了。"
"You shall go to your aunt’s.’","你去你姑妈那里住吧。”"
"It was useless for her to protest that she had never taken a walk with any soldier or man under the sun except himself.","她辩解道，除了她父亲自己，她还从来没有和任何士兵、任何男人在光天化日下一起散过步，但这无济于事。"
"Her protestations were feeble, too, for though he was not literally correct in his assertion, he was virtually only half in error.","她的抗议也很无力，因为虽然他的说法在字面上讲是错误的，而实际上也算对了一半，并非毫无根据。"
"The house of her father’s sister was a prison to Phyllis.","对于菲利斯来说，她姑妈的房子就是一座监狱。"
"She had quite recently undergone experience of its gloom; and when her father went on to direct her to pack what would be necessary for her to take, her heart died within her.","不久前她才体验过那房子的阴暗，所以当父亲继续指挥她整理必要的行装时，她的心都死了。"
"In after years she never attempted to excuse her conduct during this week of agitation; but the result of her self-communing was that she decided to join in the scheme of her lover and his friend, and fly to the country which he had coloured with such lovely hues in her imagination.","之后的年岁里，她从来没有为自己在这一周里激动的行为辩解。不过她自己反复思考的结果就是，她决定按照她的情人和他朋友的计划，私奔到那个国家。经他的描述，那个国家在她的想象中已经镀上了美丽的光辉。"
"She always said that the one feature in his proposal which overcame her hesitation was the obvious purity and straightforwardness of his intentions.","她常说，他的建议中有一点让她不再犹豫，那就是他那纯洁而直率的目的。"
"He showed himself to be so virtuous and kind; he treated her with a respect to which she had never before been accustomed; and she was braced to the obvious risks of the voyage by her confidence in him.","他展现了自己的正直和善良，他用一种她从未体验过的尊重态度去待她；她信任他，愿意与他共同经历这次旅途中种种显而易见的风险。"

"Chapter IV","第四章"
"It was on a soft, dark evening of the following week that they engaged in the adventure.","在接下来的一周某个漆黑的夜晚，天气宜人，他们踏上了私奔的冒险之旅。"
"Tina was to meet her at a point in the highway at which the lane to the village branched off.","蒂纳将在大路与乡间小道交汇的路口与她见面。"
"Christoph was to go ahead of them to the harbour where the boat lay, row it round the Nothe—or Look-out as it was called in those days—and pick them up on the other side of the promontory, which they were to reach by crossing the harbour-bridge on foot, and climbing over the Look-out hill.","克里斯托弗在他们之前已经动身去了港口，在那里备好船，绕过诺斯——或者按当时的叫法称为瞭望角——然后到海角的另一侧将他们接上船。他们将步行穿过港口桥，再翻过瞭望角的山坡。"
"As soon as her father had ascended to his room she left the house, and, bundle in hand, proceeded at a trot along the lane.","父亲一上楼，她就回到自己的房间，离开家，手里抱了一大捆衣物，沿着小路快步向前走去。"
"At such an hour not a soul was afoot anywhere in the village, and she reached the junction of the lane with the highway unobserved.","这个时辰，村里不见人影，她来到了小路和大道的交汇处，没有人看见她。"
"Here she took up her position in the obscurity formed by the angle of a fence, whence she could discern every one who approached along the turnpike-road, without being herself seen.","她在这里挑了一个位置，让自己的身影正好被路边栅栏的一角挡住，这样她可以打量每一个沿着大路过来的人，而自己又不会被别人发现。"
"She had not remained thus waiting for her lover longer than a minute—though from the tension of her nerves the lapse of even that short time was trying—when, instead of the expected footsteps, the stage-coach could be heard descending the hill.","她站在那里等着她的情人，没过多久——虽然她焦虑的精神状态让这短暂的时光也变得格外难熬——她没有等来情人的脚步，那边却传来了驿站马车下山的声音。"
"She knew that Tina would not show himself till the road was clear, and waited impatiently for the coach to pass.","她知道蒂纳不等到路上没人是不会出现的，所以她焦急地等着马车行驶过去。"
"Nearing the corner where she was it slackened speed, and, instead of going by as usual, drew up within a few yards of her.","经过她站着的那个角落时，马车放慢了速度，车没有像往常一样行驶过去，而是在离她几码远的地方停了下来。"
"A passenger alighted, and she heard his voice.","一位乘客下了车，她听出了他的声音。"
"It was Humphrey Gould’s.","那是汉弗莱·古尔德的声音。"
"He had brought a friend with him, and luggage.","他与他的一位朋友同行，还带着行李。"
"The luggage was deposited on the grass, and the coach went on its route to the royal watering-place.","行李被放在了草地上，马车继续按它的路线驶向皇家海滨行宫。"
"‘I wonder where that young man is with the horse and trap?’ said her former admirer to his companion.","“我想知道，那个赶马车的小伙子在哪儿呢？”她曾经的追求者对他的同伴说，"
"‘I hope we shan’t have to wait here long.","“我希望我们不会在这里等太久，"
"I told him half-past nine o’clock precisely.’","我告诉他9点半准时过来。”"
"‘Have you got her present safe?’","“你把送给她的礼物放好了吗？”"
"‘Phyllis’s?","“给菲利斯的？"
"O, yes.","噢，当然。"
"It is in this trunk.","就在箱子里。"
"I hope it will please her.’","我希望她会喜欢。”"
"‘Of course it will.","“肯定会的。"
"What woman would not be pleased with such a handsome peace-offering?’","哪个女孩会不为这如此慷慨的礼物所打动呢？”"
"‘Well—she deserves it.","“是呀——她值得拥有这份礼物。"
"I’ve treated her rather badly.","我对待她太不好了。"
"But she has been in my mind these last two days much more than I should care to confess to everybody.","但是过去的两天中，她一直在我的脑海里，我不在乎把我的思念之情告诉所有人。"
"Ah, well; I’ll say no more about that.","啊，好吧。我不会再讲这些了。"
"It cannot be that she is so bad as they make out.","她不可能像他们所说的那样是一个坏女孩。"
"I am quite sure that a girl of her good wit would know better than to get entangled with any of those Hanoverian soldiers.","我非常肯定，像她这样一个聪明的女孩子，是不会愿意和汉诺威的任何一个士兵纠缠在一起的。"
"I won’t believe it of her, and there’s an end on’t.’","我不相信那些关于她的传言，不要再提了。”"
"More words in the same strain were casually dropped as the two men waited; words which revealed to her, as by a sudden illumination, the enormity of her conduct.","两人一边等，一边还以同样的语气不时交谈几句，这些话突然间让她明白，自己的所作所为是多么邪恶。"
"The conversation was at length cut off by the arrival of the man with the vehicle.","他们的对话最后被赶车人的到来而打断。"
"The luggage was placed in it, and they mounted, and were driven on in the direction from which she had just come.","行李被放进了车里，他们也上了车，正朝着她来的方向驶去。"
"Phyllis was so conscience-stricken that she was at first inclined to follow them; but a moment’s reflection led her to feel that it would only be bare justice to Matthäus to wait till he arrived, and explain candidly that she had changed her mind—difficult as the struggle would be when she stood face to face with him.","菲利斯的良心十分不安，一开始她想跟随他们离开，但转念一想，她觉得自己只有等马托伊斯到了以后，将自己改变主意的理由坦诚相告，这样对于他来说才算公平——虽然这样一来，她面对他时心里会很痛苦。"
"She bitterly reproached herself for having believed reports which represented Humphrey Gould as false to his engagement, when, from what she now heard from his own lips, she gathered that he had been living full of trust in her.","她痛苦地责备自己不该相信那些关于汉弗莱·古尔德悔婚的传言，从她听到他亲口说的内容来看，她知道他一直十分信任自己。"
"But she knew well enough who had won her love.","但是她也很清楚自己爱的是谁。"
"Without him her life seemed a dreary prospect, yet the more she looked at his proposal the more she feared to accept it—so wild as it was, so vague, so venturesome.","要是没有了他，她的生活将一片黯淡，但是她越回想起他的提议，就越害怕接受它——这提议是如此大胆、如此暧昧，又是如此危险。"
"She had promised Humphrey Gould, and it was only his assumed faithlessness which had led her to treat that promise as nought.","她对汉弗莱·古尔德作过许诺，而他对此表现出的不忠才使得她做出违背诺言的行为。"
"His solicitude in bringing her these gifts touched her; her promise must be kept, and esteem must take the place of love.","他想要带给她那些礼物的急切心情打动了她，她许下的诺言必须遵守，尊严要代替爱的地位。"
"She would preserve her self-respect.","她将保持自己的自尊心。"
"She would stay at home, and marry him, and suffer.","她将留在家中，嫁给她，忍受一辈子。"
"Phyllis had thus braced herself to an exceptional fortitude when, a few minutes later, the outline of Matthäus Tina appeared behind a field-gate, over which he lightly leapt as she stepped forward.","菲利斯以巨大的毅力支持着自己，几分钟后，马托伊斯的身影出现在一处栅栏门后，他轻轻地跳过来，她迎了上去。"
"There was no evading it, he pressed her to his breast.","他将她搂在怀里，她没有避开。"
"‘It is the first and last time!’ she wildly thought as she stood encircled by his arms.","“这是第一次，也是最后一次！”她被他拥在怀里，心中冒出这疯狂的想法。"
"How Phyllis got through the terrible ordeal of that night she could never clearly recollect.","她无法清楚地记起自己是如何煎熬着度过那一夜了。"
"She always attributed her success in carrying out her resolve to her lover’s honour, for as soon as she declared to him in feeble words that she had changed her mind, and felt that she could not, dared not, fly with him, he forbore to urge her, grieved as he was at her decision.","她一直认为，她之所以能够实现自己的决心，是因为她的情人尊重了她的想法。当时她用虚弱的话语告诉他，她改变了主意，她觉得自己不能也不敢和他私奔。而一听她这么说，他马上压抑住了自己敦促她的冲动，因她的决定而伤心欲绝。"
"Unscrupulous pressure on his part, seeing how romantically she had become attached to him, would no doubt have turned the balance in his favour.","虽然他承受着巨大的道德压力，但是看到她还是如此强烈地爱着自己，他完全是可以将局面变成对他有利的状况。"
"But he did nothing to tempt her unduly or unfairly.","然而他没有引诱她去做不恰当或是不公平的事情。"
"On her side, fearing for his safety, she begged him to remain.","对于她来说，由于担心他的安全，她乞求他留下来。"
"This, he declared, could not be.","对于这一点，他表示绝对不可能了。"
"‘I cannot break faith with my friend,’ said he.","“我不能破坏与朋友的约定。”他说。"
"Had he stood alone he would have abandoned his plan.","倘若他是一个人的话，他可能会放弃自己的计划。"
"But Christoph, with the boat and compass and chart, was waiting on the shore; the tide would soon turn; his mother had been warned of his coming; go he must.","但是克里斯托弗驾驶着小船，身上还携带着指南针和地图，正在岸边等着他们呢。海潮很快就要涨起来了，他母亲已经得到了他要回去的通知，所以他必须将计划继续下去。"
"Many precious minutes were lost while he tarried, unable to tear himself away.","他的逗留浪费了宝贵的几分钟时间，他依依不舍，不愿离开。"
"Phyllis held to her resolve, though it cost her many a bitter pang.","菲利斯坚持自己的决定，虽然这让她极度痛苦。"
"At last they parted, and he went down the hill.","最后他们终于分了手，他向山下走去。"
"Before his footsteps had quite died away she felt a desire to behold at least his outline once more, and running noiselessly after him regained view of his diminishing figure.","就在他的脚步即将消失在远方的时候，她有一种冲动想至少再看一眼他的身影，于是默默地跟在他身后，再次看见他的背影渐行渐远。"
"For one moment she was sufficiently excited to be on the point of rushing forward and linking her fate with his.","有那么一刻，她变得十分激动，恨不得立刻冲上去，让两人的命运从此交织在一起。"
"But she could not.","但是她不能这么做。"
"The courage which at the critical instant failed Cleopatra of Egypt could scarcely be expected of Phyllis Grove.","菲利斯·格罗夫就像埃及艳后克里奥帕特拉一样，在关键时刻失去了勇气。"
"A dark shape, similar to his own, joined him in the highway.","一个和他差不多的黑影在大路上与他碰面了。"
"It was Christoph, his friend.","那是他的朋友克里斯托弗。"
"She could see no more; they had hastened on in the direction of the town and harbour, four miles ahead.","她再也看不清楚了，他们匆匆朝四英里外的镇子和港口的方向走去。"
"With a feeling akin to despair she turned and slowly pursued her way homeward.","她心头涌起一股类似于绝望的感觉，她转过身，慢慢地往家走去。"
"Tattoo sounded in the camp; but there was no camp for her now.","军营里的军号响起了，但对于她来说，此刻已经不再有什么军营了。"
"It was as dead as the camp of the Assyrians after the passage of the Destroying Angel.","四周死一般的寂静，如同毁灭天使降临之后的亚述人的军营。"
"She noiselessly entered the house, seeing nobody, and went to bed.","她悄悄地进了家门，什么人也没看见，就去睡觉了。"
"Grief, which kept her awake at first, ultimately wrapped her in a heavy sleep.","起初，悲伤让她辗转难眠，后来，她终于在悲伤的包围中陷入了沉睡。"
"The next morning her father met her at the foot of the stairs.","第二天早上，她父亲在楼梯下迎接她。"
"‘Mr. Gould is come!’ he said triumphantly.","“古尔德先生来了！”他得意地说。"
"Humphrey was staying at the inn, and had already called to inquire for her.","汉弗莱住在旅馆里，已经登门过一次，请求见她。"
"He had brought her a present of a very handsome looking-glass in a frame of repoussé silverwork, which her father held in his hand.","他给她带来了一件礼物，是一个精美的梳妆镜，镶嵌在有花边的银框中，她父亲将这礼物捧在手里。"
"He had promised to call again in the course of an hour, to ask Phyllis to walk with him.","他说一小时之后还会再来，并邀请菲利斯到时和他一同散步。"
"Pretty mirrors were rarer in country-houses at that day than they are now, and the one before her won Phyllis’s admiration.","和现在不同，那个时代，在乡下的房子里很少能见到漂亮的镜子，眼前的这面镜子令菲利斯十分中意。"
"She looked into it, saw how heavy her eyes were, and endeavoured to brighten them.","她向镜子里望去，看见自己的眼神十分沉痛，要花好大力气才使它们看上去愉快一点儿。"
"She was in that wretched state of mind which leads a woman to move mechanically onward in what she conceives to be her allotted path.","她的心情十分低落，怀着这种情绪的女人会机械地走上别人为她指定的道路。"
"Mr. Humphrey had, in his undemonstrative way, been adhering all along to the old understanding; it was for her to do the same, and to say not a word of her own lapse.","汉弗莱先生已经以自己含蓄的方式遵守了过去的约定，她也要照做，并对自己的过失只字不提。"
"She put on her bonnet and tippet, and when he arrived at the hour named she was at the door awaiting him.","她戴上软帽，穿上披肩，当他在约好的时间到达时，她正站在门口等着他。"

"Chapter V","第五章"
"Phyllis thanked him for his beautiful gift; but the talking was soon entirely on Humphrey’s side as they walked along.","菲利斯对他精美的礼物表达了谢意，但两人开始散起步来以后，谈话很快就完全由汉弗莱一人掌控了。"
"He told her of the latest movements of the world of fashion—a subject which she willingly discussed to the exclusion of anything more personal—and his measured language helped to still her disquieted heart and brain.","他对她讲起外面世界最近流行的事物——比起更加私人的事情，这个话题是她很愿意谈论的——他说话很有分寸，让她不安的心平静了下来。"
"Had not her own sadness been what it was she must have observed his embarrassment.","倘若不是因为她自己的悲伤情绪，她一定会注意到他的尴尬表情。"
"At last he abruptly changed the subject.","最后，他突然改变了话题。"
"‘I am glad you are pleased with my little present,’ he said.","“你喜欢我的小礼物，这让我很高兴，”他说，"
"‘The truth is that I brought it to propitiate ’ee, and to get you to help me out of a mighty difficulty.’","“事实上，我送给你这个礼物是想给你带来安慰，并且请你帮我解决一个大难题。”"
"It was inconceivable to Phyllis that this independent bachelor—whom she admired in some respects—could have a difficulty.","菲利斯料想不到这样一位独立的单身男人——在某些方面自己还是很敬佩他的——会遇到困难。"
"‘Phyllis—I’ll tell you my secret at once; for I have a monstrous secret to confide before I can ask your counsel.","“菲利斯——我马上就要告诉你我的秘密了，我有一个天大的秘密要吐露，之后我要询问你的意见。"
"The case is, then, that I am married: yes, I have privately married a dear young belle; and if you knew her, and I hope you will, you would say everything in her praise.","这件事就是，嗯，我结婚了。是的，我秘密地同一位年轻的美人结婚了。如果你认识她，如果不认识的话我非常希望你们能相识，你一定会对她赞不绝口的。"
"But she is not quite the one that my father would have chose for me—you know the paternal idea as well as I—and I have kept it secret.","但她不是我父亲为我相中的结婚对象——你和我一样了解父亲的意见是怎么一回事——所以我一直对这桩婚事保密。"
"There will be a terrible noise, no doubt; but I think that with your help I may get over it.","毫无疑问，这会引起轩然大波。但是我认为，如果你能帮助我的话，我就一定能渡过难关。"
"If you would only do me this good turn—when I have told my father, I mean—say that you never could have married me, you know, or something of that sort—’pon my life it will help to smooth the way vastly.","只要你能同意这么说——我是说，我已经告诉我父亲了——说你绝对不会嫁给我，你知道，类似这样的话——我担保这会极大地使情况好转起来。"
"I am so anxious to win him round to my point of view, and not to cause any estrangement.’","我非常想让他接受我的婚姻决定，也不想造成任何关系的疏远。”"
"What Phyllis replied she scarcely knew, or how she counselled him as to his unexpected situation.","菲利斯是如何回答的，对于他你出乎预料的处境是如何给出建议的，这些她都记不清楚了。"
"Yet the relief that his announcement brought her was perceptible.","然而他的话带给她的那种如释重负的感觉，依然清晰。"
"To have confided her trouble in return was what her aching heart longed to do; and had Humphrey been a woman she would instantly have poured out her tale.","她内心痛苦，非常想将自己的烦恼一吐为快作为回报，假如汉弗莱是女人，她肯定立刻就把自己的心事讲出来了。"
"But to him she feared to confess; and there was a real reason for silence, till a sufficient time had elapsed to allow her lover and his comrade to get out of harm’s way.","但是她不敢对他吐露心声，她沉默还有一个真正的原因，那就是为她的恋人和他的伙伴顺利远离危险争取时间。"
"As soon as she reached home again she sought a solitary place, and spent the time in half regretting that she had not gone away, and in dreaming over the meetings with Matthäus Tina from their beginning to their end.","她一回到家就找了一个安静的地方，开始后悔自己没有离开，回想着她与马托伊斯·蒂纳从初次相识到分手之间的数次见面。"
"In his own country, amongst his own countrywomen, he would possibly soon forget her, even to her very name.","在他自己的国家，在本国的姑娘中间，他肯定很快就会将她忘记，甚至连名字都记不得了。"
"Her listlessness was such that she did not go out of the house for several days.","她情绪低落，以至于一连好几天都没有出门。"
"There came a morning which broke in fog and mist, behind which the dawn could be discerned in greenish grey; and the outlines of the tents, and the rows of horses at the ropes.","一天早晨，浓雾笼罩着大地，透过雾气可以看见青灰色的天空，帐篷的轮廓和一排排拴着缰绳的马匹也依稀可辨。"
"The smoke from the canteen fires drooped heavily.","炊事班的篝火冒出的烟沉重地低垂着。"
"The spot at the bottom of the garden where she had been accustomed to climb the wall to meet Matthäus, was the only inch of English ground in which she took any interest; and in spite of the disagreeable haze prevailing she walked out there till she reached the well-known corner.","花园尽头是她曾经常常爬上墙头与马托伊斯见面的地点，这是这个国家她唯一留恋的土地。她不顾四处弥漫着恼人的雾气，走了出去，来到了自己很熟悉的那个角落。"
"Every blade of grass was weighted with little liquid globes, and slugs and snails had crept out upon the plots.","每个草尖上都挂着小露珠，蛞蝓和蜗牛在田垄上蠕动着。"
"She could hear the usual faint noises from the camp, and in the other direction the trot of farmers on the road to the town, for it was market-day.","她能听见军营那边传来的如往常一样微小的声响，另一边传来的是农人走在通往城里的路上的脚步声，因为今天是赶集的日子。"
"She observed that her frequent visits to this corner had quite trodden down the grass in the angle of the wall, and left marks of garden soil on the stepping-stones by which she had mounted to look over the top.","她发现，因为自己常常到这里来，墙角的草被踩平了一片，她临墙眺望时踩在脚下的石阶上，还残留着一些花园里的泥土。"
"Seldom having gone there till dusk, she had not considered that her traces might be visible by day.","除了傍晚时分，她很少在别的时刻到这里来，所以没有注意到她留下的痕迹在白天是清晰可见的。"
"Perhaps it was these which had revealed her trysts to her father.","也许她父亲就是凭这些发现了她的约会。"
"While she paused in melancholy regard, she fancied that the customary sounds from the tents were changing their character.","她满怀忧郁地站在那里，猜想军营里往常的声响正在发生变化。"
"Indifferent as Phyllis was to camp doings now, she mounted by the steps to the old place.","菲利斯现在对军营里那些事情已经漠不关心了，不过她还是忍不住顺着台阶爬到老地方。"
