"书名普鲁士军官（D. H. 劳伦斯经典短篇小说）短简介残酷的战争和军队的压抑扭曲了普鲁士上尉的性格，专横跋扈的他看到年轻、充满活力的勤务兵与自己僵硬的身体和抑郁的性格形成的鲜明对比，诱发他变得暴戾残忍，于是他千方百计、略带病态地对勤务兵施尽各种折磨。最终勤务兵忍无可忍，亲手杀死了上尉，可也无法抵住精神上的折磨，死在了逃亡的路上。长简介劳伦斯的小说因善于描写性爱曾饱受诟病。短篇小说《普鲁士军官》中，虽然没有露骨的性爱描写，但却同样描述了畸形的情感纠纷。表面上描写的是普鲁士上尉与年轻勤务兵之间的阶级冲突，但劳伦斯通过细致的人物内心描写，同时向我们揭示了两个男人之间，因为战争的残酷和军队内的压抑，产生的一种扭曲了的互相憎恶，又互相吸引的感情。这种畸形的感情对立不断升级，最终只能以悲剧收尾，令人唏嘘不已。关键词普鲁士军官；D. H.  劳伦斯；短篇；军队；阶级冲突；同性恋；生与死作者（英）D. H. 劳伦斯 作者简介D. H. 劳伦斯 （1885—1930），这位出生于诺丁汉矿工家庭的作家是20世纪英国最有成就，也是最具争议的作家之一。男女之间的情爱，和对工业社会的批判是他的主要创作主题。他深受弗洛伊德的影响，作品中善于运用象征手法，小说人物内心刻画十分细腻。在他近20年的创作生涯中为世人留下了10多部小说、3本游记、3卷短篇小说集，数本诗集、散文集、书信集，另有多幅美术作品。书评劳伦斯是我们这一代最伟大的富于想象力的小说家。他在他的作品中创造了光辉灿烂的世界的形形色色的人事物态。——E. M. 福斯特"
"The Prussian Officer","普鲁士军官"
"The Captain’s heart gave a pang, as of pleasure, seeing the young fellow bewildered and uncertain on his feet, with pain.","上尉看到年轻人满脸困惑，双脚站立不稳，痛苦的样子，心中咯噔一下，似乎很高兴。"
"“Schoner!”","“舍纳！”"
"he said.","他叫道。"
"The soldier was a little slower in coming to attention.","士兵立正的动作有些迟缓。"
"“Yes, sir!”","“是，长官！”"
"The youth stood before him, with pathetic young moustache, and fine eyebrows very distinct on his forehead of dark marble.","年轻人站在他面前,小胡子看着可怜兮兮的，深色大理石似的额头上，整齐的眉毛十分醒目。"
"“I asked you a question.”","“我问了你一个问题。”"
"“Yes, sir.”","“是的，长官。”"
"The officer’s tone bit like acid.","军官的声调里略带尖酸。"
"“Why had you a pencil in your ear?”","“为什么你的耳朵上夹着一支铅笔？”"
"Again the servant’s heart ran hot, and he could not breathe.","勤务兵的心脏再次砰砰乱撞，他无法呼吸了。"
"With dark, strained eyes, he looked at the officer, as if fascinated.","他那黑色的双眼紧张地看着军官，着了迷似的。"
"And he stood there sturdily planted, unconscious.","他毫无知觉地站在那里，脚下像是生了根。"
"The withering smile came into the Captain’s eyes, and he lifted his foot.","上尉眼里的笑意逐渐消失，接着便抬起了他的一只脚。"
"“I—I forgot it—sir,” panted the soldier, his dark eyes fixed on the other man’s dancing blue ones.","“我——我忘了——长官。”士兵喘着气，黑色的双眼紧紧盯着对方那跳动着的蓝色双眼。"
"“What was it doing there?”","“放那里干什么？”"
"He saw the young man’s breast heaving as he made an effort for words.","他看到年轻人吃力地说话时，胸口一起一伏。"
"“I had been writing.”","“我在写东西。”"
"“Writing what?”","“写什么？”"
"Again the soldier looked up and down.","士兵的眼神又开始左右闪躲。"
"The officer could hear him panting.","军官可以听到他在大声喘气。"
"The smile came into the blue eyes.","蓝色双眼露出了笑意。　"
"The soldier worked his dry throat, but could not speak.","士兵清了清自己干涩的喉咙，但还是无法说出话来。"
"Suddenly the smile lit like a flame on the officer’s face, and a kick came heavily against the orderly’s thigh.","突然军官脸上的笑容像一团火焰一般，点亮了他的面部，接着便是一脚狠狠地踢在勤务兵的大腿上。"
"The youth moved a pace sideways.","年轻人往旁边晃了几步。"
"His face went dead, with two black, staring eyes.","他的脸变得死气沉沉，黑色的眼睛瞪着对方。"
"“Well?”","“怎么样？”"
"said the officer.","军官说。"
"The orderly’s mouth had gone dry, and his tongue rubbed in it as on dry brown-paper.","勤务兵的嘴巴发干，舌头在嘴里就像在干牛皮纸上摩挲一样。"
"He worked his throat.","他清了清嗓子。"
"The officer raised his foot.","军官抬起了脚。"
"The servant went stiff.","勤务兵整个变得僵硬了。"
"“Some poetry, sir,” came the crackling, unrecognizable sound of his voice.","“几句诗歌，长官。”他的声音尖刺，都无法辨别了。"
"“Poetry, what poetry?”","“诗歌？什么诗歌？”"
"asked the Captain, with a sickly smile.","上尉带着尖刻的笑容，问道。"
"Again there was the working in the throat.","又是清嗓子的声音。"
"The Captain’s heart had suddenly gone down heavily, and he stood sick and tired.","上尉的心陡然一沉，虚弱而疲惫地站着。"
"“For my girl, sir.”He heard the dry,in　human sound.","“写给我女朋友的，长官。”他听到自己声音干涩，几乎不成人声。"
"“Oh!”","“噢！”"
"he said, turning away.","他转过身说道，"
"“Clear the table.”","“把桌子收拾了。”"
"“Click!”","“咯！”"
"went the soldier’s throat; then again, “click!”","士兵喉咙里发出声音，接着又是一声“咯！”"
"and then the half-articulate:","然后他含含糊糊地说："
"“Yes, sir.”","“是，长官。”"
"The young soldier was gone, looking old, and walking heavily.","年轻的士兵离开了，像个老人一样拖着沉重的步子。"
"The officer, left alone, held himself rigid, to prevent himself from thinking.","军官独自一人，努力克制自己不去思考。"
"His instinct warned him that he must not think.","他的直觉警告他千万不能思考。"
"Deep inside him was the intense gratification of his passion, still working powerfully.","但他的内心深处却感到一阵阵强烈的满足感，源源不绝。"
"Then there was a counter-action, a horrible breaking down of something inside him, a whole agony of reaction.","继而又有一种完全相反的感觉,似乎他的身体里什么东西正在可怕地破碎着。这种反应极其痛苦。"
"He stood there for an hour motionless, a chaos of sensations, but rigid with a will to keep blank his consciousness, to prevent his mind grasping.","他失魂落魄地在原地站了一个钟头，心烦意乱。但他仍站得笔直，试图保持意识空白，好让思绪停止。"
"And he held himself so until the worst of the stress had passed, when he began to drink, drank himself to an intoxication, till he slept obliterated.","他这样克制着自己，直到挺过最压抑的一刻，接着他便开始喝酒，喝得酩酊大醉，昏睡过去，忘记一切。"
"When he woke in the morning he was shaken to the base of his nature.","当他早晨醒来时，他被最原始的自我吓到了。"
"But he had fought off the realization of what he had done.","但是他竭尽全力不去想起自己的所作所为。"
"He had prevented his mind from taking it in, had suppressed it along with his instincts, and the conscious man had nothing to do with it.","他阻止自己的大脑去回想，凭着本能努力压抑所有的念头，但是头脑清醒的人是没法办到的。"
"He felt only as after a bout of intoxication, weak, but the affair itself all dim and not to be recovered.","他只是觉得刚从酒醉中醒来，虚弱无力。整件事情本身已变得模糊，他记不起来了。"
"Of the drunkenness of his passion he successfully refused remembrance.","借着醉酒，他成功地抵制了所有记忆。"
"And when his orderly appeared with coffee, the officer assumed the same self he had had the morning before.","但是当他的勤务兵端着咖啡出现时，军官又做回了清晨之前的自己。"
"He refused the event of the past night—denied it had ever been—and was successful in his denial.","他拒绝想起昨晚发生的事情——否认曾经发生过这件事——而且否认得相当成功。"
"He had not done any such thing—not he himself.","他从没做过这种事——至少他自己没做过。"
"Whatever there might be lay at the door of a stupid, insubordinate servant.","不管怎样，都是一个愚蠢犯上的勤务兵的错。"
"The orderly had gone about in a stupor all the evening.","勤务兵一晚上都神情恍惚。"
"He drank some beer because he was parched, but not much, the alcohol made his feeling come back, and he could not bear it.","他喝了点儿啤酒，因为口舌干燥，但是没喝太多。酒精唤起了他的痛苦，使他难以忍受。"
"He was dulled, as if nine-tenths of the ordinary man in him were inert.","他变得迟钝，仿佛九成的自己都变得毫无生气了。"
"He crawled about disfigured.","他缓慢地走动着，已没有了人的样子。"
"Still, when he thought of the kicks, he went sick, and when he thought of the threat of more kicking, in the room afterwards, his heart went hot and faint, and he panted, remembering the one that had come.","可是，一想起那一顿踢打，他就感到恶心；想到今后在这房里要受到更多踢打的威胁，他的心脏噗噗直跳，并感到一阵眩晕，他喘着粗气，想起了之前的遭遇。"
"He had been forced to say, “For my girl.”","他被逼着说出：“给我的女朋友。”"
"He was much too done even to want to cry.","他太累了，甚至连想哭的力气都没有。"
"His mouth hung slightly open, like an idiot’s.","他的嘴像个白痴一样微张着。"
"He felt vacant, and wasted.","他感到一片空白，全身无力。"
"So, he wandered at his work, painfully, and very slowly and clumsily, fumbling blindly with the brushes, and finding it difficult, when he sat down, to summon the energy to move again.","于是，他随意地应付着手头工作，痛苦、迟缓、笨拙而盲目地摆弄着刷子，他发现自己一坐下去，就再也没有气力挪动了。"
"His limbs, his jaw, were slack and nerveless.","他的四肢、下巴都松散无力了。"
"But he was very tired.","可他实在是太疲倦了。"
"He got to bed at last, and slept inert, relaxed, in a sleep that was rather stupor than slumber, a dead night of stupefaction shot through with gleams of anguish.","终于他上床了，毫无知觉地、放松地睡着了，与其说是睡着了还不如说是昏死了过去，于是他带着几分怨恨，迷迷糊糊地度过了死寂的一夜。"
"In the morning were the manoeuvres.","一大早便是演习。"
"But he woke even before the bugle sounded.","可他却在军号吹响前就醒了。"
"The painful ache in his chest, the dryness of his throat, the awful steady feeling of misery made his eyes come awake and dreary at once.","他疼痛的胸口、干涩的喉咙，还有无休止的痛苦迫使他立即睁开双眼，满眼沮丧。"
"He knew, without thinking, what had happened.","他无需多想，就知道发生了什么事。"
"And he knew that the day had come again, when he must go on with his round.","他还知道天又亮了，他必须继续他的工作了。"
"The last bit of darkness was being pushed out of the room.","最后的一道黑暗也被挤出了房间。"
"He would have to move his inert body and go on.","他不得不挪动自己无力的身体干活去。"
"He was so young, and had known so little trouble, that he was bewildered.","他很年轻，没经历过多少烦恼，因此这使他困惑。"
"He only wished it would stay night, so that he could lie still, covered up by the darkness.","他多希望夜晚一直持续下去,那样他就可以直挺挺地躺着，让黑暗将自己包裹起来。"
"And yet nothing would prevent the day from coming, nothing would save him from having to get up and saddle the Captain’s horse, and make the Captain’s coffee.","然而，没什么能够阻止白天来临，他必须起床去给上尉的坐骑上鞍，给上尉煮咖啡。"
"It was there, inevitable.","任务等着他，无法逃避。"
"And then, he thought, it was impossible.","继而，他想到，那是不可能的。"
"Yet they would not leave him free.","他们不会让他闲着。"
"He must go and take the coffee to the Captain.","他必须给上尉端咖啡去了。"
"He was too stunned to understand it.","他太惊愕了，对此无法理解。"
"He only knew it was inevitable—inevitable, however long he lay inert.","他仅仅知道他无法逃避——无论他死气沉沉地躺多久，都无法逃避。"
"At last, after heaving at himself, for he seemed to be a mass of inertia, he got up.","终于，一番自我拉扯之后，他起来了，看上去完全失去了生气。"
"But he had to force every one of his movements from behind, with his will.","但是，他必须依靠自己的意志来强迫自己做出每个动作。"
"He felt lost, and dazed, and helpless.","他茫然若失，晕眩无助。"
"Then he clutched hold of the bed, the pain was so keen.","他紧紧抓住床沿，因为实在是太疼了。"
"And looking at his thighs, he saw the darker bruises on his swarthy flesh and he knew that, if he pressed one of his fingers on one of the bruises, he should faint.","勤务兵看着自己的大腿，发现他那黝黑的皮肤上有几处深色的瘀伤。他知道，如果用手指按在其中一处，他肯定会昏过去。"
"But he did not want to faint—he did not want anybody to know.","但是他不想昏过去——他也不希望任何人知道。"
"No one should ever know.","其他人不应该知道。"
"It was between him and the Captain.","那是他和上尉两人之间的事。"
"There were only the two people in the world now—himself and the Captain.","现在世界上只有两个人——他和上尉。"
"Slowly, economically, he got dressed and forced himself to walk.","他缓慢而又简练地穿好衣服，并迫使自己行走。"
"Everything was obscure, except just what he had his hands on.","任何事都显得模糊不清，除了他手头上的事情以外。"
"But he managed to get through his work.","但他还是努力完成了工作。"
"The very pain revived his dull senses.","疼痛使他麻痹的感官恢复了知觉。"
"The worst remained yet.","但最坏的还在后面。"
"He took the tray and went up to the Captain’s room.","他托着盘子来到楼上上尉的房间。"
"The officer, pale and heavy, sat at the table.","军官脸色苍白沉重，坐在桌旁。"
"The orderly, as he saluted, felt himself put out of existence.","勤务兵敬礼时，感觉自己消失了。"
"He stood still for a moment submitting to his own nullification—then he gathered himself, seemed to regain himself, and then the Captain began to grow vague, unreal, and the younger soldier’s heart beat up.","他一动不动地站了良久，仿佛真的消失了似的——接着他又有了精神，像是恢复了知觉，然后上尉开始变得模糊、失真了，年轻士兵的心剧烈地跳动起来。"
"He clung to this situation—that the Captain did not exist—so that he himself might live.","他坚持想着这一场景——上尉并不存在——这样他自己才能活着。"
"But when he saw his officer’s hand tremble as he took the coffee, he felt everything falling shattered.","但是当他看到上尉端起咖啡时抖动的手，他感到一切都分崩离析了。"
"And he went away, feeling as if he himself were coming to pieces, disintegrated.","他走开，觉得自己瓦解成了碎片。"
"And when the Captain was there on horseback, giving orders, while he himself stood, with rifle and knapsack, sick with pain, he felt as if he must shut his eyes—as if he must shut his eyes on everything.","当上尉骑在马背上发号施令，他背着来复枪和背包站立着，疼痛难忍时，他觉得自己似乎必须闭上双眼——似乎他必须什么都不看。"
"It was only the long agony of marching with a parched throat that filled him with one single, sleep-heavy intention: to save himself.","口干舌燥地行军带来的长时间的痛苦，使他脑海中唯有一个困倦的念头：拯救自己。"

"Chapter II","第二章"
"He was getting used even to his parched throat.","他甚至逐渐习惯喉咙干渴了。"
"That the snowy peaks were radiant among the sky, that the whity-green glacier-river twisted through its pale shoals, in the valley below, seemed almost supernatural.","雪峰在天空下闪着光辉，下面的河谷中，淡绿色的冰河蜿蜒流过苍白的浅滩，宛若梦境一般。"
"But he was going mad with fever and thirst.","但是，他已经被发烧和口渴折磨得快要发疯了。"
"He plodded on uncomplaining.","他毫无怨言地拖着沉重的步子向前走着。"
"He did not want to speak, not to anybody.","他不想说话，不想跟任何人说话。"
"There were two gulls, like flakes of water and snow, over the river.","两只海鸥，仿佛水花和雪片一般，盘旋在河流之上。"
"The scent of green rye soaked in sunshine came like a sickness.","嫩绿的黑麦，在阳光的照耀下，散发出令人作呕的气味。"
"And the march continued, monotonously, almost like a bad sleep.","部队继续前进，单调无味，就像一场没睡安稳的觉。"
"At the next farm-house, which stood low and broad near the high road, tubs of water had been put out.","前方大路旁有一栋低矮宽敞的农舍，外面摆放着几桶水。"
"The soldiers clustered round to drink.","士兵们围过去喝水。"
"They took off their helmets, and the steam mounted from their wet hair.","他们一脱掉头盔，热气便从湿漉漉的头发上冒了起来。"
"The Captain sat on horseback, watching.","上尉骑在马背上，注视着。"
"He needed to see his orderly.","他需要看到他的勤务兵。"
"His helmet threw a dark shadow over his light, fierce eyes, but his moustache and mouth and chin were distinct in the sunshine.","他的头盔在他那清澈、锋锐的眼睛上投下了黑影，但是胡子、嘴巴，还有下巴却醒目地暴露在阳光下。"
"The orderly must move under the presence of the figure of the horseman.","勤务兵必须在马背上的身影面前走动。"
"It was not that he was afraid, or cowed.","他并不是害怕，或是懦弱。"
"It was as if he was disembowelled, made empty, like an empty shell.","而是他感觉自己被开膛破肚，五脏六腑被掏空，像一个空壳。"
"He felt himself as nothing, a shadow creeping under the sunshine.","他觉得自己什么都不是，不过是匍匐在阳光下的影子。"
"And, thirsty as he was, he could scarcely drink, feeling the Captain near him.","而且，尽管他十分口渴，他也不能喝水，因为他觉得上尉就在他旁边。"
"He would not take off his helmet to wipe his wet hair.","他也不能脱掉头盔擦一擦湿漉漉的头发。"
"He wanted to stay in shadow, not to be forced into consciousness.","他想要一直做影子，不想被迫恢复意识。"
"Starting, he saw the light heel of the officer prick the belly of the horse; the Captain cantered away, and he himself could relapse into vacancy.","在一阵惊吓中，他看见军官用靴底戳了一下马肚子，上尉骑着马慢悠悠地离开了，于是他又陷入了之前的放空状态。"
"Nothing, however, could give him back his living place in the hot, bright morning.","然而，在这个炎热、阳光刺眼的清晨，没什么能够交还他生存的位置。"
"He felt like a gap among it all.","他感觉有一道鸿沟横在那里。"
"Whereas the Captain was prouder, overriding.","而上尉却更加傲慢，凌驾于一切之上。"
"A hot flash went through the young servant’s body.","一股热气从年轻仆人的体内流过。"
"The Captain was firmer and prouder with life, he himself was empty as a shadow.","上尉的生命充满活力，也愈发坚实、愈发傲慢，而他自己却空得像个影子。"
"Again the flash went through him, dazing him out.","热流再次涌遍他的全身，他几乎昏了过去。"
"But his heart ran a little firmer.","但是他的内心比之前更坚定些了。"
"The company turned up the hill, to make a loop for the return.","部队转而向山上爬去，打算绕个圈回来。"
"Below, from among the trees, the farm-bell clanged.","在山下，树林之间响起了农舍的钟声。"
"He saw the labourers, mowing barefoot at the thick grass, leave off their work and go downhill, their scythes hanging over their shoulders, like long, bright claws curving down behind them.","他看到赤着脚在草丛中割草的农民收工往山下走。他们的镰刀搭在肩上，像是长长的、明晃晃的爪子弯在背上。"
"They seemed like dream-people, as if they had no relation to himself.","他们像是梦中人，似乎都与他毫无关系。"
"He felt as in a blackish dream: as if all the other things were there and had form, but he himself was only a consciousness, a gap that could think and perceive.","他感觉自己置身于一场黑暗的梦中：仿佛其他所有的一切都存在，并且都是有形的，而他自己只是一种意识，一个可以思考和感知外界的鸿沟。"
"The soldiers were tramping silently up the glaring hillside.","士兵们迈着沉重的步伐，默默地沿着晃眼的山路往上爬。"
"Gradually his head began to revolve, slowly, rhythmically.","渐渐地，他的脑袋开始转动，慢悠悠地，还带着节奏。"
"Sometimes it was dark before his eyes, as if he saw this world through a smoked glass, frail shadows and unreal.","有时，他觉得眼前一片黑暗，仿佛他是在透过一副被烟熏过的眼镜看世界，一切都蒙在阴影中，毫无真实感。"
"It gave him a pain in his head to walk.","走路都会让他头疼不已。"
"The air was too scented, it gave no breath.","空气中气味浓重，让人无法呼吸。"
"All the lush greenstuff seemed to be issuing its sap, till the air was deathly, sickly with the smell of greenness.","所有繁茂的绿色植物仿佛都渗着汁液，空气中弥漫着令人窒息作呕的绿色气味。"
"There was the perfume of clover, like pure honey and bees.","三叶草散发着香气，像是纯净的蜂蜜和蜜蜂的味道。"
"Then there grew a faint acrid tang—they were near the beeches; and then a queer clattering noise, and a suffocating, hideous smell; they were passing a flock of sheep, a shepherd in a black smock, holding his crook.","接着，有一股微弱的、刺鼻的味道——他们到了山毛榉树丛的附近；随后传来一阵奇特的得得声和一阵令人窒息的、恶心的臭味。原来他们正从一群绵羊身边经过，一个穿着黑色罩衫的牧羊人，拿着他的手杖赶着羊群。"
"Why should the sheep huddle together under this fierce sun?","为什么羊群要在如此强烈的日光下要挤在一起？"
"He felt that the shepherd would not see him, though he could see the shepherd.","他觉得牧羊人看不到他，尽管他可以看到牧羊人。"
"At last there was the halt.","终于，部队停下了。"
"They stacked rifles in a conical stack, put down their kit in a scattered circle around it, and dispersed a little, sitting on a small knoll high on the hillside.","大家把来复枪架成一个圆锥形，又把随身装备围着枪散乱地摆成一圈，然后他们稍微散开，坐在山坡高处的一个小土墩上。"
"The chatter began.","他们开始谈天说地。"
"The soldiers were steaming with heat, but were lively.","士兵们虽然浑身冒着热气，但还是聊得很起劲。"
"He sat still, seeing the blue mountains rising upon the land, twenty kilometres away.","他直挺挺地坐着，盯着20公里开外拔地而起的苍翠山脉。"
"There was a blue fold in the ranges, then out of that, at the foot, the broad, pale bed of the river, stretches of whity-green water between pinkish-grey shoals among the dark pine woods.","绵延起伏的山岭间有一个苍翠的山谷，山脚下是宽阔的、灰蒙蒙的河床。墨绿的松林里，碧绿的河水蜿蜒地穿梭在灰红色的浅滩之间。"
"There it was, spread out a long way off.","就这样，它向远方流去。"
"And it seemed to come downhill, the river.","河水似乎是从山上流下的。"
"There was a raft being steered, a mile away.","一英里之外，有人摇着一只木筏。"
"It was a strange country.","这真是一个奇怪的村子。"
"Nearer, a red-roofed, broad farm with white base and square dots of windows crouched beside the wall of beech foliage on the wood’s edge.","稍近些的地方，坐落着一座宽敞的农舍，红顶白底，还有几个方格的窗户。一旁的树林边是一堵用山毛榉树叶围成的墙。"
"There were long strips of rye and clover and pale green corn.","那里还有几道狭长的黑麦田、三叶草地和苍绿色的玉米地。"
"And just at his feet, below the knoll, was a darkish bog, where globe flowers stood breathless still on their slim stalks.","就在他脚边的土墩下面，有一个黑色的泥沼，金莲花在那里毫无生机地耷拉在它们纤细的茎秆上。"
"And some of the pale gold bubbles were burst, and a broken fragment hung in the air.","其中个别暗淡的金色小球已经绽开，一个破裂的花苞悬在空中。"
"He thought he was going to sleep.","他想他马上就要睡着了。"
"Suddenly something moved into this coloured mirage before his eyes.","突然，什么东西闯入了他眼前色彩斑斓的幻象中。"
"The Captain, a small, light-blue and scarlet figure, was trotting evenly between the strips of corn, along the level brow of the hill.","上尉，一个矮小的、浅蓝与鲜红相间的身影，正平稳地骑着马，在狭长的玉米地之间，沿着平坦的小山顶小跑过来。"
"And the man making flag-signals was coming on.","打旗语的士兵跟在后面。"
"Proud and sure moved the horseman’s figure, the quick, bright thing, in which was concentrated all the light of this morning, which for the rest lay a fragile, shining shadow.","马背上的身影傲慢且坚定地移动着，不仅迅速，还闪闪发光，清晨所有的光线都聚集在了他身上，留给其他人的只有一个微弱而闪耀的影子。"
"Submissive, apathetic, the young soldier sat and stared.","年轻士兵顺从又默然地坐在那里望着。"
"But as the horse slowed to a walk, coming up the last steep path, the great flash flared over the body and soul of the orderly.","但是当那匹马慢下来，爬上最后一那条险峻的小路时，一股炽热的怒火穿过勤务兵的身体和心灵。"
"He sat waiting.","他坐在那里等待着。"
"The back of his head felt as if it were weighted with a heavy piece of fire.","他的脑袋后面仿佛有一大团沉重的火焰。"
"He did not want to eat.","他不想吃东西。"
"His hands trembled slightly as he moved them.","他双手一动就微微颤抖。"
"Meanwhile the officer on horseback was approaching slowly and proudly.","另一边，骑在马背上傲慢的军官正在慢慢靠近。"
"The tension grew in the orderly’s soul.","勤务兵心里越来越紧张。"
"Then again, seeing the Captain ease himself on the saddle, the flash blazed through him.","看到上尉在马鞍上怡然自得的样子，怒火再次掠过他的全身。"
"The Captain looked at the patch of light blue and scarlet, and dark heads, scattered closely on the hillside.","上尉望着山腰上那片浅蓝与鲜红相间的颜色，那些密密麻麻四下散开的黑脑袋。"
"It pleased him.","这让他很高兴。"
"The command pleased him.","发号施令让他很高兴。"
"And he was feeling proud.","他感到骄傲。"
"His orderly was among them in common subjection.","他的勤务兵也在那一群顺从的人之中。"
"The officer rose a little on his stirrups to look.","军官踩着马镫抬起身看了看。"
"The young soldier sat with averted, dumb face.","年轻士兵的脸扭向一边，满脸麻木。"
"The Captain relaxed on his seat.","上尉放松地坐下。"
"His slim-legged, beautiful horse, brown as a beech nut, walked proudly uphill.","他那匹四肢修长、身形优美的坐骑，呈山毛榉坚果的棕色，傲慢地向山上走去。"
"The Captain passed into the zone of the company’s atmosphere: a hot smell of men, of sweat, of leather.","上尉走进了部队气息浓重的区域：闻到一股男人身上的气味、汗水和皮革味。"
"He knew it very well.","他对这些都十分熟悉。"
"After a word with the lieutenant, he went a few paces higher, and sat there, a dominant figure, his sweat-marked horse swishing its tail, while he looked down on his men, on his orderly, a nonentity among the crowd.","跟中尉吩咐几句后，他又往高处前进了几步才坐下，一副君临天下的架势。他那匹沁着汗水的马嗖嗖地甩着尾巴，他则俯视着他的部下们，还有他的勤务兵，人群中一个无足轻重的家伙。"
"The young soldier’s heart was like fire in his chest, and he breathed with difficulty.","年轻士兵的胸中仿佛有一团火，他艰难地呼吸着。"
"The officer, looking downhill, saw three of the young soldiers, two pails of water between them, staggering across a sunny green field.","军官朝山下望去，见有三个年轻士兵抬着两桶水，左摇右摆地穿过阳光照耀着的绿色田地。"
"A table had been set up under a tree, and there the slim lieutenant stood, importantly busy.","一张桌子已经在一棵树下支起，瘦弱的中尉站在那里忙着什么重要的事情。"
"Then the Captain summoned himself to an act of courage.","上尉鼓起了勇气。"
"He called his orderly.","他叫了他的勤务兵。"
"The flame leapt into the young soldier’s throat as he heard the command, and he rose blindly, stifled.","年轻的士兵一听到这声命令，火焰立刻窜进了他的喉咙。他茫然地起身，僵硬地站在那里。"
"He saluted, standing below the officer.","他敬过礼，站在军官下面。"
"He did not look up.","他没有抬头看。"
"But there was the flicker in the Captain’s voice.","但是上尉的声音跳跃不定。"
"“Go to the inn and fetch me...”","“到客店里给我拿……”"
"the officer gave his commands.","军官命令道。"
"“Quick!”","“快！”"
"he added.","他又说道。"
"At the last word, the heart of the servant leapt with a flash, and he felt the strength come over his body.","听到最后一个字时，勤务兵的心里窜起一团火，他觉得身体里涌起了一股力量。"
"But he turned in mechanical obedience, and set off at a heavy run downhill, looking almost like a bear, his trousers bagging over his military boots.","但他还是机械地服从了，转过身，迈着沉重的步子向山下跑去，裤子似布袋版在军靴筒上鼓起，看起来像一只大狗熊。"
"And the officer watched this blind, plunging run all the way.","军官看着他愣头愣脑地一路往下冲。"
"But it was only the outside of the orderly’s body that was obeying so humbly and mechanically.","但这样谦卑、机械地顺从只是勤务兵的表面而已。"
"Inside had gradually accumulated a core into which all the energy of that young life was compact and concentrated.","在他的身体里面逐渐聚集了一股力量，那个年轻生命中所有的能量都浓缩汇聚在了一起。"
"He executed his commission, and plodded quickly back uphill.","他执行完自己的任务，又迈着沉重的步伐迅速回到山上。"
"There was a pain in his head, as he walked, that made him twist his features unknowingly.","他走在路上，感到一阵头痛，这让他的脸不自觉地拧在了一起。"
"But hard there in the centre of his chest was himself, himself, firm, and not to be plucked to pieces.","但是在他的胸膛中有一处坚不可摧的地方，那就是他自己，他自己坚强，绝不能被撕扯成碎片。"
"The Captain had gone up into the wood.","上尉已经到树林里去了。"
"The orderly plodded through the hot, powerfully smelling zone of the company’s atmosphere.","勤务兵缓慢地从热烘烘的充满强烈气味的士兵休息区走过。"
"He had a curious mass of energy inside him now.","现在他的身体里有一股奇特的能量。"
"The Captain was less real than himself.","上尉反而没有他自己那么真实了。"
"He approached the green entrance to the wood.","他来到树林的绿色入口。"
"There, in the half-shade, he saw the horse standing, the sunshine and the flickering shadow of leaves dancing over his brown body.","透过斑驳的树阴，他看见上尉的马站在那里，阳光和树叶斑驳的影子在那棕色的躯体上舞动着。"
"There was a clearing where timber had lately been felled.","新砍伐过的地方有块空地。"
"Here, in the gold-green shade beside the brilliant cup of sunshine, stood two figures, blue and pink, the bits of pink showing out plainly.","这里，照射过来的灿烂阳光呈现出杯子的形状。旁边金色和绿色交织的阴影下，站着两个人，都穿着蓝色与粉色相间的军服，那粉色尤其清晰可见。"
"The Captain was talking to his lieutenant.","上尉正在和他的中尉讲话。"
"The orderly stood on the edge of the bright clearing, where great trunks of trees, stripped and glistening, lay stretched like naked, brown-skinned bodies.","勤务兵站在明亮的空地边缘，几个粗大的树干躺在地上，树皮已被剥掉，闪闪发亮，好像一些赤裸的、深棕色的尸体。"
"Chips of wood littered the trampled floor, like splashed light, and the bases of the felled trees stood here and there, with their raw, level tops.","被人踩踏过的地上撒满了木屑，就像斑驳的阳光。到处都是树木砍伐后留下的树墩，露出崭新、齐整的伐痕。"
"Beyond was the brilliant, sunlit green of a beech.","旁边则是一棵在阳光下闪着光辉的绿色山毛榉。"
"“Then I will ride forward,” the orderly heard his Captain say.","“那我就往前骑了。”勤务兵听见上尉说。"
"The lieutenant saluted and strode away.","中尉敬了个礼，迈着大步走开了。"
"He himself went forward.","勤务兵向前走去。"
"A hot flash passed through his belly, as he tramped towards his officer.","他踏着步走向他的军官时，一股热腾的火焰贯穿了他的腹部。"
"The Captain watched the rather heavy figure of the young soldier stumble forward, and his veins, too, ran hot.","上尉瞧着年轻士兵拖着沉重的身躯一摇一摆地向自己走来，自己的血管也灼烧起来。"
"This was to be man to man between them.","接下来他们俩之间将是男人与男人的事了。"
"He yielded before the solid, stumbling figure with bent head.","他向面前这个结实的、耷拉着脑袋、跌跌撞撞的人屈服了。"
"The orderly stooped and put the food on a level-sawn tree-base.","勤务兵弯下腰，把食物摆在一个砍伐平整的树墩上。"
"The Captain watched the glistening, sun-inflamed, naked hands.","上尉盯着这双闪着光、被太阳晒伤的赤裸的手。"
"He wanted to speak to the young soldier, but could not.","他想跟年轻士兵说话，但开不了口。"
