"书名插曲（毛姆短篇小说）短简介《插曲》讲述了一个残酷的爱情故事。弗雷德和格雷丝年貌相当，门户却不相对。他们克服了重重阻力之后，他们的爱情得到了原本阻挠的父母的祝福。然后，费雷德由于偷窃锒铛入狱，家庭的阻挠和牢狱之灾他们都勇敢地渡过了，最后时刻，即将出狱的弗雷德却突然觉得自己不爱格雷丝了，并且拒绝见她，原本始终等候他的格雷丝，走投无路只好选择了自杀。长简介《插曲》讲述了一个残酷的爱情故事。弗雷德和格雷丝年貌相当，门户却不相对。他们克服了重重阻力，终于获得了家人的祝福。然而结婚之前弗雷德却因为盗窃而入狱了，格雷丝固执地等待着他，不惜与父母断绝关系。出人意料的是，弗雷德在出狱之前突然觉得自己不爱格雷丝了，对她只剩下了厌恶。走投无路的格雷丝只好选择了自杀。毛姆的笔法细腻深刻，对人物语言和心理的刻画是这部小说的亮点。小说的最后更是出人意料，揭露了人性的丑陋和反复无常。关键字插曲；威廉·萨默赛特·毛姆；外研社编译组；短篇；讽刺；残酷；爱情作者（英）威廉·萨默赛特·毛姆作者简介威廉·萨默赛特·毛姆（1874—1965），英国小说家、戏剧家。原来学医，后转而致力写作。他的作品常以冷静、客观乃至挑剔的态度审视人生，基调超然，带讽刺和怜悯意味，在国内外拥有大量读者。著名作品有戏剧《圈子》，长篇小说《人生的枷锁》、《月亮和六便士》，短篇小说集《叶的震颤》、《卡苏里那树》等。"
"书评毛姆是20世纪用英语写作的最为流行的作家之一。"
"Episode","插曲"
"They had made a date for the following Friday night and he was in a fever of anxiety lest she shouldn’t come.","他们约好下个星期五晚上见面，而他一直处于极度的焦虑之中，担心她不会来赴约。"
"He repeated to himself over and over again what she’d said: perhaps it meant that she’d made up her mind to drop him.","他一遍又一遍地重温着她说过的话：也许那意味着她已下定决心要甩掉他。"
"When at last he saw her walking along the street he almost sobbed with relief.","当他终于看见她沿街走来的时候，几乎欣慰得掉下了眼泪。"
"That evening he neither put his arm round her nor took her hand and when he walked her home he never said a word.","那天晚上，他既没有搂住她的腰，也没有牵她的手。送姑娘回家的路上，他一声不吭。"
"‘You’re very quiet tonight, Fred,’ she said at last.","“你今天晚上很安静，弗雷德，”她终于开口了，"
"‘What’s the matter with you?’","“你怎么了？”"
"He walked a few steps before he answered.","他又向前走了几步，然后才回答说："
"‘I don’t like to tell you.’","“我不想告诉你。”"
"She stopped suddenly and looked up at him.","她一下子站住了，抬头看着他。"
"There was terror on her face.","她的脸上有惊惧的神色。"
"‘Tell me whatever it is,’ she said unsteadily.","“不管是什么事，告诉我吧。”她颤抖着说。"
"‘I’m gone, I can’t help myself, I’m so stuck on you I can’t see straight.","“我完了，我控制不了自己，我对你如此着迷，简直干不了别的事。"
"I didn’t know what it was to love like I love you.’","我从来不知道，爱情原来是这种感觉。”"
"‘Oh, is that all?","“哦，就是这件事？"
"You gave me such a fright.","你把我吓坏了。"
"I thought you were going to say you were going to be married.’","我还以为你要说，你快要结婚了。”"
"‘Me?","“我？"
"Who d’you take me for?","你把我当成什么人了？"
"It’s you I want to marry.’","我想娶的人是你。”"
"‘Well, what’s to prevent you, silly?’","“谁能阻止你呢？傻瓜。”"
"‘Gracie!","“格雷丝！"
"D’you mean it?’","你是认真的吗？”"
"He flung his arms round her and kissed her full on the mouth.","他伸出双臂搂住她，把整个嘴盖在了她的唇上。"
"She didn’t resist.","而她也没有拒绝。"
"She returned his kiss and he felt in her a passion as eager as his own.","她回吻了他。弗雷德觉得，她跟他一样，心中也充满了激情。"
"They arranged that Gracie should tell her parents that she was engaged to him and that on the Sunday he should come and be introduced to them.","他们商量好，由格雷丝告诉父母他们订婚的事。等到星期天，弗雷德要亲自上门跟她的父母见面。"
"Since the shop stayed open late on Saturday and by the time Mr Carter got home he was tired out, it was not till after dinner on Sunday that Gracie broke her news.","由于星期六商店关得晚，卡特先生到家的时候已经筋疲力尽了，因此直到第二天午饭之后，格雷丝才宣布了自己的消息。"
"George Carter was a brisk, not very tall man, but sturdy, with a high colour, who with increasing prosperity had put on weight.","乔治·卡特先生精神饱满，个子不高，但是身体健壮，面色红润。由于生意日渐兴隆，他的体重也有所增加。"
"He was more than rather bald and he had a bristle of grey moustache.","他几乎已经全秃了，留着灰色的胡子。"
"Like many another employer who had risen from the working class he was a slave-driver and he got as much work out of his assistants for as little money as was possible.","像其他从工人阶级爬上来的老板一样，他也是个严厉的监工，用最少的钱压榨员工最大的劳动量。"
"He had an eye for every thing and he wouldn’t put up with any nonsense, but he was reasonable and even kindly, so that they did not dislike him.","他有极强的洞察力，不能容忍半点儿荒唐事；但是他通情达理，甚至可以说很和蔼，因此并不招员工们讨厌。"
"Mrs Carter was a quiet, nice woman, with a pleasant face and the remains of good looks.","卡特夫人是位安静可亲的女士，长着一张讨人喜欢的脸，风韵犹存。"
"They were both in the early fifties, for they had married late after ‘walking out’ for nearly ten years.","夫妇俩都是五十出头，因为当年他们一起“散步”了近十年才结婚的。"
"They were very much surprised when Gracie told them what she had to tell, but not displeased.","当格雷丝把事情告诉父母的时候，他们有些吃惊，但并没有不高兴。"
"‘You’re a sly one,’ said her father.","“你这小滑头，”父亲说，"
"‘Why, I never suspected for a minute you’d taken up with anyone.","“我还真从没怀疑过你在与人交往。"
"Well, I suppose it had to come sooner or later.","好吧，该来的迟早会来。"
"What’s his name?’","他叫什么名字？”"
"‘Fred Manson.’","“弗雷德·曼森。”"
"‘A fellow you met at college?’","“是大学里认识的吗？”"
"‘No. You must have seen him about.","“不是，你们一定也见过他。"
"He clears our pillar-box.","他是收邮件的。"
"He’s a postman.’","是个邮递员。”"
"‘Oh, Gracie,’ cried Mrs Carter, ‘you can’t mean it.","“哦，格雷丝，”卡特夫人喊道，“你不是认真的吧？"
"You can’t marry a common postman, not after all the education we’ve given you.’","你不能跟一个普通的邮递员结婚，我们已经供你读了这么多年的书。”"
"For an instant Mr Carter was speechless.","卡特先生一时连话也说不出来。"
"He got redder in the face than ever.","他的脸比以前更红了。"
"‘Your ma’s right, my girl,’ he burst out now.","“你妈妈说的对，孩子，”他终于憋不住了，"
"‘You can’t throw yourself away like that.","“你不能就这么把自己毁了。"
"Why, it’s ridiculous.’","这太荒唐了。”"
"‘I’m not throwing myself away.","“我并没有毁掉自己。"
"You wait till you see him.’","等你们见了他就知道了。”"
"Mrs Carter began to cry.","卡特夫人开始哭起来。"
"‘It’s such a come-down.","“太有失身份了。"
"It’s such a humiliation.","太丢人了。"
"I shall never be able to hold up my head again.’","我再也抬不起头来了。”"
"‘Oh, Ma, don’t talk like that.","“妈妈，别这么说。"
"He’s a nice fellow and he’s got a good job.’","他是个好小伙子，也有一份好工作。”"
"‘You don’t understand,’ she moaned.","“你不明白呀。”她呻吟道。"
"‘How d’you get to know him?’","“你是怎么认识他的？”"
"Mr Carter interrupted.","卡特先生插嘴问道，"
"‘What sort of family’s he got?’","“他家里是干什么的？”"
"‘His pa drives one of the post-office vans,’ Gracie answered defiantly.","“他爸爸是开邮车的。”格雷丝以一种反叛的语气回答道。"
"‘Working-class people.’","“工人阶级。”"
"‘Well, what of it?","“没错，那又怎么样呢？"
"His pa’s worked twenty-four years for the post-office and they think a lot of him.’","他爸爸为邮局工作了24年，人们很看得起他。”"
"Mrs Carter was biting the corner of her handkerchief.","卡特夫人咬着手帕的一角。"
"‘Gracie, I want to tell you something.","“格雷丝，我想告诉你一件事。"
"Before your pa and me got married I was in domestic service.","在跟你爸爸结婚之前，我一直在当佣人。"
"He wouldn’t ever let me tell you because he didn’t want you to be ashamed of me.","他甚至都不让我告诉你，因为他不想让你为我感到羞耻。"
"That’s why we was engaged all those years.","正因为如此，我们才那么多年都没有结婚。"
"The lady I was with said she’d leave me something in her will if I stayed with her till she passed away.’","我服侍的那位夫人答应留给我一笔遗产，前提是我服侍她到去世为止。”"
"‘It was that money that gave me my start,’ Mr Carter broke in.","“就是靠了这笔钱我才起家的，”卡特先生插嘴道，"
"‘Except for that I’d never have been where I am today.","“没有那笔钱，我就不可能会有今天。"
"And I don’t mind telling you you’re ma’s the best wife a man ever had.’","不妨告诉你，你妈妈是一个男人所能娶到的最好的妻子。”"
"‘I never had a proper education,’ Mrs Carter went on, ‘but I always was ambitious.","“我从没受过良好的教育，”卡特夫人接着说，“但我很有抱负。"
"The proudest moment of my life was when your pa said we could afford a girl to help me and he said then: “The time’ll come when you have a cook and a house-maid,” and he’s been as good as his word, and now you’re going back to what I come from.","我生平最骄傲的时刻就是你爸爸对我说，他能雇得起一个女佣来帮我做家务：‘你拥有一个厨子和一个女佣的时候就要到了。’他说到做到，而现在你又要走我的老路。"
"I’d set my heart on your marrying a gentleman.’","我还一心指望着你能嫁个绅士呢。”"
"She began crying again.","她又哭了起来。"
"Gracie loved her parents and couldn’t bear to see them so distressed.","格雷丝很爱自己的父母，她不忍心看他们如此痛苦。"
"‘I’m sorry, Ma, I knew it would be a disappointment to you, but I can’t help it, I can’t really.","“对不起，妈妈，我知道这会令您失望，但是我也没办法，实在没办法。"
"I love him so.","我爱他。"
"I love him so terribly.","我太爱他了。"
"I’m sure you’ll like him when you see him.","我敢肯定，等你们看见他，一定会喜欢他的。"
"We’re going for a walk on the Common this afternoon.","我们今天下午要去公园里散步。"
"Can’t I bring him back to supper?’","我能带他回来吃晚饭吗？”"
"Mrs Carter gave her husband a harassed look.","卡特夫人心烦意乱地看了丈夫一眼。"
"He sighed.","他叹了一口气。"
"‘I don’t like it and it’s no good pretending I do, but I suppose we’d better have a look at him.’","“我不喜欢这个提议，假装喜欢也没用，但我想我们最好还是见见他。”"
"Supper passed off better than might have been expected.","晚饭比预料中进行得顺利一些。"
"Fred wasn’t shy, and he talked to Gracie’s parents as though he had known them all his life.","弗雷德并不腼腆，他跟格雷丝父母谈话的样子就像是老相识。"
"If to be waited on by a maid, if to sup in a dining-room furnished in solid mahogany and afterwards to sit in a drawing-room that had a grand piano in it was new to him, he showed no embarrassment.","不论是被女佣伺候着吃饭，还是在摆设着红木家具的餐厅里吃晚餐，抑或是到放着他从没见过的一架大钢琴的会客厅里休息，他都没有表现出窘态。"
"After he had gone and they were alone in their bedroom Mr and Mrs Carter talked him over.","他离开后，卡特夫人和先生单独在卧室里谈起了他。"
"‘He is handsome, you can’t deny that,’ she said.","“他长得很英俊，这一点不可否认。”她说。"
"‘Handsome is as handsome does.","“行为美才是真正的美。"
"D’you think he’s after her money?’","你觉得他会不会是贪恋她的钱？”"
"‘Well, he must know that you’ve got a tidy little bit tucked away somewhere, but he’s in love with her all right.’","“嗯，他准知道你在什么地方藏着点儿钱，但他确实爱她。”"
"‘Oh, what makes you think that?’","“哦，你怎么看出来的？”"
"‘Why, you’ve only got to see the way he looks at her.’","“你只要看看他瞧她的那副神情就知道了。”"
"‘Well, that’s something at all events.’","“不管怎么说，这一点确实至关重要。”"
"In the end the Carters withdrew their opposition on the condition that the young things shouldn’t marry until Gracie had taken her degree.","最后，卡特夫妇对这门婚事不再反对，但有个条件，那就是要等格雷丝毕业以后才能结婚。"
"That would give them a year, and at the back of their minds was the hope that by then she would have changed her mind.","还有一年的时间，夫妇俩私下里希望到时候女儿会改变主意。"
"They saw a good deal of Fred after that.","那之后他们常常能够见到弗雷德。"
"He spent every Sunday with them.","每个星期天他都到家里来。"
"Little by little they began quite to like him.","渐渐地，他们开始喜欢上他了。"
"He was so easy, so gay, so full of high spirits, and above all so obviously head over ears in love with Gracie, that Mrs Carter soon succumbed to his charm, and after a while even Mr Carter was prepared to admit that he didn’t seem a bad fellow.","他很随和，很开朗，整天兴高采烈的，最重要的是，很明显他深爱着格雷丝。因此卡特夫人不久就折服于他的魅力，卡特先生也不得不承认他看起来人不错。"
"Fred and Gracie were happy.","弗雷德和格雷丝都很快乐。"
"She went to London every day to attend lectures and worked hard.","她每天都去伦敦大学上课，努力学习。"
"They spent blissful evenings together.","晚上，他俩幸福地在一起度过。"
"He gave her a very nice engagement ring and often took her out to dinner in the West End and to a play.","他给了她一枚非常精致的订婚戒指，还经常带着她去伦敦西区吃饭和看戏。"
"On fine Sundays he drove her out into the country in a car that he said a friend had lent him.","天气不错的星期天，他还会开着据他说从朋友那里借来的车带她到乡下去。"
"When she asked him if he could afford all the money he spent on her he laughed, and said a chap had given him a tip on an outsider and he’d made a packet.","当她问他能否负担得起花在她身上的所有钱时，他哈哈大笑着解释说，有人将赌马的内幕消息告诉了他，他捞了一大笔钱。"
"They talked interminably of the little flat they would have when they were married and the fun it would be to furnish it.","他们不厌其烦地谈论着将来结婚时会住的一套小公寓以及布置新房所能带来的乐趣。"
"They were more in love with one another than ever.","他们比以前更加相爱了。"
"Then the blow fell.","不久，祸从天降。"
"Fred was arrested for stealing money from the letters he collected.","弗雷德因为偷信封里的钱而被捕了。"
"Many people, to save themselves the trouble of buying postal orders, put notes in their envelopes, and it wasn’t difficult to tell that they were there.","许多人为了省事，不买汇票而是把钱直接放进信封里，而要发现信封里有钱并不困难。"
"Fred went up for trial, pleaded guilty, and was sentenced to two years’ hard labour.","弗雷德接受了审判，承认自己有罪，被判处了两年的苦役。"
"Gracie went to the trial.","格雷丝去法院旁听了审判。"
"Up to the last moment she had hoped that he would be able to prove his innocence.","直到最后一刻，她还希望他能证明自己的清白。"
"It was a dreadful shock to her when he pleaded guilty.","当他承认有罪的时候，对她来说简直是晴天霹雳。"
"She was not allowed to see him.","法庭不允许她见他。"
"He went straight from the dock to the prison van.","他直接从被告席进了囚车。"
"She went home and, locking herself up in her bedroom, threw herself on the bed and wept.","她回家后将自己反锁在卧室里，扑倒在床上痛哭流涕。"
"When Mr Carter came back from the shop Gracie’s mother went up to her room.","卡特先生从商店回家后，卡特夫人上楼来叫她。"
"‘Gracie, you’re to come downstairs,’ she said.","“格雷丝，到楼下来，”她说，"
"‘Your father wants to speak to you.’","“你爸爸有话对你说。”"
"Gracie got up and went down.","格雷丝从床上起来，下了楼。"
"She did not trouble to dry her eyes.","她满脸泪痕，也懒得去擦。"
"‘Seen the paper?’ he said, holding out to her the Evening News.","“看到报纸了吗？”他说着，把《新闻晚报》递给她。"
"She didn’t answer.","她没有回答。"
"‘Well, that’s the end of that young man,’ he went on harshly.","“这就是那个年轻人的下场。”他继续严厉地说。"
"They too, Grade’s parents, had been shocked when Fred was arrested, but she was so distressed, she was so convinced that everything could be explained, that they hadn’t had the heart to tell her that she must have nothing more to do with him.","弗雷德被捕的时候，格雷丝的父母也很震惊。但是看到女儿这么痛苦，看到她完全确信事情可以解释清楚，做父母的也就不忍心开口让他们一刀两断了。"
"But now they felt it time to have things out with her.","但现在他们觉得是时候跟她摊牌了。"
"‘So that’s where the money came from for those dinners and theatres.","“原来下馆子和看戏的钱就是这么来的。"
"And the car.","还有车。"
"I thought it funny he should have a friend who’d lend him a car on Sundays when he’d be wanting it himself.","我一直觉得奇怪，怎么会有朋友愿意在星期天把车借给他，他自己应该要用才对。"
"He hired it, didn’t he?’","是他租的吧，对不对？”"
"‘I suppose so,’ she answered miserably.","“我想是的，”她凄惨地回答道，"
"‘I just believed what he told me.’","“他说什么我都信。”"
"‘You’ve had a lucky escape, my girl, that’s all I can say.’","“你算是侥幸脱身了，孩子，我能说的就是这些。”"
"‘He only did it because he wanted to give me a good time.","“他这么做只是为了使我感到高兴。"
"He didn’t want me to think I couldn’t have everything as nice when I was with him as what I’ve been used to at home.’","他想让我觉得，跟他在一起的时候，我能跟在家里一样享受一切美好的东西。”"
"‘You’re not going to make excuses for him, I hope.","“我希望你别再为他找借口了。"
"He’s a thief, that’s what he is.’","他是个贼，他就是这种人。”"
"‘I don’t care,’ she said sullenly.","“我不在乎。”她沉着脸说。"
"‘You don’t care?","“你不在乎？"
"What d’you mean by that?’","这是什么意思？”"
"‘Exactly what I say.","“就是我说的意思。"
"I’m going to wait for him and the moment he comes out I’m going to marry him.’","我会一直等着他，他一出狱我们就结婚。”"
"Mrs Carter gave a gasp of horror.","卡特夫人吓得倒吸了一口凉气。"
"‘Gracie, you can’t do a thing like that,’ she cried.","“格雷丝，你不能这么做。”她哭起来，"
"‘Think of the disgrace.","“你想想看，这是多么丢人的事呀。"
"And what about us?","我们该怎么办啊？"
"We’ve always held our heads high.","我们一向光明正大。"
"He’s a thief, and once a thief always a thief.’","但他是个贼，一回做贼，永远是贼。”"
"‘Don’t go on calling him a thief,’ Gracie shrieked, stamping her foot with rage.","“别再这么叫他了，”格雷丝尖声叫着，气得直跺脚，"
"‘What he did he did just because he loved me.","“他所做的一切只是因为他爱我。"
"I don’t care if he is a thief.","我不在乎他是不是贼。"
"I love him more than I ever loved him.","现在我比以前更爱他了。"
"You don’t know what love is.","你们根本不知道什么是爱。"
"You waited ten years to marry Pa just so as an old woman should leave you some money.","你等了十年才嫁给爸爸，只是因为一个老太太要留给你一笔钱。"
"D’you call that love?’","你管这叫爱？”"
"‘You leave your ma out of this,’ Mr Carter shouted.","“不许把你妈妈扯进来。”卡特先生喊道。"
"Then an idea occurred to him and he gave a piercing glance.","接着一个念头从他脑中闪过，他狠狠瞪了女儿一眼。"
"‘Have you got to marry the feller?’","“你是不是已经不得不嫁给他了？”"
"Gracie blushed furiously.","格雷丝的脸顿时涨得通红。"
"‘No. There’s never been anything of that sort.","“不，绝没有这种事。"
"And not through any fault of mine either.","我也不会干出这种事。"
"He loved me too much.","他太爱我了。"
"He didn’t want to do anything perhaps he’d regret afterwards.’","他不愿意做任何日后可能会后悔的事。”"
"Often on summer evenings in the country when they’d been lying in a field in one another’s arms, mouth to mouth, her desire had been as intense as his.","夏日的夜晚，他们常常在乡下的田野里躺着，彼此拥抱着、亲吻着，她的欲望跟他的一样强烈。"
"She knew how much he wanted her and she was ready to give him what he asked.","她知道他有多想要她，而她也愿意满足他的要求。"
"But when things got too desperate he’d suddenly jump up and say: ‘Come on, let’s walk.’","然而，当双方即将变得不顾一切时，他会突然跳起来说：“来吧，让我们走一走。”"
"He’d drag her to her feet.","他把她拉起来。"
"She knew what was in his mind.","她知道他在想什么。"
"He wanted to wait till they were married.","他想等到结婚。"
"His love had given him a delicacy of sentiment that he’d never known before.","爱情使他变得很体贴，这是以前从未有过的。"
"He couldn’t make it out himself, but he had a funny sort of feeling about her, he felt that if he had her before marriage it would spoil things.","他自己并不清楚这种感觉，只是对她有一种奇怪的想法，他觉得如果他们在婚前就发生了关系，那么事情就会变得糟糕。"
"Because she guessed what was in his heart she loved him all the more.","她猜出了他的想法，因此也就更爱他了。"
"‘I don’t know what’s come over you,’ moaned Mrs Carter.","“真不知道你是怎么了，”卡特夫人哀叹道，"
"‘You was always such a good girl.","“你一直是个好姑娘。"
"You’ve never given us a day’s uneasiness.’","从没让我们操过心。”"
"‘Stop it, Ma,’ said Mr Carter violently.","“别说了，孩子她妈，”卡特先生怒气冲冲地说，"
"‘We’ve got to get this straight once and for all.","“我们得一次把话说清楚。"
"You’ve got to give up this man, see?","你必须放弃这个男人，明白吗？"
"I’ve got me own position to think of and if you think I’m going to have a gaol-bird for a son-in-law you’d better think again.","我要考虑自己的身份，如果你认为我会让一个囚犯做女婿，那你就大错特错了。"
"I’ve had enough of this nonsense.","我已经受够了这些荒唐事。"
"You’ve got to promise me that you’ll have nothing more to do with the feller ever.’","你必须保证永远跟他断绝关系。”"
"‘D’you think I’m going to give him up now?","“你认为我现在就会抛弃他？"
"How often d’you want me to tell you I’m going to marry him the moment he gets out?’","你想让我说几遍？他一出狱我就嫁给他。”"
"‘All right, then you can get out of my house and get out pretty damn quick.","“好极了，那你就从我的房子里滚出去，越快越好。"
"And stay out.’","再也别回来。”"
"‘Pa!’ cried Mrs Carter.","“孩子她爸！”卡特夫人喊道。"
"‘Shut up.’","“闭嘴。”"
"‘I’ll be glad to go,’ said Gracie.","“我很乐意离开这儿。”格雷丝说。"
"‘Oh, will you?","“哦，是吗？"
"And how d’you think you’re going to live?’","你觉得你能靠什么活下去呢？”"
"‘I can work, can’t I?","“我能工作，不是吗？"
"I can get a job at Payne and Perkins.","我能在佩恩-珀金斯商店谋份差事。"
"They’ll be glad to have me.’","他们一定会很乐意雇用我的。”"
"‘Oh, Gracie, you couldn’t go and work in a shop, you can’t demean yourself like that,’ said Mrs Carter.","“哦，格雷丝，你不能到商店里工作呀，你不能这么贬低自己的身份。”卡特夫人说。"
"‘Will you shut up, Ma,’ shouted Mr Carter, beside himself now with rage.","“孩子她妈，你能闭嘴吗？”卡特先生吼道，气得火冒三丈，"
"‘Work, will you?","“工作？就凭你？"
"You that’s never done a stroke of work in your life except that tomfoolery at the college.","除了在学校里的那些蠢事，你这辈子就没干过什么活。"
"Bright idea it was of your ma’s to give you an education.","你妈出的好主意，让你去念什么书。"
"Fat lot of good it’ll be to you when you’ve got to stand on your feet for hours and got to be civil and pleasant to a lot of old trouts who just try and give you all the trouble they can just to show how superior they are.","这对你有好处，到店里去吧，一站就是几个小时，那些老混账存心找茬刁难你，只是为了显示自己的高贵身份，而你还得赔着笑脸，彬彬有礼。"
"I bet you’ll like it when you’re bawled out by the manageress because you’re not bright and snappy.","我敢打赌，女经理肯定会臭骂你一顿，因为你既不聪明，也不勤快。"
"All right, marry your gaol-bird.","好吧，去跟你的囚犯结婚吧。"
"I suppose you know you’ll have to keep him too.","我想你自己也清楚，你得赚钱养活他。"
"You don’t think anyone’s going to give him a job, do you, not with his record.","你该不会认为，像他这种坐过牢的人，还有人愿意雇用吧。"
"Get out, get out, get out.’","滚吧，滚，滚。”"
"He had worked himself up to such a pitch of fury that he sank panting into a chair.","他怒不可遏，一屁股坐在椅子上，直喘粗气。"
"Mrs Carter, frightened, poured out a glass of water and gave him some to drink.","卡特夫人吓坏了，赶紧倒了一杯水给他喝。"
"Gracie slipped out of the room.","格雷丝趁机溜出了房间。"
"Next day, when her father had gone to work and her mother was out shopping, she left the house with such effects as she could get into a suit-case.","第二天，等她父亲出门工作了，母亲也上街买东西去了，格雷丝便把能带的东西都装进一个手提箱，然后离开了家。"
"Payne and Perkins was a large department store in the Brixton Road, and with her good appearance and pleasant manner she found no difficulty in getting taken on.","佩恩-珀金斯是位于布里克斯顿路上的一家大型百货商店，格雷丝由于面容姣好、举止优雅，很容易就被录用了。"
"She was put in the ladies’ lingerie.","她被安排在出售女子内衣的柜台上。"
"For a few days she stayed at the Y. W.C.A. and then arranged to share a room with one of the girls who worked with her.","她先在基督教女青年会呆了几天，接着跟同柜台的一位姑娘合租了一个房间。"
"Ned Preston saw Fred in the evening of the day he went to gaol.","弗雷德入狱的那天晚上，内德·普雷斯顿去见了他。"
"He found him shattered, but only because of Gracie.","他发现弗雷德完全垮了，但只是因为格雷丝。"
"He took his thieving very lightly.","至于行窃一事，他倒不怎么在乎。"
"‘I had to do the right thing by her, didn’t I?","“我得为她尽心尽力，不是吗？"
"Her people, they didn’t think I was good enough for her; I wanted to show them I was just as good as they were.","她的家人认为我配不上她，我只是想证明我跟他们一样好。"
"When we went up to the West End I couldn’t give her a sandwich and half of bitter in a pub, why, she’s never been in a pub in her life, I had to take her to a restaurant.","我们去西区时，我不能带她去小酒馆吃三明治，喝半杯苦啤酒。为什么，因为她平生从没进过小酒馆，我只能带她去大餐厅。"
"If people are such fools as to put money in letters, well, they’re just asking for it.’","要是有人愚蠢到把钱放在信封里，哼，那就是他自找的。”"
"But he was frightened.","但是他很害怕。"
"He wasn’t sure that Gracie would see it like that.","他不确定格雷丝会不会也这么看待这件事。"
"‘I’ve got to know what she’s going to do.","“我得知道她打算怎么办。"
"If she chucks me now—well, it’s the end of everything for me, see?","假如她现在甩掉我——对我来说一切就完了，明白吗？"
"I’ll find some way of doing meself in, I swear to God I will.’","我会想方设法自杀的，我向上帝发誓，我会这么干的。”"
"He told Ned the whole story of his love for Gracie.","他将自己跟格雷丝的恋爱经过全部告诉了内德。"
"‘I could have had her over and over again if I’d wanted to.","“如果我愿意，我可以不止一次地占有她。"
"And I did want to and so did she.","我确实想这么做，而她也愿意。"
"I knew that.","我知道。"
"But I respected her, see?","但是我尊重她，明白吗？"
"She’s not like other girls.","她跟别的姑娘不一样。"
"She’s one in a thousand, I tell you.’","告诉你吧，她是百里挑一的好姑娘。”"
"He talked and talked.","他不停地讲着，说着。"
"He stormed, he wept.","时而咆哮，时而哭泣。"
"From that confused torrent of words emerged one thing very clearly.","他那语无伦次的话语可以清楚地表明一件事。"
"A passionate, a frenzied love.","那就是一种激情，一种炽热的爱情。"
"Ned promised that he would see the girl.","内德答应会去见见那位姑娘。"
"‘Tell her I love her, tell her that what I did I just did because I wanted her to have the best of everything, and tell her I just can’t live without her.’","“告诉她我爱她，告诉她我所做的一切都是为了让她享受最美好的东西，告诉她没有她我不能活。”"
"As soon as he could find time Ned Preston went to the Carters’ house, but when he asked for Gracie the maid who opened the door told him that she didn’t live there any more.","一有空闲时间，内德就去了卡特家。当他询问格雷丝小姐是否在家时，开门的女仆告诉他小姐已经不住在那里了。"
"Then he asked to see her mother.","于是他请求见见卡特夫人。"
"‘I’ll go and see if she’s in.’","“我去看看她在不在。”"
"He gave the maid his card, thinking the name of his club engraved in the corner would impress Mrs Carter enough to make her willing to see him.","他把名片递给女仆，心想只要卡特夫人看见名片角落里他所在俱乐部的名称，就会愿意出来见他一面。"
"The maid left him at the door, but in a minute or two asked him to come in.","女仆让他在门外等着，但一两分钟后她又来请他进去。"
"He was shown into the stiff and little-used sitting-room.","他被领进一间装饰呆板、很少使用的会客厅。"
"Mrs Carter kept him waiting for some time and when she came in, holding his card in the tips of her fingers, he guessed it was because she had thought fit to change her dress.","等了一会儿，卡特夫人走进客厅，用手指尖捏着他的名片。他猜想夫人刚才一定是换了一身衣服，她可能觉得这样才得体。"
"The black silk she wore was evidently a dress for occasions.","她身上的那件黑色丝绸衣服显然是重要场合才会穿的。"
"He told her his connexion with Wormwood Scrubs and said that he had to do with a man named Frederick Manson.","他向卡特夫人讲明了自己与沃姆伍德·斯克拉比斯监狱的关系，并说他认识一位名叫弗雷德·曼森的人。"
"The moment he mentioned the name Mrs Carter assumed a hostile attitude.","一听到这个名字，卡特夫人马上面露愠色。"
"‘Don’t speak to me of that man,’ she cried.","“别跟我提这个人，”她喊道，"
"‘A thief, that’s what he is.","“一个贼，他是个盗贼。"
"The trouble he’s caused us.","他给我们带来了不少麻烦。"
"They ought to have given him five years, they ought.’","他们本应该给他判五年，应该判五年。”"
"‘I’m sorry he’s caused you trouble,’ said Ned mildly.","“很遗憾他给你们带来了这么多麻烦，”内德温和地说，"
"‘Perhaps if you’d give me a few facts I might help to straighten things out.’","“如果您能把事情再讲讲，我或许能帮您理清头绪。”"
"Ned Preston certainly had a way with him.","内德·普雷斯顿自然是个有办法的人。"
"Perhaps Mrs Carter was impressed because he was a gentleman.","他是一位绅士，这或许给卡特夫人留下了很好的印象。"
"‘Class he is,’ she probably said to herself.","“到底是上等人。”她或许这么告诉过自己。"
"Anyhow it was not long before she was telling him the whole story.","总之，没过多久，她就开始讲述起整个故事。"
"She grew upset as she told it and began to cry.","她越说越伤心，最后哭了起来。"
"‘And now she’s gone and left us.","“现在她走了，离开了我们。"
"Run away.","离家出走了。"
"I don’t know how she could bring herself to do a thing like that.","真不知道她怎么会做出这种事来。"
"God knows, we love her.","上帝作证，我们有多爱她。"
"She’s all we’ve got and we done everything in the world for her.","她是我们的一切，我们所做的所有事情都是为了她。"
"Her pa never meant it when he told her to get out of the house.","她爸爸叫她走，那只是气头上的话。"
"Only she was so obstinate.","但是她太固执了。"
"He got in a temper, he always was a quick-tempered man, he was just as upset as I was when we found she’d gone.","当时他气坏了，他的脾气一直不大好。当我们发现女儿出走的时候，他跟我一样难过。"
"And d’you know what she’s been and gone and done?","你想知道她现在怎么样了，在做什么吗？"
"Got herself a job at Payne and Perkins.","她在佩恩-珀金斯商店找了一份工作。"
"Mr Carter can’t abide them.","卡特先生受不了他们。"
"Cutting prices all the time they are.","因为他们总是在减价。"
