书名拉里尔舞曲的小提琴手（哈代短篇小说）短简介小提琴曲，或者说拉曲子的小提琴手究竟有何魔力，让一个女子为其抛夫弃女、离经叛道？多愁善感的姑娘因偶然邂逅小提琴手及其充满魅惑的曲子，拒绝了一直仰慕他的男子，之后却又主动寻找、投靠他，命运又会如何捉弄他们？哈代的这篇短篇小说用压抑的笔调讲述了一个发生在南威塞克斯的悲剧故事。长简介哈代的短篇小说《拉里尔舞曲的小提琴手》讲述了一个发生在南威塞克斯的悲剧故事。女主人公偶然邂逅了会弹奏魅惑舞曲的小提琴手，不可自拔地陷入了对他的爱恋，因而拒绝了一直在追求她的机械师。机械师伤心地离开家乡去往伦敦，后来却意外收到了女主人公的来信，重归旧好，不想女主人公却带来了一位不速之客——她与小提琴手的孩子。之后三人返乡，在小旅馆中，小提琴手再次出现并带走了孩子，这让机械师痛苦不已。整篇小说笔调压抑，不管是景物描写、动作描写还是心理描写都带着挥之不去的悲剧色彩。关键字拉里尔舞曲的小提琴手；哈代；外研社编译组；短篇；悲剧；爱情作者（英）托马斯·哈代作者简介托马斯·哈代（1840—1828），英国诗人、小说家。哈代早期和中期的创作以小说为主，继承和发扬了维多利亚时代的文学传统；晚年以其出色的诗歌开拓了英国20世纪的文学。代表作有《韦塞克斯诗集》、《德伯家的苔丝》等。哈代的小说以他所生长生活的英格兰西南部地区为背景，富有浓重的地方色彩。他的小说大体分为3类：性格与环境的小说、罗曼史与幻想的小说和精于结构的小说。书评英国小说家中的最伟大的悲剧大师。——伍尔夫英国小说中的莎士比亚。 ——韦伯小提琴曲，或者说拉奏曲子的小提琴手究竟有何魔力，让一个女子为其抛夫弃女、离经叛道？
The Fiddler of the Reels	拉里尔舞曲的小提琴手		
The ‘excursion-train’—an absolutely new departure in the history of travel—was still a novelty on the Wessex line, and probably everywhere.	“游览列车”——旅行史上绝对的新起点——在威塞克斯线上仍然是一种新鲜事物，或许在别的任何地方也都如此。		
Crowds of people had flocked to all the stations on the way up to witness the unwonted sight of so long a train’s passage, even where they did not take advantage of the opportunity it offered.	人群大量涌到沿线所有车站，即便他们并不是想要利用火车之便，也想要目睹那么长的列车经过这一不同寻常的景象。		
The seats for the humbler class of travellers in these early experiments in steam-locomotion, were open trucks, without any protection whatever from the wind and rain; and damp weather having set in with the afternoon, the unfortunate occupants of these vehicles were, on the train drawing up at the London terminus, found to be in a pitiable condition from their long journey; blue-faced, stiff-necked, sneezing, rain-beaten, chilled to the marrow, many of the men being hatless; in fact, they resembled people who had been out all night in an open boat on a rough sea, rather than inland excursionists for pleasure.	蒸汽机车刚开始试运营，下层旅客乘坐的是敞开式车厢，没有任何遮风避雨的东西。下午一直在下雨，当火车驶进伦敦终点站时，乘坐这些车厢的不幸的人们在漫长的旅程之后处于一种狼狈的状态：脸色青紫、脖子僵硬、喷嚏连连、浑身湿透、全身冰冷。很多男人连帽子都没戴。实际上，他们更像是在汹涌海面上的敞篷船上呆了一晚上，不像是在内陆游览取乐了。		
The women had in some degree protected themselves by turning up the skirts of their gowns over their heads, but as by this arrangement they were additionally exposed about the hips, they were all more or less in a sorry plight.	女人们把长裙的裙摆向上翻卷，蒙住头，用这样的方式遮蔽风雨。不过，这样她们的屁股却没了防护，所以她们也差不多一样狼狈不堪。		
In the bustle and crush of alighting forms of both sexes which followed the entry of the huge concatenation into the station, Ned Hipcroft soon discerned the slim little figure his eye was in search of, in the sprigged lilac, as described.	那一长串列车进站后，男男女女喧闹着挤下车来。内德·希普克罗夫特很快就在人群中发现了一直在寻找的那个苗条娇小的身影。正如信中描述的那样，她穿着丁香枝叶图案的衣服。		
She came up to him with a frightened smile—still pretty, though so damp, weather-beaten, and shivering from long exposure to the wind.	她走向他，微笑里带着恐惧——尽管一路风吹雨淋，她浑身湿透，冻得瑟瑟发抖，却依然漂亮。		
‘O Ned!’ she sputtered, ‘I—I—’ He clasped her in his arms and kissed her, whereupon she burst into a flood of tears.	“哦，内德！”她结结巴巴地说，“我——我——”他双臂紧紧抱住她，亲吻她，这时她大哭起来。		
‘You are wet, my poor dear!	“你湿透了，可怜的宝贝！		
I hope you’ll not get cold,’ he said.	希望你不会感冒。”他说。		
And surveying her and her multifarious surrounding packages, he noticed that by the hand she led a toddling child—a little girl of three or so—whose hood was as clammy and tender face as blue as those of the other travellers.	审视了她以及她周围各种行李之后，他看到她的手牵着一个蹒跚学步的孩子——三岁左右的小女孩——像其他旅行者一样，她的兜帽湿乎乎的，柔嫩的脸蛋冻得发紫。		
‘Who is this—somebody you know?’ asked Ned curiously.	“这是谁——你认识的人？”内德好奇地问。		
‘Yes, Ned.	“是的，内德。		
She’s mine.’	她是我的。”		
‘Yours?’	“你的？”		
‘Yes—my own!’	“是——我自己的孩子！”		
‘Your own child?’	“你自己的孩子？”		
‘Yes!’	“对！”		
‘Well—as God’s in—’	“哦——天哪——”		
‘Ned, I didn’t name it in my letter, because, you see, it would have been so hard to explain!	“内德，我在信中没有跟你说，因为你知道，这太难解释了！		
I thought that when we met I could tell you how she happened to be born, so much better than in writing!	我觉得我们见面时再告诉你怎样碰巧生下了她，比在信中说要好得多！		
I hope you’ll excuse it this once, dear Ned, and not scold me, now I’ve come so many, many miles!’	我希望你能原谅我这一次，亲爱的内德，我已经从那么远的地方来了，就不要责备我了！”		
‘This means Mr. Mop Ollamoor, I reckon!’ said Hipcroft, gazing palely at them from the distance of the yard or two to which he had withdrawn with a start.	“我想这就是‘大拖把’奥拉莫尔先生的孩子吧！”希普克罗夫特边说，边吃惊地后退了一两码，脸色苍白地凝视着她们。		
Car’line gasped.	卡罗琳喘了口气。		
‘But he’s been gone away for years!’ she supplicated.	“但是他已经走了好几年了！”她哀求道，		
‘And I never had a young man before!	“我之前从未和一个小伙子好过！		
And I was so unlucky to be catched the first time, though some of the girls down there go on like anything!’	我太倒霉了，第一次就怀孕了，别的女孩子不论怎么样都没事！”		
Ned remained in silence, pondering.	内德继续沉默，仔细考虑着。		
‘You’ll forgive me, dear Ned?’ she added, beginning to sob outright.	“你会原谅我吧，亲爱的内德？”她又说，同时开始抽泣，		
‘I haven’t taken ’ee in after all, because—because you can pack us back again, if you want to; though ’tis hundreds o’ miles, and so wet, and night a-coming on, and I with no money!’	“毕竟，我没有欺骗你，因为——因为如果你想的话，你可以打发我们回去。不过，要赶好几百英里的路，还下着雨，又快晚上了，而且我也没有钱！”		
‘What the devil can I do!’	“我能怎么做呢！”		
 Hipcroft groaned.	希普克罗夫特痛苦地说。		
A more pitiable picture than the pair of helpless creatures presented was never seen on a rainy day, as they stood on the great, gaunt, puddled platform, a whiff of drizzle blowing under the roof upon them now and then; the pretty attire in which they had started from Stickleford in the early morning bemuddled and sodden, weariness on their faces, and fear of him in their eyes; for the child began to look as if she thought she too had done some wrong, remaining in an appalled silence till the tears rolled down her chubby cheeks.	雨天中再没有比这更加让人怜悯的景象了。这一对孤苦无助的母女站在那凄凉的、满是泥浆的大站台上，时不时有一阵细雨吹到顶棚下，吹到她们身上。她们早晨从斯蒂克福德出发时的漂亮衣服现在沾满泥巴，又湿又皱。她们脸上带着倦容，眼神中还流露出对他的恐惧。那孩子看来开始认为自己也做错了什么，吓得默不作声，直到眼泪滚下她胖嘟嘟的脸颊，才打破这沉默。		
‘What’s the matter, my little maid?’ said Ned mechanically.	“怎么了，小宝贝？”内德机械地说。		
‘I do want to go home!’ she let out, in tones that told of a bursting heart.	“我想回家！”她脱口而出，语调中带着渴求，		
‘And my totties be cold, an’ I shan’t have no bread an’ butter no more!’	“我的脚丫很冷，我也没有黄油面包吃！”		
‘I don’t know what to say to it all!’ declared Ned, his own eye moist as he turned and walked a few steps with his head down; then regarded them again point blank.	“我不知道该说什么了！”内德大声说。他转过身，低着头走了几步，自己的眼睛也湿润了，然后又直直地凝视她们。		
From the child escaped troubled breaths and silently welling tears.	孩子呼吸有些困难，默默地流着泪。		
‘Want some bread and butter, do ’ee?’ he said, with factitious hardness.	“你想吃些黄油面包，对吗？”他故意用硬邦邦的口吻说。		
‘Ye-e-s!’	“嗯！”		
‘Well, I daresay I can get ’ee a bit!	“好，我想我可以给你弄点儿来！		
Naturally, you must want some.	自然，你一定想吃了。		
And you, too, for that matter, Car’line.’	说到这儿，卡罗琳，你也一定想来些。”		
‘I do feel a little hungered.	“我确实觉得有点儿饿了。		
But I can keep it off,’ she murmured.	但是我可以忍着。”她低声说。		
‘Folk shouldn’t do that,’ he said gruffly....	“人可不能挨饿。”他粗声说……		
‘There come along!’ he caught up the child, as he added, ‘You must bide here to-night, anyhow, I s’pose!	“好了，跟我走吧！”他边抱起孩子，边说，“我觉得，无论如何，你们今晚必须住在这儿！		
What can you do otherwise?	不然你们还能怎么办呢？		
I’ll get ’ee some tea and victuals; and as for this job, I’m sure I don’t know what to say!	我会给你们弄点儿茶，弄点儿吃的。至于这件事情，我真不知道说什么才好！		
This is the way out.’	出口在这边。”		
They pursued their way, without speaking, to Ned’s lodgings, which were not far off.	他们朝内德的寓所走去，一路上谁都不说话。房子离得不远。		
There he dried them and made them comfortable, and prepared tea; they thankfully sat down.	回到家，他把她们擦干，让她们舒服些，就去准备茶。她们感激地坐下来。		
The ready-made household of which he suddenly found himself the head imparted a cosy aspect to his room, and a paternal one to himself.	内德突然发现，自己成了这个现成家庭的一家之主。这个家使他的房子变得温馨，也使他觉得自己像个父亲了。		
Presently he turned to the child and kissed her now blooming cheeks; and, looking wistfully at Car’line, kissed her also.	过了一会儿，他转向孩子，亲吻她红润的脸颊；然后，他用依恋的眼神看着卡罗琳，也吻了她。		
‘I don’t see how I can send ’ee back all them miles,’ he growled, ‘now you’ve come all the way o’ purpose to join me.	“既然你们大老远地跑来投奔我，”他低吼道，“这么远的路，我怎么能把你们送回去呢。		
But you must trust me, Car’line, and show you’ve real faith in me.	但是你必须信任我，卡罗琳，并且表现出你确实对我有信心。		
Well, do you feel better now, my little woman?’	哦，你现在感觉好点儿了么，小宝贝？”		
The child nodded, her mouth being otherwise occupied.	孩子点点头，没有说话，因为嘴里吃着东西。		
‘I did trust you, Ned, in coming; and I shall always!’	“我确实信任你，内德，不然怎么会来呢，我会一直信任你！”		
Thus, without any definite agreement to forgive her, he tacitly acquiesced in the fate that Heaven had sent him; and on the day of their marriage (which was not quite so soon as he had expected it could be, on account of the time necessary for banns) he took her to the Exhibition when they came back from church, as he had promised.	这样，他虽没有明确地说原谅她，还是默默接受了上天给他的命运。他们结婚的那天（因为要有足够的结婚公告时间，所以并不像他想象得那样早），从教堂回来后，他带她去了博览会，正如他许诺的那样。		
While standing near a large mirror in one of the courts devoted to furniture, Car’line started, for in the glass appeared the reflection of a form exactly resembling Mop Ollamoor’s—so exactly, that it seemed impossible to believe anybody but that artist in person to be the original.	在一个家具展览场地，卡罗琳站在一面大镜子前，突然吃了一惊，因为镜子中出现了一个像极了“大拖把”奥拉莫尔的人影——简直一模一样，似乎就是那位艺术家本人，不可能是其他人。		
On passing round the objects which hemmed in Ned, her, and the child from a direct view, no Mop was to be seen.	附近的家具阻碍了他们一家三口，让他们无法直接看到那个人。等绕过去之后，她并没有看到大拖把。		
Whether he were really in London or not at that time was never known; and Car’line always stoutly denied that her readiness to go and meet Ned in town arose from any rumour that Mop had also gone thither; which denial there was no reasonable ground for doubting.	至于那时他是否真的在伦敦，永远无从知晓了。卡罗琳总是坚决否认，说她愿意来伦敦找内德，并不是因为有传言说“大拖把”也到了伦敦。没有任何合理的依据来怀疑她的这种否认。		
And then the year glided away, and the Exhibition folded itself up and became a thing of the past.	然后，这一年不知不觉地就过去了。展览会结束了，成为了过去。		
The park trees that had been enclosed for six months were again exposed to the winds and storms, and the sod grew green anew.	公园中被遮蔽了六个月的树木又暴露在风雨中，草地也重新变绿。		
Ned found that Car’line resolved herself into a very good wife and companion, though she had made herself what is called cheap to him; but in that she was like another domestic article, a cheap tea-pot, which often brews better tea than a dear one.	内德发现卡罗琳变成了一个很好的妻子、伴侣，尽管她的过去让他觉得她有些“低贱”。但是，在这一点上，她就像另一件家居物品，虽然是一把廉价的茶壶，但是与昂贵的茶壶相比，却能冲出更好的茶。		
One autumn Hipcroft found himself with but little work to do, and a prospect of less for the winter.	一年秋天，希普克罗夫特发现自己几乎没什么活干，冬天活可能会更少。		
Both being country born and bred, they fancied they would like to live again in their natural atmosphere.	他们都是在乡村出生成长，因而觉得重新回到自然的环境中生活也不错。		
It was accordingly decided between them that they should leave the pent-up London lodging, and that Ned should seek out employment near his native place, his wife and her daughter staying with Car’line’s father during the search for occupation and an abode of their own.	于是，他们决定离开伦敦那压抑的寓所。内德会在家乡附近找份工作，在他找工作和寓所时，妻子、孩子同卡罗琳的父亲一起生活。		
Tinglings of pleasure pervaded Car’line’s spasmodic little frame as she journeyed down with Ned to the place she had left two or three years before, in silence and under a cloud.	两三年前卡罗琳离开时，她默默无言，抑郁不欢，而现在她同内德回到家乡，激动、愉悦一阵阵地刺激着她娇小的身体。		
To return to where she had once been despised, a smiling London wife with a distinct London accent, was a triumph which the world did not witness every day.	作为一个伦敦妻子，说着地道的伦敦音，笑吟吟地回到曾经被看不起的地方，也算一种胜利。世上并非每天都能发生这种事。		
The train did not stop at the petty roadside station that lay nearest to Stickleford, and the trio went on to Casterbridge.	火车没有在离斯蒂克福德最近的路边小站停靠，三个人在卡斯特桥下车。		
Ned thought it a good opportunity to make a few preliminary inquiries for employment at workshops in the borough where he had been known; and feeling cold from her journey, and it being dry underfoot and only dusk as yet, with a moon on the point of rising, Car’line and her little girl walked on toward Stickleford, leaving Ned to follow at a quicker pace, and pick her up at a certain half-way house, widely known as an inn.	内德想，镇上有人认识他，他正好可以趁这个机会去那里的作坊谋个工作。卡罗琳觉得坐了一路的车，身上很冷，加上路上干燥，天还没黑，月亮又快升起，便带着女儿继续朝斯蒂克福德走去。之后内德可以快步追上她们，在半路上的一间广为人知的旅馆接她。		
The woman and child pursued the well-remembered way comfortably enough, though they were both becoming wearied.	母女俩沿着熟悉的道路走得还算轻松，虽然两个人都有些疲倦。		
In the course of three miles they had passed Heedless-William’s Pond, the familiar landmark by Bloom’s End, and were drawing near the Quiet Woman Inn, a lone roadside hostel on the lower verge of the Egdon Heath, since and for many years abolished.	在三英里的路途中，她们经过了粗心的威廉的池塘——一个熟悉的布鲁姆端地标，然后向“静佳人”旅馆走去。那是埃格顿荒原边缘一所孤零零的路边旅店。此后，这旅店废弃了很多年。		
In stepping up towards it Car’line heard more voices within than had formerly been customary at such an hour, and she learned that an auction of fat stock had been held near the spot that afternoon.	离旅店越来越近，卡罗琳听到里面很热闹，而以往的这个时间里面总是很安静。她打听到下午这附近举办了一场食用家畜拍卖会。		
The child would be the better for a rest as well as herself, she thought, and she entered.	她和孩子最好都休息一下，她想，于是她就进去了。		
The guests and customers overflowed into the passage, and Car’line had no sooner crossed the threshold than a man whom she remembered by sight came forward with glass and mug in his hands towards a friend leaning against the wall; but, seeing her, very gallantly offered her a drink of the liquor, which was gin-and-beer hot, pouring her out a tumblerful and saying, in a moment or two: ‘Surely, ’tis little Car’line Aspent that was—down at Stickleford?’	客人和买家畜的人很多，都挤到过道里来了。卡罗琳刚跨过门槛，就看到一个眼熟的人，正端着玻璃杯和马克杯走向一个倚在墙上的朋友。但是，一看到她，那人就很殷勤地为她点了一杯现配的杜松子酒和啤酒的混合酒。他给她倒了一杯，过了一会儿说：“可不，这不是斯蒂克福德的小卡罗琳·阿斯彭特吗？”		
She assented, and, though she did not exactly want this beverage, she drank it since it was offered, and her entertainer begged her to come in farther and sit down.	她承认了。尽管她不想喝这杯酒，但既然有人请了，她还是喝了，然后请她喝酒的人又请她进里面坐下。		
Once within the room she found that all the persons present were seated close against the walls, and there being a chair vacant she did the same.	一进入房间，她就发现在场所有的人都紧挨着墙坐着。有把椅子空着，她便也靠墙坐下。		
An explanation of their position occurred the next moment.	他们这样坐的原因很快就清楚了。		
In the opposite corner stood Mop, rosining his bow and looking just the same as ever.	对面的角落里站着“大拖把”，他正用松香擦着琴弓，看起来和以前一样。		
The company had cleared the middle of the room for dancing, and they were about to dance again.	大家把房间的中间清空是为了跳舞，他们马上又要开始跳了。		
As she wore a veil to keep off the wind she did not think he had recognized her, or could possibly guess the identity of the child; and to her satisfied surprise she found that she could confront him quite calmly—mistress of herself in the dignity her London life had given her.	她带着防风的面纱，所以觉得他不会认出自己，也不会猜出孩子的身份。让她既惊讶又满意的是，她可以平静地面对他——伦敦的生活给了她尊严，让她可以庄重自持。		
Before she had quite emptied her glass the dance was called, the dancers formed in two lines, the music sounded, and the figure began.	她还没喝完那杯酒，舞会就开始了。跳舞的人站成两排，音乐响起，人们开始跳舞。		
Then matters changed for Car’line.	然后，对卡罗琳来说，事情改变了。		
A tremor quickened itself to life in her, and her hand so shook that she could hardly set down her glass.	她体内重新升起了一股冲动的感觉，手剧烈地颤抖着，几乎放不下手里的酒杯。		
It was not the dance nor the dancers, but the notes of that old violin which thrilled the London wife, these having still all the witchery that she had so well known of yore, and under which she had used to lose her power of independent will.	使这位伦敦妻子震颤的，既不是舞蹈也不是舞者，而是那把旧小提琴拉出的音符。那音符仍旧有着昔日她熟知的魔力，她曾经在那魔力下不能自已。		
How it all came back!	那种感觉怎么又来了！		
There was the fiddling figure against the wall; the large, oily, mop-like head of him, and beneath the mop the face with closed eyes.	拉小提琴的人倚着墙，他的大脑袋油腻腻的，好似大拖把，大拖把下面是闭着眼睛的面孔。		
After the first moments of paralyzed reverie the familiar tune in the familiar rendering made her laugh and shed tears simultaneously.	开始有一段时间，她陷入幻想，无力自拔，继而那熟悉的曲调、熟悉的演奏方式，让她又哭又笑。		
Then a man at the bottom of the dance, whose partner had dropped away, stretched out his hand and beckoned to her to take the place.	这时，舞队末尾有名男子的舞伴退下来了，于是那男子伸出手，示意她来接替。		
She did not want to dance; she entreated by signs to be left where she was, but she was entreating of the tune and its player rather than of the dancing man.	她不想跳，便打了手势，恳求继续呆在原来的位置。但是，与其说是恳求邀舞的人，不如说是恳求那曲调和曲调的演奏者。		
The saltatory tendency which the fiddler and his cunning instrument had ever been able to start in her was seizing Car’line just as it had done in earlier years, possibly assisted by the gin-and-beer hot.	前些年，小提琴手及其狡诈的乐器总让她有翩然起舞的欲望，现在，这欲望又攫住了她。那杯现配的混合酒，可能也加剧了这种欲望。		
Tired as she was she grasped her little girl by the hand, and plunging in at the bottom of the figure, whirled about with the rest.	尽管她很疲惫，她还是抓起女儿的手，冲进队尾，和其他人一起旋转跳舞。		
She found that her companions were mostly people of the neighbouring hamlets and farms—Bloom’s End, Mellstock, Lewgate, and elsewhere; and by degrees she was recognized as she convulsively danced on, wishing that Mop would cease and let her heart rest from the aching he caused, and her feet also.	她发现舞伴们多是来自附近的村庄或农场——布鲁姆端、梅尔斯托克、刘盖特等地方。渐渐地，随着她越跳越兴奋，人们认出了她。她希望“大拖把”能够停下来，让她那因他而痛的心和双脚得以休息。		
After long and many minutes the dance ended, when she was urged to fortify herself with more gin-and-beer; which she did, feeling very weak and overpowered with hysteric emotion.	很长一段时间之后，舞才停下来。有人让她再喝些杜松子和啤酒的混合酒提提神。她感觉浑身虚弱无力，无法忍受那亢奋的情绪，便喝了酒。		
She refrained from unveiling, to keep Mop in ignorance of her presence, if possible.	她强忍着不解下面纱，尽可能不让“大拖把”认出她。		
Several of the guests having left, Car’line hastily wiped her lips and also turned to go; but, according to the account of some who remained, at that very moment a five-handed reel was proposed, in which two or three begged her to join.	几个客人走了，卡罗琳匆匆擦了擦嘴，也想转身离开。然而，据留下来的人说，那时恰好有人提议跳五人里尔舞，两三个人邀请她加入。		
She declined on the plea of being tired and having to walk to Stickleford, when Mop began aggressively tweedling ‘My Fancy-Lad,’ in D major, as the air to which the reel was to be footed.	她以疲惫不堪、还要走回斯蒂克福德为由拒绝了。这时，“大拖把”咄咄逼人，开始用D大调拉起了《我的情郎》，作为这支里尔舞的伴奏曲。		
He must have recognized her, though she did not know it, for it was the strain of all seductive strains which she was least able to resist—the one he had played when she was leaning over the bridge at the date of their first acquaintance.	他肯定认出了她，但她还不知道，因为那是所有魅惑人心的曲子中她最难以抗拒的——他们初识那天，她倚着桥栏时，他拉的就是那一支。		
Car’line stepped despairingly into the middle of the room with the other four.	卡罗琳绝望地和其他四人一起走到屋子中间。		
Reels were resorted to hereabouts at this time by the more robust spirits, for the reduction of superfluous energy which the ordinary figure-dances were not powerful enough to exhaust.	当时，这一带身强体壮的人才会跳里尔舞，其他舞不够剧烈，只有里尔舞才能消耗过剩的精力。		
As everybody knows, or does not know, the five reelers stood in the form of a cross, the reel being performed by each line of three alternately, the persons who successively came to the middle place dancing in both directions.	众所周知，或许也不是人人皆知，五名里尔舞者站成十字，三人一行，两行轮换着跳，相继跳到中间位置的人两个方向都跳。		
Car’line soon found herself in this place, the axis of the whole performance, and could not get out of it, the tune turning into the first part without giving her opportunity.	卡罗琳很快发现自己就处于这个位置，即整个舞蹈的轴心；而且她换不了位置，正巧曲子转入第一部分，让她没有机会脱身。		
And now she began to suspect that Mop did know her, and was doing this on purpose, though whenever she stole a glance at him his closed eyes betokened obliviousness to everything outside his own brain.	此时，她开始怀疑“大拖把”认出了她，才故意为之，尽管每次她偷瞥他，他都闭着眼睛，好像除了脑子里的乐曲，其他都浑然不觉。		
She continued to wend her way through the figure of 8 that was formed by her course, the fiddler introducing into his notes the wild and agonizing sweetness of a living voice in one too highly wrought; its pathos running high and running low in endless variation, projecting through her nerves excruciating spasms, a sort of blissful torture.	她的舞步形成一个8字，她沿着这个8字一直跳。小提琴手在曲调中加入狂野而又令人心痛的动听旋律，好似过度兴奋的人在吟唱一般。曲调悲怆，时高时低，不断变化，刺激着她的神经，引起阵阵痛苦，让她既欣喜若狂又痛苦不堪。		
The room swam, the tune was endless; and in about a quarter of an hour the only other woman in the figure dropped out exhausted, and sank panting on a bench.	房间在旋转，曲子无休无尽。过了约摸一刻钟，舞蹈中唯一的另一个女性退了下来，精疲力竭、气喘吁吁地瘫在长凳上。		
The reel instantly resolved itself into a four-handed one.	五人里尔舞立刻变成了四人舞。		
Car’line would have given anything to leave off; but she had, or fancied she had, no power, while Mop played such tunes; and thus another ten minutes slipped by, a haze of dust now clouding the candles, the floor being of stone, sanded.	卡罗琳只想停下来，并愿意为此付出任何代价。然而，“大拖把”拉这样的曲子时，她没有，或者她自认没有力量能做到这一点。这样不知不觉间又过了十分钟，石砌的地板浮起尘土，扬起的尘雾笼罩住蜡烛，遮暗了烛光。		
Then another dancer fell out—one of the men—and went into the passage, in a frantic search for liquor.	接着又有一个跳舞的人退出——一个男人——他跑到过道，疯狂地找酒喝。		
To turn the figure into a three-handed reel was the work of a second, Mop modulating at the same time into ‘The Fairy Dance,’ as better suited to the contracted movement, and no less one of those foods of love which, as manufactured by his bow, had always intoxicated her.	眨眼间四人舞变成了三人舞，同时，“大拖把”把调子转为《仙女舞》，更好地配合紧凑的动作。而且，这曲子丝毫不逊于他的琴弓曾奏出的情歌，那些曲子曾让她深深沉醉其中。		
In a reel for three there was no rest whatever, and four or five minutes were enough to make her remaining two partners, now thoroughly blown, stamp their last bar and, like their predecessors, limp off into the next room to get something to drink.	跳三人里尔舞根本不能休息，不过四五分钟，剩下的两个舞伴就已上气不接下气，跺着脚跳了最后一节，就跟之前离开的人一样，一瘸一拐地走到隔壁房间找酒喝。		
Car’line, half-stifled inside her veil, was left dancing alone, the apartment now being empty of everybody save herself, Mop, and their little girl.	面纱之下，卡罗琳几乎窒息。现在只剩她一个人跳了，房间里除了她自己、“大拖把”和他们的女儿之外，别无他人。		
She flung up the veil, and cast her eyes upon him, as if imploring him to withdraw himself and his acoustic magnetism from the atmosphere.	她猛地掀起面纱，眼神投向他，好似乞求他离开，乞求他停下那魅惑的声音。		
Mop opened one of his own orbs, as though for the first time, fixed it peeringly upon her, and smiling dreamily, threw into his strains the reserve of expression which he could not afford to waste on a big and noisy dance.	“大拖把”睁开一只眼，好像是第一次张开似的，紧紧盯着她。他带着朦胧的笑意，把保留着的感情倾注在乐曲中，大而喧闹的舞会可不值得他浪费这样的感情。		
Crowds of little chromatic subtleties, capable of drawing tears from a statue, proceeded straightway from the ancient fiddle, as if it were dying of the emotion which had been pent up within it ever since its banishment from some Italian city where it first took shape and sound.	旧提琴立刻奏出足以使石像流泪的大量短促、微妙的半音，似乎自从它在意大利某城成形、试音之后，一直被放逐，现在极度渴望宣泄一直郁积于心的情感。		
There was that in the look of Mop’s one dark eye which said: ‘You cannot leave off, dear, whether you would or no!’ and it bred in her a paroxysm of desperation that defied him to tire her down.	“大拖把”那只黝黑的眼睛仿佛在说：“不管你愿不愿意，亲爱的，你都停不下来！”这神情使她想要铤而走险，看看“大拖把”到底能不能把她累垮。		
She thus continued to dance alone, defiantly as she thought, but in truth slavishly and abjectly, subject to every wave of the melody, and probed by the gimlet-like gaze of her fascinator’s open eye; keeping up at the same time a feeble smile in his face, as a feint to signify it was still her own pleasure which led her on.	就这样，她独自跳了下去。她认为自己是在反抗，实际上，则是顺服、卑微地屈从于旋律的每个波动起伏，任由魅惑者张着的眼睛用钻子般的眼神探查她的内心。与此同时，当着他的面，她脸上还要尽力保持着无力的微笑，好像一种伪装，证明她一直跳下去是因为自己高兴。		
A terrified embarrassment as to what she could say to him if she were to leave off, had its unrecognized share in keeping her going.	如果停下，她不知道要对他说什么，对这种极为尴尬的场面的恐惧也是她继续跳下去的原因之一，不过她并未意识到这一点。		
The child, who was beginning to be distressed by the strange situation, came up and said: ‘Stop, mother, stop, and let’s go home!’ as she seized Car’line’s hand.	这种怪异的气氛开始让孩子感到不安，她走上来，抓住卡罗琳的手说：“停下，妈妈，停下，我们回家！”		
Suddenly Car’line sank staggering to the floor; and rolling over on her face, prone she remained.	突然，卡罗琳摇晃着瘫在地上，然后翻身向下，一直俯卧着。		
Mop’s fiddle thereupon emitted an elfin shriek of finality; stepping quickly down from the nine-gallon beer-cask which had formed his rostrum, he went to the little girl, who disconsolately bent over her mother.	“大拖把”的小提琴随即发出恶作剧般的尖叫声作为收尾。他从那只作为演奏台的九加仑啤酒桶上下来，快步走向俯在母亲身边的悲伤的小女孩。		
The guests who had gone into the back-room for liquor and change of air, hearing something unusual, trooped back hitherward, where they endeavoured to revive poor, weak Car’line by blowing her with the bellows and opening the window.	方才去后面房间喝酒和透气的客人们听到奇怪的声响，于是成群结队地回到了这个房间，他们大喊了好一阵，又打开了窗户，才把可怜的虚弱的卡罗琳唤醒。		
Ned, her husband, who had been detained in Casterbridge, as aforesaid, came along the road at this juncture, and hearing excited voices through the open casement, and to his great surprise, the mention of his wife’s name, he entered amid the rest upon the scene.	如之前所说，她的丈夫内德在卡斯特桥耽搁了，这时正沿着路走来。他从开着的窗子中听到了激动的喊声，令他大吃一惊的是，叫声中提到了他妻子的名字。于是，他拨开众人走了进去。		
Car’line was now in convulsions, weeping violently, and for a long time nothing could be done with her.	此时，卡罗琳浑身抽搐，号啕大哭，很长一段时间都让人束手无策。		
While he was sending for a cart to take her onward to Stickleford Hipcroft anxiously inquired how it had all happened; and then the assembly explained that a fiddler formerly known in the locality had lately revisited his old haunts, and had taken upon himself without invitation to play that evening at the inn.	希普克罗夫特一边让人找辆马车把她送到斯蒂克福德，一边急切地询问发生了什么事。然后大家解释说，本地人熟知的一名小提琴手最近重游故地，那晚上没人邀请便自己在旅馆演奏起来。		
Ned demanded the fiddler’s name, and they said Ollamoor.	内德问起小提琴手的名字，他们说是奥拉莫尔。		
‘Ah!’ exclaimed Ned, looking round him.	“啊！”内德大叫，扫视四周，		
‘Where is he, and where—where’s my little girl?’	“他在哪儿，我的——我的女儿在哪儿？”		
Ollamoor had disappeared, and so had the child.	奥拉莫尔消失了，孩子也不见了。		
