书名《法西诺·卡内》（巴尔扎克短篇小说）短简介《法西诺·卡内》这篇文章通过一位与众不同的盲人老人的回忆讲述了一个由无尽贪欲引发的故事。对于金钱的狂热和痴迷，放荡不羁生活，情人之间的种种欺骗，即便是曾经享受过炫目的豪奢也终究敌不过繁华终归散场的命运。长简介法国现实主义作家巴尔扎克在他的中篇小说《法西诺·卡内》中，通过一位与众不同的盲人老人的回忆讲述了一个由无尽贪欲引发的故事。对于金钱的狂热和痴迷，放荡不羁生活，情人之间的种种欺骗，即便是曾经享受过炫目的豪奢也终究敌不过繁华终归散场的命运。巴尔扎克对现实主义文学最大的贡献在于他对典型人物形象和社会风俗的细致刻画，并表达人物性格在社会环境中的变化和发展。他以编年史的方式描绘了上升中的资产阶级对贵族社会日甚一日的冲击。这篇文章对精神现象有具体、显豁的说明：“在我身上，观察已经变成直觉的了，它深入灵魂却不忽视形体，或更可以说，它一下子抓住外部细节，随即超越之；它赋予我一种能力，使我亲历它所及的个人的生活，使我代替了他，就像《一千零一夜》中的苦行僧，他向那些人说几句话，就得到了他们的灵魂和肉体。”其观察力和批判力都显得鞭辟入里，内容深刻。关键字法西诺·卡内；巴尔扎克；外研社编译组；黄金；情人；逃犯；盲人；婚礼；单簧管；威尼斯；贪欲作者（法）巴尔扎克作者简介巴尔扎克（1799年5月20日—1850年8月18日），法国19世纪著名作家，法国现实主义文学成就最高者之一。他创作的《人间喜剧》共91部小说，写了两千四百多个人物，是人类文学史上罕见的文学丰碑，被称为法国社会的“百科全书”。
书评一个能思考的人，才真是一个力量无边的人。
——巴尔扎克贪婪的欲望，执着的欲念，是一位年迈老人纵然双目失明也无法摆脱的命运桎梏。
Facino Cane	法西诺·卡内
Gold is so much of a necessity of life for me, that I have never been without it; I must have gold to toy with and finger.	金子是我生活的必需品，以致无论我处在什么情况下，身上总带着金子。我必须经常抚摸金子。
As a young man I always wore jewelry, and I carried two or three hundred ducats about me wherever I went.”	作为一个年轻人，我总是戴着首饰，身上总带着两三百杜卡托。”
He drew a couple of gold coins from his pocket and showed them to me as he spoke.	说着，他从口袋里掏出两个杜卡托，递给我看。
“I can tell by instinct when gold is near.	“如果附近有金子，我凭着感觉就能感受到。
Blind as I am, I stop before a jeweler’s shop windows.	虽然现在眼睛看不见，但是我时常在珠宝店橱窗前流连。
That passion was the ruin of me; I took to gambling to play with gold.	这种嗜好毁了我。为了把玩金子，我成了赌徒。
I was not a cheat, I was cheated, I ruined myself.	我不是骗子，我被别人骗了。我把自己毁了。
I lost all my fortune.	我输了个倾家荡产。
Then the longing to see Bianca once more possessed me like a frenzy.	我失去财产以后，发狂地想见到毕昂卡。
I stole back to Venice and found her again.	我偷偷地回到威尼斯，找到了她。
For six months I was happy; she hid me in her house and fed me.	整整六个月，我过得很幸福。她把我藏在家里，供养着我。
I thought thus deliciously to finish my days.	我想着就这么舒舒服服地度过一生。
But the Provveditore courted her, and guessed that he had a rival; we in Italy can feel that.	但是，省总督也追求着她。这个人猜出自己有一个情敌，我们意大利人凭感觉就能感觉到这一点。
He played the spy upon us, and surprised us together in bed, base wretch.	他监视我们，在床上抓住我们，这卑鄙小人！
You may judge what a fight for life it was; I did not kill him outright, but I wounded him dangerously.	你可以想象我们的搏斗多么激烈。我没有痛痛快快地杀死他，但是他受了重伤。
“That adventure broke my luck.	“这个遭遇毁了我的幸运。
I have never found another Bianca; I have known great pleasures; but among the most celebrated women at the court of Louis XV.	从这天起，我再也找不到毕昂卡了。此后我也曾纵情欢乐，涉足路易十五的宫廷，生活在声名显赫的贵妇之中。
I never found my beloved Venetian’s charm, her love, her great qualities.	我再也没有找到我钟爱的威尼斯女人所拥有的妩媚、爱情和高贵品质。
“The Provveditore called his servants, the palace was surrounded and entered; I fought for my life that I might die beneath Bianca’s eyes; Bianca helped me to kill the Provveditore.	“省总督把他的仆人召集起来，包围和攻入宫廷。我竭力自卫，死也要死在毕昂卡的眼前，她一直在帮我去杀死省总督。
Once before she had refused flight with me; but after six months of happiness she wished only to die with me, and received several thrusts.	以前这个女人不肯同我一起逃走，但过了半年的幸福生活以后，她愿意同我一起死去，而且为我身中数刀。
I was entangled in a great cloak that they flung over me, carried down to a gondola, and hurried to the Pozzi dungeons.	他们用一件大氅蒙在我身上，把我裹起来，扛到一艘小船上，运到一个地牢里关起来。
I was twenty-two years old.	那时，我二十二岁。
I gripped the hilt of my broken sword so hard, that they could only have taken it from me by cutting off my hand at the wrist.	我捏紧了半截断剑，谁想要夺走它，就非得砍掉我的手不可。
A curious chance, or rather the instinct of self-preservation, led me to hide the fragment of the blade in a corner of my cell, as if it might still be of use.	出于奇怪的巧合，更确切地说，出于小心谨慎，我把这截剑藏在一个角落里，好像我还能用得着它似的。
They tended me; none of my wounds were serious.	他们治好了我的伤。我受的伤都不是致命的。
At two-and-twenty one can recover from anything.	二十二岁的年轻人在什么情况下都会恢复健康。
I was to lose my head on the scaffold.	我本来该上断头台了。
I shammed illness to gain time.	我装作生病来争取时间。
It seemed to me that the canal lay just outside my cell.	我估摸着，自己应该是呆在与运河相邻的黑牢里。
I thought to make my escape by boring a hole through the wall and swimming for my life.	我的计划是挖墙开洞，游过运河逃出去。
I based my hopes on the following reasons.	我的希望基于以下理由。
“Every time that the jailer came with my food, there was light enough to read directions written on the walls—‘Side of the Palace,’ ‘Side of the Canal,’ ‘Side of the Vaults.’	“每次监狱看守给我送饭时，我就看到墙上所写的标明方向的字：‘靠宫殿’、‘靠运河’、‘靠地道’。
At last I saw a design in this, but I did not trouble myself much about the meaning of it; the actual incomplete condition of the Ducal Palace accounted for it.	最终，我琢磨出一幅平面图，图形的方向我倒并不在意，但可以解释为尚未竣工的公爵府目前的状况是如此。
The longing to regain my freedom gave me something like genius.	想要恢复自由的愿望给了我无穷的智慧。
Groping about with my fingers, I spelled out an Arabic inscription on the wall.	我用指尖去摸墙上石头的表面，终于辨别出阿拉伯文的说明字句。
The author of the work informed those to come after him that he had loosed two stones in the lowest course of masonry and hollowed out eleven feet beyond underground.	刻文字的人告诉他的后继者，他已挖松了最后一层墙石的两块石头，并且挖了十一尺的地道。
As he went on with his excavations, it became necessary to spread the fragments of stone and mortar over the floor of his cell.	既然他要继续做下去，就必须把挖出来的碎石和灰泥洒在黑牢的地上。
But even if jailers and inquisitors had not felt sure that the structure of the building was such that no watch was needed below, the level of the Pozzi dungeons being several steps below the threshold, it was possible gradually to raise the earthen floor without exciting the warder’s suspicions.	监狱看守和审讯的人不大放心监狱的构造，所以下层仍需要人看守。即使这样，由于下到地牢要经过几级台阶，地牢的布局就能够在逐渐抬高地面的过程中使看守无法觉察。
“The tremendous labor had profited nothing—nothing at least to him that began it.	“这项大工程是白费力气了——至少对于最初挖掘的人来说是这样。
The very fact that it was left unfinished told of the unknown worker’s death.	工程没有完成，那只能表明这个陌生人已经死了。
Unless his devoted toil was to be wasted for ever, his successor must have some knowledge of Arabic, but I had studied Oriental languages at the Armenian Convent.	为了使他的献身精神不至于付诸东流，他的继任者必须懂阿拉伯文，而我曾在亚美尼亚人的修道院里研读过东方语言。
A few words written on the back of the stone recorded the unhappy man’s fate; he had fallen a victim to his great possessions; Venice had coveted his wealth and seized upon it.	那块石头后面刻写的一句话，道出了这个不幸者的命运。他因财丧命，威尼斯觊觎他的巨大财产，攫为己有。
A whole month went by before I obtained any result; but whenever I felt my strength failing as I worked, I heard the chink of gold, I saw gold spread before me, I was dazzled by diamonds.—Ah! wait.	我得花一个月才能有个结果。每当我干活干到精疲力竭的时候，我便听到金子的声音，看到金子散落在我眼前，被钻石闪得眼花！——啊，等一等！
“One night my blunted steel struck on wood.	“有一夜，我那把磨钝的剑碰到了木头。
I whetted the fragment of my blade and cut a hole; I crept on my belly like a serpent; I worked naked and mole-fashion, my hands in front of me, using the stone itself to gain a purchase.	我磨快那截剑，要在木头上钻一个洞。为了干活方便，我像一条蛇那样匍匐在地，赤裸着身子，像鼹鼠那样干活，双手在前，用那块石头作支撑点。
I was to appear before my judges in two days’ time, I made a final effort, and that night I bored through the wood and felt that there was space beyond.	在我要出庭受审的前两天夜里，我想作最后一次努力。我钻穿了木头。我的剑在那头没碰到东西。
“Judge of my surprise when I applied my eye to the hole.	“当我将眼睛凑在窟窿上的时候，请想想我有多惊讶吧！
I was in the ceiling of a vault, heaps of gold were dimly visible in the faint light.	我发现自己在一间地窖里，在微弱的灯下可以看到大堆的金子。
The Doge himself and one of the Ten stood below; I could hear their voices and sufficient of their talk to know that this was the Secret Treasury of the Republic, full of the gifts of Doges and reserves of booty called the Tithe of Venice from the spoils of military expeditions.	总督本人和十人委员会中的一员，正在这个小地窖里。我听到他们的说话声，并从他们的谈话中知道，共和国的秘密宝库就在这里，有历届总督的赠予和远征掠夺来的、称为威尼斯国库的战利品储存物。
I was saved!	我能活命了！
“When the jailer came I proposed that he should help me to escape and fly with me, and that we should take with us as much as we could carry.	“待监狱看守进来时，我向他提议帮我逃走，同我一起席卷我们能带走的一切。
There was no reason for hesitation; he agreed.	他没有犹豫的理由，便同意了。
Vessels were about to sail for the Levant.	有艘帆船要开往黎凡特。
All possible precautions were taken.	一切准备就绪。
Bianca furthered the schemes which I suggested to my accomplice.	我向同谋讲的措施，毕昂卡一一促成。
It was arranged that Bianca should only rejoin us in Smyrna for fear of exciting suspicion.	为了避免引起怀疑，毕昂卡要在士麦那与我们会合。
In a single night the hole was enlarged, and we dropped down into the Secret Treasury of Venice.	一夜工夫，洞口就挖大了，我们进入了威尼斯的秘密宝库里。
“What a night that was!	“多么难忘的一夜啊！
Four great casks full of gold stood there.	地窖里有四只装满金子的大桶。
In the outer room silver pieces were piled in heaps, leaving a gangway between by which to cross the chamber.	在外面一个房间，银币也堆成两堆，贴墙斜放，中间留出一条通道。
Banks of silver coins surrounded the walls to the height of five feet.	银币堆得像山一样，把五尺高的墙都遮住了。
“I thought the jailer would go mad.	“我觉得那狱卒都快疯了。
He sang and laughed and danced and capered among the gold, till I threatened to strangle him if he made a sound or wasted time.	他又唱，又跳，又笑，在黄金上蹦蹦跳跳，直到我吓唬他说，要是他浪费时间，或者闹出响声，就把他掐死。
In his joy he did not notice at first the table where the diamonds lay.	他欣喜若狂，起先没有看到一张堆满钻石的桌子。
I flung myself upon these, and deftly filled the pockets of my sailor jacket and trousers with the stones.	我十分敏捷地扑过去，把钻石装满我的水手上衣和长裤口袋。
Ah!	啊！
Heaven, I did not take the third of them.	天哪，我拿的还不到三分之一呢。
Gold ingots lay underneath the table.	这张桌子下面放着金条。
I persuaded my companion to fill as many bags as we could carry with the gold, and made him understand that this was our only chance of escaping detection abroad.	我说服我的同伴将金子尽量多地装满口袋，直到我们拿不走为止。我告诉他，这是在国外逃避侦查的唯一方法。
“‘Pearls, rubies, and diamonds might be recognized,’ I told him.	“珍珠、首饰、钻石会让人认出我们。”我对他说。
“Covetous though we were, we could not possibly take more than two thousand livres weight of gold, which meant six journeys across the prison to the gondola.	“不管我们多么贪婪，我们只能拿走两千斤金子，这需要从监狱到船上来回搬六次。
The sentinel at the water gate was bribed with a bag containing ten livres weight of gold; and as far as the two gondoliers, they believed they were serving the Republic.	我们用一袋十里弗重的金子收买了通往河边那个门口的哨兵。至于两个船夫，他们以为在为共和国效劳。
At daybreak we set out.	破晓时我们动身了。
“Once upon the open sea, when I thought of that night, when I recollected all that I had felt, when the vision of that great hoard rose before my eyes, and I computed that I had left behind thirty millions in silver, twenty in gold, and many more in diamonds, pearls, and rubies—then a sort of madness began to work in me.	“我们到了无垠的大海上。我开始回忆这一夜的情景和当时的感受，重新盘算起这巨大的宝库。据我的估算，我留下的有三千万银币、两千万黄金和几百万钻石、珍珠和红宝石——我的内心开始躁动不已。
I had the gold fever.	我对黄金贪得无厌。
“We landed at Smyrna and took ship at once for France.	“我们在士麦那上岸，随即又坐船开往法国。
As we went on board the French vessel, Heaven favored me by ridding me of my accomplice.	由于我们上了一艘法国船，上帝给我开恩，让我摆脱了我的同谋。
I did not think at the time of all the possible consequences of this mishap, and rejoiced not a little.	当时，我不去想这件碰巧干下的坏事会有什么后果，只觉得好不快活。
We were so completely unnerved by all that had happened, that we were stupid, we said not a word to each other, we waited till it should be safe to enjoy ourselves at our ease.	我们紧张过度，坐在那里发呆，默默无言。我们等待安全无虞之后，可以痛痛快快地享乐。
It was not wonderful that the rogue’s head was dizzy.	这家伙昏头昏脑是不足为怪的。
You shall see how heavily God has punished me.	你会看到上帝给了我多么严重的惩罚。
“I never knew a quiet moment until I had sold two-thirds of my diamonds in London or Amsterdam, and held the value of my gold dust in a negotiable shape.	“直到在伦敦和阿姆斯特丹卖掉三分之二的钻石，并把零碎黄金兑换成商业证券，我才感到放心。
For five years I hid myself in Madrid, then in 1770 I came to Paris with a Spanish name, and led as brilliant a life as may be.	我在马德里躲了五年。后来，1770年，我用一个西班牙假名来到了巴黎，生活过得极其奢华。
Then in the midst of my pleasures, as I enjoyed a fortune of six millions, I was smitten with blindness.	当时我拥有六百万财产。就在纵情欢乐之中，我双目失明了。
I do not doubt but that my infirmity was brought on by my sojourn in the cell and my work in the stone, if, indeed, my peculiar faculty for ‘seeing’ gold was not an abuse of the power of sight which predestined me to lose it.	我毫不怀疑，我的残疾也是由于在黑牢呆过，挖掘石块的结果。但是，实际上，基于我的特殊才能——爱‘看黄金’导致视力使用过度，也是注定了要失明的。
Bianca was dead.	毕昂卡已经去世。
“At this time I had fallen in love with a woman to whom I thought to link my fate.	“那时，我深爱着一个女人，打算与她共结连理。
I had told her the secret of my name; she belonged to a powerful family; she was a friend of Mme. du Barry; I hoped everything from the favor shown me by Louis XV.; I trusted in her.	我对她说出了我姓名的秘密。她属于一个很有势力的家族，她是杜巴里夫人的朋友。我期望路易十五给我隆恩，我很信任这个女人。
Acting on her advice, I went to London to consult a famous oculist, and after a stay of several months in London she deserted me in Hyde Park.	根据她的建议，我去看伦敦的一个著名的眼科大夫。但是，在伦敦待了几个月以后，这个女人将我抛弃在海德公园。
She had stripped me of all that I had, and left me without resource.	她把我的全部财产席卷一空，不给我留下一丁点儿钱。
Nor could I make complaint, for to disclose my name was to lay myself open to the vengeance of my native city; I could appeal to no one for aid, I feared Venice.	我无处抱怨，我的真名会招致威尼斯方面的报复，我只得隐姓埋名，无法乞哀告怜，我害怕威尼斯。
The woman put spies about me to exploit my infirmity.	这个女人事先安排了一些暗探盯住我，我的残疾正好为他们所利用。
I spare you a tale of adventures worthy of Gil Blas.—Your Revolution followed.	我的遭遇堪与吉尔·布拉斯相比，我就不再赘述了。你们的大革命紧接着就爆发了。
For two whole years that creature kept me at the Bicetre as a lunatic, then she gained admittance for me at the Blind Asylum; there was no help for it, I went.	我不得不进了盲人院。这个女人把我当疯子一样在比塞特收容院关了两年，才让我进了这个盲人院。虽然那里对我的病并无益处，可我还是去了。
I could not kill her; I could not see; and I was so poor that I could not pay another arm.	我根本杀不了她，我什么也看不见，而且我太穷，雇不起帮手。
“If only I had taken counsel with my jailer, Benedetto Carpi, before I lost him, I might have known the exact position of my cell, I might have found my way back to the Treasury and returned to Venice when Napoleon crushed the Republic—	“如果我在失去我的监狱看守贝内代托·卡尔皮之前，曾向他打听过那个黑牢的位置，我就能再找到那个宝库，在拿破仑征服了共和国以后，我可能已经找到办法回到威尼斯——
“Still, blind as I am, let us go back to Venice!	“尽管我眼瞎了，我们还是要到威尼斯去！
I shall find the door of my prison, I shall see the gold through the prison walls, I shall hear it where it lies under the water; for the events which brought about the fall of Venice befell in such a way that the secret of the hoard must have perished with Bianca’s brother, Vendramin, a doge to whom I looked to make my peace with the Ten.	我会找到那座监狱的门，透过墙壁看到金子，我会嗅出埋在水底下的黄金。因为推翻威尼斯当局的事件来势汹汹，这个宝库的秘密大概同毕昂卡的兄弟文德拉米诺一起逝去了。他当过总督，我希望他已为我取得十人委员会的谅解。
I sent memorials to the First Consul; I proposed an agreement with the Emperor of Austria; every one sent me about my business for a lunatic.	我给第一执政写过信，也曾向奥地利皇帝提议订个协议，但他们都把我当作疯子，婉言拒绝了！
Come! we will go to Venice; let us set out as beggars, we shall come back millionaires.	来吧！我们一起动身上威尼斯，出发时是乞丐，回来时就会是百万富翁。
We will buy back some of my estates, and you shall be my heir!	我们赎回我的产业，您将是我的继承人！
You shall be Prince of Varese!”	您将是瓦雷泽亲王！”
My head was swimming.	我的头晕晕乎乎的。
For me his confidences reached the proportions of tragedy; at the sight of that white head of his and beyond it the black water in the trenches of the Bastille lying still as a canal in Venice, I had no words to answer him.	在我看来，他的这种信心只能给他带来悲剧。我看着他的满头白发，还有他身后巴士底的壕沟黑黝黝的水，这静止的水好似威尼斯运河的河水，我实在想不出用什么语言答复他。
Facino Cane thought, no doubt, that I judged him, as the rest had done, with a disdainful pity; his gesture expressed the whole philosophy of despair.	毋庸置疑，法西诺·卡内肯定以为我像别人一样看待他。他带着又怜悯又蔑视的态度做了一个手势，这手势包涵了失望的全部内涵。
Perhaps his story had taken him back to happy days and to Venice.	这番叙述或许又把他带回到威尼斯那些幸福的日子里。
He caught up his clarionet and made plaintive music, playing a Venetian boat-song with something of his lost skill, the skill of the young patrician lover.	他抓起单簧管，忧郁地吹起了一支威尼斯歌曲。在演奏这首船夫曲时，他恢复了早年的才华，多情贵族的那种才华。
It was a sort of Super flumina Babylonis.	这首曲子有点儿像演奏《巴比伦河畔》。
Tears filled my eyes.	我泪水盈眶。
Any belated persons walking along the Boulevard Bourdon must have stood still to listen to an exile’s last prayer, a last cry of regret for a lost name, mingled with memories of Bianca.	倘若有几个迟归的路人刚巧经过波尔东大街，不用说，他们会停住脚步，倾听这个被放逐的人最后的祈愿，倾听一个隐姓埋名的人最后的怀念，其中还混合了对毕昂卡的缅怀。
But gold soon gained the upper hand, the fatal passion quenched the light of youth.	但不久金钱欲又占据了上风，这种无法抵御的嗜好使青春之光熄灭了。
“I see it always,” he said; “dreaming or waking, I see it; and as I pace to and fro, I pace in the Treasury, and the diamonds sparkle.	“我总是能看见它，”他对我说，“无论醒着还是在梦中，我始终看到它，我在宝库里面踱步，钻石闪闪发光。
I am not as blind as you think; gold and diamonds light up my night, the night of the last Facino Cane, for my title passes to the Memmi.	我并不像您以为的那样看不见东西，黄金和钻石照亮了我的黑夜，最后一个法西诺·卡内的黑夜，因为我的贵族头衔已转给梅米家了。
My God! the murderer’s punishment was not long delayed!	天啊！对我杀人的惩罚来得实在太早了！
Ave Maria,” and he repeated several prayers that I did not heed.	圣母玛利亚……”他又重复了几首悼词，但是我没有听清楚。
“We will go to Venice!” I said, when he rose.	“我们一起到威尼斯去！”我在他站起来的时候说道。
“Then I have found a man!” he cried, with his face on fire.	“我终于找到了一个人！”他脸色潮红地嚷道。
I gave him my arm and went home with him.	我让他挽住我的胳膊，把他送回去。
We reached the gates of the Blind Asylum just as some of the wedding guests were returning along the street, shouting at the top of their voices.	我们走到盲人院的门口，这时，有几个参加婚礼的人回来了，大声高喊着。
He squeezed my hand.	他握紧我的手。
“Shall we start to-morrow?” he asked.	“我们明天就出发？”他问道。
“As soon as we can get some money.”	“等我们有了钱就马上动身。”
“But we can go on foot.	“可是，我们可以走着去。
I will beg.	我沿途行乞。
I am strong, and you feel young when you see gold before you.”	我身子骨很硬朗，而且一个人只要看到金子在眼前，就会觉得年轻。”
Facino Cane died before the winter was out after a two months’ illness.	法西诺·卡内在冬天生了两个月的病，然后就与世长辞了。
The poor man had taken a chill.	可怜的人患的是重伤风。
PARIS, March 1836.	1836年3月，于巴黎。

