"远在他乡","In a Far Country"
"除此之外，又有了新的麻烦——对北方的恐惧。这种恐惧是极度的寒冷和极度的沉默共同造成的，它出现在十二月的黑暗中，那时太阳永远地没入了南地平线以下。这种恐惧对本性不同的两个人产生了不同的影响。韦瑟比成为了极端迷信的俘虏，他竭尽全力去复活那些在被遗忘的坟墓里沉睡的灵魂。这是一件吸引人的事，在他的梦中，那些灵魂从寒冷中走到他面前，依偎在他的毛毯里，给他讲述死之前的辛劳和麻烦。当他们越来越靠近他，还把冰冻的四肢缠绕在他的身上时，这样冷而黏湿的触觉让他缩了回来，而当他们在他的耳边低语将要发生的事时，木屋内就充满他惊恐的尖叫声。卡斯费特不理解——因为他们不再说话，而当他被惊醒时，总是会去抓他的左轮手枪。然后他会在床上坐起来，紧张地颤抖着，用枪瞄准那个毫无意识的、做梦的人。卡斯费特认为这个人快疯了，也开始为自己的生命担忧。","To all this was added a new trouble,—the Fear of the North.This Fear was the joint child of the Great Cold and the Great Silence, and was born in the darkness of December, when the sun dipped below the southern horizon for good.It affected them according to their natures.Weatherbee fell prey to the grosser superstitions, and did his best to resurrect the spirits which slept in the forgotten graves.It was a fascinating thing, and in his dreams they came to him from out of the cold, and snuggled into his blankets, and told him of their toils and troubles ere they died.He shrank away from the clammy contact as they drew closer and twined their frozen limbs about him, and when they whispered in his ear of things to come, the cabin rang with his frightened shrieks.Cuthfert did not understand,—for they no longer spoke,—and when thus awakened he invariably grabbed for his revolver.Then he would sit up in bed, shivering nervously, with the weapon trained on the unconscious dreamer.Cuthfert deemed the man going mad, and so came to fear for his life."
"他自己的病以一种不太具体的形式呈现出来。那个用一根根木头搭起了木屋的神秘手艺人，把一个风向标钉到了木屋的脊梁上。卡斯费特注意到它总是指着南方，有一天，他被风向标顽固的意志惹恼了，把它转向了东边。他急切地注视着，但是没有喘一口气去干扰它。然后他使风向标朝北，发誓在风吹动它之前再也不碰它。但是空气出奇地平静，让他害怕，他经常半夜起来看那个风向标是否转向了——哪怕十度的转角就能让他满意了。但是没有，它平稳地立在上方，如命运一般不可改变。他想入非非，直到它成为他的一个物神。有时他沿着它指引的道路穿过那片阴郁的领土，允许自己的灵魂充满了那种恐惧。他总是想着看不到的和未知的东西，直到那永远的负担好像要压垮他。北地的任何东西都有压垮人的作用——没有生命，也没有动静，一片黑暗，压抑的土地上是无尽的静谧，那种恐怖的沉默让每一个心跳的回音成了渎神的行为，那庄重的森林好像守护着一个令人敬畏的、无法形容的东西，这个东西用语言或者思想都无法界定。","His own malady assumed a less concrete form.The mysterious artisan who had laid the cabin, log by log, had pegged a wind-vane to the ridge-pole.Cuthfert noticed it always pointed south, and one day, irritated by its steadfastness of purpose, he turned it toward the east.He watched eagerly, but never a breath came by to disturb it.Then he turned the vane to the north, swearing never again to touch it till the wind did blow.But the air frightened him with its unearthly calm, and he often rose in the middle of the night to see if the vane had veered,—ten degrees would have satisfied him.But no, it poised above him as unchangeable as fate.His imagination ran riot, till it became to him a fetich.Sometimes he followed the path it pointed across the dismal dominions, and allowed his soul to become saturated with the Fear.He dwelt upon the unseen and the unknown till the burden of eternity appeared to be crushing him.Everything in the Northland had that crushing effect,—the absence of life and motion; the darkness; the infinite peace of the brooding land; the ghastly silence, which made the echo of each heart-beat a sacrilege; the solemn forest which seemed to guard an awful, inexpressible something, which neither word nor thought could compass."
"他最近才离开的那个世界，有着忙碌国民和伟大事业的世界，似乎很遥远了。记忆中的往事偶尔会闯进来——回忆起市场、美术馆和拥挤的大街，回忆起晚礼服和社交集会，回忆起他认识的好男人和可爱女人，但是这些只是他以前生活的模糊记忆，那是很多个世纪之前在别的星球上的生活。这种幻觉才是现实。站在风向标下面，他的眼睛紧盯着极地的天空，他不能使自己意识到南方真的存在，也意识不到此时那里充满着生命和活动的喧嚣。这里没有南方，没有女人生出来的男人，也没有婚姻中的付出和索取。在荒凉的天际外延伸着巨大的孤独，而在这些孤独之外是更大的孤独。这里没有阳光照耀的土地，没有弥漫着的浓郁花香。这些东西只是极乐世界的旧梦。西方的阳光之地和东方的香料之地，生机盎然的世外桃源和让人乐而忘忧的极乐岛，哈！哈！他的笑声打破了孤寂，而那异常的声音吓了他一跳。这里没有太阳。这就是世界，死寂、阴冷、黑暗，而他是这个世界上唯一的公民。韦瑟比？这时候韦瑟比已经不算是人了。他是个卑下而凶残的东西，是个可恶的幽灵，纠缠了他无数年，是某种已被遗忘的罪名带来的惩罚。","The world he had so recently left, with its busy nations and great enterprises, seemed very far away.Recollections occasionally obtruded,—recollections of marts and galleries and crowded thoroughfares, of evening dress and social functions, of good men and dear women he had known,—but they were dim memories of a life he had lived long centuries agone, on some other planet.This phantasm was the Reality.Standing beneath the wind-vane, his eyes fixed on the polar skies, he could not bring himself to realize that the Southland really existed, that at that very moment it was a-roar with life and action.There was no Southland, no men being born of women, no giving and taking in marriage.Beyond his bleak sky-line there stretched vast solitudes, and beyond these still vaster solitudes.There were no lands of sunshine, heavy with the perfume of flowers.Such things were only old dreams of paradise.The sunlands of the West and the spicelands of the East, the smiling Arcadias and blissful Islands of the Blest,—ha! ha!His laughter split the void and shocked him with its unwonted sound.There was no sun.This was the Universe, dead and cold and dark, and he its only citizen.Weatherbee?At such moments Weatherbee did not count.He was a Caliban, a monstrous phantom, fettered to him for untold ages, the penalty of some forgotten crime."
"他和死神活在死人中间，因感觉到自己的卑微而变得衰弱，因为被动地掌控这个使人昏睡的时代而被压垮了。所有东西如此庞大，令他惊恐。任何事物都带有被放大的色彩，除了他自己——风和其他运动完全停止，被冰雪覆盖的荒野一望无垠，天空高不可测，寂静深不可知。那个风向标，它能动一动也好啊。雷电来临，或者森林突然起火都行。或是天空像卷轴一样卷起来，世界末日带来巨响——任何东西，任何东西都行！但是没有，什么也没动。孤寂涌来，对北方的恐惧把冰冷的手指放在他的心上。","He lived with Death among the dead, emasculated by the sense of his own insignificance, crushed by the passive mastery of the slumbering ages.The magnitude of all things appalled him.Everything partook of the superlative save himself,—the perfect cessation of wind and motion, the immensity of the snow-covered wilderness, the height of the sky and the depth of the silence.That wind-vane,—if it would only move.If a thunderbolt would fall, or the forest flare up in flame.The rolling up of the heavens as a scroll, the crash of Doom—anything, anything!But no, nothing moved; the Silence crowded in, and the Fear of the North laid icy fingers on his heart."
"有一次，他像另外一个鲁宾逊一样，在河边偶然看到一行足迹，那是一只雪兔留在易碎的积雪表面的模糊花纹。这是一个启示。在北地有生命存在。他跟着它，看着它，为此沾沾自喜。他忘记了自己肿胀的肌肉，走过厚厚的积雪，满怀期望，欣喜不已。森林吞没了他，正午短暂的微明消失了。但是他继续搜索着，直到筋疲力尽的身体让他无助地躺在了雪地里。在那里他抱怨并诅咒自己的愚蠢，他知道那足迹是他大脑的幻觉。那天深夜，他拖着身子爬进木屋，他的脸冻僵了，而且双脚还有一种奇怪的麻木感。韦瑟比恶毒地呲牙笑着，但并没有给卡斯费特提供任何帮助。他把针扎到了脚趾里，在火炉边解冻后把它们拔了出来。一周以后形成了坏疽。","Once, like another Crusoe, by the edge of the river he came upon a track,—the faint tracery of a snowshoe rabbit on the delicate snow-crust.It was a revelation.There was life in the Northland.He would follow it, look upon it, gloat over it.He forgot his swollen muscles, plunging through the deep snow in an ecstasy of anticipation.The forest swallowed him up, and the brief midday twilight vanished; but he pursued his quest till exhausted nature asserted itself and laid him helpless in the snow.There he groaned and cursed his folly, and knew the track to be the fancy of his brain; and late that night he dragged himself into the cabin on hands and knees, his cheeks frozen and a strange numbness about his feet.Weatherbee grinned malevolently, but made no offer to help him.He thrust needles into his toes and thawed them out by the stove.A week later mortification set in."
"但是那个职员有他自己的麻烦。现在那些死人更加频繁地从他们坟墓里出来，而且很少离开他，无论他是醒着还是睡着。他开始等待并害怕他们的到来，路过那一对石冢时就没有一次不打颤的。一天晚上，他们在他睡觉时来到他身边，然后带着他去完成一个指定的任务。　　　　他吓坏了，话都说不出来，醒来时发现自己在石堆中，就疯狂地逃回木屋。但是他已经躺在那里有一段时间了，因为他的双脚和脸颊都冻僵了。","But the clerk had his own troubles.The dead men came out of their graves more frequently now, and rarely left him, waking or sleeping.He grew to wait and dread their coming, never passing the twin cairns without a shudder.One night they came to him in his sleep and led him forth to an appointed task.Frightened into inarticulate horror, he awoke between the heaps of stones and fled wildly to the cabin.But he had lain there for some time, for his feet and cheeks were also frozen."
"有时他因为他们持续不断的到来变得慌乱不安，绕着木屋跳舞，拿着一把斧头在空气中乱砍，打碎所有够得着的东西。遇到这种可怕的情况时，卡斯费特蜷缩到他的毛毯中，然后跟着这个疯子转，手里拿着一把扳起扳机的左轮手枪，准备在他过于靠近自己时开枪。但是，有一次这个职员发作后清醒过来时，注意到枪口对准他。他起了疑心，而从那时起，他也开始为自己的生命担忧。从那以后他们密切注视着彼此，一旦其中一人从另外一人的背后经过，另外那个人就会惊恐万分地转过身。这种焦虑成为一种狂热，即使在他们睡觉时也控制着他们。对彼此的恐惧使他们心照不宣地让油灯亮一晚上，而且在睡觉之前保证有充足的咸猪肉油脂。其中一方再小的动静都足以唤醒另一方，无数次的寂静中，他们眼神相撞，身体在毛毯下颤抖，手指按着扳机。由于对北方的恐惧、精神上的紧张，还有疾病的侵害，他们已经一点也没有人的样子，而是如野兽一般，惊恐而绝望。作为冻伤的后果，他们的脸颊和鼻子已经变成了黑色。他们冻伤的脚趾已经开始在第一和第二个关节处脱落。每一个动作都会带来痛苦，但是火膛却是不知足的，总需要填燃料，像要从他们痛苦的身体里榨取折磨人的赎金。日复一日，火膛需要食物——名副其实的一磅肉，他们拖着身子到森林里跪着砍柴。有一次，他们正这样爬着找干柴枝，不知道对方从相反的方向进入了同一个灌木丛。突然，在毫无防备的情况下，两个差不多的骷髅迎面相遇了。苦难已经改变了他们很多，以至于辨认出对方是不可能的了。他们跳起来，恐惧地尖叫着，然后拖着损伤的残肢飞快逃跑了；在木屋门口他们倒下了，像魔鬼一样狂抓乱挠，直到他们发现这是误会。","Sometimes he became frantic at their insistent presence, and danced about the cabin, cutting the empty air with an axe, and smashing everything within reach.During these ghostly encounters, Cuthfert huddled into his blankets and followed the madman about with a cocked revolver, ready to shoot him if he came too near.But, recovering from one of these spells, the clerk noticed the weapon trained upon him.His suspicions were aroused, and thenceforth he, too, lived in fear of his life.They watched each other closely after that, and faced about in startled fright whenever either passed behind the other’s back.This apprehensiveness became a mania which controlled them even in their sleep.Through mutual fear they tacitly let the slush-lamp burn all night, and saw to a plentiful supply of bacon-grease before retiring.The slightest movement on the part of one was sufficient to arouse the other, and many a still watch their gazes countered as they shook beneath their blankets with fingers on the trigger-guards.What with the Fear of the North, the mental strain, and the ravages of the disease, they lost all semblance of humanity, taking on the appearance of wild beasts, hunted and desperate.Their cheeks and noses, as an aftermath of the freezing, had turned black.Their frozen toes had begun to drop away at the first and second joints.Every movement brought pain, but the fire box was insatiable, wringing a ransom of torture from their miserable bodies.Day in, day out, it demanded its food,—a veritable pound of flesh,—and they dragged themselves into the forest to chop wood on their knees.Once, crawling thus in search of dry sticks, unknown to each other they entered a thicket from opposite sides.Suddenly, without warning, two peering death’s-heads confronted each other.Suffering had so transformed them that recognition was impossible.They sprang to their feet, shrieking with terror, and dashed away on their mangled stumps; and falling at the cabin door, they clawed and scratched like demons till they discovered their mistake."
"偶尔他们情况正常，在一次神志清醒的间隙，他们把糖——争论的主要话题——平均分了。他们看守着各自的麻袋，眼睛里充满嫉妒，麻袋放在储藏室；因为只剩下几杯的量了，他们对彼此完全失去了信任。但是有一天，卡斯费特犯了一个错误。他基本上不怎么能动了，受着病痛，还头昏眼瞎的。他爬进储藏室，把糖罐拿在手里，错把韦瑟比的麻袋当成了自己的。","Occasionally they lapsed normal, and during one of these sane intervals, the chief bone of contention, the sugar, had been divided equally between them.They guarded their separate sacks, stored up in the cache, with jealous eyes; for there were but a few cupfuls left, and they were totally devoid of faith in each other.But one day Cuthfert made a mistake.Hardly able to move, sick with pain, with his head swimming and eyes blinded, he crept into the cache, sugar canister in hand, and mistook Weatherbee’s sack for his own."
"这事发生时，一月份刚过了没几天。自从太阳过了南回归线，有时候就会在正午时将耀眼的黄色光线照射到北地的天空中。他拿错糖袋的第二天，卡斯费特发现自己感觉好些了，无论是身体上还是精神上。随着正午的临近，天亮起来，他拖着身体出去，尽情享受短暂的光辉，这光辉对他来说是太阳未来动向的预兆。韦瑟比也感觉稍微好些了，他缓慢地走出来，站在卡斯费特旁边。在静止不动的风向标下，他们支撑着身体呆在雪地里，等待着。","January had been born but a few days when this occurred.The sun had some time since passed its lowest southern declination, and at meridian now threw flaunting streaks of yellow light upon the northern sky.On the day following his mistake with the sugar-bag, Cuthfert found himself feeling better, both in body and in spirit.As noontime drew near and the day brightened, he dragged himself outside to feast on the evanescent glow, which was to him an earnest of the sun’s future intentions.Weatherbee was also feeling somewhat better, and crawled out beside him.They propped themselves in the snow beneath the moveless wind-vane, and waited."
"死一般的寂静环绕着他们。在其他地方，当大自然陷入这种气氛时，就有一丝被抑制住的期待，等待着某个微弱的声音占据那断断续续的压力。但是在北方却不是。这两个人好像已经在可怕的静寂中生活了千万年。他们记不起过去的歌，也想象不出未来的歌。这种异常的寂静一直持续着，这是一种永恒的平静的沉默。","The stillness of death was about them.In other climes, when nature falls into such moods, there is a subdued air of expectancy, a waiting for some small voice to take up the broken strain.Not so in the North.The two men had lived seeming aeons in this ghostly peace.They could remember no song of the past; they could conjure no song of the future.This unearthly calm had always been,—the tranquil silence of eternity."
"他们的眼睛紧盯着北方。他们看不到，在他们的背后，在向南延伸的高山背后，太阳朝另外一片天的最高点移去，而不是他们的这片天。他们是天上这幅巨型油画仅有的观赏者，他们注视着不真实的曙光缓慢地增强。微弱的光焰开始发出柔和的光，闷燃着。它的光在增强，微红的黄色、紫色和金黄色这几种颜色变换着。它变得如此明亮，以至于卡斯费特以为太阳肯定就在它的后面——这是一个奇迹，太阳从北方升起来了！突然间，没有任何预兆也没有任何衰退的迹象，这幅油画被擦拭干净了。天空中没有了色彩。白天的光线已经消失了。他们喘息着，几乎要抽泣起来。但是看哪！空气闪着光，掺杂着闪耀的霜粒；在北面，风向标的轮廓在雪中模糊不清。一片阴影！一片阴影！这确实是正午。他们急忙把头扭向南面。一道金边从积雪覆盖的山肩上慢慢显露出来，朝他们微笑片刻，然后又落到视线外了。","Their eyes were fixed upon the north.Unseen, behind their backs, behind the towering mountains to the south, the sun swept toward the zenith of another sky than theirs.Sole spectators of the mighty canvas, they watched the false dawn slowly grow.A faint flame began to glow and smoulder.It deepened in intensity, ringing the changes of reddish-yellow, purple, and saffron.So bright did it become that Cuthfert thought the sun must surely be behind it,—a miracle, the sun rising in the north!Suddenly, without warning and without fading, the canvas was swept clean.There was no color in the sky.The light had gone out of the day.They caught their breaths in half-sobs.But lo! the air was a-glint with particles of scintillating frost, and there, to the north, the wind-vane lay in vague outline on the snow.A shadow!A shadow!It was exactly midday.They jerked their heads hurriedly to the south.A golden rim peeped over the mountain’s snowy shoulder, smiled upon them an instant, then dipped from sight again."
"在寻找对方时，他们眼中含着泪水。他们突然有一种奇怪的被软化的感觉。他们感觉无可抗拒地被对方吸引。太阳又回来了。明天，后天，以及接下来的日子里，太阳都会和他们在一起。每次来临它呆的时间都会长一些，终有一天，它将昼夜停留在他们的天空，再也不会落到天际以下。这里将不再有黑夜。冰封的冬天将会结束，风会吹来，而森林会回应，大地将会沐浴在幸福的阳光下，万物复苏。他们将手牵手，抛掉这令人恐惧的噩梦，返回南部。他们盲目地蹒跚前行，他们的手碰到一起——他们的可怜的残手，戴着连指手套，已经肿胀变形了。","There were tears in their eyes as they sought each other.A strange softening came over them.They felt irresistibly drawn toward each other.The sun was coming back again.It would be with them to-morrow, and the next day, and the next.And it would stay longer every visit, and a time would come when it would ride their heaven day and night, never once dropping below the sky-line.There would be no night.The ice-locked winter would be broken; the winds would blow and the forests answer; the land would bathe in the blessed sunshine, and life renew.Hand in hand, they would quit this horrid dream and journey back to the Southland.They lurched blindly forward, and their hands met,—their poor maimed hands, swollen and distorted beneath their mittens."
"然而承诺注定无法实现。北方就是北方，人们被奇怪的规则弄得心力交瘁，这些规则对于其他那些没有远到他乡的人来说，是无法理解的。","But the promise was destined to remain unfulfilled.The Northland is the Northland, and men work out their souls by strange rules, which other men, who have not journeyed into far countries, cannot come to understand."
"一个小时以后，卡斯费特把一盘面包放进了烤箱，然后开始想他回去以后外科医生会怎么治他的脚。现在家似乎离他们不是很远了。韦瑟比正在储藏室到处翻。突然，他说了一连串的骂人的话，而这叫骂声又突然停止了，让人很吃惊。另外一个人抢了他的糖袋。虽然如此，要是那两个死人不从石头底下出来，并且使那些激烈的言辞安静地呆在在嗓子里，发生的事情也许就不同了。他们轻轻地把他从储物室里带出来，他忘记了要把门关上。绝好的时机到了，他们曾在他梦里悄声告诉他的事情就要发生了。他们慢慢地指引着他，非常慢，把他领到了木柴堆旁，他们把斧头放到了他的手里。然后他们帮助他推开木屋的门，他确信他们在后面关上了门，至少他听到门砰的一声，门闩迅速地落下来。他知道他们就在外面等着，等着他完成他的任务。","An hour later, Cuthfert put a pan of bread into the oven, and fell to speculating on what the surgeons could do with his feet when he got back.Home did not seem so very far away now.Weatherbee was rummaging in the cache.Of a sudden, he raised a whirlwind of blasphemy, which in turn ceased with startling abruptness.The other man had robbed his sugar-sack.Still, things might have happened differently, had not the two dead men come out from under the stones and hushed the hot words in his throat.They led him quite gently from the cache, which he forgot to close.That consummation was reached; that something they had whispered to him in his dreams was about to happen.They guided him gently, very gently, to the woodpile, where they put the axe in his hands.Then they helped him shove open the cabin door, and he felt sure they shut it after him,—at least he heard it slam and the latch fall sharply into place.And he knew they were waiting just without, waiting for him to do his task."
"“卡特！我说呀，卡特！”","“Carter!I say, Carter!”"
"珀西·卡斯费特被职员的神情吓了一跳，他匆忙把桌子放在两个人中间。","Percy Cuthfert was frightened at the look on the clerk’s face, and he made haste to put the table between them."
"卡特·韦瑟比追上去，不慌不忙，也毫无热情。他的脸上既没有怜悯也没有激情，而是坚忍的、冷漠的表情，那是有某项工作要做并有条理地去做的人才有的。","Carter Weatherbee followed, without haste and without enthusiasm.There was neither pity nor passion in his face, but rather the patient, stolid look of one who has certain work to do and goes about it methodically."
"“我说呀，这是出什么事啦？”","“I say, what’s the matter?”"
"职员闪回去，阻断他后退到门口的路，但是他没有开口说话。","The clerk dodged back, cutting off his retreat to the door, but never opening his mouth."
"“我说呀，卡特，我说，让我们谈谈。你是个好人。”","“I say, Carter, I say; let’s talk.There’s a good chap.”"
"艺术家正在飞快地思考着，这时候，他灵巧地侧身跳到床上，那儿放着他的《史密斯和韦森》。他的眼睛注视着那个疯子，他在床上向后滚着，同时抓起手枪。","The master of arts was thinking rapidly, now, shaping a skillful flank movement on the bed where his Smith&Wesson lay.Keeping his eyes on the madman, he rolled backward on the bunk, at the same time clutching the pistol."
"“卡特！”","“Carter!”"
"粉末飞了韦瑟比一脸，但是他还摆动着武器向前跃去。斧头深深地砍在了卡斯费特脊柱的底部，珀西·卡斯费特感觉到他下肢的全部意识离开了他。然后那个职员重重地将他扑倒，用虚弱的手指掐着他的脖子。被斧头猛砍了一下后，卡斯费特丢掉了他的手枪，喘气放松的时候，他在毛毯中漫无目的地摸索着找他的枪。然后他想起来一件事。他把一只手移到了职员腰带上的鞘刀上；最后扭抱在一起时，他们两个人挨得很近。","The powder flashed full in Weatherbee’s face, but he swung his weapon and leaped forward.The axe bit deeply at the base of the spine, and Percy Cuthfert felt all consciousness of his lower limbs leave him.Then the clerk fell heavily upon him, clutching him by the throat with feeble fingers.The sharp bite of the axe had caused Cuthfert to drop the pistol, and as his lungs panted for release, he fumbled aimlessly for it among the blankets.Then he remembered.He slid a hand up the clerk’s belt to the sheath-knife; and they drew very close to each other in that last clinch."
"珀西·卡斯费特感觉力量离开了他。他的下半身没有用了。韦瑟比迟钝的身体重重地压着他，就像一只掉进陷阱的熊一样压着他，并把他固定在那里。这个木屋开始充满着一种熟悉的味道，他知道面包要糊了。然而那又有什么关系呢？他再也不需要它了。六杯糖都在储藏室里，要是他能预见这些，那过去的这些天里他就不会那么省了。风向标会动吗？它现在可能正转向呢。为什么不呢？他今天不是没有见到太阳吗？他应该出去看看。不，现在他不可能动了。他没想到职员有这么重。","Percy Cuthfert felt his strength leave him.The lower portion of his body was useless.The inert weight of Weatherbee crushed him,—crushed him and pinned him there like a bear under a trap.The cabin became filled with a familiar odor, and he knew the bread to be burning.Yet what did it matter?He would never need it.And there were all of six cupfuls of sugar in the cache,—if he had foreseen this he would not have been so saving the last several days.Would the wind-vane ever move?It might even be veering now.Why not?Had he not seen the sun to-day?He would go and see.No; it was impossible to move.He had not thought the clerk so heavy a man."
"木屋冷得真快啊！火一定是灭了。寒气逼进来。温度肯定已经零下了，冰正慢慢爬到门里面来。他看不到它，但是凭借过去的经验，他可以根据木屋里的温度来估计它的进程。那个较低的合页在这之前肯定是白色的。这个故事将会传到世界上吗？他的朋友们将会怎么想？他们可能是喝咖啡时读到的，最有可能的是，他们在俱乐部谈论这件事。他可以清楚地看到他们。“可怜的老卡斯费特，”他们小声说道，“毕竟不算是个坏家伙。”听了他们的颂词，他笑了笑，继续往下寻找蒸气浴室。街道上依旧是原来那群人。奇怪，他们没有注意到他的麋鹿皮软帮鞋和那双破旧的德国袜子。他要乘坐出租马车。洗过澡，刮刮胡子应该不错。不，他要先吃饭。牛排，马铃薯，还有些绿色的东西——它们是多么新鲜啊！那是什么？几方格的蜂蜜，就像流动的液体琥珀。但是他们为什么带来这么多呢？哈！哈！他永远也吃不完。闪闪发光！当然是这样。他把脚放在箱子上。擦鞋的人抬头好奇地看着他，他这才记起自己穿着麋鹿皮软帮鞋，于是匆忙离开了。","How quickly the cabin cooled!The fire must be out.The cold was forcing in.It must be below zero already, and the ice creeping up the inside of the door.He could not see it, but his past experience enabled him to gauge its progress by the cabin’s temperature.The lower hinge must be white ere now.Would the tale of this ever reach the world?How would his friends take it?They would read it over their coffee, most likely, and talk it over at the clubs.He could see them very clearly.“Poor Old Cuthfert,” they murmured; “not such a bad sort of a chap, after all.”He smiled at their eulogies, and passed on in search of a Turkish bath.It was the same old crowd upon the streets.Strange, they did not notice his moosehide moccasins and tattered German socks!He would take a cab.And after the bath a shave would not be bad.No; he would eat first.Steak, and potatoes, and green things,—how fresh it all was!And what was that?Squares of honey, streaming liquid amber!But why did they bring so much?Ha! ha! he could never eat it all.Shine!Why certainly.He put his foot on the box.The bootblack looked curiously up at him, and he remembered his moosehide moccasins and went away hastily."
"留神听！风向标一定是在旋转。不，那只不过是他耳中的耳鸣声。就是那样，只是耳鸣。冰现在肯定已经盖过门闩了。很有可能已经盖住了上面的合页。屋顶杆子上的裂缝中长着苔藓，杆子之间开始出现小霜点。它们长得如此之慢。不，不是那么慢。出现一个新的，又有一个。两个，三个，四个，它们来得太快，都数不过来了。有两个正在一起出现。那边，第三个加入了它们。哎呀，已经没有点了。它们聚在一起，形成了一片。","Hark!The wind-vane must be surely spinning.No; a mere singing in his ears.That was all,—a mere singing.The ice must have passed the latch by now.More likely the upper hinge was covered.Between the moss-chinked roof-poles, little points of frost began to appear.How slowly they grew!No; not so slowly.There was a new one, and there another.Two—three—four; they were coming too fast to count.There were two growing together.And there, a third had joined them.Why, there were no more spots.They had run together and formed a sheet."
"是啊，他本该有个同伴的。如果加布里埃尔打破过北方的寂静，他们就会站在一起了，手牵手，站在巨大的白色君主山前。上帝会评判他们的，上帝会评判他们！","Well, he would have company.If Gabriel ever broke the silence of the North, they would stand together, hand in hand, before the great White Throne.And God would judge them, God would judge them!"
"然后珀西·卡斯费特闭上眼睛睡着了。","Then Percy Cuthfert closed his eyes and dropped off to sleep."
