"作者：弗吉尼亚·伍尔夫","by Virginia Woolf "
"人们不能砍伐树木。世间有上帝。（他在信封背面写下这类启示。）它改变了世界。人不能仇杀。让大家都知晓（他写下来了）。他在等。他在听。一只停歇在对面栏杆上的麻雀啁啾地叫着塞普蒂默斯，塞普蒂默斯，四五声后又拖长调子用希腊语唱起来，声音清脆刺耳，唱着世上怎样没有罪行，又有一只麻雀和它一起拉长尖声用希腊语唱着，怎样没有死亡，它们站在河对岸生命之草地的树丛中，那里有亡灵在行走。","Men must not cut down trees.There is a God.(He noted such revelations on the backs of envelopes.) Change the world.No one kills from hatred.Make it known (he wrote it down).He waited.He listened.A sparrow perched on the railing opposite chirped Septimus, Septimus, four or five times over and went on, drawing its notes out, to sing freshly and piercingly in Greek words how there is no crime and, joined by another sparrow, they sang in voices prolonged and piercing in Greek words, from trees in the meadow of life beyond a river where the dead walk, how there is no death."
"他的手在这里，亡灵在那里。白色的东西积聚在对面栏杆后面。可是他不敢瞧一瞧。埃文斯在那栏杆后面！","There was his hand; there the dead.White things were assembling behind the railings opposite.But he dared not look.Evans was behind the railings!"
"“你说什么呢？”雷齐娅坐在他旁边，忽然开口说话。又一次被打断！她老爱来打断。","“What are you saying?” said Rezia suddenly, sitting down by him.Interrupted again!She was always interrupting."
"远离人群——他们必须逃离人群，他说道（跳了起来），即刻就到那里，树下有些椅子，公园里一长段斜坡宛若一条绿缎带向下倾斜。蓝色和粉色的烟雾形成了高高的天蓬，遥远的、参差不齐的房屋在烟雾弥漫中形成一道壁垒，来往车辆在环形道上嗡嗡作响，在右边，深褐色动物将长脖颈伸出了公园栅栏，又吠又嚎。他们坐在那里的一棵树下。","Away from people—they must get away from people, he said (jumping up), right away over there, where there were chairs beneath a tree and the long slope of the park dipped like a length of green stuff with a ceiling cloth of blue and pink smoke high above, and there was a rampart of far irregular houses hazed in smoke, the traffic hummed in a circle, and on the right, dun-coloured animals stretched long necks over the Zoo palings, barking, howling.There they sat down under a tree."
"“看呀。”她乞求道，指向一群拿着板球门柱的男孩，有一个男孩把脚在地上滑来滑去，脚后跟立住打转，又在地上滑来滑去，好像他正在音乐厅演小丑。","“Look,” she implored him, pointing at a little troop of boys carrying cricket stumps, and one shuffled, spun round on his heel and shuffled, as if he were acting a clown at the music hall."
"“看呀。”她乞求道，因为霍姆斯医生告诉过她要使他关注实实在在的事，到音乐厅去，或打打板球——那是个很合适的游戏，霍姆斯医生说，是一个有益的户外游戏，他丈夫最适合了。","“Look,” she implored him, for Dr. Holmes had told her to make him notice real things, go to a music hall, play cricket—that was the very game, Dr. Holmes said, a nice out-of-door game, the very game for her husband."
"“看呀。”她又说道。","“Look,” she repeated."
"幽冥命令他看，那声音此刻就在与他对话，塞普蒂默斯，人类最伟大的一员，最近刚历经生死的考验，是来复兴社会的上帝，他像床单一样躺在那里，又如仅有阳光才能损毁的雪白毛毯，永远不会耗尽，永远受苦受难，如替罪羊，永恒的蒙难者。然而他不想这样，他呻吟着，挥挥手把永恒的苦难、永恒的寂寥撵走了。","Look the unseen bade him, the voice which now communicated with him who was the greatest of mankind, Septimus, lately taken from life to death, the Lord who had come to renew society, who lay like a coverlet, a snow blanket smitten only by the sun, for ever unwasted, suffering for ever, the scapegoat, the eternal sufferer, but he did not want it, he moaned, putting from him with a wave of his hand that eternal suffering, that eternal loneliness."
"“看呀。”她再次说，因为他在外面不应高声自语。","“Look,” she repeated, for he must not talk aloud to himself out of doors."
"“噢看呀。”她向他乞求。但那有什么好看的？有几头羊。就这些。","“Oh look,” she implored him.But what was there to look at?A few sheep.That was all."
"摄政公园地铁站怎么走——人们可以告知她去摄政公园地铁站的路吗——梅茜·约翰逊想知道。两天前她才从爱丁堡来到这里。","The way to Regent’s Park Tube station—could they tell her the way to Regent’s Park Tube station—Maisie Johnson wanted to know.She was only up from Edinburgh two days ago."
"“这路不对——往那里走！”雷齐娅大喊，挥手示意她到一边去，以防她遇见塞普蒂默斯。","“Not this way—over there!”Rezia exclaimed, waving her aside, lest she should see Septimus."
"这一对看来有些奇怪，梅茜·约翰逊心想。每件事都显得很奇怪。她初次来到伦敦，在莱登霍尔街她叔叔的店里工作，早晨她正走过摄政公园时，椅子上这对夫妇令她吃了一惊；那年轻女人看似外国人，男的显得怪异；所以就算她年纪很大了，她还是会记得这一幕，那时记忆里会浮现出五十年前某个明媚的夏季清晨她如何走过摄政公园的情形。因为她仅十九岁，最终如她所愿，来到伦敦。而现在多奇怪呀，她问路的这对夫妇，女人吃惊地猛一摆手，男人——他看来非常怪异；可能他俩在争吵；可能会永远地分离；她清楚一定有事发生；此刻所有这群人（由于她返回大路上了），这些石坛、这些整洁的花、这些上年纪的男人女人，他们中多数是轮椅上的病患——对于从爱丁堡来的她来说，看来都如此奇怪。梅茜·约翰逊加入了那缓慢跋涉、恍惚凝视、和风拂面的人群——松鼠栖息树上舔着身上的毛，麻雀在喷泉边扑闪着翅膀寻觅面包屑，几条狗忙于围着篱笆嬉戏。而暖融融的空气浸润着他们，令他们对生活固执冷漠的注视增添了些许怪诞与平和——梅茜·约翰逊非常肯定她需要大叫一声“噢”！（因为坐在椅子上那个年轻男人令她吃了一惊。什么事要发生了，她知道。）","Both seemed queer, Maisie Johnson thought.Everything seemed very queer.In London for the first time, come to take up a post at her uncle’s in Leadenhall Street, and now walking through Regent’s Park in the morning, this couple on the chairs gave her quite a turn; the young woman seeming foreign, the man looking queer; so that should she be very old she would still remember and make it jangle again among her memories how she had walked through Regent’s Park on a fine summer’s morning fifty years ago.For she was only nineteen and had got her way at last, to come to London; and now how queer it was, this couple she had asked the way of, and the girl started and jerked her hand, and the man—he seemed awfully odd; quarrelling, perhaps; parting for ever, perhaps; something was up, she knew; and now all these people (for she returned to the Broad Walk), the stone basins, the prim flowers, the old men and women, invalids most of them in Bath chairs—all seemed, after Edinburgh, so queer.And Maisie Johnson, as she joined that gently trudging, vaguely gazing, breeze-kissed company—squirrels perching and preening, sparrow fountains fluttering for crumbs, dogs busy with the railings, busy with each other, while the soft warm air washed over them and lent to the fixed unsurprised gaze with which they received life something whimsical and mollified—Maisie Johnson positively felt she must cry Oh!(for that young man on the seat had given her quite a turn.Something was up, she knew.)"
"恐怖！恐怖！她想大叫。（她离开亲人了，他们告诫过她会出什么事的。）","Horror! horror! she wanted to cry.(She had left her people; they had warned her what would happen.)"
"为什么她不呆在家呢？她大叫着，转动了铁栏杆上的球形捏手。那个女孩，登普斯特夫人想（她留下面包屑喂松鼠，还常在摄政公园吃午餐），仍然什么事都不明白。事实上，对她来说结实一些，动作放松一些，期待适度一些还好点。珀西爱喝酒。哦，最好生个男孩，登普斯特夫人这样想。她经历过艰难的日子，忍不住朝着那样的一位姑娘微笑。你会嫁人的，因为你很美，登普斯特夫人这样想着。嫁人，她想，到时你就知道了。噢，那些厨子，等等。每个男人都有着自己的习惯。要是我早能知道，是否会那样选择呢，登普斯特夫人想，她禁不住盼望和梅茜·约翰逊小声说句话；让她沧桑的老脸上起皱下垂的皮肤感觉到同情的一吻。因为生活是辛苦的，登普斯特夫人想着。她还有什么没付出的吗？红润的脸颊、身材和她的双脚。（她收拢了自己裙下粗肿的双腿。）","Why hadn’t she stayed at home? she cried, twisting the knob of the iron railing.That girl, thought Mrs. Dempster (who saved crusts for the squirrels and often ate her lunch in Regent’s Park), don’t know a thing yet; and really it seemed to her better to be a little stout, a little slack, a little moderate in one’s expectations.Percy drank.Well, better to have a son, thought Mrs. Dempster.She had had a hard time of it, and couldn’t help smiling at a girl like that.You’ll get married, for you’re pretty enough, thought Mrs. Dempster.Get married, she thought, and then you’ll know.Oh, the cooks, and so on.Every man has his ways.But whether I’d have chosen quite like that if I could have known, thought Mrs. Dempster, and could not help wishing to whisper a word to Maisie Johnson; to feel on the creased pouch of her worn old face the kiss of pity.For it’s been a hard life, thought Mrs. Dempster.What hadn’t she given to it?Roses; figure; her feet too.(She drew the knobbed lumps beneath her skirt.)"
"红润的脸颊，她讥讽地想道。尽胡说，我亲爱的。因为实际上，鉴于吃、喝、做爱、倒霉和走运的时日，生活有的不仅是玫瑰。此外，让我来告诉你，卡丽·登普斯特不愿与肯第史城的任何一个女人交换她的命运！然而，她乞求道，同情。同情，为了那逝去的红润面颊。她请求得到伫立在风信子花床边的梅茜·约翰逊的同情。","Roses, she thought sardonically.All trash, m’dear.For really, what with eating, drinking, and mating, the bad days and good, life had been no mere matter of roses, and what was more, let me tell you, Carrie Dempster had no wish to change her lot with any woman’s in Kentish Town!But, she implored, pity.Pity, for the loss of roses.Pity she asked of Maisie Johnson, standing by the hyacinth beds."
"啊，可瞧那飞机！登普斯特夫人不是总想看看外国风土吗？她有个侄儿，一个传教士。飞机疾速冲上云霄。她总是去马盖特出海，但始终让陆地出现在视野之内。可她没有耐心忍受怕水的女人。飞机掠过后就往下坠。她的心快要跳出来了。飞机又升起来了。飞机上有个好样的小伙子，登普斯特夫人保证。飞机疾速地越飞越远，慢慢消逝，越来越高，越过格林威治和所有桅杆，越过遍布灰色教堂的一小块区域，其中有圣保罗大教堂和其他教堂，越过伦敦两边。田野延伸开来，茶褐色森林里勇敢的画眉大胆跳跃着，迅速地一瞥，叼住一只蜗牛往石头上击打，一下、两下、三下。","Ah, but that aeroplane!Hadn’t Mrs. Dempster always longed to see foreign parts?She had a nephew, a missionary.It soared and shot.She always went on the sea at Margate, not out o’ sight of land, but she had no patience with women who were afraid of water.It swept and fell.Her stomach was in her mouth.Up again.There’s a fine young feller aboard of it, Mrs. Dempster wagered, and away and away it went, fast and fading, away and away the aeroplane shot; soaring over Greenwich and all the masts; over the little island of grey churches, St. Paul’s and the rest till, on either side of London, fields spread out and dark brown woods where adventurous thrushes hopping boldly, glancing quickly, snatched the snail and tapped him on a stone, once, twice, thrice."
"飞机越飞越远，直到只剩一个亮点。一种渴望，一种凝聚，一种人类灵魂的象征（本特利先生就是这样认为的，他正在格林威治精力旺盛地平整他的一块草皮），一种人类通过思维、爱因斯坦、推测、数学、孟德尔学说超越自身躯体、摆脱居所的决心的象征，本特利先生一边打扫着雪松周围，一边这样思索着——飞机越飞越远。","Away and away the aeroplane shot, till it was nothing but a bright spark; an aspiration; a concentration; a symbol (so it seemed to Mr. Bentley, vigorously rolling his strip of turf at Greenwich) of man’s soul; of his determination, thought Mr. Bentley, sweeping round the cedar tree, to get outside his body, beyond his house, by means of thought, Einstein, speculation, mathematics, the Mendelian theory—away the aeroplane shot."
"此后，一个衣衫破烂、莫名其妙的人拎着一只皮包站在圣保罗大教堂的台阶上，犹豫不决。因为不知道教堂里会有什么样的慰藉，多么热烈的欢迎，多少旗帜飘飘的坟墓，不是战胜敌人的军队的标志，而是战胜了那令人讨厌的寻找真理的精神的标志。他想这精神使我如今境遇堪忧。而且，大教堂提供志同道合的人，他想着，会邀你成为社团的一员。大人物是它的成员，殉道者为之献身。为什么不到里面去，他想着，随后把装满宣传单的皮包放在圣餐桌和十字架前，它象征着一种超越了寻求、探索和言语表达，完完全全成为精神的、脱离了躯体的、幽灵一样的东西——为什么不到里面去呢？他思索着，正当他犹豫之时，飞机出现在拉德盖特环形广场的上空。","Then, while a seedy-looking nondescript man carrying a leather bag stood on the steps of St. Paul’s Cathedral, and hesitated, for within was what balm, how great a welcome, how many tombs with banners waving over them, tokens of victories not over armies, but over, he thought, that plaguy spirit of truth seeking which leaves me at present without a situation, and more than that, the cathedral offers company, he thought, invites you to membership of a society; great men belong to it; martyrs have died for it; why not enter in, he thought, put this leather bag stuffed with pamphlets before an altar, a cross, the symbol of something which has soared beyond seeking and questing and knocking of words together and has become all spirit, disembodied, ghostly—why not enter in?he thought and while he hesitated out flew the aeroplane over Ludgate Circus."
"真是怪异，真是宁静。除了车辆就听不到其他声音了。看起来飞机好似无人驾驶，自由自在地飞翔。此刻，它转着弯越飞越高，青云直上，似乎出于欣喜若狂、纯粹出于喜悦而攀升，机尾冒出环状白烟，书写出字母T、O、F。","It was strange; it was still.Not a sound was to be heard above the traffic.Unguided it seemed; sped of its own free will.And now, curving up and up, straight up, like something mounting in ecstasy, in pure delight, out from behind poured white smoke looping, writing a T, an O, an F."
"“他们在看什么？”克拉丽莎·达洛维向开门的女佣问道。","“What are they looking at?” said Clarissa Dalloway to the maid who opened her door."
"这座宅子的门厅和地下室一样凉快。达洛维夫人将一只手举在眼前，女佣把门关上时，她听到露西裙子的窸窣声，她觉得自己好似与世隔绝的修女，裹着熟悉的修女的头巾，感觉到过去的虔诚得到了回应。厨师在厨房吹口哨。她听到打字机的咔哒声。这是她的生活。她在大厅的桌边埋着头，接受这影响力，感觉获得了祝福和净化。她拿起记有电话信息的便签本时，心中暗想，这种时刻真是生命之树上的花蕾，它们是黑夜之花（似乎有朵可爱的玫瑰只在她眼前绽放）。她一刻也没信仰过上帝。正因为这样，她更应该在日常生活中报答，她拿起便签本，心里想，在对待佣人，是的，对待狗和金丝雀，尤其是对待理查德——她的丈夫，他是生活的根本——那快乐的声音、绿灯光、甚至那吹哨的厨师，因为沃克夫人是爱尔兰人，所以整天吹哨——人必须用这私自贮存的美好时刻来报答，她思索着，一边擎着便签本。露西站在她身旁，试着解释什么。","The hall of the house was cool as a vault.Mrs. Dalloway raised her hand to her eyes, and, as the maid shut the door to, and she heard the swish of Lucy’s skirts, she felt like a nun who has left the world and feels fold round her the familiar veils and the response to old devotions.The cook whistled in the kitchen.She heard the click of the typewriter.It was her life, and, bending her head over the hall table, she bowed beneath the influence, felt blessed and purified, saying to herself, as she took the pad with the telephone message on it, how moments like this are buds on the tree of life, flowers of darkness they are, she thought (as if some lovely rose had blossomed for her eyes only); not for a moment did she believe in God; but all the more, she thought, taking up the pad, must one repay in daily life to servants, yes, to dogs and canaries, above all to Richard her husband, who was the foundation of it—of the gay sounds, of the green lights, of the cook even whistling, for Mrs. Walker was Irish and whistled all day long—one must pay back from this secret deposit of exquisite moments, she thought, lifting the pad, while Lucy stood by her, trying to explain how"
"“夫人，达洛维先生——”","“Mr. Dalloway, ma’am”—"
"克拉丽莎读着便签本上的电话留言：“布鲁顿女士想知晓达洛维先生今天能否与她一起吃午饭。”","Clarissa read on the telephone pad, “Lady Bruton wishes to know if Mr. Dalloway will lunch with her today.”"
"“夫人，达洛维先生让我跟您说他会在外面吃午餐。”","“Mr. Dalloway, ma’am, told me to tell you he would be lunching out.”"
"“天啊！”克拉丽莎说，露西如她所愿地感受到了她的沮丧（可并不是悲痛），感受到了她俩间的契合，领会了其间隐含之意，思考着名流们之间的爱情，镇定地为她的将来镀金。露西拿过达洛维夫人的阳伞，像是从战场上胜利归来的女神身上卸下神圣的武器，放在伞架上。","“Dear!” said Clarissa, and Lucy shared as she meant her to her disappointment (but not the pang); felt the concord between them; took the hint; thought how the gentry love; gilded her own future with calm; and, taking Mrs. Dalloway’s parasol, handled it like a sacred weapon which a Goddess, having acquitted herself honourably in the field of battle, sheds, and placed it in the umbrella stand."
"“不要再害怕了。”克拉丽莎说道。不用再怕骄阳的酷热。因为布鲁顿女士邀请理查德而没请她赴午餐，这使得她伫立的那一刻都颤抖了，像是河床上一株植物感受到了桨划过时的震动而随之颤抖。因而她震动，她颤抖。","“Fear no more,” said Clarissa.Fear no more the heat o’ the sun; for the shock of Lady Bruton asking Richard to lunch without her made the moment in which she had stood shiver, as a plant on the river-bed feels the shock of a passing oar and shivers: so she rocked: so she shivered."
"米莉森特·布鲁顿没邀请她，听说她的午宴会格外有意思。没什么俗气的妒忌可以将她与理查德分离。可她怕的是光阴本身，在布鲁顿女士脸上她读出了日渐萎缩的生命，就如无情的石头上刻着的日晷。而一年年过去了，她的生命是怎样被一点点切除，剩下的日子太少，不能再像青春岁月那般延伸，吸取生存的色彩、味道和音调。从前她走进一间房间时，她的存在会立刻充满整个房间。站在客厅门口迟疑的那一刻，她会感到非常不安，就像一个跳水运动员起跳前迟疑不决，海水在他身下忽明忽暗，浪涛似乎快要撞击开来，但只是温柔地拨开水面，用珍珠似的水花掀起水藻，翻滚着，随后把它们遮盖和淹没。","Millicent Bruton, whose lunch parties were said to be extraordinarily amusing, had not asked her.No vulgar jealousy could separate her from Richard.But she feared time itself, and read on Lady Bruton’s face, as if it had been a dial cut in impassive stone, the dwindling of life; how year by year her share was sliced; how little the margin that remained was capable any longer of stretching, of absorbing, as in the youthful years, the colours, salts, tones of existence, so that she filled the room she entered, and felt often as she stood hesitating one moment on the threshold of her drawing-room, an exquisite suspense, such as might stay a diver before plunging while the sea darkens and brightens beneath him, and the waves which threaten to break, but only gently split their surface, roll and conceal and encrust as they just turn over the weeds with pearl."
"她将便签本放在了门厅的桌上。她开始缓慢地上楼，手扶着栏杆，仿佛刚参加完一个宴会，那里不时这个朋友、那个朋友令她回想起她的脸庞和声音。仿佛她关上门走出去一个人站着，独自面对这可怕的夜，或者更确切地说，面对这实实在在的六月早上的凝视。她知道这天早上对某些人来说如玫瑰花瓣的光辉一般柔和。当她驻足在打开的楼梯窗边时，她感觉到了这一点。窗外传来了百叶窗轻轻拍打声和狗叫声，传来了白昼的摩擦、锤炼和成熟的声音，她想着想着，便觉得自己瞬间变得枯萎、衰老、胸部干瘪，觉得自己已在门外、在窗外、超越了自己的身躯和此时衰竭的大脑，皆因布鲁顿女士没请她去据称那格外有意思的午宴。","She put the pad on the hall table.She began to go slowly upstairs, with her hand on the bannisters, as if she had left a party, where now this friend now that had flashed back her face, her voice; had shut the door and gone out and stood alone, a single figure against the appalling night, or rather, to be accurate, against the stare of this matter-of-fact June morning; soft with the glow of rose petals for some, she knew, and felt it, as she paused by the open staircase window which let in blinds flapping, dogs barking, let in, she thought, feeling herself suddenly shrivelled, aged, breastless, the grinding, blowing, flowering of the day, out of doors, out of the window, out of her body and brain which now failed, since Lady Bruton, whose lunch parties were said to be extraordinarily amusing, had not asked her."
"恰似一个修女归隐，或一个孩子在宝塔探险，她爬上楼，在窗边驻足片刻，走进洗手间。里面铺着绿色油毡，一只龙头滴着水。生活的中心一片空虚，阁楼上的一间屋子。女人必须卸去她们奢华的衣装。她们必须在中午时分退去衣装。她将针插入针垫，将插着羽毛的黄帽子置于床上。床单很整洁，像一条宽宽的白色带子紧紧地绷在床上。她的床将愈来愈窄。蜡烛的一半燃尽了，她曾经很投入地看马尔博男爵的《回忆录》。她在深夜读了莫斯科撤退的内容。由于议会的会议很长，理查德坚持她生病后睡眠一定不能受到打扰。她实际上更喜欢读莫斯科撤退的内容。他知道。所以她在阁楼上的房间里，一张狭小的床，她躺在那里看书，她睡眠不好，她无法驱散虽然生过孩子却仍存在的处女感，像床单一样紧紧地裹着她。少女时代的她很可爱，忽然某个瞬间——比方说在克利夫登森林下的河上——当时，由于这种冷漠性情，她让他失望了。然后在君士坦丁堡，又一次次发生这种事。她能够看到自己的缺陷。不是美丽，也不是头脑。而是某种渗透全身的非常重要的东西，某种温暖的、能冲破表层，使男女之间或女人之间淡漠的关系能够泛起涟漪的东西。对于这一点，她隐约可以觉察到。她憎恨它，对它有说不出的不安，天知道这不安是从哪里来的，或者，像她感觉的那样，是大自然赋予的（大自然向来是充满智慧的）。但有时她抵抗不住女人的吸引力，不是指一个女孩，而是一个忏悔自己的窘况或者愚蠢行为的女人，她们常这样做。是否是因怜悯，或她们的美丽，或她更年长，或某种巧合——比如一股幽幽的香气，或邻屋的小提琴声（有些时候声音的力量是多么地奇特），她的确感受到了男人的感受。仅仅一瞬间的感受，不过这就够了。这是一个突如其来的启示，恰似脸红的滋味，你设法制止，它却蔓延开来，你也只好任其扩展，匆匆跑向最远的角落，在那里颤抖着，感到世界在紧逼，充满了一种令人吃惊的涵义、一种对极度欢喜的压抑，它冲破了薄薄的表皮倾泻出来，极大地缓解了裂口和疼痛。于是，在那个时刻，她看到了光明。一根火柴在一朵番红花里燃烧。一种内在的含义近乎得到了表达。　可是亲近的撤退了，坚硬的软化了。那一刻——结束了。与这些时刻（包括和女人在一起的时刻）相呼应的是（她脱下帽子）那张床、马尔博男爵的书和燃了半截的蜡烛。她醒着躺在床上，地板嘎吱作响。亮着灯的房间忽然变黑了，要是她抬头，便能隐约听到理查德尽可能温柔地松开门把手时发出的咔哒声，他只穿着袜子溜上了楼，然后却常常把热水袋掉到地上，便咒骂着！她笑死了！","Like a nun withdrawing, or a child exploring a tower, she went upstairs, paused at the window, came to the bathroom.There was the green linoleum and a tap dripping.There was an emptiness about the heart of life; an attic room.Women must put off their rich apparel.At midday they must disrobe.She pierced the pincushion and laid her feathered yellow hat on the bed.The sheets were clean, tight stretched in a broad white band from side to side.Narrower and narrower would her bed be.The candle was half burnt down and she had read deep in Baron Marbot’s Memoirs.She had read late at night of the retreat from Moscow.For the House sat so long that Richard insisted, after her illness, that she must sleep undisturbed.And really she preferred to read of the retreat from Moscow.He knew it.So the room was an attic; the bed narrow; and lying there reading, for she slept badly, she could not dispel a virginity preserved through childbirth which clung to her like a sheet.Lovely in girlhood, suddenly there came a moment—for example on the river beneath the woods at Clieveden—when, through some contraction of this cold spirit, she had failed him.And then at Constantinople, and again and again.She could see what she lacked.It was not beauty; it was not mind.It was something central which permeated; something warm which broke up surfaces and rippled the cold contact of man and woman, or of women together.For THAT she could dimly perceive.She resented it, had a scruple picked up Heaven knows where, or, as she felt, sent by Nature (who is invariably wise); yet she could not resist sometimes yielding to the charm of a woman, not a girl, of a woman confessing, as to her they often did, some scrape, some folly.And whether it was pity, or their beauty, or that she was older, or some accident—like a faint scent, or a violin next door (so strange is the power of sounds at certain moments), she did undoubtedly then feel what men felt.Only for a moment; but it was enough.It was a sudden revelation, a tinge like a blush which one tried to check and then, as it spread, one yielded to its expansion, and rushed to the farthest verge and there quivered and felt the world come closer, swollen with some astonishing significance, some pressure of rapture, which split its thin skin and gushed and poured with an extraordinary alleviation over the cracks and sores!Then, for that moment, she had seen an illumination; a match burning in a crocus; an inner meaning almost expressed.But the close withdrew; the hard softened.It was over—the moment.Against such moments (with women too) there contrasted (as she laid her hat down) the bed and Baron Marbot and the candle half-burnt.Lying awake, the floor creaked; the lit house was suddenly darkened, and if she raised her head she could just hear the click of the handle released as gently as possible by Richard, who slipped upstairs in his socks and then, as often as not, dropped his hot-water bottle and swore!How she laughed!"
"不过这个爱情问题（她思索着，一边放好了她的大衣），爱上女人的问题。以萨莉·西顿为例，过去她与萨莉·西顿的关系。不管怎样，莫非那不就是爱情吗？","But this question of love (she thought, putting her coat away), this falling in love with women.Take Sally Seton; her relation in the old days with Sally Seton.Had not that, after all, been love?"
"萨莉在地板上坐着——她对萨莉的第一印象就是那样——她双手抱膝坐在地板上，抽着烟。那可能是在什么地方？是曼宁家吗？还是金洛克·琼斯家？是在某次宴会上（在哪里她不能确定），因为她清晰地记得问与她一起的男人：“那是谁？”他告诉了她，又说萨莉的父母之间有些隔阂（那是怎样使她震惊啊——一个人的父母居然要争吵）。可一整晚她的视线都无法从萨莉身上移开。这是她最喜欢的那种非凡的美，黑皮肤，大眼睛，还有她无拘无束的个性，似乎她什么都敢说，什么都敢做。这一点在外国女人身上要比在英国女人身上要普遍得多，由于她自己没有这个特点，因此非常羡慕萨莉。萨莉老是说她有着法国血统，祖上曾有人是玛丽·安托瓦妮特的侍者，他被砍了头，传下一只红宝石戒指。或许就是那个夏天萨莉来伯顿小住过一段时间。有一天晚饭后她出人意料地走了进来，口袋里没有一分钱，可怜的海伦娜姑妈非常烦乱，以至于一直都没有原谅她。萨莉家发生了一场争吵。她来她们家的那晚真的没有一分钱——还是当了一枚胸针才有了路费。她是一气之下冲出门的。她们彻夜未眠地聊。就是萨莉第一次使她感觉到伯顿的生活是多么地未经风雨。她根本不知道什么是性——什么是社会问题。她曾有一回看到一个老人倒在田野里死了——她曾见到刚产下小牛犊的母牛。可海伦娜姑妈从不喜欢谈论任何事情（萨莉把威廉·莫里斯的书给她时，不得不用牛皮纸包起来）。她和萨莉坐在顶楼上她的卧房里，一小时又一小时地聊着，聊生活，聊她俩打算怎样改造世界。她俩计划创办一个废除私有财产的社团，确实也写过一封信，尽管并未寄出。当然，这些都是萨莉的主意——可是不久，她就像萨莉那样兴奋——早饭前在床上读柏拉图，读莫里斯。一个小时接着一个小时地读雪莱。","She sat on the floor—that was her first impression of Sally—she sat on the floor with her arms round her knees, smoking a cigarette.Where could it have been?The Mannings?The Kinloch-Jones’s?At some party (where, she could not be certain), for she had a distinct recollection of saying to the man she was with, “Who is THAT?”And he had told her, and said that Sally’s parents did not get on (how that shocked her—that one’s parents should quarrel!).But all that evening she could not take her eyes off Sally.It was an extraordinary beauty of the kind she most admired, dark, large-eyed, with that quality which, since she hadn’t got it herself, she always envied—a sort of abandonment, as if she could say anything, do anything; a quality much commoner in foreigners than in English women.Sally always said she had French blood in her veins, an ancestor had been with Marie Antoinette, had his head cut off, left a ruby ring.Perhaps that summer she came to stay at Bourton, walking in quite unexpectedly without a penny in her pocket, one night after dinner, and upsetting poor Aunt Helena to such an extent that she never forgave her.There had been some quarrel at home.She literally hadn’t a penny that night when she came to them—had pawned a brooch to come down.She had rushed off in a passion.They sat up till all hours of the night talking.Sally it was who made her feel, for the first time, how sheltered the life at Bourton was.She knew nothing about sex—nothing about social problems.She had once seen an old man who had dropped dead in a field—she had seen cows just after their calves were born.But Aunt Helena never liked discussion of anything (when Sally gave her William Morris, it had to be wrapped in brown paper).There they sat, hour after hour, talking in her bedroom at the top of the house, talking about life, how they were to reform the world.They meant to found a society to abolish private property, and actually had a letter written, though not sent out.The ideas were Sally’s, of course—but very soon she was just as excited—read Plato in bed before breakfast; read Morris; read Shelley by the hour."
"萨莉的力量令人惊奇，她的天赋，她的个性。例如，她摆放花的习惯。在伯顿，人们老是把呆板的小花瓶在桌子上摆成一排。萨莉外出了，采下蜀葵、大丽花——各类从未见人们放在一起的花——她剪下花朵，让它们浮在碗中的水面上。在日落时分回来吃饭时见到——那效果非比寻常。（当然，海伦娜姑妈认为如此对待花是邪恶的。）还有她忘了拿海绵，就光着身子跑过走廊。那个冷酷的老女仆，埃伦·阿特金斯，到处嘟囔：“假如哪位绅士看到了如何是好？”她的确令人震惊。她不爱干净，父亲说。","Sally’s power was amazing, her gift, her personality.There was her way with flowers, for instance.At Bourton they always had stiff little vases all the way down the table.Sally went out, picked hollyhocks, dahlias—all sorts of flowers that had never been seen together—cut their heads off, and made them swim on the top of water in bowls.The effect was extraordinary—coming in to dinner in the sunset.(Of course Aunt Helena thought it wicked to treat flowers like that.) Then she forgot her sponge, and ran along the passage naked.That grim old housemaid, Ellen Atkins, went about grumbling—“Suppose any of the gentlemen had seen?”Indeed she did shock people.She was untidy, Papa said."
