"魔鬼和汤姆·沃克","The Devil and Tom Walker"
"他就是这样一笔一笔地捞了不少钱，变成了有钱有势的人，戴着三角帽在交易所里不可一世。照例,为了炫耀，他给自己建了一所大房子；但由于吝啬，房子的大部分都没有修好，也没有布置，就搁置了。在虚荣心极盛的时候，他甚至还备了一架马车，但他却差点儿把拉车的马饿死；未上油的轮子与轴之间磨得咯吱咯吱响，你会以为听到了被压榨的举债人的阴魂。","In this way he made money hand over hand; became a rich and mighty man, and exalted his cocked hat upon change.He built himself, as usual, a vast house, out of ostentation; but left the greater part of it unfinished and unfurnished out of parsimony.He even set up a carriage in the fullness of his vain-glory, though he nearly starved the horses which drew it; and as the ungreased wheels groaned and screeched on the axle trees, you would have thought you heard the souls of the poor debtors he was squeezing."
"可是，汤姆逐渐老了，心事也逐渐重了。把这个世界的好东西弄到手后，他又开始渴望另一个世界的好东西。他懊恼地想着当初与他的黑朋友约定的交易，开始苦心筹划欺骗他的朋友，不履行那些条件。因此，他突然变成个热衷于去教堂的人。他的祷告声音很大，很有力，好像肺部的力量可以占领天堂一样。事实上，你能从他每个星期日的祷告声中，听出他每周什么时候作孽最重。那些安安静静，一直在虔诚地走向天国的基督徒，惊讶地看到自己被这个半路出家的人超越，都深深陷入自责。汤姆对待宗教事务就像处理财务一样严格。他常常会严厉地监督和斥责邻居，好像每一个记在他们账上的罪过，都会变成他自己账上的功德。他甚至谈论恢复对教友会和再浸礼会教徒迫害的益处。总之，汤姆对宗教的热忱和他的财富一样，臭名昭著。","As Tom waxed old, however, he grew thoughtful.Having secured the good things of this world, he began to feel anxious about those of the next.He thought with regret on the bargain he had made with his black friend, and set his wits to work to cheat him out of the conditions.He became, therefore, all of a sudden, a violent church-goer.He prayed loudly and strenuously as if heaven were to be taken by force of lungs.Indeed, one might always tell when he had sinned most during the week, by the clamor of his Sunday devotion.The quiet Christians who had been modestly and steadfastly travelling Zion-ward, were struck with self-reproach at seeing themselves so suddenly outstripped in their career by this new-made convert.Tom was as rigid in religious, as in money matters; he was a stern supervisor and censurer of his neighbors, and seemed to think every sin entered up to their account became a credit on his own side of the page.He even talked of the expediency of reviving the persecution of quakers and anabaptists.In a word, Tom’s zeal became as notorious as his riches."
"但是，尽管他严格注重宗教形式，心里却总潜伏着一种恐惧，魔鬼最终会回来要账的。为了不至于毫无防备地被抓走，他总在上衣口袋里放一小本圣经。他也在账房的写字台上放一本大的对开圣经，找他做生意的人常常看到他在读经文；这时，他会把绿眼镜放在书上，做个记号，转过头来一如既往地放高利贷。","Still, in spite of all this strenuous attention to forms, Tom had a Lurking dread that the devil, after all, would have his due.That he might not be taken unawares, therefore, it is said he always carried a small Bible in his coat pocket.He had also a great folio Bible on his counting-house desk, and would frequently be found reading it when people called on business; on such occasions he would lay his green spectacles on the book, to mark the place, while he turned round to drive some usurious bargain."
"有人说汤姆上了年纪，有点儿精神错乱，想象自己的末日就要来了，他给马装上新的马蹄铁，配好马鞍，上好笼头，把它四蹄朝上埋了，因为他认为到了末日，这个世界会上下颠倒，这样，他就会发现马已备好，等着他骑上去。他决定在万不得已时，骑马一走了之，逃避他的老朋友。但是，这只是老太婆们的无稽之谈。如果他真的做过这种预先防范，那也完全是多余的，至少古老的传说里是这样讲的。故事结尾如下：","Some say that Tom grew a little crack-brained in his old days, and that fancying his end approaching, he had his horse new shod, saddled and bridled, and buried with his feet uppermost; because he supposed that at the last day the world would be turned upside down; in which case he should find his horse standing ready for mounting, and he was determined at the worst to give his old friend a run for it.This, however, is probably a mere old wives’ fable.If he really did take such a precaution it was totally superfluous; at least so says the authentic old legend, which closes his story in the following manner:"
"一个炎热夏季的午后，黑压压的暴风骤雨就要来了，汤姆正好坐在账房里，戴着白麻纱便帽，穿着印度丝绸晨衣。他正要取消一个倒霉的土地投机商人赎回抵押物的权利，这将使得这位倒霉的投机商完全破产，虽然汤姆声称与之交情深厚。可怜的土地投机商请求给他几个月的宽限。汤姆于是变得愤怒、不耐烦，连推迟一天也不答应。","On one hot afternoon in the dog days, just as a terrible black thunder-gust was coming up, Tom sat in his counting-house in his white linen cap and India silk morning-gown.He was on the point of foreclosing a mortgage, by which he would complete the ruin of an unlucky land speculator for whom he had professed the greatest friendship.The poor land jobber begged him to grant a few months’ indulgence.Tom had grown testy and irritated and refused another day."
"“我将会倾家荡产，一家人只好去救济院。”土地投机商说道。","“My family will be ruined and brought upon the parish,” said the land jobber."
"“仁爱始于家，”汤姆回答，“我在艰难时期首先要照顾自己。”","“Charity begins at home,” replied Tom, “I must take care of myself in these hard times.”"
"“你已经赚了我不少钱了。”投机商人说道。","“You have made so much money out of me,” said the speculator."
"汤姆失去了耐心，也忘了虔诚，说道：“如果我赚了你一丁点儿钱，就让我被魔鬼带走！”","Tom lost his patience and his piety—“The devil take me,” said he, “if I have made a farthing!”"
"这时，街门被人很响地敲了三下。他走出去看看门外是谁。一个黑汉子正在勒住一匹不断嘶鸣，不耐烦地乱蹬乱跳的黑马。","Just then there were three loud knocks at the street door.He stepped out to see who was there.A black man was holding a black horse which neighed and stamped with impatience."
"“汤姆，可找到你了！”黑汉哑着嗓子说。汤姆想缩回去，但是太晚了。他把小本圣经落在了上衣口袋里，大本圣经被桌上正要勾销的抵押凭证盖住了，从没有哪个罪人这么冷不防地被魔鬼捉走。黑汉甩小孩般地把他甩上了马背，用鞭子抽了马一下，驮着汤姆，在暴风雨中飞驰而去。那些职员把笔插在耳朵上，目瞪口呆地透过窗户看着。汤姆·沃克沿着大街，一路飞奔而去，白帽子上下簸动，晨衣在风中飘动，那匹马每跑一步，地面都会冒起火花。等职员再想瞧瞧黑汉时，他已不见踪影了。","“Tom, you’re come for!” said the black fellow, gruffly.Tom shrunk back, but too late.He had left his little Bible at the bottom of his coat pocket, and his big Bible on the desk buried under the mortgage he was about to foreclose: never was sinner taken more unawares.The black man whisked him like a child astride the horse and away he galloped in the midst of a thunder-storm.The clerks stuck their pens behind their ears and stared after him from the windows.Away went Tom Walker, dashing down the street; his white cap bobbing up and down; his morning-gown fluttering in the wind, and his steed striking fire out of the pavement at every bound.When the clerks turned to look for the black man he had disappeared."
"汤姆·沃克再也没回来勾销这张抵押凭证。一个住在沼泽边的乡下人说，在雷雨正急的时候，他听到一路上响亮的马蹄声和呼嚎声。他跑到窗口后，只看到一个影子，就像我所描述的那样，他们骑着疯跑的马，穿过田野，越过山头，一直来到满是黑铁杉的沼泽里，奔向那座印第安古堡。过了一小会儿，一道闪电朝那个方向打过去，整个森林像点着了似的。","Tom Walker never returned to foreclose the mortgage.A countryman who lived on the borders of the swamp, reported that in the height of the thunder-gust he had heard a great clattering of hoofs and a howling along the road, and that when he ran to the window he just caught sight of a figure, such as I have described, on a horse that galloped like mad across the fields, over the hills and down into the black hemlock swamp towards the old Indian fort; and that shortly after a thunder-bolt fell in that direction which seemed to set the whole forest in a blaze."
"波士顿善良的老百姓摇了摇头，耸了耸肩膀。他们从第一次向殖民地移民时起，就已经见惯了巫婆、妖怪和魔鬼的各种把戏，所以他们并没像想象中的那么惊讶。他们委托了几个人保管汤姆的财物。但却没什么好保管的。他们搜查保险箱时，里面所有的债券和抵押凭证都已化为灰烬。装在铁箱子里的金子银子已经变成了木片和刨花了；马厩里躺着两幅枯骨，那两匹饿得半死的马都不见了。第二天，那幢大房子起了火，被夷为平地了。","The good people of Boston shook their heads and shrugged their shoulders, but had been so much accustomed to witches and goblins and tricks of the devil in all kinds of shapes from the first settlement of the colony, that they were not so much horror-struck as might have been expected.Trustees were appointed to take charge of Tom’s effects.There was nothing, however, to administer upon.On searching his coffers all his bonds and mortgages were found reduced to cinders.In place of gold and silver, his iron chest was filled with chips and shavings; two skeletons lay in his stable instead of his half-starved horses, and the very next day his great house took fire and was burnt to the ground."
"这就是汤姆和他的那些不义之财的结局。让所有吝啬的放贷人都把这个故事记在心里吧。这是真实而毋庸置疑的。至今人们还可以看到他从橡树底下掘出基德那笔钱的地洞。每逢狂风暴雨的晚上，附近沼泽和印第安古堡里总会闹鬼，常常会有一个骑在马背上，穿着晨衣，戴着白帽的家伙，那肯定就是放高利贷者的阴魂。事实上，这个故事已经演变成了格言，是新英格兰到处流行的那句名言的起源——魔鬼和汤姆·沃克。","Such was the end of Tom Walker and his ill-gotten wealth.Let all griping money-brokers lay this story to heart.The truth of it is not to be doubted.The very hole under the oak trees, from whence he dug Kidd’s money, is to be seen to this day; and the neighboring swamp and old Indian fort is often haunted in stormy nights by a figure on horseback, in a morning-gown and white cap, which is doubtless the troubled spirit of the usurer.In fact, the story has resolved itself into a proverb, and is the origin of that popular saying prevalent throughout New-England, of “The Devil and Tom Walker.”"
"这些就是我能记起的科德角捕鲸者所讲故事的梗概了。我略掉了一些琐碎的细节，不过当时却让我们很愉快地消磨了一个早晨，直到潮水到来，适合钓鱼的时间过去了，有人提议上岸，在树荫下吃些点心，等待中午炎热退尽。","Such, as nearly as I can recollect, was the tenor of the tale told by the Cape Cod whaler.There were divers trivial particulars which I have omitted, and which wiled away the morning very pleasantly, until the time of tide favorable for fishing being passed, it was proposed that we should go to land, and refresh ourselves under the trees, until the noontide heat should have abated."
"因此，我们就上岸来到了曼哈顿岛的一处阴凉宜人的处所，这里原来归属古老的哈登布鲁克家族。这里我很熟悉，因为我小时候水上探险时常到这来。离我们上岸处不远，有一个古老的荷兰人家的墓穴，就在河边，我和同学很害怕，却也常常拿它编造故事。墓穴里有几副腐烂的棺材，但是我们既害怕又感兴趣，想知道它与位于鬼门关礁石之间的海盗船残骸的关系。有些走私故事也和它有关，尤其是当这个荒僻的地方属于一个绰号为“现款普雷沃斯特”的有名人物的那个时期，大家常悄悄地说他与海外各地都有多次秘密来往。不过，这些事与童年听到的故事混作一团，我们也搞不清楚了。","We accordingly landed on a delectable part of the island of Mannahatta, in that shady and embowered tract formerly under dominion of the ancient family of the Hardenbrooks.It was a spot well known to me in the course of the aquatic expeditions of my boyhood.Not far from where we landed, was an old Dutch family vault, in the side of a bank, which had been an object of great awe and fable among my schoolboy associates.There were several mouldering coffins within; but what gave it a fearful interest with us, was its being connected in our minds with the pirate wreck which lay among the rocks of Hell Gate.There were also stories of smuggling connected with it, particularly during a time that this retired spot was owned by a noted burgher called Ready Money Prevost; a man of whom it was whispered that he had many and mysterious dealings with parts beyond seas.All these things, however, had been jumbled together in our minds in that vague way in which such things are mingled up in the tales of boyhood."
"当我想着这些事的时候，我的伙伴们从装的满满的食篮里拿出了食物铺开。在这炎热的中午，我们在一棵大栗树底下的阴凉处，坐在一直延伸到河边的绿毯子上，享受起来。我懒懒地坐在草地上，回想童年关于这个地方的许多朦胧记忆，像记不清楚的梦的片段一样，重复讲给同伴听，就当作消遣。我讲完后，一位可敬的老先生约翰·乔斯·范德尔莫尔，就是从前给我讲道尔夫·海利格奇遇的老先生，打破了沉默，讲起了他记得的附近发生的一个掘金的故事。我们知道，他是州上讲话最可靠的人之一，就求他把细节讲给我们听，于是，我们便用干净的长烟斗，抽着布拉斯克·摩尔的烟丝，振作精神，可靠的约翰·乔斯·范德尔莫尔便讲起了这样的故事。","While I was musing upon these matters my companions had spread a repast, from the contents of our well-stored pannier, and we solaced ourselves during the warm sunny hours of mid-day under the shade of a broad chestnut, on the cool grassy carpet that swept down to the water’s edge.While lolling on the grass I summoned up the dusky recollections of my boyhood respecting this place, and repeated them like the imperfectly remembered traces of a dream, for the entertainment of my companions.When I had finished, a worthy old burgher, John Josse Vandermoere, the same who once related to me the adventures of Dolph Heyliger, broke silence and observed, that he recollected a story about money-digging which occurred in this very neighborhood.As we knew him to be one of the most authentic narrators of the province we begged him to let us have the particulars, and accordingly, while we refreshed ourselves with a clean long pipe of Blase Moore’s tobacco, the authentic John Josse Vandermoere related the following tale."
