"杀人","To Kill a Man"
"作为回应，她突然伸出左手抓住左轮手枪，把它拿过来。她先于他行动，而这也是必要的，因为下一刻他就突然抬起身侧的手去抓枪，可枪已经不在那儿了，他抓了个空。","For answer, her left hand flashed out to the revolver and brought it back.She had had the start of him, and she needed it, for the next instant his hand leaped up from his side, clutching emptiness where the revolver had been."
"“坐下！”她严厉地命令道，这次的口气很不同，“不许动，把你的手放在桌子上。”","“Sit down!” she commanded sharply, in a voice new to him.“Don’t move.Keep your hands on the table.”"
"她从他身上吸取到了教训。她没有将这把重型武器平举起来，而是将枪柄和前臂抵在桌子上，枪口对准他的胸膛，而不是他的头。他冷静地看着，服从了她的命令，他知道就凭枪的后坐力就一定会打中。他还注意到这把左轮手枪并没有晃动，手也没抖，他非常清楚这软头子弹能打多大的洞。他的眼睛不是在看她，而是盯着在食指扣动扳机产生的压力的作用下升起的击铁。","She had taken a lesson from him.Instead of holding the heavy weapon extended, the butt of it and her forearm rested on the table, the muzzle pointed, not at his head, but his chest.And he, looking coolly and obeying her commands, knew there was no chance of the kick-up of the recoil producing a miss.Also, he saw that the revolver did not wabble, nor the hand shake, and he was thoroughly conversant with the size of hole the soft-nosed bullets could make.He had eyes, not for her, but for the hammer, which had risen under the pressure of her forefinger on the trigger."
"“我想我最好警告你，扳机活动的地方被锉得相当光滑。别扣得太用力，否则我身上就得打个核桃大小的洞了。”","“I reckon I’d best warn you that that there trigger-pull is filed dreadful fine.Don’t press too hard, or I’ll have a hole in me the size of a walnut.”"
"她把击铁往下松了松。","She slacked the hammer partly down."
"“那样好些，”他说，“你最好把枪彻底放下。你看它多容易操作，要是你想的话，轻轻一扣它就走火了，然后把你漂亮的地板弄得一团糟。”","“That’s better,” he commented.“You’d best put it down all the way.You see how easy it works.If you want to, a quick light pull will jiffy her up and back and make a pretty mess all over your nice floor.”"
"身后的门开了，他听见有人进了屋。但他没有回头。他正看着她，在她身上发现了另一个女人的脸孔——严酷、冷漠、无情，却又美丽而聪明。这双眼睛也很严酷，尽管闪着冰冷的目光。","A door opened behind him, and he heard somebody enter the room.But he did not turn his bead.He was looking at her, and he found it the face of another woman—hard, cold, pitiless yet brilliant in its beauty.The eyes, too, were hard, though blazing with a cold light."
"“托马斯，”她命令道，“去给警察打电话。为什么这么久你才有回应？”","“Thomas,” she commanded, “go to the telephone and call the police.Why were you so long in answering?”"
"“我一听到电铃就赶来了，夫人。”仆人回答说。","“I came as soon as I heard the bell, madam,” was the answer."
"这个盗贼一直盯着她的眼睛，她也没有把目光移开，只是在提到电铃时，她注意到他的眼中闪过一丝困惑。","The robber never took his eyes from hers, nor did she from his, but at mention of the bell she noticed that his eyes were puzzled for the moment."
"“对不起，”身后的男佣说，“我去拿把武器，把仆人们也都叫醒不是更好吗？”","“Beg your pardon,” said the butler from behind, “but wouldn’t it be better for me to get a weapon and arouse the servants?”"
"“不，给警察打电话。我能制住这个人。去打电话——快。”","“No; ring for the police.I can hold this man.Go and do it—quickly.”"
"男佣穿着拖鞋走出了屋子，这个男人和这个女人继续坐在那儿，凝视着彼此的眼睛。对她来说这是一次十分愉快的经历，她脑子里想的是自己圈子里的人对她的小声议论，她也预见到社会周刊上关于年轻美丽的赛特利夫夫人单枪匹马制服持枪劫匪的报道。她确定会引起一场轰动。","The butler slippered out of the room, and the man and the woman sat on, gazing into each other’s eyes.To her it was an experience keen with enjoyment, and in her mind was the gossip of her crowd, and she saw notes in the society weeklies of the beautiful young Mrs. Setliffe capturing an armed robber single-handed.It would create a sensation, she was sure."
"“当你受到你曾提到的刑罚时，”她冷冷地说，“你会有时间想想你都有多愚蠢——侵犯他人财产，持枪威胁妇女。你会有时间彻底地吸取教训。现在说实话吧，你没有什么身陷困境的朋友，你告诉我的都是一派谎言。”","“When you get that sentence you mentioned,” she said coldly, “you will have time to meditate upon what a fool you have been, taking other persons’ property and threatening women with revolvers.You will have time to learn your lesson thoroughly.Now tell the truth.You haven’t any friend in trouble.All that you told me was lies.”"
"他没有回答。尽管他的眼睛盯着她，却是一片茫然。顷刻间，她的真面目展现在他的面前。他看到了阳光沐浴下广阔的西部空地，那里的男人和女人都比他在这个堕落太多的东部城市里遇见的居民要大度、亲切。","He did not reply.Though his eyes were upon her, they seemed blank.In truth, for the instant she was veiled to him, and what he saw was the wide sunwashed spaces of the West, where men and women were bigger than the rotten denizens, as he had encountered them, of the thrice rotten cities of the East."
"“继续，你为什么不说话？你为什么不再多扯些谎话？你为什么不请求我放走你？”","“Go on.Why don’t you speak?Why don’t you lie some more?Why don’t you beg to be let off?”"
"“我可能会，”他回答说，一边舔了舔自己干裂的嘴唇，“我可能会请求你放走我，如果……”","“I might,” he answered, licking his dry lips.“I might ask to be let off if…”"
"“如果什么？”在他停顿的时候，她专横地问道。","“If what?” she demanded peremptorily, as he paused."
"“我是要想出个你让我联想到的词。就像我刚才所说的，你要是个体面的女人，我就可能会请求你放走我。”","“I was trying to think of a word you reminded me of.As I was saying, I might if you was a decent woman.”"
"她的脸色变得苍白。","Her face paled."
"“小心点儿。”她警告说。","“Be careful,” she warned."
"“你不会杀死我的，”他冷笑着说，“有你这样的人晃悠在这世上，世界可真是个可鄙的地方，但我想它还没可鄙到让你向我开枪的地步。你确实很坏，但你的麻烦是你还不够坏。杀死个人不算什么，但你还做不到。这就是你失败的地方。”","“You don’t dast kill me,” he sneered.“The world’s a pretty low down place to have a thing like you prowling around in it, but it ain’t so plumb low down, I reckon, as to let you put a hole in me.You’re sure bad, but the trouble with you is that you’re weak in your badness.It ain’t much to kill a man, but you ain’t got it in you.There’s where you lose out.”"
"“你说话小心点儿，”她重复说，“否则，我警告你，你会有苦头吃的。这可能关系到你的判罚是轻是重。”","“Be careful of what you say,” she repeated.“Or else, I warn you, it will go hard with you.It can be seen to whether your sentence is light or heavy.”"
"“这是上帝的问题，”他绕开这个话题说，“放任你晃荡在这个世界上。我完全不明白他在做什么，跟可怜的人类开这样的玩笑。现在如果我是上帝的话——”","“Something’s the matter with God,” he remarked irrelevantly, “to be letting you around loose.It’s clean beyond me what he’s up to, playing such-like tricks on poor humanity.Now if I was God—”"
"男佣进了屋，打断了他继续发表自己的意见。","His further opinion was interrupted by the entrance of the butler."
"“电话坏了，夫人。”他说，“电线缠在了一起还是什么的，因为我打不通总局。”","“Something is wrong with the telephone, madam,” he announced.“The wires are crossed or something, because I can’t get Central.”"
"“去叫个仆人，”她命令道，“派他去叫个警察，然后回到这儿来。”","“Go and call one of the servants,” she ordered.“Send him out for an officer, and then return here.”"
"这两个人又一次被单独留在了这儿。","Again the pair was left alone."
"“你能好心回答个问题吗，女士？”这个男人说，“那个仆人说了什么电铃。我像猫一样盯着你，你肯定没有按响电铃。”","“Will you kindly answer one question, ma’am?” the man said.“That servant fellow said something about a bell.I watched you like a cat, and you sure rung no bell.”"
"“它在桌子底下，你这个可怜的傻瓜。我是用脚踩的。”","“It was under the table, you poor fool.I pressed it with my foot.”"
"“谢谢你，女士。我就想我之前见过你这样的人，现在我确定自己见过。我信任你，跟你说实话，而你却一直都在拼命地骗我。”","“Thank you, ma’am.I reckoned I’d seen your kind before, and now I sure know I have.I spoke to you true and trusting, and all the time you was lying like hell to me.”"
"她嘲弄地大笑。","She laughed mockingly."
"“接着说，想说什么就说什么，非常有意思。”","“Go on.Say what you wish.It is very interesting.”"
"“你向我送秋波，看上去温柔可亲，一直都在充分利用你穿着裙子而非裤子这个事实——你的脚一直都踩在桌子下面的电铃上。好，还有些安慰。我宁愿成为可怜的休吉·卢克在监狱里呆上十年，也不愿意做你这样的人。女士，地狱里满是你这样的女人。”","“You made eyes at me, looking soft and kind, playing up all the time the fact that you wore skirts instead of pants—and all the time with your foot on the bell under the table.Well, there’s some consolation.I’d sooner be poor Hughie Luke, doing his ten years, than be in your skin.Ma’am, hell is full of women like you.”"
"然后是一阵沉默，其间，男人一直盯着她，仔细端详她，他下了决心。","There was silence for a space, in which the man, never taking his eyes from her, studying her, was making up his mind."
"“接着说，”她敦促着，“说点儿什么。”","“Go on,” she urged.“Say something.”"
"“好的，女士，我会说点儿什么，我肯定会说点儿什么。你知道我要做什么吗？我要从这把椅子上站起来，然后走出那道门。我要从你手里把枪夺回来，只是你可能会愚蠢地让枪走了火。你可以留下这把枪，这是把好枪。正如我刚才说的，我就要从那道门走出去了。而你也不会开枪。向人开枪需要勇气，你肯定没有。现在准备好，看看你能不能扣动那扳机。我不会伤害你的。我要走出那道门，现在就要出发了。”","“Yes, ma’am, I’ll say something.I’ll sure say something.Do you know what I’m going to do?I’m going to get right up from this chair and walk out that door.I’d take the gun from you, only you might turn foolish and let it go off.You can have the gun.It’s a good one.As I was saying, I am going right out that door.And you ain’t going to pull that gun off either.It takes guts to shoot a man, and you sure ain’t got them.Now get ready and see if you can pull that trigger.I ain’t going to harm you.I’m going out that door, and I’m starting.”"
"他紧紧盯着她，把椅子往后推了推，缓缓地站了起来。击铁升到了一半。她盯着击铁。他也是。","Keeping his eyes fixed on her, he pushed back the chair and slowly stood erect.The hammer rose halfway.She watched it.So did he."
"“扣得更用力点儿，”他建议她说，“它还没有升到一半。继续扣动它来杀人。那就是我说过的，杀人，让他的脑浆迸裂在地，要不就是在他身上打个你拳头大小的洞。那就叫杀人。”","“Pull harder,” he advised.“It ain’t half up yet.Go on and pull it and kill a man.That’s what I said, kill a man, spatter his brains out on the floor, or slap a hole into him the size of your fist.That’s what killing a man means.”"
"击铁猝然降了下来，但是很轻。男人转身缓缓地朝门口走去。她转动左轮手枪，瞄准他的后背。击铁又一次升到一半的位置，然后勉强地缓缓停了下来。","The hammer lowered jerkily but gently.The man turned his back and walked slowly to the door.She swung the revolver around so that it bore on his back.Twice again the hammer came up halfway and was reluctantly eased down."
"在门口的地方，男人走出去之前转过身来停了一会儿。嘴角浮起一丝冷笑。他低声对她说着话，骂她卑劣可耻，差不多是在拉长着调子，可其中却凝结了一切的憎恶。","At the door the man turned for a moment before passing on.A sneer was on his lips.He spoke to her in a low voice, almost drawling, but in it was the quintessence of all loathing, as he called her a name unspeakable and vile."
