"陌生人 ","The Stranger"
"那个蠢货终于走了。门咔哒一声关上了。现在只有他们两个人了。哈蒙德说：“我觉得我将永远都无法重新拥有你。这些该死的家伙！珍妮”——接着他炽热、急切的目光胶着在她身上，——“咱们就在房间里吃晚餐好吧。如果我们下去到餐厅就又会被打扰，而且还有那么讨厌的音乐。”（那音乐就在前一天晚上才被他那么高度地赞扬过，他还那么热烈地为之鼓掌。）“我们都不能听到彼此讲话。咱们就叫点东西上来，在火炉前吃。现在喝下午茶太晚了。我叫一点晚餐，好吗？你觉得这个主意怎么样？”","At last the fool was gone.The door clicked.Now they were alone.Said Hammond: “I feel I’ll never have you to myself again.These cursed people!Janey”—and he bent his flushed, eager gaze upon her—“let’s have dinner up here.If we go down to the restaurant we’ll be interrupted, and then there’s the confounded music” (the music he’d praised so highly, applauded so loudly last night!).“We shan’t be able to hear each other speak.Let’s have something up here in front of the fire.It’s too late for tea.I’ll order a little supper, shall I?How does that idea strike you?”"
"“行，亲爱的！”“行，亲爱的！”珍妮说。“那么在你出去的时候——孩子们的信——”","“Do, darling!”“Do, darling!” said Janey.“And while you’re away—the children’s letters—”"
"“哦，一会儿再看！”哈蒙德说。","“Oh, later on will do!” said Hammond."
"“但是那样的话我们可以把信看完了。”珍妮说，“我先抽空儿——”","“But then we’d get it over,” said Janey.“And I’d first have time to—”"
"“哦，我不用下去！”哈蒙德解释道，“我只需按铃吩咐下去……你不会是想把我支开，是吧？”","“Oh, I needn’t go down!” explained Hammond.“I’ll just ring and give the order... you don’t want to send me away, do you?”"
"珍妮摇摇头，微微一笑。","Janey shook her head and smiled."
"“但是你正想别的事。你在为什么事情担心。”哈蒙德说。“是什么事？来，到这儿坐——过来，到火炉前坐在我膝上。”","“But you’re thinking of something else.You’re worrying about something,” said Hammond.“What is it?Come and sit here—come and sit on my knee before the fire.”"
"“我只是要把帽子解开，”珍妮说，接着她走向梳妆台。“啊——呀！”她小声叫了一下。“怎么了？”","“I’ll just unpin my hat,” said Janey, and she went over to the dressing-table.“A—ah!”She gave a little cry.“What is it?”"
"“没事，亲爱的。我刚刚看到孩子们的信了。这就好了。它们先留着。现在不急着看！”她转向他，手里紧紧攥那些信。她把信塞进她饰有荷叶边的衬衫中。她很快又高兴地叫道：“噢，这张梳妆台多么符合你的风格！”","“Nothing, darling.I’ve just found the children’s letters.That’s all right!They will keep.No hurry now!”She turned to him, clasping them.She tucked them into her frilled blouse.She cried quickly, gaily: “Oh, how typical this dressing-table is of you!”"
"“为什么？它怎么了？”哈蒙德问道。","“Why?What’s the matter with it?” said Hammond."
"“如果它活过来，我得叫它‘约翰’。”　珍妮一边大笑，一边盯着那一大瓶护发剂，装在柳条瓶内的一瓶古龙水，两把发刷，还有一打粉色丝带捆着的新衣领。“这就是你全部的行李啰？”","“If it were floating in eternity I should say ‘John!’” laughed Janey, staring at the big bottle of hair tonic, the wicker bottle of eau-de-Cologne, the two hair-brushes, and a dozen new collars tied with pink tape.“Is this all your luggage?”"
"“让我的行李见鬼去吧！”哈蒙德说。但是尽管如此，他喜欢让珍妮嘲笑他。“咱们谈谈。咱们好好谈点事。告诉我”——当珍妮在他的腿上坐下，他往后靠了靠，把她拉到那把又深又丑的椅子里——“对我说你真的高兴回家，珍妮。”","“Hang my luggage!” said Hammond;but all the same he liked being laughed at by Janey.“Let’s talk.Let’s get down to things.Tell me”—and as Janey perched on his knees he leaned back and drew her into the deep, ugly chair—“tell me you’re really glad to be back, Janey.”"
"“是的，亲爱的。我真的高兴回来。”她说。","“Yes, darling, I am glad,” she said."
"但是恰恰就在他抱着她的时候，他觉得她就要离他而去，因此哈蒙德永远都不知道——永远都不会确切地知道她是否和他一样高兴。他如何才能知道？他最终会知道吗？他会不会永远都有这种渴求——这种如饥似渴的痛楚，不知怎地都要让珍妮完完全全地属于他以至于她再也逃无可逃？他想把一切人、一切事统统抹掉。他真希望他现在已经把灯关掉了。那样可能让她离他更近些。而现在孩子们的那些信在她的衬衣里沙沙作响。他真该早点把它们扔进火里去。","But just as when he embraced her he felt she would fly away, so Hammond never knew—never knew for dead certain that she was as glad as he was.How could he know?Would he ever know?Would he always have this craving—this pang like hunger, somehow, to make Janey so much part of him that there wasn’t any of her to escape?He wanted to blot out everybody, everything.He wished now he’d turned off the light.That might have brought her nearer.And now those letters from the children rustled in her blouse.He could have chucked them into the fire."
"“珍妮。”他低低地叫。","“Janey,” he whispered."
"“嗯，亲爱的？”她躺在他的胸前，却那么地轻盈，那么地冷淡。他们呼出的气息交织在一起。","“Yes, dear?”She lay on his breast, but so lightly, so remotely.Their breathing rose and fell together."
"“珍妮！”","“Janey!”"
"“怎么了？”","“What is it?”"
"“转向我。”他低声说。一抹红晕涌上他的额头，慢慢变深。“吻我，珍妮！你吻我！”","“Turn to me,” he whispered.A slow, deep flush flowed into his forehead.“Kiss me, Janey!You kiss me!”"
"在她的双唇稳稳地、轻轻地触到他的之前，他觉得似乎短短地顿了一下——可是在他看来却长得足以令他难以忍受——她像往常一样地亲吻着他，那吻仿佛——他该如何描述它呢？——就像批准了他们所说的，在合同上签字。但是那不是他想要的，那根本就不是他所渴望的东西。他感到一阵突如其来的、可怕的疲惫。","It seemed to him there was a tiny pause—but long enough for him to suffer torture—before her lips touched his, firmly, lightly—kissing them as she always kissed him, as though the kiss—how could he describe it?—confirmed what they were saying, signed the contract.But that wasn’t what he wanted; that wasn’t at all what he thirsted for.He felt suddenly, horrible tired."
"“如果你知道，”他睁开眼睛说，“像今天那样——一直等着是一种什么感觉就好了。我以为那船永远都不会靠岸了。我们就在那儿等着，无所事事。什么事让你们拖了那么长时间？”","“If you knew,” he said, opening his eyes, “what it’s been like—waiting today.I thought the boat never would come in.There we were, hanging about.What kept you so long?”"
"她没有回答。她的视线从他身上移开，看着炉火。火苗快速地——快速地从煤里蹿出来，摇曳着，落下去。","She made no answer.She was looking away from him at the fire.The flames hurried—hurried over the coals, flickered, fell."
"“没睡着，是吧？”哈蒙德说着，一上一下地颠着她。","“Not asleep, are you?” said Hammond, and he jumped her up and down."
"“没有。”她说。然后她又说道：“别颠，亲爱的。别那样，我正思考问题呢。实际上，”她说，“昨天晚上有一位乘客去世了——是一个男的。就是这件事让我们耽搁了。我们把他带回来——我的意思是，他没有海葬。因此，船医和岸上的医生当然——”","“No,” she said.And then: “Don’t do that, dear.No, I was thinking.As a matter of fact,” she said, “one of the passengers died last night—a man.That’s what held us up.We brought him in—I mean, he wasn’t buried at sea.So, of course, the ship’s doctor and the shore doctor—”"
"“怎么了？”哈蒙德不安地问。他讨厌听人谈及死亡。他讨厌发生这样的事。他古怪地认为，这件事就仿佛他和珍妮在回旅馆的路上遇上了葬礼。","“What was it?” asked Hammond uneasily.He hated to hear of death.He hated this to have happened.It was, in some queer way, as though he and Janey had met a funeral on their way to the hotel."
"“噢，它根本就不传染！”珍妮说。她说话轻得几不可闻。“是心脏病。”她停了一会儿。“可怜的孩子！”她说，“非常年轻。”她看着炉火上下摇曳。“他就死在我怀里。”珍妮说。","“Oh, it wasn’t anything in the least infectious!” said Janey.She was speaking scarcely above her breath.“It was heart.”A pause.“Poor fellow!” she said.“Quite young.”And she watched the fire flicker and fall.“He died in my arms,” said Janey."
"打击来得如此突然，哈蒙德觉得自己要昏倒了。他无法移动，也无法呼吸。他觉得他所有的力气都流走了——流进这把黑沉沉的大椅子里，而这把黑沉沉的大椅子牢牢地把着他，紧紧地抓住他，强迫他忍受这一切。","The blow was so sudden that Hammond thought he would faint.He couldn’t move; he couldn’t breathe.He felt all his strength flowing—flowing into the big dark chair, and the big dark chair held him fast, gripped him, forced him to bear it."
"“什么？”他呆呆地说。你那话说的是什么？”","“What?” he said dully.“What’s that you say?”"
"“他死得非常平静。”低低的声音说道，“他只是”——哈蒙德看着她抬起她温柔的手——“在最后一刻呼出一口气结束了生命而已。”她的手放下了。","“The end was quite peaceful,” said the small voice.“He just”—and Hammond saw her lift her gentle hand—“breathed his life away at the end.”And her hand fell."
"“谁——还有谁在那？”哈蒙德勉强问出一句。","“Who—else was there?” Hammond managed to ask."
"“没别人。就我一个人和他在一起。”","“Nobody.I was alone with him.”"
"啊，我的上帝，她在说什么！她正对他做什么呀！这会要了他的命！可是她却一直说着：","Ah, my God, what was she saying!What was she doing to him!This would kill him!And all the while she spoke:"
"“我看着有些不对劲就打发服务员去叫医生，但是医生来得太迟了。他无论如何都无计可施了。”","“I saw the change coming and I sent the steward for the doctor, but the doctor was too late.He couldn’t have done anything, anyway.”"
"“但是——为什么是你，为什么是你呢？”哈蒙德呻吟道。","“But—why you, why you?” moaned Hammond."
"听到这话珍妮迅速地转过身，很快地在他的脸上搜寻。","At that Janey turned quickly, quickly searched his face."
"“你不会介意的，约翰，是吧？”她问。“你不——这和你我毫不相干。”","“You don’t mind, John, do you?” she asked.“You don’t—It’s nothing to do with you and me.”"
"不管怎么样他总算冲她摆出了个笑模样。不管怎么样他总算结结巴巴地说：“不——继——续，继续！我想让你告诉我。”","Somehow or other he managed to shake some sort of smile at her.Somehow or other he stammered: “No—go—on, go on!I want you to tell me.”"
"“但是，约翰亲爱的——”","“But, John darling—”"
"“告诉我，珍妮！”","“Tell me, Janey!”"
"“没什么可告诉的了。”她纳闷地说，“他是头等舱的一名乘客。他上船时我就看出他病得挺重……。但是直到昨天，他看起来好多了。下午他心脏病复发得很厉害——兴奋——紧张，我想是不是快到家了的缘故。而从那以后他就再也没苏醒过来。”","“There’s nothing to tell,” she said, wondering.“He was one of the first-class passengers.I saw he was very ill when he came on board... But he seemed to be so much better until yesterday.He had a severe attack in the afternoon—excitement—nervousness, I think, about arriving.And after that he never recovered.”"
"“可为什么服务员不——”","“But why didn’t the stewardess—”"
"“噢，亲爱的——服务员！”珍妮说。“那他会怎么想？而且……他可能想留个口信……给——”","“Oh, my dear—the stewardess!” said Janey.“What would he have felt?And besides... he might have wanted to leave a message... to—”"
"“他没留吗？”哈蒙德咕哝道。“他什么都没说吗？”","“Didn’t he?” muttered Hammond.“Didn’t he say anything?”"
"“没说，亲爱的，连一个字都没说！”她轻轻地摇摇头。“我和他在一起的那段时间里他一直都太虚弱了……他虚弱得甚至连一根手指都动不了……”","“No, darling, not a word!”She shook her head softly.“All the time I was with him he was too weak... he was too weak even to move a finger... ”"
"珍妮沉默下来。但她的话语，那么轻、那么柔、却又那么冷，好像盘旋在空中，像雪一样落进他的胸中。","Janey was silent.But her words, so light, so soft, so chill, seemed to hover in the air, to rain into his breast like snow."
"炉火刚才变红了。现在随着啪的一声，火势弱了下来，房间里更冷了。寒意慢慢爬上了他的胳膊。这个房间极高、极大、极亮。填满了他的整个世界。还有一张隐约可见的大床，他的大衣就随便地抛在上面像一个无头人正在做祷告。还有那些行李都打好了，准备再次被搬到什么地方，或被扔进火车，或被运上船。","The fire had gone red.Now it fell in with a sharp sound and the room was colder.Cold crept up his arms.The room was huge, immense, glittering. It filled his whole world.There was the great blind bed, with his coat flung across it like some headless man saying his prayers.There was the luggage, ready to be carried away again, anywhere, tossed into trains, carted on to boats."
"……“他太虚弱了。他虚弱得连一根手指都动不了。”然而他却死在了珍妮的怀里。她——从未——这么多年以来连一次都没有——从没有在独自一人的时候——","... “He was too weak.He was too weak to move a finger.”And yet he died in Janey’s arms.She—who’d never—never once in all these years—never on one single solitary occasion—"
"不，他不可以去想了。老想，他会发疯的。不行，他无法面对。他受不了这个。这太让人难以忍受了！","No; he mustn’t think of it.Madness lay in thinking of it.No, he wouldn’t face it.He couldn’t stand it.It was too much to bear!"
"可是现在珍妮用手指触摸着他的领带。她把领带的两边捏在一起。","And now Janey touched his tie with her fingers.She pinched the edges of the tie together."
"“你不会——对不起我告诉你这些，约翰亲爱的？这没让你难过吧？它没毁了我们的夜晚——我们单独呆在一起的时间吧？”","“You’re not—sorry I told you, John darling?It hasn’t made you sad?It hasn’t spoilt our evening—our being alone together?”"
"可是听到这些他不得不藏起他的脸。他把脸埋在她的胸前，用胳膊抱住了她。","But at that he had to hide his face.He put his face into her bosom and his arms enfolded her."
"毁了他们的夜晚！毁了他们单独在一起的时间！他们将永远都不会单独呆在一起了。","Spoilt their evening!Spoilt their being alone together!They would never be alone together again."
