"第一章 唯一的幸存者","CHAPTER I THERE IS NO ONE LEFT"
"“那是些什么啊？”玛丽问道。","“What will they be?” asked Mary."
"“番红花，雪花莲，旱水仙。你见过这些东西吗？”","“Crocuses an’ snowdrops an’ daffydowndillys.Has tha’ never seen them?”"
"“没有。在印度，雨后总是又热又湿，一片绿色。”玛丽说，“我还以为东西都是一夜之间长出来的。”","“No. Everything is hot, and wet, and green after the rains in India,” said Mary.“And I think things grow up in a night.”"
"“当然不是一夜之间长出来的。”韦瑟斯达夫说，“你得等。它们会从这里戳出来高一点儿，那里会长出来更高一点儿的小穗，时不时地长出一片片叶子。你看着吧。”","“These won’t grow up in a night,” said Weatherstaff.“Tha’ll have to wait for ‘em.They’ll poke up a bit higher here, an’ push out a spike more there, an’ uncurl a leaf this day an’ another that.You watch ‘em.”"
"“我会的。”玛丽回答道。","“I am going to,” answered Mary."
"很快她又听到了轻柔的、沙沙的振翅声，她立刻知道是知更鸟来了。它异常鲁莽活跃，紧靠着她脚边跳来跳去。它把头歪在一旁，狡猾地看着她。玛丽不禁问本·韦瑟斯达夫说：","Very soon she heard the soft rustling flight of wings again and she knew at once that the robin had come again.He was very pert and lively, and hopped about so close to her feet, and put his head on one side and looked at her so slyly that she asked Ben Weatherstaff a question."
"“你觉得它还记得我吗？”","“Do you think he remembers me?” she said."
"“记得你！”韦瑟斯达夫愤慨地说道，“它记得园子里的每一个白菜桩子，更别说人了。它在这里还没见过什么小姑娘，所以你的一切都别想瞒过它。也没必要瞒它什么事。”","“Remembers thee!” said Weatherstaff indignantly.“He knows every cabbage stump in th’ gardens, let alone th’ people.He’s never seen a little wench here before, an’ he’s bent on findin’ out all about thee.Tha’s no need to try to hide anything from him.”"
"“在它住的花园里，地底下的东西也在暗中长着吗？”玛丽询问道。","“Are things stirring down below in the dark in that garden where he lives?”Mary inquired."
"“什么花园？”韦瑟斯达夫嘟囔着，又变得乖戾起来。","“What garden?” grunted Weatherstaff, becoming surly again."
"“就是那个长着老玫瑰树的花园。”她实在太想知道了，就忍不住问了出来。“那里所有的花都死了吗，还是有些花夏天会重新长出来？那里还有玫瑰花吗？”","“The one where the old rose-trees are.”She could not help asking, because she wanted so much to know.“Are all the flowers dead, or do some of them come again in the summer?Are there ever any roses?”"
"“去问它。”老本说，肩膀朝知更鸟耸了耸，“只有它知道。十年了，没人见过里面什么样子。”","“Ask him,” said Ben Weatherstaff, hunching his shoulders toward the robin.“He’s the only one as knows.No one else has seen inside it for ten year’.”"
"十年是一段不短的时间，玛丽想着。她就是十年前出生的。","Ten years was a long time, Mary thought.She had been born ten years ago."
"她走开了，慢慢地想着。她开始喜欢上这个花园，就像她开始喜欢知更鸟、喜欢迪肯、喜欢玛莎的妈妈一样。她也开始喜欢上玛莎了。看来有好多人可以去喜欢呢，虽然玛丽还没习惯去喜欢人。她觉得知更鸟也是一个人。她走到那条长长的、常春藤覆盖着的墙外散步，越过墙，她能看到树顶。当她走第二个来回的时候，一件非常有趣、让她激动的事情发生了。这全靠了本·韦瑟斯达夫的知更鸟。","She walked away, slowly thinking.She had begun to like the garden just as she had begun to like the robin and Dickon and Martha’s mother.She was beginning to like Martha, too.That seemed a good many people to like—when you were not used to liking.She thought of the robin as one of the people.She went to her walk outside the long, ivy-covered wall over which she could see the tree-tops; and the second time she walked up and down the most interesting and exciting thing happened to her, and it was all through Ben Weatherstaff’s robin."
"她听到一声唧唧的鸟鸣，朝左边光秃秃的花床望去，知更鸟正跳来跳去，忙着假装从土里啄食，好像自己并没有在跟着她。但玛丽知道它一直跟着自己。这个发现让她充满了意外的喜悦，差点颤抖了起来。","She heard a chirp and a twitter, and when she looked at the bare flower-bed at her left side there he was hopping about and pretending to peck things out of the earth to persuade her that he had not followed her.But she knew he had followed her and the surprise so filled her with delight that she almost trembled a little."
"“你真的记得我！”她喊了出来，“你真的记得！你是全世界最漂亮的小东西！”","“You do remember me!” she cried out.“You do! You are prettier than anything else in the world!”"
"她学着鸟叫，说着话，哄着知更鸟，知更鸟也在一旁跳来跳去，卖弄着尾巴，婉转地叫着。它好像在说话。它那红色的小马甲像缎子一样。它挺起那小胸脯，那么精致、华丽、漂亮，似是在告诉玛丽，知更鸟有多么重要，有多么像人类。玛丽忘记了自己一直都是个别扭的孩子。她慢慢靠近知更鸟，一边靠近，一边弯下身来，试图发出像知更鸟的声音，跟它沟通。而知更鸟对她的靠近似乎也并不反感。","She chirped, and talked, and coaxed and he hopped, and flirted his tail and twittered.It was as if he were talking.His red waistcoat was like satin and he puffed his tiny breast out and was so fine and so grand and so pretty that it was really as if he were showing her how important and like a human person a robin could be.Mistress Mary forgot that she had ever been contrary in her life when he allowed her to draw closer and closer to him, and bend down and talk and try to make something like robin sounds."
"看看，它竟然让玛丽靠得那么近。它知道玛丽绝不会伤害它，或让它有丝毫惊吓。它就是知道，因为它就是个真正的人——只会比其他任何人都更加善良。她高兴地大气都不敢出。","Oh! to think that he should actually let her come as near to him as that!He knew nothing in the world would make her put out her hand toward him or startle him in the least tiniest way.He knew it because he was a real person—only nicer than any other person in the world.She was so happy that she scarcely dared to breathe."
"花床也不是完全光秃的。常青植物被修剪得光秃秃的准备过冬，但花床背后还有些高高矮矮的灌木丛一簇一簇生长着。玛丽看到知更鸟在灌木丛下跳来跳去，跳过一小堆新翻的泥土。它停了下来找虫子吃。这土是被一只小狗翻开的。那小狗挖了个很深的洞，想挖只鼹鼠出来。","The flower-bed was not quite bare.It was bare of flowers because the perennial plants had been cut down for their winter rest, but there were tall shrubs and low ones which grew together at the back of the bed, and as the robin hopped about under them she saw him hop over a small pile of freshly turned up earth.He stopped on it to look for a worm.The earth had been turned up because a dog had been trying to dig up a mole and he had scratched quite a deep hole."
"玛丽不知道那里为什么有个洞。她向那个洞望去，看到有个什么东西几乎埋在新翻开的泥土里。那东西好像一个生锈的铁环或者铜环。知更鸟飞上附近的一棵树，玛丽伸出手，捡起了那个圆环。这不是只普通的铁环，而是把旧钥匙，似乎埋在这里很久了。","Mary looked at it, not really knowing why the hole was there, and as she looked she saw something almost buried in the newly-turned soil.It was something like a ring of rusty iron or brass and when the robin flew up into a tree nearby she put out her hand and picked the ring up.It was more than a ring, however; it was an old key which looked as if it had been buried a long time."
"玛丽小姐站起来，近乎惊恐地看着挂在她手指上的钥匙。","Mistress Mary stood up and looked at it with an almost frightened face as it hung from her finger."
"“也许这钥匙已经埋了十年了。”她耳语道，“也许这就是那个花园的钥匙！”","“Perhaps it has been buried for ten years,” she said in a whisper.“Perhaps it is the key to the garden!”"
"第八章 引路的知更鸟","CHAPTER VIII THE ROBIN WHO SHOWED THE WAY"
"她盯着这钥匙好一会儿。把它翻来看去，思量了一阵儿。就像我说过的，没人教导玛丽做事需要获得准许或询问长辈的意见。对于这把钥匙，她想到的就只是，如果这真的是那个上锁的花园的钥匙，而自己能找到门在哪里，她也许就能打开门，看看墙里面是什么，看看那些老玫瑰树怎么样了。花园锁上太久了，她想进去看看。她觉得那里一定与其他地方不一样，这十年中一定发生过些奇怪的事情。而且，如果她自己喜欢这个花园，还可以每天进去，把门锁上，发明些自己的游戏，自己一个人玩儿。没人会知道她在哪里，人们会以为花园的门依旧锁着，钥匙依旧在土里埋着。只是这样想想就让她很开心。","She looked at the key quite a long time.She turned it over and over, and thought about it.As I have said before, she was not a child who had been trained to ask permission or consult her elders about things.All she thought about the key was that if it was the key to the closed garden, and she could find out where the door was, she could perhaps open it and see what was inside the walls, and what had happened to the old rose-trees.It was because it had been shut up so long that she wanted to see it.It seemed as if it must be different from other places and that something strange must have happened to it during ten years.Besides that, if she liked it she could go into it every day and shut the door behind her, and she could make up some play of her own and play it quite alone, because nobody would ever know where she was, but would think the door was still locked and the key buried in the earth.The thought of that pleased her very much."
"独自在一个有着上百间上锁的神秘屋子的大宅里生活，没有什么能够自娱自乐。这样的生活让玛丽原本不活跃的头脑开始运转，她沉睡的想象力也被唤醒。毫无疑问，这与来自旷野的清新、有力、纯净的空气有莫大的关系。旷野的风让她变得有食欲，与风抗争让她热血沸腾，同时也活跃了她的头脑。在印度，她总是非常暴躁，身体孱弱，无暇关心任何事情。但在这里，她开始关心，愿意尝试新事物。虽然她自己也不清楚原因，但她已经感到自己没以前那么“别扭”了。","Living as it were, all by herself in a house with a hundred mysteriously closed rooms and having nothing whatever to do to amuse herself, had set her inactive brain to working and was actually awakening her imagination.There is no doubt that the fresh, strong, pure air from the moor had a great deal to do with it.Just as it had given her an appetite, and fighting with the wind had stirred her blood, so the same things had stirred her mind.In India she had always been too hot and languid and weak to care much about anything, but in this place she was beginning to care and to want to do new things.Already she felt less “contrary,” though she did not know why."
"她把钥匙放进口袋里，继续来回踱步。这里除了她似乎没人来过，所以她可以悠闲地走，张望着墙，确切点儿，看着墙上覆盖着的常春藤。常春藤是让人难以琢磨的东西。无论她看得多么仔细，也只能看到密密麻麻的、光滑的暗绿色树叶。她失望极了。她继续踱步，越过常春藤望着墙里面的树梢，一股别扭劲儿又上来了。她心想，近在咫尺却不得门而入，真是傻透了。她把钥匙揣在兜里，回房去了。她决心以后出去时随身带着钥匙，一旦找到那个隐藏的门，就随时有准备。","She put the key in her pocket and walked up and down her walk.No one but herself ever seemed to come there, so she could walk slowly and look at the wall, or, rather, at the ivy growing on it.The ivy was the baffling thing.Howsoever carefully she looked she could see nothing but thickly growing, glossy, dark green leaves.She was very much disappointed.Something of her contrariness came back to her as she paced the walk and looked over it at the tree-tops inside.It seemed so silly, she said to herself, to be near it and not be able to get in.She took the key in her pocket when she went back to the house, and she made up her mind that she would always carry it with her when she went out, so that if she ever should find the hidden door she would be ready."
"梅德洛克太太准许玛莎在自家农舍过夜。第二天早晨玛莎回来工作，脸颊比以往更红润，精神好极了。","Mrs. Medlock had allowed Martha to sleep all night at the cottage, but she was back at her work in the morning with cheeks redder than ever and in the best of spirits."
"“我四点就起床了。”她说，“啊！旷野上美极了。清晨的太阳正在升起，小鸟起床了，兔子到处乱跳。我也不都是走路过来的。有个人用马车载了我一段，太开心了。”","“I got up at four o’clock,” she said.“Eh! it was pretty on th’ moor with th’ birds gettin’ up an’ th’ rabbits scamperin’ about an’ th’ sun risin’.I didn’t walk all th’ way.A man gave me a ride in his cart an’ I did enjoy myself.”"
"她出去了一天，满肚子开心的故事要分享。她妈妈见到她很开心，她们俩把所有的烘烤和洗涮的活儿都干完了。她甚至还给每个孩子做了夹少许红糖的麻团。","She was full of stories of the delights of her day out.Her mother had been glad to see her and they had got the baking and washing all out of the way.She had even made each of the children a doughcake with a bit of brown sugar in it."
"“他们从旷野上玩回来，我就把热腾腾镶着花饰的蛋糕准备好了。整个农舍都能闻到香喷喷的、干净的、热腾腾的烘烤的味道，炉火也烧得旺旺的，他们都高兴得欢呼起来。我们家迪肯说我们的农舍好得够给国王住。”","“I had ‘em all pipin’ hot when they came in from playin’ on th’ moor.An’ th’ cottage all smelt o’ nice, clean hot bakin’ an’ there was a good fire, an’ they just shouted for joy.Our Dickon he said our cottage was good enough for a king.”"
"到了晚上，大家围坐在炉火旁，玛莎和妈妈给破衣服上打补丁，补袜子，玛莎给他们讲那个从印度来的小女孩儿。那个小女孩儿以前都是由玛莎口中的“黑人”服侍的，玛莎一直讲到她不会自己穿袜子。","In the evening they had all sat round the fire, and Martha and her mother had sewed patches on torn clothes and mended stockings and Martha had told them about the little girl who had come from India and who had been waited on all her life by what Martha called “blacks” until she didn’t know how to put on her own stockings."
"“嘿！他们顶喜欢听你的事儿呢。”玛莎说，“他们想知道关于黑人的一切，还想知道你来时坐的轮船。我怎么讲他们都听不够。”","“Eh! they did like to hear about you,” said Martha.“They wanted to know all about th’ blacks an’ about th’ ship you came in.I couldn’t tell ‘em enough.”"
"玛丽稍微想了想。","Mary reflected a little."
"“你下次出去前我多给你讲些。”她说，“这样你就有更多可讲的了。我保证他们肯定会喜欢听骑大象、骑骆驼，还有军官捕老虎的故事。”","“I’ll tell you a great deal more before your next day out,” she said, “so that you will have more to talk about.I dare say they would like to hear about riding on elephants and camels, and about the officers going to hunt tigers.”"
"“天啊！”玛莎高兴地喊了出来，“这要让他们脑子爆炸了。你真会这么做吗，小姐？这不跟我们听说的有一次在约克郡举办的那个野生动物展览一样吗？”","“My word!” cried delighted Martha.“It would set ‘em clean off their heads.Would tha’ really do that, Miss?It would be same as a wild beast show like we heard they had in York once.”"
"“印度和约克郡还是差很多的。”玛丽边想事情，边慢慢地说，“我从来没想过这个问题。迪肯和你妈妈喜欢听你说起我的事情吗？”","“India is quite different from Yorkshire,” Mary said slowly, as she thought the matter over.“I never thought of that.Did Dickon and your mother like to hear you talk about me?”"
"“当然了，我们家迪肯眼珠瞪得滚圆，都快掉出来了。”玛莎回答道，“但是我妈妈不喜欢你好像总是自己一个人。她说:‘克雷文先生没给她找个家教或保姆吗？’我说:‘没有，不过梅德洛克太太说他要是想起来会的。不过她也说了，先生有可能两三年也想不起来。’”","“Why, our Dickon’s eyes nearly started out o’ his head, they got that round,” answered Martha.“But mother, she was put out about your seemin’ to be all by yourself like.She said, ‘Hasn’t Mr. Craven got no governess for her, nor no nurse?’ and I said, ‘No, he hasn’t, though Mrs. Medlock says he will when he thinks of it, but she says he mayn’t think of it for two or three years.’”"
"“我不想要家庭教师。”玛丽生硬地说。","“I don’t want a governess,” said Mary sharply."
"“但是我妈妈说你这个年龄应该学习书本知识了，而且应该有个女人照顾你。她说:‘那么玛莎你想想看，要是你自己一个人在那么大的地方，独自一人到处游荡，也没有妈妈，会是什么感觉。你要尽力让她高兴些。’我说我会的。”","“But mother says you ought to be learnin’ your book by this time an’ you ought to have a woman to look after you, an’ she says: ‘Now, Martha, you just think how you’d feel yourself, in a big place like that, wanderin’ about all alone, an’ no mother.You do your best to cheer her up,’ she says, an’ I said I would.”"
"玛丽久久地、坚定地看了玛莎一阵。","Mary gave her a long, steady look."
"“你确实让我高兴起来了。”她说道，“我喜欢听你说话。”","“You do cheer me up,” she said.“I like to hear you talk.”"
"这时玛莎走出房间，回来时手中拿了什么东西，放在围裙下。","Presently Martha went out of the room and came back with something held in her hands under her apron."
"“你猜猜这是什么。”她开心地咧嘴笑着，“我给你买了份礼物。”","“What does tha’ think,” she said, with a cheerful grin.“I’ve brought thee a present.”"
"“礼物！”玛丽小姐惊呼道。玛莎家的小农舍里有十四个饿着肚子的人，却给她买了礼物！","“A present!” exclaimed Mistress Mary.How could a cottage full of fourteen hungry people give any one a present!"
"“有个男人驾着车穿过旷野走家串户叫卖。”玛莎解释道，“他的马车在我们家门口停下来了。他那里锅碗瓢盆杂七杂八什么都有，但妈妈都没钱买。就在他准备离开时，我们家伊丽莎白·埃伦喊道:‘妈妈，他有跳绳，把手是红蓝相间的。’妈妈突然出声喊道：‘哎，先生请停一停！跳绳多少钱？’他回答说‘两便士’。妈妈开始在自己口袋里摸索，边对我说：‘玛莎，你这个好姑娘，把自己的薪水拿回来给妈妈，我恨不得把一分钱掰成四瓣花。但我准备拿出两便士，给那孩子买根跳绳。’她买了一根，就是这个。”","“A man was drivin’ across the moor peddlin’,” Martha explained.“An’ he stopped his cart at our door.He had pots an’ pans an’ odds an’ ends, but mother had no money to buy anythin’.Just as he was goin’ away our ‘Lizabeth Ellen called out, ‘Mother, he’s got skippin’-ropes with red an’ blue handles.’An’ mother she calls out quite sudden, ‘Here, stop, mister!How much are they?’An’ he says ‘Tuppence’, an’ mother she began fumblin’ in her pocket an’ she says to me, ‘Martha, tha’s brought me thy wages like a good lass, an’ I’ve got four places to put every penny, but I’m just goin’ to take tuppence out of it to buy that child a skippin’-rope,’ an’ she bought one an’ here it is.”"
"玛莎把跳绳从围裙下拿出来，很是骄傲地展示给玛丽看。这是条结实细长的跳绳，两头的把手是红蓝色的条纹。但是玛丽·伦诺克斯从没见过跳绳。她盯着跳绳，表情困惑。","She brought it out from under her apron and exhibited it quite proudly.It was a strong, slender rope with a striped red and blue handle at each end, but Mary Lennox had never seen a skipping-rope before.She gazed at it with a mystified expression."
"“这是干什么用的？”她好奇地问道。","“What is it for?” she asked curiously."
"“做什么的！”玛莎喊道，“你的意思是印度没有跳绳，他们只有大象、狮子、骆驼！难怪他们大多都是黑人。跳绳是用来做这个的，看着点我。”","“For!” cried out Martha.“Does tha’ mean that they’ve not got skippin’-ropes in India, for all they’ve got elephants and tigers and camels!No wonder most of ‘em’s black.This is what it’s for; just watch me.”"
"说着玛莎就跑到屋子中间，一手拿了一头的把手开始跳了起来。她跳啊跳，玛丽从椅子中扭过来盯着她看，老画像中那些奇怪的脸好像也在盯着她看，心想这个住在农舍里的不起眼的小丫头为什么敢这么放肆，在他们眼皮底下这么做。但玛莎都浑然不觉。玛丽小姐脸上表现出的兴趣和好奇让她很开心。她继续跳，边跳边数，数到了一百。","And she ran into the middle of the room and, taking a handle in each hand, began to skip, and skip, and skip, while Mary turned in her chair to stare at her, and the queer faces in the old portraits seemed to stare at her, too, and wonder what on earth this common little cottager had the impudence to be doing under their very noses.But Martha did not even see them.The interest and curiosity in Mistress Mary’s face delighted her, and she went on skipping and counted as she skipped until she had reached a hundred."
"“我还可以跳更久。”玛莎停下来说，“我十二岁的时候能跳到五百呢，我那时比现在瘦，也经常练习。”","“I could skip longer than that,” she said when she stopped.“I’ve skipped as much as five hundred when I was twelve, but I wasn’t as fat then as I am now, an’ I was in practice.”"
"玛丽从椅子上站起来，感到自己也开始兴奋了起来。","Mary got up from her chair beginning to feel excited herself."
"“这看起来不错。”她说，“你妈妈心肠真好。你觉得我也能跳你那么好吗？”","“It looks nice,” she said.“Your mother is a kind woman.Do you think I could ever skip like that?”"
"“你现在就试试。”玛莎把绳子递给她，鼓动她试一试，“最开始肯定跳不了一百个，不过练练就跳多了。这是我妈妈说的。她说：‘对她来说，没有比跳绳更好的了。跳绳是小孩儿最好的玩具。让她在新鲜的空气中跳跳，能舒展她的手脚，给她的四肢长些力气。’”","“You just try it,” urged Martha, handing her the skipping-rope.“You can’t skip a hundred at first, but if you practice you’ll mount up.That’s what mother said.She says, ‘Nothin’ will do her more good than skippin’ rope.It’s th’ sensiblest toy a child can have.Let her play out in th’ fresh air skippin’ an’ it’ll stretch her legs an’ arms an’ give her some strength in ‘em.’”"
"很明显玛丽小姐刚开始跳的时候胳膊和腿都没什么力气。她不怎么擅长，却非常喜欢，不愿意停下来。","It was plain that there was not a great deal of strength in Mistress Mary’s arms and legs when she first began to skip.She was not very clever at it, but she liked it so much that she did not want to stop."
"“把衣服穿上，跑出去跳去吧。”玛莎说，“我妈妈让我一定告诉你尽量多在户外，即使有点儿小雨，只要穿暖和点也可以。”","“Put on tha’ things and run an’ skip out o’ doors,” said Martha.“Mother said I must tell you to keep out o’ doors as much as you could, even when it rains a bit, so as tha’ wrap up warm.”"
"玛丽穿上外套，戴上帽子，把跳绳挽在手臂上。她刚要打开门出去，突然想起来什么事情，慢慢转过身来。","Mary put on her coat and hat and took her skipping-rope over her arm.She opened the door to go out, and then suddenly thought of something and turned back rather slowly."
"“玛莎，”她说，“这是你的工资。其实是你那两便士。谢谢。”她这番话讲得很生硬，因为她不习惯感谢别人，也从没注意过别人为她做的事情。“谢谢你。”她说，一边把手伸了出来。因为她不知道除此之外还能做些什么。","“Martha,” she said, “they were your wages.It was your two-pence really. Thank you.”She said it stiffly because she was not used to thanking people or noticing that they did things for her.“Thank you,” she said, and held out her hand because she did not know what else to do."
"玛莎轻轻地笨拙地握了握她的手，看起来她也不习惯这种事情。然后她笑了起来。","Martha gave her hand a clumsy little shake, as if she was not accustomed to this sort of thing either.Then she laughed."
"“哎呀，内是个怪人，像个老太婆。”她说，“要是我们的伊丽莎白·埃伦的话，她会亲我一下。”","“Eh! th’ art a queer, old-womanish thing,” she said.“If tha’d been our ‘Lizabeth Ellen tha’d have given me a kiss.”"
"玛莎的表情更加僵硬了。","Mary looked stiffer than ever."
"“你想让我亲你吗？”","“Do you want me to kiss you?”"
"玛莎又笑了起来。","Martha laughed again."
"“不，不是我想要。”她回答说，“如果内要不是这种性格，可能自己就会要求亲我的。但你不会。快跑出去玩内的跳绳去吧。”","“Nay, not me,” she answered.“If tha’ was different, p’raps tha’d want to thysel’.But tha’ isn’t.Run off outside an’ play with thy rope.”"
"玛丽小姐走出房门的时候还觉得有些别扭。约克郡的人可真奇怪，玛莎对她来说永远是个谜。一开始她很不喜欢她，现在也不了。跳绳可真奇妙。她边数边跳，边数边跳，直到脸颊通红，她从出生以来都从未觉得这么有趣。阳光照耀着，还吹来一阵小风——不是凛冽的，而是一阵阵愉快的小风，带着新翻的泥土的清新。她绕着有喷泉的花园跳，从一条道上跳过去，又从另一条道跳回来。她最后跳到了菜园里，看到本·韦瑟斯达夫边锄地边跟在他身旁跳来跳去的知更鸟说话。她顺着小路跳到他身边。他抬起头，表情奇怪地看着她。她本来还担心他看不到她。她想让老本看看自己跳绳。","Mistress Mary felt a little awkward as she went out of the room.Yorkshire people seemed strange, and Martha was always rather a puzzle to her.At first she had disliked her very much, but now she did not.The skipping-rope was a wonderful thing.She counted and skipped, and skipped and counted, until her cheeks were quite red, and she was more interested than she had ever been since she was born.The sun was shining and a little wind was blowing—not a rough wind, but one which came in delightful little gusts and brought a fresh scent of newly turned earth with it.She skipped round the fountain garden, and up one walk and down another.She skipped at last into the kitchen-garden and saw Ben Weatherstaff digging and talking to his robin, which was hopping about him.She skipped down the walk toward him and he lifted his head and looked at her with a curious expression.She had wondered if he would notice her.She wanted him to see her skip."
"“天啊！”他惊呼，“说实在的。你到底是个年轻人啊，血管里流的是小孩子的血液，不是发酸的剩牛奶。我以自己的名字担保，你都把脸颊跳红了。我从没想到你还可以这样。”","“Well!” he exclaimed. “Upon my word. P’raps tha’ art a young ‘un, after all, an’ p’raps tha’s got child’s blood in thy veins instead of sour buttermilk.Tha’s skipped red into thy cheeks as sure as my name’s Ben Weatherstaff.I wouldn’t have believed tha’ could do it.”"
"“我以前没跳过绳。”玛丽说，“我才刚刚开始。我只能跳到二十。”","“I never skipped before,” Mary said. “I’m just beginning. I can only go up to twenty.”"
"“那你要继续。”老本说，“你和不信上帝的人一起呆过，跳绳对锻炼你的身体有好处。你看它怎么观察你呢。”说着把头朝知更鸟一旁一偏，“它昨天就跟着你呢。今天还准备继续。它迟早要弄明白跳绳是个什么东西。它以前从没见过。哎！”他对着知更鸟摇摇头，“你要是不留意，你那好奇心总有一天会要了你的命。”","“Tha’ keep on,” said Ben.“Tha’ shapes well enough at it for a young ‘un that’s lived with heathen.Just see how he’s watchin’ thee,” jerking his head toward the robin.“He followed after thee yesterday.He’ll be at it again today.He’ll be bound to find out what th’ skippin’-rope is.He’s never seen one.Eh!” shaking his head at the bird, “tha’ curiosity will be th’ death of thee sometime if tha’ doesn’t look sharp.”"
"玛丽绕着所有的花园跳，绕着果园跳，跳几分钟休息一下。最后她来到属于自己的小道，决心试试看自己能不能跳完全程。这可有段路呢。她开始跳得慢，没跳到一半，就热得上气不接下气，不得不停下来了。不过她也不怎么在乎，因为她已经数到三十了。她停下来愉快地轻笑了笑。嘿你瞧，那知更鸟正停在一枝长长的常青藤上晃悠呢。它一直都跟着她呢，发出轻啼向她问好。玛丽朝它跳过去，每跳一下，就能感觉口袋里沉沉的什么东西正顶着她。她看到知更鸟，又笑了起来。","Mary skipped round all the gardens and round the orchard, resting every few minutes.At length she went to her own special walk and made up her mind to try if she could skip the whole length of it.It was a good long skip and she began slowly, but before she had gone half-way down the path she was so hot and breathless that she was obliged to stop.She did not mind much, because she had already counted up to thirty.She stopped with a little laugh of pleasure, and there, lo and behold, was the robin swaying on a long branch of ivy.He had followed her and he greeted her with a chirp.As Mary had skipped toward him she felt something heavy in her pocket strike against her at each jump, and when she saw the robin she laughed again."
"“你昨天告诉我钥匙在哪里了。”她说，“今天你应该告诉我门在哪里。不过我可不相信你知道！”","“You showed me where the key was yesterday,” she said.“You ought to show me the door today; but I don’t believe you know!”"
"知更鸟从它栖身的摇曳的常春藤枝头飞上墙头，张开喙，发出了一声响亮的、可爱的颤音，完全是为了炫耀。世上没有什么事情比知更鸟炫耀的时候来的更加可爱了——而它们几乎随时都在炫耀。","The robin flew from his swinging spray of ivy on to the top of the wall and he opened his beak and sang a loud, lovely trill, merely to show off.Nothing in the world is quite as adorably lovely as a robin when he shows off—and they are nearly always doing it."
"玛丽·伦诺克斯从她奶妈那里听到过不少关于魔法的故事。她后来总说当时那一刻发生的是魔法。","Mary Lennox had heard a great deal about Magic in her Ayah’s stories, and she always said that what happened almost at that moment was Magic."
"一缕舒适的小风顺着走道扫过来，比其他的风都更强。风强得足以摇晃树枝，更足以摇摆墙上拖下来的未修剪过的常青藤树枝。玛丽已经走近知更鸟，突然那阵风把一些松散的常春藤树枝拂至一旁，玛丽更加突然地向它一跳，把它抓在了手中。她这么做，是因为她在它身下看到了什么东西——一个圆形的手柄，原来一直被覆盖在上面的树叶盖住了。那是个门把手。","One of the nice little gusts of wind rushed down the walk, and it was a stronger one than the rest.It was strong enough to wave the branches of the trees, and it was more than strong enough to sway the trailing sprays of untrimmed ivy hanging from the wall.Mary had stepped close to the robin, and suddenly the gust of wind swung aside some loose ivy trails, and more suddenly still she jumped toward it and caught it in her hand.This she did because she had seen something under it—a round knob which had been covered by the leaves hanging over it.It was the knob of a door."
"她把手伸向叶子下面，开始把叶子朝两边扒拉。常春藤非常浓密，几乎成了一道松散的垂帘，虽然有些蔓生在木头和铁上。玛丽的心脏开始怦怦直跳，开心和兴奋让她的手有些微微发抖。知更鸟一直唱着歌，喳喳地叫，头歪向一侧，好像它也和玛丽一样兴奋。她手下这个方形的、铁做的、手指可以摸到上面有个洞的东西，究竟是什么呢？","She put her hands under the leaves and began to pull and push them aside.Thick as the ivy hung, it nearly all was a loose and swinging curtain, though some had crept over wood and iron.Mary’s heart began to thump and her hands to shake a little in her delight and excitement.The robin kept singing and twittering away and tilting his head on one side, as if he were as excited as she was.What was this under her hands which was square and made of iron and which her fingers found a hole in?"
"那是那个已经紧闭十年的门上的锁。她把手放进口袋里，抽出钥匙，发现钥匙和锁孔正好契合。她把钥匙插进去扭动。要两只手才能扭动，但锁孔确实转动了。","It was the lock of the door which had been closed ten years and she put her hand in her pocket, drew out the key and found it fitted the keyhole.She put the key in and turned it.It took two hands to do it, but it did turn."
"接下来她深吸了一口气，朝身后长长的走廊看了一眼有没有人来。没有人来。看起来从没人来过。她又深吸了口气，因为她实在忍不住。她把摇曳的常青藤垂帘往后拽着，把门朝后一推——门缓慢地打开了。","And then she took a long breath and looked behind her up the long walk to see if any one was coming.No one was coming.No one ever did come, it seemed, and she took another long breath, because she could not help it, and she held back the swinging curtain of ivy and pushed back the door which opened slowly—slowly."
"然后她悄悄溜进门，把门从身后关上，背靠着门环顾四周。兴奋、好奇、开心的情绪让她呼吸急速。","Then she slipped through it, and shut it behind her, and stood with her back against it, looking about her and breathing quite fast with excitement, and wonder, and delight."
"她终于站在秘密花园里了。","She was standing inside the secret garden."
"第九章 最神秘的房子","CHAPTER IX THE STRANGEST HOUSE ANY ONE EVER LIVED IN"
