"第一部","PART I "
"事实上，封城的最突出的后果之一就是毫无准备的人们所面对的这种突如其来的分离。有些母子、情侣和夫妻前几天还想当然地认为这会是一次短暂的离别，他们说完几句无足轻重的话就在月台上吻别了，因为他们被人类对不久的将来的盲目自信所蒙蔽，以为几天后，最多几周后肯定又会再见面，短暂的离开对他们的日常事务几乎没有任何影响——但所有的这些人最终发现自己在毫无征兆的情况下被无情地分开，彼此不能再相见，甚至不能彼此通信。因为实际上，在官方命令发布之前几小时，封城就已经开始，自然无法考虑个人的困境问题。疫病无情袭击的第一个影响可以说真的就是迫使市民们像没有个人情感一样地行事。在禁止离城的命令实施那天的上午，省府周围围满了人。他们提出的请求具有同样的说服力，但同样都不可能予以考虑。是的，我们需要几天时间才能意识到我们完全被逼入了困境；“通融”、“帮忙”、“优先”等词都已失去了意义。","One of the most striking consequences of the closing of the gates was, in fact, this sudden deprivation befalling people who were completely unprepared for it.Mothers and children, lovers, husbands and wives, who had a few days previously taken it for granted that their parting would be a short one, who had kissed one another good-by on the platform and exchanged a few trivial remarks, sure as they were of seeing one another again after a few days or, at most, a few weeks, duped by our blind human faith in the near future and little if at all diverted from their normal interests by this leave-taking—all these people found themselves, without the least warning, hopelessly cut off, prevented from seeing one another again, or even communicating with one another.For actually the closing of the gates took place some hours before the official order was made known to the public, and, naturally enough, it was impossible to take individual cases of hardship into account.It might indeed be said that the first effect of this brutal visitation was to compel our townspeople to act as if they had no feelings as individuals.During the first part of the day on which the prohibition to leave the town came into force the Prefect’s office was besieged by a crowd of applicants advancing pleas of equal cogency but equally impossible to take into consideration.Indeed, it needed several days for us to realize that we were completely cornered; that words like “special arrangements,” “favor,” and “priority” had lost all effective meaning."
"甚至连通信这样令人稍感安慰的事也不被允许。情况是这样：不仅本城与外界的正常交通联系被阻断，而且——根据又一次疫情报告——一切通信都被禁止，以免信件向外传带病菌。起初几天，有些幸运者尽力说服了守卫城门的哨兵，将信件传递了出去。但这只是宣布发生鼠疫的初始阶段，那时哨兵们认为屈从于仁爱之情是自然的事。后来，当这些哨兵意识到事态的严重性时，他们就断然拒绝承担这种不能预见可能后果的责任。最初还允许同别的城市电话联系，但这导致公用电话处拥挤不堪，电话线路忙不过来，以致禁止通话了几天，然后又限制只有在诸如死亡、结婚和出生等“紧急情况”下才可通话。因此，人们只好重新借助起电报来。","Even the small satisfaction of writing letters was denied us.It came to this: not only had the town ceased to be in touch with the rest of the world by normal means of communication, but also—according to a second notification—all correspondence was forbidden, to obviate the risk of letters’ carrying infection outside the town.In the early days a favored few managed to persuade the sentries at the gates to allow them to get messages through to the outside world.But that was only at the beginning of the epidemic, when the sentries found it natural to obey their feelings of humanity.Later on, when these same sentries had had the gravity of the situation drummed into them, they flatly refused to take responsibilities whose possible after-effects they could not foresee.At first, telephone calls to other towns were allowed, but this led to such crowding of the telephone booths and delays on the lines that for some days they also were prohibited, and thereafter limited to what were called “urgent cases,” such as deaths, marriages, and births.So we had to fall back on telegrams."
"以前以友谊、感情或者情爱联系着的人们发现自己只有在十来个字的电报里重温旧梦了。而由于实际上电报中所能使用的词汇很快被用尽，长时间的共同生活或热切的思念很快就浓缩为几句平凡的套语交流，如：“我好。永远想你。爱你。”","People linked together by friendship, affection, or physical love found themselves reduced to hunting for tokens of their past communion within the compass of a ten-word telegram.And since, in practice, the phrases one can use in a telegram are quickly exhausted, long lives passed side by side, or passionate yearnings, soon declined to the exchange of such trite formulas as: “Am well. Always thinking of you. Love.”"
"但是，我们中间还有少数几个仍坚持写信，并且花了很多时间想方设法与外界取得联系，而这些计划到头来总是一场空。即使在少数情况下计划成功了，我们也无法知晓，因为我们没有收到任何回音。一连几个星期，我们都只能一再重复地写着同样的信，重抄着同样的新闻片段，发出同样的个人呼吁。这样过了一段时间，原先发自肺腑的生动语言也失去了任何意义。之后，我们继续机械地抄着信件，试图通过这些毫无生气的词汇来表达对我们所经历的折磨的看法。而从长远来看，相对于这些毫无结果、反反复复的独白、这些与墙壁进行的枯燥对话来说，平凡无趣的电报套语也渐渐地显得更为可取了。","Some few of us, however, persisted in writing letters and gave much time to hatching plans for corresponding with the outside world; but almost always these plans came to nothing.Even on the rare occasions when they succeeded, we could not know this, since we received no answer.For weeks on end we were reduced to starting the same letter over and over again recopying the same scraps of news and the same personal appeals, with the result that after a certain time the living words, into which we had as it were transfused our hearts’ blood, were drained of any meaning.Thereafter we went on copying them mechanically, trying, through the dead phrases, to convey some notion of our ordeal.And in the long run, to these sterile, reiterated monologues, these futile colloquies with a blank wall, even the banal formulas of a telegram came to seem preferable."
"又过了几天——当人们清楚根本没人能出得了城时——人们开始请求是否可以让鼠疫发生前已经离城的人回来。当局经过几天考虑之后同意了这个请求。但是当局要求回来的人无论如何都不许再次离城。一旦回来，无论发生什么，他们都得呆在城里。一些家庭——实际上为数极少——没有认真考虑就急切地要那些离家的亲人们回来，全然不顾地拍电报要他们抓住这次返家的机会。但那些困于鼠疫的人们很快意识到这样做会让亲人们面临可怕的危险，因而宁愿忍受亲人不在身边的痛苦。在疫病最严重的时期，我们只看到一个自然情感战胜对死亡恐惧的事例。这个事例也许有些出人意料，它并非发生在一对无论忍受什么痛苦也要厮守在一起的年轻情侣身上。这两人是结婚多年的卡斯特尔医生和他的老伴。卡斯特尔太太在鼠疫发生前几天离家去了邻城。他们并不是恩爱老夫妻的典范；相反，笔者有理由说，很可能这对夫妇自己都不确定是否对他们的婚姻感到满意。但是这次无情而又持续的分离使他们意识到彼此无法分开生活，而一旦有了这种意识，鼠疫的危险也就算不上什么了。","Also, after some days—when it was clear that no one had the least hope of being able to leave our town—inquiries began to be made whether the return of people who had gone away before the outbreak would be permitted.After some days’ consideration of the matter the authorities replied affirmatively.They pointed out, however, that in no case would persons who returned be allowed to leave the town again; once here, they would have to stay, whatever happened.Some families—actually very few—refused to take the position seriously and in their eagerness to have the absent members of the family with them again, cast prudence to the winds and wired to them to take this opportunity of returning.But very soon those who were prisoners of the plague realized the terrible danger to which this would expose their relatives, and sadly resigned themselves to their absence.At the height of the epidemic we saw only one case in which natural emotions overcame the fear of death in a particularly painful form.It was not, as might be expected, the case of two young people, whose passion made them yearn for each other’s nearness at whatever cost of pain.The two were old Dr. Castel and his wife, and they had been married for very many years.Mme Castel had gone on a visit to a neighboring town some days before the epidemic started.They weren’t one of those exemplary married couples of the Darby-and-Joan pattern; on the contrary, the narrator has grounds for saying that, in all probability, neither partner felt quite sure the marriage was all that could have been desired.But this ruthless, protracted separation enabled them to realize that they could not live apart, and in the sudden glow of this discovery the risk of plague seemed insignificant."
"这是一个例外。对大多数人而言，分离显然必须持续到疫病消失为止。因此对于我们大家每个人来说，支配着自己生活的感情——我们自以为很熟悉的感情（奥兰人的感情是简单的，这在前文已提到过）——呈现出一种新的面貌。一直完全信任妻子的丈夫们惊讶地发现自己变得嫉妒多疑起来。情侣们也是如此。那些本来自诩风流如唐璜的男人们变成了忠贞的典范。那些以前对身旁的母亲看都不看一眼的儿子们开始怀着深切的悔恨想象着刻在记忆深处那些在外的亲人脸上的每一道皱纹。这种突然而彻底的分离以及对未来的全然不知令我们感到意外。对离别不久却已相隔甚远的亲人那种默默的思念令我们不知所措。实际上，我们的痛苦是双重的：首先是自身所受的痛苦，其次是想象的在外的亲人，儿子、母亲、妻子或情人所受的痛苦。","That was an exception.For most people it was obvious that the separation must last until the end of the epidemic.And for every one of us the ruling emotion of his life—which he had imagined he knew through and through (the people of Oran, as has been said, have simple passions)—took on a new aspect.Husbands who had had complete faith in their wives found, to their surprise, that they were jealous; and lovers had the same experience.Men who had pictured themselves as Don Juans became models of fidelity.Sons who had lived beside their mothers hardly giving them a glance fell to picturing with poignant regret each wrinkle in the absent face that memory cast upon the screen.This drastic, clean-cut deprivation and our complete ignorance of what the future held in store had taken us unawares; we were unable to react against the mute appeal of presences, still so near and already so far, which haunted us daylong.In fact, our suffering was twofold; our own to start with, and then the imagined suffering of the absent one, son, mother, wife, or mistress."
"在其他情形下，我们这些市民本可能会通过更多的活动、更多的交际来寻找排遣。但是这场鼠疫却使他们无事可做，只好在城里枯燥无味地转来转去，日复一日地沉浸在回忆带来的虚幻慰藉之中。因为他们漫无目的地行走时，总是走到那么几条相同的街道上，因为小城很小，而这些街道都是在以前快乐的日子里他们同现已不在身边的亲人们一起走过的。","Under other circumstances our townsfolk would probably have found an outlet in increased activity, a more sociable life.But the plague forced inactivity on them, limiting their movements to the same dull round inside the town, and throwing them, day after day, on the illusive solace of their memories.For in their aimless walks they kept on coming back to the same streets and usually, owing to the smallness of the town, these were streets in which, in happier days, they had walked with those who now were absent."
"这样，鼠疫给我们这个城市带来的第一个影响是流放的感觉。笔者确信，他在这里写下的是自己的感受，这也是许多朋友们承认的共同感受。　毫无疑问，这是一种流放之感——内心深处始终存在的空虚感，那些期望时光倒流或是时光飞逝的痴心妄想，还有那些焦心的记忆利箭。有时我们陶醉于幻想之中，设想自己在等候亲人回来时响起的门铃声或楼梯上熟悉的脚步声。但是，尽管我们可能故意在平时旅客乘晚班火车应该到家的时间呆在家中，或是试图暂时忘记火车不通的事实，这种自欺欺人显然不能持久。我们必须面对火车不通这个事实的时刻总是会到来的。这时，我们意识到这种分离注定要继续下去，我们只有接受未来的这段日子。总之，我们又回到囚房般的家中，陪伴我们的只有对过去的回忆，即使有人寄希望于未来，也很快就放弃了这种想法——尽可能快地——一旦他们感受到幻想给幻想之人带来痛苦。","Thus the first thing that plague brought to our town was exile.And the narrator is convinced that he can set down here, the feeling he personally had and to which many of his friends confessed.It was undoubtedly the feeling of exile—that sensation of a void within which never left us, that irrational longing to hark back to the past or else to speed up the march of time, and those keen shafts of memory that stung like fire.Sometimes we toyed with our imagination, composing ourselves to wait for a ring at the bell announcing somebody’s return, or for the sound of a familiar footstep on the stairs; but, though we might deliberately stay at home at the hour when a traveler coming by the evening train would normally have arrived, and though we might contrive to forget for the moment that no trains were running, that game of make-believe, for obvious reasons, could not last.Always a moment came when we had to face the fact that no trains were coming in.And then we realized that the separation was destined to continue, we had no choice but to come to terms with the days ahead.In short, we returned to our prison-house, we had nothing left us but the past, and even if some were tempted to live in the future, they had speedily to abandon the idea—anyhow, as soon as could be—once they felt the wounds that the imagination inflicts on those who yield themselves to it."
"值得一提的是，市民们很快就放弃了要是在以前很可能会形成的习惯——设法推算流放可能持续的时间——即使是在公共场所也是如此。原因是这样：最悲观的人推算出可能的流放时间，比如说，六个月，他们对这半年暗无天日的日子事先做好准备，并鼓足勇气接受现实，竭尽全力来勇敢地忍受这漫长岁月的考验——当他们做好了这一切，他们遇见的某个朋友、报纸上的某篇文章、某种模糊的臆测或是一闪而过的远见都会提示他们，没有理由不相信疫病会持续半年以上，它为什么不会持续一年，甚至超过一年呢？","It is noteworthy that our townspeople very quickly desisted, even in public, from a habit one might have expected them to form—that of trying to figure out the probable duration of their exile.The reason was this: when the most pessimistic had fixed it at, say, six months; when they had drunk in advance the dregs of bitterness of those six black months, and painfully screwed up their courage to the sticking-place, straining all their remaining energy to endure valiantly the long ordeal of all those weeks and days—when they had done this, some friend they met, an article in a newspaper, a vague suspicion, or a flash of foresight would suggest that, after all, there was no reason why the epidemic shouldn’t last more than six months; why not a year, or even more?"
"这时他们的勇气、意志和耐力突然垮了下来，以致他们感到自己永远无法脱身于沮丧的深渊。因此他们强迫自己不再去想可能的解禁日期，不再去展望未来，也可以说强迫自己只看眼下的日子。但是这种谨慎，这种不愿勇敢面对困境挑战的做法自然效果不佳。因为，当他们回避自认为不能忍受的精神崩溃的时候，他们也剥夺了自己忘却鼠疫、想象日后团圆的幻想时刻，这些幻想在鼠疫爆发后常常出现。这样，他们在希望与失望之间，在毫无目标的生活和毫无结果的回忆里浮沉，就像一群漂泊不定的幽灵，只有甘愿扎根于痛苦的境地才能获得人的肉体之身。","At such moments the collapse of their courage, willpower, and endurance was so abrupt that they felt they could never drag themselves out of the pit of despond into which they had fallen.Therefore they forced themselves never to think about the problematic day of escape, to cease looking to the future, and always to keep, so to speak, their eyes fixed on the ground at their feet.But, naturally enough, this prudence, this habit of feinting with their predicament and refusing to put up a fight, was ill rewarded.For, while averting that revulsion which they found so unbearable, they also deprived themselves of those redeeming moments, frequent enough when all is told, when by conjuring up pictures of a reunion to be, they could forget about the plague.Thus, in a middle course between these heights and depths, they drifted through life rather than lived, the prey of aimless days and sterile memories, like wandering shadows that could have acquired substance only by consenting to root themselves in the solid earth of their distress."
"因此，他们也开始体会到一切囚徒和流放者无可救药的悲伤，那就是生活在无用的回忆之中。他们不断怀念的过去甚至也带有一种悔恨的味道。因为，他们真想把与现在他们等候归来的亲人以前在一起时能做而未做的事情加进回忆中去；所有的活动都是如此，甚至在囚禁生活相对快乐的时候，他们也总是徒劳地幻想着自己和身在外地的亲人在一起。这样，他们的生活里总是有种缺憾。对过去感到憎恨，对现在感到心焦，对未来感到绝望，我们像极了那些受到人类法律制裁或仇恨报复而生活在铁窗之后的囚徒。因而，逃避这种难以忍受的空虚感的唯一方法是再次让火车在幻想中驰骋，让寂静中充满动听的门铃声；现实是门铃顽固地沉默着。","Thus, too, they came to know the incorrigible sorrow of all prisoners and exiles, which is to live in company with a memory that serves no purpose.Even the past, of which they thought incessantly, had a savor only of regret.For they would have wished to add to it all that they regretted having left undone, while they might yet have done it, with the man or woman whose return they now awaited; just as in all the activities, even the relatively happy ones, of their life as prisoners they kept vainly trying to include the absent one.And thus there was always something missing in their lives.Hostile to the past, impatient of the present, and cheated of the future, we were much like those whom men’s justice, or hatred, forces to live behind prison bars.Thus the only way of escaping from that intolerable leisure was to set the trains running again in one’s imagination and in filling the silence with the fancied tinkle of a doorbell, in practice obstinately mute."
"那么，如果说这是一种流放，对大多数人来说，这是一种困在自己家中的放逐。虽然笔者体验的只是一般的流放生活，却不能不提一提像记者朗贝尔这类人所经历的加倍的离别之苦，因为这些被鼠疫困住的游客们被迫呆在这里，既见不着亲人，又远离家乡。在所有的流放者中，他们的感受最深。虽然他们在时间上承受的痛苦与大家一样，但他们还承受着空间上的痛苦。他们饱受思乡之苦，时时用头撞击着将他们与远在天涯的家乡隔离开来的疫区房屋的高墙。无疑，这些人经常整天都在尘土飞扬的城内孤独地徘徊，默默地呼唤着只有他们才知道的故乡乐土的黄昏与清晨。飞翔的燕子、黄昏的露珠或是那些太阳撒在僻静街道上的奇光异彩等飞逝而过却令人心烦意乱的迹象给他们徒增沮丧。对于这个能使人们摆脱一切的外部世界，他们闭上双眼不去观望，尽力沉浸在过于逼真的幻想之中，想象着一个沐浴在奇异光芒之下的世界，那里有两三座山丘、喜爱的树木、女人的微笑，这为他们构造了一种独一无二的境界。","Still, if it was an exile, it was, for most of us, exile in one’s own home.And though the narrator experienced only the common form of exile, he cannot forget the case of those who, like Rambert the journalist and a good many others, had to endure an aggravated deprivation, since, being travelers caught by the plague and forced to stay where they were, they were cut off both from the person with whom they wanted to be and from their homes as well.In the general exile they were the most exiled; since while time gave rise for them, as for us all, to the suffering appropriate to it, there was also for them the space factor; they were obsessed by it and at every moment knocked their heads against the walls of this huge and alien lazar-house secluding them from their lost homes.These were the people, no doubt, whom one often saw wandering forlornly in the dusty town at all hours of the day, silently invoking nightfalls known to them alone and the daysprings of their happier land.And they fed their despondency with fleeting intimations, messages as disconcerting as a flight of swallows, a dewfall at sundown, or those queer glints the sun sometimes dapples on empty streets.As for that outside world, which can always offer an escape from everything, they shut their eyes to it, bent as they were on cherishing the all-too-real phantoms of their imagination and conjuring up with all their might pictures of a land where a special play of light, two or three hills, a favorite tree, a woman’s smile, composed for them a world that nothing could replace."
"最后，专门来谈谈分隔两地的情侣的情况，这是笔者最感兴趣，恐怕也是笔者最有资格谈论的——他们心里承受着各种情感的折磨，尤其是悔恨。因为目前的状况使他们能够用一种极度客观的态度来重新审视以前的情感。而且，在这些情况下，他们通常不难发现自己的缺点。他们首先认识到自己很难想起不在身边的爱人的清晰画面。他们开始意识到自己全然不知对方的生活方式，责怪自己以前对此不仅太不了解，还装腔作势地以为，对恋人来说，不在一起时老占用着对方的时间是一种冷淡，而不是快乐的源泉。一旦意识到这一点，他们就能追溯过去的爱情，并发现它的不足之处。平时我们大家都自觉或不自觉地知道任何爱情都可以变得更完美。而我们或多或少都甘愿让自己的爱情停留在一般水平。但回忆不愿意作出妥协。毫无疑问，这场降临全城的飞来横祸不仅是给我们带来了不应承受的苦难，令我们可能愤慨不已。它还使我们自己给自己制造痛苦，并且甘愿接受被挫败的现状。这就是疫病转移人们注意力、混淆是非的伎俩。","To come at last, and more specifically, to the case of parted lovers, who present the greatest interest and of whom the narrator is, perhaps, better qualified to speak—their minds were the prey of different emotions, notably remorse.For their present position enabled them to take stock of their feelings with a sort of feverish objectivity.And, in these conditions, it was rare for them not to detect their own shortcomings.What first brought these home to them was the trouble they experienced in summoning up any clear picture of what the absent one was doing.They came to deplore their ignorance of the way in which that person used to spend his or her days, and reproached themselves for having troubled too little about this in the past, and for having affected to think that, for a lover, the occupations of the loved one when they are not together could be a matter of indifference and not a source of joy.Once this had been brought home to them, they could retrace the course of their love and see where it had fallen short.In normal times all of us know, whether consciously or not, that there is no love which can’t be bettered; nevertheless, we reconcile ourselves more or less easily to the fact that ours has never risen above the average.But memory is less disposed to compromise.And, in a very definite way, this misfortune which had come from outside and befallen a whole town did more than inflict on us an unmerited distress with which we might well be indignant.It also incited us to create our own suffering and thus to accept frustration as a natural state.This was one of the tricks the pestilence had of diverting attention and confounding issues."
"这样，每个人都甘愿活在当下，孤独一人在广袤而冷漠的天空下过日子。这种被遗弃的感觉也许能及时让人的脾气变得好一些，但却开始让人陷入一种无用的境地。比如说，有些市民开始受制于某种奇怪的奴役，让他们任凭天气阴晴的摆布。看他们的样子，你会觉得好像他们是生平头一次变得所谓对天气如此敏感。一线阳光足以令他们喜形于色，而雨天则让他们的脸庞和心情都阴沉下来。几个星期以前，他们还没有受到天气这种荒谬的奴役，因为他们不需独自面对生活。在某种程度上，和他们一起生活的亲人在他们狭小的世界里占据着最显著的位置。但从现在起，一切都变了。他们似乎任由善变的老天爷摆布——或者说，他们承受着痛苦却又毫无理性地抱着希望。","Thus each of us had to be content to live only for the day, alone under the vast indifference of the sky.This sense of being abandoned, which might in time have given characters a finer temper, began, however, by sapping them to the point of futility.For instance, some of our fellow citizens became subject to a curious kind of servitude, which put them at the mercy of the sun and the rain.Looking at them, you had an impression that for the first time in their lives they were becoming, as some would say, weather-conscious.A burst of sunshine was enough to make them seem delighted with the world, while rainy days gave a dark cast to their faces and their mood.A few weeks before, they had been free of this absurd subservience to the weather, because they had not to face life alone; the person they were living with held, to some extent, the foreground of their little world.But from now on it was different; they seemed at the mercy of the sky’s caprices—in other words, suffered and hoped irrationally."
"而且，在这种极度孤单的情况下，没人可以指望邻居来帮忙。每个人只得独自承受苦难的重负。如果我们中间有人偶尔想释放压力，或吐露些心声，那么无论对方作何回答，结果通常会伤害了他自己。他会明白他和谈话者之间没有共同语言。他自己表达的是多日来内心所受的痛苦，他想描绘的是在激情与悔恨的煎熬中逐渐形成并凝固的形象，而对方根本不明白，以为他说的只是普通的情感，那种随处可见、人人皆有的伤感。不管得到的回答是善意的还是恶意的，总是事与愿违，因此人们不想再与彼此交流。但至少有些人是这样，他们难以忍受沉默，而既然他人不能推心置腹地与之交谈，他们只好人云亦云，通常聊聊一般的故事、奇闻轶事和每天的报纸。所以，在这样的情况下，即使是最真实的悲伤也只得用最普通的套语来表达。鼠疫的囚徒们只有用这些话语来取得看门人的同情或引起听众的兴趣。","Moreover, in this extremity of solitude none could count on any help from his neighbor; each had to bear the load of his troubles alone.If, by some chance, one of us tried to unburden himself or to say something about his feelings, the reply he got, whatever it might be, usually wounded him.And then it dawned on him that he and the man with him weren’t talking about the same thing.For while he himself spoke from the depths of long days of brooding upon his personal distress, and the image he had tried to impart had been slowly shaped and proved in the fires of passion and regret, this meant nothing to the man to whom he was speaking, who pictured a conventional emotion, a grief that is traded on the market-place, mass-produced.Whether friendly or hostile, the reply always missed fire, and the attempt to communicate had to be given up.This was true of those at least for whom silence was unbearable, and since the others could not find the truly expressive word, they resigned themselves to using the current coin of language, the commonplaces of plain narrative, of anecdote, and of their daily paper.So in these cases, too, even the sincerest grief had to make do with the set phrases of ordinary conversation.Only on these terms could the prisoners of the plague ensure the sympathy of their concierge and the interest of their hearers."
"但是——这一点最重要——不管这些流放者因为空虚感到多么痛苦，心里有多么沉重，可以说他们在鼠疫的初期还算感觉是幸运的。因为就是在全城市民开始感到恐慌的时候，他们一心也只想着期待重逢的亲人。爱情的自我主义使他们免受一般的痛苦，如果他们想起鼠疫，只会想到这可能会造成与亲人的永久分离。因此，在疫病发作最厉害的时候，他们依然保持一种漠不关心的态度，简直可以是一种泰然自若。绝望让他们不再感到恐慌，因此，塞翁失马，焉知非福。比如说，即使他们中间有人被这场疫病夺去了性命，他自己也没有时间意识到这一点。当他与记忆中的影子进行绵长而无声的交流时，突然被死神揪了出来，然后直接被抛入永久的沉寂之中。他根本没有时间多想任何事情。","Nevertheless—and this point is most important—however bitter their distress and however heavy their hearts, for all their emptiness, it can be truly said of these exiles that in the early period of the plague they could account themselves privileged.For at the precise moment when the residents of the town began to panic, their thoughts were wholly fixed on the person whom they longed to meet again.The egoism of love made them immune to the general distress and, if they thought of the plague, it was only in so far as it might threaten to make their separation eternal.Thus in the very heart of the epidemic they maintained a saving indifference, which one was tempted to take for composure.Their despair saved them from panic, thus their misfortune had a good side.For instance, if it happened that one of them was carried off by the disease, it was almost always without his having had time to realize it.Snatched suddenly from his long, silent communion with a wraith of memory, he was plunged straightway into the densest silence of all.He’d had no time for anything."
"第九章","Chapter 9"
"当市民们正在设法适应这种突如其来的隔离生活时，鼠疫已使城门口安放了守卫，使前来奥兰的船只改变了行程。封城以来，没有任何车辆进过城。从那天起，人们感觉汽车仿佛都在绕城而行。","While our townspeople were trying to come to terms with their sudden isolation, the plague was posting sentries at the gates and turning away ships bound for Oran.No vehicle had entered the town since the gates were closed.From that day onwards one had the impression that all cars were moving in circles."
"从林阴大道高处俯瞰，港口也呈现出一种奇怪的景象。一直以来使这里成为整个海岸线上主要港口的商业活动突然销声匿迹了。只有几艘等候检疫的船只还停泊在海湾里。但码头上闲置着的大吊车、侧倚着的翻斗车、无人理会的成堆的袋子和桶——这一切都证明贸易也因鼠疫而衰败了。","The harbor, too, presented a strange appearance to those who looked down on it from the top of the boulevards.The commercial activity that hitherto made it one of the chief ports on the coast had ceased abruptly.Only a few ships, detained in quarantine, were anchored in the bay.But the gaunt, idle cranes on the wharves, tip-carts lying on their sides, neglected heaps of sacks and barrels—all testified that commerce, too, had died of plague."
"尽管有着如此不同寻常的景象，我们市民显然还很难明白究竟发生了什么。","In spite of such unusual sights our townsfolk apparently found it hard to grasp what was happening to them."
"人们有着共同的感受，比如恐惧和分离之感，但仍旧把个人利益放在首位。还没有一个人真正认识到疫病的含义。","There were feelings all could share, such as fear and separation, but personal interests, too, continued to occupy the foreground of their thoughts.Nobody as yet had really acknowledged to himself what the disease connoted."
"大多数人主要感到的是生活常规遭到了扰乱，个人利益受到了影响。他们感到焦虑和生气——但这些并非人们面对鼠疫时该有的情绪。比如，他们的第一反应便是责怪当局。报刊所反映的群众的批评——难道现在采取的措施不能放宽些？——迅速遭到省府的反驳，这有些出人意料。迄今为止，报纸和朗斯多克情报信息局都没有收到过有关疫病的官方统计数字。如今省府每天都把数据提供给该局，并要求每周公布一次。","Most people were chiefly aware of what ruffled the normal tenor of their lives or affected their interests.They were worried and irritated—but these are not feelings with which to confront plague.Their first reaction, for instance, was to abuse the authorities.The Prefect’s riposte to criticisms echoed by the press—Could not the regulations be modified and made less stringent?—was somewhat unexpected.Hitherto neither the newspapers nor the Ransdoc Information Bureau had been given any official statistics relating to the epidemic.Now the Prefect supplied them daily to the bureau, with the request that they should be broadcast once a week."
"然而公众对此所作的反应也没有想象中的那么迅速。因此公布的鼠疫第三周已有302人死亡这样的消息并没有激发公众的猜想。首先，这302人可能并非都死于鼠疫。其次，这座城里没人知道通常情况下每周的平均死亡率。本城的人口大约为20万。大家不知道现在的死亡率是否真的有那么不正常。事实上，从来没人太愿意关心这类数据——尽管它的意义很明显。总之，公众缺乏比较的标准。只有随着时间的流逝，死亡率的稳步上升不容忽视时，公众才开始意识到真相。第五周的死亡人数为321人，而第六周为345人。这些数字至少说明了问题。但是，尽管它们令人担忧，却还没有耸人听闻到足以改变人们的看法，人们依然认为这只是一场令人不快但一定为时不长的意外。","In this, too, the reaction of the public was slower than might have been expected.Thus the bare statement that three hundred and two deaths had taken place in the third week of plague failed to strike their imagination.For one thing, all the three hundred and two deaths might not have been due to plague.Also, no one in the town had any idea of the average weekly death-rate in ordinary times.The population of the town was about two hundred thousand.There was no knowing if the present death-rate were really so abnormal.This is, in fact, the kind of statistics that nobody ever troubles much about—notwithstanding that its interest is obvious.The public lacked, in short, standards of comparison.It was only as time passed and the steady rise in the death-rate could not be ignored that public opinion became alive to the truth.For in the fifth week there were three hundred and twenty-one deaths, and three hundred and forty-five in the sixth.These figures, anyhow, spoke for themselves.Yet they were still not sensational enough to prevent our townsfolk, perturbed though they were, from persisting in the idea that what was happening was a sort of accident, disagreeable enough, but certainly of a temporary order."
"因而，人们依然像以往一样，在城里到处闲逛，或在咖啡馆的露台上闲坐。一般来说，他们还不乏勇气，谈笑风声多于唉声叹气，对显然只是暂时的不悦似乎还能欣然接受。总之，人们在尽力撑着场面。但是，接近月底的时候，大约是在后面将要谈到的祈祷周里，更严重的事态发展改变了城里的整个面貌。首先，省府采取措施来控制交通和食物供给。汽油实行配给，粮食买卖受到限制。规定用电量也要减少。只有日用品可通过陆运或空运运入奥兰。这样，交通车辆逐步减少，直至马路上几乎看不到私家车。奢侈品店一夜之间都停业了，另一些店则贴出“货物售罄”的布告，而成群的顾客在店门口排队等候。","So they went on strolling about the town as usual and sitting at the tables on cafe terraces.Generally speaking, they did not lack courage, bandied more jokes than lamentations, and made a show of accepting cheerfully unpleasantnesses that obviously could be only passing.In short, they kept up appearances.However, toward the end of the month, about the time of the Week of Prayer which will be described later on, there were more serious developments, altering the whole aspect of the town.To begin with, the Prefect took measures controlling the traffic and the food-supply.Gasoline was rationed and restrictions were placed on the sale of foodstuffs.Reductions were ordered in the use of electricity.Only necessaries were brought by road or air to Oran.Thus the traffic thinned out progressively until hardly any private cars were on the roads; luxury shops closed overnight, and others began to put up “Sold Out” notices, while crowds of buyers stood waiting at their doors."
"奥兰呈现出一片新奇的景象。行人更多了，即使不是在高峰时刻，也有很多人挤在大街上或是咖啡馆里，因为商店和许多办事处都关闭了，人们闲着无事可做。眼下他们还没有失业，他们只是在度假。因此，在天气晴朗的日子里，下午快三点钟的时侯，奥兰就像是一座正在举行公众庆祝活动的城市：关上店门，停止交通，以便给制造欢乐的民众留出活动的空间。","Oran assumed a novel appearance.You saw more pedestrians, and in the slack hours numbers of people, reduced to idleness because shops and a good many offices were closed, crowded the streets and cafes.For the present they were not unemployed; merely on holiday.So it was that on fine days, toward three in the afternoon, Oran brought to mind a city where public rejoicings are in progress, shops are shut, and traffic is stopped to give a merry-making populace the freedom of the streets."
"电影院自然会利用这种状况，轻而易举地大赚一笔。不过，它们遇到了一个难题——交换影片的问题，因为这个地区影片的轮流放映已经中断。","Naturally the picture-houses benefited by the situation and made money hand over fist.They had one difficulty, however—to provide a change of program, since the circulation of films in the region had been suspended."
"两周后，各电影院不得不相互交换影片，又过了更长一段时间后，电影院只好循环放着同样的片子。尽管如此，它们的收入并没有减少。","After a fortnight the various cinemas were obliged to exchange films and, after a further lapse of time, to show always the same program.In spite of this their takings did not fall off."
