"第一章 两位风情女子的定论","CHAPTER I THE LAST WORD OF TWO GREAT COQUETTES"
"达尼埃尔·德阿尔泰兹的一生都投入到工作当中；他对社会的了解支离破碎；对他来说社会只是一种虚幻的梦境。他的家像个修道院，在这里他过着本笃会修道士般的生活：有节制地饮食，有规律地工作。他的朋友都知道至今他仍害怕和女人接触，那会令他窒息；他对女人观察得太细致了以至于对其产生了一种恐惧感；结果对女人的研究越深入，越不了解女人——就像那些高深的战略家一样，总会在一些意料不到的阵地被击败，因为此时的实际情况与他们在书上看到的理论不相符或相悖。如今他依然是一个心思纯净的小伙子，却总是摆出观察员的派头来。表面上看，这种对比让人难以接受，但是对于那些善于把握才能和情感之间尺度的人来说，可以解释得通：有才能的人用头脑行事，心思细腻的人则凭借感情。因此一个人可以既邪恶又伟大，就像一个傻瓜同时又是个忠实的情人一样。德阿泰兹就是这样一个幸运儿，他才思敏捷，精力充沛，既拥有坚强的意志，又不乏伟大的感情。他既是实干家，又是思想家，拥有这种罕见的天赋。他的个人生活高尚而丰富。如果他刻意回避爱情，那是因为他有自知之明，他预感爱情的威力会给他带来很大的影响。","The whole existence of Daniel d’Arthez is consecrated to work; he sees society only by snatches; it is to him a sort of dream.His house is a convent, where he leads the life of a Benedictine; the same sobriety of regimen, the same regularity of occupation.His friends knew that up to the present time woman had been to him no more than an always dreaded circumstance; he had observed her too much not to fear her; but by dint of studying her he had ceased to understand her,—like, in this, to those deep strategists who are always beaten on unexpected ground, where their scientific axioms are either modified or contradicted.In character he still remains a simple-hearted child, all the while proving himself an observer of the first rank.This contrast, apparently impossible, is explainable to those who know how to measure the depths which separate faculties from feelings; the former proceed from the head, the latter from the heart.A man can be a great man and a wicked one, just as he can be a fool and a devoted lover.D’Arthez is one of those privileged beings in whom shrewdness of mind and a broad expanse of the qualities of the brain do not exclude either the strength or the grandeur of sentiments.He is, by rare privilege, equally a man of action and a man of thought.His private life is noble and generous.If he carefully avoided love, it was because he knew himself, and felt a premonition of the empire such a passion would exercise upon him."
"数年来，他辛苦地工作，以便为自己接下来的创作打好坚实的基础，加之凄惨的生活，倒成了防止他生活堕落的预防剂。","For several years the crushing toil by which he prepared the solid ground of his subsequent works, and the chill of poverty, were marvellous preservatives."
"但生活渐渐富裕以后，他同一个漂亮的女人有了一段庸俗的、让人最捉摸不透的恋情：这个女人出身下层阶级，没有受过什么教育，也毫无高贵的气质，但却被他小心地呵护着。米歇尔·克雷斯蒂曾承认天才人物能将最普通的女人变成窈窕淑女，使愚笨的女人变成才女，将村妇变成侯爵夫人；越是有成就的女人在他们眼里越是没有价值；因为米歇尔认为天才人物的想象力在这些女人身上发挥不了太大的作用。他认为，爱情之于下等人，只是感官的需要；而之于崇高的灵魂，则是最伟大、最具吸引力的精神创造。为了替德阿泰兹辩解，他还举了拉斐尔和福娜丽娜的例子。其实他本可举自己作为这种理论的一个例子：他曾将德摩弗里纽斯公爵夫人看成一个天使。可以从其他方面来解释德阿泰兹的这种奇怪的幻想：他可能早就感到绝望，认为根本找不到一个符合所有仁人志士所梦想和期待的尘世上的美女；或许是他的心太过敏感、太过细腻，不愿结交一个世俗女子；抑或他认为最好还是顺其自然，继续幻想理想的爱人；或者是他认为爱情与工作无法协调，而且妨碍他的隐士生活而将这件事搁置。","But when ease with his inherited fortune came to him, he formed a vulgar and most incomprehensible connection with a rather handsome woman, belonging to the lower classes, without education or manners, whom he carefully concealed from every eye.Michel Chrestien attributed to men of genius the power of transforming the most massive creatures into sylphs, fools into clever women, peasants into countesses; the more accomplished a woman was, the more she lost her value in their eyes, for, according to Michel, their imagination had the less to do.In his opinion love, a mere matter of the senses to inferior beings, was to great souls the most immense of all moral creations and the most binding.To justify d’Arthez, he instanced the example of Raffaele and the Fornarina.He might have offered himself as an instance for this theory, he who had seen an angel in the Duchesse de Maufrigneuse.This strange fancy of d’Arthez might, however, be explained in other ways; perhaps he had despaired of meeting here below with a woman who answered to that delightful vision which all men of intellect dream of and cherish; perhaps his heart was too sensitive, too delicate, to yield itself to a woman of society; perhaps he thought best to let nature have her way, and keep his illusions by cultivating his ideal; perhaps he had laid aside love as being incompatible with his work and the regularity of a monastic life which love would have wholly upset."
"过去的几个月，布隆代和德拉斯蒂涅经常嘲笑讽刺德阿泰兹，责备他根本不了解这个世界，也不了解女人。他们认为像他这样一个相当有成就、相当多产的人可以享受一下生活了；他拥有丰厚的财产，却还过着学生般的生活；他既不懂得享用金钱，也不懂得享用功名；他既摒弃贵族阶级放纵奢华的生活，也不喜欢贵族出身的女人所向往和体验的美妙的爱情；他不会说一些甜言蜜语，且对浓妆艳抹的女人不断提及的鸡毛蒜皮之事毫无兴致。他或许了解女人；但他对女人的神性一无所知。他应该在巴黎社会中找到适合自己的位置，细细地品味生活的快乐。","For several months past d’Arthez had been subjected to the jests and satire of Blondet and Rastignac, who reproached him with knowing neither the world nor women.According to them, his authorship was sufficiently advanced, and his works numerous enough, to allow him a few distractions; he had a fine fortune, and here he was living like a student; he enjoyed nothing,—neither his money nor his fame; he was ignorant of the exquisite enjoyments of the noble and delicate love which well-born and well-bred women could inspire and feel; he knew nothing of the charming refinements of language, nothing of the proofs of affection incessantly given by refined women to the commonest things.He might, perhaps, know woman; but he knew nothing of the divinity.Why not take his rightful place in the world, and taste the delights of Parisian society?"
"“你家有正面红、金两色斜线分角式，反面镶有珐琅图案的盾形家徽，你为什么不把这个皮卡尔迪古老盾章镶在你的马车上？”拉斯蒂涅喊道，“你每年有三万法郎的收入，外加你的稿费；你也证实了你的箴言：艺术乃德行的宝库（这是一句拉丁文）这句话用了双关的艺术手法，也是我们祖先一直追求的境界，而你从未到布洛涅森林漫游过，却得出这样的箴言，这是值得骄傲的事。我们生活的这个时代需要自己用德行去彰显自己。”","“Why doesn’t a man who bears party per bend gules and or, a bezant and crab counterchanged,” cried Rastignac, “display that ancient escutcheon of Picardy on the panels of a carriage?You have thirty thousand francs a year, and the proceeds of your pen; you have justified your motto: Ars thesaurusque virtus, that punning device our ancestors were always seeking, and yet you never appear in the Bois de Boulogne!We live in times when virtue ought to show itself.”"
"“如果拉弗雷特那样的庸俗女人能够读懂你的作品，能给你带来快乐，你就把她留下，我会原谅你的。”布隆代说，“可是我亲爱的朋友，在物质上来讲，你要是仅仅满足于干面包的话，那么在精神方面你甚至连面包都没有。”","“If you read your works to that species of stout Laforet, whom you seem to fancy, I would forgive you,” said Blondet.“But, my dear fellow, you are living on dry bread, materially speaking; in the matter of intellect you haven’t even bread.”"
"达尼埃尔和他的朋友们之间的这种友好的小征战持续了好几个月，这时德帕夫人请求拉斯蒂涅和布隆代劝说德阿泰兹到她家赴宴，并告诉他们说德卡迪央王妃非常渴望认识这位伟大的人物。一些女人对这类事情的好奇心就像孩子们痴迷魔幻的走马灯一样，只是为了换取眼球的片刻欢愉，却往往流于肤浅，令人失望。一个天才人物越是在远处有名声，那么靠近他时就会越失望；人们越是把他幻想得光芒四射，现实中他就会越显得黯然失色。因此，人一旦失去了好奇心就会常常做出不公正的评价。","This friendly little warfare had been going on for several months between Daniel and his friends, when Madame d’Espard asked Rastignac and Blondet to induce d’Arthez to come and dine with her, telling them that the Princesse de Cadignan had a great desire to see that celebrated man.Such curiosities are to certain women what magic lanterns are to children,—a pleasure to the eyes, but rather shallow and full of disappointments.The more sentiments a man of talent excites at a distance, the less he responds to them on nearer view; the more brilliant fancy has pictured him, the duller he will seem in reality.Consequently, disenchanted curiosity is often unjust."
"不管是布隆代还是拉斯蒂涅都不会欺骗德阿泰兹；但他们笑着告诉他说，现在他们将给他提供一个可以洗涤心灵的绝佳机会，还可以体验来自一位巴黎贵妇所给予的崇高爱情。再说王妃无疑是爱上他了；他没有什么可担心的，只要接受这次邀请他就会赢得一切。他绝不会从德卡迪央夫人为他安置的台座上掉下来的。布隆代和拉斯蒂涅都不认为他们之间的爱情有什么不妥。她过去有许多风流韵事，当然可以经得住轻微的诽谤。于是，两个人开始轮流给德阿泰兹讲述德摩弗里纽斯公爵夫人的风流韵事：最初是和德马尔赛恋爱，第二次和德阿瞿达之间的暧昧行为拆散了他的家庭，并借此向德博桑夫人报复；后来她又和年轻的德埃斯格里尼来往，这个男人陪她到意大利旅行，并为了这个女人使自己声名狼藉；再后来她又和一位出色的大使搞得很不愉快，和一位俄国上将倒是很幸福；还有她怎样成为两位外交部长的顾问等等。德阿泰兹告诉他们他是从可怜的亡友米歇尔·克雷斯蒂安那里得知关于王妃的事，比他们告诉他的还要多，因为克雷斯蒂安暗恋她四年，几乎为她发了疯。","Neither Blondet nor Rastignac could deceive d’Arthez; but they told him, laughing, that they now offered him a most seductive opportunity to polish up his heart and know the supreme fascinations which love conferred on a Parisian great lady.The princess was evidently in love with him; he had nothing to fear but everything to gain by accepting the interview; it was quite impossible he could descend from the pedestal on which madame de Cadignan had placed him.Neither Blondet nor Rastignac saw any impropriety in attributing this love to the princess; she whose past had given rise to so many anecdotes could very well stand that lesser calumny.Together they began to relate to d’Arthez the adventures of the Duchesse de Maufrigneuse: her first affair with de Marsay; her second with d’Ajuda, whom she had, they said, distracted from his wife, thus avenging Madame de Beausant; also her later connection with young d’Esgrignon, who had travelled with her in Italy, and had horribly compromised himself on her account; after that they told him how unhappy she had been with a certain celebrated ambassador, how happy with a Russian general, besides becoming the Egeria of two ministers of Foreign affairs, and various other anecdotes.D’Arthez replied that he knew a great deal more than they could tell him about her through their poor friend, Michel Chrestien, who adored her secretly for four years, and had well-nigh gone mad about her."
"“我经常和他一块去意大利歌剧院。”达尼埃尔说，那时我经常陪着这位朋友在街道上跟着她的马车跑，速度几乎比得上拉车的马，为的是能够透过车窗一睹王妃的芳容。”","“I have often accompanied him,” said Daniel, “to the opera.He would make me run through the streets as far as her horses that he might see the princess through the window of her coupe.”"
"“那么你们就有了一个共同的话题了。”布隆代笑着说，“她才是配得上你的女人；她会亲近你，并且温柔地告诉你如何使自己行为优雅，但是你得当心！她曾经耗尽了许多有钱人的钱财。美丽的迪亚娜是一个十足的挥霍者，她不会让别人为她花一分钱，但却有人愿意为她花成千上百万法郎。你尽管全心全意去爱她吧，但是要守住你的财产，就像吉罗德《洪水》中的老头一样。”","“Well, there you have a topic all ready for you,” said Blondet, smiling.“This is the very woman you need; she’ll initiate you most gracefully into the mysteries of elegance; but take care!she has wasted many fortunes.The beautiful Diane is one of those spendthrifts who don’t cost a penny, but for whom a man spends millions.Give yourself up to her, body and soul, if you choose; but keep your money in your hand, like the old fellow in Girodet’s ‘Deluge.’”"
"这番谈话让人觉得王妃深不可测，既有皇后的万般仪态，又有外交官的腐败，同时又给人一种初识的神秘，又让人觉得她像海上女妖之类的危险人物。这两个聪明人无法预知这场闹剧的结局，但却成功地将迪亚娜·德于克赛尔塑造成一个完美的巴黎贵妇，一个聪明的妖艳女郎，一个最让人着迷的情人。不管怎样，这个被他们视为轻浮的女人，对德阿泰兹来说，仍然是神圣而纯洁的。他急切地想要见到她，所以一开始他就同意接受邀请，而这也是两位朋友想要的结果。","From the tenor of these remarks it was to be inferred that the princess had the depth of a precipice, the grace of a queen, the corruption of diplomatists, the mystery of a first initiation, and the dangerous qualities of a siren.The two clever men of the world, incapable of foreseeing the denouement of their joke, succeeded in presenting Diane d’Uxelles as a consummate specimen of the Parisian woman, the cleverest of coquettes, the most enchanting mistress in the world.Right or wrong, the woman whom they thus treated so lightly was sacred to d’Arthez; his desire to meet her needed no spur; he consented to do so at the first word, which was all the two friends wanted of him."
"德帕夫人一得到消息就去拜访王妃。","Madame d’Espard went to see the princess as soon as she had received this answer."
"“亲爱的，你不觉得自己很漂亮，很迷人吗？”她说。“那么过几天来我家做客吧，我会把德阿泰兹介绍给你。我们的这位天才生性孤僻，最害怕女人，而且从未谈过恋爱。好好计划计划这事吧。他极其聪颖，他的纯朴会打消你的任何怀疑。但他的洞察力属于后发性的，他会后发制人，打乱你的一切计谋。今天你可能蒙骗他，明天就别想让他上你的当了。”","“My dear, do you feel yourself in full beauty and coquetry?” she said.“If so, come and dine with me a few days hence, and I’ll serve up d’Arthez.Our man of genius is by nature, it seems, a savage; he fears women, and has never loved!Make your plans on that.He is all intellect, and so simple that he’ll mislead you into feeling no distrust.But his penetration, which is wholly retrospective, acts later, and frustrates calculation.You may hoodwink him to-day, but to-morrow nothing can dupe him.”"
"“啊！”王妃叫道，“要是我只有三十岁，我就能痛快地和他乐一乐！如今我唯一没有体验的快乐就是玩弄一个聪明的男人。我以前碰到的仅仅是伙伴，从未遇到过对手。爱情本身就是一场游戏而非一场战斗。”","“Ah!” cried the princess, “if I were only thirty years old what amusement I might have with him!The one enjoyment I have lacked up to the present is a man of intellect to fool.I have had only partners, never adversaries.Love was a mere game instead of being a battle.”"
"“亲爱的王妃，你得承认我已经够慷慨的了；你知道毕竟施恩于人……”","“Dear princess, admit that I am very generous; for, after all, you know!—charity begins at home.”"
"两个女人相视而笑，并友好地握了握手。显然她们彼此了解对方的秘密，这种秘密不仅仅与一个男人有关，也不仅仅是一方给另一方提供帮助。因为女人要想使她们之间的友谊持续长久，需要共同使用一些小伎俩才会变得巩固。一旦两个朋友面临冲突，就会拼个你死我活，她们会短兵相接，怒目而视，这种场面是多么惊心动魄，直到其中一位无意中丢掉手中的凶器，才会打破这种可怕的局面。","The two women looked at each other, laughing, and clasped hands in a friendly way.Assuredly they both knew each other’s secrets, and this was not the first man nor the first service that one had given to the other; for sincere and lasting friendships between women of the world need to be cemented by a few little crimes.When two friends are liable to kill each other reciprocally, and see a poisoned dagger in each other’s hand, they present a touching spectacle of harmony, which is never troubled, unless, by chance, one of them is careless enough to drop her weapon."
"一个礼拜后，侯爵夫人在家里举行了小型的节日晚宴，那是专门为亲友们举办的晚会，所有的来宾都只接到口头邀请，在那期间外面的大门总是紧闭着，不接待其他来访者。这天的晚会只有五位客人：艾米尔·布隆代和德蒙科尔内夫人，达尼埃尔·德阿泰兹，拉斯蒂涅以及德卡迪央王妃。算上这位女主人刚好男女对半。","So, eight days later, a little dinner such as are given to intimates by verbal invitation only, during which the doors are closed to all other visitors, took place at Madame d’Espard’s house.Five persons were invited,—Emile Blondet and Madame de Montcornet, Daniel d’Arthez, Rastignac, and the Princesse de Cadignan.Counting the mistress of the house, there were as many men as women."
"德阿泰兹和德卡迪央王妃的会面绝非偶然，而是经过了精心而周全的准备。王妃的穿着打扮依然无人能比，无疑，这对于女人来说是首要的艺术。这次，她穿了一件衬有白色宽大长袖的蓝色敞胸式天鹅绒长袍，带着一条略微褶皱的蓝色镶边网纱围巾，从脖子一直盖到她的肩部，就像人们在拉斐尔的画像中看到的那样。她的女仆给她梳了别出心裁的发式，将几朵白色的石楠花巧妙地嵌入她那卷曲下垂的金发里面，这头金发也是她赢得美人称号的原因之一。","Chance never exerted itself to make wiser preparations than those which opened the way to a meeting between d’Arthez and Madame de Cadignan.The princess is still considered one of the chief authorities on dress, which, to women, is the first of arts.On this occasion she wore a gown of blue velvet with flowing white sleeves, and a tulle guimpe, slightly frilled and edged with blue, covering the shoulders, and rising nearly to the throat, as we see in several of Raffaele’s portraits.Her maid had dressed her hair with white heather, adroitly placed among its blond cascades, which were one of the great beauties to which she owed her celebrity."
"可以肯定地说，迪亚娜看起来超不过二十五岁。四年的独处生活和充分的修养使她重新焕发了青春。而且，当她们渴求快乐的时候，她们的美貌就会增加。这种意愿随着她们脸部表情的变化而变化。如果激动的情绪能够使坏脾气的、易感伤的人那苍白的肤色变黄，使苍白无力的脸变青，那么我们的欲望、希望、快乐就能够使我们容光焕发，眼睛明亮，为美貌更添光彩，使之如同可爱的清晨那样闪闪发光。王妃独有的迷离如今显得成熟，使她更加令人敬畏。此刻，她正在思考着自己经历过的多次坎坷，认真地反省着自己的过去，这使她那高贵而恍惚的眉毛和她那双蓝眼睛发出的缓慢而庄严的神情自然地融合在一起。即使最高明的相学家，也不可能从她那纤细的面部线条看出她内心隐藏的心机和固执。女人善于利用表情来隐藏心计，她们的冷静和娇弱更是误导人们的观察；因此当她们的情欲发挥作用时，要注意观察她们的面部表情，这也许很困难；而此后的观察将无济于事，因为那时女人会慢慢变老，已经无需掩饰自己了。","Certainly Diane did not look to be more than twenty-five years old.Four years of solitude and repose had restored the freshness of her complexion.Besides, there are moments when the desire to please gives an increase of beauty to women.The will is not without influence on the variations of the face.If violent emotions have the power to yellow the white tones of persons of bilious and melancholy temperament, and to green lymphatic faces, shall we not grant to desire, hope, and joy, the faculty of clearing the skin, giving brilliancy to the eye, and brightening the glow of beauty with a light as jocund as that of a lovely morning?The celebrated faintness of the princess had taken on a ripeness which now made her seem more august.At this moment of her life, impressed by her many vicissitudes and by serious reflections, her noble, dreamy brow harmonized delightfully with the slow, majestic glance of her blue eyes.It was impossible for the ablest physiognomist to imagine calculation or self-will beneath that unspeakable delicacy of feature.There were faces of women which deceive knowledge, and mislead observation by their calmness and delicacy; it is necessary to examine such faces when passions speak, and that is difficult, or after they have spoken, which is no longer of any use, for then the woman is old and has ceased to dissimulate."
"王妃就是这样一个让人琢磨不透的女人。她能够随心所欲地扮演任何角色：淘气顽皮、天真无邪的孩子；有时又变得深邃严肃、高深莫测，让人兴奋得有点急躁。她这次来侯爵夫人家，就有心装扮得温柔清纯，让人觉得她是一个被人多次欺骗的女人；一个心地善良却常遭人诽谤、逆来顺受的女人。总之，自己就像一个受伤的天使。","The princess is one of those impenetrable women; she can make herself what she pleases to be: playful, childlike, distractingly innocent; or reflective, serious, and profound enough to excite anxiety.She came to Madame d’Espard’s dinner with the intention of being a gentle, simple woman, to whom life was known only through its deceptions: a woman full of soul, and calumniated, but resigned,—in short, a wounded angel."
"她来得很早，这样就可以挨着德帕夫人坐在壁炉旁边的沙发上，让别人第一眼就看到她：这是一种刻意安排、却掩盖在优美的自然状态下的姿势；一种经过再三琢磨而发现的姿势。这种姿势展示了她那漂亮的身体曲线：从脚踝优雅到胯部，再从圆润凸起的部位过渡到肩部，将整个美丽婀娜的轮廓展现在人们面前。另外，她还有聪明的一手，这是其他女人都不曾想到的，也令侯爵夫人大吃一惊，那就是她带了年轻的儿子陪她赴宴。片刻的沉思之后，德帕夫人警觉地地按了按王妃的手，似乎在说：","She arrived early, so as to pose on a sofa near the fire beside Madame d’Espard, as she wished to be first seen: that is, in one of those attitudes in which science is concealed beneath an exquisite naturalness; a studied attitude, putting in relief the beautiful serpentine outline which, starting from the foot, rises gracefully to the hip, and continues with adorable curves to the shoulder, presenting, in fact, a profile of the whole body.With a subtlety which few women would have dreamed of, Diane, to the great amazement of the marquise, had brought her son with her.After a moment’s reflection, Madame d’Espard pressed the princess’s hand, with a look of intelligence that seemed to say:—"
"“我懂你的心思！刚开始就让德阿泰兹接受一切困难，以后就不用为这些事费神了。”","“I understand you!By making d’Arthez accept all the difficulties at once you will not have to conquer them later.”"
"拉斯蒂涅和达尔阿泰兹一起赶到。王妃没有像其他庸俗的人一样一个劲地恭维这位大作家，她没有说半句恭维话，而是优雅大度地表现出对他的友好和敬重，这已是她做出的最大程度的让步。她对法国国王和亲王们大概也是持这样的态度。她似乎很高兴见到这位大人物，也为追求过他而快乐。像王妃这样有品位的女人之所以与众不同，在于她们聆听的方式，以及谦卑的亲切神态，这样才能显示出礼貌的态度，正如美德要体现在行动上。当这位名人说话的时候，她那种专心聆听的神态比那最动听的恭维话还要使人陶醉一千倍。侯爵夫人以一种既不夸张又恰如其分的方式介绍两人认识。","Rastignac brought d’Arthez.The princess made none of those compliments to the celebrated author with which vulgar persons overwhelmed him; but she treated him with a kindness full of graceful respect, which, with her, was the utmost extent of her concessions.Her manner was doubtless the same with the King of France and the royal princes.She seemed happy to see this great man, and glad that she had sought him.Persons of taste, like the princess, are especially distinguished for their manner of listening, for an affability without superciliousness, which is to politeness what practice is to virtue.When the celebrated man spoke, she took an attentive attitude, a thousand times more flattering than the best—seasoned compliments.The mutual presentation was made quietly, without emphasis, and in perfectly good taste, by the marquise."
"晚宴上，德阿泰兹被安排坐在王妃旁边，王妃并没有模仿一般惯作媚态的女人的节食行为，而是吃的津津有味，显得自然纯朴，也没有任何古怪夸张的行为。上完一道菜后，她利用大家谈话的空当，找机会大方地同德阿泰兹交谈：","At dinner d’Arthez was placed beside the princess, who, far from imitating the eccentricities of diet which many affected women display, ate her dinner with a very good appetite, making it a point of honor to seem a natural woman, without strange ways or fancies.Between two courses she took advantage of the conversation becoming general to say to d’Arthez, in a sort of aside:—"
"“先生，坐在您旁边我感到很荣幸，其秘密在于我想要了解一些您那不幸朋友的事。同我们相比，他为了更崇高的事业而献身。虽然我欠他很大的人情，却不能为此向他感恩或表达谢意。我知道你是他最好的朋友之一。你们之间纯洁而牢不可变的友谊使您有亲近我的权利。我想从您那里得知关于这个您十分亲近的人的一切，我相信您不会对此感到惊讶吧。虽然我出身流浪家族，并且持有保王派政见，但是我并不属于那类认为共和党人就不可能心地高贵的人。专制与共和政体只是政府组织的两种形式，都不能镇压崇高的意念。”","“The secret of the pleasure I take in finding myself beside you, is the desire I feel to learn something of an unfortunate friend of yours, monsieur.He died for another cause greater than ours; but I was under the greatest obligations to him, although unable to acknowledge or thank him for them.I know that you were one of his best friends.Your mutual friendship, pure and unalterable, is a claim upon me.You will not, I am sure, think it extraordinary, that I have wished to know all you could tell me of a man so dear to you.Though I am attached to the exiled family, and bound, of course, to hold monarchical opinions, I am not among those who think it is impossible to be both republican and noble in heart.Monarchy and the republic are two forms of government which do not stifle noble sentiments.”"
"“夫人，米歇尔·克雷斯蒂安是个天使，”达尼埃尔动情地回答，“古代的英雄没人能比得上他的。您可不要把他当作那些一心想要恢复国会和公安委员会设施的心胸狭隘的共和党人。要是那样像就错了，米歇尔希望在整个欧洲实行瑞士的联邦制。我们不妨承认，在我们中间备受推崇的是个人专制体制，我认为这种体制特别适合我们的国家，而米歇尔主张在旧大陆上消灭战争，废除旧的兼并战争所造成的封建割据，建立新的社会体制。从这一点而言，共和党人和他的观点最为接近。这也是他参加七月革命并在圣梅丽修道院被害的原因。虽然政见完全不同，但我们始终紧密地团结在一起。”","“Michel Chrestien was an angel, madame,” replied Daniel, in a voice of emotion.“I don’t know among the heroes of antiquity a greater than he.Be careful not to think him one of those narrow-minded republicans who would like to restore the Convention and the amenities of the Committee of Public Safety.No, Michel dreamed of the Swiss federation applied to all Europe.Let us own, between ourselves, that AFTER the glorious government of one man only, which, as I think, is particularly suited to our nation, Michel’s system would lead to the suppression of war in this old world, and its reconstruction on bases other than those of conquest, which formerly feudalized it.From this point of view the republicans came nearest to his idea.That is why he lent them his arm in July, and was killed at Saint-Merri.Though completely apart in opinion, he and I were closely bound together as friends.”"
"“这番话是对你们两种性格的最好的称赞。”德卡迪央王妃谨慎地说。","“That is noble praise for both natures,” said Madame de Cadignan, timidly."
"“在他生命的最后四年中，”达尼埃尔接着说，“他只对我倾吐了对您的爱情。这种推心置腹的交谈使我们曾经亲密的兄弟之情更加深厚。夫人，唯有他对您的爱才是您应当享有的爱情。很多次，我们冒着瓢泼大雨追赶您的马车，和您的马赛跑，为的是和您的马车保持同步，以便能够看到您，欣赏您的容颜。”","“During the last four years of his life,” continued Daniel, “he made to me alone a confidence of his love for you, and this confidence knitted closer than ever the already strong ties of brotherly affection.He alone, madame, can have loved you as you ought to be loved.Many a time I have been pelted with rain as we accompanied your carriage at the pace of the horses, to keep at a parallel distance, and see you—admire you.”"
"“啊！先生，我怎样才能偿还这些感情呢？”王妃说。","“Ah! monsieur,” said the princess, “how can I repay such feelings!”"
"“要是米歇尔现在在这里该多好呀！”达尼埃尔伤感地叹息道。","“Why is Michel not here!” exclaimed Daniel, in melancholy accents."
"“也许他不应该对我如此痴迷。”王妃摇摇头，伤心地说，“共和党人的思想比我们专制派的思想更严酷，我们的失误在于太过于放纵自己。他无疑把我想象得太完美了，社会迟早会令他发现这一点的。我们女人在生活中所遭受的诽谤恐怕并不亚于你们在创作生涯中所经受的非议；不同的是，哎！我们既不能用自己的作品来自卫，也不能用声誉来保护自己。世人不会相信我们的本真面目，只会相信别人虚构后的假象。不久真相便会被这种假象所蒙蔽，人们会认为那个虚构的女人就是不为人知的现实中的我，这只是世人幻想中的我的虚假画像。那样的话，他也许就会认为我是不值得他为我付出高贵的感情的，而我也不可能了解他。”","“Perhaps he would not have loved me long,” said the princess, shaking her head sadly.“Republicans are more absolute in their ideas than we absolutists, whose fault is indulgence.No doubt he imagined me perfect, and society would have cruelly undeceived him.We are pursued, we women, by as many calumnies as you authors are compelled to endure in your literary life; but we, alas!cannot defend ourselves either by our works or by our fame.The world will not believe us to be what we are, but what it thinks us to be.It would soon have hidden from his eyes the real but unknown woman that is in me, behind the false portrait of the imaginary woman which the world considers true.He would have come to think me unworthy of the noble feelings he had for me, and incapable of comprehending him.”"
"说到这里，王妃动情地摇了摇头，她那漂亮的金色卷发和头上的石南花都随之晃动起来，显得楚楚动人。她那种痛苦的表情所包含的复杂疑虑和内心隐藏的伤痛是难以言表的。达尼埃尔明白这一切；他用关切的眼神看着王妃。","Here the princess shook her head, swaying the beautiful blond curls, full of heather, with a touching gesture.This plaintive expression of grievous doubts and hidden sorrows is indescribable.Daniel understood them all; and he looked at the princess with keen emotion."
"“然而，七月革命过后的一天晚上，我在歌剧院的走廊里又见到他，我差点控制不住自己，想要过去拉住他的手，当着众人的面握住他的手。但是我又想到这样的感激方式或许会引起旁人的误解，就像我过去所做的许多高尚行为，德摩弗里纽斯公爵夫人至今还认为是疯狂的举动。这些事我无法解释清楚，除了我的儿子和上帝无人能够理解我。","“And yet, the night on which I last saw him, after the revolution of July, I was on the point of giving way to the desire I felt to take his hand and press it before all the world, under the peristyle of the opera-house.But the thought came to me that such a proof of gratitude might be misinterpreted; like so many other little things done from noble motives which are called to-day the follies of Madame de Maufrigneuse—things which I can never explain, for none but my son and God have understood me.”"
"她在德阿泰兹的耳边说这些话，以免别的客人听见，她用的是最高明的演员所用的声调，定能打动人的心。而这些话确实让德阿泰兹为之动容。她并不是在讨好这位作家，而是想要借助对死者的悼念来恢复自己的名誉。她可能被诽谤过。显然她想知道自己在这个死去的爱慕者眼中是否始终光鲜照人，他是否死去的时候还对她抱有幻想？","These words, breathed into the ear of the listener, in tones inaudible to the other guests, and with accents worthy of the cleverest actress, were calculated to reach the heart; and they did reach that of d’Arthez.There was no question of himself in the matter; this woman was seeking to rehabilitate herself in favor of the dead.She had been calumniated; and she evidently wanted to know if anything had tarnished her in the eyes of him who had loved her; had he died with all his illusions?"
"“米歇尔是个对爱情绝对专一的人，即使自己选错了对象，他也甘心忍受痛苦，也不会放弃他所选择的爱人。”德阿泰兹回答。","“Michel,” replied d’Arthez, “was one of those men who love absolutely, and who, if they choose ill, can suffer without renouncing the woman they have once elected.”"
"“他就是这样爱我的吗？”王妃带着一种无比幸福的狂喜问道。","“Was I loved thus?” she said, with an air of exalted beatitude."
"“是的，夫人。”","“Yes, madame.”"
"“我使他幸福吗？”","“I made his happiness?”"
"“整整四年。”","“For four years.”"
"“一个女人听到这样的事情，会感到无比骄傲和满足的。”她把甜美高贵的脸转向德阿泰兹，满脸羞愧地说。","“A woman never hears of such a thing without a sentiment of proud satisfaction,” she said, turning her sweet and noble face to d’Arthez with a movement full of modest confusion."
"这类女演员的最高明的手法之一就是即使话说得再过火，她们也能够掩饰自己的态度；当语言不足以达情时，眼睛也可以传达意思。这些巧妙的、不和谐的曲调同她们的爱情乐曲交织在一起，不管是真是假，都会产生不可抗拒的诱惑。","One of the most skilful manoeuvres of these actresses is to veil their manner when words are too expressive, and speak with their eyes when language is restrained.These clever discords, slipped into the music of their love, be it false or true, produce irresistible attractions."
