"第一章","CHAPTER I"
"“你最好把脸上的眼泪擦掉。”别尔谢涅夫在他背后喊道，禁不住笑了起来。但是，当他回到家里，脸上却没了刚才那开心的表情，他笑不出来了。他压根就不相信刚才舒宾告诉他的那些话，但那些话却深深地印在了他的脑海里。","‘You’d better at least wipe your tears away,’ Bersenyev shouted after him, and he could not refrain from laughing.But when he got home, his face had not a mirthful expression; he laughed no longer.He had not for a single instant believed what Shubin had told him, but the words he had uttered had sunk deep into his soul."
"“帕维尔是在拿我寻开心的吧，”他想着，“……但她终有一天会恋爱……她以后会爱上谁呢？”","‘Pavel was making a fool of me,’ he thought; ‘… but she will love one day… whom will she love?’"
"在别尔谢涅夫的房间里，有一架小钢琴，虽然很旧，但弹起来声音柔和悦耳，虽然这音质已没有以前那样完美了。别尔谢涅夫挨着钢琴坐下，开始敲击琴键。和那些出身良好的俄国人一样，他从小就开始学习音乐，但也像几乎所有的俄国绅士那样，他的钢琴弹得很糟，但他却打心眼里热爱音乐。严格来说，他喜欢的并不是音乐这门艺术，也不是音乐的表现形式（交响乐、奏鸣曲甚至是歌剧都让他觉得厌烦），他喜爱的只是音乐本身所包含的那种意境，他喜爱那种通过悠扬的旋律浸入听者灵魂的朦胧甜蜜、无拘无束和无处不在的感觉。一个多小时过去了，他还坐在钢琴旁边，重复地弹着同样的曲子，笨拙地演奏着新的曲目，然而他总会在七音阶的地方停下，陷入沉思。他内心痛苦，眼睛里一次次地充满了泪水。但他并没有因此而感到羞愧，在这夜色里，他任眼泪尽情地流淌。“帕维尔说得对，”他寻思着，“我也觉得，这样迷人的夜晚不会再有了。”最后，他起身点了一根蜡烛，穿上外袍，从书架上拿了本历史学家劳默尔所著的《霍亨斯托芬历史》第二卷，叹了两口气，认认真真地读了起来。","In Bersenyev’s room there was a piano, small, and by no means new, but of a soft and sweet tone, though not perfectly in tune.Bersenyev sat down to it, and began to strike some chords.Like all Russians of good birth, he had studied music in his childhood, and like almost all Russian gentlemen, he played very badly; but he loved music passionately.Strictly speaking, he did not love the art, the forms in which music is expressed (symphonies and sonatas, even operas wearied him), but he loved the poetry of music: he loved those vague and sweet, shapeless, and all-embracing emotions which are stirred in the soul by the combinations and successions of sounds.For more than an hour, he did not move from the piano, repeating many times the same chords, awkwardly picking out new ones, pausing and melting over the minor sevenths.His heart ached, and his eyes more than once filled with tears.He was not ashamed of them; he let them flow in the darkness.‘Pavel was right,’ he thought, ‘I feel it; this evening will not come again.’At last he got up, lighted a candle, put on his dressing-gown, took down from the bookshelf the second volume of Raumer’s History of the Hohenstaufen, and sighing twice, he set to work diligently to read it."
"第六章","CHAPTER VI"
"他们分手后，埃琳娜回到自己的房间，双手撑头坐在开着的窗户旁边。每天晚上，她都习惯地在卧室的窗边坐上十几分钟。她会在这段时间里反思自己，接着回想当天的事情。不久之前，她刚过了二十岁的生日。她个头很高，脸色苍白，肤色较深，弯弯的眉毛下有一双灰色的大眼睛，眼睛旁边还长了些细微的小雀斑，前额和鼻子长得都很端正，双唇紧闭，下巴瘦削。一头栗色的秀发披在细长的脖颈后。她的性格、脸上的表情、明亮多变的眼神、看上去有些僵硬的笑容和都那温柔尖细的声音里都透着坚决和一丝丝羞怯，夹杂着一种令人紧张、任性又急切、仿佛令人触电的特质，事实上，这种特质永远无法吸引每一个人，甚至会让某些人厌烦。","Meanwhile, Elena had gone to her room, and sat down at the open window, her head resting on her hands.To spend about a quarter of an hour every evening at her bedroom window had become a habit with her.At this time she held converse with herself, and passed in review the preceding day.She had not long reached her twentieth year.She was tall, and had a pale and dark face, large grey eyes under arching brows, covered with tiny freckles, a perfectly regular forehead and nose, tightly compressed lips, and a rather sharp chin.Her hair, of a chestnut shade, fell low on her slender neck.In her whole personality, in the expression of her face, intent and a little timorous, in her clear but changing glance, in her smile, which was, as it were, intense, in her soft and uneven voice, there was something nervous, electric, something impulsive and hurried, something, in fact, which could never be attractive to every one, which even repelled some."
"她十指修长，肤色红润，双脚细长，走起路来轻巧敏捷，步子很急，身体略微前倾。她成长的轨迹非常奇怪，起先她很崇拜她的父亲，然后又转而很喜欢母亲，后来变得对父母都很冷淡，尤其是对她的父亲。最近这几年，她对母亲就像对待一位虚弱的祖母一样；在她还小时，他爸爸曾认为她很特别，并以她为傲，而她长大之后，她爸爸竟变得害怕起她来，说她就是一个狂热的共和党人——谁也说不清她的这种性格是怎样形成的。懦弱让她厌恶至极，愚蠢让她怒不可遏，而对于欺骗，她则完全不能接受。无论遇到什么困难，她都会义无反顾地坚持下去，甚至在祷告的时候，她都会经常想起一些训诫的话语。一旦她认为某个人不值得她尊重时——她会很快地，经常是飞速地表达自己的观点——那个人对她来说已经不存在了。她把所有的感情都深深地埋在心里，生活对她来说是很郑重的。","Her hands were slender and rosy, with long fingers; her feet were slender; she walked swiftly, almost impetuously, her figure bent a little forward.She had grown up very strangely; first she idolised her father, then she became passionately devoted to her mother, and had grown cold to both of them, especially to her father.Of late years she had behaved to her mother as to a sick grandmother; while her father, who had been proud of her while she had been regarded as an exceptional child, had come to be afraid of her when she was grown up, and said of her that she was a sort of enthusiastic republican—no one could say where she got it from.Weakness revolted her, stupidity made her angry, and deceit she could never, never pardon.She was exacting beyond all bounds, even her prayers had more than once been mingled with reproaches.When once a person had lost her respect—and she passed judgment quickly, often too quickly—he ceased to exist for her.All impressions cut deeply into her heart; life was bitter earnest for her."
"安娜·瓦西里耶夫娜信任并聘请来负责女儿学习的那位女家庭教师——可我们看到这位整天无精打采的夫人甚至从未教导过埃琳娜的学习——是个俄国人，她来自一个破产的官员家庭，毕业于一所公立寄宿学校，是一个感情强烈、内心温柔却虚伪的女人。她一生都在恋爱，可直到五十岁时（埃琳娜当时十七岁），她才跟一名小官员结了婚，但婚后不久就被抛弃了。这位女教师很喜欢文学，常会自己写一些诗歌，她启发埃琳娜喜爱上了阅读，但是光阅读并不能满足埃琳娜；她从小就盼望着能做些实事，参加一些积极的慈善活动——那些贫穷的、挨饿的和患病的人们，无不牵动着她的心，烦扰着她，让她的心情变得很沉重；她也会经常梦到他们，会不时向身边的朋友打听一些他们的事情，她细心地帮助他们，带着她满腔的热情，潜意识中认真平等地对待他们。各种受伤的小动物，干瘦如柴的小狗，奄奄一息的小猫，掉出鸟巢的小麻雀，甚至昆虫和爬行动物都会得到埃琳娜的关心与保护，她给他们喂吃的，从来都不会嫌弃它们。母亲从来都不干涉她的这些举动，但她父亲却对此经常感到愤怒不己，因为——照他的话说——她这只是粗俗的好心而已，而且他还时常说，因为家里收留了小猫小狗，结果连个挪脚的地方都没有了。“列诺奇卡，”他会常常向她喊道，“快点儿过来，这里有只蜘蛛在吃苍蝇呢，赶快来救救这只可怜的小家伙吧！”然后列诺奇卡就会急急忙忙地跑过去，解开它被蛛网紧缠的腿脚。“哦，既然你如此地好心，那就让蜘蛛咬你一小口吧。”她父亲会反讽她说，但她却不理会父亲说的话。十岁的时候，埃琳娜和一个小乞丐卡佳做了朋友，常会偷偷地跑到花园里找她，给她带点儿好吃的，送她一些小手帕和硬币——卡佳不要玩具。她们会一起坐在荨麻丛后那片灌木林中的土地上，埃琳娜会带着谦逊的感觉，一边嚼着卡佳的旧面包，一边听着她的故事。卡佳有一个姑姑，她是个恶毒的老女人，经常打骂卡佳。卡佳打心眼里恨这个老女人，总是在讲她将如何从姑姑那逃脱出来，然后过上“上帝般自由自在”的生活。带着崇拜与敬畏，埃琳娜仔细地听着那些陌生的词语，专注地盯着卡佳和她的一切——她那好像动物一般黑色灵活的眼睛，被晒伤的双手，沙哑的声音，甚至她那破旧的衣服——似乎对埃琳娜来说，都是如此地特别，如此地与众不同，几乎神圣。埃琳娜回到家里，一直都在想着乞丐的生活和卡佳所说的那种“上帝般自由自在”。她甚至打算也去弄根榛木棍子，背上行囊跟卡佳一起逃走，想象着她会头戴矢车菊做的花环在大路上流浪，就像她曾见卡佳做过的那样。这个时候，如果有家人进到屋子里，她就会羞怯地走开。有一天，她冒着大雨去见卡佳，把裙子弄得脏兮兮的；她父亲看到她，说她是又懒惰又土气的乡下姑娘。卡佳老是哼着一首有关士兵的有点儿暴力的歌曲，这让埃琳娜觉得全身发热，她的心中又恐惧又兴奋。她也跟着卡佳学会了这首曲子……安娜·瓦西里耶夫娜发现她在唱这样的曲子后非常生气。","The governess to whom Anna Vassilyevna had entrusted the finishing of her daughter’s education—an education, we may remark in parenthesis, which had not even been begun by the languid lady—was a Russian, the daughter of a ruined official, educated at a government boarding school, a very emotional, soft-hearted, and deceitful creature; she was for ever falling in love, and ended in her fiftieth year (when Elena was seventeen) by marrying an officer of some sort, who deserted her without loss of time.This governess was very fond of literature, and wrote verses herself; she inspired Elena with a love of reading, but reading alone did not satisfy the girl; from childhood she thirsted for action, for active well-doing—the poor, the hungry, and the sick absorbed her thoughts, tormented her, and made her heart heavy; she used to dream of them, and to ply all her friends with questions about them; she gave alms carefully, with unconscious solemnity, almost with a thrill of emotion.All ill-used creatures, starved dogs, cats condemned to death, sparrows fallen out of the nest, even insects and reptiles found a champion and protector in Elena; she fed them herself, and felt no repugnance for them.Her mother did not interfere with her; but her father used to be very indignant with his daughter, for her—as he called it—vulgar soft-heartedness, and declared there was not room to move for the cats and dogs in the house.‘Lenotchka,’ he would shout to her, ‘come quickly, here’s a spider eating a fly; come and save the poor wretch!’And Lenotchka, all excitement, would run up, set the fly free, and disentangle its legs.‘Well, now let it bite you a little, since you are so kind,’ her father would say ironically; but she did not hear him.At ten years old Elena made friends with a little beggar-girl, Katya, and used to go secretly to meet her in the garden, took her nice things to eat, and presented her with handkerchiefs and pennies; playthings Katya would not take.She would sit beside her on the dry earth among the bushes behind a thick growth of nettles; with a feeling of delicious humility she ate her stale bread and listened to her stories.Katya had an aunt, an ill-natured old woman, who often beat her; Katya hated her, and was always talking of how she would run away from her aunt and live in ‘God’s full freedom’; with secret respect and awe Elena drank in these new unknown words, stared intently at Katya and everything about her—her quick black, almost animal eyes, her sun-burnt hands, her hoarse voice, even her ragged clothes—seemed to Elena at such times something particular and distinguished, almost holy.Elena went back home, and for long after dreamed of beggars and God’s freedom; she would dream over plans of how she would cut herself a hazel stick, and put on a wallet and run away with Katya; how she would wander about the roads in a wreath of corn-flowers; she had seen Katya one day in just such a wreath.If, at such times, any one of her family came into the room, she would shun them and look shy.One day she ran out in the rain to meet Katya, and made her frock muddy; her father saw her, and called her a slut and a peasant-wench.She grew hot all over, and there was something of terror and rapture in her heart Katya often sang some half-brutal soldier’s song.Elena learnt this song from her….Anna Vassilyevna overheard her singing it, and was very indignant."
"“你是从哪学到这样恐怖的曲子的？”她问女儿。","‘Where did you pick up such horrors?’ she asked her daughter."
"埃琳娜只是看着她母亲，一言不发，她宁愿让父母把自己撕成碎片，也不会说出自己的秘密，她心里再次感到恐惧和兴奋。然而，她和卡佳之间的友谊并没能持续很久，那个可怜的小姑娘患上了风热病，没过几天就死掉了。","Elena only looked at her mother, and would not say a word; she felt that she would let them tear her to pieces sooner than betray her secret, and again there was a terror and sweetness in her heart.Her friendship with Katya, however, did not last long; the poor little girl fell sick of fever, and in a few days she was dead."
"听到卡佳去世的消息，埃琳娜十分伤心，很长一段时间的晚上她都无法入睡。小乞丐和她说的最后那些话一直在她耳边回荡，她幻想卡佳正在召唤她……","Elena was greatly distressed, and spent sleepless nights for long after she heard of Katya’s death.The last words of the little beggar-girl were constantly ringing in her ears, and she fancied that she was being called…."
"一年又一年过去了，时光飞逝，悄无声息，如雪下涌动的水一般，埃琳娜的青春也渐渐地逝去。她表面上看起来很平静，但内心却交织着矛盾复杂的情感。她没有朋友，也没有结交来斯塔霍夫家做客的任何一个女孩子。父母的管束从来都没让她感到过什么压力，十六岁那年她完全独立了，她开始过着自己的生活，虽然这种生活很孤独。她的内心激情澎湃，但这种激情很快就在孤独中消失殆尽了，她像被关在笼子里的鸟那样挣扎着，但事实上她生活中并没有笼子，没有人压迫她，也没有人限制她，但她心里仍觉得难过而且烦闷。有时她也不理解自己，甚至有点儿害怕自己。周围的一切对她来说要么没有什么意义，要么不太能理解。“没有爱的话，要怎样活呢？但没有人值得我去爱呀！”她想，接着她又为自己有这样的想法、这样的感受而感到恐惧。十八岁的时候，她差点儿死于恶性热病，她的身体——天生强健，精力旺盛——整体上受到了重创，很长时间都没有完全恢复，身体最终养好后，她的父亲还不厌其烦地说她的“神经”出了点儿问题。有时她会认为，她想要的东西是任何人都不曾追求过的，甚至是所有俄罗斯人都不曾想到过的。然后她就会平静下来，甚至还觉得自己有点儿好笑，一天天碌碌无为地活着。但是，突然间一股控制不住、难以言明的力量在她的身体里奔涌，仿佛叫嚣着要寻找一个出口。情绪风暴过后，她的心灵之翼就停止了飞翔，但这些情绪风暴真的耗费了她太多心力。尽管她竭尽全力不暴露自己的真实想法，但她心里备受煎熬的苦闷还是在她平静的外表下暴露无遗，不过她的父母总是吃惊地耸耸肩，不能理解她那些“古怪的行径”。","The years passed and passed; swiftly and noiselessly, like waters running under the snow, Elena’s youth glided by, outwardly uneventful, inwardly in conflict and emotion.She had no friend; she did not get on with any one of all the girls who visited the Stahovs’ house.Her parents’ authority had never weighed heavily on Elena, and from her sixteenth year she became absolutely independent; she began to live a life of her own, but it was a life of solitude.Her soul glowed, and the fire died away again in solitude; she struggled like a bird in a cage, and cage there was none; no one oppressed her, no one restrained her, while she was torn, and fretted within.Sometimes she did not understand herself, was even frightened of herself.Everything that surrounded her seemed to her half-senseless, half-incomprehensible.‘How live without love? and there’s no one to love!’ she thought; and she felt terror again at these thoughts, these sensations.At eighteen, she nearly died of malignant fever; her whole constitution—naturally healthy and vigorous—was seriously affected, and it was long before it could perfectly recover; the last traces of the illness disappeared at last, but Elena Nikolaevna’s father was never tired of talking with some spitefulness of her ‘nerves.’Sometimes she fancied that she wanted something which no one wanted, of which no one in all Russia dreamed.Then she would grow calmer, and even laugh at herself, and pass day after day unconcernedly; but suddenly some over-mastering, nameless force would surge up within her, and seem to clamour for an outlet.The storm passed over, and the wings of her soul drooped without flight; but these tempests of feeling cost her much.However she might strive not to betray what was passing within her, the suffering of the tormented spirit was expressed in her even external tranquillity, and her parents were often justified in shrugging their shoulders in astonishment, and failing to understand her ‘queer ways.’"
"在我们的故事开始的那天，埃琳娜在窗边坐了很久，比以往的任何一次时间都长。她想着别尔谢涅夫，想着与他之间的谈话。她很喜欢他，她认为他的感情很温暖，他的目标很纯粹。他还从来没有像那天那样跟她交谈过。她想起了他那害羞的眼神，他的笑容——然后自己也笑了，接着她又陷入思考，但已经不是在想别尔谢涅夫了。她顺着打开的窗户看向外面的夜空。她盯着那漆黑低矮的夜空看了好久，然后起身，将面前的头发甩到脑后，接着不由自主地将露在外面冰凉的手臂伸出窗外，伸向天空，随后她放下手臂，坐在床边，把脸埋在枕头上，尽管她极力地压抑着内心的奔涌的情感，流下奇怪的、难解又滚烫的泪水。","On the day with which our story began, Elena did not leave the window till later than usual.She thought much of Bersenyev, and of her conversation with him.She liked him; she believed in the warmth of his feelings, and the purity of his aims.He had never before talked to her as on that evening.She recalled the expression of his timid eyes, his smiles—and she smiled herself and fell to musing, but not of him.She began to look out into the night from the open window.For a long time she gazed at the dark, low-hanging sky; then she got up, flung back her hair from her face with a shake of her head, and, herself not knowing why, she stretched out to it—to that sky—her bare chilled arms; then she dropped them, fell on her knees beside her bed, pressed her face into the pillow, and, in spite of all her efforts not to yield to the passion overwhelming her, she burst into strange, uncomprehending, burning tears."
"第七章","CHAPTER VII"
"第二天中午十二点时，别尔谢涅夫乘马车出发返回莫斯科。他得去邮局取点儿钱，买些书，还想再借这次返回莫斯科的机会去拜访一下因萨罗夫，和他好好谈一谈。在他和舒宾的最后一次谈话时，别尔谢涅夫就产生了这样的想法，他准备邀请因萨罗夫去他在郊外的公寓里同住。但他并没能很快找到因萨罗夫，因为因萨罗夫已经从之前的住处搬了出来，要找到他新的住址并不容易，那个地址在阿尔巴特路和波瓦尔斯基街之间，在一座带有彼得堡风格、肮脏的石头房屋后面的院子里。别尔谢涅夫找遍一层层房间，先问一个看门人，然后又向一个路人打听，但都徒劳无功。就算在彼得堡，那些门卫都会尽可能地避开游客的目光，而在莫斯科，这种情况就更屡见不鲜了。没人理会别尔谢涅夫的询问，只有一个爱管闲事的裁缝，戴着袖套，肩上扛着一卷灰色的丝线，从高高地窗户里伸出他那肮脏、呆滞、胡子拉碴、瞎了一只眼睛的脸，还有一只黑色的无角山羊，费力地爬上一座肥料堆，转过头抱怨地叫了一声，然后更加卖力地嚼着反刍上来的食物。最后，一个身穿旧外套、脚蹬已磨损了鞋跟的皮鞋的女人同情别尔谢涅夫，给他指了指因萨罗夫的住所。别尔谢涅夫发现他刚好在家。他的房东，正好就是刚才那个从窗户里探出头来、漠不关心地看着到处打听朋友住址的陌生人的裁缝。他租的屋子又大又空，有着深绿色的墙壁和三个正方形的窗户，一个角落里放着一张小床，另外一个角落里放着一张很小的皮沙发，房顶上还挂着一只鸟笼，里面曾经养过一只夜莺。看到别尔谢涅夫来了，因萨罗夫迎出门来，但他并没有寒暄说“啊，是您啊！”或是“天啊，什么风儿把您给吹来了？”他甚至也没说“您好”，只是简单地握了下手，请他坐到屋里唯一的一把椅子上。","The next day at twelve o’ clock, Bersenyev set off in a return coach to Moscow.He had to get some money from the post-office, to buy some books, and he wanted to seize the opportunity to see Insarov and have some conversation with him.The idea had occurred to Bersenyev, in the course of his last conversation with Shubin, to invite Insarov to stay with him at his country lodgings.But it was some time before he found him out; from his former lodging he had moved to another, which it was not easy to discover; it was in the court at the back of a squalid stone house, built in the Petersburg style, between Arbaty Road and Povarsky Street.In vain Bersenyev wandered from one dirty staircase to another, in vain he called first to a doorkeeper, then to a passer-by.Porters even in Petersburg try to avoid the eyes of visitors, and in Moscow much more so; no one answered Bersenyev’s call; only an inquisitive tailor, in his shirt sleeves, with a skein of grey thread on his shoulder, thrust out from a high casement window a dirty, dull, unshorn face, with a blackened eye; and a black and hornless goat, clambering up on to a dung heap, turned round, bleated plaintively, and went on chewing the cud faster than before.A woman in an old cloak, and shoes trodden down at heel, took pity at last on Bersenyev and pointed out Insarov’s lodging to him.Bersenyev found him at home.He had taken a room with the very tailor who had stared down so indifferently at the perplexity of a wandering stranger; a large, almost empty room, with dark green walls, three square windows, a tiny bedstead in one corner, a little leather sofa in another, and a huge cage hung up to the very ceiling; in this cage there had once lived a nightingale.Insarov came to meet Bersenyev directly he crossed the threshold, but he did not exclaim, ‘Ah, it’s you!’ or ‘Good Heavens, what happy chance has brought you?’He did not even say, ‘How do you do?’ but simply pressed his hand and led him up to the solitary chair in the room."
"“请坐。”他说，然后自己靠在桌边上。","‘Sit down,’ he said, and he seated himself on the edge of the table."
"“看，我这里还乱糟糟的没有收拾呢，”因萨罗夫指着地上的一摞书本和文件说道，“我还没能按计划完全安顿下来。我一直都没时间。”","‘I am, as you see, still in disorder,’ added Insarov, pointing to a pile of papers and books on the floor, ‘I haven’t got settled in as I ought.I have not had time yet.’"
"因萨罗夫的俄语很好，每一个单词都发得既准确又纯正，然而他那浓厚的却又好听的嗓音，听起来不怎么像俄国人。因萨罗夫的外国血统（他出生于保加利亚）在外貌上表现得更加突出，他今年二十五岁，身形瘦削，强壮有力，有些弓背，指关节突出，五官分明，鼻尖似鹰钩，头发蓝黑，前额窄小，两眼不大，眼窝很深，眉毛很浓；当他笑起来的时候，那一排整齐洁白的牙齿会马上从那细薄、有力、线条过分分明的双唇下露出来。他穿着一件很旧却很整洁的外套，衣服上的扣子一直扣到喉咙下面。","Insarov spoke Russian perfectly correctly, pronouncing every word fully and purely; but his guttural though pleasant voice sounded somehow not Russian.Insarov’s foreign extraction (he was a Bulgarian by birth) was still more clearly marked in his appearance; he was a young man of five-and-twenty, spare and sinewy, with a hollow chest and knotted fingers; he had sharp features, a hooked nose, blue-black hair, a low forehead, small, intent-looking, deep-set eyes, and bushy eyebrows; when he smiled, splendid white teeth gleamed for an instant between his thin, hard, over-defined lips.He was in a rather old but tidy coat, buttoned up to the throat."
"“你为什么要从以前的房子里搬出来呢？”别尔谢涅夫问他。","‘Why did you leave your old lodging?’Bersenyev asked him."
"“这里租金便宜些，而且离学校也更近。”","‘This is cheaper, and nearer to the university.’"
"“但是现在是假期啊……到了夏天，你何必还要继续呆在城里！如果你一定要搬，也应该选一个乡下的公寓啊。”","‘But now it’s vacation….And what could induce you to stay in the town in summer!You should have taken a country cottage if you were determined to move.’"
"因萨罗夫没有回答他，只是递给别尔谢涅夫一个烟斗，然后对他说：“实在抱歉，我这里既没有香烟也没有雪茄。”","Insarov made no reply to this remark, and offered Bersenyev a pipe, adding: ‘Excuse me, I have no cigarettes or cigars.’"
"别尔谢涅夫拿着烟斗抽了起来。","Bersenyev began smoking the pipe."
"“我啊，”别尔谢涅夫接着说道，“在孔佐沃附近租了一个小公寓，既便宜又宽敞。事实上楼上还空着一个房间。”","‘Here have I,’ he went on, ‘taken a little house near Kuntsovo, very cheap and very roomy.In fact there is a room to spare upstairs.’"
"因萨罗夫仍旧沉默不语。","Insarov again made no answer."
"别尔谢涅夫吸了一口烟，说：“我甚至在想，”他一边说着，一边吐出了一口薄烟，“如果能找到一个人——比如说你，我是这样想的——如果他乐意，如果他愿意住在我的楼上，那该有多好啊！你认为呢，德米特里·尼卡诺罗维奇？”","Bersenyev drew at the pipe: ‘I have even been thinking,’ he began again, blowing out the smoke in a thin cloud, ‘that if any one could be found—you, for instance, I thought of—who would care, who would consent to establish himself there upstairs, how nice it would be!What do you think, Dmitri Nikanorovitch?’"
"因萨罗夫朝他看了看。“你是建议我去你在乡下的公寓里同住吗？”","Insarov turned his little eyes on him.‘You propose my staying in your country house?’"
"“是的，我楼上还有个房间空着。”","‘Yes; I have a room to spare there upstairs.’"
"“谢谢你的邀请，安德烈·彼得罗维奇，但我想我现在的经济状况不允许我那么做。”","‘Thanks very much, Andrei Petrovitch; but I expect my means would not allow of it.’"
"“什么意思？”","‘How do you mean?’"
"“我是说我现在的经济状况是住不起乡村别墅的。我没有能力同时租下两处房子。”","‘My means would not allow of my living in a country house.It’s impossible for me to keep two lodgings.’"
"“但是，我当然——”别尔谢涅夫说到这里，又停了下来，“这样并不会让你有更多的支出，”他继续讲道，“让我们好好想想，你这个房间仍然保留，但那边的东西都很便宜，我们甚至可以这样安排，比如，搭伙做饭。”","‘But of course I’—Bersenyev was beginning, but he stopped short.‘You would have no extra expense in that way,’ he went on.‘Your lodging here would remain for you, let us suppose; but then everything there is very cheap; we could even arrange so as to dine, for instance, together.’"
"因萨罗夫还是一言不发。别尔谢涅夫开始觉得有点儿为难了。","Insarov said nothing.Bersenyev began to feel awkward."
"“至少你可以去我那里看看，”停了一会儿，他又说道，“离我家不远的地方有一户人家，我很想把你介绍给他们认识。那里有一位才华横溢的女孩，因萨罗夫，假如你能认识她，那该有多好啊！我在那里还有一个要好的朋友，他很聪明，我敢肯定你们一定会合得来的。（俄国人崇尚热情好客——如果他们没有什么东西来待客，就会向客人推荐自己的好朋友们。）真的，你一定要来。请你一定来和我住在一起，这样最好。我们可以一起工作，一起读书……你知道的，我现在正在研究历史和哲学。对这些，你一定会感兴趣的。我还有好多书。”","‘You might at least pay me a visit sometime,’ he began, after a short pause.‘A few steps from me there’s a family living with whom I want very much to make you acquainted.If only you knew, Insarov, what a marvellous girl there is there!There is an intimate friend of mine staying there too, a man of great talent; I am sure you would get on with him.[The Russian loves to be hospitable—of his friends if he can offer nothing else.]Really, you must come.And what would be better still, come and stay with me, do.We could work and read together….I am busy, as you know, with history and philosophy.All that would interest you.I have a lot of books.’"
"因萨罗夫站起来在屋里走来走去。“我想知道，”他说，“你的别墅每月租金多少钱？”","Insarov got up and walked about the room.‘Let me know,’ he said, ‘how much do you pay for your cottage?’"
"“一百银卢布。”","‘A hundred silver roubles.’"
"“那里有几个房间呢？”","‘And how many rooms are there?’"
"“五个。”","‘Five.’"
"“那就是说每个房间的月租是二十卢布？”","‘Then one may reckon that one room costs twenty roubles?’"
"“是的，可以这么说……但事实上我完全不考虑租金的问题。它空着也是空着。”","‘Yes, one may reckon so….But really it’s utterly unnecessary for me.It simply stands empty.’"
"“也许吧，但是你听我说，”因萨罗夫讲道，果断优雅地转了转头，“只有你同意收取我的房租，我才能接受你的好意。既然像你说的那样，我在那里能节省不少钱，那我就能尽快给你二十卢布。”","‘Perhaps so; but listen,’ added Insarov, with a decided, but at the same time good-natured movement of his head: ‘I can only take advantage of your offer if you agree to take the sum we have reckoned.Twenty roubles I am able to give, the more easily, since, as you say, I shall be economising there in other things.’"
"“当然会了，不过这让我很不好意思。”","‘Of course; but really I am ashamed to take it.’"
"“不这样的话我可就拒绝你的提议了，安德烈·彼得罗维奇。”","‘Otherwise it’s impossible, Andrei Petrovitch.’"
"“好啦，就这样吧，但你可真是个固执的家伙！”","‘Well, as you like; but what an obstinate fellow you are!’"
"因萨罗夫又一次不再回答他。","Insarov again made no reply."
"接着他们就订好了因萨罗夫搬去乡间别墅的日期。他们约因萨罗夫的房东见面。起初房东派自己七岁的女儿去见他们，她头上围着块很大的条纹头巾，认真并有点儿害怕地听完因萨罗夫所讲的话，然后什么也没说，一声不响地跑掉了。后来，她已近临产的母亲过来了，头上也围了条头巾，但她母亲的头巾却很小。因萨罗夫跟她讲他准备到孔佐沃附近的乡间别墅里住一阵子，但这个房间他还会继续租，请房东照看好自己的东西。裁缝的妻子听到这些话以后看上去也有些害怕，马上离开了。最后，那个裁缝亲自过来了，他看上去似乎从一开始就对这一切了如指掌，只是沮丧地说道：“在孔佐沃附近吗？”然后他突然打开房门，吼道：“那你还租这个房子吗？”因萨罗夫再次让他消除了疑虑。“当然，这是一定要确认的。”裁缝离开时，闷闷不乐地重复道。","The young men made arrangements as to the day on which Insarov was to move.They called the landlord; at first he sent his daughter, a little girl of seven, with a large striped kerchief on her head; she listened attentively, almost with awe, to all Insarov said to her, and went away without speaking; after her, her mother, a woman far gone with child, made her appearance, also wearing a kerchief on her head, but a very diminutive one.Insarov informed her that he was going to stay at a cottage near Kuntsovo, but should keep on his lodging and leave all his things in their keeping; the tailor’s wife too seemed scared and went away.At last the man himself came in: he seemed to understand everything from the first, and only said gloomily: ‘Near Kuntsovo?’ then all at once he opened the door and shouted: ‘Are you going to keep the lodgings then?’Insarov reassured him.‘Well, one must know,’ repeated the tailor morosely, as he disappeared."
"别尔谢涅夫走的时候，很高兴自己的提议被接受了。因萨罗夫热诚有礼地把他送到门口，俄国人很少这么做。当因萨罗夫自己在家时，他小心地脱下外套，开始整理那些散乱的文件。","Bersenyev returned home, well content with the success of his proposal.Insarov escorted him to the door with cordial good manners, not common in Russia; and, when he was left alone, carefully took off his coat, and set to work upon sorting his papers."
"第八章","CHAPTER VIII"
