"唷！唷！唷！","Yah! Yah! Yah!"
"“其后，纵帆船在环礁湖周围追捕我们。夜里我们在他们身边溜过。但第二天，或两三天后，纵帆船会回来，朝环礁湖的另一头搜寻我们。就这样继续着。我们不再数有多少人死去，也记不清多少人死去。真的，我们人多，他们没几个人。但我们能做什么？二十艘划艇载满了人，我在其中一艘上，这些人都不怕死。我们攻击了最小的那个纵帆船。他们成堆地击毙我们。他们向划艇投掷炸药，炸药用完后，他们向我们泼热水。步枪从来没有熄过火。被炸划艇上的人在游走的过程中遭射杀。那个二副在舱顶上下跳着并呼喊着：‘唷！唷！唷！’","“And thereafter the schooners hunted us up and down the lagoon.In the nighttime we slipped past them.But the next day, or in two days or three days, the schooners would be coming back, hunting us toward the other end of the lagoon.And so it went.We no longer counted nor remembered our dead.True, we were many and they were few.But what could we do?I was in one of the twenty canoes filled with men who were not afraid to die.We attacked the smallest schooner.They shot us down in heaps.They threw dynamite into the canoes, and when the dynamite gave out, they threw hot water down upon us.And the rifles never ceased talking.And those whose canoes were smashed were shot as they swam away.And the mate danced up and down upon the cabin top and yelled, “Yah! Yah! Yah!’"
"“每个最小的岛上的每所房屋都被烧光了。没有一头猪或家禽活着。我们的井被死尸污染了，要不然就是用珊瑚岩堆得高高的。在三艘纵帆船来之前，乌龙岛上我们有两万五千人。如今我们有五千人。纵帆船离开后，我们只有三千人，正如你会看到的。","“Every house on every smallest island was burned.Not a pig nor a fowl was left alive.Our wells were defiled with the bodies of the slain, or else heaped high with coral rock.We were twenty-five thousand on Oolong before the three schooners came.Today we are five thousand.After the schooners left, we were but three thousand, as you shall see."
"最后，三艘纵帆船对来回追赶我们失去了兴趣。因此三艘都走了，他们去东北部的尼黑了。然后他们逐步将我们赶到西部。水上他们也有九艘小艇。他们边前行边痛击沿途的每个岛屿。他们日复一日地追赶我们，追赶我们，追赶我们。每天晚上，三艘纵帆船和九只小艇从这边到那边横越环礁湖，警觉地排成一列，那样我们就不能逃回来了。","“At last the three schooners grew tired of chasing us back and forth.So they went, the three of them, to Nihi, in the northeast.And then they drove us steadily to the west.Their nine boats were in the water as well.They beat up every island as they moved along.They drove us, drove us, drove us day by day.And every night the three schooners and the nine boats made a chain of watchfulness that stretched across the lagoon from rim to rim, so that we could not escape back."
"“他们不可能永远以那种方式驱赶我们，因为环礁湖就那么大，最后我们所有活下来的人被赶到西部最后的砂坝上。公海就位于更远处。我们有一万人，占据了整个砂坝，从环礁湖这边到海浪拍打着的另一边。没人能躺下来。没有地方。我们臀对臀肩并肩地站着。他们就那样控制了我们两天，二副会带上索具爬上来嘲笑我们并呼喊，‘唷！唷！唷！’直到我们对一个月前曾经伤害过他或他的纵帆船的事感到非常抱歉为止。我们没有食物，站了两天两夜。小婴儿死了，年老体弱的死了，受伤的死了。最糟糕的是，我们没有水解渴，两天来太阳火辣辣地照晒着我们，没有一点儿阴凉。很多男人和女人费力涉入海里，淹死了，海浪将他们的尸体拍打回沙滩上。来了一群苍蝇。一些人游到纵帆船的船帮处，但他们都被射死了。我们试图在我们状态最好时袭击来捕海参的三桅杆纵帆船，对此我们这些活下来的人感到非常遗憾。","“They could not drive us forever that way, for the lagoon was only so large, and at last all of us that yet lived were driven upon the last sand bank to the west.Beyond lay the open sea.There were ten thousand of us, and we covered the sand bank from the lagoon edge to the pounding surf on the other side.No one could lie down.There was no room.We stood hip to hip and shoulder to shoulder.Two days they kept us there, and the mate would climb up in the rigging to mock us and yell, Yah! Yah! Yah!’ till we were well sorry that we had ever harmed him or his schooner a month before.We had no food, and we stood on our feet two days and nights.The little babies died, and the old and weak died, and the wounded died.And worst of all, we had no water to quench our thirst, and for two days the sun beat down on us, and there was no shade.Many men and women waded out into the ocean and were drowned, the surf casting their bodies back on the beach.And there came a pest of flies.Some men swam to the sides of the schooners, but they were shot to the last one.And we that lived were very sorry that in our pride we tried to take the schooner with the three masts that came to fish for bêche-de-mer."
"“第三天的早上，三艘纵帆船的船长和那个二副乘一个小艇驶来。他们所有人都带着步枪和左轮手枪，谈着话。他们告诉我们，只是因为他们已经厌倦了杀死我们，所以才停手。我们告诉他们，我们很抱歉，再也不会伤害一个白人了，我们把沙子倒在头上，表示投降了。所有女人和孩子开始为水大声哭号，以至于段一时间内没人能听清楚自己在说什么。然后我们得知他们对我们的惩罚。我们必须用椰子仁和海参装满那三艘纵帆船。我们同意了，因为我们需要水，我们的心碎了，我们知道和打起仗来像畜生一般的白人交战，我们像孩子一样。商谈结束时，那个二副站起来嘲笑我们并呼喊着，‘唷！唷！唷！’那之后，我们乘着划艇离开去寻找水源。","“On the morning of the third day came the skippers of the three schooners and that mate in a small boat.They carried rifles, all of them, and revolvers, and they made talk.It was only that they were weary of killing us that they had stopped, they told us.And we told them that we were sorry, that never again would we harm a white man, and in token of our submission we poured sand upon our heads.And all the women and children set up a great wailing for water, so that for some time no man could make himself heard.Then we were told our punishment.We must fill the three schooners with copra and bêche-de-mer.And we agreed, for we wanted water, and our hearts were broken, and we knew that we were children at fighting when we fought with white men who fight like hell.And when all the talk was finished, the mate stood up and mocked us, and yelled, Yah! Yah! Yah!’ After that we paddled away in our canoes and sought water."
"“几周来我们辛苦地抓海参并将其腌制，收集椰子将其变为椰子仁。我们在为做错的事情遭受惩罚的时候，乌龙所有岛屿的所有海滩都不分昼夜地有烟雾升起飘向云天。在那些痛苦不堪的日子里，我们所有人的脑子里都被打上了清晰的烙印，明白了伤害一个白人是错误的。","“And for weeks we toiled at catching bêche-de-mer and curing it, in gathering the cocoanuts and turning them into copra.By day and night the smoke rose in clouds from all the beaches of all the islands of Oolong as we paid the penalty of our wrongdoing.For in those days of death it was burned clearly on all our brains that it was very wrong to harm a white man."
"不久，纵帆船载满了椰子仁和海参，而我们的椰子树上都已没椰子了，三个船长和那个二副把我们叫到一起召开了一个重要会议。他们说他们很高兴我们吸取了教训，我们说了无数遍我们很抱歉，不会再那样做了。我们又将沙子倒在了头上。然后船长们说没事了，但是为了表示他们没有忘记我们，他们会派一个我们永远不会忘记的恶棍过来，任何时候我们可能想要伤害一个白人了，我们就总是会记起来。之后，那个二副又一次嘲笑我们并呼喊着，‘唷！唷！唷！’之后我们认为早已死了的我方的六个人从一艘纵帆船上被放到了岸上，然后那些纵帆船扬起帆，穿过通道去所罗门了。”","“By and by, the schooners full of copra and bêche-de-mer and our trees empty of cocoanuts, the three skippers and that mate called us all together for a big talk.And they said they were very glad that we had learned our lesson, and we said for the ten-thousandth time that we were sorry and that we would not do it again.Also, we poured sand upon our heads.Then the skippers said that it was all very well, but just to show us that they did not forget us, they would send a devil-devil that we would never forget and that we would always remember any time we might feel like harming a white man.After that the mate mocked us one more time and yelled, Yah! Yah! Yah!’ Then six of our men, whom we thought long dead, were put ashore from one of the schooners, and the schooners hoisted their sails and ran out through the passage for the Solomons."
"“被放到岸上的六个人是继我们之后第一批去抓恶棍而后被船长送回的人。","“The six men who were put ashore were the first to catch the devil-devil the skippers sent back after us.”"
"“一场大病来临了。”我打断了，因为我辨出了这个诡计。纵帆船上有麻疹，六个囚犯被故意接触到它。","“A great sickness came,” I interrupted, for I recognized the trick.The schooner had had measles on board, and the six prisoners had been deliberately exposed to it."
"“是的，一场大病，”奥蒂继续着，“那是一个强大的恶棍。年龄最大的人都从来没听说过类似的病。我们杀死了那些活下来的祭司，因为他们不能制服这个恶棍。疾病蔓延了。我说过我们有一万人臀对臀肩并肩地站在砂坝上。当疾病离我们而去时，只剩三千人还活着。由于我们所有的椰子都被制成了椰子仁，饥荒开始了。","“Yes, a great sickness,” Oti went on.“It was a powerful devil-devil.The oldest man had never heard of the like.Those of our priests that yet lived we killed because they could not overcome the devil-devil.The sickness spread.I have said that there were ten thousand of us that stood hip to hip and shoulder to shoulder on the sandbank.When the sickness left us, there were three thousand yet alive.Also, having made all our cocoanuts into copra, there was a famine."
"“那个商人，”奥蒂总结道，“他非常喜欢污垢。”他喜欢宁静地死去，将肉扣下，让许多变臭。他喜欢的一条狗，一条身上有很多跳蚤的病狗总在他身边。我们怕的不是那个商人。我们害怕因为他是白人。我们相当清楚杀白人没好处。那条病狗兄弟似的跟在他身边，白人喜欢你像畜生一样战斗。我们不怕那个该死的商人。某些时候他让岛上的土人在他身边穿过，岛上的土人想杀死他，岛上的土人认为他是个恶棍，岛上的土人听到那个二副喊道，‘唷！唷！唷！’于是岛上的土人没杀他。”","“That fella trader,” Oti concluded, “he like ’m that much dirt.He like ’m clam he die KAI-KAI (meat) he stop, stink ’m any amount.He like ’m one fella dog, one sick fella dog plenty fleas stop along him.We no fright along that fella trader.We fright because he white man.We savve plenty too much no good kill white man.That one fella sick dog trader he plenty brother stop along him, white men like ’m you fight like hell.We no fright that damn trader.Some time he made kanaka plenty cross along him and kanaka want ’m kill m, kanaka he think devil-devil and kanaka he hear that fella mate sing out, Yah! Yah! Yah!’ and kanaka no kill m.”"
"奥蒂把一片鱿鱼放到鱼钩上做饵，他用牙齿将活着的仍在蠕动的怪物撕裂，鱼钩和鱼饵渗入白色浪花，沉入湖底。","Oti baited his hook with a piece of squid, which he tore with his teeth from the live and squirming monster, and hook and bait sank in white flames to the bottom."
"“鲨鱼转来转去，”他说，“我想我们会抓很多的鱼。”","“Shark walk about he finish,” he said.“I think we catch ’m plenty fella fish.”"
"他的鱼线猛然动了起来。他两手交替迅速地将鱼线拉出，一条喘着气的大石斑鱼落在划艇的甲板上。","His line jerked savagely.He pulled it in rapidly, hand under hand, and landed a big gasping rock cod in the bottom of the canoe."
"“太阳出来了，我去给那个该死的商人送条大鱼做礼物。”奥蒂说。","“Sun he come up, I make ’m that dam fella trader one present big fella fish,” said Oti."
