"狼与小羊羔","The Wolf and the Lamb "
"一只猫抓到了一只公鸡，便思忖着如何找个合理的借口把公鸡吃掉。猫指责公鸡在夜间啼叫，打扰人们休息，令人讨厌。公鸡自我辩解说，这样做是为了人们好，这样他们才能按时起床去干活。猫回答说：“虽然你有很多冠冕堂皇的理由，但我也不能一直不吃晚饭啊。”说完，猫就把公鸡吃掉了。","A Cat caught a Cock, and pondered how he might find a reasonable excuse for eating him.He accused him of being a nuisance to men by crowing in the nighttime and not permitting them to sleep.The Cock defended himself by saying that he did this for the benefit of men, that they might rise in time for their labors.The Cat replied, “Although you abound in specious apologies, I shall not remain supperless”; and he made a meal of him."
"小猪、绵羊和山羊","The Piglet, the Sheep, and the Goat "
"一头小猪同一只山羊和一只绵羊一起被关在了畜栏里。有一次，当牧羊人抓住小猪时，小猪又是咕噜又是尖叫，奋力反抗。绵羊和山羊对猪的惨叫声很不满，说道：“他也经常抓我们，但我们可从不大喊大叫的。”小猪回答说：“抓你们和抓我是完全不一样的。他抓你们，只不过是要剪你们的羊毛或挤奶，而他抓我则是来要我的命的啊。”","A Piglet was shut up in a fold yard with a Goat and a Sheep.On one occasion when the shepherd laid hold of him, he grunted and squeaked and resisted violently.The Sheep and the Goat complained of his distressing cries, saying, “He often handles us, and we do not cry out.”To this the Piglet replied, “Your handling and mine are very different things.He catches you only for your wool, or your milk, but he lays hold on me for my very life.”"
"男孩和榛子"," The Boy and the Filberts "
"一个男孩把手伸进一个装满榛子的罐子里。他尽可能多地抓了满满一把榛子，但是当他试着把手拔出来时，却被罐颈卡住了。他不愿丢掉榛子，手又拿不出来。他急得大哭起来，因失望而悲痛不已。一个旁观者对他说：“如果你拿一半榛子就知足的话，就能毫不费劲地把手抽出来了。”","A Boy put his hand into a pitcher full of filberts.He grasped as many as he could possibly hold, but when he tried to pull out his hand, he was prevented from doing so by the neck of the pitcher.Unwilling to lose his filberts, and yet unable to withdraw his hand, he burst into tears and bitterly lamented his disappointment.A bystander said to him, “Be satisfied with half the quantity, and you will readily draw out your hand.”"
"一次不要贪太多。","Do not attempt too much at once."
"恋爱中的狮子","The Lion in Love "
"一头狮子向一位伐木工的女儿求婚。虽然女儿的父亲不想答应，但又不敢拒绝狮子的请求，于是想出了一个摆脱狮子无理要求的权宜之计。伐木工表示自已愿意接受狮子对女儿的求婚，但是有一个条件：狮子允许他拔掉它的牙齿，砍掉它的爪子，因为他女儿非常害怕这两样东西。狮子欣然接受了这个建议。但是，当失去牙齿和利爪的狮子再来求婚时，伐木工不再惧怕它，便用木棍猛打狮子，把它赶回了森林。","A Lion demanded the daughter of a woodcutter in marriage.The Father, unwilling to grant, and yet afraid to refuse his request, hit upon this expedient to rid himself of his importunities.He expressed his willingness to accept the Lion as the suitor of his daughter on one condition: that he should allow him to extract his teeth, and cut off his claws, as his daughter was fearfully afraid of both.The Lion cheerfully assented to the proposal.But when the toothless, clawless Lion returned to repeat his request, the Woodman, no longer afraid, set upon him with his club, and drove him away into the forest."
"雇农与蛇","The Laborer and the Snake "
"一条蛇在一间农舍的门廊附近打了一个洞，把农舍主的婴儿给咬死了。父亲痛失爱子，下决心要把蛇杀死。第二天，当蛇出洞觅食时，他拿起斧头就砍，但由于他砍得太匆忙，没有砍到蛇的头，只砍断了蛇的尾巴梢。过了一段时间，农舍主害怕蛇也会来咬自己，就试图跟蛇和解，放了一些面包和盐在蛇洞里。蛇发出轻微的嘶嘶声，说道：“从此以后，我们之间不会有和平。因为，我无论何时看到你，都会想起自己断掉的尾巴；而你无论何时看到我，也会想起你死去的儿子。”","A Snake, having made his hole close to the porch of a cottage, inflicted a mortal bite on the Cottager’s infant son.Grieving over his loss, the father resolved to kill the Snake.The next day, when it came out of its hole for food, he took up his axe, but by swinging too hastily, missed its head and cut off only the end of its tail.After some time the Cottager, afraid that the Snake would bite him also, endeavored to make peace, and placed some bread and salt in the hole.The Snake, slightly hissing, said: “There can henceforth be no peace between us; for whenever I see you I shall remember the loss of my tail, and whenever you see me you will be thinking of the death of your son.”"
"面对伤痛的始作俑者，没有人能真正忘记那些伤痛。","No one truly forgets injuries in the presence of him who caused the injury."
"披着羊皮的狼","The Wolf in Sheep’s Clothing "
"从前，有一只狼决定乔装打扮，以便能更容易地猎取到食物。于是，它披上了一张羊皮，和羊群一起吃草。凭着这番装扮，它骗过了牧羊人。夜里，牧羊人把它和羊群一起关进了羊栏，并把栏门紧锁起来，使入口处彻底安全。可是到了深夜，牧羊人为了准备第二天吃的羊肉，又回到了羊栏。结果，他误捉了那只披着羊皮的狼而不是真正的羊，即刻就把它杀了。","Once upon a time a Wolf resolved to disguise his appearance in order to secure food more easily. Encased in the skin of a sheep, he pastured with the flock deceiving the shepherd by his costume.In the evening he was shut up by the shepherd in the fold; the gate was closed, and the entrance made thoroughly secure.But the shepherd, returning to the fold during the night to obtain meat for the next day, mistakenly caught up the Wolf instead of a sheep, and killed him instantly."
"自作自受。","Harm seek, harm find."
"驴和骡子","The Ass and the Mule "
"一个赶骡人启程去旅行，他赶着一头驴和一头骡子，它们都身负重物。只要是在平原上走，驴驮着它的货物是很轻松的，但当驴开始爬陡峭的山路时就感觉力不从心了。于是，驴恳求它的同伴帮它分担一小部分货物，以便自己能够将其余的货物驮回家。但是，骡子丝毫不理会它的请求。过了不久，驴不堪重负，倒下死了。在如此荒凉的地方，赶骡人不知道还有什么别的东西能驮载货物，便把之前驴驮的货物加在了骡子的背上，并把他剥掉的驴皮放在了所有货物的最上面。骡子在重压之下呻吟，自言自语道：“我是活该受这罪啊。如果当初我愿意在驴需要帮助的时候稍稍帮它一下，现在我也不至于承受如此重负，不仅要驮着它的货物，还要驮着它的皮。”","A muleteer set forth on a journey, driving before him an Ass and a Mule, both well laden.The Ass, as long as he traveled along the plain, carried his load with ease, but when he began to ascend the steep path of the mountain, felt his load to be more than he could bear.He entreated his companion to relieve him of a small portion, that he might carry home the rest; but the Mule paid no attention to the request.The Ass shortly afterwards fell down dead under his burden.Not knowing what else to do in so wild a region, the Muleteer placed upon the Mule the load carried by the Ass in addition to his own, and at the top of all placed the hide of the Ass, after he had skinned him.The Mule, groaning beneath his heavy burden, said to himself: “I am treated according to my deserts.If I had only been willing to assist the Ass a little in his need, I should not now be bearing, together with his burden, himself as well.”"
"防范胜于补救。","An ounce of prevention is worth a pound of cure."
"青蛙祈求一位国王","The Frogs Asking for a King "
"青蛙们因没有确立统治者而难过，于是派遣使者们前去向朱庇特乞求一位国王。朱庇特感受到了青蛙们的真诚，便向湖里抛下了一根巨大的原木。青蛙们被原木掉落下来溅起的水花吓坏了，都藏到了水塘的深处。但当他们一发现这根巨大的原木一动不动时，就再次游到水面上来，不再害怕了。他们爬上来，开始轻蔑地蹲坐在原木上。过了一阵子，青蛙们因被指派了这么个如此迟钝的统治者而感觉自己受到了不公正的待遇，于是他们再次派一个代表团前去见朱庇特，祈求他再指派一位别的君主来统治他们。于是朱庇特派了一条鳗鱼去统治他们。当青蛙们发现鳗鱼随和、善良的本性时，就又第三次去找朱庇特，乞求他再给他们挑选一位国王。朱庇特对青蛙们的种种抱怨感到不悦，便派遣苍鹭去当他们的国王。苍鹭成天都捕食青蛙，直到湖里再也没有青蛙呱呱叫了为止。","The Frogs, grieved at having no established Ruler, sent ambassadors to Jupiter entreating for a King. Perceiving their simplicity, he cast down a huge log into the lake.The Frogs were terrified at the splash occasioned by its fall and hid themselves in the depths of the pool.But as soon as they realized that the huge log was motionless, they swam again to the top of the water, dismissed their fears, climbed up, and began squatting on it in contempt.After some time they began to think themselves ill-treated in the appointment of so inert a Ruler, and sent a second deputation to Jupiter to pray that he would set over them another sovereign.He then gave them an Eel to govern them.When the Frogs discovered his easy good nature, they sent yet a third time to Jupiter to beg him to choose for them still another King.Jupiter, displeased with all their complaints, sent a Heron, who preyed upon the Frogs day by day till there were none left to croak upon the lake."
"男孩和青蛙","The Boys and the Frogs "
"几个男孩子在池塘边玩耍，看到水中有许多青蛙，于是便开始朝青蛙扔石头。男孩们砸死了几只青蛙。这时，有一只青蛙把头伸出水面，哭喊道：“孩子们，求你们停下来吧，这对你们来说是玩耍，对我们却意味着死亡啊。”","Some Boys, playing near a pond, saw a number of Frogs in the water and began to pelt them with stones.They killed several of them, when one of the Frogs, lifting his head out of the water, cried out: “Pray stop, my boys: what is sport to you, is death to us.”"
"生病的牡鹿","The Sick Stag "
"一头生病的牡鹿躺在牧场一个安静的角落里。牡鹿的众多伙伴都过来问候他，每个伙伴还自取了一份原本放在那里供这只牡鹿食用的食物。因此，牡鹿死了，不是死于疾病，而是死于没有食物来维持生计。","A Sick Stag lay down in a quiet corner of its pasture ground.His companions came in great numbers to inquire after his health, and each one helped himself to a share of the food which had been placed for his use; so that he died, not from his sickness, but from the failure of the means of living."
"结交损友，损害大于收益。","Evil companions bring more hurt than profit."
"盐商和他的驴子","The Salt Merchant and His Ass "
"一个商贩骑着他的驴子到海边去买盐。在商贩回家的路上有一条小溪。他的驴子一失足，不小心摔倒在了小溪里。等驴子再次站起来时，由于水溶解了麻袋中的盐，它背的货物变轻了许多。商贩原路返回，又把驮篮里装满了盐，这次比上次装的盐还要多。当他又来到小溪前时，驴子在同一个地方故意跌倒了。由于货物的重量大减，驴子重新站了起来，还得意地叫着，好像如愿以偿了似的。商贩看穿了驴子的诡计，便第三次赶着驴子回到了海边。这次他没有买盐，而是买了大量的海绵。等又到小溪的时候，驴子故伎重演，故意跌倒了，可海绵吸水后膨胀了起来，大大增加了它背负的重量。于是，驴子自食其果，因为现在它背上驮着的重负是之前的两倍。","A Peddler drove his Ass to the seashore to buy salt.His road home lay across a stream into which his Ass, making a false step, fell by accident and rose up again with his load considerably lighter, as the water melted the sack.The Peddler retraced his steps and refilled his panniers with a larger quantity of salt than before. When he came again to the stream, the Ass fell down on purpose in the same spot, and, regaining his feet with the weight of his load much diminished, brayed triumphantly as if he had obtained what he desired.The Peddler saw through his trick and drove him for the third time to the coast, where he bought a cargo of sponges instead of salt.The Ass, again playing the fool, fell down on purpose when he reached the stream, but the sponges became swollen with water, greatly increasing his load.And thus his trick recoiled on him, for he now carried on his back a double burden."
"公牛和屠夫","The Oxen and the Butchers "
"很久以前，公牛企图杀死屠夫，因为屠夫从事的行业有害于公牛这个种族。一天，公牛们集合在一起，准备实施它们的计划，并为这场角逐磨尖了自己的犄角。但是，它们中的一头非常老的公牛（因为它耕过很多田地）说道：“这些屠夫的确是屠杀我们的，但是他们屠杀时手法熟练，没有给我们带来不必要的疼痛。如果我们除掉了他们，我们将落入手法不精的屠夫之手，这样我要死亡两次：因为你可能清楚，尽管所有的屠夫都该死，但是人类是永远不会缺少牛肉的。”","The Oxen once upon a time sought to destroy the Butchers, who practiced a trade destructive to their race. They assembled on a certain day to carry out their purpose, and sharpened their horns for the contest.But one of them who was exceedingly old (for many a field had he plowed) thus spoke: “These Butchers, it is true, slaughter us, but they do so with skillful hands, and with no unnecessary pain.If we get rid of them, we shall fall into the hands of unskillful operators, and thus suffer a double death: for you may be assured, that though all the Butchers should perish, yet will men never want beef.”"
"不要急于将一种灾祸换成另一种灾祸。","Do not be in a hurry to change one evil for another."
"狮子、老鼠和狐狸","The Lion, the Mouse, and the Fox "
"夏日里，一头狮子因酷暑难耐而倍感疲乏，很快就在自己的洞穴里睡着了。一只老鼠从狮子的鬃毛和耳朵上跑过，把狮子从沉睡中吵醒了。狮子站起来，极为愤怒地抖了抖身子，然后搜寻洞穴的每个角落，要找那只老鼠。一只狐狸看到狮子这样，便说：“你这么威武的一头狮子，竟怕起一只老鼠来了。”“我不是怕老鼠，”狮子说，“我是憎恶他的放肆和无礼。”","A Lion, fatigued by the heat of a summer’s day, fell fast asleep in his den.A Mouse ran over his mane and ears and woke him from his slumbers.He rose up and shook himself in great wrath, and searched every corner of his den to find the Mouse.A Fox seeing him said: “A fine Lion you are, to be frightened of a Mouse.”“’Tis not the Mouse I fear,” said the Lion; “I resent his familiarity and ill breeding.”"
"小自由，大冒犯。","Little liberties are great offenses."
"徒劳的寒鸦","The Vain Jackdaw "
"据说，朱庇特决定要为众鸟立一个君主，并宣布在某一天让所有鸟类都去拜见他。届时，他将在众鸟中亲自选定最美的一只鸟为王。寒鸦知道自己丑陋，便寻遍森林和田野，收集那些从他同伴们的翅膀上掉下来的羽毛，然后将羽毛插遍自己的全身各处，希望因此能让自己成为众鸟中最美的那只。约定的日子到了，众鸟都聚集到了朱庇特面前，寒鸦也身着满是羽毛的华丽服饰闪亮登场。但是，当朱庇特因寒鸦的美丽羽毛而提议立寒鸦为王时，众鸟愤怒地表示抗议。每只鸟都从寒鸦身上把属于自己的羽毛拔了下来，而仅留给他一只寒鸦的原貌。","Jupiter determined, it is said, to create a sovereign over the birds, and made proclamation that on a certain day they should all present themselves before him, when he would himself choose the most beautiful among them to be king.The Jackdaw, knowing his own ugliness, searched through the woods and fields, and collected the feathers which had fallen from the wings of his companions, and stuck them in all parts of his body, hoping thereby to make himself the most beautiful of all.When the appointed day arrived, and the birds had assembled before Jupiter, the Jackdaw also made his appearance in his many feathered finery.But when Jupiter proposed to make him king because of the beauty of his plumage, the birds indignantly protested, and each plucked from him his own feathers, leaving the Jackdaw nothing but a Jackdaw."
"牧羊人和野山羊","The Goatherd and the Wild Goats "
"黄昏时分，一个牧羊人正赶着他的羊群离开牧场。他发现有些野山羊混进了羊群里，于是，晚上他就把它们和自己的羊群关在了一起。第二天，雪下得非常大。因此，牧羊人没办法赶羊群去它们常去的牧场，而不得不把它们关在羊栏里。牧羊人只给自己的山羊足够维持生命的食物，却用更为充足的食物来喂养那些新进来的野山羊，希望以此吸引它们留下来，并将它们据为己有。当雪开始融化时，牧羊人将所有的羊都放出来吃草，那些野山羊则尽全力地飞奔着跑上了山。牧羊人斥责它们忘恩负义离开他，想当初降暴雪时，他曾细心地照料它们，胜过自己的羊群。其中一只野山羊转过头来，对他说：“这正是我们这么小心谨慎的原因，你昨天对我们比对你喂养了这么长时间的羊都更好，那么如果我们后面来了其他羊的话，显然你也会同样地更喜欢它们。”","A Goatherd, driving his flock from their pasture at eventide, found some Wild Goats mingled among them, and shut them up together with his own for the night.The next day it snowed very hard, so that he could not take the herd to their usual feeding places, but was obliged to keep them in the fold.He gave his own goats just sufficient food to keep them alive, but fed the strangers more abundantly in the hope of enticing them to stay with him and of making them his own.When the thaw set in, he led them all out to feed, and the Wild Goats scampered away as fast as they could to the mountains.The Goatherd scolded them ingratitude in leaving him, when during the storm he had taken more care of them than of his own herd. One of them, turning about, said to him: “That is the very reason why we are so cautious; for if you yesterday treated us better than the Goats you have had so long, it is plain also that if others came after us, you would in the same manner prefer them to ourselves.”"
"为了新朋友而牺牲老朋友是不能免遭惩罚的。","Old friends cannot with impunity be sacrificed for new ones."
"顽皮的狗","The Mischievous Dog "
"有一条狗，每遇到一个人，总会悄悄跑上前，跟在人家的后面，然后趁其不备突然咬他们。狗的主人在它的脖子上挂了一个铃铛，这样不管这条狗去哪里,都可以告知别人它的存在。狗以为铃铛是荣誉勋章的标志，倍感自豪，便挂着个铃铛在集市上叮叮当当地四处转悠。一天，一只老猎犬对这条狗说：“你为什么要这样出尽洋相呢？相信我，你身上挂的铃铛绝不是什么荣誉勋章，恰恰相反，它是耻辱的标志，告知所有人你是条粗野的狗而注意避让。”","A Dog used to run up quietly to the heels of everyone he met, and to bite them without notice.His master suspended a bell about his neck so that the Dog might give notice of his presence wherever he went.Thinking it a mark of distinction, the Dog grew proud of his bell and went tinkling it all over the marketplace.One day an old hound said to him: “Why do you make such an exhibition of yourself?That bell that you carry is not, believe me, any order of merit, but on the contrary a mark of disgrace, a public notice to all men to avoid you as an ill mannered dog.”"
"声名狼籍常被误认为是鼎鼎大名。","Notoriety is often mistaken for fame."
"丢了尾巴的狐狸","The Fox Who Had Lost His Tail "
"一只被困在陷阱里的狐狸成功逃脱了，但却为此失去了自己的尾巴。从那以后，狐狸因受到别人的羞辱和嘲笑而感觉自己的生活是个包袱。于是，他谋划着让其他所有的狐狸都相信没有尾巴更有吸引力，从而弥补他自己的缺失。他召集了很多狐狸，并公开向他们建议切断他们的尾巴，说没有尾巴不仅能让他们看起来更好看，而且还可以摆脱给他们造成极大不便的尾巴的重量。其中一只狐狸打断他，对他说：“朋友，如果你自己没有失去尾巴，你可能就不会这样来建议我们了。”","A Fox caught in a trap escaped, but in so doing lost his tail.Thereafter, feeling his life a burden from the shame and ridicule to which he was exposed, he schemed to convince all the other foxes that being tailless was much more attractive, thus making up for his own deprivation.He assembled a good many foxes and publicly advised them to cut off their tails, saying that they would not only look much better without them, but that they would get rid of the weight of the brush, which was a very great inconvenience.One of them interrupting him said, “If you had not yourself lost your tail, my friend, you would not thus counsel us.”"
"男孩和荨麻","The Boy and the Nettles "
"一个男孩被荨麻扎到了。他跑回家告诉他的妈妈：“我只是轻轻地碰了它一下，它却把我扎得这么疼。”“这恰恰是它扎痛你的原因。”妈妈说道,“下次你再碰荨麻时，就大胆地抓住它，这样它在你的手里就会像丝绸一样柔软，根本扎不痛你了。”","A Boy was stung by a Nettle.He ran home and told his Mother, saying, “Although it hurts me very much, I only touched it gently.”“That was just why it stung you,” said his Mother.“The next time you touch a Nettle, grasp it boldly, and it will be soft as silk to your hand, and not in the least hurt you.”"
"不管做什么，都要竭尽全力。","Whatever you do, do with all your might."
"男人和他的两个情人","The Man and His Two Sweethearts "
"一个头发开始发白的中年男人，同时追求着两个女人。这两个女人，一个年轻，另一个则上了年纪。那位年长的女子，因羞于被比自己年轻的男人追求，便提出了一个条件：不论她的这位追求者什么时候来看望她，她都要拔掉他的一部分黑发。那位年轻的女子却相反，她不想做一个老头的妻子，便也同样狂热地把她能在男人头上找到的所有白头发都拔掉了。就这样，夹在两个女子之间,这个男人很快发现他头上一根头发都没有了。","A middle-aged man, whose hair had begun to turn gray, courted two women at the same time.One of them was young, and the other well advanced in years.The elder woman, ashamed to be courted by a man younger than herself, made a point, whenever her admirer visited her, to pull out some portion of his black hairs.The younger, on the contrary, not wishing to become the wife of an old man, was equally zealous in removing every gray hair she could find.Thus it came to pass that between them both he very soon found that he had not a hair left on his head."
"想取悦所有人，必将一个人也取悦不了。","Those who seek to please everybody please nobody."
"天文学家","The Astronomer "
"有一个天文学家，他常常晚上出去观测星星。一天晚上，他在野外闲逛时，因全神贯注定睛看天空，竟意外地跌入了一口深井里。因为身上有多处伤口和擦伤，他哀叹着痛哭不已，并同时大声呼救。一个邻居跑到井边，弄明白事情的经过后说：“听着，老伙计，你努力探究天上有什么的时候，怎么不留神看看地上有什么呢？”","An Astronomer used to go out at night to observe the stars.One evening, as he wandered through the suburbs with his whole attention fixed on the sky, he fell accidentally into a deep well.While he lamented and bewailed his sores and bruises, and cried loudly for help, a neighbor ran to the well, and learning what had happened said: “Hark ye, old fellow, why, in striving to pry into what is in heaven, do you not manage to see what is on earth?”"
"狼与羊","The Wolves and the Sheep "
"“为什么我们之间总是存在着恐惧和杀戮呢？”狼对羊说道，“那些作恶多端的狗要负很大的责任。每次我们一靠近你们，那些狗就汪汪叫；我们还没对你们造成任何伤害，他们就来攻击我们。只要你们把他们从身边打发走，没准儿我们之间马上就能缔结和平与和解条约了。”可怜又愚蠢的羊轻而易举就上当受骗了，他们打发走了狗。于是狼便随心所欲地吃掉了那群失去保护的羊。","“Why should there always be this fear and slaughter between us?” said the Wolves to the Sheep. “Those evil-disposed Dogs have much to answer for.They always bark whenever we approach you and attack us before we have done any harm.If you would only dismiss them from your heels, there might soon be treaties of peace and reconciliation between us.”The Sheep, poor silly creatures, were easily beguiled and dismissed the Dogs, whereupon the Wolves destroyed the unguarded flock at their own pleasure."
"老妇人与医生","The Old Woman and the Physician "
"一位老妇人失明了，请来医生给她治眼睛。她在证人面前和医生达成协议：如果医生治好了她的失明，他将从她那儿得到一笔钱，但如果她还是看不见，她就什么都不用给他。协议达成后，医生一次次来给老妇人的眼睛上药膏。每次上门他都拿走一些东西，就这样一点点地偷走了老妇人的所有家当。等医生把老妇人的东西都拿走后，他治好了老妇人的眼睛，并向她索要之前允诺的报酬。重获光明的老妇人看到家中空无一物，便什么也不愿给他。医生坚持要自己的酬劳，老妇人还是不给，于是医生将她告到法官那里。老妇人站在法庭上辩解道：“这个人说的话是属实的，我的确答应过他，自己若重获光明会给他一笔钱，但如果我还是看不见，我就什么都不用给他。现在他宣称将我的眼疾治好了。可是正相反，我敢肯定我依然看不见，因为我失明前还看到屋子里有各种财物和值钱的东西，但现在，虽然他发誓说已经治好了我的失明，可我还是一件东西都看不见。”","An Old Woman having lost the use of her eyes, called in a Physician to heal them, and made this bargain with him in the presence of witnesses: that if he should cure her blindness, he should receive from her a sum of money; but if her infirmity remained, she should give him nothing.This agreement being made, the Physician, time after time, applied his salve to her eyes, and on every visit took something away, stealing all her property little by little.And when he had got all she had, he healed her and demanded the promised payment.The Old Woman, when she recovered her sight and saw none of her goods in her house, would give him nothing.The Physician insisted on his claim, and as she still refused, summoned her before the Judge.The Old Woman, standing up in the Court, argued: “This man here speaks the truth in what he says; for I did promise to give him a sum of money if I should recover my sight: but if I continued blind, I was to give him nothing.Now he declares that I am healed.I on the contrary affirm that I am still blind; for when I lost the use of my eyes, I saw in my house various chattels and valuable goods; but now, though he swears I am cured of my blindness, I am not able to see a single thing in it.”"
"斗鸡和老鹰","The Fighting Cocks and the Eagle "
"两只斗鸡为了争夺农家庭院的控制权而正在恶战。最后，其中一只让另一只落败而逃。那只斗败的公鸡偷偷躲了起来，藏在一个安静的角落里，而那只胜利的公鸡则拍打着翅膀，飞上一座高墙，得意洋洋地放开嗓门打起鸣来。一只掠过天空的老鹰突然猛扑向这只公鸡，用利爪将其捉走了。那只战败的公鸡立刻从角落里跑了出来，从此毫无争议地控制了庭院。","Two game cocks were fiercely fighting for the mastery of the farmyard.One at last put the other to flight.The vanquished Cock skulked away and hid himself in a quiet corner, while the conqueror, flying up to a high wall, flapped his wings and crowed exultingly with all his might.An Eagle sailing through the air pounced upon him and carried him off in his talons.The vanquished Cock immediately came out of his corner, and ruled henceforth with undisputed mastery."
"骄兵必败。","Pride goes before destruction."
"战马和磨坊主","The Charger and the Miller "
"一匹战马年迈体弱，便被送到了一个磨坊里去干活，不再奔赴战场。但是，当这匹战马因不能再上战场而被迫去拉磨时，它又为自己命运的改变而深感悲哀。回想起昔日的身份地位，它说道：“啊！磨坊主啊，我的确曾亲历战场，全副武装，身边还有一个随从负责照料我，可现在，我不明白，到底是什么使我痛苦地放弃战场而选择了磨坊。”“够了，”磨坊主对马说道，“别再唠叨过去的事了，忍受命运的起伏是所有生物的共同命运。”","A Charger, feeling the infirmities of age, was sent to work in a mill instead of going out to battle.But when he was compelled to grind instead of serving in the wars, he bewailed his change of fortune and called to mind his former state, saying, “Ah! Miller, I had indeed to go campaigning before, but I was barbed from counter to tail, and a man went along to groom me; and now I cannot understand what ailed me to prefer the mill before the battle.”“Forbear,” said the Miller to him, “harping on what was of  yore, for it is the common lot of mortals to sustain the ups and downs of fortune.”"
"狐狸和猴子","The Fox and the Monkey "
"一只猴子在一次百兽集会上跳舞，他的表演令全场大为欢喜，于是被选为国王。有一只狐狸嫉妒猴子取得的荣誉，她发现一个陷阱里有一片肉，于是她将猴子带到那儿，说她发现了一个藏宝洞，不过还没动过。她一直为猴子留着，好做他王国的无价之宝，还劝猴子要据为己有。猴子一时大意，便走了过去，结果掉进了陷阱。当猴子大骂狐狸故意引他掉进陷阱时，狐狸答道：“哦，猴子，就凭你这种头脑也配当百兽之王吗？”","A Monkey once danced in an assembly of the Beasts, and so pleased them all by his performance that they elected him their King.A Fox, envying him the honor, discovered a piece of meat lying in a trap, and leading the Monkey to the place where it was, said that she had found a store, but had not used it, she had kept it for him as treasure trove of his kingdom, and counseled him to lay hold of it.The Monkey approached carelessly and was caught in the trap; and on his accusing the Fox of purposely leading him into the snare, she replied, “O Monkey, and are you, with such a mind as yours, going to be King over the Beasts?”"
"马和它的主人","The Horse and His Rider "
"一个骑兵悉心照料着他的战马。只要战争持续，他就把战马视为一切危急情况下的助手，于是他用干草和谷物精心喂养着战马。但等战争结束了，他就只给它喂糟糠，还让它驮沉重的木材，强迫它做很多卑微的苦差事，不好好待它。然而，战争又爆发了，号角声声，唤他上阵。士兵为战马穿上军用马饰，自己也穿上了厚重的甲胄，然后纵身跃上马背。重压之下，马儿立刻就倒了下去，它再也承担不起这样的重量了。马对主人说：“现在你必须得徒步上战场了，因为你已经把我从一匹马变成了一头驴；你怎么能指望我一下子就从一头驴又变回一匹马呢？”","A horse soldier took the utmost pains with his charger.As long as the war lasted, he looked upon him as his fellow helper in all emergencies and fed him carefully with hay and corn.But when the war was over, he only allowed him chaff to eat and made him carry heavy loads of wood, subjecting him to much slavish drudgery and ill-treatment.War was again proclaimed, however, and when the trumpet summoned him to his standard, the Soldier put on his charger its military trappings, and mounted, being clad in his heavy coat of mail.The Horse fell down straightway under the weight, no longer equal to the burden, and said to his master, “You must now go to the war on foot, for you have transformed me from a Horse into an Ass; and how can you expect that I can again turn in a moment from an Ass to a Horse?”"
"胃和其他器官","The Belly and the Members "
"身体的其他器官共同刁难起胃来，抱怨道：“凭什么总是我们忙着帮助你满足需要，而你却什么也不做，在奢侈和自我放纵中独享其乐呢？”于是，器官们就下定决心拒绝再帮助胃。很快，整个身体都变得虚弱无力。手、脚、嘴和眼睛对他们的愚蠢做法感到后悔，可却为时已晚了。","The Members of the Body rebelled against the Belly, and said, “Why should we be perpetually engaged in administering to your wants, while you do nothing but take your rest, and enjoy yourself in luxury and self-indulgence?”The Members carried out their resolve and refused their assistance to the Belly.The whole Body quickly became debilitated, and the hands, feet, mouth, and eyes, when too late, repented of their folly."
