"一块牛排","A Piece of Steak"
"桑德尔有进有退，时而在这儿，时而在那儿，满场跑动；他步伐轻快、心情急切，就像一个用白皙的肌肤和强健的肌肉砌成的活的奇迹；他用自己的身体编织出一张让人眼花缭乱的攻击网，滑过来，跳过去，像飞梭一样把上千个动作一个接着一个地串联起来，千方百计要摧毁挡住他财路的汤姆·金。汤姆·金就耐着性子挨打。他知道自己该干什么。他现在虽然不再年轻，却学会了对付年轻人。他的想法是，在对方耗费掉一些能量之前，他决定什么也不做，而且他还暗笑，故意低下头，用头顶迎接对方那一记重拳。这样做不厚道，但根据拳击比赛的规则来说，又相当公平。拳击手本应该好好保护自己的指关节，可要是他一定要打对手的头顶，那可就自讨苦吃了。金本来可以把头放低点，让这一拳无关痛痒地落空，但他想起了当初自己比赛的时候，他是怎么在威尔士凶神的头上打坏他的第一个指关节的。现在他只是在按规则比赛。这一低头，桑德尔的一个指关节算报了销。桑德尔现在当然不会在乎。他会毫不在意地继续这样打下去，能打多狠就打多狠，一直到比赛结束。。但过后，等他在拳击赛场上打得久了，明白了其中的厉害，他就会为那个指关节感到痛惜，才会回想起他是怎么把它打在汤姆·金头上的。","Sandel was in and out, here, there, and everywhere, light-footed and eager-hearted, a living wonder of white flesh and stinging muscle that wove itself into a dazzling fabric of attack, slipping and leaping like a flying shuttle from action to action through a thousand actions, all of them centred upon the destruction of Tom King, who stood between him and fortune.And Tom King patiently endured.He knew his business, and he knew Youth now that Youth was no longer his.There was nothing to do till the other lost some of his steam, was his thought, and he grinned to himself as he deliberately ducked so as to receive a heavy blow on the top of his head.It was a wicked thing to do, yet eminently fair according to the rules of the boxing game.A man was supposed to take care of his own knuckles, and, if he insisted on hitting an opponent on the top of the head, he did so at his own peril.King could have ducked lower and let the blow whiz harmlessly past, but he remembered his own early fights and how he smashed his first knuckle on the head of the Welsh Terror.He was but playing the game.That duck had accounted for one of Sandel’s knuckles.Not that Sandel would mind it now.He would go on, superbly regardless, hitting as hard as ever throughout the fight.But later on, when the long ring battles had begun to tell, he would regret that knuckle and look back and remember how he smashed it on Tom King’s head."
"第一回合桑德尔抢尽风头，他旋风式的袭击引得全场观众都为之疯狂。他排山倒海般的拳头完全制住了金，金却一次也没还手。他没出过一次拳，只求用掩护、拦截、躲闪和扭住对方的战术来躲避对方的重击。偶尔他会佯攻，被拳头打中时会晃一下脑袋，他步伐迟缓，从不跳来跳去，也不浪费一丝力气。势必等到桑德尔把青年那股锐气用光，他这个谨慎的老家伙才敢还击。金的所有动作都缓慢、有条不紊又谨慎，而且他那双眼睛眼皮厚重，转动得很慢，让他看上去有一种半睡半醒、茫然若失的神态。但就是这双眼睛将一切尽收眼底。在拳击台上打拼了二十多年，他早就练就了一双火眼金睛。拳头打到眼前来了，这双眼睛也能不眨不动，冷静地观测出拳的距离。","The first round was all Sandel’s, and he had the house yelling with the rapidity of his whirlwind rushes.He overwhelmed King with avalanches of punches, and King did nothing.He never struck once, contenting himself with covering up, blocking and ducking and clinching to avoid punishment.He occasionally feinted, shook his head when the weight of a punch landed, and moved stolidly about, never leaping or springing or wasting an ounce of strength.Sandel must foam the froth of Youth away before discreet Age could dare to retaliate.All King’s movements were slow and methodical, and his heavy-lidded, slow-moving eyes gave him the appearance of being half asleep or dazed.Yet they were eyes that saw everything, that had been trained to see everything through all his twenty years and odd in the ring.They were eyes that did not blink or waver before an impending blow, but that coolly saw and measured distance."
"第一个回合结束后有一分钟的休息时间，他坐在自己的那个场角里，伸展双腿靠上后面的柱子，手臂搭在两旁的围绳上，胸腔和腹部深深地起伏，大口呼吸着助手用毛巾扇过来的空气。他闭着眼睛，听到场外的喊声，“汤姆，你为什么不还手？”很多人都在大声问他。“你不会怕他了吧，是不是？”","Seated in his corner for the minute’s rest at the end of the round, he lay back with outstretched legs, his arms resting on the right angle of the ropes, his chest and abdomen heaving frankly and deeply as he gulped down the air driven by the towels of his seconds.He listened with closed eyes to the voices of the house, “Why don’t yeh fight, Tom?” many were crying.“Yeh ain’t afraid of ’im, are yeh?”"
"“肌肉僵硬了吧，”他听到前排一个男人说道，“他动作快不了啦。我赌桑德尔赢，输了我赔双倍，照英镑算。”","“Muscle-bound,” he heard a man on a front seat comment.“He can’t move quicker.Two to one on Sandel, in quids.”"
"一声锣响，两个人离开各自的场角，走上前来。桑德尔急着开打，上前一口气跑到了全场四分之三的位置上，但金巴不得少走几步。这样省力，正和他意。他没有好好训练，也没填饱肚子，每一步都很金贵。何况他来到拳击场就已经走了两英里的路。和第一回合一样，桑德尔快速袭击，观众气愤不平，想知道金为什么不还手。除了佯攻和几次慢吞吞的出拳，他所做的依然只是抵挡、拖延和扭抱对方。桑德尔想速战速决，金凭借智慧偏不让他得逞。他咧嘴一笑，久经拳场的脸上混杂着羡慕与怜悯，继续凭借着只有老家伙才具备的谨慎，小心地保存着他的实力。桑德尔是青年，像所有青年一样慷慨放纵，尽情挥霍着他的力气。金则是个拳击台上的将才，有的是长年在艰辛的比赛中积累起来的智慧。他目光冷静、头脑清醒，盯住对方，慢慢地移动，等待着桑德尔的气势消散。对于旁观的大多数人来说，金似乎是毫无希望地落后了一大截，他们表示要在桑德尔身上押下三比一的赌注，由此可见他们的态度。但也有少数几个聪明人知道金昔日的辉煌，愿意拿出自己轻易得来的钱跟他们赌一把。","The gong struck and the two men advanced from their corners.Sandel came forward fully three-quarters of the distance, eager to begin again; but King was content to advance the shorter distance.It was in line with his policy of economy.He had not been well trained, and he had not had enough to eat, and every step counted.Besides, he had already walked two miles to the ringside.It was a repetition of the first round, with Sandel attacking like a whirlwind and with the audience indignantly demanding why King did not fight.Beyond feinting and several slowly delivered and ineffectual blows he did nothing save block and stall and clinch.Sandel wanted to make the pace fast, while King, out of his wisdom, refused to accommodate him.He grinned with a certain wistful pathos in his ring-battered countenance, and went on cherishing his strength with the jealousy of which only Age is capable.Sandel was Youth, and he threw his strength away with the munificent abandon of Youth.To King belonged the ring generalship, the wisdom bred of long, aching fights.He watched with cool eyes and head, moving slowly and waiting for Sandel’s froth to foam away.To the majority of the onlookers it seemed as though King was hopelessly outclassed, and they voiced their opinion in offers of three to one on Sandel.But there were wise ones, a few, who knew King of old time, and who covered what they considered easy money."
"第三回合开头还是老样子，主动权还在桑德尔一边，一直是他在不停地出拳。半分钟后，桑德尔因为过分自信，露出了一个破绽。瞬间金的眼睛一亮，同时右手迅速出击。这是他第一次真正的进攻——一记勾拳，他的手臂弯成了拱形，使力道增大，并且压上了身体90度旋转的全部重量。这就像一头看起来恹恹欲睡的狮子突然以闪电般的速度伸出一只爪子。桑德尔下巴边上挨了一拳，像头阉牛似的重重倒下。观众们倒抽一口气，顿生敬畏，喃喃地发出了一片喝彩声。这个男人的肌肉原来并没有僵硬，他还能打出像杵锤一样有力的拳头。","The third round began as usual, one-sided, with Sandel doing all the leading and delivering all the punishment.A half-minute had passed when Sandel, overconfident, left an opening.King’s eyes and right arm flashed in the same instant.It was his first real blow—a hook, with the twisted arch of the arm to make it rigid, and with all the weight of the half-pivoted body behind it.It was like a sleepy-seeming lion suddenly thrusting out a lightning paw.Sandel, caught on the side of the jaw, was felled like a bullock.The audience gasped and murmured awe-stricken applause.The man was not muscle-bound, after all, and he could drive a blow like a trip-hammer."
"桑德尔的身子在颤抖。他翻过身，试图站起来，但他的助手厉声喝住他，让他等着计数。他单膝跪着，做好了起身的准备，等待着，裁判站在他身旁，对着他耳边大声计数。数到九的时候他起身摆出拳击的姿态，对面的汤姆·金却不由懊悔，这一拳要是离下巴尖再近一英寸就好了。那样的话，他就可以把对方击倒，就可以拿着30英镑回家去见老婆孩子了。","Sandel was shaken.He rolled over and attempted to rise, but the sharp yells from his seconds to take the count restrained him.He knelt on one knee, ready to rise, and waited, while the referee stood over him, counting the seconds loudly in his ear.At the ninth he rose in fighting attitude, and Tom King, facing him, knew regret that the blow had not been an inch nearer the point of the jaw.That would have been a knockout, and he could have carried the thirty quid home to the missus and the kiddies."
"这一回合继续，桑德尔第一次尊敬起他的对手，金则和之前一样步伐缓慢，一副昏昏欲睡的样子，一直到规定的三分钟时间结束。这一回合收尾的时候，金看到助手们蹲到围绳外面准备钻进来，这提醒了他，于是他把战斗引到自己的场角。这样当锣响的时候，他可以立刻坐到那张等着他的凳子上，而桑德尔不得不沿着场地的对角线穿过大半个拳击台才能回到自己的场角。这是个小细节，但正是这些小细节累积起来决定了成败。桑德尔不得不迈出更多的步子，消耗更多的能量，还要损失一部分宝贵的休息时间。每一回合开始，金总是懒洋洋地从自己的场角起身，逼着他的对手走过更长的距离。每一回合结束，金又总是巧妙地将比赛引到他自己的场角，好让他可以一打完就坐下来。","The round continued to the end of its three minutes, Sandel for the first time respectful of his opponent and King slow of movement and sleepy-eyed as ever.As the round neared its close, King, warned of the fact by sight of the seconds crouching outside ready for the spring in through the ropes, worked the fight around to his own corner.And when the gong struck, he sat down immediately on the waiting stool, while Sandel had to walk all the way across the diagonal of the square to his own corner.It was a little thing, but it was the sum of little things that counted.Sandel was compelled to walk that many more steps, to give up that much energy, and to lose a part of the precious minute of rest.At the beginning of every round King loafed slowly out from his corner, forcing his opponent to advance the greater distance.The end of every round found the fight maneuvred by King into his own corner so that he could immediately sit down."
"接下来的两个回合，金照样吝啬着自己的拳头，桑德尔的出拳则依旧慷慨大方。后者加快步伐的攻势让金不太舒服，因为这一阵阵挥向他的拳头中有相当一部分都正中要害。然而，尽管那些头脑发热的年轻人都在催他上前攻击，金还是顽固地坚持着自己的拖延战术。第六回合桑德尔再次大意，汤姆·金厉害的右勾拳又一次迅速挥出，正中对方的下巴，桑德尔又一次等着裁判数到九。","Two more rounds went by, in which King was parsimonious of effort and Sandel prodigal.The latter’s attempt to force a fast pace made King uncomfortable, for a fair percentage of the multitudinous blows showered upon him went home.Yet King persisted in his dogged slowness, despite the crying of the young hotheads for him to go in and fight.Again, in the sixth round, Sandel was careless, again Tom King’s fearful right flashed out to the jaw, and again Sandel took the nine seconds count."
"到了第七回合，桑德尔的鼎盛状态已经逝去，他这才静下心来，迎战这场他知道将是自己入行以来遇到的最艰苦的一场比赛。汤姆·金是个老家伙，但比他遇到过的那些老家伙厉害得多——他从来不犯糊涂，精于防守，拳头的狠劲儿比得上一根有节的铁棍，而且无论哪只手都能一拳把对手击倒。尽管如此，汤姆·金还是不敢频繁出拳。他从来没忘记他那些打伤的指关节，他明白，要想让这些指关节撑过整场比赛，他每出一拳都需要精打细算。正当他坐在自己的场角，看向对面的对手时，他突然想到，要是有人能集他的聪明才智和桑德尔的年轻力壮于一身，准会成为一个重量级的世界冠军。但问题就在这里。桑德尔永远成不了世界冠军。他缺乏智慧，而对他来说能得到智慧的唯一方式就是用青春去交换；而等他拥有了智慧，青春也已经一去不回了。","By the seventh round Sandel’s pink of condition was gone, and he settled down to what he knew was to be the hardest fight in his experience.Tom King was an old un, but a better old un than he had ever encountered—an old un who never lost his head, who was remarkably able at defence, whose blows had the impact of a knotted club, and who had a knockout in either hand.Nevertheless, Tom King dared not hit often.He never forgot his battered knuckles, and knew that every hit must count if the knuckles were to last out the fight.As he sat in his corner, glancing across at his opponent, the thought came to him that the sum of his wisdom and Sandel’s youth would constitute a world’s champion heavyweight.But that was the trouble.Sandel would never become a world champion.He lacked the wisdom, and the only way for him to get it was to buy it with Youth; and when wisdom was his, Youth would have been spent in buying it."
"金利用上了他知道的每一个有利条件。他从不错失任何扭住对方的机会，而且通常在扭作一团之后他都会用肩膀狠狠撞向对方的肋骨。从理论上说，在拳击台上，肩膀与拳头的杀伤力不相上下，但省力要多得多。而且，扭打的时候金会把自己的重量压在对方身上，不肯松手。这样就逼得裁判过来干涉，把他们分开，桑德尔没学会偷闲，这种时候还总在一旁协助。桑德尔总是忍不住神气地挥动胳膊、显摆肌肉。要是另一方冲过来扭住他，拿肩膀撞他的肋骨，头卡在他的左臂下面，桑德尔几乎总是把右拳从自己背后挥过去，打向那颗伸出来的脑袋。这是个漂亮的打法，观众十分欣赏，但并不危险，因此也只是浪费力气。但桑德尔不知疲倦，也不清楚自己的极限，金只是咧嘴笑着，顽强地坚持着。","King took every advantage he knew.He never missed an opportunity to clinch, and in effecting most of the clinches his shoulder drove stiffly into the other’s ribs.In the philosophy of the ring a shoulder was as good as a punch so far as damage was concerned, and a great deal better so far as concerned expenditure of effort.Also, in the clinches King rested his weight on his opponent, and was loath to let go.This compelled the interference of the referee, who tore them apart, always assisted by Sandel, who had not yet learned to rest.He could not refrain from using those glorious flying arms and writhing muscles of his, and when the other rushed into a clinch, striking shoulder against ribs, and with head resting under Sandel’s left arm, Sandel almost invariably swung his right behind his own back and into the projecting face.It was a clever stroke, much admired by the audience, but it was not dangerous, and was, therefore, just that much wasted strength.But Sandel was tireless and unaware of limitations, and King grinned and doggedly endured."
"桑德尔还使出了一种用右拳猛击对手身体的打法，让金看起来似乎挨了不少打，但其实，在被对方拳头打到之前的一瞬间，金已经将左拳撞上了对方的肱二头肌，这种巧妙的手法只有看拳的老手才懂得欣赏。没错，桑德尔的拳头次次都打中了，但每次都因为肱二头肌上这一撞的缓冲，失去了应有的力道。到第九个回合时，金在一分钟内三次把右臂弯成拱形，用一记勾拳，打中对方的下巴。一连三次，桑德尔的身体都重重倒在了毯子上。每次他都等足了九秒才起身，有些摇摇晃晃、神志不清，但依然强壮。他动作已经没那么快了，可浪费的力气也少了。他打得很艰难，可他的本钱，也就是青春，还在给他源源不断地提供能量。金的本钱则是经验。他的活力渐渐消逝，精力也变得不济了，但他通过长期的比赛得到了精明和智慧，学会了谨慎地驾驭自己的力量。他不仅学会了永远不做一个多余的动作，还学会了怎么诱使对手浪费气力。他反复利用四肢和身体作出攻击的样子，不断地诱骗着桑德尔，让他一会儿跳开，一会儿闪躲，一会儿还击。金要休息，但他决不允许桑德尔休息。这就是老手的策略。","Sandel developed a fierce right to the body, which made it appear that King was taking an enormous amount of punishment, and it was only the old ringsters who appreciated the deft touch of King’s left glove to the other’s biceps just before the impact of the blow.It was true, the blow landed each time; but each time it was robbed of its power by that touch on the biceps.In the ninth round, three times inside a minute, King’s right hooked its twisted arch to the jaw; and three times Sandel’s body, heavy as it was, was levelled to the mat.Each time he took the nine seconds allowed him and rose to his feet, shaken and jarred, but still strong.He had lost much of his speed, and he wasted less effort.He was fighting grimly; but he continued to draw upon his chief asset, which was Youth.King’s chief asset was experience.As his vitality had dimmed and his vigor abated, he had replaced them with cunning, with wisdom born of the long fights and with a careful shepherding of strength.Not alone had he learned never to make a superfluous movement, but he had learned how to seduce an opponent into throwing his strength away.Again and again, by feint of foot and hand and body he continued to inveigle Sandel into leaping back, ducking, or countering.King rested, but he never permitted Sandel to rest.It was the strategy of Age."
"第十回合没打多久，金就开始用左直拳攻打对方的脸部，来阻挡对方的急攻，桑德尔已经谨慎起来，见势立刻收回左拳，低头一闪，同时右手一挥，对着金的头部一侧送出一记结实的勾拳。这一拳打得高了，没有打中要害，但金刚一挨拳，立刻就感觉到一阵熟悉的昏眩，仿佛被一片黑纱蒙住了意识。在那一瞬间，或者不如说，在那短暂得不能再短暂的一瞬间，他的生命停止了。这一刻，他看到他的对手闪出了他的视野，周围那一张张正观看着比赛的白色面孔也不见了；下一刻，他却又再次看到了他的对手和观众席上的面孔。感觉就好像他睡了一觉，刚刚重新睁开眼睛，但失去意识的时间短得几乎难以察觉，他没来得及倒下。观众只看到他晃了一下，膝盖一软，之后又见他恢复过来，用左肩紧紧地护住下巴。","Early in the tenth round King began stopping the other’s rushes with straight lefts to the face, and Sandel, grown wary, responded by drawing the left, then by ducking it and delivering his right in a swinging hook to the side of the head.It was too high up to be vitally effective; but when first it landed, King knew the old, familiar descent of the black veil of unconsciousness across his mind.For the instant, or for the slightest fraction of an instant, rather, he ceased.In the one moment he saw his opponent ducking out of his field of vision and the background of white, watching faces; in the next moment he again saw his opponent and the background of faces.It was as if he had slept for a time and just opened his eyes again, and yet the interval of unconsciousness was so microscopically short that there had been no time for him to fall.The audience saw him totter and his knees give, and then saw him recover and tuck his chin deeper into the shelter of his left shoulder."
"桑德尔这一招用了好几次，想让金一直处于半昏迷状态，然而后者终于想出了一个以攻为守的办法。他左手佯攻，却又后退半步，同时使出右臂全部的力量打出一个上勾拳。他把时间算得真准，使得桑德尔低头闪躲之时，这一拳正好直直迎上他的脸，打得桑德尔腾空飞起，身体后仰，头和肩膀一起撞到了垫子上。金这样得手了两次，接着就放开手脚，用拳头把对手逼到了围绳上。他不给桑德尔机会休息，也不让他有机会振作，只是一拳又一拳地砸过去，直到全场的观众都站起来，不断向他报以雷鸣般的喝彩。但桑德尔的力气和耐力是一流的，他还没倒下。看起来桑德尔铁定要被打晕过去，场子边上的一个警察局副巡官看到这可怕的场面，吓了一跳，连忙站起来要阻止这场比赛。这时一声锣响，本回合结束。桑德尔踉踉跄跄地走回自己的场角，向副巡官解释说他体质好，挨得住。为了证明这一点，他还做了两个后空翻，让那个警官没了意见。","Several times Sandel repeated the blow, keeping King partially dazed, and then the latter worked out his defence, which was also a counter.Feinting with his left he took a half-step backward, at the same time upper cutting with the whole strength of his right.So accurately was it timed that it landed squarely on Sandel’s face in the full, downward sweep of the duck, and Sandel lifted in the air and curled backward, striking the mat on his head and shoulders.Twice King achieved this, then turned loose and hammered his opponent to the ropes.He gave Sandel no chance to rest or to set himself, but smashed blow in upon blow till the house rose to its feet and the air was filled with an unbroken roar of applause.But Sandel’s strength and endurance were superb, and he continued to stay on his feet.A knockout seemed certain, and a captain of police, appalled at the dreadful punishment, arose by the ringside to stop the fight.The gong struck for the end of the round and Sandel staggered to his corner, protesting to the captain that he was sound and strong.To prove it, he threw two back air-springs, and the police captain gave in."
"汤姆·金这时正靠在自己的场角里喘得厉害，看到这一幕，他非常失望。如果比赛终止了，裁判将不得不向他宣布裁定，奖金也就归他了。他跟桑德尔不同，他打拳不是为了荣耀，也不是为了前程，只是为了那30英镑。但现在，只需要休息一分钟桑德尔就会恢复。","Tom King, leaning back in his corner and breathing hard, was disappointed.If the fight had been stopped, the referee, perforce, would have rendered him the decision and the purse would have been his.Unlike Sandel, he was not fighting for glory or career, but for thirty quid.And now Sandel would recuperate in the minute of rest."
"年轻就是本钱——这句话闪现在金德脑海里。他记得第一次听到这句话是在他打倒斯托舍·比尔的那个晚上。那场拳击赛后，给他买酒的阔少拍着他的肩膀就说的这句话。年轻就是本钱！那个人说的没错。很久以前的那个晚上，他就是年轻的那个。今天晚上，年轻的那个却坐到了对面的位置。而他自己，他现在已经打了半个小时，他可是有一把年纪的人了。要是他像桑德尔一样打法，怕是一刻钟也坚持不下来。可最要命的是他没法恢复。因为他那些鼓起的血管，还有那颗疲乏的心脏，靠着回合之间那点儿休息时间，他根本没有办法重新振作。而且一开始他的力气就不够。他双腿沉重，而且已经开始抽筋了。他不该走上两英里路来比赛的。还有那块他早上一起床就想吃的牛排。他心里恨死了那个不肯给他赊账的肉铺老板。一个老人饿着肚子是很难打赢的。区区一块牛排，顶多值几个便士，而对他来说，却意味着30英镑。","Youth will be served—this saying flashed into King’s mind, and he remembered the first time he had heard it, the night when he had put away Stowsher Bill.The toff who had bought him a drink after the fight and patted him on the shoulder had used those words.Youth will be served!The toff was right.And on that night in the long ago he had been Youth.To-night Youth sat in the opposite corner.As for himself, he had been fighting for half an hour now, and he was an old man.Had he fought like Sandel, he would not have lasted fifteen minutes.But the point was that he did not recuperate.Those upstanding arteries and that sorely tried heart would not enable him to gather strength in the intervals between the rounds.And he had not had sufficient strength in him to begin with.His legs were heavy under him and beginning to cramp.He should not have walked those two miles to the fight.And there was the steak which he had got up longing for that morning.A great and terrible hatred rose up in him for the butchers who had refused him credit.It was hard for an old man to go into a fight without enough to eat.And a piece of steak was such a little thing, a few pennies at best; yet it meant thirty quid to him."
"第十一个回合的开场锣声一响，桑德尔就为了显示自己那早就不复存在的活力，发起了一阵猛攻。金很清楚是怎么回事——这不过是虚张声势罢了，是像拳击比赛本身一样古老的把戏。为了保护自己，他扭住对方，然后又松开手，让桑德尔重新摆开阵势。这正是金想要的。他左手佯攻，引得对手低头一躲，同时向上挥出勾拳，再后退半步，一记上勾拳迎上桑德尔的脸，把他撂倒在垫子上。那之后他就不让对方歇着了，自己挨了拳但送出的拳头更多。他把桑德尔逼到绳子上，一边从各个方向用各种拳法揍他，一边挣开他的纠缠，或者干脆用拳头阻止他扭抱的企图，而且每次桑德尔快倒下的时候，他都会用一只手向上撑起他，另一只手随即把他打得贴在围绳上，让他倒不下去。","With the gong that opened the eleventh round, Sandel rushed, making a show of freshness which he did not really possess.King knew it for what it was—a bluff as old as the game itself.He clinched to save himself, then, going free, allowed Sandel to get set.This was what King desired.He feinted with his left, drew the answering duck and swinging upward hook, then made the half-step backward, delivered the upper cut full to the face and crumpled Sandel over to the mat.After that he never let him rest, receiving punishment himself, but inflicting far more, smashing Sandel to the ropes, hooking and driving all manner of blows into him, tearing away from his clinches or punching him out of attempted clinches, and ever when Sandel would have fallen, catching him with one uplifting hand and with the other immediately smashing him into the ropes where he could not fall."
"这时全场观众都疯狂了，这里成了他的天下，几乎每一个声音都在喊：“加油，汤姆！”“打垮他！打垮他！”“你就要赢了，汤姆！你就要赢了！”一个旋风般的收尾马上就要来临，观众花钱到拳击台边上，想看的就是这个。","The house by this time had gone mad, and it was his house, nearly every voice yelling: “Go it, Tom!”“Get ’im! Get ’im!”“You’ve got ’im, Tom!You’ve got ’im!”It was to be a whirlwind finish, and that was what a ringside audience paid to see."
"汤姆·金已经攒了一个半小时的力气，现在则毫不吝惜地把全身力气一下子都拿了出来。这是他唯一的机会——现在不赢就再也赢不了了。他的力气消耗得很快，他只希望在用尽最后一丝力气之前，能把对手打垮。他一面继续卖力攻击，一面冷静地估量自己出拳的轻重和杀伤力，这时他意识到桑德尔是一个很难打倒的对手。他的持久力和忍耐力都是顶尖级的，而且这青春的持久力和忍耐力从没遭到过任何损伤。无疑，桑德尔前途无量。他在这方面极有天赋。只有这样耐打的人才能成为成功的拳击手。","And Tom King, who for half an hour had conserved his strength, now expended it prodigally in the one great effort he knew he had in him.It was his one chance—now or not at all.His strength was waning fast, and his hope was that before the last of it ebbed out of him he would have beaten his opponent down for the count.And as he continued to strike and force, coolly estimating the weight of his blows and the quality of the damage wrought, he realized how hard a man Sandel was to knock out.Stamina and endurance were his to an extreme degree, and they were the virgin stamina and endurance of Youth.Sandel was certainly a coming man.He had it in him.Only out of such rugged fibre were successful fighters fashioned."
"桑德尔已晕晕乎乎站不稳了，可汤姆·金的腿也在抽筋，指关节也支持不住了。但他还是咬着牙打出猛拳，每一拳都把他的手打得疼上加疼。虽然现在他几乎没挨拳头，虚弱下去的速度却和对手没什么两样。他的拳头每次都打中了要害，可是失去了从前的分量，而且每一拳打出来都要付出极大的努力。他的腿像灌了铅，拖沓的步伐显而易见。桑德尔的支持者们看到这个都高兴起来，开始大声给他们下注的人鼓劲儿。","Sandel was reeling and staggering, but Tom King’s legs were cramping and his knuckles going back on him.Yet he steeled himself to strike the fierce blows, every one of which brought anguish to his tortured hands.Though now he was receiving practically no punishment, he was weakening as rapidly as the other.His blows went home, but there was no longer the weight behind them, and each blow was the result of a severe effort of will.His legs were like lead, and they dragged visibly under him; while Sandel’s backers, cheered by this symptom, began calling encouragement to their man."
"金被这情形激发出一股劲儿。他连打了两拳——一记左拳，打向心窝，却打高了一点，另一记右拳横过下巴。拳都不重，但桑德尔已经又软又晕，所以还是被打倒了，躺在地上哆嗦。裁判站到他旁边，在他耳边大声数着那些致命的秒数。如果在喊到十之前他没能站起来，他就输了。全场观众都静静地站着。金腿直打哆嗦，勉强撑着。他感到一阵剧烈的头晕目眩，观众的脸好似一片海洋，在他眼前上下沉浮摇晃，而他耳边，裁判的数秒声仿佛从很远的地方传来。但他认定这场比赛是自己赢了。一个挨了这么多拳头的人不可能还会站得起来。","King was spurred to a burst of effort.He delivered two blows in succession—a left, a trifle too high, to the solar plexus, and a right cross to the jaw.They were not heavy blows, yet so weak and dazed was Sandel that he went down and lay quivering.The referee stood over him, shouting the count of the fatal seconds in his ear.If before the tenth second was called, he did not rise, the fight was lost.The house stood in hushed silence.King rested on trembling legs.A mortal dizziness was upon him, and before his eyes the sea of faces sagged and swayed, while to his ears, as from a remote distance, came the count of the referee.Yet he looked upon the fight as his.It was impossible that a man so punished could rise."
"只有青春可以站起来，而桑德尔站了起来。数到四的时候他翻身脸朝下趴着，胡乱地抓着围绳。数到七的时候他已经跪了起来，就地喘口气，他肩上的脑袋无力地摇晃着。当裁判喊道“九！”时，桑德尔直直地站了起来，摆开一个标准的招架姿势，左臂护着脸，右手护着腹部。这样护住要害之后，他摇晃着向前靠近金，准备扭住对方给自己争取更多的时间。","Only Youth could rise, and Sandel rose.At the fourth second he rolled over on his face and groped blindly for the ropes.By the seventh second he had dragged himself to his knee, where he rested, his head rolling groggily on his shoulders.As the referee cried “Nine!” Sandel stood upright, in proper stalling position, his left arm wrapped about his face, his right wrapped about his stomach.Thus were his vital points guarded, while he lurched forward toward King in the hope of effecting a clinch and gaining more time."
"桑德尔一起来，金就上去揍他，但他送出的两拳都被护在前面的手臂挡住了。接下来，桑德尔就和他扭在了一起，拼命抱住他不放，裁判花了很大的力气才把两人拉开。金也帮着挣脱对方的扭抱。他知道年轻人恢复得有多快，也知道只要不让他恢复，桑德尔就会败给自己。一记狠拳就可以搞定。桑德尔会败给他，绝对会败给他。他无论是在谋略上、拳法上，还是在点数上都胜他一筹。桑德尔从扭抱中挣脱出来，摇摇晃晃，成败得失全在毫发之间。一记好拳就能把他打翻在地，让他失去意识。汤姆·金忽然悲从中来，想起了那块牛排，要是能有那块牛排支撑他打出这必不可少的一拳，那该多好呀。他使出全身力气，打出这一拳，可惜不够重也不够快。桑德尔晃了晃，但没有倒，踉跄着退回围绳，靠在上面。金拖着脚步跟上，忍着身体散架似的剧痛，又打出了一拳。但他的身体已经不听使唤了。仅剩的奋战的智慧也因为筋疲力竭而逐渐消逝。这一拳原本是朝着下巴打过去的，却没有高过肩膀。他本想打得高一些，但疲乏的肌肉已经不受控制了。而且因为这一拳的反作用力，汤姆·金自己往后打了个趔趄，几乎摔倒。他又勉强打出一拳。这次他的拳头完全落空，因为虚弱得厉害，他一头栽在桑德尔身上，和他扭抱在一起，以免自己倒在地上。","At the instant Sandel arose, King was at him, but the two blows he delivered were muffled on the stalled arms.The next moment Sandel was in the clinch and holding on desperately while the referee strove to drag the two men apart.King helped to force himself free.He knew the rapidity with which Youth recovered, and he knew that Sandel was his if he could prevent that recovery.One stiff punch would do it.Sandel was his, indubitably his.He had outgeneralled him, outfought him, outpointed him.Sandel reeled out of the clinch, balanced on the hair line between defeat or survival.One good blow would topple him over and down and out.And Tom King, in a flash of bitterness, remembered the piece of steak and wished that he had it then behind that necessary punch he must deliver.He nerved himself for the blow, but it was not heavy enough nor swift enough.Sandel swayed, but did not fall, staggering back to the ropes and holding on.King staggered after him, and, with a pang like that of dissolution, delivered another blow.But his body had deserted him.All that was left of him was a fighting intelligence that was dimmed and clouded from exhaustion.The blow that was aimed for the jaw struck no higher than the shoulder.He had willed the blow higher, but the tired muscles had not been able to obey.And, from the impact of the blow, Tom King himself reeled back and nearly fell.Once again he strove.This time his punch missed altogether, and, from absolute weakness, he fell against Sandel and clinched, holding on to him to save himself from sinking to the floor."
