"最后的行吟诗人","The Last of the Troubadours"
"“天气不错，”暴君粗暴地说，“我正想见你呢。”昨天我听一个来自桑迪的牛仔说你本来是来自密西西比州的杰克逊县。我想知道这是不是事实。”","“Good day,” said the king, gruffly.“I’ve been wanting to see you.I hear it said by a cowman from Sandy yesterday that you was from Jackson County, Mississippi, originally.I want to know if that’s a fact.”"
"“我生在那里，”埃利森老头说，“长在那里，直到我二十一岁。”","“Born there,” said old man Ellison, “and raised there till I was twenty-one.”"
"金·詹姆斯继续说：“他说他认为你和杰克逊县的里夫斯家是亲戚。他说的对吗？”","“This man says,” went on King James, “that he thinks you was related to the Jackson County Reeveses.Was he right?”"
"“卡罗琳·里夫斯，”老头说，“是我同母异父的妹妹。”","“Aunt Caroline Reeves,” said the old man, “was my half-sister.”"
"“她是我的婶婶，”金·詹姆斯说，“十六岁时候我从家里逃了出来。现在，让我们再次讨论一下我们几天前谈过的事情。大家都说我是恶人，不过他们只说对了一半。我的牧区有足够的草地来放牧你的羊群，以及它们以后长期的繁殖和发展。卡罗琳婶婶过去经常用羊肉和生面做羊肉烤饼给我吃。你在原来的地方放羊就好，而且只要你有想去放牧的牧区，尽管去就行了。你的经济状况如何？”","“She was my aunt,” said King James.“I run away from home when I was sixteen.Now, let’s re-talk over some things that we discussed a few days ago.They call me a bad man; and they’re only half right.There’s plenty of room in my pasture for your bunch of sheep and their increase for a long time to come.Aunt Caroline used to cut out sheep in cake dough and bake ’em for me.You keep your sheep where they are, and use all the range you want.How’s your finances?”"
"老头详细地说了他的困难，态度严肃体面而不失真真诚。","The old man related his woes in detail, dignifiedly, with restraint and candour."
"“她总是在我带去学校的饭篮里多放一些吃的——我是说卡罗琳婶婶，”金·詹姆斯说，“我今天路过弗里奥城，而且我会在明天回来的时候路过你的牧场。我要从那里的银行取两千美元送去给你；我会告诉布拉德肖，让他赊给你需要的所有东西。家乡的那句老话你一定听过，杰克逊县的里夫斯家和金家的关系永远都会比栗子树上的刺还要紧密相连。是的，只要我遇见里夫斯家的人，我还是姓金。所以明天大概太阳落山的时候，你留神等着我，什么都不用担心。不必担心干旱期会旱死所有的嫩草。”","“She used to smuggle extra grub into my school basket—I’m speaking of Aunt Caroline,” said King James.“I’m going over to Frio City to-day, and I’ll ride back by your ranch to-morrow.I’ll draw $2,000 out of the bank there and bring it over to you; and I’ll tell Bradshaw to let you have everything you want on credit.You are bound to have heard the old saying at home, that the Jackson County Reeveses and Kings would stick closer by each other than chestnut burrs.Well, I’m a King yet whenever I run across a Reeves.So you look out for me along about sundown to-morrow, and don’t worry about nothing.Shouldn’t wonder if the dry spell don’t kill out the young grass.”"
"埃利森老头高兴地返回牧场。笑容再一次填平了他脸上的丘壑。突然间，因为亲属关系的魔力和人们心中存有的善意让他的麻烦烟消云散。","Old man Ellison drove happily ranchward.Once more the smiles filled out his wrinkles.Very suddenly, by the magic of kinship and the good that lies somewhere in all hearts, his troubles had been removed."
"当他回到牧场的时候，他发现萨姆·加洛韦不在那里。他的吉他用鹿皮绳挂在朴树枝上，没有主人的琴弦在海湾微风的吹拂下，在风中呻吟，发出哀鸣。","On reaching the ranch he found that Sam Galloway was not there.His guitar hung by its buckskin string to a hackberry limb, moaning as the gulf breeze blew across its masterless strings."
"基奥瓦厨师试着解释。","The Kiowa endeavoured to explain."
"“萨姆骑马走了，”他说，“说是去弗里奥城。去干什么了不清楚。说是晚上回来。也许会。就这些。”","“Sam, he catch pony,” said he, “and say he ride to Frio City.What for no can damn sabe.Say he come back to-night.Maybe so.That all.”"
"当天空中第一颗星星升起的时候，行吟诗人回到了他的乐土。他把马放到了马场上，进了屋，靴子上的踢马刺发出好战的咔咔声。","As the first stars came out the troubadour rode back to his haven.He pastured his pony and went into the house, his spurs jingling martially."
"埃利森老头坐在餐桌旁，正在用铁皮杯子喝着晚饭前的咖啡。他看起来满足而愉悦。","Old man Ellison sat at the kitchen table, having a tin cup of before-supper coffee.He looked contented and pleased."
"“您好啊，萨姆。”他说，“看到您回来我真开心。不管怎么说，您的到来使一切欢乐起来，我真不知道以前没有您的时候牧场上的日子是怎么捱过来的。我打赌你准是被弗里奥城的一些小妞儿们缠住了，所以她们把你留到这么晚才让你回来。”","“Hello, Sam,” said he.“I’m darned glad to see ye back.I don’t know how I managed to get along on this ranch, anyhow, before ye dropped in to cheer things up.I’ll bet ye’ve been skylarking around with some of them Frio City gals, now, that’s kept ye so late.”"
"然后埃利森老头又瞅了一下诗人的脸，发现诗人变成了干实事的汉子。","And then old man Ellison took another look at Sam’s face and saw that the minstrel had changed to the man of action."
"当萨姆从他的腰间解下埃利森老头进城没有带着的六连发手枪的时候，我们不妨停下来说几句别的，不管何时何地行吟诗人放下吉他拿起剑的时候，那肯定是遇到麻烦了。我们畏惧的不是阿索斯专业的劈剑，也不是阿拉米斯冷酷的剑法，也不是波索斯的铁腕，而是加斯科涅的狂暴——诗人狂怒的和毫无章法的攻击——达太安之剑。","And while Sam is unbuckling from his waist old man Ellison’s six-shooter, that the latter had left behind when he drove to town, we may well pause to remark that anywhere and whenever a troubadour lays down the guitar and takes up the sword trouble is sure to follow.It is not the expert thrust of Athos nor the cold skill of Aramis nor the iron wrist of Porthos that we have to fear—it is the Gascon’s fury—the wild and unacademic attack of the troubadour—the sword of D’Artagnan."
"“我摆平了，”萨姆说，“我去弗里奥城摆平的。我不能让他欺负您，本大叔。我在萨默斯酒馆遇到了他。我知道该怎么办。我对他说了几句别人听不到的话。他先拔枪的——五六个人看到他这么做了——不过还是我占了先机。我给了他三枪——刚好在肺部周围，一个碟子就能盖住所有的弹孔。他不会再来骚扰您了。”","“I done it,” said Sam.“I went over to Frio City to do it.I couldn’t let him put the skibunk on you, Uncle Ben.I met him in Summers’s saloon.I knowed what to do.I said a few things to him that nobody else heard.He reached for his gun first—half a dozen fellows saw him do it—but I got mine unlimbered first.Three doses I gave him—right around the lungs, and a saucer could have covered up all of ’em.He won’t bother you no more.”"
"“你说的是——金——詹姆斯——吗？”埃利森老头抿了一口咖啡问。","“This—is—King—James—you speak—of?” asked old man Ellison, while he sipped his coffee."
"“您猜对了。他们把我送到县法官那儿；看见他先拔枪的目击者都在那儿。当然，他们让我在开庭前交三百美元保释金，不过当场有四五个人愿意为我作证。他再也不会找您的茬了，本大叔。您应该看看那几个弹孔挨得多么近。我认为像我这种经常弹吉他的人，手指在扣扳机时自然灵活一些，您不觉得吗，本大叔？”","“You bet it was.And they took me before the county judge; and the witnesses what saw him draw his gun first was all there.Well, of course, they put me under $300 bond to appear before the court, but there was four or five boys on the spot ready to sign the bail.He won’t bother you no more, Uncle Ben.You ought to have seen how close them bullet holes was together.I reckon playing a guitar as much as I do must kind of limber a fellow’s trigger finger up a little, don’t you think, Uncle Ben?”"
"除了基奥瓦厨师煎鹿肉排的溅油声外，城堡里一下寂静了。","Then there was a little silence in the castle except for the spluttering of a venison steak that the Kiowa was cooking."
"“萨姆，”埃利森老头用颤抖的手捋着白胡子说，“能不能麻烦你把吉他取来，弹一两次那支‘飞吧，飞吧，小鸽子’？当一个人疲惫至极的时候，听听那首歌似乎总会有一种舒适和安慰之感。”","“Sam,” said old man Ellison, stroking his white whiskers with a tremulous hand, “would you mind getting the guitar and playing that ‘Huile, huile, palomita’ piece once or twice?It always seems to be kind of soothing and comforting when a man’s tired and fagged out.”"
"除了故事标题不对之外，我没什么别的话可说了。它应该叫做《最后的男爵》。行吟诗人永远不会消失；而且有时他们叮咚的吉他声似乎会盖过全世界工人镐头和锤子的低沉声。","There is no more to be said, except that the title of the story is wrong.It should have been called “The Last of the Barons.”There never will be an end to the troubadours; and now and then it does seem that the jingle of their guitars will drown the sound of the muffled blows of the pickaxes and trip hammers of all the Workers in the world."
