"海浪","The Waves"
"“现在，非难与冷酷已经成为过去；我要继续视察房子的周边，时间到了下半晌，夕阳西下，阳光在漆布上面聚成油亮亮的斑点，还有一绺光线在墙上做出跪拜的姿势，让椅子腿看着像断了似的。”","‘Now the stricture and rigidity are over; and I will continue to make my survey of the purlieus of the house in the late afternoon, in the sunset, when the sun makes oleaginous spots on the linoleum, and a crack of light kneels on the wall, making the chair legs look broken.’"
"“我们散步回来的时候，”苏珊说，“我看见弗洛里在家庭菜园，四周都是被风吹起的晾晒的衣物，成套的睡衣裤啦，内裤啦，睡衣啦，都被风吹得鼓鼓的。欧内斯特吻了她。他系着绿色的粗呢围裙，在洗刷银器；他嘴巴撅起，像个满是褶子的钱袋；他隔着被风吹得鼓鼓的睡衣裤抓住她。他莽撞得像一头公牛，她着恼地晕了过去，脸颊煞白，只有细小的血管渗出一点红色。这会儿正是下午茶时间，他们端过来一盘一盘的面包和黄油，一杯一杯的牛奶，我却看见地上裂了一道缝隙，热气嘶嘶地向上冒；茶壶呼哧呼哧地直叫，就跟刚才欧内斯特的吼叫一样，虽然我牙咬着柔软的面包和黄油，我嘴舔着甜甜的牛奶，我却感觉自己就像那些睡衣，被风吹得鼓鼓的。我不怕炎热，也不怕冰冷的冬天。罗达一边做梦一边舔着蘸了牛奶的面包皮；路易斯蜗牛似的绿眼睛瞅着对面的墙；伯纳德把他的面包揉成一粒一粒，称它们为‘芸芸众生’。内维尔干净利落地结束了他的下午茶。他把他的餐巾卷了起来，不声不响地套上了银圈。吉尼让她的手指在桌布上旋转，好似它们正在阳光下单脚尖点地，舞个不停。我不怕炎热，也不怕冰冷的冬天。”","‘I saw Florrie in the kitchen garden,’ said Susan, ‘as we came back from our walk, with the washing blown out round her, the pyjamas, the drawers, the night-gowns blown tight.And Ernest kissed her.He was in his green baize apron, cleaning silver; and his mouth was sucked like a purse in wrinkles and he seized her with the pyjamas blown out hard between them.He was blind as a bull, and she swooned in anguish, only little veins streaking her white cheeks red.Now though they pass plates of bread and butter and cups of milk at tea-time I see a crack in the earth and hot steam hisses up; and the urn roars as Ernest roared, and I am blown out hard like the pyjamas, even while my teeth meet in the soft bread and butter, and I lap the sweet milk.I am not afraid of heat, nor of the frozen winter.Rhoda dreams, sucking a crust soaked in milk; Louis regards the wall opposite with snail-green eyes; Bernard moulds his bread into pellets and calls them “people”.Neville with his clean and decisive ways has finished.He has rolled his napkin and slipped it through the silver ring.Jinny spins her fingers on the table-cloth, as if they were dancing in the sunshine, pirouetting.But I am not afraid of the heat or of the frozen winter.’"
"“现在，”路易斯说，“我们全都起身；我们全都站起来。柯里小姐把簧风琴上面那个黑本子完全摊开。当我们唱起颂歌；当我们自称小孩子，祈祷上帝在我们睡着时保佑我们平安，这时想不哭泣也难。当我们因为忧心忡忡而悲伤、发抖时，一起唱歌多么甜蜜。我们轻轻偎依着，我挨着苏珊，苏珊挨着伯纳德；我们手握着手，心事重重，我担心我的口音，罗达害怕那些数字；但是我们有决心征服一切。”","‘Now,’ said Louis, ‘we all rise; we all stand up.Miss Curry spreads wide the black book on the harmonium.It is difficult not to weep as we sing, as we pray that God may keep us safe while we sleep, calling ourselves little children.When we are sad and trembling with apprehension it is sweet to sing together, leaning slightly, I towards Susan, Susan towards Bernard, clasping hands, afraid of much, I of my accent, Rhoda of figures; yet resolute to conquer.’"
"“我们列队上楼，好像小马驹，”伯纳德说，“噔噔噔，得得得，一个接一个，轮着进浴室。我们推搡着，扭打着，在洁白的硬板床上蹦来蹦去。终于轮到我了。我来了。","‘We troop upstairs like ponies,’ said Bernard, ‘stamping, clattering one behind another to take our turns in the bathroom.We buffet, we tussle, we spring up and down on the hard, white beds.My turn has come.I come now."
"“腰上围着浴巾的康斯特布尔太太，拿着她柠檬色的海绵，把它浸到水中；它立时变成了巧克力似的棕色；它滴着水；她把它高高地举到我的头上——我在她的手下直打颤——然后一捏。水流顺着我的脊柱淌下来。身体两侧猛地打着激灵。我被披上一层暖和的皮肉。我身上干燥的角落都淋湿了；我冰凉的身体暖和过来了；冲洗过后，皮肤闪闪发亮。水流冲下来，我像一条鳗鱼被裹在里面。现在，几条热毛巾搭在我身上，当我擦背的时候，那种粗糙的感觉弄得我血液沸腾。丰富而深沉的感觉涌现在我心灵的顶层；这一天的经历——那片树林、埃尔夫顿、苏珊和那只鸽子——纷纷扬扬地落了下来。种种感觉交汇在一起，沿着我心灵的墙壁倾泻而下，这一天的经历那么丰富，那么多彩。现在我身上系着宽松的睡衣裤，躺在浮在微光中的这床薄被单下面，它像海浪激起的一层薄水花蒙在我的眼睛上。透过它，我听见远远地，远远地，微弱而遥远地传来合唱开始的声音，车轮声，犬吠声，人们的呼号声，教堂的钟声。合唱开始了。”","‘Mrs Constable, girt in a bath-towel, takes her lemon-coloured sponge and soaks it in water; it turns chocolate-brown; it drips; and, holding it high above me, shivering beneath her, she squeezes it.Water pours down the runnel of my spine.Bright arrows of sensation shoot on either side.I am covered with warm flesh.My dry crannies are wetted; my cold body is warmed; it is sluiced and gleaming.Water descends and sheets me like an eel.Now hot towels envelop me, and their roughness, as I rub my back, makes my blood purr.Rich and heavy sensations form on the roof of my mind; down showers the day—the woods; and Elvedon; Susan and the pigeon.Pouring down the walls of my mind, running together, the day falls copious, resplendent.Now I tie my pyjamas loosely round me, and lie under this thin sheet afloat in the shallow light which is like a film of water drawn over my eyes by a wave.I hear through it far off, far away, faint and far, the chorus beginning; wheels; dogs; men shouting; church bells; the chorus beginning.’"
"“我把连衣裙和衬裙叠了起来，”罗达说，“也打消了我要成为苏珊、成为吉尼的无望的念头。但是我要伸出脚趾，够到床尾的栏杆；够到栏杆，我会让自己有种踏实的感觉。现在我不能沉没了；不能整个陷到薄薄的被单下面了。现在我在这不牢靠的床垫上舒展全身，让自己悬在那儿。现在我在大地之上。我不再是站立的姿势，不再有击打和伤害。一切都柔和而弯曲。墙壁和橱柜变成了白色，黄色的边边角角都曲曲弯弯，顶上一面灰白色的镜子发着微光。现在我的心灵可以尽情遨游了。我可以想象我的无敌舰队正航行在惊涛骇浪之上。我避开了那些劳神的应酬和冲突。我在白色的悬崖下孤身远航。噢，但是我在下沉，我在下落！那是橱柜的一角；那是婴儿室的镜子。它们都在伸展，它们都在延长。我沉陷在睡眠的黑色羽毛中；它密实的翅膀紧紧贴着我的眼睛。我在黑暗中穿行，我看见绵延的花坛，康斯特布尔太太从长着蒲苇的那个角落跑出来，她说，我的姑妈已经坐着马车来接我了。我上车了；我溜掉了；我踩着弹簧跟的靴子，掠过树梢。但是此时，我被扔进了大门口的马车里，她坐在车里面，晃了晃头上的黄色羽饰，冷冷的目光像发亮的大理石。噢，从梦中醒来吧！瞧，这是带抽屉的衣橱。让我把自己从这海浪中拉出来吧。可是它们向我压过来；它们把我卷到巨大的波峰之间；我被掀翻了；我被摔倒了；我被扯进这连绵的光线之中，连绵的海浪里，永无尽头的小路上，人们追啊，追啊。”","‘As I fold up my frock and my chemise,’ said Rhoda, ‘so I put off my hopeless desire to be Susan, to be Jinny.But I will stretch my toes so that they touch the rail at the end of the bed; I will assure myself, touching the rail, of something hard.Now I cannot sink; cannot altogether fall through the thin sheet now.Now I spread my body on this frail mattress and hang suspended.I am above the earth now.I am no longer upright, to be knocked against and damaged.All is soft, and bending.Walls and cupboards whiten and bend their yellow squares on top of which a pale glass gleams.Out of me now my mind can pour.I can think of my Armadas sailing on the high waves.I am relieved of hard contacts and collisions.I sail on alone under the white cliffs.Oh, but I sink, I fall!That is the corner of the cupboard; that is the nursery looking—glass.But they stretch, they elongate.I sink down on the black plumes of sleep; its thick wings are pressed to my eyes.Travelling through darkness I see the stretched flower-beds, and Mrs Constable runs from behind the corner of the pampas-grass to say my aunt has come to fetch me in a carriage.I mount; I escape; I rise on spring-heeled boots over the tree-tops.But I am now fallen into the carriage at the hall door, where she sits nodding yellow plumes with eyes hard like glazed marbles.Oh, to awake from dreaming!Look, there is the chest of drawers.Let me pull myself out of these waters.But they heap themselves on me; they sweep me between their great shoulders; I am turned; I am tumbled; I am stretched, among these long lights, these long waves, these endless paths, with people pursuing, pursuing.’"
"太阳升得更高了。蓝色和绿色的海浪，像一把迅捷的扇子扫过海岸，同时绕着刺芹的花穗，在沙滩上留下此一处彼一处光亮的浅水洼。隐约可见海浪退却之后留下的一条黑色印迹。原本迷离模糊的岩石轮廓变得清晰了，红色的裂缝历历可见。","The sun rose higher.Blue waves, green waves swept a quick fan over the beach, circling the spike of sea-holly and leaving shallow pools of light here and there on the sand.A faint black rim was left behind them.The rocks which had been misty and soft hardened and were marked with red clefts."
"一条条分明的暗影投在草地上，在花心和草尖上跳舞的露珠使得花园看上去像是一幅只有斑斑点点而尚未形成整体的镶嵌画。那些胸脯上点缀着淡黄和玫瑰色彩的鸟儿，现在唱起了一两段小曲儿，它们齐声高歌，好像滑冰的人手挽着手在欢闹，接着突然沉静下来，各自散去。","Sharp stripes of shadow lay on the grass, and the dew dancing on the tips of the flowers and leaves made the garden like a mosaic of single sparks not yet formed into one whole.The birds, whose breasts were specked canary and rose, now sang a strain or two together, wildly, like skaters rollicking arm-in-arm, and were suddenly silent, breaking asunder."
"太阳普照着那幢房子。阳光触到窗角某个绿色的东西，把它变成了一块翡翠，像一枚无核的果，一汪翠绿。阳光把桌椅的棱角变得更加分明，它给洁白的桌布绣上了细细的金色丝线。随着阳光增强，这里或那里的花蕾一一绽开，吐出花朵；初开的花朵渗有绿色的纹络，还在抖个不停，仿佛吐蕊付出的气力使它们一下子站不稳；它们柔弱的钟锤撞击着雪白的钟壁，发出微弱的鸣响。每一样东西都变得影影绰绰，形状无定，碗碟的瓷仿佛在流动，刀叉的钢仿佛变成了液体。同时，那海浪碎裂的震荡声发出沉闷的回响，好像原木滚落在海岸上。","The sun laid broader blades upon the house.The light touched something green in the window corner and made it a lump of emerald, a cave of pure green like stoneless fruit.It sharpened the edges of chairs and tables and stitched white table-cloths with fine gold wires.As the light increased a bud here and there split asunder and shook out flowers, green veined and quivering, as if the effort of opening had set them rocking, and pealing a faint carillon as they beat their frail clappers against their white walls.Everything became softly amorphous, as if the china of the plate flowed and the steel of the knife were liquid.Meanwhile the concussion of the waves breaking fell with muffled thuds, like logs falling, on the shore."
"“现在，”伯纳德说，“时间到了。白天已经来临。出租马车停在门口。我的大箱子压得乔治的罗圈腿更弯曲了。讨厌的仪式结束了，是提建议，以及大厅里道别。现在是跟我母亲哭哭啼啼的分别仪式，跟我父亲握手道别的仪式；现在我必须不停地挥手，必须不停地挥手，直到过了拐弯。现在，那套仪式总算结束了。谢天谢地，所有的仪式都已结束。我孤身一人；我即将第一次踏入校门。","‘Now,’ said Bernard, ‘the time has come.The day has come.The cab is at the door.My huge box bends George’s bandy-legs even wider.The horrible ceremony is over, the tips, and the good-byes in the hall.Now there is this gulping ceremony with my mother, this hand-shaking ceremony with my father; now I must go on waving, I must go on waving, till we turn the corner.Now that ceremony is over.Heaven be praised, all ceremonies are over.I am alone; I am going to school for the first time."
"“似乎人人都只是为了此刻在忙活；而此刻永不再来。永不再来。此番紧迫令人胆怯。人人都知道我要踏入校门，第一次踏入校门。‘那孩子是第一次去上学。’正在擦着楼梯的女佣说道。我可不能哭。我必须满不在乎地瞅着她们。现在，车站的入口可怕地瞪着眼睛；‘那圆脸的钟打量着我。’我必须没话找话，编出一些词儿，这样就为我自己竖起了一道坚固的防线，隔开了盯着我看的女佣，隔开了钟的注视，隔开了目不转睛地看着的脸，漠然的脸，不然我会哭出来的。路易斯也在，内维尔也在，穿着长外套，拎着手提包，呆在售票室边上。他们镇定自若。但两人看上去各有不同。”","‘Everybody seems to be doing things for this moment only; and never again.Never again.The urgency of it all is fearful.Everybody knows I am going to school, going to school for the first time.“That boy is going to school for the first time,” says the housemaid, cleaning the steps.I must not cry.I must behold them indifferently.Now the awful portals of the station gape; “the moon-faced clock regards me.”I must make phrases and phrases and so interpose something hard between myself and the stare of housemaids, the stare of clocks, staring faces, indifferent faces, or I shall cry.There is Louis, there is Neville, in long coats, carrying handbags, by the booking-office.They are composed.But they look different.’"
"“伯纳德来了。”路易斯说。“他镇定自若；他不慌不忙。他边走边晃动着他的提包。我要跟着伯纳德，因为他什么都不怕。我们被推涌着穿过售票室来到月台上，好像一条溪流把细枝和草芥推涌到桥墩周围。那儿停着强健有力的深绿色机车，没长脖子，只有脊背和大腿，正呼哧呼哧地喘气。警卫吹响了他的哨子；信号旗放了下来；好像轻轻一推就会引发雪崩一样，我们的机车顺势毫不费力地出发向前了。伯纳德铺开毛毯，玩起了弹指球。内维尔在看书。伦敦在零星出现。伦敦渐入眼帘，又扑面而至。那儿的烟囱和塔楼林立如直立的毛发。那儿是一座白色的教堂；那儿有一根旗杆高出塔尖之上。那儿是一条运河。那儿是开阔的空地，有柏油路穿过，奇怪的是这会儿还有人在路上散步。那儿是一座小山，有红色的房屋穿插其间。一个男子在过桥，身后紧跟着一条狗。瞧，红衣男孩正准备向一只野鸡开火。蓝衣男孩把他推到一边。‘我舅舅是英格兰最棒的射手。我表哥是猎狐犬大师。’吹嘘开始了。但是我却无可吹嘘，因为我父亲是布里斯班的银行家，我说话带有澳大利亚口音。”","‘Here is Bernard,’ said Louis.‘He is composed; he is easy.He swings his bag as he walks.I will follow Bernard, because he is not afraid.We are drawn through the booking-office on to the platform as a stream draws twigs and straws round the piers of a bridge.There is the very powerful, bottle-green engine without a neck, all back and thighs, breathing steam.The guard blows his whistle; the flag is dipped; without an effort, of its own momentum, like an avalanche started by a gentle push, we start forward.Bernard spreads a rug and plays knuckle-bones.Neville reads.London crumbles.London heaves and surges.There is a bristling of chimneys and towers.There a white church; there a mast among the spires.There a canal.Now there are open spaces with asphalt paths upon which it is strange that people should now be walking.There is a hill striped with red houses.A man crosses a bridge with a dog at his heels.Now the red boy begins firing at a pheasant.The blue boy shoves him aside.“My uncle is the best shot in England.My cousin is Master of Foxhounds.”Boasting begins.And I cannot boast, for my father is a banker in Brisbane, and I speak with an Australian accent.’"
"“经过这一番折腾，”内维尔说，“经过这一番纷乱嘈杂之后，我们总算到了。这真是——这真是一个庄严的时刻。我来了，像一位领主来到他分封的领地。那是我们这所学校的创始人，大名鼎鼎的创始人，他正站在院子里，抬起一只脚。我向我们的创始人行了礼。一股高贵的古罗马气息笼罩着这片肃穆的四方院落。各班教室里已经点上了灯。那些大概是实验室；那是一间图书室，我要在里面钻研纯正的拉丁文，牢牢掌握那些精致的语句，朗读维吉尔、卢克莱修清晰、响亮的六音步诗行；翻开一部宽边四开本的大书，用我永不减退、永不消失的激情吟诵卡图卢斯的爱情诗篇。我还要在田野里躺下来，躺在刺痒人的草丛之间。我要和朋友们一起躺在高耸的榆树下面。","‘After all this hubbub,’ said Neville, ‘all this scuffling and hubbub, we have arrived.This is indeed a moment—this is indeed a solemn moment.I come, like a lord to his halls appointed.That is our founder; our illustrious founder, standing in the courtyard with one foot raised.I salute our founder.A noble Roman air hangs over these austere quadrangles.Already the lights are lit in the form rooms.Those are laboratories perhaps; and that a library, where I shall explore the exactitude of the Latin language, and step firmly upon the well-laid sentences, and pronounce the explicit, the sonorous hexameters of Virgil, of Lucretius; and chant with a passion that is never obscure or formless the loves of Catullus, reading from a big book, a quarto with margins.I shall lie, too, in the fields among the tickling grasses.I shall lie with my friends under the towering elm trees."
"“瞧，那是校长。哎，他恐怕要激起我的嘲笑了。他保养得太好了，整个人过于油光黑亮，好像公园里的一尊雕像。他的马甲，鼓面似的绷在身上，左侧挂着一个十字架。”","‘Behold, the Headmaster.Alas, that he should excite my ridicule.He is too sleek, he is altogether too shiny and black, like some statue in a public garden.And on the left side of his waistcoat, his taut, his drum-like waistcoat, hangs a crucifix.’"
"“老克兰，”伯纳德说，“这会儿站了起来，要对我们训话。老克兰，也就是我们的校长，鼻子长得像夕阳中的大山，下巴上有一道乌青的裂纹，像林木繁茂的峡谷，被某个旅行者放火烧掉了一块；像是透过火车车窗望见的林木繁茂的峡谷。他微微摇摆，口中滔滔不绝地吐出精彩而宏亮的话语。我喜欢精彩而宏亮的话语。但是他的话语过于亲切，反而听着不真实。不过这会儿他倒是确信自己说的是真话。随后，他相当吃力地左摇右晃，脚步蹒跚，撞开弹簧门离开了这间屋子，全体老师也都相当吃力地左摇右晃，脚步蹒跚，撞开弹簧门，出去了。这是我们与姐妹分离之后学校生活的第一个夜晚。”","‘Old Crane,’ said Bernard, ‘now rises to address us.Old Crane, the Headmaster, has a nose like a mountain at sunset, and a blue cleft in his chin, like a wooded ravine, which some tripper has fired; like a wooded ravine seen from the train window.He sways slightly, mouthing out his tremendous and sonorous words.I love tremendous and sonorous words.But his words are too hearty to be true.Yet he is by this time convinced of their truth.And when he leaves the room, lurching rather heavily from side to side, and hurls his way through the swing-doors, all the masters, lurching rather heavily from side to side, hurl themselves also through the swing-doors.This is our first night at school, apart from our sisters.’"
"“这是我学校生活的第一个夜晚，”苏珊说，“远离我的父亲，远离我的家。我的眼睛肿了；泪水刺痛我的眼睛。我讨厌松木和油地毯的气味。我讨厌风——冻伤的灌木，还有那些洁净的瓷砖。我讨厌那些逗乐的玩笑话和每个人脸上那木然的表情。我把我的松鼠和鸽子托付给了那个男孩来照看。厨房的门咣地一声，树叶中啪地一声枪响，是珀西在射击那些秃鼻乌鸦。这里的一切都是虚假的；一切都是华而不实的。罗达和吉尼穿着褐色的哔叽衣，远远地坐在那儿，瞅着坐在亚历山大皇后相片下面的兰伯特小姐，她正在读面前的一本书。那儿还有一幅蓝色的针线卷轴，不知是哪一位老小姐的刺绣作品。要是我不撅起嘴，要是我不拧紧手帕，我会哭出来的。”","‘This is my first night at school,’ said Susan, ‘away from my father, away from my home.My eyes swell; my eyes prick with tears.I hate the smell of pine and linoleum.I hate the wind—bitten shrubs and the sanitary tiles.I hate the cheerful jokes and the glazed look of everyone.I left my squirrel and my doves for the boy to look after.The kitchen door slams, and shot patters among the leaves when Percy fires at the rooks.All here is false; all is meretricious.Rhoda and Jinny sit far off in brown serge, and look at Miss Lambert who sits under a picture of Queen Alexandra reading from a book before her.There is also a blue scroll of needlework embroidered by some old girl.If I do not purse my lips, if I do not screw my handkerchief, I shall cry.’"
"“兰伯特小姐戒指上那紫色的光，”罗达说，“在祈祷书洁白的书页上那黑色的污迹上面来来回回地闪过。那是葡萄酒似红色的、含情脉脉的光。因为行李箱在寝室里都安顿好了，所以我们聚拢在一起，坐在一幅幅世界地图的下面。那儿有一张张桌子，桌上都有墨水池。我们要在这儿用墨水写作业。可是在这儿，我默默无闻。我毫无尊严。这么一大群伙伴，都穿着褐色的哔叽衣，他们夺走了我的身份。我们都是冷冰冰的，谁也不把谁当朋友。我要找到一张脸，一张镇定的、纪念碑似的脸，我要赋予它全知全觉，还要像护身符一样戴在身上，然后（我保证），我要在树林里找到一处幽谷，在那儿把我各式各样的奇珍异宝展示出来。我向自己保证要这样做。这样我才不会哭出来。”","‘The purple light,’ said Rhoda, ‘in Miss Lambert’s ring passes to and fro across the black stain on the white page of the Prayer Book.It is a vinous, it is an amorous light.Now that our boxes are unpacked in the dormitories, we sit herded together under maps of the entire world.There are desks with wells for the ink.We shall write our exercises in ink here.But here I am nobody.I have no face.This great company, all dressed in brown serge, has robbed me of my identity.We are all callous, unfriended.I will seek out a face, a composed, a monumental face, and will endow it with omniscience, and wear it under my dress like a talisman and then (I promise this) I will find some dingle in a wood where I can display my assortment of curious treasures.I promise myself this.So I will not cry.’"
"“那个黑皮肤的女人，”吉尼说，“长着高颧骨，她有一身亮闪闪的礼服，像带纹络的贝壳，准备在傍晚时穿上。那在夏天还不错，但在冬天我还是喜欢一件薄礼服，用红线点缀，映着炉火，闪闪烁烁。那么当灯点亮的时候，我就穿上这件红色礼服，它像纱一样薄，围在我的身上，当我脚尖点地旋进屋里时，它会飘扬起来。当我在屋子中央一把镀金椅子上坐下来时，它会散成一朵花的模样。但是兰伯特小姐坐在一幅亚历山大皇后的相片下面，一只洁白的手指稳稳按住书页，身上那件晦暗的礼服，从她雪白的褶裥饰边瀑布一样倾泻下来。并且我们做祈祷。”","‘That dark woman,’ said Jinny, ‘with high cheek-bones, has a shiny dress, like a shell, veined, for wearing in the evening.That is nice for summer, but for winter I should like a thin dress shot with red threads that would gleam in the firelight.Then when the lamps were lit, I should put on my red dress and it would be thin as a veil, and would wind about my body, and billow out as I came into the room, pirouetting.It would make a flower shape as I sank down, in the middle of the room, on a gilt chair.But Miss Lambert wears an opaque dress, that falls in a cascade from her snow-white ruffle as she sits under a picture of Queen Alexandra pressing one white finger firmly on the page.And we pray.’"
"“现在我们列队，俩俩一排，”路易斯说，“整齐有序地走进礼拜堂。我喜欢进入这幢神圣建筑时突然降临的朦胧感。我喜欢这种有序的行进。我们鱼贯而入；我们各就各位。一进到这里，我们就抛开了种种特性。我现在喜欢这样：克兰博士有点踉跄地——只是出于惯性——登上讲坛，照着那只铜鹰背上翻开的一本《圣经》念起经文来。我感到喜乐；他的大块头，他的威严，都令我心情畅快。他平息了我既敏感又羞愧不安的心灵中那久久萦绕的阴云——那次，我们围着圣诞树手舞足蹈，分发礼包，而他们却把我给忘了。‘这个小男孩还没得到礼物哩。’说着，那个胖女人从树梢上摘下一面亮闪闪的国旗递给我，而我恼怒地大哭起来。——由于怜悯被记起。现在，一切都被他的威严、他的十字架平息了，我体验到整个人踏在实地的感觉，我的根扎下去，扎下去，终于盘绕在地心的坚实处。随着他念经文的声音，我重新找回了完整的我。我变成了队列中的一员，转动的巨大车轮中的一根轮辐，我终于昂起了头，此地，此时。我一直在黑暗中；我一直躲躲藏藏；但是当车轮转动（在他念经文的时候），我昂首踏入这片朦胧的光影之中，我才意识到，刚刚意识到，那些跪着的男孩子，那些柱子和黄铜祭器。这儿没有生硬的举止，没有突如其来的亲吻。”","‘Now we march, two by two,’ said Louis, ‘orderly, processional, into chapel.I like the dimness that falls as we enter the sacred building.I like the orderly progress.We file in; we seat ourselves.We put off our distinctions as we enter.I like it now, when, lurching slightly, but only from his momentum, Dr Crane mounts the pulpit and reads the lesson from a Bible spread on the back of the brass eagle.I rejoice; my heart expands in his bulk, in his authority.He lays the whirling dust clouds in my tremulous, my ignominiously agitated mind—how we danced round the Christmas tree and handing parcels they forgot me, and the fat woman said, “This little boy has no present,” and gave me a shiny Union Jack from the top of the tree, and I cried with fury—to be remembered with pity.Now all is laid by his authority, his crucifix, and I feel come over me the sense of the earth under me, and my roots going down and down till they wrap themselves round some hardness at the centre.I recover my continuity, as he reads.I become a figure in the procession, a spoke in the huge wheel that turning, at last erects me, here and now.I have been in the dark; I have been hidden; but when the wheel turns (as he reads) I rise into this dim light where I just perceive, but scarcely, kneeling boys, pillars and memorial brasses.There is no crudity here, no sudden kisses.’"
"“那笨蛋害我不自在，”内维尔说，“当他做祷告的时候。他那缺乏想象力的话语，像铺路石一样冷冰冰地落在我的头上，而那枚镀金十字架在他的马甲上起起伏伏。那些威严的话语被说话的人玷污了。我要嘲笑、挖苦这可悲的宗教，这些敏感、悲痛欲绝的人，他们面如死灰、伤痕累累，沿着无花果树荫下一条白色的道路踽踽前行，尘土路上趴着一些男孩——赤身裸体的男孩；装满葡萄酒的羊皮酒囊挂在酒馆的门上。复活节时我曾跟我的父亲一道在罗马旅行；满大街频频点头的都是基督之母那颤颤巍巍的形象；还有装在玻璃盒子里的基督受难的形象招摇过市。","‘The brute menaces my liberty,’ said Neville, ‘when he prays.Unwarmed by imagination, his words fall cold on my head like paving-stones, while the gilt cross heaves on his waistcoat.The words of authority are corrupted by those who speak them.I gibe and mock at this sad religion, at these tremulous, grief-stricken figures advancing, cadaverous and wounded, down a white road shadowed by fig trees where boys sprawl in the dust—naked boys; and goatskins distended with wine hang at the tavern door.I was in Rome travelling with my father at Easter; and the trembling figure of Christ’s mother was borne niddle-noddling along the streets; there went by also the stricken figure of Christ in a glass case."
"“这会儿我要向旁边侧侧身，作势搔搔我的大腿。这样我就会看见珀西瓦尔。他坐在那儿，直直地坐在比他小的孩子们中间。他直挺的鼻子一呼一吸，相当吃力。他那双古怪的、毫无表情的蓝眼睛一动不动地盯着对面的柱子，像个事不关己的异教徒。他有望成为一位令人仰慕的教堂委员啊。他还可能操起桦条，抽打那些行为不端的小孩子呢。他是黄铜祭器上那些拉丁词语的同盟。他一无所见；他一无所闻。他在一个异教的世界，与我们所有人都相隔遥遥。但是瞧啊——他一只手轻轻拍向他的脖颈后。这样的姿势，简直会让人无可救药地爱上一辈子的。道尔顿、琼斯、埃德加和贝特曼也都同样把手轻轻拍向自己的脖颈后。但是他们做得并不成功。”","‘Now I will lean sideways as if to scratch my thigh.So I shall see Percival.There he sits, upright among the smaller fry.He breathes through his straight nose rather heavily.His blue and oddly inexpressive eyes are fixed with pagan indifference upon the pillar opposite.He would make an admirable churchwarden.He should have a birch and beat little boys for misdemeanours.He is allied with the Latin phrases on the memorial brasses.He sees nothing; he hears nothing.He is remote from us all in a pagan universe.But look—he flicks his hand to the back of his neck.For such gestures one falls hopelessly in love for a lifetime.Dalton, Jones, Edgar and Bateman flick their hands to the back of their necks likewise.But they do not succeed.’"
"“最终，”伯纳德说，“咆哮声停了。布道结束了。他把门口白蝴蝶的舞蹈绞成了粉末。他嗓音粗鲁、刺耳，像未剃的下巴似的。现在他一摇一晃回到座位上，像个醉了酒的水手。这是其他的老师们都愿意尽力模仿的动作；但是那些人一个个病怏怏、软塌塌，穿着灰色裤子，他们只会让自己看起来不伦不类。我并不鄙视他们。他们的滑稽举动在我眼中显得那么可怜。我把这件事和其他很多事记在我的笔记本上，以备将来参考。等我长大后，我要带上一个笔记本——一个有很多页的厚本子，上面用字母标明了顺序。我要加进我的词语。在B条下面写上‘蝴蝶粉末’。如果在我的小说中，我想描写窗台上的阳光，我就会查看B条下面，找到蝴蝶粉末。这会用得着的。树‘用绿色的手指遮住了窗’。这会用得着的。可是，哎！这么快我就被分散了心思——因为糖果拧了劲儿似的一根头发，因为西莉亚那本象牙封面的祈祷书。路易斯能一小时一小时、眼睛一眨不眨地静观大自然。我很快就不行了，除非有人说说话。‘我心灵的湖，没有被船桨划破，在平静中起起伏伏，很快沉入一片馨宁的梦幻。’这会用得着的。”","‘At last,’ said Bernard, ‘the growl ceases.The sermon ends.He has minced the dance of the white butterflies at the door to powder.His rough and hairy voice is like an unshaven chin.Now he lurches back to his seat like a drunken sailor.It is an action that all the other masters will try to imitate; but, being flimsy, being floppy, wearing grey trousers, they will only succeed in making themselves ridiculous.I do not despise them.Their antics seem pitiable in my eyes.I note the fact for future reference with many others in my notebook.When I am grown up I shall carry a notebook—a fat book with many pages, methodically lettered.I shall enter my phrases.Under B shall come “Butterfly powder”.If, in my novel, I describe the sun on the window-sill, I shall look under B and find butterfly powder.That will be useful.The tree “shades the window with green fingers”.That will be useful.But alas!I am so soon distracted—by a hair like twisted candy, by Celia’s Prayer Book, ivory covered.Louis’ can contemplate nature, unwinking, by the hour.Soon I fail, unless talked to.“The lake of my mind, unbroken by oars, heaves placidly and soon sinks into an oily somnolence.”That will be useful.’"
