"第五个车轮","The Fifth Wheel"
"第二章诗篇念到一半的时候，托马斯看到一个强健的女孩拿着被风晃动的帷幔，逆着风，从对面的人行道上径直走来。“安妮！”他喊着，向她跑去。","In the middle of the second verse Thomas saw a sturdy girl with wind-tossed drapery battling against the breeze and coming straight toward him from the opposite sidewalk.“Annie!” he yelled, and ran toward her."
"“你个傻瓜，你个傻瓜！”她喊着，哭着，大笑着，搂住他的脖子，“你为什么做这样的事？”","“You fool, you fool!” she cried, weeping and laughing, and hanging upon his neck, “why did you do it?”"
"“那玩意儿，”托马斯简单地解释，“你知道。但是以后再也不喝了。一滴都不喝了。”他领她来到路边。“你是怎么看到我的？”","“The Stuff,” explained Thomas briefly.“You know.But subsequently nit.Not a drop.”He led her to the curb.“How did you happen to see me?”"
"“我特意来找你，”安妮紧紧地抓着他的袖子说，“哦，你这个大傻瓜！凯鲁布斯克教授告诉我们可以在这儿找到你。”","“I came to find you,” said Annie, holding tight to his sleeve.“Oh, you big fool!Professor Cherubusco told us that we might find you here.”"
"“凯什么教授——不认识这个人。他在哪家酒吧干活？”","“Professor Ch—Don’t know the guy.What saloon does he work in?”"
"“他是一个“千里眼”，托马斯，世界上最了不起的“千里眼”。他说他用迦勒底望远镜找到你的。”","“He’s a clairvoyant, Thomas; the greatest in the world.He found you with the Chaldean telescope, he said.”"
"“他是一个骗子，”托马斯说，“我从来就没有望远镜。他也从来没看到我用任何人的望远镜。”","“He’s a liar,” said Thomas.“I never had it.He never saw me have anybody’s telescope.”"
"“并且他说你是驾着五轮马车来的。”","“And he said you came in a chariot with five wheels or something.”"
"“安妮，”托马斯热切地说，“你现在正在给我轮子。如果我有一辆马车，我早就住在里面了。那样就不用唱赞美诗，也不用为了免于露宿街头而听牧师的说教了。”","“Annie,” said Thoms solicitously, “you’re giving me the wheels now.If I had a chariot I’d have gone to bed in it long ago.And without any singing and preaching for a nightcap, either.”"
"“听着，你这个大笨蛋。夫人说她会让你回去。我求她答应的。但是你一定要好好表现。你今晚就可以回去，你以前在马厩上面的房间已经准备好了。”","“Listen, you big fool.The Missis says she’ll take you back.I begged her to.But you must behave.And you can go up to the house to-night; and your old room over the stable is ready.”"
"“太好了！”托马斯真挚地说，“你真好，安妮。但这些惊人的事是什么时候发生的？”","“Great!” said Thomas earnestly.“You are It, Annie.But when did these stunts happen?”"
"“今晚在凯鲁布斯克教授的家。他派车去接夫人，夫人把我带上了。我曾经和她一起去过。”","“To-night at Professor Cherubusco’s.He sent his automobile for the Missis, and she took me along.I’ve been there with her before.”"
"“教授的职业是什么？”","“What’s the professor’s line?”"
"“他是一个“千里眼”，是一个巫师。夫人向他求教。他什么都知道。虽然夫人已经付给了他几百美元，可他一直没帮上夫人的忙。但是他告诉我们，从星象上来看，我们可以在这里找到你。”","“He’s a clearvoyant and a witch.The Missis consults him.He knows everything.But he hasn’t done the Missis any good yet, though she’s paid him hundreds of dollars.But he told us that the stars told him we could find you here.”"
"“那老夫人想要这个家伙做什么？”","“What’s the old lady want this cherry-buster to do?”"
"“这是一个家族秘密，”安妮说，“你问的问题够多了。回家吧，你这个大笨蛋。”","“That’s a family secret,” said Annie.“And now you’ve asked enough questions.Come on home, you big fool.”"
"他们离开了几步，托马斯又停下来。","They had moved but a little way up the street when Thomas stopped."
"“安妮，你带钱了么？”他问。","“Got any dough with you, Annie?” he asked."
"安妮严厉地看着他。","Annie looked at him sharply."
"“哦，我知道这样的表情是什么意思，”托马斯说，“你错了。我再也不喝酒了。但是那儿有个人，在排床队伍里一直站在我旁边，他的身体状况很糟糕。他是那么友善，还有妻儿，但是他还生着病。我不会再酗酒了。如果你能找到半块钱给他，他就能得到一个相当好的床位，我只是想要这样。”","“Oh, I know what that look means,” said Thomas.“You’re wrong.Not another drop.But there’s a guy that was standing next to me in the bed line over there that’s in bad shape.He’s the right kind, and he’s got wives or kids or something, and he’s on the sick list.No booze.If you could dig up half a dollar for him so he could get a decent bed I’d like it.”"
"安妮的手指开始在钱包里翻弄。","Annie’s fingers began to wiggle in her purse."
"“当然，我带了钱，”她说，“有很多。12美元。”带着女人根深蒂固的、对那些以做好事为借口来骗钱的人的怀疑，她又说：“带他到我这儿来，让我先见见他。”","“Sure, I’ve got money,” said she.“Lots of it.Twelve dollars.”And then she added, with woman’s ineradicable suspicion of vicarious benevolence:“Bring him here and let me see him first.”"
"托马斯照她的话办了。面无血色的排床人欣然前来。他们俩走近时，看着钱包的安妮抬起头，尖叫道：“沃尔特先生——哦——沃尔特先生！”","Thomas went on his mission.The wan Bed Liner came readily enough.As the two drew near, Annie looked up from her purse and screamed,""Mr. Walter—Oh—Mr.  Walter!"""
"“是你么，安妮？”年轻人温顺地问。","“Is that you, Annie?” said the young man meekly."
"“哦，沃尔特先生！——夫人一直在苦苦地寻找你！”","“Oh, Mr. Walter!—and the Missis hunting high and low for you!”"
"“妈妈想要见我么？”他问道，苍白的脸颊上现出一丝红晕。","“Does mother want to see me?” he asked, with a flush coming out on his pale cheek."
"“她一直在苦苦地寻找你。当然，她想要见到你。她想让你回家。她试着找警察、到太平间查资料、雇律师、登广告、请侦探、悬赏，一切能用的手段都用了。然后她请了巫师。你马上就会回家，是不是，沃尔特先生？”","“She’s been hunting for you high and low.Sure, she wants to see you.She wants you to come home.She’s tried police and morgues and lawyers and advertising and detectives and rewards and everything.And then she took up clearvoyants.You’ll go right home, won’t you, Mr. Walter?”"
"“如果她想让我回去，我很乐意，”年轻人说，“三年是漫长的时光。但我想我不得不走着去，除非街上的汽车肯让我搭便车。我过去常常比那两匹拉车的老栗色马走得还快。它们现在还在么？”","“Gladly, if she wants me,” said the young man.“Three years is a long time.I suppose I’ll have to walk up, though, unless the street cars are giving free rides.I used to walk and beat that old plug team of bays we used to drive to the carriage.Have they got them yet?”"
"“还在，”托马斯激动地说，“再过十年他们还会在。皇家象马的寿命是149年。我是那个马车夫。五分钟前才得到允许重新回去就职。我们打车走吧——就是说——呃——如果安妮可以付车费。”","“They have,” said Thomas, feelingly.“And they’ll have ’em ten years from now.The life of the royal elephantibus truckhorseibus is one hundred and forty-nine years.I’m the coachman.Just got my reappointment five minutes ago.Let’s all ride up in a surface car—that is—er—if Annie will pay the fares.”"
"在百老汇的车上，安妮递给这两个浪子每人一个镍币付给司机。","On the Broadway car Annie handed each one of the prodigals a nickel to pay the conductor."
"“在我看来，你好像不顾后果地扔了一大笔钱。”托马斯挖苦道。","“Seems to me you are mighty reckless the way you throw large sums of money around,” said Thomas sarcastically."
"“钱包里，”安妮果断地说，“准确地说有11块8毛5分钱。我明天将会把这每一分钱都给凯鲁布斯克教授，他是这个世界上最伟大的人。”","“In that purse,” said Annie decidedly, “is exactly $11.85.I shall take every cent of it to-morrow and give it to professor Cherubusco, the greatest man in the world.”"
"“好，”托马斯说，“我猜他一定是个很好的侦探，按照自己的独特方式处理事情。我很高兴他的鬼魂告诉他你可以在哪里找到我。如果你给我他的地址，某天我会去他那儿，和他握握手。”","“Well,” said Thomas, “I guess he must be a pretty fly guy to pipe off things the way he does.I’m glad his spooks told him where you could find me.If you’ll give me his address, some day I’ll go up there, myself, and shake his hand.”"
"托马斯试着在自己的位置上扭动着身体，感觉到膝盖和肘部有几处擦伤。","Presently Thomas moved tentatively in his seat, and thoughtfully felt an abrasion or two on his knees and his elbows."
"“说吧，安妮，”他悄悄地说，“或许这是最后一次醉酒的幻觉，但是，我已经回忆起和一个挥霍者坐在一辆汽车里，他带我到一个充满了鹰和弧光灯的房子。他让我吃饼干，跟我吹牛，然后把我从台阶上踢下去。倘若是震颤性谵妄的话，我为什么会如此酸痛呢？”","“Say, Annie,” said he confidentially, “maybe it’s one of the last dreams of booze, but I’ve a kind of a recollection of riding in an automobile with a swell guy that took me to a house full of eagles and arc lights.He fed me on biscuits and hot air, and then kicked me down the front steps.If it was the d t’s, why am I so sore?”"
"“闭嘴，你这个混蛋。”安妮说。","“Shut up, you fool,” said Annie."
"“如果我能找到那个滑稽的人的房子，”托马斯总结性地说，“总有一天我会去那儿，一拳打在他的鼻子上。”","“If I could find that funny guy’s house,” said Thomas, in conclusion, “I’d go up there some day and punch his nose for him.”"
