"影子溪——《点金术》的引子","Shadow Brook.—Introductory to The Golden Touch"
"小玛丽戈尔德现在还没有到。国王下令把她叫过来，然后自己坐上桌，等着她的到来，好开始吃早餐。公正地说，迈达斯真的非常喜欢他的女儿，由于巨额财富的降临，今天早晨就更加喜爱她了。不一会儿，他就听到她沿着走廊走来时悲痛的哭声。这种场景让他大吃一惊，因为玛丽戈尔德是你可能见过的最快乐的孩子之一，她在夏天，甚至是一年十二个月里都几乎不掉一丁点眼泪。迈达斯听到她的哭泣声时，决定给小玛丽戈尔德一个惊喜，好让她高兴起来。因此，他侧身过去，摸了摸她女儿的碗（一个陶瓷碗，上面都是漂亮的人物），把它变成了金光闪闪的金碗。","Little Marygold had not yet made her appearance.Her father ordered her to be called, and, seating himself at table, awaited the child’s coming, in order to begin his own breakfast.To do Midas justice, he really loved his daughter, and loved her so much the more this morning, on account of the good fortune which had befallen him.It was not a great while before he heard her coming along the passageway crying bitterly.This circumstance surprised him, because Marygold was one of the cheerfullest little people whom you would see in a summer’s day, and hardly shed a thimbleful of tears in a twelvemonth.When Midas heard her sobs, he determined to put little Marygold into better spirits, by an agreeable surprise; so, leaning across the table, he touched his daughter’s bowl (which was a China one, with pretty figures all around it), and transmuted it to gleaming gold."
"这时，玛丽戈尔德沮丧地慢慢打开门，用围裙捂着眼睛，不停地啜泣着，仿佛她的心都要碎了。","Meanwhile, Marygold slowly and disconsolately opened the door, and showed herself with her apron at her eyes, still sobbing as if her heart would break."
"“这是怎么回事，我的宝贝小姐！”迈达斯惊叫道，“请问这么阳光明媚的早晨，你怎么哭了呢？”","“How now, my little lady!” cried Midas.“Pray what is the matter with you, this bright morning?”"
"小玛丽戈尔德一边不停用围裙擦眼泪，一边伸出手里拿着迈达斯刚刚变出的金玫瑰。","Marygold, without taking the apron from her eyes, held out her hand, in which was one of the roses which Midas had so recently transmuted."
"“好漂亮啊！”她的爸爸惊叹道，“这么漂亮的金玫瑰怎么会让你哭呢？”","“Beautiful!” exclaimed her father.“And what is there in this magnificent golden rose to make you cry?”"
"“啊，亲爱的爸爸！”孩子回答，不住地抽噎着，“它不仅不漂亮，而且还是所有盛开的花中最难看的！我一穿上衣服就跑去花园里采些玫瑰给你，因为我知道你喜欢它们，而且更喜欢你的宝贝女儿摘的。可是，哦，天，天哪！你知道发生了什么事吗？糟糕极了！所有漂亮、清香扑鼻、鲜红可爱的玫瑰花，现在都枯萎和焦败了！它们变得非常枯黄，就像你看到的这朵，再也没有芳香！它们到底怎么了？”","“Ah, dear father!” answered the child, as well as her sobs would let her; “it is not beautiful, but the ugliest flower that ever grew!As soon as I was dressed I ran into the garden to gather some roses for you; because I know you like them, and like them the better when gathered by your little daughter.But, oh dear, dear me!What do you think has happened?Such a misfortune!All the beautiful roses, that smelled so sweetly and had so many lovely blushes, are blighted and spoilt!They are grown quite yellow, as you see this one, and have no longer any fragrance!What can have been the matter with them?”"
"“哦，我亲爱的小姑娘——请不要为这个伤心了！”迈达斯说。他很不好意思承认是自己的点金术才让她如此伤心。“坐下来，吃面包，喝牛奶吧!你会发现用一朵像那样的金玫瑰（可以保存几百年）换一朵一天之内就会凋谢的普通玫瑰花实在太容易了。”","“Poh, my dear little girl,—pray don’t cry about it!” said Midas, who was ashamed to confess that he himself had wrought the change which so greatly afflicted her.“Sit down and eat your bread and milk!You will find it easy enough to exchange a golden rose like that (which will last hundreds of years) for an ordinary one which would wither in a day.”"
"“我才不在乎这样的玫瑰！”小玛丽戈尔德叫嚷道，不屑地把它扔掉了，“它一点香味都没有，坚硬的花瓣还扎着了我的鼻子！”","“I don’t care for such roses as this!” cried Marygold, tossing it contemptuously away.“It has no smell, and the hard petals prick my nose!”"
" 她坐在桌旁，枯萎的玫瑰花让她太伤心了，甚至都没注意到她的陶瓷碗所发生的绝妙变化。可能这也是好事，因为玛丽戈尔德经常陶醉于看碗周围画的那些奇特的小人，怪异的树和房子，而现在这些装饰都已经在金子的色调中完全消失了。","The child now sat down to table, but was so occupied with her grief for the blighted roses that she did not even notice the wonderful transmutation of her China bowl.Perhaps this was all the better; for Marygold was accustomed to take pleasure in looking at the queer figures, and strange trees and houses, that were painted on the circumference of the bowl; and these ornaments were now entirely lost in the yellow hue of the metal."
"同时，迈达斯倒了一杯咖啡，当然，无论他拿起来时是什么金属，当他放下时，咖啡壶已经变成金的了。他心里想，以他作为国王一向俭朴的习惯来说，吃早餐用一整套金餐具实在是太过奢侈了，同时他也开始担心财宝的安全。橱柜和厨房不再是储藏像金碗和咖啡壶之类贵重物品的安全地方。","Midas, meanwhile, had poured out a cup of coffee, and, as a matter of course, the coffee-pot, whatever metal it may have been when he took it up, was gold when he set it down.He thought to himself, that it was rather an extravagant style of splendor, in a king of his simple habits, to breakfast off a service of gold, and began to be puzzled with the difficulty of keeping his treasures safe.The cupboard and the kitchen would no longer be a secure place of deposit for articles so valuable as golden bowls and coffee-pots."
"他一边想，一边把一汤勺咖啡放到嘴唇，当他吮吸的时候，竟然惊奇的发现，咖啡刚碰到他嘴唇的那一刻，就变成了熔化的金子，紧接着就硬成一块！","Amid these thoughts, he lifted a spoonful of coffee to his lips, and, sipping it, was astonished to perceive that, the instant his lips touched the liquid, it became molten gold, and, the next moment, hardened into a lump!"
"“啊！”迈达斯惊叫起来，目瞪口呆。","“Ha!” exclaimed Midas, rather aghast."
"“怎么了，爸爸？”小玛丽戈尔德问道，注视着他，眼里仍然噙着泪水。","“What is the matter, father?” asked little Marygold, gazing at him, with the tears still standing in her eyes."
"“没什么，孩子，没事！”迈达斯说，“喝你的牛奶吧，要不就变凉了。”","“Nothing, child, nothing!” said Midas.“Eat your milk, before it gets quite cold.”"
"他拿起盘子里一条美味的小鲑鱼，实验性地用手指碰了下它的尾巴。令他恐惧的是，它立刻从一条让人垂涎三尺的油煎溪鲑鱼变成了金子鱼，尽管不是一条人们经常养在球状玻璃容器里用来装饰客厅的金鱼。不，但是它确实是一条金属制的鱼，而且精巧得看上去像是由世界上手艺最精湛的金匠做成的。它的小骨头现在已经变成了金线，它的鳍和尾巴变成了薄薄的金片，上面还有叉子插过的痕迹，在一条美味的煎鱼身上所有这些微小、精巧的外表完全通过金子模仿出来了。那是一件非常精致的作品，你们也许会想。就在那时，只有迈达斯国王宁愿他盘子里的是一条真鲑鱼，而不是这条精心制作的、珍贵的仿制鱼。","He took one of the nice little trouts on his plate, and, by way of experiment, touched its tail with his finger.To his horror, it was immediately transmuted from an admirably fried brook-trout into a gold-fish, though not one of those gold-fishes which people often keep in glass globes, as ornaments for the parlor.No; but it was really a metallic fish, and looked as if it had been very cunningly made by the nicest goldsmith in the world.Its little bones were now golden wires; its fins and tail were thin plates of gold; and there were the marks of the fork in it, and all the delicate, frothy appearance of a nicely fried fish, exactly imitated in metal.A very pretty piece of work, as you may suppose; only King Midas, just at that moment, would much rather have had a real trout in his dish than this elaborate and valuable imitation of one."
"“我不是太明白，”他在心里想，“我怎样才能吃点早餐。”","“I don’t quite see,” thought he to himself, “how I am to get any breakfast.”"
"他拿起一块冒着热气的糕点，几乎没有弄碎，但是让他无比难堪的是，蛋糕立刻就变成了印第安饭一样的黄色，虽然片刻之前它还是纯白的小麦面。事实上，如果它真的是热的印第安糕点，迈达斯将会尤其珍视，而不是像现在这样，硬邦邦的越发沉重的糕点使他痛苦地意识到这是金子。近乎绝望之中，他拿起一个煮熟的鸡蛋，然而，鸡蛋立即发生了与鲑鱼和糕点一样的变化。的确，金蛋可能被误认为故事书里有名的经常下金蛋的鹅下的，但是唯有迈达斯国王才是和那件事有点关系的鹅。","He took one of the smoking-hot cakes, and had scarcely broken it, when, to his cruel mortification, though, a moment before, it had been of the whitest wheat, it assumed the yellow hue of Indian meal.To say the truth, if it had really been a hot Indian cake, Midas would have prized it a good deal more than he now did, when its solidity and increased weight made him too bitterly sensible that it was gold.Almost in despair, he helped himself to a boiled egg, which immediately underwent a change similar to those of the trout and the cake.The egg, indeed, might have been mistaken for one of those which the famous goose, in the story-book, was in the habit of laying; but King Midas was the only goose that had anything to do with the matter."
"“好吧，这真是窘迫！”他想，向后倾斜靠在椅子上，非常嫉妒地看着小玛丽戈尔德很满足地吃着面包喝着牛奶。“如此丰盛的早餐摆在我面前，却什么都吃不成！”","“Well, this is a quandary!” thought he, leaning back in his chair, and looking quite enviously at little Marygold, who was now eating her bread and milk with great satisfaction.“Such a costly breakfast before me, and nothing that can be eaten!”"
"他希望自己可以通过加快速度避免现在诸多的不便。于是，迈达斯国王伸手抓起一个发烫的土豆，使劲把它往嘴里塞，然后急匆匆地往下咽。但是点金术对他太灵敏了。他发现自己塞了满嘴的不是粉状的土豆，而是固体金属，金属烫着了他的舌头，弄得他大喊大叫，从桌子旁跳了起来。由于疼痛和惊恐，他开始在房间里乱跳乱蹦。","Hoping that, by dint of great dispatch, he might avoid what he now felt to be a considerable inconvenience, King Midas next snatched a hot potato, and attempted to cram it into his mouth, and swallow it in a hurry.But the Golden Touch was too nimble for him.He found his mouth full, not of mealy potato, but of solid metal, which so burnt his tongue that he roared aloud, and, jumping up from the table, began to dance and stamp about the room, both with pain and affright."
"“爸爸，亲爱的爸爸！”小玛丽菲尔德喊道，她是个非常关爱别人的孩子，“请问发生了什么事？你烫着嘴了吗？”","“Father, dear father!” cried little Marygold, who was a very affectionate child, “pray what is the matter?Have you burnt your mouth?”"
"“啊，亲爱的孩子，”迈达斯呻吟着，哭丧着脸，“你可怜的父亲也不知道会发生什么事情！”","“Ah, dear child,” groaned Midas, dolefully, “I don’t know what is to become of your poor father!”"
"真的，我亲爱的小家伙们，在你们的生活中，你们曾听说过这么可怜的事情吗？那简直是国王面前摆放的最奢侈的早餐，但它的奢侈使它毫无用处。最穷的劳工坐下来吃面包皮喝杯水都远比迈达斯国王要好得多，他面前摆放的美味佳肴确实值它们变成金子的价钱。然而，那又能怎么样呢？早餐时，迈达斯就已经相当饿了。晚餐时他会感觉好点吗？他该多么想吃晚餐啊，可毫无疑问，那同样是一道道无法下咽的菜，和现在摆放在他面前的一样！想想，一直被供应如此昂贵却不能吃的食物，你能活几天？","And, truly, my dear little folks, did you ever hear of such a pitiable case in all your lives?Here was literally the richest breakfast that could be set before a king, and its very richness made it absolutely good for nothing.The poorest laborer, sitting down to his crust of bread and cup of water, was far better off than King Midas, whose delicate food was really worth its weight in gold.And what was to be done?Already, at breakfast, Midas was excessively hungry.Would he be less so by dinner time?And how ravenous would be his appetite for supper, which must undoubtedly consist of the same sort of indigestible dishes as those now before him!How many days, think you, would he survive a continuance of this rich fare?"
"这些思考不断困扰着聪明的迈达斯国王，终于，他开始怀疑财富是不是世界上他想要的或最值得拥有的东西。然而这仅仅是一闪即逝的念头罢了。迈达斯对闪闪发光的金子非常着迷，他不肯仅仅因为早餐之类微不足道的事情就放弃点金术。想想吧，一顿饭的代价是多么沉重啊！这简直就等于花费数以万计的钱（而且继续计算的话，还得几千几百万元）买几条油煎鲑鱼，一个鸡蛋，一块土豆，一块热糕点和一杯咖啡！","These reflections so troubled wise King Midas, that he began to doubt whether, after all, riches are the one desirable thing in the world, or even the most desirable.But this was only a passing thought.So fascinated was Midas with the glitter of the yellow metal, that he would still have refused to give up the Golden Touch for so paltry a consideration as a breakfast.Just imagine what a price for one meal’s victuals!It would have been the same as paying millions and millions of money (and as many millions more as would take forever to reckon up) for some fried trout, an egg, a potato, a hot cake, and a cup of coffee!"
"“这也太昂贵了吧。”迈达斯想。","“It would be quite too dear,” thought Midas."
"然而，他实在饿得发昏，他的处境又让人为难，不得不痛苦而大声呻吟起来。我们漂亮的玛丽戈尔德可再也无法忍受了。她坐着，看着她爸爸，努力用她的小智慧弄清楚他到底是怎么了。接着，她怀着亲切而悲伤的冲动想要安慰他，她从椅子上站起来，跑向迈达斯，关爱地用她的胳膊抱住了他的膝盖。他弯下身，亲吻她。他感觉到他宝贝女儿的爱比凭借点金术所获得的财富还珍贵无数倍。","Nevertheless, so great was his hunger, and the perplexity of his situation, that he again groaned aloud, and very grievously too.Our pretty Marygold could endure it no longer.She sat, a moment, gazing at her father, and trying, with all the might of her little wits, to find out what was the matter with him.Then, with a sweet and sorrowful impulse to comfort him, she started from her chair, and, running to Midas, threw her arms affectionately about his knees.He bent down and kissed her.He felt that his little daughter’s love was worth a thousand times more than he had gained by the Golden Touch."
"“我最最珍爱的玛丽戈尔德！”他惊叫道。","“My precious, precious Marygold!” cried he."
"然而，玛丽戈尔德没有回答。","But Marygold made no answer."
"天啊，他做了什么？那个陌生人赐予的法术是多么致命啊！迈达斯的嘴唇碰到玛丽戈尔德额头的那一刻，变化就产生了。她温柔、红润的脸蛋，像以前一样充满了关爱，披上一层闪闪发光的金黄色，脸颊上还凝结着金黄的泪珠。她漂亮的棕色长鬓发也同样被染成了金黄色。她柔软温柔的小身体在爸爸的怀抱中变得坚硬而僵化。哦，多么悲惨不幸啊！因为他对财富永无止境的贪欲，小玛丽戈尔德不再是一个真正的孩子，而是一尊金雕像！","Alas, what had he done?How fatal was the gift which the stranger bestowed!The moment the lips of Midas touched Marygold’s forehead, a change had taken place.Her sweet, rosy face, so full of affection as it had been, assumed a glittering yellow color, with yellow tear-drops congealing on her cheeks.Her beautiful brown ringlets took the same tint.Her soft and tender little form grew hard and inflexible within her father’s encircling arms.Oh, terrible misfortune!The victim of his insatiable desire for wealth, little Marygold was a human child no longer, but a golden statue!"
"是的，她就在那里，充满关爱、悲伤和同情的脸上带着疑问，变得僵硬。这是有史以来最感人、最悲惨的一幕了。玛丽戈尔德的面容和特征都在那里，甚至是惹人喜爱的小酒窝也停留在她的金下巴上。但是，越是相似，这位父亲看着这尊金塑像就越难过，这是一个女儿留下的全部东西。每当他格外喜爱玛丽戈尔德的时候，他就会说把她的体重换成金子的话，金子多贵重，玛丽戈尔德就有多珍贵，这曾经是他最喜欢的话。而今这句话真的变成了事实。现在，当这一切太晚了的时候，他才终于感觉到一颗温暖、关心、爱他的心，远远超过了堆在天地之间的巨大财富的价值！","Yes, there she was, with the questioning look of love, grief, and pity, hardened into her face.It was the prettiest and most woeful sight that ever mortal saw.All the features and tokens of Marygold were there; even the beloved little dimple remained in her golden chin.But the more perfect was the resemblance, the greater was the father’s agony at beholding this golden image, which was all that was left him of a daughter.It had been a favorite phrase of Midas, whenever he felt particularly fond of the child, to say that she was worth her weight in gold.And now the phrase had become literally true.And now, at last, when it was too late, he felt how infinitely a warm and tender heart, that loved him, exceeded in value all the wealth that could be piled up betwixt the earth and sky!"
"如果我告诉你们，迈达斯是怎样在自己的贪欲实现时，扭绞着双手，痛苦地呻吟，他多么不能忍受去看玛丽戈尔德，又舍不得不看她，那么这个故事就太令人悲伤了。他只有盯着雕塑才相信她变成了金子。然而，再偷看一眼那尊珍贵的小塑像，金黄色的脸颊上凝结着一滴黄色的泪珠，温柔的面孔如此让人怜悯，那神情看起来似乎定能软化金子，再次让她恢复肉体。然而，这是不可能的。因此，迈达斯不得不扭绞着他的双手，如果他放弃所有的财富就能使他亲爱的女儿恢复哪怕是淡淡玫瑰色的面色，他愿意成为这偌大的世界上最贫穷的人。","It would be too sad a story, if I were to tell you how Midas, in the fullness of all his gratified desires, began to wring his hands and bemoan himself; and how he could neither bear to look at Marygold, nor yet to look away from her.Except when his eyes were fixed on the image, he could not possibly believe that she was changed to gold.But, stealing another glance, there was the precious little figure, with a yellow tear-drop on its yellow cheek, and a look so piteous and tender, that it seemed as if that very expression must needs soften the gold, and make it flesh again.This, however, could not be.So Midas had only to wring his hands, and to wish that he were the poorest man in the wide world, if the loss of all his wealth might bring back the faintest rose-color to his dear child’s face."
"正当他心烦意乱，伤心绝望时，他突然看见一个陌生人站在门旁边。迈达斯低下头，什么都没说，因为他认出那个身影就是昨天出现在藏宝室、还教会他灾难性的本领点金术的那个人。陌生人的脸上仍然带着一丝微笑，那微笑在整个房间都似乎散发出一丝金黄色的亮光，连玛丽戈尔德的雕像和其他被迈达斯触摸而变成金子的物体都被照得光亮耀眼。","While he was in this tumult of despair, he suddenly beheld a stranger standing near the door.Midas bent down his head, without speaking; for he recognized the same figure which had appeared to him, the day before, in the treasure-room, and had bestowed on him this disastrous faculty of the Golden Touch.The stranger’s countenance still wore a smile, which seemed to shed a yellow lustre all about the room, and gleamed on little Marygold’s image, and on the other objects that had been transmuted by the touch of Midas."
"“好了，迈达斯，我的朋友，”陌生人说，“请告诉我点金术的效果怎么样？”","“Well, friend Midas,” said the stranger, “pray how do you succeed with the Golden Touch?”"
"迈达斯摇摇头。","Midas shook his head."
"“我非常痛苦，”他说。","“I am very miserable,” said he."
"“非常痛苦，不会吧！”陌生人惊叫道，“那是怎么回事？难道我没有信守许下的诺言？那不是你内心想要的一切吗？”","“Very miserable, indeed!” exclaimed the stranger.“And how happens that?Have I not faithfully kept my promise with you?Have you not everything that your heart desired?”"
"“金子不是一切，”迈达斯回答，“而且我失去了我内心真正喜爱的一切。”","“Gold is not everything,” answered Midas.“And I have lost all that my heart really cared for.”"
"“啊！那么这就是你从昨天起的新发现？”陌生人说，“让我们来看一看。下面两件东西你认为哪个更值钱——点金术，还是一杯清凉的水？”","“Ah!So you have made a discovery, since yesterday?” observed the stranger.“Let us see, then.Which of these two things do you think is really worth the most,—the gift of the Golden Touch, or one cup of clear cold water?”"
"“啊，神圣的水啊！”迈达斯惊叫道，“它再也不能浸润我干燥的喉咙了！”","“O blessed water!” exclaimed Midas.“It will never moisten my parched throat again!”"
"“点金术，”陌生人继续说，“还是一块面包皮呢？”","“The Golden Touch,” continued the stranger, “or a crust of bread?”"
"“一块面包，”迈达斯回答，“值世界上所有的金子！”","“A piece of bread,” answered Midas, “is worth all the gold on earth!”"
"“点金术，”陌生人问，“还是你一小时前还热情、温柔、惹人喜爱的小人儿玛丽戈尔德呢？”","“The Golden Touch,” asked the stranger, “or your own little Marygold, warm, soft, and loving as she was an hour ago?”"
"“哦，我的孩子，我亲爱的孩子！”可怜的迈达斯叫喊着，扭绞着双手，“我宁愿要她嘴角的小酒窝，也不要能把偌大世界变成一块金子的点金术！”","“Oh, my child, my dear child!” cried poor Midas, wringing his hands.“I would not have given that one small dimple in her chin for the power of changing this whole big earth into a solid lump of gold!”"
"“你比以前明智多了，迈达斯国王！”陌生人说，严肃地看着他，“你的内心，我想，还没有彻底地从血肉变成金子。如果真是那样的话，你的情况就真的到了令人绝望的地步了。但是你好像仍然能领会，那些每个人都能理解的最平凡的事情，比那么多人为之叹息和奋斗的财富还要珍贵。告诉我，现在，你真诚地希望自己摆脱点金术的法力吗？”","“You are wiser than you were, King Midas!” said the stranger, looking seriously at him.“Your own heart, I perceive, has not been entirely changed from flesh to gold.Were it so, your case would indeed be desperate.But you appear to be still capable of understanding that the commonest things, such as lie within everybody’s grasp, are more valuable than the riches which so many mortals sigh and struggle after.Tell me, now, do you sincerely desire to rid yourself of this Golden Touch?”"
"“我实在太讨厌它了！”迈达斯回答。","“It is hateful to me!” replied Midas."
"一只苍蝇落在他的鼻子上，但是马上掉在地上，因为它也变成了金子。迈达斯冷战不已。","A fly settled on his nose, but immediately fell to the floor; for it, too, had become gold.Midas shuddered."
"“那么，去吧，”陌生人说，“跳进那条流经你花园尽头的河里吧。带回一瓶那里的水，洒在任何你想把它从金子变回原形的东西上。如果你诚挚地做这件事，它就可能会修复因你的贪欲而造成的恶果。”","“Go, then,” said the stranger, “and plunge into the river that glides past the bottom of your garden.Take likewise a vase of the same water, and sprinkle it over any object that you may desire to change back again from gold into its former substance.If you do this in earnestness and sincerity, it may possibly repair the mischief which your avarice has occasioned.”"
"迈达斯国王深深地鞠了一躬，当他抬起头的时候，那个耀眼的陌生人已经消失了。","King Midas bowed low; and when he lifted his head, the lustrous stranger had vanished."
"你们完全可以相信，迈达斯马上抓起一个很大的土制陶罐（但是，天哪！当他碰了它之后就不再是土制的了），匆忙地跑到河边。他不停地向前奔跑，硬是从灌木丛中挤了过去，如果你看见他身后的树木是如何纷纷变成金黄色，你一定会为这奇观惊叹不已，仿佛只有那里是秋天，而其他地方不是。一到河边，他就一头扎进去，连鞋都等不及脱。","You will easily believe that Midas lost no time in snatching up a great earthen pitcher (but, alas me! it was no longer earthen after he touched it), and hastening to the river-side.As he scampered along, and forced his way through the shrubbery, it was positively marvelous to see how the foliage turned yellow behind him, as if the autumn had been there, and nowhere else.On reaching the river’s brink, he plunged headlong in, without waiting so much as to pull off his shoes."
"“呼！呼！呼！”迈达斯从水里钻出来，喷了喷鼻息。“哇，这个澡真是让我精神焕发，我想，这水一定把点金术彻底消除了。现在，我要把我的水罐装满！”","“Poof! poof! poof!” snorted King Midas, as his head emerged out of the water.“Well; this is really a refreshing bath, and I think it must have quite washed away the Golden Touch.And now for filling my pitcher!”"
"他把水罐浸到水里时，不由得心里乐开了花，因为他看见水罐正从金罐变回原来的土罐，恢复到他触摸前那优质、真实、土质的模样。他也意识到自己内心起了变化。胸口那块冰冷、坚硬、分量沉重的东西消失了。毫无疑问，他的心曾经渐渐失去了人类心中实质的东西，变成了没有情感和感觉的金属，但现在又开始软化成血肉了。迈达斯看见河边长着一朵紫罗兰花，用手指碰了碰，他惊喜地发现那朵精致的花仍然保留着原来的紫色，并没有枯萎成黄色。看来，点金术的魔咒真正离开他了。","As he dipped the pitcher into the water, it gladdened his very heart to see it change from gold into the same good, honest earthen vessel which it had been before he touched it.He was conscious, also, of a change within himself.A cold, hard, and heavy weight seemed to have gone out of his bosom.No doubt, his heart had been gradually losing its human substance, and transmuting itself into insensible metal, but had now softened back again into flesh.Perceiving a violet, that grew on the bank of the river, Midas touched it with his finger, and was overjoyed to find that the delicate flower retained its purple hue, instead of undergoing a yellow blight.The curse of the Golden Touch had, therefore, really been removed from him."
"迈达斯国王急匆匆地回到宫殿，我猜，仆人们在看见他们高贵的主人如此小心翼翼地把一个装满水的土制陶罐带回宫时，都不知道他要做什么。但是对于迈达斯来说，可以消除因他愚蠢行为造成的所有后果的水远比大量熔金要珍贵得多。他要做的第一件事，不用说你也知道，就是一把一把的把水洒在小玛丽戈尔德的金雕像上。","King Midas hastened back to the palace; and, I suppose, the servants knew not what to make of it when they saw their royal master so carefully bringing home an earthen pitcher of water.But that water, which was to undo all the mischief that his folly had wrought, was more precious to Midas than an ocean of molten gold could have been.The first thing he did, as you need hardly be told, was to sprinkle it by handfuls over the golden figure of little Marygold."
"水一落到她身上，你就会高兴地看到这亲爱的孩子的脸颊如何又恢复了红润！她如何开始打喷嚏又是如何气急败坏——当她发现自己浑身湿淋淋的，而她的爸爸却还在不停往她身上洒更多的水，她是多么地惊讶！","No sooner did it fall on her than you would have laughed to see how the rosy color came back to the dear child’s cheek! and how she began to sneeze and sputter!—and how astonished she was to find herself dripping wet, and her father still throwing more water over her!"
"“请不要洒了，亲爱的爸爸！”她哭喊着，“瞧你把我漂亮的连衣裙弄湿了，我今天早上才穿上的！”","“Pray do not, dear father!” cried she.“See how you have wet my nice frock, which I put on only this morning!”"
"因为玛丽戈尔德还不知道自己曾经变成一尊金雕塑的事，也不记得当她伸出胳膊跑去安慰可怜的迈达斯国王的那一刻起发生的所有事情。","For Marygold did not know that she had been a little golden statue; nor could she remember anything that had happened since the moment when she ran with outstretched arms to comfort poor King Midas."
"他的爸爸认为没有必要告诉他挚爱的孩子他曾经多么愚蠢，但是却很满足现在变得多么明智。为此，他把小玛丽戈尔德领进花园，然后把剩下的水全部洒在玫瑰丛上，结果，五千多朵玫瑰花重现了它们盛开的漂亮花朵。然而，在迈达斯国王活着的时候，有两种情况会使他经常想起点金术。一件是河边像金子般闪闪发光的沙子；另一件是小玛丽戈尔德现在的金黄色头发，在她被他的吻变成金雕塑之前，他还从来没有注意过。不过，这样的变化确实是件好事，因为玛丽戈尔德现在的头发比婴儿期时浓密多了。","Her father did not think it necessary to tell his beloved child how very foolish he had been, but contented himself with showing how much wiser he had now grown.For this purpose, he led little Marygold into the garden, where he sprinkled all the remainder of the water over the rose-bushes, and with such good effect that above five thousand roses recovered their beautiful bloom.There were two circumstances, however, which, as long as he lived, used to put King Midas in mind of the Golden Touch.One was, that the sands of the river sparkled like gold; the other, that little Marygold’s hair had now a golden tinge, which he had never observed in it before she had been transmuted by the effect of his kiss.This change of hue was really an improvement, and made Marygold’s hair richer than in her babyhood."
"当迈达斯国王变成老人的时侯，他经常把玛丽戈尔德的孩子们一个接一个地放在他的膝盖上，他非常喜欢讲这个不同寻常的故事，正如我现在讲给你们的一样。然后，他就会抚摸他们光亮的鬓发，告诉他们，他们的头发就像金子的颜色，这是从他们的妈妈那里遗传的。","When King Midas had grown quite an old man, and used to trot Marygold’s children on his knee, he was fond of telling them this marvelous story, pretty much as I have now told it to you.And then would he stroke their glossy ringlets, and tell them that their hair, likewise, had a rich shade of gold, which they had inherited from their mother."
"“实话告诉你吧，我心爱的小宝贝们，”迈达斯说，同时不时地逗弄他们，“自从那个早晨开始，我看见金色就非常厌恶，但是，你们的头发例外！”","“And to tell you the truth, my precious little folks,” quoth King Midas, diligently trotting the children all the while, “ever since that morning, I have hated the very sight of all other gold, save this!”"
"影子溪——故事讲完以后","Shadow Brook.—After the Story"
"“好了，孩子们，”尤斯塔斯说，他非常喜欢听取观众的意见，“在你们的生活中，你们曾经听过比《点金术》更好听的故事吗？”","“Well, children,” inquired Eustace, who was very fond of eliciting a definite opinion from his auditors, “did you ever, in all your lives, listen to a better story than this of ‘The Golden Touch’?”"
"“怎么会没有呢？迈达斯国王的故事，”调皮的报春花说，“早在尤斯塔斯·布赖特先生出生前一千年就很有名了，而且在尤斯塔斯先生去世千百年后还会名扬四海。但是有些人具有我们所谓的‘点呆术’，手指碰到的一切都会变得沉闷、笨重。”","“Why, as to the story of King Midas,” said saucy Primrose, “it was a famous one thousands of years before Mr. Eustace Bright came into the world, and will continue to be so long after he quits it.But some people have what we may call ‘The Leaden Touch,’ and make everything dull and heavy that they lay their fingers upon.”"
"“你是个聪明的孩子，报春花，一点不像十几岁的样子，”尤斯塔斯说，同时对她辛辣的批评大吃一惊,“但是，你这个小调皮的心里一定知道我把老掉牙的迈达斯点金术的故事进行了全新的加工，使它闪耀着以前从未有过的光芒。还有那个叫玛丽戈尔德的人物！你不认为这里面有点独具匠心吗？我讲得多么娓娓动听，意味深长！香厥木、蒲公英、红花草、长春花，你们说呢？听了这个故事之后，你们是不是有人也傻乎乎地渴望拥有把物品变成金子的能力？”","“You are a smart child, Primrose, to be not yet in your teens,” said Eustace, taken rather aback by the piquancy of her criticism.“But you well know, in your naughty little heart, that I have burnished the old gold of Midas all over anew, and have made it shine as it never shone before.And then that figure of Marygold!Do you perceive no nice workmanship in that?And how finely I have brought out and deepened the moral!What say you, Sweet Fern, Dandelion, Clover, Periwinkle?Would any of you, after hearing this story, be so foolish as to desire the faculty of changing things to gold?”"
"“我真想，”十岁的长春花说，“拥有用右手食指把一切变成金子的能力，如果我不满意，还可以用我的左手食指变回来。而且我知道今天下午，我想要做什么！”","“I should like,” said Periwinkle, a girl of ten, “to have the power of turning everything to gold with my right forefinger; but, with my left forefinger, I should want the power of changing it back again, if the first change did not please me.And I know what I would do, this very afternoon!”"
"“那请你告诉我吧。”尤斯塔斯说。","“Pray tell me,” said Eustace."
"“哦，”长春花回答，“我将用我的左手食指触摸树上的每一片金色叶子，把它们全部变回绿色，这样，我们就可以马上回到夏天了，同时就不会再有令人讨厌的冬天了。”","“Why,” answered Periwinkle, “I would touch every one of these golden leaves on the trees with my left forefinger, and make them all green again; so that we might have the summer back at once, with no ugly winter in the mean time.”"
