"警讯","The Warning"
"“不一般！”他说道。“不一般！”","“Remarkable!” said he. “Remarkable!”"
"“您好像并不觉得惊讶啊。”","“You don’t seem surprised.”"
"“关注而已，麦克先生，惊讶可谈不上。我有什么理由感到惊讶呢？我从某个地方收到了一条我知道十分重要的匿名讯息，由此知道某个人面临危险。接下来不到一个钟头，我得知危险变成了现实，那个人已经死亡。这事情确实引起了我的关注，不过，就像你看到的那样，并没有让我感到惊讶。”","“Interested, Mr. Mac, but hardly surprised. Why should I be surprised? I receive an anonymous communication from a quarter which I know to be important, warning me that danger threatens a certain person. Within an hour I learn that this danger has actually materialized and that the person is dead. I am interested; but, as you observe, I am not surprised.”"
"这之后，他三言两语地向督察讲清了关于信件和密码的种种事实。麦克唐纳坐在那里，双手托着下巴，浓密的沙色眉毛拧成了一个黄色的结。","In a few short sentences he explained to the inspector the facts about the letter and the cipher. MacDonald sat with his chin on his hands and his great sandy eyebrows bunched into a yellow tangle."
"“我本打算今早就去伯尔斯通，”他说道。“来这里是想问您愿不愿意跟我一起去——我是说，您和您的朋友。可是，从您刚才说的这些事情来看，咱们还是在伦敦调查比较好。” ","“I was going down to Birlstone this morning,” said he. “I had come to ask you if you cared to come with me—you and your friend here. But from what you say we might perhaps be doing better work in London.”"
"“我倒不这么觉得，”福尔摩斯说道。","“I rather think not,” said Holmes."
"“得了吧，福尔摩斯先生！”督察叫道。“一两天之内，伯尔斯通谜案就会占满各家报纸的版面。可是，既然已经有人在伦敦预见了这桩罪行，它还叫什么谜案呢？咱们只需要把这个人抓来就行了，其他的问题自然会迎刃而解。”","“Hang it all, Mr. Holmes!” cried the inspector. “The papers will be full of the Birlstone mystery in a day or two; but where’s the mystery if there is a man in London who prophesied the crime before ever it occurred? We have only to lay our hands on that man, and the rest will follow.”"
"“你说得对极了，麦克先生。不过，你打算用什么方法去抓这个所谓的波洛克呢？”","“No doubt, Mr. Mac. But how do you propose to lay your hands on the so-called Porlock?”"
"麦克唐纳把福尔摩斯递给他的信翻了一面。“信是从坎伯维尔街区寄来的，这一点对咱们没多大帮助。名字嘛，您已经说了是假的。是的，咱们手里的线索确实不多。可是，您刚才不是说您给过他钱吗？”","MacDonald turned over the letter which Holmes had handed him. “Posted in Camberwell that doesn’t help us much. Name, you say, is assumed. Not much to go on, certainly. Didn’t you say that you have sent him money?”"
"“给过两次。”","“Twice.”"
"“怎么给的呢？”","“And how?”"
"“把钞票寄到坎伯维尔邮局。”","“In notes to Camberwell post-office.”"
"“您就没有劳神去看看取钞票的人吗？”","“Did you ever trouble to see who called for them?”"
"“没有。”","“No.”"
"督察的表情有点儿惊讶，甚至可以说是有点儿震撼。“为什么呢？”","The inspector looked surprised and a little shocked. “Why not?”"
"“因为我一向说话算话。他第一次写信给我的时候，我已经答应了他，不会去追查他的身份。”","“Because I always keep faith. I had promised when he first wrote that I would not try to trace him.”"
"“您认为他背后还有别人，对吗？”","“You think there is someone behind him?”"
"“不是认为，我知道还有别人。”","“I *know* there is.”"
"“就是您提过的那位教授吗？”","“This professor that I’ve heard you mention?”"
"“还能是谁！”","“Exactly!”"
"麦克唐纳督察笑了起来，还冲我挤了挤眼睛。“我跟您实说了吧，福尔摩斯先生，我们刑事侦缉处的人都觉得，您对那位教授稍微有那么一点儿神经过敏。我自个儿也对这件事情进行了一些调查，他似乎是个非常体面、非常渊博、非常有才干的人。”","Inspector MacDonald smiled, and his eyelid quivered as he glanced towards me. “I won’t conceal from you, Mr. Holmes, that we think in the C.I.D. that you have a wee bit of a bee in your bonnet over this professor. I made some inquiries myself about the matter. He seems to be a very respectable, learned, and talented sort of man.”"
"“你居然看出了他的才干，我真是高兴极了。 ”","“I’m glad you’ve got so far as to recognize the talent.”"
"“咳，想不看出来也不行啊！听过您对他的看法之后，我打定主意要去会会他。我跟他聊了聊关于日食的问题，怎么聊起来的我记不得了，总之他搬出一台反光灯和一个地球仪，只用了一分钟就把这个问题讲得清清楚楚。他还借了一本书给我，可我不怕跟您说，虽说我在阿伯丁也受过很好的教育，那本书还是有点儿超出了我的智力。他脸庞瘦削、头发花白，说起话来跟讲道一样，准保能成为一位了不起的母（牧）师[^1]。我告辞的时候，他把手放到了我的肩膀上，感觉就像是父亲正在祝福即将踏入冷酷社会的孩子。”","“Man, you can’t but recognize it! After I heard your view I made it my business to see him. I had a chat with him on eclipses. How the talk got that way I canna think; but he had out a reflector lantern and a globe, and made it all clear in a minute. He lent me a book; but I don’t mind saying that it was a bit above my head, though I had a good Aberdeen upbringing. He’d have made a grand meenister with his thin face and gray hair and solemn-like way of talking. When he put his hand on my shoulder as we were parting, it was like a father’s blessing before you go out into the cold, cruel world.”"
"福尔摩斯吃吃地笑了起来，搓了搓自己的双手。“妙极了！”他说道。“妙极了！据我看，麦克唐纳老弟，你们这次愉快感人的会晤应该是发生在教授的书房里，对不对？”","Holmes chuckled and rubbed his hands. “Great!” he said. “Great! Tell me, Friend MacDonald, this pleasing and touching interview was, I suppose, in the professor’s study?”"
"“对。 ”","“That’s so.”"
"“房间不错，对吧？”","“A fine room, is it not?”"
"“非常不错——实际上是漂亮极了，福尔摩斯先生。 ”","“Very fine—very handsome indeed, Mr. Holmes.”"
"“你坐在他那张写字台跟前，对吧？”","“You sat in front of his writing desk?”"
"“没错。 ”","“Just so.”"
"“阳光照进了你的眼睛，他的脸却在阴影里，对吧？”","“Sun in your eyes and his face in the shadow?”"
"“呃，我是晚上去的。可我确实记得，灯光是照在我脸上的。 ”","“Well, it was evening; but I mind that the lamp was turned on my face.”"
"“理当如此。教授那把椅子的上方挂着一幅画，当时你有没有注意到呢？”","“It would be. Did you happen to observe a picture over the professor’s head?”"
"“我这个人可不会漏过太多细节，福尔摩斯先生。说不定，这还是跟您学的呢。是的，我看到了那幅画，画的是一个年轻女人，双手托着脑袋，斜着眼睛看人。”","“I don’t miss much, Mr. Holmes. Maybe I learned that from you. Yes, I saw the picture—a young woman with her head on her hands, peeping at you sideways.”"
"“那幅画是让·巴蒂斯特·格勒兹[^2]的作品。 ”","“That painting was by Jean Baptiste Greuze.”"
"督察努力装出一副兴致勃勃的模样。","The inspector endeavoured to look interested."
"“让 ·巴蒂斯特 ·格勒兹，”福尔摩斯接着说道，双手的指尖顶在一起，身子深深地倒进了背后的椅子，“是活跃于一七五○至一八○○年间的一位法国画家，当然喽，我这里说的是他的职业生涯。他在世的时候就享有很高的声誉，当代的评论家更是对他赞不绝口。 ”","“Jean Baptiste Greuze,” Holmes continued, joining his finger tips and leaning well back in his chair, “was a French artist who flourished between the years 1750 and 1800. I allude, of course, to his working career. Modern criticism has more than indorsed the high opinion formed of him by his contemporaries.”"
"督察的眼神渐渐地迷茫起来。“咱们是不是应该——”他说道。","The inspector’s eyes grew abstracted. “Hadn’t we better—” he said."
"“不是应该，咱们正在这么做，”福尔摩斯打断了他。“我说的所有事情都跟你所说的伯尔斯通谜案存在十分直接、至关紧要的联系。事实上，从某种意义上说，我正在谈论这件谜案的核心。 ”","“We are doing so,” Holmes interrupted. “All that I am saying has a very direct and vital bearing upon what you have called the Birlstone Mystery. In fact, it may in a sense be called the very centre of it.”"
"麦克唐纳勉勉强强地笑了笑，求助般地看了看我。“对我来说，您的思维跳跃得有点儿太快了，福尔摩斯先生。您少讲了一两个环节，而我自个儿又补不上。说一千道一万，那个死掉了的画匠跟伯尔斯通的事情究竟能有什么联系呢？”","MacDonald smiled feebly, and looked appealingly to me. “Your thoughts move a bit too quick for me, Mr. Holmes. You leave out a link or two, and I can’t get over the gap. What in the whole wide world can be the connection between this dead painting man and the affair at Birlstone?”"
"“对于一名侦探来说，世上没有无用的知识，”福尔摩斯说道。“说不定，即便是以下这件琐碎事情也可以让你展开一系列的联想：一八六五年，名为《少女与羔羊》的格勒兹作品在波塔利斯拍卖会上卖到了一百二十万法郎，也就是超过四万英镑[^3]。”","“All knowledge comes useful to the detective,” remarked Holmes. “Even the trivial fact that in the year 1865 a picture by Greuze entitled ‘La Jeune Fille á l’Agneau’ fetched one million two hundred thousand francs—more than forty thousand pounds—at the Portalis sale may start a train of reflection in your mind.”"
"显而易见，这件事情确实引发了一系列的联想。到这会儿，督察脸上的兴趣不像是装的了。","It was clear that it did. The inspector looked honestly interested."
"“我还可以提醒你一下，”福尔摩斯接着说道，“好几种可靠的参考书籍都可以帮助我们确定教授的薪资。教授的薪资是一年七百镑。”","“I may remind you,” Holmes continued, “that the professor’s salary can be ascertained in several trust-worthy books of reference. It is seven hundred a year.”"
"“那他怎么买得起——”","“Then how could he buy—”"
"“可不是嘛！他怎么买得起呢？”","“Quite so! How could he?”"
"“没错，这事情确实很不寻常，”督察若有所思地说道。“接着说啊，福尔摩斯先生。我爱听极了，妙极了！”","“Ay, that’s remarkable,” said the inspector thoughtfully. “Talk away, Mr. Holmes. I’m just loving it. It’s fine!”"
"福尔摩斯露出了笑容。跟真正的艺术家一样，真诚的赞美总是会让他觉得格外愉快。“伯尔斯通的事情怎么办呢？”他问道。","Holmes smiled. He was always warmed by genuine admiration—the characteristic of the real artist. “What about Birlstone?” he asked."
"“时间还来得及，”督察一边说，一边看了看表。“有辆出租马车在门口等我，从这儿到维多利亚车站用不了二十分钟。咱们接着说这幅画吧：我记得您跟我提过一次，福尔摩斯先生，您从来没有见过莫里亚蒂教授。”","“We’ve time yet,” said the inspector, glancing at his watch. “I’ve a cab at the door, and it won’t take us twenty minutes to Victoria. But about this picture: I thought you told me once, Mr. Holmes, that you had never met Professor Moriarty.”"
"“是的，我从来没有见过他。 ”","“No, I never have.”"
"“那您怎么会知道他房间里的情形呢？”","“Then how do you know about his rooms?”"
"“这个嘛，当然是另外一回事情。我到他家里去过三次，前两次都是找了不同的借口去等着见他，然后又赶在他出现之前溜之大吉。最后一次，呃，这一次可不太方便告诉一位警方的探员。就是这一次，我冒昧地浏览了一下他的文件，结果就有了一个极其惊人的发现。”","“Ah, that’s another matter. I have been three times in his rooms, twice waiting for him under different pretexts and leaving before he came. Once—well, I can hardly tell about the once to an official detective. It was on the last occasion that I took the liberty of running over his papers—with the most unexpected results.”"
"“您发现他的罪证了吗？”","“You found something compromising?”"
"“什么也没发现，惊人就惊人在这个地方。不过，眼下你已经看到了那幅画的意义，意义就是他这个人十分富有。他的财富是怎么来的呢？他没有结婚，弟弟不过是英格兰西部的一个火车站站长[^4]，自己的教席也只能带来一年七百镑的收入，可他竟然拥有一幅格勒兹的作品。”","“Absolutely nothing. That was what amazed me. However, you have now seen the point of the picture. It shows him to be a very wealthy man. How did he acquire wealth? He is unmarried. His younger brother is a station master in the west of England. His chair is worth seven hundred a year. And he owns a Greuze.”"
"“怎样呢？”","“Well?”"
"“其中的含意只能说是一目了然。”","“Surely the inference is plain.”"
"“您是说他拥有非法取得的巨额收入，是吗？”","“You mean that he has a great income and that he must earn it in an illegal fashion?”"
"“一点儿不错。当然喽，我这个判断还有其他的依据——那个毒物一动不动地潜伏在网子的中央，几十条若有若无的纤细丝线把我引到了那里。我只跟你提到了格勒兹的画，不过是因为你亲眼看见过那件东西而已。”","“Exactly. Of course I have other reasons for thinking so— dozens of exiguous threads which lead vaguely up towards the centre of the web where the poisonous, motionless creature is lurking. I only mention the Greuze because it brings the matter within the range of your own observation.”"
"“是这样，福尔摩斯先生，我承认您说的这些都很有趣，岂止是有趣而已，应该说是非常精彩。不过，如果可以的话，您最好再说得明白一点儿。他的钱具体是怎么来的，是伪造纸钞、私铸硬币，还是入室抢劫呢？”","“Well, Mr. Holmes, I admit that what you say is interesting: it’s more than interesting—it’s just wonderful. But let us have it a little clearer if you can. Is it forgery, coining, burglary—where does the money come from?”"
"“你读过乔纳森·怀尔德的事迹吗？”","“Have you ever read of Jonathan Wild?”"
"“呃，名字听着倒挺熟的。他是小说里的人物，对吗？小说里的侦探我可不怎么感冒，那些家伙从来都不肯让人看到他们的办案手法。他们办案凭的是一时的灵感，并不是踏踏实实的工作。”","“Well, the name has a familiar sound. Someone in a novel, was he not? I don’t take much stock of detectives in novels— chaps that do things and never let you see how they do them. That’s just inspiration: not business.”"
"“乔纳森·怀尔德并不是侦探，也没有在小说里出现过。此人是上世纪的一个罪魁，生活在一七五○年左右。[^5]”","“Jonathan Wild wasn’t a detective, and he wasn’t in a novel. He was a master criminal, and he lived last century—1750 or thereabouts.”"
"“这么说的话，他对我就没有什么用处，我可是讲求实效的。 ”","“Then he’s no use to me. I’m a practical man.”"
"“麦克先生，你这辈子能做的最有实效的事情就是闭门谢客，踏踏实实地待上三个月，每天花十二个钟头的时间来阅读过往的犯罪记录。所有的事情都会循环出现，就连莫里亚蒂教授这样的人物也是如此。乔纳森·怀尔德是伦敦罪犯的幕后主使，他为他们出谋划策、提供人手，回报则是百分之十五的赃物。时间的轮子周而复始，转下去的辐条还会转上来。所有的事情都有先例，将来也会再次发生。我这就给你讲一两件莫里亚蒂的事情，兴许能引起你的兴趣。”","“Mr. Mac, the most practical thing that you ever did in your life would be to shut yourself up for three months and read twelve hours a day at the annals of crime. Everything comes in circles—even Professor Moriarty. Jonathan Wild was the hidden force of the London criminals, to whom he sold his brains and his organization on a fifteen per cent commission. The old wheel turns, and the same spoke comes up. It’s all been done before, and will be again. I’ll tell you one or two things about Moriarty which may interest you.”"
"“这些事情当然能引起我的兴趣，错不了。 ”","“You’ll interest me, right enough.”"
"“他那根链条，一端是这个走上邪路的拿破仑，另一端是由上百名打手、窃贼、勒索犯、牌桌骗子组成的乌合之众，中间则是应有尽有的罪行，而我碰巧知道，谁才是那根链条当中的第一个环节。他的参谋长是塞巴斯蒂安·莫兰上校，那家伙跟他本人一样置身事外、一样戒备森严、一样让法律鞭长莫及。你知道他给上校多少钱吗？”","“I happen to know who is the first link in his chain—a chain with this Napoleon gone-wrong at one end, and a hundred broken fighting men, pickpockets, blackmailers, and card sharpers at the other, with every sort of crime in between. His chief of staff is Colonel Sebastian Moran, as aloof and guarded and inaccessible to the law as himself. What do you think he pays him?”"
"“我很想听一听。”","“I’d like to hear.”"
"“一年六千镑。你看到了吧，这就叫做‘把钱花在脑瓜子上’，用的是美国人的商业准则。完全是机缘巧合，我才了解到了这个细节。这可比首相的薪水还要高啊。听了这一点，你应该对莫里亚蒂的收入和生意规模有点儿概念了吧。还有一点，最近这段时间，我专门下了一点儿工夫，查到了莫里亚蒂使用的一些支票——不过是他用来支付家庭开销的支票而已，普普通通、合理合法，但却是从六家不同的银行开出来的。这件事情，你觉不觉得蹊跷呢？”","“Six thousand a year. That’s paying for brains, you see—the American business principle. I learned that detail quite by chance. It’s more than the Prime Minister gets. That gives you an idea of Moriarty’s gains and of the scale on which he works. Another point: I made it my business to hunt down some of Moriarty’s checks lately—just common innocent checks that he pays his household bills with. They were drawn on six different banks. Does that make any impression on your mind?”"
"“怪啊，确实是怪！不过，您的结论又是什么呢？”","“Queer, certainly! But what do you gather from it?”"
"“结论是他不希望别人对他的财富说三道四，不想让任何人知道他到底有多少钱。我敢肯定他拥有二十个银行账户，十之八九，他大部分的财产都在国外，都在德意志银行和里昂信贷银行之类的地方。将来，等你有了一两年空闲时间的时候，我建议你好好地研究一下莫里亚蒂教授。”","“That he wanted no gossip about his wealth. No single man should know what he had. I have no doubt that he has twenty banking accounts; the bulk of his fortune abroad in the Deutsche Bank or the Crédit Lyonnais as likely as not. Sometime when you have a year or two to spare I commend to you the study of Professor Moriarty.”"
"对话过程之中，麦克唐纳督察表现得越来越感兴趣，最后就听得入了迷。到这会儿，他那颗讲求实效的苏格兰脑袋“啪”的一声转了个方向，回到了手头的案子上。","Inspector MacDonald had grown steadily more impressed as the conversation proceeded. He had lost himself in his interest. Now his practical Scotch intelligence brought him back with a snap to the matter in hand."
"“不管怎么样，教授的事情可以以后再说，”他说道。“福尔摩斯先生，您这些趣事轶闻已经让咱们偏离了主题。您说了这么多，真正的要害不过是那位教授跟这次的罪行脱不了干系，而您之所以这么说，是因为波洛克这个家伙给您发来了警讯。就眼下的实际需要而言，咱们还能有什么进一步的结论吗？”","“He can keep, anyhow,” said he. “You’ve got us side-tracked with your interesting anecdotes, Mr. Holmes. What really counts is your remark that there is some connection between the professor and the crime. That you get from the warning received through the man Porlock. Can we for our present practical needs get any further than that?”"
"“咱们可以由此推测这起罪案的动机。从你最初的描述来看，这是一起无法解释、至少是尚未得到解释的谋杀案。好了，假设罪行的源头确实符合咱们的推测，犯罪动机就有两种解释。首先我得告诉你，莫里亚蒂对他的党羽实施的是一种铁腕统治。他的戒条十分恐怖，处罚则只有一种，那就是死刑。那么，咱们不妨假定这个死者——也就是这个道格拉斯，他的临头厄运已经传到了魔头帐下一名爪牙的耳朵里——是莫里亚蒂的爪牙，而且以某种方式背叛了自己的首领。处罚随之而来，而且要让所有人知道，目的嘛，兴许只是为了让其他的爪牙看到死亡的恐怖。”","“We may form some conception as to the motives of the crime. It is, as I gather from your original remarks, an inexplicable, or at least an unexplained, murder. Now, presuming that the source of the crime is as we suspect it to be, there might be two different motives. In the first place, I may tell you that Moriarty rules with a rod of iron over his people. His discipline is tremendous. There is only one punishment in his code. It is death. Now we might suppose that this murdered man—this Douglas whose approaching fate was known by one of the arch-criminal’s subordinates—had in some way betrayed the chief. His punishment followed, and would be known to all—if only to put the fear of death into them.”"
"“呃，您只说了一种解释，福尔摩斯先生。”","“Well, that is one suggestion, Mr. Holmes.”"
"“另一种解释就是，这起罪行虽然出自莫里亚蒂的策划，但却只是他日常生意当中的一件。现场有抢劫的迹象吗？”","“The other is that it has been engineered by Moriarty in the ordinary course of business. Was there any robbery?”"
"“这我还没听说。”","“I have not heard.”"
"“当然喽，如果有抢劫迹象的话，第二种解释就比第一种更显得符合情理。那样的话，莫里亚蒂既可能是按照某种分赃协议策划了这起罪案，也可能是预先收到了足够的策划费用。两种情形都有可能。不过，具体是哪一种情形，会不会有第三种情形，咱们只能到伯尔斯通去找答案。我可是非常了解咱们的这个对手，绝不指望他会在伦敦这边留下什么可以追到他头上的线索。”","“If so, it would, of course, be against the first hypothesis and in favour of the second. Moriarty may have been engaged to engineer it on a promise of part spoils, or he may have been paid so much down to manage it. Either is possible. But whichever it may be, or if it is some third combination, it is down at Birlstone that we must seek the solution. I know our man too well to suppose that he has left anything up here which may lead us to him.”"
"“那好，咱们赶紧去伯尔斯通吧！”麦克唐纳嚷了一声，从椅子上一跃而起。“天哪！没想到这么晚了，先生们，我只能给你们五分钟的准备时间，再多就没有啦。”","“Then to Birlstone we must go!” cried MacDonald, jumping from his chair. “My word! it’s later than I thought. I can give you, gentlemen, five minutes for preparation, and that is all.”"
"“这对我俩来说都是绰绰有余，”福尔摩斯说道，跟着就跳起身来，急匆匆地脱下睡袍、换上大衣。“咱们上路之后，麦克先生，我得麻烦你给我讲讲全部的案情。”","“And ample for us both,” said Holmes, as he sprang up and hastened to change from his dressing gown to his coat. “While we are on our way, Mr. Mac, I will ask you to be good enough to tell me all about it.”"
"事实证明，“全部的案情”实在是少得让人大失所望，同时也足以让我们确信，眼前这件案子完全值得这位探案专家最密切的关注。他搓着瘦骨嶙峋的双手，容光焕发地倾听着那些寥寥无几却又非比寻常的案情细节。好多个星期百无聊赖的日子就此结束，我们终于迎来了一个配得上他那些非凡本领的目标。跟所有的特殊禀赋一样，如果没有用武之地，那些本领就会变成主人的烦恼。闲置不用的话，他剃刀一般锋锐的脑子就会变得麻木迟钝、锈迹斑斑。","“All about it” proved to be disappointingly little, and yet there was enough to assure us that the case before us might well be worthy of the expert’s closest attention. He brightened and rubbed his thin hands together as he listened to the meagre but remarkable details. A long series of sterile weeks lay behind us, and here at last there was a fitting object for those remarkable powers which, like all special gifts, become irksome to their owner when they are not in use. That razor brain blunted and rusted with inaction."
"听到了工作的召唤，歇洛克·福尔摩斯两眼发亮，苍白的双颊呈现出了一种更为温暖的色调，整张脸显得十分热切，洋溢着一种由内而外的光彩。他在出租马车的座位上欠身向前，专注地听麦克唐纳概述在萨塞克斯[^6]等待我们的那个难题。据督察自己的解释，他对案情也是所知有限，还得参考别人通过当天清早的牛奶列车[^7]送来的一份潦草记录。麦克唐纳跟萨塞克斯探员怀特·梅森私交不错，这样一来，在当地警方需要苏格兰场协助的时候，他收到消息的速度要比正常的官方渠道快得多。正常情形之下，首都警局的专家得在案发许久之后才能收到请求协助的公函。这一次，他念给我们听的那封信是这么写的：","Sherlock Holmes’s eyes glistened, his pale cheeks took a warmer hue, and his whole eager face shone with an inward light when the call for work reached him. Leaning forward in the cab, he listened intently to MacDonald’s short sketch of the problem which awaited us in Sussex. The inspector was himself dependent, as he explained to us, upon a scribbled account forwarded to him by the milk train in the early hours of the morning. White Mason, the local officer, was a personal friend, and hence MacDonald had been notified much more promptly than is usual at Scotland Yard when provincials need their assistance. It is a very cold scent upon which the Metropolitan expert is generally asked to run."
"> 亲爱的麦克唐纳督察：","> Dear InsPector MacDonalD [said the letter which he read to us]:"
"> 请求贵局协助的正式公文另见专函，这封信仅供你私人过目。请电告你坐早晨的哪班火车前来伯尔斯通，我会到车站去接你——或者派人去接你，如果我脱不开身的话。这可是一件了不得的大案子。你赶紧动身吧，一秒钟也别耽搁。你要能把福尔摩斯先生带来的话，麻烦你务必这么办，这案子肯定能对上他的胃口。要不是死者摆在现场的话，我们简直会觉得整件事情是一场刻意追求轰动效果的舞台剧呢。相信我！这真的是一件了不得的大案子。","> Official requisition for your services is in separate envelope. This is for your private eye. Wire me what train in the morning you can get for Birlstone, and I will meet it—or have it met if I am too occupied. This case is a snorter. Don’t waste a moment in getting started. If you can bring Mr. Holmes, please do so; for he will find something after his own heart. We would think the whole thing had been fixed up for theatrical effect if there wasn’t a dead man in the middle of it. My word! it *is* a snorter."
"“看样子，你这位朋友一点儿也不傻嘛，”福尔摩斯如是评论。","“Your friend seems to be no fool,” remarked Holmes. "
"“不傻，先生，如果我还算有点儿眼光的话，怀特·梅森可是个非常机灵的家伙。”","“No, sir, White Mason is a very live man, if I am any judge.”"
"“好吧，你还知道别的什么情况吗？”","“Well, have you anything more?” "
"“我只知道，咱们跟他见上面的时候，他就会把所有的细节告诉咱们。”","“Only that he will give us every detail when we meet.” "
"“那你怎么知道死者是道格拉斯先生，又怎么知道这是一起惨无人道的谋杀呢？”","“Then how did you get at Mr. Douglas and the fact that he had been horribly murdered?”"
"“这是专函里的正式报告上说的。报告里倒没有‘惨无人道’这个字眼儿，因为这不是一个普遍通行的官方术语。报告给出了约翰·道格拉斯这个名字，说了他伤在头部，凶器是一把霰弹枪，还说了报案的时间是昨天夜里将近十二点。报告里又说，这案子毫无疑问是一起谋杀，目前还没有拘捕任何嫌犯，案子当中有一些非常让人迷惑的离奇细节。目前我们只知道这些，再没有别的了，福尔摩斯先生。”","“That was in the inclosed official report. It didn’t say ‘horrible’: that’s not a recognized official term. It gave the name John Douglas. It mentioned that his injuries had been in the head, from the discharge of a shotgun. It also mentioned the hour of the alarm, which was close on to midnight last night. It added that the case was undoubtedly one of murder, but that no arrest had been made, and that the case was one which presented some very perplexing and extraordinary features. That’s absolutely all we have at present, Mr. Holmes.”"
"“既然如此，麦克先生，你不反对的话，咱们的讨论不妨到此为止。资料不够的时候，咱们可不能急急忙忙地拿出假设，这是咱们这一行的大忌。到目前为止，我能确定的只有两样东西，一样是待在伦敦的一颗聪明脑袋，另一样是躺在萨塞克斯的一名死者。两样东西之间的因果链条，便是咱们此行的追查目标。”","“Then, with your permission, we will leave it at that, Mr. Mac. The temptation to form premature theories upon insufficient data is the bane of our profession. I can see only two things for certain at present—a great brain in London, and a dead man in Sussex. It’s the chain between that we are going to trace.”"
"伯尔斯通惨剧","The Tragedy of Birlstone"
"故事讲到这里，我得向读者诸君告个假，暂时让我自己饰演的卑微角色从情节当中消失，转而叙述我们到达凶案现场之前的种种事件，叙述的依据则是我们后来才了解到的一些情况。只有通过这种办法，我才能让读者们看清涉入此案的各个人物，看清决定他们命运的那个离奇背景。","Now for a moment I will ask leave to remove my own insignificant personality and to describe events which occurred before we arrived upon the scene by the light of knowledge which came to us afterwards. Only in this way can I make the reader appreciate the people concerned and the strange setting in which their fate was cast."
"伯尔斯通是萨塞克斯郡北端一个历史悠久的小小村落，村里只有一些砖木结构的农舍。它一成不变地度过了几百年的岁月，前些年才凭借如画的风景和优越的地理位置引来了不少富裕的住户，村子周围的林地之中也才有了这些住户建起的一座座别墅。广袤的“大林地”[^1]向着北部的白垩山丘延伸，越是往北，林木越是稀疏。按照当地人的看法，伯尔斯通的林地正是“大林地”最靠北的边缘部分。人口增多之后，各式各样的小商铺应运而生，由此看来，伯尔斯通很快就会从一个古老的村落演变成一个现代化的城镇。伯尔斯通是周围一大片乡区的神经中枢，原因在于，离它最近的重要城镇也得到十至十二英里之外的地方去找，那个城镇就是它东边的坦布里奇韦尔斯，已经进入了肯特郡的地界[^2]。","The village of Birlstone is a small and very ancient cluster of half-timbered cottages on the northern border of the county of Sussex. For centuries it had remained unchanged; but within the last few years its picturesque appearance and situation have attracted a number of well-to-do residents, whose villas peep out from the woods around. These woods are locally supposed to be the extreme fringe of the great Weald forest, which thins away until it reaches the northern chalk downs. A number of small shops have come into being to meet the wants of the increased populat ion; so there seems some prospect that Birlstone may soon grow from an ancient village into a modern town. It is the centre for a considerable area of country, since Tunbridge Wells, the nearest place of importance, is ten or twelve miles to the eastward, over the borders of Kent."
"离村子半英里左右的地方有一片以巨型山毛榉树闻名的古老庭园，庭园之中矗立着源远流长的伯尔斯通宅邸。这座气度端严的建筑有一部分可以追溯到第一次十字军东征时期，那时候，“红王”将这片土地赏给了雨果·德·卡皮，后者就在土地的中央建起了一座城堡。卡皮的城堡在1543 年付之一炬，到了詹姆斯一世时代，有人又在这座封建城堡的废墟之上建起了一座砖砌的乡间宅邸，还把那些熏得黢黑的基石用了起来。[^3]","About half a mile from the town, standing in an old park famous for its huge beech trees, is the ancient Manor House of Birlstone. Part of this venerable building dates back to the time of the first crusade, when Hugo de Capus built a fortalice in the centre of the estate, which had been granted to him by the Red King. This was destroyed by fire in 1543, and some of its smoke-blackened corner stones were used when, in Jacobean times, a brick country house rose upon the ruins of the feudal castle."
"山墙林立的宅子装的是菱形窗格的小玻璃窗，很大程度上还保留着十七世纪早期刚刚落成时的模样。宅子周围有两圈城壕，曾经为宅子那个更为军事化的前身提供了屏障。外面的一圈已经自然干涸，眼下扮演的是菜园子这个卑微平凡的角色。里面的一圈则依然存在，包围着整座宅子，深度虽然已经下降到了区区几英尺，宽度却足足有四十英尺。城壕里的水来自一条穿壕而过的小河，虽然说混浊不堪，但却与普通的沟中死水绝不相同，并不会危及健康。宅子底楼的窗子离水面还不到一英尺。","The Manor House, with its many gables and its small diamond paned windows, was still much as the builder had left it in the early seventeenth century. Of the double moats which had guarded its more warlike predecessor, the outer had been allowed to dry up, and served the humble function of a kitchen garden. The inner one was still there, and lay forty feet in breadth, though now only a few feet in depth, round the whole house. A small stream fed it and continued beyond it, so that the sheet of water, though turbid, was never ditchlike or unhealthy. The ground floor windows were within a foot of the surface of the water."
"进入宅子的唯一一条通道是一座吊桥，吊桥的铁链和绞盘早就已经锈蚀断裂。不过，宅邸的新主人已经凭着惯有的干劲把吊桥修复如初，到眼下，吊桥不光是拉得起来，每天晚上也实实在在地拉了起来，要到第二天早上才会放下去。这一来，宅子又恢复了封建时代的旧貌，一到晚上就会变成一座孤岛——这样的一个事实，对即将轰动全英的那件谜案造成了十分直接的影响。","The only approach to the house was over a drawbridge, the chains and windlass of which had long been rusted and broken. The latest tenants of the Manor House had, however, with characteristic energy, set this right, and the drawbridge was not only capable of being raised, but actually was raised every evening and lowered every morning. By thus renewing the custom of the old feudal days the Manor House was converted into an island during the night—a fact which had a very direct bearing upon the mystery which was soon to engage the attention of all England."
