"第一章 引言","CHAPTER ONE INTRODUCTION"
"有一些女人，这种辩解对她们来说毫无意义。*荣誉*可能仅仅是那些男人所谈论的愚蠢的事情之一罢了；是对违背""爱的法则""(这正是诗人要去做的)找到的一种口头上的借口，因而加重了他的错误。洛夫莱斯可以自倍地使用它，因为他的女人是一个保王党人，她已经像他一样认可了对荣誉的主张。他不需要""恨'她，不需要坚决反对她，因为他和她承认共同的法则。他们在这个问题上早已达成共识、互相理解。把她改变为荣誉的信徒这项工作不是现在一现在，他们面临抉择的时候一一要着手做的。当危及到一千比对荣誉的主张更加伟大的主张时，这种先前共识就更加必要了。危机来临时再告诉妻子或丈夫，母亲或朋友，你的爱一直有隐蔽的保留一一这种保留是""在上帝庇护下""或者""在更高的爱允许的范围内""，到那时就太晚了。他们早就应该受到警告，可以肯定的是，不是明确地而是通过千言万语中的暗示、通过对小事情的千百个决定中体现出来的原则而实现。的确，在这个问题上的真正的不一致应该尽早地让对方知道从而避免婚姻或友情的开始。不管哪一种最好的爱都不是盲目的。奥利弗·艾尔顿，在谈到卡莱尔和穆勒时，说他们对正义有不同的理解，还说这样一个分歧对""任何对得起友谊这个称呼的友谊""当然都是致命的。如果""一切""一一名副其实的一切一一""都是为了爱""而在被爱者的态度中是隐含的，那么他或她的爱就不值得拥有。它不是以一种正确的方式与上帝之爱联系起来的。","There are women to whom the plea would be meaningless. *Honour* would be just one of those silly things that Men talk about; a verbal excuse for， therefore an aggravation of，the offence against ""love's law"" which the poet is about to commit. Lovelace can use it with confidence because his lady is a Cavalier lady who already admits，as he does，the claims of Honour. He does not need to ""hate"" her, to set his face against her，for he and she acknowledge the same law. They have agreed and understood each other on this matter long before. The task of converting her to a belief in Honour is not now-now，when the decision is upon them-to be undertaken. It is this prior agreement which is so necessarγ when a far greater claim than that of Honour is at atake. It is too late，when the crisis comes，to begin telling a wife or husband or mother or friend，that your love all along had a secret reservation — ""under God"" or ""so far as a higher Love permits."" They ought to have been warned; not，to be sure，explicitly，but by the implication of a thousand talks，by the principle revealed in a hundred decisions upon small matters. Indeed，a real disagreement on this issue should make itself felt early enough to prevent a marriage or a Friendship from existing at all. The best love of either sort is not blind. Oliver Elton， speaking of Carlyle and Mill, said that they differed about justice，and that such a difference was naturally fatal ""to any friendship worthy of the name."" If""All"" — quite seriously all-""for love"" is implicit in the Beloved's attitude，his or her love is not worth having. It is not related in the right way to Love Himself."
"这把我带到了这本书必须要努力攀爬的最后一个陡峭的山坡的脚下。我们必须试着把被称为""爱""的人类活动与上帝的爱联系起来，而且要比我们以前做过的稍许更加准确。这种准确度，当然，只能是一种模式，或一个象征，从长久看肯定会使我们失望，即使我们使用它，也需要其他模式来修正它。我们中最谦逊的人，处于恩典之中，能够具有对上帝之爱的某种""由熟悉而得的认识""(相知)，某种""感悟""，但是即使人在最庄严、最聪明时，他也没有直接的、关于最终存在的""有关的知识"" (知道)一一知道的仅仅是类比而已。我们无法看到光，尽管通过光我们能看见东西。关于上帝的观点是从我们对其他事物的认识中推断的结果，对其他事物的认识是通过神的启发才得到的。我之所以详尽地阐释贬低对上帝的认识是因为，在接下来的部分里，我想要表达清楚的努力(而且不是令人无法忍受的冗长)，或许会暗示出一种我绝不会觉察到的信心。我应该是疯了，如果我有这种自信的话。你就把它当成是一个人的幻想，几乎是一个人的神话。如果其中的任何东西是对你们有用的，那就利用它吧，如果没有任何东西有用，那就决不要再考虑它了。","And this brings me to the foot of the last steep ascent this book must try to make. We must try to relate the human activities called ""loves"" to that Love which is God a little more precisely than we have yet done. The precision can，of course，be only that of a model or a symbol， certain to fail us in the long run and，even while we use it，requiring correction from other models. The humblest of us，in a state of Grace， can have some ""knowledge-by-acquaintance"" (conmaître)，some ""tasting""， of Love Himself; but man even at his highest sanctity and intelligence has no direct ""knowledge about"" (savoir) the ultimate Being-only analogies. We cannot see light ，though by light we can see things. Statements about God are extrapolations from the knowledge of other things which the divine illumination enables us to know. I labour these deprecations because，in what follows，my efforts to be clear (and not intolerably lengthy) may suggest a confidence which I by no means feel. I should be mad if I did. Take it as one man's reverie，almost one man's myth. If anything in it is useful to you，use it; if anything is not，never give it a second thought."
"上帝是爱。再者，""不是我们爱神，乃是神爱我们，这就是爱了""(《约翰一书》4:10)。我们决不能以神秘论开始，不能以万物对上帝的爱开始，也不能以有些人在他们的俗世生活中对上帝赐予的果实的美妙预尝开始。我们以爱作为神圣的力量来开始，这是真正的开端。这种原始的爱是赠予之爱。在上帝身上，没有饥饿需要填补，有的仅仅是渴望给予的丰饶。上帝没有必费创造教条，但它不仅仅是枯燥的学究的推测。它是必不可少的。没有它，我们就几乎不可能避开我只能称之为""管理的""上帝的概念，他的功能或本质是要""管理""宇宙，他对于宇宙，就像校长对于学校或者旅馆经营者对于旅馆一样。但是统治字窗对上帝来说不是什么大事。在上帝那里，在""三位一体的领地上""的家中，他是一个更大的领地的君主。我们必须永远在我们的眼前保持朱利安女士的幻象，在那幻境里，上帝手中拿着一个像是坚果的小东西，而那个坚果就是""被创造的一切""。上帝什么也不需要，却希望全部多余的东西存在，以便他可以爱并且完善它们。上帝创造了字窗，已经预见到一一或者我们应该说""看到""呢?在主帝那里没有时态一一在十字架周围的苍蝇发出嗡嗡的响声，剥去皮的背部紧贴在不平的木桩上，钉子穿过中枢神经，身体下垂时反复出现的初始的窒息，背上和手臂上的痛苦一再重复，因为为了呼吸要不停起身。如果我可以用生物学的形象打比方，我想说，上帝是故意创造出他自己的寄生虫的""主人""；他让我们成为这样的：我们可以利用他并""从他处获利""。这就是爱。这就是上帝之爱的图解，他是所有爱的创造者。","God is love. Again，""Herein is love，not that we loved God but that He loved us"" (I *John* IV，10) . We must not begin with mysticism，with the creature's love for  God，or with the wonderful foretastes of the fruition of God vouchsafed to some in their earthly life. We begin at the real beginning，with love as the Divine energy. This primal love is Gift-love. In God there is no hunger that needs to be filled，only plenteousness that desires to give. The doctrine that God was under no necessity to create is not a piece of dry scholastic speculation. It is essential. Without it we can hardly avoid the conception of what I can only call a ""managerial""God; a Being whose function or nature is to ""run"" the universe，who stands to it as a head-master to a school or a hotelier to a hotel. But to be sovereign of the universe is no great matter to God. In Himself，at home in ""the land of the Trinity""，he is Sovereign of a far greater realm. We must keep  always before our eyes that vision of Lady Julian's in which God carried in His hand a little object like a nut，and that nut was ""all that is made."" God，who needs nothing，loves into existence wholly superfluous creatures in order that He may love and perfect them. He creatures the universe，already foreseeing — or should we say ""seeing""? there are no tenses in God-the buzzing cloud of flies about the cross, the flayed back pressed against the uneven stake，the nails driven through the mesial nerves，the repeated incipient suffocation as the body droops，the repeated torture of back and arms as it is time after time，for breath's sake，hitched up. If I may dare the biological image，God is a ""host"" who deliberately creates His own parasites; causes us to be that we may exploit and ""take advantage of"" Him. Herein is love. This is the diagram of Love Himself，the inventor of all loves."
"上帝，作为我们天性的创造者，在我们身上灌输了赠予之爱和需求之爱。赠予之爱是上帝自身天生的形象；是通过相似性而获得向上帝的接近，这些相似性不一定必然在所有人中都是趋向上帝的接近。全心付出的母亲，仁蓝的统治者或者老师，可以不断地给予，不断地展示出与上帝的相似性，然而却没有在趋向上接近上帝。需求之爱，就我能够看到的，与上帝所代表的爱没有一点相似之处。他们是相互关联、相互对立的；当然，不是像邪恶是善良的对立物那样，而是像牛奶冻的形状是模具渺陡的对立物一样。","God，as Creator of nature，implants in us both Gift-loves and Need­-loves. The Gift-loves are natural images of Himse1f; proximities to Him by resemblance which are not necessarily and in all men proximities of approach. A devoted mother，a beneficent ruler or teacher，may give and give，continually exhibiting the likeness，without making the approach. The Need-loves ，so far as 1 have been able to see，have no resemblance to the Love which God is. They are rather correlatives，opposites; not as evil is the opposite of good，of course，but as the form of the blancmange is an opposite to the form of the mould."
"但是除了这些自然的爱之外，上帝能够赠予一份更好的礼物；确切地说，由于我们的思想必须要分开和归类，那么就可以说是两个礼物。","But in addition to these natural loves God can bestow a far better gift; or rather，since our minds must divide and pigeon-hole，two gifts. "
"上帝给人一份自己的赠予之爱。这与上帝早已根植于人的本性中的赠予之爱是不同的。这些本性中的赠予之爱绝不会仅仅为了对象自身的利益而为被量对象谋求好处。他们倾向于他们自己能够给予的好处，或者是那些他们自己最想要的好处，或者偏爱那些其生活符合他们的预先规划的被爱对象。但神圣的赠予之爱一一在人身上起作用的上帝之爱一一对这些完全不感兴趣，它只渴望那些对所爱之物最有用的东西。再者，自然的赠予之爱永远是关注一些物体，喜欢的人觉得这些物体从某种方式上讲本身就非常可爱一一那些物体吸引他的地方是慈爱、情爱或一个共同的看法，或者如果这些地方不吸引他，就会吸引感恩的人和应受奖赏的人，或许还会吸引到那些无助的人，他们引人注意，赢得同情。但是在人身上的上帝的赠予之爱可以让他爱本来不可爱的人:麻风病人、罪犯、敌人、蠢人、坏脾气的人、自命不凡的人、嘲笑别人的人。最后，通过复杂的自相矛盾，上帝使得人拥有一种对上帝的赠予之爱。当然，认为没有人可以给上帝任何不是主帝已经有了的东西是有一定道理的，而如果它早已是上帝的，那么你给了他什么呢?但是既然我们已经很明显能够从上帝那里保留我们自己，保留我们的意志和心灵，从那种意义上讲，我们也能够献出这些。原本属于上帝的东西，如果不再属于他，就不会再存在(就像歌曲是属于歌唱家的)。虽然如此，上帝也已经通过这样一个方式创造了我们的东西，以至于我们能够自由地把它献回给上帝。""为了使他们成为你的，我们的意志是我们的。""正如所有的基督徒都知道的，仍有另一种献给上帝的方式F我们给饭吃或者给衣服穿的每个陌生人都是基督。很明显的，无论我们知道与否，这就是对上帝的赠予之爱.上帝之爱能够在那些对上帝一无所知的人们身上起作用。在寓言中的""绵羊""，对隐藏在那些他们曾访问过的囚犯中的上帝或者对他们访问时隐藏在他们自身当中的上帝都一无所知。(我把整个寓言当作是对异教徒的审判。因为在希腊语中它开始说的是，上帝将会召集""万民""来到他的面前一一大概是那些异邦人，即那些*外邦人*。)","He communicates to men a share of His own Gift-love. This is different from the Gift-loves He has built into their nature. These never quite seek simply the good of the loved object for the object's own sake. They are biased in favour of those goods they can themselves bestow， or those which they would like best themselves，or those which fit in with a pre-conceived picture of the life they want the object to lead. But Divine Gift-love-Love Himself working in a man-is wholly disinterested and desires what is simply best for the beloved. Again， natural Gift-love is always directed to objects which the lover finds in some way intrinsically lovable-objects to which Affection or Eros or a shared point of view attracts him，or，failing that，to the grateful and the deserving，or perhaps to those whose helplessness is of a winning and appealing kind. But Divine Gift-love in the man enables him to love what is not naturally lovable; lepers，criminals，enemies，morons， the sulky，the superior and the sneering. Finally，by a high paradox，God enables men to have a Gift-love towards Himself. There is of course a sense in which no one can give to God anything which is not already His; and if it is already His what have you given? But since it is only too obvious that we can withhold ourselves，our wills and hearts，from God，we can，in that sense，also give them. What is His by right and would not exist for a moment if it ceased to be His (as the song is the singer's)，He has nevertheless made ours in such a way that we can freely offer it back to Him. ""Our wills are ours to make them Thine."" And as all Christians know there is another way of giving to God; every stranger whom we feed or clothe is Christ. And this apparently is Gift-love to God whether we know it or not. Love Himself can work in those who know nothing of Him. The ""sheep"" in the parable had no idea either of the God hidden in the prisoner whom they visited or of the God hidden in themselves when they made the visit. (I take the whole parable to be about the judgment of the heathen. For it begins by saying，in the Greek，that the Lord will summon all ""the nations"" before Him-presumably，the Gentiles，the *Goyim*.)"
"每个人都会同意，这种来自上帝恩典的赠予之爱应该被称作仁爱。但是我不得不加些东西，这些东西或许不会如此简单地得到认可。在我看来上帝给予了两份其他的礼物，一种是对上帝的超自然的需求之爱，另一种是对彼此的超自然的需求之爱。谈到第一种需求之爱，我不是指对上帝的欣赏之爱，即崇拜的礼物。对那个更高级的(实际上是最高级的)话题，我要说的非常少，将会在后面展开。我指的是这样一种爱，它不会梦想公正无私，那不过是无尽的贫穷.就像一条小河自己开凿了河道，就像一杯魔幻的酒，当被倒出来时，它同时创造了那个要盛洒的玻璃杯，上帝把我们对他的需要转化成了对他的需求之爱。更加奇怪的是上帝赋予我们一种超乎自然的对来自同伴的仁爱的接纳能力。需求是如此的接近贪婪而且我们已经如此贪婪以至于贪婪似乎是一种奇怪的美德。但是我不能从我脑海里去除这种想法:这就是所发生的事情。","That such a Gift-love comes by Grace and should be called Charity，everyone will agree. But I have to add something which will not perhaps be so easily admitted. God，as it seems to me，bestows two other gifts; a supernatural Need-love of Himself and a supernatural Need-love of one another. By the first I do not mean the Appreciative love of Himself，the gift of adoration. What little I have to say on that higher-that highest-subject will come later. I mean a love which does not dream of disinterestedness，a bottomless indigence. Like a river making its own channel，like a magic wine which in being poured out should simultaneously create the glass that was to hold it，God turns our need of Him into Need-love of Him. What is stranger still is that He creates in us a more than natural receptivity of Charity from our fellow-men. Need is so near greed and we are so greedy already that it seems a strange grace. But I cannot get it out of my head that this is what happens."
"让我们首先考虑这种上帝恩典赐予的这种超自然的需求之爱。当然恩典本身不会创造需求。需求已经在那里了；这由于我们是受造物的这一现实而成为""已知"" (正如数学家所言)的，也因为我们是堕落的受造物而无限地增加。恩典所给予的，是对这种需求的完全的承认、理智的认识、彻底的接受一一即使，带着某种保留，也是高兴的接受。因为没有了恩典，我们的愿望和需要是冲突的。","Let us consider first this supernatural Need-love of Himself，bestowed by Grace. Of course the Grace does not create the need. That is there already; ""given""(as the mathematicians say) in the mere fact of our being creatures，and incalculably increased by our being fallen creatures. What the Grace gives is the full recognition，the sensible awareness，the complete acceptance-even，with certain reservations， the glad acceptance-of this Need. For，without Grace，our wishes and our necessities are in conflict."
"基督徒在实践中所说一切表示自己不配的话，在外界看来就像一个馅媚者在暴君面前堕落的、虚假的卑躬屈膝一样，或者至多可以这么说，就像一个中国绅士在说自己""在下孤陋寡闻""时的自我贬低一样。然而事实上，他们表达出了持续更新的努力，因为持续是有必要的，他们试图打消对我们自己和对我们和上帝的关系的误解，即使当我们析祷时，本性也一直向我们灌输这些误解。一旦我们相信上帝爱我们，我们就会有一种冲动认为他是爱我们的，不是因为他是爱而是因为我们本来就是可爱的。异教徒不加掩饰地服从这种冲动，""众神很青睐'一个好人是因为他是好人。受过较好教育的我们，就会寻求托词。我们决不会认为我们拥有美德，而它们是上帝爱我们的原因。但是这样的话，我们是多么彻底地忏悔啊!正如班扬描绘他第一次假意阪依时所说：""我曾以为在英格兰没有人比我更能让上帝开心。""搞清这种看法，为了得到上帝的欣赏，我们下一步会献上自己的谦卑。上帝一定会喜欢*那样*吗?或者如果喜欢的不是那样，就是我们聪明而且谦逊地承认我们仍然缺少谦卑。因此，一层更比一层深，微妙、中带着微妙，那里保留着一些对我们自己的、真正我们自己的经久不消的吸引力的想法。很容易承认，但几乎不可能长久地意识到的是，我们只是镜子，如果我们是明亮的，那我们的亮度则完全来自映照着我们的太阳。我们必定拥有很少一一尽管很少一一与生俱来的光辉吧?恐怕我们肯定不能*完全*的是那种受造物吧?","All those expressions of unworthiness which Christian practice puts into the believer's mouth seem to the outer world like the degraded and insincere grovellings of a sycophant before a tyrant，or at best a *façon de parler* like the self-depreciation of a Chinese gentleman when he calls himself ""this coarse and illiterate person.""In reality，however, they express the continually renewed，because continually renewed, because continually necessary, attempt to negate that misconception of ourselves and of our relation to God which nature，even while we pray，is always recommending to us. No sooner do we believe that God loves us than there is an impulse to believe that He does so，not because He is Love，but because we are intrinsically lovable. The Pagans obeyed this impulse unabashed; a good man was ""dear to the gods"" because he was good. We，being better taught，resort to subterfuge. Far be it from us to think that we have virtues for which God could love us. But then，how magnificently we have repented! As Bunyan says，describing his first and illusory conversion，""I thought there was no man in England that pleased God better than I."" Beaten out of this，we next offer our own humility to God's admiration. Surely He'll like *that*? Or if not that，our clear-sighted and humble recognition that we still lack humility. Thus，depth beneath depth and subtlety within subtlety，there remains some lingering idea of our own，our very own，attractiveness. It is easy to acknowledge，but almost impossible to realise for long，that we are mirrors whose brightness，if we are bright，is wholly derived from the sun that shines upon us. Surely we must have a little-however little--native luminosity? Surely we can't be *quite* creatures?"
"上帝的恩典使我们像孩童一般，愉悦地接受了自己的需求，为自己完全依靠上帝而欣喜，从而摆脱了那种混乱的、荒谬的、从不彻底承认自己匮乏的需求，甚至是需求之爱。我们变成了""快乐的乞丐气好人对使他的需求增加的罪恶感到愧疚。他对罪恶所产生的新的需求并不完全感到愧疚。而且他对受造物的条件下所固有的那种无窑的需求没有一点的愧疚。因为一直以来，这种自然依附于其上并将其作为最后的财富的幻觉，这种我们有属于我们自己的任何东西或者用我们自己的力量一时地保留上帝可能灌输到我们身上的任何善良的伪装，已经使我们不快乐。我们像是游泳的人，他们需要把两只脚一一或者一只一一或者一个脚趾头一一放在底部，如果失去了那个支撑点，就意味着他们不得不在海浪中糟糕地跌倒。与我们最后的对本来的自由、力量或价值的主张决裂所带来的结果是真正的自由、力量和价值，真正属于我们的，因为上帝将它们赐予了我们，并且因为我们知道它们不是(在另一种意义上)""我们的""。阿诺道斯已经摆脱了他的影子。","For this tangled absurdity of a Need，even a Need-love，which never fully acknowledges its own neediness，Grace substitutes a full，childlike and delighted acceptance of our Need，a joy in total dependence. We become ""jolly beggars."" The good man is sorry for the sins which have increased his Need. He is not entirely sorry for the fresh Need they have produced. And he is not sorry at all for the innocent Need that is inherent in his creaturely condition. For all the time this illusion to which nature clings as her last treasure，this pretence that we have anything of our own or could for one hour retain by our own strength any goodness that God may pour into us，has kept us from being happy. We have been like bathers who want to keep their feet-or one foot-or one toe-on the bottom，when to lose that foothold would be to surrender themselves to a glorious tumble in the surf. The consequences of parting with our last claim to intrinsic freedom，power，or worth，are real freedom，power and worth，really ours just because God gives them and because we know them to be (in another sense) not ""ours."" Anodos has got rid of his shadow."
"但是上帝也会改变我们相互的需求之爱，这需要平等的转变。事实上，我们所有人有时都需要，而有些人大多数时间内都需要来自他人的仁爱，这种仁爱是他们身上的上帝之爱，让他们去爱那些不可爱的人。但是，这虽然是我们需要的一种爱，却不是我们想要的那种爱。我们希望因为我们的聪明、美丽、慷慨、公正、有用而被爱。一旦意识到有人正在给我们最高的爱，这将是一个巨大的震撼。这已得到充分认可，以至于恶意的人会假装带着仁爱来爱我们，就是因为他们知道这会伤害到我们。对一个期待慈爱、友爱或情爱能够恢复的人说""作为一个基督徒，我原谅你了""，这仅仅是一个继续争吵的方式。那些这样说的人当然是在说谎。但是事情不会为了要伤害别人而被虚假地说出来，除非，如果这是真的，这种事也会伤害别人。","But God also transforms our Need-love for one another，and it requires equal transformation. In reality we all need at times ，some of us at most times，that Charity from others which，being Love Himself in them，loves the unlovable. But this，though a sort of love we need，is not the sort we want. We want to be loved for our cleverness，beauty，generosity，fairness，usefulness. The first hint that anyone is offering us the highest love of all is a terrible shock. This is so well recognised that spiteful people will pretend to be loving us with Charity precisely because they know that it will wound us. To say to one who expects a renewal of Affection，Friendship，or Eros，""I forgive you as a Christian"" is merely a way of continuing the quarrel.Those who say it are of course lying. But the thing would not be falsely said in order to wound unless，if it were true，it would be wounding."
"收到并且不断收到他人所给的那种不取决于我们自身吸引力的爱是多么的困难，这可以从一个极端的例子上看出来。假设你自己是一个新婚不久就染上了一种不愈之症的人，得了这种病又不会几年内就死去，你什么也干不了，身体虚弱，样子吓人，令人厌恶；你依靠妻子的收入生活，使你本希望去改善的地方变得贫穷；甚至智力上受到了损害，而且一阵阵不可控制地发脾气，总有不可避免的要求。假设你的妻子的关怀和怜悯是无穷无尽的。那个能够惬意地接受这些的男人，他能够没有任何怨恨地接受一切而不付出任何东西，他甚至能够回避那些令人讨厌的其实是要求爱抚和安慰的自我贬低，那么这个男人所做的事情是需求之爱仅在自然的条件下也不会获得的。(毫无疑问这样的妻子也将会做超出自然的赠予之爱的范围的事情，但是目前那还不是重点。)在这种情况下，接受比给予更困难，而且或许是比施予更受祝福的。但是这个极端的例子所说明的却是普遍的。我们都在接受仁爱。在我们每个人身上都有某种无法自然地被爱的东西。这绝不是谁的错，如果人们不那么爱宫的话。只有可爱的东西才能自然而然地被量。这倒不如让人们去喜欢变质面包的味道或者机械钻孔的声音，尽管这样，有了仁爱，我们就能被原谅、被怜悯、被爱，除此之外，别无他法。所有拥有好父母、好妻子、好丈夫或好儿女的人们，可以肯定的是，有时一一或许在某种独有的特性或习惯方面一直是一→也们正在接受仁爱，他们被爱，不是因为他们可爱，而是因为上帝之爱就在那些爱他们的人的身上。","How difficult it is to receive，and to go on receiving，from others a love that does not depend on our own attraction can be seen from an extreme case. Suppose yourself a man struck down shortly after marriage by an incurable disease which may not kill you for many years; useless，impotent，hideous，disgusting; dependent on your wife's earnings; impoverishing where you hoped to enrich; impaired even in intellect and shaken by gusts of uncontrollable temper，full of unavoidable demands. And suppose your wife's care and pity to be inexhaustible. The man who can take this sweetly，who can receive all and give nothing without resentment，who can abstain even from those tiresome self-depreciations which are really only a demand for petting and reassurance，is doing something which Need-love in its merely natural condition could not attain. (No doubt such a wife will also be doing something beyond the reach of a natural Gift-love，but that is not the point at present.) In such a case to receive is harder and perhaps more blessed than to give. But what the extreme example illustrates is universal. We are all receiving Charity. There is something in each of us that can not be naturally loved. It is no one's fault if they do not so love it. Only the lovable can be naturally loved. You might as well ask people to like the taste of rotten bread or the sound of a mechanical drill. We can be forgiven，and pitied，and loved in spite of it，with Charity; no other way. All who have good parents，wives，husbands，or children，may be sure that at some times-and perhaps at all times in respect of some one particular trait or habit-they are receiving Charity，are loved not because they are lovable but because Love Himself is in those who love them. "
"因此，被人类心灵所接纳的上帝，不仅改变赠予之爱，还改变需求之爱，不仅改变我们对上帝的需求之爱，还改变我们对彼此的需求之爱。这当然不是唯一可能发生的事情。上帝会降临，带着在我们看来是一个更加可怕的使命，而且要求自然之爱必须被完全放弃。一个崇高的但是可怕的使命，就像亚伯拉罕的使命一样，可能强迫一个人去抛弃他自己的人民和他父亲的家庭。情爱，当被指向了一个被禁止的对象时，可能也不得不牺牲。在这些情况下，这个过程虽然很难去忍受，却很容易理解。我们现在更容易忽视的是，即便当自然之爱被允许持续时，改变也 是必要的。","Thus God，admitted to the human heart，transforms not only Gift-love but Need-love; not only our Need-love of Him，but our Need-love of one another. This is of course not the only thing that can happen. He may come on what seems to us a more dreadful mission and demand that a natural love be totally renounced. A high and terrible vocation，like Abraham's，may constrain a man to turn his back on his own people and his father's house. Eros ，directed to a forbidden object，may have to be sacrificed. In such instances，the process，though hard to endure，is easy to understand. What we are more likely to overlook is the necessity for a transformation even when the natural love is allowed to continue."
"在这样的情况下，上帝的爱没有用自己采*取代*自然之爱一一就像是我们不得不丢掉银器为金器腾出空间一样。自然之爱被召唤起来变成仁爱的模式，同时仍然保持他们原本的自然之爱。","In such a case the Divine Love does not substitute itself for the natural­ as if we had to throw away our silver to make room for the gold. The natural loves are summoned to become modes of Charity while also remaining the natural loves they were."
"人们可以在这里立刻看到一种对化身本身的模仿，或者和韵，或者推论。这无需使我们吃惊，因为二者的开创者是相同的。正因为基督是完美的上帝和完美的人，自然之爱被呼唤变成完美的仁爱和完美的自然之爱。正如上帝变成人""不是把神性转化到人身上，而是把人性放到上帝身上""，这里的情况也一样，仁爱没有仅仅缩小成自然之爱，而是自然之爱融入到了上帝之爱中，被改造成为上帝之爱和谐的、顺从的工具。","One sees here at once a sort of echo or rhyme or corollary to the Incarnation itself. And this need not surprise us，for the Author of both is the same. As Christ is perfect God and perfect Man，the natural loves are called to become perfect Charity and also perfect natural loves. As God becomes Man ""Not by conversion of the Godhead into flesh，but by taking of the Manhood into God，""so here; Charity does not dwindle into merely natural love but natural love is taken up into，made the tuned and obedient instrument of，Love Himself."
"大多数基督徒都知道这如何能发生。自然之爱的所有的活动(除了罪恶之外)能够在一个有利的时刻变成高兴的、无羞耻的、感激的需求之爱的行为，或者是无私的、不唐突的赠予之爱的行为，这两者都是仁爱。没有什么东西太渺小或者太具兽性以至于不会被改变。一场游戏、一个笑话、一起唱杯酒、闲谈、一次散步、性行为一一所有这一切都能够成为我们在其中原谅或者接受原谅的模式，在那里我们安慰别人或者和别人和解，在那里我们""寻求的不是我们自己的气因此，在我们那些最本能、自然的欲望和娱乐中，爱已经为上帝本身准备了""一个肉身""。","How this can happen，most Christians know. All the activities (sins only excepted) of the natural loves can in a favoured hour become works of the glad and shameless and grateful Need-love or of the selfless，unofficious Gift-love，which are both Charity. Nothing is either too trivial or too animal to be thus transformed. A game，a joke，a drink together，idle chat，a walk，the act of Venus-all these can be modes in which we forgive or accept forgiveness，in which we console or are reconciled，in which we ""seek not our own."" Thus in our very instincts，appetites and recreations，Love has prepared for Himself ""a body."""
"但是我说的是""在一个有利的时刻内气时间转瞬即逝。从自然之爱到仁爱的完全的稳固的转变是一件如此困难的事情，以至于或许没有任何堕落的人类曾看见过这种完美的转变。不过，我认为爱必须这样改变的规律 是必然的。","But I said ""in a favoured hour."" Hours soon pass. The total and secure transformation of a natural love into a mode of Charity is a work so difficult that perhaps no fallen man has ever come within sight of doing it perfectly. Yet the law that loves must be so transformed is，I suppose，inexorable."
"这里的一个难题是，我们会像往常一样转错方向。一个基督徒一一一个过于在口头上表达的基督徒一一的圈子或家庭，抓住了这个原则，就可能用他们过分的举止，尤其用他们的语言显示自己已经实现了这点一一这个显示却是煞费苦心、繁琐、令人为难且无法忍受的。这样的人在公开场合和对待彼此时，把每一件琐事变成了明显具有精神上的重要性的事情(在一扇关闭的门后面，跪着对上帝说出来是另一回事)。他们总是多事地寻求别人的原谅或者令人无法忍受地去原谅别人。谁不愿意与那些普通人住在一起呢?这些普通人默默地克服他们的脾气(还有我们的)。吃一顿饭、睡一觉、或者一个玩笑就让一切和好如初了。我们所有的工作中，真正的原谅一定是最隐秘的。甚至连我们自己都不能发觉。我们的右手一定不能知道左手在干什么。我们还没有做得很隐秘，如果我们与孩子一起打扑克，""纯粹""是为了逗乐他们或者表明他们已经被原谅了。如果这是我们所能做的最好的，我们就应该这样做。但可能会更好的是，如果一个更深的、较无意的仁爱把我们投入一种心理框架中，在这种心理下与孩子们在一起的小小快乐便应该是我们在那一时刻最喜欢的事情。","One difficulty is that here，as usual，we can take a wrong turn. A Christian-a somewhat too vocally Christian-circle or family，having grasped this principle，can make a show，in their overt behaviour and especially in their words，of having achieved the thing itself-an elaborate，fussy，embarrassing and intolerable show. Such people make every trifle a matter of explicitly spiritual importance-out loud and to one another (to God，on their knees，behind a closed door, would be another matter). They are always unnecessarily asking，or insufferably offering，forgiveness. Who would not rather live with those ordinary people who get over their tantrums (and ours) unemphatically，letting a meal，a night's sleep，or a joke mend all? The real work must be，of all our works，the most secret. Even as far as possible secret from ourselves. Our right hand must not know what our left is doing. We have not got far enough if we play a game of cards with the children ""merely"" to amuse them or to show that they are forgiven. If this is the best we can do we are right to do it. But it would be better if a deeper，less conscious，Charity threw us into a frame of mind in which a little fun with the children was the thing we should at that moment like best."
