"焦油博士和羽毛教授的疗法","The System of Dr. Tarr and Prof. Fether"
"“哈！哈！哈！”那个绅士笑道——“嘻！嘻！嘻！——嘿！嘿！嘿！——嗬！嗬！嗬！——嗨！嗨！嗨！嗨！——真的非常可口！","“Ha! ha! ha!” said that gentleman—“he! he! he!—hi! hi! hi!—ho! ho! ho!—hu! hu! hu! hu!—very good indeed!"
"您千万别吃惊，我的朋友。我们这位朋友是个风趣的人——一个怪人——他的话您可不能按字面理解。”","You must not be astonished, mon ami; our friend here is a wit—a drole—you must not understand him to the letter.”"
"“还有呢，”人群中又有人说，“还有布封· 勒格朗，又一个与众不同、特立独行的人物。他因爱而精神错乱，认为自己长着两个脑袋。他非说其中一个是西塞罗（注：古罗马政治家、雄辩家、著作家）的，而另一个则是个合体，从额顶到嘴是德摩斯梯尼（注：古希腊辩论家）的，从嘴到下巴则是布鲁厄姆爵士（注：英国政治家）的。他显然是在胡说，但他会让你相信他所说的千真万确，因为他是个能言善辩之人。他对演讲有着狂热的激情和不可抑制的表现欲。例如，他那时常常跳上餐桌，就像这样，这样——这样——”","“And then,” said some other one of the party,—“then there was Bouffon Le Grand—another extraordinary personage in his way.He grew deranged through love, and fancied himself possessed of two heads.One of these he maintained to be the head of Cicero; the other he imagined a composite one, being Demosthenes’ from the top of the forehead to the mouth, and Lord Brougham’s from the mouth to the chin.It is not impossible that he was wrong; but he would have convinced you of his being in the right; for he was a man of great eloquence.He had an absolute passion for oratory, and could not refrain from display.For example, he used to leap upon the dinner-table thus, and—and—”"
"这时，他旁边的一位朋友把一只手搭在他的肩头，对他耳语了几句，他猛然止住话题，跌坐回了椅子上。","Here a friend, at the side of the speaker, put a hand upon his shoulder and whispered a few words in his ear, upon which he ceased talking with great suddenness, and sank back within his chair."
"“还有，”刚才低声耳语的那位朋友说，“还有布拉尔，那个陀螺。我叫他陀螺，事实上是因为他满脑子都是那个古怪有趣而又并非不合逻辑的奇想，认为自己被变成了一只陀螺。您要是看到他旋转的样子一定会乐得呵呵大笑的。他会一小时一小时地单脚旋转，就像这样——这样——”","“And then,” said the friend who had whispered, “there was Boullard, the tee-totum.I call him the tee-totum because, in fact, he was seized with the droll but not altogether irrational crotchet, that he had been converted into a tee-totum.You would have roared with laughter to see him spin.He would turn round upon one heel by the hour, in this manner—so—”"
"这时，刚才被他耳语打断的那位朋友，用同样的方式阻止了他。","Here the friend whom he had just interrupted by a whisper, performed an exactly similar office for himself."
"“可是，”一位老太太扯着嗓子喊道，“您的布拉尔先生是个疯子，充其量是个非常傻的疯子。请允许我问一句，有谁听说过人形陀螺？这事就是荒唐。茹瓦塞夫人就要更理性些，这您知道。她有一个怪念头，但那念头是一种合乎情理的本能，并且给每一个有幸与她结识的人都带来快乐。经过再三考虑，她发现自己被意外地变成了小公鸡，但是，作为小公鸡，她的行为举止中规中矩。她扇动翅膀的架势非常奇妙——就像这样——这样——而她打鸣的声音，也特别悦耳动听！喔喔—喔！——喔喔—喔！——喔喔—喔—喔—喔喔—喔—喔—喔！”","“But then,” cried the old lady, at the top of her voice, “your Monsieur Boullard was a madman, and a very silly madman at best; for who, allow me to ask you, ever heard of a human tee-totum?The thing is absurd.Madame Joyeuse was a more sensible person, as you know.She had a crotchet, but it was instinct with common sense, and gave pleasure to all who had the honor of her acquaintance.She found, upon mature deliberation, that, by some accident, she had been turned into a chicken-cock; but, as such, she behaved with propriety.She flapped her wings with prodigious effect—so—so—and, as for her crow, it was delicious!Cock-a-doodle-doo!—cock-a-doodle-doo!—cock-a-doodle-de-doo-dooo-do-o-o-o-o-o-o!”"
"“茹瓦塞夫人，请您注意自己的言行！” 这时，我们的主人非常生气地打断了她。","“Madame Joyeuse, I will thank you to behave yourself!” here interrupted our host, very  angrily. "
"“您要么像位夫人一样举止端庄，要么马上离开餐桌——您自己选择吧。”","“You can either conduct yourself as a lady should do, or you can quit the table forthwith—take your choice.”"
"听到主人叫她茹瓦塞夫人，我很是惊讶，她刚刚描述的女人就叫这个名字。而那位夫人满脸通红，似乎对这样的指责感到极度窘迫。她耷拉下脑袋，再没吭一声。但是另一个年轻点的女士接过了话题。她就是我在小接待室见到的那位美丽的姑娘。","The lady (whom I was much astonished to hear addressed as Madame Joyeuse, after the description of Madame Joyeuse she had just given) blushed up to the eyebrows, and seemed exceedingly abashed at the reproof.She hung down her head, and said not a syllable in reply.But another and younger lady resumed the theme.It was my beautiful girl of the little parlor."
"“噢，茹瓦塞夫人是个傻子！”她喊道，“不过，欧仁妮·萨尔萨菲特的看法，倒的确有很多合理的地方。她是个美丽迷人、非常谦逊的年轻女士。她认为普通的着装方式有伤风化，并且希望穿衣服时身子露在衣服外面，而不是裹在衣服里。这其实是件很容易做到的事。您只需要这样——然后这样——这样——这样——然后这样——这样——这样——然后这样——然后这样——”","“Oh, Madame Joyeuse was a fool!” she exclaimed, “but there was really much sound sense, after all, in the opinion of Eugenie Salsafette.She was a very beautiful and painfully modest young lady, who thought the ordinary mode of habiliment indecent, and wished to dress herself, always, by getting outside instead of inside of her clothes.It is a thing very easily done, after all.You have only to do so—and then so—so—so—and then so—so—so—and then so—so—and then—"
"“天啊！萨尔萨菲特小姐！”十几个声音同时喊道。“您想干什么？——停住！——够了！——我们看清怎么做了，非常清楚！——停下来！停下来！”几个人已经从座位上跳起来，阻止萨尔萨菲特小姐把自己脱成美第奇的维纳斯的模样。这时，城堡主楼的某个部分传来一阵阵震耳的惊叫或呼喊，这迅速、有效地制止了萨尔萨菲特小姐的行为。","“Mon dieu! Ma’m’selle Salsafette!” here cried a dozen voices at once.“What are you about?—forbear!—that is sufficient!—we see, very plainly, how it is done!—hold! hold!”and several persons were already leaping from their seats to withhold Ma’m’selle Salsafette from putting herself upon a par with the Medicean Venus, when the point was very effectually and suddenly accomplished by a series of loud screams, or yells, from some portion of the main body of the chateau."
"说真的，我的神经受到了这呼喊的强烈刺激；不过我真是可怜餐厅里的其他人。我一生中从未见过一群理性的人被吓得如此狼狈。他们的脸色全都变得煞白，像死尸一样，一个个蜷缩在座位上，吓得浑身发抖，语无伦次，等着那声音再次响起。叫喊声果然又出现了——比刚才更响亮也更近了——随之，第三次响声接踵而至，声震如雷，随后又传来了第四次，但力量明显减弱了。随着叫喊声的逐渐消失，这群人立即恢复了生气，又像刚才那样兴高采烈地谈论起奇闻轶事。这时，我冒昧地问起这阵骚动的原因。","My nerves were very much affected, indeed, by these yells; but the rest of the company I really pitied.I never saw any set of reasonable people so thoroughly frightened in my life.They all grew as pale as so many corpses, and, shrinking within their seats, sat quivering and gibbering with terror, and listening for a repetition of the sound.It came again—louder and seemingly nearer—and then a third time very loud, and then a fourth time with a vigor evidently diminished.At this apparent dying away of the noise, the spirits of the company were immediately regained, and all was life and anecdote as before.I now ventured to inquire the cause of the disturbance."
"“一个小插曲而已。”马亚尔先生回答道，“我们已经习以为常，很少在乎这种事情了。那些疯子们时不时会齐声嚎叫一番，一个人叫，其他人就应和成一片，就像有时候夜里一群狗突然狂吠一样。不过，有时在这种齐声嚎叫之后，病人们会协力挣脱监禁，那时，当然呢，恐怕就会有些小危险。”","“A mere bagtelle,” said Monsieur Maillard.“We are used to these things, and care really very little about them.The lunatics, every now and then, get up a howl in concert; one starting another, as is sometimes the case with a bevy of dogs at night.It occasionally happens, however, that the concerto yells are succeeded by a simultaneous effort at breaking loose, when, of course, some little danger is to be apprehended.”"
"“那您现在负责多少病人？”","“And how many have you in charge?”"
"“目前我们总共有不超过十个病人。”","“At present we have not more than ten, altogether.”"
"“主要都是女性吧，我想？”","“Principally females, I presume?”"
"“哦，不是——全都是男的，还都是强壮的汉子，我可以肯定地说。”","“Oh, no—every one of them men, and stout fellows, too, I can tell you.”"
"“真的吗！我一直以为大多数疯子都是女性。”","“Indeed! I have always understood that the majority of lunatics were of the gentler sex.”"
"“一般来说是这样，但并不总是如此。曾有一段时间，这里有大约二十七个病人，其中女的就多达十八个。但是，最近，正像您所看到的，情况有了很大改变。”","“It is generally so, but not always.Some time ago, there were about twenty-seven patients here; and, of that number, no less than eighteen were women; but, lately, matters have changed very much, as you see.”"
"“是啊——有了很大改变，正像您所看到的。”这时，刚才踢坏拉普拉斯小姐小腿的那位先生插话了。","“Yes—have changed very much, as you see,” here interrupted the gentleman who had broken the shins of Ma’m’selle Laplace."
"“是啊——有了很大改变，正像您所看到的！”整群人立刻响应道。","“Yes—have changed very much, as you see!” chimed in the whole company at once. "
"“都给我管住自己的舌头，一个都不例外！”我的主人狂怒不已。","“Hold your tongues, every one of you!” said my host, in a great rage."
"于是，在将近一分钟的时间里，满屋的人都陷入了死一般的沉寂。有一位女士，一字不落地执行了马亚尔先生的命令。她伸出特别长的舌头，顺从地用两只手握住，直到宴会结束。","Whereupon the whole company maintained a dead silence for nearly a minute.As for one lady, she obeyed Monsieur Maillard to the letter, and thrusting out her tongue, which was an excessively long one, held it very resignedly, with both hands, until the end of the entertainment."
"“这位女士，”我探过身子，低声对马亚尔先生说，“这位刚刚说完话，给我们表演‘喔—喔—喔’的善良的夫人，我想，她没有危险——一点危险都没有，是吧？”","“And this gentlewoman,” said I, to Monsieur Maillard, bending over and addressing him in a whisper—“this good lady who has just spoken, and who gives us the cock-a-doodle-de-doo—she, I presume, is harmless—quite harmless, eh?”"
"“没有危险！”他一脸的惊讶，突然喊道，“您——您什么意思嘛？”","“Harmless!” ejaculated he, in unfeigned surprise, “why—why, what can you mean?”"
"“只是稍微有些失常吗？”我问道，一边用手碰碰自己的脑袋。","“Only slightly touched?” said I, touching my head.  "
"“我可以认为，她的病不算特别危险，是吧？”","“I take it for granted that she is not particularly not dangerously affected, eh?”"
"“我的天啊！ 您在胡思乱想些什么呀？这位夫人，我特别的老朋友乐茹瓦塞夫人，精神绝对正常，就像我一样。当然，她的确有些小怪癖——但是，您知道，所有上了年纪的女人——所有年迈的女人——或多或少都有些古怪！”","“Mon dieu! what is it you imagine?This lady, my particular old friend Madame Joyeuse, is as absolutely sane as myself.She has her little eccentricities, to be sure—but then, you know, all old women—all very old women—are more or less eccentric!”"
"“当然，”我说，“当然——那其他这些女士和先生们——”","“To be sure,” said I,—“to be sure—and then the rest of these ladies and gentlemen—”"
"“都是我的朋友和看护，”马亚尔先生打断了我，傲慢地挺直身子，“都是我非常好的朋友和助手。”","“Are my friends and keepers,” interupted Monsieur Maillard, drawing himself up with hauteur,—“my very good friends and assistants.”"
"“什么！他们都是？”我问道，“连女人也是吗？”","“What! all of them?” I asked,—“the women and all?”"
"“的确如此，”他说，“没有这些女人，我们简直没法工作，她们是世界上最好的精神病护士；她们有自己的一套办法，您知道；她们明亮的眼睛有着神奇的作用——有点像蛇的震慑力，您知道。”","“Assuredly,” he said,—“we could not do at all without the women; they are the best lunatic nurses in the world; they have a way of their own, you know; their bright eyes have a marvellous effect;—something like the fascination of the snake, you know.”"
"“当然，”我说，“当然！她们的举止有些古怪，是吧？她们有点儿失常，是吧？难道您不这么认为？”","“To be sure,” said I,—“to be sure!They behave a little odd, eh?—they are a little queer, eh?—don’t you think so?”"
"“古怪！——失常！——怎么，您真这么认为？当然，在我们南方，我们不是特别讲究规矩——我们怎么高兴怎么来——享受生活，诸如此类，这您知道——”","“Odd!—queer!—why, do you really think so?We are not very prudish, to be sure, here in the South—do pretty much as we please—enjoy life, and all that sort of thing, you know—”"
"“当然，”我说，“当然。”","“To be sure,” said I,—“to be sure.”"
"“还有呢，可能这伏旧园葡萄酒有点上头，您知道——有些烈——您明白，对吧？”","“And then, perhaps, this Clos de Vougeot is a little heady, you know—a little strong—you understand, eh?”"
"“当然，”我说，“当然。顺便问问，先生，您是不是说，您现在采取的用以取代著名的抚慰疗法的方法，是非常苛刻、严厉的？”","“To be sure,” said I,—“to be sure.By the bye, Monsieur, did I understand you to say that the system you have adopted, in place of the celebrated soothing system, was one of very rigorous severity?”"
"“根本不是。我们有必要采取严格的监禁措施。但我们的治疗——我指的是医疗——对病人而言却是再合适不过了。”","“By no means.Our confinement is necessarily close; but the treatment—the medical treatment, I mean—is rather agreeable to the patients than otherwise.”"
"“这种新疗法是您自己发明的吗？”","“And the new system is one of your own invention?”"
"“不全是。其中有些部分归功于塔尔教授（注：‘塔尔’在英语中指‘涂上焦油’），对他您必然有所耳闻。另外，对于我的方案中的一些修正——我很高兴地告诉您——得益于知名的费斯尔（注：在英语中，‘费斯尔’的发音与‘羽毛’类似），如果我没弄错的话，您一定有幸与他熟识。”","“Not altogether.Some portions of it are referable to Professor Tarr, of whom you have, necessarily, heard; and, again, there are modifications in my plan which I am happy to acknowledge as belonging of right to the celebrated Fether, with whom, if I mistake not, you have the honor of an intimate acquaintance.”"
"“非常惭愧，”我回答道，“这两位先生的名字，之前我甚至一个也没听说过。”","“I am quite ashamed to confess,” I replied, “that I have never even heard the names of either gentleman before.”"
"“天啊！”我的主人惊呼道，他突然把椅子往后一推，举起双手。“我一定是听错了！","“Good heavens!” ejaculated my host, drawing back his chair abruptly, and uplifting his hands.“I surely do not hear you aright!"
"您不会是想说，您从未听说过博学的塔尔博士和著名的费斯尔教授吧？”","You did not intend to say, eh? that you had never heard either of the learned Doctor Tarr, or of the celebrated Professor Fether?”"
"“我不得不承认我的孤陋寡闻。”我回答道，“不过，事实高于一切，不可更改。但对于这些无疑是杰出人物的著作我竟然一无所知，实在是羞愧得无地自容。我会立刻找来他们的著作，潜心拜读。马亚尔先生，您真是——我必须承认——您真是——让我汗颜！”","“I am forced to acknowledge my ignorance,” I replied; “but the truth should be held inviolate above all things.Nevertheless, I feel humbled to the dust, not to be acquainted with the works of these, no doubt, extraordinary men.I will seek out their writings forthwith, and peruse them with deliberate care.Monsieur Maillard, you have really—I must confess it—you have really—made me ashamed of myself!”"
"确实如此。","And this was the fact."
"“不要再说了，我的善良的年轻朋友。”他握了握我的手，和蔼地说，“和我一起喝一杯苏特恩白葡萄酒吧。“","“Say no more, my good young friend,” he said kindly, pressing my hand,—“join me now in a glass of Sauterne.”"
"我们举杯共饮。其他人也都毫无节制地效仿我们。他们聊天——他们开玩笑——他们开怀大笑——他们做出许许多多荒诞不经的事情——琴声刺耳——鼓声喧嚣——长号轰鸣，就像许多法拉里斯铜牛发出的声音——随着酒精逐渐支配了人的神经，整个场面变得越来越混乱，最后简直就成了地狱一般。与此同时，就着几瓶苏特恩白葡萄酒和伏旧园葡萄酒，马亚尔先生和我扯着嗓子继续我们的谈话。如果用普通的音调说话，那就如同尼亚加拉瀑布下面的一条鱼发出的声音，谁也无法听清楚。","We drank.The company followed our example without stint.They chatted—they jested—they laughed—they perpetrated a thousand absurdities—the fiddles shrieked—the drum row-de-dowed—the trombones bellowed like so many brazen bulls of Phalaris—and the whole scene, growing gradually worse and worse, as the wines gained the ascendancy, became at length a sort of pandemonium in petto.In the meantime, Monsieur Maillard and myself, with some bottles of Sauterne and Vougeot between us, continued our conversation at the top of the voice.A word spoken in an ordinary key stood no more chance of being heard than the voice of a fish from the bottom of Niagra Falls."
"“先生，”我冲着他的耳朵喊道，“您吃饭前曾提到以前的抚慰疗法招致的危险。那是怎么回事？”","“And, sir,” said I, screaming in his ear, “you mentioned something before dinner about the danger incurred in the old system of soothing.How is that?”"
"“是的，”他回答说，“有时候的确会有很大的危险。疯子的反复无常是无法解释的。不仅是我这样认为，这也是塔尔博士和费斯尔教授的观点，允许疯子们不加看管地随意乱跑是绝对不安全的。在一段时间里，一个疯子可能会得到‘抚慰’，但最后，他很有可能变得无法管束。总所周知，他是非常狡猾的。如果他心里盘算着什么，他会非常巧妙地隐藏自己的计划。而他用来假装正常的机敏，是精神疗法家们在精神领域研究中遇到的最奇特的问题之一。的确，如果一个疯子看上去神志完全正常，就该立刻给他套上约束衣。”","“Yes,” he replied, “there was, occasionally, very great danger indeed.There is no accounting for the caprices of madmen; and, in my opinion as well as in that of Dr. Tarr and Professor Fether, it is never safe to permit them to run at large unattended.A lunatic may be ‘soothed,’ as it is called, for a time, but, in the end, he is very apt to become obstreperous.His cunning, too, is proverbial and great.If he has a project in view, he conceals his design with a marvellous wisdom; and the dexterity with which he counterfeits sanity, presents, to the metaphysician, one of the most singular problems in the study of mind.When a madman appears thoroughly sane, indeed, it is high time to put him in a straitjacket.”"
"“但是，我亲爱的先生，就您刚才所言，您亲身经历过的危险——就是在您负责这家疯人院期间遇到的危险——有没有给您切实的理由，让您认为，对一个疯子而言，自由是危险的？”","“But the danger, my dear sir, of which you were speaking, in your own experience—during your control of this house—have you had practical reason to think liberty hazardous in the case of a lunatic?”"
"“在这里？我亲身经历过？嗯，我可以说，有的。比如，就在不久以前，就在这家疯人院，发生了一件非同寻常的事。‘抚慰疗法’，您知道，当时正在实施中，病人们都不受管束。他们的举止非常规矩——特别规矩。看到那些家伙们表现得如此好，任何一个神志正常的人都会知道这个特别的现象背后酝酿着某个险恶的阴谋。的确如此，一个晴朗的早晨，看护们发现自己被捆住手脚，投进了监禁室。在那里他们被那些疯子们当成疯子一样看护着。疯子们篡夺了看护的职权。”","“Here?—in my own experience?—why, I may say, yes.For example:—no very long while ago, a singular circumstance occurred in this very house.The ‘soothing system,’ you know, was then in operation, and the patients were at large.They behaved remarkably well—especially so, any one of sense might have known that some devilish scheme was brewing from that particular fact, that the fellows behaved so remarkably well.And, sure enough, one fine morning the keepers found themselves pinioned hand and foot, and thrown into the cells, where they were attended, as if they were the lunatics, by the lunatics themselves, who had usurped the offices of the keepers.”"
"“这太令人难以置信了！我还从未听说过这么荒唐的事情！”","“You don’t tell me so! I never heard of any thing so absurd in my life!”"
"“这是事实——这一切之所以发生都是因为一个愚蠢的家伙——一个疯子——他不知怎么搞的，冒出这么个念头，认为自己想出了一个闻所未闻的好的管理办法——我是说管理疯子。我想，他希望尝试一下他的新方法，于是便说服其他病人参与他的阴谋，一起推翻管制力量。”","“Fact—it all came to pass by means of a stupid fellow—a lunatic—who, by some means, had taken it into his head that he had invented a better system of government than any ever heard of before—of lunatic government, I mean.He wished to give his invention a trial, I suppose, and so he persuaded the rest of the patients to join him in a conspiracy for the overthrow of the reigning powers.”"
"“那他真的成功了？”","“And he really succeeded?”"
"“一点没错。看护者和被看护者很快就被调换位置。这么说也不准确——因为疯子以前是自由的，但是现在看护随即就被关进了监禁室，并且受到，我很遗憾地说，非常傲慢的对待。”","“No doubt of it.The keepers and kept were soon made to exchange places.Not that exactly either—for the madmen had been free, but the keepers were shut up in cells forthwith, and treated, I am sorry to say, in a very cavalier manner.”"
"“但是我想这次‘革命’很快就平息下去了。这种局面不可能维持很长时间。周围的村民们——来院里参观的人们——一定会报警。”","“But I presume a counter-revolution was soon effected.This condition of things could not have long existed.The country people in the neighborhood—visitors coming to see the establishment—would have given the alarm.”"
"“这您就错了。带头叛乱的那个人非常狡猾，他不会让这样的事发生。他根本不许任何人进来参观——只有一次例外。一天，他准许一个看上去非常愚蠢的年轻绅士进入医院，他没有理由害怕这个年轻人。他让那年轻人进来参观——只是为了换换花样——拿他找点小乐子而已。他一捉弄够了年轻人，就马上让他离开，把他打发走了。”","“There you are out.The head rebel was too cunning for that.He admitted no visitors at all—with the exception, one day, of a very stupid-looking young gentleman of whom he had no reason to be afraid.He let him in to see the place—just by way of variety,—to have a little fun with him.As soon as he had gammoned him sufficiently, he let him out, and sent him about his business.”"
"“那么，疯子们统治医院有多长时间？”","“And how long, then, did the madmen reign?”"
"“哦，很长时间，真的——肯定有一个月——具体有多久，我说不准。在此期间，疯子们过得非常惬意——这点您可以相信。他们脱掉自己的破烂衣服，擅自穿着家居服装，佩戴起珠宝首饰。城堡的地窖里贮存着许多酒，而这些疯子正是些贪恋美酒的魔鬼。他们过得非常好，我敢肯定。”","“Oh, a very long time, indeed—a month certainly—how much longer I can’t precisely say.In the meantime, the lunatics had a jolly season of it—that you may swear.They doffed their own shabby clothes, and made free with the family wardrobe and jewels.The cellars of the chateau were well stocked with wine; and these madmen are just the devils that know how to drink it.They lived well, I can tell you.”"
"“那治疗呢——反叛者的首领具体实施了怎样的治疗方案呢？”","“And the treatment—what was the particular species of treatment which the leader of the rebels put into operation?”"
"“哦，关于这个，疯子并不一定就是傻子，这点我已经说过了。我坦率地说，新的治疗方法比旧有的方法要好得多。这的确是一个极佳的疗法——简单——利落——根本没有麻烦——事实上，这种疗法令人愉悦，让人——”","“Why, as for that, a madman is not necessarily a fool, as I have already observed; and it is my honest opinion that his treatment was a much better treatment than that which it superseded.It was a very capital system indeed—simple—neat—no trouble at all—in fact it was delicious it was—”"
"这时，又一阵叫喊打断了主人的话。这阵叫喊和刚才使我们惊慌失措的叫喊有着相同的特征。不过，发出这次的声音的人似乎在快速向这里逼近。","Here my host’s observations were cut short by another series of yells, of the same character as those which had previously disconcerted us.This time, however, they seemed to proceed from persons rapidly approaching."
"“天啊！” 我突然喊道，“疯子们肯定挣脱了。”","“Gracious heavens!” I ejaculated—“the lunatics have most undoubtedly broken loose.”"
"“恐怕情况的确如此。”马亚尔先生回答道，脸色变得惨白。 他一句话还没来得及说完，窗下就传来了巨大的喊叫声和咒骂声。片刻之后，情况愈发明朗，外面有一些人正竭力要闯进来。听起来他们像是用大锤在用力砸门，百叶窗被人拼命地扭动、摇晃着。","“I very much fear it is so,” replied Monsieur Maillard, now becoming excessively pale.He had scarcely finished the sentence, before loud shouts and imprecations were heard beneath the windows; and, immediately afterward, it became evident that some persons outside were endeavoring to gain entrance into the room.The door was beaten with what appeared to be a sledge-hammer, and the shutters were wrenched and shaken with prodigious violence."
"随即最可怕的混乱景象出现了。马亚尔先生一头钻进餐具柜下，这令我大吃一惊。我原以为他能当机立断。乐队成员在过去的十五分钟里，似乎已经醉得一塌糊涂，已经无法演奏下去，现在他们都一跃而起，将乐器踩在脚下。他们爬上桌子，异口同声地唱起了《扬基歌》，在整场骚乱中，他们一直在表演，虽说调子不是很准，但他们的劲头绝对超乎常人。","A scene of the most terrible confusion ensued.Monsieur Maillard, to my excessive astonishment, threw himself under the side-board.I had expected more resolution at his hands.The members of the orchestra, who, for the last fifteen minutes, had been seemingly too much intoxicated to do duty, now sprang all at once to their feet and to their instruments, and, scrambling upon their table, broke out, with one accord, into, “Yankee Doodle,” which they performed, if not exactly in tune, at least with an energy superhuman, during the whole of the uproar."
"与此同时，那个刚才费了好大劲才克制着没有跳上餐桌的绅士，跃上了主餐桌，踩在一堆瓶子和杯子间。他刚一站稳，就开始演说起来，要是有人能够听到的话，那绝对是一篇精彩无比的演说。同时，那位陀螺爱好者开始绕着屋子强力旋转起来，他双臂张开，与身体垂直，看起来像极了一只陀螺，撞倒了挡在他旋转线路上的每一个人。接着，我还难以置信地听到了香槟酒瓶塞“砰”地拔出、嘶嘶冒泡的声音，过了半天我才发现，是那个在席间模仿这种优雅饮品的人发出了这种声音。还有，那个青蛙人呱呱叫着跑开了，就好像他的灵魂是否得救要取决于他所发出的每一声蛙鸣一样。在这一片混乱中，响起了一头驴子持续的叫声，压过了一切。至于我的老朋友，茹瓦塞夫人，我真该为这个可怜的女士掉眼泪，她看上去极度茫然。她只是站在壁炉旁的一个角落里，扯着嗓子不停地打鸣：“喔—喔—喔—喔喔喔！”","Meantime, upon the main dining-table, among the bottles and glasses, leaped the gentleman who, with such difficulty, had been restrained from leaping there before.As soon as he fairly settled himself, he commenced an oration, which, no doubt, was a very capital one, if it could only have been heard.At the same moment, the man with the teetotum predilection, set himself to spinning around the apartment, with immense energy, and with arms outstretched at right angles with his body; so that he had all the air of a tee-totum in fact, and knocked everybody down that happened to get in his way.And now, too, hearing an incredible popping and fizzing of champagne, I discovered at length, that it proceeded from the person who performed the bottle of that delicate drink during dinner.And then, again, the frog-man croaked away as if the salvation of his soul depended upon every note that he uttered.And, in the midst of all this, the continuous braying of a donkey arose over all.As for my old friend, Madame Joyeuse, I really could have wept for the poor lady, she appeared so terribly perplexed.All she did, however, was to stand up in a corner, by the fireplace, and sing out incessantly at the top of her voice, “Cock-a-doodle-de-dooooooh!”"
"高潮随之而来——整出剧彻底失败了。由于对屋外的那伙人的侵犯，人除了叫呀、喊啊，或是像鸡一样打鸣，没有做任何其他抵抗，转瞬间，十扇窗户几乎同时被撞开。我永远也忘不了我当时惊奇与恐惧交织的心情。我目瞪口呆地看着一群在我眼里就是小人猿、黑猩猩，或是好望角的大黑狒狒的人跳过窗户，在我们中间横冲直撞、连打带踩、连抓带吼。","And now came the climax—the catastrophe of the drama.As no resistance, beyond whooping and yelling and cock-a-doodling, was offered to the encroachments of the party without, the ten windows were very speedily, and almost simultaneously, broken in.But I shall never forget the emotions of wonder and horror with which I gazed, when, leaping through these windows, and down among us pele-mele, fighting, stamping, scratching, and howling, there rushed a perfect army of what I took to be Chimpanzees, Ourang-Outangs, or big black baboons of the Cape of Good Hope."
"我被痛打了一顿——随后便滚到一张沙发下，一动不动地躺着。我躺了有十五分钟，一边竖起耳朵仔细听着屋子里的一切动静。最后，我对这场悲剧有了一个满意的解释。看来，马亚尔先生给我讲述那个鼓动同伴造反的疯子，实际上不过是在说他自己的英勇事迹。的确，这位先生，在大约两三年前，曾经是这里的院长，但后来他自己也疯了，成了一个病人。这个事实是给我引见的那个旅伴所不知道的。看护们，总共十人，突然被制服后，先是被浑身涂满焦油，然后被仔细地粘上羽毛，关进地下禁闭室。他们就这样被囚禁了一个多月。在此期间，马亚尔先生不仅慷慨地给他们焦油和羽毛（这是他“疗法”的组成部分），还给他们一些面包和充足的水。水是每天用水泵冲到他们身上的。终于，一个人通过下水道逃了出来，解救了其他人。","I received a terrible beating—after which I rolled under a sofa and lay still.After lying there some fifteen minutes, during which time I listened with all my ears to what was going on in the room, I came to some satisfactory denouement of this tragedy.Monsieur Maillard, it appeared, in giving me the account of the lunatic who had excited his fellows to rebellion, had been merely relating his own exploits.This gentleman had, indeed, some two or three years before, been the superintendent of the establishment, but grew crazy himself, and so became a patient.This fact was unknown to the travelling companion who introduced me.The keepers, ten in number, having been suddenly overpowered, were first well tarred, then—carefully feathered, and then shut up in underground cells.They had been so imprisoned for more than a month, during which period Monsieur Maillard had generously allowed them not only the tar and feathers (which constituted his “system”), but some bread and abundance of water.The latter was pumped on them daily.At length, one escaping through a sewer, gave freedom to all the rest."
"“抚慰疗法”在进行了重大修改后，在这个城堡里重新得以实施。不过我不得不同意马亚尔先生的看法，即，他自己的“疗法”是同类疗法中最好的。他的评价很公正，这种疗法“简单——利落——根本没有麻烦——一点也没有。”","The “soothing system,” with important modifications, has been resumed at the chateau; yet I cannot help agreeing with Monsieur Maillard, that his own “treatment” was a very capital one of its kind.As he justly observed, it was “simple—neat—and gave no trouble at all—not the least.”"
"我需要补充的仅有一点，尽管我遍访欧洲所有的图书馆查找塔尔博士和费斯尔教授的著作，但迄今为止，我的一切努力都是徒劳，一本也没找到。","I have only to add that, although I have searched every library in Europe for the works of Doctor Tarr and Professor Fether, I have, up to the present day, utterly failed in my endeavors at procuring an edition."
