"第一章 枪炮俱乐部","CHAPTER I THE GUN CLUB"
"“先生们，”他说，“我们不得不解决整个高尚的枪炮制造学中一个最重要的问题。也许，第一次会议应该讨论使用何种引擎，这样显得最符合逻辑。但是，经过深思熟虑后，我觉得炮弹的问题必须放在大炮之前，并且大炮的体积必须视炮弹的体积而定。”","“Gentlemen,” said he, “we have to resolve one of the most important problems in the whole of the noble science of gunnery.It might appear, perhaps, the most logical course to devote our first meeting to the discussion of the engine to be employed.Nevertheless, after mature consideration, it has appeared to me that the question of the projectile must take precedence of that of the cannon, and that the dimensions of the latter must necessarily depend on those of the former.”"
"“容我说句话。”J. T. 马斯顿插嘴道，“先生们，”得到允许后，他用颇受鼓舞的腔调说道，“我们的主席把炮弹的问题放在所有问题之首，这一做法是正确的。我们即将向月球发射的这颗炮弹就好比地球向月球派遣的大使，我希望我们能从道德的角度去考虑这一问题。先生们，在我看来，炮弹是人类力量最伟大的体现。如果是上天创造了恒星和行星，那么是人类创造了炮弹。如果说，是上天创造了电、光、恒星、彗星、行星、风和声音所拥有的迅捷的速度——那么，是我们赋予了炮弹迅捷的速度，这一速度比最快的骏马或飞驰的火车都要快上一百倍。当我们大大超越一切已有的速度极限，以每秒七英里的速度发射新炮弹时，那将会是一个多么光荣的时刻啊！先生们，作为地球人的使者，这枚炮弹抵达月球后怎能不受到热烈欢迎呢？”","“Suffer me to say a word,” here broke in J. T. Maston.Permission having been granted, “Gentlemen,” said he with an inspired accent, “our president is right in placing the question of the projectile above all others.The ball we are about to discharge at the moon is our ambassador to her, and I wish to consider it from a moral point of view.The cannon-ball, gentlemen, to my mind, is the most magnificent manifestation of human power.If Providence has created the stars and the planets, man has called the cannon-ball into existence.Let Providence claim the swiftness of electricity and of light, of the stars, the comets, and the planets, of wind and sound— we claim to have invented the swiftness of the cannon-ball, a hundred times superior to that of the swiftest horses or railway train.How glorious will be the moment when, infinitely exceeding all hitherto attained velocities, we shall launch our new projectile with the rapidity of seven miles a second!Shall it not, gentlemen—shall it not be received up there with the honors due to a terrestrial ambassador?”"
"他控制住情绪，坐了下来，把注意力集中在他面前的一大碟三明治上。","Overcome with emotion the orator sat down and applied himself to a huge plate of sandwiches before him."
"“现在，”巴比康说，“我们不要总唱赞美诗了，请直接切题。”","“And now,” said Barbicane, “let us quit the domain of poetry and come direct to the question.”"
"“没问题。”会员们回答道，每个人的嘴里都塞满了三明治。","“By all means,” replied the members, each with his mouth full of sandwich."
"“摆在我们面前的问题，”主席继续说道，“是如何使炮弹的速度达到每秒12,000码。现在，让我们回顾一下迄今为止所达到的速度记录。摩根将军将就这一点为我们进行说明。”","“The problem before us,” continued the president, “is how to communicate to a projectile a velocity of 12,000 yards per second.Let us at present examine the velocities hitherto attained.General Morgan will be able to enlighten us on this point.”"
"“这太容易了，”将军答道，“战争期间我是实验委员会的成员之一。那时，重100磅的达尔格伦大炮射程是5,000码，其炮弹的初速度为每秒500码。罗德曼的哥伦比亚大炮曾发射了一颗半吨重、射程六英里、速度每秒800码的炮弹，这一成绩是英国的阿姆斯特朗和帕利瑟从未取得的。","“And the more easily,” replied the general, “that during the war I was a member of the committee of experiments.I may say, then, that the 100-pounder Dahlgrens, which carried a distance of 5,000 yards, impressed upon their projectile an initial velocity of 500 yards a second.The Rodman Columbiad threw a shot weighing half a ton a distance of six miles, with a velocity of 800 yards per second— a result which Armstrong and Palisser have never obtained in England.”"
"“这，”巴比康说，“我认为就是曾达到的最高速度吧？“","“This,” replied Barbicane, “is, I believe, the maximum velocity ever attained?”"
"“是这样的。”将军回答。","“It is so,” replied the general."
"“啊！”J. T. 马斯顿叹了口气说，“要是我的迫击炮没爆炸的话——“","“Ah!” groaned J. T. Maston, “if my mortar had not burst——”"
"“是的，”巴比康平静地答道，“但它确实爆炸了。那么，我们必须从这个800码的速度入手。我们必须让它成为原来的20倍。现在，让我们把产生这一速度的方法留到下次会议讨论，我们接下来要探讨炮弹应该多大合适。要知道，我们可决不能使用那些最多不过半吨重的炮弹。”","“Yes,” quietly replied Barbicane, “but it did burst.We must take, then, for our starting point, this velocity of 800 yards.We must increase it twenty-fold.Now, reserving for another discussion the means of producing this velocity, I will call your attention to the dimensions which it will be proper to assign to the shot.You understand that we have nothing to do here with projectiles weighing at most but half a ton.”"
"“为什么不能呢？”少校问道。","“Why not?” demanded the major."
"“因为炮弹一定要够大，”J. T. 马斯顿马上答道，“这样才能吸引月球上居民们的注意——如果月球上真的有人的话。”","“Because the shot,” quickly replied J. T. Maston, “must be big enough to attract the attention of the inhabitants of the moon, if there are any?”"
"“是的，”巴比康答道，“不过还有一个更重要的原因。”","“Yes,” replied Barbicane, “and for another reason more important still.”"
"“这话什么意思？”少校问道。","“What mean you?” asked the major."
"“我的意思是，发射炮弹后就再也不管它了，这样是远远不够的，我们必须对它进行全程跟进，直到它达到目的地的那一刻。”","“I mean that it is not enough to discharge a projectile, and then take no further notice of it; we must follow it throughout its course, up to the moment when it shall reach its goal.”"
"“什么？”将军和少校惊奇地叫道。","“What?” shouted the general and the major in great surprise."
"“毫无疑问，”巴比康沉着地说，“不然我们的实验将无法产生结果。”","“Undoubtedly,” replied Barbicane composedly, “or our experiment would produce no result.”"
"“那么，”少校答道，“这颗炮弹的体积必须得很大了。”","“But then,” replied the major, “you will have to give this projectile enormous dimensions.”"
"“不！请好好听我说。你们知道，光学仪器已经做得非常完美了；通过某些仪器，我们可以成功地将某个物体放大6,000倍，并将月球的距离缩短到40英里以内。现在，从这个距离绝对能看见任何60英尺宽的物体。","“No! Be so good as to listen.You know that optical instruments have acquired great perfection; with certain instruments we have succeeded in obtaining enlargements of 6,000 times and reducing the moon to within forty miles’ distance.Now, at this distance, any objects sixty feet square would be perfectly visible."
"“那么，我们之所以没有进一步提高望远镜的穿透力，是因为那样会降低它们的亮度；而仅仅作为反射镜的月球，也不能反射足够的光，使我们看清更小的物体。”","“If, then, the penetrative power of telescopes has not been further increased, it is because that power detracts from their light; and the moon, which is but a reflecting mirror, does not give back sufficient light to enable us to perceive objects of lesser magnitude.”"
"“那么，你有什么建议？”将军问道，“你能使炮弹的直径达到60英尺吗？”","“Well, then, what do you propose to do?” asked the general.“Would you give your projectile a diameter of sixty feet?”"
"“不用这样。”","“Not so.”"
"“那么，你打算增加月球的亮度吗？”","“Do you intend, then, to increase the luminous power of the moon?”"
"“正是如此。如果我能成功地降低月光必须穿过的大气层的密度，我想月光就会变得更亮。为了达到这一目标，我们将在一些高山上安装望远镜。那就是我们将要做的。”","“Exactly so.If I can succeed in diminishing the density of the atmosphere through which the moon’s light has to travel I shall have rendered her light more intense.To effect that object it will be enough to establish a telescope on some elevated mountain.That is what we will do.”"
"“我甘拜下风，”少校回答道，“你竟有这么一个简化问题的方法。那么，通过这种方法，你想将月球放大多少倍呢？”","“I give it up,” answered the major.“You have such a way of simplifying things.And what enlargement do you expect to obtain in this way?”"
"“放大48,000倍，这样一来，就能把月球的视觉距离控制在五英里以内，而且，物体的直径只需达到九英尺，就能被看见。”","“One of 48,000 times, which should bring the moon within an apparent distance of five miles; and, in order to be visible, objects need not have a diameter of more than nine feet.”"
"“所以，”J. T. 马斯顿叫道，“我们的炮弹直径只需达到九英尺即可。”","“So, then,” cried J. T. Maston, “our projectile need not be more than nine feet in diameter.”"
"“但是，要我说，”埃尔芬斯通少校插嘴道，“这样炮弹的重量就会达到——”","“Let me observe, however,” interrupted Major Elphinstone, “this will involve a weight such as——”"
"“我亲爱的少校，”巴比康说道，“在讨论它的重量之前，请允许我列举我们的祖先曾在这一领域创造的一些奇迹。我并不是说枪炮制造学没有进步，但是，我们应该记住，他们在中世纪所取得的成果，我敢说比我们的更加令人惊叹。比如说，在1453年穆罕默德二世围攻君士坦丁堡期间，人们使用了重1,900磅的石炮弹。在骑士时代的马耳他，圣埃尔莫堡垒有一门大炮曾经发射了一颗两千五百磅重的炮弹。那么，现在，我们认为我们自己能做到什么程度呢？阿姆斯特朗大炮发射了重五百磅的炮弹，罗德曼大炮发射了重半吨的炮弹！似乎炮弹的射程一旦提高，重量就会大大减轻。现在，如果我们朝着这一方向努力，凭借科学的进步，我们应该能让穆罕默德二世和马耳他骑士的炮弹再重十倍。","“My dear major,” replied Barbicane, “before discussing its weight permit me to enumerate some of the marvels which our ancestors have achieved in this respect.I don’t mean to pretend that the science of gunnery has not advanced, but it is as well to bear in mind that during the middle ages they obtained results more surprising, I will venture to say, than ours.For instance, during the siege of Constantinople by Mahomet II., in 1453, stone shot of 1,900 pounds weight were employed.At Malta, in the time of the knights, there was a gun of the fortress of St. Elmo which threw a projectile weighing 2,500 pounds.And, now, what is the extent of what we have seen ourselves?Armstrong guns discharging shot of 500 pounds, and the Rodman guns projectiles of half a ton!It seems, then, that if projectiles have gained in range, they have lost far more in weight.Now, if we turn our efforts in that direction, we ought to arrive, with the progress on science, at ten times the weight of the shot of Mahomet II. and the Knights of Malta.”"
"“讲得很清楚，”少校回答说；“但是你打算用什么金属来造炮弹呢？”","“Clearly,” replied the major; “but what metal do you calculate upon employing?”"
"“铸铁就行啊。”摩根将军说。","“Simply cast iron,” said General Morgan."
"“但是，”少校打断他，“由于炮弹的重量和它的体积是成比例的，一颗直径九英尺的铸铁炮弹将会重得惊人。”","“But,” interrupted the major, “since the weight of a shot is proportionate to its volume, an iron ball of nine feet in diameter would be of tremendous weight.”"
"“如果炮弹是实心的，就会很重，但如果是空心的，就不会太重了。”","“Yes, if it were solid, not if it were hollow.”"
"“空心？那不就成弹壳了？”","“Hollow? then it would be a shell?”"
"“是的，就是弹壳。”巴比康回答说；“炮弹一定得是空心的。一个208英寸的实心炮弹重量会超过20万磅，很明显太重了。然而，由于我们必须保证我们的炮弹具有一定稳定性，所以我建议让它重20,000磅。”","“Yes, a shell,” replied Barbicane; “decidely it must be. A solid shot of 108 inches would weigh more than 200,000 pounds, a weight evidently far too great.Still, as we must reserve a certain stability for our projectile, I propose to give it a weight of 20,000 pounds.”"
"“那么，炮弹壁的厚度是多少呢？”少校问道。","“What, then, will be the thickness of the sides?” asked the major."
"“如果按照通常的比例，”摩根回答说，“直径108英寸的炮弹需要差不多两英尺厚的内壁。”","“If we follow the usual proportion,” replied Morgan, “a diameter of 108 inches would require sides of two feet thickness, or less.”"
"“那太厚啦，”巴比康说；“要知道，现在的问题不是让炮弹射穿铁板，只要它的内壁能承受大气的压力就足够了。因此，现在的问题是——为了使重量不超过两万磅，铸铁弹壳的厚度应该是多少呢？我们聪明的秘书很快就会告诉我们的。”","“That would be too much,” replied Barbicane; “for you will observe that the question is not that of a shot intended to pierce an iron plate; it will suffice to give it sides strong enough to resist the pressure of the gas. The problem, therefore, is this— What thickness ought a cast-iron shell to have in order not to weight more than 20,000 pounds?Our clever secretary will soon enlighten us upon this point.”"
"“再简单不过了。”委员会那令人尊敬的秘书说。然后，他迅速在纸上写下了一些代数公式，在这些公式中，ｎ的二次幂和ｘ的二次幂频频出现。接着他说：","“Nothing easier.” replied the worthy secretary of the committee; and, rapidly tracing a few algebraical formulae upon paper, among which n^2 and x^2 frequently appeared, he presently said:"
"“弹壁的厚度不能大于两英寸。”","“The sides will require a thickness of less than two inches.”"
"“这样够吗？”少校半信半疑地问道。","“Will that be enough?” asked the major doubtfully."
"“明显不够！”主席回答说。","“Clearly not!” replied the president."
"“那该怎么办呢？”埃尔芬斯通疑惑地问道。","“What is to be done, then?” said Elphinstone, with a puzzled air."
"“用另一种金属代替铁。”","“Employ another metal instead of iron.”"
"“铜？”摩根说。","“Copper?” said Morgan."
"“不！太重了。我有更好的材料。”","“No! that would be too heavy.I have better than that to offer.”"
"“那是什么呢？”少校问道。","“What then?” asked the major."
"“铝！”巴比康回答说。","“Aluminum!” replied Barbicane."
"“铝？”三位同事一齐叫道。","“Aluminum?” cried his three colleagues in chorus."
"“当然，我的朋友们。这种珍贵的金属如银一般白亮，如金一般牢固，如铁一般坚韧，如铜一般易于熔化，如玻璃一般光亮。它易于锻造，分布广泛，是大多数岩石的主要成分，重量是铁的三分之一。上天创造铝，仿佛就是专门为了给我们制造炮弹提供材料的。”","“Unquestionably, my friends.This valuable metal possesses the whiteness of silver, the indestructibility of gold, the tenacity of iron, the fusibility of copper, the lightness of glass.It is easily wrought, is very widely distributed, forming the base of most of the rocks, is three times lighter than iron, and seems to have been created for the express purpose of furnishing us with the material for our projectile.”"
"“但是，我亲爱的主席，”少校说，“铝的价格不是很贵吗？”","“But, my dear president,” said the major, “is not the cost price of aluminum extremely high?”"
"“刚被发现时，它的价格很昂贵，但是现在已经跌到了每磅九美元。”","“It was so at its first discovery, but it has fallen now to nine dollars a pound.”"
"“但是，九美元一磅啊！”少校不想让步；“这个价格还是太昂贵了。”","“But still, nine dollars a pound!” replied the major, who was not willing readily to give in; “even that is an enormous price.”"
"“确实很昂贵，我亲爱的少校；但是我们能够承受得起。”","“Undoubtedly, my dear major; but not beyond our reach.”"
"“这样，炮弹会有多重啊？”摩根问道。","“What will the projectile weigh then?” asked Morgan."
"“这就是我的计算结果，”巴比康回答道，“我们的铸铁炮弹直径为108英寸，厚度为12英寸，重量为67,400磅。如果用铝作为材料的话，它的重量就只有1,9250磅了。”","“Here is the result of my calculations,” replied Barbicane.“A shot of 108 inches in diameter, and twelve inches in thickness, would weigh, in cast-iron, 67,440 pounds; cast in aluminum, its weight will be reduced to 19,250 pounds.”"
"“太好啦！”少校大声说道；“但是，你们知道吗，如果以每磅九美元的价格来计算，那么这颗炮弹将会花费——”","“Capital!” cried the major; “but do you know that, at nine dollars a pound, this projectile will cost——”"
"“173,050美元。我很清楚。但是，不要害怕，我的朋友们，我们的事业是不会缺少资金的。我将对此负责。现在，你们认为用铝作材料怎么样，先生们？”","“One hundred and seventy-three thousand and fifty dollars ($173,050).I know it quite well.But fear not, my friends; the money will not be wanting for our enterprise.I will answer for it.Now what say you to aluminum, gentlemen?”"
"“通过！”委员会的三个成员回答说。就这样，第一次会议结束了。炮弹的问题已经明确地解决了。","“Adopted!” replied the three members of the committee.So ended the first meeting.The question of the projectile was definitely settled."
"第八章 大炮的历史","CHAPTER VIII HISTORY OF THE CANNON"
"上次会议通过的决议对外界产生了巨大的影响。胆小的人们一想到要把一枚重达20,000磅的炮弹发射升空，就觉得害怕，他们怀疑怎样的大炮才能给这样的庞然大物提供足够的速度。第二次会议的记录注定会成功地回答这些问题。第二天晚上，讨论重新开始。","The resolutions passed at the last meeting produced a great effect out of doors.Timid people took fright at the idea of a shot weighing 20,000 pounds being launched into space; they asked what cannon could ever transmit a sufficient velocity to such a mighty mass.The minutes of the second meeting were destined triumphantly to answer such questions.The following evening the discussion was renewed."
"“我亲爱的同事们，”巴比康没有作太多的铺垫，直接说道，“现在，摆在我们面前的议题是大炮的建造问题，这涉及到它的长度、构造、和重量。讨论的结果很可能是大炮的体积将会非常大，但无论前路多艰难，我们的机械天才们都会轻而易举地克服困难。下面，请把你们的注意力集中在我这里，如有反对意见，请毫不犹豫地提出。我不怕反对意见。摆在我们面前的问题是，如何使直径108英寸、重20,000磅的弹壳拥有每秒12,000码的初始速度。那么，当弹炮发射升空时，它会怎么样呢？它将受到三种独立的力量的影响：空气阻力、地球引力和我们给予它的冲力。我们就来研究一下这三种力吧。空气阻力不是很重要。地球大气层的厚度不会超过40英里。这样，凭借给定的速度，炮弹用五分钟就能穿过大气层，由于时间很短暂，所以空气这一媒质的阻力可以被看作是微不足道的。那么，接下来让我们研究一下地球引力，也就是弹壳的重量，我们知道这个重量与距离的平方成反比，距离增加，重量相应减小。当一个物体向着地球表面自由下落，第一秒内将下落五英尺；但如果同一个物体被移到257,542英里以外，换句话说，也就是移到月球那么远，那么它第一秒内只会下落二十四分之一英寸。这几乎就等同于静止不动。因此，我们的任务就是逐步克服这一引力。完成这一任务的方法就是靠冲力。”","“My dear colleagues,” said Barbicane, without further preamble, “the subject now before us is the construction of the engine, its length, its composition, and its weight.It is probable that we shall end by giving it gigantic dimensions; but however great may be the difficulties in the way, our mechanical genius will readily surmount them.Be good enough, then, to give me your attention, and do not hesitate to make objections at the close.I have no fear of them.The problem before us is how to communicate an initial force of 12,000 yards per second to a shell of 108 inches in diameter, weighing 20,000 pounds.Now when a projectile is launched into space, what happens to it?It is acted upon by three independent forces: the resistance of the air, the attraction of the earth, and the force of impulsion with which it is endowed.Let us examine these three forces.The resistance of the air is of little importance.The atmosphere of the earth does not exceed forty miles.Now, with the given rapidity, the projectile will have traversed this in five seconds, and the period is too brief for the resistance of the medium to be regarded otherwise than as insignificant.Proceding, then, to the attraction of the earth, that is, the weight of the shell, we know that this weight will diminish in the inverse ratio of the square of the distance.When a body left to itself falls to the surface of the earth, it falls five feet in the first second; and if the same body were removed 257,542 miles further off, in other words, to the distance of the moon, its fall would be reduced to about half a line in the first second.That is almost equivalent to a state of perfect rest.Our business, then, is to overcome progressively this action of gravitation.The mode of accomplishing that is by the force of impulsion.”"
"“这就是困难所在。”少校插言道。","“There’s the difficulty,” broke in the major."
"“的确，”主席说；“但是我们会克服困难，因为冲力取决于炮身的长度和所使用的火药，而后者又仅受前者反冲力的限制。那么，我们今天的任务就是研究大炮体积的问题。”","“True,” replied the president; “but we will overcome that, for the force of impulsion will depend on the length of the engine and the powder employed, the latter being limited only by the resisting power of the former.Our business, then, today is with the dimensions of the cannon.”"
"“到现在为止，”巴比康说，“我们最长的炮身还没有超过25英尺。因此，我们即将制造的大炮的巨大体积将会使世人震惊。由于炮身加长，炮弹后累积的气体所受的阻滞就会加大，很明显，这样炮弹的射程将会很远；但是也不能超出一定限度。”","“Now, up to the present time,” said Barbicane, “our longest guns have not exceeded twenty-five feet in length.We shall therefore astonish the world by the dimensions we shall be obliged to adopt.It must evidently be, then, a gun of great range, since the length of the piece will increase the detention of the gas accumulated behind the projectile; but there is no advantage in passing certain limits.”"
"“是这样的。”少校说，“在这种情况下有什么规律可循呢？”","“Quite so,” said the major.“What is the rule in such a case?”"
"“通常，炮身的长度是炮弹直径的20到25五倍，重量是炮弹的235到240倍。”","“Ordinarily the length of a gun is twenty to twenty-five times the diameter of the shot, and its weight two hundred and thirty-five to two hundred and forty times that of the shot.”"
"“那远远不够。”急性子的J. T. 马斯顿叫道。","“That is not enough,” cried J. T. Maston impetuously."
"“我同意你的观点，我的好朋友；事实上，按照这个比例，对于一个直径九英尺、重30,000磅的炮弹来说，炮身只有225英尺长，7,200,000磅重。”","“I agree with you, my good friend; and, in fact, following this proportion for a projectile nine feet in diameter, weighing 30,000 pounds, the gun would only have a length of two hundred and twenty-five feet, and a weight of 7,200,000 pounds.”"
"“太可笑了！”马斯顿答道，“还不如用手枪呢。”","“Ridiculous!” rejoined Maston.“As well take a pistol.”"
"“我也是这样认为的，”巴比康回答说；“这就是为什么我建议把长度增加到原来的四倍，造一尊900英尺的大炮。”","“I think so too,” replied Barbicane; “that is why I propose to quadruple that length, and to construct a gun of nine hundred feet.”"
"将军和少校提出了一些反对的意见；但是，由于秘书的极力支持，提议最后还是被采纳了。","The general and the major offered some objections; nevertheless, the proposition, actively supported by the secretary, was definitely adopted."
"“但是，”埃尔芬斯通说，“它的厚度应该是多少呢？”","“But,” said Elphinstone, “what thickness must we give it?”"
"“六英尺厚。”巴比康回答说。","“A thickness of six feet,” replied Barbicane."
"“你不会真想把这么一个庞然大物放在炮架上吧？”少校问道。","“You surely don’t think of mounting a mass like that upon a carriage?” asked the major."
"“不过这倒是个极好的想法。”马斯顿说。","“It would be a superb idea, though,” said Maston."
"“但却不切实际。”巴比康说道，“我不打算把它放在炮架上，我想的是把炮身单独铸进地里，用熟铁圈绑好，最后再用厚厚的砖石和水泥把它围起来。炮身一旦铸好，一定要对炮膛进行仔细的打磨，避免任何游隙出现。这样就不会有任何气体的损失，火药的全部膨胀力都将用于推进炮弹。”","“But impracticable,” replied Barbicane.“No, I think of sinking this engine in the earth alone, binding it with hoops of wrought iron, and finally surrounding it with a thick mass of masonry of stone and cement.The piece once cast, it must be bored with great precision, so as to preclude any possible windage.So there will be no loss whatever of gas, and all the expansive force of the powder will be employed in the propulsion.”"
"“我有个简单的问题，”埃尔芬斯通说，“我们要在炮膛内加来复线吗？”","“One simple question,” said Elphinstone: “is our gun to be rifled?”"
"“不，当然不要，”巴比康说，“我们需要极大的初始速度，而你知道，炮弹从有来复线的炮膛中射出，其速度要比从平滑的炮膛中射出慢。”","“No, certainly not,” replied Barbicane; “we require an enormous initial velocity; and you are well aware that a shot quits a rifled gun less rapidly than it does a smooth-bore.”"
"“的确。”少校答道。","“True,” rejoined the major."
"下面是几分钟的休会时间，人们饮茶，吃三明治。","The committee here adjourned for a few minutes to tea and sandwiches."
"“先生们，”讨论刚一重新开始，巴比康就说道，“我们现在必须考虑一下使用哪种金属。我们的大炮必须是高韧性、高强度、耐高温、不易溶的，并且可以抵制酸类物质的腐蚀作用。”","On the discussion being renewed, “Gentlemen,” said Barbicane, “we must now take into consideration the metal to be employed.Our cannon must be possessed of great tenacity, great hardness, be infusible by heat, indissoluble, and inoxidable by the corrosive action of acids.”"
"“这一点是毫无疑问的。”少校说道，“由于我们所需要的金属相当之多，所以我们在选择的时候不能盲目。”","“There is no doubt about that,” replied the major; “and as we shall have to employ an immense quantity of metal, we shall not be at a loss for choice.”"
"“嗯，那么，”摩根说，“我建议使用我们迄今为止所知道的最好的合金，它由一百份铜、十二份锡和六份黄铜构成。”","“Well, then,” said Morgan, “I propose the best alloy hitherto known, which consists of one hundred parts of copper, twelve of tin, and six of brass.”"
"“我承认，”主席说，“这种合成物已经产出了极好的产品，但是，就目前的情况而言，这种合金的价格会很昂贵，并且也很难操作。因此，我认为，我们应该采用一种本身性能良好、并且价格低廉的材料，比如说铸铁。少校，你有什么意见？”","“I admit,” replied the president, “that this composition has yielded excellent results, but in the present case it would be too expensive, and very difficult to work.I think, then, that we ought to adopt a material excellent in its way and of low price, such as cast iron.What is your advice, major?”"
"“我非常同意你的观点。”埃尔芬斯通回答。","“I quite agree with you,” replied Elphinstone."
"“事实上，”巴比康继续说道，“铸铁的价格是青铜的十分之一，铸造起来很容易，在砂模中易于成型，便于操作，并且省时省钱。另外，它的确是很好的材料，我很清楚地记得在战争期间，在亚特兰大大围攻中，一些铸铁大炮每二十分钟就能发射一千发炮弹，并且完好无损。”","“In fact,” continued Barbicane, “cast iron costs ten times less than bronze; it is easy to cast, it runs readily from the moulds of sand, it is easy of manipulation, it is at once economical of money and of time.In addition, it is excellent as a material, and I well remember that during the war, at the siege of Atlanta, some iron guns fired one thousand rounds at intervals of twenty minutes without injury.”"
"“可是，铸铁太脆了。”摩根说。","“Cast iron is very brittle, though,” replied Morgan."
"“不错，可它有极强的抗性。现在我要让我们令人尊敬的秘书来计算一下，一尊炮膛长九英尺、膛壁厚六英尺的铸铁大炮的重量。”","“Yes, but it possesses great resistance.I will now ask our worthy secretary to calculate the weight of a cast-iron gun with a bore of nine feet and a thickness of six feet of metal.”"
"“一会儿就好。”马斯顿说道。然后，他极其熟练地匆匆写下一些代数公式，接着很快便宣布了下面的结果：","“In a moment,” replied Maston.Then, dashing off some algebraical formulae with marvelous facility, in a minute or two he declared the following result:"
"“大炮的重量为68,040吨。那么按每磅两美分计算，需要花费——”","“The cannon will weigh 68,040 tons.And, at two cents a pound, it will cost——”"
"“2,510,701美元。”","“Two million five hundred and ten thousand seven hundred and one dollars.”"
"马斯顿、少校和将军都用不安的眼神看着巴比康。","Maston, the major, and the general regarded Barbicane with uneasy looks."
"“哎呀，先生们，”主席说，“我重复一遍我昨天说过的话。请放心，几百万是不成问题的。”","“Well, gentlemen,” replied the president, “I repeat what I said yesterday.Make yourselves easy; the millions will not be wanting.”"
"主席向所有人作了担保，并定好第三次会议将在下一晚召开，此次会议就结束了。","With this assurance of their president the committee separated, after having fixed their third meeting for the following evening."
"第九章 火药的问题","CHAPTER IX THE QUESTION OF THE POWDERS"
"只剩下火药的问题需要考虑了。大家都饶有兴趣地等待着最后的决定。炮弹的大小和炮筒的长度已经确定了，那么需要多少火药才可以产生足够的冲力呢？","There remained for consideration merely the question of powders.The public awaited with interest its final decision.The size of the projectile, the length of the cannon being settled, what would be the quantity of powder necessary to produce impulsion?"
"普遍的说法认为，火药是由修道士施瓦茨于十四世纪发明的，为了这一伟大发明，他付出了生命的代价。但是，已有充分证据证明，这个故事应该只是中世纪的传说。火药并不是由某一个人发明的，它是希腊火药的直系衍生物，二者同样都是由硫磺和硝石组成的。几乎很少有人了解火药的机械动力。而现在，要想理解委员会所面临的问题有多重要，就必须先懂得火药的机械动力是怎么一回事。","It is generally asserted that gunpowder was invented in the fourteenth century by the monk Schwartz, who paid for his grand discovery with his life.It is, however, pretty well proved that this story ought to be ranked among the legends of the middle ages.Gunpowder was not invented by any one; it was the lineal successor of the Greek fire, which, like itself, was composed of sulfur and saltpeter.Few persons are acquainted with the mechanical power of gunpowder.Now this is precisely what is necessary to be understood in order to comprehend the importance of the question submitted to the committee."
"一升火药大约有两磅重，在燃烧的过程中，它会产生400升的气体。温度升高到2,400度时，这些释放出来的气体就会膨胀至4,000升：因此，火药体积与其燃烧时释放出的气体体积的比是1比4,000。所以人们可以想象，当气体被压缩在四千分之一的有限空间里时，会受到多大的挤压力。当然，委员会的成员们第二天晚上见面时，已经对这一切了如指掌了。","A litre of gunpowder weighs about two pounds; during combustion it produces 400 litres of gas.This gas, on being liberated and acted upon by temperature raised to 2,400 degrees, occupies a space of 4,000 litres: consequently the volume of powder is to the volume of gas produced by its combustion as 1 to 4,000.One may judge, therefore, of the tremendous pressure on this gas when compressed within a space 4,000 times too confined.All this was, of course, well known to the members of the committee when they met on the following evening."
"这一次，首先发言的是埃尔芬斯通少校，在战争期间，他就已经是火药厂的主任了。","The first speaker on this occasion was Major Elphinstone, who had been the director of the gunpowder factories during the war."
"“先生们，”这位出色的化学家说道，“首先，我将从一些数据入手，作为我们计算的基础。旧式的24磅炮弹需要用16磅的火药才能发射出去。”","“Gentlemen,” said this distinguished chemist, “I begin with some figures which will serve as the basis of our calculation.The old 24-pounder shot required for its discharge sixteen pounds of powder.”"
"“你确定是这个数量么？”巴比康插话道。","“You are certain of this amount?” broke in Barbicane."
"“相当确定。”少校答道，“阿姆斯特朗大炮只需75磅的火药，就可以把重800磅的炮弹发射出去，而罗德曼的哥伦比亚大炮只需160磅的火药，就可以将半吨重的炮弹射到六英里外。这些数据不可能有问题，因为我在枪炮委员会面前宣誓时，就提到过这一点。”","“Quite certain,” replied the major.“The Armstrong cannon employs only seventy-five pounds of powder for a projectile of eight hundred pounds, and the Rodman Columbiad uses only one hundred and sixty pounds of powder to send its half ton shot a distance of six miles.These facts cannot be called in question, for I myself raised the point during the depositions taken before the committee of artillery.”"
"“没错。”将军说道。","“Quite true,” said the general."
"“好，”少校接着说道，“这些数据表明，火药的量并未随炮弹重量的增加而增加。也就是说，如果一枚24磅的炮弹需要16磅的火药——换句话说，如果普通大炮所需的火药相当于炮弹重量的三分之二，那么这个比例并不是不可更改的。计算一下，你们就会发现我们用不着333磅的火药，只要160磅就足够了。”","“Well,” replied the major, “these figures go to prove that the quantity of powder is not increased with the weight of the shot; that is to say, if a 24-pounder shot requires sixteen pounds of powder;—in other words, if in ordinary guns we employ a quantity of powder equal to two-thirds of the weight of the projectile, this proportion is not constant.Calculate, and you will see that in place of three hundred and thirty-three pounds of powder, the quantity is reduced to no more than one hundred and sixty pounds.”"
"“你想说什么？”主席问道。","“What are you aiming at?” asked the president."
"“我亲爱的少校，如果你把你的理论推到极限，”J.T.马斯顿说，“你就会得到这样的结论：当炮弹变得足够重时，就不需要任何火药了。”","“If you push your theory to extremes, my dear major,” said J. T. Maston, “you will get to this, that as soon as your shot becomes sufficiently heavy you will not require any powder at all.”"
