"彩虹的尽头","At the Rainbow's End"
"唐纳德从松树的顶端看着毁灭性的冰块把木材卷走并在下游消失。对这场灾难，冰凌洪水似乎已经满足了，于是降到了之前的水位，并开始放慢速度。嘈杂声也变小了。其他人能够听见唐纳德在高处大声喊着，让大家往下游看。正如预测的那样，小岛的弯曲处堵住了，冰块在一个巨大的障碍处堆积起来，这障碍处从一个河岸延伸到另一个河岸。河流停了下来，找不到出口的河水开始上涨。河水一直快速上涨，直至岛被淹没。人们趟着没膝的水，那些狗游向了小木屋的废墟。河水到达这个水位的时候，突然不动了，让人觉察不到涨落。","Donald, from the top of the pine, saw the devastating berg sweep away the cordwood and disappear down-stream.As though satisfied with this damage, the ice-flood quickly dropped to its old level and began to slacken its pace.The noise likewise eased down, and the others could hear Donald shouting from his eyrie to look down-stream.As forecast, the jam had come among the islands in the bend, and the ice was piling up in a great barrier which stretched from shore to shore.The river came to a standstill, and the water finding no outlet began to rise.It rushed up till the island was awash, the men splashing around up to their knees, and the dogs swimming to the ruins of the cabin.At this stage it abruptly became stationary, with no perceptible rise or fall."
"蒙塔纳·基德摇了摇头。“上面堵住了，不会再有冰块下来了。”","Montana Kid shook his head.“It’s jammed above, and no more’s coming down.”"
"萨瑟兰补充道：“不确定的是哪个堵塞口会先破裂。”","“And the gamble is, which jam will break first,” Sutherland added."
"“一点儿没错。”基德肯定地说，“如果是上面的堵塞口先破裂，我们就没机会了。一切都会被摧毁。”","“Exactly,” the Kid affirmed.“If the upper jam breaks first, we haven’t a chance.Nothing will stand before it.”"
"那些米诺克人默默地离开了，但是不一会儿《拉莫斯基赫尔》的歌声就在寂静的空中浮起，紧跟着的是《橙色和黑色》。人们在蒙塔纳·基德和警察周围围成了一个圈，一首歌一首歌地唱下去，很快就抓住了合唱中清晰的韵律。","The Minook men turned away in silence, but soon “Rumsky Ho” floated upon the quiet air, followed by “The Orange and the Black.”Room was made in the circle for Montana Kid and the policeman, and they quickly caught the ringing rhythm of the choruses as they drifted on from song to song."
"“啊，唐纳德，你不愿帮忙吗？”戴维在树下哭诉，就是刚才他的同伴爬上去的那棵树。“啊，唐纳德，伙计，你不愿帮忙吗？”他又哭诉起来，试图顺着滑溜溜的树干爬上去，却是徒劳，双手都流血了。","“Oh, Donald, will ye no lend a hand?”Davy sobbed at the foot of the tree into which his comrade had climbed.“Oh, Donald, man, will ye no lend a hand?” he sobbed again, his hands bleeding from vain attempts to scale the slippery trunk."
"然而唐纳德凝视着河流，突然声音颤抖，其中夹杂着恐惧，大声喊道：","But Donald had fixed his gaze up river, and now his voice rang out, vibrant with fear:—"
"“万能的上帝，它又来了！”","“God Almichty, here she comes!”"
"米诺克人、基德和那个警察站在及膝的冰水里，握紧了手，惊恐地提高了音调，唱着《共和国战歌》。但是，洪水逼近的咆哮声淹没了他们的歌声。","Standing knee-deep in the icy water, the Minook men, with Montana Kid and the policeman, gripped hands and raised their voices in the terrible, “Battle Hymn of the Republic.”But the words were drowned in the advancing roar."
"唐纳德看到了这样的景象——人们再也看不见东西，也无法生存。一股白浪像一面巨大的墙一样猛地向小岛扑过来。树木、狗和人们都被淹没了，好像是上帝伸手把自然的脸擦净了。唐纳德看了这么多，在那高处的位置上摇摆了片刻之后，便纵身跳进了那个冰封的地狱。","And to Donald was vouchsafed a sight such as no man may see and live.A great wall of white flung itself upon the island.Trees, dogs, men, were blotted out, as though the hand of God had wiped the face of nature clean.This much he saw, then swayed an instant longer in his lofty perch and hurtled far out into the frozen hell."
