"第一章 一双手","Chapter 1 Hands"
"“他总穿着那件满是橘红色油漆的恶心衣服在房里走动。我现在还能回忆起那个场景。我的母亲很瘦小，眼睛红红的，表情悲伤，总是从后门的一个小棚子走进房子里。那是她洗衣服的地方，她每天趴在洗衣盆上刷洗别人的脏衣服。她会走进来站在桌子边上，用围裙揉揉眼睛，围裙上满是肥皂沫。”","“About the house he went in the clothes covered with the nasty orange colored paint.I can see the picture.My mother, who was small and had red, sad-looking eyes, would come into the house from a little shed at the back.That’s where she spent her time over the washtub scrubbing people’s dirty clothes.In she would come and stand by the table, rubbing her eyes with her apron that was covered with soap-suds.”"
"“‘别碰！看谁敢动那钱！’我的兄弟咆哮着说。接着，他就拿着五或十美元，踏着沉重的脚步往酒吧去了。等他花光了拿去的钱，他就回家来再拿。他从不给母亲一分钱。每次都呆在外面直到把钱花光，一次花一点儿。之后，他就和别的油漆工回铁路上去上班了。他走之后，蔬菜和一些生活用品就源源不断地被送到家里来。有时，会带回给妈妈的裙子，或是给我的鞋。”","“‘Don’t touch it!Don’t you dare touch that money,’ my brother roared, and then he himself took five or ten dollars and went tramping off to the saloons.When he had spent what he had taken he came back for more.He never gave my mother any money at all but stayed about until he had spent it all, a little at a time.Then he went back to his job with the painting crew on the railroad.After he had gone things began to arrive at our house, groceries and such things.Sometimes there would be a dress for mother or a pair of shoes for me.”"
"“很奇特，对不对？虽然他没对我们说过一句好话，还总是暴跳如雷地威胁我们不准动他放在桌上的钱——哪怕那钱会放上三天，可我母亲还是更偏爱他些。”","“Strange, eh?My mother loved my brother much more than she did me, although he never said a kind word to either of us and always raved up and down threatening us if we dared so much as touch the money that sometimes lay on the table three days.”"
"“我们关系很好。我为了做牧师读书，还祈祷。我祷告时就是个不折不扣的蠢蛋。你真该听听。我爸死的时候，我祈祷了一整晚。我兄弟在镇上喝酒、忙着给我们买东西的时候，我也时常这样为大家祈祷。晚饭过后，我会跪在放钱的桌子旁，祈祷好几个小时。趁着没人注意，从桌上偷一两块，放进自己的口袋。现在我说起来觉得好笑，可在那时，真是胆战心惊。我一直都记得这件事。我在报社工作，每周能挣六块钱，我总是直接拿回家给母亲。可从桌上那一摞钱里偷的几块我都花在了自己身上。你知道，都用来买了些小东西，糖、香烟什么的。”","“We got along pretty well.I studied to be a minister and prayed.I was a regular ass about saying prayers.You should have heard me.When my father died I prayed all night, just as I did sometimes when my brother was in town drinking and going about buying the things for us.In the evening after supper I knelt by the table where the money lay and prayed for hours.When no one was looking I stole a dollar or two and put it in my pocket.That makes me laugh now but then it was terrible.It was on my mind all the time.I got six dollars a week from my job on the paper and always took it straight home to mother.The few dollars I stole from my brother’s pile I spent on myself, you know, for trifles, candy and cigarettes and such things.”"
"“父亲在代顿的精神病院里过世的时候，我曾去过。我向我的老板借了一些钱，晚上乘火车去的。那时下着雨。在精神病院，他们款待我的样子就好像我是个国王。”","“When my father died at the asylum over at Dayton, I went over there.I borrowed some money from the man for whom I worked and went on the train at night.It was raining.In the asylum they treated me as though I were a king.”"
"“在那家精神病院工作的人发现我是个报社记者。这让他们很害怕。要知道，当我父亲病重的时候，他们有些疏忽大意。他们觉得我可能会小题大作地在报纸上报道一番。可我从没这么想过。”","“The men who had jobs in the asylum had found out I was a newspaper reporter.That made them afraid.There had been some negligence, some carelessness, you see, when father was ill.They thought perhaps I would write it up in the paper and make a fuss.I never intended to do anything of the kind.”"
"“总之，我走进父亲停灵的房间，对着他的尸体开始祷告。我弄不清为什么我会那么做。即便这样，我那当油漆工的兄弟也不会笑话我。我站在尸体身旁，伸出双手。精神病院的院长和他的助手们走了进来，站在旁边，看着很窘迫。那场面很滑稽。我伸出双手说道：‘愿这具畜体安息。’我就是这么说的。”他一下站了起来，中断了讲述，开始在报社的办公室里来回地踱步，乔治·威拉德就坐在那里听着。他动作笨拙，办公室很小，所以总磕磕碰碰。“我说这些真像个傻瓜。”他说，“我来这儿可不是因为想强迫你同我交朋友。我有别的打算。你是个记者，我曾经也是。所以，你引起了我的注意。你有可能最后也变成另一个像我一样的傻瓜。我想给你提个醒，并一直想给你敲敲警钟。我就是为这个找你的。”","Anyway, in I went to the room where my father lay dead and blessed the dead body.I wonder what put that notion into my head.Wouldn’t my brother, the painter, have laughed, though.There I stood over the dead body and spread out my hands.The superintendent of the asylum and some of his helpers came in and stood about looking sheepish.It was very amusing.I spread out my hands and said, ‘Let peace brood over this carcass.’ That’s what I said.”Jumping to his feet and breaking off the tale, Doctor Parcival began to walk up and down in the office of the Winesburg Eagle where George Willard sat listening.He was awkward and, as the office was small, continually knocked against things.“What a fool I am to be talking,” he said.“That is not my object in coming here and forcing my acquaintanceship upon you.I have something else in mind.You are a reporter just as I was once and you have attracted my attention.You may end by becoming just such another fool.I want to warn you and keep on warning you.That’s why I seek you out.”"
"于是，帕斯瓦尔医生开始和乔治谈起了处世之道。可在乔治看来，他只有一个目的——让人人都看起来卑鄙。“我想让你充满憎恨和藐视，这样，你才能成为人上人。”他郑重地说，“你看我的兄弟，他就是个例子，不是吗？要知道，他谁也瞧不起。你压根儿想不到他有多瞧不起我和母亲。他难道不比我们强吗？你知道的，他确实如此。你没见过他，可我已经让你感觉到了。我已经让你有了这种感觉。他死了。有一次他喝醉了，躺在铁轨上。他同其他油漆工住的那节车厢从他身上碾了过去。”","Doctor Parcival began talking of George Willard’s attitude toward men.It seemed to the boy that the man had but one object in view, to make everyone seem despicable.“I want to fill you with hatred and contempt so that you will be a superior being,” he declared.“Look at my brother.There was a fellow, eh?He despised everyone, you see.You have no idea with what contempt he looked upon mother and me.And was he not our superior?You know he was.You have not seen him and yet I have made you feel that.I have given you a sense of it.He is dead.Once when he was drunk he lay down on the tracks and the car in which he lived with the other painters ran over him.”"
"八月的一天，帕斯瓦尔医生在温斯堡有过一次难忘的经历。那个月，乔治每天早上都会到医生的办公室呆上一个小时。因为医生想给乔治读读他在写的一本书。医生声称，他正是为了写这本书才住到温斯堡来的。","One day in August Doctor Parcival had an adventure in Winesburg.For a month George Willard had been going each morning to spend an hour in the doctor’s office.The visits came about through a desire on the part of the doctor to read to the boy from the pages of a book he was in the process of writing.To write the book Doctor Parcival declared was the object of his coming to Winesburg to live."
"八月的一个早上，乔治还没来。医生的诊室里发生了一个小插曲。大街上发生了一起事故。一群马被火车惊了，跑掉了。一个农夫的女儿——一个小姑娘，从马车上被甩下来，摔死了。","On the morning in August before the coming of the boy, an incident had happened in the doctor’s office.There had been an accident on Main Street.A team of horses had been frightened by a train and had run away.A little girl, the daughter of a farmer, had been thrown from a buggy and killed."
"大街上的人都惊动了，都叫着要找医生来。镇上三位积极的医生迅速赶了过去，却发现孩子已经死了。人群里有人跑到帕斯瓦尔医生的办公室，但医生却断然拒绝去救那个死去的孩子。当事人并没有注意到他的冷酷拒绝。事实上，奔上楼来叫他的人，没听见他拒绝就匆匆忙忙地走掉了。","On Main Street everyone had become excited and a cry for doctors had gone up.All three of the active practitioners of the town had come quickly but had found the child dead.From the crowd someone had run to the office of Doctor Parcival who had bluntly refused to go down out of his office to the dead child.The useless cruelty of his refusal had passed unnoticed.Indeed, the man who had come up the stairway to summon him had hurried away without hearing the refusal."
"帕斯瓦尔医生显然对此也一无所知。乔治·威拉德走进他的办公室的时候，发现医生害怕得浑身发抖。“我的所作所为肯定会激起公愤的。”他大声喊起来，“我还不了解人类的本性吗？我还不知道会发生些什么吗？人们肯定会私下传播我拒绝的消息。不久，他们就会聚集起来，议论纷纷。他们会到这儿来。我们会争论一番，然后提到绞刑。接着，再来时，他们就会手里拿着根绳子。”","All of this, Doctor Parcival did not know and when George Willard came to his office he found the man shaking with terror.“What I have done will arouse the people of this town,” he declared excitedly.“Do I not know human nature?Do I not know what will happen?Word of my refusal will be whispered about.Presently men will get together in groups and talk of it.They will come here.We will quarrel and there will be talk of hanging.Then they will come again bearing a rope in their hands.”"
"医生害怕得一直抖。“我有预感，”他郑重其事地宣布，“我刚才说的一切估计不会在今天早上发生。可最迟拖到晚上，我就会被吊死。他们会群情激愤。我将会被吊死在大街的灯柱上。”","Doctor Parcival shook with fright.“I have a presentiment,” he declared emphatically.“It may be that what I am talking about will not occur this morning.It may be put off until tonight but I will be hanged.Everyone will get excited.I will be hanged to a lamp post on Main Street.”"
"他走到他那脏兮兮的办公室的门边，畏畏缩缩地看着通往街道的楼梯。等他转回身来的时候，眼里的恐惧开始变成了怀疑。他轻手轻脚地穿过房间走过来，拍了拍乔治的肩膀。“如果不是现在，有朝一日也会，”他低声地说道，摇摇头，“最后，我也会被钉死的，毫无意义地钉死。”","Going to the door of his dirty office, Doctor Parcival looked timidly down the stairway leading to the street.When he returned the fright that had been in his eyes was beginning to be replaced by doubt.Coming on tiptoe across the room he tapped George Willard on the shoulder.“If not now, sometime,” he whispered, shaking his head.“In the end I will be crucified, uselessly crucified.”"
"医生又开始恳求乔治。“你必须对我留点心。”他催促道，“如果有事发生，或许你能把我没写完的书完成。这本书的主题很简单，简单到稍不留心就会忘记。那就是——世上人人都是基督，都被钉在十字架上。这就是我想说的。你千万别忘了。无论发生什么，你千万别忘记。”","Doctor Parcival began to plead with George Willard.“You must pay attention to me,” he urged.“If something happens perhaps you will be able to write the book that I may never get written.The idea is very simple, so simple that if you are not careful you will forget it.It is this—that everyone in the world is Christ and they are all crucified.That’s what I want to say.Don’t you forget that.Whatever happens, don’t you dare let yourself forget.”"
"第五章 无人知晓","Chapter 5 Nobody Knows"
"乔治·威拉德先四处小心地望了望，然后从《温斯堡鹰报》办公室的书桌后站起身，急急忙忙地从后门出去了。这是个温暖而阴沉的夜晚，尽管不到八点，《鹰报》办公楼后的小巷内已经一片漆黑。黑暗中，一群马被拴在一根柱子上，踢着腿，蹬在烤得发硬的地面上。一只猫从乔治·威拉德脚下跳了过去，消失在黑夜里。年轻人有些紧张。一整天，他都像个被打昏了的人似的忙着工作。在巷子里，他就好像是被惊吓了似的颤抖着。","Looking cautiously about, George Willard arose from his desk in the office of the Winesburg Eagle and went hurriedly out at the back door.The night was warm and cloudy and although it was not yet eight o’clock, the alleyway back of the Eagle office was pitch dark.A team of horses tied to a post somewhere in the darkness stamped on the hard-baked ground.A cat sprang from under George Willard’s feet and ran away into the night.The young man was nervous.All day he had gone about his work like one dazed by a blow.In the alleyway he trembled as though with fright."
"乔治·威拉德在黑暗里小心翼翼地沿着小巷走着。温斯堡各个商店的后门都开着，他可以看见人们在店里的灯下闲坐着。在梅尔波姆杂货店里，酒吧店的老板娘威利太太站在柜台边，胳膊上挽着一个篮子。店员锡德·格林陪在她旁边。他斜靠在柜台上面，郑重其事地说着话。","In the darkness George Willard walked along the alleyway, going carefully and cautiously.The back doors of the Winesburg stores were open and he could see men sitting about under the store lamps.In Myerbaum’s Notion Store Mrs.Willy the saloon keeper’s wife stood by the counter with a basket on her arm.Sid Green the clerk was waiting on her.He leaned over the counter and talked earnestly."
"乔治·威拉德蹲下身子，随即一跃，跳过了从门口照出来的一片亮光。他开始在黑暗里向前奔跑。在埃德·格里菲思酒吧店的后面，老酒鬼杰里·伯德躺在地上睡着了。乔治绊在他伸出来的腿上。他笑得喘不过气。","George Willard crouched and then jumped through the path of light that came out at the door.He began to run forward in the darkness.Behind Ed Griffith’s saloon old Jerry Bird the town drunkard lay asleep on the ground.The runner stumbled over the sprawling legs.He laughed brokenly."
"乔治·威拉德在做件冒险的事。这一整天，他都在竭力下定决心要将这件事做到底。现在，他就在付诸实践。在《鹰报》的办公室里，他从六点钟开始就一直坐着，努力思考着。","George Willard had set forth upon an adventure.All day he had been trying to make up his mind to go through with the adventure and now he was acting.In the office of the Winesburg Eagle he had been sitting since six o’clock trying to think."
"他并没有做出什么决定。他于是跳起来，匆忙越过在印刷室里校样的威尔·亨德森，开始沿着小巷奔跑起来。","There had been no decision.He had just jumped to his feet, hurried past Will Henderson who was reading proof in the printshop and started to run along the alleyway."
"乔治·威拉德跑过一条又一条街道，躲过沿路的行人。他穿过马路，再穿回来。当穿过一盏街灯的时候，他把帽子拉下来盖住脸。他不敢想。他心里有种恐惧，可这是种新的恐惧。他害怕正在进行的这个冒险被破坏，那他将会失去勇气，无功而返。","Through street after street went George Willard, avoiding the people who passed.He crossed and recrossed the road.When he passed a street lamp he pulled his hat down over his face.He did not dare think.In his mind there was a fear but it was a new kind of fear.He was afraid the adventure on which he had set out would be spoiled, that he would lose courage and turn back."
"乔治·威拉德看见路易丝·特鲁宁在她父亲的厨房里。她在一盏煤油灯下洗着盘子。厨房在房子的后面，像个小棚屋似的。她就站在纱门后面。乔治·威拉德停在一道尖尖的篱笆旁，竭力控制他颤抖的身体。隔开他同这次冒险行为的只有一片窄小的土豆地。五分钟后，他才觉得有足够的信心开口叫她。“路易丝！哦，路易丝！”他叫道。叫声卡在了他的喉咙里。他的声音变成了嘶哑的低语。","George Willard found Louise Trunnion in the kitchen of her father’s house.She was washing dishes by the light of a kerosene lamp.There she stood behind the screen door in the little shedlike kitchen at the back of the house.George Willard stopped by a picket fence and tried to control the shaking of his body.Only a narrow potato patch separated him from the adventure.Five minutes passed before he felt sure enough of himself to call to her.“Louise!Oh, Louise!” he called.The cry stuck in his throat.His voice became a hoarse whisper."
"路易丝·特鲁宁穿过那片土豆地走出来，手里还拿着洗碗布。“你怎么知道我想同你一起出去？”她闷闷不乐地说，“你凭什么这么自信？”","Louise Trunnion came out across the potato patch holding the dish cloth in her hand.“How do you know I want to go out with you,” she said sulkily.“What makes you so sure?”"
"乔治·威拉德没有答话。两个人隔着篱笆默默地站在黑暗里。","George Willard did not answer.In silence the two stood in the darkness with the fence between them."
"“你先走吧。”她说，“我爸爸在那儿，我就来。你在威廉斯的谷仓旁等我。”","“You go on along,” she said.“Pa’s in there.I’ll come along.You wait by Williams’ barn.”"
"年轻的记者收到过路易丝·特鲁宁的一封信。信是早上送到《鹰报》办公室的。内容很简洁。上面写的是：“如果你愿意，我就是你的。”可是，刚才在黑漆漆的篱笆边上她装作两人之间毫无关系的样子让他觉得气恼。“她真放肆！嘿，老天，她真放肆！”他低声嘟囔着，顺着街道走过一排种着玉米的空地。玉米长到人的肩膀那么高，一直种到了人行道上。路易丝从家里的前门出来，仍旧穿着洗碗时的格子布裙。她没有戴帽子。乔治看见她握着门把站在那里，同门里的人说话，毫无疑问，是同她的父亲，老杰克·特鲁宁。老杰克有些耳聋，她大声地嚷着。门关上了，小巷里一片漆黑寂静。乔治·威拉德比以往抖得更厉害了。","The young newspaper reporter had received a letter from Louise Trunnion.It had come that morning to the office of the Winesburg Eagle.The letter was brief.“I’m yours if you want me,” it said.He thought it annoying that in the darkness by the fence she had pretended there was nothing between them.“She has a nerve!Well, gracious sakes, she has a nerve,” he muttered as he went along the street and passed a row of vacant lots where corn grew.The corn was shoulder high and had been planted right down to the sidewalk.When Louise Trunnion came out of the front door of her house she still wore the gingham dress in which she had been washing dishes.There was no hat on her head.The boy could see her standing with the doorknob in her hand talking to someone within, no doubt to old Jake Trunnion, her father.Old Jake was half deaf and she shouted.The door closed and everything was dark and silent in the little side street.George Willard trembled more violently than ever."
"乔治和路易丝站在谷仓旁的阴影里，谁也不敢开口。她并不是很漂亮，鼻子旁还有块黒印。乔治想，她一定是在拿过厨房的锅后拿手指檫过鼻子。","In the shadows by Williams’ barn George and Louise stood, not daring to talk.She was not particularly comely and there was a black smudge on the side of her nose.George thought she must have rubbed her nose with her finger after she had been handling some of the kitchen pots."
"这个年轻人开始神经质地大笑起来。“天气很暖和啊，”他说。他想用手碰碰她。“我不要太冒失。”他想。他打定主意，就去摸摸她那条弄脏了的格子棉裙的花边，那应该也很美妙。她开始找茬了。“你觉得你比我强。别告诉我，我想我知道。”她说着，向他靠近了些。","The young man began to laugh nervously.“It’s warm,” he said.He wanted to touch her with his hand.“I’m not very bold,” he thought.Just to touch the folds of the soiled gingham dress would, he decided, be an exquisite pleasure.She began to quibble.“You think you’re better than I am.Don’t tell me, I guess I know,” she said drawing closer to him."
"乔治·威拉德突然滔滔不绝地开始说话了。他记起在街上遇见的时候，这姑娘的眼睛里曾隐藏着的神情，然后他想起她写的那封信。他不再怀疑了。小镇里流传的那些关于她的事情给了他信心。他变得雄性十足，放肆大胆、勇往直前。在他的内心，他并不同情她。“啊，过来，没关系的。没人会知道。他们怎么可能知道呢？”他怂恿道。","A flood of words burst from George Willard.He remembered the look that had lurked in the girl’s eyes when they had met on the streets and thought of the note she had written.Doubt left him.The whispered tales concerning her that had gone about town gave him confidence.He became wholly the male, bold and aggressive.In his heart there was no sympathy for her.“Ah, come on, it’ll be all right.There won’t be anyone know anything.How can they know?” he urged."
"他们开始沿着一条狭窄的砖块铺成的人行道往前走；砖头缝里长着长长的杂草。有的地方砖头都没了，路面凹凸不平。他握住她的手。那只手也十分粗糙，可他觉得小得可爱。“我不能走远。”她说，声音安静而镇定。","They began to walk along a narrow brick sidewalk between the cracks of which tall weeds grew.Some of the bricks were missing and the sidewalk was rough and irregular.He took hold of her hand that was also rough and thought it delightfully small.“I can’t go far,” she said and her voice was quiet, unperturbed."
"他们穿过一座小溪上的桥，然后经过了另一片长着玉米的空地。到了街道的尽头。在马路旁的小道上，他们只能一前一后地走。威尔·奥佛顿的浆果地就在马路边，那里有堆木板。“威尔打算在这里搭个棚子来放浆果箱。”乔治说，然后他们就在木板上坐了下来。","They crossed a bridge that ran over a tiny stream and passed another vacant lot in which corn grew.The street ended.In the path at the side of the road they were compelled to walk one behind the other.Will Overton’s berry field lay beside the road and there was a pile of boards.“Will is going to build a shed to store berry crates here,” said George and they sat down upon the boards."
"当乔治·威拉德回到大街上的时候，已经十点多了，而且开始下雨了。他在大街上来回走了整整三趟。西尔维斯特·韦斯特的杂货店还在营业，他进去买了支雪茄。店员肖提·克兰德尔送他出门的时候，他心情愉快。两个人站在店门的避雨蓬下聊了五分钟。乔治·威拉德感到心满意足。他特别想找个人聊聊。他轻轻地吹着口哨，往街转角的新威拉德旅店走去。","When George Willard got back into Main Street it was past ten o’clock and had begun to rain.Three times he walked up and down the length of Main Street.Sylvester West’s Drug Store was still open and he went in and bought a cigar.When Shorty Crandall the clerk came out at the door with him he was pleased.For five minutes the two stood in the shelter of the store awning and talked.George Willard felt satisfied.He had wanted more than anything else to talk to some man.Around a corner toward the New Willard House he went whistling softly."
"他停在温尼的干货店旁的人行道上，那里有一块高高的木栅栏，上面贴满了马戏团的照片。他一动不动地站在黑暗中，停止了吹口哨，开始聚精会神地聆听，就好像有个声音在叫他的名字似的。接着，他又神经兮兮地笑起来。“她什么也没从我这儿得到。没人知道。”他固执地喃喃自语，然后继续走他的路。","On the sidewalk at the side of Winney’s Dry Goods Store where there was a high board fence covered with circus pictures, he stopped whistling and stood perfectly still in the darkness, attentive, listening as though for a voice calling his name.Then again he laughed nervously.“She hasn’t got anything on me.Nobody knows,” he muttered doggedly and went on his way."
"第六章 虔诚","Chapter 6 Godliness"
"一个由四部分组成的故事","A Tale in Four Parts"
"一","I"
"本特利农场里总有三四位老人，或坐在房前的门廊里，或在花园里散步。其中的三位老太太是女的，是杰西的姐姐。她们面容苍白,说起话来轻声细语。还有一位是杰西的叔叔，有一头稀少的白发，总是缄默不语的。","There were always three or four old people sitting on the front porch of the house or puttering about the garden of the Bentley farm.Three of the old people were women and sisters to Jesse.They were a colorless, soft voiced lot.Then there was a silent old man with thin white hair who was Jesse’s uncle."
"这座农舍用木头建成，是一大块向外伸着的木板盖在木头架子上。事实上，这不是一座房子，而是好几座，不过以相当无序的方式连在一起了。房子里面处处令人吃惊。从起居室到餐厅要上台阶，从一个房间走到另一个也要上下台阶。吃饭的时候，这个地方就像个马蜂窝。开始时，一切都很安静；接着，门纷纷被打开，杂乱的脚步声在台阶上响起；然后，听到轻声的喃喃自语，这些人便从各个不起眼的角落里冒了出来。","The farmhouse was built of wood, a board outer-covering over a framework of logs.It was in reality not one house but a cluster of houses joined together in a rather haphazard manner.Inside, the place was full of surprises.One went up steps from the living room into the dining room and there were always steps to be ascended or descended in passing from one room to another.At meal times the place was like a beehive.At one moment all was quiet, then doors began to open, feet clattered on stairs, a murmur of soft voices arose and people appeared from a dozen obscure corners."
"除了之前提及的四位老人，农场里还住着许多人。这里有四个男仆；有管理家务的考利·毕比大妈；负责铺床和挤牛奶的傻丫头伊莱扎·斯托顿；收拾马厩的一个小伙子；还有杰西·本特利本人，他是这里的主人，主宰一切。","Besides the old people, already mentioned, many others lived in the Bentley house.There were four hired men, a woman named Aunt Callie Beebe, who was in charge of the housekeeping, a dull-witted girl named Eliza Stoughton, who made beds and helped with the milking, a boy who worked in the stables, and Jesse Bentley himself, the owner and overlord of it all."
"那时，美国内战已过去二十年了，本特利农场所在的俄亥俄北部地区已经开始从拓荒生活中崛起。杰西当时已经拥有了收割稻谷的机器。他已经建起了新式的谷仓，还用仔细铺设的排水瓦管给大多数土地排了水。但为了弄明白这个人，我们还得从更早的时候说起。","By the time the American Civil War had been over for twenty years, that part of Northern Ohio where the Bentley farms lay had begun to emerge from pioneer life.Jesse then owned machinery for harvesting grain.He had built modern barns and most of his land was drained with carefully laid tile drain, but in order to understand the man we will have to go back to an earlier day."
"在杰西这一辈之前，本特利家族已经有好几代人在俄亥俄北部居住了。他们来自纽约州；当时这片土地还未经开垦，所以可以以低价买到，于是他们便买下了地，在这里扎根下来。在很长的一段时间内，他们同中西部的其他美国人一样，非常贫穷。他们定居的土地上森林繁茂，满是倒下来的原木和矮树丛。他们付出了长期而艰苦的劳动来清理这些东西、砍伐木材。但现在他们还有残留的树桩需要清理。耕地时，犁常会碰上埋在地下的树根和遍地都是的石头；低洼的地方有积水；刚长出来的玉米就变黄、枯萎，最后死掉了。","The Bentley family had been in Northern Ohio for several generations before Jesse’s time.They came from New York State and took up land when the country was new and land could be had at a low price.For a long time they, in common with all the other Middle Western people, were very poor.The land they had settled upon was heavily wooded and covered with fallen logs and underbrush.After the long hard labor of clearing these away and cutting the timber, there were still the stumps to be reckoned with.Plows run through the fields caught on hidden roots, stones lay all about, on the low places water gathered, and the young corn turned yellow, sickened and died."
"等到杰西的父亲和兄弟们接手这片土地时，大部分艰苦的清理工作已经完成。可是，他们仍旧坚持旧式的农作方式，像牲口似的劳作。他们几乎和当时所有的庄稼汉们一样生活着。在春天和大部分冬天，通往温斯堡镇的大路都是一片泥泞。家里的四个年轻男人整天都在地里拼命干活，吃大量粗糙、油腻的食物，晚上睡在稻草床上，像累坏了的野兽一般。他们的生活中很少有不粗俗、不野蛮的人；表面上看，他们自己也是粗鄙、鲁莽的。每到周六下午，他们就赶着马，驾着一辆三人座的马车往小镇上去。在那里，他们会围在商店的火炉边上，同别的农夫或者店主们交谈。他们穿着套头衣，冬天时就穿着厚厚的、满是泥点的外套。他们在烤火时伸出来的手是干裂发红的。他们不善交谈，于是大多时候保持缄默。当他们买了肉、面粉、糖和盐之后，便会找间温斯堡的酒吧去喝啤酒。在酒精的作用下，平时被开垦新疆土的英雄劳动所压抑的、天生的强烈欲望便被释放了出来。他们被一种原始的、类似动物般的、充满诗意的热情所控制。回家途中，他们站在马车座位上，对着星星大叫大嚷。有时他们会长时间凶狠地斗殴，有时则会放声高歌。有一次，老大伊诺克·本特利用一个马车夫的马鞭鞭柄抽了他的父亲老汤姆·本特利一顿，老头看上去都要断气了。有好多天，艾诺克都藏在马厩阁楼的稻草堆里。一旦他那一时冲动的结果变成谋杀，他便准备偷偷逃走。他靠母亲带来的食物维系生命，她也将老头的伤情告诉他。情况一好转，他就从藏身之处冒了出来，像什么都没发生过一样回去开垦土地。","When Jesse Bentley’s father and brothers had come into their ownership of the place, much of the harder part of the work of clearing had been done, but they clung to old traditions and worked like driven animals.They lived as practically all of the farming people of the time lived.In the spring and through most of the winter the highways leading into the town of Winesburg were a sea of mud.The four young men of the family worked hard all day in the fields, they ate heavily of coarse, greasy food, and at night slept like tired beasts on beds of straw.Into their lives came little that was not coarse and brutal and outwardly they were themselves coarse and brutal.On Saturday afternoons they hitched a team of horses to a three-seated wagon and went off to town.In town they stood about the stoves in the stores talking to other farmers or to the store keepers.They were dressed in overalls and in the winter wore heavy coats that were flecked with mud.Their hands as they stretched them out to the heat of the stoves were cracked and red.It was difficult for them to talk and so they for the most part kept silent.When they had bought meat, flour, sugar, and salt, they went into one of the Winesburg saloons and drank beer.Under the influence of drink the naturally strong lusts of their natures, kept suppressed by the heroic labor of breaking up new ground, were released.A kind of crude and animal-like poetic fervor took possession of them.On the road home they stood up on the wagon seats and shouted at the stars.Sometimes they fought long and bitterly and at other times they broke forth into songs.Once Enoch Bentley, the older one of the boys, struck his father, old Tom Bentley, with the butt of a teamster’s whip, and the old man seemed likely to die.For days Enoch lay hid in the straw in the loft of the stable ready to flee if the result of his momentary passion turned out to be murder.He was kept alive with food brought by his mother, who also kept him informed of the injured man’s condition.When all turned out well he emerged from his hiding place and went back to the work of clearing land as though nothing had happened."
"内战迅速地改变了本特利家族的命运，也成就了最小的儿子杰西。伊诺克·本特利、爱德华·本特利、哈里·本特利和威尔·本特利全都报名参了军；在漫长的战争结束之前，他们全死在了战场上。他们离家前往南方打仗之后，老汤姆曾试着独自耕作，却没能成功。当最后一个儿子也死在战场上时，他给杰西捎信，要他无论如何必须回家。","The Civil War brought a sharp turn to the fortunes of the Bentleys and was responsible for the rise of the youngest son, Jesse.Enoch, Edward, Harry, and Will Bentley all enlisted and before the long war ended they were all killed.For a time after they went away to the South, old Tom tried to run the place, but he was not successful.When the last of the four had been killed he sent word to Jesse that he would have to come home."
"接着，病了一年的母亲突然去世，父亲便完全意志消沉了。他谈到想卖掉农场，搬到镇上去。他整天四处游荡，摇着脑袋喃喃自语。田地被荒废，玉米地里杂草丛生。老汤姆雇来工人却不善管理。工人们早上到田里干活的时候，他便在树林里盘桓，坐在一根木头上。有时候他晚上也忘了回家，女儿不得不四处寻找。","Then the mother, who had not been well for a year, died suddenly, and the father became altogether discouraged.He talked of selling the farm and moving into town.All day he went about shaking his head and muttering.The work in the fields was neglected and weeds grew high in the corn.Old Tim hired men but he did not use them intelligently.When they had gone away to the fields in the morning he wandered into the woods and sat down on a log.Sometimes he forgot to come home at night and one of the daughters had to go in search of him."
"杰西·本特利回到农场的家里开始接管一切的时候，已经是个二十二岁的成年男子了，看上去瘦弱而敏感。他十八岁时离家去上学，想成为一名学者，最后做一名长老会的神父。整个少年时期，他就是那种农村里称为“乖僻的羊”的人；他同几个哥哥的关系也不好。家里只有母亲理解他，但她现在也过世了。他回家接管的农场在那时已经扩大到了超过六百英亩。见他没法去接手过去由四个身强力壮的哥哥干的活，附近农场和温斯堡镇郊的所有人都嘲笑他。","When Jesse Bentley came home to the farm and began to take charge of things he was a slight, sensitive-looking man of twenty-two.At eighteen he had left home to go to school to become a scholar and eventually to become a minister of the Presbyterian Church.All through his boyhood he had been what in our country was called an “odd sheep” and had not got on with his brothers.Of all the family only his mother had understood him and she was now dead.When he came home to take charge of the farm, that had at that time grown to more than six hundred acres, everyone on the farms about and in the nearby town of Winesburg smiled at the idea of his trying to handle the work that had been done by his four strong brothers."
"事实上，他们也有足够的理由笑话他。按照当时的标准，杰西看上去完全不像个男人。他瘦小纤细，身材像个女人；着装严格按照年轻牧师的传统穿戴：一件黑色长外套，系了个窄窄的黑色蝶形领结。每次邻居们看见他都忍俊不禁。多年以后，当他们看见他娶的城里的妻子时更是乐不可支。","There was indeed good cause to smile.By the standards of his day Jesse did not look like a man at all.He was small and very slender and womanish of body and, true to the traditions of young ministers, wore a long black coat and a narrow black string tie.The neighbors were amused when they saw him, after the years away, and they were even more amused when they saw the woman he had married in the city."
