"印度","India "
"在印度我所到之处都会看见这种高贵而旺盛的灌木上面开满了花，但开出这种紫色花朵的只有勒克瑙的九重葛，其次是德里堡。直到加尔各答我才瞥见枝叶繁茂的著名古德摩尔红树。但是这足以让我想象出种上这种树的街道是多么漂亮。而在孟买，有很多一品红，是领略古德摩尔红树美丽的前奏曲。","Everywhere that I went in India I found this noble lavish shrub in full flower, but never wearing such a purple as at Lucknow. The next best was in the Fort at Delhi. It was not till I reached Calcutta that I caught any glimpse of the famous scarlet goldmore tree in leaf; but I saw enough to realise how splendid must be the effect of an avenue of them. Bombay, however, was rich in hedges of poinsettia, and they serve as an introduction to the goldmore’s glory."
"离开官邸前，我想从守卫勒克瑙的小册子上摘录一段话，这本小册子是联合省总督哈考特·巴特勒爵士以其特有的体贴为他的客人们准备的。“来到这座官邸的访客，”他写道，显然是想到了某个与我们到访相似的夜晚，“若重温往昔、畅想未来，你们会留意到在这个敌人进攻最猛烈的地方，奥德最早的地主——伯尔拉姆布尔王公已经为欧洲人和印度人建立起了两座医院。当夕阳余晖洒满这座伟大的城市，在修剪平整的草坪上和连接过去与将来的残破城墙边逗留片刻，他会收获一种强大的希望，就像祈祷的人听到了遥远的召唤。旧的伤口很快就会愈合，分裂的缘由也会消失，英国人和印度人会联合起来效忠他们所爱戴的君王，他们会像兄弟一样站在帝国的圣坛前，共同肩负帝国的责任，共同分享帝国无法估量的特权，甚至还可以做些我们不曾见过甚至不曾梦想过的事情来巩固它在世上饱经风霜的声誉。”","Before leaving the Residency I should like to quote a passage from the little brochure on the defence of Lucknow which Sir Harcourt Butler40, the Governor of the United Provinces, with characteristic thoughtfulness has prepared for the use of his guests. “The visitor to the Residency,” he wrote, thinking evidently of a similar evening to that on which we visited it, “who muses on the past and the future, may note that upon the spot where the enemy’s assault was hottest twin hospitals for Europeans and Indians have been erected by Oudh’s premier Taluqdar, the Maharaja of Balrampur41; and as the sun sets over the great city, lingering awhile on the trim lawns and battered walls which link the present with the past, a strong hope may come to him, like a distant call to prayer, that old wounds may soon be healed, and old causes of disunion may disappear, and that Englishmen and Indians, knit together by loyalty to their beloved Sovereign, may be as brothers before the altar of the Empire, bearing the Empire’s burden, and sharing its inestimable privileges, and, it may be, adding something not yet seen or dreamt of to its world-wide and weather-beaten fame.” "
"我带着遗憾离开了勒克瑙，我会建议每一个有闲暇的欧洲人，如果想即刻变得文明和热情起来，就应该认真考虑去那里过一个冬天，而不是去让人虚幻的阳光下的里维埃拉或相对野蛮的阿尔及尔。虽然去勒克瑙的旅程更长，但是它的魅力也更大。","I left Lucknow with regret, and would advise any European with time to spare, and the desire to be at once civilised and warm, to think seriously of spending a winter there instead of in the illusory sunshine of the Riviera, or the comparative barbarity of Algiers. The journey is longer, but the charm of the place would repay. "
"老虎","A Tiger"
"有机会猎虎——而且是在象背上——是运气使然，这让我充分体验到了印度非英式的特色。印度的一切——如宫殿、集市、大篷车、清真寺、庙宇及其朝拜者等——几乎都可以在别的地方重现，但载着我们的大象经过了丛林、喜马拉雅山以及大片的沼泽，一直到普利姆索尔，这都无法重现，食人兽追捕行动带来的近乎痛苦的狂喜无法重现。","To have the opportunity of hunting a tiger—on an elephant too—which by a stroke of luck fell to me, is to experience the un-English character of India at its fullest. Almost everything else could be reproduced elsewhere—the palaces, the bazaars, the caravans, the mosques and temples with their worshippers—but not the jungle, the Himalayas, the vast swamps through which our elephants waded up to the Plimsoll, the almost too painful ecstasies of the pursuit of an eater of man. "
"组织这次捕猎的主人是哈考特·巴特勒爵士，曾多次猎获老虎，他的好客是出了名的，招待客人慷慨热情、细致入微。他不满意“勒克瑙一周”安排的普通娱乐活动，认为这些不足以招待客人，于是一时兴起安排一天在尼泊尔边境狩猎印度沼鹿。时间仓促，本打算安排七十多头大象，最后只弄到了二十五头，主人还因此向我们（我们总共才六人）道歉，但是我们从未一次见过六头以上的大象，而且都是在动物园和马戏团，这二十五头大象并列排开就足以令我们震撼不已。它们在平原上等候我们，我们从车站出来，经过一些临时道路，驱车行驶了几十英里到达那里。我们坐了一整晚的火车才到那个车站，车站的名字我不记得了，因为兴奋的大脑里没有多余的空间储存这类琐事，但是其他的一切我都没有忘记。","The master of the chase, who has many tigers to his name, was Sir Harcourt Butler, whose hospitality is famous, so large and warm is it, and so minute, and it was because he was not satisfi ed that the ordinary diversions of the “Lucknow Week” were sufficient for his guests, that he impulsively arranged a day’s swamp-deer shooting on the borders of Nepaul. The time was short, or of elephants there would have been seventy or more; as it was, we were apologised to (there were only about six of us) for the poverty of the supply, a mere five and twenty being obtainable. But to these eyes, which had never seen more than six elephants at once, and those in the captivity either of a zoo or a circus, a row of five and twenty was astounding. They were waiting for us on the plain, at a spot distant some score of miles by car, through improvised roads, from the station, whither an all-night railway journey had borne us. The name of the station, if I ever knew it, I have forgotten: there was no room in my heated brain for such trifles; but I have forgotten nothing else. "
"我们在清晨凉爽、芳香的空气中驱车一个半小时后来到那里，透过那些挂在茎秆上为司机指路的飞舞的破布，我们突然看见了远处的一些帐篷，帐篷旁有一大片黑压压的长形物体，说不清是什么，在薄雾中不时地移动。我们慢慢接近，发现这原来是并列排开的大象集合在那里准备迎接总督。这是我见过的最令人难忘、最具东方特色的场面，还很怪诞，因为有些大象的脸上擦了粉，指甲涂成了金色，还有几头大象打量着我，表情十分滑稽。六七头象配了坐轿，其他的则铺上了毯子：这些象轿是为猎队和队长巴姆·巴哈杜尔——一位著名的职业猎手准备的。其他的用来运载食物和运回猎物。每头象的颈上都坐着一个面无表情的驯象人。","It was after an hour and a half ’s drive in the cool and spicy early morning air—between the f luttering rags on canes which told the drivers how to steer—that we came suddenly in sight of some distant tents and beside them an immense long dark inexplicable mass which through the haze seemed now and then to move. As we drew nearer, this mass was discerned to be a row of elephants assembled in line ready to salute the Governor. The effect was more impressive and more Eastern than anything I had seen. Grotesque too—for some had painted faces and gilded toes, and not a few surveyed me with an expression in which the comic spirit was too noticeable. Six or seven had howdahs, the rest blankets: those with howdahs being for the party and its leader, Bam Bahadur, a noted shikaree; and the others to carry provisions and bring back the spoil. On the neck of each sat an impassive mahout."
"对于一个用笔胜过用枪，五十年只猎获几只野兔、一只刺猬和一只黑水鸡的人而言，交给他一杆连发步枪、几十发子弹，告诉他额头上有红印的大个那头就是你的大象，这可是一次不小的考验。骑在大象背上穿过丛林而不带一件致命武器就已经够刺激的了,而当人们还希望你用手中的武器射杀猎物就有些过头了。不过，有其他人一起，就没有什么办不到的。我慢慢吃力地借助梯子上了象背，不像熟练的猎人那样一脚踩在象鼻上，被往上一甩就上去了。我旁边的是一个身手敏捷的印度小伙，父亲是个小首领，他讲一口纯正的英语，接下来要教我狩猎知识。","To one to whom the pen is mightier than the gun and whose half a century’s bag contains only a few rabbits, a hedgehog and a moorhen, it is no inconsiderable ordeal to be handed a repeating rifle and some dozens of cartridges and be told that that is your elephant—the big one there, with the red ochre on its forehead. To be on an elephant in the jungle without the responsibilities of a lethal weapon would be sufficient thrill for one day: but to be expected also to deal out death was too much. In the company of others, however, one can do anything; and I gradually ascended to the top, not, as the accomplished hunters did, by placing a foot on the trunk and being swung heavenwards, but painfully, on a ladder; by my side being a very keen Indian youth, the son of a minor chieftain, who spoke English perfectly and was to instruct me in Nimrod’s lore. "
"我们的队伍就这样出发了，不久我就感到强烈的不适，因为象轿急促摇晃、颠簸，让人担心大象迟早是要跌倒的——而且应该很快，过了好大一会才逐渐适应摇晃，同时消除这种担心。但是清晨的美景、行进的紧迫、交通工具的新奇和庄严、场面的奇特以及我的同伴对这一天收获的预测帮我克服了一切不适，我很快就忘记了自己的存在。目的地是约六英里外的一带沼泽，那里常有印度沼鹿出没。我们兵分三路，一些大象，也就是我所在的一队从左侧进入，前往指定地点等候向那个方向逃去的沼鹿，一队从右侧进入，还有一队由中间进入。","And so the procession started, and for a while discomfort set acutely in, for the movement of a howdah is short and jerky, and it takes some time both to adjust oneself to it and to lose the feeling that the elephant sooner or later—and probably sooner—must trip and fall. But the glory of the morning, the urgency of our progress, the novelty and sublimity of the means of transport, the strangeness of the scene, and my companion’s speculations on the day’s promise, overcame any personal want of ease and I forgot myself in the universal. Our destination was a series of marshes some six miles away, where the gonds—or swamp-deer—were usually found, and we were divided up, some elephants, of which mine was one, taking the left wing, with instructions on reaching a certain spot to wait there for the deer who would move off in that direction; others taking the right wing; and others beating up the middle. "
"一开始我们就面临紧张的毅力考验——因为没过一会儿脚下就出现了一条长河，而我们必须过河。当大象走下几乎与水面垂直的河堤，跳入水中，溅起一大片水花时，我放弃了一切希望。但是它趟过了河，用力一扭它庞大的身躯上了岸，前方是一片延绵不绝的平地，我又有时间环顾四周、沉思命运了。前面远处掩映在蓝色薄雾中的就是喜马拉雅山。这里是一望无际的田野，到处是白色的牛群在吃草；有伸长脖子的鹭站在草地上；时不时会有一群印度黑羚跑过（它们不是我们的狩猎对象）；天空中到处是野鸭和其他水鸟。","We began with a trial of nervous stamina—for a river far down in its bed below us almost immediately occurred, and this had to be crossed. I abandoned all hope as the elephant descended the bank almost, as it seemed, perpendicularly, and plunged into the water with an enormous splash. But after he had squeeged through, extricating himself with a gigantic wrench, the ground was level for a long while, and there was time to look around and recollect one’s fatalism. Far ahead in a blue mist were the Himalayas. All about were unending fields, with here and there white cattle grazing. Cranes stretched their necks above the grass; now and then a herd of blackbuck (which were below our hunting ambitions) scampered away; the sky was full of wild-duck and other water-fowl. "
"关于狩猎沼鹿，我本来是有些要说的，但是突然发生的一件事情转移了我的注意力，使我无暇顾及这个活泼而难以捉摸的家伙。我们终于走完了沼泽地，大多数人出现在一块高地上，这里是一片空地，或者叫广场，就像英国禁猎区的车道，但是更加开阔。出了丛林，大家一心想着午饭，就在这时一个黄黑色的影子突然从空地上窜过，离最近的大象只有几码远。这实在是太意外、太迅速了，以至于我同伴那训练有素的双眼也没有看清。“你看见了吗？”他低声问我，既惊愕又敬畏。“那会是一只老虎吗？”我不知道，但我理解他的兴奋。因为老虎是印度的百兽之王，是最令人渴望的猎物。猎手们以此来记录自己的人生：这样或那样的事情不是发生在他们的结婚周年纪念日；不是他们的儿子进入贝利奥尔学院；不是他们接受爵级司令勋章；而是他们射中这只或那只食人兽。","Of the hunting of the gond I should have something to say had not a diversion occurred which relegated that lively and elusive creature to an obscure place in the background. We had finished the beat, and most of us had emerged from the swamp to higher ground where an open space, or maidan, corresponding to a drive in an English preserve, but on the grand scale, divided it from the jungle—all our thoughts being set upon lunch—when suddenly across this open space passed a blur of yellow and black only a few yards from the nearest elephant. It was so unexpected and so quick that even the trained eyes of my companion were uncertain. “Did you see?” he asked me in a voice of hushed and wondering awe. “Could that have been a tiger?” I could not say, but I understood his excitement. For the tiger is the king of Indian carnivorae, the most desired of all game. Hunters date their lives by them: such and such a thing happened not on the anniversary of their wedding day; not when their boy went to Balliol42; not when they received the K.C.I.E.43; but in the year that they shot this or that man-eater. "
"很快我们就确定真的撞见了一只老虎，而且它被第一头大象上的猎手打中一枪，躲进了丛林，这一带的丛林里面全是二十多英尺高的野草，被太阳晒得发白。","That a tiger had really chanced upon us we soon ascertained. Also that it had been hit by the rifle on the first elephant and had disappeared into the jungle, which consisted hereabouts of a grass some twenty feet high, bleached by the sun. "
"接下来召开了作战会议，我们在巴姆·巴哈杜尔的带领下展开围捕行动。根据他的判断，老虎应该就藏在丛林的野草底下，因此我们的任务就是围着丛林绕一个大圈，尽可能围成一个密实的半圆把它逼回到空地上来。已经射中老虎一枪的猎人守在原地，相应地其他人以单列进入丛林，我们的大象要么用不可阻挡的大脚板把野草踩踏倒，要么用不可征服的鼻子把它们拧断。现在猎手开始感到大象数目不够，他说，要是有七十五头而不是仅二十五头大象的话，一切就都好办了：他可以围成一道封锁线，任何老虎也无法冲破。因为没有这么多大象，准备进攻猎物时，他吩咐在最大的几个缺口处生起了大火，这样我们一路稳步冲过去，不仅有驯象人尖锐的叫喊声和大象势不可挡地猛冲发出的声响相伴，还有燃烧的茎杆噼里啪啦作响。","A Council of War followed, and we were led by Bam Bahadur on a rounding-up manoeuvre. According to his judgment the tiger would remain just inside the cover, and our duty was therefore to make a wide detour and then advance in as solid a semicircle as possible upon him and force him again into the open, where the hunter who had inflicted the first wound was to remain stationed. Accordingly all the rest of us entered the jungle in single file, our elephants treading down the grass with their great irresistible feet or wrenching it away with their invincible trunks. It was now that the shikaree was feeling the elephant shortage. Had there been seventy-five instead of only twenty-five, he said, all would be well: he could then form a cordon such as no tiger might break through. For lack of these others, when the time came to turn and advance upon our prey he caused fires to be lighted here and there where the gaps were widest, so that we forged onwards not only to the accompaniment of the shrill cries of the mahouts and the noise of plunging and overwhelming elephants, but to the fierce roar and crackle of burning stalks. "
"因此，经过一个小时令人困惑的混乱后，整片丛林喊声震天、笼罩在一片奇异的气氛下。接着木材燃烧的烟味与空气中的热气混杂在一起，我们的血管里充满追捕的欲望，慢慢接近我们所推测的老虎藏身之处，凭大象的行为我们知道推测是准确的。我们的冒险中真正的危险突然来临了，它们害怕起来。一只受伤的老虎走投无路时会不顾一切，有几头大象也不愿意再往前逼近，或只是发出惊恐的叫声。几个徒手的驯象人也犹豫了，喊叫声中充满了恐惧。但是猎人却无动于衷：老虎就在那里，我们必须把它逼出来。","And thus, after an hour in this bewildering tangle, with the universe filled with sound and strangeness, and the scent of wood smoke mingling with the heat of the air, and the lust of the chase in our veins, we drew to the spot where the animal was guessed to be hiding, and knew that the guess was true by the demeanour of the elephants. Real danger had suddenly entered into the adventure; and they showed it. A wounded tiger at bay can do desperate things, and some of the elephants now refused to budge forward any more, or complied only with terrified screams. Some of the unarmed mahouts were also reluctant, and shouted their fears. But the shikaree was inexorable. There the tiger was, and we must drive it out. "
"我们一步步逼近，直到每头大象都紧紧侧挨在一起，外侧两边分别有一头大象守在空地的边缘，中间的第二十五头大象上警惕的骑手精神高度集中地站着，枪已经举到了肩上。现在喊叫声震耳欲聋。每个人都喊叫着什么，也许是要惊吓老虎，也许是在鼓励大象或旁边的同伴，也许是在鼓励自己。而我们前方的深草底下时不时会传来一声愤怒的咆哮，无疑是蔑视我们缺乏公平竞争精神，竟然用二十五头大象、五十多个人和十几杆枪对付一只毫无恶意的野生动物。","Closer and closer we drew, until every elephant’s flank was pressing against its neighbour, the outside ones being each at the edge of the open space; in the middle of which was the twenty-fifth with its vigilant rider standing tense with his rifle to his shoulder. The noise was now deafening. Every one was uttering something, either to scare the tiger or to encourage the elephants or his neighbour or possibly himself; while now and then from the depths of the grass ahead of us came an outraged growl, with more than a suggestion of contempt in it for such unsportsmanship as could array twenty-five elephants, half a hundred men and a dozen rifles against one inoffensive wild beast. "
"突然间，草动了一下，只听得一阵沙沙作响、急速奔跑之声和一声狂怒的咆哮后，一个黄黑的影子再次窜到了空地上，紧接着六声或更多声枪响响起，我至死也不会忘记，有一声枪响是我怀着复杂的心情，手指触动扳机发出的。那只老虎显然再次中枪（不是被我的子弹打中），但并未倒下而是躲进了空地另一边的丛林中。于是，我们决定再次发起围攻。此时天气酷热，但没人介意；此时午饭时间已经过去了一个半小时，但没人介意。追捕压倒一切！“杀无赦”这个词语此时体现出了最原始的字面意义。","And then suddenly the grass waved, there was a rustle and rush and a snarl of furious rage, and once again a blur of yellow and black crossed the open space. Six or more reports rang out, and to my dying day I shall remember, with mixed feelings, that one of these reports was the result of pressure on a trigger applied by a finger belonging to me. That the tiger was hit again—by other bullets than mine—was certain, but instead of falling it disappeared into the jungle on the other side of the maidan, and again we were destined to employ enclosing tactics. It was now intensely hot, but nobody minded; and we were an hour and a half late for lunch, but nobody minded: the chase was all! The phrase “out for blood” had taken on its literal primitive meaning. "
"第二轮围捕比第一轮复杂，因为老虎不断变换藏身之地，但是我们的猎手再次展示了他神奇的直觉，我们只用了一个小时就把老虎围了起来。有了明确的目标，老猎手们大受鼓舞，这样一来结局是很明显的。他们精心部署着射击老手，我并没有因为“如果老虎扑向你的大象，不要开枪”的告诫而更加平静，因为在这种情形下，持枪新手通常控制不好自己的步枪。“那我应该怎么办？”的反问被淹没在一阵嘈杂声中，这场重要戏剧的后继阶段在我们看来并不像我所希望的那么平稳和完整。但我看到那只老虎咆哮着扑向离我约四码远的一头大象，我看见一个本地猎人开枪把它逼了回去。接着，我们焦急地等了一会儿之后，它又从野草底下窜了出来，扑向我们的接待主人，我看到他迅即两枪打中老虎。于是这头美丽、顽强的野兽终于倒地，再也没有站起来。","The second rounding-up was less simple than the first, because the tiger had more choice of hiding places; but again our shikaree displayed his wonderful intuition, and in about an hour we had ringed the creature in. That this was to be the end was evident from the electrical purposefulness which animated the old hands. The experienced shots were carefully disposed, and my own peace of mind was not increased by the warning “If the tiger leaps on your elephant, don’t shoot”—the point being that novices can be very wild with their rifles under such conditions. As the question “What shall I do instead?” was lost in the tumult, the latter stages of this momentous drama were seen by these eyes less steadily and less whole than I could have wished. But I saw the tiger spring, growling, at an elephant removed some four yards from mine, and I saw it driven back by a shot from one of the native hunters. And then when, after another period of anxious expectancy, it emerged again from the undergrowth, and sprang towards our host, I saw him put two bullets into it almost instantaneously; and the beautiful obstinate creature fell, never to rise again. "
"圣城","The Sacred City"
"虔诚的印度教徒在贝拿勒斯体验到的是极度欢乐：但是，欧洲人（假设我是个典型）在这里经历的则是不适和不安。印度没有哪个地方像这里让我感到如此陌生、如此格格不入。一个冷静的基督教徒、一个西方人、一个满怀好奇的观光客，置身于这些专注于宗教事务、欣喜若狂，耽迷于其坚定信仰而不加思考的狂热朝圣客中，本身就很窘迫，甚至到了羞愧的程度。而朝圣客们显然身处一个不同的世界、不同的年代，这让你感到失落。","The devout Hindu knows in Benares the height of ecstasy: but, if I am typical, the European experiences there both discomfort and inquietude. Nowhere else in India did I feel so foreign, so alien. To be of cool Christian traditions and an Occidental, an inquisitive sightseer among these fervent pilgrims intent upon their pious duties and rapt in exaltation and unthinking inflexible belief, was in itself disconcerting, almost to the point of shame; while the pilgrims were so remarkably of a different world, a different era, that one felt lost. "
"然而，这还不是全部。除了英国人的根据地外，印度从来就不够卫生。但是在贝拿勒斯（至少是游客必去的那些地方）人们根本就不在意这些。神化牛就必然会带来相应的恶果。可以说贝拿勒斯看起来就是一个未被大力神打扫过的神圣牛栏。也许它是圣洁的，但远远谈不上清洁。这里的街道也似乎比其他城市的更加狭窄、更加拥挤，所以这常常令人很窘迫，难以对走近的神牛表示出应有的尊敬。幸好它们总是很温和，很少侵犯人。到处都能看到牛，他们有的疑惑、有的好奇、有的傲慢。在一座庙宇门前，我看到非教徒（心满意足地）只是站在入口处，它们受到了坦诚的崇拜。在另一座庙宇里，猴子也受到崇拜，它们在墙壁上、院子里猛冲，好奇的游客和虔诚的信徒在给它们喂食。","This, however, is not all. India is never too sanitary, except where the English are in their own strongholds, but Benares—at any rate the parts which the tourist must visit—is least scrupulous in such matters. The canonization of the cow must needs carry a penalty with it, and Benares might be described as a sanctified byre without any labouring Hercules in prospect. Godliness it may have, but cleanliness is very distant. The streets, too, seem to be narrower and more congested than those in any other city; so that it is often embarrassingly difficult to treat the approaching ruminants with the respect due to them. Fortunately they are seldom anything but mild and unaggressive. Part perplexed, part inquisitive, and part contemptuous, they are met everywhere, while in one of the temples in which the unbeliever may (to his great contentment) do no more than stand at the entrance, they are frankly worshipped. In another temple monkeys are revered too, careering about the walls and courtyards and being fed by the curious and the devout. "
"神圣不仅仅是贝拿勒斯的特点：它还是这里的主要产业。在街上，每隔几英尺就有一个神龛，这里有数以百计的商店出售象征湿婆神的小男性生殖器像。","Holiness is not only the peculiar characteristic of Benares: it is also its staple industry. In the streets there is a shrine at every few feet, while the shops where little lingams are for sale must be numbered by hundreds. "
"贝拿勒斯最壮丽的还是恒河，河岸的一边是拥挤、酷热的城市和其延绵两三英里的高耸宫殿和庙宇以及蜂拥来到河边沐浴的人；另一边却平坦、空荡。再也没有终止得如此突然、彻底的海滨海水浴场。我所见过的只有威尼斯可以与恒河的北岸及其朝阳下五光十色的建筑物表面、色彩斑斓的塔楼相媲美。当你荡起双桨，缓缓顺流而下时，本能地就会想到威尼斯。同威尼斯一样，这里的宫殿也是颜色不一，有粉的、红的、黄的和蓝的，而太阳也以同样的方式照耀着建筑物的正面。但是有一点是不同的——那就是贝拿勒斯的屋顶上有奔跑的猴子。","The chief glory of Benares is, however, the Ganges44, on one side of which is the teeming sweltering city with its palaces and temples heaped high for two or three miles, and bathers swarming at the river’s edge; while the other bank is flat and bare. A watering-place front on the ocean’s shore does not end more suddenly and completely. There is nothing that I have seen with which to compare the north bank of the Ganges, with the morning sun on its many-coloured facades and towers, but Venice. As one is rowed slowly down the river it is of Venice that one instinctively thinks. As in Venice, the palaces are of various colours, pink and red and yellow and blue, and the sun has crumbled their facades in the same way. But there is this difference—that over the Benares roofs the monkeys scamper. "
"当你的全部注意力被这个场景的新颖之处吸引后，就忘却了威尼斯。在河边石梯的每一级台阶上不论多早都有一群形形色色的朝圣客聚在那里（要想看个清楚，六点就得来），在黄色的潮水中沐浴以获得圣洁。你昨天还看见他们拖着疲惫的身躯艰难地行走在街上，最后终于抵达圣地。他们成千地聚在这里，皮肤黝黑发亮。他们来自不同年龄层：年岁已高的白胡子老人、浑身皱纹的妇人在小心翼翼、严肃庄重地进行其宗教仪式，男孩女孩们也沉浸其中，自得其乐。石梯上不仅有沐浴的人还有焚烧尸体的人，你可以瞥见尸体的四肢在柴堆上被烧得卷曲起来。河面上四处散落着一些船只或皮艇，每条船上都有一位神职人员坐在伞下，垂钓灵魂，就像坐在泰晤士河平底船里垂钓斜齿鳊的人。头顶是无情的太阳，早饭还没开始就很热了，马上就会更加酷热难耐。","Gradually Venice is forgotten as the novel interest of the scene captures one’s whole attention. At each of the ghauts (a landing place or steps) variegated masses of pilgrims—no matter how early the hour, and to see them rightly one ought to start quite by six—are making their ablutions and deriving holiness from the yellow tide. You saw them yesterday trudging wearily through the streets, the sacred city at last reached; and here they are in their thousands, brown and glistening. They are of every age: quite old white-bearded men and withered women, meticulously serious in their ritual, and then boys and girls deriving also a little fun from their immersion. Here and there the bathing ghaut is diversified by a burning ghaut, and one may catch a glimpse of the extremities of the corpse twisting among the faggots. Here and there is a boat or raft in which a priest is seated under his umbrella, fishing for souls as men in punts on the Thames fish for roach. And over all is the pitiless sun, hot even now, before breakfast, but soon to be unbearable. "
"旅行结束时我并不觉得遗憾，接着我们返回土邦主宾馆休息、吃饭，之后我们去参观了早期佛教的根据地——“鹿野苑”，这里是佛陀最早宣讲佛法的地方，他的五个随从也是在这里离开他，另寻避难之所。徜徉在这片废墟中，凝视着著名的阿育王柱的宏伟柱头——凝视着被保存下来的这一切古迹——我低声吟起了这两行诗句：","I was not sorry when the voyage ended and we returned to the Maharajah’s Guest House for a little repose and refreshment, before visiting the early Buddhist stronghold at Sarnath, the “Deer Park,” where the Master first preached his doctrine and whither his five attendants sought a haven after they had forsaken him. Drifting about its ruins and contemplating the glorious capital of the famous Asoka column—all that has been preserved—I found myself murmuring the couplet,—"
"僧侣为友与世无争","With a friendly Buddhist priest I seek respite from the strife "
"尘世万象生活之真谛","And manifold anomalies which go to make up life—"
"但是即使早期的佛教徒大概也无法避免尘世纷争。","but the odds are that even the early Buddhists were not immune. "
"加尔各答","Calcutta"
"加尔各答和孟买的差别令人不可思议——迥异到只能进行对比。首先，孟买有海，我想象不到什么比从游艇俱乐部的草坪上或沃德路的人行道上看到的落日余晖更加可爱；而加尔各答没有海——只有一条非常难得的感潮河。加尔各答也没有马拉巴尔山。但是孟买没有哪个露天场所能与马坦公园媲美。尽管孟买有拥挤的市集，却没有哪条街道像哈里森路那么丰富、有趣。孟买没有唐人街，气候令人四肢无力，而加尔各答的气候——即使不会令人精神振奋——至少也不会攫走欧洲人体格里的每一丝元气。","Calcutta and Bombay are strangely different—so different that they can only be contrasted. Bombay, first and foremost, has the sea, and I can think of nothing more lovely than the sunsets that one watches from the lawn of the Yacht Club or from the promenade on Warder Road. Calcutta has no sea—nothing but a very difficult tidal river. Calcutta, again, has no Malabar Hill. But then Bombay has no open space to compare with the Maidan45; and for all its crowded bazaars it has no street so diversified and interesting as Harrison Road. It has no Chinatown. Its climate is enervating where that of Calcutta, if not bracing—and no one could call it that—at any rate does not extract every particle of vigour from the European system. "
"但加尔各答的独特美景是马坦公园，不同于许多其他公园，一片广阔的绿地由城铺开。你不用刻意去寻找：它就在那里，能容纳每个人，甚至赛马场和板球场。如果说傍晚的景色没有孟买人所见那般有魔力，比如在火红或神秘面纱遮罩的天空之下的大海和海上的船只，那么透过公园的树木欣赏夕阳余晖下金灿灿的加尔各答也是独一无二的。我每天都为此感到欣喜，夕阳余晖虽然短暂却妙曼之极。","But the special glory of Calcutta is the Maidan, that vast green space which, unlike so many parks, spreads itself at the city’s feet. One does not have to seek it: there it is, with room for every one and a racecourse and a cricket-ground to boot. And if there is no magic in the evening prospect such as the sea and its ships under the f laming or mysterious enveiling sky can offer to the eye at Bombay, there is a quality of golden richness in the twilight over Calcutta, as seen across the Maidan, through its trees, that is unique. I rejoiced in it daily. This twilight is very brief, but it is exquisite. "
"在加尔各答比在我到过的其他任何印度城市都更容易产生一种突然被带回英国的感觉。那里的寇仁雕像比我们惯常所见的要多，这是真的；但除了大量的仆人外，许多房子带有浓重的英伦风格。政府大楼宁静、宽敞、高贵，简直就是德比郡凯德斯顿庄园的复制品：里里外外的商业楼群都是依英式风格而建，到处都是熟悉的苏格兰口音。圣约翰教堂更是把这种幻象推向了极致。那迷人、宁静、","It is easier in Calcutta to be suddenly transported to England than in any other Indian city that I visited. There are, it is true, more statues of Lord Curzon than we are accustomed to; but many of the homes are quite English, save for the multitude of servants; Government House, serene and spacious and patrician, is a replica of Kedlestone Hall in Derbyshire: the business buildings within and without are structurally English, and the familiar Scotch accent sounds everywhere; but the illusion is most complete in St. John’s Church, that very charming, cool, white and comfortable sanctuary, in the manner of Wren, and in St. Andrew’s too. Secluded here, the world shut off, one might as well be in some urban conventicle at home on a sunny August day, as in the glamorous East. St. John’s particularly I shall remember: its light, its distinction, its surrounding verdancy. "
"罗丝·艾尔默","Rose Aylmer"
"啊！皇族有什么用，","Ah, what avails the sceptred race, "
"啊！多么完美的形态！","Ah, what the form divine! "
"一切美德，一切慈爱！","What every virtue, every grace! "
"罗丝·艾尔默，都是你的！","Rose Aylmer, all were thine! "
"罗丝·艾尔默，没有合上的双眼","Rose Aylmer, whom these wakeful eyes "
"也许在流泪，但永远看不见，","May weep, but never see, "
"一晚的回忆与叹息","A night of memories and sighs "
"我把它们献给你。","I consecrate to thee. "
"我在加尔各答给自己安排的一项不寻常的任务，就是去寻找罗丝·艾尔默的墓地，因为这位在兰多笔下名垂千古的人物原型于1800年被安葬在这里。但是我在那些肃穆的锥形墓碑间走了几个小时也没有找到，过去，在加尔各答的英国人就被葬在这些墓碑下。其中，我看到了死于1815年的萨克雷父亲的墓碑，但没有我所寻找的罗丝·艾尔默的任何痕迹。我见过的很多著名公墓，从肯瑟尔园公墓到热那亚公墓，从石溪公墓到蒙马特尔公墓都很萧条，但罗顿街和公园街旁的墓地最让人觉得凄凉和忧伤，那里污浊、破败的石棺一座紧挨着一座，中间几乎不留间隙。我希望不要用水泥为我建造墓碑，除此以外，其他任何材料都可以。","One curious task which I set myself in Calcutta was to find Rose Aylmer’s grave, for it was there that, in 1800, the mortal part of the lady whom Landor46 immortalised was buried. But I tried in vain. I walked for hours amid the sombre pyramidal tombs beneath which the Calcutta English used to be laid, among them, in 1815, Thackeray’s47 father, but I found no trace of her whom I sought. I have seen many famous cemeteries, all depressing, from Kensal Green to Genoa, from Rock Creek to Montmartre, but none can approach in its forlorn melancholy the tract of stained and crumbling sarcophagi packed so close as almost to touch each other, in the burial ground off Rawdon Street and Park Street. Let no one establish a monument of cement over me. Any material rather than that! "
"乔布和乔","Job And Joe"
